[00:00.000 --> 00:07.680]  this is episode CLVI of the talk show. Oh, we're already up to CLVI.
[25:43.360 --> 25:47.360]  Ah, sports. Yeah.
[25:47.360 --> 25:54.360]  So we were going to talk about I don't know if there's anything else you want to talk about up front, but we could talk about I want to talk about this A.I. stuff.
[25:54.360 --> 25:59.360]  Yeah, me too. And I know it's driving people nuts.
[25:59.360 --> 26:06.360]  It's driving people nuts to call this A.I. And I don't know why. I don't see how anybody could deny that.
[26:06.360 --> 26:16.360]  You know, I know there's some kind of formal computer science, Ph.D. level definition of artificial intelligence in that in some ways this doesn't apply.
[26:16.360 --> 26:31.360]  But if if you took an Amazon Echo back or took someone, I guess you can't take it back because it wouldn't have the Internet, but took someone from nineteen seventy eight to today and showed them an Amazon Echo and say, is this artificial intelligence?
[26:31.360 --> 26:39.360]  Yes or no? They're going to say yes. Right. Right. It's almost like every time we solve an A.I. problem.
[26:39.360 --> 26:50.360]  Once we solve it, it it no longer is magical and therefore it no longer counts as A.I. A.I. is only just because you understand how the effect was pulled off doesn't make it a magic trick.
[26:50.360 --> 26:55.360]  I mean, it's still it's still a magic trick, even if you understand the effect and to bring somebody from nineteen seventy eight.
[26:55.360 --> 27:00.360]  And I yell at my my dingus and say, hey, when's the next Bartram coming? That's that's magic.
[27:00.360 --> 27:05.360]  That feels like A.I., even if that's not what a computer scientist would call it.
[27:05.360 --> 27:13.360]  Right. Even if like once you know how the trick is done, you're like, well, it just hooks up to the the the local API for your public.
[27:13.360 --> 27:20.360]  It hooks up to the magic network in the sky that connects all computers. Oh, by the way, did we mention there's a magic network in the sky that connects all computers now?
[27:20.360 --> 27:23.360]  Oh, by the way, did we mention everyone has computers in their pocket now?
[27:23.360 --> 27:30.360]  Right. The device knows the weather because it's got a GPS and, you know, it knows your zip code.
[27:30.360 --> 27:36.360]  Oh, by the way, we can predict weather now. We didn't used to be able to do that. Oh, by the way, your pocket device makes up your body.
[27:36.360 --> 27:39.360]  Your computer makes a beepy noise when it's about to rain in the next two minutes.
[27:39.360 --> 27:44.360]  Devices know where they are to within a house or two.
[27:44.360 --> 27:50.360]  Oh, you're kind of cuisine that isn't even popular yet that you can request in your neighborhood on your pocket computer.
[27:50.360 --> 27:58.360]  Right. Look, look, look how this is an A.I., your phone thinks it's next door.
[27:58.360 --> 28:01.360]  Oh, that's so stupid. Oh, God.
[28:01.360 --> 28:08.360]  Just because you say to your pocket computer, tell my wife I'll be running late and it knows how to send it to her.
[28:08.360 --> 28:14.360]  Of course, it's a trick. There's a little wizard inside of there.
[28:14.360 --> 28:22.360]  The thing is, you saw in my long discursive notes about this that I guess I feel like part of it is I'm trying to do two things.
[28:22.360 --> 28:26.360]  One is I'm trying to avoid using what I know to be terms of art.
[28:26.360 --> 28:33.360]  So, I mean, people talk about A.I., talk about machine learning and even getting as specific as saying just Siri or Echo or what have you.
[28:33.360 --> 28:38.360]  It's just I'm more interested in what this stuff is doing for a consumer.
[28:38.360 --> 28:42.360]  And I mean, that requires a little bit of extrapolating about what's happening technically behind it.
[28:42.360 --> 28:50.360]  But I don't think I don't think it makes it any less fascinating what's happening when we don't call it a sciency name.
[28:50.360 --> 28:55.360]  I completely agree. So I'm just brushing all this under the umbrella of A.I.
[28:55.360 --> 29:03.360]  Because I don't know what else to say. I think separating it into voice assistants versus A.I. is not helpful.
[29:03.360 --> 29:07.360]  Well, it doesn't get to all of the constituent parts.
[29:07.360 --> 29:14.360]  So if we say Siri, to paraphrase Raymond Carver, what we talk about when we talk about Siri, which part of Siri do you mean?
[29:14.360 --> 29:20.360]  Are you talking about dictation? Are you talking about being able to interact? Are you talking about the button on your phone?
[29:20.360 --> 29:26.360]  Like that means lots of different things. And I feel like to understand where this stuff is going, it's very helpful.
[29:26.360 --> 29:34.360]  It's not helpful to fixate on what we call it. It's helpful to focus on what it does and what are the potential.
[29:34.360 --> 29:38.360]  As far as you can tell, in this short to medium term,
[29:38.360 --> 29:46.360]  what are the things that are likely to help or hinder the growth of all of these various pieces that we lose in the lights every time we call it A.I.?
[29:46.360 --> 29:50.360]  That's that's my feeling. You know, if we just keep calling it A.I., what does that mean?
[29:50.360 --> 29:57.360]  Is the kind of thing you do when you're talking to your phone in your car the same thing as what's happening when IFTT turns your humidifier off?
[29:57.360 --> 30:00.360]  Like those are such different things.
[30:00.360 --> 30:05.360]  And yet they are completely related because they are parts of this ecosystem down to the ability,
[30:05.360 --> 30:09.360]  like I said, down to the ability to pick which florist you want to use when you talk into your pocket computer.
[30:09.360 --> 30:15.360]  Those are all part of the same system. And I feel like it gets really confused when people try to just keep throwing it,
[30:15.360 --> 30:21.360]  throwing it under the bus by all by calling it all this same like fruity future world stuff that nobody's ever going to want.
[30:21.360 --> 30:25.360]  Quick aside, I've been struggling. I think a lot of podcasters struggle.
[30:25.360 --> 30:41.360]  I know I have talking about this stuff because there's this phrase you can say to address Siri that you don't want to say in a podcast because it can trigger it on listeners phones and devices if they're not listening with headphones.
[30:41.360 --> 30:49.360]  And a reader suggested I wrote this down and unfortunately I did not write down his name and I'm sorry. I'd love to give you credit. Whoever you are, I thank you.
[30:49.360 --> 30:56.360]  His solution is that while we're talking about it on a podcast, we can say, hey, comma, Siri.
[30:56.360 --> 31:03.360]  How about can I suggest that's very good. Can I suggest another one that might be even better? How about Yo Dingus?
[31:03.360 --> 31:04.360]  OK.
[31:04.360 --> 31:07.360]  Because that's not going to trigger nothing. Not right now.
[31:07.360 --> 31:11.360]  Although it might if you and I start a startup with one of these things.
[31:11.360 --> 31:13.360]  Easy.
[31:13.360 --> 31:17.360]  Because I think we would definitely call ours the Dingus.
[31:17.360 --> 31:21.360]  I can't have dead weight in my incubator.
[31:21.360 --> 31:22.360]  Dingus.
[31:22.360 --> 31:23.360]  Dingus.
[31:23.360 --> 31:32.360]  All right. I like that, too. So I'm going to put that out there. Hey, comma, Siri, if you want to talk about Siri in particular, and then we'll say Yo Dingus to address these things in general.
[31:32.360 --> 31:42.360]  I think the terminology is interesting, though, because Siri is an umbrella term for stuff that is not really AI.
[31:42.360 --> 31:54.360]  Like you said, we even call it Siri when you're just talking about voice dictation, where you just hit the little microphone to dictate a text that you want typed out.
[31:54.360 --> 31:57.360]  You're not even asking a query or anything like that.
[31:57.360 --> 32:03.360]  Whereas Google doesn't really it seems like until very recently, they didn't even have a name for their thing.
[32:03.360 --> 32:08.360]  I used to call it Google Now, but then I found out Google Now isn't really the AI thing.
[32:08.360 --> 32:18.360]  Now is like their contextual thing where they show you cards based on what they think you want to see at the moment.
[32:18.360 --> 32:21.360]  And now they call it Google Assistant, I guess, for the drive.
[32:21.360 --> 32:33.360]  But it benefits their brand to just to not overly disambiguate that by just getting you used to the idea that Google is this big bunch of functionality that helps you with your life.
[32:33.360 --> 32:40.360]  So, you know, they might have brand names for things, but I would think when you hail it, it's unlike the other ones, it does make sense that you would say, Yo, Google.
[32:40.360 --> 32:54.360]  Yeah, I think that from a just a typical user standpoint, it doesn't matter because it all and maybe it's less confusing for them to just think of Google as a thing that they can talk to instead of just type out.
[32:54.360 --> 32:58.360]  You just just just give it to us. Just tell us what you want and we'll just figure it out.
[32:58.360 --> 33:02.360]  It's shockingly fast. I mean, so right there, one of the distinctions you're making there.
[33:02.360 --> 33:17.360]  I mentioned this a couple weeks going back to work is, you know, there are a lot of folks who understandably gave up on everything Siri a long time ago, which I have to say is somewhat understandable, given the basic way most of us deal with this stuff, which is we try it.
[33:17.360 --> 33:20.360]  It works or doesn't work. We try it again. It works or doesn't work.
[33:20.360 --> 33:24.360]  And eventually in a fit of peak, you go, this is not for me. This is for nerds.
[33:24.360 --> 33:29.360]  And that was it was true with Siri for a long time. But then Siri got better than Siri got way better.
[33:29.360 --> 33:37.360]  But one way in which it's been good for a long time. So when I'm trying to sell people on this idea that not only, well, the only important part is Siri is better than you think.
[33:37.360 --> 33:43.360]  The important part is, hey, get used to it, like start using this because this is where stuff is going, pal.
[33:43.360 --> 33:55.360]  So what I would say to people is if you're frustrated with Siri, you know, not understanding your request, if you're not if you're not comfortable with the Siri service, getting your voice and functionally working, which can vary a lot depending on your connection and stuff like that.
[33:55.360 --> 34:07.360]  One test I just said three times in the next week, try using dictation where you would normally type. Don't talk too fast. Don't talk too slow. Don't talk too loud. Don't talk too quiet. Just talk to it.
[34:07.360 --> 34:24.360]  And I think a lot of folks might be a little bit reinterested in it, given that for long sentence to short paragraph length things, if you know what it is that you want to say, I can pretty much guarantee, even including time for corrections, it will be faster than typing.
[34:24.360 --> 34:29.360]  Talking about dictation here as against tell me the weather in Bangkok.
[34:29.360 --> 34:46.360]  Yeah, I remember a couple of years ago when I had the finger injury and I couldn't couldn't type with my left hand for a couple of weeks and I had to use dictation and I ended up getting a lot of work done by installing the Dragon naturally speaking thing on the Mac.
[34:46.360 --> 35:02.360]  But I didn't have anything like that for iPhone. And so I really like, you know, I'm lucky because my my finger made a full recovery now. So I mean, but there's and there's people like like my aforementioned opponent in basketball whose hand is not going to come back.
[35:02.360 --> 35:12.360]  Right. So anything that would help. I mean, there's people with genuine permanent accessibility needs that dictation can really, really be helpful.
[35:12.360 --> 35:20.360]  And it really wasn't there. I think that was like 2012 or so.
[35:20.360 --> 35:40.360]  And it, you know, it was better than nothing, but it was better than not having the feature in iOS. But boy, I wish it was as good as it is now because I find, you know, like having just come off the winter where it really, you know, when you're all bundled up and you can't really type while you're walking around a cold city, the dictation feature, I think it works amazingly well compared to where it was.
[35:40.360 --> 35:53.360]  It still has much room for improvement. But yeah, I agree. And I mean, I've played with I mean, it's nuanced. Is that the company that makes Dragon Dictate? I mean, they for a long time have been their engine has been way ahead of everybody else's as far as I know.
[35:53.360 --> 36:07.360]  But I mean, you know, I think well, except maybe Google's right. And I think it's like getting it working that David Sparks is of the world can work Dragon Dictate like Emacs, where they understand it and it understands them.
[36:07.360 --> 36:16.360]  And I found it super frustrating to train and retrain. And I never got invested enough in it to like really use it. Whereas, as you say, I mean, it's something Syracuse often talks about.
[36:16.360 --> 36:26.360]  Just start make a habit sometimes of going to the Google app, hitting the microphone and talking. And it is shocking how fast you can see the transcription happening as you're speaking the corrections.
[36:26.360 --> 36:37.360]  Like Siri finally does. Now, you can watch it making contextual create corrections. You see this now on Apple TV, where it understands you probably mean the name of an actor rather than a homonym.
[36:37.360 --> 36:41.360]  You can see that that has come so far even in the last two years.
[36:41.360 --> 36:52.360]  Yeah, really? Yeah. And Apple TV, the correction, the contextual corrections, as you said, are very evident because it shows you the words as it comes up.
[36:52.360 --> 37:00.360]  It has trouble with titles because titles can mean and be many things in many different languages. And there's plenty of room for, you know, as I say, homonyms sound the likes.
[37:00.360 --> 37:06.360]  But if you're looking for an actor, it's amazing. Or a music artist. It's amazing how often it gets right on the first try.
[37:06.360 --> 37:14.360]  Yeah. And some titles use such common words and they're relatively short that the context isn't there. And I'll give you a specific example.
[37:14.360 --> 37:25.360]  Jonas had a friend sleep over last weekend and the movie that they decided to watch, and truly they have excellent taste, was John Carpenter's The Thing.
[37:25.360 --> 37:28.360]  Oh, man. What a great movie.
[37:28.360 --> 37:31.360]  Oh, I haven't seen it in forever.
[37:31.360 --> 37:34.360]  I watched it last year and it's still terrifying.
[37:34.360 --> 37:46.360]  I'd more or less completely forgotten it. But Show Me The Thing didn't work. And I don't blame TK or Foo.
[37:46.360 --> 37:59.360]  And both kids really love the Siri. Well, they don't love the remote, but they love the idea that you can just push the button and say things, you know, like show me, you know, Terminator 2 and that it shows it to you.
[37:59.360 --> 38:07.360]  And they were, you know, going through making like a list of like, here's here's like five or six movies we're thinking about. But Show Me The Thing didn't work.
[38:07.360 --> 38:13.360]  And I just remember noting, you know, file that one away. That's a good, good example.
[38:13.360 --> 38:15.360]  Where I totally understand why it didn't work.
[38:15.360 --> 38:28.360]  That one's an especially thorny one. But if you don't mind getting a little bit bash with it, you can sometimes hint it a little bit by saying, find the TV show, Doctor Who.
[38:28.360 --> 38:32.360]  Or say, play the band, Band of Horses or whatever.
[38:32.360 --> 38:34.360]  Show Me The Movie The Thing.
[38:34.360 --> 38:35.360]  Yeah, exactly.
[38:35.360 --> 38:45.360]  Yeah, I think that would probably work. I forget what we and in fact, I think that's what we did to, you know, get it going.
[38:45.360 --> 39:05.360]  That's amazing, though. Also, I mean, one of our favorite things is, I mean, I have I still have bitches about the Apple TV that are out of the scope of this show. But, you know, as somebody who buys a lot, a lot, a lot of stuff on the store, one of my biggest frustrations is the bigger a fan you are of a TV show, the more likely you are to find it inscrutable.
[39:05.360 --> 39:11.360]  So like in the case of, again, Doctor Who or in the case of Shark Tank, which, yes, I bought several seasons.
[39:11.360 --> 39:17.360]  You when you bring up that page, you say, find find Doctor Who and says, this Doctor Who?
[39:17.360 --> 39:19.360]  And you say, yes, this Doctor Who. And it pulls it up.
[39:19.360 --> 39:25.360]  And now you've got to go through in chronological order, like starting from the earliest season that you've bought.
[39:25.360 --> 39:27.360]  Have you dealt with this? You could do that horizontal scroll.
[39:27.360 --> 39:29.360]  Yes.
[39:29.360 --> 39:33.360]  So our latest trick is find the latest episode of Shark Tank. Poop. Pops right up.
[39:33.360 --> 39:39.360]  That's that's a great thing where, like, you know, you may not think of Siri as being or voice control as being the fastest way to get to something.
[39:39.360 --> 39:45.360]  I can damn near promise you that is the fastest way to get the latest episode of a TV show.
[39:45.360 --> 39:56.360]  But it seems there's definitely some frustrations there, though, where if if you do the up, down, left, right, it seems like it should it should recognize, hey, you've seen a lot of these shows.
[39:56.360 --> 40:01.360]  You probably want to watch the new one as opposed to starting you at episode or season one.
[40:01.360 --> 40:10.360]  Even HBO, which has one of the crummiest apps on Apple TV, prettiest bad apps, even they have a two level hierarchy for do you want season two, season three, season four?
[40:10.360 --> 40:15.360]  We can at least jump. You're still going in straight chronological, but you can jump to a season.
[40:15.360 --> 40:20.360]  But but, you know, it's you know, I think for a lot of us, it is still a case of remembering to use this.
[40:20.360 --> 40:25.360]  And, you know, I guess it helps to bracket. It's your show. But I mean, we have to bracket some of this stuff.
[40:25.360 --> 40:29.360]  We can't talk about every concern about, you know, privacy, although that's certainly an issue.
[40:29.360 --> 40:38.360]  We can't talk about every issue related to commerce. I think there's still the barrier of getting people to remember that this is there and then learning enough to know what it's capable of.
[40:38.360 --> 40:45.360]  And I think outside of our bubble, that's a much smaller group than a lot of people are aware of, especially for people in the bubble.
[40:45.360 --> 40:51.360]  I don't like how often do you see people using Siri like on the street, like not a ton in my case?
[40:51.360 --> 40:59.360]  No, no. And I think within the bubble, I think you made a good point a couple of minutes ago where I think an awful lot of people tried it.
[40:59.360 --> 41:08.360]  Circuit 2011, 2012 and got the shits of it and just sort of filed it away as something that's not worth trying.
[41:08.360 --> 41:13.360]  It was a frustrating experiment because it was hard to know which part of it was not working.
[41:13.360 --> 41:16.360]  And even as a non-engineer, I can guess that there are several parts that might not work.
[41:16.360 --> 41:22.360]  It might be that there was a physical occlusion where it did not get to the microphone. Maybe I had my finger there, right?
[41:22.360 --> 41:29.360]  If it did get to the microphone, did it capture what I said? If it captured what I said, was it able to throw it up to the cloud?
[41:29.360 --> 41:35.360]  If it threw it up to the cloud, was it able to understand what I said? If it understood what I said, was it able to follow?
[41:35.360 --> 41:43.360]  Like, I feel like there's probably at least three or four little milestones between coming out of my mouth and doing a thing where it could go wrong.
[41:43.360 --> 41:49.360]  And any problems with connectivity would greatly exacerbate even how well the product worked at best.
[41:49.360 --> 41:57.360]  I've had the same experience with Apple Maps. I was on a podcast with Josh Topolski a couple of months ago and he couldn't believe that I use Apple Maps.
[41:57.360 --> 42:02.360]  And I was like, well, when's the last time you tried it? And he was like, I don't know, never, because it's terrible.
[42:02.360 --> 42:07.360]  And I'm like, it's so much better than it was. Really, it's actually pretty good.
[42:07.360 --> 42:16.360]  And I know that I say that and I heard from people around the world and there was somebody, you know, somewhere in the middle of Sweden who was like, well, here's what Apple Maps thinks my neighborhood looks like.
[42:16.360 --> 42:34.360]  And it's like blank, you know, with a lake. And so, yeah, obviously, you know, but here in, you know, the places I go, you know, here in Philadelphia, New York City, California, the places I tend to go, Apple Maps is actually very good.
[42:34.360 --> 42:41.360]  And it does things like just last week, Amy and I had to go to some store out way outside the city.
[42:41.360 --> 42:47.360]  And the path that we were originally on had traffic and middle of the directions.
[42:47.360 --> 42:56.360]  Siri said, you know, I forget the prompt, but something like, you know, traffic ahead, you can save 10 minutes if you change, you know, and we're like, OK, sure.
[42:56.360 --> 43:04.360]  Tell us what to do. I use Apple Maps all the time. I didn't know that. Whenever we're traveling, we use Waze. Waze is something I would never use anywhere.
[43:04.360 --> 43:08.360]  It's just too, it's too crufty to use anywhere that I know where I'm going.
[43:08.360 --> 43:19.360]  But when we're traveling, it'll frequently say, hey, you know, pop off at this exit, drive down this dirt road for two exits on a dirt road and you'll actually get there faster than if you stayed on the interstate.
[43:19.360 --> 43:22.360]  But I didn't know Apple Maps did that. That's new to me.
[43:22.360 --> 43:37.360]  But I I just think that there's a general problem where if you start like the way that I've written many times and the how Apple rolls piece that I have a Mac world from a few years ago, it's still probably the best thing I've ever written about the company that the way Apple makes things is they make a thing.
[43:37.360 --> 43:47.360]  And at first it's here's it is a big surprise. And then year after year after year, they just keep making a little better, a little better, a little better, a little better, you know, in these increments.
[43:47.360 --> 44:00.360]  And that's the that's Apple. And that's the way you make things better and better and better. And it's not about these massive, you know, explosive surprise announcements every single time.
[44:00.360 --> 44:08.360]  But I think the problem is if you launch with something that's so disappointing that it makes people not even check out the iterative improvement, it's a problem.
[44:08.360 --> 44:19.360]  Like there's a certain minimum quality you have to meet. And I know that there were business development reasons why they launched maps when they did, you know, that they they were sort of in a negotiating battle with Google.
[44:19.360 --> 44:32.360]  And it wasn't really so much a choice as to, OK, this is good enough. It was like, we've got to launch no matter what right now, because, you know, we we've either got to launch or renew this deal with Google that we don't want to renew.
[44:32.360 --> 44:44.360]  Well, think about in the age, well, in really in any age since Yahoo, but definitely there's Altavista or Jeeves or Google or Bing or whatever.
[44:44.360 --> 44:51.360]  Don't say porn. But what's the first thing everybody looks for when they go and search? You search on your name.
[44:51.360 --> 44:57.360]  Right. So if you search for your name, I mean, let's be honest. And porn. And porn. Yeah.
[44:57.360 --> 45:09.360]  John Gruber porn. 17 million returns. Just to make sure nothing comes up. I don't want to know.
[45:09.360 --> 45:16.360]  But if you went so like, you know, especially back in the day when there was still the potential of somebody unseating Google as the king of that.
[45:16.360 --> 45:23.360]  And I guess, you know, a lot of people like Bing, whatever. But whenever anything new comes along where there might be information about you about, that's the first thing you do.
[45:23.360 --> 45:36.360]  And then you evaluate you within the period of like, what, 90 seconds, you might make a overarching decision about the quality of that based on how that comports with your own idea of what should be there in what order.
[45:36.360 --> 45:42.360]  Right. So, you know, if it doesn't find anybody with your name at all, you might go, wow, that's that this is garbage.
[45:42.360 --> 45:55.360]  And I think the same is true with Siri, where like, even when you would try the the stock searches on it, and it was, you know, sometimes it would just have trouble and you didn't know why it would just say whatever Siri is unavailable right now.
[45:55.360 --> 46:04.360]  You know, whereas I mean, again, you open up something like hound and the completely banana stuff you can do with hound. It's so fast and so good at parsing really complex stuff.
[46:04.360 --> 46:13.360]  But you know what, guess what hound hound does not have a little button on the device. Right. So it's gonna lose it that in the same way that any other device.
[46:13.360 --> 46:20.360]  So, you know, this is Siri just recognition. Well, Siri is also the fact that there's a button that connects with your contacts that can do functional things.
[46:20.360 --> 46:23.360]  Nothing else can do that in the Apple ecosystem right now.
[46:23.360 --> 46:30.360]  And even more now it's it's not just the button, it's the always listening microphone for yo dingus.
[46:30.360 --> 46:38.360]  And that's where that's where I am feeling what people felt with Siri. I have a terrible time getting we talked about this somewhere else on Twitter.
[46:38.360 --> 46:46.360]  I'm my my slogan percentage on yo dingus even when it's plugged in. Not great.
[46:46.360 --> 46:53.360]  I still gain percentage for yo dingus on my Apple Watch is not stellar. I mean, it's pretty bad and other people seem to have zero problem with it.
[46:53.360 --> 46:55.360]  I don't know why.
[46:55.360 --> 47:04.360]  I don't know either. I I've I forgot. I honestly forgot that Apple Watch had yo dingus because it was so bad at first.
[47:04.360 --> 47:15.360]  And then when we had that discussion on Twitter recently, I thought, let me start trying it again. And it seems better than it was when I gave up on it.
[47:15.360 --> 47:28.360]  But the worst the demos, because every time I want to show something amazing, the quicksilver style thing, I want to demo for somebody. The thing that I want to show that's amazing never works. And when I went in conversely, when I want to demonstrate how something never works, it always works.
[47:28.360 --> 47:37.360]  So in bitching about this the other day, I'm back to work. I invoked yo dingus and I looked down on my Apple Watch was recording everything that I was saying.
[47:37.360 --> 47:43.360]  But I'm bum bum bum bum.
[47:43.360 --> 47:56.360]  So machine learning and AI, doesn't it feel a bit like the Google IO announcements have slightly attenuated and slightly pivoted the way we talk about this stuff?
[47:56.360 --> 48:02.360]  Like, I did not hear so many people talking about AI and machine learning two months ago as much as I do now.
[48:02.360 --> 48:12.360]  It feels like they have already had a I feel like anyway, they've had a role in directing this discussion, even though there's a bunch of unreleased stuff to which that refers.
[48:12.360 --> 48:22.360]  I think so. I definitely could be wrong. I just feel like usually people would say specifically, Oh, I love my echo. You know, there's things I like about Siri, etc.
[48:22.360 --> 48:28.360]  But you know, now now that Google's in the game, I think people might be taking a little more seriously.
[48:28.360 --> 48:42.360]  I think so too. And I think that it's, it's just so couldn't be more in their wheelhouse. And you know, that gets somewhat gets into Marcos argument that it just does it.
[48:42.360 --> 48:58.360]  From a certain viewpoint, it looks like how could Apple ever catch up to Google in this regard, in the same way that it doesn't, I don't think I think you could make the same argument that like in terms of like frame rate of animation and smoothness of the UI androids never going to catch up to iOS.
[48:58.360 --> 49:00.360]  Right.
[49:00.360 --> 49:15.360]  That, you know, the question is, where do they get to good enough? Like, is Android good enough? I think for, you know, some people that obviously it is. And good enough in the AI sense, maybe.
[49:15.360 --> 49:18.360]  Maybe the difference is too, too far apart.
[49:18.360 --> 49:32.360]  I think it's, I think it's a bummer that, you know, Marco got piled on in that way. Cause I think what he was saying is very smart. I mean, if I were going to in the, you know, as a Monday morning quarterback, what I would say right now is the problem with Apple as, as Apple exists right now.
[49:32.360 --> 49:56.360]  They have a pretty low ceiling. We're like, if things get as great as they can get in the current state, they're still not going to be that great. Cause on the one hand you have Google who has shown how quickly they can do great things with services and how much they are willing, able and excited to integrate stuff they know about you, your personal data to make that into a, you know, say what you will about privacy and your concerns.
[49:56.360 --> 50:05.360]  But there are a lot of folks out there like me who use Google products because they feel like the payout is there. Like what I get in return for what they're doing with that data is extremely useful.
[50:05.360 --> 50:12.360]  And then on the other hand, like, you know, right now for now, rumors aside, Siri's still a closed system.
[50:12.360 --> 50:22.360]  Whereas I get an, I get an email every Friday from Amazon about new stuff I can do with the Echo. New skills, new stuff. It's not always, you know, earth shattering stuff, but there's always at least a couple of new things a week that it does.
[50:22.360 --> 50:36.360]  And I'm forever discovering new stuff the Echo can do that I didn't know. And for now with Apple, until we learn more about what their plan is, you know, if it, I mean, even if they're, if the reliability, the dependability, all that stuff becomes flawless.
[50:36.360 --> 50:42.360]  Even if it works great in a car, even if the mic gets better, you're still going to be kind of stuck at what Siri wants to or can do right now.
[50:42.360 --> 50:49.360]  And that's, it's nowhere, I guess we, I feel like a lot of us thought they'd be further along faster by now.
[50:49.360 --> 51:02.360]  Right. Just because they launched first and it doesn't seem like it's, it seems like, and again, I don't want to slag on it because I think on the grand scheme of nerds, I'm actually a pro Siri.
[51:02.360 --> 51:04.360]  Oh, absolutely. Yeah.
[51:04.360 --> 51:12.360]  But I think there's a good argument to be made that what Siri is good at now is the stuff that it was supposed to be good at originally.
[51:12.360 --> 51:13.360]  Right.
[51:13.360 --> 51:20.360]  Like it hasn't really expanded as, as far outside the original feature set.
[51:20.360 --> 51:30.360]  I mean, it definitely has additional data sources that it didn't. And just to roll back to the beginning of the show, it definitely knows a lot more about sports than it used to.
[51:30.360 --> 51:37.360]  Like I said last week, I think last week or the week before, but it can even do things like, and this is just one of those things that I was like, there's no way.
[51:37.360 --> 51:39.360]  Is it over under? Is that what it was?
[51:39.360 --> 51:45.360]  Or the point spread, you get point spreads or the over under, you know, you get these Vegas lines and it's like, I thought there's no way that's going to work.
[51:45.360 --> 51:58.360]  And cause a, it's a little seedy, you know, the whole idea of gambling on sports is a little seedy and it sort of works against the, would they allow, would they allow an app that does that?
[51:58.360 --> 52:09.360]  Yeah, I don't know, but it's like in a way that like every single cruise ship in the world has a casino except for Disney's cruise ships because it's Disney and you know, that's not a surprise.
[52:09.360 --> 52:16.360]  But so, you know, I was a little color me pleasantly surprised that Siri can tell you the point spread of upcoming games.
[52:16.360 --> 52:17.360]  I thought that was pretty interesting.
[52:17.360 --> 52:22.360]  Yeah. I mean, but it was the sort of thing that I think people just don't even try anymore.
[52:22.360 --> 52:34.360]  Well, you know, it's always such a joyful feeling as a, as an Apple user, as a Mac user in particular, it's been a peculiar joy of power users for years to have this experience that I haven't seen replicated in that many other places.
[52:34.360 --> 52:40.360]  This, for example, is the kind of thing that's not going to happen with the on, with the dashboard experience of any car.
[52:40.360 --> 52:55.360]  With Apple, sometimes you'll say, Hmm, I wonder what'll happen if I do this and you do something, you didn't look it up, you didn't try, you didn't learn a key command, you didn't read a PDF, you just do a thing and it does exactly what you might have prayed that it would do.
[52:55.360 --> 52:57.360]  You ever have this experience with Apple stuff?
[52:57.360 --> 52:58.360]  Yes.
[52:58.360 --> 53:11.360]  We're just like, what happens if I swipe? Oh my God, this changes everything. And you go like, how did this not, why is this something that, you know, for example, the one I'm always telling people about option click on the speaker in your menu bar in OS 10.
[53:11.360 --> 53:12.360]  You know this.
[53:12.360 --> 53:17.360]  I think so, but what happens? What do you get? Oh yeah, yeah, you get the input sources.
[53:17.360 --> 53:27.360]  A lot of people don't know if you option click, it's not obvious. If you option click on the speaker, you get options to change your input and output devices, which saves me an hour a week, probably. Not a big deal.
[53:27.360 --> 53:31.360]  Not a big deal. You don't get that feeling that many places.
[53:31.360 --> 53:47.360]  This is the thing that I love about the Mac and I've always loved about the Mac is that, yes, there are, you could say it's not discoverable, but if you were going to guess how do you do it, and you know the Mac, you know that it would be the option key.
[53:47.360 --> 53:57.360]  Like if I said to you, there's a way to change the speaker menu up in the menu bar to get a different menu, but you have to hold down a combination of keys while you click.
[53:57.360 --> 54:08.360]  What keys, one or more keys do you have to hold? I would instantly guess you just hold the option key because that's, and it actually makes sense semantically with the word option, right?
[54:08.360 --> 54:16.360]  It wouldn't be command. It wouldn't be control. It would definitely be, it should definitely be option. And in fact, it is option.
[54:16.360 --> 54:25.360]  Have you tried it for other things? No. Do you click on option? Click. I never thought to do this. You option click on wifi. You get the diagnostic report.
[54:25.360 --> 54:34.360]  It gives you some nerd information. Do it on, do it on a Bluetooth. Again, lots of nerd options under there. Information that gets displayed. It's clever.
[54:34.360 --> 54:43.360]  Nobody needs to know that that exists unless you need to know that that exists. But anyway, I just meant that in the service of saying like Apple has a great history of putting stuff in there where, Hey, you're going to learn.
[54:43.360 --> 54:54.360]  If you, if you're on a Macintosh long enough, you're going to learn, there's at least two ways to do almost everything. You don't have to learn one or the other, but you know, you will eventually learn that there's a way that comports with how you want to roll.
[54:54.360 --> 55:00.360]  And if you don't know, hit command shift, question mark, enter the name of what you think you want, and it will magically appear in the menu bar.
[55:00.360 --> 55:19.360]  So remember with system seven, there was like, when you first ran it, there was like a little, I don't know if they made it with hypercard or not, but it was sort of a hypercard type thing that would, it was like the first run experience. And there was like a little cartoon guy who would teach you a couple of shortcuts like that.
[55:19.360 --> 55:34.360]  Like, and it was like a, a help menu that you could, you could bring it up again with, and it was sort of like, show me, show me some of the advanced tricks, like being able to use command up and down arrow to go up and down folders in the hierarchy from the keyboard.
