[00:00.000 --> 00:08.000]  Oh boy. Once you start locking everything down. Wow. Do you unlock, can I ask you a question?
[31:08.000 --> 31:21.000]  They definitely should be washing their hands. Right? Is this too gross, John? No. I mean, this is obvious this is a real problem. This is, you know, yeah, I don't know.
[31:21.000 --> 31:33.000]  My guess is that they started with, here's a complaint I do here, is, you know, the whole low-flow problem of like the modern house, you get a low-flow shower that's not satisfying.
[31:33.000 --> 31:48.000]  You get a toilet that requires like six flushes. People get frustrated about that. What's interesting about this, though, is like also if you watch their, if one were the sort of person to watch many videos from this company about how the toilets are made,
[31:48.000 --> 31:59.000]  if you were that sort of person, you would see they're really also playing up how easy it is to clean. They've done something revolutionary with the outer rim so you don't get germs and matter on the outside.
[31:59.000 --> 32:15.000]  Yeah. You know, I think one thing, though, I think that when middle-class white people are upgrading, I think the kitchens are one. People put a lot of money into their kitchens and I think people really like putting money into their bathroom.
[32:15.000 --> 32:24.000]  Yeah. Don't you think? Oh, I do, too. I think it's a very modern way of upgrading your house.
[32:24.000 --> 32:32.000]  I mean, when you and I were kids, I mean, your bathroom was, I mean, not that they were saying, you know, it was simply is it clean or is it not clean?
[32:32.000 --> 32:40.000]  And that meant it was a nice bathroom or not a nice bathroom. And that was it. But like it just, it was like everybody had the same sink. It was just, it's just a white rectangle.
[32:40.000 --> 32:48.000]  Yeah. My grandparents' second, their half bath had a wooden toilet seat. I'll never forget. Harrowing.
[32:48.000 --> 33:05.000]  And the only real option was whether you got two faucets, a hot and a cold, or if you had the one and you kind of, you know, steered around like a joystick to adjust the temperature. And that was it. You didn't have any other choices. It all came out of the same spigot.
[33:05.000 --> 33:10.000]  And now it's, you know, people are, yeah, people are getting deluxe toilets, European-style toilets.
[33:10.000 --> 33:12.000]  Oh, and you get a Toto on there?
[33:12.000 --> 33:13.000]  Yeah.
[33:13.000 --> 33:14.000]  That's a popular thing.
[33:14.000 --> 33:16.000]  I'm not familiar. What is that?
[33:16.000 --> 33:19.000]  Oh, Toto. It's a, it's like an aftermarket bidet.
[33:19.000 --> 33:20.000]  Ah, I see.
[33:20.000 --> 33:24.000]  And it squirts, squirts hot water onto your downstairs.
[33:24.000 --> 33:27.000]  Yeah. Well, that sounds better than it sounds.
[33:27.000 --> 33:34.000]  First you scoff and then pretty soon you're ready to give it a ring. It's quite a, it's quite a thing.
[33:34.000 --> 33:50.000]  Well, Kotke's been on this for years. It must be, it might even be 10 years ago where Kotke, you know, broke the barrier of let's, let's talk about this stuff. Would you, you know, would you clean, let's just say like, well, here's a fine example from the earlier commercial.
[33:50.000 --> 33:59.000]  Let's say that a member of your family ate a hot dog with ketchup on a plate. Would you wash that plate with a dry paper towel?
[33:59.000 --> 34:02.000]  Yeah, give it a quick swipe and then just put it back in the cabinet.
[34:02.000 --> 34:05.000]  Just a dry paper towel and then put that in the cabinet.
[34:05.000 --> 34:08.000]  John, other countries think that we are monstrous.
[34:08.000 --> 34:09.000]  Well.
[34:09.000 --> 34:12.000]  They think that they, well, you know what? We'll save it.
[34:12.000 --> 34:14.000]  Oh, God.
[34:14.000 --> 34:20.000]  It might've been a canary in a coal mine, actually. Now that you think about it. They might've been onto something.
[34:20.000 --> 34:26.000]  I sent you to this page on the Vormax toilet technology site. Boy, they got trademarks on everything.
[34:26.000 --> 34:32.000]  Yeah, so you checked out the various different models. They got white label versions of this toilet. You can buy at different places.
[34:32.000 --> 34:38.000]  They got the Heritage, they got the Astute, the Esteem, the Optum, and the Ultima.
[34:38.000 --> 34:40.000]  They seem to all be the same toilet?
[34:40.000 --> 34:43.000]  They look exactly the same to me.
[34:43.000 --> 34:47.000]  But there's a different name for the one at Lowe's and a different name for the one at Home Depot.
[34:47.000 --> 34:50.000]  See, it's like buying mattresses, right? It's a racket.
[34:50.000 --> 34:51.000]  It's exactly like buying mattresses.
[34:51.000 --> 34:54.000]  Yeah, the Esteem. Mmm.
[34:54.000 --> 34:56.000]  Exclusively at Lowe's.
[34:56.000 --> 35:04.000]  You know what? I'll bet somebody's gonna come along and disrupt the toilet industry, and I'll be selling toilets on this podcast within a year.
[35:04.000 --> 35:13.000]  I think you might be onto something. You think about the disruptions in industry. You could have silver underpants. You could get yourself an internet mattress.
[35:13.000 --> 35:14.000]  Right.
[35:14.000 --> 35:18.000]  There's so many of these new kinds of services. You could get a box full of socks.
[35:18.000 --> 35:19.000]  Internet eyeglasses?
[35:19.000 --> 35:29.000]  Internet eyeglasses. Huge. But there's still a big hole, if you like, waiting to be filled with internet toilets.
[35:29.000 --> 35:36.000]  So what would that be? Now, first of all, it's gotta be affordable. It's gotta come in an impossibly small box, engineered in America.
[35:36.000 --> 35:41.000]  It'll be, and the toilet arrives. You can carry it up the stairs by yourself.
[35:41.000 --> 35:50.000]  You slit open the package, and it goes, and the toilet comes to life. It's probably Wi-Fi enabled. It's got push notifications, if you know what I mean.
[35:50.000 --> 35:56.000]  You know what? And the Wi-Fi, you'd probably get it on the Wi-Fi first, and it, hmm, I was gonna suggest...
[35:56.000 --> 35:57.000]  Hook it up to your Eero.
[35:57.000 --> 36:03.000]  Yeah, I was gonna suggest that it have a camera, but that's not right. Here's how I think it would, because you don't want a camera on the toilet.
[36:03.000 --> 36:11.000]  I'm gonna say it comes with an app that you put on your phone, and then it can use your phone camera, and you just point it at your old toilet,
[36:11.000 --> 36:18.000]  and it'll do like a, okay, here's the water hookup and whatever, and then it'll just install itself.
[36:18.000 --> 36:26.000]  Yeah. I, you know, I wouldn't say it's not gonna happen, because people are interested in technology.
[36:26.000 --> 36:34.000]  There are things in my home right now that are unnecessarily complex technical, technological products I could never have imagined
[36:34.000 --> 36:39.000]  owning, like existing, let alone owning 10 years ago.
[36:39.000 --> 36:40.000]  Yeah.
[36:40.000 --> 36:41.000]  You know?
[36:41.000 --> 36:48.000]  You know, and a lot of things start out as jokes, and everybody thinks it's a joke, and then it becomes, you know, it becomes a real thing.
[36:48.000 --> 36:54.000]  You know, like some of the gags in the Back to the Future when they went into the future, you know, and now, you know, you've got these things,
[36:54.000 --> 36:56.000]  you know, like the hoverboards and whatnot.
[36:56.000 --> 37:03.000]  We laugh about it, but you wait and see, you wait and see if these internet toilets, if they won't let you take one right out on the deck.
[37:03.000 --> 37:07.000]  Have little wheels on it?
[37:07.000 --> 37:08.000]  Yeah!
[37:08.000 --> 37:15.000]  And it can just lock, it'll detect when you sit down, and then it'll lock the wheels, so you're not sliding around while you're doing your business.
[37:15.000 --> 37:17.000]  You think you'd have to slide to unlock?
[37:17.000 --> 37:22.000]  Because you don't want everybody just using your patio toilet.
[37:22.000 --> 37:23.000]  Right.
[37:23.000 --> 37:25.000]  I mean, save something for me.
[37:25.000 --> 37:26.000]  Yeah.
[37:26.000 --> 37:30.000]  It's funny, like we mentioned, you know, for example, we might want to talk about voice stuff.
[37:30.000 --> 37:40.000]  That voice stuff to me is just one example of many things where, like, it is funny where we are right now with voice, and I have to admit I'm a little bit obsessed with voice stuff and what it portends for the future.
[37:40.000 --> 37:48.000]  For worse or mostly better, in my opinion, but it is very interesting to live at this time where you can kind of have your feet in these two different sides of the creek.
[37:48.000 --> 37:55.000]  On the one hand, it is incredible what you can do with your voice, but it is also incredible how terrible it is so much of the time.
[37:55.000 --> 37:59.000]  We are really, we are living through a very interesting transition.
[37:59.000 --> 38:00.000]  Now, something like Wi-Fi.
[38:00.000 --> 38:01.000]  I was just thinking about this the other day.
[38:01.000 --> 38:13.000]  Like, I'm trying to remember when I first had exposure to Wi-Fi, and I think, I remember becoming a big deal around the time I first went to the ETEC, the Emerging Technology Conference, which would make that probably 2002.
[38:13.000 --> 38:23.000]  And there was the Nocat guys, and it was such a big deal, and I had, I think, an Orinoco card for my Wall Street laptop stuck out of the side to get the impossibly slow.
[38:23.000 --> 38:25.000]  And that seemed like a parlor trick.
[38:25.000 --> 38:28.000]  Like, why don't you just plug in Ethernet, John?
[38:28.000 --> 38:30.000]  Like, why don't you just plug in Ethernet for this thing?
[38:30.000 --> 38:33.000]  It's like, well, no, no, there's this new thing, and you can get your internet through the air.
[38:33.000 --> 38:41.000]  And my first experience with that had been on a Palm 7, I think, would be my first really kind of connected device, I think.
[38:41.000 --> 38:44.000]  Remember the Palm 7? It was huge, and it had that big-ass antenna.
[38:44.000 --> 38:51.000]  Yeah, I was about to say, is that the one with the big antenna, like a cigar diameter antenna coming out the side, or the top?
[38:51.000 --> 38:57.000]  And it was, if memory serves, it was very costly, very slow, very limited.
[38:57.000 --> 39:00.000]  It was essentially like, you know, WAP-style functionality.
[39:00.000 --> 39:02.000]  But it was on your Palm Pilot.
[39:02.000 --> 39:04.000]  So it seemed amazing.
[39:04.000 --> 39:09.000]  It was a breakthrough, though, because laptops in general were a premium computing device.
[39:09.000 --> 39:12.000]  They were far more expensive than the equivalent horsepower.
[39:12.000 --> 39:13.000]  It was a rich man's device.
[39:13.000 --> 39:14.000]  It was a rich man's device.
[39:14.000 --> 39:19.000]  But really, all it was, effectively, was a way to move your computing.
[39:19.000 --> 39:24.000]  And the big advantage to it was that the cloud was nowhere back then.
[39:24.000 --> 39:27.000]  We didn't even have clouds. We didn't have clouds.
[39:27.000 --> 39:37.000]  So if you wanted your stuff in two different places, like work and home, or, you know, work and a road trip,
[39:37.000 --> 39:39.000]  you needed to take the device with you.
[39:39.000 --> 39:45.000]  But you would just move from one, like, workstation setup desk to another,
[39:45.000 --> 39:50.000]  where you already had things like an Ethernet jack ready to go.
[39:50.000 --> 39:52.000]  Like, you couldn't work anywhere.
[39:52.000 --> 39:53.000]  Yeah, I remember using apps.
[39:53.000 --> 39:59.000]  It was a big deal when you first got these, like, fairly, they were nerdy, but it was basically a GUI to, like, rsync,
[39:59.000 --> 40:03.000]  where you could, like, put them on the same network and say, okay, these two folders, make sure they match.
[40:03.000 --> 40:05.000]  Like, that's pretty much the extent of it.
[40:05.000 --> 40:12.000]  But the idea that you could just, you know, move from the kitchen counter to the kitchen table
[40:12.000 --> 40:19.000]  and no longer be within arm's length of the wall where the Ethernet port is was ludicrous,
[40:19.000 --> 40:26.000]  unless you were going to do something like just, you know, whatever you do with the computer when it's not connected to an Internet.
[40:26.000 --> 40:28.000]  That seems so strange now.
[40:28.000 --> 40:29.000]  Right.
[40:29.000 --> 40:32.000]  Yeah, yeah.
[40:32.000 --> 40:41.000]  I think the voice stuff, it is. It's early days, but early days in a far less technical way than the computers,
[40:41.000 --> 40:43.000]  the text-based computers of our youth.
[40:43.000 --> 40:45.000]  But there's an analogy there, right?
[40:45.000 --> 40:53.000]  And obviously, the technology that's involved to just have the most rudimentary yo dingus, what's the weather,
[40:53.000 --> 41:00.000]  and have a thing that within however many seconds it is to recognize the speech
[41:00.000 --> 41:05.000]  and turn it into a command and then go out and get weather data for the location that you're at,
[41:05.000 --> 41:13.000]  is obviously, it would have taken like a TI 99 4A, like, if it, let's say you had a perfectly working program
[41:13.000 --> 41:16.000]  that could do that for that program, it would still be running right now.
[41:16.000 --> 41:21.000]  Like, 37 years later, it's still not quite done yet.
[41:21.000 --> 41:32.000]  So there's a total difference in terms of the, just like, just pure bits per second of computation that's involved to get it.
[41:32.000 --> 41:39.000]  But there's some similarities in the crudeness of how these things work.
[41:39.000 --> 41:46.000]  In a way that, like, in a command line environment, you've got to know the exact right command to delete a file, right?
[41:46.000 --> 41:53.000]  If you're on DOS, you have to type Dell, wasn't it Dell for delete, Dell space file name, and on Unix it was RM.
[41:53.000 --> 41:56.000]  You couldn't just type trash this file, you know?
[41:56.000 --> 41:57.000]  Right, right, right.
[41:57.000 --> 42:01.000]  And it's the same way with voice. You've got to know these, you know, you've got to say it this way.
[42:01.000 --> 42:07.000]  Yeah, there are, especially the thing is what you, such a common theme that comes up again and again are these trade-offs.
[42:07.000 --> 42:09.000]  They were just talking about this on ATP, like they always do.
[42:09.000 --> 42:14.000]  But, you know, the kind of trade-offs where, for example, if you want your AirPods to do more stuff,
[42:14.000 --> 42:18.000]  well, be careful what you ask for, because they are, they're very streamlined right now.
[42:18.000 --> 42:20.000]  They're good at this thing that they do mostly.
[42:20.000 --> 42:26.000]  Yeah, I mean, I wish, like, the Siri on AirPods is pretty slow, lame.
[42:26.000 --> 42:27.000]  Yeah, it's too slow.
[42:27.000 --> 42:28.000]  Like, yeah.
[42:28.000 --> 42:29.000]  It's too slow.
[42:29.000 --> 42:34.000]  I mean, and I guess we'll talk more about this, but I have been really, just to, you know, one thing I've been doing is,
[42:34.000 --> 42:41.000]  and I've mentioned this on other programs, but I've been making myself from Friday evening through as much as possible of Saturday.
[42:41.000 --> 42:45.000]  I've been trying to set myself to using voice for everything that I can in lieu of other things.
[42:45.000 --> 42:47.000]  And if I can't, yeah, go use the computer or whatever.
[42:47.000 --> 42:55.000]  But, like, try to be mindful for about one day a week of trying to figure out more stuff that I can and possibly should do with voice.
[42:55.000 --> 42:57.000]  And it has been very illuminating.
[42:57.000 --> 43:01.000]  I mean, not least of which you learn how much stuff is really not ready yet.
[43:01.000 --> 43:03.000]  But there's a surprising amount of stuff.
[43:03.000 --> 43:09.000]  And, I mean, the MacGuffin here is that, you know, by making yourself do this and being mindful about it just for this period of time,
[43:09.000 --> 43:12.000]  you know, you remember to try stuff more.
[43:12.000 --> 43:16.000]  And if you try it and it doesn't work, you might say, well, then what's the incantation?
[43:16.000 --> 43:20.000]  So, like, with, you know, as far as these tradeoffs, so just to get that out of the way, that's one reason I'm so obsessed.
[43:20.000 --> 43:24.000]  But with Alexa, oh, God, sorry.
[43:24.000 --> 43:33.000]  With the lady in a tube, I get an email every Friday from Amazon that's like, well, here's this new stuff that it does.
[43:33.000 --> 43:36.000]  And it's, you know, frequently it's stuff like, hey, ask about cricket or whatever.
[43:36.000 --> 43:40.000]  But then other times, there is really legitimately pretty amazing stuff.
[43:40.000 --> 43:42.000]  To enable a lot of that, you've got to get into skills.
[43:42.000 --> 43:46.000]  And once you get into skills, now you're getting more into what you're describing as being with the command line.
[43:46.000 --> 43:54.000]  Because you go from just being able to issue a raw command to basically hailing a skill inside and then knowing what the mojo is inside of there.
[43:54.000 --> 43:58.000]  But honestly, it's not that difficult.
[43:58.000 --> 44:09.000]  This morning, I see via a friend, Joe Steele, I see now you can, if you have Prime Now available in your area, you can order Prime Now over your lady in a tube.
[44:09.000 --> 44:12.000]  So, like, I just, I talked to my tube this morning.
[44:12.000 --> 44:14.000]  I said, hey, tube, reorder cat litter.
[44:14.000 --> 44:18.000]  It said, okay, here's this recent thing in your order for cat litter.
[44:18.000 --> 44:19.000]  Is that the one you want? Yeah.
[44:19.000 --> 44:21.000]  Okay, that's not enough money. Do you want to add anything else to it?
[44:21.000 --> 44:22.000]  Yeah, sure, add that.
[44:22.000 --> 44:33.000]  So, I don't know. I guess I just feel like in order to sort of, I hate to say keep up, but to really have some kind of a foothold in where stuff is going.
[44:33.000 --> 44:38.000]  You know, I can understand why people are reluctant to use this stuff for so, so many reasons.
[44:38.000 --> 44:51.000]  But I really kind of feel like if you want to be somewhat forward-looking and modern about what's happening, you really can't afford to totally overlook this and write it off as silly Buck Rogers stuff.
[44:51.000 --> 44:59.000]  It's getting better at a noticeable clip, and it still is terrible.
[44:59.000 --> 45:00.000]  Yeah, right.
[45:00.000 --> 45:08.000]  But when something in computing is terrible, but you can see it getting better if you just pay attention month to month, you know it's going to get good soon.
[45:08.000 --> 45:14.000]  And if you're going to miss out on all the, it's all the interesting stuff is going to happen between now and then.
[45:14.000 --> 45:19.000]  Like, once it's good and everybody takes it for granted, it's no longer interesting.
[45:19.000 --> 45:25.000]  Right. Everything seems impossible or dumb until it's something you're using every day. And you go, well, of course, that's always been how it is.
[45:25.000 --> 45:26.000]  Right.
[45:26.000 --> 45:31.000]  Did you notice last night, I think were you on that thread last night where somebody mentioned that suddenly out of nowhere, was it Michael?
[45:31.000 --> 45:34.000]  Yeah, I think it was Michael, our friend of the show, Michael Heilman.
[45:34.000 --> 45:40.000]  Well, and he points something out that like is definitely like a known problem that has suddenly been fixed.
[45:40.000 --> 45:42.000]  Other people are like, no, it's always been this way.
[45:42.000 --> 45:44.000]  In my house.
[45:44.000 --> 45:45.000]  You guys.
[45:45.000 --> 45:50.000]  In my house, if you say, hey, dingus, like, like five different things light up.
[45:50.000 --> 45:51.000]  Right.
[45:51.000 --> 45:55.000]  So if I say, hey, dingus, here's, here's the thing that I say most to a dingus all the time.
[45:55.000 --> 46:00.000]  Hey, dingus, remind me to take out the pasta in eight minutes.
[46:00.000 --> 46:05.000]  And suddenly, you know, there's all these Scottish ladies talking all at the same time, like trying to remind me about pasta.
[46:05.000 --> 46:11.000]  Apparently they just pulled an Amazon Echo and they seem to be using what proximity?
[46:11.000 --> 46:17.000]  Because I tested it last night and it works in a way, like it's not doing firing multiple devices anymore.
[46:17.000 --> 46:20.000]  It fires multiple devices because you see a blink on the screen.
[46:20.000 --> 46:23.000]  But only one, one says I got it and handles it.
[46:23.000 --> 46:24.000]  That's exactly right.
[46:24.000 --> 46:30.000]  So now finally my stupid watch is like slightly usable because I'll be two rooms away from any other iOS device,
[46:30.000 --> 46:33.000]  screaming into my watch to please hear me.
[46:33.000 --> 46:34.000]  It never hears me.
[46:34.000 --> 46:39.000]  And in the other room, you know, you're like, the weather in San Francisco is like, ah!
[46:39.000 --> 46:41.000]  But that's that kind of advancement.
[46:41.000 --> 46:45.000]  I mean, that sounds subtle, sounds dumb, but like that kind of stuff, you're right, it's happening faster.
[46:45.000 --> 46:49.000]  Dictation continues to be getting so much better.
[46:49.000 --> 46:52.000]  I used to never send texts that way.
[46:52.000 --> 46:57.000]  I mean, once you learn the incantation of, hey, dingus, tell John Gruber kiss my ass.
[46:57.000 --> 47:01.000]  Like once you learn the incantation of how to do that, it really does kind of just work.
[47:01.000 --> 47:03.000]  I don't understand how this is working, though.
[47:03.000 --> 47:09.000]  Like here's one, Chase Gallagher jumped into the Twitter thread and said, it's not just iCloud connected.
[47:09.000 --> 47:14.000]  His work phone and personal phone are not linked in any way and only one will trigger.
[47:14.000 --> 47:17.000]  I don't understand how that's working.
[47:17.000 --> 47:22.000]  I guess like I should try with I haven't experimented with this because this is like you said,
[47:22.000 --> 47:25.000]  it is something that Apple obviously improved.
[47:25.000 --> 47:29.000]  But yeah, it's got it has to have been I'm going to say on the outside within the last two weeks.
[47:29.000 --> 47:32.000]  I'm feeling like within the last few days, this is very new.
[47:32.000 --> 47:38.000]  Like I should put like me and my wife's iPhones right next to each other and see how this works
[47:38.000 --> 47:40.000]  and how it decides which one to use.
[47:40.000 --> 47:42.000]  Do you have multiple Amazon dinguses?
[47:42.000 --> 47:44.000]  No, just one Amazon dingus.
[47:44.000 --> 47:47.000]  Well, we are, I have to admit, a multiple dingus house.
[47:47.000 --> 47:50.000]  And Amazon's had this for, I don't know, a month or more.
[47:50.000 --> 47:54.000]  And it really it works unevenly, but well.
[47:54.000 --> 48:03.000]  Yeah, meaning like if I'm in earshot of three different ladies in a tube, I can see the ring, the blue ring fires off.
[48:03.000 --> 48:06.000]  You know, there's a cool thing where you can see where it thinks the voice is coming from.
[48:06.000 --> 48:08.000]  So that thing fires off.
[48:08.000 --> 48:10.000]  You know, Jonas pointed that out to me.
[48:10.000 --> 48:14.000]  I only figured this out like two months ago that it's saying, here's where I think the voice is.
[48:14.000 --> 48:16.000]  It's pointing at you.
[48:16.000 --> 48:18.000]  But I could see two or three different dinguses fire off.
[48:18.000 --> 48:28.000]  It's kind of uneven which one ends up doing the execution, but it doesn't, it will not execute more than one at a time.
[48:28.000 --> 48:33.000]  But I don't know. This is something, again, they talked about this on ATP recently.
[48:33.000 --> 48:39.000]  And I was totally in Syracuse's corner of saying like, it's hard to describe this until you really do start using it.
[48:39.000 --> 48:43.000]  It's very, very abstract until you kind of set yourself to the task of doing this.
[48:43.000 --> 48:45.000]  You become less self-conscious about it.
[48:45.000 --> 48:47.000]  You try more things. You do more stuff.
[48:47.000 --> 48:54.000]  And so I'm forever just walking around adding things to like a shopping list to where now I feel like a monster having to sit down and type that.
[48:54.000 --> 48:55.000]  It feels really silly.
[48:55.000 --> 48:59.000]  And I use IFTTT to sync up my Amazon lists with my reminders.
[48:59.000 --> 49:00.000]  So do you do that?
[49:00.000 --> 49:01.000]  No.
[49:01.000 --> 49:02.000]  It's pretty cool.
[49:02.000 --> 49:10.000]  You just go to IFTT and you basically say, when a new item is added to my Amazon shopping list, add that to this reminders list.
[49:10.000 --> 49:13.000]  You mean like the iOS reminders app?
[49:13.000 --> 49:14.000]  Or no?
[49:14.000 --> 49:15.000]  The Apple reminders app.
[49:15.000 --> 49:16.000]  Yeah, exactly.
[49:16.000 --> 49:17.000]  Yeah.
[49:17.000 --> 49:18.000]  That's actually pretty powerful.
[49:18.000 --> 49:28.000]  And then if you're a super nerd, you don't have to be like Federico Vittucci level nerd, but you can also do stuff like then say, you can hook that up with, for example, OmniFocus.
[49:28.000 --> 49:35.000]  So when you add something to that list, the next time you open OmniFocus, it sucks it out of that list or Todoist or whatever you like to use.
[49:35.000 --> 49:37.000]  But yeah, I don't know.
[49:37.000 --> 49:38.000]  I don't know.
[49:38.000 --> 49:46.000]  I have this theory about this that I have yet to prove and I haven't given it that much thought.
[49:46.000 --> 49:50.000]  But somebody had written in to Back to Work to ask us about like, oh, God, is this the future?
[49:50.000 --> 49:53.000]  Is the future going to be like people in my office talking into Excel?
[49:53.000 --> 50:04.000]  And I was like, you know, I kind of don't think it is because I kind of feel like there's these parts to the voice thing that you don't get if all you see is somebody being a dingus and talking into the air.
[50:04.000 --> 50:06.000]  The voice is one part.
[50:06.000 --> 50:08.000]  The voice, yeah, that's the parlor trick.
[50:08.000 --> 50:10.000]  But what's behind the voice, right?
[50:10.000 --> 50:18.000]  It's that, I don't know what you want to call it, the functionality, the scripting, in some cases the AI or machine learning, whatever it is.
[50:18.000 --> 50:24.000]  But that middle layer of what it does with what it heard, if it heard it well, what it does with that, that's maybe the important part.
[50:24.000 --> 50:26.000]  And then the third part is the ubiquity.
[50:26.000 --> 50:35.000]  So, I mean, I have this idea that I'm kind of bubbling around, which is that I wonder if voice ends up historically being the least important part of that stack.
[50:35.000 --> 50:45.000]  Voice is the parlor trick that's fun to use, but I think that the idea of that kind of ubiquitous availability, do you follow where I'm going with this?
[50:45.000 --> 50:48.000]  I don't think you're going to have to talk into Excel.
[50:48.000 --> 50:56.000]  I think that there's going to be more and more bespoke remote devices that do your bidding without you needing to know how to do RM-R.
[50:56.000 --> 50:58.000]  All right, hold that thought, hold that thought, because I want to keep going with this.
[50:58.000 --> 51:00.000]  But I got to break in here.
[51:00.000 --> 51:02.000]  I told you about buying eyeglasses online.
[51:02.000 --> 51:03.000]  We'll look.
[51:03.000 --> 51:04.000]  Oh, come on, really?
[51:04.000 --> 51:05.000]  It is.
[51:05.000 --> 51:06.000]  It's our friend Warby Parker.
[51:06.000 --> 51:08.000]  They make buying eyeglasses online easy and risk-free.
[51:08.000 --> 51:15.000]  They believe glasses should be viewed as a fashion accessory, just like a bag, shoe, necktie, hat.
[51:15.000 --> 51:16.000]  I mean, how many pairs of shoes do you have?
[51:16.000 --> 51:17.000]  Do you have one pair of shoes?
[51:17.000 --> 51:19.000]  Why in the world would you only have one pair of glasses?
[51:19.000 --> 51:22.000]  Well, the reason some people would, because they cost hundreds of dollars.
[51:22.000 --> 51:23.000]  Well, guess what?
[51:23.000 --> 51:29.000]  Warby Parker's glasses start at just $95, including the prescription lenses.
[51:29.000 --> 51:34.000]  They don't give you a crazy upsell on anti-glare and anti-scratch.
[51:34.000 --> 51:38.000]  They give you the anti-glare and the anti-scratch by default, because who doesn't want them?
[51:38.000 --> 51:40.000]  No upsell on that crap.
[51:40.000 --> 51:46.000]  And for every pair of glasses you buy, they send a pair to someone in need around the world.
[51:46.000 --> 51:51.000]  People who need eyeglasses, but they can't afford them.
[51:51.000 --> 51:54.000]  Warby Parker takes care of them.
[51:54.000 --> 51:57.000]  It's a free try-at-home program.
[51:57.000 --> 51:58.000]  You go to their website.
[51:58.000 --> 52:01.000]  They've got, I don't know, at least 100 pairs of glasses, probably more.
[52:01.000 --> 52:02.000]  Tons of them.
[52:02.000 --> 52:05.000]  Any style you can imagine.
[52:05.000 --> 52:07.000]  You will pick up to five that you like.
[52:07.000 --> 52:10.000]  They send them to you for free with dummy lenses in them.
[52:10.000 --> 52:14.000]  And you can put them on, see what they look like on your face.
[52:14.000 --> 52:15.000]  No obligation to buy.
[52:15.000 --> 52:17.000]  You haven't given them any money yet.
[52:17.000 --> 52:18.000]  It ships for free.
[52:18.000 --> 52:20.000]  They give you the label to send it back.
[52:20.000 --> 52:23.000]  If you like one or more of the ones, you just say, OK, here.
[52:23.000 --> 52:24.000]  I like this one.
[52:24.000 --> 52:25.000]  I like this one.
[52:25.000 --> 52:27.000]  You give them your prescription info.
[52:27.000 --> 52:30.000]  They've got a little trick to measure the distance between your eyes.
[52:30.000 --> 52:33.000]  You hold a standard credit card up in front of a webcam or something like that,
[52:33.000 --> 52:35.000]  and they can measure.
[52:35.000 --> 52:39.000]  Because there's little tricks like that to get the glasses to be just right.
[52:39.000 --> 52:41.000]  They've got to know how far apart your pupils are.
[52:41.000 --> 52:43.000]  They do it right there with a camera.
[52:43.000 --> 52:44.000]  You don't go to a store.
[52:44.000 --> 52:46.000]  You don't waste any time on stuff like that.
[52:46.000 --> 52:49.000]  Totally free to try these things at home.
[52:49.000 --> 52:52.000]  You pick the ones you like, and they start at just $95.
[52:52.000 --> 52:54.000]  And then they show up in a couple of days.
[52:54.000 --> 52:56.000]  It's a great system.
[52:56.000 --> 52:58.000]  They've got sunglasses.
[52:58.000 --> 52:59.000]  You can get prescription sunglasses.
[52:59.000 --> 53:04.000]  They come with polarized lenses, et cetera, et cetera, UV protection.
[53:04.000 --> 53:10.000]  And remember, every single pair that you buy includes a pair of glasses
[53:10.000 --> 53:12.000]  that they distribute to people in need.
[53:12.000 --> 53:20.000]  Go to warbyparker.com slash the talk show, warbyparker.com slash the talk show,
[53:20.000 --> 53:22.000]  and they'll know you came from the show.
[53:22.000 --> 53:23.000]  Great stuff.
[53:23.000 --> 53:26.000]  I think the sunglasses are a good gateway drug.
[53:26.000 --> 53:30.000]  If you're not ready to let go of your artisanal small-batch glasses that you bought,
[53:30.000 --> 53:33.000]  your tiny little Helvetica glasses, start with sunglasses.
[53:33.000 --> 53:38.000]  Because if you need glasses, you could really benefit from prescription sunglasses.
[53:38.000 --> 53:40.000]  These guys have gotten into retail now, too.
[53:40.000 --> 53:43.000]  They have a retail shop here that just opened here in Philly a couple weeks ago,
[53:43.000 --> 53:50.000]  right down the street from the Apple Store, like the premium retail district.
[53:50.000 --> 53:53.000]  I think maybe, arguably, literally within a stone's throw of the Apple Store,
[53:53.000 --> 53:55.000]  there's a Warby Parker you can go into.
[53:55.000 --> 53:57.000]  I've walked by, but I can't go in.
[53:57.000 --> 53:59.000]  You think they'd ever get into toilets?
[53:59.000 --> 54:00.000]  They send you four or five toilets to your house.
[54:00.000 --> 54:01.000]  You try them out.
[54:01.000 --> 54:02.000]  You send back the ones you don't want.
[54:02.000 --> 54:03.000]  They might.
[54:03.000 --> 54:04.000]  They might.
[54:04.000 --> 54:05.000]  That might be why they got the retail space.
[54:05.000 --> 54:06.000]  You know what I mean?
[54:06.000 --> 54:08.000]  So you can go in there and have a seat.
[54:08.000 --> 54:11.000]  Try it out for yourself.
[54:11.000 --> 54:14.000]  People used to go to the Apple Store to check their email, right?
[54:14.000 --> 54:15.000]  Yeah.
[54:15.000 --> 54:17.000]  Maybe you go in there to test out the merchandise.
[54:17.000 --> 54:21.000]  Here's my theory on The Voice.
[54:21.000 --> 54:25.000]  Computers have conquered tasks that the interfaces that have been available
[54:25.000 --> 54:29.000]  have been acceptable to, useful for.
[54:29.000 --> 54:32.000]  So we did spreadsheets and word processing first,
