[00:00.000 --> 00:02.000]  You a Letterman fan?
[31:22.760 --> 31:25.120]  In the while, I have, I have not, not outside the store.
[31:25.120 --> 31:26.680]  I have not either.
[31:26.680 --> 31:27.680]  Or an Apple event.
[31:27.680 --> 31:30.200]  I've actually been thinking about writing about that actually.
[31:30.200 --> 31:31.200]  Hold that thought.
[31:31.200 --> 31:32.200]  All right.
[31:32.200 --> 31:33.200]  All right.
[31:33.200 --> 31:34.560]  All right.
[31:34.560 --> 31:37.520]  Um, and I asked for this one.
[31:37.520 --> 31:39.680]  I asked for, I said, well, okay, I'll take the
[31:39.680 --> 31:43.240]  space black link bracelet and they said, okay.
[31:43.240 --> 31:46.080]  And then when I got my review, you know, they were like, we couldn't give you that one.
[31:46.080 --> 31:47.080]  Sorry.
[31:47.080 --> 31:49.680]  And so they gave me the regular link bracelet.
[31:49.680 --> 31:55.840]  Um, I, you know, I asked why and they said they just gave me that Apple like we don't,
[31:55.840 --> 31:57.400]  you know, we're not going to tell you why.
[31:57.400 --> 31:58.800]  And that was that.
[31:58.800 --> 32:04.280]  Um, but my guess, you know, just based on the shipping times is that they just were backlogged
[32:04.280 --> 32:08.680]  production wise, even with the relatively few number that they would need for, you know,
[32:08.680 --> 32:14.320]  reviewing it, but definitely for sure though, even like back at the end of March when I got
[32:14.320 --> 32:17.680]  the review unit, I saw Apple employees who were wearing it.
[32:17.680 --> 32:23.040]  So they're, you know, people who were within Apple have had the black space, space black
[32:23.040 --> 32:28.520]  link bracelet, you know, since March, at least, if not earlier.
[32:28.520 --> 32:32.440]  I saw Shiller tweeted a while a couple weeks ago, somebody asked him on Twitter what watch
[32:32.440 --> 32:37.000]  he wears and he, he has the black link bracelet.
[32:37.000 --> 32:38.000]  So I like a lot.
[32:38.000 --> 32:42.440]  I don't have no idea why it took so long to ship, but I guess it, you know, whatever the,
[32:42.440 --> 32:45.880]  wherever they're producing these things, they must have been lower priority than some
[32:45.880 --> 32:47.600]  of the other models.
[32:47.600 --> 32:52.840]  And what was the process like kind of shifting over from one watch to the other did, there's
[32:52.840 --> 32:55.280]  not really that much living on the watch.
[32:55.280 --> 32:56.280]  So, no.
[32:56.280 --> 33:01.640]  So I've done this before because I had that bum, I had the bum review unit.
[33:01.640 --> 33:06.040]  So I did it like one day in and I forget why.
[33:06.040 --> 33:10.040]  I don't know if I was just curious and tinkering, but a few weeks later, I just reset
[33:10.040 --> 33:14.400]  my watch, not because I needed to or had any kind of problem, but just to like, I forget
[33:14.400 --> 33:15.400]  why.
[33:15.400 --> 33:24.320]  Oh, I know why because I wanted to see what it was like to use it with an iPhone 5S instead
[33:24.320 --> 33:25.560]  of a 6.
[33:25.560 --> 33:31.800]  And so I had to unpair it from my 6, put my SIM card back in my old iPhone 5S and go through
[33:31.800 --> 33:32.800]  it again.
[33:32.800 --> 33:33.800]  So I've done this a few times.
[33:33.800 --> 33:37.560]  And actually, it's not too bad, but it's kind of a pain in the ass.
[33:37.560 --> 33:42.040]  Takes about 15 to 20 minutes.
[33:42.040 --> 33:47.880]  Part of it is that when you unpair it, it makes a backup of the watch on the phone.
[33:47.880 --> 33:53.000]  And the backup is not in iCloud.
[33:53.000 --> 33:54.200]  It's only on the phone.
[33:54.200 --> 33:59.240]  It's like part of the data of the Apple Watch app on the phone.
[33:59.240 --> 34:02.400]  And so unpairing takes about five minutes and you think, why the hell does it take five
[34:02.400 --> 34:03.400]  minutes to unpair?
[34:03.400 --> 34:05.480]  Because it's doing the backup.
[34:05.480 --> 34:09.360]  Then the next time you pair an Apple Watch, whether it's the same one or a different
[34:09.360 --> 34:14.320]  physical thing, when you go through it in the Apple Watch, you have the option to restore
[34:14.320 --> 34:16.480]  from any of your backups.
[34:16.480 --> 34:20.880]  I've actually got like, I don't know, I'm up to like eight backups now and you can't
[34:20.880 --> 34:25.440]  delete those backups yet, maybe, I don't know, sometime I guess I'll update the app so
[34:25.440 --> 34:29.160]  you can delete them, but there's a timestamp on it.
[34:29.160 --> 34:33.720]  So you can see, give me the one that I just backed up 10 minutes ago.
[34:33.720 --> 34:38.240]  And then it takes like another five, 10 minutes for that to restore.
[34:38.240 --> 34:42.480]  There's a few other things that I always forget to do, like I always forget to set Apple
[34:42.480 --> 34:44.280]  Payup again.
[34:44.280 --> 34:45.280]  And it makes sense.
[34:45.280 --> 34:49.840]  It makes sense that that doesn't carry over because it's, you know, the secure element
[34:49.840 --> 34:53.960]  things aren't part of the software, you know, the whole point of it being a secure element
[34:53.960 --> 34:55.640]  is that it's, you know, a separate storage.
[34:55.640 --> 34:59.160]  So you have to, every time you do it, you have to restart, you know, start Apple Pay all
[34:59.160 --> 35:00.160]  over again.
[35:00.160 --> 35:03.720]  It's also a different card number for each device.
[35:03.720 --> 35:04.960]  Yes, right.
[35:04.960 --> 35:10.800]  It's, each device gets a different unique identifier, not just, you know, so you can't,
[35:10.800 --> 35:15.440]  there's no way that you can just restore from backup and have that come over.
[35:15.440 --> 35:16.440]  Which is good.
[35:16.440 --> 35:17.440]  Yeah.
[35:17.440 --> 35:18.440]  Yeah.
[35:18.440 --> 35:19.440]  Yeah, it makes sense.
[35:19.440 --> 35:22.160]  It wouldn't be, it wouldn't be secure if it, if it worked the other way.
[35:22.160 --> 35:29.080]  But it is, unfortunately, therefore a little bit less convenient because I never, I actually
[35:29.080 --> 35:32.280]  remembered with this one because I got burned like two or three times with the old one
[35:32.280 --> 35:33.280]  when I reset it.
[35:33.280 --> 35:34.640]  But this time I actually remembered to set it again.
[35:34.640 --> 35:37.520]  But then you go to like, you know, you go to use Apple Paying, you sit there and you double
[35:37.520 --> 35:41.160]  click in the thing and it's like, you haven't set it up yet.
[35:41.160 --> 35:46.360]  And you rest, so you restored your personal watch off of the backup from the test unit
[35:46.360 --> 35:47.360]  and that worked.
[35:47.360 --> 35:48.360]  Well.
[35:48.360 --> 35:49.360]  Yeah.
[35:49.360 --> 35:50.360]  Perfect.
[35:50.360 --> 35:51.360]  Cool.
[35:51.360 --> 35:52.360]  Yeah.
[35:52.360 --> 35:53.480]  It's like six and one and a half a dozen of the other.
[35:53.480 --> 35:57.360]  I don't even know what else I would have lost, you know, your apps are going to come
[35:57.360 --> 35:58.360]  over anyway.
[35:58.360 --> 36:00.440]  Is that, there just isn't that much.
[36:00.440 --> 36:04.360]  I guess, you know, it's that I didn't have to reset, you know, reconfigure all my watch
[36:04.360 --> 36:05.360]  faces.
[36:05.360 --> 36:06.360]  Right.
[36:06.360 --> 36:07.360]  Yeah.
[36:07.360 --> 36:10.840]  That I switched to my personal one after, I don't know, three or four days with the review
[36:10.840 --> 36:11.840]  unit.
[36:11.840 --> 36:13.400]  So I just started from scratch.
[36:13.400 --> 36:17.840]  I figured, well, I didn't really do anything good, those first few days anyway.
[36:17.840 --> 36:22.320]  So I'll just start over.
[36:22.320 --> 36:26.160]  But I imagine at this point you've set up enough stuff that you don't want to have to think
[36:26.160 --> 36:27.160]  about it.
[36:27.160 --> 36:28.160]  Yeah.
[36:28.160 --> 36:29.160]  More or less.
[36:29.160 --> 36:31.640]  But even so, I don't have that many watch faces configured and they're not that hard
[36:31.640 --> 36:32.640]  to fiddle with.
[36:32.640 --> 36:33.640]  And I play with them.
[36:33.640 --> 36:37.760]  You know, it's, I would say of all Apple products, it's the one where the difference
[36:37.760 --> 36:43.160]  between restoring from backup and starting all over is probably the least, you know, the
[36:43.160 --> 36:44.160]  least difference.
[36:44.160 --> 36:48.320]  Do you, do you have like a mental algorithm as to where you put different apps?
[36:48.320 --> 36:52.600]  I've spent most of the last seven weeks with them in random places, mostly with the ones
[36:52.600 --> 36:56.920]  that I do use the most centered around the clock face and then let all the other ones
[36:56.920 --> 36:59.080]  be random.
[36:59.080 --> 37:03.520]  I switched to a new system the other day.
[37:03.520 --> 37:06.400]  Well, I guess maybe it was when I got this watch and I took some time, you know, since
[37:06.400 --> 37:09.760]  it was a new watch, I took some time to play with it.
[37:09.760 --> 37:14.840]  And instead of making like a circle around the clock app, I've, I've set it up.
[37:14.840 --> 37:20.960]  You can, it takes some playing with, but the way that they stick in that honeycomb pattern,
[37:20.960 --> 37:26.640]  I've made like a pyramid on top of the clock app and a separate pyramid below it.
[37:26.640 --> 37:29.960]  And then not much to the right or left of the clock app.
[37:29.960 --> 37:33.920]  And the ones on top are all third party apps and the ones down below are the, the built
[37:33.920 --> 37:34.920]  in apps.
[37:34.920 --> 37:35.920]  Ah, interesting.
[37:35.920 --> 37:41.080]  I've, I've kept the third party apps to where the outside perimeter, but I've tried to
[37:41.080 --> 37:46.080]  keep them as close as possible to their corresponding Apple app.
[37:46.080 --> 37:54.160]  So I have city map or next to the maps icon and the various running apps that I'm testing
[37:54.160 --> 38:02.720]  next to the main workouts app, but I don't know if, and, and I also have tried to position
[38:02.720 --> 38:07.480]  them using the same kind of layout as my iPhone home screen.
[38:07.480 --> 38:11.920]  So overcast is like bottom left or bottom right corner, but I don't know if I'm going to
[38:11.920 --> 38:17.320]  stick with, you know, this is just kind of half random set up.
[38:17.320 --> 38:18.320]  Yeah.
[38:18.320 --> 38:22.600]  Um, I have to get with a bit, the next thing I have to do like just busy work on the watch
[38:22.600 --> 38:25.480]  is just, I have to delete about 20 of these.
[38:25.480 --> 38:26.480]  Yeah.
[38:26.480 --> 38:27.480]  Yeah.
[38:27.480 --> 38:31.320]  Like I've had it set up so that it installs just automatically whenever one of my iPhone
[38:31.320 --> 38:35.160]  apps gets an update with a watch kit component.
[38:35.160 --> 38:40.120]  It just automatically puts it over because I've wanted to be, um, you know, just show me
[38:40.120 --> 38:44.840]  everything while I'm learning about this platform and experimenting with it.
[38:44.840 --> 38:48.160]  But in practice, I use so few of them that just having them there just may, it just makes
[38:48.160 --> 38:52.080]  for, it just makes it harder to find the ones I actually do use.
[38:52.080 --> 38:58.440]  Do you sometimes I see the circle kind of filled in halfway like it's doing an update
[38:58.440 --> 39:00.880]  and it just kind of sits like that for a while.
[39:00.880 --> 39:05.520]  I don't know when that happens or why and, and how to stop it.
[39:05.520 --> 39:06.920]  I've seen that too.
[39:06.920 --> 39:10.560]  And what I've found the best thing to do when you get that, if you have like a third party
[39:10.560 --> 39:16.240]  watch that it looks like it's installing, but it seems paused, you know, like you said,
[39:16.240 --> 39:18.920]  it has that progress meter over the icon.
[39:18.920 --> 39:20.400]  Sometimes the icon isn't even there.
[39:20.400 --> 39:21.880]  It just has the generic icon.
[39:21.880 --> 39:22.880]  Yeah.
[39:22.880 --> 39:23.880]  I've found the best thing to do.
[39:23.880 --> 39:28.040]  It's harder if you don't even know what app it is, but go to the phone, go to the Apple
[39:28.040 --> 39:35.480]  watch app on the phone, go to that app and uninstall it and then reinstall it and that
[39:35.480 --> 39:41.640]  from the watch fix it from, no, no, from the phone, but uninstall it and reinstall it
[39:41.640 --> 39:47.200]  in the watch app, not delete the app off your iPhone and then, right, okay, right.
[39:47.200 --> 39:49.040]  Just delete it using the Apple watch.
[39:49.040 --> 39:50.040]  Yeah.
[39:50.040 --> 39:53.440]  It's so hard to talk about using the Apple watch app on the iPhone.
[39:53.440 --> 39:58.360]  I think what I've been doing is just restarting the watch and that seems to fix it, but
[39:58.360 --> 39:59.360]  I don't know.
[39:59.360 --> 40:00.360]  Yeah.
[40:00.360 --> 40:02.320]  I wonder if that's one of the problems that they've cleared up with.
[40:02.320 --> 40:03.320]  Oh, yeah.
[40:03.320 --> 40:09.480]  1.01, because, I mean, it only came out yesterday, I think, or the day before yesterday
[40:09.480 --> 40:10.480]  or the day before.
[40:10.480 --> 40:13.440]  Maybe it hasn't been enough time, but I haven't seen it again yet.
[40:13.440 --> 40:14.440]  Yeah.
[40:14.440 --> 40:15.440]  I haven't either.
[40:15.440 --> 40:19.520]  I don't think there's much user facing stuff in that update.
[40:19.520 --> 40:22.640]  No, I don't think so either except for the emoji.
[40:22.640 --> 40:23.640]  Oh, yeah.
[40:23.640 --> 40:24.640]  True.
[40:24.640 --> 40:25.640]  And the new language support.
[40:25.640 --> 40:27.680]  They did add a bunch of languages.
[40:27.680 --> 40:28.680]  That's good.
[40:28.680 --> 40:29.680]  Yeah.
[40:29.680 --> 40:30.680]  I have it.
[40:30.680 --> 40:31.680]  So, which watch are you wearing?
[40:31.680 --> 40:36.000]  I'll tell you one second, when you, when you, I don't know for a lot to talk about this,
[40:36.000 --> 40:45.400]  when you received your review unit, was there some sort of like space that you went to or
[40:45.400 --> 40:46.400]  something like that?
[40:46.400 --> 40:49.400]  Was there like a meeting place that you went to?
[40:49.400 --> 40:50.400]  Yeah.
[40:50.400 --> 40:52.240]  I think technically I'm not supposed to talk about it.
[40:52.240 --> 40:53.240]  Let's not talk about it.
[40:53.240 --> 40:58.280]  Yeah, but you go that, but you know, but I just like any other product, I have personally
[40:58.280 --> 41:04.920]  never once received any review unit from Apple that wasn't accompanied by a briefing
[41:04.920 --> 41:08.560]  where you talked to somebody from Apple and they, you know, and it sounds annoying.
[41:08.560 --> 41:16.320]  But they, they, in my experience also, they're also very respectful of your time and
[41:16.320 --> 41:20.680]  patience and they don't really waste your time, but they definitely, they don't just give
[41:20.680 --> 41:21.680]  you a box.
[41:21.680 --> 41:25.920]  They certainly don't ship them to you, you know, they just sort of run you through some
[41:25.920 --> 41:29.360]  basics, no matter what the product is.
[41:29.360 --> 41:32.680]  And so yeah, I had to go, I went to New York and had a briefing there.
[41:32.680 --> 41:34.080]  All right.
[41:34.080 --> 41:39.040]  I, I guess, I don't know if I'm going to talk about this either, but let's, I'm going
[41:39.040 --> 41:40.880]  to say something because why not?
[41:40.880 --> 41:42.960]  Because it was cool.
[41:42.960 --> 41:45.040]  I got mine after you got yours.
[41:45.040 --> 41:49.600]  And I think, I think someone else, I think Philip Elmer DeWitt was at the same kind of wave
[41:49.600 --> 41:50.600]  that I was in.
[41:50.600 --> 41:55.760]  And I think he wrote about it in a, in a somewhat cranky, amusing way.
[41:55.760 --> 42:01.840]  But was, what was interesting is that at the thing I attended, Apple had brought in their
[42:01.840 --> 42:08.960]  two tables full of watches to give you a demo of to, and it's not at an Apple store.
[42:08.960 --> 42:12.600]  This was at a, you know, at a totally different place.
[42:12.600 --> 42:18.760]  And they had brought in those huge watch displays and a completely unnecessarily, and I thought
[42:18.760 --> 42:22.760]  it was pretty, pretty interesting and kind of unique that they did that.
[42:22.760 --> 42:23.760]  Yeah.
[42:23.760 --> 42:24.760]  They had the same thing.
[42:24.760 --> 42:25.760]  All right.
[42:25.760 --> 42:26.760]  Well, never mind.
[42:26.760 --> 42:27.760]  You had to march.
[42:27.760 --> 42:34.080]  Well, the funny thing is so years ago, when was that, when they, when they first, they
[42:34.080 --> 42:40.760]  had a, they had a briefing for Mac OS X and I wrote about it at Daring Fireball.
[42:40.760 --> 42:42.760]  Oh, right.
[42:42.760 --> 42:47.960]  When that was Shiller at the, yes, yeah, a couple of product, you know, served a couple
[42:47.960 --> 42:52.080]  of the guys from his product marketing team and some people from PR.
[42:52.080 --> 42:56.080]  And I just wrote about the actual experience of the briefing.
[42:56.080 --> 42:59.880]  And I'd asked, you know, they were, and it was, the whole idea was they were giving us
[42:59.880 --> 43:10.840]  access to Mac OS X, 10, 10.8, I think it was at 10.8, let me see when what's that.
[43:10.840 --> 43:14.880]  But it was like they, they had been on a schedule where Mac OS X was getting updated every
[43:14.880 --> 43:20.720]  two years and they wanted to get back on like an every year schedule and it was a surprise.
[43:20.720 --> 43:24.480]  And they said, you know, you want to come meet in New York and they didn't even tell me
[43:24.480 --> 43:25.640]  what it was.
[43:25.640 --> 43:31.760]  And it turned out if we were getting a previous version of, you know, an upcoming version
[43:31.760 --> 43:35.240]  of Mac OS X.
[43:35.240 --> 43:38.960]  And I asked, you know, and they were like, you know, and I was like, was this on the record
[43:38.960 --> 43:39.960]  or off the record?
[43:39.960 --> 43:40.960]  It's on the record.
[43:40.960 --> 43:41.960]  You know, you can write about it.
[43:41.960 --> 43:44.840]  You know, we want you, we want to start getting, you know, we want you guys to
[43:44.840 --> 43:45.840]  use this.
[43:45.840 --> 43:48.480]  They gave us like MacBook Airs or MacBook Pros.
[43:48.480 --> 43:50.040]  I forget which preloaded with it.
[43:50.040 --> 43:53.880]  So we didn't have to put a beta on our regular machines.
[43:53.880 --> 43:56.880]  And they were like, it's on the record.
[43:56.880 --> 43:59.600]  You can talk about this, you know, what you learn.
[43:59.600 --> 44:05.080]  But they did not anticipate me going meta and writing about the actual briefing as opposed
[44:05.080 --> 44:07.160]  to what was said about the thing.
[44:07.160 --> 44:10.440]  And they weren't, I wasn't, I didn't get like a nasty grammar or anything.
[44:10.440 --> 44:14.820]  But then every other briefing since they've always reminded me that they've changed
[44:14.820 --> 44:21.200]  the language of the what's on the record and what's off the record such that writing
[44:21.200 --> 44:25.320]  about the event, you know, the briefing itself is actually, you know, it's supposed to.
[44:25.320 --> 44:29.280]  Well, here, there's called it, they've called it the John Gruber class.
[44:29.280 --> 44:36.120]  Well, here's the, here's the fortune article by Elmer DeWitt that it'll be the new
[44:36.120 --> 44:45.720]  clause, I just say there he is trying it, photo credit, Apple PR.
[44:45.720 --> 44:46.720]  Awesome.
[44:46.720 --> 44:52.520]  Anyway, I just thought that was an interesting example of going above, above what's
[44:52.520 --> 44:56.960]  necessary to do something in a cool way.
[44:56.960 --> 44:58.680]  And maybe we'll have to edit this whole thing out.
[44:58.680 --> 44:59.680]  I don't know.
[44:59.680 --> 45:01.120]  No, I think it's all right.
[45:01.120 --> 45:05.040]  So anyway, so you asked me what I'm, what I'm wearing.
[45:05.040 --> 45:16.040]  And it's the, the blue sport version, which is my, the one I personally ordered and I love
[45:16.040 --> 45:17.040]  it.
[45:17.040 --> 45:23.840]  I tried out the, you know, the main watch and they, and I got the millenaze loop and the
[45:23.840 --> 45:29.480]  green sport band, which is not doesn't look as great.
[45:29.480 --> 45:30.960]  I think the blue one looks really good.
[45:30.960 --> 45:36.200]  I've been, I've really enjoyed it, it's, I noticed the, the weight difference between
[45:36.200 --> 45:40.400]  this one and the main one and I actually prefer the lighter one.
[45:40.400 --> 45:45.840]  I'm not, you know, it's not even for, I'm not like going on running with it all the time.
[45:45.840 --> 45:52.320]  I just kind of like the, the lighter thing, but I also had never in my life owned a heavy
[45:52.320 --> 45:54.560]  kind of dude watch or anything like that.
[45:54.560 --> 45:55.560]  Yeah.
[45:55.560 --> 46:04.560]  Last watch I wore was a Casio calculator watch unironically in middle school or something like
[46:04.560 --> 46:05.560]  that.
[46:05.560 --> 46:08.160]  I think anybody would get used to any weight watch.
[46:08.160 --> 46:11.920]  The gold one might always be, it feel a little heavy, but only in a way that I think you'd
[46:11.920 --> 46:13.800]  want a gold watch to feel heavy.
[46:13.800 --> 46:16.960]  Like you kind of don't want to forget that you're wearing a gold watch.
[46:16.960 --> 46:21.400]  But I, I had someone who's worn a heavyish stainless steel watch for a couple of years.
[46:21.400 --> 46:25.840]  I found it a little bit hard to get used to it first, but it, it quickly you, you
[46:25.840 --> 46:27.640]  acclimate.
[46:27.640 --> 46:32.400]  I noticed it most with, I've tried just just experimenting with Apple watch.
[46:32.400 --> 46:37.640]  I've tried wearing it on my right wrist just to see what left handed mode is like.
[46:37.640 --> 46:41.160]  And when I put it on my other wrist, I was like, holy crap, this is heavy, but it's funny
[46:41.160 --> 46:44.120]  because my left wrist is so used to wearing a watch that I never noticed it.
[46:44.120 --> 46:47.480]  But for people who haven't been wearing a watch the last few years, I can totally see
[46:47.480 --> 46:52.720]  how the first impression would be, I like the sport watch because this feels, this doesn't
[46:52.720 --> 46:55.040]  feel like I've got something weighing my wrist down.
[46:55.040 --> 46:58.320]  Yeah, it's, I mean, it's not a huge difference.
[46:58.320 --> 47:02.720]  And, and actually the millenace loop is lighter than the sport band.
[47:02.720 --> 47:09.880]  So the all in weight is almost the same, but it just kind of distributed more, more evenly.
[47:09.880 --> 47:16.320]  Anyway, the thing I like here, so just to go back to this, the space black, my, my
[47:16.320 --> 47:20.000]  day, you know, 24 hours with it impression, is it exactly what I thought it was going
[47:20.000 --> 47:26.560]  to be like when I bought it, which is that it just looks like one shiny black object
[47:26.560 --> 47:31.120]  on my wrist, especially when the screen is off.
[47:31.120 --> 47:35.160]  It doesn't look like a shiny device with a black display.
[47:35.160 --> 47:37.880]  It just looks like a black thing on my wrist.
[47:37.880 --> 47:41.600]  And then when it lights up, and it's like on the watch face, it, to me, it looks really
[47:41.600 --> 47:45.920]  cool that the, you know, it's just the only thing you really see are the pixels of the watch
[47:45.920 --> 47:46.920]  face.
[47:46.920 --> 47:51.760]  Like it, it, now it's not that you can't see the edge between the sapphire and the, the
[47:51.760 --> 47:54.400]  stainless steel butt at a glance, you can't.
[47:54.400 --> 47:56.680]  It's all just shiny and black.
[47:56.680 --> 47:58.600]  It's a very, it's a very cool effect in my opinion.
[47:58.600 --> 48:00.520]  Yeah, I think that's a good look.
[48:00.520 --> 48:06.640]  The, this, this, the, I don't know what you'd call aluminum sport.
[48:06.640 --> 48:10.520]  Definitely when it's off, kind of has a distinct look to it.
[48:10.520 --> 48:13.400]  It's very bright and it attracts a lot of light.
[48:13.400 --> 48:17.280]  So it's, I don't think this will age well.
[48:17.280 --> 48:21.640]  And one of the reasons I got the cheaper one is because I figure I'll be upgrading this
[48:21.640 --> 48:24.760]  probably every generation for the foreseeable future.
[48:24.760 --> 48:32.680]  So, you know, budget, but it definitely sticks out.
[48:32.680 --> 48:38.240]  The other thing I noticed, and I'm curious to see, because I know like the space black
[48:38.240 --> 48:41.400]  ones only started shipping a few days ago, like I didn't get the first one.
[48:41.400 --> 48:47.960]  But I, I don't think anybody got one more than like like three or four days before me.
[48:47.960 --> 48:52.720]  And friend of the show, everybody internet, sweetheart Renee Ritchie was waiting for one
[48:52.720 --> 48:53.720]  two.
[48:53.720 --> 48:57.440]  I think he, and his seemed to ship at the same time mine did, but, but because his is going
[48:57.440 --> 48:59.640]  to Canada, he probably didn't get it till today.
[48:59.640 --> 49:02.440]  But I, I haven't looked at Twitter today, I bet he's got it.
[49:02.440 --> 49:08.200]  Um, I'm really curious to see if other people have this problem too is, um, I
[49:08.200 --> 49:13.600]  like, when I tried to take the band off, the bracelet off, it was, it, I, at first I thought
[49:13.600 --> 49:16.480]  it was stuck, like I, you know, and I'm used to taking it on and off.
[49:16.480 --> 49:22.040]  I've swatched swap the band on my review unit dozens of times over the last six weeks.
[49:22.040 --> 49:25.240]  And even right from day one never really had a problem with it.
[49:25.240 --> 49:28.680]  You click those little release buttons, slide it out, and it just goes out.
[49:28.680 --> 49:33.280]  With this space black one, I'd click the button and the button definitely went in.
[49:33.280 --> 49:38.840]  And the bracelet just did not budge in that slot, just didn't budge.
[49:38.840 --> 49:44.000]  And I, at first I thought, mm, and then I, I really started to think maybe this is, you
[49:44.000 --> 49:45.800]  know, I've, I've got another problem here.
[49:45.800 --> 49:50.200]  Um, so then I put it down on a table and I really pressed the button hard and I really
[49:50.200 --> 49:56.400]  put a little bit more force than I was comfortable exerting to slide the band out.
[49:56.400 --> 49:58.360]  And it nudged a little bit.
[49:58.360 --> 50:01.240]  And then once I got it going a little bit, I could get it out.
[50:01.240 --> 50:06.080]  But more or less, it just felt like there was a lot of friction and it was a very tight
[50:06.080 --> 50:08.280]  fit.
[50:08.280 --> 50:14.840]  And then after I got both halves out once, it never was that difficult to get, you know,
[50:14.840 --> 50:15.840]  to do it again.
[50:15.840 --> 50:22.480]  But it's still, even after doing it a few times, has an amount of friction that is unlike
[50:22.480 --> 50:25.120]  the review unit one.
[50:25.120 --> 50:30.960]  So I talked to the, what's his name, Greg Koenig, the guy, the guy who has all these crazy
[50:30.960 --> 50:35.960]  cool insights into the, the metallurgy of the Apple Watch, you know, the, he wrote that,
[50:35.960 --> 50:40.080]  uh, amazing post about, you know, what Apple's doing with metal.
[50:40.080 --> 50:42.720]  You know, the guy I'm talking about on Twitter.
[50:42.720 --> 50:43.720]  Yeah.
[50:43.720 --> 50:49.360]  Um, so I asked him about it and he said, like I was like, so do you think this DLC coding
[50:49.360 --> 50:51.200]  would that increase friction?
[50:51.200 --> 50:53.200]  And he was like, no, the opposite.
[50:53.200 --> 50:59.480]  Um, you know, a lot of like high end machine tools are used at DLC coding to decrease
[50:59.480 --> 51:00.480]  friction.
[51:00.480 --> 51:03.720]  Um, so it's not the DLC coding.
[51:03.720 --> 51:10.480]  His theory and it probably makes sense to me is that I just happened to get like a bracelet
[51:10.480 --> 51:16.360]  that, you know, within their tolerances, which are crazy small, has a slightly thicker,
[51:16.360 --> 51:23.320]  you know, lugs on the bracelet that slide in and I got a watch with slightly thinner,
[51:23.320 --> 51:25.320]  diameter slot.
[51:25.320 --> 51:29.840]  And it just happened, you know, both are within range, but because the slots a little tighter
[51:29.840 --> 51:34.000]  and the bracelets, a little thicker, it just makes for a tighter fit.
[51:34.000 --> 51:38.760]  And that it's sort of inevitable at manufacturing things at the scale that Apple is that,
[51:38.760 --> 51:41.440]  you know, you run into something like this.
[51:41.440 --> 51:46.440]  Whereas like if you were buying a thousand dollar watch from Rolex, you'd never run into
[51:46.440 --> 51:50.080]  this because everything is done by hand and they're not doing, you know, a million units
[51:50.080 --> 51:51.080]  a month.
[51:51.080 --> 51:52.080]  Yeah.
[51:52.080 --> 51:53.080]  And you got to assume it.
[51:53.080 --> 51:57.360]  Well, I don't know, but I would assume that over time it'll loosen up a bit.
[51:57.360 --> 51:58.360]  But I don't know.
[51:58.360 --> 51:59.360]  Yeah.
[51:59.360 --> 52:00.840]  It's definitely loosened up from the first time I took it off.
[52:00.840 --> 52:05.560]  Like, and it really does, and I assume some of this stuff is not done by robots.
[52:05.560 --> 52:09.640]  I mean, whenever you see behind the scenes stuff in Apple's assembly places, I mean, it
[52:09.640 --> 52:13.520]  seems like everything's done by hand really are almost everything, you know.
[52:13.520 --> 52:18.400]  And then, um, I just presume that somebody there had to put the bracelet on the watch and
[52:18.400 --> 52:23.040]  could tell that it was tight, but let it slide, I mean, and again, it's not just function
[52:23.040 --> 52:24.040]  at all.
[52:24.040 --> 52:28.520]  And once I did it once it was easier to get it on and off, but I'm curious to see, um, it
[52:28.520 --> 52:33.160]  just seems like we're seeing so many little things that affect a small number of people
[52:33.160 --> 52:37.600]  with the watch, you know, and I'm curious to see if this is one of them once the space
[52:37.600 --> 52:39.640]  black ships to more people.
[52:39.640 --> 52:47.920]  Well, that kind of helps explain some of the, uh, quantity issues, yeah, I definitely
[52:47.920 --> 52:48.920]  think so.
[52:48.920 --> 52:51.120]  I mean, I mean, it's the first time they're making these things.
[52:51.120 --> 52:55.720]  So sure, of course, there's going to be, and they're all different.
[52:55.720 --> 53:01.400]  So there's going to be some stuff here and there for removing the links from the bracelet,
[53:01.400 --> 53:05.320]  you know, the way you take the links out to resize it, it was easy as pie just as easy
[53:05.320 --> 53:09.520]  as it was with the regular stainless steel one I had as a review unit.
[53:09.520 --> 53:10.520]  That was easy.
[53:10.520 --> 53:14.920]  It was only taking the bracelet out of the slot.
[53:14.920 --> 53:19.360]  That's interesting that the coating makes it have less friction because I would not have
[53:19.360 --> 53:21.360]  it.
[53:21.360 --> 53:26.160]  The other thing too, before we move on, I'll just say it does feel weird to the touch like
[53:26.160 --> 53:32.000]  not weird in a bad way, but like, if I close my eyes and just run my finger over the side
[53:32.000 --> 53:35.480]  of the watch, it doesn't really feel like metal to me.
[53:35.480 --> 53:39.600]  It doesn't feel like steel, but it doesn't feel like plastic or rubber.
[53:39.600 --> 53:44.840]  It feels like I don't know, like I think if I was really honest and I didn't know what
[53:44.840 --> 53:48.320]  it was and I was blindfolded and you said, what substance is this?
[53:48.320 --> 53:50.320]  I'm not sure I'd be able to guess.
[53:50.320 --> 53:54.520]  It's a very strange feeling, not in any way unpleasant.
[53:54.520 --> 53:55.520]  It's nice.
