[00:00.000 --> 00:02.000]  How is sunny California?
[28:14.000 --> 28:16.000]  Apple can do better than that.
[28:16.000 --> 28:17.000]  We can't, you know, we, Apple,
[28:17.000 --> 28:19.000]  can't say we don't have the resources to do better than this.
[28:19.000 --> 28:21.000]  We have billions of dollars.
[28:21.000 --> 28:24.000]  We could and should do better.
[28:24.000 --> 28:25.000]  Absolutely.
[28:25.000 --> 28:27.000]  I mean, so around that time, there was a rework
[28:27.000 --> 28:29.000]  in the marketing organization as well,
[28:29.000 --> 28:30.000]  and, you know, Phil Schiller took full responsibility
[28:30.000 --> 28:32.000]  for the App Store, but at the same time,
[28:32.000 --> 28:33.000]  you know, someone like Greg Joswiak,
[28:33.000 --> 28:34.000]  who's also phenomenal,
[28:34.000 --> 28:36.000]  took on full product marketing responsibilities
[28:36.000 --> 28:38.000]  across the range of Apple products,
[28:38.000 --> 28:40.000]  not just iOS devices anymore.
[28:40.000 --> 28:41.000]  And I think that allowed a lot of them
[28:41.000 --> 28:43.000]  to sort of focus down on these issues
[28:43.000 --> 28:45.000]  and avoid anything slipping through the cracks.
[28:45.000 --> 28:48.000]  But also, as Apple scales, Phil Schiller is phenomenal.
[28:48.000 --> 28:50.000]  EdiQ is phenomenal.
[28:50.000 --> 28:51.000]  Craig Vedericki is phenomenal.
[28:51.000 --> 28:53.000]  But the amount of product that they have to ship now
[28:53.000 --> 28:54.000]  is exponentially bigger
[28:54.000 --> 28:56.000]  than what they had to ship several years ago,
[28:56.000 --> 28:57.000]  and they're still human beings,
[28:57.000 --> 29:00.000]  and they can't look at everything all the time.
[29:00.000 --> 29:03.000]  So having people who have that more focused responsibility,
[29:03.000 --> 29:05.000]  I think, is really great.
[29:05.000 --> 29:07.000]  Like, for a long time, all I wanted from Apple
[29:07.000 --> 29:09.000]  was a front-facing vice president of App Store,
[29:09.000 --> 29:11.000]  and with Phil Schiller, you know,
[29:11.000 --> 29:13.000]  it might even be better than that world,
[29:13.000 --> 29:14.000]  because Phil is...
[29:14.000 --> 29:15.000]  It's funny, because, like,
[29:15.000 --> 29:16.000]  you still have certain personalities
[29:16.000 --> 29:17.000]  from the Apple groups.
[29:17.000 --> 29:18.000]  Like, it always seems like EdiQ's group
[29:18.000 --> 29:20.000]  is slightly, you know, louder shirts
[29:20.000 --> 29:22.000]  and a little looser-going,
[29:22.000 --> 29:24.000]  and Phil Schiller is, like, very, very focused
[29:24.000 --> 29:26.000]  and really cares about the user experience,
[29:26.000 --> 29:28.000]  and you all have these distinct personalities,
[29:28.000 --> 29:30.000]  but giving him the App Store and letting him run it,
[29:30.000 --> 29:32.000]  I think regardless of whether the organization
[29:32.000 --> 29:33.000]  has always been his,
[29:33.000 --> 29:35.000]  it lets him focus down on that
[29:35.000 --> 29:37.000]  and say, if I'm waking up today
[29:37.000 --> 29:39.000]  and I want to make App Store a phenomenal product,
[29:39.000 --> 29:41.000]  and not just for developers, but for users,
[29:41.000 --> 29:42.000]  because if there's a bug in an app,
[29:42.000 --> 29:44.000]  I don't want that bug for a week.
[29:44.000 --> 29:45.000]  I want that bug fixed immediately,
[29:45.000 --> 29:47.000]  and me having to wait for a developer to get a review,
[29:47.000 --> 29:50.000]  I feel bad for the developer, but I want my bug fixed,
[29:50.000 --> 29:53.000]  and this fixes a really big-facing customer issue.
[29:53.000 --> 29:54.000]  What do you think...
[29:54.000 --> 29:57.000]  So what do you think they're doing differently?
[29:57.000 --> 29:58.000]  I think... Part of it, I think,
[29:58.000 --> 29:59.000]  is just they made personnel changes
[29:59.000 --> 30:01.000]  that they really should have made years ago.
[30:01.000 --> 30:02.000]  I mean, like, when you'd hear
[30:02.000 --> 30:03.000]  what was going on behind some of this,
[30:03.000 --> 30:05.000]  like, we see this stuff on the outside,
[30:05.000 --> 30:07.000]  but people inside Apple feel this stuff,
[30:07.000 --> 30:08.000]  feel the same kind of pain we do,
[30:08.000 --> 30:10.000]  and they see decisions that don't make any sense
[30:10.000 --> 30:12.000]  and reversals and things like that,
[30:12.000 --> 30:13.000]  and just it kept coming back
[30:13.000 --> 30:15.000]  to sort of the same group of people,
[30:15.000 --> 30:18.000]  and reorging that seems to have taken care of that.
[30:18.000 --> 30:20.000]  So, like, I don't know if there is technical issues
[30:20.000 --> 30:21.000]  that they change, too,
[30:21.000 --> 30:23.000]  but it just seems like this really coincided
[30:23.000 --> 30:25.000]  with reorganizing App Review.
[30:25.000 --> 30:26.000]  It has to be...
[30:26.000 --> 30:28.000]  There has to be procedural differences, though.
[30:28.000 --> 30:31.000]  There has to be something that they're doing procedurally
[30:31.000 --> 30:33.000]  that is different than what they were doing before,
[30:33.000 --> 30:35.000]  because it's just...
[30:35.000 --> 30:39.000]  Even just throwing more reviewers at it,
[30:39.000 --> 30:40.000]  if it was a backlog,
[30:40.000 --> 30:44.000]  I don't think would result in same-day submissions.
[30:44.000 --> 30:47.000]  I know I just was listening to ATP this morning,
[30:47.000 --> 30:49.000]  and I know Marco had the exact same experience
[30:49.000 --> 30:54.000]  where he had a same-day approval of an Overcast update,
[30:54.000 --> 30:55.000]  which it just...
[30:55.000 --> 30:59.000]  I mean, same day, it's just not how the App Store looks.
[30:59.000 --> 31:01.000]  So something is different procedurally.
[31:01.000 --> 31:03.000]  I think that with this reorg,
[31:03.000 --> 31:05.000]  the reorg put people in place
[31:05.000 --> 31:08.000]  who were willing to institute the procedural changes
[31:08.000 --> 31:09.000]  that we're seeing,
[31:09.000 --> 31:10.000]  and I think one of them,
[31:10.000 --> 31:13.000]  it has to be something where they've enabled reviewers
[31:13.000 --> 31:16.000]  to sort of look at the history of a developer.
[31:16.000 --> 31:17.000]  I'm just guessing.
[31:17.000 --> 31:18.000]  It's just a guess,
[31:18.000 --> 31:19.000]  but let's say,
[31:19.000 --> 31:20.000]  okay, here's an app.
[31:20.000 --> 31:23.000]  It's from Marco Arment,
[31:23.000 --> 31:27.000]  and here's the history of submissions that he's made.
[31:27.000 --> 31:28.000]  It's, oh, look at how many...
[31:28.000 --> 31:30.000]  You know, this is a very popular app,
[31:30.000 --> 31:33.000]  and here's how many updates he has submitted.
[31:33.000 --> 31:38.000]  He's never abused the system by...
[31:38.000 --> 31:39.000]  I can't help but think that
[31:39.000 --> 31:42.000]  if you started submitting builds daily,
[31:42.000 --> 31:43.000]  that if you just...
[31:43.000 --> 31:44.000]  Every single...
[31:44.000 --> 31:47.000]  If you started submitting the equivalent of nightly builds,
[31:47.000 --> 31:49.000]  you're not going to get same-day approval.
[31:49.000 --> 31:50.000]  I think that they're going to,
[31:50.000 --> 31:51.000]  I would guess,
[31:51.000 --> 31:53.000]  look at the history and put the brakes on that
[31:53.000 --> 31:55.000]  and say no.
[31:55.000 --> 31:57.000]  But if your history is,
[31:57.000 --> 31:59.000]  wow, you've never been a problem.
[31:59.000 --> 32:02.000]  This is obviously a legitimate app.
[32:02.000 --> 32:05.000]  Here, let's just make sure that there are no crashers.
[32:05.000 --> 32:07.000]  Let's open it up and go through
[32:07.000 --> 32:08.000]  and see that everything works.
[32:08.000 --> 32:09.000]  Okay, there you go.
[32:09.000 --> 32:10.000]  You're through.
[32:10.000 --> 32:13.000]  Yeah, I think it's exactly that.
[32:13.000 --> 32:15.000]  I think it's putting together a smart system,
[32:15.000 --> 32:17.000]  and what I liked about Cable's tweet, too,
[32:17.000 --> 32:18.000]  is that it said they could cut the crash,
[32:18.000 --> 32:19.000]  the crash was fixed,
[32:19.000 --> 32:20.000]  then the app went out.
[32:20.000 --> 32:22.000]  So they're not just suddenly opening the gates
[32:22.000 --> 32:23.000]  and saying, fine, just get rid of the backlog,
[32:23.000 --> 32:24.000]  push all apps out.
[32:24.000 --> 32:25.000]  They're running those instruments,
[32:25.000 --> 32:26.000]  and they're running those tests,
[32:26.000 --> 32:28.000]  and they're finding those things.
[32:28.000 --> 32:29.000]  And then if that flags it,
[32:29.000 --> 32:30.000]  maybe they're paying better attention to it
[32:30.000 --> 32:31.000]  and say, we caught this bug.
[32:31.000 --> 32:32.000]  Oh, the guy's resubmitted it.
[32:32.000 --> 32:33.000]  Let's go.
[32:33.000 --> 32:34.000]  Nothing else was wrong with it.
[32:34.000 --> 32:36.000]  And maybe just they got rid of people
[32:36.000 --> 32:39.000]  whose opinions were not congruent
[32:39.000 --> 32:40.000]  or weren't easy to work with
[32:40.000 --> 32:42.000]  or were holding back other people.
[32:42.000 --> 32:43.000]  Because it really,
[32:43.000 --> 32:44.000]  if you think about it linearly,
[32:44.000 --> 32:45.000]  it should not be app review
[32:45.000 --> 32:46.000]  or making choices about what is
[32:46.000 --> 32:48.000]  and what isn't proper user experience.
[32:48.000 --> 32:50.000]  It's whole realms of other people at Apple
[32:50.000 --> 32:51.000]  much better positioned to do that
[32:51.000 --> 32:53.000]  before an app ever hits review.
[32:53.000 --> 32:55.000]  So getting all that out of the way
[32:55.000 --> 32:56.000]  and putting in that system
[32:56.000 --> 32:57.000]  and then just applying it
[32:57.000 --> 32:59.000]  I think is the key to what we're seeing now.
[32:59.000 --> 33:00.000]  Yeah, I think so.
[33:00.000 --> 33:02.000]  But it's very, very good news.
[33:02.000 --> 33:05.000]  And it's one of those rare things
[33:05.000 --> 33:09.000]  that there is no downside to this whatsoever.
[33:09.000 --> 33:10.000]  There is no,
[33:10.000 --> 33:12.000]  so whatever they're doing at Apple,
[33:12.000 --> 33:13.000]  whoever, if you're listening
[33:13.000 --> 33:16.000]  and you work in developer relations,
[33:16.000 --> 33:19.000]  the entire world of third-party developers
[33:19.000 --> 33:21.000]  says thank you.
[33:21.000 --> 33:22.000]  Yeah, absolutely.
[33:22.000 --> 33:23.000]  And to go back to your point,
[33:23.000 --> 33:26.000]  the App Store is a phenomenal business for Apple.
[33:26.000 --> 33:28.000]  And developers do have pain points.
[33:28.000 --> 33:29.000]  And it's really hard,
[33:29.000 --> 33:30.000]  it's not hard,
[33:30.000 --> 33:31.000]  but it's hard emotionally to sort out
[33:31.000 --> 33:33.000]  because a lot of our friends are developers.
[33:33.000 --> 33:35.000]  And you'll go to WWDC
[33:35.000 --> 33:36.000]  and see the App Store labs
[33:36.000 --> 33:37.000]  and a developer will go in there
[33:37.000 --> 33:38.000]  and say, I made a great app.
[33:38.000 --> 33:39.000]  Are you going to feature it?
[33:39.000 --> 33:41.000]  And they'll say, what's your marketing plan?
[33:41.000 --> 33:42.000]  And developers say, I don't need one.
[33:42.000 --> 33:43.000]  I'm going to feature it, right?
[33:43.000 --> 33:45.000]  And they're like, well, even if we do feature it,
[33:45.000 --> 33:47.000]  that's one week out of 51.
[33:47.000 --> 33:49.000]  What are you doing for the other 51 weeks?
[33:49.000 --> 33:50.000]  And that's the kind of thing
[33:50.000 --> 33:51.000]  that App Store can't really fix.
[33:51.000 --> 33:52.000]  They'll never be able to,
[33:52.000 --> 33:53.000]  no matter how good your app is,
[33:53.000 --> 33:55.000]  they'll never be able to artificially
[33:55.000 --> 33:56.000]  make it a hit app,
[33:56.000 --> 33:58.000]  especially in the climate we are in now.
[33:58.000 --> 34:00.000]  But they can fix a lot of things.
[34:00.000 --> 34:02.000]  Search is a solved problem.
[34:02.000 --> 34:03.000]  I type in tweetbot.
[34:03.000 --> 34:04.000]  I should get tweetbot.
[34:04.000 --> 34:06.000]  There should be no discussion about that anymore.
[34:06.000 --> 34:07.000]  Google can handle that.
[34:07.000 --> 34:10.000]  I think AltaVista handled that.
[34:10.000 --> 34:11.000]  But it's still something that's not workable.
[34:11.000 --> 34:13.000]  On the App Store.
[34:13.000 --> 34:15.000]  And I understand the technical reasons.
[34:15.000 --> 34:17.000]  I understand the infrastructure reasons.
[34:17.000 --> 34:21.000]  But why isn't there a metadata layer
[34:21.000 --> 34:23.000]  that just intermediates that stuff
[34:23.000 --> 34:25.000]  and then goes to the old school database system,
[34:25.000 --> 34:27.000]  pulls the likely results and gives me that?
[34:27.000 --> 34:29.000]  Search widening, sloppy search, nearest neighbor.
[34:29.000 --> 34:32.000]  All these things, these can help developers.
[34:32.000 --> 34:33.000]  If I search for Twitter,
[34:33.000 --> 34:35.000]  I should get relevant results,
[34:35.000 --> 34:36.000]  not just linear,
[34:36.000 --> 34:38.000]  like, oh, this has Twitter in the name.
[34:38.000 --> 34:40.000]  I want tweetbot in that result.
[34:40.000 --> 34:41.000]  And that's sort of a thing, I think,
[34:41.000 --> 34:43.000]  that affects customers and affects developers.
[34:43.000 --> 34:46.000]  And it's something that Apple absolutely knows about that,
[34:46.000 --> 34:47.000]  and they feel that pain.
[34:47.000 --> 34:49.000]  But those are sort of things that I really hope
[34:49.000 --> 34:51.000]  that they figure out how to fix sooner rather than later.
[34:51.000 --> 34:53.000]  Yeah, it's got to be.
[34:53.000 --> 34:54.000]  I hope so.
[34:54.000 --> 34:56.000]  This is a sign that makes me think
[34:56.000 --> 34:59.000]  that I would bet on them fixing App Store search
[34:59.000 --> 35:01.000]  in the near future,
[35:01.000 --> 35:03.000]  just because it seems like somebody's paying attention
[35:03.000 --> 35:07.000]  to these little long-standing issues.
[35:07.000 --> 35:09.000]  And that's another one that's super long-standing.
[35:09.000 --> 35:11.000]  And I've made the exact same argument.
[35:11.000 --> 35:15.000]  I don't care how hard a technical problem it is.
[35:15.000 --> 35:18.000]  Apple cannot cry poor, right?
[35:18.000 --> 35:19.000]  Yes.
[35:19.000 --> 35:22.000]  And it is, you know, however hard it is,
[35:22.000 --> 35:24.000]  it's obviously been solved.
[35:24.000 --> 35:28.000]  And so the standard, the bar is Google, right?
[35:28.000 --> 35:32.000]  And you should not be able to get better search results
[35:32.000 --> 35:35.000]  by typing in a Google box,
[35:35.000 --> 35:38.000]  like your example, tweetbot iOS.
[35:38.000 --> 35:40.000]  You should not, iOS app,
[35:40.000 --> 35:44.000]  you should not be more likely to be led to tweetbot
[35:44.000 --> 35:46.000]  than if you type tweetbot in the App Store.
[35:46.000 --> 35:47.000]  It's got to be that good.
[35:47.000 --> 35:50.000]  And it can't be as hard as web search
[35:50.000 --> 35:52.000]  because web search is searching everything.
[35:52.000 --> 35:53.000]  You're only searching,
[35:53.000 --> 35:55.000]  I don't care how many million apps you have,
[35:55.000 --> 35:57.000]  you're only searching your own apps.
[35:57.000 --> 35:59.000]  I just feel like Apple got burned
[35:59.000 --> 36:02.000]  by whatever original algorithm they used for search
[36:02.000 --> 36:06.000]  where they trusted the metadata from developers
[36:06.000 --> 36:08.000]  and opened the door to being scammed.
[36:08.000 --> 36:10.000]  That's, I mean, it's a huge part of the problem
[36:10.000 --> 36:11.000]  with the search results
[36:11.000 --> 36:14.000]  is that you get search results that are unrelated
[36:14.000 --> 36:18.000]  and then if you actually, like, look at the metadata,
[36:18.000 --> 36:21.000]  it's that they've put, like, in their list of keywords
[36:21.000 --> 36:23.000]  that, you know, we want to be searched by,
[36:23.000 --> 36:24.000]  they put competing app names in,
[36:24.000 --> 36:26.000]  which is supposed to be against the rules,
[36:26.000 --> 36:28.000]  but it obviously doesn't get flagged.
[36:28.000 --> 36:31.000]  Yeah, I mean, to go back to your point a minute ago,
[36:31.000 --> 36:33.000]  I believe it's the customer's job
[36:33.000 --> 36:34.000]  to protect me even from myself.
[36:34.000 --> 36:36.000]  So I really, I'm very hesitant
[36:36.000 --> 36:38.000]  to ever blame a user for something,
[36:38.000 --> 36:39.000]  and if I'm doing something wrong,
[36:39.000 --> 36:40.000]  that's fine, I'm doing it wrong,
[36:40.000 --> 36:42.000]  but it's still, if I'm using a company like Apple,
[36:42.000 --> 36:43.000]  I want them to do everything possible
[36:43.000 --> 36:45.000]  to stop me from making mistakes.
[36:45.000 --> 36:47.000]  And I don't even need keywords.
[36:47.000 --> 36:49.000]  Like, that's part of the problem that's bewildering to me
[36:49.000 --> 36:51.000]  is that you just, and I hate saying this
[36:51.000 --> 36:53.000]  because it's so easy to say how you can fix these things,
[36:53.000 --> 36:56.000]  but I'm just talking about, I type in tweetbot without,
[36:56.000 --> 36:58.000]  and I miss the e because I'm human
[36:58.000 --> 36:59.000]  and I make a spelling mistake,
[36:59.000 --> 37:00.000]  and that doesn't result,
[37:00.000 --> 37:02.000]  that doesn't rely on keywords at all.
[37:02.000 --> 37:03.000]  That's just you have a database of things
[37:03.000 --> 37:06.000]  and you know how to do nearest neighbor and search widening
[37:06.000 --> 37:09.000]  and basic things that search has been doing for a decade,
[37:09.000 --> 37:11.000]  and you know what the most popular result is
[37:11.000 --> 37:13.000]  that's close to that one,
[37:13.000 --> 37:14.000]  and you provide me with that result
[37:14.000 --> 37:16.000]  because that's what I want,
[37:16.000 --> 37:19.000]  and you kind of do that extra work to give me what I want.
[37:19.000 --> 37:22.000]  And it sort of feels like iTunes,
[37:22.000 --> 37:24.000]  which is the overarching infrastructure,
[37:24.000 --> 37:25.000]  all of this was built,
[37:25.000 --> 37:27.000]  the App Store is built on the iTunes Store,
[37:27.000 --> 37:29.000]  which was originally designed to handle music.
[37:29.000 --> 37:31.000]  All of this to me is almost like Apple's version
[37:31.000 --> 37:35.000]  of Windows XP where you have just a legacy product
[37:35.000 --> 37:38.000]  that needs to serve hundreds of millions of people
[37:38.000 --> 37:41.000]  with an incredibly diverse range of use cases.
[37:41.000 --> 37:43.000]  Like Jim Dalrymple wants 10 versions
[37:43.000 --> 37:47.000]  of every Ozzy Osbourne song to play exactly the one he wants
[37:47.000 --> 37:48.000]  whenever he wants it.
[37:48.000 --> 37:50.000]  Well, I just want Siri to say,
[37:50.000 --> 37:52.000]  play me this smooth criminal cover by Glee
[37:52.000 --> 37:53.000]  and it just does it,
[37:53.000 --> 37:55.000]  and I have zero music in my library.
[37:55.000 --> 37:58.000]  And then there's someone who just bought an iPod Nano
[37:58.000 --> 38:00.000]  at Best Buy and wants to sync it on their Windows PC
[38:00.000 --> 38:02.000]  using iTunes over a cable.
[38:02.000 --> 38:04.000]  And you also, on top of that,
[38:04.000 --> 38:06.000]  you have billions of dollars of transactions
[38:06.000 --> 38:07.000]  moving through it,
[38:07.000 --> 38:09.000]  and the person at Virgin Music,
[38:09.000 --> 38:12.000]  who knows how to use the crazy backend of iTunes
[38:12.000 --> 38:14.000]  the way a Bloomberg terminal person
[38:14.000 --> 38:15.000]  knows how to use Bloomberg,
[38:15.000 --> 38:16.000]  and they just have to upload
[38:16.000 --> 38:18.000]  their entire music catalog for that week,
[38:18.000 --> 38:20.000]  and they wouldn't want anything to change
[38:20.000 --> 38:22.000]  because they know how to do it even if it is horrible.
[38:22.000 --> 38:23.000]  And balancing all of that,
[38:23.000 --> 38:25.000]  it's super easy on the internet to say,
[38:25.000 --> 38:27.000]  just fix iTunes and just fix this.
[38:27.000 --> 38:29.000]  I would not want that job.
[38:29.000 --> 38:30.000]  It sounds like, again,
[38:30.000 --> 38:32.000]  like another one of those impossible jobs to me,
[38:32.000 --> 38:33.000]  but it is one of those jobs
[38:33.000 --> 38:35.000]  that Apple has to figure out and fix
[38:35.000 --> 38:36.000]  because it's not getting any better.
[38:36.000 --> 38:38.000]  Yeah.
[38:38.000 --> 38:42.000]  You know, it's just the fact of human nature.
[38:42.000 --> 38:46.000]  We're a terrible, dishonest species collectively.
[38:46.000 --> 38:48.000]  You can't trust metadata.
[38:48.000 --> 38:51.000]  I mean, it sounds laughable,
[38:51.000 --> 38:53.000]  but in the old days, in the 90s,
[38:53.000 --> 38:55.000]  there was a time where search engines,
[38:55.000 --> 38:57.000]  you'd put the meta tag in your HTML
[38:57.000 --> 38:59.000]  and it would be like meta,
[38:59.000 --> 39:00.000]  and here you're supposed to list
[39:00.000 --> 39:02.000]  like a handful of keywords that are like,
[39:02.000 --> 39:04.000]  what is this page about?
[39:04.000 --> 39:06.000]  And search engines would take those
[39:06.000 --> 39:08.000]  and actually like trust them.
[39:08.000 --> 39:10.000]  And so as soon as people figured out
[39:10.000 --> 39:12.000]  that the search engines actually trust them,
[39:12.000 --> 39:13.000]  they would just start loading it up
[39:13.000 --> 39:18.000]  with anything and everything to get SEO.
[39:18.000 --> 39:20.000]  It was keyword stuffing.
[39:20.000 --> 39:21.000]  It's ridiculous.
[39:21.000 --> 39:23.000]  And of course, anything that can be abused
[39:23.000 --> 39:24.000]  is going to be abused,
[39:24.000 --> 39:27.000]  and unfortunately, the App Store can be abused,
[39:27.000 --> 39:29.000]  and it is.
[39:29.000 --> 39:31.000]  You see it anytime you type like a popular app name
[39:31.000 --> 39:33.000]  and all these unrelated apps show up,
[39:33.000 --> 39:36.000]  and it's like, why the hell is that listed?
[39:36.000 --> 39:39.000]  Yeah, which is what Google solved for.
[39:39.000 --> 39:41.000]  They originally had link authority,
[39:41.000 --> 39:43.000]  and now I think that they're judging in social shares
[39:43.000 --> 39:44.000]  and other things like that.
[39:44.000 --> 39:46.000]  You try to determine the authority of the result
[39:46.000 --> 39:48.000]  and give people the results that are more widely respected,
[39:48.000 --> 39:52.000]  not just the ones that have data that you're looking for.
[39:52.000 --> 39:55.000]  Right, like it's the actual actions of users
[39:55.000 --> 39:57.000]  that Google trusts,
[39:57.000 --> 40:00.000]  including things like being able to see like,
[40:00.000 --> 40:02.000]  okay, you searched for X, Y, and Z,
[40:02.000 --> 40:05.000]  and we made this the second result,
[40:05.000 --> 40:06.000]  but you clicked it.
[40:06.000 --> 40:07.000]  That's the one you clicked.
[40:07.000 --> 40:09.000]  And then I searched for X, Y, and Z,
[40:09.000 --> 40:10.000]  and it's the second result,
[40:10.000 --> 40:11.000]  but it's the one I clicked
[40:11.000 --> 40:13.000]  because I realized it's the one I want.
[40:13.000 --> 40:14.000]  And then they're like,
[40:14.000 --> 40:15.000]  well, that must be a good result for X, Y, and Z.
[40:15.000 --> 40:17.000]  Maybe we should make that the top result for X, Y, and Z
[40:17.000 --> 40:19.000]  because all these people are clicking, you know.
[40:19.000 --> 40:20.000]  They do things like that.
[40:20.000 --> 40:21.000]  That can't be cheated.
[40:21.000 --> 40:23.000]  I guess you could try to cheat it by having,
[40:23.000 --> 40:25.000]  you know, bots click them or whatever,
[40:25.000 --> 40:27.000]  but Google, you know, fights against it.
[40:27.000 --> 40:29.000]  Anyway, it needs to be,
[40:29.000 --> 40:31.000]  the App Store needs to be as good as Google Search, period.
[40:31.000 --> 40:32.000]  Yes.
[40:32.000 --> 40:34.000]  For, just for apps, right?
[40:34.000 --> 40:37.000]  Yeah, and again, but it's, again,
[40:37.000 --> 40:39.000]  like I don't know how often you search for email,
[40:39.000 --> 40:41.000]  but I was trying to search for email this morning
[40:41.000 --> 40:42.000]  just to find something I knew was there,
[40:42.000 --> 40:44.000]  and it was inside the email app.
[40:44.000 --> 40:45.000]  It was just a nightmare.
[40:45.000 --> 40:47.000]  But if you go to Spotlight, it works fine.
[40:47.000 --> 40:50.000]  So whatever they're doing,
[40:50.000 --> 40:52.000]  there just has to be a better way of doing it.
[40:52.000 --> 40:54.000]  And I know they walked this back.
[40:54.000 --> 40:55.000]  They were going to have this process
[40:55.000 --> 40:57.000]  because they're super concerned about privacy
[40:57.000 --> 40:59.000]  where they would surface apps online for you
[40:59.000 --> 41:00.000]  if you were looking for them.
[41:00.000 --> 41:02.000]  I mean, they know who has what app installed.
[41:02.000 --> 41:05.000]  So if the Twitter app is installed on everyone's iPhone,
[41:05.000 --> 41:06.000]  yeah, give me that first.
[41:06.000 --> 41:07.000]  But if Tweetbot is on,
[41:07.000 --> 41:09.000]  is the second most installed Twitter app
[41:09.000 --> 41:11.000]  in the iOS ecosystem, show me that second
[41:11.000 --> 41:13.000]  because likely I'll be really happy with it.
[41:13.000 --> 41:14.000]  Hmm.
[41:14.000 --> 41:17.000]  Let me take another break here and thank our next sponsor.
[41:17.000 --> 41:20.000]  It is our good friends at Warby Parker.
[41:20.000 --> 41:24.000]  Warby Parker makes buying glasses online easy and risk-free.
[41:24.000 --> 41:28.000]  Go to warbyparker.com slash the talk show
[41:28.000 --> 41:32.000]  and order your free home try-ons today.
[41:32.000 --> 41:33.000]  I've got Warby Parkers.
[41:33.000 --> 41:34.000]  I've got them.
[41:34.000 --> 41:36.000]  They're great glasses.
[41:36.000 --> 41:39.000]  It could not be an easier way to shop for glasses.
[41:39.000 --> 41:40.000]  You go to the website
[41:40.000 --> 41:43.000]  and you start picking out the ones you want.
[41:43.000 --> 41:44.000]  You can pick up to five of them.
[41:44.000 --> 41:46.000]  And if you only find like three,
[41:46.000 --> 41:47.000]  you can just order three and they'll throw in,
[41:47.000 --> 41:50.000]  they'll just take a guess and just throw in two extras.
[41:50.000 --> 41:52.000]  Then like two days later, you get a box in the mail
[41:52.000 --> 41:55.000]  and it has five try-on versions of the glasses
[41:55.000 --> 41:58.000]  that you picked, the five that you picked,
[41:58.000 --> 42:00.000]  you know, with just regular, you know,
[42:00.000 --> 42:01.000]  non-prescription lenses.
[42:01.000 --> 42:02.000]  You go, you try them on.
[42:02.000 --> 42:05.000]  You ask, you know, ask the people you live with
[42:05.000 --> 42:06.000]  or your friends, you know, do you like these?
[42:06.000 --> 42:07.000]  Do you not like these?
[42:07.000 --> 42:08.000]  You look in the mirror.
[42:08.000 --> 42:10.000]  You find the ones you like.
[42:10.000 --> 42:12.000]  You send them all back and they already have a sticker.
[42:12.000 --> 42:14.000]  You just put the sticker on the same box.
[42:14.000 --> 42:15.000]  It just goes right back to Warby Parker
[42:15.000 --> 42:17.000]  with these try-on ones.
[42:17.000 --> 42:19.000]  And then a week later or so,
[42:19.000 --> 42:22.000]  the ones that you picked come with your prescription
[42:22.000 --> 42:23.000]  and that's it.
[42:23.000 --> 42:26.000]  And it's so much cheaper than buying in like
[42:26.000 --> 42:27.000]  an eyeglass boutique.
[42:27.000 --> 42:30.000]  I think it starts at just 95 bucks.
[42:30.000 --> 42:34.000]  And they don't upsell you on coatings for the lenses.
[42:34.000 --> 42:35.000]  Do you want coatings?
[42:35.000 --> 42:36.000]  Do you want anti-glare?
[42:36.000 --> 42:37.000]  Do you want the nice lens?
[42:37.000 --> 42:40.000]  You just get the nice lenses with an anti-glare coating.
[42:40.000 --> 42:42.000]  That's just the default.
[42:42.000 --> 42:44.000]  They have a titanium collection.
[42:44.000 --> 42:47.000]  These are like the metal ones that starts at just $145.
[42:47.000 --> 42:50.000]  And that includes prescription lenses.
[42:50.000 --> 42:52.000]  And that's with premium Japanese titanium
[42:52.000 --> 42:54.000]  and French non-rocking screws.
[42:54.000 --> 42:56.000]  They even pay attention to the little details
[42:56.000 --> 42:58.000]  like putting nice screws in there.
[42:58.000 --> 43:00.000]  They also offer, and it's that time of the year
[43:00.000 --> 43:02.000]  where the sun's getting out,
[43:02.000 --> 43:05.000]  they offer prescription and non-prescription sunglasses.
[43:05.000 --> 43:07.000]  So even if you have 20-20 vision,
[43:07.000 --> 43:08.000]  there's something for you at Warby Parker.
[43:08.000 --> 43:11.000]  You can get really good, really cool sunglasses
[43:11.000 --> 43:13.000]  even if you don't need prescription.
[43:13.000 --> 43:18.000]  So you get good lenses, anti-glare, all of that.
[43:18.000 --> 43:20.000]  You get really cool-looking frames.
[43:20.000 --> 43:22.000]  You get to try them on at home.
[43:22.000 --> 43:23.000]  Nothing could be better.
[43:23.000 --> 43:24.000]  It's really, really great.
[43:24.000 --> 43:26.000]  And even if you have a strong prescription,
[43:26.000 --> 43:28.000]  like I do, I have a very strong prescription.
[43:28.000 --> 43:31.000]  They offer ultra-thin, high-index lenses
[43:31.000 --> 43:33.000]  so that the actual lenses aren't thick.
[43:33.000 --> 43:36.000]  Back in the old days, if you had a strong prescription,
[43:36.000 --> 43:38.000]  the stronger your prescription, the thicker your lenses were.
[43:38.000 --> 43:40.000]  You got what they call them, Coke bottle glasses.
[43:40.000 --> 43:42.000]  You don't get that at Warby Parker.
[43:42.000 --> 43:43.000]  They have high-index.
[43:43.000 --> 43:45.000]  That means that they can do a strong prescription
[43:45.000 --> 43:47.000]  in a very thin lens.
