[00:00.000 --> 00:10.560]  Ladies and gentlemen, Daring Fireball Productions is pleased to welcome you to mezzanine.
[41:18.760 --> 41:26.760]  which I think it surprised me because it was out before way before the watch months before so that developers could get ready for it.
[41:26.760 --> 41:30.760]  And now here we are six weeks after the watch actually shipped.
[41:30.760 --> 41:33.760]  And you guys I know it's not out. It's coming in the fall when it's going to ship.
[41:33.760 --> 41:42.760]  But you've already, you know, developers probably spend all day in those sessions at WWDC learning about native apps on the watch.
[41:42.760 --> 41:52.760]  Do you think, was doing watch kit first worth it rather than just waiting to go right to native apps?
[41:52.760 --> 41:56.760]  Well, time will tell and that'll be the judge of it. But I think so.
[41:56.760 --> 42:04.760]  We've been through this once before with iPhone and that model we had a year without any native apps, just web apps.
[42:04.760 --> 42:10.760]  And then came out with the SDK and all the APIs necessary to do a good job with apps.
[42:10.760 --> 42:15.760]  And that model worked great. People were frustrated during that time, but it worked great.
[42:15.760 --> 42:24.760]  And in this case, we knew we, again, need to finish the software, get the first version out before we could solidify the SDK and APIs to do native apps.
[42:24.760 --> 42:29.760]  And so what do you do in the time before that? Do you give developers an opportunity to do something on it?
[42:29.760 --> 42:39.760]  Do you create a watch kit? And will that watch kit have enough value for certain kinds of apps that it'll make sense anyway in the fullness of time even with the full native APIs?
[42:39.760 --> 42:45.760]  And obviously our belief was, yeah, it would help to have developers to use watch kit from the beginning.
[42:45.760 --> 42:53.760]  And there are many classes of apps that may be exactly what they want and they don't need to do more than that and use the full native version, but others will.
[42:53.760 --> 42:57.760]  And I think that gave the maximum opportunity for developers.
[42:57.760 --> 43:04.760]  And so the one other thing we did that I think, because we talk about this, the same thing you guys all talk about, we talk about internally all the time.
[43:04.760 --> 43:08.760]  And we said, how will people react to that if we bring out watch kit and then native?
[43:08.760 --> 43:18.760]  So if you may recall, back last September when we talked about it in last year's developer conference, we said, and we will bring out a native API and SDK later.
[43:18.760 --> 43:23.760]  We wanted people to know that that was coming so no one could say, oh, I wouldn't have done this if I had known that.
[43:23.760 --> 43:27.760]  And so we wanted to make sure there was transparency and openness about that.
[43:27.760 --> 43:30.760]  Good answer.
[43:30.760 --> 43:49.760]  Music. I think Apple Music looks amazing. I think that the size of the catalog is amazing.
[43:49.760 --> 44:01.760]  What was the phrase in the moving the needle in the entire music industry? I really do. I kind of thought the segment in the keynote was a little long.
[44:01.760 --> 44:03.760]  You say potato. I say potato.
[44:03.760 --> 44:11.760]  But there's my big question. And this is where I'm rocketing towards being an old man. I just don't know.
[44:11.760 --> 44:19.760]  That's a very serious question. So the basic proposition is you pay $10 a month. There's a three month free thing to get started.
[44:19.760 --> 44:30.760]  You know, see what it's like, see how much I like it. But the basic idea for the long term is you pay Apple $10 a month and you can listen to all of it.
[44:30.760 --> 44:36.760]  Are there a lot of people who want to pay $10? I think it's a great deal. I really do. I mean, I think the family deal is a no brainer.
[44:36.760 --> 44:42.760]  I really think it's a great bargain. But I'm an idiot. I've been paying for music my whole life.
[44:42.760 --> 44:49.760]  I was so happy when the iTunes store came out because I hated the Napster stuff. Because the songs didn't have the metadata.
[44:49.760 --> 44:55.760]  And it's like, you're doing all this cleanup work just to get the file names right. Just let me pay it.
[44:55.760 --> 45:01.760]  But are there a lot of people out there who are going to pay $10 a month for a music service?
[45:01.760 --> 45:17.760]  Well, obviously, we believe so. We think that once you see the service and you start to use it, you'll realize the benefits of having really great curated lists and albums and playlists and things being recommended to you.
[45:17.760 --> 45:23.760]  And every time you see something, you can say, oh, I like that. I want to listen to that. I want that playlist. Great. I'll use that the next time I go on my trip.
[45:23.760 --> 45:32.760]  Oh, cool new album. I want that. And you don't have to think about it anymore. You're just getting it. And some people think that's all people will do.
[45:32.760 --> 45:42.760]  Or some of us who are older and a lot older, I have favorite artists that I just want to buy just because I do. It's just locked in my brain that way.
[45:42.760 --> 45:48.760]  And so you still have the iTunes store. You can buy the things you want to buy. You don't have to choose between the two models.
[45:48.760 --> 46:03.760]  But once we're on this for a while and we're all living it and we understand the social impact of music that's completely available to you, I think it's going to change enough, especially if there's that impetus coming from the curation and the recommendations.
[46:03.760 --> 46:09.760]  That will keep you really wanting to just add all that to your library constantly.
[46:09.760 --> 46:23.760]  What do you think Connect is got that's going to make it succeed where Ping didn't?
[46:23.760 --> 46:29.760]  A better name to start.
[46:29.760 --> 46:44.760]  It's an opportunity on a bunch of levels that's different. I think Connect is much more been built from the ground up from an artist's perspective of what would they like to share with their fans and how do they like to communicate.
[46:44.760 --> 47:04.760]  And so for Connect, the artist will have a very simple ability to create whatever content they want. Videos, audio tracks, photos and lyrics and on and on. And the ability to like and say what you care about and then instantly also share it directly to other social networks.
[47:04.760 --> 47:16.760]  And the ability to communicate with users, it's not a one-way pipe. And so I think that it's a much more interactive environment and the ability to share a lot more and we'll see.
[47:16.760 --> 47:23.760]  But we think that based on the artists who have worked with us on it, that it's the kind of environment they want to contribute with fans.
[47:23.760 --> 47:35.760]  You and I just happen, a lot of times when we meet off the record or whatever, we blow the whole…
[47:35.760 --> 47:37.760]  We never meet off the record. We just think we do.
[47:37.760 --> 47:42.760]  But it will be like 20 minutes and we'll blow the whole thing talking about like cameras and James Bond movies.
[47:42.760 --> 47:54.760]  I tried so hard. I realized it when I got invited to this and I didn't have time because the one place you could order it was going to take two weeks. I want to get this Spectre logo t-shirt to wear just for you.
[47:54.760 --> 47:57.760]  But I couldn't get a nice octopus logo t-shirt.
[47:57.760 --> 48:06.760]  One of the things that we both share a passion for is photography and cameras and you know, like a hobbyist type thing.
[48:06.760 --> 48:16.760]  I've been thinking, I think it's so clear and the shot with iPhone marketing campaign shows that you guys clearly believe it too.
[48:16.760 --> 48:31.760]  But Apple has become one of, if not the leading camera companies in the world. The.
[48:31.760 --> 48:40.760]  And in the old days, being a camera enthusiast, you really were, it was like about the lenses, you know, and it still is if you, you know, if you have with the other cameras we have.
[48:40.760 --> 48:51.760]  But with today's era of photography, it's really about mobility and it's not about lenses and sensors, although that is part of it.
[48:51.760 --> 49:02.760]  But it's the software that processes the images off the sensor, which is why there might be other cameras from other companies that might use the same sensors that you guys have or similar ones.
[49:02.760 --> 49:10.760]  And the pictures don't look the same. And after that, how do you get them on the phone and how do you send them to where they're going?
[49:10.760 --> 49:17.760]  How do you edit it and crop it and fix the rotation? And then two years from now, how do you get back to that picture?
[49:17.760 --> 49:28.760]  It's this whole circle, but it's like it's called the iPhone. But to me, I would rather if I could have if you said, hey, one of your apps is going to break for the next week.
[49:28.760 --> 49:36.760]  It's either the phone app or camera app. I want my phone app to break. Do you do you see it the same way?
[49:36.760 --> 49:45.760]  Oh, yeah. The camera capabilities of iPhone is for me, one of the most personally valuable and important parts of it has been for quite a long time.
[49:45.760 --> 49:54.760]  And as you said, we both share a passion for prosumer photography. I'm no great Ansel Adams, but I love photography.
[49:54.760 --> 50:01.760]  I love the process. I love the thought that goes into it. I have cameras of all different sizes and kinds.
[50:01.760 --> 50:08.760]  And photography is really powerful. And especially once you have families engage, you realize how this stuff is meaningful for the rest of your life.
[50:08.760 --> 50:15.760]  And we've been putting a lot into it. But I will start with the most important adage in photography.
[50:15.760 --> 50:22.760]  Anybody who is a serious photographer knows the old line, and it's true. It's not the camera, it's the photographer.
[50:22.760 --> 50:29.760]  Right. A great picture comes from a great photographer, not a great camera. And so that aside, I got that done.
[50:29.760 --> 50:36.760]  We've been putting a lot of effort for many years now to building an incredible world class camera team.
[50:36.760 --> 50:44.760]  And working, doing custom work on sensors, building our own custom lenses, building our own flash technology.
[50:44.760 --> 50:51.760]  And most importantly, the ISP and software that makes that all come together as a complete system.
[50:51.760 --> 50:58.760]  And the same mentality that goes into why a Mac is better than a PC, and why an iPhone is better than some other junkie phone.
[50:58.760 --> 51:09.760]  It goes into the camera that it's a complete system designed together from the beginning to work together.
[51:09.760 --> 51:16.760]  And that's what results. You can't just piecemeal put a lens with a sensor with someone else's chip with someone else's software.
[51:16.760 --> 51:22.760]  And get to the level of result we're able to achieve the way the teams work together to deliver a complete solution.
[51:22.760 --> 51:37.760]  All right. I have to ask this. You guys have always had this, well not always, but in the modern era of Apple there's been this idea of, hey, here's three.
[51:37.760 --> 51:45.760]  Good, better, best. Whether it's a Mac or, you know, a lot of different products. Three. Good, better, best.
[51:45.760 --> 51:59.760]  I think that with the current generation iOS devices going 16, 64, 128, I think that 16, it's really hard to make an argument that that's good.
[51:59.760 --> 52:06.760]  It's more like okay.
[52:06.760 --> 52:16.760]  So, I'm guessing you're all 128 gigabyte users in here.
[52:16.760 --> 52:27.760]  Me too. So, the 16, you know, we used to be lower, and so it has increased.
[52:27.760 --> 52:31.760]  The iPhone didn't used to shoot video too.
[52:31.760 --> 52:50.760]  So, one of the hopes, and maybe we'll see how we realize it all, but the belief is more and more as we use iCloud services for documents, or Azure if your product uses Azure, or, you know, for our photos and for our videos.
[52:50.760 --> 53:07.760]  The more we're able to use these things, and your music is in the cloud, that perhaps for the most price conscious customer, the person starting out at the beginning of the line are able to live in an environment where they don't need gobs of local storage,
[53:07.760 --> 53:17.760]  because these services are taking off more and more of the load and making their life easier, and they can start with an entry point that's lighter than maybe you want, but gets their entire job done.
[53:17.760 --> 53:26.760]  And we work very carefully to canvas and survey exactly how much storage people use at different price points and how much they need.
[53:26.760 --> 53:40.760]  And if we can give them a great solution storage there, we can put that cost into other things to make sure they have a great camera, they have a great screen, and so it's all choices for the customer, and that's the hope.
[53:40.760 --> 53:46.760]  As more of this stuff is in the cloud, maybe we can have an easier entry point for some customers.
[53:46.760 --> 53:52.760]  You did say you wouldn't answer some questions.
[53:52.760 --> 53:58.760]  Wow, I can get much more non-answer than that.
[53:58.760 --> 54:21.760]  What do you say to the criticism that Apple has gotten too obsessed with device thinness, with year over year iterations that are getting thinner and thinner at a point where maybe if you had stopped and kept the device thinness the same and just filled that extra space with battery, whether it's a phone or whether it's a MacBook, where are you guys going to stop?
[54:21.760 --> 54:25.760]  Is it going to be like a piece of paper?
[54:25.760 --> 54:40.760]  First of all, I think that feedback is always great to hear, and people tell us what they think, and we always want to hear what things you want in a product because they all come with trade-offs and benefits and associated things.
[54:40.760 --> 54:50.760]  If you want a product that's thicker with a bigger battery, well, it's also heavier, it's also more costly, it also takes longer to charge.
[54:50.760 --> 54:57.760]  All these things have ramifications designing a total system, and we look at this very, very, very carefully.
[54:57.760 --> 55:10.760]  The engineering team and the industrial design team work together and model every thickness and every size and every weight, and we hold these things and we work with them to try to figure out what the feature benefit trade-offs are.
[55:10.760 --> 55:20.760]  I don't think we've hit the point yet where we're trading off thinness for features and capabilities at the expense of the best optimized product. I really don't.
[55:20.760 --> 55:34.760]  I love my new 12-inch MacBook. I think it's an incredible product. I use it constantly, and I love how thin and light that feels, and I love the iPhone 6 and 6 Plus, and I think we've made great choices there.
[55:34.760 --> 55:40.760]  And yes, this is something we talk about constantly, but I think we've made the right choices so far.
[55:40.760 --> 55:54.760]  All right, two-part question. What color is your new MacBook, and how many USB ports does it have?
[55:54.760 --> 56:06.760]  Mine is the space gray. Thank you. But I'm glad there's individual choice. Diversity is important.
[56:06.760 --> 56:29.760]  And mine has one USB-C port, as you well know, with that leading question. But again, be careful what you ask for, because what the design team first envisioned when we started working on MacBook was to say,
[56:29.760 --> 56:39.760]  if all we do is incremental, slight change, where's the excitement, where's the value of Apple pushing things forward? We need to take bold risks.
[56:39.760 --> 56:45.760]  If people don't like it, well, they can keep buying the MacBook Air, they can keep buying the MacBook Pro.
[56:45.760 --> 56:57.760]  But why don't we design a product that's around this wireless world that has really no physical connection that you need. You can get by without ever needing that. Wouldn't that be a better world?
[56:57.760 --> 57:05.760]  And in doing that, we realized, yeah, but we do need to charge it, so let's go create this one port that can charge and be USB and be your video out.
[57:05.760 --> 57:11.760]  And that way, if you need to connect, you can. You're not giving that up. But this is really designed.
[57:11.760 --> 57:20.760]  And if you do that, how far can you push it? How thin can it get? How light can it get? How aggressive a design can it be?
[57:20.760 --> 57:28.760]  And I think if – I'm in my job for one reason, because I'm a customer like all of you. I love these products. I love this company.
[57:28.760 --> 57:40.760]  I want this company to be the best Apple can ever be. And one of the ways it can be the best Apple can ever be is to take bold risks and try to think of new things that others aren't willing to do.
[57:40.760 --> 57:50.760]  I remember – I mean, this is all the same mentality as I remember when we took out the floppy. Oh, and I'm sure many of you all do, too. It's the exact same thinking.
[57:50.760 --> 57:58.760]  I sat in the room with friends of mine who worked at other companies in Texas and other places, and they literally said, oh, my God, I'm so jealous.
[57:58.760 --> 58:08.760]  We can't do that. We can't do that. We can't take the risk, because if the world is going to be risk adverse and doesn't want us to take away anything,
[58:08.760 --> 58:16.760]  then if Dell doesn't have a floppy but Toshiba does, they'll just buy the Toshiba. They're all the same, except if you're missing one thing, no one will buy your stuff.
[58:16.760 --> 58:26.760]  You're so lucky. You make something where your customers give you the opportunity to try something in a completely different way, and they listen to you when they try it.
[58:26.760 --> 58:32.760]  And if you have to adjust and make an external drive for a couple of years, great, you'll do it, but you get to make that change and move on.
[58:32.760 --> 58:45.760]  That's the embodiment of this new MacBook, which is take a bold risk. Maybe some people will think it's not perfect for them yet, but for a surprising number of people, it's already their future laptop.
[58:45.760 --> 58:52.760]  The customer satisfaction is off the charts on it. Customer demand is great. Does anyone here have a new MacBook and love it?
[58:52.760 --> 59:15.760]  So that's the Apple I want. I want an Apple that's bold and taking risks and trying new things and being aggressive.
[59:15.760 --> 59:27.760]  So you've been an Apple for a couple of years. Half my life. Wow.
[59:27.760 --> 59:48.760]  A lot of that time, an adjective that was often used to describe Apple was beleaguered, and there were some hard times, and there were years when you guys were truly the underdog, and now there's no way that anybody could argue that the most profitable company in the world is the underdog.
[59:48.760 --> 59:59.760]  But yet people still seem to manage to say that you're one step away from collapse. Like, does that surprise you that it hasn't stopped?
[59:59.760 --> 01:00:10.760]  Like, I don't think it was surprising in, say, 1997 that there were a lot of articles predicting doom for the company. Do you find it surprising that there are articles in 2015?
[01:00:10.760 --> 01:00:21.760]  Honestly, no. Personally, I don't know if I'd know how to act if people didn't write that and didn't say that, because they've been through all that.
[01:00:21.760 --> 01:00:29.760]  You all have read the stories. There was a moment there where Apple was truly six months from gone and out of business.
[01:00:29.760 --> 01:00:43.760]  We've been through this cycle, and as someone really smart once said, there's nothing to make you take bold moves than a near-death experience, and we had that.
[01:00:43.760 --> 01:00:58.760]  And having people tell you that you're all not that smart, your products aren't that great, you're not going to survive, actually emboldens you to do good work and try to make each thing better and be aggressive and hungry.
[01:00:58.760 --> 01:01:07.760]  And I think that's also the way Apple should be, and we don't need to be told how great we are and how big we are. It's not about that, and we don't want it to become about that.
[01:01:07.760 --> 01:01:16.760]  It's not about PDEs, and it's not about market value. I mean, sure, the finance team has to worry about that, but for the rest of us, it's about are we making the best product?
[01:01:16.760 --> 01:01:23.760]  Do people love what we do, or is it changing lives? And if it isn't, then beat us up till it is, and that's a good place.
[01:01:23.760 --> 01:01:31.760]  And I don't remember any great product we've made where people haven't panned it in the press in the beginning. I mean, they panned the iPhone, they panned the iPod, they panned the iPad.
[01:01:31.760 --> 01:01:39.760]  And great, say it, you know, because I don't know what a successful product is if it doesn't start out with people saying I don't get it and I don't like it.
[01:01:39.760 --> 01:01:53.760]  This has been great. I really appreciate you being here and the time we've spent. Did you say but?
[01:01:53.760 --> 01:02:06.760]  No, no, not but. But I did say but. But before we finish up, do you remember the first time you got in contact with me?
[01:02:06.760 --> 01:02:09.760]  It was a long time ago.
[01:02:09.760 --> 01:02:22.760]  It was October 2004. Earlier in the month, the Yankees had, maybe it was September, I don't know, it might have been September, I forget when the ALCS was, probably October, probably early October.
[01:02:22.760 --> 01:02:46.760]  My favorite team, the New York Yankees, had taken a three games to nothing lead against the Boston Red Sox. And I still have this tradition, it's just been a number of years since I've been able to do it, which is when the Yankees are in the postseason, I use their logo instead of my star in a circle.
[01:02:46.760 --> 01:02:57.760]  And I used to in the early years, 2002, 2003, when I was really greedy because the Yankees used to win the World Series every single year, I didn't even count the division series.
[01:02:57.760 --> 01:03:05.760]  I didn't change the logo until they got to the AL championship series. Those are the days.
[01:03:05.760 --> 01:03:19.760]  Well, one thing led to another, and I don't know what happened, but somehow the Red Sox ended up winning that ALCS. And it was the greatest choke in baseball history.
[01:03:19.760 --> 01:03:48.760]  So I wake up the next day, and I was despondent, because it was like, Jesus, of all the teams, I mean, number one, losing three games to nothing, that hurts, but to the Red Sox. And I start to work, and well, you know, whenever I'm in a bad mood, it's like, my work can distract me. And I go and I check my email, and this is back in the day when you didn't get the preview, I don't forget what the subject was, but it said, from Philip Shiller, and I thought, somebody's pranking me.
[01:03:48.760 --> 01:04:15.760]  And I click on it, and it's from Phil Shiller at Apple.com, and it said, hey John, it's so great, because I changed the logo back because they lost the game, and it said, it's so great to see the regular logo back on Darren Fireball.
[01:04:15.760 --> 01:04:22.760]  The Yankees put up a good fight, regards Phil. Now, do you remember, is it coming back to you?
[01:04:22.760 --> 01:04:24.760]  Oh yes, I remember that week really well.
[01:04:24.760 --> 01:04:48.760]  So, my reaction that morning was so bifurcated, it was, holy shit, I got an email from Phil Shiller, and he reads Darren Fireball, and it was like half an icy dagger in my heart, like the last remaining warm blood in my body was just drained.
[01:04:48.760 --> 01:04:55.760]  That's what I was shooting for.
[01:04:55.760 --> 01:05:04.760]  But, to show I'm a, obviously I grew up in Boston, so I'm a big Boston sports fan.
[01:05:04.760 --> 01:05:10.760]  I don't care how much air is in the ball, I don't.
[01:05:10.760 --> 01:05:23.760]  I'm a Brady fan, and take it for what it's worth. So, but that series, so the third game, I happened to be on an Apple business trip in New York during the third game, and I said, I've got to watch the game.
[01:05:23.760 --> 01:05:26.760]  And I said to someone in the hotel, I'm going to go, where's a good place to watch the baseball game?
[01:05:26.760 --> 01:05:28.760]  They said, well, the Mickey Mantle Bar.
[01:05:28.760 --> 01:05:31.760]  I said, it's a Yankees game at the Mickey Mantle Bar.
[01:05:31.760 --> 01:05:41.760]  And they said, all right, I'll go, and I went, and I whipped off my Red Sox cap, and I was the only Red Sox fan in the entire Mickey Mantle Bar, and that was the game we got beat like 17-6 or something.
[01:05:41.760 --> 01:05:47.760]  And I took a drubbing, and everyone giving me a hard time, and it was worth it because, look, we stunk and we deserved it.
[01:05:47.760 --> 01:05:58.760]  And so I felt I had really taken the pain, and there was this cathartic thing that I could nicely, and I think I wrote that email probably 12 times in different ways.
[01:05:58.760 --> 01:06:11.760]  Digging you, teasing you, being tongue-in-cheek, and finally just said, just the simple, clean way, that's the way to go.
[01:06:11.760 --> 01:06:21.760]  So I told this story before the show to one of your colleagues, Bill Evans, at Apple, and he goes, oh yeah, classic Phil.
[01:06:21.760 --> 01:06:23.760]  He goes, that's Phil all the time.
[01:06:23.760 --> 01:06:27.760]  So anyway, thank you, Phil.
[01:06:27.760 --> 01:06:31.760]  A couple more thank yous.
[01:06:31.760 --> 01:06:33.760]  I want to thank everybody here at Mezzanine.
[01:06:33.760 --> 01:06:35.760]  This place is great.
[01:06:35.760 --> 01:06:37.760]  I have had nothing but good things to say about here.
[01:06:37.760 --> 01:06:49.760]  The entire staff, everybody from sound, security, the bartenders, everybody, let's give it up for them.
[01:06:49.760 --> 01:06:58.760]  I want to thank my friend Caleb Sexton. He's handling audio tonight and turning this into the audio podcast, making sure we sound good.
[01:06:58.760 --> 01:07:09.760]  I want to thank my sponsors, MailChimp, who sponsored the bar, our friends at Fracture, who sponsored the video.
[01:07:09.760 --> 01:07:11.760]  I'm glad nobody yelled anything. Did the video stay up?
[01:07:11.760 --> 01:07:14.760]  No.
[01:07:14.760 --> 01:07:27.760]  It's hard to do right.
[01:07:27.760 --> 01:07:29.760]  We tried.
[01:07:29.760 --> 01:07:35.760]  And Microsoft. Thank you, Microsoft, for sponsoring the event.
[01:07:35.760 --> 01:07:39.760]  I also want to thank Jed Hurt and Jake Schumacher.
[01:07:39.760 --> 01:07:48.760]  They're the directors of the documentary app, The Human Story. They're here tonight shooting this just to help with the video feed and everything like that.
[01:07:48.760 --> 01:07:54.760]  That should be coming out later this year, early next year. Great movie, but they're helping out with the video.
[01:07:54.760 --> 01:08:00.760]  And then lastly, I want to thank all of you.
[01:08:00.760 --> 01:08:03.760]  Thank you.
[01:08:03.760 --> 01:08:08.760]  You guys are the best audience in the world. You guys get it.
[01:08:08.760 --> 01:08:10.760]  I really appreciate it.
[01:08:10.760 --> 01:08:17.760]  They say at Mezzanine, they thank me and they're like, your show is the best. These people are so nice.
[01:08:17.760 --> 01:08:21.760]  So thank you for that. Thank you, Phil.
[01:08:21.760 --> 01:08:41.760]  Good night.
