[00:00.000 --> 00:01.000]  So where to start?
[30:19.680 --> 30:24.480]  compliments and existing service and has executives that might be able to, you know, service
[30:24.480 --> 30:27.920]  it, sorry, executives and a culture that can integrate into Apple and help them do the things
[30:27.920 --> 30:28.920]  that they want to do.
[30:28.920 --> 30:29.920]  Right.
[30:29.920 --> 30:34.480]  And it doesn't really, that's the thing that has me, I'm still curious about it, but
[30:34.480 --> 30:40.560]  it doesn't make me worried about it the way that there's any number of other possible
[30:40.560 --> 30:46.240]  three billion dollar-ish acquisitions that Apple could have made that would raise my
[30:46.240 --> 30:51.080]  spidey sense, you know, in a way that beats doesn't because the biggest thing is that
[30:51.080 --> 30:57.280]  it doesn't fundamentally change any of the areas of focus in Apple's attention still
[30:57.280 --> 30:58.280]  last week.
[30:58.280 --> 31:05.280]  Right, which is exactly what, you know, to me is like the, the first canary I check in
[31:05.280 --> 31:10.440]  the coal mine is Apple losing focus and becoming more of a conglomerate, which I, you
[31:10.440 --> 31:11.440]  know, we don't know.
[31:11.440 --> 31:17.160]  I don't say that, I don't say that Apple becoming a multi-focused conglomerate would be
[31:17.160 --> 31:18.160]  bad.
[31:18.160 --> 31:25.000]  We just have no idea and there's no history for Apple as a, you know, whatever the revenue
[31:25.000 --> 31:29.000]  is, you know, 50 or to a hundred billion dollar a year corporation.
[31:29.000 --> 31:31.200]  I mean, you know, they're an uncharted territory period.
[31:31.200 --> 31:35.280]  There's, you know, they're the most valuable company, not just in tech, but anywhere.
[31:35.280 --> 31:43.440]  But it would be, so it wouldn't be, you know, them making seemingly unfocused acquisitions
[31:43.440 --> 31:49.360]  wouldn't make me sure that they were on the wrong track, but it would make me strongly
[31:49.360 --> 31:51.480]  suspected they were on the wrong track.
[31:51.480 --> 31:54.600]  Yeah, and it's wonder how the analysts would treat it because it wouldn't be expected
[31:54.600 --> 31:55.600]  behavior.
[31:55.600 --> 31:56.600]  Google can compete with everybody.
[31:56.600 --> 32:00.360]  They can compete with Amazon, with Apple, with Microsoft, with any tech company in
[32:00.360 --> 32:02.280]  the world and do it all at the same time.
[32:02.280 --> 32:05.320]  And that's fine and interesting and wonderful.
[32:05.320 --> 32:08.360]  But you'd probably, you'd probably hear how it was all the way across the valley if Apple
[32:08.360 --> 32:09.360]  started doing that.
[32:09.360 --> 32:10.360]  Yeah.
[32:10.360 --> 32:16.160]  Well, and Google can compete with itself, you know, Chrome books versus Android tablets
[32:16.160 --> 32:18.360]  is a perfect example.
[32:18.360 --> 32:19.880]  And I don't even say that that's a mistake.
[32:19.880 --> 32:27.080]  I think it kind of fits with Google's internal culture, whereas if Apple had seemingly
[32:27.080 --> 32:35.080]  confusing overlap between low-end MacBooks and iPads, I would find that worrisome.
[32:35.080 --> 32:36.080]  Yeah.
[32:36.080 --> 32:37.080]  Agreed.
[32:37.080 --> 32:43.120]  Like if Apple had a $3.99 MacBook, that to me would be very worrisome.
[32:43.120 --> 32:46.800]  I still have in the back of my head this idea that Google bought Android because they were
[32:46.800 --> 32:50.920]  panicked about mobile and then saw WebOS and smack their head and thought that was a way
[32:50.920 --> 32:53.280]  more Google product than buying Android.
[32:53.280 --> 32:54.480]  But then they were all in on Android.
[32:54.480 --> 32:58.520]  And now as they're slowly going to get a way to get Chrome OS to a point where that can
[32:58.520 --> 33:00.080]  be their version of WebOS.
[33:00.080 --> 33:01.080]  Yeah.
[33:01.080 --> 33:06.000]  That's an interesting, that's an interesting argument too, because I ended up hiring Matthias
[33:06.000 --> 33:07.000]  Duarte.
[33:07.000 --> 33:08.000]  Yep.
[33:08.000 --> 33:09.000]  Did I get his name right?
[33:09.000 --> 33:10.720]  Yeah, absolutely.
[33:10.720 --> 33:15.160]  Who was the lead designer behind WebOS?
[33:15.160 --> 33:16.160]  Yeah.
[33:16.160 --> 33:20.640]  And they're slowly giving send-up or tie control over the stack and he was, you know, he's
[33:20.640 --> 33:21.640]  the web guy.
[33:21.640 --> 33:24.680]  Android always seemed like an odd product from Google because it's a web company.
[33:24.680 --> 33:26.440]  And that was very native software.
[33:26.440 --> 33:27.640]  Yeah.
[33:27.640 --> 33:35.600]  And I really do think that it took a long time for Google or for Android, I should say two.
[33:35.600 --> 33:39.560]  Not to not at the low end, but at the sort of mid to high end to get any sort of foothold
[33:39.560 --> 33:45.840]  is that they were in such a deep hole design wise, you know, compared to the iPhone, that
[33:45.840 --> 33:51.840]  any, you know, even people who were inclined not to buy Apple stuff, people who haven't
[33:51.840 --> 33:55.800]  ever bought Apple stuff and sort of want to, you know, it's a natural thing, you know,
[33:55.800 --> 34:02.000]  people who've been sticking with the PC for years and sort of have an Apple is for other
[34:02.000 --> 34:05.640]  people sort of mindset about the company.
[34:05.640 --> 34:11.080]  You know, in 2011, even through 2012, you go into a store and compare the Android phones
[34:11.080 --> 34:15.800]  to iPhone, and it's, you know, you don't even have to be a design critic, you just see
[34:15.800 --> 34:20.760]  that there's a serious difference in fit and finish in the software.
[34:20.760 --> 34:24.640]  It was a very different, probably, I mean, Apple famously wanted to get, you know, the
[34:24.640 --> 34:28.720]  animation just absolutely nailed even in the first generation iPhone, but they didn't
[34:28.720 --> 34:33.080]  need to have every single feature crammed in there where Android was, it wasn't designed
[34:33.080 --> 34:34.080]  to be a phone for everybody.
[34:34.080 --> 34:38.320]  It was designed to be a phone that would protect Google's share of the web because they
[34:38.320 --> 34:42.880]  rightly believe web was moving mobile and their priority wasn't that sort of interactivity.
[34:42.880 --> 34:46.960]  They wanted to get, they bought, you know, Android and they made it work, but I remember
[34:46.960 --> 34:52.320]  even last year at CES, I was sitting there with the Nexus four or five, trying to use Gmail
[34:52.320 --> 34:57.000]  and just cursing out loud and Brian Klug from formerly of an Anteck came over and quickly
[34:57.000 --> 35:00.640]  put it in developer mode and the screen went bright red and he said, that's because they're
[35:00.640 --> 35:04.240]  redrawing every cell for five times, trying to hope that it would stick.
[35:04.240 --> 35:08.280]  And it's just, and their graphics, their own graphics engineers couldn't get their own Gmail
[35:08.280 --> 35:12.320]  engineers to properly code all of it and I think that's why they've really locked things
[35:12.320 --> 35:17.360]  down now with material design and all the new things, but it took them four or five years
[35:17.360 --> 35:21.200]  to fix the massive architectural problems that were causing poor interaction.
[35:21.200 --> 35:22.200]  Right.
[35:22.200 --> 35:26.360]  And the difference with WebOS is that WebOS right from the get go and had performance problems
[35:26.360 --> 35:32.800]  because of the whole architecture of building it on top of like a web kit rendering engine
[35:32.800 --> 35:41.600]  and combined with the state of mobile hardware in, what was it, 2009 when the pre came
[35:41.600 --> 35:44.240]  out.
[35:44.240 --> 35:50.840]  But I, you know, in terms of an elegant software interface, I mean, I mean, I, you could
[35:50.840 --> 35:55.960]  still, to this day, I think you could argue that the way that WebOS handled notifications
[35:55.960 --> 35:58.080]  is the best design anybody's come up with.
[35:58.080 --> 35:59.080]  Absolutely.
[35:59.080 --> 36:05.000]  I mean, it was almost the fringe universe version of the iPhone if John Rubenstein had won
[36:05.000 --> 36:10.320]  the keyboard argument, or what's his name, it won the Linux argument, or if the people
[36:10.320 --> 36:14.960]  who wanted to use WebKit as a interface instead of creating UIKit and one that argument,
[36:14.960 --> 36:16.520]  that could have been an Apple product.
[36:16.520 --> 36:17.520]  Right.
[36:17.520 --> 36:18.520]  Tony Fiddell.
[36:18.520 --> 36:19.520]  Tony Fiddell.
[36:19.520 --> 36:20.520]  Yeah.
[36:20.520 --> 36:23.400]  But instead they all ended up at Palm making except for Fiddell Rubenstein and the WebKit engineers
[36:23.400 --> 36:26.120]  ended up at Palm making their version of the iPhone.
[36:26.120 --> 36:27.120]  Yeah.
[36:27.120 --> 36:28.120]  Absolutely.
[36:28.120 --> 36:35.160]  So if you would have shown, if you'd have taken a Palm pre back in time to, you know,
[36:35.160 --> 36:40.880]  1998, 1997 and shown it to my then self and said, what company, you know, this is a product
[36:40.880 --> 36:44.440]  from 2009, what company made it, you know, scrub the logos off.
[36:44.440 --> 36:49.320]  I would have guessed Apple without question, especially if you just showed me the software
[36:49.320 --> 36:55.160]  and not the hardware, the hardware was a lot less Appley, but the software was extremely
[36:55.160 --> 36:57.000]  Appley, in my opinion.
[36:57.000 --> 37:02.120]  Something from the font choice to, you know, the roundness, you know, the rounded corners
[37:02.120 --> 37:08.320]  of the screen, the rounded corners of the cards on the screen.
[37:08.320 --> 37:11.960]  I think it was a very Apple DNA product software wise.
[37:11.960 --> 37:16.360]  I've never seen the P1 phone that Fiddell's group was working on, but in, I've always
[37:16.360 --> 37:19.920]  suspected that if that had been the phone that I got the gone ahead of some reason P2 hadn't
[37:19.920 --> 37:23.440]  worked out and, for us, I was group hadn't been able to make the iPhone.
[37:23.440 --> 37:26.280]  That could have ended up being very similar to what the Palm pre was.
[37:26.280 --> 37:30.760]  And so it's interesting to think hypothetically what would have happened if Google had purchased
[37:30.760 --> 37:37.080]  at somehow obtained WebOS instead of Android and pushed for it, because in some sense,
[37:37.080 --> 37:42.560]  the problems that WebOS had were, I think, not solvable by throwing money at them, but
[37:42.560 --> 37:48.680]  more easily solved by throwing money at it than Android, because with the Android, it was,
[37:48.680 --> 37:54.280]  to me, fundamentally, the fact that it was designed at the outset as a sort of blackberry
[37:54.280 --> 38:00.240]  style, you know, that it was going to, you know, a blackberry style mobile interface, keyboard,
[38:00.240 --> 38:03.480]  up, down, left, right, select.
[38:03.480 --> 38:11.040]  And therefore had no, no, no, at a foundation level aspect of, of a rich graphical interface
[38:11.040 --> 38:15.200]  with playful animations and high frame rates and stuff like that.
[38:15.200 --> 38:18.400]  I've told the story before, but when I reviewed the G1, the very first Android phone
[38:18.400 --> 38:22.160]  that came out, I turned on the snake game and it said, press up to start, and I tried,
[38:22.160 --> 38:25.160]  you know, swiping up on the screen, then I tried pressing the up arrow key, then I tried
[38:25.160 --> 38:28.600]  pressing the up joy pad, and then I tried pressing up on whatever the other thing was
[38:28.600 --> 38:29.600]  on the other side.
[38:29.600 --> 38:32.680]  I tried eight different ways of signaling up, and I couldn't get it to work, but there were
[38:32.680 --> 38:36.800]  eight different ways of signaling up, and that, to me, defined the very early years of
[38:36.800 --> 38:37.800]  Android.
[38:37.800 --> 38:42.240]  I remember, too, that it was the only way to select text was to use the up down left
[38:42.240 --> 38:43.240]  right.
[38:43.240 --> 38:45.720]  There was no way to touch on the screen to select text.
[38:45.720 --> 38:49.600]  You had to, you know, more or less use like arrow keys.
[38:49.600 --> 38:53.240]  And the original one, you close the keyboard and there'd be the Google search box just
[38:53.240 --> 38:54.240]  blinking it.
[38:54.240 --> 38:57.040]  You're wanting you to put text, but there was no virtual keyboard, so you couldn't input
[38:57.040 --> 38:58.040]  text.
[38:58.040 --> 39:01.360]  I remember that, too.
[39:01.360 --> 39:04.840]  And that's sort of the problems they were facing, and POM was a tiny team, and they
[39:04.840 --> 39:09.360]  coded circles around Google when it came to phones in 2009.
[39:09.360 --> 39:18.840]  So anyway, that's an interesting what if, and to me, it's of the last, of the post-PC
[39:18.840 --> 39:26.200]  era, you know, from 2007 on the great tragedy of the whole thing is that WebOS never, you
[39:26.200 --> 39:30.400]  know, didn't get a long enough time to try to gain a foothold, agreed.
[39:30.400 --> 39:36.640]  You know, I mean, I, I think it was a more elegant design than Windows Phone.
[39:36.640 --> 39:42.000]  And so just imagine if they had had somebody with the wherewithal that Microsoft has shown
[39:42.000 --> 39:48.760]  with Windows Phone to stick behind WebOS, you know, and, you know, push the software forward
[39:48.760 --> 39:52.240]  and break some of the bottom performance bottlenecks.
[39:52.240 --> 39:58.040]  But also just let Moore's law help you out year after year, you know, two, three years
[39:58.040 --> 40:04.800]  later, WebOS, I think, would have been a lot more, without even any software optimizations,
[40:04.800 --> 40:07.600]  would have been a lot more tenable performance-wise.
[40:07.600 --> 40:08.600]  Absolutely.
[40:08.600 --> 40:11.840]  I mean, they had no secondary source of income, Apple had Mac money originally, Google had
[40:11.840 --> 40:16.400]  search money, even Samsung had appliance money, POM and now Blackberry, they have no additional
[40:16.400 --> 40:20.160]  sources of income, and so everything becomes, everything becomes better company, every
[40:20.160 --> 40:22.120]  phone you put out becomes better company.
[40:22.120 --> 40:23.120]  Yeah.
[40:23.120 --> 40:24.120]  All right.
[40:24.120 --> 40:28.040]  Let me take a break and thank our first sponsor this week, and it is our very good friends
[40:28.040 --> 40:29.440]  at backblays.
[40:29.440 --> 40:35.320]  You guys know backblays, unlimited, unthrottle backup for Mac.
[40:35.320 --> 40:40.120]  They have over 100 petabytes of total data backed up.
[40:40.120 --> 40:43.360]  They just crossed the 6 billion files restored mark.
[40:43.360 --> 40:49.640]  That means users of backblays have used them to restore or download or get on another device
[40:49.640 --> 40:53.840]  over 6 billion files.
[40:53.840 --> 40:57.680]  They have an iPhone app that lets you access and share any of your files.
[40:57.680 --> 41:00.640]  So when you're max backed up to backblays, you're out and about all you have with you
[41:00.640 --> 41:04.200]  is your phone and you want to get a file from your Mac.
[41:04.200 --> 41:08.160]  Just log in to, just open the backblays app and there's all your files, get it.
[41:08.160 --> 41:11.000]  You can email it to someone right from there.
[41:11.000 --> 41:14.760]  You don't need to do anything more complicated than that, couldn't be easier.
[41:14.760 --> 41:23.360]  You can restore one file or all your files easily with their web restore, 25% of all backblays
[41:23.360 --> 41:26.400]  restores are for just one file.
[41:26.400 --> 41:28.840]  So it's not just for computer disasters.
[41:28.840 --> 41:32.920]  But if you do have a computer disaster, somebody steals your Mac, somebody breaks in your
[41:32.920 --> 41:39.360]  house, takes your Mac, takes your backup drive, your roof leaks, water leaks all over
[41:39.360 --> 41:44.480]  your computer, ruins your hard drive, ruins your time machine.
[41:44.480 --> 41:47.240]  You need to, you know, true total disaster.
[41:47.240 --> 41:51.240]  You can just, you don't have to wait and download all of your stuff from backblays
[41:51.240 --> 41:52.400]  over the internet.
[41:52.400 --> 41:57.440]  You can just go there, say put it all on a USB hard drive and boom, they'll FedEx it
[41:57.440 --> 42:01.800]  to you and you know, like a day or two later, there's a USB hard drive with all of your
[42:01.800 --> 42:06.480]  files on it, ready for you to restore to a new computer.
[42:06.480 --> 42:13.760]  Software's written by, the company's founded by AppleX engineers, the software runs totally
[42:13.760 --> 42:20.160]  native on your Mac, runs great on Yosemite, runs great on Mavericks, couldn't be installed
[42:20.160 --> 42:26.160]  more easily, couldn't be more invisible in the background while it's running.
[42:26.160 --> 42:33.640]  Just great, great service for an amazing price, five bucks a month per Mac, unlimited,
[42:33.640 --> 42:36.240]  no limits on how much data you can upload.
[42:36.240 --> 42:37.800]  Five bucks a month.
[42:37.800 --> 42:42.920]  So you can get a risk-free, no credit card required trial by going here.
[42:42.920 --> 42:48.760]  Backblays.com slash daring fireball, you're not to be haven't done it.
[42:48.760 --> 42:53.520]  And if you're listening to this over the holidays, sign your parents up for it.
[42:53.520 --> 42:57.400]  Just go, when you're at your parents house or for Christmas or whatever, just sign them
[42:57.400 --> 43:01.800]  up for backblays and give it to them, it's a great little gift.
[43:01.800 --> 43:04.640]  They won't thank you for it until they need it, but then when they need it, they'll think
[43:04.640 --> 43:05.840]  you're a superhero.
[43:05.840 --> 43:10.440]  So put all your relatives on backblays, my thanks to them.
[43:10.440 --> 43:15.320]  So the first big Apple news of the year, 2014, really didn't come to WWDC.
[43:15.320 --> 43:16.320]  Yeah.
[43:16.320 --> 43:17.320]  What an event.
[43:17.320 --> 43:23.680]  Yeah, I think it was, it's certainly, it still seems like, it doesn't seem like as long
[43:23.680 --> 43:26.680]  ago as it does, it doesn't feel like six months ago.
[43:26.680 --> 43:32.600]  No, it was amazing because I was sitting with you and Jason Snell and John Syracuse,
[43:32.600 --> 43:36.440]  and different people were just lighting up at different parts of that event.
[43:36.440 --> 43:39.960]  It was just a palpable reaction for them.
[43:39.960 --> 43:41.600]  Syracuse and Swift, all right.
[43:41.600 --> 43:44.440]  Well, he turned to Snell and he goes, am I dreaming because if I'm, you should tell me
[43:44.440 --> 43:45.640]  because I might be in a fugue state.
[43:45.640 --> 43:47.000]  I don't know if this is real or not.
[43:47.000 --> 43:51.480]  Please tell me that I'm actually listening to what I'm listening to.
[43:51.480 --> 43:53.880]  That was certainly big news.
[43:53.880 --> 44:01.280]  You know, I was eight and Yosemite, it was the first time we got to look at Yosemite.
[44:01.280 --> 44:09.280]  And I think, you know, certain, how should we say it?
[44:09.280 --> 44:14.920]  Not like a specific, you know, like, here's three lines of code to copy these exactly.
[44:14.920 --> 44:17.600]  This is how you do X recommended way.
[44:17.600 --> 44:23.360]  But more in terms of like broad strokes philosophy, I think Apple started pushing a couple
[44:23.360 --> 44:28.600]  of new things, not necessarily for the first time, but two examples I can think of was
[44:28.600 --> 44:39.080]  the heavy focus on dynamic user interface layout, clearly preshadowing, you know, in the
[44:39.080 --> 44:43.920]  run up to the iPhone 6 and 6 Plus.
[44:43.920 --> 44:51.240]  But I think in the long run, more envisioning a world of iOS devices where there's a continuum
[44:51.240 --> 44:56.280]  of screen sizes, you know, and who knows, maybe eventually something smaller than four
[44:56.280 --> 44:59.920]  inches.
[44:59.920 --> 45:03.520]  And you know, by all accounts, maybe one of the things, you know, that would be hearing about
[45:03.520 --> 45:09.160]  in 25 early parts of 2015 would be a bigger screen, some kind of iPad that's bigger than
[45:09.160 --> 45:11.200]  9.7 inches.
[45:11.200 --> 45:19.160]  And not having to, you know, code a custom user interface for each size in that continuum.
[45:19.160 --> 45:23.680]  It's a definite, it's a huge change from the way iOS development was until recently.
[45:23.680 --> 45:29.640]  And it's, you know, it wasn't just about supporting the iPhone 6 and 6 Plus.
[45:29.640 --> 45:33.280]  The way I look at it, there's, there was an introductory, sorry, the integration theme,
[45:33.280 --> 45:36.640]  which we'll probably get to, but the other big theme was this transition from push from
[45:36.640 --> 45:41.280]  pull to push, where previously the interface was locked to the device and then slowly
[45:41.280 --> 45:46.080]  but surely with things like air play and car play and now watch kit.
[45:46.080 --> 45:49.960]  The interface is actually decoupled, so you have the logic on one device and the interface
[45:49.960 --> 45:53.800]  going somewhere else, or you have the logic for the app at the interface being able to
[45:53.800 --> 45:57.800]  be flexible between, you know, the four inch screen size 4.76 inch.
[45:57.800 --> 46:01.240]  Now that you have split view controllers on the iPhone 6 Plus, it's sort of like a mini
[46:01.240 --> 46:02.240]  iPad.
[46:02.240 --> 46:06.960]  So like you said, it can scale across those things, but it's, it's all sort of one central
[46:06.960 --> 46:08.600]  part of logic.
[46:08.600 --> 46:12.440]  And then you add extensibility to it where previously you had to hunt around your iPhone
[46:12.440 --> 46:13.440]  for anything.
[46:13.440 --> 46:17.200]  You had to go between six different photo apps just to, just to get the effects you wanted.
[46:17.200 --> 46:19.960]  You had to leave to, to reply to a message.
[46:19.960 --> 46:22.720]  You had to leave if you wanted to share the tumblr, you couldn't do that from where you
[46:22.720 --> 46:24.600]  were yet to go to the tumblr app and do it.
[46:24.600 --> 46:27.440]  And now all of that functionality has come to one place.
[46:27.440 --> 46:28.840]  All of that is now independent.
[46:28.840 --> 46:30.360]  You have these remote views.
[46:30.360 --> 46:34.280]  And to me, that's made that, that sort of severing of that one unit into these more modular
[46:34.280 --> 46:38.320]  parts has really made a huge difference, not just in my workflow, but where I think Apple
[46:38.320 --> 46:42.840]  could take all these, I think it's the first big hint of much larger plans they have moving
[46:42.840 --> 46:44.240]  forward with these devices.
[46:44.240 --> 46:48.120]  Right, and you've mentioned both car play, which is that's how car play works, where
[46:48.120 --> 46:55.800]  car play is a dumb terminal effectively and, you know, take your iPhone out of Bluetooth range
[46:55.800 --> 47:00.480]  and the only thing the screen is going to show you in your car is the, the stuff from
[47:00.480 --> 47:01.480]  the manufacturer.
[47:01.480 --> 47:09.400]  You're not going to get any of the Apple play stuff or car play stuff, no iOS at all.
[47:09.400 --> 47:12.960]  It's only a, it's really just effectively a projector.
[47:12.960 --> 47:17.600]  Your iPhone is doing all of the computation, your iPhone is all of the storage, your iPhone
[47:17.600 --> 47:21.440]  is doing the networking for anything that's coming over cellular.
[47:21.440 --> 47:27.640]  And the only thing that the screen in your car does is show you what the iPhone is showing
[47:27.640 --> 47:34.080]  and report back to the phone where you're stabbing your fingers at it.
[47:34.080 --> 47:39.520]  And the watch, you know, was we now know, and as, you know, countless people have, you
[47:39.520 --> 47:46.440]  know, the initial watch kit SDK shows, for the first round of third party apps, pretty
[47:46.440 --> 47:48.360]  much works the same way.
[47:48.360 --> 47:49.840]  You don't get to run any code.
[47:49.840 --> 47:56.200]  There's no part of watch, this initial watch kit where your app runs code on the watch.
[47:56.200 --> 48:02.880]  It's just a projected display of what your phone app, your iPhone app is showing it.
[48:02.880 --> 48:07.000]  And then the watch just reports back what you tapped on.
[48:07.000 --> 48:09.760]  I would like that everywhere, I like the idea of car play.
[48:09.760 --> 48:13.400]  I bought the Toyota car before they had any integration at all.
[48:13.400 --> 48:16.360]  And my only option is to buy a new car if I want anything.
[48:16.360 --> 48:20.880]  But with car play, every time I upgrade iOS or upgrade my phone, I get a better experience.
[48:20.880 --> 48:25.000]  I'd like that on my camera, I'd like camera play so that my Canon interface is replaced
[48:25.000 --> 48:26.000]  with iOS.
[48:26.000 --> 48:27.000]  I don't want to have Android appliances at all.
[48:27.000 --> 48:30.560]  I want to have them running iOS just, anytime there's a screen, I would eventually like
[48:30.560 --> 48:34.640]  to be able to just put like, like project iOS right onto it.
[48:34.640 --> 48:40.360]  So, doing that with a camera, like a camera, you know, like a serious camera would be
[48:40.360 --> 48:41.360]  fascinating.
[48:41.360 --> 48:46.800]  I mean, there is a move of foot in the camera world to build in Wi-Fi.
[48:46.800 --> 48:49.720]  But it's, I don't, and I don't have a camera that does it yet.
[48:49.720 --> 48:57.560]  You know, my Fuji X100S is a year off, like the brand new X100T, which just came out a
[48:57.560 --> 49:02.440]  few weeks ago and I linked to a review of it a couple of days ago, now has Wi-Fi.
[49:02.440 --> 49:06.200]  But it's clunky, like the only way to get it to work, I haven't seen it, but it's like
[49:06.200 --> 49:11.840]  you have to get a Fuji app from the app store and then open the Fuji app on your phone
[49:11.840 --> 49:17.400]  and then you can do something between your phone and the camera.
[49:17.400 --> 49:20.880]  Whereas having it be like car play, man, that would be fantastic.
[49:20.880 --> 49:24.080]  And it's great for Apple because they're never going to get into, well, never as long
[49:24.080 --> 49:25.880]  time, but they're not going to get into making appliances.
[49:25.880 --> 49:28.800]  They're not going to become a giant manufacturing conglomerate like Samsung.
[49:28.800 --> 49:32.600]  And they're not going to license iOS the way that Android is easily able to be put on
[49:32.600 --> 49:36.080]  any device, but just projecting the interface, it means they can still control it.
[49:36.080 --> 49:39.920]  They in essence just take it over and the customer will have a great experience and they
[49:39.920 --> 49:42.800]  don't have to relinquish any of the control that they need for products.
[49:42.800 --> 49:47.040]  Yeah, it almost to me takes cameras back to where they were pre-digital, right?
[49:47.040 --> 49:50.520]  Where when you load it, we had a 35 millimeter film camera.
[49:50.520 --> 49:54.880]  The only things the camera did was let you take pictures, right?
[49:54.880 --> 49:59.080]  It would look the review finder and see and the camera would have things like a light
[49:59.080 --> 50:00.640]  set in the latter years.
[50:00.640 --> 50:03.040]  Obviously in the early years, you had to set all that stuff manually.
[50:03.040 --> 50:10.160]  But by the latter years of the tail end of the film world, it would do the exposure.
[50:10.160 --> 50:18.520]  If you set things to auto, it would set the aperture, set the exposure time.
[50:18.520 --> 50:22.400]  And then, but it was all just about letting you take the next photo.
[50:22.400 --> 50:24.440]  Then you'd push the button and the photo would be taken.
[50:24.440 --> 50:28.760]  It would be stored on the film and that was it, right?
[50:28.760 --> 50:30.880]  I would like a digital camera that worked like that.
[50:30.880 --> 50:36.120]  Do whatever you can to help me get a perfect exposure and focus, you know, set the focus
[50:36.120 --> 50:40.360]  distance, give me a recommended aperture, give me a recommended exposure time.
[50:40.360 --> 50:44.040]  Or let me set any of those variables manually if I choose to.
[50:44.040 --> 50:50.360]  And then when I hit click, it just store the photo and then let me do everything else
[50:50.360 --> 50:53.120]  over a wireless connection to my iPhone.
[50:53.120 --> 50:54.800]  I would love that.
[50:54.800 --> 50:55.800]  For a couple reasons.
[50:55.800 --> 50:59.240]  One, if you don't have an iPhone, you would just get whatever the CUNIX car play system
[50:59.240 --> 51:02.200]  is, you know, for the, whatever the standard software is on the phone.
[51:02.200 --> 51:05.000]  But if you do have it, you get a better experience and that becomes the same reason
[51:05.000 --> 51:08.360]  you'd want to get car play, you know, this stuff all works better if you happen to have
[51:08.360 --> 51:09.360]  an iPhone.
[51:09.360 --> 51:10.360]  Yeah.
[51:10.360 --> 51:11.440]  Boy, that would be great.
[51:11.440 --> 51:12.440]  Yeah.
[51:12.440 --> 51:19.960]  But I do totally think that, you know, the WWDC 2014, Harold did that sort of, you know, future.
[51:19.960 --> 51:23.480]  I think so too. And I think we also see, for example, continuity is going to work on
[51:23.480 --> 51:25.520]  the watch because there's going to be things on the watch.
[51:25.520 --> 51:27.680]  The watch to me is a total convenience play.
[51:27.680 --> 51:31.040]  It's for all those thousands of tiny interactions that you have with your phone every
[51:31.040 --> 51:34.880]  day that aren't that don't take a lot of time, but are super important yet you still
[51:34.880 --> 51:38.120]  have to go to your bag or go to your purse or go to your pocket.
[51:38.120 --> 51:40.360]  And I can sort of shift those to my watch.
[51:40.360 --> 51:43.480]  But if something ends up being more important than I thought it was being able to just
[51:43.480 --> 51:47.720]  send that right back to my phone and continue on my phone, sync is great.
[51:47.720 --> 51:51.560]  But with sync, I still have to unlock the phone, go find the app, go to the same place
[51:51.560 --> 51:53.800]  what I was scroll through or try to find it.
[51:53.800 --> 51:57.320]  But with continuity, I can be looking at something, press a button and that exact same
[51:57.320 --> 51:59.080]  thing as just they're waiting for me again.
[51:59.080 --> 52:02.720]  I think that's going to be much, much more interesting when the watch is in play.
[52:02.720 --> 52:03.720]  Yeah.
[52:03.720 --> 52:04.720]  I do.
[52:04.720 --> 52:07.360]  And I think a lot of these things are sort of breaking.
[52:07.360 --> 52:14.320]  It goes back to what I said earlier about Apple Pay, where it's at a, from a user's perspective,
[52:14.320 --> 52:19.280]  it's outside the app-centric world of using the phone itself.
[52:19.280 --> 52:26.200]  It's, it's much more about the real physical world, where your phone is just within the
[52:26.200 --> 52:33.440]  Bluetooth and or Wi-Fi, you know, wireless range of whatever terminal you're dealing with,
[52:33.440 --> 52:38.040]  whether the terminal is your watch, whether it's your dashboard in your car.
[52:38.040 --> 52:40.600]  And you just tap on the watch and things get started.
[52:40.600 --> 52:41.880]  You don't have to wake up your phone.
[52:41.880 --> 52:47.640]  You don't, and you definitely don't have to find any particular app, like a Fuji app
[52:47.640 --> 52:49.480]  to get, you know, to get this to work.
[52:49.480 --> 52:53.040]  You're just on your camera and hit a button on your camera.
[52:53.040 --> 52:56.520]  And you know, the phone interface just wakes up and starts, you know, can read those
[52:56.520 --> 52:58.280]  photos that are right on your phone.
[52:58.280 --> 53:01.200]  The phone becomes like the star destroyer and the watch becomes the shuttle craft that
[53:01.200 --> 53:03.560]  moves you in between the big objects.
[53:03.560 --> 53:07.880]  It's pretty good.
[53:07.880 --> 53:11.680]  I like that.
[53:11.680 --> 53:13.120]  What else from WWDC?
[53:13.120 --> 53:18.080]  I guess Yosemite, we could, you know, and in the summer there wasn't really any news
[53:18.080 --> 53:19.080]  per se.
[53:19.080 --> 53:22.080]  It was just, you know, beta's of iOS and Yosemite.
[53:22.080 --> 53:26.560]  Not a bad way to just roll into, we're going to talk 2014 in hindsight.
[53:26.560 --> 53:27.560]  Yeah.
[53:27.560 --> 53:29.200]  I mean, have to talk to Yosemite.
[53:29.200 --> 53:30.200]  Yeah.
[53:30.200 --> 53:33.920]  I mean, Dave Wiscus did an article on mackerel right beforehand where you were sort of speculating
[53:33.920 --> 53:36.120]  of what Yosemite would end up looking like.
[53:36.120 --> 53:37.840]  And I think he was really, really close.
[53:37.840 --> 53:42.560]  Like Apple didn't just clone iOS 7, which was a long-running joke.
[53:42.560 --> 53:47.040]  They sort of took the cues from it, the translucency and the other effects and they made
