[00:00.000 --> 00:02.000]  You sound wonderful. Do you have a new microphone?
[25:22.280 --> 25:24.640]  And yet to me
[25:24.640 --> 25:30.760]  It's the one device that I see on Twitter and I can see in my email from readers that makes some people the angriest
[25:31.240 --> 25:34.520]  and I it's like to me, it's like the most innocent and like
[25:36.240 --> 25:38.240]  Non
[25:38.960 --> 25:41.280]  It shouldn't be controversial least controversial
[25:42.820 --> 25:48.200]  Computing device that Apple makes in the entire lineup and yet it seems to be the one that has makes people the angriest
[25:48.200 --> 25:55.120]  How dare you insinuate that an iPad might ever replace my beautiful wonderful Macintosh?
[25:55.120 --> 25:59.560]  How dare you that's that's the gist, right? Yeah, the gist of it is is
[26:00.080 --> 26:02.080]  outrage at the claim that
[26:02.240 --> 26:08.680]  That you can get you could do your work on it and or that anyone could do their work on it and that it therefore
[26:08.680 --> 26:14.300]  Doesn't deserve to be called Pro even though just putting the word Pro in the name seems to to rile some people up
[26:14.300 --> 26:21.780]  and I don't get it and I and I come at this from the perspective of somebody who even just earlier on the show talking to
[26:21.780 --> 26:27.100]  You about the podcast me personally. I I won't say couldn't because couldn't is too strong a word, but I
[26:27.740 --> 26:34.240]  Don't like working from an iPad of any sort compared to working on a Mac
[26:34.340 --> 26:38.380]  You don't prefer it. I do not prefer it and I often I feel
[26:38.380 --> 26:46.500]  Hamstrung, I feel like I'm I'm doing my work with chopsticks instead of with my fingers directly
[26:47.420 --> 26:51.060]  Yeah, I was right there with you until last November
[26:51.700 --> 26:56.140]  And that's and I feel like that's totally fine. Like I don't I
[26:57.020 --> 27:01.140]  folks who have been using the Mac for years and years and years who have
[27:01.660 --> 27:05.160]  Extensive workflows on the Mac and are comfortable with their Macintosh
[27:05.160 --> 27:11.440]  like I I completely understand why the initial impression to the iPad is a
[27:11.760 --> 27:14.360]  little bit of abject horror and and even like a
[27:15.080 --> 27:17.600]  I'm making like the cartoon like Oh
[27:18.480 --> 27:20.480]  evil like hands-crossed
[27:21.560 --> 27:25.400]  frightened face about about the iPad, but it's not
[27:26.400 --> 27:28.840]  It's not here to take away your Mac
[27:28.960 --> 27:34.000]  Like I really I really feel like maybe it's just a bumper sticker that comes with the iPad
[27:34.000 --> 27:39.120]  It's like this. This isn't intended to destroy the iMac or even really to destroy
[27:39.640 --> 27:42.520]  The laptop is a different type of computer
[27:42.520 --> 27:47.520]  I don't I really don't get the anger and I say that like I said as somebody who personally does not
[27:48.280 --> 27:52.620]  Really strongly does not prefer to use it for what I would consider my work
[27:54.720 --> 27:56.400]  I'd that's me personally
[27:56.400 --> 28:01.400]  I don't but I completely don't deny that other people would see advantages to it
[28:01.400 --> 28:07.040]  and I'd so I don't understand the anger at it and I you know, and I guess and I think it maybe even
[28:07.920 --> 28:12.820]  Plays into like what we were saying earlier when we were saying that with your poor
[28:13.500 --> 28:17.900]  11-inch MacBook Air they got drowned that it's not a good time to buy a Mac
[28:17.900 --> 28:21.700]  And so they like it. I love that the Mac rumors buying guide
[28:22.040 --> 28:26.520]  Which is a great service whenever anybody asks me for advice on should I get a new Mac now?
[28:26.520 --> 28:27.660]  I don't even listen to rumors
[28:27.660 --> 28:31.100]  I just say just go look at the Mac rumors buying guide and they don't even really go by rumors
[28:31.100 --> 28:37.800]  They list them I guess but for the most part it's just how many days has it been since the last time Apple revved this
[28:38.440 --> 28:45.040]  Device and what's the average in history for this device in terms of how long does Apple go?
[28:45.040 --> 28:48.040]  And if it's green, I mean tell you this is a fairly new product
[28:48.200 --> 28:48.680]  definitely
[28:48.680 --> 28:53.080]  you should feel free to buy it now because it's probably early in the product cycle and then they have like a yellow like
[28:53.320 --> 28:59.260]  And mid-range and then red means look this is overdue historically. This is overdue for a revision
[28:59.260 --> 29:04.600]  Well right now just about the entire Mac lineup is in the red everything except the iMacs
[29:04.600 --> 29:11.720]  Yeah, everything except that the iMacs that have these the the new hike, you know, hi gamut displays. Mm-hmm
[29:13.160 --> 29:15.680]  And I just think that's historical circumstance
[29:15.680 --> 29:21.960]  I just think that's just the way it's worked out with Apple's focus and with Apple and Intel's roadmap and and
[29:21.960 --> 29:29.960]  Etc. And I think well, you know, we'll see revisions to an awful lot of stuff either be before WWDC or at WWDC in June
[29:30.940 --> 29:32.940]  but I kind of feel like
[29:33.060 --> 29:35.780]  and in some kind of emotional way, it's
[29:36.740 --> 29:44.220]  It contributes to the anger that people are worried that people who are worried that that this means that they're going to either
[29:44.220 --> 29:51.620]  Make the Mac go away or just just not pay attention to the entire Mac lineup that it's proof of it
[29:51.700 --> 29:57.380]  Or make it different because it you really think about it with the exception of the 4k and the 5k iMac the last real
[29:57.380 --> 30:03.060]  New Mac we saw was the 12-inch MacBook, which also made a lot of people mad different
[30:03.740 --> 30:07.340]  Well, but sort of settle is different and similar reasons. Yeah, right because
[30:08.220 --> 30:13.420]  in terms of only having a headphone jack and one USB
[30:13.420 --> 30:14.980]  USB-C
[30:14.980 --> 30:21.900]  Port and literally not even a separate one for power. That was the only two things. Yeah plug in it is sort of the
[30:22.580 --> 30:24.580]  iOS of vacation of
[30:24.620 --> 30:30.180]  Mac hardware like I think I the way I wrote last year was that a lot of people have been worried for a long time
[30:30.180 --> 30:32.180]  that Mac OS is
[30:32.280 --> 30:37.900]  Software is going to get iOS applied too far and take away what we love about the Mac
[30:37.900 --> 30:45.540]  Operating system and what we've seen actually with the MacBook is it's really the hardware that's gotten more like iOS than the software
[30:45.980 --> 30:48.540]  Yeah, you know you there's no battery to take out anymore
[30:48.540 --> 30:53.580]  I mean I don't at this point it almost feels silly that we used to be able to take out our MacBook batteries
[30:53.580 --> 30:54.100]  Oh, yeah
[30:54.100 --> 30:59.400]  I mean and you honestly even look at other folks who have like smartphones where you can take out the battery and you're like
[30:59.400 --> 31:01.400]  What this is a thing?
[31:02.100 --> 31:03.380]  Yeah, I
[31:03.380 --> 31:08.740]  Ram that soldered onto the motherboard. Yeah, God forbid you were able to replace your own RAM. I mean, it was great
[31:08.740 --> 31:11.340]  It was you know, but they're trade-offs, but it's definitely there
[31:11.340 --> 31:15.060]  I don't see how anybody could deny that that the Mac hardware has gotten
[31:15.580 --> 31:21.000]  Very of a large injection of the design sensibility of iOS. Yeah, but it also goes back
[31:21.000 --> 31:23.100]  I mean to almost the first, you know
[31:23.100 --> 31:28.340]  The first real generation of Macs too because the Mac Plus was not exactly very tinkerable
[31:28.540 --> 31:31.700]  Right think about it like you could expand the RAM. I think that was about it
[31:31.700 --> 31:35.860]  Well, that was when they they first started using special screws that yeah
[31:37.140 --> 31:40.080]  So it's not I it's funny to me when the people are like
[31:40.080 --> 31:44.460]  Oh Apple has never done this before you used to be able to tinker with all your hardware and I'm like
[31:44.620 --> 31:48.180]  No, I think you were a PC user in the 90s. Apple has never really
[31:48.780 --> 31:50.180]  Been bits and pieces
[31:50.180 --> 31:50.860]  But yeah
[31:50.860 --> 31:57.100]  The new the new MacBook and it's funny because I did when I drown my air that was the question of like, okay
[31:57.100 --> 32:03.240]  What's my next laptop gonna be? Am I gonna go to the like the 12-inch MacBook USB C? Is that gonna happen?
[32:03.780 --> 32:08.980]  Am I gonna pray that they you know come out with a revved air which is probably never going to happen
[32:08.980 --> 32:10.980]  Am I gonna go back to a pro?
[32:11.620 --> 32:16.740]  Or am I just gonna keep on using the iPad and it's just like that's that's a big question mark for me
[32:16.860 --> 32:20.120]  Because I will always have a desktop Mac like there's no question
[32:20.120 --> 32:25.260]  I need I need a superpower machine that I can do high quality editing on that
[32:25.260 --> 32:31.300]  I can for now do podcasts on you know with a little bit less complication than trying to use two devices
[32:32.020 --> 32:37.620]  but as a laptop, I've like as I was saying I I was very skeptical of
[32:38.140 --> 32:45.380]  Doing work on an iPad because I had tried I tried in 2010. I tried in 2012. I tried in 2013
[32:45.380 --> 32:48.500]  I tried in 2014 when the iPad air 2 came out
[32:49.100 --> 32:51.380]  And when the iPad Pro finally came out
[32:51.380 --> 32:56.100]  The only reason why I spent more than three days with it was the pencil being like, oh well
[32:56.100 --> 32:57.380]  I can draw on this thing
[32:57.380 --> 33:02.940]  So I took it and nothing else on a two-week vacation and I was just kind of like, you know what?
[33:02.940 --> 33:04.940]  I'm gonna take this because I want to draw and
[33:05.460 --> 33:09.980]  I'm mostly on vacation so I don't have to worry about doing a lot of work
[33:09.980 --> 33:14.500]  But if I have to do work, I'll figure out some way to like muddle through it, right?
[33:15.220 --> 33:16.300]  and
[33:16.300 --> 33:21.940]  What I ended up discovering was in those two weeks. I ended up doing quite a bit of work because of course the
[33:22.380 --> 33:29.260]  iPad Pro had just come out and I started writing like the iPad Pro experiment series on I'm or which is just me attempting to do
[33:29.260 --> 33:30.980]  various
[33:30.980 --> 33:35.180]  various facets of my normal work on the iPad with
[33:36.140 --> 33:43.380]  Surprisingly good success with the exception of podcasts which were still like a horrible, you know hellstorm to do
[33:43.380 --> 33:51.300]  I figured out ways to do photo editing and to post my stuff and and to do all of my research and
[33:51.300 --> 33:52.940]  to write
[33:52.940 --> 33:58.820]  in a day and and to make movies to to cut movies to cut audio and
[33:59.700 --> 34:03.220]  The more I use the pro and the more I use workflow
[34:03.540 --> 34:08.000]  Which Federico Vittucci at Mac stories his guides have basically been invaluable to that
[34:08.000 --> 34:13.680]  The more I got started to get really comfortable with it right where it's like it felt a lot like the first
[34:14.040 --> 34:19.820]  The first time I ever used copy-paste shortcuts on the Mac when I was like nine and my dad was like PS
[34:19.820 --> 34:24.080]  Here's a faster way to do all of the like write the same sentence five times in a row
[34:24.680 --> 34:30.360]  But it felt like that it felt it felt like oh, I I kind of understand
[34:30.360 --> 34:35.460]  How an iPad supposed to be used as like or rather how it's supposed to be used as a professional work device
[34:35.460 --> 34:38.600]  How I how I can use it as a professional work device
[34:38.600 --> 34:45.200]  And once I got into that mindset it became a lot easier when I came back and I did have the MacBook Air
[34:45.760 --> 34:48.600]  Accessible and I did have my desktop. I was like, okay
[34:48.600 --> 34:55.120]  I can do all of this on my iPad and it has the 10-hour battery and I have cellular
[34:55.120 --> 34:59.440]  so I never have to worry about whether there's Wi-Fi if I want to upload something and I don't have to
[34:59.840 --> 35:02.960]  Deal with the the hassle of setting up personal hotspot
[35:02.960 --> 35:09.720]  Um, it just it became much more comfortable, but it was a you know, it was a two three week process
[35:09.720 --> 35:11.720]  it was it was very much a like and
[35:12.040 --> 35:17.200]  a dive in headfirst and I'm gonna be frustrated for about a week and then I'm gonna figure
[35:17.520 --> 35:22.440]  stuff out and some things I'm gonna figure out and some things are still gonna be impossible with a Mac and
[35:22.840 --> 35:28.020]  In the end it was how many things can I do comfortably without the you know?
[35:28.020 --> 35:32.320]  like you were saying at the beginning without the hassle without the feeling that you're basically trying to
[35:32.320 --> 35:36.400]  You know fit an elephant into a compacts into a compact car
[35:37.040 --> 35:43.120]  Um, I always I always like the analogy of feeling like you're going uphill on a bike versus downhill
[35:43.240 --> 35:46.980]  Yeah that when you're in the flow and you have a computer that set up the way you
[35:47.640 --> 35:53.300]  You know, whatever of whatever operating system, but if you feel like you're on a bicycle that's going downhill
[35:53.300 --> 35:59.240]  That's when you're getting you feel like you're you feel great. Yeah, you feel like you're as productive as your mind
[35:59.240 --> 36:04.160]  You're only limited by your own brain and when you're going uphill it when it feels like you're going uphill
[36:04.160 --> 36:07.000]  it just feels like this sucks my
[36:07.520 --> 36:13.240]  The system is slowing me down. Like I'm you know, fully caffeinated. I'm mid day. I feel great
[36:13.240 --> 36:17.160]  I'm on you know, I feel like I've got good ideas that I'm writing or whatever I'm doing
[36:17.160 --> 36:20.480]  but if you feel like you're frustrated by the tools it
[36:21.080 --> 36:23.080]  You know it just and it somehow
[36:23.080 --> 36:28.560]  Brings you down the sense of going uphill because you feel like I could be doing I could be doing better
[36:29.160 --> 36:33.840]  It's like when you're really sick and you have all of the great ideas in the world
[36:34.060 --> 36:39.760]  But because your body is letting you down you can't execute any of them and you're like, but I want to do this, please
[36:40.600 --> 36:44.660]  Yeah, and there and there are still definitely some tasks where I feel that way with the iPad
[36:44.660 --> 36:51.080]  But I but after spending some time forcing myself to use it and getting over the initial hump. It feels a lot better
[36:51.080 --> 36:56.480]  Um 3d touch actually was something I just wrote an article over the weekend about that
[36:56.480 --> 36:59.720]  where like you were complaining a little bit about 3d touch and
[37:00.120 --> 37:03.720]  Jason Snell was complaining a lot about 3d touch and I'm like
[37:03.720 --> 37:07.900]  I totally get where you guys are coming from because there's a lot about 3d touch
[37:07.900 --> 37:13.840]  That's unfinished and a lot of it that just doesn't click properly, but there are some features, you know
[37:13.840 --> 37:19.960]  I forced myself for instance to use like the left side deep press to get into multitasking and
[37:19.960 --> 37:21.360]  and
[37:21.360 --> 37:27.800]  Using the keyboard as like a cursor so that you could move it rather than using the old style and those two shortcuts alone
[37:28.320 --> 37:31.600]  Made 3d touch. I think I called it. I was like 3d touch is a niche
[37:31.600 --> 37:34.520]  I can't live without because with those two features
[37:34.880 --> 37:41.120]  my iPhone productivity is so much faster than it was pre iPhone 6s and
[37:41.640 --> 37:48.000]  Like even with all of the problems with 3d touch that's like those two things are like no all of the devices have to have 3d
[37:48.000 --> 37:51.440]  touch and god forbid what if the home to button disappears, maybe 3d touches are like
[37:51.960 --> 37:56.200]  Initial way into that getting us comfortable with that, but you have to use it, right?
[37:56.200 --> 38:03.800]  You have to force yourself to use the left side multitasking shortcut because we're we've been trained for what?
[38:04.440 --> 38:06.560]  six seven eight years now to
[38:07.200 --> 38:11.960]  To press the double press the home button since iOS 4 to bring up the multitasking shortcut
[38:11.960 --> 38:15.080]  And if you don't give it a like if you don't force yourself
[38:15.080 --> 38:19.960]  You're not gonna get out of your old habits and you're not gonna be able to see if the new habits are
[38:20.040 --> 38:24.820]  Potentially faster or potentially slower. Yeah, I think it it highlights the
[38:25.360 --> 38:27.440]  It's just an inherent problem in
[38:28.160 --> 38:30.160]  designing systems and
[38:30.160 --> 38:36.520]  Systems meaning like the the basic UI of a computer. Yep touch screens on the Mac to me is a perfect example
[38:36.560 --> 38:39.460]  We still don't have them and I still I don't think we ever will
[38:39.460 --> 38:46.520]  I just because it just doesn't work to have an interface where the elements are so close to each other to be so tiny
[38:46.640 --> 38:52.520]  Fine, you know and they should be because the mouse is a very fine instrument or a trackpad or you know
[38:52.520 --> 38:56.020]  Or whatever you're using for input on the Mac. It's so fine
[38:56.720 --> 38:58.400]  I
[38:58.400 --> 39:04.260]  Kind of feel like 3d touch though is that way to iOS where if we had had 3d touch right from the start in
[39:04.260 --> 39:09.700]  2007 I feel it would be integrated with the system in a way that kind of can't be now
[39:09.980 --> 39:13.180]  because they can't just make things that are essential for it because only
[39:14.380 --> 39:19.100]  The iPhone 6s and 6s plus have it even new iPads don't have it
[39:19.580 --> 39:24.540]  So every other iOS device needs to beat there needs to be a way to do the 3d touch stuff without it
[39:24.580 --> 39:25.100]  Yeah
[39:25.100 --> 39:32.120]  And I for that I look to live photos as a good example of something where this is this is something that is exclusive to the
[39:32.120 --> 39:39.400]  6s the 6s plus the small iPad Pro and the iPhone SE and only two of those four devices
[39:40.080 --> 39:40.960]  have
[39:40.960 --> 39:41.880]  3d touch
[39:41.880 --> 39:48.120]  So they just said and also they have of course live photos on the Apple TV and live photo support on the eye on the Mac
[39:48.120 --> 39:50.220]  To look at it. They're like, okay
[39:50.220 --> 39:50.440]  well
[39:50.440 --> 39:54.460]  how do we still show the like shift from still photo to live photos and
[39:54.920 --> 40:01.240]  On the on the iPad and on the iPhone says see it's just a long press and I'm I mean
[40:01.240 --> 40:03.240]  I think you mentioned that in your in your
[40:03.880 --> 40:09.920]  Sort of overview of Jason's article where it's like it makes a lot of sense to tie 3d touch to a long
[40:09.920 --> 40:13.860]  Press gestures be especially because if you've ever used a 3d touch device
[40:14.420 --> 40:17.120]  and I think about it from the home screen primarily is
[40:17.520 --> 40:23.520]  Trying to actually trigger the difference between a long press and a 3d touch and a light 3d touch is almost impossible
[40:24.600 --> 40:29.200]  You try and edit your home screen and it's just like nope. You're gonna preview an app icon. Nope
[40:29.200 --> 40:31.200]  You didn't do it that we didn't do it right either
[40:31.680 --> 40:38.600]  So I don't under I don't understand why they didn't just jump into the idea of let's just design iOS 9
[40:38.760 --> 40:41.640]  So that a long press equals 3d touch
[40:41.920 --> 40:44.880]  Can I tell you one of the other minor annoyances that I have a 3d touch?
[40:44.880 --> 40:50.680]  I love the idea of long of hard-pressing the apps on the home screen and getting shortcuts
[40:50.680 --> 40:51.520]  And so yeah
[40:51.520 --> 40:56.020]  And there's some great apples done some great stuff with that and I know that a lot of third-party
[40:56.020 --> 41:01.100]  Utility makers have some really clever stuff in there. But the one that drives me nuts is for the phone app
[41:01.660 --> 41:04.700]  It's like you can't set who the people are. It's like the no
[41:04.700 --> 41:09.740]  it's just like three random people and the logic of it doesn't make any sense to me because I
[41:10.380 --> 41:13.700]  It I would I would guess that at least
[41:14.220 --> 41:18.500]  Half of all the calls I ever make are to my wife and sometimes she's not
[41:18.700 --> 41:22.260]  listed and it doesn't see I don't know how there could be any algorithm that would
[41:22.260 --> 41:28.500]  That would guess as to who I'd want in that list that wouldn't include her based on my outgoing call history
[41:28.500 --> 41:31.820]  And yet sometimes she's not listed. Sometimes she is and sometimes she's not
[41:32.340 --> 41:38.460]  I just wish that I wish that feature would just let me pick three people like just say like top three people in my phone
[41:38.460 --> 41:43.780]  Favorites and that's it. Yeah was it's funny because clicking my clicking my phone right now
[41:43.780 --> 41:49.580]  It is the top three people in my phone favorites, but I'm also pretty sure that that's again. That's random
[41:49.580 --> 41:55.380]  I'm it's the same thing with messages to is like messages doesn't show the most recent people
[41:55.740 --> 42:01.340]  That you've texted and I'm like, why why doesn't it just show the three most recent people wouldn't that make the most sense?
[42:01.620 --> 42:07.860]  Yeah, I don't know. I don't know what they're doing. But it's definitely that's not what they're doing. No, and that's I mean, that's a
[42:08.580 --> 42:13.180]  Factor of Apple being weak on certain algorithmic things in the first place. We did a
[42:13.180 --> 42:20.960]  Retrospective on iOS 9 like six months in and one of the things that still irritates me is the whole promise of
[42:21.300 --> 42:25.700]  Proactive was really awesome and I was really excited about you know, oh, yeah
[42:25.700 --> 42:32.460]  It'll frequently know what apps are using at this time of day because it technically has all of that information and it's all local to
[42:32.460 --> 42:33.500]  your device
[42:33.500 --> 42:35.500]  but Siri suggestions
[42:35.780 --> 42:39.960]  Rarely really helpful on weird random occasions it is
[42:39.960 --> 42:46.240]  But more often than not it is just a couple of apps that I may have used recently
[42:46.840 --> 42:50.640]  And and let alone though the lock screen app suggestions
[42:50.640 --> 42:56.100]  I feel like I've only seen that once or twice in my life since installing iOS 9, you know where it's like
[42:56.100 --> 42:56.540]  Oh, yes
[42:56.540 --> 43:02.820]  It'll show you a swipe up and the bottom left hand corner for the most recently used app you use at like 9 in the morning
[43:02.820 --> 43:06.560]  I don't I've never seen that I'm waiting for it to show me like tweet bot
[43:06.560 --> 43:10.160]  Go read your tweets because you always do this every morning, right?
[43:12.620 --> 43:14.100]  So
[43:14.100 --> 43:21.140]  Before we go any further so you're you're when you say you're portable as a iPad Pro. You mean the 12.9 inch, right?
[43:21.140 --> 43:24.540]  I mean the 12.9. Yeah, I've got both sitting on my my desk right now
[43:24.540 --> 43:26.540]  but when I say the and
[43:26.900 --> 43:32.540]  I'm working on the review because like you I've been spending a lot of time using it rather than writing about it
[43:32.540 --> 43:36.380]  But when it comes to replacing a laptop
[43:37.780 --> 43:40.620]  Whole hog, you know not having a MacBook in the wings
[43:40.860 --> 43:46.080]  The 12.9 inch has to be the way to go for me because of split view and keyboard alone
[43:46.620 --> 43:50.540]  Hmm. All right, I disagree, but I will get back to that. Yeah, we can
[43:51.300 --> 43:54.120]  And I'm gonna take a moment here and thank our next sponsor
[43:54.120 --> 43:58.900]  It's our good friends longtime friends of the show fracture fracture is the come you guys remember them
[43:58.900 --> 44:05.300]  They print your photos directly onto glass. So you take your favorite photos that you've taken you upload them to fracture
[44:05.300 --> 44:11.580]  You pick what size you want and then they mail you a piece of glass that has your photo printed directly on it
[44:11.780 --> 44:13.780]  Colors pop like you won't believe
[44:14.060 --> 44:18.020]  And it even comes with a solid backing that's ready to mount right out of the package
[44:18.020 --> 44:22.140]  All you have to do is stick the included screw in the wall and hang it and then you're done
[44:22.260 --> 44:26.060]  So there's no you don't have to put it in a frame. It doesn't need a frame. It just is
[44:26.060 --> 44:29.820]  It almost is a frame. It's just a piece of glass that goes edge to edge
[44:30.340 --> 44:36.700]  So beautiful, it is so much it is so much the best way to get analog versions of your digital photos
[44:37.700 --> 44:42.340]  There's no comparison. It looks great. Everything's aligned. You can't there's no little piece of paper
[44:42.340 --> 44:47.680]  But you know like putting it in a traditional frame where it's like off-center and then just when you've got the frame all closed up
[44:47.860 --> 44:50.980]  You shifts a little bit and you've got to open it up and start all over again
[44:51.700 --> 44:55.200]  Forget about it. Don't do that. If you're gonna print photos get them printed at fracture
[44:55.200 --> 44:56.520]  It's the way to go
[44:56.520 --> 45:02.480]  It's a wonderful gift. It's a great way to decorate your home and they have a great just a great team
[45:02.480 --> 45:07.260]  They hand assemble and they check for quality. Everybody does it and it's a small team down there in Gainesville, Florida
[45:07.260 --> 45:09.260]  That prints every one of these things
[45:10.700 --> 45:16.000]  Can't recommend them highly enough really really great way to get your photos printed and if you need another reason to buy one
[45:16.180 --> 45:19.080]  Besides them just sponsoring the show and being a longtime friend of the show
[45:19.080 --> 45:25.500]  You can save 10% off with the offer code talk show 10 when you go to fracture me calm
[45:25.620 --> 45:29.980]  So go to fracture me calm to see what they have to offer and just remember the code talk show
[45:30.420 --> 45:36.380]  10 and you'll save 10% off your order from fracture go get some pictures printed
[45:37.540 --> 45:42.860]  All right. I like the 9.7 inch model better, but I think it's possibly related to the fact that
[45:43.740 --> 45:46.420]  That like I said, I don't really do work on the iPad
[45:46.420 --> 45:51.320]  I just use it for reading and I've always liked it for reading and I used to I mean
[45:51.320 --> 45:58.380]  This is how badly my eyes have gotten worse as of rocketing into my 40s, but like when the iPad mini first came out
[45:58.380 --> 46:01.980]  I loved it. I was like this is the iPad for me because I can hold it in one hand and
[46:03.220 --> 46:04.360]  it's
[46:04.360 --> 46:06.360]  but it's like as I
[46:06.460 --> 46:11.740]  Even in the years since that's come out which haven't been that many it the fact that it's just the same number of pixels as
[46:11.740 --> 46:14.700]  the 9.7 inch of iPad shrunken down
[46:14.700 --> 46:20.980]  It's a lot easier for me now to use a 9.7 inch just because it's the same interface bigger. Oh, yeah
[46:20.980 --> 46:27.820]  Oh, yeah, so if I were younger, I think I would still be a fan of the iPad mini form factor
[46:28.340 --> 46:30.340]  Now that I'm getting older. I like the
[46:30.420 --> 46:37.000]  9.7 and to me the 12 it just isn't suitable and I've gone back now that I have both of them as you know
[46:37.000 --> 46:41.840]  Called the iPad Pro here in the house. I've gone back to it and it's I see why other people like it
[46:41.840 --> 46:45.180]  I can see why people like it, especially if they're using it on a desk
[46:45.180 --> 46:51.800]  But for me, it's it's not as good a size and I find much like Jason snow who wrote a review of that smart keyboard
[46:52.700 --> 46:53.900]  I
[46:53.900 --> 46:59.740]  Expected to really despise the keyboard because of the size, but I've actually found myself. I'm pretty good typing on it
[46:59.740 --> 47:02.600]  It's it's about as I mean, it's not as good as a full-size keyboard
[47:02.600 --> 47:07.880]  I mean, I can't say that but it's way better than I expected. Yeah, it's it's serviceable
[47:07.880 --> 47:15.000]  um, which is a lot better than I can say for many many many other keyboards and I've used Bluetooth keyboards and
[47:15.700 --> 47:22.920]  USB keyboards for both the iPad mini which used to be my my go-to iPad actually and the 9.7 inch iPad
[47:23.900 --> 47:28.820]  old old original iPad and an iPad air and iPad 2
[47:30.500 --> 47:37.700]  It's interesting to me because I think there is a very big divide where the the 12.9 inch is not the device
[47:37.700 --> 47:40.060]  for people who want to read or people who want to like
[47:40.740 --> 47:42.260]  casually draw
[47:42.260 --> 47:44.740]  or just have an iPad like I
[47:45.020 --> 47:51.940]  Really think especially with the 9.7 coming in and having the smart connector and having access to the pencil the 9.7
[47:51.940 --> 47:54.100]  I mean, it's the sweet spot for iPad size, right?
[47:54.100 --> 47:59.980]  It's the iPad size that they have been developing since 2010 and it feels it feels great in the hands
[47:59.980 --> 48:05.800]  Like I thought that I was gonna get the 9.7 to look at it and to review it and then I was gonna return it
[48:05.800 --> 48:09.520]  Uh, because I was just like it's you know, I've got a I've got a big iPad
[48:09.520 --> 48:14.300]  I don't need another iPad even though it's pretty I have it in rose gold. It's nice, but I don't need it
[48:14.720 --> 48:16.800]  And I think I might keep it around
[48:17.660 --> 48:19.660]  Because it is as you said it is
[48:20.000 --> 48:25.560]  Really nice for reading and it's so light in comparison like my 12.9 inch iPad
[48:25.560 --> 48:31.440]  Here's my confession about this. Is that basically my 12.9 inch iPad is a
[48:31.440 --> 48:38.320]  Mac book with a touchscreen what I've turned it into I have it encased in like this gigantic Logitech create keyboard
[48:38.840 --> 48:43.920]  Case which turns it into like a three-pound computer, which is heavier than my MacBook Air
[48:44.520 --> 48:50.160]  And on that side, I'm I feel silly because I'm like I've just turned this incredibly
[48:50.160 --> 48:56.960]  You know fairly still fairly light piece of technology and I've basically shoved it in like one of the ugliest iPad cases
[48:56.960 --> 49:00.720]  I've ever seen in my life. Although it is bright red. So at least I've got that going for me
[49:00.720 --> 49:02.720]  but overall it's not
[49:04.200 --> 49:07.240]  It's it's not it doesn't look like an iPad
[49:07.240 --> 49:08.840]  It looks closer to a surface
[49:08.840 --> 49:13.600]  when you if you'd see it from behind than it does from an iPad and you'd only be able to tell that it's an iPad if
[49:13.600 --> 49:18.720]  You came back like behind me and looked closely at the way that it was designed because it has the home button
[49:19.240 --> 49:24.680]  But I've basically the the 12.9 inch does not come out of this case. I I will
[49:25.280 --> 49:29.880]  Occasionally take it out if I'm like showing it to somebody and they want to like feel how heavy it is
[49:29.880 --> 49:36.520]  but to me it is like it is part of this keyboard and that's part partially because the Logitech create keyboard is
[49:37.400 --> 49:43.800]  It's it has a beautiful home row that has shortcuts that just make using iOS like a desktop
[49:44.440 --> 49:45.920]  Where you can have you know?
[49:45.920 --> 49:50.200]  It has a quick to home button and it has a search button which will automatically close the app
[49:50.200 --> 49:57.260]  You're in and pull up spotlight. You can do command tab on it. So it's it's basically a laptop. It is a laptop with with
[49:57.260 --> 50:00.560]  with a multi touch on it and
[50:00.960 --> 50:07.320]  And split view and split view on the 12.9 when you're doing when you're trying to do actual work is really nice
[50:07.320 --> 50:10.200]  It's basically two portrait iPads side by side
[50:10.560 --> 50:15.260]  It's not again not the perfect implementation of multiple windows
[50:15.260 --> 50:20.720]  but I actually like I almost like it a little bit better than the tiered window system that OS X has for
[50:21.120 --> 50:24.080]  Especially for writing because it's a lot calmer, right?
[50:24.080 --> 50:29.000]  I look at my any of my Macs at any given time including the one on my Mac
[50:29.000 --> 50:31.520]  I'm staring at right now and it's there's a there's
[50:32.640 --> 50:38.600]  Sense to it. I'm not lost but it's it. I'm also displeased by the clutter that yes
[50:39.120 --> 50:46.000]  It is it's there's a method to my madness and I know which apps tend to be on which sides and and stuff like that
[50:46.000 --> 50:48.820]  But it doesn't look nice and neat. Whereas the iPad
[50:48.820 --> 50:54.540]  Enforces neatness because it's you know, you can only have two limitations time
[50:54.540 --> 50:57.680]  yeah, and they're always open at these set, you know, like
[50:59.140 --> 51:01.140]  5050 or two-thirds
[51:03.620 --> 51:10.860]  And there's a certain clarity, you know that that is very appealing to me the fact that you cannot make it messy and that you know
[51:10.860 --> 51:13.500]  And again, I think you're right and I don't think it's any
[51:13.500 --> 51:20.760]  Surprised that one group of people who find the iPad the most appealing as a true work machine
[51:20.760 --> 51:25.620]  Our writers is that it you know, because the lack of clutter can help focus your mind
[51:27.060 --> 51:32.020]  So no doubt I see the appeal of that but it's still I don't know there is something there
