[00:00.000 --> 00:02.000]  I've got too many iPads
[44:36.000 --> 44:49.000]  Yeah, yeah, it's funny. A lot of it because there was a market share argument, right, which is never what you should really make with Apple, which is there's a $50 $30 4k stick so Apple should do that.
[44:49.000 --> 45:03.000]  But the thing about their sort of years long process of getting Apple TV stuff into TVs and onto streaming boxes, and it's basically everywhere if you buy a new something, it will almost certainly support Apple's TV stuff.
[45:03.000 --> 45:17.000]  Well, that eliminates it as an issue. So all you're left with is the Apple TV is more expensive because it's a better if not premium a better experience than a low end streaming stick.
[45:17.000 --> 45:25.000]  The interface is nicer, and it's faster and more responsive. And I think both of those are true to a point like I think it should be better.
[45:25.000 --> 45:35.000]  I don't think Apple TV is good enough. I think that it has some serious interface problems in some areas and the fact that tv OS just got updated and nothing changed gives me some hesitation.
[45:35.000 --> 45:50.000]  Amazon recently did a UI refresh that is is it really nice but also having I've got a Roku a low end Roku box a low end fire stick about a low end Roku box for my mom I can tell you those cheap boxes are bad.
[45:50.000 --> 45:59.000]  They work, but they are slow the interfaces are clunky, but they work right. And when I use my Apple TV I'm like, it's really nice.
[45:59.000 --> 46:11.000]  And that's that. Again, I think Apple has a lot more work to do on the interface Joe Rosen steel has written about it at length on his own blog and on six colors and like all over the place like, and he's right.
[46:11.000 --> 46:24.000]  There are lots of things that Apple is not doing well enough and Apple's entry into sports I think might be the thing that finally spurs them to do better because they don't handle a lot of stuff like what's on right now what can I watch right now.
[46:24.000 --> 46:30.000]  They have some of that but it's not really well designed and I think that they're a little still a little too app centric.
[46:30.000 --> 46:56.000]  But all that said I can see the Apple TV hardware now in a way that it makes more sense as an Apple product which is it's nicer like in the end you're paying more because it's nicer because it's got a faster processor and a nicer remote and everything is smooth and you don't have to wait every time you click for another thing to load which is what happens on my mom's Roku because it was 20 bucks at Walmart.
[46:56.000 --> 47:07.000]  And the great thing about it. It was 20 bucks at Walmart. The bad thing about it is it's not very good and the Amazon stuff is nice, but it's also full of commercial garbage because it's Amazon and they're trying to sell you stuff.
[47:07.000 --> 47:31.000]  So it is a much better argument to make that yes Apple TV cost more not as much as it did but still cost more than the competition but you get something that's nicer and a lot of people will point out also that Apple is not as likely to be tracking your movements and habits as something like Roku or even Amazon or Google.
[47:31.000 --> 47:42.000]  So like that that right that feels a lot better to say at what's Apple TV doing at 129 and the answer is it you pay more but it's nicer like that's a very Apple approach.
[47:42.000 --> 47:59.000]  I think yeah, I agree and as much you know, you probably are getting tracked in a lot. In fact, I know you're getting tracked a lot of ways within the apps you use right and that you go into Hulu and Hulu is tracking whatever you've watched and I'm sure they're taking all the
[47:59.000 --> 48:09.000]  metrics you want but at least you know, you're only doing that because you're choosing to use Hulu at the system at the system level. There's no tracking and I don't think anybody else can say that right.
[48:09.000 --> 48:22.000]  I mean you can I have I mean I have a Roku TV and you can opt out of a bunch of stuff and people have done network traffic analysis and I think that some of that like it's all spying on you is a little overblown but not entirely overblown right.
[48:22.000 --> 48:32.000]  This is one of those cases where if you're like, I don't like the idea that I'm buying a cheap box that's being subsidized by either Amazon's commercial efforts or having something that's running all the time.
[48:32.000 --> 48:41.000]  It's analyzing everything I do and that makes me uncomfortable put that on the pile of reasons to get an Apple TV, but it is but you're not going to you're not going to get an Apple TV for 20 bucks at Walmart.
[48:41.000 --> 48:59.000]  You're not well and I think you're and I but I think you're exactly right to that the lower end sub hundred dollar things that you plug in whether they're a stick or a box. They're all getting eaten by the built-in stuff that's built into TVs and as slow as the upgrade cycle is for replacing actual TVs.
[48:59.000 --> 49:20.000]  It's at the point now where it you can definitely see I see from extended family members how it's eaten into it where it five six seven eight year even a 10-year upgrade cycle for TVs is a long period of time, but it does happen and there I don't see the room for $50.
[49:20.000 --> 49:36.000]  This is the plug in the TV when the it they're no better than the one that's built in and you already you know, so why do it so I have a TCL 4K HDR TV. It's great and it's a Roku TV and you know it you buy you buy any of these things.
[49:36.000 --> 50:03.000]  You're going to get something that is yes. It is a cut above like my mom's Roku box for 25 bucks. Whatever it was at Walmart like the one embedded in my TV is way better like so so yes, and then it's I'm going to have it for whatever five or 10 years and and and it'll get older but like so many people are going to buy a new TV and then throw their box away because those cheap cheap streamer boxes aren't or they're there just to enable my mom's got a plasma TV.
[50:03.000 --> 50:26.000]  It doesn't have any streaming support whatever. So that's why I bought her that Roku box and everybody out there is now going to say Jason. Why aren't you giving her an Apple TV and it's like all right. You're probably right. I probably should I'm going to have to find a spare Apple TV and and give it to her but but yeah that that is that that stuff's all going away right because if she got another TV today, she wouldn't need a box.
[50:26.000 --> 50:38.000]  It would be the TV's the TV's got it and that and that may leaves once again leaves Apple in this position is the sort of like but if you want something nicer, which you know is quintessential Apple right?
[50:38.000 --> 50:56.000]  All right, let's take a break here and I'm going to tell you about another great company one that is fueled this podcast to some extent it's trade coffee. Look whether if you make coffee at home and you've been getting your coffee from the grocery store and drinking the exact same coffee every day.
[50:56.000 --> 51:08.000]  You could try something much better with trade coffee. It is so easy to get fresh roasted coffee. It's delivered right to your doorstep from local Roasters all around the United States.
[51:08.000 --> 51:30.000]  That's what trade does they are a coffee subscription service and they make it so simple for you to discover new coffees and get it delivered at the pace and quantity that you want for how much coffee you and your family or your colleagues if it's for work drink and make great cups of coffee great pots of coffee at home at work every day.
[51:30.000 --> 51:53.000]  No fancy equipment. It is just coffee. I drink I make coffee every day that I'm home for myself whole bean coffee. I grind it fresh right before I make it but having different coffee slightly different coffee in a flavor profile that you like every two weeks is great because I taste the difference and it doesn't get so monotonous where you get like some variety into your coffee.
[51:53.000 --> 52:02.000]  But the main thing the main reason to sign up for a subscription service from trade and get this fresh coffee is that coffee is a produce it goes bad.
[52:02.000 --> 52:25.000]  So when you buy it at like a grocery store off the shelf it is already probably stale or on its way to being stale whereas when you get coffee through trade it gets roasted fresh at local Roasters all around the country and packaged sealed and sent to you and you've got it within days just a handful of days of when it was roasted.
[52:25.000 --> 52:48.000]  That's when you get it you open it up and it is fresh and once you know this and once you start tasting it is the single biggest difference in coffee that you can make not like what country the beans are from or which Roaster or how even how much it's roasted but fresh coffee versus stale coffee is the biggest difference that that you know that I can taste for sure and trade coffee is just terrific for it.
[52:48.000 --> 53:07.000]  They have so many Roasters so many varieties and it's just a great service and you really can you you can just dial in the exact amount of coffee that you want and just take a guess if you're just getting started and haven't done it before if you just say every two weeks and then you find out that like after 10 days you're out of coffee.
[53:07.000 --> 53:29.000]  You can just adjust it and get it every week or you can get it every week and a half or something like that you're going away you're going on vacation you just go to the website and click a thing and just skip a shipment or you can pause it for an extended period of time if you want to and then restore so that you don't come home from vacation and have three packages of coffee just sitting there waiting for you with a new one on its way.
[53:29.000 --> 53:45.000]  It is so super convenient and they really really help you find the type of coffee that you like and once you start getting coffee that you like and you rate it on their site you start getting more coffee it's like a recommendation profile and you it really does work the coffee I'm getting from trade now.
[53:45.000 --> 53:53.000]  I enjoy more than what I started months ago and I like the coffee I got at the start it's really just a great service.
[53:53.000 --> 54:08.000]  I highly recommend it I drank it today as I've been doing for months you can upgrade your coffee right now with trade and they are offering listeners of this show a total of $30 off your subscription plus free shipping.
[54:08.000 --> 54:31.000]  By going to drink trade.com slash the talk show that's drink trade.com slash the talk show for $30 off your subscription to the best coffees in the country drink trade.com slash the talk show alright time for iPads I guess we'll go from the bottom sorry Apple TV fans were done.
[54:31.000 --> 54:51.000]  So the 10th generation iPad does the new one does not replace the 9th generation because the price is higher right you can get a 9th generation one that starts at 329 and the new one starts at 449 that's it that's not a minor difference that's a worth keeping the old one around difference.
[54:51.000 --> 55:04.000]  That's over a hundred bucks yeah and like the MacBook Air it feel keeping the M1 MacBook Air around it feels very much like they know that they've got not only generally in public but probably institutionally in especially education but maybe even in businesses too.
[55:04.000 --> 55:10.000]  They've got customers who will not accept 1199 MacBook Air will not accept 449 iPad.
[55:10.000 --> 55:21.000]  So what do you do well your modern Apple you just keep the old one around and introduce your new one at a higher price point which is why I've been thinking of this 10th generation iPad as.
[55:21.000 --> 55:37.000]  The education iPad of 2024 right like it'll get there it'll come down in price eventually but right now the education iPad is the iPad 9 because it's still in the line at 329 and it's $120 cheaper.
[55:37.000 --> 56:00.000]  In a way I'm thinking of the iPad 9 as the iPad se without ever actually calling anything the iPad se but it actually fits the exact role that the Apple watch se has fit and of course more the best known se the iPhone se models where it's old hardware design.
[56:00.000 --> 56:04.000]  But good enough to recommend to people it's a fine product.
[56:04.000 --> 56:15.000]  It's not like Apple watch series 3 was for the last year where everybody who kind of had any kind of formed opinion about Apple watch would tell people don't buy that.
[56:15.000 --> 56:24.000]  Yes I know that price tag is appealing and you may not understand the differences but you should buy the Apple watch se for more money instead of buying that series 3.
[56:24.000 --> 56:32.000]  The iPad 9th generation isn't like that at all you know if you think of it as the iPad se then I think the lineup makes total sense.
[56:32.000 --> 56:47.000]  Well in the iPad 10th generation what's interesting is if you were to envision a product that was between the 9th generation and the Air it would be the iPad 10th generation.
[56:47.000 --> 56:58.000]  What's interesting about it is like what they chose to upgrade and what they chose to not upgrade I think that's kind of fascinating because it's got it doesn't have a laminated screen like the iPad Air.
[56:58.000 --> 57:10.000]  It doesn't support the pencil to like the iPad Air like it's got a bunch of things about it doesn't support the smart keyboard it doesn't do windowing on display right using stage manager it can't do that.
[57:10.000 --> 57:25.000]  There are all sorts of things that the iPad Air still does but the iPad 10th generation has evolved over the 9th generation in moving touch ID to the sleep button and having a keyboard that has a trackpad on it.
[57:25.000 --> 57:29.000]  And getting away from the home button.
[57:29.000 --> 57:51.000]  Which I think makes it feel much more modern even though like the Air right it doesn't have face ID but just having it be Apple calls it like borderless or full screen or whatever is still quite a large border around it but it's consistent around the whole thing and there isn't a big space at the bottom where there's a home button so it feels more like a modern iPad by putting it in the button.
[57:51.000 --> 58:16.000]  Yeah it just looks more modern I mean we've been moving towards this ever since the iPhone 10 which first introduced this new design language where coincident with getting rid of a chin and a forehead and a square cornered rectangular screen and a home button whether or not the home button has touch ID or not but just that classic iPhone from 2007 fundamental design.
[58:16.000 --> 58:30.000]  It's I you know it shows how long these transitions can be right because the iPhone 10 was like 2017 right at my right or is it 2016 I don't know it's at least five or six years I guess five years ago yeah.
[58:30.000 --> 58:54.000]  So now it's finally trickled down throughout the whole iPad lineup to I mean there still is the iPad 9th generation and there still is the iPhone SE so that we're not totally out of it yet as relevant products that Apple continues to sell but the light at the end of the tunnel of okay the home button is gone is clearly on the horizon.
[58:54.000 --> 59:23.000]  Yeah yeah for sure so it's a modernization of the iPad and that's great but they have had to keep the old one around because this is obviously not a product that is targeted at 329 but it's curious because among its upgrades is not just it's such a weird product because like there's this new case that is using the smart connector on the side and unlike they didn't upgrade the smart connector to the back like the air which means that they can't use the magic keyboard that they make that's the cantilevered thing.
[59:23.000 --> 59:38.000]  That's got the trackpad and the keyboard they kept the smart connector on the side that used to be remember it was originally the iPad Pro smart connector and it came down to all models and this is the last one other than the iPad 9 that still has it on the side.
[59:38.000 --> 59:55.000]  But as a result they've got a two-piece keyboard thing that's very different from the magic keyboard and it's got a kickstand and it isn't backlit but it does have the same key switches and it's got a function row which everybody complained that the magic keyboard for iPad Pro did not have.
[59:55.000 --> 01:00:15.000]  It's got it that's another great sign and they moved the FaceTime camera so that it's in the center that's great and then they moved it to USB-C because that's the way things are going that's great and then they said yeah we can't find a place for the Apple Pencil 2 so we made this plastic tonkle you can use with the original Apple Pencil.
[01:00:15.000 --> 01:00:29.000]  It's like what huh like the choices I'm sure there's a whole story there that we'll never hear about why they made that choice but it's so strange right so it's like they're advancing the platform over here and then it's like not you Apple Pencil not you.
[01:00:29.000 --> 01:00:43.000]  So you went to I presume Cupertino for briefings I went to New York last week and we have the hardware we've been testing you know by the time this podcast airs the embargo will be up so we can talk about it.
[01:00:43.000 --> 01:00:56.000]  I've got these things this is what I was joking about at the outset of the show in front of me and you go to get these briefings you get the chance to ask questions you don't necessarily get the chance to get answers to your questions.
[01:00:56.000 --> 01:01:01.000]  No, but this was a briefing where there were a lot of questions.
[01:01:01.000 --> 01:01:30.000]  Yeah, and the why does it still use Apple Pencil 1 question I was anticipating getting a total non answer from and my guess was and I do think this is a factor that the connector technology inside the iPads for Pencil 2 is expensive or expensive enough that
[01:01:30.000 --> 01:01:47.000]  for these, you know what, why is this iPad $150 less than the same amount of storage in an iPad Air, which does support pencil to that's part of the explanation, right, m one versus an a 14 chip is certainly part of it.
[01:01:47.000 --> 01:02:03.000]  The laminated screen, this that the other thing does add up and you can say side by side at a glance, this looks just like the iPad Air so I don't see why anybody would spend $150 more on the iPad Air, but you don't have to spend long looking at the comparison
[01:02:03.000 --> 01:02:22.000]  aspects to see Oh well there's this and there's this and there's this, and the pencil to support hardware inside the iPad Air and the iPad pros is harder to see than things like Oh laminated screen once you look for it you can I can definitely see it, you can definitely
[01:02:22.000 --> 01:02:35.000]  see that the screen isn't as nice, and that you can see that there's like a gap there under the pixels or further from the surface, it's thicker, it's a slightly thicker device, and when they're side by side you can definitely tell that hardware
[01:02:35.000 --> 01:02:58.000]  for. It's not just magnets to snap, snap, I'm sure the magnets are the cheapest part of it, but the actual technology that wirelessly pairs and charges. The pencil to when it's attached to an iPad Air or iPad Pro that has a cost, and presumably this device
[01:02:58.000 --> 01:03:15.000]  is eventually going to cost 329 right they're going to eventually that iPad ninth gen is going to go away and this will be the entry level iPad at 330 price or something like that or 350 maybe with inflation I don't know, but, you know, they're going to knock
[01:03:15.000 --> 01:03:30.000]  $100 off this at some point so it's been I think it's built for that going forward. I think that's a reason maybe it is the reason. But the other answer I got I don't know, did you get any answers from this the other answer I got is that there are zillion
[01:03:30.000 --> 01:03:52.000]  Apple pencil ones out there in institutions in education, especially in education, especially, and that those institutions that bought and still have been buying the lightning, like nine, the iPad ninth gen that use those pencils are doing it for
[01:03:52.000 --> 01:04:01.000]  cost reasons that education famously needs the budgets aren't great and schools.
[01:04:01.000 --> 01:04:15.000]  And so the, if they're buying 300 $400 let's just say $400 iPads $99 pencils, that's a 25% that's the combined cost is now $500 right and 20% of the cost of the device is the pencil.
[01:04:15.000 --> 01:04:31.000]  That's a significant investment to them. And those are the people who are going to buy this iPad because the budget still matters. And if they can reuse the pencils they already have that's a significant part of the expenditure for buying these iPads,
[01:04:31.000 --> 01:04:52.000]  compared to people who have, let's say $1,000 $1,100 $1,200 $900 budget for an iPad Pro or a high end iPad Air. If you need to buy a new $99 pencil, sure it's still 100 bucks but you're in a you're in a stratosphere where your overall budget can absorb
[01:04:52.000 --> 01:05:02.000]  an extra $99 in a way that someone whose budget $400 is grit your teeth, just for the 400 bucks. It makes a big difference.
[01:05:02.000 --> 01:05:18.000]  Yeah, I understand that I think that I was thinking this week about the EMAC Do you remember the EMAC, it was a, they didn't make a G4 iMac it with a CRT, but they made this thing called the EMAC that was basically a G4 iMac with a CRT.
[01:05:18.000 --> 01:05:33.000]  The reason they made it was education, it's because the edge, it's the same reason why there was an iMac for years that was like $1,000 that had a spinning disk and an optical drive and like all these things that Apple had given up on, but they made.
[01:05:33.000 --> 01:05:52.000]  What I'm saying is Apple makes a lot of weird decisions, because we aren't in touch with who the institutional buyers are and what they want. And there's somebody inside Apple who says, you can't do this, because you don't understand how many people buy this.
[01:05:52.000 --> 01:06:08.000]  And so Pencil One, I get it. I think that's not a bad excuse. I wonder if there might have been other ways to mitigate that, but that they would have been too, in the end, I think the answer is they would have been too expensive to put in this low end iPad hardware.
[01:06:08.000 --> 01:06:16.000]  Like you could be compatible with both, but they chose not to do that. So we end up in the situation where lightning.
[01:06:16.000 --> 01:06:30.000]  Also, I gotta say, this is like the chickens coming home to roost, right? The design decision Apple made in 2018 with the iPad Pro having the magnetic attachment, which is so great for the Pencil Two. Love that Pencil Two.
[01:06:30.000 --> 01:06:39.000]  But that means that if you want to make an iPad that supports Pencil Two, you have to do the magnetic with the induction charging. You gotta do it. Otherwise, you can't support that one.
[01:06:39.000 --> 01:06:49.000]  And the design decision they made with the original Pencil, which I think at the time we all scratched our heads about a little bit, which is, well, there's a little plastic cap, and then there's like a lightning nub underneath.
[01:06:49.000 --> 01:07:00.000]  And you can plug it into the bottom of an iPad, which is super awkward and weird, but you can do it. It always felt like it was going to break off when I would do it. Like, maybe very uncomfortable.
[01:07:00.000 --> 01:07:20.000]  Well, now they're in a situation where they're like, well, what do we do? We can't use that. And we can't really use that. And somebody was like, well, okay, let's make a $9 adapter that you plug a pencil in on one side and a USB cable in on another because it's too long.
[01:07:20.000 --> 01:07:31.000]  There's too much torque. There's too long. You would literally snap it off if you had a USB-C sticking out of it. So instead, it's just a receptacle for a cable to get plugged in.
[01:07:31.000 --> 01:07:43.000]  And Apple knew going in that everybody was going to laugh at it. And it is kind of embarrassing. Like, I totally get why they might want to do it. But it is a logical progression when you consider all the other decisions they made.
[01:07:43.000 --> 01:08:03.000]  But really, they painted themselves in a corner where they're like, I guess this is what we have to do now because they didn't want to do it. But I think whatever in-device option they might have had in that iPad, all their choices were probably pushed the price up or the margins down, depending on how you want to look at it. And they decided, nope, $9 adapter it is.
[01:08:03.000 --> 01:08:21.000]  Right. And it's like, why do you have paint all over the skin of your feet? And it's because, well, I painted myself in a corner and I figured out the best solution was to take off my shoes and socks and just walk across the floor with my bare feet because I can wash those.
[01:08:21.000 --> 01:08:31.000]  And I thought if I got paint on the bottoms of my shoes, I'd never get it off. And so now my shoes are fine, but I just need to take a shower and scrub my feet. And it was the best I could do.
[01:08:31.000 --> 01:08:44.000]  I also think that we talk about their future plans. I suspect there's a Pencil 3 in the works. And when they looked at this, they're like, we're not going to put any effort into doing a new pencil right now because we're already working on a new pencil.
[01:08:44.000 --> 01:08:56.000]  Because they could have made a Pencil 1.5 that uses USB-C. They could have knocked off or even bought or worked with Logitech because Logitech has that product that they've had since the very beginning of the Apple Pencil called the Crayon.
[01:08:56.000 --> 01:09:11.000]  They've been working with them since 2018, since that Chicago event. So it doesn't do the pressure sensitivity, but it's proximity based. You just bring it near an iPad and it works and you can draw on it.
[01:09:11.000 --> 01:09:20.000]  And they made a new USB-C version, but it doesn't really matter. You can use either version. And there are lots of things they could have done to make this easier.
[01:09:20.000 --> 01:09:31.000]  But I think in the end, they looked at it and said, we're not investing more time in old pencil, low-end pencil compatibility. We're just not going to do it. You can have a little plastic thing.
[01:09:31.000 --> 01:09:42.000]  Yeah, I never bought the Logitech Crayon, but I'm thinking about buying the new one. So the new one that they announced coincident with last week's announcement is USB-C for charging.
[01:09:42.000 --> 01:09:48.000]  But because I don't have one, I don't know how you pair it. Do you pair it with a cable or do you pair it wirelessly?
[01:09:48.000 --> 01:09:57.000]  It's adorable. Think, believe it or not, and it's been a little while. I don't know where mine is. I need to fish it out. Mine is the original, so it's like orange.
[01:09:57.000 --> 01:10:06.000]  Battery's probably dead. It probably doesn't work anymore. But I believe you don't pair it. I believe that it works entirely based on proximity.
[01:10:06.000 --> 01:10:08.000]  You just bring it near an iPad and it starts working.
[01:10:08.000 --> 01:10:10.000]  And then it starts to work with that iPad.
[01:10:10.000 --> 01:10:14.000]  And then if you turn and use a different iPad, it just works with that one.
[01:10:14.000 --> 01:10:15.000]  Oh, that's fascinating.
[01:10:15.000 --> 01:10:29.000]  Yeah, it's a really interesting product, and I think people don't know about it. But again, not as capable as an Apple Pencil, but I think the whole idea there was to make a more affordable stylus for iPads for education.
[01:10:29.000 --> 01:10:40.000]  And if you think about it in an educational context, you could have a bunch of those Crayons and a bunch of iPads and you don't have to worry about pairing or anything because it's all proximity-based.
[01:10:40.000 --> 01:11:09.000]  Right. And as easy as it is to repair a pencil from iPad A to iPad B, so long as the two iPads share Pencil 1 or Pencil 2 compatibility, just by attaching Pencil 2 magnetically, it suddenly changes from being paired with A to B or just plugging the lightning plug into the socket on a home button iPad just pairs the iPad or the pencil with it.
[01:11:09.000 --> 01:11:24.000]  Not having to pair at all is even easier, right? And again, like you said, in a classroom situation where everybody picks up an iPad and you don't have to worry that you've got iPad A37 with Pencil A37 because they're the ones that are paired together.
[01:11:24.000 --> 01:11:30.000]  Especially now that if you want to pair that Pencil 1, you've got to get the adapter and the cable and the whole thing to do that.
[01:11:30.000 --> 01:11:41.000]  The adapter is $9, which is Apple's price for shit that they wish they could just give away, right? I forget what else has cost $9 over the years.
[01:11:41.000 --> 01:11:45.000]  I think the AirPods ear tips cost $9.
[01:11:45.000 --> 01:11:51.000]  The headphone to lightning adapter, when they first got rid of the headphone jack, was $9. I'm not sure if it still is.
[01:11:51.000 --> 01:12:01.000]  The USB headphone adapter, I think, is that too. $9 is the, like, I can't charge any less than this price.
[01:12:01.000 --> 01:12:04.000]  Good for them.
[01:12:04.000 --> 01:12:14.000]  My understanding is they're going to put it in the box of all new Apple Pencil 1s that are being sold.
[01:12:14.000 --> 01:12:24.000]  Right. I asked because in our review kit, or at least my review kit, they gave me a new Pencil 1, which is, I don't know how many of them now are floating around my house.
[01:12:24.000 --> 01:12:27.000]  My old one battery died, so I was glad they sent one this time.
[01:12:27.000 --> 01:12:29.000]  Oh, like it wouldn't even take a charge.
[01:12:29.000 --> 01:12:32.000]  It won't charge. I left it dead for too long, I think, and it won't charge now.
[01:12:32.000 --> 01:12:38.000]  They sent me a Pencil 1 and the standalone little adorable little box for the adapter.
[01:12:38.000 --> 01:12:44.000]  And so I asked, because they did tell me at the briefing that going forward, all Pencil 1 purchases included.
[01:12:44.000 --> 01:12:49.000]  I was like, is it always going to be two separate boxes? And they're like, no, it will eventually be in the box with the pencil.
[01:12:49.000 --> 01:12:55.000]  It's just that the, you know, right now to give us stuff, they don't have those yet. So they just gave us the two boxes.
[01:12:55.000 --> 01:13:01.000]  The adapter, it is awkward. I mean, the biggest problem to me isn't the $9 if you need to buy it.
[01:13:01.000 --> 01:13:11.000]  It's the loseability. And to me, that's the single biggest design mistake with Pencil 1 is the cap, because the caps are so easily loseable.
[01:13:11.000 --> 01:13:16.000]  There's nowhere to put it when you take it off. While it was my Apple Pencil, I lost the cap.
[01:13:16.000 --> 01:13:23.000]  I did lose, and I don't lose things typically. I'm pretty good at not losing like even fiddly little things, but I lost the caps.
[01:13:23.000 --> 01:13:25.000]  And I also thought, what the hell? Why do I even care about the cap?
[01:13:25.000 --> 01:13:34.000]  The lightning, the male lightning jack at the end of the pencil, I guess it looks better with the cap on, but I think the design would have been better.
[01:13:34.000 --> 01:13:42.000]  I don't know. I'm sure they considered it, but I think it would have been better if it was retractable, if it was like the way that a click pen goes in and out.
[01:13:42.000 --> 01:13:49.000]  What if the lightning clicked in and out so that you could tuck it away so it's not sticking out, but it went away?
[01:13:49.000 --> 01:13:52.000]  The cap was a terrible idea. It really, in my opinion.
[01:13:52.000 --> 01:14:02.000]  Yeah, and I totally get why they had it be jack, because it is such a, even though it's awkward and weird, you don't need to find a cable, right?
[01:14:02.000 --> 01:14:06.000]  You just plug it into the bottom of your iPad, and it pairs and it charges, and you've got it going.
[01:14:06.000 --> 01:14:13.000]  Well, and the other problem with lightning is there's never been such a thing as a lightning to lightning cable with male lightning on both ends.
[01:14:13.000 --> 01:14:20.000]  Right. Well, they actually had a little adapter in the box to do that, I think, because I had one.
[01:14:20.000 --> 01:14:24.000]  So you could charge it independently, but it was not meant to do that.
[01:14:24.000 --> 01:14:28.000]  I mean, because the counterargument could be maybe they could have just made a lightning port on it.
[01:14:28.000 --> 01:14:31.000]  Right. But then you'd need a cable every time.
[01:14:31.000 --> 01:14:40.000]  Now, ironically, now with this new iPad, the result of that design decision is now you do need a cable and an adapter in order to get it to work.
[01:14:40.000 --> 01:14:48.000]  It's so funny. The adapter, if you didn't notice, I'll put a link in the show notes to it, I promise, but if you look at the little picture,
[01:14:48.000 --> 01:14:53.000]  they show the picture on the lightning side, so it's female to female.
[01:14:53.000 --> 01:14:57.000]  It is a female USB on one side, female lightning on the other.
[01:14:57.000 --> 01:15:09.000]  And you can tell which is which if you know that USB-C sockets are actually the male part of USB-C.
[01:15:09.000 --> 01:15:12.000]  There's like a little thing that sticks out in the center.
[01:15:12.000 --> 01:15:15.000]  You can just look in the USB-C port and you can see what I'm talking about.
[01:15:15.000 --> 01:15:22.000]  So you can tell, but they also put just a little circle on the lightning end on the one side.
[01:15:22.000 --> 01:15:25.000]  Like there is no logo for lightning.
[01:15:25.000 --> 01:15:31.000]  And what would the logo be? It would be a lightning bolt, I guess, which is already used for Thunderbolt.
[01:15:31.000 --> 01:15:36.000]  Yeah. So it's the I guess that circle means stick your pencil here.
[01:15:36.000 --> 01:15:40.000]  Yeah, I guess. I don't know. It's like for lack of a better icon, they just use the circle.
[01:15:40.000 --> 01:15:45.000]  So you can kind of tell without peering into the slot, but it's very subtle.
[01:15:45.000 --> 01:15:48.000]  It is so super lightweight. It is so loseable.
[01:15:48.000 --> 01:15:51.000]  But I don't like you said they painted themselves in a corner.
[01:15:51.000 --> 01:15:56.000]  And what do you do? You can see something's going to get paint all over it or you're going to sit there forever.
[01:15:56.000 --> 01:16:02.000]  Yeah. I mean, my argument would be if you're going to the trouble of going this far and upgrading this thing,
[01:16:02.000 --> 01:16:07.000]  you should bite the bullet and make the new one pencil to compatible,
[01:16:07.000 --> 01:16:11.000]  even if it's also pencil one compatible, which I don't know what is involved there.
[01:16:11.000 --> 01:16:17.000]  And you sell these adapters for your institutions that are desperate to hold on to their pencil ones.
[01:16:17.000 --> 01:16:24.000]  But now this thing only uses the pencil one. So you got to keep making them.
[01:16:24.000 --> 01:16:28.000]  And like the pencil two came out four years ago and they're like, nope, we're still doing pencil one.
[01:16:28.000 --> 01:16:30.000]  And that's going to keep on going into the future.
[01:16:30.000 --> 01:16:35.000]  So they could have mitigated this in a bunch of ways and they just decided not to because it might have cost them an extra.
[01:16:35.000 --> 01:16:42.000]  I mean, either either maybe the space isn't there or it cost them an extra 15 bucks that they don't want to give away on every sale.
[01:16:42.000 --> 01:16:44.000]  And so here we are.
[01:16:44.000 --> 01:16:49.000]  Things I've tried with this since I've gotten the kit I have tried because I thought, well, wait,
[01:16:49.000 --> 01:16:56.000]  what if I put the adapter on the pencil one and then plug the US a USBC cable into an iPad Pro?
[01:16:56.000 --> 01:17:04.000]  Can I then pair a pencil one with is the reason that the iPad Pro has never supported pencil one,
[01:17:04.000 --> 01:17:07.000]  because it doesn't have lightning. So thus couldn't pair. Is that the only thing?
[01:17:07.000 --> 01:17:13.000]  But when you try it, you get accessory not supported. This accessory is not supported by this device.
[01:17:13.000 --> 01:17:25.000]  OK, well, I tried. I asked Apple in a follow up question because I'm thinking what happens if you lose your.
[01:17:25.000 --> 01:17:31.000]  Adapter, which I think is definitely it's 100 percent certain to happen to some people.
[01:17:31.000 --> 01:17:41.000]  Right. What do you do while you're waiting to either find it or buy a new one with a pencil that needs a charge?
[01:17:41.000 --> 01:17:47.000]  And you've got a pencil one. It has a male lightning port sticking out of it.
[01:17:47.000 --> 01:17:50.000]  And how do you charge it if you don't have an iPad with a lightning port?
[01:17:50.000 --> 01:17:58.000]  So I ask, can you charge it by plugging it into an iPhone? And I was told the answer is yes, it will charge plugged into.
[01:17:58.000 --> 01:18:03.000]  Now, you obviously can't draw or pair it with an iPhone, but it will at least give it a charge.
[01:18:03.000 --> 01:18:09.000]  So that to me is actually pretty interesting. I mean, I don't know how many people would think to try that.
[01:18:09.000 --> 01:18:11.000]  But in a pinch, I can see how.
[01:18:11.000 --> 01:18:16.000]  So anybody out there who's going to be in this situation, if you file that away in your head, that in a pinch,
[01:18:16.000 --> 01:18:22.000]  if you have an Apple pencil one that needs a charge and you don't have the adapter,
[01:18:22.000 --> 01:18:28.000]  then you could plug it into an iPhone and charge it that way or at least get it enough charge to use it for a bit.
[01:18:28.000 --> 01:18:35.000]  Right. What else? I'm trying to think what else I tried. I guess that's it. Anything else on the pencil?
[01:18:35.000 --> 01:18:40.000]  No, it's just you think it's a good opportunity for people to point and laugh.
