[00:00.000 --> 00:01.360]  Dieter, it's good to have you here.
[32:54.200 --> 32:59.200]  I've never used a trackpad of this size that that felt this good.
[32:59.200 --> 33:09.200]  I mean, I think the only thing that I lose from going down to a smaller trackpad is I finally started using like the like the pinch out, pinch in gestures on the Mac to go to your desktop.
[33:09.200 --> 33:15.200]  I'm actually using the launch pad for launch center, whatever the app launcher is for once.
[33:15.200 --> 33:22.200]  I didn't use it for years. And then all of a sudden, since I started using it to go to my desktop, I was like, oh, yeah, this thing is here. I'll start clicking on this again.
[33:22.200 --> 33:28.200]  And I kind of like it. That's weird. And you find that the pinch, there's not enough room to pinch.
[33:28.200 --> 33:37.200]  Yeah, I think that I mean, but you don't need to on the iPad because you can do that sort of three finger hold or three finger swipe up and it works pretty well.
[33:37.200 --> 33:41.200]  I agree with you on dragging. If you want to drag something across, it's pretty tough.
[33:41.200 --> 33:48.200]  But since I'm using the 11 inch most of the time anyway, like you never have that far to drag.
[33:48.200 --> 33:53.200]  So really, like my only problem with the trackpad is stuff that's kind of out of Apple's control.
[33:53.200 --> 33:59.200]  It's just like you never really know inside an app if the trackpad is going to do exactly what you expect it to.
[33:59.200 --> 34:05.200]  And I've complained about Google's apps in this regard, although Google's apps are just terrible on the iPad to begin with.
[34:05.200 --> 34:15.200]  But even weird stuff like if you use Twitter, the official Twitter app, like some of the buttons, the iPad like does the little lock on thing like the Apple TV.
[34:15.200 --> 34:26.200]  And it does, you know, turns into the shape of the button. That's really neat. And then other buttons. Just nope. It's just like it feels very weird and unnatural inside a single app where sometimes the mouse does the magical resize thing.
[34:26.200 --> 34:36.200]  And sometimes it just stays that little circle. Yeah. And I guess I without knowing the you know, you'd have to talk to the developers and you know, app by app.
[34:36.200 --> 34:52.200]  But I'm guessing it's some kind of thing where if you have a button and it's derived from a standard UI kit button without overriding certain things, you get this magical that the cursor morphs into an outline around the button automatically.
[34:52.200 --> 35:02.200]  And for other things that are buttons and up until now, when you just tap them with your finger, act just like buttons and there's no reason to think of them any differently.
[35:02.200 --> 35:16.200]  They somehow don't inherit that for free. And again, you're right. And you're right, though, that even within the same apps, it you can't really guess until you hover the mouse pointer over it, whether it's going to do it or not.
[35:16.200 --> 35:34.200]  Yeah. But there are other like in control center. So to bring control, you like you sort of you drag the mouse beyond the edge of the screen. And that's what brings in your slide over your dock or whatever. It took me a while to sort of get used to that feeling of just keep keep moving your finger up and it'll eventually come down.
[35:34.200 --> 35:48.200]  So that's neat once you get used to it. But I love I don't know why this gets to me, but I love when you hover the mouse over the volume or brightness slider. You don't need to do anything other than just when you do a two finger scroll on those sliders.
[35:48.200 --> 36:00.200]  It directly adjusts the volume. It's it's so obvious. It's tiny and it's not that big a deal, but it's just that's like a small considered thing, whereas if they had made you like click and drag, I wouldn't have been surprised. But instead, they just got it right.
[36:00.200 --> 36:23.200]  It's it's good. I really this the existence of this trackpad support and it is to me, the software support for the trackpad is the bigger deal because I've been ever since I was iPad OS. I'm always going to call it iOS, but ever since iPad OS 13.4 shipped with this trackpad support last month, I've been using my iPad so much more.
[36:23.200 --> 36:52.200]  Not just because I need to use it to be able to write about it, but I just like finally I feel like I'm text editing without thinking, you know, and I just feel like now I'm using my fingers instead of having mittens on my hands and feeling so constrained when I'm trying to just edit text and doing it in this integrated magic keyboard that it snaps into is is great.
[36:52.200 --> 37:07.200]  You know, the funny thing about text stuff is I tried really hard to like wrap my head around the way that iPad OS handled cursor and text selection and copy and paste and there's like the new three finger tap stuff.
[37:07.200 --> 37:23.200]  I was like, all right, I don't want to say it's me. I don't want to say I'm just a fuddy duddy and I'm stuck on my old ways that maybe like I can really learn how this new text selection stuff works and I never really got there and I'm still not quite there.
[37:23.200 --> 37:37.200]  And it's really, really obvious to me now that all of the way the cursor stuff works in iPad OS was designed for the touchpad and then they're like, well, we also need to make it work for a touch first experience.
[37:37.200 --> 37:41.200]  So let's try and, you know, throw some machine learning at it and see if it works.
[37:41.200 --> 37:54.200]  I just I think I feel like it's honestly a step backwards if you don't have a touchpad attached to the magnifying glass where it was still awkward and like had lots of extra steps, but at least it was precise and it was completely predictable.
[37:54.200 --> 38:04.200]  I feel like right now, without the trackpad attached, interacting with text is a little bit unpredictable and that is the thing that text interaction should never be.
[38:04.200 --> 38:20.200]  Yeah, and I know that there are people both outside Apple and I happen to know inside Apple that there are people who I don't know that anybody is flat out like opposed to this trackpad support system wide.
[38:20.200 --> 38:46.200]  But there are people who, unlike me, who just love it, who are ambivalent about it on the grounds that it's taken away their motivation to finally get a purely on screen touch interface for selecting text right, which I don't think they've ever gotten for the phone or the iPad.
[38:46.200 --> 38:55.200]  Selecting text has always been fiddly and I'm with you that I feel like getting rid of the magnifying glass was actually a step backward.
[38:55.200 --> 39:02.200]  I think they made it slightly worse. It feels like I'm less precise than I was before and it certainly isn't better.
[39:02.200 --> 39:11.200]  Yeah, I mean, I think the idea was they were hoping that, you know, they could use some machine learning to sort of like just fudge it, just figure it out for you.
[39:11.200 --> 39:15.200]  And it's just it can't quite do that.
[39:15.200 --> 39:22.200]  So the other thing we have to talk about is your comparison as somebody who owns the Surface Pro X.
[39:22.200 --> 39:22.200]  Yeah.
[39:22.200 --> 39:31.200]  And, you know, clearly the biggest differences between Microsoft and Apple is how do you pronounce the letter X? Is it an X or is it a 10?
[39:31.200 --> 39:35.200]  It is an X, but I had to ask and they're like, of course it's X.
[39:35.200 --> 39:40.200]  It's like, OK, what does X mean? You know, it means X. OK, great.
[39:40.200 --> 39:46.200]  And then we get to minor, minor differences, you know, like whether to integrate a kickstand into the tablet or not.
[39:46.200 --> 39:50.200]  Yeah. I mean, so look, the funny thing.
[39:50.200 --> 39:58.200]  So the Surface, when it first came out, Surface Pro, like they introduced this idea of lapability, which is just a hilarious word.
[39:58.200 --> 40:04.200]  But people were concerned that, like, could you fit the Surface on your lap? Could you fit on an airplane tray table?
[40:04.200 --> 40:10.200]  And you can, but it's just a little bit awkward. But it's because they have this idea of a kickstand.
[40:10.200 --> 40:22.200]  And I, on the whole, I tend to prefer the setup on the Surface Pro because I really do use that sort of like.
[40:22.200 --> 40:27.200]  I don't know what mode to call it, like the portrait mode or like there's no keyboard, but it's still able to stand up on its own.
[40:27.200 --> 40:31.200]  And with the Surface, you could either do that with the keyboard attached or just flip the keyboard around behind it.
[40:31.200 --> 40:43.200]  The other thing that you can do with it is because that kickstand goes all the way to almost flat is if you draw a lot, you can, you know, put the thing down at a really comfortable drawing angle.
[40:43.200 --> 40:48.200]  Now, you can do all these things with an iPad with like the original sort of origami smart cover.
[40:48.200 --> 40:52.200]  It has like you can put it sideways or you can stand it up or whatever.
[40:52.200 --> 41:01.200]  But ever since they did the smart keyboard and now with this thing, it really, really wants to have the iPad be at that sort of laptop angle.
[41:01.200 --> 41:06.200]  And it really fights you if you want to do you can't really you can't do any other angle.
[41:06.200 --> 41:13.200]  So you kind of need to take the thing out. And then if you want to prop it up in some way, you're sort of on your own.
[41:13.200 --> 41:19.200]  And is a kickstand and elegant to have on a physical piece of hardware?
[41:19.200 --> 41:29.200]  Yes, it is. But it's it's so functional for me to be able to just like, you know, set the thing down in bed and like start a movie.
[41:29.200 --> 41:33.200]  Or, you know, if I do want to draw, which I don't do much, you can like bend the thing down.
[41:33.200 --> 41:35.200]  For me, the tradeoff is worth it.
[41:35.200 --> 41:40.200]  Well, I mean, in the kickstand's favor, too, you always have a way to stand it up.
[41:40.200 --> 41:50.200]  You're never without it. You're not. Oh, I forgot to take my little, you know, ten dollar tripod thing that's just to prop it up so that I can watch a movie.
[41:50.200 --> 41:56.200]  You know, I forgot to put it in my bag. Now, how am I going to prop this thing up?
[41:56.200 --> 41:58.200]  The drawing thing is interesting, too.
[41:58.200 --> 42:07.200]  I mean, it's it's it is very, very clear that the iPad Magic Keyboard is only meant to be used in iPad or laptop angles.
[42:07.200 --> 42:14.200]  You know. Yeah. And Apple says 90 to 130. The 130 is the maximum open angle.
[42:14.200 --> 42:22.200]  You can actually open it less than 90. You can you know, it stays where it is at like 80 to 75 degrees.
[42:22.200 --> 42:28.200]  It's just that there's no they don't even advertise that as a feature because it's almost who would never want that.
[42:28.200 --> 42:35.200]  Who would want that. I do find I'm not an illustrator, so I don't really draw much.
[42:35.200 --> 42:41.200]  I do find that it's a little bit I have a pencil, though, and I do write notes with my iPad.
[42:41.200 --> 42:46.200]  I find that it's easier to write on the screen than I expected while it's in the Magic Keyboard.
[42:46.200 --> 42:53.200]  But I I will admit that I wouldn't want to write extensively, you know, but it's not super awkward.
[42:53.200 --> 42:58.200]  And then I thought about it. I was like, well, people write on whiteboards at a 90 degree angle all the time.
[42:58.200 --> 43:09.200]  And I know that ergonomically something that's while you're standing up writing at something, you know, chest high is a lot different ergonomically than writing on a laptop screen.
[43:09.200 --> 43:24.200]  But it's not ridiculous. And if it's literally on your lap laptop as a laptop, like in some kind of any kind of scenario where you actually have it on your lap, your lap.
[43:24.200 --> 43:30.200]  You can, depending on how you sit and your posture, you can have it fade away from you, slope away from you.
[43:30.200 --> 43:40.200]  So you can kind of get the iPad in a Magic Keyboard at a more amenable angle to drawing or scribbling or putting notes.
[43:40.200 --> 43:49.200]  And because it's so the hinges are so strong and the magnetic connection is so strong, it I feel like you could do it securely.
[43:49.200 --> 43:54.200]  So I don't feel like it's preventing you from using your Apple pencil while it's connected.
[43:54.200 --> 43:59.200]  It's just it's certainly not ideal, though, compared to something that can fold all the way around.
[43:59.200 --> 44:07.200]  Yeah. And like the whole question is, like, is is the kickstand worth it or and this is I tried to I didn't do this really elegantly.
[44:07.200 --> 44:14.200]  But like there's nothing essential about the shape of the iPad or the shape of the Magic Keyboard.
[44:14.200 --> 44:24.200]  Like Apple could have chosen other things. So the bridge keyboard, for example, it is a proper laptop and it has these like really, really strong clips.
[44:24.200 --> 44:30.200]  And so when it's all put together, it feels fine. But getting the iPad in and out of it's really awkward.
[44:30.200 --> 44:32.200]  And so, like, that's pretty inelegant.
[44:32.200 --> 44:41.200]  There are other ways they could have chosen to, like, construct this thing as a physical object that might have solved some of these problems, but it would have ended up with tradeoffs.
[44:41.200 --> 44:48.200]  And it's really clear to me that the number one thing they want to do with this design was make a good keyboard and everything else.
[44:48.200 --> 44:58.200]  Drawing, watching a movie on it, whatever else you might want to do was secondary to let's have a big, flat, solid metal base that it feels rock solid.
[44:58.200 --> 45:02.200]  And then let's put a really good Magic Keyboard on it.
[45:02.200 --> 45:07.200]  And that's like that's that's what it's for. And then everything else had to wait after that.
[45:07.200 --> 45:24.200]  So here's another thing. And it's like sort of unfortunate timing for Apple that this thing came out in the midst of this pandemic that has everybody doing 10 times or more video conferences than they've ever done before.
[45:24.200 --> 45:37.200]  I, you know, the camera, I mean, famously, Joanna Stern just did a whole video about how terrible laptop cameras are and a new MacBook Air camera in particular.
[45:37.200 --> 45:45.200]  And that saying that at 720p resolution doesn't even get to how bad it is in low light has nothing to do with resolution. It's just bad.
[45:45.200 --> 45:50.200]  And iPads have really good FaceTime cameras, the front facing camera.
[45:50.200 --> 46:02.200]  And so, like, if you're just going to do a FaceTime or a Zoom call, you're going to get a much better picture quality of yourself from an iPad than you are from any MacBook.
[46:02.200 --> 46:05.200]  But it's over on the side.
[46:05.200 --> 46:20.200]  And so you it really exacerbates this sort of I don't know, you just look you're looking right at it, you're fully engaged, and it looks like you're like reading email or Twitter off on the side because your eyes are way off center.
[46:20.200 --> 46:37.200]  And if you decide you do want to read email or Twitter off the side, most video conferencing apps, especially Zoom, I think all of them actually, completely narc on you by turning off your video because the iPad is super secure and any app that isn't the front most is not allowed to have the camera lit up.
[46:37.200 --> 46:44.200]  I didn't even think about that aspect. But yeah, yeah, it's a huge hassle.
[46:44.200 --> 46:57.200]  I've been trying to spy on my son who's in 10th grade doing, quote unquote, Zoom school. And it seems like they pay attention, but there is absolutely a back channel.
[46:57.200 --> 46:59.200]  Oh, yeah, for sure.
[46:59.200 --> 47:09.200]  I've said this, like, they've straightened it out. It was like day one, day one of Zoom school, they got a Zoom bomber and the back channel went crazy.
[47:09.200 --> 47:19.200]  The one kid photoshopped like a wanted poster for the guy. And he didn't do anything. He didn't speak up. He didn't do anything inappropriate. He didn't put any porno into the video.
[47:19.200 --> 47:31.200]  He just sat there and listened to them talk about English literature. And the teacher apparently didn't notice, but all the kids noticed that like a 25-year-old man was just creeping on their English class.
[47:31.200 --> 47:33.200]  God.
[47:33.200 --> 47:40.200]  You know, and then the school quickly, you know, it became a thing where we all all the parents got email and again, nothing inappropriate even happened.
[47:40.200 --> 47:49.200]  But, you know, and they're like, we're going to change our policy and have, you know, I forget what I don't know if they have passwords or if the teacher is white listing who's in.
[47:49.200 --> 47:54.200]  Yeah, they fixed it. But yeah, there's there's a mix of fixes they've instituted.
[47:54.200 --> 47:59.200]  They've been updating the thing almost weekly now. They just I think they just put out version 5.0.
[47:59.200 --> 48:05.200]  The big hassle for me is to fix this camera problem. You know, I had to buy a really nice video camera.
[48:05.200 --> 48:15.200]  And you can use software like Cam Twist or OSB to make a virtual webcam out of any camera that you want or out of any window you want, literally anything.
[48:15.200 --> 48:26.200]  But the Zoom set it up so that it no longer will accept virtual webcams because it's, you know, using some other more standard Apple library that is a little bit more locked down.
[48:26.200 --> 48:35.200]  And so there are people that are now because they so desperately need virtual webcams to run their classroom or, you know, just because they want to have a nicer looking camera.
[48:35.200 --> 48:45.200]  You either have to like downgrade your Zoom to something more insecure or you can go in and remove the code signing on the Zoom app and then it will accept virtual webcams.
[48:45.200 --> 48:53.200]  So the thing is like Zoom got super successful because it was, you know, it did a whole bunch of growth hacks and it was way easier.
[48:53.200 --> 49:01.200]  And they also played fast and loose with security. Now that they're doing the right thing, they brought on Alex Stamos from Facebook to like be a consultant, all this stuff.
[49:01.200 --> 49:07.200]  People are still like, well, I'm still going to disable some of your security because I want to do a thing with it.
[49:07.200 --> 49:14.200]  Yeah, I've heard from a couple of people who are having great success with iPhones as their virtual webcams.
[49:14.200 --> 49:23.200]  Again, it's like, all right, the world is short of commercial or domestic toilet paper and OK, I get it.
[49:23.200 --> 49:30.200]  You know, everybody gets it. Everybody's pooping at home instead of pooping at school or in the office or wherever else we've gone to the bathroom.
[49:30.200 --> 49:35.200]  And so, yeah, yeah, it makes sense. The run on webcams, it makes sense.
[49:35.200 --> 49:46.200]  But it's like the who if you worked at like the webcam industry, you're like a webcam, you know, supply chain person at Logitech or one of these companies.
[49:46.200 --> 49:55.200]  Like who would have thought that your job would become a pants on fire company wide emergency in 2020?
[49:55.200 --> 49:58.200]  Well, at Logitech, they're worried, you know, they know it's bad for their brand.
[49:58.200 --> 50:03.200]  So they're talking to every retailer they can trying to stop price gouging.
[50:03.200 --> 50:15.200]  They can't stop it on eBay, but they'll like they're like they're hunting for Logitech cameras on Amazon every day and issuing takedown notices because they don't they don't like the look of one of their cameras being sold for, you know, six hundred dollars.
[50:15.200 --> 50:22.200]  Right. It's bad enough that they're out. Right. Because it's like, oh, you know, it leaves a bad taste in your mouth because you need it.
[50:22.200 --> 50:30.200]  It's all of a sudden your professional image is, you know, being hindered because you don't have a quality webcam.
[50:30.200 --> 50:39.200]  And yeah, it sticks. You can't get a Logitech one. But then when you see one being sold for, you know, three or four times the price, it's like, oh, my God, this is terrible.
[50:39.200 --> 50:46.200]  It feels, you know, you know, literally is like a black market. It's not good.
[50:46.200 --> 50:53.200]  But anyway, it's who would have thought that would have been a go to a go go industry in 2020. Here we are.
[50:53.200 --> 51:01.200]  Not me. Anything else on the iPad Magic Keyboard before we take a break? Man, I don't think so.
[51:01.200 --> 51:07.200]  You know, the one thing is the charging port. It doesn't do data, but it does charge.
[51:07.200 --> 51:16.200]  Yeah, I've got a little USB meter and it charges almost as fast as just plugging it in directly, which I did not expect through those little pogo pins on the back.
[51:16.200 --> 51:25.200]  So it's like it's just a couple of watts shy. So I totally blew that in my review initially. And I don't know how, because I did measure it.
[51:25.200 --> 51:30.200]  And I think that where I went wrong was that I was measuring it while still using it.
[51:30.200 --> 51:44.200]  And that maybe I was doing something that was doing, you know, like while I had it plugged in directly in the side of the iPad, I was doing something more intensive when I had it plugged into the Magic Keyboard thing.
[51:44.200 --> 51:50.200]  But I wrote in my review that it was a significant difference in charging speed. And that's what I got in my notes.
[51:50.200 --> 52:00.200]  I really did. But I was totally wrong. And Apple even reached out to me in the very kind, nice way that Apple PR does, where they're like, hey, we loved your review.
[52:00.200 --> 52:07.200]  And I'm like, wait, why are we on the phone? But, you know, you said this, that's actually the team.
[52:07.200 --> 52:12.200]  The team, you know, thinks that that's not the way it's supposed to be. I was like, well, I'll look again.
[52:12.200 --> 52:18.200]  And I looked again and did it. And it was, it's exactly what you said. It's, I don't know, maybe like 85 percent the speed.
[52:18.200 --> 52:22.200]  Yeah, it's like 21 watts versus like 25.
[52:22.200 --> 52:33.200]  Yeah, it's really good, which is excellent. And it's, so I rejiggered that part of my review and crossed, you know, used the actual strike through HTML thing so that I wasn't weaseling.
[52:33.200 --> 52:39.200]  You know, I didn't want anybody to feel like I was gaslighting them. Like, I thought Gruberth said that it was slow. I was like, no, no, I'm wrong.
[52:39.200 --> 52:46.200]  But I need to, it was so wrong, I need to post like some kind of minor separate update to just say, hey, this is actually a great way to charge the thing.
[52:46.200 --> 52:51.200]  I mean, that's, that's, that's how I charge it every night now. I just set it on there, pick it up in the morning.
[52:51.200 --> 53:03.200]  Yeah, yeah. It would be, I don't know why they can't do data. It, you know, it's, again, I'm sure there's some kind of technical reason there that it's not really USB.
[53:03.200 --> 53:06.200]  It's just some proprietary, it would be cool if you could.
[53:06.200 --> 53:15.200]  Yeah, I think it's actually pretty much just USB, which is why it's so bonkers that nobody but Logitech has ever bothered to make anything for it.
[53:15.200 --> 53:35.200]  Like, I don't, I don't think it's part of the MFI program. None of that. I think it's just that the cost of making a part to work with the smart connector is so high that you have to have a high degree of confidence that you're going to be able to continue to make that thing for many, many years.
[53:35.200 --> 53:42.200]  And I think the iPad changes form factor often enough that only Apple is willing to sink that, that initial development cost in.
[53:42.200 --> 53:50.200]  That's my hunch. I don't actually know, but it is very strange. If you, if you really look around, there's nothing that uses the smart connector.
[53:50.200 --> 54:07.200]  Yeah, it is true. It is a little confusing. I find that as somebody who, like I just said a couple minutes ago, I have for quite a long time been a Bluetooth iPad user with iPad, Bluetooth keyboard user with my iPad.
[54:07.200 --> 54:14.200]  And it's nice for just walking around with the iPad again. But then every time you go to type, you have to remember to toggle Bluetooth on and off or hit the button.
[54:14.200 --> 54:23.200]  You know, do you have to do something to get it to disconnect from the keyboard if you haven't left the range? And these days I never leave Bluetooth range.
[54:23.200 --> 54:30.200]  It's so nice. It sounds like such a bizarre thing to complain about, but it's so nice that it's not Bluetooth.
[54:30.200 --> 54:36.200]  And so it's if it's connected, it's connected. And if it's not physically connected, it's not physically connected.
[54:36.200 --> 54:44.200]  Which makes you wonder why there aren't more peripherals that use it, because it's so nice convenience wise, but there aren't.
[54:44.200 --> 54:46.200]  Yeah, I don't know.
[54:46.200 --> 54:54.200]  Anyway, let's take a break and I will thank our first sponsor. It's our good friends at Linode, L-I-N-O-D-E, Linode Cloud Hosting.
[54:54.200 --> 55:04.200]  Look, whether you're working on a personal project or managing your enterprise's infrastructure, Linode Cloud Hosting has the pricing support and scale that you need to take your project to the next level.
[55:04.200 --> 55:16.200]  With 11 data centers worldwide, enterprise grade hardware and their next generation network, Linode Cloud Hosting delivers the server performance you expect at a price you probably don't.
[55:16.200 --> 55:40.200]  They have a special offer for all listeners of the talk show and new Linode customers use the promo code talk show 2020 talk show. Actually, it's just 20 not 2020 I forgot talk show 20 and you will receive $20 in free credits as an added bonus.
[55:40.200 --> 55:50.200]  They're giving you three free months of object storage. That is a new thing they have that is API compatible with AWS storage S3.
[55:50.200 --> 56:02.200]  So if you have like code that hooks up to S3, you can just switch to Linode object storage. Just switch right over three months free. That's pretty cool.
[56:02.200 --> 56:17.200]  I love Linode. That is actually where Daring Fireball is now hosted. It is absolutely rock solid. I love the stability. I love the speed. I love the interface to everything I have to manage when I have to manage something. It is really terrific.
[56:17.200 --> 56:32.200]  And look, they've got really truly enterprise grade plans that scale up to anything, but their Nanode plan starts at just five bucks, $5. And that's a really good plan. And with the $20 deal with the coupon, that's four months free.
[56:32.200 --> 56:49.200]  So look, go to linode.com slash the talk show. That's the URL. And remember that code talk show 20 to get your $20 credit linode.com slash the talk show.
[56:49.200 --> 56:57.200]  All right, next up, iPhone SE. And conveniently, you also wrote The Verge's review of the iPhone SE.
[56:57.200 --> 57:08.200]  Yeah, this might have been my first iPhone review for The Verge. Usually, Neil does them all. But I had a little bit more space in my video time than he did.
[57:08.200 --> 57:37.200]  It is such an interesting product, and I like it. I think it's a really great little thing. I think it's just what the doctor ordered for an awful lot of iPhone users. But it is also the strangest phone I think any company will release this year, because I don't think any company but Apple could possibly release a phone like this.
[57:37.200 --> 57:58.200]  I mean, I agree. It's funny. I actually had to restrain myself from certain kinds of praise, because I know that in a few years, it may not age as well as it feels right now.
[57:58.200 --> 58:12.200]  But the idea that you could get a phone of this quality that can do these things for $400 is just shocking. It's so incredibly good.
[58:12.200 --> 58:28.200]  It's a mix of things that are two and a half years old, like just the way it looks, the display. The display gets a lot of that attention because so much, and we'll get to this when we talk about Android phones too, but for obvious reasons.
[58:28.200 --> 58:47.200]  It is the most obvious thing that the whole point of the last 14, 13 years of smartphone design is that they are quote unquote all display, and slowly but surely, as they've evolved across the board, they've actually gotten more and more all display.
[58:47.200 --> 59:03.200]  The original iPhone at the time seemed like, oh my god, it's all display. There's only one button, whereas now the screen to surface area ratio of the original iPhone seems comically small for this display.
[59:03.200 --> 59:16.200]  Well, by modern standards, meaning 2020, the new iPhone SE has very large chin and forehead. I mean, there's no getting around it.
[59:16.200 --> 59:36.200]  The immediate response to that complaint is, well, you know that that was how they got the price down. They were able to use the factories they've had online since 2014 or whatever to just keep making this thing, and they didn't have to retool anything, which I get, but that also is not my problem.
[59:36.200 --> 59:48.200]  I've used plenty of Android phones that cost this little. There's many reasons why they're not as good as this, to be clear, where they do manage to reduce the bezel.
[59:48.200 --> 59:54.200]  Now, in order to do that, Apple would have to make one of basically three choices.
[59:54.200 --> 01:00:07.200]  Number one, they'd have to decide to reduce it on the top. Well, number one, they'd have to retool everything. Assume they're willing to retool. They'd either need to reduce the bezel on the top, but leave the big home button on the bottom, and then it would look asymmetrical and weird.
[01:00:07.200 --> 01:00:09.200]  And they wouldn't do that. I guarantee you that.
[01:00:09.200 --> 01:00:18.200]  They wouldn't do that. Nope, no way. They'd have to put the fingerprint sensor on the back, which is what a lot of Android phones have done for years. I don't know if they'd be willing to do that.
[01:00:18.200 --> 01:00:27.200]  Or they would need to spend the extra money to do an in-screen fingerprint sensor, which, even in the best of cases, is not really that great.
[01:00:27.200 --> 01:00:32.200]  Or number four, they'd have to just switch to Face ID, which would have, again, added a ton of cost.
[01:00:32.200 --> 01:00:45.200]  Yeah, and so on number three, putting the fingerprint sensor in-screen. I wouldn't say that that's something Apple. That's a great list, because I feel like, A, that list is comprehensive.
[01:00:45.200 --> 01:00:52.200]  So the asymmetrical chin and forehead is something Apple would not do. I don't even think they would do it a little.
[01:00:52.200 --> 01:01:04.200]  And to a degree that's almost irrational, like when you look at a lot of the flagship Android phones that are out there, where there's a little bit more of a chin than the forehead.
[01:01:04.200 --> 01:01:18.200]  And I don't think that's a particularly bad look, especially if we're going to concede that the Apple phones, since the iPhone X, have a notch on the one side, right?
[01:01:18.200 --> 01:01:36.200]  Like the notch, whatever you think of it, is far more obtrusive and asymmetrical than the fact that the bezel other than the notch on the top is the same exact size as the bezel along the bottom that doesn't have a notch.
[01:01:36.200 --> 01:01:48.200]  But you know what I mean? It's crazy that they're fanatical about making the bezel symmetric on all four sides when they were willing to use a notch for the Face ID array.
[01:01:48.200 --> 01:02:05.200]  But they are. And there is something in Apple's internal design aesthetics that I'm not even saying I agree with it, but I can feel it in my teeth that they feel that asymmetry in that way is wrong. So they're not going to do it.
[01:02:05.200 --> 01:02:15.200]  The in-screen fingerprint thing I think they would do in theory, I think they might do going forward as an additional thing in addition to Face ID.
[01:02:15.200 --> 01:02:25.200]  I know there have been rumors along that line, but even without the rumors, I just feel like if they could do it right, they might. But there's no way they would do it in an SE.
[01:02:25.200 --> 01:02:36.200]  Right, exactly. Well, I mean, one, it's expensive. But two, I believe it requires that you use an OLED screen, not an LCD, because the LCD needs to have a backlight.
[01:02:36.200 --> 01:02:38.200]  And if you have a backlight, you can't put a fingerprint sensor underneath it.
[01:02:38.200 --> 01:02:40.200]  Oh, yeah. That makes sense.
[01:02:40.200 --> 01:02:52.200]  It works with OLED. There's actually a fifth option, which some phones do, where they either integrate the fingerprint sensor in the sleep-wake button on the side, or they have it sort of next to it on the side as a separate thing.
[01:02:52.200 --> 01:03:01.200]  And again, I don't think Apple would ever do that, because that completely changes the modalities of what you expect iPhone buttons to do.
[01:03:01.200 --> 01:03:10.200]  And I think they very much didn't want to introduce a whole new interaction model into an iPhone SE that wasn't there before.
[01:03:10.200 --> 01:03:23.200]  Yeah, and we'll have to get to that. For the SE to be the SE and start at $400, it sort of had to be this way.
[01:03:23.200 --> 01:03:39.200]  But then the weird aspects of the trade-offs that they're able to do because they're Apple is that they're able to put the not just good, but literally best of industry A13 chip in.
[01:03:39.200 --> 01:03:46.200]  You cannot buy an Android phone for any price that has a faster processor than this $400 phone.
[01:03:46.200 --> 01:04:11.200]  And so A, competitive with Android, it is the fastest phone that you could get, and it's only $400. And as I really sort of enjoyed pointing out in my review, it is faster at single-threaded performance than a $3,000 16-inch MacBook Pro, which is the best laptop chip that Apple makes available in the MacBook Pro.
[01:04:11.200 --> 01:04:26.200]  And I don't want to go on a whole benchmark digression, but single-threaded benchmark scores are more important than multi-threaded for most people in day-to-day use, especially on a phone because you're just doing things like that.
[01:04:26.200 --> 01:04:38.200]  The areas where multi-threaded performance can really, really make a difference in your life are professional contexts, like you're rendering out 4K video or something like that.
[01:04:38.200 --> 01:04:52.200]  The things where multi-threaded can really make a difference are professional contexts or developers, like Xcode developers can really make use on build times of having a whole number of cores.
[01:04:52.200 --> 01:05:03.200]  Single-threaded performance really matters. JavaScript, for example, so anything you're doing on the web where it's powered by JavaScript code, it's always single-threaded, and so it matters, and it's $400.
[01:05:03.200 --> 01:05:20.200]  It's kind of crazy. The camera is really good for a single-lens camera, and it has features like the portrait mode stuff that are really quite remarkable, and it's $400.
[01:05:20.200 --> 01:05:22.200]  It's a really good camera.
[01:05:22.200 --> 01:05:44.200]  Yeah, so actually, the two things that make me go, ah, about the iPhone SE, and honestly, the only things that keep me from just straight-up calling it a triumph are, will the camera and the battery in particular feel like they hold up in two or three years?
[01:05:44.200 --> 01:05:58.200]  Complaining, will this phone be good in three years as a complaint seems kind of silly given how long Android phones at this price point tend to last, but just in terms of in the context of iPhones and recommending iPhones, it is a thing to notice.
[01:05:58.200 --> 01:06:05.200]  So iFixit did their tear-down Monday morning. They were recording this, and the battery is exactly the same.
[01:06:05.200 --> 01:06:12.200]  In fact, you can swap out the iPhone 8 battery. It's the exact same size battery, and we know that those batteries start to degrade after a while.
[01:06:12.200 --> 01:06:24.200]  And the thing that shocked me, given the quality of the camera, is it seems like the iPhone SE has the exact same camera module as the iPhone 8.
[01:06:24.200 --> 01:06:29.200]  I thought it maybe had the XR camera module, but you can swap in the iPhone 8 camera module, and it just works.
[01:06:29.200 --> 01:06:34.200]  I thought that it did too, and that's an error in my iPhone SE review.
[01:06:34.200 --> 01:06:45.200]  I didn't say for a fact that it had the sensor from the XR, but I kind of thought that it did, and I took side-by-side photos in tough lighting conditions, and I was like, it looks the same.
