[00:00.000 --> 00:02.000]  fashionably late as always.
[42:21.000 --> 42:24.000]  They're absolutely adorable fruit flies.
[42:29.000 --> 42:31.000]  I might as well, let's take a break
[42:31.000 --> 42:33.000]  and I'll do a second sponsor
[42:33.000 --> 42:35.000]  because it seems like a good, a good time to break.
[42:35.000 --> 42:36.000]  But then we'll go back.
[42:36.000 --> 42:38.000]  I want to talk about next last week's event
[42:38.000 --> 42:41.000]  a little bit too before we get into Yosemite.
[42:41.000 --> 42:44.000]  But I want to take a break and thank
[42:44.000 --> 42:47.000]  while I love all sponsors
[42:47.000 --> 42:49.000]  but I love I love this one a little more
[42:49.000 --> 42:52.000]  than most our good friends at back place.
[42:52.000 --> 42:57.000]  Unlimited unbridled backup for your Mac.
[42:59.000 --> 43:01.000]  They've been here for so long.
[43:01.000 --> 43:03.000]  They've sponsored this show so many times
[43:03.000 --> 43:04.000]  and I always think well,
[43:04.000 --> 43:06.000]  everybody's got to be signed up for them
[43:06.000 --> 43:07.000]  but people keep signing up.
[43:07.000 --> 43:09.000]  So there must be a bunch of you out here
[43:09.000 --> 43:10.000]  who are listening to me right now
[43:10.000 --> 43:12.000]  and you've heard me talk about back place before
[43:12.000 --> 43:14.000]  and you've thought that sounds good.
[43:14.000 --> 43:15.000]  I should get that.
[43:15.000 --> 43:17.000]  But you haven't done it yet.
[43:17.000 --> 43:19.000]  Well, do it.
[43:19.000 --> 43:21.000]  Honestly, I don't even mean to run them out as a sponsor
[43:21.000 --> 43:23.000]  but I love this product
[43:23.000 --> 43:25.000]  and I love this company so much
[43:25.000 --> 43:28.000]  and it makes your data safer.
[43:28.000 --> 43:31.000]  You install their software on your Mac.
[43:31.000 --> 43:33.000]  You sign up for an account.
[43:33.000 --> 43:34.000]  You can try it.
[43:34.000 --> 43:36.000]  Risk free, no credit card
[43:36.000 --> 43:38.000]  to get your trial period going
[43:38.000 --> 43:40.000]  and then everything on your Mac.
[43:40.000 --> 43:42.000]  Even if you have external drives
[43:42.000 --> 43:44.000]  and you have, I don't know,
[43:44.000 --> 43:46.000]  three terabyte external drive
[43:46.000 --> 43:47.000]  and it's all filled up.
[43:47.000 --> 43:49.000]  It might take a while for that first backup
[43:49.000 --> 43:51.000]  to get everything up there
[43:51.000 --> 43:53.000]  depending on your internet connection at home.
[43:53.000 --> 43:55.000]  But just wait, it will.
[43:55.000 --> 43:58.000]  And once it is then from that point forward
[43:58.000 --> 44:00.000]  everything on that Mac
[44:00.000 --> 44:03.000]  stays in sync backed up to their servers.
[44:03.000 --> 44:05.000]  They have over 100 petabytes
[44:05.000 --> 44:08.000]  of total data backed up
[44:08.000 --> 44:10.000]  and their users have just crossed
[44:10.000 --> 44:13.000]  the 6 billion files restored mark.
[44:13.000 --> 44:15.000]  So when you restore,
[44:15.000 --> 44:17.000]  let's say a catastrophe hits
[44:17.000 --> 44:20.000]  and you lose your whole startup drive
[44:20.000 --> 44:22.000]  and you don't have a backup in your local.
[44:22.000 --> 44:24.000]  You don't have a local backup.
[44:24.000 --> 44:27.000]  Well, how are you going to get your whole
[44:27.000 --> 44:29.000]  one terabyte drive back?
[44:29.000 --> 44:30.000]  What you can just tell,
[44:30.000 --> 44:32.000]  they'll put it on a USB drive for you
[44:32.000 --> 44:34.000]  and then FedEx the drive to you
[44:34.000 --> 44:37.000]  and then Ding Dong, the UPS guy is there
[44:37.000 --> 44:39.000]  and you've got a hard drive from them
[44:39.000 --> 44:41.000]  with all of your stuff on it.
[44:41.000 --> 44:43.000]  Let's say you just need one file.
[44:43.000 --> 44:45.000]  You can log in on the web,
[44:45.000 --> 44:47.000]  go to your backup,
[44:47.000 --> 44:48.000]  go through the hierarchy,
[44:48.000 --> 44:49.000]  find that file
[44:49.000 --> 44:50.000]  and restore it right there
[44:50.000 --> 44:51.000]  or put it in a zip file
[44:51.000 --> 44:54.000]  and you can download it right there.
[44:54.000 --> 44:57.000]  So good, so easy, super reliable.
[44:57.000 --> 45:00.000]  Cannot recommend them strongly enough.
[45:00.000 --> 45:01.000]  So here's what you do.
[45:01.000 --> 45:03.000]  Go to backblaze.com
[45:03.000 --> 45:05.000]  slash daringfireable.
[45:05.000 --> 45:08.000]  Backblaze.com slash daringfireable.
[45:08.000 --> 45:10.000]  They'll know you came from the show
[45:10.000 --> 45:11.000]  and like I said,
[45:11.000 --> 45:12.000]  it's free to get started.
[45:12.000 --> 45:14.000]  Free, no risk, no credit card,
[45:14.000 --> 45:15.000]  just do it.
[45:15.000 --> 45:16.000]  So my thanks to them.
[45:16.000 --> 45:18.000]  Works great with the Yosemite too.
[45:20.000 --> 45:22.000]  So last week's event.
[45:24.000 --> 45:26.000]  I thought it was,
[45:26.000 --> 45:28.000]  it was a little weird
[45:28.000 --> 45:30.000]  and you guys touched on this on ATP
[45:30.000 --> 45:32.000]  with Phil Schiller.
[45:32.000 --> 45:34.000]  Was he flat or not?
[45:34.000 --> 45:36.000]  And I got a bunch of emails
[45:36.000 --> 45:37.000]  and tweets from people
[45:37.000 --> 45:38.000]  were like, hey, what's up with Phil?
[45:38.000 --> 45:41.000]  Was he like something seemed wrong with Phil?
[45:41.000 --> 45:44.000]  He seemed distracted as the word I used to.
[45:44.000 --> 45:47.000]  I didn't notice this during the event.
[45:47.000 --> 45:49.000]  I thought Phil was just Phil.
[45:49.000 --> 45:52.000]  It's sort of downbeat Phil.
[45:52.000 --> 45:55.000]  Not just like, this is not a big deal, Phil.
[45:55.000 --> 45:58.000]  And I think it was very deliberate.
[45:58.000 --> 46:00.000]  I think it was sort of low key maybe,
[46:00.000 --> 46:01.000]  I would say.
[46:01.000 --> 46:03.000]  I wouldn't say distracted.
[46:03.000 --> 46:06.000]  Well, but he's always like that to some degree, right?
[46:06.000 --> 46:09.000]  He's the pace of his speaking
[46:09.000 --> 46:12.000]  and his presenting styles always a little bit weird like that.
[46:12.000 --> 46:15.000]  Maybe he was up next to people
[46:15.000 --> 46:18.000]  who were doing more fake enthusiasm about things
[46:18.000 --> 46:19.000]  or being,
[46:19.000 --> 46:22.000]  but he occasionally does seem distracted about stuff.
[46:22.000 --> 46:23.000]  Sometimes I feel like he's distracted
[46:23.000 --> 46:25.000]  because he's thinking about the next thing he's going to present
[46:25.000 --> 46:27.000]  even though he's been doing this for so long.
[46:27.000 --> 46:30.000]  Like that he's thinking about the next thing he's going to present.
[46:30.000 --> 46:33.000]  Trying to remember the things he's going to do in the demo
[46:33.000 --> 46:36.000]  or whatever and he'll get inside his own head about that
[46:36.000 --> 46:39.000]  and like forget to fake enthusiasm about something
[46:39.000 --> 46:41.000]  that he's seen a million times before.
[46:41.000 --> 46:45.000]  But it did not stick out to me much.
[46:45.000 --> 46:47.000]  I mostly just thought it was just, you know,
[46:47.000 --> 46:48.000]  Phil's a low key kind of guy
[46:48.000 --> 46:49.000]  and this is the way he presents
[46:49.000 --> 46:50.000]  and if you've seen it so much
[46:50.000 --> 46:52.000]  they kind of fades into the wallpaper.
[46:52.000 --> 46:55.000]  But I always occasionally see him kind of be distracted.
[46:55.000 --> 46:56.000]  I mean, for all we,
[46:56.000 --> 46:59.000]  maybe he was, I forget if the timing of the thing was just before
[46:59.000 --> 47:02.000]  or after the road trip type thing.
[47:02.000 --> 47:03.000]  That a big thing.
[47:03.000 --> 47:06.000]  No, the demo of the guys who like did a typo during the thing
[47:06.000 --> 47:07.000]  and they fixed it in post.
[47:07.000 --> 47:08.000]  Remember that?
[47:08.000 --> 47:11.000]  Oh, yeah, yeah, yeah.
[47:11.000 --> 47:13.000]  Who made the video, video editing thing?
[47:13.000 --> 47:15.000]  I forget at the time if it was after that
[47:15.000 --> 47:17.000]  it's like he could have been thinking about that
[47:17.000 --> 47:19.000]  because he's like God we rehearsed so many times
[47:19.000 --> 47:21.000]  had to be screwed up this demo, you know.
[47:21.000 --> 47:23.000]  But if it was before that I didn't have an explanation.
[47:23.000 --> 47:24.000]  Yeah, what was the deal with that?
[47:24.000 --> 47:26.000]  I didn't know that they fixed it in post.
[47:26.000 --> 47:28.000]  I remember I didn't notice it during the event
[47:28.000 --> 47:30.000]  and a lot of people pointed it out.
[47:30.000 --> 47:32.000]  Was it a Federigi demo where he'd mistyped road trip?
[47:32.000 --> 47:34.000]  No, it was like people who,
[47:34.000 --> 47:36.000]  third party software developers had a friend
[47:36.000 --> 47:38.000]  who they are and they were showing off their video
[47:38.000 --> 47:41.000]  and they were not native English speakers.
[47:41.000 --> 47:44.000]  The guy who was running the demo machine
[47:44.000 --> 47:46.000]  he fell victim to autocorrect.
[47:46.000 --> 47:49.000]  I think it autocorrected Utah to it.
[47:49.000 --> 47:51.000]  So instead of Utah road trip it was its road trip.
[47:51.000 --> 47:53.000]  And they got shook his head.
[47:53.000 --> 47:56.000]  It was pissing himself for like falling victim to autocorrect
[47:56.000 --> 47:58.000]  and then just plowed forward with the demo.
[47:58.000 --> 48:01.000]  But then in post they have somewhat good YouTube clip of it.
[48:01.000 --> 48:03.000]  The YouTube clip of analyzing this.
[48:03.000 --> 48:06.000]  In post they re-screen captured the screen image
[48:06.000 --> 48:09.000]  and froze his image of himself
[48:09.000 --> 48:11.000]  before he does the head shake
[48:11.000 --> 48:13.000]  and then transitioned him at post head shake.
[48:13.000 --> 48:14.000]  It was pretty good at it.
[48:14.000 --> 48:16.000]  Because it's side by side you see the person you see the screen
[48:16.000 --> 48:20.000]  and more or less seamlessly made it seem like that did not happen.
[48:20.000 --> 48:21.000]  But just fine.
[48:21.000 --> 48:22.000]  That's pretty cool.
[48:22.000 --> 48:25.000]  It shows you that Apple sweats the detail.
[48:25.000 --> 48:26.000]  Oh yeah, no.
[48:26.000 --> 48:27.000]  Like they rehearse it so many times
[48:27.000 --> 48:29.000]  and you could see the autocorrect bubble
[48:29.000 --> 48:34.000]  or don't it space bar it's going to complete the is.
[48:34.000 --> 48:37.000]  My favorite little detail.
[48:37.000 --> 48:40.000]  I'm actually, it's like to get the iPad review out.
[48:40.000 --> 48:41.000]  I had to shelve it.
[48:41.000 --> 48:42.000]  But I still want to write a,
[48:42.000 --> 48:45.000]  write a, during fireball piece on my thoughts on last week's event.
[48:45.000 --> 48:48.000]  And my favorite little thing.
[48:48.000 --> 48:49.000]  And I'm not surprised.
[48:49.000 --> 48:51.000]  And you won't be surprised.
[48:51.000 --> 48:53.000]  But I had to double check is that image
[48:53.000 --> 48:55.000]  that they used a couple of times
[48:55.000 --> 49:00.000]  showing a watch, a phone, an iPad, a Mac book
[49:00.000 --> 49:02.000]  and now that I Mac.
[49:02.000 --> 49:04.000]  Like that's, you know,
[49:04.000 --> 49:08.000]  I thought clearly like an homage to like that evolution image.
[49:08.000 --> 49:10.000]  Even though it sort of goes the other way
[49:10.000 --> 49:13.000]  where the Mac was first and these other products
[49:13.000 --> 49:14.000]  came later.
[49:14.000 --> 49:16.000]  It's sort of left to right newest to oldest.
[49:16.000 --> 49:19.000]  But I thought that was a really telling image.
[49:19.000 --> 49:21.000]  I thought it was especially telling
[49:21.000 --> 49:24.000]  that they used it multiple times early on
[49:24.000 --> 49:27.000]  with Tim Cook and then like in the wrap up.
[49:27.000 --> 49:28.000]  But I checked.
[49:28.000 --> 49:30.000]  And of course they made two versions of it.
[49:30.000 --> 49:34.000]  The first one was with an iPad Air,
[49:34.000 --> 49:36.000]  original iPad Air.
[49:36.000 --> 49:37.000]  And the one they used at the end
[49:37.000 --> 49:40.000]  when Tim Cook closed, the iPad is thinner.
[49:40.000 --> 49:42.000]  And it's, no, yeah, if you look at it
[49:42.000 --> 49:44.000]  inside by side, it's very noticeable.
[49:44.000 --> 49:46.000]  That they made a second version with a thinner iPad.
[49:46.000 --> 49:48.000]  Even though they're only showing them from the side
[49:48.000 --> 49:51.000]  and at any given moment it was impossible
[49:51.000 --> 49:53.000]  to tell which generation iPad it was
[49:53.000 --> 49:54.000]  from the side.
[49:54.000 --> 49:57.000]  Did they, did the iPad, the iPad Mac external case
[49:57.000 --> 49:59.000]  proportions change at all?
[49:59.000 --> 50:01.000]  With the retina?
[50:01.000 --> 50:02.000]  Yeah.
[50:02.000 --> 50:03.000]  I can't tell.
[50:03.000 --> 50:05.000]  Because that's the one I would look for replacement
[50:05.000 --> 50:07.000]  but if they're exactly the same you'll be able to tell
[50:07.000 --> 50:08.000]  like from the side.
[50:08.000 --> 50:09.000]  Yeah.
[50:09.000 --> 50:10.000]  Like if they had slimmed it down
[50:10.000 --> 50:11.000]  or maybe you can't tell from that angle.
[50:11.000 --> 50:12.000]  But yeah.
[50:12.000 --> 50:14.000]  And they were obviously very proud of that thing.
[50:14.000 --> 50:17.000]  Although when it first came up, I read it as like,
[50:17.000 --> 50:19.000]  I know they weren't trying to make it text
[50:19.000 --> 50:21.000]  but it kind of looked like I guess
[50:21.000 --> 50:23.000]  my low had been on my mind that weird social network thing
[50:23.000 --> 50:24.000]  or whatever.
[50:24.000 --> 50:25.000]  It's like, it looks like it could be letters.
[50:25.000 --> 50:27.000]  They could spell things out with that if they wanted.
[50:27.000 --> 50:28.000]  But that's not what it was.
[50:28.000 --> 50:31.000]  The evolution thing is much closer analogy
[50:31.000 --> 50:34.000]  because it's from the hunch thing to the standing up thing.
[50:34.000 --> 50:36.000]  So you got to put this whole one on the right even if it's, you know.
[50:36.000 --> 50:37.000]  Yeah.
[50:37.000 --> 50:37.000]  Yeah.
[50:37.000 --> 50:39.000]  I'm looking at them now side by side.
[50:39.000 --> 50:42.000]  They changed the lighting on the iMac
[50:42.000 --> 50:44.000]  in between the two slides
[50:44.000 --> 50:48.000]  and it makes the app, the after one it looks a little thinner
[50:48.000 --> 50:52.000]  but it looks to me though that it's just that they change the lighting
[50:52.000 --> 50:56.000]  and there's less of it and more of it in shadow.
[50:56.000 --> 50:57.000]  It's just a different product.
[50:57.000 --> 50:59.000]  Like it's a different product shot.
[50:59.000 --> 51:01.000]  When they brought up the new iMac to take a shot
[51:01.000 --> 51:03.000]  of it, the lighting wasn't the same as when they had that older iMac
[51:03.000 --> 51:04.000]  take a shot of it.
[51:04.000 --> 51:05.000]  So it shows up differently.
[51:05.000 --> 51:07.000]  I think you linked to a few people talking about this
[51:07.000 --> 51:11.000]  and I mostly agree with whatever person you linked to that was saying like,
[51:11.000 --> 51:14.000]  this is cute and all, but it doesn't communicate to people
[51:14.000 --> 51:16.000]  who aren't already on board much of anything
[51:16.000 --> 51:21.000]  because regular people might not even understand what they're looking at
[51:21.000 --> 51:25.000]  let alone which devices which like Apple was clearly excited and proud of it
[51:25.000 --> 51:28.000]  and we Apple followed with a nerd thought it was clever and interesting
[51:28.000 --> 51:31.000]  and novel because you have to find some interesting way to show these things
[51:31.000 --> 51:33.000]  instead of just like, here's all the screens with black borders
[51:33.000 --> 51:34.000]  that Apple makes.
[51:34.000 --> 51:36.000]  They come in different sizes, right?
[51:36.000 --> 51:38.000]  And you know, one of them has a little stand at the end.
[51:38.000 --> 51:41.000]  So coming up with new and interesting ways to photograph Apple's product line
[51:41.000 --> 51:47.000]  is a challenge that is mostly relevant to people who either work at Apple
[51:47.000 --> 51:50.000]  or have been following Apple for a long time or as if you throw that image up
[51:50.000 --> 51:53.000]  in front of regular people, I'm not sure how well it will communicate
[51:53.000 --> 51:57.000]  anything or read to them at all, but I, you know, the audience for this Apple event
[51:57.000 --> 52:02.000]  anyone, this is not the iPhone event, this is the lesser event in what was in a town hall
[52:02.000 --> 52:07.000]  or whatever, small room, mostly of interest to Apple follower
[52:07.000 --> 52:09.000]  so it was the appropriate venue for that image
[52:09.000 --> 52:11.000]  but I'm not sure how well it reads everything.
[52:11.000 --> 52:14.000]  Yeah, I don't think it, that's why I found it interesting
[52:14.000 --> 52:19.000]  because there's two parts to the Apple presentations, not necessarily two halves
[52:19.000 --> 52:22.000]  but there's two types of messages they seek to convey.
[52:22.000 --> 52:27.000]  Some are for the mass market and they sometimes even showed that actual commercials
[52:27.000 --> 52:31.000]  that they're going to put on real TV, they'll just show the commercial right there
[52:31.000 --> 52:35.000]  so it's exactly what they're going to be pushing in their marketing
[52:35.000 --> 52:39.000]  to hundreds of millions of real people through advertising
[52:39.000 --> 52:44.000]  but then other parts are the, as close as Apple will get to inside baseball
[52:44.000 --> 52:53.000]  and that's meant for like us in the media who are then going to, you know,
[52:53.000 --> 52:58.000]  it's like they're playing a bank shot, they're trying to get us to understand them
[52:58.000 --> 53:04.000]  so that when we write about them to the mass market that we're going to have it right
[53:04.000 --> 53:06.000]  so we see what Apple is seeing.
[53:06.000 --> 53:10.000]  Yeah, they're going to emphasize the parts that they think will tickle our,
[53:10.000 --> 53:14.000]  the fancy of the Apple fans like they're going to show you the video
[53:14.000 --> 53:18.000]  about the manufacturing process and emphasize the beauty of one particular physical feature
[53:18.000 --> 53:20.000]  so that in the hopes that when you write your review
[53:20.000 --> 53:22.000]  that feature that you might have overlooked, you'll say,
[53:22.000 --> 53:25.000]  well, I just, they showed this whole five minute video of a factory
[53:25.000 --> 53:28.000]  and Johnny I have in his white world talking about it
[53:28.000 --> 53:30.000]  and suddenly that's more prominent in your mind.
[53:30.000 --> 53:33.000]  This is basically basically, you know, talking to the press type of things
[53:33.000 --> 53:37.000]  they will, they're never going to show that video of the Mac pro factory
[53:37.000 --> 53:40.000]  the regular deal, but don't care about the macro at all period
[53:40.000 --> 53:42.000]  and certainly not how or where it's built
[53:42.000 --> 53:44.000]  or all the things they did about the unibody or whatever.
[53:44.000 --> 53:47.000]  Like they can say it's unibody and they can give the thing out or whatever
[53:47.000 --> 53:50.000]  but they're going to show those, you know, computer controlled milling machines
[53:50.000 --> 53:52.000]  with the water going over them and just talk about it forever.
[53:52.000 --> 53:54.000]  Like when they came out with the MacBook Air
[53:54.000 --> 53:57.000]  and then said the subsequent unibody, they really hammered on that
[53:57.000 --> 53:59.000]  to try to get the message across to the press
[53:59.000 --> 54:01.000]  who would then get the message across that, hey,
[54:01.000 --> 54:03.000]  I know you understand what unibody is
[54:03.000 --> 54:05.000]  and I know you're going to see it's one piece involved
[54:05.000 --> 54:07.000]  but it actually makes a difference and it's a big deal
[54:07.000 --> 54:10.000]  and that's the bank shots, you know, five minute video
[54:10.000 --> 54:14.000]  on CNC milling machines and that hopefully translates
[54:14.000 --> 54:17.000]  to a little bit extra emphasis when the first unibody product
[54:17.000 --> 54:21.000]  they're not in the consumer facing product reviews.
[54:21.000 --> 54:24.000]  I love this image and I think another asterisk,
[54:24.000 --> 54:27.000]  somebody compared it, somebody on Twitter compared it to one
[54:27.000 --> 54:32.000]  from one of the recent events that Microsoft had for like the surface,
[54:32.000 --> 54:36.000]  probably the Surface Pro 3 event and they had a table lined up
[54:36.000 --> 54:41.000]  in their hands-on area with Nokia phones and Surface Pros
[54:41.000 --> 54:45.000]  and some of them on the table and some of them in a laptop stand
[54:45.000 --> 54:49.000]  and desktop computers and laptop computers, you know,
[54:49.000 --> 54:53.000]  up to, you know, whatever the HP equivalent of an iMac is
[54:53.000 --> 54:58.000]  all of them running exactly the same start screen, you know,
[54:58.000 --> 55:04.000]  this blue, you know, blue colored, whatever the whatever they renamed Metro interface, you know,
[55:04.000 --> 55:07.000]  and what a country, you know, it's a philosophical contrast
[55:07.000 --> 55:09.000]  where, you know, Microsoft went in this direction
[55:09.000 --> 55:13.000]  where you get the exact same interface across phone from phone
[55:13.000 --> 55:19.000]  to, you know, 30 inch desktop display and Apple, you know,
[55:19.000 --> 55:23.000]  and it ends as, you know, reiterated this year, you know, that each
[55:23.000 --> 55:27.000]  of these devices gets an interface that is just for that form factor
[55:27.000 --> 55:31.000]  and, you know, making them very different.
[55:31.000 --> 55:35.000]  And, you know, we can even talk about it when we get into your Yosemite review,
[55:35.000 --> 55:40.000]  the way that Yosemite is clearly inspired by the direction that iOS 7 went,
[55:40.000 --> 55:45.000]  but it's even at a glance, just if you've been tuned out for six months
[55:45.000 --> 55:48.000]  and still haven't even seen Yosemite and you took a look at it right now,
[55:48.000 --> 55:52.000]  you wouldn't think, oh, they copied iOS 7, that it's, you know, the exact same thing.
[55:52.000 --> 55:54.000]  It's different.
[55:54.000 --> 55:58.000]  Yeah, it's a family resemblance, but it's like a brother or cousin.
[55:58.000 --> 55:59.000]  It is not an identical twin.
[55:59.000 --> 56:02.000]  Exactly. Yeah, like a sibling, not a twin.
[56:02.000 --> 56:07.000]  And I think showing these devices in this promotional image for us,
[56:07.000 --> 56:11.000]  you know, this press image where you don't even see the display is in a,
[56:11.000 --> 56:15.000]  in a strange way emphasizes that the, that what you would see on the displays
[56:15.000 --> 56:18.000]  are very different across them.
[56:18.000 --> 56:23.000]  And also think, and I think this is always interesting to me and I try to think about it,
[56:23.000 --> 56:27.000]  is what are the things that Apple is trying to convey to us
[56:27.000 --> 56:32.000]  that they can't bring themselves to say for various reasons,
[56:32.000 --> 56:35.000]  because it's, you know, they just couldn't say that.
[56:35.000 --> 56:39.000]  And to me, one of the things with this image in the way that they spoke about it
[56:39.000 --> 56:46.000]  is that they don't expect or even want everybody to buy everything.
[56:46.000 --> 56:51.000]  You're not supposed to have an iMac and a MacBook and an iPad and an iPad mini
[56:51.000 --> 56:54.000]  and, you know, a phone and a watch.
[56:54.000 --> 56:57.000]  If you do, great, you know, you're a great customer,
[56:57.000 --> 57:00.000]  but if you just have two of them, that's great.
[57:00.000 --> 57:04.000]  You know, maybe you have this, you know, like the iPhone 6 Plus,
[57:04.000 --> 57:08.000]  and because it's a huge phone, you feel like now I don't need an iPad.
[57:08.000 --> 57:11.000]  And your only other product is a MacBook,
[57:11.000 --> 57:14.000]  and you just use that MacBook everywhere, use it at your desk,
[57:14.000 --> 57:16.000]  you use it when you travel, and that's it.
[57:16.000 --> 57:22.000]  You're a perfect, you're a perfectly encouraged,
[57:22.000 --> 57:25.000]  that's absolutely encouraged, but they can't say that.
[57:25.000 --> 57:28.000]  They can't say it's okay if you don't buy this.
[57:28.000 --> 57:29.000]  You know what I mean?
[57:29.000 --> 57:32.000]  You can't get on stage and say, you know, there's cool new iMac that we just showed you.
[57:32.000 --> 57:35.000]  It's totally fine if you don't buy it and just use a MacBook.
[57:35.000 --> 57:38.000]  And we talked about this on an ATP a little while ago about how they,
[57:38.000 --> 57:40.000]  even just within the iOS device range,
[57:40.000 --> 57:42.000]  but it all of them, if you see them head on or whatever again,
[57:42.000 --> 57:48.000]  they all just look like a black border around a color LCD screen of various sizes,
[57:48.000 --> 57:51.000]  but now they really fleshed out the range,
[57:51.000 --> 57:53.000]  especially with the watch being a little tiny thing,
[57:53.000 --> 57:55.000]  and then you have all the different various sizes of iPhones,
[57:55.000 --> 57:58.000]  and the big one and the biggest one gets close to the mini,
[57:58.000 --> 58:03.000]  and then you have that, you know, like it's a pretty smooth scale up of rectangular color screens
[58:03.000 --> 58:07.000]  that you can buy from Apple all the way up to the big giant retina one that you bought.
[58:07.000 --> 58:12.000]  But, and as the physical form factors have started to form the smooth scale
[58:12.000 --> 58:15.000]  that they're kind of showing in this image, here,
[58:15.000 --> 58:21.000]  there's still discontinuities, because what is the difference between an iPhone 6 Plus and an iPad?
[58:21.000 --> 58:24.000]  One runs iPad apps and one runs phone apps,
[58:24.000 --> 58:30.000]  and the line between them, you know, we're saying an ATP is probably going to go away since I'm in the near future,
[58:30.000 --> 58:35.000]  because that distinction, like, if you were to get an iPhone 6 Plus,
[58:35.000 --> 58:39.000]  go to the App Store and be like, oh, I totally want this game or this app,
[58:39.000 --> 58:41.000]  and they're like, oh, sorry, you can't, it's iPad only.
[58:41.000 --> 58:42.000]  It's like, what do you mean iPad only?
[58:42.000 --> 58:44.000]  Like the iPad isn't that much bigger than the screen I'm holding my hand.
[58:44.000 --> 58:46.000]  What is it about the thing I'm holding in my hand?
[58:46.000 --> 58:48.000]  That means it can't run a quote unquote iPad app.
[58:48.000 --> 58:50.000]  That distinction seems like it's going to go away,
[58:50.000 --> 58:53.000]  but there's the other gap of like you get the, you know, the iPad error,
[58:53.000 --> 58:55.000]  if they were coming up with an iPad Pro,
[58:55.000 --> 58:58.000]  and then to a MacBook error, which presumably go right into,
[58:58.000 --> 59:01.000]  why are these so different? It's like, well, it's easier to explain one as a keyboard,
[59:01.000 --> 59:04.000]  but they run totally different OS as one as touch, one is not touch.
[59:04.000 --> 59:09.000]  Like, they Apple is expecting you to pick your spot in their product line,
[59:09.000 --> 59:12.000]  where you feel comfortable because there are discontinuity still,
[59:12.000 --> 59:15.000]  and they're never going to pay for over them to agree that Microsoft does,
[59:15.000 --> 59:18.000]  like, oh, one OS everywhere, because that's not what Apple believes in.
[59:18.000 --> 59:21.000]  But in any kind of transition, like there's another discontinuity
[59:21.000 --> 59:23.000]  when you go from the phone to the watch, because it just has to be.
[59:23.000 --> 59:25.000]  You can't work the same way. It's just too small or whatever.
[59:25.000 --> 59:28.000]  So these little gaps, like if they were to space it out,
[59:28.000 --> 59:32.000]  it would be like watch, big gap, phone, phone, phone, tiny gap, iPad,
[59:32.000 --> 59:36.000]  bigger gap, laptop, even bigger gap, iMac, you know.
[59:36.000 --> 59:39.000]  And you're supposed to pick in that range of like, you know,
[59:39.000 --> 59:42.000]  like Chinese food menu, one from column A, one from column B, like,
[59:42.000 --> 59:46.000]  and make up the suite of devices that fill out your life.
[59:46.000 --> 59:48.000]  And by having this range,
[59:48.000 --> 59:50.000]  I think obviously someone's not just going to buy the watch
[59:50.000 --> 59:52.000]  and not have a PC and not have a cell phone.
[59:52.000 --> 59:54.000]  Like, you're going to have something in this range,
[59:54.000 --> 59:58.000]  which ones do you think you need? No one needs to fill in all the gaps.
[59:58.000 --> 1:00:02.000]  And they can't say it that way, right?
[1:00:02.000 --> 1:00:05.000]  Well, they say it in the way, like, we have something for everybody.
[1:00:05.000 --> 1:00:06.000]  Yeah.
[1:00:06.000 --> 1:00:08.000]  You know, like they just say, look at this range, like,
[1:00:08.000 --> 1:00:09.000]  look at the richest of this range.
[1:00:09.000 --> 1:00:11.000]  There's surely there is something that fits your needs.
[1:00:11.000 --> 1:00:14.000]  Like, you know, they're fleshing it out, like, diversifying the iPhone.
[1:00:14.000 --> 1:00:16.000]  And for the longest time, like, the iPhone was the iPhone.
[1:00:16.000 --> 1:00:19.000]  And everybody wanted like, even now you can say this room
[1:00:19.000 --> 1:00:22.000]  for a diversification of like, you know, make one thicker and have longer battery life
[1:00:22.000 --> 1:00:26.000]  or something, but like, they've diversified their line to say something for everybody.
[1:00:26.000 --> 1:00:28.000]  And the same way they don't expect you to buy two iPhones,
[1:00:28.000 --> 1:00:31.000]  like the big one in the small one or your night phone or your day phone.
[1:00:31.000 --> 1:00:34.000]  It's the same thing that they don't say that because they think it's obvious,
[1:00:34.000 --> 1:00:40.000]  but just like they're not going to say, if you buy, you know, a MacBook Pro,
[1:00:40.000 --> 1:00:42.000]  we probably don't expect you to buy an iMac,
[1:00:42.000 --> 1:00:45.000]  because the MacBook Pro is a completely fully capable, awesome machine
[1:00:45.000 --> 1:00:46.000]  that you can do everything on.
[1:00:46.000 --> 1:00:49.000]  But if you're the kind of person who wants a desktop,
[1:00:49.000 --> 1:00:52.000]  we would offer one of those two.
[1:00:52.000 --> 1:00:57.000]  Yeah.
[1:00:57.000 --> 1:01:04.000]  Mac Pro, some people wrote to me after the iMac announcement,
[1:01:04.000 --> 1:01:08.000]  and they're sort of, I have obviously they've bought a Mac Pro
[1:01:08.000 --> 1:01:13.000]  in the last 10 months, and they're angry that Marco right now.
[1:01:13.000 --> 1:01:15.000]  Marco, you know, did not get angry.
[1:01:15.000 --> 1:01:19.000]  He just went out and bought an iMac.
[1:01:19.000 --> 1:01:23.000]  But to me, that's so totally not surprising, you know,
[1:01:23.000 --> 1:01:27.000]  that even though the Mac Pro is a very expensive machine,
[1:01:27.000 --> 1:01:31.000]  and it in theory should always be at the leading edge of technology,
