[00:00.000 --> 00:03.640]  So live in life one I'll tell you yeah, you know
[35:44.200 --> 35:47.480]  And not necessarily a bad way, but just in a you know very human way, you know
[35:47.480 --> 35:53.880]  He felt very passionately about about that subject and I think that there's the cynicism as you mentioned
[35:53.880 --> 35:58.280]  It's good as a journalist. It's helpful to have cynicism a general overall
[35:59.080 --> 36:01.880]  Skepticism, but I think that the cynicism
[36:01.880 --> 36:09.240]  Towards technology and larger companies like Apple especially because of the the enormous amounts of power that they wield
[36:10.120 --> 36:13.560]  It has to be balanced right and I think that this
[36:14.280 --> 36:19.480]  These kinds of subjects where you're talking about a company like Apple saying we're gonna do this regardless of return
[36:20.040 --> 36:22.040]  There's a lot of
[36:22.040 --> 36:26.600]  Instinctual desire to paint that as a PR move or something like that and I
[36:26.600 --> 36:31.000]  I don't I don't hang out with him quick. We don't play golf. I don't know
[36:31.240 --> 36:37.400]  But it just doesn't feel it feels organic. It doesn't feel manufactured to me at all. Yeah, I agree. I thought
[36:38.680 --> 36:44.120]  With the sweater with the zip-up sweater that he had on he the word that came to mind was a
[36:44.840 --> 36:46.520]  vunkular
[36:46.520 --> 36:49.800]  It seems right he seems like he's sort of the company's uncle
[36:50.120 --> 36:52.600]  You know that everybody looks up to and you know
[36:52.600 --> 36:59.800]  He's not their executive team is pretty much around the same age. Everybody is sort of like 50 to 55
[37:00.040 --> 37:04.040]  It's not like he is older, but his hair is a little grayer than than most
[37:05.800 --> 37:07.960]  And so it does he sort of has like
[37:09.400 --> 37:12.600]  Elder statesman makes him seem old. It's not old, but there's sort of like
[37:14.200 --> 37:18.920]  I don't know and a sweater just sort of emphasized it. He's like the uncle that everybody looks up to
[37:18.920 --> 37:23.560]  Mm-hmm. I think there's a a power
[37:24.440 --> 37:27.960]  For him in feeling like he's collected
[37:28.280 --> 37:34.680]  You know the key has he's comfortable in the the power in the role that he's in because I think a lot of times
[37:34.680 --> 37:39.080]  You see these CEOs who obviously you and I both know over the past decade everybody has tried to
[37:39.800 --> 37:43.720]  replicate apples sort of we're actually going to bring the company
[37:44.280 --> 37:47.960]  Man out on stage and he's going to be convincing and they almost always fail
[37:47.960 --> 37:52.600]  But you see a lot of these guys come out and it feels very much like
[37:54.360 --> 37:56.360]  You know I got coached for
[37:56.600 --> 38:01.080]  Four weeks to deliver the speech and I'm delivering it, but you don't really believe any of that
[38:01.400 --> 38:07.800]  But he's feeling more more comfortable with the power that he wields and it seems like it's it's one of those things where
[38:08.520 --> 38:13.160]  He comes out. He's set his in control. He has this presence where
[38:13.160 --> 38:19.960]  You believe that he actually does have a handle on what's going on and Steve had that in a different way where
[38:20.360 --> 38:25.000]  You felt that the things he was saying reflected his passions and his passions drove the company
[38:25.400 --> 38:27.640]  Whereas it seems like the things that cook is saying
[38:28.120 --> 38:33.560]  Reflect the the passions of the people inside the company. Yeah, so it just seems like a little bit of a different balance there
[38:33.640 --> 38:35.640]  I think the single most
[38:36.120 --> 38:38.120]  important aspect of Tim Cook's
[38:38.120 --> 38:47.640]  Leadership of CEO and his person that that what made him so suited to take over when he did is that he truly seems
[38:48.600 --> 38:55.240]  Completely secure with the fact that he is in no way Steve Jobs and
[38:56.760 --> 39:01.880]  I think it's almost incredible like he's nowhere near
[39:02.280 --> 39:07.320]  He's very good. He's very smart. He's doing a great job. The company is incredibly successful
[39:07.320 --> 39:12.440]  So far under his leadership, but nobody is ever going to doubt nobody
[39:12.440 --> 39:17.000]  I don't think I mean I think you know the way things will play out like in the history of the industry
[39:17.000 --> 39:21.480]  He will not be as famous or revered or as you know
[39:21.480 --> 39:24.440]  Look back upon a hundred years from now as Steve Jobs
[39:25.000 --> 39:31.640]  Right Steve Jobs is Thomas Edison, you know, he's Henry Ford. He's you know, we're gonna be talking about him for long after
[39:31.880 --> 39:33.880]  You know, we're dead
[39:33.880 --> 39:37.400]  And he is totally secure in that he does doesn't bother him one bit
[39:37.720 --> 39:42.200]  He understands it. He knows it and he's fine with it. It doesn't bother him at all
[39:42.680 --> 39:46.440]  There's no part of his ego that is bothered by that
[39:47.080 --> 39:49.080]  And I think that is extraordinary
[39:49.720 --> 39:54.120]  And I think it's a true. It's just remarkable because I think that you know
[39:54.120 --> 39:59.080]  Almost anybody else who would have taken over it would have been inevitable that they'd it would it would eat at them
[39:59.080 --> 40:05.240]  Yep, yep, I agree. It takes a lot it takes a lot of comfort to not
[40:05.880 --> 40:11.640]  Put that it wasn't even that other people because other people are going to compare and do compared to him to Steve
[40:11.640 --> 40:14.040]  As far as management style or success or whatever
[40:14.520 --> 40:15.960]  But to not put that on yourself
[40:15.960 --> 40:18.680]  I mean, that's an insane thing and I'm sure you know
[40:18.680 --> 40:21.800]  He thinks about it a lot, but it doesn't seem like he lets it get in his way
[40:21.880 --> 40:28.120]  You know in some other universe where Steve either didn't get sick or or beat it and stayed ahead of it and had
[40:28.120 --> 40:34.040]  You know a full career and stayed at you know at the helm as CEO until he was you know 70 years old
[40:34.840 --> 40:36.840]  and it was a
[40:36.840 --> 40:38.200]  planned and obvious
[40:38.200 --> 40:40.440]  Transition and there was no tragedy involved
[40:41.080 --> 40:45.320]  There still would have had to been as somebody who followed Steve Jobs and it would have been hard
[40:45.720 --> 40:47.720]  But it's so much harder
[40:48.760 --> 40:56.680]  To do it like Tim Cook did in a way where everybody cook included wishes it had hadn't hadn't had to happen
[40:56.680 --> 40:58.680]  Right
[40:58.680 --> 41:03.160]  Yeah, it's just and I you know, it's been you know what three years
[41:04.120 --> 41:08.040]  Yeah, it's been like three and three years three and almost you know coming up on three and a half years
[41:11.080 --> 41:16.280]  It's you know it clearly feels like it's in the past tense that you know when Steve was around feels you know
[41:16.280 --> 41:20.600]  It's like this is Tim's apple, but I still feel like we we underestimate just
[41:21.480 --> 41:24.120]  What an extraordinary position that thrust him into
[41:24.120 --> 41:27.400]  Mm-hmm. Yeah, and and the
[41:29.240 --> 41:33.560]  They're in most transitions like this. There's a situation where you have a
[41:34.040 --> 41:37.960]  Clear-cut goal like oh, we need to fix this or fix that and
[41:38.760 --> 41:44.760]  The hardest position to come into as an incoming CEO is to not screw up something that's already
[41:45.240 --> 41:51.000]  Incredibly successful right exactly. That's the worst one. Right. You know, there's all kinds of other scenarios, but that's the oh man
[41:51.000 --> 41:56.440]  That's the worst because you're the only thing you could do if you are you are the best thing
[41:56.440 --> 41:58.440]  You're best person at your job ever
[41:58.440 --> 42:00.200]  You're just gonna give people going okay good
[42:00.200 --> 42:02.680]  You didn't screw it up and if you're the worst
[42:02.680 --> 42:06.840]  I mean this if you are you know, screw up even a little bit and things go downwards then it's
[42:07.240 --> 42:11.000]  You know, then you're the worst you're awful and you're horrible and everybody blames you
[42:11.160 --> 42:15.480]  So it's just the thing it was a thankless thing and I think he's handled it pretty well. Yeah
[42:16.440 --> 42:18.440]  I'm not saying I will do another break, but
[42:18.440 --> 42:23.720]  Jeff Williams first on stage appearance for research kit
[42:24.680 --> 42:31.000]  Well, I should say I've reword it was his first on stage appearance at a keynote and it was for research kit
[42:31.640 --> 42:37.240]  I think that's noteworthy. I think that there is a sort of implicit
[42:40.280 --> 42:46.720]  You know, there's a whole page of what a dozen doesn't plus senior executives at Apple that they listed as their senior leadership
[42:46.720 --> 42:53.440]  But the ones who speak on stage. I think there's an implicit, you know, they're the A team Shiller Federighi
[42:55.440 --> 42:58.880]  Johnny I've is an exception but he does you know, he does all these videos
[43:00.240 --> 43:06.480]  And I think Jeff Williams getting elevated to that level is a sign that he's leveled up within the company
[43:07.520 --> 43:13.040]  Yeah, there's a sort of line on the page and I don't want to have to read too much into the page layout
[43:13.040 --> 43:19.600]  Well, there's a sort of line and below it is Paul DeNev and Lisa Jackson and you know, Joe Padoni and then above that
[43:19.920 --> 43:21.920]  Jeff Williams is the last person above that
[43:21.920 --> 43:24.880]  No, but above that it's out of the order
[43:25.840 --> 43:29.360]  Right, right exactly and I think that he's definitely part of that group
[43:29.840 --> 43:35.200]  Obviously the people like Luca won't be on the stage necessarily because that's just not Apple's thing
[43:36.400 --> 43:40.000]  You know somebody like Dan I could see making an appearance maybe at some point
[43:40.000 --> 43:44.240]  Johnny obviously chooses not to as far as I have heard
[43:45.280 --> 43:48.480]  You know Bruce's GC so he's not really that's not his thing
[43:48.560 --> 43:54.320]  But among amongst that other group the only person that hasn't been on there that I think will eventually would be Angela
[43:54.320 --> 44:00.880]  Right, so I think that Jeff being in that group of people that presents is important and I also thought that
[44:01.440 --> 44:06.160]  Kevin Lynch coming out and he did actually a really good job. What we'll talk about was it wasn't yeah, I thought so too
[44:06.160 --> 44:10.320]  Yeah, but yeah, I Bruce saw as the general counsel
[44:10.320 --> 44:13.360]  I think if anybody went there as as the lawyer and said hey
[44:13.360 --> 44:16.080]  We want you to come out on stage and speak publicly. He'd be like fuck you
[44:17.040 --> 44:24.880]  I mean, I would advise you not to you just know that that guy is a stone cold killer. He's just he's a scary guy, you know
[44:25.840 --> 44:28.320]  I think that I
[44:28.880 --> 44:33.360]  As a you know spitball I predicted that maybe Angela aren't would appear on stage
[44:33.360 --> 44:36.960]  And then a lot of people wrote to me afterwards like oh, what do you think that she didn't know?
[44:36.960 --> 44:44.080]  I don't know but I think it's simple because they didn't have they didn't it was it my theory that maybe she would was tied to the
[44:44.080 --> 44:49.280]  Idea that they would talk about these the store retail changes that are coming
[44:51.040 --> 44:55.240]  All the head was a table with a glass top. She's gonna go on there and introduce a table with a glass top
[44:55.240 --> 44:57.200]  Yeah, you know, so yeah, I agree
[44:57.200 --> 45:00.640]  I think she would have been if they had something. I think she will eventually
[45:00.640 --> 45:05.680]  But I think that it would be in the context of retail
[45:06.400 --> 45:08.160]  It's you know, it's no hurt
[45:08.480 --> 45:10.960]  There's too many people who I think are reading into
[45:11.760 --> 45:15.680]  Her background and the fact that they're getting into watches and think that she's
[45:16.320 --> 45:23.120]  Doing product marketing or product development on watch and stuff like that like no her job is head retail and trust me
[45:23.120 --> 45:26.640]  Her hands are full like that's more than enough work for her to do
[45:26.640 --> 45:30.400]  So if she were to come on stage, it would be to talk about
[45:31.040 --> 45:34.800]  Retail it would not be to you know talk about watch features or something like that
[45:35.600 --> 45:40.240]  Yeah, when I when she got hired I did I finally published a piece that I've heard like
[45:40.560 --> 45:46.000]  Worked you up for months about it just before the event and then nobody probably nobody read it because of the event obviously but
[45:47.200 --> 45:51.680]  When she got hired I kind of asked around and you know it Apple a little bit just people I knew and said so what
[45:52.240 --> 45:56.240]  You know, you she can be involved in the watch because that's what a lot of people as you said a lot of people were
[45:56.240 --> 46:01.840]  Assuming oh, she's they're not just hiring her for retail. They're hiring her to to help develop the watch or you know
[46:01.840 --> 46:04.160]  Work on that that aspect of it and they said don't
[46:05.040 --> 46:07.040]  over estimate
[46:07.040 --> 46:09.040]  the amount of
[46:09.600 --> 46:13.040]  Involvement that that retail would have in product development
[46:13.200 --> 46:15.680]  You know, she's not sending in on on product
[46:16.480 --> 46:18.880]  Feature roundtables, you know, necessarily
[46:19.600 --> 46:25.520]  And I know I don't know this for sure obviously this is just people giving me general kind of hints of about how Apple works
[46:25.520 --> 46:29.760]  So I just yeah, she's not she's and definitely involved in the retail side of things
[46:29.760 --> 46:36.480]  Which I think there's plenty of work to do there. Yeah, I say this not to be dismissive as to her skills and abilities and taste
[46:36.560 --> 46:38.560]  I say this only knowing that
[46:38.880 --> 46:41.200]  Speaking of charge of retail for the
[46:41.760 --> 46:49.120]  most profitable per square foot retailer in the world who is expanding at a very
[46:49.120 --> 46:56.560]  Consistent not you know, not overly aggressive not reckless, but expanding and expanding in places as
[46:57.360 --> 46:59.360]  Politically delicate is China
[46:59.520 --> 47:02.640]  It's more than enough for her. It's a ton of work
[47:02.640 --> 47:06.960]  I'm sure that she is working her ass off every day and that just on the retail alone
[47:07.200 --> 47:10.560]  But I think that you know when if and when we see her on stage, it'll be in that context
[47:10.560 --> 47:18.880]  All right, let me take another break here and thank our next sponsor and it's our good friends at Harries
[47:19.360 --> 47:21.360]  Harries makes premium
[47:21.840 --> 47:25.840]  Men's shaving goods. They make razors. They make blades
[47:26.960 --> 47:29.680]  They make shaving cream and gel. They have aftershave
[47:30.480 --> 47:37.040]  Everything you need to take care of your shaving needs and they do it right. It's top quality stuff and
[47:37.040 --> 47:44.640]  At a great price really truly go to Amazon measured against the stuff from Gillette about half the price
[47:45.440 --> 47:52.720]  Of the major big brand competitors for blades. How do they do it? Well, they do it by cutting out the middle man
[47:52.720 --> 47:56.400]  Cutting out the advertising and by taking control themselves
[47:57.600 --> 48:03.760]  They bought their own factory in Germany that makes razor blades a factory that was already doing it. They bought it
[48:03.760 --> 48:09.760]  They make their own blades. They are top notch super sharp really high quality
[48:10.480 --> 48:15.120]  They're not just like a company that has a cool brand and they white label the blades from you know
[48:15.680 --> 48:20.000]  Whatever factory anywhere in the world. No, they make their own blades really great stuff
[48:20.240 --> 48:23.760]  They make their own handles. They're really great design. It doesn't look like the
[48:24.560 --> 48:28.240]  Lingi crap that you get from Gillette or shik or those guys
[48:28.640 --> 48:30.640]  Stuff that looks like you buy it now and
[48:30.640 --> 48:36.560]  30 40 years from now. It's going to look exactly the same when you buy another one from Harry's because it's just a simple plain timeless
[48:36.880 --> 48:38.560]  classy design
[48:38.560 --> 48:44.160]  And all the details are right you pick up the handle. It just feels good in your hand. It's like a nice solid
[48:44.800 --> 48:46.400]  Just a nice solid thing
[48:46.800 --> 48:51.840]  Really almost Apple like in terms of just caring about how something feels like the heft of it
[48:52.560 --> 48:54.900]  And really really great prices
[48:54.900 --> 49:04.020]  Where do you go to find out more go to Harry's dot com h a r r y s dot com
[49:05.700 --> 49:06.900]  And
[49:06.900 --> 49:08.900]  When you buy something
[49:08.900 --> 49:14.900]  Use this code talk show they don't put the gun that it's just talk show use that code and you'll save
[49:14.900 --> 49:20.740]  I think five bucks off your first order. You'll save something if you've never bought anything from Harry's before use that code and
[49:20.740 --> 49:25.220]  You'll save a couple bucks and their starter kit is only like 15 bucks
[49:25.300 --> 49:29.860]  So you can get started with that code you get started for like 10 bucks. You'll get a handle three blades
[49:31.060 --> 49:33.060]  Really nice packaging
[49:33.700 --> 49:37.860]  Really you're you're I hate to say it, but you're stupid if you don't take them up on it. It's a great deal
[49:38.260 --> 49:41.780]  So my thanks to Harry's I actually use their stuff. It's great right?
[49:42.500 --> 49:45.540]  Yeah, it's pretty solid. I mean I I tried it on kind of a whim
[49:45.540 --> 49:50.260]  I first heard about them and I've been using represent it took me a while to use to the angle of the blades
[49:50.580 --> 49:54.020]  It's like really flat in comparison to like a Gillette turbo
[49:54.340 --> 49:59.380]  Whatever, you know with the 18 blades on it that strips your skin from your flesh. Yeah, I think I know what you mean
[49:59.380 --> 50:02.020]  I do know what you mean where it is sort of more of a
[50:02.580 --> 50:05.540]  Yeah, it's like a yeah, like a flat. Yeah, flat to go way to put
[50:06.660 --> 50:12.260]  But yeah, works well. Yeah, really great stuff back to the event. So after Jeff Williams and research kit
[50:12.260 --> 50:18.100]  And it was the new MacBook and at this point to me
[50:19.220 --> 50:24.900]  To me it's almost like it was like two events because this to me was just pure Apple, right?
[50:24.900 --> 50:30.180]  And it's like and Shiller does this stuff great. I know there's some people who think that he is
[50:30.500 --> 50:34.100]  I don't know what people say so people some people think he's a little like
[50:34.980 --> 50:38.340]  Not flat, but that he's he's like unenthusiastic
[50:38.340 --> 50:43.380]  On stage. I think that he's got the I think he's got this stuff down so cold
[50:43.540 --> 50:46.500]  He's so good. I think he's their best presenter by far
[50:47.620 --> 50:49.620]  And he does it. Yeah
[50:49.860 --> 50:54.420]  He just knows how to do it and it's just it was just such a typical Apple product introduction
[50:55.780 --> 50:59.620]  I thought it was really and I think he understands the stuff, right? Yeah, so I
[51:00.020 --> 51:06.740]  Think that's the difference between like a presenter and somebody who goes out there and and happens to present this thing that they've been working on
[51:06.740 --> 51:10.980]  And obviously he doesn't do heartbreak is marketing, but still he just get he understands
[51:11.140 --> 51:18.100]  Holistically what makes it special and he's trying to he's trying to really just tell you why that's the field that you get
[51:18.100 --> 51:21.300]  I think when he goes I think it's genuine and I've said before like
[51:22.100 --> 51:28.420]  That's how product marketing works at Apple like it's not like somebody like Johnny Ives team comes up with the design
[51:28.420 --> 51:33.220]  And they work out the engineering and then they make it and then they come to Shiller's team and say here
[51:33.220 --> 51:39.540]  Here's the new MacBook figure out a way to sell it like Shiller and his team are involved right from the get-go in
[51:40.020 --> 51:42.980]  terms of the product development like they're involved at the
[51:44.100 --> 51:46.100]  beginning like it's
[51:46.100 --> 51:48.420]  It's not here's the thing figure out a way to sell it
[51:48.420 --> 51:54.260]  It's what should the thing be and then all we have to do is tell people what it is and why like I said and why
[51:55.300 --> 52:02.660]  right and and I mean that that's it's typified by this section where they spent like three four minutes talking about
[52:02.660 --> 52:06.180]  Keyports, which is right. Yeah, like you tell any other marketing head
[52:06.340 --> 52:12.100]  Hey, we changed the keyboards, which is in this it took us like two years to research it and and build the or however long and
[52:12.340 --> 52:16.740]  Research and build these keyboards, which is there like yeah, okay. I'll see if I can sneak it in
[52:16.980 --> 52:22.500]  You know, but no he knows why he knows the amount of effort they spent on it and he knows why it's so important
[52:22.820 --> 52:26.820]  And he also knows that when Apple announces something like this it actually
[52:27.700 --> 52:29.780]  He has to impress upon people that they really
[52:29.780 --> 52:35.060]  Really thought about it. They mean there's no other way. It just to say we really thought hard about it
[52:35.060 --> 52:37.060]  They made like a Hollywood caliber
[52:37.380 --> 52:42.500]  Slow-mo video showing how the keys work in action. It's yeah
[52:43.060 --> 52:46.340]  I'm I guarantee you they shot that with a phantom right with one of those
[52:46.580 --> 52:52.260]  Yeah, 20,000 frames per second. Yeah, you know cameras. Yeah, I definitely think they might have
[52:54.500 --> 52:55.300]  Uh
[52:55.300 --> 52:58.420]  What do you think about the MacBook? I mean overall impressions. It's pretty good
[52:58.420 --> 53:01.300]  You know, and I dicked around with it at the event a little bit afterwards
[53:01.300 --> 53:05.300]  But I think that on stage when I was watching it I started mentally
[53:05.780 --> 53:11.860]  Telling the amount of major inventions that went into the one device because usually with Apple
[53:12.420 --> 53:16.660]  There will be a lot of refinements and a lot of iterative changes that they make to something
[53:16.900 --> 53:18.900]  And of course each one of those involves
[53:19.140 --> 53:26.100]  Experimentation maybe invention and that kind of thing but the MacBook especially this time around there were they were like five major
[53:26.100 --> 53:31.300]  inventions that you know things that had to be created not just
[53:32.100 --> 53:37.300]  Bought and are licensed and applied but actually created to make this thing work
[53:37.300 --> 53:42.980]  Well, that's a list of them. Okay. Okay. So you've got the batteries right a change in batteries
[53:43.780 --> 53:47.140]  It'll do a overview so change in batteries touch pad
[53:48.260 --> 53:49.380]  the
[53:49.380 --> 53:53.780]  Screen right this is a change in the screen the keyboard switches
[53:53.780 --> 53:55.780]  and
[53:55.780 --> 54:01.300]  Then the well, I guess USB-C is really under adoption right because they're adopting a standard well
[54:01.300 --> 54:05.620]  Here's about that. I have heard I keep you know
[54:05.780 --> 54:14.500]  Can't say who but let's call them informed little birdies that USB-C is an Apple invention and that they gave it to the standard bodies
[54:16.020 --> 54:21.620]  And that wouldn't surprise me too much that the politics of such is that they can't really say that
[54:21.620 --> 54:26.260]  They they're not going to come out in public and say that but that they did
[54:26.900 --> 54:31.940]  It is an Apple invention and they do they want it to become a standard. You know, that's like the difference like
[54:32.740 --> 54:34.740]  And you know, we can get into this. It's a good question
[54:34.740 --> 54:40.900]  We should definitely come back to is are they going to use USB-C instead of lightning on iOS devices or something
[54:41.220 --> 54:47.780]  But I feel like the difference is there are certain devices and contexts where they want to have a proprietary port
[54:47.780 --> 54:53.300]  And there are other contexts where they want to have an industry standard port
[54:53.620 --> 54:58.740]  You know, they want your MacBook to be able to connect to third-party displays
[54:58.740 --> 55:04.820]  Sure, they want you to buy an Apple display, but they know that you know that it that it has to be able to support third-party displays
[55:05.140 --> 55:12.020]  They want you to be able to plug in a microphone, you know for podcasting into your MacBook
[55:12.020 --> 55:17.300]  And they're not going to make microphones, right? So they want it to be an open port
[55:18.100 --> 55:21.700]  And so you know, but they also want it to be obviously thin
[55:22.500 --> 55:24.340]  And they also want it to be
[55:25.380 --> 55:28.580]  Upside-downable. I don't know what you would call. Yeah, we're first of all. I guess
[55:29.060 --> 55:32.340]  Yeah, and so they you know what I've heard is that it's pretty
[55:32.340 --> 55:35.140]  You know, it's an Apple invention that was sort of developed coincident
[55:35.140 --> 55:39.060]  You know alongside lightning and that they donated they gave to the standard's bodies
[55:39.060 --> 55:42.340]  So because they wanted to you know, they want interesting. They want the open
[55:42.340 --> 55:46.580]  They want the industry standard to be thin enough for their devices and they want it to be
[55:47.060 --> 55:48.500]  reversible
[55:48.500 --> 55:52.820]  Right, I mean that makes some sense. I mean the the the one thing that I
[55:53.860 --> 55:57.620]  That made me sad about it is the apparent death of MagSafe
[55:57.940 --> 56:02.340]  Yeah, that's I had I'm not going to take credit for this a former Apple or told me this
[56:02.340 --> 56:04.980]  But he said that he felt that the MagSafe was
[56:04.980 --> 56:12.740]  Like the the hallmark Apple invention of the 2000s. Yeah, you know, and that it was a very Apple thing to do and
[56:13.780 --> 56:17.940]  That you know, I mean you think about the amount of time that they spent
[56:18.500 --> 56:20.500]  Panting that they patented it so hard
[56:21.060 --> 56:24.580]  So hardcore that people couldn't even make anything like it
[56:24.820 --> 56:27.620]  Like everybody else has had to be pretty awful in comparison
[56:28.180 --> 56:32.660]  And I think that there's a plus and a minus to that the minus is that I wish all computers had that
[56:32.660 --> 56:37.940]  But they couldn't because Apple patented it, but the plus is that it worked really well and Apple computers
[56:38.020 --> 56:41.220]  You know, which is what I primarily use it for like laptops and stuff
[56:41.700 --> 56:43.860]  But I'm pretty sad to see that go. I'm gonna be honest
[56:43.860 --> 56:46.580]  I'm kind of nostalgic for the MadSafe. I'm actually already. It's funny
[56:46.580 --> 56:48.580]  And we you know, we have to mention that
[56:49.620 --> 56:57.300]  The Mark German at nine to five Mac. What was it about six weeks ago when he came out with the you know, here's the next MacBook Air
[56:57.300 --> 57:03.460]  And you know add they they'd they'd commissioned an artist to do
[57:03.940 --> 57:09.060]  You know renderings based on what he was told and it was spot on nailed it. Yeah, really close
[57:09.060 --> 57:13.140]  And I mean there was a little the little tiny details wrong
[57:13.140 --> 57:16.580]  But I almost think it wasn't even I think it was just like a mistake on the artist part
[57:16.580 --> 57:21.380]  For example, the escape key was an the renderings was top right instead of top left
[57:21.780 --> 57:26.500]  Which made no sense at all like why if if there's room for the key period? Why no world would you move?
[57:26.500 --> 57:29.300]  And I think it was just a mistake on the artist part
[57:29.300 --> 57:32.100]  I don't think that like it was a botched part of this thing
[57:32.100 --> 57:36.020]  I think that artists just wasn't thinking and put the escape key up there who you know who cares
[57:36.100 --> 57:38.100]  But in terms of only having
[57:38.100 --> 57:45.060]  One USB-C port on the left and a microphone port on the right and no other port's period that nailed it or
[57:45.060 --> 57:47.620]  Or not a microphone a headphone jack
[57:48.500 --> 57:50.500]  Yeah, it's a line in and out by the way
[57:50.740 --> 57:55.380]  So it is if that is odd in an audio in jack as well as a headphone jack. Oh interesting
[57:55.380 --> 58:00.100]  Um, and in in reaction to that the the you know the the
[58:01.460 --> 58:05.380]  Conventional wisdom the general consensus was well, how can you do that?
[58:05.380 --> 58:08.580]  How can you get rid of magsafe if you can't get rid of magsafe magsafe magsafe is awesome?
[58:09.300 --> 58:13.140]  And you know it doesn't make it so therefore this can't be true. This has to be a mistake
[58:13.620 --> 58:20.580]  I think you know a lot of times you just you have to realize that in the name of progress apples answer is you know tough
[58:20.580 --> 58:26.820]  All right because we spit we spit billions of dollars developing this and we're gonna kill it just because
[58:27.380 --> 58:32.260]  It's not necessary and it's always you know it's it to me. It's a good sign
[58:33.140 --> 58:36.420]  That I don't want to buy this laptop. I mean, I mean, I mean to I'll just say flat out
[58:36.420 --> 58:38.420]  I do not want this machine right now
[58:39.060 --> 58:45.060]  Um, but I like it as a statement as to where things are going and I definitely can imagine buying
[58:45.060 --> 58:51.300]  A laptop a new MacBook in its image and you know next time I buy one in a couple years
[58:52.020 --> 58:55.700]  Um, but I'm reminded of every time apple has dropped something like this
[58:55.700 --> 59:00.980]  You know like with the original iMac dropping everything except USB and people say well
[59:00.980 --> 59:04.180]  It's not going to work with any of my existing peripherals
[59:04.580 --> 59:09.780]  None of my peripherals will work none of my mice or keyboards or hard drives are going to work and the answer is tough
[59:09.780 --> 59:15.300]  You know and when they drop the optical when they drop the optical drive with
[59:16.020 --> 59:21.460]  The first MacBook Air and I think that's the the real comparison is to the first MacBook Air people are like well
[59:21.700 --> 59:27.780]  It's not going to play any of DVDs. It's not how am I going to install the OS OS updates come on
[59:28.420 --> 59:32.340]  DVDs and the answer was tough and you know we'll figure it out
[59:33.380 --> 59:36.580]  Yeah, we'll figure out at some point. It's I joked on Twitter
[59:36.580 --> 59:40.100]  It's like, you know, they're they're the Apple outrages
[59:40.420 --> 59:44.740]  Outrage cycle is essentially Apple predicts the future executes. It's a little bit
[59:45.540 --> 59:51.060]  You could even use the phrase a little bit too early right or a little bit earlier than the rest of the industry is really what that means
[59:51.380 --> 59:58.500]  And then everybody gets pissed and then eventually it's a standard and I think that Jason Snell wrote a review of the original MacBook
[59:58.660 --> 1:00:02.420]  He linked it on Twitter today. I was talking with Steven Sonofsky on Twitter about
[1:00:02.420 --> 1:00:08.580]  The the whole original MacBook review that Jason wrote and Jason chimed in and he had referred to it
[1:00:08.580 --> 1:00:14.900]  I guess a couple weeks ago, but it was essentially the same thing. It's like man. This is you know a big change and it's
[1:00:15.540 --> 1:00:20.660]  There's a lot of compromises and etc. Etc. And you know, it's all over again
[1:00:20.660 --> 1:00:22.660]  It's the same concept
[1:00:22.660 --> 1:00:25.620]  And and yet here we are with our air is going
[1:00:25.860 --> 1:00:29.220]  Oh, how I could ever live without my air at my air is just fine, you know
[1:00:29.220 --> 1:00:34.180]  So well, I remember too when german's report first came out with this and most people are like
[1:00:34.180 --> 1:00:38.020]  Well, there's no way they're gonna drop MagSafe because MagSafe is awesome and useful
[1:00:38.020 --> 1:00:42.420]  And then there were others the people who were ends up were right who said well
[1:00:43.220 --> 1:00:45.620]  iPad doesn't have MagSafe
[1:00:48.420 --> 1:00:50.420]  Yeah, I
[1:00:50.420 --> 1:00:51.460]  Don't buy that though
[1:00:51.460 --> 1:00:57.060]  That that to me is a straw man because the iPad is not used anywhere near like an laptop is used
[1:00:57.060 --> 1:01:04.420]  You know some people are we are already telling me, you know, I I've ever we have a really hard time buying this laptop because I have small children
[1:01:04.660 --> 1:01:08.740]  You know and they run by my desk and kick the kick the wire and everything and I totally
[1:01:08.740 --> 1:01:11.220]  I agree with that and not only that remember this thing is light
[1:01:11.380 --> 1:01:14.660]  Yeah, it's super light so if you kick that cord on there's any resistance
[1:01:14.660 --> 1:01:17.540]  It's gonna go flying and yeah, there's no moving parts anymore
[1:01:17.540 --> 1:01:20.740]  So theoretically speaking it's gonna be better off than a hard drive
[1:01:20.740 --> 1:01:23.700]  But still that's that that kind of sucks
[1:01:23.700 --> 1:01:27.860]  And I wish that they would have found a way to maybe integrate MagSafe into
[1:01:28.420 --> 1:01:30.100]  their USB-C in other words
[1:01:30.100 --> 1:01:33.700]  There's a general USB-C you can plug a USB-C cable into this without the MagSafe
[1:01:34.340 --> 1:01:40.900]  But ours has this really cool, you know polarized magnet that auto centers and clicks it
[1:01:40.900 --> 1:01:43.620]  Yeah, my thought was maybe they would put it on the adapter
[1:01:44.100 --> 1:01:48.420]  You know that the wall, you know the thing that you plug in oh, yeah, they did they didn't you know
[1:01:48.420 --> 1:01:52.340]  It's not it is you know as far as I can tell it is the case
[1:01:52.340 --> 1:01:56.580]  Now that it back to where we were where if somebody kicks your table kicks your cable
[1:01:56.980 --> 1:02:01.620]  Trips over your table cable while it's connected. You're your the MacBook is gonna go
