[00:00.000 --> 00:01.160]  Let's do something unusual.
[20:36.720 --> 20:39.840]  I was like, for some reason, Joe is Suzu popped into my head.
[20:39.840 --> 20:40.240]  Yeah.
[20:40.240 --> 20:41.600]  Now I got to put that in the show notes.
[20:41.600 --> 20:43.520]  What the hell ever happened to Suzu?
[20:43.520 --> 20:47.120]  The other one just looked like the first one looked like a regular budget rental truck.
[20:47.120 --> 20:52.400]  The type of thing you would think you would need to move a 26 year old single woman from
[20:52.400 --> 20:53.760]  Pittsburgh to Philly.
[20:53.760 --> 20:55.360]  Not too big, but not a van.
[20:55.360 --> 20:56.240]  You know, it was a truck.
[20:56.240 --> 20:58.800]  It was like the smallest truck and he gave me an, a Suzu.
[20:58.800 --> 21:02.720]  It was the same size, but it was one of those ones that had no nose.
[21:03.520 --> 21:06.720]  So like you're sitting right over the, you're sitting right over.
[21:06.720 --> 21:07.120]  Yeah.
[21:07.120 --> 21:07.920]  Right over the front.
[21:08.560 --> 21:08.800]  Yeah.
[21:08.800 --> 21:12.960]  And I pick up my friend and we drive and then like the idiots that we are, we stop at the
[21:12.960 --> 21:16.000]  very first rest station to get some food.
[21:16.960 --> 21:17.200]  Yeah.
[21:17.200 --> 21:18.560]  It's a long drive to Pittsburgh.
[21:18.560 --> 21:22.400]  And we decided to stop at the first one we get, I don't know, some burgers or something
[21:22.400 --> 21:25.520]  like that and get back in and the thing won't even start.
[21:26.240 --> 21:26.880]  Won't start.
[21:27.760 --> 21:28.960]  Son of a bitch.
[21:28.960 --> 21:34.480]  And it took four or five hours to get, to get a service guy out there to, to change
[21:34.480 --> 21:35.040]  the battery.
[21:35.040 --> 21:37.680]  So now we're like five, six hours behind.
[21:37.680 --> 21:38.720]  Anyway, it all worked out.
[21:38.720 --> 21:40.480]  Also, Amy will verify this.
[21:40.480 --> 21:42.880]  I did on the way back after, this is nighttime.
[21:42.880 --> 21:46.320]  We're driving back from Pittsburgh to Philly, almost drove off a cliff.
[21:46.320 --> 21:49.520]  Okay.
[21:49.520 --> 21:52.480]  They say we had like a wheel or two over the edge.
[21:52.480 --> 21:56.000]  I say it wasn't quite that close, but this is why you can't drive it.
[21:56.000 --> 21:57.440]  It's one of the reasons I can.
[21:57.440 --> 22:00.080]  I definitely do not have a truck driver's license.
[22:00.080 --> 22:00.400]  Yeah.
[22:00.400 --> 22:05.040]  The crazy thing like I, so I grew up in Connecticut and a Connecticut driver's license, at least
[22:05.040 --> 22:05.440]  for years.
[22:05.440 --> 22:06.560]  I don't know if it's like this anymore.
[22:06.560 --> 22:10.800]  It was also considered a limousine driver's license for some reason.
[22:10.800 --> 22:12.000]  I have absolutely no idea.
[22:12.000 --> 22:17.600]  Like I don't, I didn't take some sub-course in limousine driving in order to get my license.
[22:17.600 --> 22:22.000]  But when I went to college, I was looking for like part-time job to try and make some
[22:22.000 --> 22:23.920]  money while I was going to school.
[22:23.920 --> 22:28.160]  And one of the things that I found was driving for the school.
[22:28.160 --> 22:32.720]  They would pay cause they would have sometimes parents, but also like people who were coming
[22:32.720 --> 22:35.840]  to speak at the school and would need a ride from the airport.
[22:35.840 --> 22:40.080]  So they had a van and if you had a Connecticut driver's license, you were licensed to drive
[22:40.080 --> 22:40.720]  the van.
[22:40.720 --> 22:42.480]  And so I drove the van.
[22:42.480 --> 22:45.280]  Like I had no special skills.
[22:45.280 --> 22:47.840]  I have no idea how that happened.
[22:47.840 --> 22:52.720]  And I feel kind of lucky that nobody got injured while I was driving that van.
[22:53.280 --> 22:53.760]  Huh.
[22:53.760 --> 22:58.400]  That's, you know, that's very funny because my friend, John is also named John.
[22:58.400 --> 23:01.120]  John, my roommate from college who was...
[23:01.120 --> 23:02.480]  Should have him on the podcast with me.
[23:02.480 --> 23:03.200]  I should.
[23:03.200 --> 23:04.720]  We all know confusion at all.
[23:04.720 --> 23:05.360]  No, none.
[23:05.360 --> 23:09.920]  My friend, John, who was the guy who went with me out to Pittsburgh and very...
[23:09.920 --> 23:11.040]  What a friend, right?
[23:11.040 --> 23:13.920]  What a friend who's willing to ride all the way to Pittsburgh to help.
[23:13.920 --> 23:14.400]  No, yeah.
[23:14.400 --> 23:16.400]  Any friend that helps you move, that's a solid...
[23:16.400 --> 23:20.880]  But a day trip from Philly to Pittsburgh and Pittsburgh round trip, that's a hell of a
[23:20.880 --> 23:21.360]  thing.
[23:21.360 --> 23:23.680]  But anyway, he had a job in college.
[23:23.680 --> 23:27.440]  Now Drexel and Penn are right next to each other, big shared border.
[23:27.440 --> 23:32.560]  It's effectively one big, you know, conglomerate of college campus.
[23:33.280 --> 23:38.240]  And he was a van driver for the University of Pennsylvania.
[23:38.240 --> 23:41.680]  Even though we went to Drexel, he got a job at Penn driving like the...
[23:42.320 --> 23:46.240]  You know, you just like sort of have like a route and you just stop.
[23:46.240 --> 23:48.640]  It's like a bus, but it was a van and you'd stop.
[23:48.640 --> 23:52.640]  And if college, you know, kids at Penn had student ID, they could just get on for free
[23:52.640 --> 23:54.400]  and ride around.
[23:54.400 --> 23:56.560]  Well, anyway, he liked it.
[23:56.560 --> 23:57.520]  He enjoyed the job.
[23:57.520 --> 23:59.200]  It paid good money, I guess.
[23:59.200 --> 24:04.320]  But one time he hit somebody, but it was absolutely not his fault.
[24:04.320 --> 24:10.160]  It was like an intoxicated college student who ran in front of his van.
[24:10.160 --> 24:12.080]  And there were all sorts of witnesses.
[24:12.080 --> 24:16.160]  It was like a Friday night at nine o'clock, all sorts of witnesses.
[24:16.160 --> 24:18.240]  And he was in no legal trouble.
[24:18.800 --> 24:21.200]  And everybody agreed it was the kid's fault.
[24:21.200 --> 24:25.680]  The kid who got hit, I think it was a girl, but even she admitted it was her fault.
[24:25.680 --> 24:27.280]  And it's still he got fired.
[24:27.280 --> 24:28.400]  It was company policy.
[24:28.400 --> 24:29.840]  As soon as you hit somebody, you're fired.
[24:29.840 --> 24:36.720]  And so he lost his job, even though it wasn't his fault.
[24:36.720 --> 24:38.960]  They even said to him, they're like, that's a tough one.
[24:38.960 --> 24:41.680]  Cause it really, this one, it's usually not so clear cut.
[24:41.680 --> 24:42.880]  This one wasn't your fault.
[24:42.880 --> 24:44.240]  Policy's policy.
[24:44.240 --> 24:46.640]  You know, you know, who should have that policy is Spotify.
[24:50.640 --> 24:51.520]  If you hit somebody.
[24:51.520 --> 25:00.160]  Or if you spew COVID nonsense for years on end.
[25:01.520 --> 25:02.320]  Yeah, maybe.
[25:02.320 --> 25:02.640]  All right.
[25:02.640 --> 25:03.200]  What else?
[25:03.200 --> 25:04.640]  What, anything else stick out from you?
[25:04.640 --> 25:06.000]  Oh, the max sales were up.
[25:06.000 --> 25:10.160]  And that's of course, I also, I don't think you have to be a Jim Cramer.
[25:10.880 --> 25:15.360]  You don't have to be a deep thinker of wall street to figure out what's going on.
[25:15.360 --> 25:20.320]  The M1 max came out at the beginning of last year, end of 2020.
[25:20.320 --> 25:25.760]  They're incredibly well reviewed and all they've hercalated throughout the lineup
[25:25.760 --> 25:28.640]  to all of the most popular models.
[25:28.640 --> 25:34.080]  The only remaining ones are the big iMac and the professional Mac pro.
[25:34.080 --> 25:36.160]  And yeah, it's not surprising.
[25:36.160 --> 25:41.680]  Max sales are up record breaking more max being sold in a quarter than ever before.
[25:41.680 --> 25:43.360]  Although they, again, they don't break down.
[25:44.000 --> 25:44.960]  Units anymore.
[25:44.960 --> 25:47.120]  So we can't say, but at least by revenue.
[25:47.760 --> 25:48.000]  Yeah.
[25:48.640 --> 25:48.880]  Yeah.
[25:48.880 --> 25:50.880]  I think, right, it doesn't not seem surprising.
[25:50.880 --> 25:54.000]  And then they also said like the last, gosh, now I can't remember the number.
[25:55.200 --> 26:00.640]  Six quarters were the best six quarters for the Mac ever.
[26:00.640 --> 26:06.480]  Yeah, because it was, there was an unusual thing where part of us like people who like us
[26:06.480 --> 26:10.480]  are like, what kind of an idiot would buy an Intel Mac in September?
[26:10.480 --> 26:12.800]  When you knew that Apple Silicon was going.
[26:12.800 --> 26:17.120]  But they had a record breaking quarter, like the last quarter of max sales before they
[26:17.120 --> 26:21.200]  even announced the transition, even though they announced the transition was coming at
[26:21.200 --> 26:25.040]  WWDC already, it was as much as Apple ever talks about the future.
[26:25.040 --> 26:28.400]  But yeah, people six, six quarters is a year and a half.
[26:28.400 --> 26:35.920]  So I think what that times two is the period after, I mean, for a while, Apple kind of
[26:35.920 --> 26:37.200]  screwed the Mac up, right?
[26:38.640 --> 26:45.040]  I mean, the Mac book pro, the keyboard things, the touch bar, the lack of a retina Mac book
[26:45.040 --> 26:45.680]  air.
[26:45.680 --> 26:51.760]  Yeah, I mean, all these things probably depressed Mac sales to some degree for a while.
[26:51.760 --> 26:58.080]  And once they address those issues, I think it, I think that probably helped a lot.
[26:58.080 --> 26:59.280]  Yeah, I do too.
[26:59.280 --> 26:59.600]  Yeah.
[26:59.600 --> 27:04.000]  And I do think, I don't think it was so much that the company had lost interest in the
[27:04.000 --> 27:04.320]  Mac.
[27:04.320 --> 27:05.280]  I just think they knew.
[27:05.280 --> 27:07.040]  I think they were just going in the wrong direction.
[27:07.040 --> 27:12.000]  Well, and I think they knew this transition was coming and they were like, so do we really
[27:12.000 --> 27:15.520]  want to do X before we actually make this transition?
[27:15.520 --> 27:16.400]  Why don't we save it?
[27:16.400 --> 27:20.800]  And they have good ideas for things to do with the Mac and Mac hardware.
[27:20.800 --> 27:23.040]  Why don't we save it for when we do Apple Silicon?
[27:23.600 --> 27:25.280]  And then some of the things really depend on it.
[27:25.280 --> 27:31.120]  Like the fact that you get a much, much better, significantly better FaceTime camera for video
[27:31.120 --> 27:36.560]  conference calls and whatever else you use your MacBook camera for, you get such better
[27:36.560 --> 27:41.440]  picture out of it because it gets the image processing pipeline of Apple Silicon.
[27:41.440 --> 27:46.080]  Like the first round of like the still for sale, like if you buy the MacBook Air with
[27:46.080 --> 27:50.080]  an M1, it's literally has the same camera as the Intel ones.
[27:50.080 --> 27:55.520]  And the picture looks like 10 times better because it's better chips.
[27:56.080 --> 27:56.480]  I don't know.
[27:56.480 --> 28:02.560]  I feel like even with the Mac Pro that there was sort of a, oh, you know, it's like, we
[28:02.560 --> 28:03.680]  really have to do something.
[28:03.680 --> 28:09.120]  This trashcan design isn't working, but do we really want to throw all of the effort
[28:09.120 --> 28:14.880]  into going with one generation of Xeon, do all of this, and then we're going to throw
[28:14.880 --> 28:15.280]  it all out.
[28:15.280 --> 28:17.280]  And they're like, oh, okay, I guess we have to.
[28:17.280 --> 28:19.520]  It's in like the iMac Pro is like that.
[28:19.520 --> 28:22.240]  The iMac Pro was like, it still is.
[28:22.240 --> 28:27.440]  It's like a technical marvel of cooling that there you have these chips that even Intel
[28:27.440 --> 28:32.800]  admits runs hot and they've got like this real svelte form factor and it doesn't make
[28:32.800 --> 28:33.600]  a lot of noise.
[28:34.240 --> 28:35.440]  And they made one of them.
[28:35.440 --> 28:44.720]  And it's, I'm sure that it's not like that their Macs hardware engineers have developed
[28:44.720 --> 28:52.640]  muscles for designing and implementing cooling systems that aren't applicable in the Apple
[28:52.640 --> 28:53.440]  Silicon world.
[28:53.440 --> 28:54.240]  I'm sure they are.
[28:54.240 --> 28:58.560]  And it's look at how thin the M1 24 inch iMac is.
[28:58.560 --> 29:04.160]  The fact that it's so crazy thin with no pimple or bulge anywhere on the back.
[29:04.160 --> 29:08.480]  The fact that they've, they honed their chops making cooling systems like the iMac Pro 1,
[29:08.480 --> 29:13.600]  but still it's, it really, you can see why they were, I just think that they were hoping
[29:13.600 --> 29:18.640]  that maybe the Apple Silicon transition would happen a year or two earlier than it actually
[29:18.640 --> 29:18.960]  did.
[29:18.960 --> 29:26.080]  And no one would notice that these Pro Macs were getting long in the tooth.
[29:26.080 --> 29:31.040]  You know, and I don't know how much of the keyboard delay, what clearly in hindsight
[29:31.040 --> 29:33.120]  looks like procrastination on their part.
[29:33.120 --> 29:36.320]  Like the problem isn't that they tried these butterfly keyboards.
[29:36.320 --> 29:37.360]  It made sense.
[29:37.360 --> 29:41.360]  And you know, some people like less travel or more travel on their keys, but once it
[29:41.360 --> 29:44.800]  turned out that breadcrumbs and stuff were all of a sudden you're destroying it, yeah,
[29:44.800 --> 29:45.920]  destroying your B key.
[29:45.920 --> 29:50.240]  And the answer was, well, you needed a whole new top case that should have been replaced
[29:50.240 --> 29:51.280]  sooner than it was.
[29:51.280 --> 29:56.240]  And Apple to their credit as a company tends to, it's not that they don't make mistakes,
[29:56.240 --> 29:59.920]  but they tend to rectify mistakes somewhat quickly.
[29:59.920 --> 30:00.800]  This isn't working.
[30:00.800 --> 30:01.840]  Let's do something different.
[30:01.840 --> 30:05.680]  Whereas they stuck with a bunch of Mac stuff for years when they shouldn't have.
[30:05.680 --> 30:09.840]  And I just don't think it's a coincidence that they had this transition on the horizon
[30:09.840 --> 30:11.840]  and sort of wanted to save the good stuff for it.
[30:12.480 --> 30:17.760]  And I know people who held on to Macbook, older Macbook Pros for years and completely
[30:17.760 --> 30:20.400]  skipped that generation just because of the things that they had heard about it.
[30:20.400 --> 30:21.520]  Yeah, absolutely.
[30:21.520 --> 30:24.960]  Because like you might be thinking like, hey, my MacBook's getting kind of slow.
[30:24.960 --> 30:28.400]  And you think, but I've never once had a single problem with the keyboard.
[30:28.400 --> 30:29.920]  And you hear all these problems, right?
[30:30.960 --> 30:31.440]  Yeah, right.
[30:31.440 --> 30:36.000]  Like, I mean, I think that was at one point during the keyboard saga, I even wrote that.
[30:36.000 --> 30:40.080]  And it's like, you can talk about whatever they say that most of our customers have no
[30:40.080 --> 30:40.880]  complaints, whatever.
[30:40.880 --> 30:45.840]  But it's like, I've been using computers, just computers, period, as long as I can remember.
[30:46.400 --> 30:49.200]  And I just don't ever remember where there was a problem.
[30:49.200 --> 30:53.600]  Like when you're typing, where like you'd try to type one S and you'd get three of them
[30:53.600 --> 30:54.560]  or something like that.
[30:54.560 --> 31:00.240]  It just never happened with anybody's computer, you know, like, yeah, it just, it was a problem.
[31:00.240 --> 31:03.200]  It's also, it's also the number of ports too, I think.
[31:03.200 --> 31:03.760]  Yeah.
[31:03.760 --> 31:04.800]  Yeah, that was true.
[31:04.800 --> 31:08.000]  But anyway, it was a good year for the Mac corresponding, right?
[31:08.000 --> 31:13.040]  Like reviewers and nerds like us look at these new Macs that Apple's coming out with Apple
[31:13.040 --> 31:15.920]  Silicon and we say, these are excellent computers.
[31:15.920 --> 31:20.560]  And it seems people, tens of millions of people who are in the market for them agree.
[31:20.560 --> 31:21.280]  Yeah, yeah.
[31:22.240 --> 31:25.360]  The other things, the other two things that I noticed were both related.
[31:25.360 --> 31:29.120]  They said that around half of the customers purchasing an iPad during the quarter were
[31:29.120 --> 31:34.160]  new to the product and also two thirds of the customers purchasing an Apple Watch were
[31:34.160 --> 31:35.120]  new to the product.
[31:35.120 --> 31:38.480]  That's another one too, where I feel like people just buy one and then they're going
[31:38.480 --> 31:40.080]  to keep it for years and years.
[31:40.080 --> 31:42.080]  Cause that's how people think of their watches.
[31:42.080 --> 31:46.880]  I don't even remember which one my, my, I forgot which model I have.
[31:46.880 --> 31:51.280]  I can't, it's definitely a few years old, but I can't remember which model it is.
[31:51.280 --> 31:53.280]  Which is, I think it's a five.
[31:53.280 --> 31:53.600]  Yeah.
[31:53.600 --> 31:55.200]  I think that's the way it should be though.
[31:55.200 --> 31:56.160]  I really do.
[31:56.160 --> 32:01.440]  And, but that really speaks to, especially with the iPad, so sales are down.
[32:01.440 --> 32:03.680]  Half of them were new to me.
[32:03.680 --> 32:08.640]  It just says that there are just tens and tens, maybe hundreds of millions of people
[32:08.640 --> 32:11.520]  with iPads who are just like, I'm good.
[32:11.520 --> 32:11.920]  Yeah.
[32:11.920 --> 32:16.320]  I think the amazing thing to me about the iPad line is that eponymous iPad, because
[32:17.280 --> 32:22.480]  you can get them for, they go down to like two 30 or something like that at Costco.
[32:22.480 --> 32:27.280]  I mean, that is, that is a lot of machine for that amount of money.
[32:27.280 --> 32:30.000]  That is probably the best value that Apple offers.
[32:30.000 --> 32:30.240]  Yeah.
[32:30.240 --> 32:34.880]  I think that, I think they, the official retail price is three 29, but yeah, they
[32:34.880 --> 32:37.840]  definitely dip below maybe it's more like two 70 or something like that.
[32:37.840 --> 32:39.920]  They go below 300 bang for the buck.
[32:39.920 --> 32:42.880]  It is really just remarkable.
[32:42.880 --> 32:46.640]  And it goes against the, everything Apple makes is expensive.
[32:46.640 --> 32:47.520]  It's like that.
[32:47.520 --> 32:47.920]  I don't know.
[32:47.920 --> 32:50.400]  I dare, I dare you to find a better computer.
[32:50.400 --> 32:56.240]  Maybe you don't like iPad OS and for whatever reasons, but in terms of.
[32:56.240 --> 32:56.480]  Yeah.
[32:56.480 --> 33:01.120]  That's not to say there aren't knocks on it compared to other devices, but dollar for
[33:01.120 --> 33:04.080]  dollar, I don't think you're going to get a better value.
[33:04.080 --> 33:05.520]  Karen has one cash.
[33:05.520 --> 33:08.480]  She's got one that's a year and a half old, something like that.
[33:08.480 --> 33:08.640]  Yeah.
[33:08.640 --> 33:09.760]  I think it's about a year and a half old.
[33:09.760 --> 33:14.160]  And I was just like thinking maybe she, for Christmas, maybe she was like a new one.
[33:14.160 --> 33:15.520]  She was not interested.
[33:16.960 --> 33:18.320]  She's like, it's great.
[33:18.320 --> 33:19.520]  It does everything that I want.
[33:19.520 --> 33:22.080]  She even doesn't mind the old pencil, particularly.
[33:22.080 --> 33:26.960]  I mean, I'm sure if she got a new one, she'd like the new one better, but she was perfectly
[33:26.960 --> 33:27.200]  happy.
[33:27.200 --> 33:30.640]  And I was just like, well, I spent, I spent a few hundred bucks on stunning, like just
[33:30.640 --> 33:33.200]  shoving something in front of her because it's a new.
[33:33.200 --> 33:33.440]  Yeah.
[33:34.080 --> 33:39.040]  Anything stand out from you from the analyst call the, this is Tim, the transcript?
[33:39.840 --> 33:40.720]  Not much for me.
[33:40.720 --> 33:45.680]  I guess the news people are focusing on is that he said there's 1.8.
[33:45.680 --> 33:45.920]  Yeah.
[33:45.920 --> 33:47.040]  That's what I was going to say.
[33:47.040 --> 33:49.280]  Billion devices, Apple devices in use.
[33:49.280 --> 33:51.600]  I'm not quite sure what they count as a device.
[33:51.600 --> 33:52.240]  Yeah.
[33:52.240 --> 33:53.760]  And how they were in use.
[33:53.760 --> 33:55.440]  Cause to me, that's the question.
[33:55.440 --> 33:58.800]  If you're just, if it's still signed into iCloud or something like that.
[33:58.800 --> 33:59.040]  Okay.
[33:59.920 --> 34:02.880]  I'm not sure if that really counts because I have a lot of devices that are still signed
[34:02.880 --> 34:03.600]  into iCloud.
[34:03.600 --> 34:06.400]  Does my Apple TV remote control count as a device?
[34:08.800 --> 34:09.920]  I doubt it.
[34:09.920 --> 34:10.720]  I doubt that.
[34:10.720 --> 34:12.640]  I doubt the remote control counts as a device.
[34:12.640 --> 34:13.360]  The TV does.
[34:13.360 --> 34:18.480]  The TV does, but the mouse connected to my iMac or whatever does not count as a separate
[34:18.480 --> 34:19.040]  device.
[34:19.040 --> 34:23.520]  It's a lot for a planet with only, I believe 7 billion people.
[34:23.520 --> 34:27.120]  That's the last I checked, but yeah, it's been a few years since it looked.
[34:27.120 --> 34:27.600]  It's weird.
[34:27.600 --> 34:29.280]  Cause it's like you internalize things.
[34:29.280 --> 34:34.160]  I just remember like when I first became aware of the population of the earth, it was 5 billion.
[34:34.160 --> 34:34.480]  Yep.
[34:34.480 --> 34:35.040]  Me too.
[34:35.040 --> 34:35.920]  Me too.
[34:35.920 --> 34:36.480]  Exactly.
[34:36.480 --> 34:41.120]  We're similar age and I just thought that's the number.
[34:41.120 --> 34:43.040]  And then it's talking about 6 billion.
[34:43.040 --> 34:44.400]  I'm like, nope, 5 billion.
[34:44.400 --> 34:49.680]  And then it's, Oh, I see how it works.
[34:49.680 --> 34:50.640]  It goes up pretty quick.
[34:51.840 --> 34:52.480]  So I don't know.
[34:52.480 --> 34:54.480]  It could be 13 billion at this point.
[34:54.480 --> 34:56.000]  I just, I haven't paid attention.
[34:56.000 --> 34:57.280]  I believe it's 7 billion.
[34:57.280 --> 35:03.520]  So with a planet of 7 billion people, 1.8 billion devices in use is pretty good reach
[35:03.520 --> 35:06.160]  for a company that was formerly beleaguered.
[35:07.200 --> 35:10.720]  Let me take a break here and I will thank our next sponsor.
[35:10.720 --> 35:11.520]  Oh man.
[35:11.520 --> 35:17.520]  I, you wouldn't even believe how much Mack Weldon clothing I have on right now.
[35:17.520 --> 35:17.920]  Yeah.
[35:17.920 --> 35:18.480]  Oh yeah.
[35:18.480 --> 35:20.000]  Cause I'm freezing.
[35:22.560 --> 35:24.560]  And so I've gone the layered route.
[35:24.560 --> 35:32.000]  I believe I'm wearing, I've got their cotton t-shirt on and then I've got a, uh, the ACE
[35:32.000 --> 35:36.320]  sweatshirt and then I've got the ACE hoodie on top of my ACE sweatshirt.
[35:36.320 --> 35:37.680]  Oh man, Mack Weldon.
[35:37.680 --> 35:40.640]  They did look, their stuff looks great.
[35:40.640 --> 35:42.480]  You want to look good in the winter Mack Weldon.
[35:42.480 --> 35:43.280]  They're the experts.
[35:43.280 --> 35:46.560]  When it comes to essential clothing, that's perfect for the cold.
[35:46.560 --> 35:48.800]  Oh man, this sponsor read is right.
[35:48.800 --> 35:53.600]  What I need, whether you need a legit warm shirt or looking to upgrade your sweats collection,
[35:53.600 --> 35:55.440]  Mack Weldon has exactly what you're looking for.
[35:55.440 --> 35:59.760]  And if that's not convenient enough, they've got the daily wear system.
[35:59.760 --> 36:02.080]  All the clothes work together for real.
[36:02.080 --> 36:06.000]  So whether you're headed to work and you need to look professional or you're going for a
[36:06.000 --> 36:10.080]  run, or you're just sitting around on the couch and you really want the sweatpants getting
[36:10.080 --> 36:12.160]  dressed takes no effort at all.
[36:12.160 --> 36:14.880]  They've got the ACE sweatshirts, the sweatpants.
[36:14.880 --> 36:18.640]  I'm not a sweatpants guy, but Syracuse had talked me into trying them years ago.
[36:18.640 --> 36:22.800]  If you got to have some sweatpants, I have to say they're the best sweatpants I've ever
[36:22.800 --> 36:26.160]  had there because they don't look like sweatpants from when I was younger.
[36:26.160 --> 36:30.480]  They look, you look a little bit less like you're in pajamas and you look like you can
[36:30.480 --> 36:32.160]  go somewhere and they got nice pockets.
[36:32.160 --> 36:33.600]  They're actually useful.
[36:33.600 --> 36:37.520]  Whereas back in the day, you put anything in sweatpants pockets, it's going to fall
[36:37.520 --> 36:37.840]  out.
[36:37.840 --> 36:40.000]  Now their stuff stays together.
[36:40.000 --> 36:41.920]  They got the warm knit collection.
[36:41.920 --> 36:42.480]  Oh man.
[36:42.480 --> 36:44.560]  The warm knit stuff is I don't know how they do it.
[36:44.560 --> 36:47.360]  It's like some kind of scientific fabric, but it keeps you warm.
[36:47.360 --> 36:52.400]  They got like a flannel shirts and stuff like that are made out of the warm knit fabric.
[36:52.400 --> 36:53.120]  Very warm.
[36:53.680 --> 36:55.680]  And of course they've got underwear and socks.
[36:55.680 --> 36:58.160]  I've got one pair of Mack Weldon underwear.
[36:58.160 --> 37:02.880]  I wear it every single day and it nothing ever goes wrong with it.
[37:02.880 --> 37:03.920]  No, I kid.
[37:05.440 --> 37:07.120]  I've got a whole drawer full.
[37:07.120 --> 37:08.720]  I'm not going to ask how often you do laundry.
[37:09.280 --> 37:11.920]  I've got a whole drawer full of Mack Weldon underwear.
[37:11.920 --> 37:16.160]  I do not just wear the same pair every day, but you could if you wanted to.
[37:16.160 --> 37:17.600]  The stuff really lasts it.
[37:17.600 --> 37:22.160]  Anyway, everything from your sock and undied drawer to sweatshirts and this warm stuff,
[37:22.160 --> 37:24.160]  man, they have so much warm stuff.
[37:24.160 --> 37:25.680]  Oh, it is great layers.
[37:25.680 --> 37:26.880]  That's the secret to winter.
[37:26.880 --> 37:32.800]  Go there, go to Mack Weldon and you can get to save 20% off your first order by going
[37:32.800 --> 37:40.400]  to m-a-c-k-w-e-l-d-o-n, mackweldon.com slash the talk show.
[37:40.400 --> 37:44.240]  And just remember, I think if you just go to the URL, it's pre-entered, but the promo
[37:44.240 --> 37:48.640]  code is the talk show and that's what gets you 20% off.
[37:48.640 --> 37:51.360]  You can find your perfect look for this winter.
[37:51.920 --> 37:53.680]  Don't forget the slippers.
[37:53.680 --> 37:54.720]  I've got them on right now.
[37:54.720 --> 37:56.720]  They're keeping my feet toasty warm.
[37:56.720 --> 37:58.160]  My feet are actually not cold.
[37:58.160 --> 37:59.600]  My feet get cold all the time.
[37:59.600 --> 38:03.360]  Oh yeah, not with warm Mack Weldon socks and these damn slippers.
[38:03.360 --> 38:05.440]  Oh, I don't think I have the socks.
[38:05.440 --> 38:06.400]  I'm going to try the socks.
[38:06.400 --> 38:06.960]  Oh man.
[38:07.600 --> 38:08.480]  Anyway, great stuff.
[38:08.480 --> 38:09.360]  I love Mack Weldon.
[38:09.360 --> 38:10.000]  What else we got?
[38:10.000 --> 38:11.280]  What's next on the agenda?
[38:11.280 --> 38:14.160]  We've got, I wanted to talk about the, the OSs.
[38:14.160 --> 38:20.640]  So it seems like it's funny because I feel like poor iOS 15.3 and Mac OS 12.2, which
[38:20.640 --> 38:22.080]  just came out like two days ago.
[38:24.880 --> 38:25.840]  Not long for the world.
[38:25.840 --> 38:30.640]  We never had a chance to talk about you guys because there, there aren't a lot of
[38:30.640 --> 38:31.920]  new features in either of them.
[38:31.920 --> 38:35.680]  They feel very bug fixy sort of stability releases.
[38:35.680 --> 38:44.720]  And the next versions of both Mac OS 12.3 and iOS 15.4, both have a bunch of features.
[38:44.720 --> 38:50.000]  This sort of new Apple past the new year.
[38:50.000 --> 38:52.320]  This is when we dropped some extra cool stuff.
[38:52.320 --> 38:57.040]  Like two years ago is when the keyboard support and the mouse pointer, the little
[38:57.040 --> 39:00.960]  circle thing for iPad OS dropped out of the blue unannounced.
[39:00.960 --> 39:05.360]  I don't think any, I don't think any of these features are surprises like that, but
[39:05.360 --> 39:06.000]  universal.
[39:06.000 --> 39:09.920]  I mean, these, these were supposed to come in the fall or at least not that, not the
[39:09.920 --> 39:10.880]  face mask thing, right?
[39:10.880 --> 39:11.840]  I don't think that was announced.
[39:11.840 --> 39:12.320]  Yeah.
[39:12.320 --> 39:15.200]  I guess the universal control was supposed to come in the fall.
[39:15.200 --> 39:17.840]  Well, they don't tell you when it's supposed to come anymore.
[39:17.840 --> 39:21.520]  Like I think that they're hoping, I think they've, everything they announced in June,
[39:21.520 --> 39:25.120]  they're sort of like, we, we hope it all comes in September, October.
[39:25.120 --> 39:30.160]  Yeah, I guess it's, it's more like, these are things coming in this real, this number
[39:30.160 --> 39:33.920]  of the software and the number of the software will come in the fall.
[39:33.920 --> 39:41.120]  The Swift playgrounds for making full fledged apps that you could submit to the app
[39:41.120 --> 39:44.000]  store, right from Swift playgrounds that just shipped.
[39:44.000 --> 39:48.720]  I think in December, I think it was before Christmas, but there's a guy who did that
[39:48.720 --> 39:54.320]  app to don't, which is by supposedly the first app in the app store that was built
[39:54.320 --> 39:56.400]  that way and nobody disputes it.
[39:56.400 --> 40:00.000]  So it probably is, but you know, that's a similar type feature where they announced
[40:00.000 --> 40:01.200]  it at WWDC.
[40:02.000 --> 40:05.360]  They don't say like coming in September, they just say it's coming.
[40:05.360 --> 40:07.920]  And you know, it came in December, not September, whatever.
[40:07.920 --> 40:08.480]  It took a while.
[40:09.200 --> 40:16.000]  Universal control was, if not the star of WWDC last year, it was certainly a star.
[40:16.000 --> 40:22.080]  Federighi was the demo-er showing how you could move your mouse from, you put your,
[40:22.080 --> 40:27.120]  set up your iPad right next to your MacBook and use your trackpad on your Mac to move
[40:27.120 --> 40:30.160]  the mouse cursor over the screen, over to the iPad.
[40:30.160 --> 40:32.560]  And now you're dealing with iPad apps.
