[00:00.000 --> 00:00.840]  Do you have one?
[22:49.360 --> 22:54.320]  is still the only Mac book air with the M one right side by side without turning
[22:54.320 --> 22:56.920]  them on, you wouldn't be able to tell which was which right.
[22:56.920 --> 22:59.040]  There's, there's no hard, no differences at all.
[22:59.080 --> 23:02.680]  And they, they did this for a secrecy reasons.
[23:02.720 --> 23:06.280]  They wanted to keep the fact that they were doing it secret, but I think the
[23:06.280 --> 23:09.080]  biggest reason is, and I think you would agree with this, you know, this from
[23:09.080 --> 23:12.880]  having built software over the years, that if you're going to make a really big
[23:12.880 --> 23:17.800]  change to a low level thing, you want to keep everything else the same, you know,
[23:17.960 --> 23:18.280]  right?
[23:18.280 --> 23:22.800]  You don't want, you don't want to make like some sort of fundamental change, like
[23:22.800 --> 23:28.400]  switching from Intel to a completely different arm based software architecture
[23:28.760 --> 23:30.760]  and then have something go wrong.
[23:30.760 --> 23:35.120]  Like, Oh, it's a new keyboard design or it's a new camera or new display type or
[23:35.120 --> 23:35.760]  something like that.
[23:35.760 --> 23:39.920]  Keep everything else, keep everything, keep everything else the same, isolate the
[23:39.920 --> 23:44.280]  number of variables that could be problematic or bugs that could show up.
[23:44.320 --> 23:49.280]  But the neat thing about them doing this was the fact that the, like, let's just
[23:49.280 --> 23:53.720]  say the Mac book air last Mac book air from Intel first Mac book air on Apple
[23:53.720 --> 23:56.200]  Silicon, literally have the same camera.
[23:56.440 --> 24:01.240]  Like I fix it could take, take the pot, take it apart, look at it and say, yeah,
[24:01.280 --> 24:02.680]  these are the exact same cameras.
[24:02.680 --> 24:09.360]  And the image quality from the Apple Silicon M one Mac book air is way better.
[24:09.440 --> 24:12.840]  Not like, Oh yeah, I can kind of see that this looks better.
[24:12.840 --> 24:14.200]  It was like night and day.
[24:14.560 --> 24:16.880]  It's really fascinating.
[24:17.000 --> 24:23.280]  And a very rare instance of, because the cameras are exactly the same, you could
[24:23.280 --> 24:28.280]  really see what Apple Silicon image signal processing is capable of.
[24:28.360 --> 24:30.360]  It's it truly phenomenal.
[24:30.360 --> 24:33.040]  Uh, it just night and day, you can't believe it's the same camera.
[24:33.080 --> 24:37.640]  So I, that's like a baseline, right?
[24:37.640 --> 24:41.040]  Like how good those cameras are.
[24:41.040 --> 24:45.280]  What I would say for the studio display there, there's what shipped, which was
[24:45.280 --> 24:53.280]  clearly problematic and didn't look even as good as like these year old year and
[24:53.280 --> 24:57.520]  a half, almost old M one Mac books, right?
[24:57.520 --> 25:03.160]  Like there were lighting and color and noise problems that you didn't even see
[25:03.160 --> 25:08.640]  on those, and yet this is a $1,600 standalone display that is much thicker.
[25:08.640 --> 25:10.400]  It's three quarters of an inch thick.
[25:10.400 --> 25:16.160]  Like a huge, huge problem with laptop webcams is that the lid is so crazy thin.
[25:16.160 --> 25:18.040]  It's thinner than a phone, right?
[25:18.040 --> 25:24.000]  It's thinner than an iPad and Apple to date at least has not not shipped
[25:24.320 --> 25:25.840]  cameras with a camera bump.
[25:25.840 --> 25:28.920]  I don't know how they would do it, whether it would go on the back on the
[25:28.920 --> 25:33.120]  aluminum or on the front and have like a hole under the, under the trackpad
[25:33.120 --> 25:37.280]  where it would go, you can kind of, the fact that both of those things seem so
[25:37.280 --> 25:41.360]  silly and ungainly is the reason they probably haven't done it, right?
[25:41.360 --> 25:46.280]  But you've got to ship these crazy thin cameras into these thin lids because
[25:46.280 --> 25:51.400]  you don't want to make a lid as thick as an iPad just to get a camera in there.
[25:51.400 --> 25:54.560]  And even on the iPad, they have a camera bump, although not for the front facing
[25:54.560 --> 25:58.080]  camera. So I wonder if they could actually put the bump on the, so look at
[25:58.080 --> 26:00.200]  the clamshell, right. And do it on the backside.
[26:00.200 --> 26:01.040]  That's what I'm saying.
[26:01.080 --> 26:03.000]  Yeah. Like in reverse, right?
[26:03.000 --> 26:05.040]  But I think, I think it would be ugly, right?
[26:05.080 --> 26:07.040]  So it'd be like a terrible, terrible.
[26:07.080 --> 26:08.760]  Yeah. So you can see why they don't do it.
[26:08.960 --> 26:13.560]  But with all this room in the studio display, I just assumed that they would
[26:13.560 --> 26:17.960]  put a pretty nice camera in there, you know, like nicer than, than you could
[26:17.960 --> 26:20.920]  ever expect on a, on a Mac book.
[26:20.920 --> 26:24.360]  And I don't know that anybody's done this.
[26:24.360 --> 26:28.240]  I mean, I get, I'm going to look for it after we record, but what I'm really
[26:28.240 --> 26:34.680]  curious about is a side-by-side comparison of the 24 inch iMac from last
[26:34.680 --> 26:39.920]  year to the studio display webcam, because I don't recall having any
[26:39.960 --> 26:41.760]  thoughts about the webcam.
[26:41.800 --> 26:43.440]  I was like, this is a pretty good webcam.
[26:43.440 --> 26:47.680]  You know, it wasn't like blow away good, like, Oh my God, they've Apple has
[26:47.680 --> 26:53.120]  made a webcam that looks as good as the iPhone selfie camera.
[26:53.320 --> 26:59.200]  Right. Which it, but which I thought was on the table for the studio display,
[26:59.240 --> 27:05.360]  right? Like, okay, you know, they sell iPhones starting at like five, $500.
[27:05.360 --> 27:11.200]  Right. You can get like an iPhone SE for $500 and the front facing camera
[27:11.200 --> 27:16.600]  on the iPhone SE is way better than the front facing camera on any other
[27:16.600 --> 27:23.320]  device. Apple makes iPad, Mac, whatever it's it, you know, and we've just
[27:23.320 --> 27:27.440]  sort of somewhat accepted that, well, that's because it's the iPhone, but
[27:27.440 --> 27:30.640]  it's, it's a $500 phone with all sorts of other stuff.
[27:30.640 --> 27:35.920]  Why wouldn't, why couldn't they put a camera that quality into a $1,600
[27:36.400 --> 27:40.560]  display? I'm not even saying like the iPhone latest and greatest, the iPhone
[27:40.560 --> 27:45.040]  13, I'm saying like, why, what about like the iPhone SE, which is based on
[27:45.040 --> 27:49.920]  like a several years old design? No, definitely. So I was sort of hoping
[27:49.920 --> 27:54.760]  for something like that. I, ultimately what I think happened inside Apple
[27:55.080 --> 28:00.080]  before we move on is I think very early in the process of designing the
[28:00.080 --> 28:07.120]  studio display, they decided that center stage was so useful, so cool
[28:07.160 --> 28:12.400]  that we should definitely get center stage into the camera on the studio
[28:12.400 --> 28:16.000]  display and at a very early, and I don't know if that was a debate. I
[28:16.000 --> 28:19.360]  don't know if there were people, I sort of suspect from what I've heard
[28:19.960 --> 28:24.160]  that there, you know, as you, as anything would be inside Apple, right?
[28:24.160 --> 28:26.960]  That there are two sides to the argument and some people were on one
[28:26.960 --> 28:30.960]  side and some on the other, but the center stage side obviously won the
[28:30.960 --> 28:36.280]  argument. And, and I think everything else follows from that decision that
[28:36.280 --> 28:41.080]  the highest level decision of what is, what, what kind of camera is going
[28:41.080 --> 28:46.240]  to go into this Apple studio display was, well, first it should support
[28:46.240 --> 28:52.200]  center stage, like, like the iPads do. And then it means, well, then it
[28:52.200 --> 28:55.840]  needs to be an ultra wide because that's the whole idea behind center
[28:55.840 --> 28:59.880]  stage. And if it's going to be an ultra wide, the best ultra wide that
[28:59.880 --> 29:03.120]  we have is the one we're using in the iPads. Why don't we just use the
[29:03.120 --> 29:06.880]  same camera from the iPads? People like the iPad front facing camera
[29:06.880 --> 29:13.200]  with center stage. We'll use that and dot, dot, dot, here we are. And it's
[29:13.200 --> 29:17.560]  just sort of flat, you know, cause the thing is that, that flatness, that
[29:17.560 --> 29:22.120]  lack of contrast, especially on skin tones where it, like somebody said,
[29:22.120 --> 29:26.520]  like, it's hard to tell whether the person is really a person or whether
[29:26.520 --> 29:31.000]  they're a cardboard cutout of a person. Right. Yeah, definitely. You
[29:31.000 --> 29:33.920]  know, like if you, I don't know how many people have tried that, but like,
[29:33.920 --> 29:37.640]  if you're working remotely in zoom, just put a cardboard cutout of
[29:37.640 --> 29:44.240]  yourself in your desk chair and, you know, go play, go, go watch a movie
[29:44.240 --> 29:47.280]  or something like that. While it looks like you're a, it sounds like a
[29:47.280 --> 29:50.600]  Seinfeld plot, right? Like I was just thinking the same thing. We got to
[29:50.600 --> 29:54.880]  make a show on this. Yeah. Something George would do. It's very flat. The,
[29:54.880 --> 30:00.560]  the iPad front facing camera is pretty flat too. It's just, I think people
[30:00.560 --> 30:05.360]  didn't complain about it with the iPad pro when, when center stage debuted
[30:05.360 --> 30:09.680]  last year, because nobody really expects better from the iPad front facing
[30:09.680 --> 30:14.400]  camera. Like there was expectations were just higher for this. And I
[30:14.400 --> 30:19.040]  think Apple is, has been taken by surprise that people had that. On the
[30:19.040 --> 30:23.280]  other hand, I would like to be, I try to be open and assume that my
[30:23.280 --> 30:28.080]  preferences, I would have preferred a front facing camera that had no center
[30:28.080 --> 30:36.080]  stage support and used a field of view that was just optimized for the idea
[30:36.080 --> 30:41.360]  of one person right in front of the display, looking as good as possible,
[30:41.680 --> 30:46.560]  you know, from about arm's length in front of the display. And therefore it
[30:46.560 --> 30:51.600]  could have used a different lens that wasn't ultra wide, a different sensor
[30:51.840 --> 30:56.080]  that wasn't meant for an ultra wide lens, and then wouldn't need to crop
[30:56.080 --> 31:01.200]  and could hopefully look better and look more like the, the front facing
[31:01.200 --> 31:06.400]  camera on an iPhone. Yeah. Right. Well, and I think also basically like the
[31:06.400 --> 31:10.160]  cameras are also changing so fast now and our expectations of them are so
[31:10.160 --> 31:14.000]  much more that like, they take time, right? Cameras. I remember the first,
[31:14.080 --> 31:16.960]  literally the first digital pack, like digital camera, going back to the
[31:16.960 --> 31:20.800]  Kodaks and the Apple quick takes and all that. Like, if you look at how
[31:20.800 --> 31:24.160]  long ago that was to what we have to how it goes, there's such a big
[31:24.160 --> 31:27.360]  difference in terms of like the development of it. So I think it goes
[31:27.360 --> 31:30.720]  slow. So then you see all these changes and then you're like, Oh, wait,
[31:30.720 --> 31:34.160]  why isn't that one as good as this one? And you start comparing them. Yeah.
[31:34.240 --> 31:37.760]  So what I wish. Yeah, exactly. I had the quick take. I remember it was
[31:37.760 --> 31:41.360]  super expensive. I didn't own it myself. The quick take magic, quick
[31:41.360 --> 31:45.040]  take magic 100, but I was doing a building a website at Drexel
[31:45.040 --> 31:49.440]  university after I graduated. And we, we got out of budget, we bought one
[31:49.440 --> 31:53.520]  and used it to take pictures. And it was, it was, it was, it was a
[31:53.520 --> 31:57.200]  and it was unbelievable because if they weren't the greatest pictures in
[31:57.200 --> 31:59.920]  the world, but the fact that we could just take pictures and immediately
[31:59.920 --> 32:03.280]  put them on the website was like, everybody was blown away.
[32:03.840 --> 32:07.840]  It was so cool. It was so cool. It was terrible. Absolutely terrible.
[32:08.320 --> 32:13.680]  I, I just feel, I just wish, I feel like it, what I'm trying to say, I
[32:13.680 --> 32:19.760]  guess is I think that they optimized for center stage and now they've
[32:19.760 --> 32:22.560]  with the firmware update, they fixed the color, some of the color stuff.
[32:22.560 --> 32:26.320]  And so it's a lot less noisy. It's a little, it's better in low light,
[32:26.320 --> 32:31.040]  but because they're cropping an ultra wide image to simulate a non ultra
[32:31.040 --> 32:36.400]  wide camera. It's, it's always going to be a little, eh, not as good as
[32:36.400 --> 32:40.720]  just a camera that was meant for that focal distance, like the camera
[32:40.720 --> 32:45.520]  that they put in the iMac 24 inch last year, which nobody really talked
[32:45.520 --> 32:49.920]  about, right? Like it's almost like the invisible webcam. Nobody was
[32:49.920 --> 32:54.160]  like, Holy crap, this 24 inch iMac has an amazing web camera. This is
[32:54.160 --> 32:58.240]  like, you know, Sony thousand dollar standalone camera. Nope. Nobody
[32:58.240 --> 33:01.840]  said that, but also nobody was like, Hey, this camera makes everybody
[33:01.840 --> 33:05.520]  look flat and it's way too noisy. It's, you know, it's, it's sort of
[33:05.520 --> 33:08.800]  like exactly what you expected. It was unremarkable and did its job
[33:08.800 --> 33:12.000]  and what it said on the 10, right? Right. And if they had put that
[33:12.000 --> 33:16.720]  camera, the same camera as the 24 inch iMac into the studio display,
[33:16.720 --> 33:19.840]  I still think I would have been a little, a little disappointed because
[33:19.840 --> 33:23.840]  I was really hoping that for $1,600, they could wow us, but I would have,
[33:23.840 --> 33:26.720]  I would have had no complaints. I also, you know, I would have been a
[33:26.720 --> 33:30.000]  little disappointed. I might've mentioned, you know, I sort of was
[33:30.000 --> 33:33.120]  hoping that they would just blow us away and give us something even
[33:33.120 --> 33:37.040]  better, but you know, this is actually very good and I have no complaints
[33:37.040 --> 33:41.840]  and it would have been like a very small section of my review as opposed
[33:41.840 --> 33:46.880]  to several days worth of work. You know, adding to your, adding to your
[33:46.880 --> 33:49.040]  argument, I think you're onto something with the whole like center stage
[33:49.040 --> 33:51.840]  stuff, because the other thing is not only do you have all that stuff,
[33:51.840 --> 33:54.320]  like you said, a different lens and all that. You also have the image
[33:54.320 --> 33:57.840]  processing that has to be done to filter out. Like you said, the person
[33:57.840 --> 34:02.000]  centered in the frame, right? So you're basically, no matter what you
[34:02.000 --> 34:05.440]  do, going to get a subpar picture because there's so much that has to
[34:05.440 --> 34:08.880]  happen to make that picture look right in the frame, right? Yeah. Yeah,
[34:08.880 --> 34:12.960]  yeah, absolutely. I will say this. I also complained in my initial review
[34:12.960 --> 34:17.040]  that center stage could lag significantly. Like if you turned your head
[34:17.040 --> 34:20.960]  to the side and went to the edge of the field, it would pan over to where
[34:20.960 --> 34:24.080]  you were. Then you'd come back to the middle and it would take several
[34:24.080 --> 34:28.480]  seconds to recenter. Yeah, yeah, yeah. They, they have definitely addressed
[34:28.480 --> 34:31.760]  that. I mean, like, not like, you know, again, sometimes you get like a
[34:31.760 --> 34:35.680]  firmware update or an OS update and they say, we've improved image
[34:35.680 --> 34:39.280]  quality. And you're like, I think they have, but it's kind of hard. The
[34:39.280 --> 34:42.960]  center stage thing is definitely different. And the lag is gone. I think,
[34:42.960 --> 34:45.840]  I think where they've gotten to with this firmware and it's one of those
[34:45.840 --> 34:50.000]  things, I'm sure there's some engineer or engineers at Apple who are
[34:50.000 --> 34:53.520]  continually working on tweaking the center stage. So I'm sure it'll
[34:53.520 --> 34:57.680]  continue to improve, but this is, this addresses my complaints. And I
[34:57.680 --> 35:00.000]  wouldn't complain about the way center stage works with the new
[35:00.000 --> 35:04.320]  firmware at all. I didn't see what Jason said, but he was also saying
[35:04.320 --> 35:07.600]  that, I guess, when it does the recentering of the image, it's
[35:07.600 --> 35:11.760]  apparently really fast, like jerky, like it's very abrupt, not smooth.
[35:11.760 --> 35:15.520]  And that would kill me because like I, you know, I was a film major. So
[35:15.520 --> 35:19.840]  for me, video work is very important to be smooth and natural. So I, I,
[35:19.840 --> 35:22.320]  I got to see what he's talking about, but it needs to be subtle. It
[35:22.320 --> 35:24.800]  needs to be like what you see on television, as he put it.
[35:24.800 --> 35:29.120]  I, I, well, he might've tested that more than I have in the last few
[35:29.120 --> 35:32.960]  days. I haven't seen what I would call jerkiness. It is a little bit
[35:32.960 --> 35:38.880]  less smooth, but it's, it, it wasn't overcompensating for smoothness
[35:38.880 --> 35:42.240]  that I complained about. And that Jason also complained about in our
[35:42.240 --> 35:47.840]  initial reviews. It was the fact that like their algorithms seem to want
[35:47.840 --> 35:51.920]  to say, if we pan over to the left, because you moved to the left, we
[35:51.920 --> 35:55.760]  don't want to pan back to the right too quickly because then it looks
[35:55.760 --> 36:00.480]  like we're going back and forth. But if you just temporarily leaned
[36:00.480 --> 36:05.200]  over to the side, like that's where I keep my, my coffee or, or, you
[36:05.200 --> 36:08.400]  know, just to somebody else comes into room with a question and you
[36:08.400 --> 36:12.800]  want to turn to them and answer their question, a real, real life
[36:12.800 --> 36:16.240]  person, and then come back to your video call. You kind of want that
[36:16.240 --> 36:19.360]  camera. You don't want to wait three or four seconds before it
[36:19.360 --> 36:22.800]  re-centers. I mean, the smoothness, you do want it to be a little more
[36:22.800 --> 36:25.760]  subtle. You want it to be just a, I know what he's saying. Like if you
[36:25.760 --> 36:28.240]  move around, you see almost moving around, like it's a camera guy, like
[36:28.240 --> 36:30.800]  got to keep it centered on every shot, right? You don't want it to be
[36:30.800 --> 36:34.000]  that linear is all I'm saying, or that that that's surgical.
[36:34.000 --> 36:38.080]  Yeah. So I, you know, anyway, I guess where we've wound up bottom line
[36:38.080 --> 36:41.840]  is I'm well, I'm disappointed. I'm a little disappointed that they
[36:41.840 --> 36:45.840]  chose to go the center stage route with this camera hardware. I do
[36:45.840 --> 36:49.360]  think though, given the camera hardware, they're very close to as
[36:49.360 --> 36:53.520]  good as it's going to get as opposed actually think center stage was the
[36:53.520 --> 36:56.400]  right move for this display because the whole purpose of it is
[36:56.400 --> 36:59.920]  everyone's working at home or at least will be for a while or whatever.
[36:59.920 --> 37:03.200]  And like, I think it's a cool technology, right? You're on a
[37:03.200 --> 37:05.840]  conference call, you want to be centered. So I give them props for
[37:05.840 --> 37:09.200]  it, but I think they need to make it a lot better. That's just my input.
[37:09.200 --> 37:13.440]  I just wish they'd use the same camera as the iMac 24, but you know,
[37:13.440 --> 37:16.640]  I agree, you know, but I'm open to the idea that there might be as
[37:16.640 --> 37:20.640]  many or maybe even more people who are glad that it has center stage,
[37:20.640 --> 37:23.760]  even if the quality is a little less than it would be without center
[37:23.760 --> 37:26.240]  stage. Yeah, that's how I feel. I feel like center stage as a
[37:26.240 --> 37:30.320]  feature really adds a level to the display to make everyone on that
[37:30.320 --> 37:32.800]  display look centered. And that's, that's pretty cool.
[37:32.800 --> 37:39.200]  Yeah. And I know that you can just buy a hundred to $200 webcam and,
[37:39.200 --> 37:43.760]  and put it on top. And it's not that big of an expenditure if you
[37:43.760 --> 37:46.480]  really want to do it. And you could spend a couple hundred dollars
[37:46.480 --> 37:51.280]  more and get a really professional looking rig, but I don't need that.
[37:51.280 --> 37:55.200]  I don't do calls enough, you know, same, same, same, same, same.
[37:55.200 --> 37:59.040]  And because I don't do them enough, I just really don't want anything
[37:59.040 --> 38:02.400]  sticking up over my display. Like I find it distracting.
[38:02.400 --> 38:04.720]  Again, same again, but I do think they're going to improve the image
[38:04.720 --> 38:08.400]  quality. I think, I think they have tricks. They can make it better and
[38:08.400 --> 38:12.080]  they will. That's my gut. Yeah. The contrast for sure. I would hope
[38:12.080 --> 38:15.440]  it just seems like they could just up the contrast maybe. And, and it
[38:15.440 --> 38:17.680]  would get some improvement because the other thing before we leave the
[38:17.680 --> 38:20.560]  topic, the other thing that was so striking was with, I mentioned James
[38:20.560 --> 38:25.280]  Thompson's tweet. He compared it to the image from his old, now we could
[38:25.280 --> 38:30.880]  say it's old iMac pro and the iMac pro only had like a two megapixel
[38:30.880 --> 38:36.400]  webcam. And. But it, the image quality out of it was so much better. It's
[38:36.400 --> 38:39.920]  so much better than the studio display. Cause it has contrast. He looks
[38:39.920 --> 38:46.160]  fine tuned very well. Yeah, it has it. And it, it just seems like how,
[38:46.160 --> 38:50.240]  how could they have shipped that a couple of years ago and not matched
[38:50.240 --> 38:54.800]  it in contrast and just general image quality. And it wasn't like James
[38:54.800 --> 39:00.480]  is, is some sort of a troublemaker who, who tried to make the studio
[39:00.480 --> 39:04.800]  display look bad on purpose. You know, it very, it was clearly very
[39:04.800 --> 39:08.560]  similar lighting in the exact same office. It was like, you know, and it
[39:09.680 --> 39:13.920]  just nowhere near as good. Like that doesn't seem right at all, but yeah,
[39:13.920 --> 39:17.280]  no, for sure. Here we are. Let me take a break. Thank our first sponsor.
[39:17.280 --> 39:20.400]  First time sponsor on the show. Very excited, excited about, about this
[39:20.400 --> 39:29.520]  product iodine. They have an all new, all SSD pro data. It is the fastest
[39:29.520 --> 39:35.040]  thunderbolt storage for M one max conventional storage forces a trade
[39:35.040 --> 39:40.160]  off between big, slow, hard disks or small, fast SSDs. And without
[39:40.160 --> 39:45.440]  redundancy, your data isn't protected with data pro iodine is delivering
[39:45.440 --> 39:49.600]  revolutionary storage for pro desktops and work groups. It is the first,
[39:49.600 --> 39:57.280]  all SSD thunderbolt raid device that combines 12 NVMe SSDs and eight
[39:57.280 --> 40:02.080]  thunderbolt ports in a single elegant form factor. It's incredibly pro
[40:02.080 --> 40:06.560]  data is incredibly powerful with storage performance up to five gigabytes
[40:06.560 --> 40:11.120]  gigabytes per second. For the first time, multiple thunderbolt connections
[40:11.120 --> 40:15.200]  can be combined to boost performance using iodine's breakthrough
[40:15.200 --> 40:19.920]  thunderbolt NVMe multi-pathing. All your digital assets are seamlessly
[40:19.920 --> 40:25.920]  predict protected with transactional raid six checksums and enterprise
[40:25.920 --> 40:30.320]  grade encryption. This sounds fantastic. It also features a sleek
[40:30.320 --> 40:35.680]  industrial design that fits as well in a laptop bag or even like on a DIT
[40:35.680 --> 40:41.840]  cart as it does on your desk. It's shipping now in 12 and 24 terabyte
[40:41.840 --> 40:46.800]  capacities up to three times the size of the largest built in Mac SSDs.
[40:46.800 --> 40:52.320]  So if you need more storage than you can get in the built in SSD on any
[40:52.320 --> 40:56.720]  Mac, but you're done with spinning hard drives and you want to go SSD pro
[40:56.720 --> 41:01.600]  data from iodine is the way to go. This is it up to 24 terabytes. They
[41:01.600 --> 41:06.000]  even support connecting up to four computers simultaneously and dividing
[41:06.000 --> 41:10.080]  its unique SSD storage pool into distinct containers with configurable
[41:10.080 --> 41:14.800]  passwords, encryption keys, raid levels, and file system formats. That's
[41:14.800 --> 41:18.960]  bananas to me. It sounds fantastic. Their storage handoff technology
[41:18.960 --> 41:23.120]  allows containers to be handed off in real time between collaborating
[41:23.120 --> 41:27.280]  Macs with just one click. So here's what to do. Supercharge your setup
[41:27.280 --> 41:31.280]  with the fastest thunderbolt storage for M1 Macs and the fastest
[41:31.280 --> 41:38.000]  thunderbolt raid array iodine pro data. To learn more, visit iodine.com.
[41:38.000 --> 41:44.480]  Here's how they spell it. I O D Y N E dot com. No special code for the
[41:44.480 --> 41:48.800]  show. Uh, they'll know you came from here, but once again, iodine.com.
[41:49.520 --> 41:53.920]  I even verified it. You can misspell iodine and duck duck go. Just type
[41:53.920 --> 41:59.120]  iodine thunderbolt storage and duck duck go. We'll send you right to
[41:59.120 --> 42:03.680]  their website. My thanks to them. Let's let's talk fantastic. All right,
[42:03.680 --> 42:08.000]  let's do it. You guys had a big release. I was going to say a month ago.
[42:08.000 --> 42:11.040]  I guess it's about two months ago. Yeah, it happened. And I was talking
[42:11.040 --> 42:13.920]  to the other day with someone on my team about it was back in February,
[42:13.920 --> 42:17.600]  which I don't know how time is going so quickly. We are February 8th.
[42:18.240 --> 42:21.520]  We almost, I almost had you on the show right after it came out and
[42:21.520 --> 42:24.320]  something, I forgot what even happened. Something fell through with,
[42:24.320 --> 42:27.680]  with us scheduling wise. It was like you were traveling and then you were
[42:27.680 --> 42:30.560]  like, but after, while I'm traveling, I could do it. And it was, and here we
[42:30.560 --> 42:34.400]  are. It's the end of April. Yeah, here we are. May 1st is approaching. I
[42:34.400 --> 42:37.840]  mean, it's a crazy. Yep. So tell me about the new, the what's new in
[42:37.840 --> 42:42.000]  fantastic. Yeah. So February was our big scheduling update called
[42:42.000 --> 42:45.120]  fantastic house scheduling. And basically what we've done since we
[42:45.120 --> 42:49.200]  switched to subscription back in January, 2020 is we want to keep
[42:49.200 --> 42:54.400]  pushing fantastical and card hop as a productivity platform. So not only
[42:54.400 --> 42:58.320]  just have apps, not only just have, you know, different like calendar
[42:58.320 --> 43:02.720]  context, but also have services that allow you to get ongoing benefits
[43:02.720 --> 43:06.240]  and functionality. So. In February, we launched fantastic health
[43:06.240 --> 43:10.080]  scheduling, which included openings, which is, you know, send someone
[43:10.080 --> 43:14.720]  your link, your fantastic Cal link, and they can go and they can quickly
[43:14.720 --> 43:19.200]  sign up for openings on your calendar. So fantastic Cal, what we're doing a
[43:19.200 --> 43:22.480]  bit differently than the other scheduling services is that we're
[43:22.480 --> 43:27.360]  privacy first. So you have to opt into openings in fantastic Cal. We
[43:27.360 --> 43:31.200]  don't just assume you want to use it because once you opt in, it will
[43:31.200 --> 43:36.080]  share certain details about your calendars, which is your open slots.
[43:36.080 --> 43:40.240]  So there is a level of privacy involved because now your open slots and some
[43:40.240 --> 43:43.840]  information about your calendar setups, nothing in terms of content. It's just
[43:43.840 --> 43:46.960]  a matter of like times and dates and things like that, but it is going to
[43:46.960 --> 43:50.160]  get shared on a Flexibit server, which of course we have a great privacy
[43:50.160 --> 43:53.680]  policy and you should go read it at flexibits.com slash privacy, which we
[43:53.680 --> 43:56.720]  try to keep it real. But the privacy first approach is really
[43:56.720 --> 44:00.240]  important and everything like, because at the end of the day, we want everyone
[44:00.240 --> 44:04.640]  using our products to feel secure and private. So yeah, you opt into
[44:04.640 --> 44:08.800]  openings. It shares instantly. You don't have to do any configuration setup or
[44:08.800 --> 44:12.720]  more importantly, put your accounts on a server somewhere, which is how the other
[44:12.720 --> 44:17.360]  services do it. And that's it. Enable, you're ready to roll. You share your
[44:17.360 --> 44:21.520]  fantastic Cal link. You can create what's called event templates and these event
[44:21.520 --> 44:25.600]  templates allow you to customize things like maybe you want to have a call only
[44:25.600 --> 44:29.040]  every Monday, Wednesday, and Friday from nine to five. So you can kind of fine
[44:29.040 --> 44:33.520]  tune the criteria of when events will be, or, you know, appointments can be booked
[44:33.520 --> 44:37.040]  and that's it. And then you share your fantastic Cal link. Someone goes, they
[44:37.040 --> 44:41.040]  self-serve it books it right on your calendar, automatically adds it and
[44:41.040 --> 44:44.560]  you're good to go. And then the other part of fantastical scheduling is
[44:44.560 --> 44:47.840]  called proposals. We've had these for a while. I know you've used them and
[44:47.840 --> 44:50.560]  everyone loves them, but this is where, you know, let's say you're recording a
[44:50.560 --> 44:54.880]  podcast or you're getting a game together and you send a bunch of times.
[44:54.880 --> 44:58.640]  You only want to do five times instead of giving all the open slots, you would
[44:58.640 --> 45:02.880]  send this proposals link to people and they would vote on the best times that
[45:02.880 --> 45:07.280]  work for them. And then once there's a consensus or unanimousness between the
[45:07.280 --> 45:11.920]  group, you schedule the event and off you go, or it's been, or like the group
[45:11.920 --> 45:16.080]  organizer. If there is no consensus, the group organizer can look at everybody's
[45:16.080 --> 45:21.840]  responses and say, okay, there is no date. That's perfect for all six people, but
[45:21.840 --> 45:26.400]  this seems like Wednesday at 7 p.m. seems like the best time. That's it. And
[45:26.400 --> 45:29.600]  then everybody will get a notice that it's Wednesday at seven.
[45:29.600 --> 45:33.600]  You got it. Exactly. So it gives the organizer the power to see the voting.
[45:33.600 --> 45:36.480]  In fact, there is an option you can opt in where you say, okay, if it's
[45:36.480 --> 45:40.000]  unanimous, then just pick the first date that happens unanimously, right? Why even
[45:40.000 --> 45:43.280]  bother giving, why even, you know, why have a task to confirm the event? It's
[45:43.280 --> 45:47.360]  unanimous, right? So yeah, it's really, really powerful and helpful. And we've
[45:47.360 --> 45:50.720]  added a lot of features since we launched in February to make it better.
[45:50.720 --> 45:54.960]  And the big one that everyone wants, which is coming, is the ability to add
[45:54.960 --> 45:59.200]  conference calls instantly to these events. So for example, I give you my
[45:59.200 --> 46:03.440]  Fantastical link. I want to have a Zoom call created automatically. I don't have
[46:03.440 --> 46:07.280]  to go in an extra step and add that Zoom call. You will go, you'll click your
[46:07.280 --> 46:11.440]  time, it'll create the event and add the conference call automatically in one
[46:11.440 --> 46:15.120]  step. And how's it going so far now that it's in the wild and it's in
[46:15.120 --> 46:20.160]  customers' hands? I tested it. See, the problem with me is I don't collaborate
[46:20.160 --> 46:26.240]  with anybody. And you know, I beta test your stuff and it's like, but you
[46:26.240 --> 46:31.440]  guys, you know, and the collaboration stuff like this is, this is, this is not
[46:31.440 --> 46:37.920]  like esoteric calendaring problem. This is literally at the heart of, this was a
[46:37.920 --> 46:42.640]  problem before computer calendaring even existed, right? How do you find times
[46:42.640 --> 46:47.040]  that are good for everybody? You know, it's a hard problem. I tested it as best
[46:47.040 --> 46:51.520]  I could without collaborating with people, but I'm curious. And it is, it is
[46:51.520 --> 46:55.040]  very clever. And of course, like everything you guys do, which is why I'm
[46:55.040 --> 46:58.560]  such, I really am. It's not just because you're my friend and you're on the show.
[46:58.560 --> 47:06.080]  I'm just such a huge friend, a fan of Flexibit's design style and language. You
