[00:00.000 --> 00:01.000]  Hey, John.
[19:53.000 --> 19:56.000]  It's the whole thing where, you know, you have to have an iPhone app.
[19:56.000 --> 19:57.000]  Right.
[19:57.000 --> 20:03.000]  And iPhone apps more or less projecting notifications to the watch.
[20:03.000 --> 20:09.000]  And they even say, I mean, and this is totally like new open Apple,
[20:09.000 --> 20:14.000]  you know, Tim Cook, you know, era where they even said
[20:14.000 --> 20:17.000]  when they revealed this initial third party SDK
[20:17.000 --> 20:21.000]  that a full SDK with native apps will be coming later in 2015.
[20:21.000 --> 20:22.000]  Right.
[20:22.000 --> 20:24.000]  The software doesn't run on a watch.
[20:24.000 --> 20:27.000]  The software with the current SDK runs on the phone
[20:27.000 --> 20:31.000]  and just sort of projects a UI on the watch.
[20:31.000 --> 20:32.000]  Right.
[20:32.000 --> 20:33.000]  You can send a notification.
[20:33.000 --> 20:36.000]  They're almost like widgets, I guess, in a way.
[20:36.000 --> 20:38.000]  It's like a small, it's going to be packed into the iPhone app.
[20:38.000 --> 20:39.000]  Yeah.
[20:39.000 --> 20:42.000]  I, you know, I feel like it's almost new territory.
[20:42.000 --> 20:45.000]  The closest thing though would be something like, you know,
[20:45.000 --> 20:48.000]  to call it something like a widget, like a widget that you project.
[20:48.000 --> 20:50.000]  But then I feel like there's got to be a little,
[20:50.000 --> 20:55.000]  not got to be, but almost certainly going to be a little bit more sort of
[20:55.000 --> 21:01.000]  blessed partner third parties who are working with Apple
[21:01.000 --> 21:06.000]  and will have things that aren't in that public SDK,
[21:06.000 --> 21:09.000]  but are a little bit more like if you, you know,
[21:09.000 --> 21:12.000]  are inside, if you've been embraced by Apple,
[21:12.000 --> 21:16.000]  if they've asked you to send a guy or a team to spend three weeks
[21:16.000 --> 21:19.000]  in Cupertino that you're going to have a little bit more tighter integration
[21:19.000 --> 21:20.000]  with the watch.
[21:20.000 --> 21:21.000]  Right.
[21:21.000 --> 21:22.000]  Just to demonstrate it.
[21:22.000 --> 21:25.000]  And I haven't looked at the SDK nor if I did what I really have a great
[21:25.000 --> 21:29.000]  understanding of it, but like something like having access to the music
[21:29.000 --> 21:32.000]  that you can store on the watch, like is that available to third parties?
[21:32.000 --> 21:34.000]  Or is it not available to Apple?
[21:34.000 --> 21:35.000]  Okay.
[21:35.000 --> 21:36.000]  Right now it's only available to Apple.
[21:36.000 --> 21:37.000]  The audio playback.
[21:37.000 --> 21:41.000]  And then Marco Arman has been looking into that for the obvious reason
[21:41.000 --> 21:45.000]  that as a podcast app that would be perfectly suited to actually
[21:45.000 --> 21:48.000]  storing some audio on the watch itself.
[21:48.000 --> 21:49.000]  So it's not there yet.
[21:49.000 --> 21:52.000]  So you could see, though, that would be an obvious one for Apple
[21:52.000 --> 21:56.000]  to work with trusted third parties to sort of give them access to it.
[21:56.000 --> 22:00.000]  Maybe it's Spotify or, well, Spotify is sort of a weird one.
[22:00.000 --> 22:01.000]  I don't know how that would work.
[22:01.000 --> 22:03.000]  But something like that, you know, or running app,
[22:03.000 --> 22:06.000]  but some sort of fitness app that can access those.
[22:06.000 --> 22:07.000]  Yeah.
[22:07.000 --> 22:13.000]  And, you know, there were like clearly before the initial event,
[22:13.000 --> 22:18.000]  they had already been talking to some people like Starwood's hotels.
[22:18.000 --> 22:19.000]  Oh, that's right.
[22:19.000 --> 22:22.000]  They said like, hey, you're going to be able to check into any Starwood's
[22:22.000 --> 22:26.000]  hotel and use your watch as your key.
[22:26.000 --> 22:27.000]  Right.
[22:27.000 --> 22:30.000]  And then you get into your room just by putting your wrist up to the door,
[22:30.000 --> 22:32.000]  which is awesome in my opinion.
[22:32.000 --> 22:35.000]  As somebody who very frequently loses his hotel key.
[22:35.000 --> 22:36.000]  Yep.
[22:36.000 --> 22:38.000]  I always demagnetize mine.
[22:38.000 --> 22:40.000]  Like when I put it, I always keep them in my pocket
[22:40.000 --> 22:45.000]  and I have either like a, or I give them to my girlfriend
[22:45.000 --> 22:46.000]  and she puts it in a person.
[22:46.000 --> 22:49.000]  She is an iPad in there and the iPad has the magnetic class
[22:49.000 --> 22:51.000]  and it always demagnetizes the stupid key.
[22:51.000 --> 22:52.000]  So, yeah.
[22:52.000 --> 22:54.000]  And they give me a hard time.
[22:54.000 --> 22:55.000]  I've done that too.
[22:55.000 --> 22:58.000]  But I've done it and I don't keep it in the same pocket as my phone.
[22:58.000 --> 23:01.000]  I keep it in a different pocket and it still doesn't work.
[23:01.000 --> 23:02.000]  I don't know.
[23:02.000 --> 23:04.000]  I think the technology in those things is pretty bad.
[23:04.000 --> 23:05.000]  But I don't know.
[23:05.000 --> 23:08.000]  And when I check into like hotels where I've, you know,
[23:08.000 --> 23:10.000]  been a frequent customer that are like,
[23:10.000 --> 23:12.000]  how many keys do you want three keys?
[23:12.000 --> 23:14.000]  That's right.
[23:14.000 --> 23:18.000]  Like they got me in the file that I need extra keys.
[23:18.000 --> 23:20.000]  So the idea that you'd be able to do it,
[23:20.000 --> 23:22.000]  but that's clearly something that if they're going to announce it
[23:22.000 --> 23:25.000]  at the event, they would have partners lined up in advance.
[23:25.000 --> 23:29.000]  And you think that also it gives them a sort of a natural way
[23:29.000 --> 23:34.000]  to do a little bit deeper dive into Apple Pay where it's at right now,
[23:34.000 --> 23:37.000]  you know, sort of the six month check-in or something
[23:37.000 --> 23:40.000]  and then also to show it on the Apple Watch actually working.
[23:40.000 --> 23:44.000]  Obviously that seems like it's already been a pretty big success for them
[23:44.000 --> 23:46.000]  and will continue to be so.
[23:46.000 --> 23:48.000]  And so that's another obvious thing that they would do
[23:48.000 --> 23:50.000]  at such an event I would imagine.
[23:50.000 --> 23:52.000]  Yeah, I think, and it's,
[23:52.000 --> 23:56.000]  Apple Pay is sort of an interesting thing for Apple.
[23:56.000 --> 23:59.000]  And to me, in terms of how much emphasis they're putting on it.
[23:59.000 --> 24:02.000]  And it's sort of like, to me, it's sort of like what we were talking about
[24:02.000 --> 24:06.000]  just a couple minutes ago with the App Store and iTunes Store where
[24:06.000 --> 24:08.000]  they're not making a ton of money on it.
[24:08.000 --> 24:12.000]  They're only making, you know, fraction of very fraction of a 1%
[24:12.000 --> 24:14.000]  on each transaction.
[24:14.000 --> 24:16.000]  It's a small amount per transaction.
[24:16.000 --> 24:17.000]  Right.
[24:17.000 --> 24:20.000]  But it's just about getting entrenched and having, you know,
[24:20.000 --> 24:24.000]  if once you get used to it, you don't want to not have an iPhone anymore
[24:24.000 --> 24:27.000]  because, you know, then you don't have Apple Pay and it just,
[24:27.000 --> 24:32.000]  it just is another way to sort of sink their teeth into people's daily lives.
[24:32.000 --> 24:36.000]  Yeah, you know, the money isn't anything that sneezed at, you know, it's not bad.
[24:36.000 --> 24:37.000]  No.
[24:37.000 --> 24:40.000]  It's a great moat is what, you know, what it starts out as.
[24:40.000 --> 24:44.000]  And then, over time, much like you said, like with the App Store,
[24:44.000 --> 24:47.000]  if they can get to an interesting sort of transaction volume,
[24:47.000 --> 24:49.000]  which they're already well on their way to doing,
[24:49.000 --> 24:51.000]  they're going to be making a lot of money off of that.
[24:51.000 --> 24:56.000]  And they can also, of course, renegotiate the fees with the, with the
[24:56.000 --> 24:58.000]  ranking partners to get a little bit more money off of it.
[24:58.000 --> 25:01.000]  I think they have a lot of sort of wiggle room there to be able to
[25:01.000 --> 25:06.000]  make that into a really, really interesting business if they can get it to a scale.
[25:06.000 --> 25:07.000]  Yeah.
[25:07.000 --> 25:14.000]  And I just firsthand, I've, you know, a month ago, I, I got a
[25:14.000 --> 25:20.000]  the latest model Moto X just to sort of, you know, do the every year or two,
[25:20.000 --> 25:23.000]  you know, what's it like to live with the latest and greatest Android?
[25:23.000 --> 25:28.000]  And one of the, to me, weirdest things is, and, you know,
[25:28.000 --> 25:32.000]  been trying to, when I'm using it, the days I'm using it, I try, you know,
[25:32.000 --> 25:35.000]  leave the iPhone at home, just take the Moto X.
[25:35.000 --> 25:40.000]  The single weirdest thing to me out of, well, there's two things that are really
[25:40.000 --> 25:45.000]  where one is not having eye message is really awful because there's so many
[25:45.000 --> 25:48.000]  people now who I, because I don't get text messages anymore.
[25:48.000 --> 25:49.000]  They're all eye message.
[25:49.000 --> 25:53.000]  So my phone is the one going off my phones and, you know,
[25:53.000 --> 25:58.000]  iPad are going off at home with the blue messages while my Moto X,
[25:58.000 --> 26:02.000]  which has a different SIM card, you know, isn't getting these messages.
[26:02.000 --> 26:04.000]  And the second one is Apple Pay.
[26:04.000 --> 26:07.000]  Like, every time I go to Whole Foods with that Moto X in my pocket,
[26:07.000 --> 26:11.000]  I take it out of my pocket and then realize, oh, I actually have to go back
[26:11.000 --> 26:12.000]  and use my credit card.
[26:12.000 --> 26:16.000]  Like, it's actually become a habit where I take the phone out before I even
[26:16.000 --> 26:18.000]  remember that, oh, I'm walking around with the Moto X.
[26:18.000 --> 26:19.000]  I can't use it.
[26:19.000 --> 26:23.000]  So that's interesting for me to hear because being over here right now
[26:23.000 --> 26:25.000]  where I am in London, it's not actually live yet.
[26:25.000 --> 26:28.000]  I think it might be testing in a few places, but I don't, I even
[26:28.000 --> 26:30.000]  gone around and I haven't used it here.
[26:30.000 --> 26:31.000]  I haven't seen it really anywhere.
[26:31.000 --> 26:34.000]  It might be, it might be starting to roll out at a few drug stores,
[26:34.000 --> 26:37.000]  or they may have that sort of hack thing, you know, where it will work with
[26:37.000 --> 26:41.000]  another NFC reader, but it's not officially supported yet.
[26:41.000 --> 26:44.000]  And so the only times that I've gotten to use it has been when I'm back
[26:44.000 --> 26:46.000]  in San Francisco for work.
[26:46.000 --> 26:49.000]  And so I've only gotten to use it probably three times or something.
[26:49.000 --> 26:54.000]  And it's definitely, you know, it's all it was cracked up to be in my mind.
[26:54.000 --> 26:58.000]  It's, you know, just sort of a magical experience, which it almost
[26:58.000 --> 27:02.000]  seems like it's a little bit crazy when you use it for the first time because
[27:02.000 --> 27:06.000]  it's like, did I, you know, do I, are you sure I don't need to do anything else
[27:06.000 --> 27:10.000]  and sort of the cashier still ask you like, yeah, I think, I think you're good.
[27:10.000 --> 27:14.000]  It's still that early stage period of the thing.
[27:14.000 --> 27:16.000]  But so you use it regularly.
[27:16.000 --> 27:21.000]  And that's good to hear that it's, it's sort of already in your daily flow.
[27:21.000 --> 27:24.000]  Where do you go besides Whole Foods that sort of uses it?
[27:24.000 --> 27:26.000]  There's like, I know there's Walgreens and some other bigger stores,
[27:26.000 --> 27:31.000]  but do do any like smaller things use it that you regularly?
[27:31.000 --> 27:36.000]  The smallest are the cabs, the taxis and Philly that have,
[27:36.000 --> 27:41.000]  and that's a perfect example of the sort of unofficial support for it,
[27:41.000 --> 27:44.000]  where they have these, it doesn't have an Apple Pay logo.
[27:44.000 --> 27:48.000]  It just has a, you know, stick your phone and at the terminal logo.
[27:48.000 --> 27:49.000]  Right.
[27:49.000 --> 27:52.000]  And it works there.
[27:52.000 --> 27:54.000]  And that was a total surprise to me.
[27:54.000 --> 27:57.000]  Cause I know I'd read those stories that said, you know,
[27:57.000 --> 28:02.000]  just about any place that says you can pay by your phone, Apple Pay will work.
[28:02.000 --> 28:07.000]  And it's, it just in particular, it's, it's so much more convenient.
[28:07.000 --> 28:10.000]  Cause a lot of times when I'm in a cab, I've got my phone out because I'm bored
[28:10.000 --> 28:13.000]  while I'm riding in the cab and I'm, you know, on the phone.
[28:13.000 --> 28:18.000]  And digging your wallet out while you're in the backseat of a cab is such a pain.
[28:18.000 --> 28:23.000]  You know, it's like you're sitting there like a contortionist trying to get your stuff out and you don't want.
[28:23.000 --> 28:28.000]  And if you can just stick your phone at the thing, it's super great.
[28:28.000 --> 28:31.000]  And then it just gives you like a thing, like what percent tip do you want to give?
[28:31.000 --> 28:33.000]  Do you want to give 18 percent?
[28:33.000 --> 28:34.000]  Yes, boom, done.
[28:34.000 --> 28:36.000]  And then you're out of the cab.
[28:36.000 --> 28:41.000]  And maybe it gives cabs a, you know, a fighting chance against things like Uber and Lyft and whatnot.
[28:41.000 --> 28:45.000]  Cause I have the problem where I have multiple times sadly enough.
[28:45.000 --> 28:49.000]  I take Uber so much that I will get out of a cab without realizing I have to pay.
[28:49.000 --> 28:56.000]  And it's very awkward and it seems like I'm, I'm sort of crazy or, I don't know what.
[28:56.000 --> 28:58.000]  But yeah, trying to scam them.
[28:58.000 --> 28:59.000]  Yeah.
[28:59.000 --> 29:00.000]  Yeah.
[29:00.000 --> 29:03.000]  No, that's, you know what, that's the same sort of convenience though.
[29:03.000 --> 29:09.000]  Like Uber, Uber is to taxis what Apple pay is to credit cards.
[29:09.000 --> 29:17.000]  I mean, it's, you get used to that increase level of convenience and you forget, you know, it's, it's hard to go back.
[29:17.000 --> 29:18.000]  Definitely.
[29:18.000 --> 29:23.000]  It's like trying to go back to, you know, an outhouse after you've had indoor plumbing.
[29:23.000 --> 29:26.000]  That's a good analogy.
[29:26.000 --> 29:27.000]  I like that.
[29:27.000 --> 29:28.000]  Or so I would imagine.
[29:28.000 --> 29:29.000]  Right.
[29:29.000 --> 29:30.000]  Right.
[29:30.000 --> 29:33.000]  And back in the 1800s when I remember, right.
[29:33.000 --> 29:41.000]  Let me take a break and thank our first sponsor, our first sponsor is, once again, our good friends at Fracture.
[29:41.000 --> 29:46.000]  Their website is FractureMe.com.
[29:46.000 --> 29:47.000]  You guys know Fracture.
[29:47.000 --> 29:48.000]  I've talked about them before.
[29:48.000 --> 29:57.000]  These are the guys who you send them your photos and they print them directly on glass.
[29:57.000 --> 30:00.000]  How they do it, they've got like some kind of proprietary technology.
[30:00.000 --> 30:04.000]  They don't print them on paper and then put them in a frame underneath glass.
[30:04.000 --> 30:07.000]  They print them directly on the glass.
[30:07.000 --> 30:11.000]  And then they mail them back to you and these really clever little cardboard kits that
[30:11.000 --> 30:16.000]  are self-contained things that you can either use as a prop stand.
[30:16.000 --> 30:20.000]  Like if you want to put the photos on your desk or if you want to hang them on a wall,
[30:20.000 --> 30:23.000]  they've got a thing on the back where you can put the hook.
[30:23.000 --> 30:25.000]  But it's all self-contained.
[30:25.000 --> 30:30.000]  So when they send them back to you, you don't have to go and buy a frame and put the Fracture prints
[30:30.000 --> 30:33.000]  in a frame, go to Ikea and get frames and stuff like that.
[30:33.000 --> 30:34.000]  You don't have to do anything.
[30:34.000 --> 30:38.000]  What they send you is ready to hang on your wall, ready to put on your desk.
[30:38.000 --> 30:41.000]  And they look awesome.
[30:41.000 --> 30:47.000]  I say this all the time that it's, to me, it's like when they, with the iPhone 4,
[30:47.000 --> 30:54.000]  when they first started laminating the LCD screen, the LED screen to the touch screen.
[30:54.000 --> 30:58.000]  And it looked like the pixels were right on the glass instead of under the glass.
[30:58.000 --> 31:04.000]  That's exactly what prints from Fracture look like, except that it's completely analog.
[31:04.000 --> 31:07.000]  It's not, you know, a gadget.
[31:07.000 --> 31:10.000]  But that's the equivalent for printed pictures.
[31:10.000 --> 31:12.000]  Really, really good.
[31:12.000 --> 31:13.000]  They're a great gift idea.
[31:13.000 --> 31:18.000]  They're a great way to do things like Marco Arman's idea where he prints.
[31:18.000 --> 31:21.000]  He makes Fracture prints square ones of all of his apps.
[31:21.000 --> 31:25.000]  If you have apps, if you make apps, make some Fracture prints of your apps.
[31:25.000 --> 31:29.000]  And you can use those as touch keys that you give out.
[31:29.000 --> 31:32.000]  Promotional giveaways or whatever.
[31:32.000 --> 31:34.000]  Just an amazing, amazing stuff.
[31:34.000 --> 31:43.000]  If you're going to get your pictures printed, I can't imagine why you do it any other way than actually just sending them to Fracture and doing it that way.
[31:43.000 --> 31:45.000]  I am all over my house.
[31:45.000 --> 31:48.000]  I can't even count how many Fractures we've got in the house now.
[31:48.000 --> 31:53.000]  It's pretty much all the pictures from the last few years that we have hanging up are Fracture prints.
[31:53.000 --> 31:56.000]  Really, really good.
[31:56.000 --> 32:02.000]  You can save five bucks off your first order if you use this code, Daring Fireball.
[32:02.000 --> 32:04.000]  All one word, Daring Fireball.
[32:04.000 --> 32:08.000]  Use that code and you will save five bucks.
[32:08.000 --> 32:11.000]  And the prices are already really, really good.
[32:11.000 --> 32:15.000]  So go to FractureMe.com.
[32:15.000 --> 32:20.000]  Get some prints and use this code Daring Fireball when you check out and you'll save five bucks.
[32:20.000 --> 32:23.000]  So my thanks to Fracture.
[32:23.000 --> 32:31.000]  What I like about their site is that they compare, they show you the sizes and the comparison is always a Campbell Soup container.
[32:31.000 --> 32:33.000]  It's like it is good.
[32:33.000 --> 32:36.000]  Sort of a random but interesting way to compare.
[32:36.000 --> 32:37.000]  Yeah.
[32:37.000 --> 32:40.000]  And because it's like a universal everybody knows how big a can of soup is.
[32:40.000 --> 32:41.000]  Yeah.
[32:41.000 --> 32:42.000]  I like that.
[32:42.000 --> 32:45.000]  Yeah. If you use a hand, I mean some people's hands are really bigger than others.
[32:45.000 --> 32:46.000]  Yeah.
[32:46.000 --> 32:47.000]  That's true.
[32:47.000 --> 32:52.000]  So Apple's financial results.
[32:52.000 --> 32:55.000]  Two of the points that really stick out to me.
[32:55.000 --> 32:56.000]  One is China.
[32:56.000 --> 33:01.000]  And it's clearly a huge source of growth.
[33:01.000 --> 33:07.000]  And one of the things that I've been thinking about with that in eight years in to the iPhone era.
[33:07.000 --> 33:12.000]  In the early years, it's stuck, it stood out a lot more.
[33:12.000 --> 33:18.000]  But it still is an issue is the carriers, the carrier support.
[33:18.000 --> 33:28.000]  And the growth of the iPhone in the early years, I think was clearly largely constrained by the number of carriers, you know, and especially around the world.
[33:28.000 --> 33:35.000]  I mean, it wasn't until was it 2010 or 2011 when Verizon first got the iPhone?
[33:35.000 --> 33:37.000]  I think 2011.
[33:37.000 --> 33:38.000]  But yeah.
[33:38.000 --> 33:40.000]  But it was, you know, it was a couple of years, even in the US.
[33:40.000 --> 33:44.000]  But at the very least, if you wanted an iPhone in the US, it wasn't hard.
[33:44.000 --> 33:45.000]  You could switch.
[33:45.000 --> 33:50.000]  You know, if you were on Verizon or on Sprint or T-Mobile or something, you'd have to switch to AT&T.
[33:50.000 --> 33:55.000]  But, you know, say what you want about AT&T, at least they are a nationwide carrier.
[33:55.000 --> 33:58.000]  So everybody could get an iPhone if you wanted an iPhone.
[33:58.000 --> 34:01.000]  But around the world, it was a huge issue.
[34:01.000 --> 34:11.000]  Like, growth in Japan was clearly constrained because they were only on like the third biggest carrier in Japan for a long time.
[34:11.000 --> 34:20.000]  And China was a similar issue, whether they weren't on the biggest national carrier in China until fairly recently.
[34:20.000 --> 34:23.000]  Yeah, I think it's almost been just about a year, right?
[34:23.000 --> 34:28.000]  I think it's almost coming up on a year that China-Mobile has been with them, yeah.
[34:28.000 --> 34:35.000]  And as much as everybody, you know, and I, you know, I think the bigger screen size is especially in Asia.
[34:35.000 --> 34:42.000]  I mean, Tim Cook even called it out that it definitely varies by geography, how much, you know, the mix between six and six plus.
[34:42.000 --> 34:44.000]  It varies around the globe.
[34:44.000 --> 34:56.000]  I don't think it's any secret that in Asia and China and Korea and, you know, in those countries that the six plus is more popular than it is in other countries.
[34:56.000 --> 35:00.000]  So the big screen size is definitely part of it.
[35:00.000 --> 35:05.000]  But I think just the fact that it's available is almost overlooked.
[35:05.000 --> 35:06.000]  Yeah.
[35:06.000 --> 35:17.000]  What I find fascinating about that, like at the highest level is Apple, you know, there was, there was definitely some questions when they were moving into the Chinese market.
[35:17.000 --> 35:18.000]  Would they be able to compete?
[35:18.000 --> 35:19.000]  Would they be able to succeed?
[35:19.000 --> 35:25.000]  It's a high-end product, you know, the difference in sort of buying power versus the United States.
[35:25.000 --> 35:30.000]  And all that kind of stuff, and, you know, subsidies and all that.
[35:30.000 --> 35:38.000]  But now that it's clear that Apple's business is doing very well in China and growing very quickly.
[35:38.000 --> 35:47.000]  All of, you know, the sort of other tech companies that they're, that they're stacked up against in the United States, you know, that they're compared to, of course.
[35:47.000 --> 35:55.000]  Google and Facebook and, you know, even Twitter and some of these other things that are just hot properties right now.
[35:55.000 --> 35:58.000]  Most of them have no business in China, right?
[35:58.000 --> 36:14.000]  And Apple has a giant, massive business that a lot of their competition or what is viewed or often, you know, mentioned in the same breath as them, as their competition just doesn't really have that opportunity at all.
[36:14.000 --> 36:25.000]  Yeah, I completely agree. And this is another case where, to me, Apple has been, if you're paying attention, very forthcoming about it for years now.
[36:25.000 --> 36:36.000]  I would say at least during the entire Tim Cook era, like since Steve Jobs stepped down to CEO and Tim Cook took the reins.
[36:36.000 --> 36:50.000]  I feel like quarter after quarter after quarter, Tim Cook has always made mention of China, even before China became, it was almost like we're, you know, his, he kept and continues to keep mentioning their growth in China.
[36:50.000 --> 36:51.000]  Yeah.
[36:51.000 --> 36:58.000]  And it's, you know, again, it goes against the idea that Apple is super secretive. They've, they've been very forthcoming about it.
[36:58.000 --> 37:06.000]  Now it's, I feel like they're at the point where it's, everybody's talking about it because it's gotten to be an enormous part of their business.
[37:06.000 --> 37:19.000]  Yeah. And I wonder if part of that is just honestly because, you know, when he was in still in charge of operations, he would go over there. I mean, that's where, that's where all the operations were, you know, the majority of the operations were happening.
[37:19.000 --> 37:33.000]  You know, while China was always interesting to people because of course there's a billion and a half people there. It's the most populous country and everyone knew that it was sort of coming online and becoming more prosperous and sort of becoming more affluent.
[37:33.000 --> 37:50.000]  You know, maybe his time on the ground there, he just knew like, no matter what, we have to figure this out and we need to do what it, what it takes to sort of crack this market because eventually we will saturate the United States market and the European market, you know, not as big already.
[37:50.000 --> 37:59.000]  And so where are we going to find that growth and they are positioned better than anyone right now to be able to exploit that.
[37:59.000 --> 38:14.000]  The, this is right from Apple's press release on their, their results international sales accounted for 65% of the quarters revenue. So exactly, almost exactly two thirds of the revenue is outside the US now.
[38:14.000 --> 38:23.000]  And that's a big time, right? It used to be under, it used to be under 50% and then it was hovering around 50% and now it's two thirds or whatnot.
[38:23.000 --> 38:36.000]  Definitely is way up and a big change. Years ago, many years, let's say back before, especially before the iPhone existed like in the first half of the last decade.
[38:36.000 --> 38:53.000]  The mobile market around the world was very unevenly distributed where blackberry had a huge share of the US and was almost non existent elsewhere. And eventually, before blackberry sort of imploded, they did get popular around the world.
[38:53.000 --> 39:07.000]  But I'm saying, you know, 10 years ago, blackberry was almost like a US centric phenomenon. And like Symbian was a European and Asian phenomenon and had no almost no footprint in the US.
[39:07.000 --> 39:21.000]  It was huge in Europe and in Asia and almost non existent in the US. There weren't any major carriers that had Symbian phones and under the US, you know, the companies that sold phones and the US carriers made Symbian phones.
[39:21.000 --> 39:39.000]  It was weird. And I always thought that Apple was a little, not quite as totally US centric as blackberry was then, but it was similar though, where the US was much, much stronger for Apple selling computers.
[39:39.000 --> 39:59.000]  Yeah, well, it's the rest of the world. It's not directly comparable, I guess, because obviously, blackberry was big with business users, big in Washington, big on Wall Street. But it's the market was still the more affluent market, right? And so they both sort of track to that market for a long time.
[39:59.000 --> 40:24.000]  Yeah. And I wonder too, as time goes on, I mean, you know, Apple is always going to be a US company. I mean, it's, you know, I would say in a grand scheme of things famously that they're rather, you know, in terms of like, you know, they have some remote employees, but in general, if you work for Apple, you're working in Cupertino, if you're working on product development, you know, hardware software.
[40:24.000 --> 40:37.000]  They don't really have, you know, the yes, they have, they've just started a Seattle office. They've had like a, I think the I works team has been in Pittsburgh for a long time. So there's some people who, and there's individuals who can get an exception and work remotely.
[40:37.000 --> 40:45.000]  But for the most part, people work there. It's always going to be a US company. The culture is very California centric.
[40:45.000 --> 41:02.000]  You know, I think that stamping, you know, designed by Apple and California on all their devices is actually very honest. It's, that's who the company is. But I do wonder as time goes on, how much, you know, we're spoiled. Well, you're in London now, so I don't know.
[41:02.000 --> 41:20.000]  But I mean, I've always felt like I'm spoiled because everything comes out in the US on day one as well. But I wonder how much, you know, at what point will like China be on like the day one list for iPhone because, you know, it's clearly close enough that it made a big difference in the quarter.
[41:20.000 --> 41:34.000]  You know, I agree. I mean, yeah, they, and they, I think they talked about that even in the release or so, because it was, it was two weeks later or something like that that it that the iPhone came out in China. So it wasn't day one, but it was sort of the second wave, I think.
[41:34.000 --> 41:43.000]  And I actually think about that a lot when I was moving over here. I'm like, God, I'm going to have to wait like a long time to, you know, get, get sort of the new products when they come out.
[41:43.000 --> 41:56.000]  But London's now, you know, sort of day one, they had the, the new iPads came out the same thing. You know what this reminds me of though, I think this, this tracks with sort of the, what Hollywood's going through as well, right.
[41:56.000 --> 42:04.000]  So for a long time, movies were released first in the US and then, then they would go abroad like over a long period of time, sometimes months.
[42:04.000 --> 42:31.000]  Now, increasingly, they're tracking much closer to the US release date. In some cases, they get released abroad before they get released in the US. And sort of to the, to the point I think you're getting at, which is, in Hollywood, increasingly, of importance is the Asian markets for making the, the actual money like, you know, the box office in the US is now often a minority piece of the pie compared to what they make overseas.
[42:31.000 --> 42:55.000]  And so you're starting to see movies like Transformers and things that are more catering towards Asian audiences. And I do wonder like, you know, when, when that happens with Apple when the tip happens fully that sort of the, either the Asian markets or a combination of, of Asia and some other, you know, areas around there end up being bigger than the US.
[42:55.000 --> 43:12.000]  Like, do they change the, the company in any way to make it more focused on that region? Do they do sort of specific devices? I think we talked about this way back when that like, you know, in order to sell an iPhone in China, they would have to do like a special version of it or whatnot.
[43:12.000 --> 43:26.000]  And then it, the notion was always that they would never do that. They would always just have sort of, while they could, while they change up the technology inside for the different carriers or whatever, they would always, they would never stray from having sort of a streamlined product line that's offered around the world.
[43:26.000 --> 43:52.000]  But does that change at all if China becomes like 75% of the business like in the future say, I don't know. I don't know either, but it's, you know, the fact that it's within two weeks is remarkable. And, you know, again, I think it's a combination of, of multiple factors. I think it's the fact that they're now on, you know, the major carrier in China, which makes a huge difference in terms of how many people can get it.
[43:52.000 --> 44:07.000]  The fact that China's economy is, is growing and that there's an ever increasing number of Chinese citizens who have the kind of income that they could buy an iPhone. I mean, clearly I'm a majority of people in China can't.
[44:07.000 --> 44:20.000]  Right. No, no argument there. But there's a, you know, take any percentage of how many billion people there are in China. And if, you know, 10% or something like that is a huge number of people.
[44:20.000 --> 44:35.000]  Yes, after US already. That's right. Great. It's, it's just enormous. I think that they reported that they did, you know, they called the brick countries Brazil, Russia, India, China, which is where because they're very, they're all very different.
[44:35.000 --> 44:47.000]  But it's more or less for countries with a ton of people and, you know, wide income disparity, I guess. Yeah, that they're doing well in all four of those countries.
[44:47.000 --> 44:58.000]  Yeah, I would, I even looked into it, but I would imagine that. So India is probably the farthest behind that seems to be the case with, you know, basically everything because they're, while they also have a billion people there.
[44:58.000 --> 45:13.000]  And I think they would, I think they're on pace to eventually eclipse China in terms of population. But while they do have a billion people right now, well over a billion people right now, the society is quite different there.
[45:13.000 --> 45:26.000]  And, you know, it's still, the iPhone is still viewed as a way out of reach for most people whereas in China, you know, there's a, there's, as you mentioned, there's a growing segment of the population that can and is buying the iPhone right now.
[45:26.000 --> 45:42.000]  Yeah, and I think, I think in broad strokes, that's exactly right that India, it might be growing faster population wise, but that the economy is nowhere near as strong as China's in terms of a growing, you know, western style middle class.
[45:42.000 --> 45:55.000]  And that's what, Xiaomi, right, is going after India is like their big focus because they know that they have an opening there that Apple probably can't go after at least any time in the, you know, next couple of years or something.
[45:55.000 --> 46:09.000]  Right, I totally agree. And I think that they have a great opportunity, but I feel like all of the, and you still see it, you still see it where it's, you know, when Xiaomi comes out with something and it's, what does it mean for Apple, how can Apple compete?
[46:09.000 --> 46:25.000]  To me, they're a huge problem for Samsung and for all the other hand, Android handset makers and not that they're irrelevant to Apple, but it's, it's all in that segment underneath what Apple is targeting.
[46:25.000 --> 46:38.000]  That's right. I mean, just look at what, what has happened to Samsung, they've been, while they're, you know, they're still making a lot of money, their growth has been just, just totally eaten into and likely by Xiaomi and Apple, of course.
[46:38.000 --> 46:50.000]  At the, at the top end, but they're being squeezed, you know, not unlike Microsoft has squeezed in the US from sort of, you know, Chrome OS on the low end and, and, you know, MacBook still sales rising.
