[00:00.000 --> 00:04.580]  I can't believe it took this long to get you on my show. I was on like two years ago
[26:46.640 --> 26:51.900]  But it is a way it's it in so many ways it's such a tougher call than any previous year
[26:52.200 --> 26:57.880]  Yeah, I mean I talked one of my friends into a max and I talked another one of my friends out of a max
[26:59.080 --> 27:05.520]  And the arguments were exactly the same right? Like I was like, it's really big but the battery is pretty good
[27:05.520 --> 27:11.040]  But it's really big and one friend was like wow, man gotta get the max then and the other friend was like, ah, it's huge
[27:11.880 --> 27:14.680]  It was was the same. So I think that's good
[27:14.680 --> 27:20.800]  I agree with you that the the difference on the plus camera was never enough to sell the size, right?
[27:21.000 --> 27:26.720]  It was tempting open and it was always an irritant like like like a piece of sand caught in my eye
[27:26.720 --> 27:30.880]  You know, I mean like that. I knew that I was getting a slightly lesser camera
[27:30.880 --> 27:34.160]  But it wasn't enough to motivate me to do it. Do you take a lot of video on your phone?
[27:34.160 --> 27:40.660]  I don't but I'm I'm trying to now and and it I realized that I've been
[27:41.360 --> 27:43.360]  for some
[27:44.440 --> 27:50.000]  Inexplicable reasons stingy about shooting video on like family vacations, etc
[27:50.000 --> 27:55.800]  You know the just the typical things that you do not not like work-related not stuff. I meant to mean to show but that
[27:57.760 --> 27:59.760]  And it's funny because
[28:00.440 --> 28:02.440]  like so my son is
[28:02.440 --> 28:08.660]  14 he's in ninth grade and in the early years of his life. It was sort of the
[28:09.240 --> 28:15.940]  The flip era, you know where we had like these these little dedicated video cameras that were so small
[28:15.940 --> 28:23.280]  and I shot more video then because I had a flip than I do now with an iPhone even though the iPhone is like
[28:23.920 --> 28:29.240]  Ten times a hundred times better technically. Yeah, and it there's a certain aspect of me
[28:29.240 --> 28:36.720]  That's stingy about shooting video. And and so like last year I had the 200 I bought the 256 gigabyte iPhone 10
[28:36.720 --> 28:43.180]  And I checked before ordering like hey, which one should I buy 256 or 512 and my phone was only at like?
[28:44.300 --> 28:47.520]  140 150 gigabytes, so I had tons of space left
[28:48.560 --> 28:51.680]  It's not like it's not like I'm running out of space and can't shoot the video
[28:53.600 --> 28:57.400]  But so I'm trying to I'm trying to shoot more video but I don't shoot a lot
[28:57.400 --> 29:01.760]  And there's like a part of me that is like trained to think hey video will suck up all your storage
[29:02.240 --> 29:05.360]  It's I don't you so I'm with you. I don't shoot nearly enough. I
[29:06.360 --> 29:10.300]  I'm not worried about storage. That's I can't figure it out. And so
[29:10.920 --> 29:14.840]  My kid is five months old. Her name is max, by the way, I'm
[29:15.400 --> 29:17.400]  Literally never gonna forget Apple for this
[29:18.680 --> 29:20.920]  And what I've noticed is
[29:20.920 --> 29:27.000]  My instincts are photography. I take photos of her. I edit photos and I take
[29:27.640 --> 29:30.280]  Hundreds of photos like if I was worried about storage
[29:30.280 --> 29:36.460]  I would be screwing myself because I can't stop taking photos of her. Yeah, and my wife takes videos of her
[29:36.460 --> 29:41.920]  Yeah, she has an iPhone 10 and my and I just like it never really clicked that we think differently
[29:41.920 --> 29:47.220]  Yeah, and now I realized my wife takes video by default. That's actually the first thing she goes to do
[29:47.220 --> 29:50.900]  so like we were on vacation and like she turns on her
[29:51.460 --> 29:55.100]  Camera and like takes a long video of wherever we are and like sends it to her mom
[29:55.180 --> 29:58.460]  Yeah, and like and I'm like I watch I'm like, why would you do that?
[29:58.940 --> 30:02.540]  But you know, it's like a difference in preference, but it's amazing to me that
[30:03.580 --> 30:09.980]  some some people's default is I'm gonna shoot video and then I look back I'm like, you know the
[30:11.020 --> 30:16.620]  Gigabytes of media we've collected of this small human being and I love the photos I've taken I'm like
[30:16.620 --> 30:21.380]  Oh, I should take way more video. And the only thing that bridges the gap is like they're all live photos
[30:21.380 --> 30:22.940]  Yeah, so I get a little bit of it
[30:22.940 --> 30:29.700]  But I'm like, I'm actively trying to train myself to take more video. I am exactly the same as a better
[30:29.700 --> 30:36.340]  I'm exactly in the same boat and the difference to me is that when when Jonas when my son was five months old
[30:36.340 --> 30:39.860]  I had this flip camera that only took video, right?
[30:39.860 --> 30:44.440]  Yeah, and so there was nothing else to do other than to take video
[30:44.440 --> 30:49.540]  And so that's why I had more video and I'm exactly like you I have I still take every week
[30:49.540 --> 30:51.980]  I take tons and tons of still photos
[30:51.980 --> 30:59.220]  but my instincts always are to take still photos not video and and the other thing I do and maybe it sounds to me like
[30:59.220 --> 31:02.460]  You and I think exactly like is when I do take video. I'm I
[31:02.980 --> 31:05.380]  There the clips are way too short. Yes
[31:06.380 --> 31:09.900]  It's like I'm holding my breath and it's like as long as I can hold my breath
[31:09.900 --> 31:14.420]  That's how long the clip is. Whereas I think my wife is the same way if my wife takes a video
[31:14.420 --> 31:18.540]  She just lets it run which is the way you suppose you should shoot video. You just let it run
[31:18.540 --> 31:22.980]  You know get lots of b-roll dude. I work with video professionals. I should know this
[31:24.820 --> 31:27.300]  Yet all my video clips like ten seconds
[31:28.100 --> 31:30.820]  Mine are all nine ten or eleven seconds long
[31:30.820 --> 31:35.500]  I'm like wants to watch this and I'm like, you know, my mom can't consume enough video of the kid
[31:35.500 --> 31:37.500]  Yeah, so Becky's sending her like
[31:38.060 --> 31:39.140]  15-minute
[31:39.140 --> 31:43.900]  Adventures. I'm like, what are we doing? It's any of iCloud. It all goes whatever
[31:43.900 --> 31:49.560]  It's I'm I'm trying to be better and I'm gonna get there. I hope you and I can go on this journey together
[31:49.700 --> 31:53.500]  You know, it's interesting is um, I know a bunch of like youtubers
[31:53.940 --> 31:58.580]  Yes, and one of the questions I got which it's really hard for me to
[31:59.300 --> 32:04.580]  Figure out the answer to is the stabilization the video stabilization the iPhone does
[32:04.580 --> 32:11.560]  Often competes with the gimbals like that. Yes. Yes, right and that to me is like
[32:12.260 --> 32:16.900]  You know, my my favorite thing about covering technology and like what the verge does in particular
[32:17.460 --> 32:22.380]  And I think you actually wrote this line today about the democratization of image capture
[32:23.420 --> 32:26.260]  That is to me. That's the heart of the verge right like that
[32:26.940 --> 32:31.920]  We make tools people use the tools tools great culture next generation of tools reflects that culture
[32:31.920 --> 32:38.480]  And it's so interesting to me that we are now at the place where teenagers are asking me about
[32:39.040 --> 32:45.980]  Image stabilization inside of like the world's most advanced smartphone camera because it's competing with their incredibly advanced gimbal
[32:45.980 --> 32:48.880]  And there you can see it in some of these videos. It's
[32:49.400 --> 32:52.680]  Like I'm not enough an expert to like really explain it to people
[32:52.680 --> 32:59.280]  But basically the gimbal tries to stabilize the camera by moving it ever so slightly and that competes with the cameras inbuilt
[32:59.280 --> 33:04.980]  stabilization and so the video jitters that's like is Apple gonna is Apple gonna
[33:05.660 --> 33:11.020]  Implement that setting right like that's a for Apple like a philosophical kind of question
[33:11.020 --> 33:17.940]  Like are you gonna enable people to turn off some of your features that helps most of the world because youtubers exist
[33:17.940 --> 33:26.060]  Yeah, and I honestly don't I couldn't answer that question at all. I actually spoke to someone at Apple and and the iPhone 10s is
[33:26.060 --> 33:33.180]  They actually did take that into consideration and while there's no setting it is it should be better
[33:33.860 --> 33:38.260]  That that the 10 in particular really had some problems
[33:39.020 --> 33:43.140]  exactly what you said when you put it on the gimbal and the gimbal is supposed to do the you know, the
[33:43.820 --> 33:45.500]  steady cam style
[33:45.500 --> 33:50.900]  Stabilization the 10s is supposedly better, you know, it's specifically for that use case
[33:50.900 --> 33:56.740]  I don't know though that it's ideal and they don't have a setting to actually just turn it off and let the gimbal do all
[33:56.740 --> 34:02.980]  The stabilization but yeah, it's a perfect example of a deep philosophical question for Apple
[34:03.420 --> 34:06.100]  but it's also I think a perfect example of
[34:07.100 --> 34:09.460]  just like the world we live in now where
[34:10.140 --> 34:17.500]  you know when whoever is designing the image sensor in the software stack you would never imagine them having to solve the problem of
[34:17.500 --> 34:22.860]  Thousands hundreds of thousands of people are gonna mount our phone on a gimbal
[34:22.860 --> 34:27.060]  Yeah, and that will not only just to make video but because that is their career
[34:27.060 --> 34:30.840]  Yeah, right and like I love that that that's like the thing
[34:31.340 --> 34:38.100]  That's what makes like writing about texting for me is it's it's an emergent behavior. It's a new kind of problem
[34:38.500 --> 34:42.820]  It's all happening in a loop. Like that's the stuff that makes me the most excited. All right
[34:42.820 --> 34:48.780]  Let me take a break here and thank our my first sponsor. It's a hello pillow. H u l l o
[34:49.060 --> 34:56.780]  Have you ever tried a buckwheat pillow? Probably not if you don't have a hello pillow already, but they're totally different than the fluffy
[34:57.580 --> 35:02.220]  Soft pillows that most of us are used to it's very similar to a beanbag
[35:02.580 --> 35:08.580]  Which if you if if you're only thinking about traditional bed pillows, you're gonna think well, that's weird
[35:08.580 --> 35:13.580]  I don't want to sleep on a beanbag, but it's really really great. It supports your head and neck
[35:14.620 --> 35:19.540]  Exactly the way you want to and unlike traditional pillows which collapse under the weight of your head
[35:20.820 --> 35:22.500]  hello
[35:22.500 --> 35:28.160]  Shapes to the shape of your head. It is a very different experience and it buckwheat fill
[35:28.620 --> 35:31.280]  Helps the pillow stay cool and dry
[35:32.220 --> 35:37.340]  All night long so you never have to do the thing like you wake up at like 4 in the morning and you flip your
[35:37.340 --> 35:40.900]  Pillow over because your pillows all hot you never have to do that with a hello pillow
[35:42.940 --> 35:47.020]  It's really a totally different experience and I've we've had them for years
[35:48.260 --> 35:50.780]  My wife can barely sleep without one
[35:50.780 --> 35:57.340]  I she's on the fence of like literally taking it with her when we travel like that is how much she loves it
[35:57.340 --> 36:01.420]  I like it. It is really great and it's so different
[36:01.420 --> 36:08.620]  The other thing too is with a hello pillow like if you're like a two pillow sleeper like with a hello pillow
[36:08.620 --> 36:11.740]  You don't need to do that anymore because it has the same effect
[36:11.740 --> 36:16.360]  Just sort of built in to sort of prop your head up a little bit. It really is amazing
[36:16.980 --> 36:18.980]  it is totally different and
[36:19.460 --> 36:24.820]  They just have it's just it's just really high quality. It's you can open it up
[36:24.820 --> 36:28.260]  You can zip it and you can put take some of it out
[36:28.260 --> 36:31.500]  If it if you feel like it's a little bit too big you just take it out. It's just like a
[36:31.820 --> 36:36.900]  You just take some of the buckwheat out. You can put more in whatever you want to do
[36:36.900 --> 36:41.700]  It's very very easy to adjust if you want a little bit bigger a little bit smaller
[36:42.700 --> 36:44.060]  and
[36:44.060 --> 36:48.200]  Here's the thing. It's very very different from what we're used to here in North America
[36:48.200 --> 36:52.420]  But people have been sleeping on buckwheat pillows for centuries. They've been using Japan
[36:52.940 --> 36:57.060]  Extensively and remain extremely popular there to do to to this day
[36:57.060 --> 37:03.660]  And so it's it's just sort of like bringing something that they've used in Japan and in Asia over here
[37:04.620 --> 37:07.940]  It's really just great now just like everything else
[37:08.620 --> 37:11.120]  You can't try it. It's an internet pillow, right?
[37:11.120 --> 37:13.660]  So you can't like sit there and try it before you buy it
[37:13.660 --> 37:14.540]  You have to buy it first
[37:14.540 --> 37:18.260]  But they know that so you can sleep on it for up to 60 nights
[37:18.260 --> 37:23.180]  And if it's not for you, you just send it back and I'll give you a full refund. No questions asked
[37:23.180 --> 37:28.580]  It's so you you can't lose. So if you're vaguely curious about it, just buy it. Try it
[37:28.700 --> 37:33.540]  You don't like it send it back you get your money back. So here's where you here's what you do to get one
[37:33.540 --> 37:35.700]  Go to hello pillow. It's you. L o o
[37:36.940 --> 37:38.940]  pillow comm
[37:39.120 --> 37:40.820]  talk-show and
[37:40.820 --> 37:44.700]  If you try more than one pillow if you get two or more
[37:44.820 --> 37:49.140]  You'll get a discount of up to 20 bucks per pillow depending on the size you buy
[37:49.140 --> 37:56.340]  Fast free shipping on every order and 1% of all of their profits are donated to the Nature Conservancy
[37:57.140 --> 37:59.140]  So go to hello pillow comm
[37:59.540 --> 38:05.100]  talk-show remember that code talk show when you check out and if you get more than one you'll save up to up to
[38:05.180 --> 38:09.340]  20 bucks per pillow my thanks to hello for sponsoring the show
[38:09.340 --> 38:17.100]  Hello, hello, what a great name. I love that. I love that. It's good. Um, all
[38:19.780 --> 38:25.340]  Right, let's talk about this this camera because we're not gonna make people wait an hour
[38:25.340 --> 38:28.460]  No, let's not make them wait an hour. We've only made him wait 40 minutes. I
[38:30.740 --> 38:35.820]  And and I'll tell you what I have a pixel but I have the pixel one I
[38:35.820 --> 38:39.660]  I'm on like an every other year and I want to get the pixel three
[38:39.660 --> 38:42.380]  I'm looking forward to it, but I skipped the pixel two
[38:42.380 --> 38:48.260]  But I feel like I'm on the wrong schedule because I feel like in hindsight the pixel two is clearly
[38:49.340 --> 38:56.360]  Way more interesting than the pixel one was it especially in terms of the camera? Yes, absolutely agreed
[38:57.420 --> 39:03.460]  You know pixel one did a lot of the same tricks. It was just a less inspired device and I feel like
[39:03.460 --> 39:05.460]  Google
[39:05.980 --> 39:09.020]  Google really understood what they wanted to do with the pixel to you and they did it
[39:10.220 --> 39:12.220]  No one bought it like
[39:12.340 --> 39:14.620]  You know, my review is like the pixel two is better
[39:15.380 --> 39:22.740]  It's like the hard caveat is the real competition is the galaxy s9, right? Like that is Apple's truest competitor and
[39:24.340 --> 39:28.740]  Some people buy the pixel I think for the verge audience
[39:28.740 --> 39:34.140]  They know the pixel exists a lot of them have it. So it's the one we address
[39:34.700 --> 39:36.700]  But it's funny to me
[39:36.700 --> 39:42.980]  Google has done all of this work to make such a compelling device and they just can't seem to turn the corner with it
[39:43.140 --> 39:50.980]  Yeah, that's to me is is and you're right that the verge audience in particular probably has the highest concentration of
[39:50.980 --> 39:58.380]  Pixel awareness. Oh, I got the stats. We have the highest concentration of pixel ownership. I think probably yeah
[39:58.700 --> 40:03.940]  I'm not surprised and it is a great phone and I've described it as an
[40:05.220 --> 40:10.900]  iPhone style phone for people who want to use Android and are
[40:11.620 --> 40:18.100]  primarily interested in Google's services, you know the integration of things like Google photos and
[40:18.100 --> 40:22.660]  You know just everything that Google does if you're in the Google ecosystem for
[40:23.260 --> 40:28.620]  Gmail and and Google photos and everything else that they do, you know calendar and and everything else
[40:29.300 --> 40:33.340]  And I don't even mean that to imply that it's a copy of the iPhone
[40:33.340 --> 40:38.820]  I just feel like it's it's just very obviously an iPhone style phone
[40:39.860 --> 40:41.860]  in a way that
[40:41.860 --> 40:48.740]  It you know that that most Android phones aren't to me most Android phones are Samsung style phones
[40:49.140 --> 40:54.540]  Mm-hmm, you know and and with in terms of just the way just the way that they deal with the displays
[40:54.540 --> 40:58.460]  You know that these displays on you know, if you spend a lot of money on any of these phones
[40:58.460 --> 41:05.460]  You're getting a great display, but the Android ones sort of I don't know Vegas it up. You know, it's it's
[41:06.180 --> 41:08.180]  Right. Yeah
[41:08.180 --> 41:13.940]  If you ever use a Samsung phone for any period of time there's if you're like a
[41:14.860 --> 41:22.060]  Huge nerd there is something extremely delightful about the fact that it just supports everything
[41:22.860 --> 41:29.340]  If you're like, oh, I've encountered an LCD monitor in the wild like I'll just plug my phone into it and it becomes like a computer
[41:30.060 --> 41:35.020]  Right or like, you know, I have this like LG OLED TV and it has some insane
[41:35.020 --> 41:42.420]  The screen mirroring standard and the s9 just like supports it like there's something great about that
[41:42.420 --> 41:48.420]  Right, like it just does everything does it do everything? Well, does that stuff work consistently?
[41:49.140 --> 41:54.980]  No, but is it enormously fun to tinker with like yes, like if you're if you're that kind of person
[41:55.300 --> 41:57.940]  It just rewards you for being like well
[41:57.940 --> 42:02.380]  What the hell else can this thing do and the answer is like honestly, whatever you want, right?
[42:02.380 --> 42:05.220]  like so I appreciate that I think you know Samsung
[42:05.900 --> 42:07.900]  they're trying to have a
[42:08.420 --> 42:14.340]  Identity as a software maker that identity is hopelessly confused where I would go with you is
[42:16.300 --> 42:19.540]  The pixel is spiritually like the the iPhone
[42:19.540 --> 42:19.940]  Yes
[42:19.940 --> 42:26.980]  And I think people listening this podcast would like understand that like it it's what Google wants. It's Google's vision of the phone
[42:26.980 --> 42:32.820]  It's integrated. There's no rough edges or or loose ends. Like it's an integrated device
[42:32.820 --> 42:36.020]  They built to their specifications to run their software
[42:36.020 --> 42:43.140]  But it just in terms of the display and and the camera, you know, which are in some ways different
[42:43.140 --> 42:49.340]  But you know you often look at your photos and videos that you shoot with the camera on the display of the device itself
[42:49.380 --> 42:55.300]  but just the amount of processing and amount of sort of punching up and the amount of you know, like you and I were talking
[42:55.300 --> 43:00.060]  Behind the scenes before we published our reviews about the amount of smoothing that's done. Yeah
[43:00.500 --> 43:05.700]  the the pixel again spiritually is along the lines of the iPhone where it's trying to be
[43:08.660 --> 43:12.300]  Natural whereas the Samsung style which a lot of amps
[43:13.020 --> 43:20.340]  Other Android phones sort of follow is sort of to you know, just punch here just punch here than reality, you know, yeah
[43:21.300 --> 43:23.300]  you know I
[43:23.300 --> 43:25.820]  So here's my I said this to you
[43:25.820 --> 43:29.060]  This is a conspiracy theory that I have and I've thought about it a lot
[43:29.060 --> 43:35.060]  And so it's a little bit more refined than the version. I told you sort of behind the scenes, right? I
[43:36.700 --> 43:40.460]  Think people prefer Samsung photos and a lot of a lot of cases
[43:41.460 --> 43:44.640]  Because they're looking at them on small screens. Yeah, they're not
[43:45.660 --> 43:47.660]  They're not looking at them with a high degree of scrutiny
[43:48.260 --> 43:52.460]  They're just looking at them on their smartphone screen and it particularly really on a Samsung smartphone screen
[43:52.460 --> 43:58.660]  you are rewarded by punchy colors and you know, like they make those look great and
[43:59.780 --> 44:06.460]  If you take a photo of yourself or your friend and the camera just happens to smooth out any imperfection in your skin on your face
[44:07.340 --> 44:09.340]  Like are you unhappy?
[44:09.500 --> 44:15.780]  No, but you know, I mean like right so there's like I think there's a huge break between
[44:15.780 --> 44:22.940]  being accurate and what people prefer and I think Samsung has sold out completely on
[44:23.380 --> 44:27.300]  Let's make what people prefer we and Samsung is a TV maker, right?
[44:27.300 --> 44:31.540]  Like they put the TVs and Best Buy and they crank the brightness all the way up and they sell a shitload of TVs
[44:31.540 --> 44:36.780]  So like what are their phones look like their phones are cranked up super punchy super saturated
[44:37.380 --> 44:39.940]  They're phantasmagoric in colors
[44:39.940 --> 44:45.900]  And what are their photos look like that? The colors are really bright. The skin tones are all smoothed out
[44:46.180 --> 44:50.760]  so I think you can sell out and make things people prefer and I
[44:51.700 --> 44:54.780]  Their photos like in the end. That's a valid right like
[44:55.420 --> 44:58.800]  Great make the thing people like yeah, it's it's all subjective in the end
[44:59.100 --> 45:03.860]  But I think Apple and Google are there they want to be honest brokers of photography
[45:03.860 --> 45:09.100]  they want to say this is true and if you want to go into Photoshop or Lightroom or whatever and
[45:09.100 --> 45:14.980]  Edit this photo you can get to where Samsung is but we're gonna start you at reality, right?
[45:14.980 --> 45:17.340]  and I I just think that pull of
[45:19.060 --> 45:23.220]  Instagram and Facebook and social sharing people are never gonna edit their photos
[45:23.220 --> 45:26.340]  So there's this poll to say well, we'll just pre-edit them for you
[45:26.340 --> 45:31.460]  And when people see the photo on Instagram, they'll say what camera is that and you'll say it s9 and be beautiful
[45:31.460 --> 45:35.540]  I don't think I should get an s92 and like I think that cycle is playing out a little bit
[45:35.540 --> 45:39.540]  I don't know that anyone will ever do as much as Samsung does but I
[45:40.100 --> 45:42.460]  Just kind of feel it. So that's like my conspiracy theory
[45:42.460 --> 45:46.300]  It's like Apple's feeling that pull Google's feeling that pull a little bit to
[45:47.020 --> 45:51.940]  Make the photos better for sharing because they know people aren't gonna edit and they're only in the same on small screens
[45:51.980 --> 45:54.860]  Yeah, I I see that and again
[45:54.860 --> 45:58.340]  I I err on the Apple slash Google side of things
[45:58.340 --> 46:02.980]  Like I want my I want my photos to be more natural and if I want to punch them up
[46:02.980 --> 46:08.540]  I'll punch them up, but I'm not even I well I am passing judgment, but I'm not saying it is
[46:08.580 --> 46:13.300]  I'm not saying it is like bad on one side good on the other it is
[46:13.900 --> 46:21.340]  two versions of good and and I and I think you're right that there definitely are some people and I think the big difference is
[46:23.260 --> 46:27.900]  It is taking into account the the knowledge that people
[46:27.900 --> 46:34.700]  Look at most of their photos only on the phone itself. They'll keep it. They'll feel like I love this photo. This is great
[46:34.700 --> 46:37.300]  I'm gonna heart it. I'm gonna send it. I'm gonna post it to
[46:38.080 --> 46:40.080]  Instagram or share it on Facebook or whatever
[46:40.380 --> 46:42.980]  But it's it's all on the phone
[46:42.980 --> 46:48.340]  no, and even the people they share it with are most likely to only look at it on the phone and
[46:48.660 --> 46:54.500]  That's different when you've got all of these megapixels and it could be so big and still look good
[46:54.500 --> 47:00.900]  But you're only looking at it, you know, and and even on a 6.5 inch diagonal, you know iPhone
[47:01.420 --> 47:05.100]  10s max it that's still very very small for a photograph
[47:06.500 --> 47:10.060]  Yeah, and I think that that that's the reality right now
[47:10.260 --> 47:15.380]  I'm with you like again, my instinct is to take photos and to be very critical of photos and
[47:16.260 --> 47:22.540]  One of the best things I invested in the last year after the kid was born. I signed up for Lightroom CC
[47:22.540 --> 47:28.180]  Which to me has it's taken the place of what the old iPhoto used to do for me in a digital camera
[47:28.340 --> 47:34.180]  Hmm, right. So like now I have a bunch of cameras like real cameras. I take a million photos that go into Lightroom
[47:35.020 --> 47:41.020]  And it it feels I have that feeling of when I first got iPhoto and I had a digital camera where I was like
[47:41.180 --> 47:43.980]  Yeah, I want to like monkey with photos all day long
[47:44.580 --> 47:49.220]  Photos on the Mac the Apple photos on the Mac does not make me feel that way. Yeah at all, right
[47:49.220 --> 47:53.260]  It's like this is kind of messy and slow and weird Lightroom is great. It sinks everywhere
[47:53.500 --> 48:00.220]  so I I'm that guy right like I want to go play with my photos and edit my photos and think about my photos and
[48:00.900 --> 48:04.380]  Look at them on my 27 inch Mac and like print a book out of them and do all that stuff
[48:05.100 --> 48:09.580]  But I don't I don't think most people are that person and so I try to keep that in mind
[48:10.460 --> 48:13.940]  Is you like examine the phone? I will say this I
[48:13.940 --> 48:18.380]  and I actually mean to write about this on during fireball not just talk about it on the
[48:18.620 --> 48:25.900]  On the podcast because it's so good and and I'm with you on that like for editing photos and manipulating them photos
[48:26.300 --> 48:28.140]  It doesn't really do it for me
[48:28.140 --> 48:33.180]  But and I used to be a Lightroom guy and I still have it but I haven't used it in a while
[48:33.180 --> 48:36.900]  Like I love Lightroom. I think I think Lightroom is is
[48:37.540 --> 48:41.960]  Arguably the best thing Adobe has ever done. I think it's a fantastic app. I love it
[48:41.960 --> 48:43.280]  but
[48:43.280 --> 48:50.040]  I've kind of got sucked into photos in just just for the simplicity of the sinking and I yeah
[48:50.040 --> 48:52.040]  I want to say this that
[48:52.160 --> 48:58.480]  For all of the knocks that Apple has gotten over the years for being quote unquote bad at services. I've I've
[48:58.960 --> 49:02.660]  photos I cloud photo syncing has gotten
[49:03.520 --> 49:04.780]  phenomenally good
[49:04.780 --> 49:08.320]  Like and and I noticed it this week in particular
[49:08.320 --> 49:12.120]  because I'm shooting photos with the
[49:12.680 --> 49:17.140]  Two new phones at least at first just to dump, you know, see very, you know
[49:17.160 --> 49:20.840]  To do the verification of are these cameras really exactly the same
[49:21.760 --> 49:22.880]  and
[49:22.880 --> 49:29.320]  I quickly determined. Yes, everything Apple says about these two cameras these two phones having the same camera is definitely true
[49:30.360 --> 49:33.040]  But even so I shot tons and tons of side-by-side
[49:33.040 --> 49:39.240]  photos with the iPhone XS and my old iPhone X to see what the year-over-year difference is and
[49:39.880 --> 49:44.520]  then I'd want to look at them on one of my Macs to see them big and
[49:45.000 --> 49:47.440]  The syncing it has gotten so good
[49:47.440 --> 49:54.640]  it is absolutely ridiculous including and I really want to thank Apple for this is and and that they've really
[49:55.040 --> 49:57.040]  improved the
[49:57.040 --> 50:03.940]  The sort of status message when you go to the photos tab like on your phone and it tells you like, okay
[50:03.940 --> 50:08.080]  you've got 20 photos that are waiting to upload but
[50:09.440 --> 50:11.520]  It's paused to save battery life
[50:11.520 --> 50:17.200]  Would you like to unpause and you can hit the button but like in terms of telling you exactly where you are?
[50:18.320 --> 50:24.960]  You know like this device is 20 photos behind has 20 new photos that haven't been uploaded yet. It is exactly right
[50:24.960 --> 50:27.200]  Whereas when when the iCloud photo?
[50:28.040 --> 50:30.040]  thing first shipped it
[50:30.800 --> 50:37.040]  It was indeterminate and and you'd look at one like if you had two phones side-by-side one would say I had like, you know
[50:38.800 --> 50:41.720]  18,000 537 photos and videos and the other one would say you have
[50:43.320 --> 50:48.600]  18,000 541 and it's like well, why are they not the same? Why what are the four photos?
[50:48.600 --> 50:52.640]  There's four and and it's like you'd look and they're not the most recent ones and it's like oh my god
[50:52.640 --> 50:56.160]  What the hell is missing? How can I make one catch up to the other?
[50:56.960 --> 51:03.560]  Not only is it way more in sync in terms of having the exact same number of photos and videos and telling you exactly how
[51:03.560 --> 51:09.320]  Number when they're not in sync it tells you and I just want to whoever at Apple has been working on that
[51:09.320 --> 51:14.820]  I want to say thank you because it it it made this week way way easier for me
[51:14.920 --> 51:20.540]  You know, it's funny because that's such a concession to the reality of like wireless networks
[51:20.540 --> 51:23.640]  Like, you know when they design it, they're like, no one should ever know
[51:23.960 --> 51:28.320]  It'll just be perfect. And then the reality is like it's never gonna be perfect
[51:28.320 --> 51:31.720]  You should tell people and they're like, you know on a whiteboard somewhere
[51:31.720 --> 51:35.040]  They're like, okay when the 5g iPhone comes out and the networking is perfect
[51:35.040 --> 51:37.820]  We're gonna take this indicator away because then it'll be perfect
[51:39.320 --> 51:44.200]  So we should talk about the actual camera because I you and I have like slightly different takes on it
[51:44.840 --> 51:50.120]  Well, hold on a second. Let me let me let me drop in another sponsor read because that's a great it's a great point
[51:50.120 --> 51:55.240]  We're gonna talk about camera right after this, but let me tell you about this great company trace Pontus
[51:56.160 --> 51:58.160]  trace Pontus is
[51:58.640 --> 52:02.640]  They sell freshly roasted gourmet coffee and it's shipped directly to you
[52:02.640 --> 52:07.640]  And one of the great things about this coffee is it's it's single origin
[52:07.640 --> 52:11.320]  That's you know, you've heard of that before but it's really just one level higher
[52:11.320 --> 52:16.360]  it is actually from a single-family farm this the this family has been selling and
[52:16.360 --> 52:21.500]  and growing coffee for like generations, but until recently
[52:22.220 --> 52:28.240]  They have only been selling it within Brazil where they make it and they've only recently started selling it around the world
[52:29.260 --> 52:35.180]  It's from the race family farm in in the town of trace Pontus in
[52:35.820 --> 52:39.060]  Brazil that's why they call it trace Pontus coffee. And here's the deal
[52:39.060 --> 52:44.860]  You don't have to choose between like a gazillion different kinds of coffee. They just sell one bean
[52:44.860 --> 52:50.740]  It is the same bean they grow it all over the farm and all you have to choose is your roast profile
[52:50.900 --> 52:55.300]  Light roast medium roast dark roast and French roast now me
[52:55.300 --> 53:01.860]  I'm not a dark or French roast or I'm French roast is effectively like extra dark that that's I've never preferred that
[53:02.500 --> 53:07.940]  I like the medium and and I'm always on the fence because I I've got this subscription
[53:07.940 --> 53:11.240]  I get the light too. Sometimes I like the light. I like the medium
[53:11.240 --> 53:17.020]  I'm on the fence between those two but you can try all of them you can get just by all four and see which one
[53:17.020 --> 53:19.660]  You like best or if you know that you don't like extra dark
[53:19.660 --> 53:24.260]  Don't even bother with the French or if you know, you like dark roast, you know get the dark in the French
[53:24.260 --> 53:26.260]  It is really great coffee
[53:27.180 --> 53:35.780]  and it is so fresh that is the thing is and I emphasize this every time I do the sponsor read for trace Pontus that
[53:35.780 --> 53:41.660]  Coffee is like a perishable item. It's not quite as sensitive as like a you know
[53:41.660 --> 53:44.460]  Like a piece of fruit or something like that, but it's close
[53:44.460 --> 53:51.620]  It is like that like roasted coffee goes bad quickly where a bad quote unquote bad isn't like awful
[53:51.620 --> 53:55.580]  It's not ruined if you've got like, you know, six-week-old coffee
[53:55.580 --> 53:57.460]  It's not like you know, it's undrinkable
[53:57.460 --> 54:02.400]  But it really makes a difference when it's fresh and here's the deal trace Pontus when you order it
[54:02.400 --> 54:08.920]  They ship it themselves. They don't put their coffee in like a warehouse and then you order it and then the stuff
[54:08.920 --> 54:13.380]  That's been sitting on the shelves forever get shipped to you. They are shipping you coffee. That has
[54:13.920 --> 54:16.720]  Just been roasted and then they ship it right to you
