[00:00.000 --> 00:01.680]  Federico
[28:17.700 --> 28:23.700]  It might be spreading faster than the numbers that are reported because the people who have it aren't going to the doctor where it can
[28:23.700 --> 28:26.980]  Be reported, you know, yeah because here like it's totally free
[28:26.980 --> 28:31.060]  I believe it's like one euro if you want to get the the coronavirus test
[28:31.060 --> 28:37.380]  And in general like be being treated here is entirely for free for any kind of problem that you may have
[28:37.780 --> 28:43.140]  And I cannot possibly imagine what that's like in the united states. I mean every time I travel for
[28:43.680 --> 28:49.780]  WWDC I have to get special insurance to travel to america because if something happens to me
[28:50.340 --> 28:52.660]  I need to pay for travel insurance that
[28:53.780 --> 28:58.660]  Insures that I will be covered if anything happens and that's such a problem
[28:58.660 --> 29:02.820]  I need to pay for travel insurance that I will be covered if anything happens and that's such a foreign concept to me because
[29:03.460 --> 29:08.100]  Here more or less they won't they will not let you die and they will not
[29:08.660 --> 29:13.140]  Ask you for money, right? No, and I know that it's true even for you know, people who are
[29:13.680 --> 29:18.260]  Vacationing there and something, you know, I have friends, you know from america and they're like blown away
[29:18.260 --> 29:25.060]  Like they took a fall and sprained their ankle and went to the hospital and you know in london or probably like rome
[29:25.060 --> 29:29.860]  And you know and it's like oh they go and then they they take like a couple of bucks and they you know
[29:30.980 --> 29:34.340]  Did you add you up and you're like you're like, where are you going to send the bill on there?
[29:34.340 --> 29:36.340]  Like there is no bill and you're like what?
[29:36.580 --> 29:42.340]  No, it is. No, I do worry though. And all the politics of us health care aside, which we certainly can't get into
[29:42.900 --> 29:43.940]  you know
[29:43.940 --> 29:48.340]  this sort of uh epidemic type type thing really puts a
[29:49.140 --> 29:52.500]  Bullseye on what's wrong with the system that allows
[29:52.500 --> 29:57.780]  Literally millions of people to not have insurance at all and therefore to weigh every single
[29:58.100 --> 30:03.140]  Calculation as of whether they should go to the doctor or not with hmm. What's it going to cost me?
[30:04.660 --> 30:10.020]  You know, this is the sort of thing where anybody who suspects that they have it really really ought to go to the doctor
[30:10.020 --> 30:14.500]  Not just for their own benefit, but for the benefit of of everybody, right, you know
[30:15.460 --> 30:20.420]  So anyway, I don't know uh, I I am like I said, I would put the odds at around
[30:20.420 --> 30:22.420]  30 or 40 percent at this point that
[30:22.660 --> 30:24.660]  WWDC is not going to happen
[30:25.300 --> 30:31.860]  because I think and you know the facebook news coming out today for a may developer conference shows
[30:32.580 --> 30:38.420]  How far in advance a company wants to make a decision like that, you know and in some ways you know what I mean?
[30:38.420 --> 30:44.180]  And it's like what if they what if facebook cancelled this thing and may comes around and the whole thing is is blown over?
[30:44.180 --> 30:45.780]  It's gone. It's you know
[30:45.780 --> 30:50.740]  I I don't think that means that anybody should be upset. I I think it calls for caution
[30:51.620 --> 30:53.620]  So let's say two or three weeks from now
[30:54.660 --> 30:59.380]  Or you know by sometime by the end of march apple says, you know what we're you know, because of this
[30:59.380 --> 31:04.740]  We're not going to have WWDC this year and then june 8th rolls around and there's nothing
[31:05.700 --> 31:07.940]  i'm sure some people are going to complain but
[31:09.220 --> 31:14.260]  You know, you can't expect somebody in march to have a hundred percent certainty as well
[31:14.260 --> 31:17.860]  Where it's going to be in june, you know, you have to you have to do what?
[31:18.500 --> 31:19.940]  seems
[31:19.940 --> 31:20.980]  responsible
[31:20.980 --> 31:22.980]  Which doesn't mean?
[31:23.140 --> 31:25.860]  somehow magically foreseeing the future
[31:27.700 --> 31:33.700]  You know, it's a you know, and in a shorter term, I mean it months in advance is very hard to to to
[31:34.500 --> 31:36.740]  to anticipate but like
[31:37.860 --> 31:42.100]  Here in the us it's always the case like we on the east coast of the u.s
[31:42.100 --> 31:47.300]  Especially in the south like where I live. It's seldom an issue, but there was one a couple years ago
[31:47.300 --> 31:51.140]  But we have hurricanes and then these hurricanes come and days in advance
[31:51.140 --> 31:54.180]  They make a determination as to whether people on the coast
[31:54.740 --> 32:00.740]  Should should evacuate or not and then at some point they often make it a mandatory evacuation where?
[32:01.220 --> 32:03.700]  I mean they don't arrest you if you don't leave but you know
[32:03.700 --> 32:10.260]  It's they're officially saying everybody must leave and that you know that if the police see you that and you're not leaving
[32:10.260 --> 32:16.100]  They you know, try to encourage you to get the hell out but then every once in a while the storm comes in
[32:16.100 --> 32:20.740]  It's not so bad and then people are like well, why the hell did you have us evacuate and it's like you can't
[32:21.380 --> 32:23.700]  You can't only tell people to evacuate
[32:24.020 --> 32:29.220]  When you're a hundred percent certain they need to evacuate because you're only a hundred percent certain when you know
[32:29.380 --> 32:33.380]  The 120 mile hour winds are blowing the roof off your house, you know, yeah
[32:34.180 --> 32:38.900]  Yeah, and like these events you they are planned several times
[32:38.900 --> 32:43.780]  Planned several months in advance, right? It's not like you can say oh, let's wait until
[32:44.420 --> 32:48.500]  The middle of may right, uh, and then we can announce wwc
[32:48.580 --> 32:53.780]  It's doesn't work like that. And I think a lot of people actually think that it does but it's not like that
[32:53.860 --> 32:55.860]  you need several months of planning for
[32:56.580 --> 33:03.300]  You know all I mean you we mentioned um engineers preparing their sessions. That's one example. It takes months of work
[33:03.300 --> 33:10.180]  well, I like I said, I think either way that will still happen on the same schedule and I think that
[33:10.820 --> 33:12.840]  Whether they have full wwdc
[33:13.700 --> 33:20.500]  Whether they cancel it and do it online only and hold a press event or whether even a press event isn't deemed
[33:21.060 --> 33:24.580]  Safe and they maybe they would do a keynote that's online. I don't know
[33:24.740 --> 33:27.380]  I mean that would be weird to not have anybody in the audience, but
[33:27.380 --> 33:34.500]  Although I guess they'd still still have their own apple employees. And so you'd still hear all the applause. So maybe the retail employees, right?
[33:34.740 --> 33:36.580]  They could they could fill it up with some people
[33:38.900 --> 33:41.640]  But I still feel like they will do the annual
[33:42.580 --> 33:46.340]  This is the state of our os's and our road map for
[33:47.860 --> 33:49.620]  2021
[33:49.620 --> 33:52.580]  You know fall of 2020 into 2021
[33:52.580 --> 33:56.900]  2021 uh, here you go. I feel like that'll happen either way
[33:57.060 --> 34:01.780]  it's just a question of whether you want to have five invite five thousand developers from around the world into
[34:02.740 --> 34:04.100]  beautiful
[34:04.100 --> 34:06.100]  hospitable san jose
[34:07.380 --> 34:09.380]  Beautiful especially beautiful
[34:10.020 --> 34:16.740]  I don't I don't even remember I drink coffee every day and now i'm trying to remember where the hell do I get it?
[34:17.540 --> 34:21.860]  I don't even remember I honest to god. I can't even I was there for four days last week
[34:21.860 --> 34:25.140]  And I don't remember where I got coffee. I think it's like my mind
[34:26.100 --> 34:28.100]  was so scarred by the experience it like
[34:28.900 --> 34:31.540]  It was like traumatic and i've i've forgotten the memory
[34:32.740 --> 34:37.620]  Yeah, I i'm pretty sure that one time last year mark horman, uh walked us to uh
[34:38.420 --> 34:41.220]  some kind of breakfast place that took like
[34:42.100 --> 34:49.140]  20 minutes to get to and they didn't have coffee. Well, it's so that sounds it for you social policy
[34:49.140 --> 34:56.820]  Which I do miss but social policy didn't take 20 minutes to get to but it did take 20 or 30 minutes to get like a sandwich
[34:58.820 --> 35:03.540]  My wife goes and you know, my wife got a hamburger and and it took 45 minutes
[35:04.980 --> 35:06.980]  To get a hamburger
[35:07.460 --> 35:10.500]  That place I mean it's like shocker that that place closed
[35:12.740 --> 35:17.300]  But it's too bad because they actually had decent espresso and croissants sometimes
[35:17.300 --> 35:22.660]  Yeah, it was good food. It just it just clearly wasn't meant for they were
[35:23.940 --> 35:28.260]  So unprepared for more people than usual, right?
[35:28.260 --> 35:33.780]  But I don't even know if it is more people than usual. I think the san jose convention center often holds
[35:34.260 --> 35:37.240]  Conventions that are far larger than wwdc
[35:37.940 --> 35:42.100]  and it's it that's the thing about san jose that just boggles the mind is that
[35:42.100 --> 35:49.300]  Is that it it feels in terms of the restaurant hours the coffee shop service the the
[35:49.620 --> 35:51.780]  the early closing of the bars
[35:52.820 --> 36:00.340]  Everything makes it feel as though it is this sleepy little town where nothing big ever happens and apple just picked it
[36:00.580 --> 36:05.380]  And puts up a five thousand person tent like the circus once a year
[36:06.180 --> 36:09.940]  And it comes out of nowhere and nobody in town was aware of it
[36:09.940 --> 36:12.500]  And even though now they've had it there what three years
[36:13.460 --> 36:17.380]  It's like nobody remembers that in june, you know, there's a busy week
[36:17.620 --> 36:23.620]  But it's worse than that because they have conventions throughout the year. It is it is a very large convention center
[36:23.700 --> 36:27.000]  I don't I suppose in terms when you add up all of moscone
[36:28.100 --> 36:29.940]  north
[36:29.940 --> 36:31.940]  south and
[36:32.020 --> 36:38.660]  West or whatever the hell the the three three parts of it are I guess moscone is bigger overall
[36:38.660 --> 36:44.340]  I mean it's so you can't eyeball it because so much of moscone is underground but apple never you know for
[36:44.720 --> 36:48.980]  wwdc never took the the the two main buildings they only use the
[36:50.020 --> 36:56.100]  You know the one that actually is glass and upstairs it I think it's bigger than than the old where apple used to hold
[36:56.880 --> 37:02.820]  Wwdc and there's so there's got to be big conventions throughout the year. It's like just it's a convention area
[37:02.820 --> 37:10.100]  It's a convention area of town that is not ready for any conventions of any sort whatsoever. It boggles the mind
[37:10.820 --> 37:13.620]  Maybe they just don't like other people coming in. It's just
[37:15.860 --> 37:19.060]  Everybody and everybody it feels like it's everybody's first day on the job
[37:20.580 --> 37:26.180]  and to be fair, it's it's it saddens me because every san jose local that i've met they're like
[37:26.180 --> 37:33.140]  Super lovely and kind people. It's just the store owners that don't know how to deal with that. So I don't know
[37:36.020 --> 37:42.660]  I was there with somebody once they were trying to close a bar and my friend luke asked asked the manager. Do you like to make money?
[37:43.620 --> 37:44.980]  And the guy
[37:44.980 --> 37:46.980]  Yes, exactly. That's the problem
[37:47.380 --> 37:49.140]  Oh my god
[37:49.140 --> 37:52.100]  Anyway, all right. Let me take a break here and thank our first sponsor. It is
[37:52.100 --> 37:57.620]  Two-time sponsor. They just sponsored. I think two episodes ago feels f-e-a-l-s
[37:58.820 --> 38:03.060]  Do you experience stress? Do you have anxiety maybe chronic pain trouble sleeping?
[38:03.620 --> 38:09.620]  Even just once a week. You're not alone many people do feels is premium cbd
[38:10.580 --> 38:18.340]  Delivered directly to your doorstep feels naturally helps reduce stress anxiety pain and sleeplessness
[38:18.340 --> 38:24.180]  Here's how you do it. You just take a few drops of feels put it under your tongue and you can feel the difference within minutes
[38:24.740 --> 38:31.780]  Are you new to cbd feels offers a free cbd hotline and text message support?
[38:32.180 --> 38:39.780]  If like me you hate talking to people on the phone use that and help guide your personal experience know what to get know what to expect
[38:40.580 --> 38:44.580]  And it works naturally to help you feel better. There is no high for sure
[38:44.580 --> 38:48.740]  There's no hangover. No addiction
[38:49.380 --> 38:56.180]  No, no nothing like that and it's a membership thing you join the fields community and you get fields delivered to your door
[38:56.580 --> 39:01.380]  Every month and you save money on every order with a subscription with this membership system
[39:01.860 --> 39:04.260]  And you can pause if you're going away
[39:04.900 --> 39:08.900]  Or cancel if you're done with it at any time. No questions asked
[39:10.340 --> 39:12.340]  So remember f-e-a-l-s
[39:12.340 --> 39:14.340]  That's the brand name feels
[39:14.900 --> 39:20.580]  uh, and you can become a member today by going to fields dot com slash talk show
[39:21.300 --> 39:25.620]  And if you use that url fields dot com slash talk show
[39:25.940 --> 39:30.740]  You will get 50 off your first order with free shipping
[39:31.140 --> 39:36.260]  That's f-e-a-l-s dot com slash talk show to become a member and you'll get 50
[39:37.120 --> 39:40.020]  Automatically taken off your first order with free shipping
[39:40.020 --> 39:42.020]  My thanks to them
[39:44.340 --> 39:46.900]  All right, so while we're talking about apple events
[39:47.540 --> 39:53.940]  There are rumors of a spring event, which I would guess would take place
[39:54.660 --> 39:56.740]  At the end of march and the reason
[39:57.620 --> 40:00.980]  That I guess that I keep track of this. Let me open up my note here
[40:02.500 --> 40:04.500]  Is like I said apple is a
[40:04.500 --> 40:10.740]  A company of habits and patterns and they might decide to stop following something
[40:11.300 --> 40:13.300]  but that would be like a major decision and
[40:14.580 --> 40:20.420]  Uh, they do not hold a march event every year, but they did hold
[40:21.380 --> 40:23.380]  a march event in
[40:24.320 --> 40:25.860]  2016
[40:25.860 --> 40:27.860]  That was at town hall in cupertino
[40:27.860 --> 40:34.580]  Uh, they did a new ipad a smaller iphone. That was the uh, the iphone se's debut
[40:35.300 --> 40:40.500]  And the 9.7 inch ipad pro which I think was the first small ipad pro
[40:41.300 --> 40:45.080]  They did not have one in 2017 in march, but then in 2018
[40:46.020 --> 40:49.720]  They had a special event, uh, march 27th
[40:51.300 --> 40:54.340]  At lane tech high school in chicago. Were you there for that one?
[40:54.340 --> 41:01.060]  Were you do you go to chicago? I was not I was not well that was uh another that was a new 9.7 inch ipad pro
[41:01.300 --> 41:08.020]  Or no just an ipad. That's right. It was the first ipad with pencil support right and and they introduced the logitech crayon
[41:08.100 --> 41:12.020]  And of course the reason it was a regular ipad not ipad pro and it was held at a school
[41:12.660 --> 41:19.320]  Was that their pitch was that this is for the education market where the price of the device is very sensitive. Anyway, 2017
[41:20.020 --> 41:22.020]  No march event
[41:22.020 --> 41:25.000]  2018 they had an event
[41:25.560 --> 41:27.560]  uh
[41:27.560 --> 41:33.000]  Or I did 2018 so 16 18 now we're in 2020. It's an even year
[41:33.640 --> 41:37.640]  Uh, so if the pattern holds and even numbered years
[41:37.800 --> 41:42.680]  They hold march events that are often feature new ipad hardware
[41:44.120 --> 41:49.560]  Will they do it again? I don't know but there's been rampant. I'll give you i'll give you another timeline
[41:49.560 --> 41:54.120]  In john, uh, I have a list. I remember I had this list somewhere. Um
[41:54.740 --> 41:56.740]  wwc announcement dates
[41:57.640 --> 42:04.140]  We forget uh for context because we were talking about this, uh last year march 14
[42:05.640 --> 42:07.640]  2018 march 13
[42:08.420 --> 42:13.160]  2017 february 16 and I believe this was early because of the san jose switch
[42:14.600 --> 42:17.560]  So if they do announce wwc must be
[42:17.560 --> 42:23.640]  Within the next couple of weeks at this point. I think they've had some that went as long as april though. I'm pretty sure
[42:24.280 --> 42:29.880]  Uh, they used to be up until 2016 april 18 2015 april 14
[42:30.280 --> 42:36.440]  Yeah, so maybe if you know, I wouldn't be surprised if we get into april and they haven't said anything
[42:36.520 --> 42:38.520]  I would interpret that as meaning
[42:38.920 --> 42:40.920]  They're still
[42:40.840 --> 42:46.760]  Like holding their breath on this coronavirus thing and waiting until the last minute to make a decision. Yeah
[42:46.760 --> 42:53.400]  Uh, but anyway the the the march event, uh, what I do know is that it tends to be at least the past couple of years
[42:53.960 --> 42:55.400]  in the
[42:55.400 --> 42:57.560]  spring break, uh week
[42:58.360 --> 43:01.480]  Is it's called spring break in the year? I think it's called spring break
[43:01.640 --> 43:06.120]  Yeah, but we are the spring break schools have spring break in widely varying
[43:07.560 --> 43:10.680]  Weeks of the year, you know some schools try to time it with easter
[43:11.240 --> 43:15.800]  Other schools have it, you know the same, you know, like the last week of march every year or something like that
[43:15.800 --> 43:22.040]  It's not there's no one universal spring break week. It's spread out in late march through april
[43:25.320 --> 43:27.320]  But will they do an event now
[43:27.320 --> 43:34.360]  Is that that's I don't know. I really don't I really don't know and you know, one of the changes they've made in recent years
[43:35.000 --> 43:35.960]  is
[43:35.960 --> 43:37.400]  that
[43:37.400 --> 43:39.800]  For many years they would hold
[43:40.600 --> 43:42.600]  satellite events
[43:42.600 --> 43:43.800]  in
[43:43.800 --> 43:48.200]  you somewhere in europe and somewhere in asia and
[43:49.560 --> 43:52.120]  This dates back to even before they had
[43:52.820 --> 43:57.560]  Reliable consistent live streams for everybody to watch right?
[43:57.640 --> 44:03.240]  I mean, it's it's easy to forget because nowadays they're they're they're they seem rock solid every single event
[44:04.040 --> 44:05.320]  um
[44:05.320 --> 44:07.000]  but for years
[44:07.000 --> 44:08.600]  They would you know
[44:08.600 --> 44:14.280]  We we if you weren't attending the event, you know, i'm sure you remember this. Well, it would be like
[44:14.360 --> 44:15.720]  Is there going to be a live stream?
[44:15.720 --> 44:19.320]  I don't know and apple wouldn't say and then sometimes like an hour before the event
[44:19.400 --> 44:21.400]  They would be like here's a url for the live stream
[44:21.960 --> 44:23.960]  Is is it going to stay up?
[44:24.840 --> 44:29.800]  Hold your breath and it was weird because sometimes it would sometimes it wouldn't it was you know
[44:30.200 --> 44:32.200]  It wasn't something you would want to bet on
[44:32.200 --> 44:38.360]  Whether they were even going to try and if they did try whether it was going to stay up was a crapshoot. Um,
[44:39.720 --> 44:47.480]  Nowadays, that's not an issue. Um, but back in that era they would hold satellite events for the media in asia and europe
[44:47.560 --> 44:49.080]  so that you know
[44:49.080 --> 44:53.240]  like european journalists could just go to london and there would be like, uh,
[44:53.880 --> 44:56.680]  You know wasn't something that maybe was public but it was you know
[44:56.680 --> 45:00.440]  Some kind of technology where they could stream it just to one facility
[45:00.440 --> 45:02.040]  in london
[45:02.040 --> 45:04.680]  And people wouldn't have to travel the extra, you know
[45:05.640 --> 45:09.640]  The eight time zones to get all the way to california or something like that. Yeah, but
[45:10.360 --> 45:15.480]  At some point a handful of years ago. They stopped that and if you're going to
[45:16.120 --> 45:19.640]  Be press credentialed for an event. You need to be at the event
[45:20.440 --> 45:25.400]  And you know, otherwise you're just watching, you know, which isn't bad. I mean I had uh, I missed an event. Uh,
[45:25.400 --> 45:27.400]  Uh
[45:29.240 --> 45:35.320]  I missed the iphone event this year because I couldn't couldn't fly because of eye surgery that I had in the end of august
[45:35.320 --> 45:40.280]  So I didn't go to the iphone event september and just watched it live, you know on my apple tv
[45:41.080 --> 45:42.840]  uh
[45:42.840 --> 45:45.000]  But there's no more satellite events like that so
[45:45.560 --> 45:51.320]  Asian media all fly to california. I mean, I guess they could not I I don't know
[45:51.400 --> 45:55.080]  I just can't imagine that they wouldn't not invite them just because they're from asia or something
[45:55.080 --> 45:56.600]  And it's not really
[45:56.600 --> 45:58.680]  that's obviously ground zero for this but you know
[45:59.480 --> 46:01.000]  As we just talked about
[46:01.000 --> 46:04.840]  15 minutes ago. It's you know, it's it's in italy. It's in california. It's
[46:05.480 --> 46:07.480]  You know, it's all around the world
[46:07.720 --> 46:11.960]  But maybe there doesn't have to be an event right because if you look at last year, right?
[46:12.440 --> 46:17.560]  It was a similar situation like a bunch of different products. We had the new air pods and we had
[46:18.200 --> 46:20.200]  Was there a new ipad last year?
[46:20.200 --> 46:26.200]  Maybe it was the ipad air 2 I believe so a bunch of different products and instead of doing an event and throwing a
[46:26.760 --> 46:31.480]  Few different products together, right? They just did the week of press releases, right?
[46:32.360 --> 46:34.920]  the team cook tweets the team cook photo
[46:36.440 --> 46:41.640]  And I think maybe there's an opportunity to do a repeat of that because if you look at the products that we're talking about now
[46:42.120 --> 46:47.560]  We're looking at an ipad pro that if you were to follow the rumors has a new camera system
[46:47.560 --> 46:53.320]  But the new design basically the same design of the existing ipad pro and maybe a new smart keyboard
[46:53.720 --> 46:57.720]  And then we're looking at the iphone 9 or sc2
[46:58.520 --> 47:00.520]  and potentially the
[47:00.600 --> 47:03.080]  New macbook pros with the new keyboards. So
[47:04.280 --> 47:06.280]  and maybe the new
[47:06.360 --> 47:12.520]  Overhear headphones that were rumored a while back. So not necessarily products that
[47:12.520 --> 47:16.920]  Tell a cohesive story like yes, they are updates
[47:17.720 --> 47:22.360]  New products even if you look at the over-ear headphones, for example in the iphone 9
[47:22.920 --> 47:28.360]  But maybe it's not necessary to throw an event just to group those products together
[47:29.480 --> 47:30.920]  Right. They don't
[47:30.920 --> 47:34.600]  You know, I i've had this discussion. I think it was with regard
[47:35.560 --> 47:40.360]  To the fact that last year or the end of 2019, you know
[47:40.360 --> 47:43.880]  Just five four or five months ago. They didn't hold the second event
[47:43.880 --> 47:49.880]  The only event they really held was the september iphone event and then in october they had um
[47:52.360 --> 47:59.880]  Small press briefings for other stuff like seeing the mac pro again before it came out
[48:00.760 --> 48:02.760]  and
[48:03.160 --> 48:09.080]  Getting hands-on time with the new 16-inch macbook pro with the miraculous
[48:09.080 --> 48:11.480]  New keyboard that actually works and clicks
[48:12.600 --> 48:19.320]  You know they had you know, I went to new york for that. I think new york was actually the main for whatever reason was
[48:20.200 --> 48:23.480]  was more media than california, but uh
[48:24.680 --> 48:30.520]  You know, I could see them doing something like that where they still want to for for invited media and people who were going to
[48:30.520 --> 48:35.080]  Review the hardware they still want to meet them and brief them and give them their take on it
[48:35.080 --> 48:39.240]  But it doesn't have to be a 500 person event in a theater. Um
[48:39.960 --> 48:46.520]  And the the the thing that I don't think a lot of people get I think I think people who don't pay close attention
[48:46.520 --> 48:51.240]  Are under the assumption that apple holds these events willy-nilly, you know
[48:51.240 --> 48:57.000]  And every time they do, you know, because why wouldn't you if you can get all this attention every time you hold a big media event
[48:57.320 --> 49:01.420]  Why wouldn't you do it all the time? But I think it's the opposite. I think apple realizes
[49:01.420 --> 49:04.960]  To the very highest levels what a tremendous
[49:06.620 --> 49:08.620]  Privilege and and
[49:09.260 --> 49:10.700]  marketing
[49:10.700 --> 49:12.540]  Hammer it is
[49:12.540 --> 49:18.300]  That when they do hold an event it garners so much attention and gets so much news
[49:18.300 --> 49:22.300]  You know and and is literally on the front page of newspapers, you know, and I know
[49:23.820 --> 49:29.340]  Newspapers printed newspapers aren't the big deal they used to be but it's still a good rule of
[49:29.340 --> 49:33.820]  just a good gauge of how big of news something is, you know, it's
[49:34.780 --> 49:41.420]  It's a pretty big deal in the grand scheme of things that when this company announces a new cell phone it's front page news
[49:41.980 --> 49:43.980]  You know around the world
[49:44.380 --> 49:48.300]  I think they realize that part, you know, there's there's the little boy who cried wolf
[49:49.180 --> 49:53.180]  Problem, right? Yeah. I mean, you know that that that yeah fairy tale, right?
[49:53.180 --> 49:57.100]  It's like, you know, if you hold events that aren't worth people's attention
[49:57.100 --> 50:02.300]  Eventually, even when you have an event that is worth their attention people aren't going to pay attention to it
[50:02.940 --> 50:08.540]  Or they're not going to pay as much as they did and I think apple at the very highest levels is very cognizant of
[50:09.100 --> 50:16.140]  Not doing that, you know and and the the 16-inch macbook pro is a perfect example of that. It is a tremendous product
[50:16.140 --> 50:18.140]  I mean i'm still using
[50:18.140 --> 50:23.420]  One right now and I love it and I really do think it is it is truly a return
[50:23.420 --> 50:27.900]  As much as it looks like and i'm not going to go off on a whole macbook pro tangent here
[50:27.900 --> 50:34.940]  We got to talk ipad but as much as it looks side by side like the 15-inch macbook pro replaced in so many ways
[50:35.580 --> 50:42.380]  It really does fix so many of the things that we all complained about with the 15-inch macbook pros for the last two or three years
[50:43.340 --> 50:49.580]  But was it worth an event and like you said is there a story to tell? Well, if the story is we fixed
[50:49.580 --> 50:56.300]  This that and the other problems they don't really want to get them on stage and say that you know, they'd rather say that privately and
[50:57.740 --> 51:01.660]  In a small room and just say yeah, you know, we have a new keyboard design
[51:02.060 --> 51:08.300]  Yeah, and and if you look at the at the previous events, there always tends to be a narrative around them like last year
[51:08.780 --> 51:13.500]  It was the services event like the the strange one with a bunch of services together
[51:13.500 --> 51:16.620]  But he told the story right and the year before he told the story
[51:16.620 --> 51:23.420]  But he told the story right and the year before that it was the education event and in october 2018
[51:23.500 --> 51:30.220]  It was the pro event. So in brooklyn, we got the ipad pro and the mac mini, I believe so there was there
[51:30.620 --> 51:36.940]  Tends to be an like an overarching narrative to an event and we've seen how
[51:37.580 --> 51:39.340]  when they have a
[51:39.340 --> 51:45.100]  Bunch of different products to release and to announce maybe the best strategy is not to throw an event but to
[51:45.100 --> 51:50.860]  Try different ways whether it's like private, uh, press briefings or youtubers or um
[51:51.340 --> 51:55.420]  Doing just the you know, the tim cook tweet and the and the announcement on the website
[51:55.900 --> 51:59.340]  Uh people last year were sure oh the the airpods pro
[51:59.740 --> 52:04.460]  Are gonna have an event for sure or the 16-inch micro pro will have an event for sure
[52:04.460 --> 52:10.300]  But no the airports pro actually only had a press release. Yeah, I believe not even not even uh,
[52:11.340 --> 52:13.340]  uh press reviews embargoed reviews
[52:13.340 --> 52:15.980]  Uh, let me think about that. I got to try them
[52:16.380 --> 52:21.740]  I did get to try them at the hands-on thing in new york. That was the same. Oh, maybe there were then
[52:22.140 --> 52:27.340]  Yeah, I think I did get a review unit then. Uh, I forget. I don't think they were embargoed though
[52:27.740 --> 52:32.940]  I think it was like you could just take them and you start right? Yeah, they definitely did that and they definitely had
[52:33.820 --> 52:35.820]  a little um
[52:35.820 --> 52:44.620]  Um, uh, like it was like a dozen of us at a time got to go up to these tables and
[52:46.620 --> 52:48.620]  They were factory sealed they reached
[52:49.180 --> 52:55.340]  you there were like little spots and you'd go up and there was a shrink wrap box of airpods pro that you could open up and
[52:56.460 --> 52:58.460]  uh, you know just
[52:58.700 --> 53:05.260]  Parity or and it was you know, it was kind of an interesting demo because unlike most apple demos where the whole thing is scripted
[53:05.260 --> 53:07.900]  You know, they have this device that's already got everything
[53:07.900 --> 53:14.140]  They want to show you including the game that shows off, you know metal and this and that they just were like here
[53:14.220 --> 53:18.640]  Take you know, here's a brand new airpods pro open them up pair them with your iphone
[53:19.100 --> 53:23.100]  To see how easy it is just to get off the ground and then listen to something on your phone, you know
[53:24.540 --> 53:27.260]  And it was funny they did this thing. It was in new york
[53:29.100 --> 53:30.300]  and
[53:30.300 --> 53:37.180]  It's it it wasn't a soundproof room, but it's you know, they don't want they don't like people talking about it, but it was quiet enough
[53:37.740 --> 53:42.380]  But they wanted to show off the noise canceling and so they said so this is ridiculous
[53:42.540 --> 53:47.900]  But we got here and realized there really isn't any street noise here. So they used a
[53:48.540 --> 53:53.340]  Home pod to play street traffic noise. Oh, wow. I swear to god
[53:54.300 --> 53:56.220]  So they were like this seems silly but you know
[53:56.220 --> 54:01.980]  It should sound you know, we want to make it sound more like you're outside on the sidewalks and they just best street traffic
[54:02.060 --> 54:06.620]  Noise you've ever heard. Yeah, they just they just played street, you know, the best street traffic noise
[54:06.700 --> 54:10.060]  You've ever heard in an air pod and then you know, they were like now just you know
[54:10.060 --> 54:13.900]  Squeeze the stem to to turn off noise turn noise canceling on etc
[54:14.860 --> 54:15.820]  um
[54:15.820 --> 54:21.020]  Yeah, I could see them doing that, you know the I think the wild card in the rumored events for this
[54:21.020 --> 54:27.820]  You know if there's a march or early april event, the wild card is ipad like the iphone 9
[54:28.300 --> 54:33.020]  Or whatever they're going to call it, but I kind of like the name iphone 9. I I yeah
[54:33.340 --> 54:36.460]  And I know people like well, why would you want to make it seem old and it's like dude
[54:36.460 --> 54:39.740]  You don't have no idea how many millions of tens of millions of people out there
[54:40.460 --> 54:47.020]  Who already have like an iphone 6 and they just want something exactly like it but brand new, you know
[54:47.020 --> 54:52.540]  You just it you just cannot underestimate that like my mom is waiting for one. My mom is like a years old iphone
[54:53.100 --> 55:00.380]  Uh the battery it's like like 82 so it's like still above that 80 threshold, but it's like, you know getting close
[55:00.940 --> 55:04.700]  and all she she like is not terrified, but she's
[55:05.580 --> 55:11.420]  The idea of switching from touch id to face id gives her anxiety. It's because she does it's unfamiliar
[55:11.500 --> 55:15.020]  She's like, well, how do you get out of an app? And I was like, yeah, you'd learn you just swipe up
[55:15.020 --> 55:17.580]  It's easy now, you know what she wants. She wants a home button
[55:17.900 --> 55:21.420]  I would say this thing is going to be a huge seller call it the iphone 9
[55:21.980 --> 55:27.500]  And yeah, anybody who knows that they're already up to 11 and we're like seven months away from you know
[55:27.580 --> 55:32.080]  And put an asterisk and a footnote here go back 20 minutes to our whole coronavirus
[55:32.460 --> 55:36.540]  Maybe it's not september, but you know, iphone 12 is probably coming in september
[55:37.100 --> 55:39.420]  Or an iphone 11s or something
[55:39.420 --> 55:45.580]  There are literally maybe hundreds of millions of people around the world who would love an iphone 9 called the iphone 9
[55:46.140 --> 55:51.100]  So but here's the thing. Is it a good demo? No, it would be the worst demo in the world
[55:51.740 --> 55:53.740]  right because
[55:53.900 --> 55:59.340]  You can't see that it's faster right because like this, you know, what are you going to do?
[55:59.340 --> 56:05.180]  You know run run a a benchmark on an iphone compared to an iphone 7 or something like that. I mean
[56:05.180 --> 56:11.660]  It's you know, it's an iphone 8 with new internals. What do you what do you demo? There is no
