[00:00.000 --> 00:04.520]  In the old days if if I were gonna have a show it would we would have to be together
[33:40.720 --> 33:45.720]  I know where the escape key is and the next two or brightness and even if I'm wrong
[33:45.720 --> 33:48.720]  Even if I go up and I hit brightness up even though I wanted brightness down
[33:48.720 --> 33:54.720]  I can see what happened right away, and I know I'm right next door and just slide my finger and yep
[33:54.720 --> 33:59.720]  And do that without looking and I'm I'm with you with that and I'm the exact same way with volume
[33:59.720 --> 34:02.720]  And both of those are now problematic on the touch bar
[34:03.720 --> 34:07.720]  you know if they look nice like that nice, you know little scrubber and everything, but it just
[34:08.720 --> 34:12.720]  I do not like it at all. I mean, I don't hate hate it
[34:13.720 --> 34:15.720]  But I just don't see like I said
[34:15.720 --> 34:20.720]  I switch back to sort of the the old standards and like you said they're not physical
[34:20.720 --> 34:23.720]  Buttons and there's no haptic feedback. So they're harder to use
[34:23.720 --> 34:25.720]  So I have to actually pay attention to what I'm doing
[34:25.720 --> 34:30.720]  And then I also I do think I agree that touch ID is by far the best part of it
[34:31.720 --> 34:36.720]  But the weird thing there is that I almost never get to use it because I do have an Apple Watch
[34:36.720 --> 34:38.720]  And I'm always wearing the Apple Watch and that unlocks faster
[34:39.720 --> 34:44.720]  Than the touch ID does so before you can even reach up to the touch ID. It's done. So there's no point
[34:44.720 --> 34:50.720]  Yeah, well, it's good for purchases or whatever. Yeah for purchase logging in logging in is the big is you know
[34:50.720 --> 34:52.720]  The one you do I log in and out or you know
[34:52.720 --> 34:55.720]  Open it from sleep and log in way more frequently than I buy stuff
[34:56.720 --> 34:57.720]  Yeah
[34:58.720 --> 35:01.720]  And so what do you do? Why do you think that they did?
[35:02.720 --> 35:06.720]  the touch bar because like so part of the thing that I wrote was you know, sort of the
[35:06.720 --> 35:14.720]  The notion being that we've sort of reached peak form factor of the laptop
[35:15.720 --> 35:20.720]  And I know that's dangerous to say for sort of any technology that we've reached peak because there's always going to be some level of innovation
[35:21.720 --> 35:25.720]  And I think I made the quip that maybe we'll have Phil Schiller on stage saying can it innovate anymore my ass
[35:26.720 --> 35:29.720]  When they when they do something new with that with the MacBook
[35:29.720 --> 35:37.720]  But like my only line of thinking is either they're going to one day try to make it a bigger screen area
[35:38.720 --> 35:43.720]  Like the keyboard tray be being more maybe like haptic digital keys
[35:44.720 --> 35:50.720]  You know something like that or the or not even like replacing the entire keyboard, but just making that a bigger area
[35:51.720 --> 35:54.720]  You know for for different things that they can dynamically do
[35:54.720 --> 36:01.720]  I mean that has to be some line of thinking right it can't just be this this touch bar which isn't that interesting
[36:02.720 --> 36:11.720]  I guess I don't know but I find it worrisome if their goal is to replace hardware keyboard with a virtual keyboard
[36:12.720 --> 36:21.720]  Because I I can't see how that would like whatever my I kind of still prefer my older MacBook keyboard to the new one
[36:21.720 --> 36:24.720]  That's shallow keys. Yeah, it's in New York, but it's deeper keys
[36:25.720 --> 36:30.720]  But after two or three weeks my feelings went from I like the old one better to oh
[36:31.720 --> 36:36.720]  I have mixed feelings because I also feel though that my old one they feel loose and jank jank right and
[36:37.720 --> 36:42.720]  Whereas in the new ones even though they have shallower feel so clicking them feels worse because it's shallow
[36:43.720 --> 36:47.720]  But just resting my fingers on them feels better because they don't wiggle around they feel more premium
[36:47.720 --> 36:52.720]  Yep, and I had a problem at first. I had a really weird problem
[36:53.720 --> 36:59.720]  And I can't explain why but the the new keyboards in the MacBook and the Mac the just plain MacBook and the MacBook Pro
[37:00.720 --> 37:07.720]  Yep, have bigger keys and less space between the keys the keyboard takes up the exact same amount of area
[37:08.720 --> 37:14.720]  And so the distance between just pick two keys like the center of the a key and the center of the F key
[37:14.720 --> 37:16.720]  Alright is exactly the same
[37:17.720 --> 37:21.720]  So your fingers resting on the home row are exactly in the same position
[37:22.720 --> 37:25.720]  but for some reason because the keys are bigger I
[37:26.720 --> 37:30.720]  Felt for a while like my fingers were spread out more
[37:31.720 --> 37:35.720]  Yeah, I get that. I think that's something I needed to get used to I
[37:36.720 --> 37:42.720]  Especially notice it because I use the iPad keyboard all the time and that is those are smaller keys. Yeah, right. Yeah
[37:42.720 --> 37:48.720]  And so that's when I really notice it and I honestly I think I prefer the iPad keyboard as weird as that sounds I just
[37:49.720 --> 37:51.720]  It's not it's not a perfect keyboard
[37:52.720 --> 37:58.720]  But maybe it is like you're talking about sort of the size of the keys just something about it feels more familiar than typing on the newer keyboards
[37:59.720 --> 38:04.720]  Yeah, I can kind of see that like you're talking about like the smart keypad. Yeah. Yeah the one that Apple made
[38:05.720 --> 38:10.720]  It's almost like on the smart keyboard cover it it it celebrates the shallowness of the movement
[38:10.720 --> 38:15.720]  Whereas on the MacBook, it's like man. I still wish that these keys went in further
[38:16.720 --> 38:18.720]  Yes, but I can live with that
[38:19.720 --> 38:21.720]  I'm really
[38:21.720 --> 38:27.720]  The difference between my feelings about the new MacBook Pro keyboard and the previous generation MacBook Pro keyboard
[38:27.720 --> 38:30.720]  I have thoughts but the thoughts are
[38:31.720 --> 38:35.720]  much narrower than the thought between what we have now and a
[38:35.720 --> 38:41.720]  Hypothetical virtual touch bar. That was the whole keyboard. Yeah, like well, what do you think about this?
[38:41.720 --> 38:43.720]  like so the other thing that I that I've
[38:44.720 --> 38:50.720]  Chatted with some folks about is the notion of one way that I think they could have alleviated some of the touch bar
[38:51.720 --> 38:55.720]  Criticism is like also just putting it at the bottom of the keyboard
[38:55.720 --> 39:01.720]  So in other words keeping the function row that as it was and just adding a new row because like and especially on the MacBook
[39:01.720 --> 39:07.720]  So here's the thought here right now. They made the the touch pad the touch pad itself, right?
[39:08.720 --> 39:10.720]  Massive it's pretty big now
[39:10.720 --> 39:12.720]  I think it's bigger than it needs to be for anything
[39:12.720 --> 39:17.720]  And so you could shave that down a little bit and I think if you wanted to do some sort of touch bar type thing
[39:18.720 --> 39:22.720]  Put it just above the touch pad and sort of make that the whole touch area
[39:23.720 --> 39:27.720]  Especially because Apple's whole thing as we all know is that they're not going to do a touchscreen
[39:27.720 --> 39:30.720]  MacBook or iMac MacBook Pro anything
[39:31.720 --> 39:36.720]  And the weirdness of this whole dynamic right now is that they made a touch area
[39:36.720 --> 39:38.720]  That's so close to the screen
[39:38.720 --> 39:42.720]  but isn't the screen and you know, they make they have the the famous sort of picture of like
[39:42.720 --> 39:46.720]  You know with a crossed out arm or like pointing at the screen because it's just not
[39:47.720 --> 39:53.720]  Ergonomic right and it's not that much different in my book to sort of have to go up to this top row
[39:53.720 --> 39:56.720]  And have to sort of manipulate touch that way
[39:56.720 --> 40:00.720]  I would have been much more happy if where my hands already rest sort of at the bottom
[40:00.720 --> 40:02.720]  You try to do something with the touch bar
[40:02.720 --> 40:06.720]  I don't know my I just looking down at my MacBook as I as you say this
[40:06.720 --> 40:09.720]  My problem with that is that my hands would cover it most of the time
[40:09.720 --> 40:13.720]  I think the advantage to having it at the top is that you can see it your hands don't cover it
[40:13.720 --> 40:17.720]  Whereas this way your hands cover it until you go to look at it, but maybe that's okay
[40:17.720 --> 40:18.720]  I don't know
[40:18.720 --> 40:23.720]  I don't know if they've if they tinkered with that idea or not, but maybe that's okay because it doesn't matter if you see it
[40:23.720 --> 40:27.720]  Or not because by the time you go to do something on it, you are already moving your hands
[40:27.720 --> 40:33.720]  I don't write especially if you have to I mean if they acknowledge that you have to be looking at it to use it already
[40:33.720 --> 40:36.720]  And I just I feel like I don't know
[40:36.720 --> 40:41.720]  I I could see I think some people push back in that like with the notion of well what your palms could rest on and
[40:41.720 --> 40:42.720]  It could mess it up or something
[40:42.720 --> 40:51.720]  Obviously Apple has all the palm detection stuff for the iPad already. I'm sure they could figure that out. But I just think like for certain types of things
[40:51.720 --> 40:56.720]  Certainly some of the things that they were showing off like the DJing and all that kind of you know fun stuff
[40:56.720 --> 40:58.720]  You might not be you know
[40:58.720 --> 41:03.720]  Really needing to use the keyboard as much as sort of the touch area to toggle controls and stuff
[41:03.720 --> 41:06.720]  And so in that situation, it might make a little bit more sense, but I don't know
[41:06.720 --> 41:13.720]  I mean, I assume like you said they they maybe tried something or thought about it at least and they determined that that wasn't the way to go
[41:13.720 --> 41:15.720]  Yeah, I don't know
[41:15.720 --> 41:18.720]  What do you think about the weight and the size?
[41:18.720 --> 41:19.720]  The weight and the size are great
[41:19.720 --> 41:22.720]  I mean, it's not so I have
[41:22.720 --> 41:25.720]  Right now I have a bunch of machines
[41:25.720 --> 41:31.720]  I have a older MacBook Pro for that's my work machine that sort of was
[41:31.720 --> 41:33.720]  Given to me by the way
[41:33.720 --> 41:36.720]  People who dish out computers at work
[41:36.720 --> 41:41.720]  And so that's I think like a two and a half or three year old MacBook. So an older style MacBook Pro
[41:41.720 --> 41:45.720]  Then I have the MacBook the small 13 inch one
[41:45.720 --> 41:49.720]  And then I got the touch touch bar MacBook Pro
[41:49.720 --> 41:56.720]  And so my other issue there is that while it is obviously more svelte
[41:56.720 --> 41:59.720]  And lighter than the older MacBook Pro
[41:59.720 --> 42:05.720]  I have it's not, you know, anywhere near as light and as felt as the MacBook itself
[42:05.720 --> 42:11.720]  And so if I'm going somewhere where I would want sort of the most portability
[42:11.720 --> 42:14.720]  Obviously, I know that most people don't have three options, of course
[42:14.720 --> 42:17.720]  But when people would ask like, well, I just want the most portability
[42:17.720 --> 42:19.720]  I would say go with the MacBook
[42:19.720 --> 42:23.720]  I mean, it's it's still the main problem there now is the one
[42:23.720 --> 42:29.720]  USB-C port
[42:29.720 --> 42:33.720]  And honestly, you know, I carry around the dongle of course
[42:33.720 --> 42:36.720]  And it's mildly annoying from time to time
[42:36.720 --> 42:40.720]  But I'm not sure it would be even be that much better if it just if it had four USB-C ports
[42:40.720 --> 42:43.720]  Because USB-C is still not doesn't seem quite as ubiquitous
[42:43.720 --> 42:46.720]  Certainly for the things like I have to you know
[42:46.720 --> 42:49.720]  Loop in things for work all the time and sort of hook up different USB-C stuff
[42:49.720 --> 42:52.720]  And I almost always need a converter still
[42:52.720 --> 42:55.720]  So I'm just not sure that that would even sort of alleviate the pain
[42:55.720 --> 42:59.720]  So my biggest problem with the older MacBook and I have the one that's you know came out a couple years ago
[42:59.720 --> 43:01.720]  So it's it's fairly slow
[43:01.720 --> 43:05.720]  But I think a lot of people said that this sort of newer version that came out
[43:05.720 --> 43:08.720]  Several months ago is significantly faster
[43:08.720 --> 43:11.720]  So I would go with that one
[43:11.720 --> 43:19.720]  The thing I like the most about it and I think it speaks to your point that we're sort of approaching peak form factor is
[43:19.720 --> 43:26.720]  And it was the to me the part that made my my personal 2014 I think
[43:26.720 --> 43:30.720]  I get mixed up at how old a two-year-old I think I got it in 2014 anyway
[43:30.720 --> 43:35.720]  Yeah that makes sense my 2014 13 inch MacBook Pro the biggest difference to me
[43:35.720 --> 43:40.720]  And it's it's petty and it has nothing to do with actual computing
[43:40.720 --> 43:47.720]  But it's the ease with which I can open this the display that the display just lifts up perfectly
[43:47.720 --> 43:52.720]  And if I want to adjust it slightly I just put one finger on it on the new ones that is
[43:52.720 --> 43:58.720]  And yeah and it just it's just absolute the perfect amount of resistance where it never moves if I don't want it to
[43:58.720 --> 44:01.720]  And when I do want to move it it's the least amount of energy possible
[44:01.720 --> 44:05.720]  And it makes my old one feel like it's way too hard and heavy to lift
[44:05.720 --> 44:13.720]  And to me that's that's the that's the the ideal that the new MacBooks have ever more closely approached to
[44:13.720 --> 44:20.720]  I don't know about the the regular MacBook like when you lift a MacBook is it so light that the whole thing lifts up or can you do it with one hand?
[44:20.720 --> 44:26.720]  Yeah it's right I would say it's a little bit too light for that I still feel the need to sort of
[44:26.720 --> 44:29.720]  Yeah like you know weigh it down a little bit while I'm lifting it up
[44:29.720 --> 44:35.720]  Whereas the new MacBook Pros you don't have to do that the new MacBook Pros even though in theory it's it's worse to be heavier
[44:35.720 --> 44:41.720]  All things considered right they could make one that was every bit as fast and powerful as the MacBook
[44:41.720 --> 44:49.720]  Yes they would do it they're not going to make it heavier just the Apple is not going to make MacBooks heavier just just to make it easier to open them in the future
[44:49.720 --> 44:58.720]  But right now I feel like the MacBook Pros are at this wonderful ideal between the weight of the base where the keyboard and the battery and everything are
[44:58.720 --> 45:03.720]  And the lightness of the display and the ability to lift it up
[45:03.720 --> 45:16.720]  I agree and so right so the form factor is great right it's so great that it's like it's been whittled down to sort of this this you know that that level of sort of perfection for exactly what you're talking about
[45:16.720 --> 45:23.720]  What else would they possibly do to it beyond like you know expanding touch bar and doing other things to it but it's like that's the form factor
[45:23.720 --> 45:27.720]  There's what else are you gonna do to that you can't really change that now
[45:27.720 --> 45:38.720]  No other than you know and again it's not really a change of the form factor but in theory at some point I presume that they're going to you know it won't be aluminum forever
[45:38.720 --> 45:45.720]  I mean you know I feel like the MacBook still has a decade maybe more ahead of it
[45:45.720 --> 45:52.720]  Is it going to really be aluminum for 20 or 30 years I don't know but so new materials you know
[45:52.720 --> 46:00.720]  But basically I do think the form factor as you know for and for certain tasks it is a wonderful wonderful form factor
[46:00.720 --> 46:10.720]  And I just feel like don't mess with it and I do wonder there's a part of me that wonders if the touch bar is basically a mess with it for the sake of messing with it
[46:10.720 --> 46:20.720]  Right that's exactly what I was basically alluding to in that post you know they felt like look we're sort of at the perfect storm of two things right now right
[46:20.720 --> 46:26.720]  So what we were just talking about sort of the form factor is we've whittled it down to near perfection right
[46:26.720 --> 46:34.720]  And then on the flip side we have sort of the CPUs and the internals are basically not getting that much faster now
[46:34.720 --> 46:47.720]  Because you know Moore's Law has slowed down we're sort of at the point where it's very hard to rationalize a year to year upgrade
[46:47.720 --> 46:56.720]  It's hard to rationalize a two year to year upgrade right for a MacBook Pro because it's just not that much faster than what the state of the art was two years ago
[46:56.720 --> 47:07.720]  And so we have those two things coming into play and so when Apple's trying to think about well what do we do this year to get you know to get people excited about potentially buying the new machine
[47:07.720 --> 47:19.720]  You know you can do you can change the colors of it they've done that a little bit of course with some gold and rose gold options and I don't think that that really moves the needle though on making someone purchase a new one
[47:19.720 --> 47:31.720]  And so this touch bar thing it feels like to me that was you know some idea like let's try this you know let's see if this is interesting and that's a dangerous game for Apple to play I think
[47:31.720 --> 47:40.720]  I totally agree and I wonder about it and it is clearly to me their most important product I know we just had the whole thing with the Mac Pro and that there's iMacs coming out and stuff like that
[47:40.720 --> 47:52.720]  But the MacBooks are clearly the bread and butter of the Mac lineup you know if they had to cut back for some reason you know that's the last Macs to go are going to be the MacBooks
[47:52.720 --> 48:03.720]  And I wonder you and I have talked about this before and I know a lot of people obviously have different differing thoughts on this but like so the other part I think towards the end of that post I wrote was basically
[48:03.720 --> 48:16.720]  I'm very much in the camp of I would love to just do everything on an iPad I'm like 90 I'm 95 let's say percent of the way there the problem is that other 5% matters and so I just can't do it yet
[48:16.720 --> 48:32.720]  I would love to be in that camp though are you and I know you're definitely you know still in the MacBook camp but if they could do if they had full sort of parity maybe not you know not quite as easy to do certain things and vice versa
[48:32.720 --> 48:41.720]  But if they had sort of full parity in terms of functionality would you want to use an iPad more than you use the MacBook
[48:41.720 --> 48:56.720]  No I don't think so I think the longer time goes on the less likely I am to use to even want to use an iPad I feel like I have the clarity now and it might I feel like but I don't feel like I speak to the mass market
[48:56.720 --> 49:11.720]  It's I have so many little things little custom nerd scripts and things that I have set to keyboard shortcuts on my Mac that I can't do on the iPad and that even if I wanted to do through workflow or something like that
[49:11.720 --> 49:30.720]  And I'm super super happy that Apple bought workflow and seems to want to keep it around and maybe they'll integrate it in the OS but like I have a shortcut that is system wide service that I made so that I can convert the selected text in any app from markdown to HTML
[49:30.720 --> 49:49.720]  And the key command I made for it is command shift K I don't know why I forget why because M because command shift M is like minimize windows and so I went to K mark I don't know but I don't even have to think about I had to pause to remember it because my fingers just know it and I've had it for years
[49:49.720 --> 50:00.720]  Yeah but you know so the iPad pros like we were just talking about you know you can get the keyboard that's with it and they you know they have command and shift and K still
[50:00.720 --> 50:12.720]  I guess that in theory they could add that they could add stuff to the system software that would enable something like that in theory right but the form factor doesn't speak to me either like
[50:12.720 --> 50:36.720]  Last week when I was flying home from San Francisco after the shindig at Cupertino I was at the gate at the terminal and I had a couple just a couple minutes before they started boarding and somebody DMed me that I had a typo in a DF post
[50:36.720 --> 50:54.720]  And instead of fixing it on my phone I just I knew I had like a couple minutes I just quick took out my MacBook from my backpack opened it and just without even sitting down just held it in the palm of my hand and opened it logged in fixed it
[50:54.720 --> 51:06.720]  Shut it put it back my backpack like I don't see how you could do that on an iPad I you could do it but you wouldn't have the hardware keyboard there's no way you can just sit there and stand and connect the hardware keyboard and yeah I get that
[51:06.720 --> 51:21.720]  And I'm sort of the same way that's one of the sort of 5% thing is definitely on the writing side of things so I actually do a lot of writing on the iPad but I'll sort of write in the in the app Ulysses and then I basically export it to medium or wherever I'm going to publish
[51:21.720 --> 51:33.720]  And I don't publish though from there because I wait to do some of the formatting stuff that I can just I feel like I can just have a much better handle on using on a on a MacBook and so I wait to publish until after there
[51:33.720 --> 51:48.720]  But that's that's sort of one of the larger parts of the 5% that is still holding me back but in in my in my book I'm sort of I'm quite different, I guess from you in that regard because I like my ideal computing experience would be
[51:48.720 --> 52:06.720]  Where I could go on a trip not have to take any MacBook with me just take the the iPad Pro with the keyboard cover and you know I do it right now for short little trips or you know just on a daily basis like if I'm going to just do email or and then do some reading
[52:06.720 --> 52:18.720]  And I go to a sort of local cafe I just love grabbing that thing and walking out the door don't bring a bag. It's so it just, it just feels like this is the way I want to be doing computing in my life.
[52:18.720 --> 52:29.720]  And I don't want to have, you know, even as we were just talking about, even as felt as the MacBooks are now I just, there's, there's too much going on I like the simplicity of doing everything through the iPad.
[52:29.720 --> 52:44.720]  I totally see the appeal of it but it doesn't, it just doesn't speak to me. I, you know, and I like iPad. But for me and again I'm a big proponent. I have been for years, fighting against the argument that it's fundamentally only good for consumption and not for
[52:44.720 --> 52:59.720]  consumption. I've argued it, but for me personally that actually is very true that I tend to use it, I actually have left the cover of mine for a while now and I just have it with no cover and I read tons on it, and I read lots of Twitter, and I bookmark things
[52:59.720 --> 53:15.720]  during Fireball later from a different machine from it, but it's, I tend not to do any actual typing on it. But I can see the appeal, I totally see the appeal. And I would totally see the appeal for long form writing too. I feel like the longer the thing you're writing, the more, the more pleasant it is.
[53:15.720 --> 53:31.720]  And like when I wrote, like I did, I enjoyed writing my review of the iPad Pro on the iPad Pro because it was a long review. And I do kind of like that it is naturally distraction free. I find I never use the distraction free full screen modes on the Mac for any app ever,
[53:31.720 --> 53:45.720]  because I find that it's just, just gets in the way when I want to get out of it. Whereas on the iPad, it's totally natural. It's, you know, and I'm a big believer in that in general, I feel anything you tack on to a system afterwards is never as good as if it was there from the beginning.
[53:45.720 --> 53:59.720]  So full screen mode on the Mac to me, I use it for video and that's about it. But otherwise to me it feels tacked on because the Mac wasn't designed at the start, it was designed to have everything in Windows that are overlapping you can drag around.
[53:59.720 --> 54:03.720]  Whereas the iPad was designed from the ground up to have full screen apps.
[54:03.720 --> 54:20.720]  Yeah, and I mean, I, so I do a lot of, you know, anything that I write, basically, like you said, sort of that's, that's longer than just a blurb or something like that I try to do on the iPad. And I just it's something about it reminds me of like when I was a kid growing up going to my father's office and like they had typewriters and just using the typewriter, right?
[54:20.720 --> 54:30.720]  I mean, I know it's obviously very different, but something about this focus thing and it's almost like, you know, there's a there's a blank sheet of paper in front of you and the words are magically appearing on it.
[54:30.720 --> 54:46.720]  Yeah, and most things in my life, most things in my life are that I'm in control of are a complete mess. Like my desk is usually just a complete Andy Rooney style mess of papers and odd objects and boxes and all sorts of stuff.
[54:46.720 --> 54:57.720]  So, like lots of things I have are a complete mess. Other things, though, I try to keep obsessively neat and like the daring fireball homepage would be a fine example. There's no clutter.
[54:57.720 --> 55:10.720]  You know, I aspire to that. I wish that I had the organizational ability and the wherewithal to have everything in my life be like that. I when I see pictures of people who have these minimal offices, I covet them.
[55:10.720 --> 55:23.720]  I do. I see the appeal. And I do. I look at my Mac with all of these windows. Like if I go to expose or whatever and see how many apps I have running and how many windows are actually overlapping.
[55:23.720 --> 55:43.720]  Sometimes my Mac looks like a mess. And I do. I like the way that the iPad, even if you open a second app, I love how neat it is that if you have like a message, the messages app on the right in a narrow iPhone with column and your other thing, whether it's Safari or your writing app in a square to the left of it.
[55:43.720 --> 56:02.720]  I love how neatly that's organized where there's no overlap. There's no shadows from windows showing depth. It's just two rectangles perfectly aligned. I love that. And I can see how that is soothing, mentally soothing to people and appealing.
[56:02.720 --> 56:22.720]  Since it's sort of the perfect segue and there may not be much to talk about, but I'm just curious, like, so obviously Apple released the sort of, you know, the cheaper iPad version, but they didn't do anything, you know, as was rumored by many various sites for actual new iPad hardware.
[56:22.720 --> 56:32.720]  And so I presume now that we're at the end of April, we're not going to see any sort of event before WWDC. So do they do that at WWDC? Do they wait for the fall?
[56:32.720 --> 56:43.720]  I don't know. It's very intriguing to me that the supply chain rumor mill seemed to think it was going to happen, you know, like either last month or the first week of April or something like that.
[56:43.720 --> 56:56.720]  And I agree with you. I don't hear any rumblings to the ground that there's anything coming before WWDC. So I almost feel like it's something that maybe they've successfully kept under wraps.
[56:56.720 --> 57:06.720]  So it could happen at WWDC, but if they wait until the fall, I almost feel like they've got to wait till October because it sounds like...
[57:06.720 --> 57:07.720]  So after iPhone.
[57:07.720 --> 57:13.720]  Right, because I don't think they'd want to share the stage with iPhone because it sounds like they've got a very exciting iPhone to unveil.
[57:13.720 --> 57:21.720]  And if it's on schedule, it'll be like the second week of September, as I said before. I mean, they've been pretty consistent on that for three or four years.
[57:21.720 --> 57:38.720]  And I don't think they'd want to share the stage, but they could, in theory. It may come naturally if there's a shared design language of a more edge-to-edge display. It could make sense to unveil them side by side.
[57:38.720 --> 57:44.720]  I don't know, but it would make more sense to me if they did iPhones in September and iPads in October.
[57:44.720 --> 57:48.720]  But you don't think that they would do it at WWDC?
[57:48.720 --> 58:12.720]  I guess they could, but it depends how much these new iPads, which at least one of them is rumored to be a more edge-to-edge display, where the 9.7-inch iPad is still going to be 9.7 inches as a device, but that the screen will be 10-point-something inches instead of 9.7 inches because it's going to take up more of the front face.
[58:12.720 --> 58:16.720]  But that sounds to me like what the rumor is for the iPhone.
[58:16.720 --> 58:25.720]  And they don't want to spoil it, right? That they want the iPhone to come out first.
[58:25.720 --> 58:37.720]  But am I overthinking it? Am I overthinking their willingness to just let the product that's ready to ship first ship first, whether it's the iPhone or not? I don't know.
[58:37.720 --> 58:48.720]  Yeah, and if there was some sort of marquee feature in iOS 11 that was more iPad-focused, maybe.
[58:48.720 --> 58:57.720]  But there hadn't been much rumors about iOS 11 at all, even though we're fairly close, which is interesting.
[58:57.720 --> 59:20.720]  Well, other than the fact that for a while, I don't know if you've noticed this, but I've heard rumors for a while that months ago, I guess more or less when iOS 10 came out last WWDC, after the event was over, there were rumors beforehand that Apple might unveil some iPad-pro-specific features.
[59:20.720 --> 59:33.720]  And the keynote came and went and there were none. And then in the aftermath, the word was, well, that got punted from 10.0, but it's going to come in like 10.2 or something. 10.2 or 10.3.
[59:33.720 --> 59:43.720]  But we've gotten to 10.3 and it didn't happen. And there's not going to be a 10.4 between now and June because all hands are working on iOS 11.
[59:43.720 --> 59:55.720]  So whether that ships in iOS 11.0 or not, or gets punted once again to the first big update in December or January of 11.2, I don't know.
[59:55.720 --> 01:00:06.720]  But there have been rumors since this time last year that they have iPad-pro-specific improvements to the OS for multitasking and stuff like that.
[01:00:06.720 --> 01:00:25.720]  And if that is the case, then we may have just answered our riddle, right, that they would launch that and presumably they would want to have new iPad-pro hardware to show whatever that functionality is off, since the iPad-pro would be relatively old at that point, right, over a year between iterations.
[01:00:25.720 --> 01:00:31.720]  Right. Well, and the 12-inch one, the 13-inch one would be a year and a half old.
[01:00:31.720 --> 01:00:32.720]  Yeah, really old.
[01:00:32.720 --> 01:00:42.720]  Really old at this point. I don't know. But, I mean, both of them launched with, I feel, a lot of headroom to wait for the next version because they really are pretty fast for iPads.
[01:00:42.720 --> 01:00:47.720]  I mean, they're both faster than—I don't know if they're faster than the current MacBook, but I think they are.
[01:00:47.720 --> 01:00:54.720]  And they're certainly faster than the MacBook that you're talking about, the original MacBook with one port. I mean, that's how fast they are.
[01:00:54.720 --> 01:01:10.720]  Yep, I'm using the big iPad-pro right now, which I almost never use. Again, speaking to, obviously, as we all do, we just buy a bunch of devices, probably more than we need, but it is nice when you're sort of sitting at a desk. It's a nice sort of second screen.
[01:01:10.720 --> 01:01:33.720]  Yeah, I don't know. So I feel like they need to, though, and I feel like selling points on changes to the OS to make it a little bit more—bring the iPad, especially the iPad-pro, a little bit more towards the Mac in terms of capabilities, not necessarily copying things from the Mac and how you do it, but just making it easier.
[01:01:33.720 --> 01:01:44.720]  I mean, the thing I would like to see them do—let me take a break, actually. I mean, hold this thought, and I'll take a break because it's a good way to keep people in suspense.
[01:01:44.720 --> 01:02:00.720]  I want to talk to you about our next sponsor. I love this company. I love their products, and this is a company that—I hate to say it, but they shouldn't even be paying me to promote their products because I would sing their praises even if they weren't, and that company is Eero.
[01:02:00.720 --> 01:02:13.720]  E-E-R-O. Eero makes Wi-Fi routers for your house. You don't have to choose which one. They just have one model right now. You buy a three-pack. You plug one of them.
[01:02:13.720 --> 01:02:22.720]  They're little white boxes, roughly the size of an Apple TV or something like that, that almost looks like an Apple-designed product. They ship with Apple-style, really supple.
[01:02:22.720 --> 01:02:31.720]  Even the Ethernet cables they give you in the box are nice. It's like a nice Ethernet cable. It's not like a piece of junk thing that you got from Joe's cables on the corner.
[01:02:31.720 --> 01:02:37.720]  Nice cable, nice power cable. You plug it into your router, and now you've got—there's your primary Eero base station.
[01:02:37.720 --> 01:02:45.720]  Then you take the other two, and maybe your router is on the first floor. You put another one on the second floor and another one on the third floor.
[01:02:45.720 --> 01:02:52.720]  Keep them near the steps. Try to minimize how many walls it has to go through, and it creates what's called a mesh network through your house.
[01:02:52.720 --> 01:03:00.720]  It is a huge difference. Now, I don't know what—maybe if you live in a studio apartment, guess what? You don't really need an Eero.
[01:03:00.720 --> 01:03:07.720]  It's a nice base station, but you really only need one, and it'd be a nice base station for that, but the mesh network thing isn't going to help you out.
[01:03:07.720 --> 01:03:21.720]  But if you live in a city like I do, we have four floors. There's really no way to set up one router that I've ever tried that gets a good Wi-Fi signal everywhere in the house.
[01:03:21.720 --> 01:03:29.720]  I personally—I just recently upgraded my Comcast service, had Comcast come in, got new Internet.
[01:03:29.720 --> 01:03:41.720]  Comcast's new router—they gave me a router with the thing. In the room where I have it set up in my home office, I get like 150, 200 megabits per second over Wi-Fi.
[01:03:41.720 --> 01:03:48.720]  It's amazing. That's an amazing performance. It's like 10 times faster than what I had before. One floor up, still pretty good.
[01:03:48.720 --> 01:03:54.720]  It's like 50 megabits per second, something like that. But in my master bedroom—this is no shit. I swear to God this is true.
[01:03:54.720 --> 01:04:01.720]  I tested this with the speed test app. I get 0.2 megabits per second Wi-Fi from that router.
[01:04:01.720 --> 01:04:06.720]  So it goes from 200 megabits per second to 0.2 megabits per second.
[01:04:06.720 --> 01:04:14.720]  So once the Comcast guy was gone and I knew I had good Internet, I'd reset up my Eros. I put my Ero in there, and I only have three.
[01:04:14.720 --> 01:04:24.720]  Now I still get 200 or so megabits per second in my office from Ero, but my master bedroom is getting 60 megabits per second Wi-Fi.
[01:04:24.720 --> 01:04:34.720]  That's how great it is. I cannot be—and I didn't have to configure anything. You just follow the instructions in their little app, and it just configures everything.
[01:04:34.720 --> 01:04:44.720]  And they even tell you that they talk to each other, and they fix it up, and after you've set it up, like 24 hours later, the service is usually even better
[01:04:44.720 --> 01:04:49.720]  because the Eros have communicated with each other about where they should hand off to each other.
[01:04:49.720 --> 01:04:56.720]  Cannot tell you how happy I am with this product. I recommend it highly. I don't know what else to tell you.
