[00:00.000 --> 00:02.000]  Don't remember if I was barefoot last year
[25:04.420 --> 25:10.420]  It's like the the most effective way to pack that kind of cereal would be in a much more like short squat box
[25:10.420 --> 25:14.380]  Almost like the shape of like a pop-tarts box like like a shorter squatter box that's deeper
[25:14.380 --> 25:21.340]  But they make them these giant skinny flat rectangles. So they appear large on the shelf. They're like billboards for kids
[25:21.340 --> 25:22.360]  Yeah, and of course
[25:22.360 --> 25:27.360]  They're all you know that all the sugariest ones are at kid height so that kids can see it and beg their parents to buy
[25:27.360 --> 25:30.200]  It well, I got Whole Foods. They'll sell cereal that comes in a bag
[25:30.500 --> 25:32.140]  They do have box cereal too
[25:32.140 --> 25:37.360]  But but they'll sell that cereal in a bag and then I think they even like label it on the bag like this is space
[25:37.360 --> 25:41.200]  Efficient. Yeah, right. You're you're trying to tell you like look like we were growing up
[25:41.200 --> 25:44.820]  There were bag cereals at the very bottom and they were like the cheapo one, right?
[25:44.820 --> 25:49.020]  Right, so they're trying to like probably try to get rid of that image of like no trust me if bag cereal is good
[25:49.020 --> 25:50.960]  I don't say I think it's a losing battle
[25:50.960 --> 25:55.280]  I think I think that that ship has sailed and no one's ever gonna think that but but they can try
[25:55.560 --> 26:00.020]  One thing too. I realize like when I was a kid just like how
[26:00.800 --> 26:02.400]  incredibly effective
[26:02.400 --> 26:07.520]  TV commercials during kids shows were at getting kids to make their parents buy them certain things
[26:07.720 --> 26:13.240]  because like now like my kid now we you know, we I've been a cord cutter since before it was called that and
[26:13.840 --> 26:16.940]  My kid now has almost never seen TV commercials
[26:16.940 --> 26:20.400]  like well if we were if we're like in a hotel room will turn the TV on and he'll
[26:20.560 --> 26:22.980]  Feel like why does the show keep stopping and what is this?
[26:23.800 --> 26:28.560]  Like but so for the most part he doesn't see commercials. So it's interesting that he almost never
[26:28.560 --> 26:36.680]  Requests certain exact things like buy certain brands or certain toys the way we would and I just remember thinking like, you know
[26:36.680 --> 26:41.240]  the reason I knew about Rice Krispies Treat cereal when I was a kid was that I watched Saturday morning cartoons and
[26:41.400 --> 26:44.200]  And probably TV throughout the week at different times as well
[26:44.200 --> 26:44.560]  and
[26:44.560 --> 26:49.320]  So I always I saw all the commercials and I would beg for the things in them that were usually not as good as I
[26:49.320 --> 26:52.080]  Thought they would be like the typhoon hovercraft piece of crap
[26:53.760 --> 26:57.600]  And and and like, you know, but now so I
[26:57.600 --> 27:00.740]  Know I wouldn't say like so few kids watch commercials
[27:00.740 --> 27:05.720]  but certainly a lot fewer now watch commercials than did like in the 80s and 90s and
[27:06.120 --> 27:08.120]  Wonder like how does that change like?
[27:08.800 --> 27:14.160]  How do our kids even know like what to ask for? I mean YouTube I guess I
[27:14.760 --> 27:23.360]  it in hindsight, I can definitely agree that I was more influenced by by kids show commercials than I would have as a
[27:25.080 --> 27:27.080]  Smart alecky
[27:27.080 --> 27:33.760]  Kid who was you know fairly cynical from a young age? I would have sworn up and down that you know
[27:33.760 --> 27:41.240]  It's that's for dummies who get brainwashed by commercials. I'm smart. And meanwhile, I'm asking my mom for mr. T cereal, right?
[27:41.720 --> 27:47.240]  And we don't like we don't even go like, you know, there were the two areas to avenues of marketing that hit us hard
[27:47.240 --> 27:47.680]  You know
[27:47.680 --> 27:52.000]  There's a commercials with a big one and then also like we would be going to a lot more
[27:52.000 --> 27:57.240]  Retail stores like we would go to a toy store to buy certain toys now we just get them on Amazon
[27:57.240 --> 28:01.400]  Yeah, and so like we don't like my kid is hardly ever in a toy store
[28:01.400 --> 28:06.600]  I don't even know if any toys are still in business, right? Everything just comes in a brown Amazon box, right?
[28:06.600 --> 28:12.600]  So like the only the only method of marketing that seems to work on him is when his friends at school have something then he'll
[28:12.600 --> 28:14.400]  Often ask for one, you know one like that
[28:14.400 --> 28:19.360]  But that's about it and and a lot of his friends at school are have similar parents who were like hearing also are pretty much
[28:19.360 --> 28:24.720]  Cord cutters and Amazon shoppers. So like the the amount of like things that he asks for
[28:25.320 --> 28:30.840]  Specifically, you know certain brand names or certain types of food are very very low compared to what we did when we were kids
[28:30.880 --> 28:32.880]  Yeah, definitely. I
[28:34.560 --> 28:39.320]  I think it's also the cereal racket before we move on to other topics the cereal rack
[28:39.320 --> 28:40.360]  This is better than tech news
[28:40.360 --> 28:45.720]  I mean the cereal racket was always interesting to me because it it was a very vibrant
[28:45.720 --> 28:49.280]  It probably still is I'm guessing it's a very vibrant
[28:49.960 --> 28:51.960]  distinctive mix between
[28:52.000 --> 28:55.440]  all-time classics that haven't changed ever
[28:56.480 --> 28:59.960]  Cheerios corn flakes. Yeah, I think rape nuts are not certain
[28:59.960 --> 29:03.520]  Yeah, like there was the article I mentioned ATP the no grapes no nuts. No market share
[29:03.520 --> 29:08.200]  I think it was called like it said how like they change they had to change the recipe twice like once to add
[29:08.920 --> 29:12.400]  They added back a little bit of the like the like wheat hulls
[29:12.400 --> 29:17.680]  They could call it whole grain and at some at one time they add they like fortify it with vitamins to get the vitamin
[29:17.720 --> 29:22.400]  Comply with something. Yeah, like so like most of these things like corn flakes like there
[29:22.400 --> 29:26.680]  I think they have similar things like they've even modified very slightly over time, but they're basically the same thing
[29:26.680 --> 29:32.500]  But you've got these staples you got these classics and then there's the the like I said, mr. Tea cereal
[29:32.500 --> 29:38.060]  I mean, I'm dating myself here, but I remember pac-man cereal was a big deal in the early 80s
[29:38.060 --> 29:44.180]  You know, they would just take whatever the fad of you know, 1982 and then they would make a breakfast cereal out of it
[29:44.180 --> 29:49.340]  Of course, why wouldn't you I seem to recall? I think Nintendo had a cereal at one point. Oh, yeah every big
[29:49.340 --> 29:51.500]  Yeah, I'm sure they were like Mario cereals and stuff
[29:51.500 --> 29:55.460]  They were I'm sure there was probably a sonic cereal when I was you know going through that time
[29:56.020 --> 30:01.260]  Because they you know, they were always cereal companies are shameless with licensing and everything. You can get pretty much anything
[30:01.300 --> 30:04.860]  Yeah, they should do like an iPhone cereal. Just see you're eating like little tiny iPhones
[30:04.860 --> 30:10.280]  I wonder could they get the super ellipse shape of the icons? Yeah, can they get that right? No
[30:10.780 --> 30:14.680]  They don't even make pac-man right? Yeah, did not look like pac-man. Yeah
[30:14.680 --> 30:18.820]  See, it seems like the breakfast cereal factory tooling is not incredibly precise
[30:20.220 --> 30:26.700]  I know it's I always enjoyed to that small print on the cereal boxes like like as they you know
[30:27.540 --> 30:30.120]  Would people sue I don't know but it's like, you know
[30:30.120 --> 30:35.900]  They'd show you having your your bowl of Cheerios and then there's a bunch of cut up strawberries in it and then they tell you
[30:35.900 --> 30:38.340]  That the strawberries are not included and it's like oh, yeah
[30:38.340 --> 30:43.080]  All right, pretty sure fresh strawberries are not gonna do well in this box. But yeah strawberries shown for scale
[30:43.260 --> 30:47.220]  Yeah, like or like the the part of this complete breakfast nonsense. Oh, right. So it's fun
[30:47.220 --> 30:51.300]  Like I forget the story there. There's some story behind that of basically like, you know
[30:51.300 --> 30:56.100]  it's there was some reason why the wireless cereal companies would advertise as part of this complete breakfast and it was
[30:56.100 --> 31:02.460]  it again, like as with many food claims it's total BS and it's like the the better breakfast would be that exact same thing minus the
[31:02.460 --> 31:04.460]  Cereal and that would actually be a better
[31:05.100 --> 31:07.340]  Than whatever you're adding the cereal to right now
[31:08.620 --> 31:14.540]  I also think I think it's complete nonsense that I know that did people debate about this and I think different
[31:14.780 --> 31:17.280]  This is it's very personal in my opinion
[31:17.300 --> 31:23.820]  You're with the way your body metabolizes whether you're a morning person or a night late night person, but they really successfully
[31:23.820 --> 31:31.100]  sold all of North America on the idea that breakfast is the quote most important meal of the day like if
[31:31.580 --> 31:37.020]  Yeah, I feel like whatever whatever meal your food goes in that you sell you want to make that claim, right?
[31:37.020 --> 31:43.220]  Oh, I just think you know, but that's a bold claim and they had like nothing to back it up
[31:43.220 --> 31:45.220]  They're just like well, we'll just tell people that yeah
[31:45.220 --> 31:49.820]  Yeah, I think what we found is like because now we have you know a variety of like now
[31:49.820 --> 31:54.300]  You know, I know people who eat all sorts of breakfast from like large breakfasts to you know
[31:54.300 --> 31:58.660]  Super are healthy to super unhealthy to no breakfast and they all seem fine
[31:58.660 --> 32:02.620]  it seems like it might be the least important meal of the day actually like it seems like you can do pretty much whatever you
[32:02.620 --> 32:04.420]  want for breakfast and
[32:04.420 --> 32:06.760]  It's not gonna have a massive effect on you
[32:10.820 --> 32:12.380]  What else do we have
[32:12.380 --> 32:15.000]  What do you what's on your mind? I don't know
[32:15.000 --> 32:18.180]  I mean there's been a bunch of you know minor stuff like there was like the the whole like
[32:18.180 --> 32:21.060]  You know listening to Siri requests thing. I don't know how much there is there
[32:21.060 --> 32:23.580]  I don't really I don't care that strongly about that. Honestly, I so I
[32:25.420 --> 32:29.340]  That broke right before Molten I recorded over the weekend I
[32:30.780 --> 32:32.780]  Looked into it
[32:32.820 --> 32:34.820]  The Guardian is usually pretty good
[32:34.820 --> 32:41.840]  but I I don't get this like you definitely I knew we've always had to agree to some kind of terms with
[32:41.980 --> 32:43.980]  Siri that would acknowledge that they're
[32:45.740 --> 32:47.180]  Letting you
[32:47.180 --> 32:49.180]  like for quality control purposes
[32:49.580 --> 32:53.960]  listening, but that they're doing it in a completely anonymized fashion like I
[32:54.540 --> 32:57.020]  It just did not seem like new news to me. I
[32:57.820 --> 33:01.100]  Think the difference is and they talked about this this week on upgrade
[33:01.920 --> 33:03.920]  the difference is that
[33:04.140 --> 33:09.580]  When when you agree that like oh when you push the Siri button on your phone and you ask to do something it is going
[33:09.580 --> 33:13.460]  To servers and those servers are also gonna have things like your contact information
[33:13.460 --> 33:17.620]  So it can know like if you say, you know call TIFF it's gonna look at my contact to see who TIFF is
[33:18.060 --> 33:21.060]  And it does all that logic server side to the servers need your contacts stuff like that
[33:21.060 --> 33:25.540]  So we I think we who were in the know we we knew that and we knew that was doing that
[33:26.140 --> 33:28.480]  The main trick this is this is what upgrade brought up
[33:28.480 --> 33:34.440]  I think the main difference is that there's a lot of accidental invocations ever since the hey dingus support came out
[33:34.580 --> 33:37.020]  like like we have a home pod in our kitchen and
[33:37.740 --> 33:42.460]  All the time we'll be having a conversation that does not include those two words at all
[33:42.460 --> 33:48.460]  And you know home pod will pipe up in the corner. Hmm. Sorry. What was that or you know something like that?
[33:48.460 --> 33:52.620]  it'll make some noise that indicates that it was listening for a few seconds and thought we were trying to tell it something and then
[33:52.620 --> 33:54.620]  it failed for whatever reason and
[33:54.820 --> 34:00.140]  There that happens a lot and and the home pod is the only device that I have Hayden it isn't enabled for I don't even
[34:00.140 --> 34:03.780]  Use it on the other devices because honestly it's a lot easier to have a home pod in your house
[34:03.780 --> 34:06.200]  If that's the only device you have respond to that command
[34:06.200 --> 34:13.600]  It solves a number of problems. But anyway by default that features on on on most Apple devices these days
[34:13.600 --> 34:16.840]  Like it'll tell you during the setup wizard and it'll give you a chance to turn it off
[34:16.840 --> 34:18.040]  but like they the
[34:18.040 --> 34:21.560]  Like kind of like the default run through process the encouraged flow is to turn it on
[34:21.800 --> 34:29.920]  so a lot of people have the hey dingus support turned on and so that because it is both trying to be automatic with its
[34:30.000 --> 34:33.400]  invocation and because it is honestly not as good as
[34:33.400 --> 34:37.200]  Something like an Amazon echo at knowing when you're calling it and when you're not
[34:37.640 --> 34:42.200]  I think that's giving a lot of accidental input into Siri
[34:42.200 --> 34:47.080]  And so the controversial part of these recordings is like you didn't even realize it was recording
[34:47.080 --> 34:48.720]  And so who knows what you were talking about, right?
[34:48.720 --> 34:53.240]  and so you could have been doing something embarrassing or nefarious or private and
[34:53.760 --> 34:59.120]  And now like now somebody some somebody at some contractor in Silicon Valley not even an Apple employee
[34:59.120 --> 35:06.360]  but some contractors reviewing, you know, your sex tape or drug deal or whatever and it's like and that's just that goes against
[35:06.640 --> 35:10.760]  What people expect to be the case even though we know academically
[35:10.760 --> 35:11.040]  Oh, yeah
[35:11.040 --> 35:16.160]  Recordings go to the server like you think of it when you think of these things you think of the typical or ideal case
[35:16.160 --> 35:19.400]  You think oh when I push the button and and tell it ask it a question
[35:19.400 --> 35:22.380]  It's gonna send what I said to a server. Okay, no problem
[35:22.380 --> 35:25.500]  You don't think about all this accidental implications where it's recording just a random
[35:25.500 --> 35:29.680]  Snippet of audio from your world and then some weirdos listening to it
[35:30.600 --> 35:36.680]  and I would guess that accidental invocations might be more likely to be reviewed because
[35:37.320 --> 35:40.720]  Siri, you know, I do say she'll go. Hmm. I didn't catch that or right
[35:40.720 --> 35:48.600]  Yeah, and that maybe those get flagged as hey the last 15 seconds of interaction here weren't completed successfully
[35:48.840 --> 35:54.680]  and maybe that sets a flag that makes it more likely to be reviewed and I did see that that was in the Guardian story where
[35:54.680 --> 35:57.220]  That the anonymous contractor who is their source
[35:58.280 --> 36:01.040]  You know said that they heard drug deals and all
[36:02.800 --> 36:04.320]  I'm sure there's in the common case
[36:04.320 --> 36:08.360]  I'm sure most of what they hear is boring or nothing or or you know, just some random chatter
[36:08.360 --> 36:12.920]  but but yeah, like the fact is that can happen and it does occasionally at least happen and
[36:13.400 --> 36:16.660]  and I think the the main issue here is that
[36:17.260 --> 36:20.300]  People don't really know that that's happening
[36:20.300 --> 36:27.040]  like you can tell them in some small print somewhere, but they don't really know like they they don't you're not really going to
[36:27.960 --> 36:33.800]  Communicate well to people that your recordings of random audio snippets will be reviewed by humans sometimes
[36:34.880 --> 36:39.520]  like that there should be an explicit opt-out that says basically like can
[36:39.840 --> 36:45.800]  Can Apple review your recordings periodically, you know to for you know to improve quality or whatever, you know
[36:45.800 --> 36:50.840]  How are they word it but like that should be an explicit opt-out and right now there is no separate setting for that
[36:50.840 --> 36:56.800]  If you don't want Apple to review your recordings periodically, you can't use Siri right and you can't you can't both
[36:57.320 --> 36:59.320]  advance the position that
[36:59.480 --> 37:03.200]  Siri is the future and super important and we're tying so much functionality to Siri and
[37:03.760 --> 37:08.740]  Also say well if you don't like this detail of it, just don't use any of it. Like that's
[37:09.520 --> 37:14.560]  That's not a valid argument. I think at this point. I do think Siri is getting better
[37:14.560 --> 37:19.040]  I think it is, you know, I've always been a little like desktop Linux. I
[37:20.000 --> 37:22.480]  I remain optimistic about
[37:23.040 --> 37:24.920]  Siri's future
[37:24.920 --> 37:30.320]  but I still think that we are in such ridiculous early days of this and
[37:31.120 --> 37:33.640]  in some ways that frustrates me because it was like
[37:34.660 --> 37:37.600]  we went when I was a kid we went from like
[37:38.720 --> 37:43.160]  Steve the two Steve's making the Apple one in a garage
[37:43.160 --> 37:44.800]  to
[37:44.800 --> 37:49.280]  having the Macintosh seven years later like yeah
[37:49.840 --> 37:54.180]  It was really really rapid and all of a sudden by 1984
[37:54.180 --> 37:59.600]  We had these computers that had this really polished interface that was you know
[37:59.600 --> 38:02.380]  Like regular people could use it and understand it
[38:03.560 --> 38:06.820]  Whereas series have been around since 2011
[38:07.920 --> 38:09.240]  Yeah
[38:09.240 --> 38:15.360]  And it's not progressing as fast and none of them are that good but I did one of the little things I noticed and it's
[38:15.360 --> 38:21.280]  So hard, it's it's so much harder to evaluate than software on your phone or on your Mac
[38:21.720 --> 38:26.960]  Where you see everything and you see all the details and you can say oh they changed the size of these buttons
[38:26.960 --> 38:28.960]  Or they changed the color
[38:29.000 --> 38:30.080]  Oh
[38:30.080 --> 38:36.680]  They redid the disk utility window, right? It wasn't like you like when they redid disk utility a few years ago
[38:36.680 --> 38:41.960]  It wasn't like there was any question in your mind. Did they change disk utility? You could see it. Whereas
[38:42.480 --> 38:45.200]  With the voice assistant, you can never quite be sure
[38:45.920 --> 38:50.520]  But like I have noticed this summer it has been very very hot in Philadelphia
[38:50.520 --> 38:53.980]  and I one of the things I do most frequently with
[38:54.880 --> 38:59.360]  Siri is asked for the weather because I might be getting dressed in the morning or something
[38:59.360 --> 39:02.840]  I don't have my watch on yet or I don't have my phone in my hand and
[39:02.840 --> 39:08.560]  And I have noticed that she hasn't once this summer given me any kind of smart alecky
[39:10.520 --> 39:15.600]  Hot you know because it's 101 degrees you could like turn that down a little bit all that annoying well
[39:15.960 --> 39:23.280]  Personality, I think they have but maybe I'm getting a bad sample size, you know, like I can't prove it
[39:23.880 --> 39:25.680]  but I'm
[39:25.680 --> 39:32.840]  Specifically thinking about the hot temperatures or what was and in the winter. She does burr or cold. Yeah, it's always it's always like about
[39:34.120 --> 39:40.760]  40% more words than you wanted her to give you in response to anything and it's oftentimes like a lot a lot more
[39:41.160 --> 39:49.320]  Personality than is warranted by the accuracy and helpfulness of the assistant. It's like like I feel like if the assistant's gonna be
[39:49.320 --> 39:55.520]  Fairly primitive, you know in grand terms and and not and it's gonna keep making mistakes
[39:55.560 --> 39:58.800]  A lot the way many of these assistants do and especially Siri
[39:58.960 --> 40:06.320]  I feel like it shouldn't exhibit a lot of personality because if it's if it's doing something wrong and then it says burr
[40:06.600 --> 40:09.640]  You're just annoyed you like you want to throw out the window at that point like it
[40:09.640 --> 40:15.440]  You know give give a little personality as a little person always possible until it's actually like earned and I feel like none of these
[40:15.440 --> 40:19.880]  Assistants are good enough that they've earned the ability to start making smartass comments up back at you, right?
[40:19.880 --> 40:26.600]  And I feel like like one of the ones for me is I have two contacts in my contacts database
[40:27.640 --> 40:30.000]  For women whose first name is Amy
[40:30.880 --> 40:32.880]  one of them I
[40:32.880 --> 40:35.080]  Sent text messages to all the time
[40:35.680 --> 40:41.640]  And the other is somebody I have a professional relationship with and I don't believe I've spoken to her since like 2015
[40:41.640 --> 40:45.920]  But I don't want to delete the contact. I feel like maybe you have to rename her
[40:45.920 --> 40:50.120]  I maybe but then I feel like I'll forget what I renamed her. I guess I know her last name
[40:51.240 --> 40:52.720]  but it's
[40:52.720 --> 40:59.200]  It's a little interaction that bothers me every single time when I'll say, you know
[40:59.200 --> 41:05.280]  Text to Amy something something and they'll say which Amy and then I have to pick and it never learns and it never learns
[41:05.280 --> 41:07.280]  and it just feels like
[41:07.840 --> 41:09.720]  the
[41:09.720 --> 41:11.720]  Like I could hire the worst
[41:12.520 --> 41:14.480]  personal assistant in the world
[41:14.480 --> 41:17.120]  I could go to a local college and
[41:17.400 --> 41:24.260]  Say give me somebody who's on drugs and it's flunking out and I'll hire hire that person as my personal personal assistant
[41:24.720 --> 41:30.440]  They could be you know, really bad personal assistant. I could be fretting I could say I think I got a fire this person
[41:30.440 --> 41:31.360]  It's not working out
[41:31.360 --> 41:37.960]  But if I told my assistant text my wife that I'm gonna be late or text Amy, right?
[41:37.960 --> 41:40.360]  Yeah, I'm gonna be late. They would know to text my wife
[41:40.360 --> 41:45.640]  Yeah, even the worst assistant a human would always have to have the judgment to know that context
[41:45.640 --> 41:46.280]  I mean, yeah
[41:46.280 --> 41:52.240]  like right now like we have kind of a dual system family like we we had the Amazon echo before we had the home pod and
[41:52.240 --> 41:54.160]  we still have both and
[41:54.160 --> 41:57.200]  So do we yeah and it's so bad and we recently
[41:57.880 --> 42:02.160]  Like Tiff took over the echo as hers like we reassigned it to entirely hers
[42:02.240 --> 42:07.380]  So it's it's all her accounts registered to her and everything and the home pod stays with me
[42:07.380 --> 42:13.040]  And so we always joke that now we have like two dim assistants that are just kind of dim in different ways
[42:13.520 --> 42:17.480]  And like you ask one of them to do something and it totally bombs out
[42:17.480 --> 42:21.680]  Yes, the other one. It'll usually get it right, but it's not like one of them is never
[42:22.200 --> 42:25.580]  There isn't just one that that's so good that we can keep just that one
[42:25.920 --> 42:30.960]  ultimately what I hope is happening here and maybe this is a bad example because we haven't seen the result of the
[42:31.120 --> 42:32.920]  Big like maps rewrite yet
[42:32.920 --> 42:39.160]  I know there were some concern that it might actually not be as good as we were hoping but assuming that it does get good
[42:39.160 --> 42:45.640]  I hope there is something like the the great maps rewrite going on for Siri, you know, they hired John Gendrea
[42:46.080 --> 42:49.720]  What about two years ago now a year ago something like that? I think it was two years ago something like that
[42:49.720 --> 42:52.360]  Yeah, and maybe what's just last year. I don't know
[42:52.760 --> 42:56.960]  They hired him like in any early recently, right and he's he got promoted to SVP
[42:56.960 --> 43:05.120]  and so like clearly like there was there's a major shift of Syria leadership with somebody who was very qualified to do this kind of
[43:05.120 --> 43:05.840]  thing
[43:05.840 --> 43:10.420]  In in a way that I think was probably way better than the way Apple is doing it before so hopefully
[43:11.040 --> 43:18.280]  There is some kind of great effort going on to really transform Syria and really bring it at least up to the level of the
[43:18.660 --> 43:20.660]  Amazon echo and the Google whatever
[43:20.760 --> 43:22.760]  Hopefully it gets past that level
[43:22.760 --> 43:26.960]  But but just to at least meet it in some of the basics like Siri
[43:26.960 --> 43:32.160]  Yes, here is ahead in some areas, but it still falls behind in some of the basics of like reliability
[43:32.880 --> 43:40.360]  performance some basic logic basic learning like it's still way behind even even where the Amazon echo was like three years ago in a
[43:40.360 --> 43:44.440]  lot of those areas, so I hope they're I hope and I and I
[43:44.880 --> 43:48.960]  Assume that they actually are doing some kind of great Siri reset behind the scenes
[43:48.960 --> 43:53.280]  Although honestly, I've heard nothing to that effect and it's you know, it's so hard
[43:53.920 --> 43:56.400]  It's obviously a very hard problem domain
[43:57.760 --> 44:03.680]  But like if if I only understood my wife as often as Syria understands my wife
[44:03.680 --> 44:09.000]  she would she would be concerned and take you know, tell me I need to go get my hearing checked at the doctor because
[44:09.000 --> 44:18.040]  This isn't working out and the problems go beyond hearing right here. He hears me great. Oh, see she she hears something but it's
[44:19.320 --> 44:26.120]  Like Amy for whatever reason Amy it, you know a fine podcaster in her own right speaks very clearly
[44:28.480 --> 44:33.520]  But it's shocking to me how often like when like her miss rate on
[44:33.520 --> 44:40.920]  Like doing some of our home kit stuff like with the lights or the shades or something like that is really low or and and she'll
[44:40.920 --> 44:42.920]  say stuff like
[44:43.920 --> 44:45.920]  Open open the kitchen shades
[44:45.960 --> 44:52.400]  And and one of the things that's great about Siri is that Siri doesn't make you do like a command line
[44:52.400 --> 44:58.480]  You have to use the words the same way. You can say right open open the shades in the kitchen open the kitchen shades
[44:58.560 --> 45:01.560]  You don't have to program a scene with those specific names
[45:01.560 --> 45:04.960]  should generally just figure it out, but but
[45:07.200 --> 45:13.320]  It's just we have one where the main floor of our house is a couple of different rooms so I do have a scene
[45:14.200 --> 45:16.040]  called
[45:16.040 --> 45:23.640]  Open main floor shades and that just opens all of them and Amy will say open main floor shades exactly and Siri
[45:23.640 --> 45:26.400]  Will say I'm sorry. I don't have anything by that name
[45:26.400 --> 45:32.840]  so the one common issue I have a Siri is if you're saying something that is
[45:33.360 --> 45:36.620]  Close to a common word. It's almost like my like snap to grid thing
[45:36.620 --> 45:41.520]  Like if you're saying something that's close to a common word, but it's not but it's like a different word
[45:42.040 --> 45:46.080]  Sometimes Siri will hear it as that common word every single time no matter how you say it
[45:46.080 --> 45:48.840]  So one example of this is like when Siri first came out
[45:49.100 --> 45:54.300]  You could say you could tell your phone like if your name like in my case if your name was Tiffany
[45:54.300 --> 45:58.520]  You could say call me Tiff and it would say okay from now and I will call you whatever you said
[45:58.520 --> 45:59.960]  but in this case
[45:59.960 --> 46:06.320]  She could not get Siri to say that it would just say everything no matter how she or I pronounced it every single time
[46:06.320 --> 46:08.320]  It would say okay. I will call you test
[46:09.040 --> 46:12.260]  Every single time and and and even you know that and that was years ago now
[46:12.260 --> 46:16.920]  But even now with the home pod like they added the name timer support finally. Thank God. It's great
[46:16.920 --> 46:20.880]  I wish it would come to iOS but cool where you know start with the home pod at least that's good and
[46:20.880 --> 46:23.220]  You know some mornings
[46:23.220 --> 46:28.340]  I'll make some bacon and eggs and I will say start a bacon timer for 12 minutes with the bacon in the oven
[46:28.860 --> 46:35.420]  Every single time. Okay. I've started a baking timer every time no matter how I say bacon
[46:35.420 --> 46:38.420]  I cannot get it to not say back to me bacon
[46:38.420 --> 46:45.960]  All right, and it you would think like if you were talking to a person you you could say start a bacon timer BAC
[46:45.960 --> 46:51.660]  On yeah, right. Yeah, you can clarify. Yeah, and and there's no way to clarify like that and it's just like the yeah
[46:53.140 --> 46:56.660]  You just sort of start to break down, you know, I don't know
[46:56.980 --> 47:00.500]  But maybe I think I'm saying it like with an apostrophe instead of yeah at the end bacon
[47:00.500 --> 47:06.100]  I'll be I'm just baking out here just dropping your G's. Yeah, right. Yeah start a bacon timer bacon. I
[47:07.020 --> 47:09.660]  Also think that the name timer thing was interesting
[47:09.660 --> 47:17.780]  That you know the home pod well and home pod was single-timer only you couldn't name them and it was single-timers
[47:19.500 --> 47:24.020]  And the reaction from some people at Apple PR was
[47:24.540 --> 47:29.500]  Okay, it's you know, it's a good feature. But you know, is this really that big a deal and yes it is
[47:29.820 --> 47:35.120]  well, and I and the thing is is I think it it was an instance where
[47:35.120 --> 47:42.600]  the cultural insularity of Apple where a lot of Apple employees really only use Apple stuff and
[47:43.240 --> 47:51.240]  If they so if they didn't if they weren't used to having an echo where you can do that and do it in the kitchen
[47:51.320 --> 47:53.800]  It's like you you're totally missing the point
[47:53.800 --> 47:58.960]  it's like the main reason to buy an echo really and put it in your kitchen is to have these name timers that you don't
[47:58.960 --> 48:00.920]  have to touch and that you can
[48:00.920 --> 48:07.040]  Query, you know, how much time is left on the pizza and get it very accurate answer and I think too
[48:07.040 --> 48:11.000]  I mean this this was a larger problem with the home pod in general at the home pod was such a a
[48:12.160 --> 48:13.960]  poor market fit
[48:13.960 --> 48:18.220]  Because maybe the way Apple saw it was the way they priced it and the way they marketed it
[48:18.220 --> 48:21.960]  Which is this is something you put like in a living room and in that kind of context
[48:21.960 --> 48:24.260]  Maybe you don't need multiple name timers very often
[48:24.320 --> 48:30.400]  But the market has a very different opinion the market says one of the best places for a voice cylinder is in the kitchen
[48:30.400 --> 48:34.920]  Yeah, and whether or not Apple want to position there's as such they and you know
[48:34.920 --> 48:39.120]  That's part of the reason why everyone says it's too expensive. It's like yeah, it's a pretty good $300 speaker
[48:39.120 --> 48:44.160]  But like, you know, it's not it's not competitive in the market of voice cylinders
[48:44.160 --> 48:51.180]  And it's because voice cylinders cost a hundred bucks and most people naturally don't want to spend home entertainment system dollars for something
[48:51.180 --> 48:57.120]  That's just a gadget in the kitchen, right? And especially that that integrates so poorly into any other type of a home theater system
[48:57.120 --> 49:02.120]  System you really kind of can't use a home pod easily with pretty much anything else
[49:02.160 --> 49:07.360]  So it is like a standalone thing. It actually is a really good kitchen speaker
[49:07.360 --> 49:11.540]  It's very expensive for that purpose. But if you can swing it, it's a pretty good one
[49:12.320 --> 49:16.400]  But I gotta say the echo is still better because the echo is more reliable
[49:16.480 --> 49:20.340]  It's named timer support is better and more reliable and faster
[49:20.760 --> 49:26.000]  And they have the various models that have the screens which honestly I've I tried the very first echo show with the screen
[49:26.000 --> 49:30.440]  Yeah, I remember you returned it within like a day. I'm like, nope. It was terrible, but I hear the new ones are better
[49:31.200 --> 49:32.720]  but you know
[49:32.720 --> 49:38.040]  Whether or not Apple wants the market to believe where it wants to position its products
[49:38.360 --> 49:42.640]  It doesn't really matter what Apple wants the market to believe the markets gonna believe what it's gonna believe
[49:42.640 --> 49:46.300]  And so if the market says a voice assistant cylinder speaker thing
[49:46.440 --> 49:50.680]  Should be about a hundred bucks and should have multiple named timers because we're gonna put it in our kitchens
[49:51.280 --> 49:55.320]  You know Apple can only do so much to change that perception because they want to make something more expensive
[49:55.320 --> 49:56.480]  That's more home theater focus
[49:56.480 --> 50:02.400]  like the reality is that's what the market wants and so far that has proven to be what people still want the home pod to
[50:02.400 --> 50:07.000]  Be like Apple hasn't moved the market towards them. The market just kind of left them behind
[50:07.200 --> 50:10.240]  It makes me wonder what they're working on what their plans are for home pod
[50:10.240 --> 50:13.440]  Like I could see them going in either direction
[50:13.440 --> 50:16.520]  I could see them expanding it to be you know
[50:16.520 --> 50:19.120]  Which is what they did with the iPod back in the day where they'd have multiple
[50:19.760 --> 50:23.680]  iPods of different sizes and hitting lower price points
[50:23.680 --> 50:25.680]  I
