[00:00.000 --> 00:03.940]  It's good to have you on Skype tells me that we haven't talked on Skype for over a year
[27:51.400 --> 27:58.200]  It's a lot easier with email than it is with a website in my opinion
[27:58.840 --> 28:04.760]  and and maybe easier is the wrong word because I'm not I'm not really thinking of this as the
[28:06.120 --> 28:11.560]  Developer of making it work or the publisher who's going to use this as my business model
[28:11.560 --> 28:16.520]  I'm thinking as just the reader who wants to okay. I want to read Ben Thompson's stuff
[28:16.520 --> 28:21.560]  Or I want to read the New York Times or the Washington Post or any of these other publications that you know
[28:21.560 --> 28:25.160]  Like you have X number of free articles a month and then you have to pay
[28:26.040 --> 28:29.640]  I I really I do it I pay for a very
[28:30.840 --> 28:33.240]  I don't know at least half a dozen subscription
[28:34.120 --> 28:40.680]  Things probably closer to at least 10 maybe I pay for the times the Washington Post I pay for a bunch of newsletters
[28:40.680 --> 28:46.760]  Pay for the Wall Street Journal. I'm always getting logged out of them the New Yorker
[28:46.760 --> 28:50.040]  I have a print New Yorker subscription, but it comes with a free online one
[28:50.040 --> 28:55.080]  I I can't tell you how many times a month I have to sign back into the New Yorker website
[28:55.400 --> 28:58.760]  And because they're telling me I'm out of free articles, even though I'm a paid subscriber
[28:59.640 --> 29:01.640]  Yeah happens to me too with Washington Post
[29:02.360 --> 29:04.360]  Yeah, that's that's a good question
[29:04.360 --> 29:11.080]  Yeah, that never happens with Stratechery. Yeah, right. It always every day guess what shows up in my email box every day
[29:11.080 --> 29:16.200]  My email from Ben Thompson with his thoughts on the business news from the day before the last few days
[29:17.160 --> 29:18.200]  and
[29:18.200 --> 29:22.440]  It's a it's a this is and this is the other thing that to me makes it easier
[29:22.440 --> 29:27.960]  It is an easier better reading experience because guess what? I don't have I don't have any
[29:27.960 --> 29:33.720]  Pop-ups showing up on my email telling me that they have a cookie policy and I'm inherently
[29:34.280 --> 29:39.160]  I mean, how many times I mean, I don't understand. I know it's a GDPR and it's this European thing. Yes. Well, I
[29:39.880 --> 29:40.920]  freaking nonsense
[29:40.920 --> 29:46.040]  I I would rather delete every freaking cookie in the universe than have to dismiss one of those things again
[29:47.080 --> 29:49.720]  That and would you like notifications from this website?
[29:50.360 --> 29:54.280]  No, thanks. And I would rather delete every freaking cookie in the universe than have to
[29:54.280 --> 29:57.480]  Would you like notifications from this website? No, thanks
[29:57.800 --> 30:04.040]  and the popovers that that cover the actual content of the article, even if they're not trying to say
[30:04.840 --> 30:09.000]  You you can't read this because you don't subscribe they pop over and they say hey
[30:09.000 --> 30:13.640]  Why don't you sign up for our newsletter or whatever give us your email address and and they cover the article?
[30:13.880 --> 30:20.280]  That never happens when i'm reading email and yep, very very similarly. It does not happen when i'm reading rss
[30:20.840 --> 30:22.040]  right
[30:22.040 --> 30:24.760]  Now the difference is I will say that
[30:25.720 --> 30:27.560]  if I were reading most
[30:27.560 --> 30:30.120]  Actually, I guess every single one. I can't think of a single
[30:30.680 --> 30:37.080]  site in my net newswire subscriptions where if I went to that person's website because almost every single one is a person's website
[30:37.480 --> 30:40.840]  where they would be covering their content with popovers, but
[30:41.480 --> 30:43.480]  It's just a nice way to read
[30:43.560 --> 30:45.640]  and you know and I feel like
[30:46.200 --> 30:48.200]  that is
[30:48.200 --> 30:52.120]  It it's just one of many ways that the entire
[30:53.240 --> 30:57.000]  Big corporate media world has just sort of lost the ball
[30:57.800 --> 30:59.800]  in today's world where
[31:00.040 --> 31:02.280]  They're you know, and I don't blame them. I get it. It's tough
[31:02.360 --> 31:06.840]  it's never been the business has never been tougher to do good journalism and
[31:08.120 --> 31:13.400]  I get it that it's i'm not trying to say it's easy just because daring fireball is doing okay
[31:13.400 --> 31:21.240]  Uh, i'm not saying it's easy, but it's so clear that you know, hey, is this just is this a nice experience for our readers?
[31:21.880 --> 31:25.400]  Is just a clearly nowhere near the top of the priority list
[31:26.040 --> 31:30.280]  Right and that that seems stunning to me like job one is to create
[31:31.880 --> 31:39.000]  Something nice to read right right so the experience of reading it should be way, you know way at the top of the list and
[31:39.000 --> 31:44.600]  The fact that these sites are almost uniformly hostile to actually reading the content
[31:45.560 --> 31:47.560]  Is just madness
[31:47.560 --> 31:53.480]  I and I know i've used this analogy before and it's it seems like a stretch because it would be so
[31:54.040 --> 31:57.800]  It would it would actually lead to physical confrontations in the real world
[31:58.840 --> 32:05.080]  But when you buy a copy of of a newspaper and you're reading it on the subway
[32:05.080 --> 32:09.000]  Nobody ever comes up and covers up the article you're reading, you know
[32:10.200 --> 32:13.320]  With a flyer for uh, you know something else
[32:14.520 --> 32:19.240]  It you don't get interrupted as your score, you know, all right, you don't scroll a newspaper you
[32:19.960 --> 32:23.800]  Scroll your eyes, right you go down nothing actually covers up some you know
[32:23.800 --> 32:28.920]  Like when you hit the space bar when you're reading an article on a website and all of a sudden that's when they put the interstitial
[32:28.920 --> 32:32.040]  Up that covers the article you're reading and tells you you're you're done
[32:32.040 --> 32:35.080]  That never happens in the real world. It's it it you know
[32:35.640 --> 32:39.720]  The worst part about reading the newspaper is maybe your hands get a little ink on them or something like that
[32:40.040 --> 32:43.880]  I guess some people struggle to read a broadsheet, but I never I always
[32:45.240 --> 32:48.680]  I you know, you fold it in half. Yeah, right. There are ways
[32:50.760 --> 32:54.280]  I just think it's crazy and I really feel like that the
[32:55.320 --> 32:57.880]  web publishing world and you know, you see this too with
[32:57.880 --> 33:06.120]  How much javascript is in the payloads for these websites nowadays with all these ad networks and even with the privacy implication of the tracking
[33:06.360 --> 33:10.920]  Aside, it's just an enormous amount of code and it and you can see it when you monitor
[33:11.480 --> 33:14.040]  Your tabs in a process monitor, you know
[33:14.040 --> 33:19.480]  Like activity monitor to see what's going on and all of a sudden you just have a an article you're reading open and it's using
[33:19.800 --> 33:22.440]  20 percent of your max CPU or something like that
[33:22.440 --> 33:28.360]  It it's madness and I I really feel like people are ready
[33:29.560 --> 33:31.720]  To go back to the relaxing, you know
[33:31.720 --> 33:37.160]  Let's let's use something to read these articles that just is optimized for making it as pleasant as possible
[33:38.040 --> 33:41.240]  Yeah, people who like to read I mean they like to read
[33:42.600 --> 33:47.720]  Or they they want to like to read they want to enjoy it. All right, I think that's a really good idea
[33:47.720 --> 33:54.200]  Yeah, or they they want to like to read they want to enjoy it, right? Uh, one of the things I delight in is um
[33:54.440 --> 33:56.680]  On my personal blog, there's no javascript
[33:57.320 --> 34:04.040]  Um, it's on a cheap shared host. I pay almost no money for it and yet it's fast
[34:04.440 --> 34:08.040]  Right because without you know, all that junk it's you know
[34:08.680 --> 34:12.280]  It's all pre-rendered. It's just html. No cookies are even involved
[34:12.280 --> 34:18.920]  It's just it's just super fast. I I like it when people tell me that they that when they're worried about their internet connection
[34:19.000 --> 34:23.160]  That they go they they go to the they open a browser tab and type da
[34:23.720 --> 34:29.400]  Let it auto complete and see if if daring fireball loads fast, then they know everything then it must be something else
[34:29.880 --> 34:33.880]  Right and if daring fireball loads slow, then maybe there is something wrong with their internet connection
[34:34.920 --> 34:41.240]  That is music to my ears. Yeah, right. It's one of the joys of statically rendered sites
[34:41.240 --> 34:47.240]  Even though some all this crap in them even though every once in a while something is my fault or this sort
[34:47.240 --> 34:52.920]  You know, like I need to you know, do my annual reboot of apache or something like that. Sure, but uh,
[34:53.560 --> 34:59.080]  But for the most part it really it really is edifying to hear that but it also makes me
[35:00.200 --> 35:02.680]  Crazy because it's so easy
[35:03.880 --> 35:08.280]  I know how about just don't do the things right? You can save a whole lot of time
[35:08.280 --> 35:13.480]  I know I know but yeah, all right, let me hold that thought because I want to I want to take a
[35:14.680 --> 35:19.640]  Take a break here. Thank our first sponsor and then I have a programming story. I want to tell you
[35:20.600 --> 35:22.840]  our first sponsor speaking of fast web hosts
[35:23.480 --> 35:32.040]  Is linode l-i-n-o-d-e looks like linode to me, but it's pronounced linode because they specialize in linux
[35:32.840 --> 35:35.000]  They just opened their newest data center in toronto
[35:35.000 --> 35:41.320]  It's built using their most up-to-date hardware and their next generation network backbone. Actually, this might be out of date this information
[35:41.320 --> 35:44.280]  I'm telling you. I think mumbai india is actually open now, too
[35:45.160 --> 35:47.160]  anyway linode is
[35:47.640 --> 35:52.600]  Dedicated hosting in virtual containers with data centers all over the world
[35:52.600 --> 35:56.440]  The fact that they have them in countries like canada is really really important
[35:57.400 --> 36:01.720]  If you're in canada and you have to comply with in-country data protection requirements
[36:01.720 --> 36:08.760]  And legal requirements, it's not just about getting the latency down just because it's nearer to you physically or maybe nearer to your audience
[36:09.400 --> 36:14.920]  For some people it's actually a legal requirement very important. They're expanding literally expanding all over the world
[36:15.160 --> 36:18.760]  toronto mumbai can't get much further apart than that. I don't think
[36:20.200 --> 36:23.240]  Anything you want to build any kind of website you want you can build it on linode
[36:23.400 --> 36:27.720]  They have dedicated cpus if you need them distributed applications hosted services
[36:27.720 --> 36:33.160]  Everything features native ssd storage. Of course, everything's hooked up to a 40 gigabit network
[36:34.040 --> 36:37.880]  You can pick from 10. I think it's 11 now though worldwide data centers
[36:38.520 --> 36:42.600]  You pay for what you use with hourly billing across all plans and add-on services
[36:42.760 --> 36:47.320]  So you can pay based on your typical traffic and if something happens every once in a while where you know
[36:47.320 --> 36:52.280]  You're going to get a big burst of traffic and you might need more resources. You only pay for it while you need it
[36:52.280 --> 36:59.800]  Super super easy. Um, and one of the things is they have great pricing plans start at just five bucks a month
[36:59.960 --> 37:03.320]  And that's not like a special offer special deal or a super limited
[37:04.200 --> 37:05.800]  I think that you couldn't really use
[37:05.800 --> 37:07.800]  An awful lot of people could go
[37:08.360 --> 37:14.440]  A long way on their just default five dollar plan and they have a special offer for listeners of the show
[37:14.680 --> 37:16.680]  Use this code talk show 2019
[37:16.680 --> 37:22.120]  Talk show 2019. You get a twenty dollar credit. You could use that for four months of service
[37:22.680 --> 37:25.080]  And no questions asked don't like it done with it when you're done
[37:25.880 --> 37:28.840]  Cancel it four months free with a twenty dollar credit
[37:29.560 --> 37:31.080]  The url linode.com
[37:31.080 --> 37:35.480]  Slash the talk show so that's a little confusing there. It's sort of like an intelligence test there
[37:35.800 --> 37:37.800]  The url is linode.com
[37:38.440 --> 37:41.400]  The talk show the promo code to get the talk show
[37:41.400 --> 37:48.940]  The url is linode.com slash the talk show the promo code to get the 20 credit is talk show 2019
[37:50.200 --> 37:55.640]  Anyway, I am a customer i'm moving slowly but surely everything during fireball over there
[37:56.120 --> 37:59.720]  Uh just working on something this week, which i'm actually about to talk to bran about
[38:00.360 --> 38:02.360]  over to my linode server
[38:02.760 --> 38:09.720]  I can't say enough about how good and easy and for somebody who's been using the same server for over 10 years how much nicer
[38:09.720 --> 38:15.960]  Things have gotten in command line land. So my thanks to linode. Uh, they're not just a sponsor. I'm a customer
[38:16.440 --> 38:19.880]  I really recommend them and remember that code talk show 2019 save 20 bucks
[38:21.240 --> 38:23.080]  So anyway
[38:23.080 --> 38:27.560]  I forget who said it. I should actually google it. I should probably do more research as the host of the show
[38:27.880 --> 38:29.880]  You've probably heard the adage. Uh
[38:30.200 --> 38:35.560]  I'm sure you have premature optimization is the root of all evil. Oh, yeah for sure. Yep, uh,
[38:36.440 --> 38:38.440]  Premature, let's see here
[38:38.440 --> 38:40.440]  Let's see here
[38:41.880 --> 38:45.240]  There we go, you can hear my uh apple extended keyboard too there
[38:46.680 --> 38:53.320]  I've got one also. Yeah, they're still the best. Its source is credited to uh, donald newth. Is it new or canoe?
[38:53.400 --> 38:55.400]  I actually I think it's
[38:55.480 --> 38:58.520]  Actually, that's a good question. I think it's newth, but damn
[39:00.040 --> 39:05.000]  The most celebrated computer scientist who's ever walked the earth after maybe after alan turing
[39:06.120 --> 39:08.120]  And I don't know how to pronounce his name
[39:08.120 --> 39:09.960]  um
[39:09.960 --> 39:12.360]  But it's a well-known adage
[39:13.240 --> 39:15.240]  And I think people misinterpret it
[39:15.320 --> 39:19.560]  I know you believe it and one of the things that I wanted why I thought of talking to you about it
[39:20.520 --> 39:22.520]  is that
[39:22.920 --> 39:24.520]  Net news wire
[39:24.520 --> 39:25.480]  is
[39:25.480 --> 39:27.480]  uh small
[39:27.480 --> 39:29.320]  fast and stable
[39:29.320 --> 39:30.040]  and
[39:30.040 --> 39:31.080]  You know
[39:31.080 --> 39:32.840]  There's a part of me and I know what you think too
[39:32.840 --> 39:38.440]  Like I just I looked at it after unpacking it and installing it and looking at it in the bundle in my applications folder
[39:38.440 --> 39:40.440]  It's like 9.9 megabytes
[39:42.360 --> 39:44.680]  Which is by today's standards a very small app
[39:45.320 --> 39:49.160]  Yeah, tiny but there's a part of me that's so old and remembers
[39:49.720 --> 39:52.040]  You know when apps needed to fit on floppy disks
[39:52.920 --> 39:58.360]  Where where you think 10 megabytes? Geez, what the hell is in there? How many floppies is that going to be?
[39:58.360 --> 40:03.960]  Right, and you know part of the reason that coco apps could always be if you know if engineered well
[40:03.960 --> 40:09.880]  And didn't use a lot of third-party frameworks could be very small is because the coco the the system frameworks
[40:10.040 --> 40:14.600]  You don't need them in your app you they're they're in the system. And so the app itself just
[40:15.400 --> 40:17.880]  Just needs your code the code for your little app
[40:19.640 --> 40:26.360]  And you know, it's a total digression but that's why swift apps have been bigger than objective c apps because up until very recently
[40:26.360 --> 40:28.360]  because the swift
[40:29.000 --> 40:37.160]  Binary interface was still changing between versions of swift swift apps needed to bundle all the swift libraries and frameworks within each app bundle
[40:38.360 --> 40:42.360]  But all of a sudden now that that's stable swift apps are going to get smaller, too
[40:43.880 --> 40:50.840]  But that newswire it's super fast. It's really really fast. It's fast at everything there are it
[40:50.840 --> 40:55.880]  I remember when I first started using evergreen again, and I I like fished out all of my
[40:56.440 --> 41:01.160]  feeds from my old version and that newswire which itself was also fast and and
[41:01.720 --> 41:04.680]  imported them into the new app and
[41:05.320 --> 41:11.880]  Launched it or hit reload or something after importing it and I was like, well, when's it gonna load? Oh, oh, it did already
[41:13.240 --> 41:16.600]  It loaded all like, you know 50 50 different feeds updated all of them
[41:16.600 --> 41:22.200]  It, you know, it had no exaggeration within a handful of seconds to two seconds. There they are. They're updated
[41:24.040 --> 41:26.040]  I think that people
[41:26.120 --> 41:31.640]  Tend to to the misinterpretation of that premature optimization is the root of all evil
[41:32.680 --> 41:36.600]  Is the idea that you don't you don't have to optimize as you go?
[41:36.600 --> 41:40.040]  You don't have to keep things fast as you go you can you know, we'll fix it later
[41:40.040 --> 41:43.000]  You can let it get slow and then we'll fix it later
[41:43.000 --> 41:50.200]  You can let it get slow and then we'll we'll optimize it later because donald newt says premature optimization is the root of all evil
[41:50.840 --> 41:52.840]  That that is not what he meant
[41:53.240 --> 41:56.040]  And I think that's actually the way a lot of software goes
[41:56.760 --> 41:57.880]  haywire
[41:57.880 --> 42:04.120]  I love the old i've told this story before many times, you know that the the rule don melton imposed on the webkit team
[42:04.760 --> 42:05.800]  when
[42:05.800 --> 42:08.200]  He he started the safari project at apple
[42:08.200 --> 42:15.720]  Was that every time you checked code in you had to run, you know, the the tests and benchmarks and the rule was
[42:16.440 --> 42:22.040]  Nothing could regress performance wise so if you were adding feature x to safari and the webkit browser
[42:22.600 --> 42:27.400]  And you ran the you it was all working and then you ran the tests and it made something slower
[42:28.200 --> 42:32.600]  You couldn't check it in you had to figure out how to get it working where it didn't make anything slower
[42:32.600 --> 42:37.800]  All that's a great rule, right? And this was informed by his time at mozilla
[42:38.680 --> 42:39.880]  where
[42:39.880 --> 42:41.640]  Where they would say well
[42:42.440 --> 42:44.680]  This works. We'll make it fast later
[42:45.480 --> 42:48.680]  And later never happened and all of a sudden yeah, right
[42:49.640 --> 42:52.600]  so I take this rule to mean a different thing don't
[42:53.880 --> 42:58.280]  Don't write code assuming you know what the best optimizations are going to be
[42:58.840 --> 42:59.880]  I mean
[42:59.880 --> 43:06.200]  Write intelligently, but then run it and test it and figure out is it actually slow. Where is it slow?
[43:06.200 --> 43:08.200]  You know what? How can we change it?
[43:08.920 --> 43:09.800]  don't
[43:09.800 --> 43:11.800]  right because guaranteed
[43:12.520 --> 43:17.640]  A lot of the time what you think is going to be slow isn't actually slow at all and it's something you didn't even think about
[43:17.640 --> 43:24.600]  Ah that that's the slow down but you have to measure it. You have to find out right exactly that and that is exactly the lesson
[43:24.600 --> 43:32.040]  That i've i'm paying the price for as we speak. Um, I forget when I first wrote it might have been this far back
[43:32.040 --> 43:37.160]  It's 2009. It's probably about 10 years old, but I wrote and still use my own little
[43:38.360 --> 43:44.840]  Bot to automatically post articles to the at daring fireball twitter account
[43:45.720 --> 43:49.880]  And I know there are a bunch of services that do this you can just sign up
[43:49.880 --> 43:55.720]  But I wanted the tweets to be formatted just the way I want them. And so of course I wrote my own
[43:57.480 --> 43:59.320]  And
[43:59.320 --> 44:05.960]  It's something that I was running on a server with a uh, it's a little pearl script. It just reads my rss feed
[44:06.840 --> 44:08.840]  Makes a list of all the articles
[44:09.480 --> 44:14.680]  Looks for ones that are new something that hasn't been tweeted yet if it finds one
[44:14.680 --> 44:22.840]  Posts it as a tweet and then saves saves that id for that article so that it won't get tweeted again
[44:23.800 --> 44:26.360]  And stops and then it's a cron job
[44:27.000 --> 44:30.680]  Cron is a for those who you who don't know i'm going out in a wheelchair
[44:30.680 --> 44:34.680]  I'm going to try to talk programming on a non-programmers podcast, but I think I can do it
[44:35.480 --> 44:39.720]  Cron is a long-standing 30 40 year old unix utility
[44:39.720 --> 44:45.560]  That you can use to set up recurring tasks, you know, so you could say run this script every five minutes or run
[44:45.560 --> 44:51.800]  This one every hour or run this script every sunday at midnight or something like that. You can set up a schedule
[44:51.800 --> 44:52.760]  It'll do
[44:52.760 --> 44:55.800]  Do these tasks so I have it set up as a every five-minute cron task
[44:57.880 --> 45:01.960]  The the logic being if I go on a
[45:02.520 --> 45:05.000]  Posting spree and I post two things on the screen
[45:05.000 --> 45:11.320]  Why not have them show up five minutes apart on your twitter stream so that you're not looking it doesn't feel like the at during
[45:11.640 --> 45:13.640]  fireball account is
[45:15.160 --> 45:17.160]  Harassing you
[45:17.160 --> 45:21.160]  the other thing my script a few of the other things i've added to the script over the years is
[45:22.040 --> 45:24.040]  It also won't post anything
[45:24.520 --> 45:30.680]  I forget how long it doesn't really matter, but I think it's like 10 minutes. So it it will be a little bit longer
[45:30.680 --> 45:39.160]  How long it doesn't really matter, but I think it's like 10 minutes. So it won't post anything that was posted within the most recent 10 minutes
[45:39.720 --> 45:45.240]  The idea being that gives me 10 minutes to fix any typos or mistakes before it gets tweeted and
[45:45.880 --> 45:51.720]  It gives chris pepper 10 minutes to email you exactly. Well, that's actually uh often what happens
[45:52.280 --> 45:55.160]  An incredible percentage of the mistakes I make uh
[45:56.040 --> 45:58.040]  The typos and stuff like that
[45:58.040 --> 46:02.760]  Are fixed within the first 10 minutes. And so that's you know, one of the things it does
[46:03.480 --> 46:09.960]  And for the most part this thing has just run and run and run for like 10 years and with a few tweaks here and there
[46:11.880 --> 46:14.760]  But about a month ago it just stopped working
[46:16.760 --> 46:18.760]  Nothing
[46:18.760 --> 46:22.920]  And uh, I was traveling at the time and I didn't even notice
[46:22.920 --> 46:28.440]  Uh, and I guess I should have some kind of some figure out it's on my list of things to do as I fix this
[46:28.440 --> 46:32.200]  Is to figure out some way that I can get notified that it hasn't been working
[46:35.560 --> 46:40.200]  But somebody on twitter said hey is that daring fireball account dead what's going on and I look and I was like, huh?
[46:40.200 --> 46:43.640]  There's like four days of stuff missing and I couldn't figure out what was going on
[46:44.280 --> 46:49.960]  And it was weird. I ssh in the machine and what I could do is instead of just letting cron run it automatically
[46:49.960 --> 46:55.560]  I can just type the name of the script and it should run and I have it set up so that when it runs that way
[46:57.080 --> 47:02.440]  Print some useful information for me to read about what you know, if it's posting anything or sees anything
[47:03.400 --> 47:07.720]  And it was giving me this weird error and it didn't really make it was very unhelpful
[47:08.440 --> 47:10.440]  And then I figured it out what it was
[47:11.160 --> 47:13.160]  was that
[47:13.160 --> 47:19.560]  Um, okay i'm getting dangerous out in the weeds here
[47:20.440 --> 47:22.180]  so tls
[47:22.180 --> 47:25.820]  1.1 is is a a standard it's part of https
[47:26.760 --> 47:28.760]  So if you're using secure http
[47:29.720 --> 47:34.680]  Tls is a newer more cryptographically secure version the server
[47:34.680 --> 47:39.000]  I was running the script on was so old and I it was it at the time
[47:39.000 --> 47:45.000]  It's linux is a lot better now where you can do apt-get update something and it'll update the the system
[47:45.720 --> 47:47.720]  The server I was running this on uh
[47:48.440 --> 47:55.240]  Really couldn't be updated easily. I would really kind of have to cut, you know, download, you know, take everything create a new instance
[47:55.720 --> 47:58.600]  With a modern version of linux and reinstall everything
[47:58.600 --> 48:06.860]  Um, which is a lot of work but the server had a version of open ssl that only did tls 1.0
[48:07.160 --> 48:11.320]  And at some point in july, I believe I still could be wrong on this
[48:11.320 --> 48:17.560]  But it makes all the sense in the world that twitter finally pulled the plug on their apis for twitter posting
[48:18.040 --> 48:23.660]  And no longer accepted tls 1.0. So I had a server that couldn't speak tls 1.1
[48:23.660 --> 48:28.460]  trying to speak to an api that only spoke tls 1.1 and
[48:29.100 --> 48:30.940]  Forget what I was using
[48:30.940 --> 48:35.580]  to do the actual posting but was giving me an error message that
[48:36.620 --> 48:39.820]  Was not anywhere near as clear along those lines as you would think
[48:41.260 --> 48:43.260]  Sounds like programming
[48:43.260 --> 48:52.540]  Uh now here's the part where I bit myself on premature optimization what I did 10 years ago is
[48:53.900 --> 48:55.660]  I was keeping
[48:55.660 --> 49:01.420]  Uh, all of the tweets that had already been posted in what in pearl is called a hash
[49:01.980 --> 49:04.540]  what in a lot of programming environments is called the
[49:05.660 --> 49:09.420]  What do you call it? What do you call a an array where where the indexes are keys?
[49:09.420 --> 49:16.060]  A dictionary a dictionary right? Yeah, a lot of programming languages call it a dictionary. This is a data structure. That's very simple
[49:16.780 --> 49:20.860]  You have a key and you have a value so I could say for the key brent
[49:21.660 --> 49:28.140]  I could say that the value is friend this would describe my relationship with people and then for the key. Amy
[49:28.780 --> 49:30.780]  The value would be wife
[49:31.020 --> 49:34.620]  And then I could look up amy and then print the value and say wife
[49:34.620 --> 49:40.060]  Um, very simple very popular used in you know has different words and all sorts of different languages
[49:40.060 --> 49:42.060]  But every modern language has something like this
[49:43.260 --> 49:46.940]  And then what I did and here's where I made the mistake is I thought well wait
[49:46.940 --> 49:51.820]  I want this i'm going to use this for years and years to come I post thousands of articles
[49:52.540 --> 49:54.060]  a year
[49:54.060 --> 49:59.660]  I think and I don't know how many articles I had posted to during fireball as of when I wrote this 10 years ago
[49:59.660 --> 50:06.300]  But as of now, I think i'm close to 30 000 or just cross 30 000 total articles posted to daring fireball
[50:06.300 --> 50:12.300]  This is going to be thousands and thousands of articles tens of thousands of articles seems like that would be slow
[50:13.100 --> 50:20.380]  So I use something in pearl called the tie tie and let you tie hash to a database file
[50:20.940 --> 50:27.340]  It's like berkeley db or something like that. You give it a file name and then once you've tied it it acts a little bit
[50:27.340 --> 50:35.180]  From at least in my opinion. It's sort of like the object database in frontier where you've got this hash
[50:36.380 --> 50:39.420]  And every time the script runs the hash
[50:40.380 --> 50:45.020]  Springs back to life and has all of the keys and values and when this ends
[50:45.660 --> 50:48.220]  They're all written to that one database file
[50:48.220 --> 50:54.220]  and so I don't have to deal with a lot of open and read and read all the lines and close the file and
[50:54.220 --> 50:59.740]  Worry about all the file stuff once you have it set up and you run the script. It just runs and it's magic, right?
[51:00.300 --> 51:02.300]  Sounds great
[51:02.300 --> 51:04.620]  Well, it turns out I don't know if it's an endian thing
[51:05.260 --> 51:10.380]  I don't know. I think it's more of a vert, you know old version of the the pearl module that does it
[51:10.940 --> 51:15.660]  When I copied that back to my mac, I was just in the meantime. I was just going to run it manually from my mac
[51:15.660 --> 51:17.660]  And in fact, that's what I am doing
[51:18.220 --> 51:22.860]  It the version of pearl on my mac, which is a lot more magical than the version that I'm doing
[51:22.860 --> 51:28.460]  My mac, which is a lot more modern than the one on this 10 year old server could no longer read that dbm file
[51:29.020 --> 51:29.980]  Yeah
[51:29.980 --> 51:31.980]  and the dbm file
[51:32.060 --> 51:35.580]  When I opened it in like bb edit and then tried opening it in like a hex editor
[51:36.460 --> 51:42.060]  Um, I could see some of the text but you know when you open like a binary database
[51:42.140 --> 51:46.140]  It's like just a bunch of it's not human readable. It's a bunch of gibberish. So
[51:46.780 --> 51:48.220]  There's probably some way around it
[51:48.220 --> 51:55.340]  There's probably some archaic way that I could write more code and force pearl to use the old version of the db file format
[51:56.060 --> 51:59.500]  But anyway, I sat there thinking that sounds like setting yourself up for you know
[52:00.140 --> 52:05.900]  Future right problems. Well, why didn't I just write it in a simple human readable format?
[52:07.180 --> 52:11.500]  And so I started thinking about it and I actually broke the seal on it today because I want you know
[52:11.500 --> 52:12.780]  I knew you were going to be on the show
[52:12.780 --> 52:15.740]  I thought I got to write this and see it because I want to talk to brent about this
[52:15.740 --> 52:19.580]  And I thought well, what's the stupidest easiest most obvious way?
[52:20.540 --> 52:24.620]  That I could do it and I thought well I could do json that's superhuman readable
[52:25.340 --> 52:28.140]  but then I thought why why even why even
[52:28.940 --> 52:34.460]  Why even do json but then I thought ah, but then you're using a json library and you have to read everything into a data structure
[52:34.460 --> 52:39.260]  And if there are 30 000 things why even have a 30 and then I just sat there thinking but you know
[52:39.580 --> 52:44.780]  Thinking and thinking and thinking I thought well the dumbest thing I could possibly do is just write them to a log file
[52:44.780 --> 52:50.380]  And don't even read the whole thing into a data structure just every time there's a new thing run the whole script
[52:50.860 --> 52:52.380]  Go through the whole
[52:52.380 --> 52:54.380]  log file line by line
[52:54.940 --> 52:58.780]  And see if it's already been posted and even if it's 30 000 lines long
[52:59.100 --> 53:04.780]  Maybe you have to if you get unlucky you have to go all 30 000 lines to find the one you up yet. We already posted it
[53:06.380 --> 53:09.580]  Don't even read it into a data structure never read more than a line at a time
[53:09.580 --> 53:14.460]  And so I wrote like a test file and I loaded it up with a million lines
[53:14.780 --> 53:19.340]  That would be the equivalent if I had a million posts on daring fireball, which I think would take me somewhere around
[53:19.900 --> 53:21.900]  At my pace like 300 years
[53:22.460 --> 53:26.380]  So it seems like enough and i'll still be a reader and the whole thing runs in a second
[53:27.820 --> 53:33.360]  Yeah, like even in the worst case scenario where it has to get to the 999,999
[53:33.980 --> 53:35.580]  log of the line of the file
[53:35.580 --> 53:43.180]  It it runs in less than about a second and the actual posting of the tweets to twitter takes like two seconds anyway
[53:43.180 --> 53:50.060]  So the whole script always took two or three seconds and i'm only running it every five minutes right and there's no user interface, you know
[53:50.780 --> 53:53.980]  Relying on this so it's yeah, that's perfect. Yeah
[53:55.020 --> 54:00.380]  And it's it's literally the stupidest way you could possibly do it and it's fine
[54:00.380 --> 54:05.660]  When I was at userland, uh, dave wiener, um
[54:07.020 --> 54:12.700]  Would have a preference for what he called low-tech solutions, you know, and and it was exactly things like this
[54:13.180 --> 54:18.940]  You know, it turns out this is way way faster than you think it is and it's just simple human readable
[54:19.420 --> 54:21.420]  Um, yeah, that's the way to go
[54:22.300 --> 54:27.660]  I I do think that one of the ways that the computing world has changed from the 90s until now
[54:27.660 --> 54:32.460]  And it's a way that the unix world has won out
[54:33.400 --> 54:34.780]  philosophically
[54:34.780 --> 54:35.980]  is
[54:35.980 --> 54:37.980]  that whenever possible
[54:38.300 --> 54:45.340]  Make things human readable whether it's a file format that you're writing or or a network api
[54:45.660 --> 54:47.660]  That you're sending over the wire
[54:47.980 --> 54:51.660]  In the 90s. Everything was custom binary stuff and
[54:52.620 --> 54:54.620]  I mean there were I don't remember any apps
[54:54.620 --> 55:00.700]  Other than literally a text editor like bbedit, but like in the early 90s. I don't remember any apps who had a file format
[55:00.700 --> 55:02.700]  That was text
[55:03.260 --> 55:06.460]  Like you couldn't open a mac write file in a text editor
[55:07.980 --> 55:11.100]  Everything was binary and network stuff was binary, right?
