[00:00.000 --> 00:02.480]  Hello podcast fans
[33:39.880 --> 33:44.840]  very much the beginning. We've got, you know, work to do, but we've got developers that are
[33:44.840 --> 33:49.880]  very excited. I mean, not just Kojima-san, we've got a lot of developers who are seeing what they
[33:49.880 --> 33:55.800]  can do with their games. And as Jaws said, a MacBook Air is in a great game machine now.
[33:55.800 --> 34:03.960]  That was not the case, you know, five years ago, two years ago. So, I think it has fundamentally
[34:03.960 --> 34:10.520]  changed and we're very excited about it. Right. I mean, I'm thinking what is, what's
[34:10.520 --> 34:15.320]  left with an M1? There's the iMac, which we mentioned, and there's still the, it's now the
[34:15.320 --> 34:22.040]  999 M1 MacBook Air, right? And that's what you're talking about. It's a very capable game machine.
[34:22.600 --> 34:33.240]  Right. And if somebody publishes an Apple Silicon Mac game, the slowest Mac is that MacBook Air,
[34:33.240 --> 34:40.360]  and that's really good graphics performance and it's sort of unparalleled for a 999 laptop.
[34:40.360 --> 34:44.360]  Yeah. And there's a lot of advantages to the fact that we share so much across our platforms
[34:44.360 --> 34:48.680]  as well, you know, including Metal. But, you know, we sell a lot of iPads.
[34:48.680 --> 34:51.960]  I was just about to say, and some of those iPads have M1s as well.
[34:51.960 --> 34:56.760]  There's a lot of work that developers can do that gets used in multiple places. And so that,
[34:56.760 --> 34:59.960]  again, has been working in our Mac's favor. Right. And then you're talking about a bigger
[34:59.960 --> 35:07.000]  24-inch screen, which is, you know, much more fun for gaming than a 13-inch laptop display.
[35:07.640 --> 35:12.680]  It's all fun, John. It's all fun. And I think having that game,
[35:12.680 --> 35:16.200]  having that gaming potential in a device as thin and light as a MacBook Air,
[35:16.200 --> 35:18.760]  as thin and light as an iPad, that's really powerful.
[35:18.760 --> 35:24.920]  Yeah. And then, but the other thing, you know, and there's the old adage that if you,
[35:25.800 --> 35:30.520]  the definition of insanity is repeating the same steps and expecting a different outcome.
[35:32.360 --> 35:38.040]  The doing something different to maybe prompt or accelerate a different outcome,
[35:38.040 --> 35:45.160]  and it really fits in at WWDC, a developer's conference, is this, the game porting toolkit,
[35:46.120 --> 35:51.480]  which seems, you know, again, flew by. Kind of melting the internet right now is
[35:51.480 --> 35:53.240]  what I've been told. Yeah. Really?
[35:59.720 --> 36:06.840]  When features fly by in a keynote, especially a packed keynote, it's hard to sometimes tell
[36:06.840 --> 36:11.160]  which ones are, hey, this is really, really cool, but it's, you know, it's just a nice little thing,
[36:11.160 --> 36:14.280]  like better stickers. You know, I'm not putting down the sticker.
[36:15.720 --> 36:18.680]  It's all fun, John. It's all fun.
[36:20.360 --> 36:25.800]  It's all fun. But I don't think anybody cares as much about their stickers as
[36:26.760 --> 36:31.880]  gamers care about games, right? Like nobody really, you know, people identify as gamers.
[36:31.880 --> 36:35.720]  My son would say, yeah, I'm a gamer. I don't think anybody says they're a stickerer.
[36:35.720 --> 36:40.840]  A fish, you know. I'm a sticker head, you know.
[36:42.920 --> 36:47.720]  It started here today. I mean, people are really into games,
[36:47.720 --> 36:54.520]  and it seems to me like the game porting toolkit is a major, major thing for game developers,
[36:54.520 --> 37:00.600]  and it's sort of a, to borrow, if you build it, they will come from the field of dreams,
[37:00.600 --> 37:05.960]  where you make a nice ballpark, and then dead ghost ball players will show up.
[37:05.960 --> 37:07.000]  It's just like that.
[37:09.000 --> 37:16.680]  But if you and your team spend years making a truly innovative computer architecture
[37:16.680 --> 37:22.840]  with industry-leading silicon and performance and price for performance, you've built it.
[37:23.800 --> 37:30.040]  It's not enough, this is what I'm thinking, to really accelerate Mac gaming to the forefront,
[37:30.040 --> 37:36.600]  and the gaming toolkit is sort of like you're building public transit so that they do come.
[37:36.600 --> 37:39.960]  You know, you'll bring them, you'll bring the game developers to this platform.
[37:40.520 --> 37:43.880]  Yeah, I think that's, I mean, I certainly hope that's true. I think that, you know,
[37:43.880 --> 37:50.680]  the Apple silicon story is the foundation to make this possible. It requires a lot of work from a
[37:50.680 --> 37:54.600]  lot of teams, and obviously the software team has been doing some amazing work there. We got
[37:54.600 --> 37:59.480]  game mode coming on the Mac, and over the past couple years, the controller support that we've
[37:59.480 --> 38:03.880]  added for gaming has been a really big deal. So yeah, it's just a constant progress.
[38:04.760 --> 38:09.720]  Well, I could talk to you for another hour, but we unfortunately don't have time.
[38:09.720 --> 38:10.520]  You got somebody better.
[38:13.480 --> 38:14.920]  No, nobody's better.
[38:14.920 --> 38:30.280]  But, I thank you. Everybody, let's hear it for John Ternes.
[38:34.840 --> 38:36.280]  I refuse to leave, John.
[38:37.880 --> 38:39.400]  I thought that went pretty well.
[38:39.400 --> 38:44.280]  Until you say everything's fun, I won't leave.
[38:44.280 --> 38:49.560]  Well, my next guest, given this week's announcement, is a shocking surprise.
[38:49.560 --> 39:18.920]  Ladies and gentlemen, please give it up for Mike Rockwell.
[39:18.920 --> 39:27.640]  Now, Mike, you were here on stage with me in 2018 at WWDC. That was a very fun show, I believe.
[39:27.640 --> 39:28.120]  I was here.
[39:28.120 --> 39:28.920]  I believe you were here.
[39:30.920 --> 39:31.800]  I'm on retainer.
[39:35.240 --> 39:42.920]  Have you been busy?
[39:42.920 --> 39:52.920]  Every WWDC since 2018, well, maybe not 2019, because it kind of felt like, okay,
[39:52.920 --> 40:02.200]  you know, that was a nice change. The underlying theme clearly was that Apple is laying
[40:02.200 --> 40:13.880]  a foundation with ARKit at the time for more than just doing AR on a phone or on an iPad.
[40:13.880 --> 40:17.640]  It seemed very clear. It turns out you were.
[40:17.640 --> 40:19.640]  That was true.
[40:19.640 --> 40:28.440]  Let me just start by that. How gratifying is it to actually get VisionOS and Vision Pro out in the world?
[40:28.440 --> 40:48.040]  You know, so many teams across all of Apple worked so hard for so long to get this product out.
[40:48.040 --> 41:02.600]  It was kind of like, you know, we had the silicon engineering team and the software engineering team
[41:02.600 --> 41:07.640]  and Craig's org and John Ternus's team and my team and the Siri team.
[41:07.640 --> 41:13.400]  It was really every single engineering team at Apple who has worked on this product.
[41:13.400 --> 41:16.920]  And so it was a great relief. It was a little bit like birthing a porcupine.
[41:16.920 --> 41:21.560]  So, you know, we made it happen.
[41:21.560 --> 41:27.800]  But we're incredibly excited by the reaction to the product.
[41:27.800 --> 41:32.200]  And we just can't wait to get it in folks' hands.
[41:32.200 --> 41:48.200]  I think the single, maybe single most surprising aspect is that the name was kept completely secret.
[41:48.200 --> 41:50.200]  We told no one.
[41:50.200 --> 41:54.200]  I didn't know the name until Monday.
[41:54.200 --> 41:58.200]  We refuse to tell anybody because, you know, you don't tell anybody, no one can tell.
[41:58.200 --> 42:10.200]  I'm just waiting, though, for you guys to slip up because I know that you guys both have years of experience of talking about this product and never mentioning that name.
[42:10.200 --> 42:16.200]  I mean, it's yeah, I feel like I remember Mike before we got here. Don't say the code.
[42:16.200 --> 42:20.200]  I know. All I've been saying is code names for the last eight years.
[42:20.200 --> 42:26.200]  And on Monday, I got the cheat sheet of, OK, now I got to memorize all this stuff and reprogram my brain.
[42:26.200 --> 42:28.200]  I will try not to screw up.
[42:28.200 --> 42:38.200]  Because one of the, to me, very endearing aspects of Apple's internal culture is that you give everything code names.
[42:38.200 --> 42:43.200]  But then you also treat the code names as secret.
[42:43.200 --> 42:46.200]  And sometimes we have multiple code names because, you know, I got to keep you on your toes.
[42:46.200 --> 42:49.200]  We actually have code names for the code names.
[42:49.200 --> 42:56.200]  So you can neither confirm nor deny that it was in 301.
[42:56.200 --> 43:03.200]  Apple Vision Pro, Apple Vision Pro.
[43:03.200 --> 43:06.200]  I do know. I mean, and it's no surprise.
[43:06.200 --> 43:16.200]  And I could sit here and ask you 50 questions that you won't answer because the specs that you've revealed, it's a product that is coming next year or early next year.
[43:16.200 --> 43:28.200]  I forget what. Early next year. OK. Define early.
[43:28.200 --> 43:35.200]  It's before late.
[43:35.200 --> 43:38.200]  You heard it here first.
[43:38.200 --> 43:43.200]  But people have all sorts of very reasonable, very intriguing questions.
[43:43.200 --> 44:05.200]  I'll get back to it, but I'm incredibly fortunate enough to have been on the list of media people who got the 30 minute guided tour through an amazing amount of stuff.
[44:05.200 --> 44:13.200]  And by the way, that's how you were when you walked out the demo. I know I'm already I started thinking about it again and I got lost.
[44:13.200 --> 44:17.200]  I saw JAWS after my demo and he's like, what do you think? And I usually I have an answer to what you think.
[44:17.200 --> 44:24.200]  And I was like.
[44:24.200 --> 44:36.200]  But again, questions about frame rates and maximum nits and all this stuff, if it's not there on the Web page that you'll notice, at least I noticed there's no tech specs tab yet.
[44:36.200 --> 44:42.200]  And I love that Apple still puts a tech specs tab up on all shipping products.
[44:42.200 --> 44:47.200]  And I think that's great. And, you know.
[44:47.200 --> 44:55.200]  So I'm not going to waste time asking frame rate nits, blah, blah, blah. Or if you slip up and let some of that out.
[44:55.200 --> 45:04.200]  We have enough of each.
[45:04.200 --> 45:17.200]  But I really can't think of a better way to go through it with them by going through everything that I saw when I got to experience it, which was emphasized, everything you see, you can talk about, write about.
[45:17.200 --> 45:25.200]  You know, it's this is what we're revealing. And we stick to that. I can keep you here for three hours.
[45:25.200 --> 45:37.200]  So we got to go through it. But part of it, the first part was the setup. And it it is it's a it's just the nature of of the beast, that it is a different sort of setup.
[45:37.200 --> 45:42.200]  But it really wasn't that it didn't take that long. Right.
[45:42.200 --> 45:45.200]  It's and it's primarily eye tracking. Yeah.
[45:45.200 --> 45:56.200]  I mean, you know, the input system is a set of machine learned networks and we need to know about you a little bit and not a lot, but just a little bit.
[45:56.200 --> 46:00.200]  So the first thing we want to do is understand a little bit about your hands.
[46:00.200 --> 46:06.200]  All you have to do is hold them up for just a few seconds. And we have that's all we need.
[46:06.200 --> 46:09.200]  And then we're able to accurately track your hands for input.
[46:09.200 --> 46:17.200]  And then for for eye tracking, we we want it to be incredibly precise.
[46:17.200 --> 46:22.200]  So we run you through a little bit of an exercise that you only have to do once when you get the product.
[46:22.200 --> 46:27.200]  It's pretty fast. And it's fast. And once you've done that, you as long as you have the product, you don't have to do it again.
[46:27.200 --> 46:31.200]  You don't have to do it every time you put it on. Nothing like that.
[46:31.200 --> 46:37.200]  But once we have those two, then you really now have what you need to start to use the product.
[46:37.200 --> 46:44.200]  It's magic. I mean, you saw it. I mean, I think the first time anybody does it, you're like, wow, it did exactly what it was supposed to do.
[46:44.200 --> 46:47.200]  You look at something, you tap your fingers and it did it.
[46:47.200 --> 46:51.200]  And Mike's team has been really kind of making sure I have units and all that.
[46:51.200 --> 46:57.200]  And I've used it for months. Every day I use it, I'm like, how does it do that?
[46:57.200 --> 46:59.200]  It's just magic. I mean, it's just it's magic.
[46:59.200 --> 47:05.200]  Well, but there is at least, you know, I know the software is not finished or anything's finished,
[47:05.200 --> 47:12.200]  but it's but it is it's almost a cinematic experience with the first run where the eye tracking stuff and the put,
[47:12.200 --> 47:19.200]  you know, there's two phantom hands and you just put your hands to match them, like you said, is against a black background.
[47:19.200 --> 47:25.200]  So you've got the thing on with the light shield and you just see black and there's these dots that you look at and then the hands.
[47:25.200 --> 47:30.200]  But then you're done. And then here you are. And it's the world around you.
[47:30.200 --> 47:39.200]  Right. And that is it is a very cinematic sort of, you know, the movie opens with black title cards and then boom,
[47:39.200 --> 47:43.200]  you're in the movie and it's like we agonize over those details.
[47:43.200 --> 47:47.200]  Right. We want that experience to be special from the very first second.
[47:47.200 --> 48:01.200]  And the human interface design team did an amazing job designing an absolutely.
[48:01.200 --> 48:07.200]  But I'll start with that, though, like that first. And there's nothing on screen except that you see the world around you.
[48:07.200 --> 48:14.200]  So I mean, I was from my demo in like a little fake living room with someone from product marketing.
[48:14.200 --> 48:19.200]  And of course, somebody there to make sure nothing goes wrong from PR.
[48:19.200 --> 48:23.200]  But I'm just looking, looking at the room.
[48:23.200 --> 48:34.200]  And what I didn't expect was that it wasn't like almost exactly what I see with my eyes without the headset on.
[48:34.200 --> 48:44.200]  But it was exactly like so if I had it on right now and I'm looking at you two and then I lifted it up, nothing changes.
[48:44.200 --> 48:52.200]  There's no change in perspective, no change in how wide, how narrow.
[48:52.200 --> 49:00.200]  And I say that and as some lay person would say, well, duh, that's obviously how you'd want it to be.
[49:00.200 --> 49:08.200]  But to me, that seems like a thousand impossible engineering problems from it was a thousand impossible engineering problems.
[49:08.200 --> 49:17.200]  But at least, at least, you know, I mean, we have that insane idea that we wanted to make a product,
[49:17.200 --> 49:20.200]  a spatial computer that allowed you to be in the space that you're in.
[49:20.200 --> 49:27.200]  That was the starting point. And that generated a whole incredible list of things that we had to solve.
[49:27.200 --> 49:30.200]  We had to make displays that were incredibly high resolution.
[49:30.200 --> 49:34.200]  We had to make cameras that matched exactly that field of view.
[49:34.200 --> 49:45.200]  We had to come up with a new piece of custom Apple Silicon R1 that could take those cameras and process them in such a short time that it's below your threshold of perception.
[49:45.200 --> 49:50.200]  So you snap your fingers and it's instant. It feels like you're there.
[49:50.200 --> 49:55.200]  And yeah, there was quite a lot of work to make that have that experience.
[49:55.200 --> 49:59.200]  It's just not 99 percent similar perspective.
[49:59.200 --> 50:04.200]  It is 100 percent the natural perspective and that that's uncanny.
[50:04.200 --> 50:08.200]  You don't see pixels.
[50:08.200 --> 50:20.200]  And I can't help but think that for your team and the era that that your team started building this, you know, like I said, you were here on the show talking about our kit five years ago.
[50:20.200 --> 50:30.200]  Obviously, this was whether this is exact, you know, nothing's exactly as you plan five years in advance, but you're building towards a new platform based on this.
[50:30.200 --> 50:36.200]  But it just strikes me that the first run experience, really, there's no UI Chrome until you start doing something.
[50:36.200 --> 50:44.200]  You're just seeing, you know, there were there were these guiding principles that we had in development of this product that we wanted to achieve.
[50:44.200 --> 50:52.200]  The first one was we wanted it to be useful and we wanted to build an incredibly powerful tool, not a toy.
[50:52.200 --> 50:57.200]  And that drove a whole set of decisions around making these displays that have incredible resolution.
[50:57.200 --> 51:01.200]  So you can render text so that that's a big deal, right?
[51:01.200 --> 51:15.200]  If you ever use it, you know, other things when you see it firsthand, it's astonishing because you look at a window, a safari window, and you can read the finest point text on there and it looks super cool.
[51:15.200 --> 51:19.200]  And it not only looks crisp when you're viewing it straight there, you can go off angle.
[51:19.200 --> 51:28.200]  And if any of you've ever tried to do text on a 3D system where there's not a one to one relationship between the pixels and the image, it's not an easy thing to do.
[51:28.200 --> 51:40.200]  And so we had to invent entirely new glyph rendering mechanism to be able to do that.
[51:40.200 --> 51:45.200]  But one of the second most important principles to us was we wanted you to be connected.
[51:45.200 --> 51:55.200]  We wanted this device to not isolate you from anybody that you were with and connect you both in the room and at a distance.
[51:55.200 --> 51:59.200]  And so that drove us to do, you know, two incredibly important technologies.
[51:59.200 --> 52:09.200]  One was the ability to do pass through video at exactly the same resolution at exactly the right angles and with great dynamic range and just looking amazing.
[52:09.200 --> 52:18.200]  But also to have people be able to see you and the device, which was a whole other interesting challenge and innovation, because, of course, you know, you have displays in front of your eyes.
[52:18.200 --> 52:21.200]  So how do you make it possible for people to see your eyes?
[52:21.200 --> 52:26.200]  And then we had to invent an entirely new way to be able to work with folks at a distance.
[52:26.200 --> 52:37.200]  And all of those things came together to, you know, to be able to make this product that's really different and new and allows for possibilities that are super exciting.
[52:37.200 --> 52:43.200]  All right. Kudos to the marketing team for the name EyeSight.
[52:43.200 --> 52:52.200]  All right. I mean, yes, Apple invented EyeSight.
[52:52.200 --> 52:55.200]  But it works. It's a perfect name for the future.
[52:55.200 --> 53:00.200]  You didn't want the code name. I'll tell you that.
[53:00.200 --> 53:03.200]  It's a number I got.
[53:03.200 --> 53:06.200]  I thought it was going to be like googly eyes.
[53:06.200 --> 53:07.200]  It's just a number.
[53:07.200 --> 53:11.200]  Slinky eyes.
[53:11.200 --> 53:16.200]  No, but it even harks back to an older Apple product, the EyeSight camera.
[53:16.200 --> 53:18.200]  Right. And that's like an inside joke.
[53:18.200 --> 53:23.200]  And it would have been a great name even if that didn't exist. But it's really pretty cool.
[53:23.200 --> 53:25.200]  I did not get to experience that.
[53:25.200 --> 53:31.200]  EyeSight, I mean, number one, because I was the one wearing the helmet or not the helmet, the headset.
[53:31.200 --> 53:33.200]  I'm the one wearing it. So I couldn't see myself.
[53:33.200 --> 53:35.200]  I don't even know if it was on yet.
[53:35.200 --> 53:37.200]  And nobody, you know, I didn't get to see that yet.
[53:37.200 --> 53:45.200]  But when that was rumored as one of the features, I was skeptical because I thought, well, what about parallax?
[53:45.200 --> 53:53.200]  I could imagine that you'd make it so that if I'm looking at you straight on, sure, your eyes painted on the front are fine.
[53:53.200 --> 53:55.200]  But then I go over here.
[53:55.200 --> 53:57.200]  That does not work if you do it that way.
[53:57.200 --> 53:58.200]  Right. And I thought so.
[53:58.200 --> 54:00.200]  It looks very strange if you do that.
[54:00.200 --> 54:03.200]  We don't do that.
[54:03.200 --> 54:06.200]  Well, why don't you talk about your lenticular system?
[54:06.200 --> 54:13.200]  Yeah. So what we did, we needed to create a separate view for anybody looking at you from any angle.
[54:13.200 --> 54:20.200]  So we created a lenticular display, the very first curved lenticular display that's ever been made.
[54:20.200 --> 54:27.200]  And we actually render separate views of your eyes for every person who is looking at you.
[54:27.200 --> 54:28.200]  I'm not joking.
[54:28.200 --> 54:29.200]  That's actually what goes on.
[54:29.200 --> 54:39.200]  And so what happens is we're able to place the rendering position back at your eyes and when you do your enrollment for your persona, it's exactly you.
[54:39.200 --> 54:41.200]  And it is exactly what you're doing.
[54:41.200 --> 54:43.200]  We're not like using AI to blink for you or anything.
[54:43.200 --> 54:46.200]  It's exactly how you're looking when you're squinting wherever you're looking.
[54:46.200 --> 54:48.200]  It is what you're doing.
[54:48.200 --> 54:49.200]  And it's instant.
[54:49.200 --> 54:51.200]  The latency is essentially zero.
[54:51.200 --> 54:55.200]  So you can have a natural interaction with anybody as they walk in.
[54:55.200 --> 54:58.200]  And it's it's really astounding.
[54:58.200 --> 55:04.200]  I mean, it's something that I think when folks see it, people feel like the device is transparent.
[55:04.200 --> 55:06.200]  It just looks like it's transparent.
[55:06.200 --> 55:11.200]  And it makes it so that you don't feel disconnected from people.
[55:11.200 --> 55:14.200]  And it was really a fundamental core value of what we were trying to do.
[55:14.200 --> 55:20.200]  Don't make me cut off the open bar next year, people.
[55:20.200 --> 55:24.200]  They're drinking already.
[55:24.200 --> 55:30.200]  Or maybe maybe we'll switch the plastic cups.
[55:30.200 --> 55:36.200]  But you mentioned that it's about isolation or avoiding isolation because it seems.
[55:36.200 --> 55:43.200]  And I've experienced it and I don't have anywhere near as much experience using other VR headsets as even my son.
[55:43.200 --> 55:51.200]  Certainly you guys who did all the product research, I'm sure you're intimately familiar with everything, but I've used them enough that it is isolating.
[55:51.200 --> 56:00.200]  And isolating and disorienting, where you put them on.
[56:00.200 --> 56:11.200]  And if you're intended to move at all, by the time you take it off, it's like you were playing pin the tail on the donkey and you don't know which way you're pointed.
[56:11.200 --> 56:18.200]  It's very disorienting. And, you know, you have somebody walk into the room and they tap you on the shoulder and you jump through the roof because you're disoriented.
[56:18.200 --> 56:26.200]  And so, you know, there were many things that we did to make this a device that is fantastic for connecting, for collaborating.
[56:26.200 --> 56:30.200]  So, of course, looking through at the world, having people be able to see you.
[56:30.200 --> 56:34.200]  But also, sometimes you want to have the digital content up.
[56:34.200 --> 56:38.200]  And so, all right, what's going on over there?
[56:38.200 --> 56:43.200]  And when you have that, well, what happens if somebody walks in the room?
[56:43.200 --> 56:46.200]  Well, the digital content may be blocking them.
[56:46.200 --> 56:50.200]  Well, if they're looking at you, they actually break through and you can see them.
[56:50.200 --> 56:54.200]  And when that happens, they can see your eyes.
[56:54.200 --> 56:57.200]  It's just awesome.
[56:57.200 --> 56:58.200]  Right.
[56:58.200 --> 57:00.200]  That's an important part because that's what we said.
[57:00.200 --> 57:06.200]  We wanted to add to your world, not take you into some strange other world.
[57:06.200 --> 57:12.200]  Right.
[57:12.200 --> 57:18.200]  But that's just there locally. Then at a distance, you know, we wanted to allow you to collaborate.
[57:18.200 --> 57:27.200]  And, you know, the personas were, I mean, that was a really hard problem because, of course, you know, you're wearing a device and you can't use FaceTime.
[57:27.200 --> 57:28.200]  That's not going to work.
[57:28.200 --> 57:29.200]  So what do you do?
[57:29.200 --> 57:31.200]  You can't use your phone FaceTime.
[57:31.200 --> 57:40.200]  So we had to create a really authentic representation of you that you would be happy to interact with folks, you know, at a distance.
[57:40.200 --> 57:43.200]  And that experience is pretty magical.
[57:43.200 --> 57:47.200]  You got to see, you know, kind of the one of one of the iterations of it.
[57:47.200 --> 57:56.200]  Some of you may not have seen so too, but turns out that personas don't only have to live in a window.
[57:56.200 --> 57:58.200]  They actually are volumetric.
[57:58.200 --> 58:09.200]  So if you go take a look at the end of that, you can see a sneak peek of what they're really going to become over time.
[58:09.200 --> 58:23.200]  Well, along those same lines, one of the one of the earlier parts of the demo that I went through was looking at spatial photos and spatial video, which and it's a great device for looking at regular photos and for watching regular video and movies.
[58:23.200 --> 58:38.200]  But the spatial photos and spatial video are the stills and videos that you record with Vision Pro using the button on the left.
[58:38.200 --> 58:45.200]  And I'm going to keep using the word uncanny.
[58:45.200 --> 58:49.200]  And I mentioned it to you the other day that we don't like that word.
[58:49.200 --> 58:51.200]  I know I'm looking for a better word.
[58:51.200 --> 58:55.200]  Awesome.
[58:55.200 --> 58:57.200]  But I get it.
[58:57.200 --> 59:17.200]  You know, uncanny valley is a negative thing, but it's like the uncanny Spider-Man, though. It's just like, wow, because it really didn't feel like looking at photos or a video.
[59:17.200 --> 59:19.200]  It felt like looking at a memory.
[59:19.200 --> 59:22.200]  It feels like you have a time machine.
[59:22.200 --> 59:38.200]  That's exactly what it feels like. So you think about those moments that are so special with your with your kids or your family, or if you have an elderly parent that you capture that moment and you go back there and it evokes all the same feelings and emotions that you had.
[59:38.200 --> 59:44.200]  And you think about having a parent who lives on the other side of the country and you've got kids and shooting this.
[59:44.200 --> 59:52.200]  They will feel so close to the ones that they love. And it's really powerful. It's something that we're incredibly excited about.
[59:52.200 --> 01:00:01.200]  And and I think once folks experience, it's I mean, it's really profound, you know, off the top of my head, anticipating this device.
[01:00:01.200 --> 01:00:07.200]  I don't know if you guys noticed, but it was rumored to be coming out this year.
[01:00:07.200 --> 01:00:16.200]  But I was thinking displays and I because, you know, I'm a visual person and I know that it's an incredibly hard challenge.
[01:00:16.200 --> 01:00:24.200]  Where I was going earlier was that the bar had been raised across Apple's platforms a decade ago to retina resolution.
[01:00:24.200 --> 01:00:32.200]  You're not supposed to see individual pixels when you're using Apple devices anymore. And Apple Watch launched in the retina era.
[01:00:32.200 --> 01:00:35.200]  There was never a pre retina watch.
[01:00:35.200 --> 01:00:38.200]  And again, not I don't know if anybody works on the watch team.
[01:00:38.200 --> 01:00:42.200]  You're doing great work, but you only had a little screen this big to worry about.
[01:00:42.200 --> 01:00:53.200]  Your your team is filling your entire field of vision at retina resolution and pulled it off.
[01:00:53.200 --> 01:01:00.200]  But that's what I was thinking. I was like, there's you know, you know that this is going to have to look amazing because there's that's Apple's.
[01:01:00.200 --> 01:01:04.200]  That's where the bar is now. You can't have pre retina thing.
[01:01:04.200 --> 01:01:13.200]  And I was thinking compute power. Right. And because all of this is going to be complicated and it's going to require advanced silicon compute power.
[01:01:13.200 --> 01:01:18.200]  We know Apple Silicon is good, but it's all sorts of traditional computer engineering problems.
[01:01:18.200 --> 01:01:25.200]  I wasn't thinking this device is going to have amazing cameras for shooting things for your memory.
[01:01:25.200 --> 01:01:31.200]  It just I knew it would have cameras because you want to see what's going around you.
[01:01:31.200 --> 01:01:37.200]  But I didn't anticipate that it would shoot things that take your breath away.
[01:01:37.200 --> 01:01:48.200]  Yeah. You know, I will say that was something that as we were using the device and we were doing development that in some ways we we had this idea.
[01:01:48.200 --> 01:01:55.200]  We tried it and then it took our breath away and we were like, whoa, that is amazing.
[01:01:55.200 --> 01:01:58.200]  And we said we have to put that in the product.
[01:01:58.200 --> 01:02:05.200]  It was a little bit of a discovery as we had done the pass through video, you know, in that journey that that we found it.
[01:02:05.200 --> 01:02:14.200]  And we had one of the engineers on the team had his I think she's three or four year old daughter.
[01:02:14.200 --> 01:02:24.200]  And, you know, we we did some video captures of her and, you know, it was bringing tears to everybody's eyes because they were thinking about having those moments again with folks that they love.
[01:02:24.200 --> 01:02:28.200]  It was so incredibly powerful. We just felt like we had to put it in the product.
[01:02:28.200 --> 01:02:32.200]  Yeah, that was a feeling everybody had truly. It's like, wow, I wish I had this with my kids were little.
[01:02:32.200 --> 01:02:37.200]  Because to your point, it wasn't like watching a video, wasn't like seeing a picture.
[01:02:37.200 --> 01:02:41.200]  It was reliving that moment in a way that nothing's ever delivered in that way.
[01:02:41.200 --> 01:02:45.200]  It's really exciting for us to be able to get out.
[01:02:45.200 --> 01:03:10.200]  And one of the one of the demos I experienced was watching cinematic movies and Avatar to the way of water, which, of course, everybody knows James Cameron is way at his whole career at the forefront of camera technology and shooting in large formats.
[01:03:10.200 --> 01:03:18.200]  And when he does 3-D, he's doing 3-D at like the most extreme level that any Hollywood, you know, Hollywood picture has ever done.
[01:03:18.200 --> 01:03:23.200]  It looked amazing. It's the best 3-D Hollywood movie experience I've ever seen.
[01:03:23.200 --> 01:03:26.200]  I don't like watching movies in 3-D usually.
[01:03:26.200 --> 01:03:29.200]  I'm one of the people who like it like we were talking about.
[01:03:29.200 --> 01:03:31.200]  Sure. Where I watched Up.
[01:03:31.200 --> 01:03:34.200]  And there's that whole opening tearjerker scene with the man and his wife.
[01:03:34.200 --> 01:03:36.200]  And I remember that vividly. And that's like 15 minutes.
[01:03:36.200 --> 01:03:40.200]  And then we got out of the movie and I was like, what happened after that?
[01:03:40.200 --> 01:03:42.200]  And that's how my mind is with 3-D movies.
[01:03:42.200 --> 01:03:50.200]  But this it's so much brighter, but it's still a rectangular frame that James Cameron defined.
[01:03:50.200 --> 01:03:51.200]  And you can make it big.
[01:03:51.200 --> 01:03:54.200]  And it's it's the best 3-D movie viewing experience I've ever seen.
[01:03:54.200 --> 01:04:00.200]  But it's very clear you're watching a movie and it's out there in front of you in a rectangle.
[01:04:00.200 --> 01:04:09.200]  And yes, it's amazing depth and it doesn't look like some cheap gimmick where there's just two or three planes that are flat.
[01:04:09.200 --> 01:04:11.200]  It's it's 3-D, but it's a movie.
[01:04:11.200 --> 01:04:18.200]  But spatial videos that you've shot yourself, there is no crisp rectangle.
[01:04:18.200 --> 01:04:21.200]  There's like a hazy opening and it's like a portal.
[01:04:21.200 --> 01:04:30.200]  And it really looks like you could dive through the portal and like like you're it's a Harry Potter movie where somebody.
[01:04:30.200 --> 01:04:37.200]  You know, we experimented with a lot of ways to present these spatial memories or spatial video and spatial photos.
[01:04:37.200 --> 01:04:49.200]  And and when they when they centered on that, that idea of kind of a almost a dreamlike portal that you look through, it really resonated with everybody.
[01:04:49.200 --> 01:04:54.200]  And we felt like, OK, that's that is the way that is fantastic.
[01:04:54.200 --> 01:05:01.200]  One of the things you guys do, and I'm curious how much of it again, I'm thinking the answer is, oh, it was like an amazing ton of work.
[01:05:01.200 --> 01:05:10.200]  But like one of the spatial memories or I call them memories, but it feels like spatial videos was little kids and a birthday cake.
[01:05:10.200 --> 01:05:12.200]  And the cake is in the foreground.
[01:05:12.200 --> 01:05:16.200]  And it looked like it was about this close to me.
[01:05:16.200 --> 01:05:22.200]  And so I reached out with my finger and I do that all the time, like a Disney World or wherever else.
[01:05:22.200 --> 01:05:28.200]  And I see 3D. If something's out there, I'm like, what happens if I do this? It was really interesting what happened.
[01:05:28.200 --> 01:05:32.200]  It's like my finger didn't really disappear. It's sort of.
[01:05:32.200 --> 01:05:38.200]  Yeah. So one of the things that we do that is, you know, if you're going to have digital content in the world,
[01:05:38.200 --> 01:05:44.200]  especially if you're going to allow both indirect interaction, which is what we do here with Gaze and Pinch,
[01:05:44.200 --> 01:05:49.200]  but you can actually directly press on things in the device, too.
