[00:00.000 --> 00:01.680]  David, happy Thanksgiving.
[19:25.740 --> 19:28.620]  has even thought about taking it with us when we travel,
[19:28.620 --> 19:30.320]  packing it into a suitcase,
[19:30.320 --> 19:32.840]  because she loves it so much, both of them.
[19:32.840 --> 19:34.920]  When we come back from any trip, staying in a hotel,
[19:34.920 --> 19:37.900]  the first thing they love and mention it every time
[19:37.900 --> 19:39.640]  is they cannot wait to get back to their bed,
[19:39.640 --> 19:41.200]  sleep on their Hullo pillow.
[19:41.200 --> 19:43.000]  Years ago, when they first sponsored the show,
[19:43.000 --> 19:44.320]  they sent us one free.
[19:44.320 --> 19:46.640]  We have bought multiple pillows since.
[19:46.640 --> 19:48.840]  When I told my wife they were sponsoring this episode,
[19:48.840 --> 19:51.620]  she thinks we've bought five, at least five since.
[19:51.620 --> 19:53.880]  All of the old ones are still as good as new.
[19:53.880 --> 19:57.040]  They last forever, but we've put them in our guest room.
[19:57.040 --> 19:59.600]  My son has them, my wife swears by it,
[19:59.600 --> 20:02.480]  but we've turned friends and family members onto them too,
[20:02.480 --> 20:03.900]  and that's why we have them in our guest room,
[20:03.900 --> 20:05.400]  because when people stay over,
[20:05.400 --> 20:08.360]  we know people now that we've sold on Hullo pillows,
[20:08.360 --> 20:09.800]  and now we have them in our guest room
[20:09.800 --> 20:11.680]  so they can enjoy them there too.
[20:11.680 --> 20:12.920]  Just a great product.
[20:12.920 --> 20:13.760]  And here's the deal,
[20:13.760 --> 20:15.900]  they have a sleep on it for 60 nights deal.
[20:15.900 --> 20:18.660]  60 nights, and if Hullo isn't for you,
[20:18.660 --> 20:19.700]  just ship it back to them,
[20:19.700 --> 20:22.220]  and they will give you a full refund, no questions asked.
[20:22.220 --> 20:27.220]  Go to Hullo, H-U-L-L-O, hullopillow.com slash the talk show.
[20:27.760 --> 20:31.400]  And using that link, if you try more than one pillow,
[20:31.400 --> 20:35.300]  get two of them, you can get a discount up to $20 per pillow,
[20:35.300 --> 20:37.320]  depending on the size that you order.
[20:37.320 --> 20:39.060]  Fast, free shipping on every order,
[20:39.060 --> 20:41.120]  and 1% of all of their profits
[20:41.120 --> 20:43.580]  are donated to The Nature Conservancy.
[20:43.580 --> 20:44.980]  So give the gift a better sleep.
[20:44.980 --> 20:47.460]  It's a great gift idea for the holidays,
[20:47.460 --> 20:49.760]  a totally unique idea,
[20:49.760 --> 20:54.760]  and you can get them at hullopillow.com slash the talk show.
[20:57.220 --> 21:00.120]  I wanted to talk to you about Apple Watch.
[21:00.120 --> 21:05.040]  I feel like Apple Watch of the Apple's software platforms
[21:05.040 --> 21:08.200]  is probably the one I talk about the least on the show.
[21:08.200 --> 21:11.400]  Maybe it's proportional to screen size, I don't know.
[21:11.400 --> 21:13.600]  But I've been thinking about Apple Watch a lot,
[21:13.600 --> 21:15.160]  and you had a blog post this week
[21:15.160 --> 21:16.420]  that really made me think, you know what,
[21:16.420 --> 21:19.940]  I should see if David is available to be on the show.
[21:19.940 --> 21:21.460]  Tell me about your blog post.
[21:21.460 --> 21:22.480]  Sure.
[21:22.480 --> 21:24.880]  So, I mean, yeah, I love the Apple Watch.
[21:24.880 --> 21:27.760]  I think it's not necessarily the biggest part
[21:27.760 --> 21:29.760]  of my business, but it's probably the biggest part
[21:29.760 --> 21:32.080]  of my interest as a developer.
[21:32.080 --> 21:33.120]  Like, I just enjoy it.
[21:33.120 --> 21:36.920]  I think it's a really challenging but capable platform.
[21:36.920 --> 21:39.200]  And so it's something that I'm sort of always
[21:40.120 --> 21:41.920]  trying to make sure that I'm taking
[21:41.920 --> 21:43.800]  as best advantage of it as I can.
[21:43.800 --> 21:45.420]  And so the blog post you're writing about is,
[21:45.420 --> 21:49.160]  I just got back from a three-day,
[21:49.160 --> 21:50.820]  went to Scotland, did a lot of hiking,
[21:50.820 --> 21:52.460]  did a lot of camping.
[21:52.460 --> 21:54.420]  There, they would refer to it as wild camping,
[21:54.420 --> 21:56.640]  which I think is an excellent turn of phrase
[21:56.640 --> 21:58.880]  for just sleeping out in the wilderness.
[21:58.880 --> 22:00.440]  But it's like, I'm not backpacking at all.
[22:00.440 --> 22:02.340]  I'm a wild camping.
[22:02.340 --> 22:03.280]  I like it.
[22:03.280 --> 22:04.960]  Yeah, it's like, that's what they call it.
[22:04.960 --> 22:06.800]  And so I was on the Scottish Highlands,
[22:06.800 --> 22:08.360]  and I've done this kind of trip before,
[22:08.360 --> 22:11.000]  where I'd go out into the wilderness
[22:11.000 --> 22:11.960]  and hike for a few days.
[22:11.960 --> 22:16.520]  And up until this point, I've never really felt good
[22:16.520 --> 22:18.040]  about bringing an Apple Watch with me,
[22:18.040 --> 22:20.180]  that I'll bring an Apple Watch for day trips,
[22:20.180 --> 22:22.700]  for, you know, like I'm going on a day hike,
[22:22.700 --> 22:23.880]  or from staying in a hotel,
[22:23.880 --> 22:25.960]  and I can charge it up at night.
[22:25.960 --> 22:27.480]  But if I'm going on a trip like this,
[22:27.480 --> 22:30.280]  you know, I'm taking whatever I'm gonna bring with me,
[22:30.280 --> 22:32.280]  you know, on my back, and I'm just heading out.
[22:32.280 --> 22:34.040]  In this case, I was gone for, you know, three days,
[22:34.040 --> 22:37.000]  about 45 miles of just open country.
[22:37.000 --> 22:40.080]  During that time, I have to charge my devices,
[22:40.080 --> 22:41.520]  my electronics that I bring with me,
[22:41.520 --> 22:43.680]  just with the, you know, the battery that I bring.
[22:43.680 --> 22:48.000]  I bring like a 20,000 milliamp hour USB battery pack.
[22:48.000 --> 22:50.440]  And what's always been tricky with the Apple Watch
[22:50.440 --> 22:51.600]  is I like wearing it.
[22:51.600 --> 22:53.840]  I like that it's so integrated into the way
[22:53.840 --> 22:55.480]  that I track my health and fitness.
[22:55.480 --> 22:56.920]  It can show up in the activity app.
[22:56.920 --> 22:58.200]  It can count my steps in a way
[22:58.200 --> 23:00.500]  that it will appear correctly in Podometer++.
[23:00.500 --> 23:03.240]  It does all the things that I wanna do,
[23:03.240 --> 23:04.620]  but it was always a bit complicated
[23:04.620 --> 23:08.040]  because the Apple Watch just wouldn't give me
[23:08.040 --> 23:10.920]  enough battery life to sort of justify its space
[23:10.920 --> 23:15.320]  in that, you know, in the battery capacity that I bring,
[23:15.320 --> 23:17.240]  you know, because it's competing against things like,
[23:17.240 --> 23:19.320]  and my iPhone, which I might need to use
[23:19.320 --> 23:20.920]  to make an emergency phone call,
[23:20.920 --> 23:23.320]  or I have a satellite emergency beacon
[23:23.320 --> 23:25.720]  that I have to keep charged for the same reason
[23:25.720 --> 23:27.420]  that if I'm from like out in the wilderness
[23:27.420 --> 23:29.540]  and I need to, you know, call for help,
[23:29.540 --> 23:30.920]  those things need to be charged.
[23:30.920 --> 23:33.720]  And so for the Apple Watch to get to that point,
[23:33.720 --> 23:35.200]  it was always a bit tricky,
[23:35.200 --> 23:37.960]  but I wanna have something on my wrist.
[23:37.960 --> 23:40.300]  I like tracking, like having, you know,
[23:40.300 --> 23:43.780]  the GPS track of where I am and being able to know where,
[23:43.780 --> 23:45.260]  you know, it's like where I've been.
[23:45.260 --> 23:48.820]  And so previously I've had to sort of go down the road
[23:48.820 --> 23:50.760]  of what are called adventure watches.
[23:50.760 --> 23:53.380]  Garmin makes several, Suunto is another big company,
[23:53.380 --> 23:56.040]  and the ones that I have are from a company called Coros,
[23:56.040 --> 23:59.680]  which they make these watches that have kind of
[23:59.680 --> 24:04.140]  low resolution displays, but very large battery lives.
[24:04.140 --> 24:07.800]  And, you know, ostensibly you can wear them for trips
[24:07.800 --> 24:09.560]  that would last, you know, probably weeks
[24:09.560 --> 24:11.880]  and be able to do the whole thing on one charge
[24:11.880 --> 24:14.080]  rather than, you know, in my mind,
[24:14.080 --> 24:15.120]  previously with an Apple Watch,
[24:15.120 --> 24:17.760]  it's like I would burn through the entire battery
[24:17.760 --> 24:18.600]  in a single day.
[24:18.600 --> 24:20.520]  And that just makes it really hard
[24:20.520 --> 24:21.800]  if you're going for multi-day trips
[24:21.800 --> 24:23.560]  to have to just keep going, you know,
[24:23.560 --> 24:26.040]  all the way up with charging an Apple Watch, and so.
[24:26.040 --> 24:29.680]  Something more akin to what we've pre-smartwatch
[24:29.680 --> 24:32.280]  thought of as the battery life of a digital watch,
[24:32.280 --> 24:35.280]  even if it is doing some fitness and activity
[24:35.280 --> 24:37.760]  and GPS tracking, but something where you don't,
[24:37.760 --> 24:41.200]  you know, it's almost literally a no-brainer
[24:41.200 --> 24:44.240]  that you just leave without worrying that your watch
[24:44.240 --> 24:46.240]  is gonna run out of battery on the trip.
[24:46.240 --> 24:47.400]  Yeah, exactly.
[24:47.400 --> 24:49.760]  It becomes, in some ways it's almost,
[24:49.760 --> 24:51.600]  in my use with these kind of adventure watches,
[24:51.600 --> 24:53.760]  it's the weird difference where sometimes
[24:53.760 --> 24:55.720]  you have to be careful that you don't forget
[24:55.720 --> 24:57.240]  that it needs to be charged.
[24:57.240 --> 24:59.400]  And it can go, it's like with a Kindle or something,
[24:59.400 --> 25:01.600]  where sometimes you can just keep using it
[25:01.600 --> 25:03.040]  and you get to a place that you're like,
[25:03.040 --> 25:05.240]  ah, you just forget that it needs to be charged
[25:05.240 --> 25:07.880]  because you're going weeks in between
[25:07.880 --> 25:08.940]  to sort of charging intervals,
[25:08.940 --> 25:11.020]  which is definitely not an Apple Watch experience.
[25:11.020 --> 25:14.080]  You know, Apple is very big on their all-day battery life,
[25:14.080 --> 25:16.920]  but all-day battery life, you know,
[25:16.920 --> 25:20.560]  traditionally is meant to get 18 hours if you're lucky.
[25:20.560 --> 25:22.340]  And certainly in older Apple Watches,
[25:22.340 --> 25:24.280]  when I've gone on hiking trips with them,
[25:24.280 --> 25:27.420]  you know, when once you're doing a hiking workout,
[25:27.420 --> 25:30.840]  tracking GPS, so it's doing heart rate sampling,
[25:30.840 --> 25:33.240]  you know, continuously tracking your GPS position
[25:33.240 --> 25:35.320]  the whole time, like it would very quickly
[25:36.840 --> 25:38.180]  burn through your Apple Watch.
[25:38.180 --> 25:41.960]  But with the advent of the 45 millimeter Series 7
[25:41.960 --> 25:45.200]  that I sort of got this fall, it got me wondering
[25:45.200 --> 25:50.200]  because the screen on that watch is so bright.
[25:50.200 --> 25:53.200]  All the time, you know, the always-on versus
[25:53.200 --> 25:56.200]  the regular full display are almost identical
[25:56.200 --> 25:58.560]  in a lot of contexts, other than for things like
[25:58.560 --> 26:00.640]  seeing the second hand ticking across.
[26:00.640 --> 26:02.940]  You know, half the time I can't even tell
[26:02.940 --> 26:05.080]  if it's down or up, which made me think,
[26:05.080 --> 26:07.720]  well, if it's that bright all the time,
[26:07.720 --> 26:09.320]  if I can turn that off, so in my case,
[26:09.320 --> 26:10.820]  I just put it on theater mode,
[26:10.820 --> 26:12.800]  which does a pretty good job.
[26:12.800 --> 26:15.320]  It essentially means that the screen doesn't light up at all
[26:15.320 --> 26:16.400]  unless you tap on it.
[26:16.400 --> 26:18.040]  You know, I'm not just turning off the always-on
[26:18.040 --> 26:19.880]  where it would do it with wrist raises.
[26:19.880 --> 26:22.140]  It's just like, it's completely off.
[26:22.140 --> 26:25.200]  Otherwise, if I do that and I put on airplane mode,
[26:25.200 --> 26:26.840]  what kind of battery life could I get?
[26:26.840 --> 26:28.760]  And I was shocked that, you know,
[26:28.760 --> 26:31.780]  I went on this trip, hiked for three days,
[26:31.780 --> 26:34.160]  and like the first day I was out,
[26:34.160 --> 26:37.960]  I hiked for, you know, did 16 miles of hiking
[26:37.960 --> 26:39.340]  over about a six hour period,
[26:39.340 --> 26:43.620]  and it had only used 27% of my battery, which was great.
[26:43.620 --> 26:45.760]  So essentially it changes it from, you know,
[26:45.760 --> 26:48.520]  a all-day battery life to essentially probably like
[26:48.520 --> 26:52.080]  a three-day battery life in this mode with a big,
[26:52.080 --> 26:53.460]  you know, obviously the 45 millimeters,
[26:53.460 --> 26:55.600]  the biggest Apple watch, but still, like,
[26:55.600 --> 26:59.240]  it changed the dynamic for me where it made it clear
[26:59.240 --> 27:03.420]  that this device has huge amounts of potential battery life,
[27:03.420 --> 27:05.400]  and Apple is just choosing right now
[27:05.400 --> 27:07.280]  in normal day-to-day mode,
[27:07.280 --> 27:08.840]  they're choosing to spend that
[27:08.840 --> 27:11.520]  on making the always-on display super bright,
[27:11.520 --> 27:15.080]  but the capacity is there, and if I change my watch
[27:15.080 --> 27:16.960]  and essentially configure it in a few ways to say,
[27:16.960 --> 27:19.760]  hey, what really matters to me right now is battery life,
[27:19.760 --> 27:22.560]  not having a bright screen all the time,
[27:22.560 --> 27:24.960]  or having notifications, or all the things
[27:24.960 --> 27:26.880]  that would normally be jumping up all the time.
[27:26.880 --> 27:28.760]  I care about battery life.
[27:28.760 --> 27:30.300]  Like, it can last a very long time,
[27:30.300 --> 27:32.640]  and it means that I don't need to use an adventure watch.
[27:32.640 --> 27:35.120]  I can just use my Apple watch that I love and I know,
[27:35.120 --> 27:36.920]  and I can write apps for, and I can, you know,
[27:36.920 --> 27:40.080]  if there's a need I have, I can totally solve it.
[27:40.080 --> 27:43.760]  You even wrote a custom app for this wild camping trip.
[27:43.760 --> 27:46.000]  Mm-hmm, yeah, yeah, it's like in the UK,
[27:46.000 --> 27:48.680]  there's a certain type of map called an Ordnance Survey Map,
[27:48.680 --> 27:53.240]  which is like the gold standard of mapping in the UK,
[27:53.240 --> 27:54.640]  and as far as I know,
[27:54.640 --> 27:58.800]  there is no wrist-mounted version of that map.
[27:58.800 --> 28:01.120]  You can get it on an iPhone or paper maps,
[28:01.120 --> 28:02.760]  but you can't get it on a wrist, and so it's like,
[28:02.760 --> 28:03.840]  well, it's an Apple watch.
[28:03.840 --> 28:05.880]  It's a fully capable programmable computer.
[28:05.880 --> 28:09.440]  I could just write an app that took Ordnance Survey Maps
[28:09.440 --> 28:12.840]  and integrated it with GPS, and I can have live on my wrist
[28:12.840 --> 28:15.520]  an Ordnance Survey Map with GPS and a compass,
[28:15.520 --> 28:18.520]  and, you know, made my navigation super simple,
[28:18.520 --> 28:20.160]  because if I want to know where I am,
[28:20.160 --> 28:22.280]  am I on track, am I come up to a junction,
[28:22.280 --> 28:24.360]  which way should I go, I just raise my wrist,
[28:24.360 --> 28:27.160]  tap on the screen, and there's a map right there
[28:27.160 --> 28:29.480]  exactly centered to precisely where I am,
[28:29.480 --> 28:32.320]  and it's like, I just can't do that on a Coros
[28:32.320 --> 28:34.240]  or a Garmin or anything, and they have some maps,
[28:34.240 --> 28:35.400]  but they don't have these kind of maps,
[28:35.400 --> 28:37.040]  and they're not going to have them on a gorgeous,
[28:37.040 --> 28:40.560]  you know, like edge-to-edge, full-color 60-hertz display
[28:40.560 --> 28:43.880]  that I can pinch to zoom and swipe around with my finger
[28:43.880 --> 28:44.720]  in quite the same way.
[28:44.720 --> 28:46.600]  You've got a screenshot of the app,
[28:46.600 --> 28:50.080]  and I swear, I know it's a long-running joke
[28:50.080 --> 28:51.840]  that I say something will be in the show notes,
[28:51.840 --> 28:53.760]  but I swear it's already in the show notes.
[28:53.760 --> 28:55.600]  It already is, but your blog post is there,
[28:55.600 --> 28:58.040]  people can look at it and see it.
[28:58.040 --> 29:01.600]  I did not know, I don't know why,
[29:01.600 --> 29:04.480]  I guess I should have known, I'm like GPS ignorant.
[29:05.920 --> 29:08.520]  I did not know that when you put something
[29:08.520 --> 29:12.320]  in airplane mode that GPS still can work, or does work.
[29:12.320 --> 29:16.960]  I don't know why, I just thought that would go off.
[29:16.960 --> 29:19.840]  And I guess it's like, in my mind,
[29:19.840 --> 29:23.720]  I still think of GPS as some kind of battery hog technology.
[29:23.720 --> 29:24.560]  Sure.
[29:24.560 --> 29:25.760]  And I guess it's not.
[29:26.720 --> 29:30.520]  Yeah, I mean, I think it works in airplane mode
[29:30.520 --> 29:32.960]  because it's entirely passive, it's just listening.
[29:32.960 --> 29:35.680]  It's not sending data up to the satellites
[29:35.680 --> 29:38.280]  that are doing the geolocation,
[29:38.280 --> 29:41.960]  and so it's able to be on in airplane mode.
[29:41.960 --> 29:44.040]  And airplane mode is primarily just about
[29:44.040 --> 29:45.520]  what your phone is sending.
[29:45.520 --> 29:49.120]  And so it turns off wifi, it turns off cellular.
[29:49.120 --> 29:50.880]  You can optionally have it turn off Bluetooth.
[29:50.880 --> 29:52.040]  In this case, I just left it on
[29:52.040 --> 29:54.520]  because Bluetooth is so low energy these days.
[29:54.520 --> 29:55.760]  But yeah, it is kind of a funny thing,
[29:55.760 --> 29:57.120]  and I wasn't sure at first,
[29:57.120 --> 29:58.920]  but it's like I turned it on in airplane mode
[29:58.920 --> 30:00.400]  on my phone and on my watch,
[30:00.400 --> 30:02.640]  and then went for a hike and it tracked it,
[30:02.640 --> 30:04.640]  and I was like, okay, well, I guess GPS works
[30:04.640 --> 30:07.160]  because it's just listening rather than having
[30:07.160 --> 30:09.400]  to do any transmission.
[30:09.400 --> 30:11.320]  The other thing I wouldn't have thought of
[30:11.320 --> 30:15.200]  is using theater mode to do this battery saving.
[30:15.200 --> 30:18.280]  I would have just thought go to settings,
[30:18.280 --> 30:20.680]  display and brightness, and on the watch,
[30:20.680 --> 30:23.200]  you can turn off always on mode.
[30:23.200 --> 30:27.360]  And then the difference is if you go to settings
[30:27.360 --> 30:29.600]  and turn off always on, the watch face
[30:29.600 --> 30:32.040]  will still light up on wrist rays.
[30:32.040 --> 30:35.120]  And with theater mode, you actually have to tap the screen
[30:35.120 --> 30:38.800]  or move the crown or something to see the display.
[30:38.800 --> 30:41.200]  And I could see why in your scenario,
[30:41.200 --> 30:43.920]  wild camping and hiking, you might wanna do that
[30:43.920 --> 30:46.080]  because I would imagine while you're hiking,
[30:46.080 --> 30:49.800]  the watch might light up with a fake wrist raise
[30:49.800 --> 30:54.040]  just because you're maneuvering around a tricky part
[30:54.040 --> 30:55.800]  in the path or something like that.
[30:55.800 --> 30:58.160]  Yeah, and clearly Apple's algorithms
[30:58.160 --> 31:00.720]  and heuristics are tuned to make it
[31:00.720 --> 31:03.560]  so that every time I raise my wrist, it lights up.
[31:03.560 --> 31:05.980]  That they wanna make absolutely sure
[31:05.980 --> 31:09.160]  that every single time you do that, that happens.
[31:09.160 --> 31:11.840]  And so they've tuned it so that that's 100%
[31:11.840 --> 31:13.880]  and then there's gonna be a few false negatives
[31:13.880 --> 31:16.080]  or false positives where it's lighting up
[31:16.080 --> 31:19.560]  when my wrist isn't actually being intended to be looked at.
[31:19.560 --> 31:23.040]  And in my case, it's like I will take that trade off
[31:23.040 --> 31:26.280]  and turn it around where I'm happy to be very intentional
[31:26.280 --> 31:27.640]  that I wanna check my distance,
[31:27.640 --> 31:29.360]  I wanna check where I am on the map,
[31:29.360 --> 31:31.120]  I wanna do those things consciously
[31:31.120 --> 31:33.520]  because having the battery life on my watch
[31:33.520 --> 31:36.080]  last that much longer is way more important to me
[31:36.080 --> 31:39.200]  than the ergonomic benefit of only having
[31:39.200 --> 31:41.160]  to slightly raise my wrist.
[31:41.160 --> 31:42.600]  Especially honestly, because I'm hiking
[31:42.600 --> 31:44.600]  with hiking poles and stuff, I have things in my hand.
[31:44.600 --> 31:46.920]  So it's kind of, I don't actually necessarily turn my wrist
[31:46.920 --> 31:49.080]  in quite the same exaggerated fashion
[31:49.080 --> 31:51.840]  because I'll hit something with my hiking poles.
[31:51.840 --> 31:53.600]  So it makes a lot more sense for me
[31:53.600 --> 31:57.280]  to just tap the screen whenever I wanna check things.
[32:00.200 --> 32:02.880]  And I guess I'm surprised that you got
[32:02.880 --> 32:04.340]  as much battery life as you did.
[32:04.340 --> 32:06.400]  And I guess I shouldn't be, because we know
[32:06.400 --> 32:08.080]  that battery life has gotten better
[32:08.080 --> 32:09.680]  on the Apple Watch steadily.
[32:11.180 --> 32:14.080]  I mean, the Series Zero original Apple Watch
[32:14.080 --> 32:16.560]  is probably about as close as we could get
[32:16.560 --> 32:20.800]  to the Apple version of a minimal viable product.
[32:22.300 --> 32:27.300]  It's hard to imagine that if it were slower
[32:27.520 --> 32:30.760]  or had even slightly worse battery life
[32:30.760 --> 32:33.200]  that they could have brought it to market when they did.
[32:33.200 --> 32:35.120]  It was very slow.
[32:35.120 --> 32:37.280]  Everything you did on it was very slow,
[32:37.280 --> 32:41.020]  especially communication from the phone to the watch.
[32:41.020 --> 32:43.280]  Even so, with all of the concessions
[32:43.280 --> 32:46.040]  they made to battery life, like having the display go off
[32:46.040 --> 32:49.200]  when you're not looking at it, and using OLED screens
[32:49.200 --> 32:51.400]  with black background watch faces
[32:51.400 --> 32:54.600]  that are as low power as possible on OLED,
[32:54.600 --> 32:58.460]  all of those tricks, it still barely made it through a day,
[32:58.460 --> 33:01.600]  especially if you did even a single workout.
[33:01.600 --> 33:04.880]  And doing a workout would noticeably drain the battery
[33:04.880 --> 33:06.920]  because it would be monitoring your heartbeat
[33:06.920 --> 33:11.920]  more frequently and whatever other type of detection
[33:12.200 --> 33:14.260]  it's doing, like trying to detect distance
[33:14.260 --> 33:17.200]  while you walk or jog or something like that.
[33:17.200 --> 33:19.280]  Slowly and steadily, every single year,
[33:19.280 --> 33:21.000]  it's gotten faster and faster,
[33:21.000 --> 33:23.840]  and to the point now where I don't really feel
[33:23.840 --> 33:26.440]  like anything feels slow on Apple Watch.
[33:26.440 --> 33:30.220]  Sometimes I still, and I'm sure you see this as a developer,
[33:30.220 --> 33:33.040]  I still sometimes run into a thing where it's like
[33:33.040 --> 33:34.680]  I just restarted it or something,
[33:34.680 --> 33:39.680]  and one of my complications just is not getting information.
[33:40.760 --> 33:42.560]  And it's like, I don't know what to do here.
[33:42.560 --> 33:45.040]  I've opened the app on my phone, I've opened it on a watch,
[33:45.040 --> 33:46.400]  and then all of a sudden it'll start working.
[33:46.400 --> 33:47.600]  And it's like, I don't know what that is.
[33:47.600 --> 33:48.980]  But for the most part, though,
[33:48.980 --> 33:50.660]  things that should be fast are fast,
[33:50.660 --> 33:52.400]  and battery life has gotten better.
[33:52.400 --> 33:55.040]  But you can just tell that internally,
[33:55.040 --> 33:57.800]  Apple, for all of their devices,
[33:57.800 --> 33:59.280]  and of course every company would do this,
[33:59.280 --> 34:02.480]  but you figure, here's how much battery we have,
[34:02.480 --> 34:04.480]  and then you effectively make a budget.
[34:04.480 --> 34:06.080]  What do we want to spend it on?
[34:06.080 --> 34:10.720]  And Apple has sort of kept one full day of battery life
[34:10.720 --> 34:14.200]  as their North Star, and then they've sort of
[34:14.200 --> 34:17.680]  filled in that day by doing more.
[34:17.680 --> 34:19.920]  Okay, we'll leave the screen on all the time,
[34:19.920 --> 34:21.200]  even when you're not looking at it,
[34:21.200 --> 34:24.200]  but it'll be really dim with the Series 5.
[34:24.200 --> 34:27.360]  And then in Series 6, we'll make that always-on mode
[34:27.360 --> 34:29.640]  a little brighter, and now with Series 7,
[34:29.640 --> 34:31.320]  it's really quite bright.
[34:31.320 --> 34:34.640]  Yeah, I mean, for many watch faces,
[34:34.640 --> 34:38.140]  I can't tell the difference between the wrist down
[34:38.140 --> 34:40.020]  and the wrist up version, other than the second hand.
[34:40.020 --> 34:41.860]  Like, if you don't look at it closely,
[34:41.860 --> 34:43.360]  you just wouldn't know.
[34:43.360 --> 34:46.000]  And clearly, that's using a lot of energy,
[34:46.000 --> 34:48.380]  but I mean, the nature of, there are some things
[34:48.380 --> 34:50.360]  that you can do to optimize, like to your point,
[34:50.360 --> 34:53.600]  they can make it faster, but the energy it takes
[34:53.600 --> 34:57.040]  to shoot light out of the screen is kind of a fixed thing.
[34:57.040 --> 34:59.120]  And so if they've gotten to a point that they can
[34:59.120 --> 35:02.880]  send those photons out of the screen on a continuous basis
[35:02.880 --> 35:05.040]  throughout the entire time that the watch is on,
[35:05.040 --> 35:06.600]  it's like, clearly they have a good amount
[35:06.600 --> 35:09.200]  of budget available, and it's like, in this context,
[35:09.200 --> 35:12.680]  I make different choices about how to spend that budget.
[35:12.680 --> 35:14.880]  The watch is capable of kind of being adaptable
[35:14.880 --> 35:15.700]  between the two.
[35:15.700 --> 35:17.160]  It's like, in day-to-day use, I think Apple made
[35:17.160 --> 35:20.720]  the absolutely right choice that the Series 7 watch
[35:20.720 --> 35:25.240]  is, in my use, feels really different, even to a 6,
[35:25.240 --> 35:27.440]  where it's bright to a point that it feels like
[35:27.440 --> 35:30.160]  the screen is always on, like actually always on,
[35:30.160 --> 35:33.120]  not there's these two modes, and when you jump
[35:33.120 --> 35:36.280]  between them, the watch face shrinks and grows,
[35:36.280 --> 35:38.600]  and it's these two distinct things.
[35:38.600 --> 35:40.920]  It feels much more like those two distinctions
[35:40.920 --> 35:43.360]  are kind of separate now, and it's much more,
[35:43.360 --> 35:45.760]  it's just always on, and it's great,
[35:45.760 --> 35:47.520]  but in a context where you don't want it,
[35:47.520 --> 35:49.280]  that budget is available, and you can spend it
[35:49.280 --> 35:50.920]  doing all kinds of other things.
[35:50.920 --> 35:53.080]  I wasn't gonna buy a new watch this year.
[35:53.080 --> 35:56.320]  I had, my previous purchase was a Series 5
[35:56.320 --> 35:58.440]  from two years ago, which I bought specifically
[35:58.440 --> 36:00.980]  for always-on mode, because it had been something
[36:00.980 --> 36:04.720]  I had complained about in my reviews of the Series 0,
[36:04.720 --> 36:08.440]  the Series 2, Series 3, Series 4, and so I felt like
[36:08.440 --> 36:10.520]  once they shipped one with it, well, I better buy one,
[36:10.520 --> 36:12.840]  because I've been complaining about it for four years,
[36:12.840 --> 36:16.340]  and did not regret it, but still thought it was fine.
[36:16.340 --> 36:18.400]  Series 6 last year, it certainly didn't tempt me
[36:18.400 --> 36:20.840]  for a one-year over a one-year update,
[36:20.840 --> 36:22.800]  just because it was a little brighter,
[36:22.800 --> 36:26.140]  but here's where the danger of being a,
[36:26.140 --> 36:28.280]  it's such a privilege, and I love doing it,
[36:28.280 --> 36:32.320]  but getting to review these products all the time,
[36:32.320 --> 36:35.760]  it's like having worn a Series 7 that I had no intention
[36:35.760 --> 36:38.920]  of buying for a couple of weeks, I was like, I need this,
[36:38.920 --> 36:41.760]  because the battery life was so much better,
[36:41.760 --> 36:45.280]  and the always-on glanceable, don't even have to raise
[36:45.280 --> 36:47.080]  my wrist, I can easily see what time it is,
[36:47.080 --> 36:50.040]  was so much better, including outdoors,
[36:50.040 --> 36:52.400]  that when I went back to my personal Series 5,
[36:52.400 --> 36:57.400]  it felt like somebody came in and depleted my battery.
[36:58.200 --> 37:01.840]  It's like, aw, you poor thing, I liked you so much
[37:01.840 --> 37:04.700]  before I spent a couple of weeks with a Series 7.
[37:06.200 --> 37:07.780]  The one thing that's weird to me,
[37:07.780 --> 37:09.500]  and I don't know why they do it,
[37:09.500 --> 37:11.100]  I don't think it's every watch face,
[37:11.100 --> 37:13.780]  but my favorite watch face is utility,
[37:13.780 --> 37:17.580]  and utility does it, is when it goes to always-on mode,
[37:17.580 --> 37:22.240]  it shrinks just a little, like maybe like 5%.
[37:22.240 --> 37:24.160]  And then when you raise your wrist,
[37:24.160 --> 37:26.520]  it doesn't just get brighter, it grows,
[37:26.520 --> 37:29.360]  and the complications bounce a little.
[37:29.360 --> 37:33.160]  So like on utility, you can have a text complication
[37:33.160 --> 37:36.600]  at the bottom that wraps around the watch face part,
[37:36.600 --> 37:39.200]  and that text part shrinks and grows,
[37:39.200 --> 37:41.120]  and it has a nice little animation,
[37:42.000 --> 37:45.120]  like ease in, ease out type thing.
[37:45.120 --> 37:49.560]  But it's the thing that makes the always-on transition
[37:49.560 --> 37:52.000]  more noticeable than if they just made it brighter.
[37:52.000 --> 37:54.680]  It's so bright, it's almost like it made more sense
[37:54.680 --> 37:58.360]  for Series 5 when there was a much more distinct difference
[37:58.360 --> 38:01.080]  in brightness, and now it feels almost like
[38:01.080 --> 38:02.620]  they're drawing attention to a thing
[38:02.620 --> 38:04.680]  that shouldn't have attention drawn to it.
