[00:00.000 --> 00:05.600]  It's a very special week for you. You're now on the on the door for both Google and Microsoft
[27:57.800 --> 28:05.480]  I've the those mock-ups that you see where people make it like the whole band is a flexible display and it's a lot of it is display
[28:05.480 --> 28:07.480]  they look cool as a
[28:07.480 --> 28:15.000]  As a mock-up, but I think they're problematic if you think about it in practical terms because which way are they oriented?
[28:15.560 --> 28:18.920]  Yeah, you know what I mean like if if you know if you've seen those mock-ups
[28:18.920 --> 28:20.920]  but if it's just a band and
[28:21.480 --> 28:24.520]  Like at the whole top half of it is a color display
[28:25.880 --> 28:28.600]  To get a lot of text you'd have to turn your wrist sideways
[28:28.840 --> 28:31.640]  Otherwise, you just have a real skinny display that's real tall
[28:31.640 --> 28:38.040]  And I even had some stupid ideas were like the display part pops out and you can spin it
[28:39.160 --> 28:41.160]  That doesn't make any sense, but
[28:41.480 --> 28:43.480]  Yeah, I don't know
[28:43.480 --> 28:47.320]  So I don't know I don't remember the last time I talked to you about this, but
[28:48.600 --> 28:55.800]  I did a story a few weeks ago for courts where I dug up every Apple wearable that they've ever shipped
[28:55.800 --> 29:00.680]  And posted photos of it, you know dating back to the old
[29:01.640 --> 29:04.520]  iPod remote which clipped on to your shirt
[29:05.240 --> 29:11.240]  And actually my favorite with with a Sony mini disc remote controls, which I didn't I don't think I posted in the article
[29:11.240 --> 29:12.760]  But they were awesome
[29:12.920 --> 29:16.040]  They had like little display on them and they clipped right onto your shirt
[29:17.000 --> 29:24.640]  But then also Apple you know has done obviously earbuds and the iPod shuffle series including you know three or four different designs of the
[29:24.640 --> 29:30.560]  iPod shuffle including one that they had kind of screwed up and had to revert course and
[29:32.400 --> 29:36.080]  And then of course the the last one was the iPod
[29:36.880 --> 29:41.680]  Nano, which people made watch bands. Yeah, not the current iPod Nano
[29:42.480 --> 29:46.720]  Right previous iPod. Yeah, I've got one of those in my hand right now
[29:47.360 --> 29:53.600]  Yeah, which which is surprisingly similar obviously, you know many years of past and technologies improve
[29:53.600 --> 29:56.000]  but those like LG and Samsung
[29:56.720 --> 30:00.080]  Watches just seem like they're that yeah, and I
[30:01.200 --> 30:03.680]  Don't know maybe Apple was like oh, this is brilliant. Let's
[30:04.800 --> 30:11.280]  Let's shift course on the iPod Nano and we'll we'll come back to this watch thing and make it look just like this in a few years
[30:12.080 --> 30:16.640]  But I don't know you know it seems to me like if that was the right course of action
[30:16.640 --> 30:19.520]  They would have just kept with it. I think it was called the TikTok
[30:19.520 --> 30:25.040]  TIK TOK it was it was an early and kickstarter and
[30:25.840 --> 30:31.520]  Huge success a watch band to fit the this little the little square Nano
[30:32.000 --> 30:34.000]  I have it I have one right here
[30:34.000 --> 30:37.840]  And I believe Apple later sold them in this in their store. Yeah, they did sell them
[30:37.840 --> 30:39.840]  I think and I think other companies came out with them
[30:39.840 --> 30:41.840]  I don't think anybody had the success that these guys had
[30:42.080 --> 30:45.600]  But I've said to people before like when I see these Android wear
[30:45.600 --> 30:49.040]  Devices coming out that if they don't look better
[30:49.840 --> 30:52.240]  than the tiktok which
[30:53.040 --> 30:58.720]  You know the the iPod Nano combined with the tiktok which is a device that wasn't even designed to be a watch
[30:59.440 --> 31:01.440]  Then that's a problem
[31:01.440 --> 31:05.120]  Yeah, like if you can't if you can't make a watch that looks better
[31:05.520 --> 31:10.480]  Than a device that wasn't really designed to be a watch that could be made into one by a kickstarter
[31:10.480 --> 31:15.040]  Four years ago four years ago or whatever it was three or four years ago. Yeah
[31:15.920 --> 31:22.160]  And that's you know that the round screen like maybe that's progress but but just everything about iOS
[31:23.360 --> 31:30.960]  And obviously Mac OS our has been built on you know screens with corners and a top and a bottom and that kind of stuff and
[31:32.720 --> 31:36.560]  Like if you see how hard it's been just to get people to make iPad apps
[31:36.560 --> 31:39.680]  I don't know about
[31:40.400 --> 31:44.160]  Getting you know having everyone rethink everything again for a round
[31:44.720 --> 31:46.720]  Well around makes sense given
[31:47.360 --> 31:52.240]  Traditional watches and clocks where you're you've got this radial dial of
[31:52.960 --> 31:56.800]  Yeah, no minute an hour and second hands that sweep around in a circle it
[31:57.520 --> 32:01.520]  It makes sense you're showing circular dials it makes sense to put it in a circle. It's a reason why
[32:01.520 --> 32:08.480]  All sorts of things that use a dial like a speedometer in a car
[32:08.720 --> 32:10.720]  You know the
[32:10.720 --> 32:14.920]  Techometer in a car have Rob circle, right crop circles
[32:15.280 --> 32:19.760]  Sun dials have you know traditionally been or often are circles
[32:20.560 --> 32:27.680]  But you know for everything else it does it circles are pretty problematic as a display like for displaying text of any kind because
[32:28.240 --> 32:30.240]  You only get the full width right at the
[32:30.240 --> 32:32.560]  I don't know the what would you call it the equator. Yeah
[32:33.520 --> 32:35.520]  Yeah, unless you're supposed to read it
[32:36.800 --> 32:42.000]  You know in a spiral or something right laying out text in a circle is incredibly inefficient. Yeah
[32:43.520 --> 32:48.880]  Yeah, so when you say square do you literally mean square do you mean rectangular? No, I mean square
[32:49.440 --> 32:51.920]  I'm like, you know like the iPod now
[32:52.960 --> 32:54.560]  Interesting I
[32:54.560 --> 33:00.000]  You know again this I mean you can I don't know there's probably another freaking bullshit thing that business insiders
[33:00.000 --> 33:06.400]  Gonna screwber says I I pod nano is a square. I should be right right now. I might still have a login
[33:06.400 --> 33:12.400]  I don't know it should say if it wanted to be honest. They should take ruber says sketchy third-hand
[33:13.520 --> 33:15.520]  Source here's whisper that
[33:16.080 --> 33:18.560]  Apple wearable thing might have square display
[33:19.760 --> 33:25.360]  Yeah, I don't see that. I don't know. I don't know. I wouldn't bet money on it. Well, I'd better look now
[33:25.360 --> 33:29.120]  Okay, not much. I wouldn't bet big I
[33:30.080 --> 33:36.080]  Would bet big that there will be it there will be a some wearable thing unveiled in September or october
[33:36.080 --> 33:39.920]  I would bet an extra five dollars that it would have a square display
[33:42.320 --> 33:44.320]  I could see that all right
[33:44.320 --> 33:50.720]  Anybody I'm on that side too, so the biggest implication to me of it having a display is battery life
[33:50.720 --> 34:00.360]  Because the battery having a display to me is means that it's gonna it leads to all sorts of questions about how that how is this thing going to have
[34:01.040 --> 34:03.040]  a usable battery life
[34:03.040 --> 34:05.040]  Yeah, because that is
[34:05.280 --> 34:08.800]  Though the one nice thing about this Nexus 7 is that it's already told me that
[34:09.440 --> 34:12.600]  Over half of the power I've consumed is the screen
[34:13.520 --> 34:14.760]  Yeah
[34:14.760 --> 34:18.800]  There's a desire say tell you that I don't remember something like that
[34:18.800 --> 34:25.840]  Yeah, you know what they have an app shaming feature, but I don't think like like Android has had that for a while and
[34:26.320 --> 34:31.160]  We'll tell you things that aren't just based on the app, but things like cellular networking
[34:31.680 --> 34:38.000]  In general and that the display just the power to display. I think that the iOS 8 feature
[34:38.720 --> 34:44.280]  only lists apps by the order that which in which they've consumed energy
[34:44.280 --> 34:48.440]  Yeah, yeah, yeah, so 58% of my Nexus 7
[34:49.400 --> 34:52.040]  Energy consumption has been the screen today. I
[34:52.920 --> 34:57.000]  Have a feeling that that app shaming feature and I was yeah, I think it's improved popular
[34:57.800 --> 34:59.280]  I
[34:59.280 --> 35:02.480]  Think it's also going to cause some weird problems
[35:02.480 --> 35:05.800]  I think part of it is because people are going to be surprised by what's using the power
[35:06.920 --> 35:13.000]  I've heard I don't use Facebook, so I don't know, but I've heard from a lot of people that Facebook dot app uses consumes and
[35:13.000 --> 35:16.360]  unseemly amount of energy based on
[35:17.160 --> 35:21.320]  The default settings for background like stuff that it tries to go. Yeah
[35:22.200 --> 35:28.720]  Interesting, well, that's good then so I think then I think I think it might might even be a big reason why app because of course
[35:28.720 --> 35:31.720]  And you know in combination with the fact that it uses a lot of power
[35:31.720 --> 35:36.040]  It's on a lot of iPhones and people probably more than any other app
[35:36.600 --> 35:37.640]  That's a good question
[35:37.640 --> 35:50.200]  I thought about that with the Google sponsorship of of Daring Fireball for iOS apps
[35:51.160 --> 35:59.480]  I would guess the most popular of the Google app, right, but you know, I would think so, you know, but a bunch of their apps are very popular
[35:59.880 --> 36:02.200]  Gmail's their Gmail app is super popular
[36:02.200 --> 36:11.640]  Yeah, there's search app. Yeah, which I think was their first app. Maybe. Yeah, I think the one that's just called Google and it's the one that gives you the Google now
[36:12.080 --> 36:14.080]  function out
[36:16.280 --> 36:22.560]  But clearly with the Google up with certain Google's apps you can reach a lot more people than our YouTube is probably
[36:22.560 --> 36:26.520]  Maybe number one maybe YouTube is number one. I don't know because for so long
[36:26.520 --> 36:30.240]  It was a system app and then everyone had to re-get it. Oh, I don't know
[36:30.240 --> 36:35.040]  Or at least on certain contingent of people. It's got to be number one. Like, you know, my my
[36:35.040 --> 36:41.440]  I'm gonna guess Facebook is the all-time number one. Yeah, I would if I had to bet on what's the most popular app of all
[36:41.440 --> 36:45.680]  What which app is on the highest percentage of iPhones and use I would say Facebook?
[36:46.400 --> 36:50.560]  So if that is really a huge power suck then we're gonna hear about right?
[36:51.600 --> 36:55.520]  Although, you know, there's a difference between consumption and
[36:55.520 --> 37:01.880]  Well, the bandwidth example is another one. So I just did a post on Friday where I
[37:04.280 --> 37:11.560]  Revealed the where the last six point eight gigs of my cellular data have gone and the the biggest
[37:13.120 --> 37:17.320]  The biggest source was Twitter Twitter, which you know, you think of as a simple
[37:18.440 --> 37:20.440]  140 character text app
[37:20.440 --> 37:25.160]  Used over two gigabytes of data for me in the last few months
[37:26.480 --> 37:29.200]  Just kind of surprising and you know, of course a lot of that is
[37:30.040 --> 37:33.400]  Photos and built-in web browser or that kind of stuff
[37:33.400 --> 37:38.520]  But you know, I never would have guessed that Twitter was my number one bandwidth hog
[37:39.080 --> 37:44.600]  And actually I asked courts readers to fill out a survey of their number one
[37:44.600 --> 37:50.960]  App that uses the most cellular bandwidth. I'm gonna do it right up of those findings too
[37:50.960 --> 37:57.600]  But a lot of them I looked at them so far a lot of them also say tweet bot and yeah, and Twitter. So well, it is the case with my
[37:59.400 --> 38:04.280]  My iOS 8 phone I'm using my iOS 8 this summer on the beta's on my year old
[38:04.280 --> 38:09.360]  iPhone 5 that every time I go you go to settings general usage
[38:09.360 --> 38:17.120]  Battery usage, and it shows you if you wait a couple seconds. It lists your apps by battery usage tweet bot is number one for me
[38:18.040 --> 38:25.360]  But I know how much I use Twitter when I'm on my phone and that includes like when I tap a link
[38:25.520 --> 38:28.360]  Most of the time I just read it right there in tweet bots
[38:29.400 --> 38:30.660]  built-in browser
[38:30.660 --> 38:38.440]  Totally, and I'll use it to watch videos too and you know, it's not just the actual tweets that I'm reading the way that on iOS
[38:38.440 --> 38:43.740]  You load the web pages and videos and stuff by default in the Twitter client contributes to that so
[38:45.600 --> 38:49.600]  Based on my you know, and I don't know exactly how much I use tweet bot
[38:49.600 --> 38:56.360]  But my hunch is that their battery, you know, they're their number one ranking in the battery usage is totally fair
[38:56.360 --> 39:00.080]  And it's in a completely in line with how much I use tweet bot
[39:00.280 --> 39:05.400]  But I suspect that there's gonna be a lot of people and I even saw I think Paul I think it was Paul Haddad from
[39:05.400 --> 39:11.320]  The the app bots or tweet bot whatever their company name is tap bots
[39:13.720 --> 39:16.720]  What do I call it app bots and that would work too?
[39:18.320 --> 39:24.200]  Tap bots he even said back right after the feature was announced in WWDC that he's dreading it because he knows
[39:24.200 --> 39:31.280]  You know that they're gonna you know, they're gonna get blamed for hey, you know my iPhone says tweet bots using the most power
[39:31.280 --> 39:35.640]  All right, no actually you're just a Twitter addict and that's that's how it works
[39:35.640 --> 39:40.880]  Yeah, but it's so Facebook is using a lot of power in the background. No, that's you know
[39:41.320 --> 39:50.400]  That's potentially problematic another and I actually think I've turned off background app refresh for Facebook and location services
[39:51.760 --> 39:56.440]  Yeah, and a lot of like the new four-square app too is always polling your location
[39:56.440 --> 40:00.800]  I turned all that stuff off. Yeah, there was a thing I linked to maybe it was months ago now
[40:00.800 --> 40:05.200]  But I know it was a couple weeks ago where it was a former Apple genius posting a top 10
[40:05.240 --> 40:11.360]  Here's how to get more battery from your iPhone and like number. Oh, yeah, number one was turn off everything for Facebook in the background
[40:12.560 --> 40:15.000]  Totally, but it doesn't think that though
[40:15.000 --> 40:18.640]  I think someone was saying how they did that and then there the percentage went up
[40:19.400 --> 40:22.480]  Maybe even on the show. I don't know. I don't know. I do know
[40:22.480 --> 40:28.160]  I just checked on my beta iPhone that it doesn't list anything like the screen or okay anything like that
[40:28.160 --> 40:30.160]  It's all it's just a list of apps
[40:30.160 --> 40:37.560]  Hmm, but anyway, I do think though that the if it has a screen and it sounds to me like it probably does that
[40:38.040 --> 40:44.800]  It unless Apple has invented some kind of new technology, which I wouldn't put past them, but that it could mean that it's like a
[40:46.120 --> 40:49.000]  In the best case you've got to charge it every couple days thing
[40:51.080 --> 40:59.020]  Yeah, I also met with a guy not long ago who makes chips for wearable devices and some of the stuff that is going on there is
[40:59.020 --> 41:03.180]  Interesting to like chips that generate power based on
[41:04.180 --> 41:09.620]  Motion and that kind of stuff, right? Which is an old idea from the watch world right where automatic watches
[41:10.420 --> 41:13.980]  Which have been around? I think they came out in the 50s
[41:13.980 --> 41:18.100]  But I think they were sort of a novelty but then by the 60s, you know a lot of high-end most high-end
[41:18.620 --> 41:22.900]  wristwatches were you know could come you know came with an automatic movement which meant
[41:22.900 --> 41:29.860]  That once wound if you wore it just the motion of going through the day would keep the
[41:30.220 --> 41:32.220]  I forget what it's called the wellspring
[41:32.220 --> 41:37.860]  Something like that some kind of spring keep it wound so as long as you keep wearing the watch it'll stay
[41:38.180 --> 41:39.180]  Wow
[41:39.180 --> 41:43.340]  Right I once bought a watch that was powered by water and that was stupid
[41:43.900 --> 41:47.100]  That didn't work very well. What do you mean are you serious?
[41:47.340 --> 41:51.380]  Yeah, I think there was a there was a you just like put water on it and then it would
[41:51.380 --> 41:53.380]  supposedly
[41:53.540 --> 41:55.540]  Shock itself maybe and it would work
[41:56.380 --> 42:02.740]  It was awful it fairly, you know, it didn't really work from imagining something like the mr. Fusion drive from back to the future
[42:03.620 --> 42:05.620]  Where it like yeah, right?
[42:06.060 --> 42:11.060]  Yeah, it's like trying to power a light bulb with a potato or something. It just you know
[42:11.060 --> 42:20.620]  All right, but the watch world long recognized that even just daily winding your watch was a pain in the ass and
[42:21.580 --> 42:27.860]  So I wore you know, I think that the effort that went into designing automatic movements. It's to me fastening to me
[42:27.860 --> 42:29.980]  It's exactly like you know
[42:29.980 --> 42:34.140]  It's like that I think the type of minds even today that go into like being like a
[42:35.100 --> 42:37.540]  You know mechanical watchmaker or
[42:37.540 --> 42:41.820]  Someone who repairs it is a lot like being a programmer because you're thinking of
[42:42.580 --> 42:49.020]  You know if this you know the gear moves this way it'll do this and 60 times a minute. It'll do this and
[42:49.620 --> 42:55.420]  You know, it's the same sort of logical mindset that that required for computer programming
[42:55.420 --> 42:59.780]  I think coming up with these automatic movements that never need to be wound as long as you keep wearing them
[43:00.220 --> 43:06.820]  Took a enormous amount of work, but I think it's because they recognized that daily every day waking up and having a winder watch was
[43:06.820 --> 43:08.820]  You know keeping people from wearing watches
[43:09.820 --> 43:15.060]  Yeah, and as you know how many charging stations you need by your next year of bed now
[43:15.060 --> 43:18.780]  I mean it you know that that motor roller watch thing did not look
[43:19.700 --> 43:23.220]  Like the kind of thing I'd want to have to deal with every day or two
[43:23.220 --> 43:27.300]  Right, and there's so many questions like a device you have to charge comes with so many things number one
[43:27.300 --> 43:35.020]  Just how many devices you have to charge on a regular basis like it's asking a lot each even asking for one is a lot like they're could come a time
[43:35.020 --> 43:41.880]  20 or 30 years from now where we look back on having to charge anything on a regular basis as
[43:42.740 --> 43:44.180]  laughable
[43:44.180 --> 43:48.620]  Right, and yet at the same time now we've I mean I don't have to charge my iPad every day
[43:48.620 --> 43:53.540]  But I certainly have to charge my iPhone every day and even then it's like that means every time I travel
[43:53.540 --> 43:55.540]  I've got to take a charger
[43:55.540 --> 43:58.140]  All right, so the clasp of the watch is the
[43:59.140 --> 44:01.620]  Lightning port
[44:01.620 --> 44:07.980]  Plug yeah, you know, it that's it raises a question. No, but like is is lightning our lightning ports waterproof
[44:07.980 --> 44:11.340]  I've heard some people speculate that they are
[44:11.580 --> 44:16.060]  You know that the one reason phones the iPhone still is a waterproof is the audio port
[44:16.860 --> 44:20.140]  And the phones that claim to be I don't know
[44:20.140 --> 44:25.900]  I think that a traditional audio port can't be made waterproof people correct me if I'm wrong
[44:25.900 --> 44:33.020]  But that lightning in theory could be but Apple doesn't advertise it as such because the iPhone is a lot of resistance
[44:33.020 --> 44:35.900]  So they did just don't want to get into that but the lightning port could be
[44:37.380 --> 44:40.100]  But a lightning port on a watch would be ugly
[44:40.980 --> 44:46.060]  Yeah, I mean that's just yeah the Nike fuel ban has this weird thing where the
[44:46.900 --> 44:49.860]  lock locking clasp type thing is
[44:49.860 --> 44:58.260]  Part of the charging system, right? So yeah, I guess if the if they but you still needed like a little dock for it
[44:58.500 --> 45:00.500]  Right, and it wasn't wasn't great
[45:00.980 --> 45:05.100]  All right, so I guess if you hit it somewhere else on the watch on the band somewhere
[45:05.100 --> 45:08.380]  Yeah, maybe you could do it put it somewhere where it's you know when you have it off
[45:08.380 --> 45:12.380]  You're I've exposed but when it's on you don't see it could be something clever like that
[45:12.420 --> 45:18.020]  But even then even if it's a lightning port you're still asking people who you know if to have another
[45:18.020 --> 45:20.940]  Lightning port at their bedside
[45:21.740 --> 45:25.180]  Yeah, right and another one that you take with you when you travel
[45:26.980 --> 45:34.780]  Yeah, and there's also like this wireless charging stuff, but it seems like it's still several years away from
[45:34.900 --> 45:38.620]  So wireless charging ports are or or I guess it's not a port
[45:38.620 --> 45:41.900]  But wireless charging is interesting because then you don't have an ugly port on the device
[45:42.260 --> 45:45.860]  Right, but then you've got to have a dock that you take with you everywhere
[45:45.860 --> 45:49.580]  You got to have one wherever you want to charge it and so if you you know have one bedside
[45:49.580 --> 45:54.700]  And then when you travel what do you do do you take your take your one with you or do you buy have to buy a second one
[45:55.140 --> 46:02.620]  For $50 and keep it in your system. It's not it's not ready. I mean someday it'll be built into all kinds of stuff
[46:02.620 --> 46:05.140]  like I think Starbucks is rolling out at
[46:05.820 --> 46:11.940]  New tables the heaven built into the table or something. Yeah, but it's gonna take way too long before
[46:12.580 --> 46:14.580]  That's even right
[46:14.580 --> 46:18.220]  So I don't know if it if it was a device without a screen
[46:18.220 --> 46:25.460]  I could see how Apple could have something and you know a lot of inventive stuff to keep power usage down and maybe you know
[46:25.460 --> 46:29.220]  Like you said like kinetic motion so that you could use that to charge it
[46:29.940 --> 46:36.620]  I have a citizen watch from a couple years ago that has they call it EcoDrive
[46:36.820 --> 46:38.820]  ECO-DR IV
[46:39.660 --> 46:41.660]  it's a
[46:41.660 --> 46:44.780]  quartz watch battery operated, but the battery recharges
[46:46.060 --> 46:48.060]  with a solar
[46:48.260 --> 46:55.460]  Cell that's on the face of the watch and which you can hardly see I can certain light you can see that it's not really a black
[46:56.300 --> 46:58.780]  dial it's it's got like a
[46:59.900 --> 47:04.980]  Slightly not black in the center of it because it's actually a solar cell and it's worked great
[47:04.980 --> 47:09.300]  the watch keeps perfect time and I've never needed to replace the battery
[47:09.300 --> 47:13.460]  Wait, you know way past the time when you'd have to replace a regular quartz watch battery
[47:14.100 --> 47:18.020]  But I don't think there's much, you know, I think it you know
[47:19.020 --> 47:23.300]  Using solar to charge something that only tells the time and the day of the month is
[47:24.300 --> 47:27.740]  Far cry from even a no display fitness tracker
[47:27.780 --> 47:34.420]  That's going to have Bluetooth and you know others type of things like that. Yeah, and the minute you add the Instagram app
[47:34.420 --> 47:39.940]  Okay, all bets are off, but if it has a display, I think some kind of magical charging
[47:40.540 --> 47:45.300]  Seemingly magical charging that doesn't need you to charge it in every couple days is out of the question
[47:45.300 --> 47:50.220]  I think if it has a display it's got to be something you charge every couple days at least and
[47:50.740 --> 47:55.300]  Then that means to me that it has to be far more compelling in terms of what it does
[47:55.900 --> 48:00.420]  Yeah, you know to get people to buy into the hassle of buying another daily
[48:00.420 --> 48:04.660]  Or near daily charging device
[48:04.660 --> 48:08.740]  It's got to be way more compelling than something that hey just buy this, you know
[48:08.740 --> 48:11.820]  Put on your wrist and it'll just work for weeks until you need to charge it
[48:12.340 --> 48:17.140]  Do you think it has a headphone jack? Oh, probably not if it needs to be water resistant
[48:17.140 --> 48:20.540]  Right, I think anything you put on your wrist has to be water resistant. Yeah, and you know
[48:20.540 --> 48:28.620]  Especially those old watches that have like a built-in am radio, right, and I got very excited about that that idea of listening to
[48:28.620 --> 48:32.660]  Baseball game, you know without needing anything else, but
[48:33.300 --> 48:36.740]  Not very practical also you look like a moron with
[48:37.460 --> 48:43.380]  Earbuds coming off your wrist. Yeah, you do. That's actually the reason I bought the TikTok is I thought hey
[48:43.380 --> 48:45.980]  This would be great. I can you then I can wear my
[48:46.700 --> 48:54.820]  Nano on my wrist when I run, but yeah somehow it's it's way to I found it way worse and at my arm was always getting tangled in the cord
[48:54.820 --> 48:58.620]  compared to compare to the arm bands like kind of work, but
[48:59.420 --> 49:03.580]  You know a lot of people run with the arm arm band around your bicep or something right
[49:03.580 --> 49:07.140]  But they were all the way down your wrist right it's because it's all the way down your wrist
[49:07.140 --> 49:08.380]  Yeah, it doesn't work out as well
[49:08.380 --> 49:16.860]  I think that if it's somehow broadcast audio, it has to be over Bluetooth. Yeah. Yeah, oh right the the blue tooth earpods
[49:17.620 --> 49:20.260]  That were someone made up the the fake
[49:20.260 --> 49:25.620]  Secret about those. Oh, you're right on the secret out somebody posted a
[49:26.300 --> 49:31.060]  Yeah, I don't think we I don't know if I ever talked about on the show because it happened at WWDC
[49:31.300 --> 49:37.140]  What's that what it was? Yeah, it was like right before or something. No, it was while I was in San Francisco for WWDC
[49:37.140 --> 49:40.740]  And it was it's such a busy hectic week for me, but yeah, there was a
[49:41.860 --> 49:46.860]  Again, I think top of tech meme it was like an anonymous post on secret that somebody who had been on the
[49:46.860 --> 49:54.700]  Wireless headphones team was just let go from Apple and that and that the whole team had been let go and that they were so better that they were going to spoil it
[49:55.380 --> 50:02.980]  Yeah, right, and there are wireless headphones, you know coming out for new devices this fall and then like couple after everybody
[50:03.340 --> 50:09.860]  Taken it is oh this anonymous post on secret. It must be true or is probably true or is at least worth reporting
[50:09.980 --> 50:14.140]  Then a couple days later the same guy was like, hey, I'm sorry. I made the whole thing up
[50:14.140 --> 50:16.140]  Yeah
[50:16.260 --> 50:18.260]  Just great, you know
[50:18.260 --> 50:22.940]  Oh, it's plausible, but no, it wasn't plausible if I forget the exact details of it
[50:22.940 --> 50:27.540]  But it wasn't plausible because it doesn't it didn't make any sense where all its earbuds are kind of plausible
[50:27.540 --> 50:30.300]  Oh, yeah, but it didn't make any sense that Apple would disband the team
[50:30.500 --> 50:33.060]  No, no if they were successful at designing
[50:33.060 --> 50:37.620]  I mean like if they had failed to design the headphones maybe that got people would get fired because hey
[50:37.620 --> 50:39.980]  We told you to design wireless headphones and you didn't do it
[50:39.980 --> 50:44.940]  But if they did the point of the post was that we did and that they're coming out and they're pretty cool and it's like well
[50:44.940 --> 50:51.820]  Then why why would Apple yeah, fire you? Yeah, Apple doesn't get it you get a promotion and you take over everything, right?
[50:53.340 --> 50:55.340]  It was like a complete
[50:56.060 --> 51:01.140]  No company it's not like oh Apple is the one company that does that like what company what same company would fire?
[51:02.140 --> 51:04.180]  I grew up around around for some might but
[51:04.180 --> 51:10.620]  Congratulations on just successfully well, I would be as part of Microsoft might as part of a
[51:11.260 --> 51:17.460]  Down-sizing right they've announced that they've got to lay people off to they want to reduce headcount Apple is not having a lay-off
[51:18.580 --> 51:24.820]  No, although I was a little interesting that they got rid of so many people for beats, but I guess those were not like the core
[51:26.020 --> 51:28.900]  People that they acquired the company for so
[51:28.900 --> 51:34.980]  Yeah, it certainly wasn't why they required the company right right I wonder if there if that's
[51:35.460 --> 51:42.300]  Gonna be something they talk about yet in September slash October or if it's too soon for that like a you know any sort of
[51:43.700 --> 51:50.100]  New stuff from beats stuff from beats the one thing I'd love is an Apple TV app because
[51:50.660 --> 51:54.100]  None of the other subscription music services have one and
[51:54.100 --> 51:59.220]  And that would be you know a reason for me to think about using beats as if I could
[51:59.460 --> 52:01.700]  I never thought of us from it from the TV
[52:01.700 --> 52:06.860]  Yeah, I was thinking the other day because you know I have my whole iTunes batch library available there and
[52:07.460 --> 52:08.900]  wanted to
[52:08.900 --> 52:15.900]  Use that to play music when we had some people over and you know like oh, there's no Spotify app on the or
[52:16.180 --> 52:22.300]  Audio app on the Apple TV it'd be awesome if they kick one out pretty quickly for beats
[52:22.300 --> 52:28.220]  But it might be asking too much. It's only I think the deal just closed like a couple weeks ago
[52:28.220 --> 52:33.100]  So yeah, I wonder about that and I wonder I wonder to how it ties into
[52:34.220 --> 52:40.620]  Whether or not and I you know again this is pure speculation, but whether or not there's a major Apple TV update
[52:41.340 --> 52:43.180]  Coming soon
[52:43.180 --> 52:48.900]  You know even if it's isn't there like a beta one with it with a slightly refreshed look or something
[52:48.900 --> 52:52.740]  No, I don't know about that. I don't know if it has a new look. I if there is I didn't see that
[52:53.740 --> 52:58.820]  I think there's a new build last week. Oh, I don't know. I haven't I don't touch the betas for that kind of stuff
[52:58.820 --> 53:01.540]  So I'm not sure all right
[53:01.540 --> 53:08.100]  But I just wonder though that if Apple was going to commit to making a beats app for Apple TV whether they would do it for the current
[53:08.580 --> 53:10.820]  Apple TV generation or
[53:10.820 --> 53:14.380]  Put that in the right. Yeah, third major version of the iOS
[53:15.100 --> 53:16.940]  Apple TV
[53:16.940 --> 53:22.940]  Yeah, they've been adding a bunch of stuff a lot of it is, you know, not very useful, but
[53:23.900 --> 53:29.820]  I think there's a new NFL app coming or something like that. Yeah. Well, or it isn't it gonna have
[53:33.500 --> 53:40.780]  Possible to do the Sunday ticket. I don't know if they announced that I think because I think direct TV still controls that
[53:40.780 --> 53:43.500]  But I think there's an NFL app that does other stuff
[53:43.500 --> 53:49.780]  Hmm, but I don't I haven't been paying that close of attention. No, here it is Apple TV
[53:49.780 --> 53:54.920]  NFL Sunday ticket coming to iOS. Oh, not not Apple TV iOS and Mac for
[53:55.220 --> 53:57.380]  2014 no, it's it is decoupled from
[53:57.900 --> 54:02.340]  Direct TV now. It's no longer exclusive to Direct TV, which I think is gonna be huge. Well
[54:03.180 --> 54:05.640]  No, that's not actually true. No
[54:07.860 --> 54:11.340]  People got really excited because there was some news release about that
[54:11.340 --> 54:15.540]  But if you if you read the fine print you have to punch in your zip code and
[54:16.860 --> 54:24.700]  Most of America does not qualify for the streaming direct streaming Sunday ticket like my in Chicago
[54:24.700 --> 54:28.340]  My mom's zip code does not qualify in New York
[54:28.340 --> 54:33.540]  You can do it, but you've always been able to do in New York because it's almost impossible to get direct TV here
[54:35.500 --> 54:39.420]  But yeah, that was like blown way out of proportion. That's actually not
[54:39.420 --> 54:41.740]  Hmm, not that not happening
[54:43.260 --> 54:47.940]  It's like university people who live in dorms can do it and then also people who live in
[54:48.660 --> 54:51.340]  basically New York City and maybe I don't know about some other
[54:52.380 --> 54:59.420]  Cities where you just can't install a dish or that they assume most people can because obviously I guess some people in New York City could but
[55:00.340 --> 55:01.900]  right
[55:01.900 --> 55:09.100]  But most people need like a place to you know screw in the satellite dish with a southern reception and all that kind of stuff
[55:09.100 --> 55:11.100]  Right, I don't have that
[55:12.900 --> 55:17.340]  So anyway, yeah, I don't know, but there's like I think an NFL app coming that
[55:19.140 --> 55:22.980]  It does some other stuff. Yeah, some NFL app. I don't know
[55:23.740 --> 55:29.500]  Yeah, well mostly the other major pro leagues have it have something somewhere. Yeah, at least in the US
[55:30.100 --> 55:37.220]  I mean that's half the reason I have it Apple TV is the at bat or whatever it's called right now no
[55:37.220 --> 55:40.540]  Breaking new ground here, but it
[55:41.140 --> 55:47.180]  It does though every every time they add an app or whatever you want to call on a channel to the current Apple TV
