[00:00.000 --> 00:09.040]  Good evening, podcast listeners.
[28:03.240 --> 28:09.960]  But I feel like the monochrome, overreliance on the monochrome look just kind of got old.
[28:09.960 --> 28:16.080]  I don't know, there's a cheerfulness to all of the OSs that I think came out on Monday
[28:16.080 --> 28:17.080]  that I appreciate.
[28:17.080 --> 28:18.080]  Oh, good.
[28:18.080 --> 28:24.720]  I think there's a tension between deference to the main content of the window and that
[28:24.720 --> 28:26.000]  kind of cheerfulness that you described.
[28:26.000 --> 28:34.480]  And in the case of the media apps, the content in the main part of the window is itself super
[28:34.480 --> 28:35.480]  commanding.
[28:35.480 --> 28:40.160]  And so actually having a colorful sidebar doesn't really compete.
[28:40.160 --> 28:42.120]  The finder is a little bit of a different case, right?
[28:42.120 --> 28:46.400]  Where the main content of the window, if you have a list view or something, you can really
[28:46.400 --> 28:51.560]  have your attention drawn to a bright sidebar versus the content in the window.
[28:51.560 --> 28:54.960]  But you're right, this is something where I think our experience and our tastes evolve
[28:54.960 --> 28:58.240]  over time.
[28:58.240 --> 29:04.300]  And I feel like there's a nice growing visual symbiosis between iOS and Mac OS.
[29:04.300 --> 29:10.920]  And I know that they've looked related for a while, but there's something about this
[29:10.920 --> 29:13.640]  year's releases that to me feels a little bit more coherent.
[29:13.640 --> 29:18.760]  And maybe I'm reading into a little bit too much with things like Catalyst and knowing
[29:18.760 --> 29:26.160]  that the podcast app literally shares source code with the iOS version.
[29:26.160 --> 29:29.960]  But they feel like they're of a family in a way that even more than ever.
[29:29.960 --> 29:35.660]  Yeah, and I think that's when we first released the first set of apps that used the Catalyst
[29:35.660 --> 29:40.760]  technology last year, some of the concerns that were voiced by members of the Mac community
[29:40.760 --> 29:47.980]  such as yourselves, placed a certain amount on the technology that was really some design
[29:47.980 --> 29:49.520]  decisions we'd made.
[29:49.520 --> 29:51.760]  So there's certainly some things that were underlying technology behaviors, but there
[29:51.760 --> 29:56.400]  were other just pure design choices about sizes of items in the sidebar and where was
[29:56.400 --> 30:02.160]  the search field and all of those kinds of things that were different design teams pushing
[30:02.160 --> 30:08.680]  the bounds of what is the right future for a media-oriented design on the Mac.
[30:08.680 --> 30:10.580]  And some people said, oh my gosh, there's this new app.
[30:10.580 --> 30:11.580]  It has this new design.
[30:11.580 --> 30:13.800]  Oh, and it's built using this technology.
[30:13.800 --> 30:15.680]  That must be a byproduct of the technology.
[30:15.680 --> 30:17.680]  In fact, those were design decisions.
[30:17.680 --> 30:21.400]  And I think we're finding our balance now, pulling back in a couple areas there.
[30:21.400 --> 30:25.960]  And the underlying technology is much refined now this year.
[30:25.960 --> 30:30.560]  And they really are true Mac apps.
[30:30.560 --> 30:33.680]  You don't have to distribute them through the Mac App Store.
[30:33.680 --> 30:35.520]  Same rules as I was going to say.
[30:35.520 --> 30:37.000]  Yeah, that's an implementation choice.
[30:37.000 --> 30:41.640]  Which frameworks you want to use to build your app is really just an implementation
[30:41.640 --> 30:44.320]  detail as far as the platform's concerned.
[30:44.320 --> 30:50.120]  If you want a note, I believe it was you, but see, I think you scared people on stage
[30:50.120 --> 30:55.820]  Monday because you introduced Kat.
[30:55.820 --> 30:59.800]  And then you said, we look forward to seeing your great apps in the Mac App Store.
[30:59.800 --> 31:00.800]  And I feel like—
[31:00.800 --> 31:01.880]  You always got to say that story.
[31:01.880 --> 31:06.320]  I know, right.
[31:06.320 --> 31:07.320]  And we do.
[31:07.320 --> 31:09.320]  We look forward to seeing your great apps in the Mac App Store.
[31:09.320 --> 31:13.000]  But the paranoid among us think, oh, god, they're going to make us go to the Mac App
[31:13.000 --> 31:14.000]  Store.
[31:14.000 --> 31:15.000]  But that's not the case.
[31:15.000 --> 31:16.000]  No.
[31:16.000 --> 31:17.000]  Yeah, come on.
[31:17.000 --> 31:18.000]  Trust us.
[31:18.000 --> 31:19.000]  Jeez.
[31:19.000 --> 31:31.840]  Another really cool—and seeing it in person and playing with it, it just seems impossibly
[31:31.840 --> 31:33.680]  low latency and sidecar.
[31:33.680 --> 31:38.120]  This is the new feature where you can go up to your display menu on your Mac.
[31:38.120 --> 31:43.600]  And if you have an iPad tied to your iCloud account, it'll show up as a target, and
[31:43.600 --> 31:44.600]  you can select it.
[31:44.600 --> 31:52.560]  The iPad will spring to life and show up as a second display on your Mac, wired or wirelessly,
[31:52.560 --> 31:54.240]  with extremely low latency.
[31:54.240 --> 31:59.600]  And it lets you use the pencil as an input in any Mac app that already supports the long-standing
[31:59.600 --> 32:00.600]  tablet—
[32:00.600 --> 32:01.600]  Drawing tablet.
[32:01.600 --> 32:02.600]  Yeah.
[32:02.600 --> 32:03.600]  Yeah.
[32:03.600 --> 32:04.600]  Yeah.
[32:04.600 --> 32:05.600]  Yeah.
[32:05.600 --> 32:06.600]  Yeah.
[32:06.600 --> 32:07.600]  Yeah.
[32:07.600 --> 32:08.600]  Yeah.
[32:08.600 --> 32:09.600]  Yeah.
[32:09.600 --> 32:10.600]  Yeah.
[32:10.600 --> 32:11.600]  Yeah.
[32:11.600 --> 32:12.600]  Yeah.
[32:12.600 --> 32:13.600]  We agree.
[32:13.600 --> 32:14.600]  It's awesome.
[32:14.600 --> 32:15.600]  Yeah.
[32:15.600 --> 32:16.600]  No argument here.
[32:16.600 --> 32:17.600]  Yeah.
[32:17.600 --> 32:20.600]  There's some interesting decisions there where, on the sidecar interface, at the bottom
[32:20.600 --> 32:27.920]  what you get is a virtual—the same buttons you would get if you were getting a touch
[32:27.920 --> 32:28.920]  bar.
[32:28.920 --> 32:29.920]  That's right.
[32:29.920 --> 32:31.280]  Even if you're running it on a Mac without a touch bar.
[32:31.280 --> 32:32.280]  That's right.
[32:32.280 --> 32:33.280]  That's right.
[32:33.280 --> 32:38.280]  So whatever your app would have on the touch bar, you have all along the bottom of the
[32:38.280 --> 32:40.800]  iPad app, of the iPad for sidecar.
[32:40.800 --> 32:47.080]  And then on the left side, you have buttons you can use for the command-control-option-shift,
[32:47.080 --> 32:52.320]  so that you can, if you shift to select multiple items, just hold it with your thumb, drag
[32:52.320 --> 32:55.440]  a couple things, select, select, select, and you're doing this.
[32:55.440 --> 32:58.880]  But the main area of the screen is not a touch screen.
[32:58.880 --> 32:59.880]  Yeah.
[32:59.880 --> 33:03.800]  The main area is it takes pencil input, and you can use your mouse or your trackpad and
[33:03.800 --> 33:10.000]  move the mouse over, but you really are using it as a Mac display, not as a touch Mac.
[33:10.000 --> 33:11.000]  Yeah, completely.
[33:11.000 --> 33:16.240]  I mean, we don't think you take an arbitrary Mac user interface with feature sizes and
[33:16.240 --> 33:20.560]  so forth that were optimized for really precise input, like a mouse, and throw it on a touch
[33:20.560 --> 33:23.800]  screen, that you're going to get a great experience there.
[33:23.800 --> 33:28.320]  So we're making clear that your Mac app is to be used like a Mac app.
[33:28.320 --> 33:32.840]  And yeah, if you have a pencil, that's a really precise instrument, and you can use that.
[33:32.840 --> 33:37.800]  And we really, I mean, it worked out super well that we have so many apps, including
[33:37.800 --> 33:42.840]  a lot of pro apps, that do take advantage of the touch bar to provide the set of controls
[33:42.840 --> 33:47.360]  they thought were really useful for a given context in the app, that we could put, you
[33:47.360 --> 33:52.720]  know, right, that same implementation that the app has done, we could channel right onto
[33:52.720 --> 33:54.720]  your sidecar display.
[33:54.720 --> 34:00.680]  And this is on systems like IMAX and the new Mac Pro where, yeah, you don't have a touch
[34:00.680 --> 34:04.400]  bar, but you take advantage of the developer's work there in a context that makes a ton of
[34:04.400 --> 34:05.400]  sense.
[34:05.400 --> 34:06.400]  It works really well.
[34:06.400 --> 34:11.200]  Yeah, it's really very impressive, speed-wise, and I like it.
[34:11.200 --> 34:18.000]  A huge feature to me, and it just is near and dear to my heart, is the, on the accessibility
[34:18.000 --> 34:24.680]  angle, and Apple has done such a great job with accessibility for as long as I can remember
[34:24.680 --> 34:30.240]  and the current version of Mac OS and iOS lead the industry in accessibility in more
[34:30.240 --> 34:45.560]  ways than we even have time to delineate, but the new voice control stuff, I wasn't
[34:45.560 --> 34:50.480]  at the State of the Union, I was busy with other meetings, but I heard that there were
[34:50.480 --> 34:56.240]  on-stage demos of the voice controls live in the State of the Union, and they taunted
[34:56.240 --> 34:58.520]  the demo gods and survived.
[34:58.520 --> 35:04.380]  Well, there was, I mean, the stage environment is a tough one for voice with reverb and speakers
[35:04.380 --> 35:08.520]  and all of that, and so there was one word, I think it was like send or something, that
[35:08.520 --> 35:15.820]  was really tough on the mics there, but it works phenomenally well, and I can say we,
[35:15.820 --> 35:24.420]  you know, a few months ago, we had a com meeting for the whole software organization, and someone
[35:24.420 --> 35:32.840]  came out to demonstrate the use of voice control, and I'm sort of backstage ready to come back
[35:32.840 --> 35:36.360]  out, and I mean, there are friggin' tears in my eyes, you know, I mean, it's one of
[35:36.360 --> 35:43.920]  those technologies, you just see it used, and not only are you just amazed by it, but
[35:43.920 --> 35:51.260]  also just realizing what it can mean to so many people, and thinking about the passion
[35:51.260 --> 35:57.820]  that went into the members of the accessibility team and the Siri team and everyone who pulled
[35:57.820 --> 36:05.720]  that together, it's just awesome, I mean, this is some of the most touching things we
[36:05.720 --> 36:13.380]  do, and so, yeah, I was so happy we were able to really properly show it to the rest of
[36:13.380 --> 36:17.080]  the world in a way that I think conveyed how much it can mean.
[36:17.080 --> 36:25.320]  Yeah, and the movie featured a gentleman who obviously has some motor skill deficiencies,
[36:25.320 --> 36:30.040]  or limits, however you want to say it, but my understanding is, he actually, it wasn't
[36:30.040 --> 36:33.700]  just that you made a movie of him using it, he was actually somebody who you guys consulted
[36:33.700 --> 36:39.040]  with and studied and took feedback from, and he'd say, yeah, but it would be better if
[36:39.040 --> 36:41.840]  this, and it's like, oh, yeah, we could, all right.
[36:41.840 --> 36:52.480]  Absolutely, yeah, and members of our accessibility team, both on the core engineering and QA
[36:52.480 --> 37:01.560]  team and usability team, have themselves a wide range of abilities, and so, we're living
[37:01.560 --> 37:06.640]  this in-house as well, and so these technologies really impact people at Apple who are literally
[37:06.640 --> 37:08.380]  working on the project.
[37:08.380 --> 37:12.960]  One of the demos I saw was of, it was on the Mac, and part of the great thing about this
[37:12.960 --> 37:18.160]  accessibility story with voice control is it is on iOS, too, and I think that's great,
[37:18.160 --> 37:25.000]  and it fits in with this theme I'm trying to have, a recurring theme here, but that
[37:25.000 --> 37:29.960]  I feel like this is one of those things where, even dark mode, dark mode was a last year
[37:29.960 --> 37:34.080]  on the Mac, now it's this year on iOS, this accessibility thing, here it is, they're both
[37:34.080 --> 37:40.200]  on the same day, and it's clearly the same team is making it, because you do it the same
[37:40.200 --> 37:46.800]  way, so for however different Mac and iOS input is using a mouse and keyboard or using
[37:46.800 --> 37:52.520]  a touchscreen, this accessibility stuff is the same, and so developers who can do it
[37:52.520 --> 37:57.160]  on the one platform can transfer that expertise to the other platform and be accessible there
[37:57.160 --> 37:58.160]  in the same way.
[37:58.160 --> 38:03.120]  That's right, and you'd be, I mean, this theme, you're not so subtly setting as a subtext
[38:03.120 --> 38:12.040]  for us all, it is certainly, I mean, if you look at the beginnings of iOS, at the time
[38:12.040 --> 38:19.440]  the iPhone was launched, I mean, getting anything like the core components of Mac OS to run
[38:19.440 --> 38:26.200]  on that hardware, I mean, it would strip everything out, you could minimize and build really optimized
[38:26.200 --> 38:32.600]  pieces to just do what was essential for the phone, but over time, the capabilities of
[38:32.600 --> 38:39.880]  iOS hardware have absolutely become PC class in many ways, and so over time, and this has
[38:39.880 --> 38:45.040]  been a many, many year trend, we've been able to share more and more and more common technology,
[38:45.040 --> 38:48.240]  and that meant both taking some of those great ideas from iOS, bringing them to underlying
[38:48.240 --> 38:51.680]  frameworks of the Mac, but taking some of the power of Mac capabilities, putting them
[38:51.680 --> 38:55.720]  in the underpinnings, and then as you move as high as Catalyst, you see incredible levels
[38:55.720 --> 39:00.080]  of sharing between these frameworks, and that's mirrored what's happened in our organization,
[39:00.080 --> 39:06.000]  so we have one accessibility team, and one team working on voice recognition and these
[39:06.000 --> 39:10.240]  technologies, and so now when we build something like this, we can do one really great focused
[39:10.240 --> 39:13.720]  version and bring it to both platforms.
[39:13.720 --> 39:15.600]  There are cases like dark mode where-
[39:15.600 --> 39:17.600]  All three platforms.
[39:17.600 --> 39:24.320]  You're right, you're right, thank you, Josh, very helpful.
[39:24.320 --> 39:27.000]  This is why we have you here.
[39:27.000 --> 39:30.320]  Absolutely, absolutely.
[39:30.320 --> 39:38.680]  Yeah, so we're able to share all this technology, and it's great to then have an organization
[39:38.680 --> 39:42.840]  that builds something like that and can do that, but when it comes to something like
[39:42.840 --> 39:50.320]  dark mode on Mojave, that was a case where having, there are a lot of apps that are distinct
[39:50.320 --> 39:56.120]  to Mojave and distinct to iOS, and being able to have one team, one OS blaze the trail,
[39:56.120 --> 40:00.680]  develop a lot of the patterns and technologies, UI style, et cetera, and then be able to just
[40:00.680 --> 40:06.840]  follow on with what worked on iOS was a great strategy for us this time.
[40:06.840 --> 40:12.240]  I saw a great demo of somebody using the voice control in the Maps app on a Mac, and they
[40:12.240 --> 40:18.160]  turn on the grid, and then they're showing a map, and they said, you know, grid 16, zoom,
[40:18.160 --> 40:24.200]  and then it zooms, and then it's grid 23, zoom, and all I could think of was Blade Runner.
[40:24.200 --> 40:35.400]  It is, like, what I want, I want to be able to set enhance as a synonym for zoom, and
[40:35.400 --> 40:40.600]  it's working, if anything, it's working faster than Blade Runner, because Blade Runner kind
[40:40.600 --> 40:41.600]  of made it like...
[40:41.600 --> 40:43.600]  It didn't have an A12.
[40:43.600 --> 40:44.940]  Yeah.
[40:44.940 --> 40:48.240]  It was so slow because they wanted you to see how cool it was, and instead it's like
[40:48.240 --> 40:49.240]  the map is zooming up.
[40:49.240 --> 40:50.240]  I was like, this is amazing.
[40:50.240 --> 40:54.920]  You know, I was a kid, and I thought, man, I hope I live to see something like this.
[40:54.920 --> 40:56.040]  Your life is complete now.
[40:56.040 --> 41:04.600]  We live an interesting time.
[41:04.600 --> 41:06.560]  Swift UI is...
[41:06.560 --> 41:08.560]  Yeah.
[41:08.560 --> 41:13.480]  Thank you, Josh.
[41:13.480 --> 41:19.480]  Going into the show, Josh wasn't sure you guys were going to like it.
[41:19.480 --> 41:29.080]  Wasn't sure it was right to end the show, but boy, it did pretty well.
[41:29.080 --> 41:34.800]  Now is as good a time as any to talk about it after the Mac stuff I had, but one of the
[41:34.800 --> 41:43.240]  fascinating things about it is it goes to four platforms, because it's Mac, it is iPad,
[41:43.240 --> 41:44.240]  it's all...
[41:44.240 --> 41:45.240]  Five, TV.
[41:45.240 --> 41:46.240]  All of them.
[41:46.240 --> 41:47.240]  Everything.
[41:47.240 --> 41:51.600]  iPad, phone, and the first truly native framework for the watch.
[41:51.600 --> 41:58.760]  Right, which is a huge deal.
[41:58.760 --> 42:01.240]  God bless watch kit, but...
[42:01.240 --> 42:06.960]  We'll need to do one of those things with the coffin, I think.
[42:06.960 --> 42:12.320]  Very little coffin.
[42:12.320 --> 42:17.160]  Where's molds when you need them?
[42:17.160 --> 42:18.160]  But this...
[42:18.160 --> 42:25.120]  So, being a native framework for watch OS, are you guys already using it for watch apps
[42:25.120 --> 42:26.600]  that you are making?
[42:26.600 --> 42:27.600]  Yeah.
[42:27.600 --> 42:28.600]  Like some of the new ones?
[42:28.600 --> 42:29.600]  Like...
[42:29.600 --> 42:31.360]  Calculator would be a good example.
[42:31.360 --> 42:32.720]  There are actually several on the system.
[42:32.720 --> 42:38.920]  I think we rewrote an app or two, and then the new things, I think we generally did them
[42:38.920 --> 42:39.920]  in...
[42:39.920 --> 42:46.400]  Which, you know, that's a trailblazing team, because it was certainly a moving target while
[42:46.400 --> 42:52.080]  we've been working on it for years, but as you get late in the game, we start doing a
[42:52.080 --> 42:58.600]  lot of things to make it just right, and that team was agile in adapting to the framework.
[42:58.600 --> 43:05.520]  One thing I've heard from my friends who are developers for years is that from the outside,
[43:05.520 --> 43:12.800]  as third party developers, it shows which APIs you guys are using yourselves and which
[43:12.800 --> 43:13.800]  ones you're not.
[43:13.800 --> 43:18.160]  Because developers like to complain, so maybe it's just one pet framework that's a little
[43:18.160 --> 43:26.280]  weak or something, but it's something developers talk about, and with the watch OS, the technical
[43:26.280 --> 43:31.840]  limitations of the original Apple Watch, and even, you know, it's certainly gotten...
[43:31.840 --> 43:36.480]  The hardware's improved dramatically in just five years.
[43:36.480 --> 43:43.400]  It's understandable why WatchKit was not really a native framework, and that you guys were
[43:43.400 --> 43:49.600]  writing native apps at a technical level, but I think that in terms of really letting
[43:49.600 --> 43:54.040]  the platform blossom, having you guys using the same thing that the developers get to
[43:54.040 --> 43:59.600]  use is gonna really enable third party watch apps to really become something.
[43:59.600 --> 44:00.600]  I think that's right.
[44:00.600 --> 44:06.320]  I mean, there's nothing like the internal feedback loop of your own engineering teams
[44:06.320 --> 44:10.600]  as you're developing the framework saying, this isn't working for me, this doesn't perform
[44:10.600 --> 44:15.760]  well, I can achieve what I need to achieve, having that strong voice in the process and
[44:15.760 --> 44:19.960]  having any limitations of anything that we're in the process of building stand in the way
[44:19.960 --> 44:26.820]  of a strong internal voice, it makes the frameworks better, and that certainly is what we aspire
[44:26.820 --> 44:27.820]  to do.
[44:27.820 --> 44:31.840]  There have been a few cases in our history where that hasn't been it, and I think you're
[44:31.840 --> 44:36.860]  right to observe that we do our best work when it's work we live on.
[44:36.860 --> 44:41.000]  And for watching, you can watch independent apps now, you got the app store on your watch.
[44:41.000 --> 44:42.000]  Yeah.
[44:42.000 --> 44:52.200]  Yeah, which definitely, and again, it's understandable, and the analogy was even made on stage to
[44:52.200 --> 44:56.760]  iPods and even the early iPhone that you, I remember when I got my first iPhone and
[44:56.760 --> 45:00.800]  you took it out of the box, and then you'd have to hook it up to iTunes and wait for
[45:00.800 --> 45:06.960]  AT&T that night to activate your phone, and I sat there all night long waiting for this
[45:06.960 --> 45:12.160]  beautiful device to say something other than waiting for activation, which went through
[45:12.160 --> 45:15.760]  my Mac, which, you know, but it's bootstrapping, right?
[45:15.760 --> 45:16.760]  That's right.
[45:16.760 --> 45:17.760]  Right?
[45:17.760 --> 45:21.640]  And now the watch is taking those same steps where now you've got your own app store.
[45:21.640 --> 45:27.600]  I looked at the app store and I know it sounded a little crazy, but it works.
[45:27.600 --> 45:28.600]  Yeah.
[45:28.600 --> 45:29.600]  Yeah.
[45:29.600 --> 45:30.600]  It does.
[45:30.600 --> 45:31.600]  I hope so.
[45:31.600 --> 45:32.600]  I hope so.
[45:32.600 --> 45:33.600]  I hope so.
[45:33.600 --> 45:34.600]  I hope so.
[45:34.600 --> 45:35.600]  I hope so.
[45:35.600 --> 45:36.600]  I hope so.
[45:36.600 --> 45:37.600]  No, but I mean.
[45:37.600 --> 45:38.600]  It's horrible if we let that on stage.
[45:38.600 --> 45:39.600]  It's horrible if we let that on stage.
[45:39.600 --> 45:40.600]  It's a goal.
[45:40.600 --> 45:41.600]  I mean, it works.
[45:41.600 --> 45:42.600]  It's high praise, John.
[45:42.600 --> 45:43.600]  It's high praise.
[45:43.600 --> 45:44.600]  It's high praise.
[45:44.600 --> 45:45.600]  There's another cool feature.
[45:45.600 --> 45:46.600]  I don't think this made it into the keynote.
[45:46.600 --> 45:50.520]  I guess I'm skipping all over the place here because I want to go back to Swift UI, but
[45:50.520 --> 45:55.600]  the other cool thing in the watch that I saw was that now there's a Safari view, and again
[45:55.600 --> 46:03.680]  you think, what? It goes right to reader mode and just gives you a plain text version of
[46:03.680 --> 46:08.160]  a website right on your watch, which is really kind of useful.
[46:08.160 --> 46:09.160]  Totally.
[46:09.160 --> 46:10.160]  Yeah.
[46:10.160 --> 46:11.160]  Yeah.
[46:11.160 --> 46:14.560]  I mean, you shouldn't read The New Yorker that way.
[46:14.560 --> 46:15.560]  No, no.
[46:15.560 --> 46:22.480]  But I mean, the Safari team has been really creative and pushing on this actually for
[46:22.480 --> 46:28.080]  a couple of years different contexts in which we can apply their technologies, and things
[46:28.080 --> 46:33.080]  that we built for other reasons, like reader mode, suddenly that opens doors to experiences
[46:33.080 --> 46:37.440]  that make sense on the watch, and so yeah, I think it can be really useful for a lot
[46:37.440 --> 46:38.440]  of scenarios.
[46:38.440 --> 46:39.440]  All right.
[46:39.440 --> 46:50.040]  So is there something technical about Swift UI that makes it more efficient or something
[46:50.040 --> 46:56.480]  that justifies it being open to developers to write native apps, or is it just sort of
[46:56.480 --> 47:01.040]  this is the future, we're really proud of this work, we don't want to have baggage,
[47:01.040 --> 47:09.840]  let's just start with this new thing with our first native framework for developers?
[47:09.840 --> 47:11.280]  I would say actually there's a blend of that.
[47:11.280 --> 47:16.840]  The fact that Swift UI is a fundamentally declarative way of writing UI puts the underlying
[47:16.840 --> 47:20.780]  framework in much better control over the how.
[47:20.780 --> 47:25.480]  You specify the what you want, and the framework does a ton to figure out how that happens.
[47:25.480 --> 47:29.000]  It orchestrates all the animations for you, so when it comes to the efficiency of what
[47:29.000 --> 47:34.880]  we can do, it gives us a lot more knobs to deliver a great experience than if you just
[47:34.880 --> 47:38.560]  have pure UI kit.
[47:38.560 --> 47:45.160]  And then there's also that it was able to give us a context to just lay out the pieces
[47:45.160 --> 47:50.360]  of a UI framework that made sense on the watch rather than there's quite a bit of UI kit
[47:50.360 --> 47:54.280]  which under the hood is what we were using sort of an adapted version of on the watch
[47:54.280 --> 48:01.360]  that really weren't appropriate to be public, and this lets us set like this beautiful green
[48:01.360 --> 48:02.360]  field for it.
[48:02.360 --> 48:04.760]  So I think both those factors conspired.
[48:04.760 --> 48:13.360]  And then the fact is also that when we first engineered watch kit, the hardware of the
[48:13.360 --> 48:19.080]  watch, the efficiency of the processor on the watch, the nature of what we could computationally
[48:19.080 --> 48:24.960]  even allow to get you through the day was extremely constrained.
[48:24.960 --> 48:31.480]  And so watch kit was appropriately conservative for us to not create an interface where almost
[48:31.480 --> 48:37.160]  certainly an app that was even just mildly misbehaved could mean it's noon and your
[48:37.160 --> 48:39.280]  watch isn't working anymore.
[48:39.280 --> 48:43.880]  And the hardware has come a long, long way, and that always, as the hardware becomes more
[48:43.880 --> 48:47.320]  capable, that opens up all kinds of doors for us on the software side and to put more
[48:47.320 --> 48:50.040]  tools in the hands of developers.
[48:50.040 --> 48:54.920]  Swift UI feels like the sort of thing that in years past or maybe if just everything
[48:54.920 --> 48:59.200]  hadn't come together and there was fewer other things to announce, like if the Mac Pro
[48:59.200 --> 49:02.360]  hadn't been ready yet or if the Mac Pro had been ready six months ago and had already
[49:02.360 --> 49:04.520]  been out and there was more room in the keynote.
[49:04.520 --> 49:08.840]  It just feels like Swift UI, even in the keynote, not even going to State of Union and really
[49:08.840 --> 49:12.600]  getting into the tech that you can show at the State of the Union, really could have
[49:12.600 --> 49:13.600]  taken up more time.
[49:13.600 --> 49:15.160]  This feels like such a big deal to me.
[49:15.160 --> 49:19.200]  Like I believe your introduction, you said that with Swift UI you were talking about
[49:19.200 --> 49:23.840]  what you said, these sort of transformations and the way developers work only come about
[49:23.840 --> 49:25.560]  every 20 years.
[49:25.560 --> 49:27.400]  20 or 30 years.
[49:27.400 --> 49:28.400]  Truly generational.
[49:28.400 --> 49:29.400]  I mean, yeah.
[49:29.400 --> 49:34.360]  I mean, C was sort of late 60s, early 70s.
[49:34.360 --> 49:36.440]  Objective C was the 80s.
[49:36.440 --> 49:42.720]  And a lot of us are writing code in a language that was created in the 80s.
[49:42.720 --> 49:49.840]  And those technologies, the arc is extremely long because you end up building frameworks
[49:49.840 --> 49:56.440]  that take advantage of the paradigms that those languages allow.
[49:56.440 --> 50:01.600]  You build a whole ecosystem of technologies that go around it, and they have incredible
[50:01.600 --> 50:03.320]  staying power.
[50:03.320 --> 50:08.400]  And so for us, making a decision to go down the road we went down with Swift, this wasn't
[50:08.400 --> 50:11.160]  a little trivial, hey, here's a little thing on the side.
[50:11.160 --> 50:14.720]  This has been a long-term strategy for us.
[50:14.720 --> 50:19.240]  And the implications are, sure, you introduce a new language, and initially you want to
[50:19.240 --> 50:21.400]  make sure it fits in with what's there.
[50:21.400 --> 50:25.840]  Over time, you want to take advantage of it to be everything it can be.
[50:25.840 --> 50:30.000]  And Swift UI is really that step in that evolution.
[50:30.000 --> 50:34.680]  I mean, we do see the future of Swift and the set of frameworks that will evolve based
[50:34.680 --> 50:41.840]  on the strengths of Swift to be a generational kind of development for us.
[50:41.840 --> 50:51.780]  And to have the confluence of some great ideas about how to build a declarative UI framework,
[50:51.780 --> 50:56.520]  some of which have roots even going back as far as things we did at Next many, many, many
[50:56.520 --> 51:03.480]  years ago, to having control of a language so you could actually do an extremely concise
[51:03.480 --> 51:09.760]  and expressive declarative syntax for expressing these things, to having awesome control of
[51:09.760 --> 51:12.160]  the developer tools so that you can have an interactive experience.
[51:12.160 --> 51:17.720]  I mean, it takes all of that coming together to create, I think, what has all of us excited
[51:17.720 --> 51:29.280]  about Swift UI.
[51:29.280 --> 51:32.960]  I mentioned earlier talking about icons, that fashion trends change over years.
[51:32.960 --> 51:37.400]  But other development trends change, too.
[51:37.400 --> 51:45.480]  When Mac OS X was being birthed after the Next reunification in the late 90s, the whole
[51:45.480 --> 51:51.280]  industry caught a mania for XML, right?
[51:51.280 --> 51:58.000]  And in hindsight, people are like, you know, that's ugly, right?
[51:58.000 --> 52:02.560]  And there's other things over the years, and when computers were much slower in the 80s,
[52:02.560 --> 52:07.100]  there was a reason to use binary formats for files that maybe you shouldn't have.
[52:07.100 --> 52:14.480]  But I feel like we collectively have come back around to the beauty of plain text and
[52:14.480 --> 52:17.360]  the readability of...
[52:17.360 --> 52:22.560]  I'm not a Swift programmer, but I can look at the examples of Swift UI, and I see exactly
[52:22.560 --> 52:23.560]  what it says.
[52:23.560 --> 52:29.680]  It says, you know, dot color or color equals dot blue, and it's very, very readable and
[52:29.680 --> 52:30.680]  concise.
[52:30.680 --> 52:31.680]  The conciseness helps, too.
[52:31.680 --> 52:38.100]  Yeah, and I view our APIs and the syntaxes of our language to be every bit the design
[52:38.100 --> 52:40.360]  exercise of a user interface, right?
[52:40.360 --> 52:46.840]  The way you're gonna express yourself in code should be as refined and thought out as anything
[52:46.840 --> 52:53.720]  else that you're gonna interact with, and code is read much more than it's written.
[52:53.720 --> 52:57.880]  If you can express something concisely and clearly, the next person to look at it's gonna
[52:57.880 --> 52:58.880]  understand it.
[52:58.880 --> 53:05.840]  It's easier for you to maintain and evolve, but doing that well requires not shoehorning
[53:05.840 --> 53:10.600]  a concept on a language that never anticipated it, but having the language and the concept
[53:10.600 --> 53:14.620]  co-evolve, and that's what we were able to achieve.
[53:14.620 --> 53:20.120]  One of the fun things at the keynote is when there's something, the WWC keynote in particular,
[53:20.120 --> 53:24.240]  is when there's something that the developers get, sometimes they call it the back of the
[53:24.240 --> 53:25.240]  room, right?
[53:25.240 --> 53:28.600]  And the back of the room erupts, and the front of the room is just like, what?
[53:28.600 --> 53:29.600]  And one of the...
[53:29.600 --> 53:30.600]  Game controllers?
[53:30.600 --> 53:31.600]  Oh, yeah.
[53:31.600 --> 53:40.400]  That to me was the hidden gem.
[53:40.400 --> 53:43.920]  It's like, wow, the back of the room loves it.
[53:43.920 --> 53:48.000]  I was backstage ready to come out, and I'm like, man, I hope the game controllers isn't
[53:48.000 --> 53:49.000]  what takes the day.
[53:49.000 --> 53:54.600]  I go out, and you do SwiftUI, and they're like, well, not quite as much as connecting
[53:54.600 --> 53:57.200]  my old game controller.
[53:57.200 --> 54:05.120]  Well, that was, and it was well ordered, because it was, we have two, we're proud to announce
[54:05.120 --> 54:09.480]  we have two, support for two very popular game controllers, and everybody's like, game
[54:09.480 --> 54:10.480]  controllers.
[54:10.480 --> 54:16.400]  And then the first one's Xbox, and people applaud it, but then the applause started
[54:16.400 --> 54:19.280]  rising already, because they're like, wait, no.
[54:19.280 --> 54:20.840]  What can number two be?
