[00:00.000 --> 00:06.000]  I just get it out of the way. Let's just start right off the bat. It's a big day for you.
[32:50.000 --> 33:06.000]  It's basically if you make eight cores and then they come down the line and you only have to make sure that seven of them pass all the tests, you get a way higher percentage of the wafers that are like good to go, good to go, good to go.
[33:06.000 --> 33:22.000]  And two years later, I guess, 18 months later, 18 months of muscle memory and expertise at making these, all of a sudden the yields are high enough where we can say, you know what, all eight, we'll hold out for all eight of them.
[33:22.000 --> 33:28.000]  You know, that's progress, right? That's what happens when you make the same thing for 18 months.
[33:28.000 --> 33:36.000]  I forget which one it is, but there was an Apple TV where the chip was essentially A6 or something where one of the cores, where only one of the cores worked.
[33:36.000 --> 33:39.000]  So they had a single core version of the chip.
[33:39.000 --> 33:44.000]  And then later when they ran out of those, they had to start making single core versions and then they eventually went to a newer Apple TV.
[33:44.000 --> 33:49.000]  But that's just the realities of making silicon in anything approaching an affordable way.
[33:49.000 --> 34:00.000]  Yeah. Editor of the show, we can start with the first question. Caleb Sexton has a question. So as the editor, I might as well let him go first.
[34:00.000 --> 34:07.000]  He thinks LiDAR and the U1, which is also new in the new iPad Pro, I believe.
[34:07.000 --> 34:21.000]  Now, the U1 is the ultra wideband chip that debuted in the iPhones 11 back in September, which is ostensibly for hyper precise location.
[34:21.000 --> 34:37.000]  But at the moment isn't really used for anything other than helping to increase the accuracy of not airplay. What do you call it?
[34:37.000 --> 34:49.000]  Air drop. Right. And so if I want to air drop you a link or something and your phone is out and mine's out and right next to each other, it's going to prioritize.
[34:49.000 --> 34:55.000]  Hey, you know, why don't you send it to Renee's iPhone? Yeah. So I'm not going to say it's sitting there inert.
[34:55.000 --> 35:10.000]  It is being used. But the potential for what something like the U1 could be used for and might be used for in the plans for iOS 14 or something in the future is obviously bright.
[35:10.000 --> 35:25.000]  So Caleb wants to know if if we see LiDAR and U1 as being intended for find my I'm not sure about how lot I guess it could I guess what he's getting at is let's say I think what he's getting at is let's say you've lost your you don't know where your iPhone is.
[35:25.000 --> 35:31.000]  And it's behind a couch cushion and you're using your iPad to find it.
[35:31.000 --> 35:42.000]  The LiDAR I guess I could help because if you're pointing it if you're in your if it's like oh it's in your living room, and then the LiDAR can tell there's a couch there it can even, you know, it can really get good about.
[35:42.000 --> 35:58.000]  It's not just show you a ghost of your iPhone behind the cushion. Right. Right. Yeah, that would be pretty cool. I believe that that it's in, you know, that getting better and smarter about finding everything is is in the works and I know,
[35:58.000 --> 36:18.000]  you know, there's there's a short list, there's a long list of rumored Apple products that who knows you know like just put the car just put the car on that list you know yeah well who knows where the hell that is we know there's people working on Project Titan and it's a big team and they have big goals and who knows if it's at this point if it's a car or an R2D2 that's gonna
[36:18.000 --> 36:28.000]  Yes. Come around your house, and both vacuum and play music like the Apple Robo vac. Yeah.
[36:28.000 --> 36:47.000]  But then there's stuff like the tile product that seemingly is close to, and, you know, I don't think that it's like, oh, if not for this global pandemic they would have announced it at the end of March, but maybe who knows, I don't know, you know, they've.
[36:47.000 --> 37:04.000]  You know, Apple would have been a good iPhone nine, you know one two punch the way AirPods were with the iPhone seven. Right, and then they could have, yeah, because then it could have, they could have demo the iPhone nine, aka the se two but let's call the iPhone nine doing something
[37:04.000 --> 37:20.000]  in a demo that couldn't have been shown before right like because how else do you demo this phone that otherwise has nothing but, you know, a chip and a display and a touch ID sensor and this and that that are all nothing is new.
[37:20.000 --> 37:27.000]  The whole point is just, it's a great phone with a modern chip that sells for $550 Yeah.
[37:27.000 --> 37:31.000]  But if you could do a demo with Hey now it finds you know your car keys.
[37:31.000 --> 37:43.000]  That's pretty cool. Yeah, I think what you mentioned is exactly right I think a lot of those special projects groups, they're working on separate things but there's like a unifying theory and I think that's why Tim Cook has spoken about automation and
[37:43.000 --> 37:56.000]  spoken about augmented reality in a way that Apple typically doesn't about new products, because they don't see those things as products necessarily they see them as core technologies, like your iPhone has a display your iPad has a display your Mac has a display,
[37:56.000 --> 38:11.000]  and what they're building now is going to be as ubiquitous to their products as displays are, and all of them have to ingest through a variety of sensors like going all the way back to accelerometers and and digital compasses all the way forward to LIDAR sensors,
[38:11.000 --> 38:26.000]  they have to ingest and understand the real world, and the positioning chip lets them do that at very small scale. And then the LIDAR things lets them do that in terms of seeing what's all around you the way that touch ID sorry face ID the true depth camera does on towards
[38:26.000 --> 38:40.000]  you, and it lets them build and understand these virtual worlds they can start placing things in it and deriving functionality from it, and we and maybe there'll be glasses, one day and LIDAR is much more privacy centric than RGB cameras are but just the technology
[38:40.000 --> 38:49.000]  to figure out what's in a world in your place in it and the place of other objects that have you one chips in them. I think that's the sort of the big play they're working towards.
[38:49.000 --> 39:14.000]  I keep thinking about that and I keep thinking how I've been thinking about this for years and LIDAR definitely is a big step in this direction, and GPS was so the first step on location awareness, and it all goes unfortunately hand in hand with all of the various
[39:14.000 --> 39:35.000]  repercussions related to the just the catch all phrase privacy, and it is a phone book size, deep dive on all the ways that this, you know, has repercussions, but basically as smart as our devices have gotten and as good as the cameras are and all of this.
[39:35.000 --> 39:52.000]  They still don't know where the hell they are, really. Yes. Right. And it's like the potential for that is there. Right. You can just it's like Indiana Jones with his fingertip on the Holy Grail. Right. It's like, it's so close.
[39:52.000 --> 40:06.000]  You know, your fingertip is touching it of just of when you ask your phone for directions to like your meeting. Well, remember when you should be able to meet somebody at a restaurant?
[40:06.000 --> 40:14.000]  If we ever get back to meeting people at restaurants, and somebody, you know, you're in a city that you're not, you know, you're visiting, you're out of town, you're in a city.
[40:14.000 --> 40:37.000]  You're both a dub dub. Yeah. And somebody says meet me at such and such place. It's, you know, you get directions now. It's so much better than the old days before phones when, you know, all we had were somebody would hopefully tell you, go to this street, go through the next light and make a left and there it is, you know, then you'd have to memorize it or have it written down.
[40:37.000 --> 40:51.000]  Phone directions are so much better than that. But still, your phone could do so much better. Right. It should be like some kind of AR view where you just hold it up and it just shows you the arrow and says over there. Right here. I know where we are. We're, we're at the corner.
[40:51.000 --> 40:55.000]  Amy's at the food court and you can find the food court but you can't find the table.
[40:55.000 --> 40:58.000]  Right. Right. Exactly.
[40:58.000 --> 41:07.000]  And those are the problems that this I think this technology, I think it'll do way more than that eventually, you know, the way screens do way more eventually but I think that's what they're building towards.
[41:07.000 --> 41:23.000]  Yeah, and it's definitely the LIDAR stuff. Clearly, even though right now, there just isn't a lot of there aren't a lot of great demos that show it off and even some of the stuff Apple showed off from third party developers isn't out yet.
[41:23.000 --> 41:39.000]  You know, I don't think like the new version of hot lava where it turns your house into lava. Cool demo. Can't wait for it to play with it. Not out yet. Really, we're stuck playing with the measure app but even the measure app man is it so much better than
[41:39.000 --> 41:54.000]  the camera only accelerometer only measure app like LIDAR is the real deal, and you know you know it. When you see demos of actual cars out in the street you know test cars from various companies working on self driving cars and they're largely you know enabled
[41:54.000 --> 42:09.000]  by LIDAR sensors pointing out in all the directions so you know it. It's not like I didn't really know LIDAR was a thing but boy when you see it side by side, comparing a new the brand new iPad Pro to, you know, either the previous one or to your iPhone,
[42:09.000 --> 42:27.000]  and it can figure out like just a completely blank wall, just a wall that is just white paint, and it knows exactly where it is. There's no way that a camera based system could ever had no, no chance so what the hell could a camera do pointed at a white wall.
[42:27.000 --> 42:39.000]  And I'm really waiting for the time when it moves from being so active to being so passive so I'm not like in LIDAR mode but as I move my phone around. Yeah, it's just one of the things that's detecting and then there's no more face ID or touch ID it's just like the
[42:39.000 --> 42:51.000]  phone sees the phone sees a bit of my face it hears a bit of my voice. It knows my gate when I'm walking it knows when I'm touching the screen, and I don't have to worry about this whole like actively unlocking it again it just says, I'm reasonably sure it's you
[42:51.000 --> 42:59.000]  I'm unlocked. Oh, I don't know it's you anymore I'm going to challenge you for a different prompt. And then we start moving beyond all these sort of artificial barriers to our usage.
[42:59.000 --> 43:03.000]  All right, let me take a break here and thank our first sponsor. It's good friends at hover.
[43:03.000 --> 43:10.000]  Hey hover has long been a sponsor of the show and they are a terrific starting point for a lot of entrepreneurs.
[43:10.000 --> 43:29.000]  Anybody starting a new web project what's one of the first things you need you need a domain name. Right. Well, that's what hover specializes in, and they have everything you need, including, and I'll emphasize this, an outstanding reputation for trustworthiness
[43:29.000 --> 43:47.000]  and privacy. They've built their entire business around that. And it's a business the domain name registration business where privacy and trust is not exactly hallmarks of a lot of registrars hover has over 300 domain name extensions to choose from when building your brand
[43:47.000 --> 44:01.000]  online no matter what you want to build there's a domain name waiting for it. You'll find excellent tech support really award winning outstanding expert technical support available to answer any questions you may have their support team doesn't upsell you.
[44:01.000 --> 44:20.000]  They only work hard to get you online. They have free who is privacy protection, a super clean user interface and monthly sales on popular top level domains. It's not hard to see why hover is a popular choice for people starting all kinds of businesses.
[44:20.000 --> 44:37.000]  I love hover. I love their search interface. I love the way that if you're looking for my clever domain.com and my clever domain.com isn't there. They have really helpful suggestions.
[44:37.000 --> 44:51.000]  It's not like when you try to sign up for your name as a username and a new social network and it's taken and they just stick a number at the end and they're like, Oh, well, why don't you just take a grouper for 37 you know it.
[44:51.000 --> 45:04.000]  The dumbest possible algorithm, you know, no hover really helps you and really comes up with clever suggestions for getting a domain name that both fits what you're looking for and actually looks cool and works.
[45:04.000 --> 45:19.000]  I love it. It's great. I love their technical support because the other thing that their technical support will help you do is they will help you move domains from another registrar to hover without disrupting.
[45:19.000 --> 45:36.000]  Like let's say you're using it, not just like me with an armful of domains I've registered while drunk over the years. No, I'm talking about ones that you actually use and you don't want to like disrupt your website. You don't want to disrupt your email. Hover can help you do that without disrupting any of that.
[45:36.000 --> 45:54.000]  And it'll just be seamless. And then all of a sudden your domain is at hover where you have a better experience. Again, 300 top level domain name extensions to choose from. You can get your domain name of choice and just anything else at hover.com slash talk show.
[45:54.000 --> 46:07.000]  That's hover h o v e r dot com slash talk show. And when you use that referral link, you get a 10% discount on all new purchases. Make a name for yourself with hover at hover dot com slash talk show.
[46:07.000 --> 46:16.000]  All right, let's talk about Renee Ritchie dot net Renee Ritchie dot net. What a great honor. Thank God nobody took it because what kind of a jerk would do that?
[46:16.000 --> 46:29.000]  I know. I know. I got lucky. I get everything. I've had everything on hover for years now. They're fantastic. It's really a great company and one of my favorite successes because they've really stuck true to doing that one thing and doing it well.
[46:29.000 --> 46:45.000]  Yes. And it's it's really it's just a great service. I again, I love it. I love it. It's like the best thing in the world when you have a sponsor and you can just say you know what even if they if they said to me wrote me a letter and said we've committed ourselves to never spending a dime on
[46:45.000 --> 46:57.000]  advertising ever again. Good to know yet. Well, you'll never see another nickel from us. I would still tell people to go to hover the same absolutely the same. All right, here we go. Here's a question from Tom Woodfin.
[46:57.000 --> 47:17.000]  He asks, How do you think Apple sees the future of OLED in their devices? Will we ever see OLED MacBooks or iPads that the iPhone 10 R and 11 have picked up all the original 10 technology and design other than OLED seems like a tell to me that Apple isn't happy with the tech.
[47:17.000 --> 47:27.000]  I think that's true. I mean, it took Apple a long time compared to Android vendors to put OLED in the phones. And when you look back at some of the earlier OLED phones, the pen tile sub pixels were horrible.
[47:27.000 --> 47:41.000]  I remember Sebastian Sebastian DeWitt had to figure out how to anti alias himself because they just didn't do it when he was working a double twist and they but they got better and better and they got to a certain point where Apple was happy because like the blue color
[47:41.000 --> 47:55.000]  fades faster than the other colors and they burn in and there's just it looks gorgeous. There's really good deep blacks really good high bright levels, but you have to do so many mitigations to make it a workable technology and especially on larger screens like iPads
[47:55.000 --> 48:11.000]  the though the amount of the the brightness is not contiguous like it has it has brighter and darker spots, and especially at Apple scale. A lot of companies have made better panels than Apple like Amazon and Samsung, because they were making far fewer of them and it was easier
[48:11.000 --> 48:26.000]  to do it at smaller scale. But Apple makes a ton of MacBooks and a ton of iPads. And it's really hard to get OLED fabricated at that sort of scale. So I really think they're going to wait for mini LED on the bigger devices. They're going to just skip OLED and go straight to that.
[48:26.000 --> 48:47.000]  It's a good question. I think it's a really good question. And it sort of captures the sort of gestalt of Apple's display technology of the last five years in the next few years. And I think it's important to note Apple's first OLED device and still is the Apple Watch.
[48:47.000 --> 49:07.000]  And it's RGB stripe. It's not Pentile like the phones. Every good OLED. Every Apple Watch ever made has been OLED, whether it's a, you know, $250 sport watch or $20,000 solid gold Apple Watch. They've all been OLED.
[49:07.000 --> 49:22.000]  The only difference in the displays is whether it's the sapphire crystal display or the ionized glass, you know, which is less expensive in the sport models. But the actual underlying technology has always been OLED.
[49:22.000 --> 49:40.000]  And is the downsides of OLED that you just mentioned, you know, the sub pixels and the problems with other displays are certain colors and color accuracy. None of that is as big an issue on the watch, right? You don't watch video on your watch.
[49:40.000 --> 50:00.000]  Yes. The deep blacks are a huge benefit. I don't know that they would have launched Apple Watch until something like OLED with the deep blacks was possible because it completely and you just look at the watch faces that are, you know, almost all of the watch faces until
[50:00.000 --> 50:19.000]  the series four where they went to the rounded corner ones, you know, had these black backgrounds because it helped hide it. Honestly, almost more than helped. It almost completely hid the border between the bezel and the display.
[50:19.000 --> 50:31.000]  The enormous bezels. Yeah. Yeah. And it's, you know, only when they got better, you know, four generations in and they could make a more iPhone 10 style.
[50:31.000 --> 50:47.000]  Bigger, bigger amount of the surface area is devoted to the display and we can round the corners off. Did they start showing more faces, providing more faces where the actual background is a vibrant color instead of black?
[50:47.000 --> 51:10.000]  Yeah, I think that OLED, I don't want to call it a stopgap, but I do think, and I don't know a ton about micro LED, but I just know, though, that it sounds to me like better long term technology. Like OLED is amazing in so many ways, but has so many tradeoffs.
[51:10.000 --> 51:26.000]  Yes. Yeah. I mean, it's great. I love watching HDR content. Like I have a I have an LG OLED television. It's phenomenal. Very different technology to what they use on small screens. And I would love to have that on an iPad. I'd love to be able to see, again, those deep blacks.
[51:26.000 --> 51:42.000]  A lot of people like you can show them an iPhone XR or an iPhone 11 next to an iPhone XS or an iPhone 11 Pro. And Apple is so good at their color management, their color science and their consistency that a lot of people just cannot tell the difference.
[51:42.000 --> 51:50.000]  I'm just spoiled and that I'm used to looking at HDR content so I can. It's by no means a detriment at this point, but I think it's just part of the natural.
[51:50.000 --> 51:58.000]  They're making so much HDR content for Apple TV Plus now, and it just looks so good. I think it's naturally where they want to go. But it's exactly what you said.
[51:58.000 --> 52:13.000]  All that is sort of a stopgap to get there. And then we have many LED and then micro LED and who knows whatever is after that, maybe just VR displays everywhere. But those seem to have all the good characteristics of OLED without without the detriments, almost the best of both worlds.
[52:13.000 --> 52:30.000]  So I would expect we never get OLED Max. I kind of and this is sort of cheating and based basing on what seems to be coming out of the Asian supply chain. It sounds to me like we might never get OLED iPads either.
[52:30.000 --> 52:51.000]  That the next thing after what we have now will be micro LED. Mini first. I forget. Well, but superior LED technology. And like you said, like what makes OLED great for a big TV isn't really applicable to the small scale.
[52:51.000 --> 53:05.000]  And what they've what they're able to do with their high end iPhone pros is expensive. It's a big part of the reason why the iPhone 11 Pro is more expensive than the iPhone 11.
[53:05.000 --> 53:15.000]  And the same reason why last year's phone, you know, the iPhone XS was more expensive than the XR. I also think that it depends on what you watch.
[53:15.000 --> 53:25.000]  Like, I think I think it was Joanna Stern and I who were talking about this, like Joanna is he is a huge fan, was just huge, huge fan of bought one herself, the 10 R.
[53:25.000 --> 53:32.000]  And I think she still prefers the iPhone 11 over the 11 Pro, depending on what you do with your phone.
[53:32.000 --> 53:47.000]  If if you're doing like a lot of just email and reading and texting, I honestly think that in some ways, especially on a white background, that the LED looks better than.
[53:47.000 --> 54:04.000]  Yes, the OLED, and it has a wider off access, yeah, off access OLED, even Apple's, which I think is arguably among it would inarguably among the best in the world, possibly the best in the world can have a bluish tint when you look at it side by side.
[54:04.000 --> 54:20.000]  And the three X retina factor of their OLED iPhones versus the two X retina of the all the LED ones that they've made to date looks bad, really bad on the spec chart.
[54:20.000 --> 54:26.000]  Right. And that's one of those things where people who just sort of review quote unquote phones.
[54:26.000 --> 54:35.000]  It's almost like they got it all out of their system with the 10 R a year and a half ago, and they didn't even really bang the drum with the iPhone 11 this year.
[54:35.000 --> 54:48.000]  But they really were like, hey, for $800 or, you know, whatever the iPhone 10 R and regular non pro 11 starting prices, you should get more than you know, you should be able to get you know, what do they want?
[54:48.000 --> 54:58.000]  The 14 what are 10 ATP, right? They want 10 ATP in 2018 or whatever their thing was, because of the I don't want to go too far off in the weeds on this.
[54:58.000 --> 55:08.000]  But because of the sub pixel layout of OLED screens, arguably you need a three X retina OLED to compete with a two X LED.
[55:08.000 --> 55:12.000]  Yeah, absolutely. It's a pentile and not an RGB stripe, right?
[55:12.000 --> 55:20.000]  Which is much higher density. And if your eyes are sharp enough, or you're using a jeweler's loop or a magnifying glass to look at it.
[55:20.000 --> 55:30.000]  I'm not trying to say that there's that three X OLED isn't it's for the most part better than the two X LED in terms of resolution.
[55:30.000 --> 55:36.000]  I think it probably is. But it's a lot closer than you would think just by looking at two X versus three X.
[55:36.000 --> 55:42.000]  It is definitely not 1.5 times the resolution. It is now last also.
[55:42.000 --> 55:52.000]  It's also like there's good it's only one factor in determining a good pixel for a display and there are some really bad OLED panels Google in one of their pixels.
[55:52.000 --> 55:56.000]  I think it was a three, the three XL they had really bad OLED panels.
[55:56.000 --> 56:02.000]  Yes, they would burn in and they were they were horrible with the color shifting and the banding all of those things.
[56:02.000 --> 56:09.000]  So you can have good and bad implementations of these things and Apple is just so good at making LCD is probably the best in the world.
[56:09.000 --> 56:17.000]  Probably maybe with LG tie that for making really good LCD displays that the sheer quality of them exceeds the resolution of them.
[56:17.000 --> 56:30.000]  Yeah, and there's also if at a philosophical level, I feel like the RGB layout fits Apple's institutional philosophy better where it's just a little bit more honest.
[56:30.000 --> 56:37.000]  And I don't mean dishonest in that OLED is dishonest like it's lying, but it's it's like a cheat.
[56:37.000 --> 56:44.000]  You know, it totally is if they could do RGB stripe at iPhone scale, they would it's right you they can't fab good quality.
[56:44.000 --> 56:49.000]  They when Apple Apple is very forthright when they said like this is the first panel we thought was good enough for the iPhone.
[56:49.000 --> 56:55.000]  They mean it and yes, Samsung used their process and I think Samsung's process is the best in the world BCE kind of copied it.
[56:55.000 --> 57:01.000]  So, you know, they're ramping up fast but Apple still said no we want these materials not this material you want it done.
[57:01.000 --> 57:06.000]  They designed the whole thing and then had Samsung fab it and they made it the way that they were comfortable making it.
[57:06.000 --> 57:16.000]  Yeah, I'm going to take an aside here and it's not even a question but I'm going to talk about this because I had to buy a new TV recently and I haven't talked about it.
[57:16.000 --> 57:30.000]  But we renovated our living room and we have a very very big wall with room for a very large TV and I'd still we had still been using a 2006 Pioneer plasma.
[57:30.000 --> 57:40.000]  Which I still have and I've just moved to a lesser used room in the house and same and I don't turn it on anymore and I just I walk by and I pet it.
[57:40.000 --> 57:57.000]  Because it's seriously dollar for dollar one of the great purchases of my entire life in terms of how happy it has made me over the years and how happy I still am with the picture and the color and I just I don't want to go off on a rant and lament.
[57:57.000 --> 58:16.000]  But I mean at this point I realized that the technical limitations of plasma it got killed by marketing problems because it was inherently more expensive and LEDs got so absurdly cheap that it just became unfeasible to sell these expensive plasmas side by side with them.
[58:16.000 --> 58:32.000]  But you can't make them as that anywhere near thin enough by today's standards you know when I got it in 2006 I was moving from a giant 35 inch I think trinitron CRT which weighed like 20,000 pounds.
[58:32.000 --> 58:48.000]  It was so so heavy it was like the biggest CRT Sony made for home use and I love that TV too but it a big fat heavy thick by today's standards plasma in 2006 seemed so thin and light compared to a CRT.
[58:48.000 --> 58:56.000]  But anyway it was time to buy a new TV hadn't bought one since 2000 and into 2006 I think.
[58:56.000 --> 59:04.000]  And I knew I wanted OLED and I thought here we go I put it off and put it off because I thought this is going to be a nightmare buying a TV.
[59:04.000 --> 59:17.000]  Turns out if you did once you decide you want OLED it is actually it's like the difference between deciding you want to buy an Apple MacBook versus a PC right.
[59:17.000 --> 59:29.000]  And if you want to buy a PC notebook you and you really want to make sure you're making the best decision you know you've you're going to have an entire notebook filled with notes.
[59:29.000 --> 59:42.000]  Whereas if you just you know you want to get a MacBook well now you just decide pro or air or 16 or 13 and then you know a little bit of decision making on how much RAM and how much storage you need and then you're done.
[59:42.000 --> 59:53.000]  OLED buying an OLED TV today is sort of like that number one you are going to pay significantly more for the same size TV compared to an LED it is going to look way better.
[59:53.000 --> 01:00:03.000]  You will notice the difference it is you don't need to be a picky picky person to say wow this is brighter and you know the blacks are blacker.
[01:00:03.000 --> 01:00:09.000]  And if you're coming from plasma like I am it's the only thing that makes it possibly bearable.
[01:00:09.000 --> 01:00:25.000]  And again the blacks are better than they were on the plasma but the overall color warmth of the things that I care about like movies still isn't as good as plasma but it's so much closer than the cool cold remoteness of LEDs.
[01:00:25.000 --> 01:00:32.000]  Basically when you want to buy an OLED today and again I cheated tremendously and I just told had Syracuse to tell me what to buy.
[01:00:32.000 --> 01:00:34.000]  I do exactly the same thing.
[01:00:34.000 --> 01:00:43.000]  But really you've only I think you've only got four brands to choose from you've got LG Sony Samsung and Vizio.
[01:00:43.000 --> 01:00:47.000]  And if there are other brands I don't know who they are what they make.
[01:00:47.000 --> 01:00:52.000]  But Sony doesn't make their own panels they use LG panels.
[01:00:52.000 --> 01:01:05.000]  And so at a panel level when you're deciding between Sony and LG you're just talking about the actual TV itself and which software is better and LG software everybody says is better.
[01:01:05.000 --> 01:01:16.000]  You can search the whole web and I don't know that you can find anybody who says that Sony's weird Android TV thing is better than LG's web OS.
[01:01:16.000 --> 01:01:21.000]  There we are back to web OS based interface.
[01:01:21.000 --> 01:01:38.000]  They're also minimal chrome wise right like this is part of the beauty of the OLED revolution is that there's so little chrome bezel around these TVs that none of them even Samsung who loves to put their shiny stupid ugly logo on everything.
[01:01:38.000 --> 01:01:40.000]  There's no room for logos.
[01:01:40.000 --> 01:01:47.000]  So there's no shiny LG thing or badge down there it's just a tiny black border around the screen.
[01:01:47.000 --> 01:01:54.000]  So you can rule Sony out because you got the same panels as LG as good or better prices and better software from LG.
[01:01:54.000 --> 01:01:55.000]  There you go.
[01:01:55.000 --> 01:01:58.000]  Vizio is sort of the discount brand.
[01:01:58.000 --> 01:02:07.000]  I don't I've never heard anybody say there's any reason to get a video other than that they're cheaper and then you're down to LG versus Samsung and it's pretty much the same thing.
[01:02:07.000 --> 01:02:12.000]  It doesn't seem like anybody thinks the Samsung ones are better in any way.
[01:02:12.000 --> 01:02:17.000]  Samsung is better at small screen OLED and LG is way better at big screen OLED right now.
[01:02:17.000 --> 01:02:31.000]  And then so very very easy process of reduction you're like well now I'm going to buy an LG which one should I get and it's it's not once you figure this is where Syracuse really helped is that they have like a series which are sort of less expensive entry level.
[01:02:31.000 --> 01:02:43.000]  The I think BA and A B and C where each one is better C is better but not too much better only a little bit more expensive than the next number is a year.
[01:02:43.000 --> 01:02:54.000]  So like a C9 series means 2019 the way they this is the part I'm getting to the way they do the years is insane where they just use one digit.
[01:02:54.000 --> 01:03:01.000]  So a C9 series of OLED from LG means 2019 OLED.
[01:03:01.000 --> 01:03:04.000]  And then what are they going to do for 2020.
[01:03:04.000 --> 01:03:10.000]  Are they going to use a zero. Nope. Using an X. They've gone to Roman numerals.
[01:03:10.000 --> 01:03:19.000]  It's insane. I have no idea what they're going to do for 2021. Are they going to go to X I don't know. I don't know why they didn't just use two digits right.
[01:03:19.000 --> 01:03:28.000]  And again all the trouble the world got into with the Y2K thing using two digit years at least with OLED televisions.
[01:03:28.000 --> 01:03:35.000]  I think we're pretty safe to assume that 81 years from now we're not going to still be using OLED TVs.
[01:03:35.000 --> 01:03:44.000]  So I feel like I feel like they would have had so much runway if they had just used two years for the year number.
[01:03:44.000 --> 01:03:49.000]  And then you just pick what size you want and then you're done and there you go.
[01:03:49.000 --> 01:03:56.000]  Yeah I think that's fantastic. I made the exact I listened to Syracuse the two and I made the exact same call and I've been super happy both with the plasma and with the OLED.
[01:03:56.000 --> 01:04:00.000]  Yeah it is very good technology for TV. We're very happy with it.
[01:04:00.000 --> 01:04:04.000]  And it's funny because it's a new thing and I still have to get a new sound system.
[01:04:04.000 --> 01:04:19.000]  And it's it this whole this whole not that we can't order a sound system in the midst of being bunkered in home self quarantining but it's just sort of lowered it on a priority list.
[01:04:19.000 --> 01:04:30.000]  And in the meantime the built in sound from this TV is actually better than our old standalone sound system for the fairly large living room that it's in.
[01:04:30.000 --> 01:04:41.000]  It's actually not too bad not not that I'm going to stick with it for too long but it's actually way better than I ever had any reason to expect the built in sound on a TV would be.
[01:04:41.000 --> 01:04:51.000]  So it's really good. And also when you watch it with like native content which I mean like the HDR and trying to get the Dolby Atmos Disney Plus has that Apple TV Plus has that it's just night and day.
[01:04:51.000 --> 01:05:01.000]  Yeah. Yeah. Yeah. And when you do get HDR content I even with my weirdo eyes at the moment it's like whoo whoo you can see that that is whoo that's really nice.
[01:05:01.000 --> 01:05:08.000]  Yeah. So anyway there's my side on getting a TV. Next question. But I'm bad at this question and answer format.
[01:05:08.000 --> 01:05:10.000]  No it's good.
[01:05:10.000 --> 01:05:20.000]  Anyway fair warning. None of these questions are in any sort of order. So we're going to bounce all over the place.
[01:05:20.000 --> 01:05:29.000]  Next question Stephen Morris in what ways does Apple need to improve its services what services do you think need the most time invested in them right now.
[01:05:29.000 --> 01:05:32.000]  Another good question. What do you think.
[01:05:32.000 --> 01:05:44.000]  For me it's still Siri I think because it's such a front facing customer facing service. And while it does a lot of clever things we talked about on a previous show it's just like one out of every nine 10 times one out of every 20 times.
[01:05:44.000 --> 01:05:55.000]  It gives you a completely zany answer. Like I'll say call my mom and it'll work 19 times the 20th time it'll call a hair salon or I'll say like find like show me photos from New York City.
[01:05:55.000 --> 01:06:11.000]  It'll work perfectly and then one time it'll just try to search Bing for them. And I think that the nailing the consistency for an assistant technology is just so core to how to building trust with that system that it should be there if not their top priority then really close to it.
[01:06:11.000 --> 01:06:24.000]  That's a good answer. I think it's very true. I think that I've repeated this numerous times. I I'm not saying that they shouldn't have launched Siri when they did and a year or two difference.
[01:06:24.000 --> 01:06:35.000]  I mean there may or may not have been some aspect of a rush in terms of wanting to debut Siri in a phone while Steve Jobs was still alive.
[01:06:35.000 --> 01:06:44.000]  It's probably the last major feature, you know that he lived to see a year or two wouldn't have made a huge difference in the overall thing.
[01:06:44.000 --> 01:06:57.000]  It's probably the right time other companies were going to have it if Siri hadn't been out for another five or six years Apple would have looked ridiculously out of touch.
[01:06:57.000 --> 01:07:12.000]  But all of these things are off to such a bad start in my opinion in terms of just giving everybody a very bad taste in the mouth as a first impression in terms of how reliable they are and compare and contrast with.
[01:07:12.000 --> 01:07:36.000]  Touch screen computing where the iPhone debuted and whatever other limitations you want to talk about if you went back to a 2007 original iPhone right now the touch screen isn't one of them it the latency the responsiveness to multi-touch to pinching to scrolling to flicking was phenomenal.
[01:07:36.000 --> 01:07:49.000]  And I guess it's not the first touch screen that most people have used everybody, you know, we've been to airports and there's a touch screen for getting your boarding pass and they all stunk right the back of your airplane.
[01:07:49.000 --> 01:08:09.000]  They all stunk and and having the iPhone say here's the first one that you're going to want to use and here's the here's here's where we're setting the bar and people would say oh and now you expect everything to instantaneously respond to the touch of your fingers.
[01:08:09.000 --> 01:08:19.000]  Siri and Scala and again, sorry if I triggered I should have said dingus and dingus and dingus.
[01:08:19.000 --> 01:08:21.000]  Hopefully I didn't set anybody's things off.
[01:08:21.000 --> 01:08:38.000]  Sorry, maybe any doll houses all of these things are so terrible in the grand scheme of things all of them and feel free to rank Siri third as the third of the three but and whichever one you dear listener think is the best whether it's Alexa or Google or if you do think it's Siri.
[01:08:38.000 --> 01:08:56.000]  Siri, they all stink that none of them are good. They should all you know, we know what we want them to be like we want them to be genuinely conversational and they don't they don't have to have a personality like how or kit.
[01:08:56.000 --> 01:09:02.000]  I never really realized as a kid by the way just how much kit was a ripoff of how. Yes.
