[00:00.000 --> 00:02.000]  Tough fact to follow
[26:06.560 --> 26:11.840]  You just go to harries.com. You know order it 15 bucks will get you everything you need to get started
[26:12.480 --> 26:18.240]  And then once you find out that the stuff is just as good as I've been telling you you can order stuff like new blades
[26:19.520 --> 26:26.080]  They're under two bucks a pop if you get them in quantity way less than then the big brands are
[26:26.560 --> 26:31.200]  Even when you buy them at places like Amazon if you get like a Gillette or whatever other brand like that
[26:31.200 --> 26:36.160]  So you pay less you get a better product and it could not be more convenient
[26:36.720 --> 26:43.360]  So great stuff if you have any reason to buy any kind of shaving stuff go check them out. Here's where you go you go to harries.com
[26:44.400 --> 26:46.400]  and
[26:46.400 --> 26:52.800]  Use the code talk show know the just talk show and on your first order you'll save five bucks
[26:52.800 --> 27:02.520]  A fantastic deal. So go there check them out harries.com and the code is just plain talk show no joke. I use them all the time
[27:02.520 --> 27:04.720]  they they sponsored a show to you and
[27:05.680 --> 27:08.960]  I got hooked and I do use it so use debug
[27:10.000 --> 27:13.200]  I don't I don't speak it don't because I don't actually think that exists
[27:13.760 --> 27:19.840]  That's the talk show you could try debug. No, I think harries is one of the ones. But but I swear to God. I do use it like I'm
[27:19.840 --> 27:26.080]  I'm actually a fan. Yeah, I like I probably wouldn't have followed up, but they you know they sponsored us so they give us like
[27:27.120 --> 27:29.120]  the shaving creams and
[27:29.360 --> 27:34.160]  The the aftershave and the razor and the blades and you know now
[27:34.160 --> 27:35.600]  Yeah, and they've been doing a thing too
[27:35.600 --> 27:41.760]  Also like sort of like Apple does where they come out with the first thing and then they slowly iterate over time where they've
[27:41.840 --> 27:46.400]  Slowly added a few new things like they started out. I think they only had a shaving cream
[27:47.280 --> 27:48.480]  and
[27:48.480 --> 27:53.920]  They had one and not the other and I think they added the gel is the second thing because a lot of people prefer
[27:53.920 --> 27:59.680]  It does now you get a choice when you buy any kit you can choose between shaving cream shaving gel whichever one you prefer
[27:59.680 --> 28:01.680]  They've got both
[28:01.680 --> 28:05.600]  All sorts of other stuff and now they've got an answer. They had if you listen to me a few weeks ago
[28:05.600 --> 28:09.600]  If you were smart, you bought it for your father's day. They had a father's day kit, but they're already sold out of it
[28:10.720 --> 28:16.000]  Might be a little too late now anyway since shows not coming out until two days before anyway if you were smart two weeks ago
[28:16.000 --> 28:20.720]  You would have listened to me and bought that. Yeah, that's a good gift. You know what my
[28:22.560 --> 28:26.880]  My lady friend's dad wants a gun cleaning kit and a knife. Yeah, so
[28:27.760 --> 28:29.760]  You know, I'm gonna treat her right
[28:32.800 --> 28:38.240]  Like I seems like it's like a retired CIA guy or something. Yeah, I'm scared to death of this guy
[28:39.120 --> 28:41.120]  I hope he's not asking for that stuff because of you
[28:41.120 --> 28:48.240]  He died also too. All right, let's talk about some of this technical stuff from that the
[28:48.880 --> 28:50.880]  WWDC and it really is a lot
[28:52.240 --> 28:54.240]  Do you want to go any order of your
[28:54.560 --> 29:01.200]  Your outline? Well, I mean because we segue from the shillers. So yeah, yeah, so the first thing that you have in the list
[29:01.200 --> 29:03.760]  And I think it's a good topic is the app thinning and
[29:03.760 --> 29:10.960]  And I think that I think that ties into the whole idea that from Federigi in the morning keynote about how they've
[29:11.600 --> 29:18.240]  Significantly cut down on what's going to be the over-the-air size of or or I don't know about the over-the-air size
[29:18.240 --> 29:26.600]  But the minimum required open storage on your device to get started with the update to iOS 9. I think it's got to be really
[29:26.600 --> 29:30.400]  Yeah, I think so I think it was a six to seven
[29:30.400 --> 29:35.040]  It went from like the you needed like four gigabytes free four gigs down to like one point
[29:35.040 --> 29:40.160]  So I think there's probably two things are a app thinning which we'll describe in good detail in the moment
[29:40.960 --> 29:43.600]  and probably that new fancy bands
[29:44.560 --> 29:46.560]  Comps a
[29:47.360 --> 29:50.800]  Confession algorithm they mentioned it's probably a combination thing
[29:50.800 --> 29:54.880]  I wonder too if they're doing some of the resource stuff over, you know like
[29:55.840 --> 29:58.160]  Oh, definitely sorry. Yeah when it so app thinning is
[29:58.160 --> 30:00.160]  Three things basically
[30:03.600 --> 30:07.560]  And it is on-demand resources which are
[30:09.680 --> 30:14.200]  If you the example that they give is a game where if you
[30:15.600 --> 30:20.240]  You're not going to get to level 10 if you just start playing the game until a little bit
[30:20.240 --> 30:23.680]  So you can have resources that are included in your application
[30:23.680 --> 30:28.240]  But are not actually downloaded from the app store until you start to need to use them
[30:29.600 --> 30:35.760]  So that's big so that you download. It's gonna be small, but you can actually have a big application in general
[30:37.200 --> 30:40.080]  It used to be like I remember back in
[30:41.760 --> 30:43.760]  2008 2009 when we were shipping
[30:44.640 --> 30:46.240]  Tapped after revenge stuff we
[30:46.240 --> 30:55.120]  Sweated getting the app down to the size where it would be okay to download over cellular
[30:55.840 --> 30:58.720]  And I forget what it was that's like 10 megabytes something like that
[30:59.760 --> 31:04.880]  And we had like a lot of graphics and audio files which you know and between that up
[31:07.760 --> 31:15.280]  So, you know, I think now the direct download size is limited I forget what it's limited to and it's kind of a moving target
[31:15.280 --> 31:20.760]  But the total download size with these on-demand resources is about 20. Yeah, and it's definitely an issue
[31:20.760 --> 31:25.680]  I I see it a lot. I don't download a lot of games myself, but Jonas does and it's
[31:26.640 --> 31:28.640]  it's always like a
[31:28.720 --> 31:30.720]  You know sitting on a whoopie cushion
[31:31.240 --> 31:35.360]  Emotionally when it's like hey can I get this new app and you know we say yes
[31:35.360 --> 31:39.920]  But we're out, you know who knows you know we're out and about we're not in the house and it's like
[31:39.920 --> 31:46.640]  Wa-wa it's over the over the cellular download limit and so it's definitely a big deal and you know
[31:47.040 --> 31:52.160]  That was a huge engineering challenge first like we we sweated that because you need the impulse box
[31:52.160 --> 31:57.600]  Yeah for those kind of pop games, you know because I mean I mean I mean do you join us remember that when you go
[31:57.600 --> 32:04.560]  Sometimes and sometimes not right and and even if it's even if most of the time you still remember to get the same game
[32:04.560 --> 32:07.760]  When you're back on wi-fi you're gonna lose some some number of
[32:07.760 --> 32:12.640]  Uh downloads that you would have gotten otherwise. Yeah, and that's a definite. They should be a big deal
[32:12.720 --> 32:14.720]  So I think it's a huge win for
[32:15.440 --> 32:17.120]  game developers
[32:17.120 --> 32:19.120]  Yeah, so I mean this does go to the
[32:21.120 --> 32:24.320]  Shills American the 16 gigabyte, which was kind of an unanswered
[32:24.960 --> 32:27.280]  Little bit, but at the same time
[32:27.440 --> 32:31.680]  They're backing that up with a bunch of this technology that that they've put into
[32:32.080 --> 32:35.760]  iOS 9 in order to try to make that I mean he
[32:35.760 --> 32:40.560]  I don't I don't want to say waffle, but he was vague and had way to you about
[32:41.360 --> 32:43.360]  what we're doing more things with the cloud
[32:43.920 --> 32:44.560]  uh
[32:44.560 --> 32:46.560]  but
[32:46.560 --> 32:50.160]  You know the the technology that they've actually been adding
[32:51.040 --> 32:57.680]  Supports that supports the fact that they or supports the argument that they really do want to make 16 gigabytes of value
[32:58.480 --> 32:59.280]  um
[32:59.280 --> 33:00.720]  not a value
[33:00.720 --> 33:02.720]  a viable
[33:02.720 --> 33:04.720]  flute chain for
[33:04.720 --> 33:10.880]  Well, and like my argument was I'm guessing most people listening to this episode probably listened to that episode
[33:10.880 --> 33:12.880]  I mean that episode pretty good numbers
[33:13.840 --> 33:19.040]  I hope so stop listening to my but my argument my framing was that apple
[33:19.760 --> 33:27.120]  Ever since Steve came back has done this good better best three-way framing of a product line and that to me with the 64
[33:27.760 --> 33:29.920]  16 64 128 split
[33:29.920 --> 33:36.240]  It's a little bit more like okay better best like it's hard for me to justify calling 16 good and you know
[33:36.400 --> 33:40.160]  He he made the best case he could I think that 16 is pretty good
[33:40.720 --> 33:45.600]  And and depending on your needs that if you're gonna shoot a lot of video then no you want to upgrade
[33:46.160 --> 33:48.160]  But if you were buying
[33:47.840 --> 33:52.880]  Devices for a enterprise type employee type thing that you don't need that
[33:52.880 --> 33:59.200]  Yeah, and you know that you can store stuff like with photo even with video you can use iCloud
[33:59.840 --> 34:04.000]  Photo storage and not keep all of your video on your device
[34:04.560 --> 34:08.400]  And still have access to it on the fly when you need it by downloading it when you need it
[34:09.440 --> 34:12.560]  Yeah, I mean if your company is buying a thousand of these and giving them out to employees
[34:12.960 --> 34:14.960]  it's for emailing
[34:14.960 --> 34:16.960]  doing talented messages and that kind of stuff and
[34:16.960 --> 34:23.920]  It's you know, maybe 60 gigs is fine for that also. I like I did I mean not to get to met it
[34:23.920 --> 34:25.920]  But the way you find that question was good
[34:26.480 --> 34:28.480]  because you I mean you kind of
[34:29.120 --> 34:32.640]  You backed it off good better best and then
[34:33.680 --> 34:38.400]  And showed that it wasn't actually that good so um on the other hand
[34:39.920 --> 34:41.920]  You know they are making
[34:41.920 --> 34:46.880]  They're investing a lot of software effort in order to make these lower
[34:47.760 --> 34:49.760]  Capacity phones
[34:49.760 --> 34:54.080]  The other thing I got so I got a lot of feedback on that question from people and some people were like wow
[34:54.080 --> 34:58.080]  You did a great like what you just said you did a great job framing that in a way that you know
[34:58.080 --> 35:01.600]  You asked a tough question, but you didn't in a respectful way where you weren't
[35:02.560 --> 35:04.560]  Being you know, it wasn't confrontational
[35:05.520 --> 35:07.520]  other people were like
[35:07.520 --> 35:12.640]  You didn't you should have followed up on that after his answer and pressed him on it further
[35:13.360 --> 35:16.320]  Or other people who made what is a good point
[35:16.960 --> 35:23.040]  Was that I'm it's like my own personal perspective on this where I'm really only interested in the current generation devices
[35:23.680 --> 35:27.200]  I didn't even mention the fact that they're still selling eight gigabyte devices
[35:27.440 --> 35:32.880]  Like if you buy the iPhone 5c, which is the one that's I think currently free with contract
[35:32.880 --> 35:36.480]  Uh, you only get eight gigabytes of storage, which is really low
[35:36.880 --> 35:39.600]  But I do think like you said like with this whole app thinning thing
[35:39.600 --> 35:44.720]  They're not it's not like they're selling them and engineering has software engineering has left them behind
[35:44.720 --> 35:48.160]  They're like I think more than ever they're really focused on
[35:48.880 --> 35:54.080]  Making sure that the entire array of these iOS devices that they're selling are
[35:54.800 --> 35:56.080]  are
[35:56.080 --> 36:00.400]  Moderately useful to you know pretty pretty good devices going forward
[36:00.400 --> 36:02.960]  Yeah, my other I mean
[36:04.560 --> 36:09.520]  This is pretty much I'm substantiated, but my understanding is that the the
[36:10.080 --> 36:12.640]  Ram chips that they use in the 16 gigabyte
[36:14.320 --> 36:16.320]  They don't come in 32
[36:16.320 --> 36:22.080]  Yeah, so they need to find a different supplier like things get like there's complicated stuff there that
[36:23.280 --> 36:29.120]  Yeah, that's that's something I think we there's like there's some basic we heard this from the same person last week
[36:29.120 --> 36:31.120]  But you know sort of off the record. Yeah
[36:31.920 --> 36:36.320]  But that it's a little bit more complicated than just the product marketing implications of
[36:37.040 --> 36:39.040]  The way that it
[36:39.040 --> 36:42.720]  If 16 to 64 to 128 is the split boy
[36:42.720 --> 36:48.240]  There's an awful lot of people who are if they were on the fence might have gone with the look if it was 32 at the low end
[36:48.240 --> 36:50.880]  would have bought that 32 but instead by the
[36:51.520 --> 36:54.560]  $100 spend that extra $100 to get the 64
[36:54.560 --> 37:00.960]  Clearly that's part of it, but that we heard that there's a technical reason and it was that that it sounds crazy
[37:00.960 --> 37:04.960]  Because I know that if the if the 32 gigabyte chick chips did exist
[37:05.360 --> 37:09.200]  It wouldn't be it's not a hundred dollar expense to Apple. It's a couple of bucks at the most
[37:09.440 --> 37:11.440]  But then but that there were
[37:12.400 --> 37:15.600]  Something very very specific about these chips, but that the 32 ones
[37:16.000 --> 37:21.600]  Actually weren't there and that if they wanted to have them in the quantities they needed 16 was actually you know
[37:21.600 --> 37:23.600]  There was actually like a
[37:23.600 --> 37:25.600]  Would you call it an operational
[37:26.160 --> 37:32.240]  Advantage to 16 64 or 128 right? Yeah, so you know, I mean, you know that
[37:33.600 --> 37:37.600]  I can't it's not like I've spoken to the game. It actually buys all of the stuff
[37:37.600 --> 37:42.400]  But you know, I that seems plausible to me and it's also not something feels
[37:43.440 --> 37:48.400]  So but on the other hand, they're trying to make it work. So earlier. I'll do this software technology is
[37:48.400 --> 37:54.800]  Yeah, and a lot of it there's an awful lot of things. It's going to keep coming up because if we even get to swift and stuff like that
[37:54.800 --> 37:59.120]  But boy the whole and you know, and and one of the things that Shuler said last week
[37:59.120 --> 38:03.840]  And I do think we're starting to see is is that a lot of these things are years in the making and
[38:04.800 --> 38:08.880]  Some of it many years may be close to a decade. I mean when did Apple first?
[38:08.880 --> 38:17.840]  Bring Chris Latner in hire him and sort of adopt LLVM as as their official, you know compiler technology going forward
[38:18.720 --> 38:20.720]  Oh, I should know this off the top of my head
[38:21.760 --> 38:22.800]  It may not
[38:22.800 --> 38:27.520]  It's probably close to less than close to tenure close to but I think less like
[38:28.320 --> 38:30.320]  I think 10 years is on the outside
[38:31.040 --> 38:34.640]  Because he wrote a brilliant paper and he got LLVM going
[38:35.600 --> 38:37.600]  basically because
[38:37.600 --> 38:42.000]  GCC stank and that's not a I
[38:42.720 --> 38:48.240]  Don't know if there's a lot of open source to it's listen to this and they're going to get all bent out of shape about GCC
[38:48.240 --> 38:51.200]  But it was great for its time really hard to
[38:51.920 --> 38:57.200]  Sort of make the advancements that are that was saying with the LLVM
[38:57.200 --> 39:06.880]  The I mean free BSDs adopted it. I think there's some some work for Linux, but I can never keep track of all of that
[39:07.840 --> 39:13.120]  From Wikipedia reports that Apple hired him in 2005 so 10 years
[39:14.320 --> 39:20.080]  Okay, and obviously they've been reaping rewards from that big and small of every year step by step
[39:20.080 --> 39:27.600]  But yeah, it's changed the development too, but it's really starting to the the way that that's
[39:28.160 --> 39:34.480]  It's not just like I the first couple of years of advantages of switching from GSC to LLVM
[39:34.960 --> 39:36.560]  We're really about
[39:36.560 --> 39:42.800]  Developers were the only people who saw those advantages and now we're starting to see this trickle out into
[39:43.760 --> 39:47.920]  User-facing features things that would not have been possible with GCC. I believe
[39:47.920 --> 39:49.920]  Like
[39:52.160 --> 39:53.200]  Oh
[39:53.200 --> 39:56.640]  Don't you think you think I'm wrong? No, you're totally wrong. Oh, I know
[40:00.160 --> 40:08.160]  Just just to double down on on Leonard Ladner is at like a snowball rolling downhill, and it's like exponential impact
[40:09.040 --> 40:11.040]  He's doing a good job
[40:11.440 --> 40:15.840]  We'll get to swerve eventually, but he's killing it so absolizing is
[40:15.840 --> 40:20.480]  Back in the next days before Apple even bought them
[40:21.360 --> 40:28.240]  They had what was called fat boundaries, which are what we call universal boundaries, which basically had
[40:29.040 --> 40:31.040]  Co-segments for each of the different
[40:31.680 --> 40:37.200]  chip architectures that the application is going on so you know power PC or Intel or HP or
[40:37.760 --> 40:39.920]  Some spark stations that kind of thing
[40:40.960 --> 40:42.960]  The idea is that there's a tiny
[40:42.960 --> 40:47.520]  Sort of table of contents at the beginning of the file and then you
[40:49.040 --> 41:00.080]  Jump to the correct page and start and start reading the same book in in your own language and one book would help like four or five different
[41:01.440 --> 41:06.240]  Versions of the text each translated as appropriate for the architecture that you were running on
[41:07.600 --> 41:11.360]  And those were called fat binaries that that became universal apps
[41:11.360 --> 41:17.120]  on the Mac with Intel and power PC and now a 32 and 64 bit arm
[41:18.000 --> 41:18.960]  and
[41:18.960 --> 41:24.400]  One of the things that would happen on old next machines was that people would run a
[41:25.520 --> 41:28.560]  command line which I believe still exists it's called
[41:29.040 --> 41:35.200]  LiPo and well LiPo would go into one of the executable files and strip out the architectures
[41:35.200 --> 41:42.320]  that weren't native to where you're going to run the app and that would save you some space and back in those days
[41:42.320 --> 41:45.280]  There wasn't a lot of space so that that would be something that you know
[41:46.240 --> 41:48.240]  People would like to do
[41:48.880 --> 41:52.800]  App slicing is very similar except that it happens on the App Store level
[41:54.640 --> 41:56.640]  When you download an app
[41:56.960 --> 41:58.960]  I was nine using App slicing
[41:58.960 --> 42:05.280]  Only the code that is appropriate for the device that you're downloading it for will be downloaded
[42:05.760 --> 42:08.240]  So you won't have extraneous code for
[42:09.120 --> 42:10.320]  32 bit arm
[42:10.320 --> 42:12.320]  64 bit arm and then one happier
[42:13.200 --> 42:19.520]  Further and this is probably the biggest win is that resources will be called that aren't appropriate
[42:20.160 --> 42:23.040]  So if you have like an iPhone 6
[42:23.040 --> 42:29.360]  Yeah, you will only download the act 2x instead of the 3x resources that
[42:30.000 --> 42:32.400]  Should be included yet for the 6 plus right?
[42:33.200 --> 42:35.200]  Right, so
[42:35.520 --> 42:37.520]  It will only it will be the minimum
[42:37.920 --> 42:40.880]  Footprint. It will be only exactly what the application needs
[42:43.040 --> 42:45.840]  And that will you know that that
[42:46.480 --> 42:52.640]  Will be have huge gains in terms of the application download size and the footprint on the device itself
[42:52.640 --> 42:54.640]  Yeah
[42:55.360 --> 42:58.400]  And it's yeah, it seems like that's going to be a big deal and it happens
[42:58.400 --> 43:03.520]  So you submit as a developer you submit one app with everything all of your resources
[43:04.080 --> 43:06.080]  You're 32 bit you're 64 bit
[43:07.040 --> 43:14.400]  Compiled output you submit that to the App Store and then the App Store takes care of serving the
[43:14.960 --> 43:19.840]  Slice up here's the here's here's only what you need version to the customers
[43:19.840 --> 43:21.600]  right
[43:21.600 --> 43:22.880]  Yeah
[43:22.880 --> 43:29.760]  Which is great and it's one of the benefits of having an app store you get to slice and dice as you need them and download the
[43:30.080 --> 43:33.680]  appropriate right and so it's another way that apps can A
[43:33.680 --> 43:38.720]  It just saves everything anyway. It's less energy less networking. It's you know
[43:39.440 --> 43:42.480]  Little bit, you know little it's good for everybody to say everything's gonna be faster
[43:42.480 --> 43:45.280]  But it's another way that apps can get under the cellular limit too
[43:45.280 --> 43:47.760]  Oh
[43:47.760 --> 43:48.800]  Definitely
[43:48.800 --> 43:54.720]  Yeah, on demand was is a big one and app slicing will also help a lot and especially with the
[43:56.160 --> 44:01.200]  There's so many devices now with so many requirements and resources are getting kind of blowing out
[44:03.040 --> 44:05.040]  It's going to help a lot. It's going to
[44:05.360 --> 44:11.080]  Make it so that every app that you download is same in terms of you
[44:11.080 --> 44:14.320]  Yeah, because one of the other one of the other things that's interesting to me about iOS now
[44:14.320 --> 44:18.240]  I'm not surprised because they're still selling the A5 with
[44:19.440 --> 44:23.200]  The entry model non retina iPad mini
[44:24.240 --> 44:28.720]  And since they're still selling it that makes sense that they're still supporting it with iOS 9
[44:29.440 --> 44:35.120]  But you know presumably they're gonna have new iPads and new iPhones later this year
[44:35.600 --> 44:39.040]  So it's only going to be adding to the number of devices
[44:39.040 --> 44:44.160]  So now we're going all the way from a non retino 1x stuff like the the
[44:45.440 --> 44:48.160]  Like I said the entry level iPad mini the
[44:49.360 --> 44:54.560]  iPad touch is our pod touch is still being sold those are a5 devices that are
[44:55.280 --> 45:01.920]  I guess the iPod touch is retina, but you know they're still non retina device being sold still being supported all the way up to
[45:02.160 --> 45:04.160]  3x devices like the 6 Plus
[45:04.160 --> 45:07.920]  Yeah, yeah, and the you know
[45:10.080 --> 45:13.440]  Again, this kind of backs up what Sheila is playing with
[45:14.080 --> 45:16.080]  Trying to make you know that that's a big investment
[45:18.000 --> 45:21.840]  You know that they put a lot of work into making that work or happen so
[45:22.880 --> 45:27.840]  You know it's not just lip servers and trying to fob it off as some like the marketing guys being like no, no
[45:27.840 --> 45:33.040]  It's great. They're they're trying to so another thing they announced and I think this is the first time is that
[45:33.040 --> 45:39.760]  And this is it's a real struggle for developers if they're if you're doing something that really presses the limits of the device
[45:40.240 --> 45:42.240]  Think high-end game
[45:42.880 --> 45:46.240]  Think something like pixel meter for iOS
[45:47.520 --> 45:53.120]  You're really really stretching the limits if you want to both take advantage of the latest
[45:53.760 --> 45:58.560]  hardware and the fastest graphics stuff that's that's on like the current state of the art
[45:58.560 --> 46:05.040]  iPhone and iPad and yet still be able to even launch on the a5-based ones
[46:06.880 --> 46:11.040]  So well, they still have to write the same code well, but the one thing they mean
[46:11.040 --> 46:12.800]  Vaps well the other thing that they announced
[46:12.800 --> 46:18.560]  This was in the morning keynote with with Craig where they announced that you if it's up to you as the developer
[46:18.560 --> 46:21.520]  But you can submit an app now for iOS that
[46:22.160 --> 46:23.360]  requires
[46:23.360 --> 46:25.360]  64-bit
[46:25.360 --> 46:30.960]  Yeah, oh that yeah, that's huge and effectively that means the
[46:31.840 --> 46:38.320]  A7 or later because the a7 with the iPhone 5s was the first 64-bit
[46:39.360 --> 46:41.360]  Yeah, they're very rarely
[46:42.080 --> 46:43.360]  Given us
[46:43.360 --> 46:45.360]  for like a better word
[46:45.360 --> 46:48.240]  Breakpoints in terms of what can and can't be supported
[46:48.240 --> 46:54.480]  Generally, they want if an OS level supports it. They want their parties to support it
[46:56.800 --> 46:58.800]  This is one of the few that
[47:00.000 --> 47:07.520]  And you know they added this in order to exactly like support stuff like i and graphics stuff or i and games
[47:09.840 --> 47:14.320]  Because you know like a lot of these things the older architectures just can't handle it and you can
[47:14.320 --> 47:16.320]  And
[47:16.320 --> 47:22.800]  The development burden of supporting these older systems is going to outweigh any benefit they have to them
[47:23.280 --> 47:27.120]  And yet in the app store, there's no way to indicate that well
[47:27.760 --> 47:30.320]  There is but it's terrible like I've seen it
[47:30.320 --> 47:32.320]  I'm sure as you see like in the app description
[47:33.200 --> 47:36.880]  It'll it'll say hey if you if you're not using
[47:36.880 --> 47:43.440]  The you know a7 or above or something like that. They'll say don't download this game. Yeah
[47:45.120 --> 47:47.120]  Yeah
[47:47.120 --> 47:52.320]  Yeah, I'm I mean to express that in a manner such that the app store can
[47:53.680 --> 47:55.680]  Nobody wants to cheat the customers
[47:56.080 --> 47:58.080]  Well, I mean some people do well
[47:58.800 --> 48:04.560]  The majority of people are good actors and nobody wants them to download something that they can't possibly run and yet there was no
[48:04.560 --> 48:12.800]  Programmatic or or there was no way to express that this game requires a certain level of hardware in order to be even remotely fun
[48:13.680 --> 48:18.400]  So they've added that which isn't which is nice because I mean in the old days people who are switching on like
[48:19.360 --> 48:21.360]  Can this app shoot video?
[48:21.360 --> 48:27.200]  Yeah, like does it have a camera like there was some weird stuff that happened to coincide with like fast approaches
[48:28.320 --> 48:32.880]  And so they'd claim that they needed some certain part of gb. Yeah, like a video camera
[48:32.880 --> 48:37.440]  But yeah videos are good people camera GPS whatever it was. Yeah, it was like well
[48:37.840 --> 48:40.960]  we know that this device is faster and
[48:42.000 --> 48:44.000]  It also has this other thing
[48:44.720 --> 48:50.000]  So we're gonna peg it on the other thing in order to trick the app store into not limiting who can buy it
[48:50.880 --> 48:53.360]  That's a crummy experience all around
[48:54.320 --> 48:58.400]  Because you like to Apple you lying to the customers and you know, it's just right
[48:58.400 --> 49:04.320]  Let's come back and talk about bit code, but let me do another sponsor read and but remind me if I
[49:04.960 --> 49:10.400]  Some want to do let me remember that where we'll pick this up is talking about bit code
[49:11.200 --> 49:19.240]  I want to tell you about our good friends at igloo igloo is the internet you will actually like
[49:19.680 --> 49:24.240]  You can share news organize files coordinate calendars manage projects
[49:24.240 --> 49:32.320]  And more all in one place. It's a place. It's an online internet for your team your organization your business
[49:33.600 --> 49:37.840]  Whatever you want to call it your group where you can do all this stuff in one place
[49:38.640 --> 49:46.160]  And you can do it on every device. It's all web-based. It works great. Everything looks great on phones tablets
[49:46.560 --> 49:48.080]  desktops
[49:48.080 --> 49:51.280]  Big displays small displays anything you want. It's gonna look great
[49:51.280 --> 49:59.120]  They're latest upgrade. They call it Viking. That's like the you know like the elkapi ton version number of their stuff
[49:59.120 --> 50:01.120]  They give names like that
[50:02.000 --> 50:03.520]  Viking revolves around
[50:03.600 --> 50:07.680]  Documents and how you interact with them gather feedback and make changes
[50:07.840 --> 50:13.120]  They've even had the ability to track who has read critical information to keep everyone on the same page
[50:13.920 --> 50:19.120]  So it's like read receipts in your email or read receipts on iMessage something like that
[50:19.120 --> 50:24.960]  But it's a lot more like iMessage than emails because it's not annoying. It's just a little indication of who's read what
[50:25.680 --> 50:30.080]  And that helps you track where their key colleagues have read and acknowledged
[50:31.440 --> 50:36.800]  Policies or legal agreements or something like that and if you don't need that then you don't need to you don't need to worry about it
[50:36.800 --> 50:38.800]  But if you do
[50:38.800 --> 50:42.960]  It's a major upgrade to igloo that maybe was keeping you from using it before so that's great
[50:43.360 --> 50:48.160]  If your company or your team has a legacy internet that looks like it was built in the 90s
[50:48.160 --> 50:55.760]  It's probably because it was built in the 90s and you should give igloo a try. Here's where you go to find out more go to
[50:56.320 --> 50:58.320]  igloo software dot com
[50:58.480 --> 51:00.480]  slash the talk show
[51:01.280 --> 51:03.840]  And they have a tremendous tremendous free trial
[51:04.640 --> 51:06.880]  Format for ten people or fewer
[51:07.600 --> 51:11.120]  You could just use it in for as long as you want free of charge
[51:11.280 --> 51:14.800]  That's it and so if you've got a team that's fewer than ten people igloo is free
[51:14.800 --> 51:20.400]  Just use it and you don't even have to worry about it and then if you have more than ten people they have really really great pricing
[51:21.440 --> 51:23.840]  Depending on your size, but you can check them out for free
[51:25.280 --> 51:29.040]  And get started and just see how good it can be so my thanks to igloo software
[51:30.000 --> 51:33.440]  dot com slash the talk show for sponsoring the show
[51:34.160 --> 51:36.160]  All right, what were we Canadians?
[51:37.200 --> 51:39.920]  Might as well be like I don't know maybe they are I think they are
[51:39.920 --> 51:44.160]  They're very nice, so I suspect that they are
[51:45.280 --> 51:47.840]  Every time I interact with them. They're very very nice people
[51:48.560 --> 51:51.600]  They got a big Canadian and see only see only explanation
[51:52.640 --> 51:55.600]  Oh, that's right bit code all right explain bit code
[51:55.600 --> 52:00.640]  And because I think that this this seems to me like something that even in the and the state of the union was sort of
[52:01.120 --> 52:03.120]  They went through this very very quickly
[52:03.680 --> 52:08.480]  And yeah, so they talked about it. They kind of skimmed over it
[52:08.480 --> 52:10.480]  Um
[52:10.480 --> 52:12.480]  The session explanation
[52:12.640 --> 52:17.840]  Originally mentioned it and then they expunched it like the update of the explanation in in the WWC app
[52:18.640 --> 52:24.480]  To remove mention of bit code and it wasn't really spoken about much publicly after that
[52:26.080 --> 52:28.080]  But
[52:28.080 --> 52:30.720]  my impression from what they said on stage was that
[52:32.080 --> 52:34.720]  Bit code was effectively a marketing term for
[52:34.720 --> 52:36.720]  Uh
[52:37.600 --> 52:42.160]  It's kind of get this is going to get nerdy but a bytecode like like sort of the Java
[52:42.880 --> 52:46.000]  Way of like you can pile things down to it to a bytecode where
[52:46.880 --> 52:53.520]  You can redeploy the same code across different platforms. Right like in a traditional compiler
[52:53.600 --> 52:55.600]  You compile to a specific
[52:56.400 --> 53:00.000]  processor instruction set so if you were on a
[53:00.720 --> 53:04.240]  You know an x86 chip your compiler generates
[53:04.240 --> 53:10.640]  x86 machine code that is directly it's the native language of the CPU
[53:12.160 --> 53:14.960]  exam bytecode and Java is probably the
[53:15.680 --> 53:21.680]  most famous example of this a Java compiler compiles to bytecode and the bytecode is
[53:22.560 --> 53:26.560]  It's low level, but it's the same bytecode can run on
[53:27.440 --> 53:29.440]  It's say
[53:29.440 --> 53:31.440]  Intel or power PC
[53:31.440 --> 53:35.040]  Right because it's interpreted by a virtual
[53:36.480 --> 53:37.840]  CPU
[53:37.840 --> 53:41.840]  Which is the runtime is that you know when people ask you to install Java
[53:42.400 --> 53:47.040]  That's what they mean right that they need you to install the Java runtime so that they can interpret this code
[53:47.680 --> 53:50.560]  So my understanding from what they said briefly
[53:52.080 --> 53:56.720]  Was that your code would be compiled down into a Java like bytecode
[53:57.920 --> 53:59.200]  And then
[53:59.200 --> 54:06.320]  recompiled by Apple with their latest compiler technology to target whatever new devices they felt like
[54:08.560 --> 54:10.560]  So this would enable stuff like
[54:11.280 --> 54:14.480]  like the CPU on the watch to change or
[54:15.680 --> 54:17.680]  Like an iPad with an Intel processor
[54:18.480 --> 54:21.520]  Because it would be dynamically recompiled when you tried to download it
[54:25.200 --> 54:26.400]  That's not the case
[54:26.400 --> 54:30.080]  It did sound like I have to say that sounded like what they said when I saw the the
[54:31.280 --> 54:34.080]  Well, that's what they said and I freaked out
