[00:00.000 --> 00:04.520]  Still there. Oh, yeah, you know what it did it. Oh, you sound so much better
[32:32.640 --> 32:38.180]  On Google the the the trade-off between if you if you give Google
[32:38.700 --> 32:44.260]  Everything they want to know about you and buy into their stuff you get a tremendous
[32:44.880 --> 32:50.640]  Experience out of it. Like if you've got an Android phone and you use the whole ecosystem and the apps
[32:50.640 --> 32:55.620]  Right that kind of thing right like, you know, and like you said like and it definitely works
[32:55.620 --> 32:59.100]  I mean, I don't buy into this. It's certainly come a long way, right?
[33:02.180 --> 33:06.300]  But it's cool stuff like if you're using Gmail and you let you know
[33:06.300 --> 33:12.500]  then then you get your flight stuff into your Gmail and then they already know you have a flight because they've already parsed the
[33:12.500 --> 33:18.800]  Email from your airline that says you're doing it and then your today view already has like you said has the weather for
[33:18.800 --> 33:23.900]  San Francisco because that's where I'm flying right or like I just got a pop-up yesterday
[33:23.900 --> 33:27.480]  It's like this shirt that you ordered for a short order for my kid. They're like it just shipped
[33:27.480 --> 33:29.560]  Here's the FedEx number like that's actually pretty useful
[33:31.360 --> 33:37.040]  Yeah, that's pretty awesome so I mean but it's it it's like you said though like I'm
[33:38.020 --> 33:39.900]  You know a little
[33:39.900 --> 33:46.760]  Wary of it, but at least with Google you the exchange is very clear. It's okay
[33:46.760 --> 33:51.000]  you're gonna give up some of your privacy and they're going to they're gonna send you targeted ads and
[33:51.680 --> 33:56.400]  That makes me a little uncomfortable. But in exchange there's there's a very clear value proposition though
[33:56.400 --> 34:00.560]  it's you know, we know so, you know, we're gonna give you stuff that you need to know like your weather and
[34:02.000 --> 34:05.260]  Reminders of things that you didn't even ask to be reminded of but that you would need to
[34:06.440 --> 34:09.480]  And I think that's pretty interesting. Whereas with a lot of these startups
[34:09.480 --> 34:14.120]  It's like they want the information and you know, they're gonna sell it out and it's like I have no idea
[34:14.120 --> 34:18.440]  You know, why would I why would I give this to you? Right, right, right, right. Yeah, absolutely
[34:18.440 --> 34:23.160]  And yeah, anyway, it's probably kind of a thistle to get into but you know, then you look at something like uber
[34:23.880 --> 34:26.960]  Where did you see the thing where they're lost and found?
[34:27.880 --> 34:34.640]  Database was like an unprotected spreadsheet on the internet with people's names and phone numbers in it. No, I did not it's like wow
[34:34.640 --> 34:36.640]  That's that's pretty rough
[34:38.540 --> 34:40.720]  The sharing economy thing is is
[34:40.720 --> 34:45.760]  Super interesting to me because I I'm kind of surprised really especially in San Francisco
[34:45.760 --> 34:49.560]  I am very surprised this stuff has gotten as far as it has, you know, you asked me ten years ago
[34:49.560 --> 34:53.040]  I mean I live in a neighborhood where it's very difficult to get a cab anytime and
[34:53.560 --> 34:57.680]  I've cursed the cab companies forever because they don't give a fig they don't need to they can just drive
[34:57.680 --> 35:01.520]  You know up and down Polk Street and make all the money in the world drive to the airport
[35:01.520 --> 35:03.820]  There's you know, you know what? I mean? That's how it works in a city
[35:04.000 --> 35:08.000]  But I never would have guessed that they would get away with that here. You know what I mean?
[35:08.000 --> 35:13.660]  It's such a strong kind of Uniontown in some ways. It's such a strong town for like people who are protected
[35:14.760 --> 35:20.480]  You know interests like with the medallions and stuff kind of amazed that stuff has gotten as far as it has I am too
[35:20.480 --> 35:22.480]  I didn't know I didn't realize that I
[35:23.320 --> 35:25.320]  Don't know if you saw my tweet. I
[35:25.360 --> 35:26.920]  Don't know a week or two ago
[35:26.920 --> 35:32.020]  There was an article like like lyft start just started here in Philly and the article about lyft
[35:32.020 --> 35:37.700]  Was about how the whole thing like all the uber all the uber's in Philly are illegal
[35:38.260 --> 35:43.460]  There's they're not supposed to be operating in Philly. Well, it's like news to me. I've been using uber in Philly for like two years
[35:43.460 --> 35:46.080]  I had no idea. That's that's isn't that kind of mind-blowing
[35:46.460 --> 35:51.860]  It just seems like like one low-level government functionary could walk into that office to shut off the lights
[35:51.860 --> 35:58.420]  But like so they I mean black cars are obviously legal but not based on you know, not through the uber
[35:58.420 --> 36:04.180]  They're regulated. I mean, I guess I don't know what it is, but there's something like and you we have uber X now, too
[36:04.180 --> 36:06.180]  So we have the the you know
[36:06.460 --> 36:09.980]  Amateur cab driver version you meet some very interesting people with uber X
[36:10.500 --> 36:15.820]  And the whole thing was about how lyft, you know lyfts got the the pink mustaches on the cars
[36:15.820 --> 36:19.060]  Which makes them so easy to identify so that because they're illegal
[36:19.700 --> 36:23.740]  Like the but it's not enforced by the police. It's enforced by the parking authority
[36:23.740 --> 36:29.820]  The long arm of the parking authority, right, but I've heard stories
[36:29.820 --> 36:33.820]  I don't know if these are true, but I've heard anecdotes where people are like, okay fist bump get in now
[36:33.820 --> 36:36.860]  Put your put your bag in the trunk. We're friends. We've known each other since college like we're
[36:38.020 --> 36:41.100]  You know cuz the lyft experience is still a little
[36:41.940 --> 36:43.940]  little on the bubble
[36:44.620 --> 36:47.620]  Yeah, I'm not comfortable with it. Really. Yeah. Yeah
[36:48.540 --> 36:51.260]  Yeah, I'm not either but you know out here
[36:51.260 --> 36:56.380]  There's an article in the paper week or two ago about how I mean
[36:56.380 --> 37:02.820]  I find this totally plausible uber drivers are making like something like on average ten dollars an hour more than taxi drivers
[37:02.820 --> 37:04.020]  there's been a
[37:04.020 --> 37:05.860]  utter diaspora
[37:05.860 --> 37:11.100]  Of people leaving these taxi companies to go work for uber because it's just smart dell in it. Yeah
[37:11.100 --> 37:16.020]  I I've done that and when I first started using uber it was in San Francisco because you know
[37:16.020 --> 37:20.740]  It was early days when when uber was new and I don't know where that I don't maybe that was the only place where they were
[37:20.740 --> 37:22.180]  operating at first but
[37:22.180 --> 37:25.500]  I remember thinking well this sounds weird, right?
[37:25.500 --> 37:29.640]  This sounds weird, but I'll try it and I remember like the first couple of times I got in an uber
[37:29.640 --> 37:31.900]  I would be asked the driver. I was like, so do you how do you like this?
[37:31.900 --> 37:36.420]  Do you like this and to have never never was the answer anything other than I love it
[37:36.420 --> 37:39.300]  This is you know, this is great. Oh, absolutely
[37:39.820 --> 37:44.180]  And whereas if I get a cab ride, I've said this story elsewhere, but I recently last month
[37:44.180 --> 37:49.500]  I got a cab ride home from a gig and the entire time the guy had his right arm on the seat
[37:49.500 --> 37:52.860]  Turning around facing me the entire trip screaming
[37:52.860 --> 37:57.700]  He's like an uber anti uber activist, but the entire ride like I'm you know
[37:57.700 --> 38:02.340]  three sheets to the wind and just trying to put my headphones on and nod and he really wants to talk about uber and and
[38:02.420 --> 38:08.540]  It's it's it's the battle lines have been drawn. I tried using that app, but you know curb. Do you have that there?
[38:08.540 --> 38:11.580]  No, I don't think we do. There's an app at least in San Francisco
[38:12.100 --> 38:18.420]  That is the go-to app for ordering a cab in an uber like way. I've tried it three times and
[38:18.420 --> 38:20.140]  I'm waiting ten minutes
[38:20.140 --> 38:22.580]  I've never even gotten a response that a cab would even be available
[38:22.940 --> 38:25.580]  But just because I live out in kind of a crazy part of town
[38:25.780 --> 38:29.860]  So, I mean it's it's I don't love using it either and they kind of seem like dicks. I
[38:30.620 --> 38:35.060]  Mean no offense to duper, but there's some pretty crazy
[38:36.220 --> 38:40.500]  Decisions going on here. I'll send you a link. Here's what we've got. Okay. This is our new thing is
[38:41.140 --> 38:45.660]  215 get a cab. Okay, and all it's it's clearly like
[38:45.660 --> 38:47.660]  Like
[38:48.500 --> 38:50.020]  Like the
[38:50.020 --> 38:56.340]  The various cab companies have colluded to get I mean, I'm not colluded in any legal way, but it's not related. Yeah, it's
[38:58.260 --> 39:01.900]  It's it's it's in response to uber it's just no doubt about it
[39:01.900 --> 39:07.100]  It is it is in response to uber and they've got it plastered all over all of their I'll bet
[39:08.940 --> 39:14.140]  All of their vehicles to a five remember that time and so I feel like the thing that's funny to me though is they want
[39:14.140 --> 39:18.780]  Me to get the app, right? Yep, get the app and have the app have the app before it occurs
[39:18.780 --> 39:21.940]  Do you that you need a cab because you're drunk in an alley somewhere?
[39:21.940 --> 39:23.900]  Like what are you gonna do a downloader an app?
[39:23.900 --> 39:26.820]  Like you need to have it on your phone already probably and it's a new thing
[39:26.820 --> 39:32.460]  But they've come up with the name is a phone number like it's still the 80s and you've got to go
[39:32.460 --> 39:36.020]  You know, does everybody have a quarter give me a quarter. I got a call to get a cab
[39:36.540 --> 39:39.980]  Right, you know, you can just imagine the meeting with like, alright, we'll do the we'll do the app
[39:39.980 --> 39:41.980]  But it's got to be the phone number
[39:41.980 --> 39:46.900]  Right, and so they're there their website is two one five get a cab.com
[39:48.820 --> 39:52.380]  For some reason I'm reminded of I want to see like in the early 2000s when
[39:52.860 --> 39:58.460]  You know the dot-coms had already started the dot-com like retail comms the pets comm and all is clearly like things were a little rocky
[39:58.540 --> 40:04.220]  but there are more and more places that wanted to look like an e-business and I think a lot of them were basically just
[40:04.660 --> 40:09.360]  Like a CGI or a pearl script that sent something to a fax machine you go in and you fill out a form
[40:09.360 --> 40:12.960]  You do not have any sense that anything electronic was happening at all
[40:12.960 --> 40:16.560]  You know what? I mean not like today where you can like track things and stuff like that
[40:16.560 --> 40:20.280]  I think it used to be pretty Rube Goldberg to start a company like that, right? Yeah
[40:20.280 --> 40:24.600]  I like the idea though that I think it was probably was true though that a lot of places where you could order
[40:24.800 --> 40:27.760]  Online it would generate a fax or oh, that's how it works
[40:27.760 --> 40:30.760]  Now if you order a lot of food online, all it does is print something out
[40:30.760 --> 40:36.120]  I mean, obviously that's that's the installed base, you know, it just it just prints something out next to the cash register. I
[40:36.120 --> 40:38.120]  Don't know man
[40:40.280 --> 40:42.280]  Yeah
[40:42.880 --> 40:44.880]  Should we talk about vaccines? Oh
[40:48.200 --> 40:50.200]  Man ah
[40:50.520 --> 40:56.720]  Well, if we talk if we end up I was telling a friend of mine what our nominal topic for today was which I'm very excited
[40:56.720 --> 41:01.520]  About right and my friend responded by saying you were gonna get so much email
[41:02.560 --> 41:04.560]  We might as well jam it all into one episode
[41:04.560 --> 41:11.520]  Yeah vaccines. So the thing that got me about the vaccines is that with it being back in the news again is
[41:12.160 --> 41:13.320]  is
[41:13.320 --> 41:15.160]  like
[41:15.160 --> 41:16.640]  It's everywhere now, right?
[41:16.640 --> 41:19.280]  It's all it's percolated up to like the national
[41:19.600 --> 41:23.920]  Consciousness and it's on the news every day now and also and I was like why why all of us?
[41:23.920 --> 41:28.560]  I mean, this is not a new thing. I mean this is it's only a story if there's a controversy, right?
[41:28.560 --> 41:31.520]  That's that's the thing. I couldn't just go these people are dumbasses
[41:31.520 --> 41:36.280]  I will have to say well, there's still a couple scientists that haven't definitely decided on this
[41:36.280 --> 41:43.200]  It's and I realized it's obvious it's all because actual people got actual measles at Disneyland
[41:43.200 --> 41:47.800]  And I didn't really put I saw this story and I thought well
[41:47.800 --> 41:51.140]  Of course they are did because there's a bunch of dopes who aren't getting there
[41:51.140 --> 41:55.400]  There's so many people who aren't getting their kids immunized. Of course, there's an outbreak of me
[41:55.400 --> 41:59.720]  I wasn't I was so unsurprised right that there was an outbreak of measles at Disneyland that
[41:59.720 --> 42:04.440]  That I it seems like a perfect place for there to be a measles outbreak given the conditions
[42:04.440 --> 42:07.440]  I I couldn't believe that it was news, you know
[42:07.440 --> 42:12.080]  Whereas it's clearly is like the eye-opener for a lot of people like oh my god
[42:12.080 --> 42:16.080]  You know if you don't get your kid it just seems like that's a big part of the conversation is
[42:16.280 --> 42:20.840]  Holy shit, if millions of people don't immunize their kids these kids can get measles
[42:22.920 --> 42:27.640]  Like that seems to be our national conversation, yeah, it's really frustrating
[42:27.640 --> 42:29.640]  It's um
[42:30.240 --> 42:34.880]  Yeah, I don't know what to say. I also saw I saw an interesting poll on on
[42:35.360 --> 42:38.480]  By by age whether you support mandatory
[42:39.200 --> 42:43.760]  Immunization and it drops off so precipitously. It's like 70 year olds
[42:43.760 --> 42:49.800]  It's like almost universal support 60 year olds very high 50 40 kind of high and then when you all like once you get in
[42:49.800 --> 42:55.240]  Your 40s and 30s, it's lower and then you talk to kids in their 20s and it's like they you know
[42:55.240 --> 43:00.640]  It's like 15% support mandatory. That doesn't mean that they don't think people should do it. They're just saying it shouldn't be mandatory
[43:01.880 --> 43:05.240]  But I think that the reason that it's age it's like it's like reading to your kid
[43:05.240 --> 43:08.540]  That's one of those things. It's a good idea. But yeah, I don't really technically have to do that
[43:08.800 --> 43:12.460]  That's the idea like yeah, you don't have to do that. I don't have to give my kid a measles shot
[43:12.600 --> 43:15.400]  Well, the reason it's age-specific though is so obvious
[43:15.400 --> 43:19.320]  It's because older people remember what it's like when your neighbor had polio
[43:19.320 --> 43:26.240]  Right or they remember parents age who made it through the depression and watched a neighbor on one side of them lose three kids
[43:26.240 --> 43:28.320]  Right or a sibling even right?
[43:28.840 --> 43:36.480]  100% my grandmother lost a sibling to it flew in the I think, you know, right around World War one
[43:37.160 --> 43:39.880]  All right, so they've saw and then all of a sudden big
[43:40.520 --> 43:46.200]  Scientists come out with just a shot that makes your arms sore for a day and then you'll never get polio
[43:46.200 --> 43:48.200]  Oh, of course, they support it
[43:48.200 --> 43:50.200]  uh
[43:50.640 --> 43:55.960]  Yeah, I I don't know I I'm trying so hard to grow as a person John I'm trying really hard to
[43:56.640 --> 44:03.320]  Be sympathetic and understand everybody's position, but it it's one of the things that I think we talked years ago about the thing
[44:03.320 --> 44:05.320]  Remember the you told me this remember that there was a poll
[44:05.480 --> 44:11.000]  That something was what was the percentage of people who were thoroughly convinced that Obama is not
[44:12.200 --> 44:16.760]  Eligible to be president even late late late in that Lynn that in that rumor
[44:16.760 --> 44:22.840]  it was still like whether 40% or something ridiculous of people and it's like there's the thing is there's uh,
[44:23.360 --> 44:24.840]  you know
[44:24.840 --> 44:26.480]  there's there's a
[44:26.480 --> 44:28.040]  I've been reading this book
[44:28.040 --> 44:30.040]  That I'll apparently mention on every podcast
[44:30.240 --> 44:35.200]  Called the wisdom of insecurity by Alan Watts and he makes a distinction in that book that really knit and really hit me
[44:35.240 --> 44:38.200]  It's a distinction between faith and belief which I found
[44:38.960 --> 44:42.920]  Very persuasive with the idea that you know faith is a thing that we all have. Yeah
[44:42.920 --> 44:48.720]  There are sight unseen things that we there's some part of us that has faith that these kinds of things could happen that there
[44:48.720 --> 44:54.400]  might be a heaven or whatever which is really different from belief because belief is a kind of a more dangerous thing because belief is
[44:54.400 --> 44:58.160]  Where you know, there's not really that much to even discuss
[44:58.200 --> 45:04.080]  Like I've decided that this is how things are and nothing is gonna talk me out of this because now it's become part of who?
[45:04.080 --> 45:04.880]  I am now
[45:04.880 --> 45:08.440]  I am a person who believes this about vaccines or I believe this about Obama and
[45:08.440 --> 45:12.600]  You know, I think that that can become very internalized you and I probably have things like that
[45:12.600 --> 45:15.000]  There was not not even aware of but you know
[45:15.000 --> 45:20.800]  That's the dangerous part and there's no what we dumb liberals don't understand is there's no way there are never going to be enough
[45:21.000 --> 45:27.160]  Infographics Venn diagrams or horrifying maps to convince people of anything different. I mean Jesus Christ
[45:27.160 --> 45:30.320]  We had George W Bush in the White House for eight years people will believe anything
[45:31.960 --> 45:37.840]  Well, one of the things that's interesting about the I think the whole immunization thing is very sad and for anybody who's listening
[45:37.840 --> 45:42.800]  I do have enough listeners. I'm sure that there's got to be some of you who should stick to computers
[45:42.800 --> 45:48.440]  Yeah, stick to computers who have children. You've chosen not to immunize. I do I think one of the things that's
[45:49.640 --> 45:51.360]  So I wanted to I want to be a big person
[45:51.360 --> 45:55.120]  I want to be as I don't want to be insulting but I
[45:55.760 --> 46:01.840]  Think one of the things that's fascinating about it is that it has no traditional political divide. It's not a liberal thing or a
[46:02.680 --> 46:05.400]  Republican thing or a conservative thing or a rural thing
[46:05.400 --> 46:10.960]  It's like all over the map. It's you know, it's like when they pull I saw one poll
[46:10.960 --> 46:14.840]  That was like exactly 50-50 where like they talked to I don't know
[46:15.200 --> 46:19.960]  however, poll sample size number of parents who chose not to immunize their children and
[46:20.880 --> 46:25.120]  Who did you vote for in the last election and it was like 50-50 split really? Yeah
[46:25.120 --> 46:28.480]  I know do you think the reasons why they differ are different?
[46:29.800 --> 46:32.440]  Would they agree on the reason why they decide not to do that? I
[46:32.440 --> 46:34.480]  I you know
[46:34.480 --> 46:40.560]  I don't know but I remember one of the big reasons that it really caught on was I remember reading the article it was
[46:41.440 --> 46:48.640]  Robert F Kennedy jr. Wrote like a feature magazine length article. I don't know if it was for the Atlantic or one of those magazines like that
[46:50.440 --> 46:51.720]  You know
[46:51.720 --> 46:57.680]  Back when there was that one ingredient in the I mean, you know that they were they thought we worried
[46:57.680 --> 47:01.480]  We worried about that obvious with you. Yeah. Well Jonas was around that age
[47:01.480 --> 47:05.160]  I mean it was at the height of it. It was I think when Jonas was
[47:05.600 --> 47:10.080]  He just turned 11. So I think when Jonas was getting that's like his first year
[47:10.880 --> 47:12.880]  immunizations was
[47:12.920 --> 47:20.240]  But I think it was before that one paper in Britain had been debunked. Oh the Lancet article, right?
[47:20.240 --> 47:24.440]  I think it was before it was debunked. So it was definitely, you know, it was a thing
[47:24.440 --> 47:29.560]  I don't know. We were a little you know, I I didn't really put credence into it. But I you know, I was
[47:29.560 --> 47:34.160]  It was I just remember it being a thing. We talked about it. Mm-hmm
[47:34.160 --> 47:38.200]  We asked we asked a lot of questions for sure and they you know
[47:38.200 --> 47:42.040]  They were very sober about it and actually like oddly patient like you have to be with a new parent
[47:42.280 --> 47:44.880]  Because you know, we pretty much knew we were just gonna have the one kid
[47:44.880 --> 47:47.640]  it's like we don't get a lot of shots at this so to speak and
[47:48.400 --> 47:52.200]  We it was important to us to know that kind of stuff
[47:52.200 --> 47:57.800]  I don't feel dumb for asking those questions because they were very they were the doctor was very straightforward about it
[47:57.800 --> 48:03.640]  It's the same thing that hmm a lot of sensible people understand which is like there's risks to everything in life
[48:03.640 --> 48:06.400]  but what we can tell you is the risks associated with
[48:07.400 --> 48:12.920]  Vaccination are nothing compared with the very demonstrable risks of not vaccinating
[48:13.160 --> 48:19.240]  Yeah as an individual I think there's a risk analysis or cost-benefit. It's it's it's not even it's not even a comparison
[48:19.240 --> 48:21.240]  All right, and then I and I you know
[48:22.000 --> 48:26.680]  Especially when it comes to your kid, I think it's it's almost human instinct at least in our modern world
[48:26.680 --> 48:33.280]  we're where we're very as parents were very selfish about our children that we want will do anything for our kids and
[48:35.240 --> 48:39.340]  You know if you could prove that your kid might be better off without
[48:39.680 --> 48:46.980]  As an individual would be better off without immunizations versus the whole civic responsibility the herd, you know, the herd meant the herd
[48:47.960 --> 48:49.960]  advantage of getting everybody
[48:49.960 --> 48:56.960]  immunized I can see it and I think that's the basic thinking that's going on behind the people who chose not to immunize their children that
[48:56.960 --> 49:04.040]  They're they value, you know that they believe some kind of bad thing can happen from the immunization right and regardless of what it means
[49:04.040 --> 49:09.520]  But that's a sticky idea. That's a very durable idea whether or not it's true or accurate
[49:09.520 --> 49:13.840]  I can certainly understand why it's something that that I mean, I don't agree with it
[49:13.840 --> 49:16.680]  But I get why that's something that people feel is a big risk
[49:16.680 --> 49:21.120]  You know, but think about this. I mean, this is something where I think we all have
[49:21.120 --> 49:25.720]  I feel like I have a lot in common with other people which is you know, I've grown so
[49:26.520 --> 49:33.000]  I'm skeptical so cynical about all the turns out announcements about what's dangerous and and you know, there's been numerous
[49:33.320 --> 49:39.260]  You know articles over the years talking about the crazy history of stuff like the the food pyramid, right?
[49:39.260 --> 49:42.260]  The USDA's food pyramid, you know USDA. So what it is
[49:42.260 --> 49:44.320]  What's the one that puts out the food pyramid like in the 70s?
[49:44.320 --> 49:48.080]  we'd like make sure you have tons and tons of bread and you know what I mean, and
[49:49.040 --> 49:53.840]  But it was so USDA you I but it was very much apparently very much formed by these different
[49:54.280 --> 50:00.280]  Industries not to be like a nut or something, but your body was never meant to handle this much corn my god
[50:00.480 --> 50:05.920]  No one's supposed to jam this much corn into their hole. It's nuts. And then what happens if we go fats the enemy
[50:05.920 --> 50:09.700]  Okay, so quit eating eggs. All right, so now fast the enemy. So let's have snack wells
[50:09.700 --> 50:13.240]  So everyone sits around and eats fat-free brownies with three cups of sugar in it. Oh, wait a minute
[50:13.240 --> 50:18.480]  No, it turns out sugar is actually the enemy and so forth. Look no further back that in the last decade
[50:18.480 --> 50:20.480]  Look at fucking water bottles
[50:21.440 --> 50:26.440]  Do you follow this at all? No, what used to be you're like, oh you're killing the environment with all these cups
[50:26.440 --> 50:30.040]  So for God's sakes go out and buy a Nalgene bottle and you had to have a Nalgene bottle
[50:30.040 --> 50:35.960]  Where's your Nalgene bottle those stupid plastic bottles? Oh, no, guess what turns out phthalates. Oh my gosh
[50:35.960 --> 50:37.640]  You're gonna die because you're doing the right thing
[50:37.640 --> 50:42.080]  so now you should go and buy this kind of and now people are saying maybe those aluminum ones that we used to replace the
[50:42.080 --> 50:46.440]  Nalgene bottles are bad. You know, and the trouble is it doesn't it kind of doesn't matter
[50:46.440 --> 50:52.840]  What is actually true accurate accurate or known what matters is we are scared to hurt ourselves and our kids
[50:52.840 --> 50:57.680]  And we're always gonna try and have the most recent information that we can find about what we should do about it
[50:57.680 --> 51:00.880]  I mean, you're not even supposed to put plastic in the microwave anymore
[51:00.880 --> 51:02.720]  Like what do you put in the microwave, you know?
[51:02.720 --> 51:05.720]  Like I throw the goddamn thing out if you can't put plastic in it, it's useless
[51:06.280 --> 51:10.480]  Who who does I'm not gonna make a bowl to warm something up. I'm not a fucking monster. I
[51:10.480 --> 51:11.720]  I
[51:11.720 --> 51:14.880]  Remember coaching Little League a couple years ago
[51:14.880 --> 51:20.520]  I do I am familiar with the whole water bottle thing now and it had something to do with I think was phthalates
[51:20.520 --> 51:23.600]  I don't know. I know baby remember baby bottles and phthalates. I
[51:24.360 --> 51:30.120]  It's like it made me feel like time-traveling dad from the 1950s
[51:30.120 --> 51:35.700]  You know, like I'm just trying to make sure none of these kids get hit in the mouth with a baseball, right?
[51:35.700 --> 51:40.780]  The number one, I don't want anybody getting hit in the head with a baseball. It's a constant fear
[51:40.780 --> 51:46.780]  You've got 12 kids and at some point at least two of the 12 invariably are not paying attention to the game
[51:46.780 --> 51:51.020]  And therefore are at risk of getting hit in the head with a baseball which is bad
[51:51.340 --> 51:54.020]  So it's you know, every don't agree. We can all agree on that
[51:54.180 --> 51:56.180]  Every game is two hours of non-stop
[51:57.260 --> 52:02.780]  95% of my attention is don't let any of these kids get hit by a baseball and then 5% of my attention is let's you
[52:02.780 --> 52:07.000]  Know try to score some runs and get some outs and maybe win the game and in the meantime
[52:07.000 --> 52:10.820]  There's this whole thing with the other all the other. I'm not just moms either
[52:10.820 --> 52:14.560]  It's moms and dads and they're all talking about like oh you got to get rid of that bottle that bottles
[52:14.560 --> 52:19.900]  You can't drink out of that. Everybody's an expert and I'm just like just give the kids some damn water
[52:19.900 --> 52:25.140]  I don't know when I was a kid. We just we just said we'd finish each game with like 50 of those little
[52:25.140 --> 52:31.180]  Kind of like little juice boxes or oh sure the paper like the water cups. Yeah, the conical paper cup
[52:31.180 --> 52:33.680]  You just leave them on the field. Let the Indian clean them up
[52:34.820 --> 52:36.820]  You didn't even have to clean them up
[52:37.620 --> 52:40.300]  Yeah, totally totally and I mean, you know
[52:40.300 --> 52:45.360]  It is funny given like how you and I already come from kind of a pampered generation in so many ways
[52:45.900 --> 52:49.700]  We're probably the last generation that has a chance of doing better than our parents in life
[52:50.060 --> 52:51.180]  but
[52:51.180 --> 52:53.180]  for a while anyway, but you know, I
[52:53.180 --> 52:56.500]  I mentioned this a lot but like some of my I'm not okay guys
[52:56.500 --> 53:02.420]  I'm not advocating for this but I have such I wrote a thing about this one time just having this memory of our
[53:02.780 --> 53:04.100]  old green Pontiac
[53:04.100 --> 53:09.800]  My dad driving around smoking a butt with the windows down and me like standing on the seat
[53:09.980 --> 53:13.500]  Like or you can just stick your head out the window. You just do all this crazy stuff seat belts
[53:13.500 --> 53:18.620]  You've got to be kidding me. Do we even have seat belts, you know, and now today my daughter doesn't do anything without a helmet
[53:18.620 --> 53:21.420]  I mean that's that's on me like I want to protect her head
[53:21.420 --> 53:27.300]  But it is it is pretty it is pretty wild how many people manage to survive that now at the same time
[53:27.300 --> 53:29.300]  I was trying to explain
[53:29.380 --> 53:33.560]  To the best of my amateur ability how the what the world population is and how it works
[53:33.560 --> 53:35.660]  I was saying to my kid like, okay
[53:35.660 --> 53:40.700]  I think there's like what coming up on seven billion people something like that. I was like, can you guess why that keeps going up and
[53:41.420 --> 53:45.300]  My hints were well, you know, one of them is when mommy's and daddy's get together. What happens?
[53:45.300 --> 53:46.700]  She's well, they have their babies
[53:46.700 --> 53:47.140]  I don't like yeah
[53:47.140 --> 53:51.820]  and when those babies grow up and they become mommy's and daddy's what happens and they have like three kids and now she's like
[53:51.820 --> 53:54.920]  Oh, I said more kids and I was like, but the other thing is like then
[53:55.460 --> 54:02.260]  To our credit. I think people die of less completely preventable random shit than when I was a kid. I
[54:02.940 --> 54:08.780]  I've got to stipulate thank God for seat belts. They've made the road safer. The cars are safer. It's all safer
[54:09.060 --> 54:12.260]  Everybody knew somebody that had died in a car accident when I was a kid
[54:12.260 --> 54:18.380]  It was just the thing it was the cancer and car accidents killed and lung disease like killed everybody when I was a kid and they're
[54:18.380 --> 54:20.380]  All at least partially preventable
[54:21.060 --> 54:26.740]  Right a huge to a huge swath of car accidents are preventable. Well in addition to seat belts. There's the whole
[54:27.580 --> 54:32.700]  Have you seen the footage you had to that the difference in the crumple zones of like an old car in a new car?
[54:33.180 --> 54:35.180]  It's it's almost farcical
[54:35.180 --> 54:43.180]  Uh, yeah, oh man those driver's ed movies. I still think about him. I've never unbuckled a dead man. My
[54:43.460 --> 54:47.220]  Mom, my mom took our Pontiac to I don't even think she took to the dealership
[54:47.220 --> 54:49.820]  She took it to a mechanic and said look we bought this
[54:50.100 --> 54:53.420]  $8,000 car and it beeps when we sit in it if we don't put on the seat belt
[54:53.420 --> 54:57.100]  Can you turn that off and he said yes, I will turn that off for you. All right, I
[54:57.700 --> 54:59.700]  Or you just leave it so you leave it like
[55:00.260 --> 55:01.420]  Fastened all the time
[55:01.420 --> 55:05.940]  My sister and I were not allowed to use the seat belts because we would mess them up
[55:07.900 --> 55:12.580]  Like as you know, I mean like they wouldn't retract right anymore or that, you know, you get them twisted around
[55:12.580 --> 55:15.000]  It used to be pretty basic the way that it would retract
[55:15.340 --> 55:19.740]  Yeah, you could like get it off the runner like off the spool and it wouldn't go back in right?
[55:19.740 --> 55:20.260]  All right
[55:20.260 --> 55:27.000]  so at some point one of us had gotten one of the ones in the backseat twisted in the you know that the actual belt was
[55:27.000 --> 55:33.660]  Twisted in the what would you call that little cartridge kind of thing? Yeah the cartridge that would slide to make exactly what you mean
[55:33.660 --> 55:38.300]  They were really primitive. They didn't snap into place very well, and it was very easy when feeding it back
[55:38.300 --> 55:43.380]  It would be like a like a like a roller blind getting slightly off track at the beginning
[55:43.380 --> 55:44.580]  They being way off track by the day
[55:44.580 --> 55:48.600]  Yeah, it's a lot the only thing that's similar to it anymore are airplane seat belts
[55:48.620 --> 55:52.620]  But it was a lot of the buckling connection was a lot more primitive
[55:52.620 --> 55:54.740]  But the way that you could slide it on the belt
[55:54.740 --> 55:58.780]  Well, we'd gotten it twisted up and it took my mom a long time to unfix it
[55:58.780 --> 56:01.140]  And so from then on we weren't allowed to use seat belts
[56:02.060 --> 56:04.060]  Just let him go
[56:05.940 --> 56:11.060]  Took her 15 minutes to get him untangled. So then that was it no more seat belts. What do you um,
[56:11.540 --> 56:14.740]  What do you think's gonna happen with the vaccine stuff? Do you think it'll take a generation?
[56:15.700 --> 56:19.740]  Or does it take event generation or does it take a measles 9-11 like?
[56:19.740 --> 56:24.220]  What what do you think will change and how in the next however many end years?
[56:24.220 --> 56:27.620]  I've been thinking about I don't think I don't think there's any way to go back on it
[56:27.620 --> 56:33.300]  And and you know it part of it is what we were saying a couple minutes ago where you can't you come at them
