[00:00.000 --> 00:02.680]  How's your week? Oh my god. Oh
[25:41.960 --> 25:46.080]  Can know what what's happening? They can know what they have by looking at it
[25:46.080 --> 25:47.280]  They can see they can tell okay
[25:47.280 --> 25:51.680]  I have this file and they can be kind of assured of that and they can depend on that, you know
[25:51.680 --> 25:56.080]  but it's it's hard this and this is why podcast apps are so challenging to make I think because
[25:56.840 --> 26:01.520]  It's one of those categories like to-do lists where like it seems simple at first and then you start getting
[26:02.200 --> 26:04.200]  Requests from people and you start realizing wait a minute
[26:04.280 --> 26:07.480]  There is not only is there no way to satisfy all of them
[26:07.480 --> 26:11.800]  No, like any change you make is going to satisfy this group, but anger this other group
[26:12.520 --> 26:15.740]  but also that the problem space is so
[26:15.740 --> 26:22.260]  Complicated of what somebody might want and exactly how they might want it that there is infinite potential
[26:22.700 --> 26:27.640]  For improvement for every person. No one is ever a hundred percent satisfied with their podcast app
[26:28.680 --> 26:32.900]  everyone's always like 60% satisfied and I'm you know, so I made one that
[26:33.740 --> 26:37.060]  Satisfies my 60% I'm very happy with it
[26:38.180 --> 26:42.800]  But it's it's never gonna appeal to everyone and it's not even close
[26:42.800 --> 26:49.220]  I think that's another it's one of the broad areas where I see it is similar to Vesper in that there's a ton of
[26:49.780 --> 26:54.460]  Notes apps and right looting one that ships with the system from Apple
[26:55.980 --> 27:01.740]  That's not horrible, you know and and it is there it's you know, it's it's at least you know
[27:01.740 --> 27:05.220]  One of the things I like about it though is at least you see where Apple's coming from with it
[27:05.220 --> 27:09.300]  So you don't have to worry like it's more worrisome if Apple doesn't have an app in your category
[27:09.300 --> 27:15.380]  Right, like it was you're always wondering like either why isn't there an app in my category?
[27:15.380 --> 27:17.380]  does my category suck that badly or
[27:18.020 --> 27:21.740]  What will happen if they make one right like then they'll crush us all, you know
[27:21.740 --> 27:23.780]  And even if it ends up not being crushing
[27:23.780 --> 27:25.100]  It's it's stressful
[27:25.100 --> 27:30.320]  Like you must have gone through that with the reading list because you start hearing about it before it comes out
[27:30.540 --> 27:32.580]  Then they announce it and then you have to worry
[27:32.580 --> 27:36.540]  Well, how popular is it going to be it's coming out in three months when the beta is over
[27:37.220 --> 27:38.740]  and
[27:38.740 --> 27:42.780]  It's stressful. I mean I you know, it's better to know that wow
[27:42.780 --> 27:45.380]  Here's Apple's podcast app and here's all the reasons
[27:45.380 --> 27:50.860]  I don't like it and I know that there's a lot of other people who don't like it and they're probably not going to
[27:51.660 --> 27:54.060]  Wipe it out and start over. I don't think
[27:54.700 --> 27:59.980]  Well, and and you know, there are things about Apple's podcast app that are the way they are
[28:00.700 --> 28:06.380]  Because that's how Apple does things or because there's a strategy tax in place. Like there's there's a certain amount of
[28:06.380 --> 28:08.380]  Of
[28:08.660 --> 28:14.300]  Cludginess in the app that is entirely because it has to use the iTunes podcast directory
[28:14.300 --> 28:17.780]  well, and it has to be tied so so firmly to that and
[28:19.220 --> 28:24.300]  So like they can't do anything that that like breaks that it has to cater to a casual
[28:24.300 --> 28:28.340]  I don't even I don't even know what a podcast is yet person in certain arrays
[28:28.340 --> 28:34.140]  And it also it has to it has to cater to every territory in the world every language in the world
[28:34.140 --> 28:37.220]  every genre of podcasts in the world and
[28:38.860 --> 28:42.700]  It and like, you know think about like whenever the podcast app team
[28:43.220 --> 28:47.780]  Wants to get something changed or improved about the API to the store
[28:48.060 --> 28:49.980]  How likely is that to really happen?
[28:49.980 --> 28:54.420]  You know like inside Apple, you know that the iTunes store team has enough to do
[28:54.420 --> 28:59.540]  Do you think if the podcast team if the podcast app on iOS team makes a request?
[28:59.540 --> 29:05.900]  How higher priority is that really to the to the iTunes store team? That's that's all this other stuff to do with
[29:05.900 --> 29:09.940]  You know the more high-profile things like the App Store and the music store, you know, and so
[29:10.940 --> 29:16.700]  The Apple podcast app is always gonna be limited by that plus it's limited by Apple's like 80% strategy
[29:16.700 --> 29:18.900]  Yeah, you know where they they're they're never going to do
[29:19.580 --> 29:21.580]  features that are as
[29:21.580 --> 29:27.700]  nerdy as like my playlists like the way I do playlists is so crazy with all that these filters and everything and it's it's
[29:27.700 --> 29:33.460]  It's a playlist system for nerds and Apple's never gonna do one like that because that's not the way to do things
[29:33.460 --> 29:36.020]  Yeah, I don't think so either. And in fact, it might even
[29:37.540 --> 29:42.740]  Might even be problematic for them in the way that their podcast app for iOS
[29:43.780 --> 29:45.460]  is
[29:45.460 --> 29:47.460]  Has like this weird
[29:47.580 --> 29:54.860]  Relationship with iTunes on Mac and Windows which is where you let you know Apple's solution for how you listen to podcasts on your Mac
[29:54.860 --> 30:00.260]  Or PC where playlist has a very different word. I mean, maybe they could just add I
[30:00.820 --> 30:04.820]  Guess they could maybe piggyback on playlists that include audio file, you know
[30:04.820 --> 30:10.780]  Regular audio files from your library or whatever, but that just turns it into more of a mess in my mind, right?
[30:10.780 --> 30:14.480]  And well, that's why like when the Apple put the Apple podcast I've added something
[30:14.480 --> 30:17.260]  I believe they call it channels, which is basically a smart playlist
[30:17.260 --> 30:21.700]  It's you can just select like select which feeds go into this and that's your playlist
[30:21.700 --> 30:25.940]  And they added that to the podcast app and I think the reason they had to call it channels
[30:25.940 --> 30:30.060]  Yeah, that's probably mean something else in the in iTunes land. I I never thought about that
[30:30.060 --> 30:34.420]  I was always confused as hell by their channels. I thought their channels were a little bit more like
[30:35.220 --> 30:41.340]  Categories in the store and and I think that's why I found it so confusing is that they're not really categories in the store
[30:41.340 --> 30:47.460]  They are probably more like it would have made more sense to me if they call them channels and then in parentheses playlists, right?
[30:47.460 --> 30:51.060]  Yeah smart playlist. That's what they are. They're smart playlists for podcasts
[30:51.060 --> 30:54.580]  It's has there ever been anything in the history of technology
[30:55.460 --> 30:57.380]  after the television
[30:57.380 --> 31:02.540]  Where the word channels was used for something that ended up being a success. That's an excellent question
[31:03.100 --> 31:09.140]  Because it's been used in a bunch of like half-assed terrible things like the windows 98 channels bar on active desktop
[31:09.140 --> 31:15.180]  Yeah, anybody who's listening to the show actually remembers that you don't you were a Mac person. You probably saw it. No, no, it was very lucky
[31:15.180 --> 31:23.020]  Imagine imagine Microsoft at its worst at a time when when PC hardware was at its worst
[31:23.860 --> 31:25.340]  where
[31:25.340 --> 31:27.340]  The software was trying to do way too much
[31:27.700 --> 31:32.900]  Web technologies were brand new and this is when Microsoft tried to integrate IE into the desktop
[31:32.940 --> 31:35.540]  so that the desktop was basically a giant web view on
[31:36.700 --> 31:41.820]  Hardware that was like a Pentium 90 with 16 megs of RAM like
[31:41.820 --> 31:48.220]  It was it was an awful time to be a PC user and and there are many awful times to be a PC user
[31:48.220 --> 31:54.500]  But I think like 1997 was a particularly awful one. That's pretty bad for being a Mac user, too
[31:55.020 --> 31:57.420]  Yeah at their point just a bad year for computers
[31:57.420 --> 32:03.500]  There's as Steve Jobs called it in the interview in the interview with cringey a dark ages of computing. Yeah, exactly
[32:04.100 --> 32:09.080]  Yeah, he was not that far off about that. Yeah, it was bad for everybody, you know next had like three developers
[32:09.080 --> 32:14.560]  Like a really cool system in like six apps and they were super expensive
[32:15.120 --> 32:17.280]  You know the the machines that could run it
[32:18.360 --> 32:23.520]  Maybe by 97, I guess they ran on PCs. It was net next step or open step
[32:24.400 --> 32:26.400]  But like no market whatsoever
[32:27.680 --> 32:35.440]  Macs were part of a company that was dying and had no no no real operating system. No modern operating system and
[32:35.440 --> 32:39.120]  And then Microsoft beyond Microsoft was so powerful
[32:40.240 --> 32:44.720]  Yeah, and they shipped Windows 98. They just gave in to all of their worst impulses
[32:45.240 --> 32:47.600]  So bad, it was so so bad
[32:48.480 --> 32:55.800]  and the internet was you know, the internet was so new in 97 that everyone was like the most used application on your computer started to
[32:55.800 --> 33:01.120]  Become the web browser, but web browsers were so bad and the hardware was so primitive and there was no RAM
[33:01.120 --> 33:06.960]  So just 1997 just sounds like hard drives grinding as everything just swaps constantly
[33:06.960 --> 33:13.080]  That's that's the entire year of thing was just swapping for a year and waiting for dial-up. Yeah, exactly. That's it. Yep. Oh
[33:16.520 --> 33:19.760]  My god things that you just could not even imagine explaining
[33:20.360 --> 33:24.960]  To your kids today would be the dial-up dial-up is impossible
[33:24.960 --> 33:32.480]  You can explain slow internet but dial-up was so much worse than being slow because I remember being I can't remember when
[33:33.200 --> 33:39.360]  Eventually, I think we eventually Amy and I eventually broke down and bought a second phone line got a second number just for internet
[33:40.920 --> 33:46.000]  But I remember it just you know, and I understand this stuff and I was able to set up a thing
[33:46.000 --> 33:49.800]  I'm gonna I'm gonna draw a blank on the software, but it was by a
[33:49.800 --> 33:56.180]  Great indie Mac developer named Peter sichel. I'm gonna have to take a moment here and Google this and look him up
[33:56.640 --> 34:03.680]  But he had this great Mac utility that would let you share a dial-up with multiple Macs on your local network
[34:04.080 --> 34:09.600]  So Amy and I could both get on the internet at the same time and she could just she didn't have the modem hooked up
[34:09.600 --> 34:11.080]  The whole modem was hooked up to my machine
[34:11.080 --> 34:17.420]  But she could just get on the internet go check email and then you know, wait the 90 seconds for the whole thing
[34:17.420 --> 34:22.480]  But then she'd have internet, you know with just one modem shared between us and we could both be on at the same time
[34:22.960 --> 34:24.960]  Yeah, that was unheard of back then. Oh
[34:25.680 --> 34:27.680]  Game changer. It was awesome
[34:28.680 --> 34:34.600]  This is where I need I need the forum that you guys have the live audience because somebody would get a chair. I
[34:35.400 --> 34:40.880]  Don't know. This is pretty obscure even our chat. I'm not sure. Yeah, but I just feel like Peter sichel s I ch
[34:40.880 --> 34:43.640]  El sustainable softworks. Let me see what?
[34:43.640 --> 34:48.840]  I don't remember the name of it. But yeah, I'll give you I'll give a shout out to it
[34:48.840 --> 34:54.600]  He's still got his URL. Sust works as you st works calm. I
[34:55.440 --> 35:00.160]  Used to have to I we only had one phone line on my house and I was I was like in seventh grade in
[35:00.160 --> 35:01.840]  1997
[35:01.840 --> 35:04.520]  So I was a little bit different. I couldn't just buy another phone line
[35:05.040 --> 35:09.360]  we only had one phone line and my mom had a lot of friends who would call her all the time and
[35:09.360 --> 35:13.400]  And and so I was not allowed to disable call waiting
[35:15.600 --> 35:19.480]  I had to and it was an external modem. So anybody calls your house
[35:20.000 --> 35:20.520]  Yeah
[35:20.520 --> 35:25.640]  I had I had to listen I had to leave the you could you could figure the modem in its string to leave the speaker
[35:25.640 --> 35:31.600]  On all the time instead of turning off after it connects. So the whole time I was just sitting there listening to static like
[35:32.400 --> 35:37.640]  And then you could hear beep if a call waiting came in and I had to listen for that
[35:37.640 --> 35:40.960]  and if I heard a beep I had to flick the modem off so it would hang up immediately and
[35:41.440 --> 35:43.280]  Let the phone ring and pick it up and you know
[35:43.280 --> 35:46.240]  Then just not be on the internet for the next 20 minutes during this phone call
[35:47.720 --> 35:50.000]  I've got it here. It's IP net router
[35:50.120 --> 35:57.000]  It's a complete IP router and firewall solution including a built-in DHCP server NAT with inbound port mapping and IP
[35:57.240 --> 36:02.500]  Filtering to set up your own firewall. I think it costs like 40 bucks. May I may I what was it here?
[36:02.520 --> 36:07.520]  Here's a comment from so it was 89 bucks. It was a steal. It was 89 bucks
[36:07.520 --> 36:10.080]  And you you had superpowers
[36:10.760 --> 36:17.320]  But that's a pretty advanced functionality and like a pretty immense network stack for that time. Well, that was it was built on
[36:18.000 --> 36:20.200]  I'm going way out in the weeds here, but
[36:21.360 --> 36:24.000]  Mac OS 9 for as crazy
[36:25.240 --> 36:32.140]  Convoluted, you know a terrible bag of wires. It was in some areas under the hood had some amazing stuff
[36:32.140 --> 36:40.020]  I think was called open transport was the networking stack. So he didn't necessarily write the whole networking stack all the way to the bottom
[36:40.020 --> 36:43.580]  it was built on open transport, but his stuff was almost like
[36:45.260 --> 36:51.440]  Like the flagship of why open transport was great and why a lot of Mac developers were
[36:53.580 --> 36:58.880]  Beside themselves when Mac OS 10 went with the you know, the Unix
[36:58.880 --> 37:05.480]  Networking I forget that there was a whole controversy in that, you know, there were all these many
[37:05.480 --> 37:07.480]  There's thousands of these little mini converse
[37:08.040 --> 37:14.980]  Controversies between classic the which parts of the classic Mac OS would stay in which pad parts of next step would stay
[37:15.120 --> 37:17.120]  And that was one of them. I
[37:17.440 --> 37:21.340]  Kind of feel very lucky that I didn't even come to the Mac until
[37:22.160 --> 37:24.160]  10-4 in
[37:24.160 --> 37:30.240]  2004 and I bought an aluminum power book. So like I didn't come to the Mac until it was awesome
[37:30.240 --> 37:35.320]  Yeah, that's actually a good point because they're like it's like somebody coming to the iPhone with the 5s
[37:35.320 --> 37:39.960]  Yeah, you know, it's like you've missed this whole history of like a little bit of rough patches here and there
[37:39.960 --> 37:43.740]  Although the iPhone was way easier. I think than being a Mac owner in the 90s
[37:43.740 --> 37:43.960]  Yeah
[37:43.960 --> 37:46.200]  There were a couple of years in there
[37:46.560 --> 37:52.440]  Where it was and it really it was the early years of daring fireball exactly around 2002 2003
[37:52.440 --> 37:56.880]  That's when I started but maybe even count 2001 where?
[37:59.600 --> 38:04.680]  Mac OS 9 was half awesome and half terrible and Mac OS 10 was
[38:05.240 --> 38:11.400]  Half terrible and half awesome and you know, maybe those percentages were 60 40 40 60 and then they got 55th
[38:11.400 --> 38:17.160]  And they you know, they shifted over time, but it took years for Mac OS 10 to really be overwhelmingly
[38:17.160 --> 38:20.880]  Yeah, you know what? I just want to use it all all the time clearly
[38:20.880 --> 38:27.320]  And so it was you know switching I remember for a while. I had two machines at my desk. I had a I had a
[38:28.120 --> 38:33.160]  Forget what it was running Mac OS 10. I think it was a power book running Mac OS 10 and an old
[38:33.880 --> 38:40.480]  Really old power Mac running Mac OS 9 and the older machine running Mac OS 9 of course felt way faster
[38:40.480 --> 38:42.600]  Oh, yeah, cuz doing way less, right?
[38:43.160 --> 38:46.880]  Yeah, I mean and Microsoft to their credit like the 90s they had a similar
[38:46.880 --> 38:50.920]  Scale of transit. Well, not similar. They had a much easier transition
[38:50.920 --> 38:56.740]  but it was it was a still a pretty substantial transition between the Windows 95 98 ME kernel and the
[38:57.040 --> 39:00.800]  NT kernel that that powered 2000 and then XP and everything after XP
[39:01.240 --> 39:05.680]  and that like I was I was using it heavily during that transition and I was like
[39:05.680 --> 39:10.840]  I would be using the the beta of Windows 2000 and it was way more stable than Windows 98
[39:11.080 --> 39:14.520]  Yeah, even at even like the very first beta of it in like February
[39:14.520 --> 39:19.040]  1999 was way way more stable than Windows 98 and
[39:20.360 --> 39:21.120]  But you know
[39:21.120 --> 39:25.560]  It was easier back then to go through that transition because Microsoft stuff was always mediocre
[39:25.560 --> 39:29.120]  Like it was to give that, you know to their credit they were consistent
[39:29.480 --> 39:31.200]  You know, whereas Apple it sounded, you know
[39:31.200 --> 39:36.520]  Sounds like they would have some some amazing times then some terrible times whereas Microsoft was always impressively mediocre
[39:36.520 --> 39:41.260]  It was like you could count on the mediocrity. It was the you know, it was the Starbucks and McDonald's of computer
[39:41.260 --> 39:44.980]  operating systems and I would argue probably still is and
[39:46.060 --> 39:49.080]  That's actually kind of valuable for a lot of people to know what you're gonna get
[39:49.080 --> 39:54.640]  You know, it's it's dependable and and the transition, you know from 98 to 2000
[39:55.220 --> 39:56.460]  was
[39:56.460 --> 39:58.460]  Not that bad
[39:58.500 --> 40:01.220]  Unless you had to scan or print anything and there were no drivers
[40:01.220 --> 40:06.660]  But besides that if you as long as you didn't have to scan or print it was actually a really easy transition
[40:06.660 --> 40:07.020]  Yeah
[40:07.020 --> 40:10.740]  I think that was the basic idea of why they didn't go to NT even earlier because I even
[40:10.740 --> 40:15.900]  I actually had to use Windows in some ways like in college when I had jobs and stuff where you know
[40:15.900 --> 40:17.900]  That's what people use
[40:18.300 --> 40:20.580]  And I remember the first time I saw Windows NT
[40:20.580 --> 40:25.620]  I don't even know what the version number was, but it was before 2000, but it was probably like NT for
[40:26.460 --> 40:31.380]  Or three, I think because they numbered it. Yeah, because they numbered it to match Windows 3
[40:31.460 --> 40:35.980]  Yeah, NT for I believe it was NT for 2000. It was that NT 5 and it doesn't matter
[40:35.980 --> 40:40.860]  Uh, and I remember asking like the the guys who knew a lot more, you know, we're into the PC side
[40:40.860 --> 40:45.660]  I was like, why isn't everybody using this? This is actually like, you know, it's not five. It's still uh, yeah
[40:45.660 --> 40:52.420]  That was it. That was it NT 5 was 2000. Well NT 4 was the one that that looked like Windows 95
[40:52.420 --> 40:54.020]  Yeah, it was NT for that
[40:54.020 --> 40:58.060]  I that I had seen and used I had some experience with and I was like this is you know
[40:58.060 --> 41:01.660]  I still think it's kind of gross design wise but technically this is so far superior
[41:01.660 --> 41:05.220]  Why isn't everybody using this and then they were like duh, there's no drivers for it
[41:05.220 --> 41:09.880]  I was like, well, I was like what don't you say there's an easy way to solve this shouldn't everybody just
[41:10.620 --> 41:15.980]  Switch to this and then everybody will write drivers for it. It did. I mean transitions are hard
[41:15.980 --> 41:19.740]  I know it's not but it just seemed crazy to me that they were in active development for so many years
[41:19.860 --> 41:23.660]  Well that and the PC world is I mean, I don't know it's probably better now
[41:23.660 --> 41:25.980]  I'm actually not sure I've been out of it too long, but
[41:26.780 --> 41:30.120]  You actually couldn't count on new drivers for almost anything like if you upgraded
[41:30.120 --> 41:37.640]  Your version of Windows you would probably almost certainly you'd have to get a new scanner at least like some of your hardware would just stop
[41:37.640 --> 41:41.160]  working reliably or at all because then because they wouldn't put out a new driver or
[41:41.280 --> 41:45.240]  They would put out a new beta driver and then go out of business or something
[41:46.080 --> 41:49.400]  It would and like scanners were scanners and printers were some of the worst
[41:50.080 --> 41:52.080]  and then like it like the more
[41:52.520 --> 41:58.440]  Specialized your hardware peripherals were the worst they would be so like like I had like I had a couple of game pads
[41:58.440 --> 42:04.320]  so I wanted to like play emulators and so I bought these game pads and they were always the absolute worst and
[42:04.920 --> 42:08.960]  So you could almost be sure that any any hardware or any time you upgraded your Windows OS
[42:09.680 --> 42:17.080]  You'd have to also spend maybe 200 bucks upgrading some of your hardware because just just because of driver issues
[42:17.080 --> 42:23.720]  You'd have to replace perfectly working hardware just because there wouldn't be drivers anymore or they wouldn't be workable drivers anymore crazy
[42:23.720 --> 42:30.760]  Dark days and and that's one of the reasons why Microsoft had to jump through hoops for backwards compatibility all that crap because that was the
[42:30.760 --> 42:33.160]  World they were operating in that was like the hardware environment
[42:33.160 --> 42:36.000]  They were operating in where they they couldn't just dictate to people
[42:36.000 --> 42:39.880]  You know what everyone's now using this so you have to catch up, you know the way Apple does that today?
[42:40.480 --> 42:44.640]  Microsoft could not do that in in the 90s and I I don't even know if they can do it today
[42:44.640 --> 42:46.640]  They probably still can't do it
[42:46.760 --> 42:51.600]  alright, let me jump in here in the early minutes of the show with our first sponsor break and
[42:51.600 --> 42:54.920]  Remind everybody about our good friends at
[42:56.400 --> 42:59.840]  Connected data makers of file transporter
[43:00.480 --> 43:05.320]  Right. I use this analogy every time I talk about these guys. It's like your own private Dropbox
[43:06.040 --> 43:10.720]  You buy a device or you buy multiple devices. They come to your house
[43:10.760 --> 43:15.520]  They have hard drives in them or you hook hard drives up to them. You put them on your local network
[43:15.520 --> 43:18.040]  They're right there in your house in your office
[43:18.040 --> 43:21.320]  wherever you want them to be but they're in your control and
[43:22.040 --> 43:28.040]  Then you install the software on your Mac and you get a little folder on your Mac like Dropbox and it sinks and where?
[43:28.040 --> 43:29.440]  Are those files in the folder?
[43:29.440 --> 43:35.120]  They are stored on your transporter device and you can share between multiple people
[43:35.280 --> 43:39.680]  You can share between multiple devices multiple places. You can hook more than one of them up
[43:40.800 --> 43:43.160]  but the basic idea is you have
[43:44.160 --> 43:46.680]  sync between computers through the cloud
[43:46.680 --> 43:53.960]  But not stored on servers in the cloud. They're stored on devices that you own and control
[43:54.120 --> 43:58.640]  Maybe that's just for your own peace of mind because you're interested in the privacy implications of that
[43:59.200 --> 44:03.280]  Maybe it's because you have legal reasons that you actually can't store things on
[44:04.000 --> 44:05.920]  Devices that you don't control
[44:05.920 --> 44:10.200]  For HIPAA or things like that. They have an iOS app and this is new fairly new
[44:11.000 --> 44:15.400]  iOS app for the iPhone and iPads been updated that has a pretty cool feature where it does things like
[44:15.400 --> 44:20.480]  Upload all your photos and videos from your camera roll right to a special folder on
[44:21.080 --> 44:28.040]  Transporter for safekeeping so you want to again if that's one of your things you really want to do is have a cloud-based
[44:29.720 --> 44:31.720]  Effectively cloud-based
[44:31.760 --> 44:38.040]  Backup automatically of your photos so that if something happens to your phone, you know, you've got them automatically somewhere else
[44:38.720 --> 44:43.200]  But you don't want that somewhere else to be a server in
[44:43.200 --> 44:50.540]  California or who knows where controlled by some big corporation that might have the NSA tapping it or whatever
[44:51.600 --> 44:53.640]  Transporter can do that for you really cool
[44:54.280 --> 44:59.160]  Great stuff. If any of that appeals you go check them out where you go is you go to
[45:00.240 --> 45:02.240]  www.file transporter
[45:02.440 --> 45:04.440]  store calm
[45:04.680 --> 45:09.320]  File transporter store calm and they have two deals for listeners
[45:09.320 --> 45:16.280]  You want to save 10% you can save up to 35 bucks on any of the regular transporter models by using the code
[45:16.960 --> 45:19.880]  TTS 10 the talk show 10
[45:20.480 --> 45:27.800]  TTS 10 they have 500 gigabyte 1 terabyte 2 pair of terabyte capacities save 10% big bucks
[45:28.160 --> 45:33.220]  Or if you want to buy the little thing the little thing that's like the puck is the transporter sync
[45:34.040 --> 45:38.480]  Same functionality, but what you do with this one instead of having a hard drive built into it
[45:38.480 --> 45:40.160]  You just hook any
[45:40.160 --> 45:41.320]  USB drive up to it
[45:41.320 --> 45:44.380]  So if you already have a big USB drive or a couple of them sitting around
[45:44.720 --> 45:49.400]  You can get a cheaper device smaller device and just hook your own drive up to it
[45:49.400 --> 45:55.200]  You can save 20 bucks on one of those by using the code TTS
[45:56.000 --> 46:00.160]  20 so TTS 20 if you want to get the little sync
[46:00.600 --> 46:04.120]  TTS 10 if you want to get the the big regular transporter and
[46:04.120 --> 46:10.840]  Anybody who uses either of those codes gets free shipping. So go check them out at file transporter store dot-com
[46:12.040 --> 46:17.580]  So what are we talking about? We were talking about overcast before before the detour into old windows of Mac
[46:17.580 --> 46:22.360]  Yeah is horrible days of the late 90s of using computers. God. I don't know how that happened. That was terrible
[46:22.600 --> 46:25.440]  All right, that was up. The entire computer industry was in middle school
[46:26.280 --> 46:31.680]  Middle school always sucks for everybody and it sucks for the computer industry. And that was it. That's a pretty good analogy
[46:31.680 --> 46:34.880]  It really was and you're the worst of your personality comes out
[46:36.600 --> 46:39.080]  Right Apple Apple went pie in the sky
[46:40.080 --> 46:44.120]  You know off smoke and pot thinking they were gonna write a universal
[46:44.120 --> 46:47.420]  I just linked that up today the intelligent thing with IBM
[46:47.720 --> 46:55.120]  Like I Apple had had was writing multiple operating systems that never actually came to exist, you know, and there was Copeland
[46:56.960 --> 47:00.700]  And they did the whole Newton thing which wasn't a failure wasn't a bus
[47:00.700 --> 47:03.120]  but obviously, you know wasn't a hit and therefore didn't
[47:03.960 --> 47:08.540]  You know, they took their eyes off the ball and left the thing that was actually keeping the company around
[47:09.120 --> 47:11.120]  they let it languish and
[47:11.140 --> 47:16.640]  Then Microsoft man, it's just it really got they got bad. But anyway, that's enough of that
[47:16.640 --> 47:21.820]  I do think it's amusing that that like the biggest Apple news this week is probably the IBM thing and
[47:22.220 --> 47:29.520]  You choose to have me on I am probably the least qualified person in the world to comment on that in any fashion whatsoever
[47:29.520 --> 47:31.520]  Well, maybe next to me
[47:31.640 --> 47:34.480]  Let's get well, let's save it. Let's go. Let's do news at the end of the week
[47:34.480 --> 47:37.800]  That wasn't keep going on overcast. I had a couple more programming questions
[47:37.800 --> 47:38.640]  So yeah
[47:38.640 --> 47:43.240]  Brent wanted me to ask this when I told him you were gonna be on the show he wanted to know how hard the audio
[47:43.440 --> 47:47.060]  Programming was because he said it sounds like it would be hard
[47:47.060 --> 47:50.560]  it sounds like it would be hard for him and knowing just some of the
[47:51.040 --> 47:55.160]  Trickery that you're implementing that it's even harder
[47:55.160 --> 48:01.560]  So that's that's a question. How hard was audio programming and you had no background in audio programming before you got into this, correct?
[48:01.640 --> 48:03.640]  Well, it's not entirely true
[48:03.640 --> 48:10.480]  I I did a project in college where I was I was trying to make a better lossless compression algorithm like flack
[48:10.480 --> 48:12.480]  And you know those those kind of losses ones
[48:13.380 --> 48:17.080]  My project in college failed because the compression on that I wrote
[48:17.640 --> 48:22.840]  Took like 10 hours to compress one file and the resulting file was actually larger than the input file
[48:22.840 --> 48:24.840]  So
[48:25.160 --> 48:32.960]  It was not a success my idea for for how I could lossily compress them was not a good idea turns out I
[48:34.800 --> 48:40.280]  Remember when I was in college and I was taking computer science courses, this is mid 90s. I
[48:41.360 --> 48:43.840]  Was you know 91 to 96?
[48:44.440 --> 48:49.960]  Everybody was writing ray tracers ray tracers were like maybe there's still a common thing
[48:49.960 --> 48:56.280]  But man, and I was nowhere near good enough to even try but I remember that there are some some kids
[48:56.280 --> 49:02.120]  I knew who wrote one and they they were getting like like one frame a day. I mean, this is just
[49:03.440 --> 49:09.200]  Unbelievably slow and it just had no idea how to improve it and just like despondent
[49:09.880 --> 49:14.180]  It was like we it's so slow that we can't even figure out why it's slow
[49:14.880 --> 49:17.140]  Well when I was writing this thing in 2003
[49:17.140 --> 49:19.140]  About
[49:19.140 --> 49:24.940]  The same number of people cared then as now about lossless audio encoding which was about five and
[49:25.940 --> 49:29.420]  I don't even use like I'm an audio file. I
[49:30.100 --> 49:35.360]  Love high quality audio. I have all sorts of ridiculous equipment to listen to high quality audio
[49:36.020 --> 49:38.020]  But I don't even use lossless audio files
[49:38.140 --> 49:42.420]  like even even that doesn't even make sense for me to have those giant files sitting there when like a
[49:43.060 --> 49:46.740]  256 K mp3 well encoded sounds just as good to me. I can't tell the difference
[49:46.740 --> 49:49.260]  Yeah, so it was it was a ridiculous background anyway
[49:51.060 --> 49:57.460]  Compression in general compression in general though is hard whether it's lossy or lossless because you're still focused on quality
[49:57.460 --> 50:02.780]  I mean, you know, even if you're writing lossy compression, you know JPEG or something like that
[50:02.780 --> 50:05.500]  You still you don't it's not it's not like you can disregard
[50:06.060 --> 50:07.340]  quality
[50:07.340 --> 50:13.500]  Right, and it's just mathematically. It's just it's really mind-bending. I mean that to me at least. Oh, yeah
[50:13.500 --> 50:19.980]  I mean like the once you get past very elementary forms of compression the met. It's all math and it's all like very
[50:20.940 --> 50:28.260]  Complicated difficult to understand math that is far beyond my comprehension most of the time or like I might understand the general concept
[50:28.260 --> 50:31.020]  But I certainly couldn't implement it or do it myself, right?
[50:31.020 --> 50:37.100]  There's like a one a one level deep of compression that anybody can understand and it's like well if there's like what zip does
[50:37.100 --> 50:40.780]  yeah, if there's if there's 16 ones in a row you could just
[50:40.780 --> 50:47.020]  Write it down as six, you know say that there's 16 ones and that takes fewer space than there's 16 actual ones
[50:47.020 --> 50:49.860]  Oh, yeah. Well, guess what? That doesn't get you very far
[50:50.380 --> 50:55.740]  Yeah, exactly. That's that's called RLE and that was in Windows 3.1. You know 15 20 years ago
[50:56.460 --> 51:00.600]  There's these very obvious repeated patterns. That's how gif works actually
[51:00.600 --> 51:05.860]  Yeah, but that's gift as well. That's why gif has such wonderful compression that Twitter
[51:05.860 --> 51:12.760]  Re implemented. This is the movie files right before living exactly see the cat pictures. I
[51:14.440 --> 51:17.980]  Saw people because that's I don't know if anybody doesn't know that the Twitter
[51:18.500 --> 51:23.220]  Added quote unquote added support for animated gifs a couple of weeks ago
[51:23.220 --> 51:26.880]  And then somebody figured out that they're not actually animated gifs. They're sending out
[51:27.820 --> 51:33.220]  It's 264 video and then I saw people who were upset about this and it's like well
[51:33.220 --> 51:39.580]  There's a reason they did it that the the h.264 video files are like ten times smaller than the gifts
[51:39.580 --> 51:42.620]  Oh, yeah, I mean like I wrote the gif processor in tumblr
[51:43.180 --> 51:46.100]  It's dealing with gifts is a ridiculous pain in the ass
