[00:00.480 --> 00:01.920]  You were at CES.
[29:54.380 --> 29:56.900]  Meanwhile, in Rupert Murdoch's suite,
[29:56.900 --> 29:58.920]  there's like the best,
[29:58.920 --> 30:01.540]  one of the best conference lineups in the world.
[30:01.540 --> 30:05.460]  And it's just for like a handful of top executives
[30:05.460 --> 30:06.580]  who work for him.
[30:06.580 --> 30:08.300]  But that's the kind of thing you can do at CES
[30:08.300 --> 30:10.980]  because so many of those people are there anyway.
[30:10.980 --> 30:12.660]  Although it was interesting because of course,
[30:12.660 --> 30:15.620]  Apple somewhat famously does not have
[30:15.620 --> 30:18.220]  an official presence at CES.
[30:18.220 --> 30:21.520]  My guess is that some people from Apple go
[30:21.520 --> 30:22.740]  just to kind of look at stuff,
[30:22.740 --> 30:24.980]  they'll be kind of silly not to.
[30:24.980 --> 30:26.660]  Oh, I know for a fact that it,
[30:26.660 --> 30:29.820]  and even when Macworld was a thing and it was coincident
[30:29.820 --> 30:32.780]  that there were people from the product marketing group
[30:32.780 --> 30:35.900]  who went every year just to do the due diligence
[30:35.900 --> 30:36.980]  of walking around.
[30:37.860 --> 30:39.740]  And the question was always whether,
[30:39.740 --> 30:41.340]  what they would put on their badge.
[30:41.340 --> 30:44.080]  And most of the time, I think they just would officially go
[30:44.080 --> 30:45.460]  and they'd have Apple on the badge.
[30:45.460 --> 30:47.180]  And if people wanted to talk them up, they'd do it.
[30:47.180 --> 30:48.020]  They just didn't,
[30:49.020 --> 30:50.780]  and it wasn't real cloak and dagger stuff.
[30:50.780 --> 30:54.140]  They just, but they were there to just see what else
[30:55.540 --> 30:56.660]  the industry's doing.
[30:56.660 --> 30:59.200]  Yeah, I mean, it'd be foolish not to.
[30:59.200 --> 31:01.820]  I think that someone was telling me that they saw
[31:01.820 --> 31:06.820]  a couple Apple people this year just walking around,
[31:07.180 --> 31:08.340]  but I wasn't there for that.
[31:08.340 --> 31:09.340]  Yeah, I wouldn't even be surprised
[31:09.340 --> 31:10.980]  if it's actually like multiple teams,
[31:10.980 --> 31:13.900]  like different, not even in coordination,
[31:13.900 --> 31:16.460]  the product marketing people that are just there in general,
[31:16.460 --> 31:18.660]  but maybe like notebook engineers are there
[31:18.660 --> 31:21.460]  just to look at all the crazy notebooks
[31:21.460 --> 31:23.680]  that are being put together.
[31:23.680 --> 31:24.660]  Yeah, I would.
[31:24.660 --> 31:26.460]  And then you get to be in Vegas.
[31:26.460 --> 31:28.100]  Right.
[31:28.100 --> 31:30.300]  And maybe run into Rupert Murdoch.
[31:30.300 --> 31:31.620]  He looked good.
[31:31.620 --> 31:34.300]  He was wearing a nice suit and some sneakers,
[31:34.300 --> 31:38.020]  walking down the hallway outside of a party
[31:38.020 --> 31:39.380]  that I was leaving.
[31:39.380 --> 31:41.100]  So it was just like in the hotel, you mean?
[31:41.100 --> 31:42.380]  Like a hallway?
[31:42.380 --> 31:45.500]  Yes, in the Wynn outside of one of their nightclub-y
[31:45.500 --> 31:47.060]  type venues.
[31:47.060 --> 31:48.660]  Huh.
[31:48.660 --> 31:49.780]  Crazy.
[31:49.780 --> 31:51.640]  Yeah, I mean. What time of day was that?
[31:51.640 --> 31:56.640]  This was around, I think, 11 p.m. or 10 something p.m.
[31:56.640 --> 32:00.960]  See, that's why you go to CES.
[32:00.960 --> 32:01.840]  Totally.
[32:01.840 --> 32:03.360]  Yeah, actually, I'll never forget.
[32:03.360 --> 32:07.440]  When I worked at Forbes, now almost 10 years ago,
[32:07.440 --> 32:10.400]  one of my colleagues wrote an article about,
[32:10.400 --> 32:13.400]  actually, it may have been CES 10 years ago
[32:13.400 --> 32:16.760]  where she was randomly at a booth
[32:16.760 --> 32:19.160]  when Bill Gates showed up to look at the booth
[32:19.160 --> 32:22.400]  and what an interesting and cool experience that was.
[32:22.400 --> 32:25.920]  Like, can you imagine being the tiny booth operator
[32:25.920 --> 32:28.360]  and then yoink, Bill Gates walks up and says,
[32:28.360 --> 32:29.600]  hey, give me a demo?
[32:31.600 --> 32:32.440]  I'll have to find that article.
[32:32.440 --> 32:34.440]  I wonder if Forbes has archived that.
[32:34.440 --> 32:36.600]  Have you ever worked at trade show booth?
[32:38.760 --> 32:40.180]  I don't think so.
[32:40.180 --> 32:42.600]  When I was a kid, my dad, I think,
[32:42.600 --> 32:45.420]  had a booth or like a part of one at some point
[32:45.420 --> 32:46.800]  for a store he was involved in,
[32:46.800 --> 32:49.180]  but I never had to work a booth.
[32:49.180 --> 32:53.040]  I did when I worked at Bare Bones so far for BB Edit
[32:53.040 --> 32:54.840]  and I guess Mailsmith even at the time.
[32:54.840 --> 32:59.600]  But we'd have a booth at Macworld and it is grueling.
[32:59.600 --> 33:03.680]  Sometimes though, it could be like, I don't know,
[33:03.680 --> 33:04.780]  it's like three in the afternoon
[33:04.780 --> 33:06.400]  and you've been on your feet since nine
[33:06.400 --> 33:09.480]  and you've been making the same pitch over and over again.
[33:09.480 --> 33:12.680]  And repetition has never been good for me.
[33:12.680 --> 33:13.800]  I mean, not that I'm not good at it,
[33:13.800 --> 33:15.100]  but I get bored quickly.
[33:15.100 --> 33:17.000]  But then all of a sudden, you meet somebody
[33:17.000 --> 33:18.780]  and somebody will tell you this amazing story
[33:18.780 --> 33:22.880]  of how BB Edit saved their website or something like that.
[33:22.880 --> 33:25.280]  And they just wanna thank you and you're just like,
[33:25.280 --> 33:27.500]  oh my God, that's amazing, you made my day.
[33:27.500 --> 33:30.700]  Let me go get Rich Segal and you can tell it to his face.
[33:30.700 --> 33:31.540]  That's great.
[33:33.240 --> 33:35.120]  But boy, it is hard, it is really hard.
[33:35.120 --> 33:36.120]  And you can just see it.
[33:36.120 --> 33:39.200]  Now it's just a funny thing to have
[33:39.200 --> 33:40.560]  under my belt this experience.
[33:40.560 --> 33:42.480]  And now whenever I'm at a trade show and I walk around,
[33:42.480 --> 33:47.160]  I have a sympathy for every single person doing those,
[33:47.160 --> 33:50.000]  working those booths that I wouldn't have had otherwise.
[33:50.000 --> 33:53.280]  Yeah, it's grueling and you have like a trade show
[33:53.280 --> 33:56.520]  approved vendors that you have to do everything with
[33:56.520 --> 34:01.520]  and good luck, there's a 20 minute line for the bathroom.
[34:04.560 --> 34:07.320]  So what else, what else did you do at CES?
[34:07.320 --> 34:12.240]  Oh, I hung out with Walt Mossberg, that was a highlight.
[34:12.240 --> 34:13.080]  I saw that.
[34:13.080 --> 34:15.600]  That's when you were texting me.
[34:15.600 --> 34:20.120]  I saw Periscope, this is my perspective, it's, oh,
[34:20.120 --> 34:23.840]  I think it might've been like maybe like 1230 at night,
[34:23.840 --> 34:26.680]  East Coast time, so it would have been maybe like 930 Vegas.
[34:26.680 --> 34:27.680]  That sound about right?
[34:27.680 --> 34:28.520]  I think so, yeah.
[34:28.520 --> 34:31.280]  And I saw somebody who I follow on Twitter from The Verge
[34:32.280 --> 34:35.160]  tweeted a link to Periscope that they're Periscoping
[34:35.160 --> 34:39.640]  from inside a blinged out, a crazy blinged out limo
[34:39.640 --> 34:43.000]  that Neil had rented for some unknown reason.
[34:43.000 --> 34:44.240]  And I thought, I gotta see this,
[34:44.240 --> 34:47.320]  cause I don't, I know what a regular limo looks like.
[34:47.320 --> 34:49.560]  I gotta see what like a special,
[34:49.560 --> 34:51.600]  you know, call attention to it limo looks like.
[34:51.600 --> 34:53.920]  So I put the Periscope on and it's a Nilay
[34:53.920 --> 34:56.320]  and a couple of other people I knew from The Verge.
[34:56.320 --> 34:58.600]  And the inside of this limo, it really was like,
[34:58.600 --> 35:02.520]  it was like all the leftover neon from old Las Vegas
[35:02.520 --> 35:04.600]  was all inside this limo.
[35:04.600 --> 35:05.440]  Basically.
[35:05.440 --> 35:07.160]  And then the Periscope is panning around
[35:07.160 --> 35:08.360]  and here's Verge staffers.
[35:08.360 --> 35:10.320]  And I was just about ready to disconnect
[35:10.320 --> 35:11.160]  cause it's a buoyant.
[35:11.160 --> 35:12.760]  And then I see a guy and I was like, holy shit,
[35:12.760 --> 35:14.440]  that one guy looks like Dan Fromer.
[35:14.440 --> 35:15.920]  And I was like, who is that?
[35:15.920 --> 35:18.320]  And then they're like, and we've got Dan from Quartz
[35:18.320 --> 35:20.840]  and I'm like, holy shit, it is Dan Fromer.
[35:20.840 --> 35:21.680]  And I was like, wow.
[35:21.680 --> 35:23.840]  And now it was like, now I have a friend in the limo.
[35:23.840 --> 35:25.360]  Now I'm interested.
[35:25.360 --> 35:27.180]  And I noticed, it seemed to me like everybody
[35:27.180 --> 35:31.160]  was a little tipsy and you were like, just totally normal.
[35:31.160 --> 35:36.040]  And then it got crazier because then it got to the far side
[35:36.040 --> 35:38.000]  of this, it was a truly massive limo.
[35:38.000 --> 35:40.520]  And then all of a sudden Walt Mossberg and Kara Swisher
[35:40.520 --> 35:41.800]  were in there.
[35:41.800 --> 35:44.260]  Yeah, they were riding in the back seat.
[35:45.400 --> 35:47.400]  And I was fascinated.
[35:48.640 --> 35:49.480]  What were you guys doing?
[35:49.480 --> 35:52.320]  You guys were on your way from like one end of the strip
[35:52.320 --> 35:53.920]  to the other?
[35:53.920 --> 35:57.680]  We were all at a dinner that they have,
[35:59.580 --> 36:02.960]  usually the last night or one of the last nights every year,
[36:02.960 --> 36:04.680]  a kind of a press dinner.
[36:04.680 --> 36:09.680]  And I guess we were all going to the Cosmopolitan
[36:09.680 --> 36:12.660]  where there was a Twitter Spotify party.
[36:13.540 --> 36:15.500]  And rather than taking four cabs,
[36:15.500 --> 36:18.500]  Neil, I think threw his hands up and said, let's get a limo.
[36:19.580 --> 36:24.580]  So I just went in the limo and yeah, that was it.
[36:24.680 --> 36:27.580]  I mean, it wasn't, I don't think it was pre-planned
[36:27.580 --> 36:29.500]  or anything, it just happened.
[36:29.500 --> 36:30.500]  It was funny though.
[36:32.220 --> 36:33.520]  But it's the sort of thing that happens.
[36:33.520 --> 36:35.220]  Like what do you say on a periscope
[36:35.220 --> 36:37.060]  when they put the camera on your face?
[36:37.060 --> 36:38.220]  Oh, I never know what to say.
[36:38.220 --> 36:40.260]  I never, I don't know what to say.
[36:40.260 --> 36:41.220]  It was funny though.
[36:42.460 --> 36:44.940]  There were like 300 people watching.
[36:44.940 --> 36:49.340]  I enjoy periscope, but it requires a certain personality
[36:49.340 --> 36:53.100]  that I am not in possession of to really be good at it.
[36:54.100 --> 36:57.160]  I haven't done, I don't think I've ever done one.
[36:57.160 --> 36:58.780]  The other problem I have with it,
[36:58.780 --> 37:00.720]  last time I tried using it, I think I tried using it
[37:00.720 --> 37:03.020]  when the Pope was in town here in Philly
[37:03.020 --> 37:05.020]  and I was doing some periscopes walking around
[37:05.020 --> 37:09.540]  at the crazy ways that they'd shut down
[37:09.540 --> 37:12.020]  enormous major thoroughfares in Philly,
[37:12.020 --> 37:13.880]  which created this, it was awesome.
[37:13.880 --> 37:18.020]  But it's like you had these like six, seven lane streets
[37:18.020 --> 37:21.040]  that were entirely free of cars, not even like parked cars.
[37:21.040 --> 37:21.880]  It was great.
[37:22.900 --> 37:25.000]  But the problem for me is I've got so many Twitter followers
[37:25.000 --> 37:28.780]  that I easily overflow the limits of periscope,
[37:28.780 --> 37:30.620]  even just for something like that.
[37:30.620 --> 37:35.620]  And, hmm, did you recently join Snapchat?
[37:36.980 --> 37:38.600]  I did, that was me.
[37:38.600 --> 37:39.540]  That was you?
[37:39.540 --> 37:40.380]  Yeah.
[37:40.380 --> 37:42.380]  Okay, I was like, oh, that's weird.
[37:42.380 --> 37:43.940]  Do you understand Snapchat?
[37:43.940 --> 37:47.840]  No, no, and someone was, and this, I'm not that old,
[37:47.840 --> 37:48.860]  but I sound like it.
[37:48.860 --> 37:51.460]  I mean, someone was showing it to me the other day
[37:51.460 --> 37:55.260]  and I don't think I've ever posted anything
[37:55.260 --> 37:58.580]  because I just don't really know what to post or how.
[37:58.580 --> 38:02.180]  I guess the whole idea is that it's kind of very raw,
[38:02.180 --> 38:06.040]  uncut, like spur of the moment, life through your eyes,
[38:06.040 --> 38:08.860]  whereas I'm more of a retouch, edit,
[38:08.860 --> 38:10.720]  like frame the perfect,
[38:12.140 --> 38:14.380]  I'd say I'm more of an Instagram person
[38:14.380 --> 38:15.800]  than a Snapchat person.
[38:16.740 --> 38:19.840]  Me too, my understanding of Snapchat previously
[38:19.840 --> 38:23.700]  was that it was like a texting service
[38:23.700 --> 38:26.380]  where everything was ephemeral and nothing gets saved
[38:26.380 --> 38:29.340]  and everybody, ha ha, you can send dick pics.
[38:29.340 --> 38:30.860]  But people did use it for that,
[38:30.860 --> 38:32.580]  but then like teenagers could use it
[38:32.580 --> 38:34.980]  and send like love notes to each other
[38:34.980 --> 38:37.980]  and know that they're gonna be disappeared by the next day.
[38:37.980 --> 38:39.860]  And that made sense to me
[38:39.860 --> 38:43.100]  and I felt like I understand what this product does
[38:43.100 --> 38:44.540]  and I'm not a teenager anymore.
[38:44.540 --> 38:46.980]  I have no need for it, so I didn't know it.
[38:46.980 --> 38:49.460]  But then I've heard, now it's more like a social network
[38:49.460 --> 38:51.060]  and see what turned me onto it was,
[38:51.060 --> 38:52.980]  do you know who Gary Vaynerchuk is?
[38:52.980 --> 38:54.680]  Yes.
[38:54.680 --> 38:57.980]  Gary Vaynerchuk has been raving about it lately
[38:57.980 --> 39:00.540]  and he's been saying that he hasn't been this excited
[39:00.540 --> 39:03.500]  about something since Twitter circa 2007.
[39:03.500 --> 39:04.860]  And he really was, I do remember,
[39:04.860 --> 39:05.900]  that's when I first met Gary
[39:05.900 --> 39:09.780]  and Gary was huge on Twitter in like 2006, 2007,
[39:09.780 --> 39:11.680]  said this thing is gonna blow up, it's gonna be huge,
[39:11.680 --> 39:14.260]  everybody's gonna be on Twitter and he was right.
[39:14.260 --> 39:17.700]  And so him saying that this is how he feels about Snapchat
[39:17.700 --> 39:19.980]  made me think, well, I should sign up for this
[39:19.980 --> 39:22.100]  and see if I can figure it out.
[39:22.100 --> 39:24.380]  And so I did and there's a part of the process
[39:24.380 --> 39:27.300]  where it's like, do you want us to notify,
[39:27.300 --> 39:30.780]  here's people you know from your address book,
[39:30.780 --> 39:31.640]  do you wanna follow them?
[39:31.640 --> 39:34.260]  And I did and you're not the first person who's asked,
[39:34.260 --> 39:35.260]  is this really you?
[39:36.460 --> 39:38.500]  Because I guess it seems a little surprising
[39:38.500 --> 39:40.580]  that I would sign up for Snapchat.
[39:40.580 --> 39:42.340]  Well, it's also under the name of the site
[39:42.340 --> 39:44.340]  and not as your name.
[39:44.340 --> 39:46.820]  Oh, right, and that was because...
[39:48.180 --> 39:50.500]  You might be a little late to get the Gruber name on Snapchat.
[39:50.500 --> 39:52.140]  Yeah, I couldn't get it
[39:52.140 --> 39:55.940]  and all the variations on Gruber weren't there.
[39:55.940 --> 40:00.020]  And I also had the notion that if it does become a thing,
[40:00.020 --> 40:02.700]  maybe it would be more of a daring fireball thing
[40:02.700 --> 40:04.080]  than a personal thing.
[40:04.080 --> 40:06.460]  Yeah, it actually would not be...
[40:06.460 --> 40:09.100]  It's kind of like Periscope in the same way.
[40:09.100 --> 40:14.100]  It's like, here's a kind of unedited view of life
[40:14.100 --> 40:18.740]  maybe from the WWDC press bullpen or something like that.
[40:18.740 --> 40:20.020]  Yeah, that's exactly what I was gonna say.
[40:20.020 --> 40:20.980]  But I didn't even get the right
[40:20.980 --> 40:22.420]  daring fireball name either, right?
[40:22.420 --> 40:23.260]  Oh, really?
[40:23.260 --> 40:25.140]  I think there's like I had to put like a dash in it
[40:25.140 --> 40:25.980]  or something, I don't know.
[40:25.980 --> 40:27.980]  Because I don't know who the shitbag is,
[40:27.980 --> 40:30.600]  but some jerk has daring fireball.
[40:32.120 --> 40:33.820]  Like that can't possibly be legit.
[40:33.820 --> 40:35.620]  Like whoever it is stole it from me.
[40:36.540 --> 40:38.620]  Well, did you see on Peach?
[40:38.620 --> 40:39.820]  Have you used Peach yet?
[40:39.820 --> 40:41.500]  Yeah, I'm on the Peach.
[40:41.500 --> 40:43.040]  I'm on the Peach.
[40:43.040 --> 40:47.540]  Someone has Casey Johnston got P. Marka.
[40:47.540 --> 40:51.100]  So she's peaching it up.
[40:51.100 --> 40:52.020]  Is she really?
[40:52.020 --> 40:52.860]  Yeah.
[40:55.540 --> 40:58.620]  Is she masquerading as she put?
[40:58.620 --> 41:00.180]  I think just the username.
[41:00.180 --> 41:03.380]  I actually haven't looked at it in a couple days.
[41:03.380 --> 41:06.740]  The Peach is really weird, I think.
[41:06.740 --> 41:08.820]  So what happened, for anybody who missed this,
[41:08.820 --> 41:10.420]  and trust me, if you did,
[41:10.420 --> 41:12.300]  you're not really missing anything.
[41:12.300 --> 41:13.560]  It was like over the weekend,
[41:13.560 --> 41:14.580]  I think it was over the weekend,
[41:14.580 --> 41:16.100]  but within the last few days,
[41:16.100 --> 41:17.700]  all of a sudden, everybody on Twitter is talking
[41:17.700 --> 41:19.700]  about a new social network called Peach.
[41:19.700 --> 41:21.880]  And in fact, the fact that I just tried
[41:21.880 --> 41:24.620]  to get my name on Snapchat and couldn't,
[41:24.620 --> 41:26.840]  I do have this habit where if I hear of a new social network,
[41:26.840 --> 41:28.740]  even if I think there's a very low chance I wanna do it,
[41:28.740 --> 41:31.820]  I'll quick sign up to try to get a username that I want.
[41:31.820 --> 41:33.780]  And so I signed up for this Peach.
[41:33.780 --> 41:37.060]  And it's, as best as I can figure out,
[41:37.060 --> 41:38.980]  number one, I don't quite get it.
[41:38.980 --> 41:40.220]  But as best as I can figure it out,
[41:40.220 --> 41:42.200]  is it's sorta like Twitter,
[41:42.200 --> 41:44.100]  except that instead of getting a timeline,
[41:44.100 --> 41:47.580]  you have to go to every single person you follow
[41:47.580 --> 41:49.580]  individually to see what they're up to.
[41:50.580 --> 41:55.180]  And it's a poor idea for a social network implemented
[41:55.180 --> 41:58.860]  in a very poorly made and designed app.
[41:58.860 --> 42:01.700]  Like the buttons in the app, you tap the button
[42:01.700 --> 42:04.540]  and there's no visual indication that you've tapped it.
[42:04.540 --> 42:05.580]  There's no highlight.
[42:05.580 --> 42:09.340]  And to make it even worse, nothing happens sometimes.
[42:09.340 --> 42:12.480]  And then you tap it again and it's gone
[42:12.480 --> 42:14.900]  because whatever it is that you tapped to do before,
[42:14.900 --> 42:17.500]  it took three seconds and then it went away.
[42:17.500 --> 42:18.900]  It's a very, very shitty app.
[42:21.140 --> 42:21.980]  It's interesting.
[42:21.980 --> 42:24.900]  It's, I mean, it's actually,
[42:24.900 --> 42:28.260]  as Twitter starts to add more,
[42:28.260 --> 42:29.220]  I don't know what you would call them,
[42:29.220 --> 42:32.300]  formats or something, media types to Twitter,
[42:32.300 --> 42:35.720]  this is kind of like going a giant leap ahead of that
[42:35.720 --> 42:39.120]  because you can make drawings, you can make animations,
[42:39.120 --> 42:40.900]  you can add photos.
[42:40.900 --> 42:43.460]  But the timeline is weird.
[42:43.460 --> 42:45.860]  It's not a timeline of posts.
[42:45.860 --> 42:48.560]  It's a timeline of people.
[42:48.560 --> 42:51.860]  So one of the more interesting analyses I read
[42:51.860 --> 42:56.860]  basically said, you're incentivized to just post
[42:57.060 --> 42:59.180]  as much as possible because then you'll always be
[42:59.180 --> 43:00.440]  at the top of the timeline.
[43:00.440 --> 43:03.140]  And you won't be spamming people in the sense
[43:03.140 --> 43:05.420]  that they'll see 20 of your posts in a row,
[43:05.420 --> 43:09.420]  but you'll always be the person at the top of the timeline
[43:09.420 --> 43:10.940]  and that might get annoying.
[43:10.940 --> 43:11.780]  I don't know.
[43:13.900 --> 43:15.680]  I don't think it's worth talking about much more.
[43:15.680 --> 43:16.580]  No, let's not.
[43:16.580 --> 43:19.380]  As with any new social network, most of the posts,
[43:19.380 --> 43:22.800]  well, not most, but many of the posts are about Peach itself.
[43:22.800 --> 43:23.640]  Yeah.
[43:23.640 --> 43:25.660]  So we'll see if it gets beyond that.
[43:25.660 --> 43:28.440]  What's interesting about it is that it's made by,
[43:28.440 --> 43:31.040]  one of the people who made it is the guy who made Vine.
[43:31.040 --> 43:31.880]  So. Right.
[43:33.180 --> 43:35.060]  That's the only reason it got any kind of traction
[43:35.060 --> 43:37.300]  because Vine is a real thing and there's real people
[43:37.300 --> 43:41.480]  who are, you know, using it happily and it's, you know,
[43:41.480 --> 43:42.660]  but I don't think this is a Vine.
[43:42.660 --> 43:46.020]  Or unless it, they somehow quote unquote pivot
[43:46.020 --> 43:48.660]  and invent a new, something new that you can do with this
[43:48.660 --> 43:50.740]  that's different than what this is.
[43:50.740 --> 43:52.420]  Yeah. It's always dangerous to say like,
[43:52.420 --> 43:53.740]  there's been too many of,
[43:53.740 --> 43:56.460]  there's been too many social networks because,
[43:56.460 --> 44:00.240]  I'm sure someone said there were too many search engines
[44:00.240 --> 44:01.860]  right before Google came out.
[44:01.860 --> 44:04.860]  So, you know, who knows what's actually gonna happen,
[44:04.860 --> 44:06.500]  but it seems like this is one of those things
[44:06.500 --> 44:11.180]  where it's just not different enough to really justify
[44:11.180 --> 44:13.780]  putting too much time and effort into.
[44:13.780 --> 44:16.820]  Maybe it'll catch on among some,
[44:16.820 --> 44:20.040]  like Path was huge in Singapore or something or.
[44:20.040 --> 44:22.100]  Oh yeah. Indonesia or wherever.
[44:23.940 --> 44:24.780]  But yeah.
[44:26.460 --> 44:28.220]  We'll stop talking about Peach now.
[44:28.220 --> 44:29.060]  Yeah. All right.
[44:29.060 --> 44:30.420]  Well, we'll stop talking about Peach
[44:30.420 --> 44:33.440]  and start talking about our next sponsor.
[44:33.440 --> 44:36.660]  And it's our good friends at Squarespace.
[44:36.660 --> 44:37.580]  You guys know Squarespace.
[44:37.580 --> 44:41.420]  It's the all-in-one service that lets you,
[44:41.420 --> 44:44.900]  handles everything you need to have your own website.
[44:44.900 --> 44:46.580]  They do the hosting.
[44:46.580 --> 44:50.860]  They have the templates that you can use to start.
[44:50.860 --> 44:54.220]  You just start with a website that is gorgeous,
[44:54.220 --> 44:55.900]  but, and they have templates
[44:55.900 --> 44:58.580]  for all sorts of different types of websites.
[44:58.580 --> 45:00.140]  If you're setting up an online store,
[45:00.140 --> 45:02.440]  they have a whole bunch of store designs to choose from.
[45:02.440 --> 45:03.860]  If you're setting up a portfolio,
[45:03.860 --> 45:06.080]  because let's say maybe you're a designer
[45:06.080 --> 45:09.140]  and you want to create a new portfolio site
[45:09.140 --> 45:10.420]  to show off your work.
[45:10.420 --> 45:12.060]  They've got examples of that.
[45:12.060 --> 45:15.120]  It's really, really easy.
[45:15.120 --> 45:18.360]  And it is so far beyond any kind of website.
[45:18.360 --> 45:21.540]  Even if you're thinking that you're going to have to
[45:21.540 --> 45:24.220]  design it or program it from scratch, you know,
[45:24.220 --> 45:25.940]  the old fashioned traditional way,
[45:25.940 --> 45:27.900]  the stick shift way, if you will,
[45:27.900 --> 45:30.720]  the manual transition where you're writing the code
[45:30.720 --> 45:32.500]  and designing it and doing the HTML,
[45:32.500 --> 45:33.700]  or maybe it's the programming.
[45:33.700 --> 45:36.060]  You really ought to think about trying it first
[45:36.060 --> 45:39.180]  with Squarespace, even if you can think of it as a prototype
[45:39.180 --> 45:41.380]  and I, for a lot of different types of sites,
[45:41.380 --> 45:44.300]  you'd be very surprised just how far you can go.
[45:44.300 --> 45:46.420]  And you may not need to build a website.
[45:46.420 --> 45:48.860]  You really can just use Squarespace.
[45:50.500 --> 45:52.260]  I was actually looking around with it recently.
[45:52.260 --> 45:53.500]  I actually, cause I thought, you know,
[45:53.500 --> 45:55.500]  these guys sponsor the show all the time
[45:55.500 --> 45:57.180]  and I haven't looked at it in a while.
[45:57.180 --> 45:58.980]  And I know they had a major new version last weekend.
[45:58.980 --> 46:00.860]  So I tried building just to, you know,
[46:00.860 --> 46:04.180]  just spend like an hour building like a little store design.
[46:04.180 --> 46:07.460]  And I was blown away by how much improved it is
[46:07.460 --> 46:08.820]  from the way Squarespace used to be.
[46:08.820 --> 46:11.860]  Just how much more it feels like you're working in,
[46:11.860 --> 46:13.720]  even though you're in a browser doing all this stuff,
[46:13.720 --> 46:16.180]  it really feels like you're in like an app,
[46:16.180 --> 46:18.660]  like a design app doing these things.
[46:18.660 --> 46:19.940]  Really, really impressive.
[46:20.980 --> 46:22.340]  Where do you go to find out more?
[46:22.340 --> 46:26.620]  Easy, go to squarespace.com and you'll get a free trial,
[46:26.620 --> 46:27.980]  no credit card required.
[46:27.980 --> 46:31.260]  And then when you do pay, when the free trial is up
[46:31.260 --> 46:33.100]  and you want to keep the site and keep it going,
[46:33.100 --> 46:35.820]  just remember the offer code, Gruber, my last name,
[46:35.820 --> 46:40.820]  G-R-U-B-E-R, and you will get 10% off your first purchase.
[46:40.900 --> 46:42.780]  That could be a lot of dough because if you pay
[46:42.780 --> 46:45.380]  for a whole year at a time,
[46:45.380 --> 46:47.300]  the 10% can apply right to that.
[46:47.300 --> 46:50.540]  So my thanks to Squarespace, build it beautiful.
[46:52.800 --> 46:55.140]  One more thing I want to say about CES.
[46:55.140 --> 46:58.100]  Now having been twice, all the,
[46:58.100 --> 47:01.020]  this was a different Apple that back then it was smaller
[47:01.020 --> 47:05.060]  and still, I would say maybe a little more mysterious,
[47:05.060 --> 47:09.620]  but all the so-called rumors and like calls for Apple
[47:09.620 --> 47:13.160]  to headline CES and all that stuff,
[47:13.160 --> 47:15.500]  that was just completely idiotic.
[47:15.500 --> 47:19.020]  Like even now more in hindsight than it seemed then.
[47:19.020 --> 47:22.380]  Like there's no way that Apple is gonna waste their time
[47:22.380 --> 47:25.820]  trying to like have any sort of signal
[47:25.820 --> 47:27.500]  among the noise at CES.
[47:27.500 --> 47:30.460]  There's absolutely no reason for them to do that.
[47:30.460 --> 47:33.380]  And just like even halfway believing
[47:33.380 --> 47:35.180]  that that could have happened back then
[47:35.180 --> 47:37.660]  just seems completely foolish now.
[47:37.660 --> 47:41.780]  I miss Mac world and I really do.
[47:41.780 --> 47:42.860]  And it's heyday, it was great.
[47:42.860 --> 47:44.060]  And it was for exactly what you said though.
[47:44.060 --> 47:46.540]  It's that it was a way,
[47:46.540 --> 47:48.440]  the main reason was just the fact that everybody
[47:48.440 --> 47:51.420]  who covered Apple or worked in Apple related things
[47:51.420 --> 47:55.140]  was all in San Francisco at the exact same time,
[47:55.140 --> 47:56.560]  which was great.
[47:56.560 --> 47:58.160]  And then secondarily, it was great.
[47:58.160 --> 47:59.000]  It was actually great.
[47:59.000 --> 48:01.540]  So every year I'd find one or two things,
[48:01.540 --> 48:03.380]  new companies of making products
[48:03.380 --> 48:05.940]  that I didn't know otherwise.
[48:05.940 --> 48:07.940]  And even in the internet era,
[48:07.940 --> 48:12.540]  when that became a lot easier to find little companies
[48:12.540 --> 48:16.040]  that are from oddball locations around the world,
[48:16.040 --> 48:18.060]  it still always happened.
[48:18.060 --> 48:20.280]  But I totally understand why Apple pulled the plug
[48:20.280 --> 48:21.660]  on their involvement in Mac world,
[48:21.660 --> 48:24.060]  which was way less involved than it would have been
[48:24.060 --> 48:25.860]  if they'd gone to CES, right?
[48:25.860 --> 48:28.140]  Cause Mac world, especially the San Francisco one,
[48:28.140 --> 48:30.720]  which was the last show was local to them.
[48:30.720 --> 48:35.720]  And it, the entire show revolved around their ecosystem,
[48:37.020 --> 48:39.020]  but I totally understand why they got away from it.
[48:39.020 --> 48:40.620]  Yeah, I mean, I wouldn't be surprised
[48:40.620 --> 48:44.540]  if like someone took a meeting with someone from CEA
[48:44.540 --> 48:46.480]  or whatever and heard them out,
[48:46.480 --> 48:50.220]  but there's just no, you know, Apple can command
[48:50.220 --> 48:53.380]  as much attention as it gets on its own.
[48:53.380 --> 48:56.320]  Why would it participate in something
[48:56.320 --> 49:00.620]  that's gonna be super noisy and not focused?
[49:00.620 --> 49:02.980]  Yeah, and the thing, and Apple,
