[00:00.000 --> 00:03.000]  Hello there. Hello.
[37:25.000 --> 37:28.000]  arrive at a restaurant, you've a group of friends and you,
[37:28.000 --> 37:30.000]  you took an Uber and you get out.
[37:30.000 --> 37:32.000]  And somebody says, oh, I left my phone in the car.
[37:32.000 --> 37:34.000]  You know what they left in the car?
[37:34.000 --> 37:35.000]  They didn't leave a cell phone.
[37:35.000 --> 37:37.000]  They left like an iPhone or some an Android.
[37:37.000 --> 37:40.000]  Whatever it was, it has apps and stuff, you know?
[37:40.000 --> 37:41.000]  Yep.
[37:41.000 --> 37:43.000]  Nobody, when they say I left my phone in the car means they left
[37:43.000 --> 37:46.000]  a device that only makes phone calls and text messages.
[37:46.000 --> 37:50.000]  Well, and as land lines die, the whole concept of anything
[37:50.000 --> 37:53.000]  else a phone could be just disappears.
[37:53.000 --> 37:56.000]  And, and phone is not perhaps the best term to use for these
[37:56.000 --> 38:00.000]  devices, but I kind of feel like it's the one that it's, you know,
[38:00.000 --> 38:02.000]  one of those cases where the word evolves to mean something
[38:02.000 --> 38:05.000]  completely different, but because it's supplanting the thing that
[38:05.000 --> 38:08.000]  it, it took its name from and that's what we'll call it.
[38:08.000 --> 38:10.000]  And at some point, people are going to be like, this is weird.
[38:10.000 --> 38:11.000]  Why do we call it a phone?
[38:11.000 --> 38:13.000]  And somebody's going to say, well, actually, let me tell you
[38:13.000 --> 38:15.000]  this for the 20th century and the phone.
[38:15.000 --> 38:16.000]  And that's where it came from.
[38:16.000 --> 38:19.000]  People be like, wow, I don't even, you know, why, why would you do
[38:19.000 --> 38:20.000]  that?
[38:20.000 --> 38:23.000]  And the answer is, well, it was a series of small steps.
[38:23.000 --> 38:26.000]  And at no point did somebody say this isn't a phone anymore because
[38:26.000 --> 38:29.000]  we had to explain what it was to people who, who their entire
[38:29.000 --> 38:31.000]  frame of reference was the concept of a phone.
[38:31.000 --> 38:34.000]  Because, you know, I mean, talking on the phone is like one of
[38:34.000 --> 38:37.000]  the least interesting things that I do on my iPhone,
[38:37.000 --> 38:38.000]  and least common.
[38:38.000 --> 38:39.000]  It's the least pleasant.
[38:39.000 --> 38:40.000]  It's the only thing.
[38:40.000 --> 38:41.000]  It's the only one.
[38:41.000 --> 38:42.000]  It's the only one.
[38:42.000 --> 38:43.000]  It's the only one.
[38:43.000 --> 38:44.000]  It's the only one.
[38:44.000 --> 38:45.000]  It's the only one.
[38:45.000 --> 38:46.000]  It's the only one.
[38:46.000 --> 38:47.000]  It's the only one.
[38:47.000 --> 38:48.000]  It's the only one.
[38:48.000 --> 38:51.000]  It's why is the phone app even in my dock on my iPhone?
[38:51.000 --> 38:52.000]  I never have it.
[38:52.000 --> 38:53.000]  I have it out of my dock.
[38:53.000 --> 38:54.000]  My dock.
[38:54.000 --> 38:55.000]  Yeah, I took it out.
[38:55.000 --> 38:57.000]  My dock is messages, Vesper.
[38:57.000 --> 38:58.000]  There's an ad.
[38:58.000 --> 39:00.000]  Safari and tweetbot.
[39:00.000 --> 39:01.000]  That's honest though.
[39:01.000 --> 39:03.000]  Vesper really is in my, in my dock.
[39:03.000 --> 39:07.000]  I have mail Safari, Twitterific, and overcast in my dock.
[39:07.000 --> 39:08.000]  Very close.
[39:08.000 --> 39:10.000]  Vesper, Vesper's down there, but it's not in the dock.
[39:10.000 --> 39:11.000]  Yeah.
[39:11.000 --> 39:14.000]  But yeah, I yanked the phone out because, because frankly, if
[39:14.000 --> 39:17.000]  somebody calls me, I don't need to watch the app.
[39:17.000 --> 39:20.000]  And if I call somebody, I know where it is, and I call
[39:20.000 --> 39:21.000]  people so seldomly.
[39:21.000 --> 39:24.000]  But yeah, so I feel like the name is going to be phone now.
[39:24.000 --> 39:26.000]  And I doubt it will ever change.
[39:26.000 --> 39:27.000]  We'll just call them phones.
[39:27.000 --> 39:28.000]  Right.
[39:28.000 --> 39:29.000]  But phone doesn't mean what it meant.
[39:29.000 --> 39:31.000]  It's the way language evolves.
[39:31.000 --> 39:37.000]  It evolves in ways that the, what computer is a terrible
[39:37.000 --> 39:38.000]  word too.
[39:38.000 --> 39:39.000]  Yeah.
[39:39.000 --> 39:40.000]  Think about it.
[39:40.000 --> 39:41.000]  Yeah, true.
[39:41.000 --> 39:42.000]  True.
[39:42.000 --> 39:43.000]  True.
[39:43.000 --> 39:44.000]  Very true.
[39:44.000 --> 39:49.000]  And like dictionaries is prescriptivism versus descriptivism.
[39:49.000 --> 39:50.000]  Right.
[39:50.000 --> 39:54.000]  Whereas should a dictionary presribe, here is how you should use
[39:54.000 --> 39:55.000]  all of the words.
[39:55.000 --> 39:56.000]  Yeah.
[39:56.000 --> 39:58.000]  Because here is what they mean.
[39:58.000 --> 40:02.000]  Or should it describe, here is what people mean when they use
[40:02.000 --> 40:03.000]  these words.
[40:03.000 --> 40:07.000]  And in some cases, you know, maybe, you know, with italics,
[40:07.000 --> 40:12.000]  say this is an, this is informal, you know, or this is slang.
[40:12.000 --> 40:15.000]  But you're just describing the use of the words.
[40:15.000 --> 40:19.000]  And sometimes those informal uses of the words are used so
[40:19.000 --> 40:21.000]  much that they become a new sense of the word.
[40:21.000 --> 40:24.000]  And I think that's where we are with phone where maybe for the
[40:24.000 --> 40:29.000]  first couple of years calling the iPhone a phone would, in
[40:29.000 --> 40:33.000]  dictionary terms, be informal, you know, and people who knew what
[40:33.000 --> 40:34.000]  you were talking about would get it.
[40:34.000 --> 40:37.000]  But I think we're at the point now where it's like time to add
[40:37.000 --> 40:42.000]  a new number to what does phone mean and, you know, a new
[40:42.000 --> 40:44.000]  integer and like meaning number four.
[40:44.000 --> 40:45.000]  Right.
[40:45.000 --> 40:49.000]  Pocket computers that is connected to cellular networks and
[40:49.000 --> 40:53.000]  Wi-Fi and can install apps.
[40:53.000 --> 40:53.000]  Right.
[40:53.000 --> 40:55.000]  Because it's, it feels like the ship is sailed.
[40:55.000 --> 40:58.000]  We're not going to suddenly say, okay, everybody,
[40:58.000 --> 40:59.000]  stop on January 1st.
[40:59.000 --> 41:01.000]  We're going to stop calling them phones.
[41:01.000 --> 41:04.000]  And we're going to call them, you know, communicators.
[41:04.000 --> 41:05.000]  Right.
[41:05.000 --> 41:08.000]  And the prescriptivist will fight it tooth and nail all the
[41:08.000 --> 41:09.000]  way down.
[41:09.000 --> 41:10.000]  Sure.
[41:10.000 --> 41:11.000]  But it doesn't matter.
[41:11.000 --> 41:12.000]  That's the language is like water.
[41:12.000 --> 41:14.000]  It's like trying to stop running water with your hands.
[41:14.000 --> 41:16.000]  It's going to happen anyway.
[41:16.000 --> 41:18.000]  But the point of all the point of this, the whole reason this
[41:18.000 --> 41:22.000]  inspired it is your point about how big the iPhone is in the
[41:22.000 --> 41:25.000]  phone market is, is that the phone is the, and thinking of it as
[41:25.000 --> 41:26.000]  a phone.
[41:26.000 --> 41:28.000]  Not thinking of as a smartphone, but just going to phone,
[41:28.000 --> 41:32.000]  meaning a cell phone is the only thing I can think of on the
[41:32.000 --> 41:38.000]  planet, where almost everybody who could have one does or
[41:38.000 --> 41:40.000]  will have one.
[41:40.000 --> 41:41.000]  Yes.
[41:41.000 --> 41:45.000]  You could argue that it will be the first piece of high
[41:45.000 --> 41:51.000]  technology that will be in the possession of, I don't know,
[41:51.000 --> 41:53.000]  90% of the human beings on Earth.
[41:53.000 --> 41:58.000]  Because you look at the way this technology is spreading in
[41:58.000 --> 42:01.000]  parts of the world that are not traditionally high tech
[42:01.000 --> 42:05.000]  societies, places that are poorer, like Africa as a really great
[42:05.000 --> 42:10.000]  example, where we've already seen like wireless technology leap
[42:10.000 --> 42:13.000]  over wired technology because you don't need the infrastructure
[42:13.000 --> 42:15.000]  that you used to need.
[42:15.000 --> 42:19.000]  And the internet at some point will be their experience
[42:19.000 --> 42:22.000]  with the internet will be in a phone screen, not on a computer,
[42:22.000 --> 42:26.000]  but in a phone screen, because that is a device that is going to
[42:26.000 --> 42:29.000]  be cheap enough to reach them, going to be able to attach via
[42:29.000 --> 42:32.000]  wireless network that is going to be available.
[42:32.000 --> 42:36.000]  And as a result, we'll be more transformative as a whole.
[42:36.000 --> 42:38.000]  I mean, we can think about how the internet's changed all of our
[42:38.000 --> 42:40.000]  lives and computers and all of that.
[42:40.000 --> 42:45.000]  But for like the average human being on planet Earth, the phone
[42:45.000 --> 42:48.000]  is going to be the thing that is transformative because it's
[42:48.000 --> 42:50.000]  going to reach way more people.
[42:50.000 --> 42:51.000]  Yeah.
[42:51.000 --> 42:55.000]  And I think it's really, I think it was on pace for that before
[42:55.000 --> 43:00.000]  2007, but when it was just voice and texting.
[43:00.000 --> 43:01.000]  Right. Then it was a phone.
[43:01.000 --> 43:02.000]  Not a phone phone.
[43:02.000 --> 43:05.000]  And I think it was already on pace to, you know, if there's seven
[43:05.000 --> 43:11.000]  billion people on the planet, and I don't know, I might be missing
[43:11.000 --> 43:17.000]  the mark on how many people are very elderly or babies
[43:17.000 --> 43:22.000]  or very, very, very truly, truly poor.
[43:22.000 --> 43:26.000]  But let's say five billion of them could have a cell phone.
[43:26.000 --> 43:29.000]  It's getting very close to the point where that's true.
[43:29.000 --> 43:32.000]  You know, where there's billions of cell phones in use,
[43:32.000 --> 43:33.000]  and everybody's going to have one.
[43:33.000 --> 43:36.000]  And everybody, because of the nature of the thing that you're
[43:36.000 --> 43:39.000]  banging it around in your pocket, even if you take care of it,
[43:39.000 --> 43:41.000]  you know, every couple of years you're going to get a new one.
[43:41.000 --> 43:42.000]  Right.
[43:42.000 --> 43:47.000]  It's not going to be like your, you know, like TV sets where
[43:47.000 --> 43:50.000]  people buy TV sets and use them for 15, 20 years.
[43:50.000 --> 43:51.000]  Right.
[43:51.000 --> 43:54.000]  Like maybe eventually, but they're way too long.
[43:54.000 --> 43:55.000]  Well, not now.
[43:55.000 --> 43:56.000]  Right.
[43:56.000 --> 43:57.000]  Not right now.
[43:57.000 --> 44:00.000]  Not in the year, you know, the world we live in wherever year,
[44:00.000 --> 44:04.000]  there's a new iPhone, you know, so the size of this market is,
[44:04.000 --> 44:08.000]  I truly wonder if it even really occurred to Apple, you know,
[44:08.000 --> 44:11.000]  in 2005, 2006, and to run up to the iPhone.
[44:11.000 --> 44:14.000]  Just how big the potential is there.
[44:14.000 --> 44:15.000]  I don't know.
[44:15.000 --> 44:19.000]  I mean, on one level, I think they had the vision of how this
[44:19.000 --> 44:21.000]  was a big deal and this was going to make a difference.
[44:21.000 --> 44:25.000]  But you'd have to really be, you'd have to buy in all the
[44:25.000 --> 44:28.000]  way to really believe like this is the future.
[44:28.000 --> 44:29.000]  And I don't know.
[44:29.000 --> 44:31.000]  I kind of feel like that was so far away at that point that
[44:31.000 --> 44:33.000]  they couldn't really, you know, you could, you could maybe
[44:33.000 --> 44:35.000]  dream it, but you couldn't really see it.
[44:35.000 --> 44:36.000]  And now you can see it.
[44:36.000 --> 44:39.000]  But back then it was more like, imagine what would happen if
[44:39.000 --> 44:41.000]  we could pack all this stuff in there.
[44:41.000 --> 44:43.000]  And then the world saw that and said, Oh, well, this is it.
[44:43.000 --> 44:48.000]  And now every device in this class follows their lead.
[44:48.000 --> 44:51.000]  And now the world is changing because that was a moment where
[44:51.000 --> 44:54.000]  like you said, you know, sure, we could have said five
[44:54.000 --> 44:55.000]  billion people are going to have phones.
[44:55.000 --> 44:57.000]  But what it would have meant was they can call somebody.
[44:57.000 --> 45:01.000]  And now it's they can be on the internet with that device.
[45:01.000 --> 45:02.000]  I still think it's interesting.
[45:02.000 --> 45:06.000]  And I remember this this clearly is that in that initial
[45:06.000 --> 45:10.000]  keynote Steve Jobs, he gave goals for what they wanted.
[45:10.000 --> 45:12.000]  And he said, we would like, you know, with by a year from now,
[45:12.000 --> 45:15.000]  we would like to have one percent of the phone market.
[45:15.000 --> 45:16.000]  Right.
[45:16.000 --> 45:18.000]  And it was, and that's what he said.
[45:18.000 --> 45:20.000]  He didn't say one percent of the smartphone market.
[45:20.000 --> 45:23.000]  He said one percent of the cell phone market.
[45:23.000 --> 45:27.000]  And that's one area where I truly think that Apple and
[45:27.000 --> 45:30.000]  Steve Jobs clearly got it because what was then called a
[45:30.000 --> 45:34.000]  quote unquote smartphone was not the Apple had no interest
[45:34.000 --> 45:35.000]  in that whatsoever.
[45:35.000 --> 45:38.000]  They saw that as it was just as much garbage as the plain
[45:38.000 --> 45:41.000]  old non smart phones that came before it.
[45:41.000 --> 45:44.000]  You know, it wasn't worth thinking about it was worth thinking
[45:44.000 --> 45:48.000]  about just plain phones because a phone is something everybody
[45:48.000 --> 45:50.000]  will have and everybody only has one.
[45:50.000 --> 45:54.000]  Well, and so the real question is with with the wearable stuff.
[45:54.000 --> 45:57.000]  Is that what they're thinking?
[45:57.000 --> 46:00.000]  Which I think I think is the right thing to think, which is not
[46:00.000 --> 46:04.000]  how do we get how do we address the smartwatch market?
[46:04.000 --> 46:05.000]  Right.
[46:05.000 --> 46:09.000]  But thinking can you think of something bigger that is more
[46:09.000 --> 46:14.000]  addressable than than because you know, I have a pebble.
[46:14.000 --> 46:16.000]  And I actually wear it most days.
[46:16.000 --> 46:17.000]  I think it's about that.
[46:17.000 --> 46:19.000]  I have seen you wearing your pebble.
[46:19.000 --> 46:20.000]  And I think it's fine.
[46:20.000 --> 46:23.000]  I like the notifications on my wrist because it means I can ignore
[46:23.000 --> 46:26.000]  a lot of notifications that I would otherwise take on my phone.
[46:26.000 --> 46:29.000]  But you know, it feels like I used to have a palm trio, right?
[46:29.000 --> 46:31.000]  And I think you might have had one too.
[46:31.000 --> 46:32.000]  It feels like that.
[46:32.000 --> 46:34.000]  It feels like a thing that's cool and interesting,
[46:34.000 --> 46:35.000]  but it's a kind of a hack.
[46:35.000 --> 46:38.000]  And in hindsight is going to be seen as the thing that happened
[46:38.000 --> 46:40.000]  before the real thing.
[46:40.000 --> 46:41.000]  I didn't have a trio.
[46:41.000 --> 46:43.000]  I had the handspring box.
[46:43.000 --> 46:44.000]  Well, the visor.
[46:44.000 --> 46:47.000]  So I was before it even had internet.
[46:47.000 --> 46:48.000]  Right.
[46:48.000 --> 46:49.000]  But I was real into it.
[46:49.000 --> 46:50.000]  I did.
[46:50.000 --> 46:54.000]  I gave it like a full year where I was taking all my notes on it
[46:54.000 --> 46:56.000]  and syncing my stuff over.
[46:56.000 --> 46:58.000]  I forget how we see it.
[46:58.000 --> 46:59.000]  Fereal.
[46:59.000 --> 47:00.000]  Yeah.
[47:00.000 --> 47:01.000]  I think it was like a serial cable.
[47:01.000 --> 47:02.000]  Yeah.
[47:02.000 --> 47:04.000]  So I mean, the pebble feels like that to me.
[47:04.000 --> 47:07.000]  It feels like it reminds me of my trio where it's like,
[47:07.000 --> 47:08.000]  cool at the time.
[47:08.000 --> 47:13.000]  But I'm under no illusion that this is the end product of this
[47:13.000 --> 47:15.000]  category because it's not.
[47:15.000 --> 47:16.000]  It's an early adopter.
[47:16.000 --> 47:17.000]  Let's experiment.
[47:17.000 --> 47:19.000]  And it's exactly the kind of product that Apple would
[47:19.000 --> 47:23.000]  never make because it's not really a product for regular people.
[47:23.000 --> 47:27.000]  It's a product for people like me who want to try it out
[47:27.000 --> 47:29.000]  and think about what this might mean.
[47:29.000 --> 47:32.000]  And it's cool new tech.
[47:32.000 --> 47:34.000]  But it's just not good enough.
[47:34.000 --> 47:36.000]  And the trio is kind of like that.
[47:36.000 --> 47:37.000]  It's really good enough.
[47:37.000 --> 47:38.000]  It was a weird.
[47:38.000 --> 47:40.000]  It was a PDA attached to a cell phone.
[47:40.000 --> 47:41.000]  Yeah.
[47:41.000 --> 47:42.000]  And it was not good enough.
[47:42.000 --> 47:43.000]  You know, but it was ahead of its time.
[47:43.000 --> 47:44.000]  It was a way.
[47:44.000 --> 47:45.000]  Oh, definitely.
[47:45.000 --> 47:46.000]  It was the cutting edge.
[47:46.000 --> 47:48.000]  It was just a happen first.
[47:48.000 --> 47:49.000]  Right.
[47:49.000 --> 47:51.000]  Somebody had to think of it first before you could get there.
[47:51.000 --> 47:52.000]  Yeah.
[47:52.000 --> 47:53.000]  Exactly.
[47:53.000 --> 47:56.000]  Well, let's take a break.
[47:56.000 --> 47:57.000]  Let me take a break.
[47:57.000 --> 48:00.000]  And we'll come back to that question of how big and where I
[48:00.000 --> 48:02.000]  think the wearable thing is going.
[48:02.000 --> 48:04.000]  But let me tell you about our second sponsor.
[48:04.000 --> 48:07.000]  And it's our good friends at Fracture.
[48:07.000 --> 48:10.000]  F-R-A-C-T-U-R-E.
[48:10.000 --> 48:11.000]  Fracture.
[48:11.000 --> 48:17.000]  I feel like with my voice, I'm not enunciating that clearly.
[48:17.000 --> 48:18.000]  Here's what Fracture does.
[48:18.000 --> 48:20.000]  They respond to a while back.
[48:20.000 --> 48:21.000]  Maybe you remember them.
[48:21.000 --> 48:23.000]  You send them your picture.
[48:23.000 --> 48:28.000]  They print it super high quality on glass.
[48:28.000 --> 48:30.000]  And then they ship that right to you.
[48:30.000 --> 48:33.000]  It's not a picture framed in glass.
[48:33.000 --> 48:37.000]  It is a piece of glass with the picture printed right on it.
[48:37.000 --> 48:41.000]  The best way I can describe it is that difference between like
[48:41.000 --> 48:44.000]  the old iPhones when it looked like a touch, you know,
[48:44.000 --> 48:46.000]  there was this piece of glass over the screen.
[48:46.000 --> 48:49.000]  And then when the iPhone 4 came out and it looked like the
[48:49.000 --> 48:52.000]  pixels were actually on the screen and that they, you know,
[48:52.000 --> 48:54.000]  it wasn't two pieces laminated together.
[48:54.000 --> 48:56.000]  It was like one piece.
[48:56.000 --> 48:57.000]  That's what they do at Fracture.
[48:57.000 --> 49:00.000]  They actually print the photo on the glass.
[49:00.000 --> 49:02.000]  And it's a really cool effect.
[49:02.000 --> 49:05.000]  It looks so much better than a picture underneath glass.
[49:05.000 --> 49:07.000]  Very, very cool.
[49:07.000 --> 49:10.000]  They have all sorts of sizes available.
[49:10.000 --> 49:13.000]  Everything from little small things for your desk to big things
[49:13.000 --> 49:15.000]  that you can put on a wall.
[49:15.000 --> 49:17.000]  They ship them to you in a really cool thing.
[49:17.000 --> 49:19.000]  And you don't even need to frame them.
[49:19.000 --> 49:22.000]  The picture itself can be hung right on the wall.
[49:22.000 --> 49:23.000]  And it just looks cool.
[49:23.000 --> 49:26.000]  It's just this piece of glass that is a photo that you can just
[49:26.000 --> 49:29.000]  hang on a wall and they look great without a frame.
[49:29.000 --> 49:31.000]  You don't need to put a frame around them.
[49:31.000 --> 49:34.000]  You take the whole thing, what you buy, what they ship to you.
[49:34.000 --> 49:35.000]  You just open the box.
[49:35.000 --> 49:36.000]  You can put it right in the wall.
[49:36.000 --> 49:37.000]  And it looks great.
[49:37.000 --> 49:39.000]  Great idea for gifts.
[49:39.000 --> 49:43.000]  I am totally going to steal this idea from Marco Armin,
[49:43.000 --> 49:47.000]  who on last week's ATP mentioned that every time he
[49:47.000 --> 49:50.000]  makes a new app, before he sells it to somebody else,
[49:50.000 --> 49:55.000]  he celebrates by getting the app's icon five by five
[49:55.000 --> 49:58.000]  fracture and then he hangs them up on his wall.
[49:58.000 --> 50:02.000]  So anybody out there who's like a developer, great idea.
[50:02.000 --> 50:03.000]  And it looks great.
[50:03.000 --> 50:04.000]  I have seen them on Marco's wall.
[50:04.000 --> 50:06.000]  They look beautiful.
[50:06.000 --> 50:08.000]  So you don't, you know, that's sort of an edge case,
[50:08.000 --> 50:11.000]  but it looks great even if it's not a photo.
[50:11.000 --> 50:13.000]  It's just really, really great.
[50:13.000 --> 50:15.000]  We have a bunch of them here in the house and there's some
[50:15.000 --> 50:17.000]  of my favorite pictures.
[50:17.000 --> 50:19.000]  Where do you go to find out more?
[50:19.000 --> 50:20.000]  Easy.
[50:20.000 --> 50:23.000]  Their website is fractureme.com.
[50:23.000 --> 50:28.000]  Fractureme.com. And if you use this code, the talk show,
[50:28.000 --> 50:31.000]  you save 5% off any order.
[50:31.000 --> 50:33.000]  Just boom, you just save money.
[50:33.000 --> 50:34.000]  The talk show.
[50:34.000 --> 50:37.000]  Go to fractureme, send a couple pictures,
[50:37.000 --> 50:38.000]  get a couple back, see what I mean.
[50:38.000 --> 50:41.000]  And then like by Christmas, you'll be ordering everybody
[50:41.000 --> 50:44.000]  in your family fracture pictures.
[50:44.000 --> 50:46.000]  It's a great service.
[50:46.000 --> 50:48.000]  Back to the show.
[50:48.000 --> 50:50.000]  So how big is the wearable market?
[50:50.000 --> 50:54.000]  I don't know. I honestly don't because here's what I think.
[50:54.000 --> 51:00.000]  I think if anything, if it's big, it might be sort of the opposite
[51:00.000 --> 51:05.000]  of the iPhone where the iPhone has been this like,
[51:05.000 --> 51:07.000]  here's one new iPhone a year.
[51:07.000 --> 51:09.000]  Here's the iPhone for the next year.
[51:09.000 --> 51:15.000]  If the wearable thing is big, I think it could be like,
[51:15.000 --> 51:18.000]  there's 15 different wearables from Apple to choose from.
[51:18.000 --> 51:22.000]  And maybe collectively, they're pretty big
[51:22.000 --> 51:25.000]  and have a range in prices, but that it might,
[51:25.000 --> 51:29.000]  so for example, just think about the old iPods,
[51:29.000 --> 51:33.000]  when the iPods were big and there were four or five of them.
[51:33.000 --> 51:36.000]  There was a little nano sized thing,
[51:36.000 --> 51:38.000]  a little clip on thing that didn't even have a screen.
[51:38.000 --> 51:41.000]  There was like the main regular one that was sort of mid-sized
[51:41.000 --> 51:43.000]  and then there was the big one,
[51:43.000 --> 51:45.000]  and they still have that lineup.
[51:45.000 --> 51:47.000]  We just don't get excited about them anymore.
[51:47.000 --> 51:48.000]  Right.
[51:48.000 --> 51:50.000]  But it could be that sort of thing.
[51:50.000 --> 51:52.000]  And you know, one or two of them are watches
[51:52.000 --> 51:56.000]  and one or two of them are something else's and who knows?
[51:56.000 --> 52:00.000]  Yeah, I don't really know what to think about this market either.
[52:00.000 --> 52:03.000]  Other than the caution that it's not going to be the size of the phone market
[52:03.000 --> 52:04.000]  because nothing is.
[52:04.000 --> 52:07.000]  And the feeling like it's going to be an accessory.
[52:07.000 --> 52:09.000]  Like it feels to me like this is a device.
[52:09.000 --> 52:11.000]  You know, if there is something on your wrist,
[52:11.000 --> 52:13.000]  it's a device that's meant to work with the iPhone
[52:13.000 --> 52:16.000]  and that actually makes it logically part of the iPhone event
[52:16.000 --> 52:19.000]  to talk about it that the iPhone is the center.
[52:19.000 --> 52:21.000]  You know, it's a little bit like the old digital hub story
[52:21.000 --> 52:23.000]  that Steve Jobs told back in 2000,
[52:23.000 --> 52:25.000]  except the center of the hub now is the iPhone.
[52:25.000 --> 52:27.000]  The iPhone is with you all the time.
[52:27.000 --> 52:29.000]  It's got the high speed connection.
[52:29.000 --> 52:31.000]  And then you can have something like this,
[52:31.000 --> 52:34.000]  whether it's one sensor that's on your wrist
[52:34.000 --> 52:37.000]  or whether it's a constellation of different things
[52:37.000 --> 52:40.000]  on your body and in your house and wherever else.
[52:40.000 --> 52:42.000]  And they all, you know, talk to your iPhone
[52:42.000 --> 52:44.000]  and your iPhone collects the data
[52:44.000 --> 52:47.000]  and relays things to the internet and all of that.
[52:47.000 --> 52:51.000]  But, you know, it doesn't feel like, you know, again,
[52:51.000 --> 52:53.000]  it feels like it's about accessories.
[52:53.000 --> 52:58.000]  It's about adding on, not about a category
[52:58.000 --> 53:02.000]  that is breaking, I don't know, entirely new ground.
[53:02.000 --> 53:05.000]  You know, it's hard to even think about this
[53:05.000 --> 53:06.000]  because it's so intertwined.
[53:06.000 --> 53:08.000]  It's technology and it's fashion.
[53:08.000 --> 53:13.000]  And I do think it's going to rely on the iPhone
[53:13.000 --> 53:14.000]  to some degree.
[53:14.000 --> 53:15.000]  So this is the question of like,
[53:15.000 --> 53:17.000]  how many of these are going to be sold?
[53:17.000 --> 53:21.000]  How often is a person expected to buy one of these?
[53:21.000 --> 53:23.000]  If you buy something and put it on your wrist
[53:23.000 --> 53:25.000]  are you expecting to have it there for a year, two years,
[53:25.000 --> 53:26.000]  five years?
[53:26.000 --> 53:28.000]  I don't know.
[53:28.000 --> 53:30.000]  Yeah, and, you know, it's funny.
[53:30.000 --> 53:32.000]  I've, in the same way that I've avoided
[53:32.000 --> 53:34.000]  using the phrase iPhone 6,
[53:34.000 --> 53:36.000]  or I've tried to, you know, wherever practical.
[53:36.000 --> 53:38.000]  I've avoided, I certainly avoid,
[53:38.000 --> 53:40.000]  I think I've never used the word I watch.
[53:40.000 --> 53:41.000]  Yeah.
[53:41.000 --> 53:44.000]  And I've tried to avoid calling it a watch.
[53:44.000 --> 53:46.000]  I've been calling it a wearable.
[53:46.000 --> 53:48.000]  And I knew, you know, I know for a fact
[53:48.000 --> 53:51.000]  that they're working on, you know, some sort of wearable stuff
[53:51.000 --> 53:53.000]  for a while, but I didn't know any more than that
[53:53.000 --> 53:55.000]  and I didn't want to assume watch.
[53:55.000 --> 53:57.000]  And I heard some people say it's a watch
[53:57.000 --> 53:59.000]  and I thought, all right, that's a possibility.
[53:59.000 --> 54:01.000]  And obviously there's a lot of companies
[54:01.000 --> 54:04.000]  in the last 12 months that have been active
[54:04.000 --> 54:08.000]  making, you know, smart watches.
[54:08.000 --> 54:12.000]  But all that said, it seems like in the run-up to this event,
[54:12.000 --> 54:16.000]  there's suddenly a lot more smoke, you know, in terms of,
[54:16.000 --> 54:19.000]  you know, my triangulating these rumors,
[54:19.000 --> 54:21.000]  I often just subscribe to you.
[54:21.000 --> 54:24.000]  If there's enough smoke, there's got to be some sort of fire.
[54:24.000 --> 54:26.000]  And there's an awful lot of smoke specifically
[54:26.000 --> 54:28.000]  that it's a watch, or two watches, I guess,
[54:28.000 --> 54:32.000]  is actually, you know, I think Nick Bolton,
[54:32.000 --> 54:34.000]  I think from the New York Times has said that.
[54:34.000 --> 54:35.000]  Or was it Brian Chen?
[54:35.000 --> 54:38.000]  Yeah, it looks like we're at the point now where it's,
[54:38.000 --> 54:41.000]  it's, it's leaks and counter leaks.
[54:41.000 --> 54:44.000]  And that some of this is about Apple,
[54:44.000 --> 54:46.000]  this late in the game, it's also about Apple trying
[54:46.000 --> 54:47.000]  to set expectations.
[54:47.000 --> 54:49.000]  So I think, I think definitely there's so much smoke here
[54:49.000 --> 54:53.000]  that there's no way there isn't fire of some kind.
[54:53.000 --> 54:56.000]  But if it really is a watch,
[54:56.000 --> 54:59.000]  and I think that's still, even right now, you know,
[54:59.000 --> 55:01.000]  and like I said, there's a lot of people who are listening
[55:01.000 --> 55:03.000]  to this podcast, possibly after the event.
[55:03.000 --> 55:05.000]  So enjoy.
[55:05.000 --> 55:09.000]  As you and I are speaking on Sunday night,
[55:09.000 --> 55:10.000]  yeah, we don't know.
[55:10.000 --> 55:13.000]  I still think if it's a watch,
[55:13.000 --> 55:17.000]  boy, the word watch has so many expectations.
[55:17.000 --> 55:18.000]  Like people buy a watch,
[55:18.000 --> 55:20.000]  they do not expect to replace a watch every two years.
[55:20.000 --> 55:24.000]  I mean, people buy a watch and they expect that thing to last.
[55:24.000 --> 55:28.000]  And if it's expensive, they really expect it to last.
[55:28.000 --> 55:30.000]  You know, and there was a leak,
[55:30.000 --> 55:33.000]  I forget who had it that somebody said that Apple's considering
[55:33.000 --> 55:35.000]  a $400 price point.
[55:35.000 --> 55:37.000]  And that makes me laugh in one way,
[55:37.000 --> 55:39.000]  and it makes me think, hmm, and another,
[55:39.000 --> 55:42.000]  because if it's true that it's $400,
[55:42.000 --> 55:44.000]  or they're thinking about $400,
[55:44.000 --> 55:47.000]  then I think it's not an accessory, right?
[55:47.000 --> 55:50.000]  I think $400, you're in the range of something that's sort
[55:50.000 --> 55:52.000]  of got to stand on its own.
[55:52.000 --> 55:53.000]  I don't know.
[55:53.000 --> 55:54.000]  I don't know.
[55:54.000 --> 55:56.000]  It depends on what accessory means.
[55:56.000 --> 55:58.000]  I mean, it may just be to get on the internet
