[00:00.000 --> 00:05.180]  Feel like we got to talk about the thing which thing my thing. How was your with your eyeball? Yeah
[36:19.660 --> 36:22.620]  You don't want to have I don't even know most things asking for this
[36:22.620 --> 36:28.300]  But I can look at this as a user and say this thing should have it and I would bet that there's you know
[36:28.300 --> 36:36.060]  a half dozen types of these products that could use the levels of access that the alarm clock alarm clock app have right and
[36:36.060 --> 36:39.540]  You know, I like I said, I don't hold out a whole lot of hope that that'll ever happen
[36:39.540 --> 36:45.260]  but I certainly hope that these people are talking to Apple and saying look you're not gonna make this and we're trying to make it
[36:45.260 --> 36:46.140]  as as
[36:46.140 --> 36:48.700]  Top quality and experience for your users as we can
[36:49.420 --> 36:52.580]  And I think I think on Android there's at least you know
[36:52.580 --> 36:54.700]  I don't have enough experience with it to say they could definitely do this
[36:54.700 --> 37:01.140]  But there's definitely more flexibility and more access on that side where you know, we just don't have it on the iPhone. Yeah
[37:01.140 --> 37:09.340]  With pebble, I never really wrote about it on during fireball because I always felt a little bad and I often I'll complain about other
[37:09.340 --> 37:14.660]  People grading somebody on a curve or something and I don't feel it's quite that way because I like the idea of pebble
[37:14.660 --> 37:16.940]  I like that. They seem like a good company
[37:17.860 --> 37:20.620]  I'm rooting for them and I really felt bad
[37:20.620 --> 37:24.460]  Like I just didn't I couldn't get myself to just really write about it
[37:24.460 --> 37:27.560]  Because if I were gonna write about it, I'd have to be honest and if I were honest
[37:27.560 --> 37:32.060]  It would be a very negative review and I just didn't want to do it
[37:32.060 --> 37:35.860]  You know, I'd rather say nothing than you know
[37:36.380 --> 37:38.380]  Because so you get on the podcast
[37:38.540 --> 37:42.580]  Exactly, and I feel like that's sort of the fun thing about having a podcast. It's is a little bit
[37:43.460 --> 37:47.660]  You know, like I can use the intonation of my voice and and it conveys it
[37:47.660 --> 37:53.620]  I think I think everybody listening to this can kind of knows what I'm saying, right? It's absolutely it's easier to be
[37:54.140 --> 37:55.460]  I
[37:55.460 --> 37:58.260]  Put some emotion into it maybe to put a better way
[37:58.260 --> 38:01.060]  So I bought I signed up for the new one too, even though I don't
[38:01.820 --> 38:07.600]  Expect not to like it either but I like them enough that I got the cheapest pebble time that I could
[38:07.900 --> 38:12.980]  you know, I looked at it and I thought it's so close to the Apple watch and
[38:13.580 --> 38:14.840]  I'm interested in it
[38:14.840 --> 38:20.840]  But it doesn't seem like there's any real benefit to getting it ahead of time if I were a consumer just a pure consumer
[38:20.840 --> 38:24.860]  I would not have done bought it. I feel like for whatever I paid for the
[38:24.860 --> 38:26.860]  200 bucks or whatever
[38:27.100 --> 38:29.100]  I can I can
[38:29.580 --> 38:33.300]  It's a perfectly valid business expense. Yeah, it's cost of doing business for you. Absolutely
[38:33.820 --> 38:40.540]  well, the thing to me was that again it seemed very clear that the Android experience for this was going to be superior to the
[38:40.540 --> 38:42.500]  iOS experience and
[38:42.500 --> 38:47.920]  Because Apple is now making a watch. They're not going to be inclined to make it any better for pebble
[38:48.580 --> 38:51.900]  So it that to me scared me off of it a little bit
[38:51.900 --> 38:55.660]  I was also interested that they did another Kickstarter on this. Yeah, I thought that was
[38:56.220 --> 38:59.740]  Yeah, I thought it well, yeah, cuz I bought it from their Kickstarter, right?
[38:59.740 --> 39:04.860]  But I mean just the I think it was two or three years ago Kickstarter had a blog post and it said Kickstarter is not
[39:04.860 --> 39:08.660]  A store. Yeah, that was the headline of a blog post, right and
[39:09.740 --> 39:14.540]  Now this product I think it's supposed to ship it in May which is two months from now
[39:15.620 --> 39:17.620]  Kickstarter is a store for this product
[39:17.620 --> 39:22.340]  Yeah, totally. I mean, there's there's no other way to look at this then that
[39:22.900 --> 39:25.980]  You're buying this and in two months, you'll have it and you're not really
[39:26.500 --> 39:29.380]  You're not backing it to make it come into existence
[39:29.380 --> 39:33.260]  If you don't buy it there, you're gonna be able to buy it somewhere else in two months no matter what
[39:33.260 --> 39:36.880]  So I think they opened this thing six days ago. It was sometime last week
[39:37.180 --> 39:42.260]  It was yeah within the past week or so, although I seem to recall it was before my my incident
[39:42.260 --> 39:46.200]  But anyway, they've already raised 12 million dollars, which is crazy. It's great
[39:46.200 --> 39:49.400]  They wanted they had a five hundred thousand dollar goal, which they knew they were gonna read
[39:49.400 --> 39:51.400]  Yeah, they knew they were gonna blow through that right
[39:51.800 --> 39:55.440]  But they've got 12 million and are they the top?
[39:55.440 --> 40:01.520]  I was looking a few days ago at the top projects and the pebble was like number three and the pebble time was already number
[40:01.520 --> 40:07.560]  four yeah, and the pebble was number one for a long time like right what it was the
[40:08.360 --> 40:11.760]  It had sat at number one for like the longest period of anybody. I
[40:11.760 --> 40:18.960]  Also, like I know that they've hired some people with who were interaction designers for web OS
[40:18.960 --> 40:23.660]  I think maybe all the way back to when it was a palm project, which I've always thought was a great
[40:24.080 --> 40:28.320]  Design for an operating system like without any hesitation
[40:28.320 --> 40:34.500]  I would say this you know second only to iOS and the one with the most ideas that I kind of feel like we're better
[40:34.500 --> 40:35.800]  than iOS
[40:35.800 --> 40:38.800]  And then almost none of them got picked up anywhere. No
[40:38.800 --> 40:42.840]  No, but like the way they did notifications with a thing at the bottom
[40:42.840 --> 40:47.720]  I mean, it's you know, we have it a lot now there, you know, they're like what on iOS we call banners
[40:48.640 --> 40:54.320]  But on the web OS they were at the bottom and they everything was designed from the get-go to support them
[40:54.320 --> 40:59.300]  So whatever was on your interface would shrink to go above it, you know, okay
[41:00.360 --> 41:02.120]  Just all sorts of little things like that
[41:02.120 --> 41:05.360]  Not that that's you know, not that the bottom is that much greater than the top
[41:05.360 --> 41:09.600]  But there was so many little things about web OS that were really nice, you know, and you know
[41:09.600 --> 41:12.840]  A lot of them have come to Android and iOS now, you know
[41:12.840 --> 41:17.880]  the card based interface for switching is right, you know was web OS and they've they've
[41:18.200 --> 41:22.760]  Just looking at the video for the new pebble time. There's so many little bits of
[41:24.040 --> 41:29.920]  Animation I'm impressed. I mean I'm and it looked like it was all straightforward like that
[41:29.920 --> 41:35.940]  They were shooting actual prototypes. Like it wasn't like that. They write it wasn't animated, right? Yeah
[41:35.940 --> 41:37.760]  So that's impressive for e-ink
[41:37.760 --> 41:42.520]  I think and it you know, it just shows it was a glaring weak spot in there
[41:43.080 --> 41:50.280]  1.0 pebble OS the interaction design of that thing was it really felt like like a device from the early 90s
[41:50.440 --> 41:52.120]  No animation
[41:52.120 --> 41:56.340]  everything just sort of jumped from one thing to another right and no real sense of
[41:56.340 --> 42:02.900]  I what would you call it even spatiality? I don't know like place like where am I in the watch?
[42:02.900 --> 42:05.940]  I don't write you were just always looking at whatever was there and then
[42:06.420 --> 42:11.060]  Swiping to a completely new right like wiping the whole screen and getting a new look at it, right?
[42:11.060 --> 42:14.980]  So they've come up with you know, I is it actually going to be useful
[42:14.980 --> 42:19.060]  I don't know but it to me at least it's novel which to me is always impressive
[42:19.060 --> 42:27.180]  and it sounds like it could be good this timeline interface where older stuff is up and future stuff is
[42:27.300 --> 42:28.740]  down and
[42:28.740 --> 42:30.820]  The moment right now is in the middle
[42:31.180 --> 42:35.740]  So if you want to look at what you were doing yesterday you go up and you can see like what was my step count?
[42:35.740 --> 42:36.740]  yesterday
[42:36.740 --> 42:37.780]  I
[42:37.780 --> 42:42.860]  Guess where was I yesterday and if you want to see where you have to go tomorrow you go down and it'll say well
[42:42.860 --> 42:47.020]  Here's you know, here's your schedule for tomorrow and then you hit the middle button and you're back to now
[42:47.020 --> 42:50.380]  Here's the time and what's going on right now. I think yeah
[42:51.700 --> 42:56.620]  I think it was a pretty impressive response because obviously when was the Apple watch announced
[42:57.380 --> 43:02.540]  Last September. Yeah, so I'm presumably they were already working on this
[43:02.540 --> 43:08.740]  but and they you know had a sense that something might be coming from Apple, but then suddenly Apple announces it and
[43:09.180 --> 43:14.140]  They're trying to compete with that obviously as a smartwatch, but it's a very different product
[43:14.140 --> 43:18.940]  They're not they didn't suddenly say, you know what? We better put a touchscreen on there and it's got to be a proper
[43:19.180 --> 43:21.180]  You know LED display
[43:21.340 --> 43:23.340]  or LCD display rather
[43:24.060 --> 43:27.380]  you know they they stuck with what they had which was the e-paper and
[43:27.660 --> 43:32.100]  improved upon that in a way that makes it a different product and not sort of a
[43:32.820 --> 43:39.060]  Direct competitor to the Apple watch. Yeah, definitely. I think if anything if if Apple watches had any influence on
[43:39.060 --> 43:45.160]  This at all. I would guess it's only the timing that maybe that's you know, it lit a fire
[43:45.900 --> 43:49.460]  Yeah, you know that I mean they expect to ship them in May
[43:49.460 --> 43:50.340]  I mean
[43:50.340 --> 43:54.300]  But maybe that was a good and maybe it was really just motivation that knowing that you know
[43:54.300 --> 43:57.820]  when Apple finally decloaked the watch in September and said early
[43:58.740 --> 44:04.480]  2015 that it really motivated the people who work at pebble to let's we've got a ship before they do
[44:04.480 --> 44:11.060]  You know, we are we used to have to announce before they do it's a good motivation, but I would bet though that the design
[44:11.060 --> 44:15.140]  Of this was already largely in place and it certainly is true to the original pebble
[44:16.380 --> 44:21.980]  Vision and that's to me is also why these guys are so interesting to watch is they clearly have a very different
[44:23.860 --> 44:27.460]  Just basic idea for what a little wrist smart
[44:28.220 --> 44:32.920]  Computer would be like then Apple does well and it's much simpler. It's you know, it's
[44:32.920 --> 44:36.840]  Is the the technology inside of it is a lot simpler, which means it's cheaper
[44:36.840 --> 44:40.020]  It means it lasts for what do they say like seven to ten days, I think
[44:40.680 --> 44:44.880]  I know the first one did which was definitely true in my experience. Yeah. Oh, absolutely
[44:44.880 --> 44:47.280]  the first one definitely had good battery life and
[44:48.520 --> 44:55.560]  Apple still hasn't announced an actual battery life, but they're saying charge it every night, right? Right. So that to me is definitely
[44:56.280 --> 44:57.240]  Not a good thing
[44:57.240 --> 44:59.800]  I mean, I don't think it'll affect things too negatively
[44:59.800 --> 45:03.000]  But I'd rather not have to charge a watch every single night, right?
[45:03.000 --> 45:08.320]  It were to know that if you're only going away for an overnight, you know, like just one overnight
[45:08.320 --> 45:13.880]  I'm gonna be in New York, you know for 48 hours that you still have to take your charger, right?
[45:13.880 --> 45:20.200]  And and it's a different charger than everything else you've got. So you've got your charger for your phone and your laptop and now your watch
[45:21.240 --> 45:24.200]  Right, and it's totally understandable. Why I you know
[45:24.200 --> 45:31.280]  Although I wonder like because to me the way forward would be to get the iPhone on the magnetic charger
[45:31.280 --> 45:35.480]  I mean clearly a lightning port is never gonna happen on a watch because it would be horrible
[45:37.440 --> 45:40.240]  But a magnetic charger for the iPhone that I could see that
[45:42.040 --> 45:45.600]  In terms of like decreasing the number of things you have to pack with you
[45:45.600 --> 45:48.920]  But on the other hand like when you travel I always you know
[45:48.920 --> 45:50.840]  I charge my phone right before I go to sleep
[45:50.840 --> 45:55.920]  And so if I have to charge the phone and the watch I still I don't see how you get out of two chargers
[45:55.920 --> 45:59.860]  But at least you maybe you know, you don't have to worry that you've picked the wrong one
[46:00.640 --> 46:06.080]  Right. Well, I guess the the other thing that I sort of don't understand is that there's definitely been talk of using
[46:06.400 --> 46:13.960]  The taptic feedback to wake you up in the morning. No, yeah. Yeah, if you're charging the watch overnight, that's not gonna work, obviously
[46:14.480 --> 46:15.680]  right
[46:15.680 --> 46:20.440]  Yeah, I don't get it. I know Johnny I've I think it was I don't think they talked about it at the event
[46:20.440 --> 46:26.240]  but I think there was some kind of interview with Johnny I've like maybe it was the Vanity Fair conference that he was interviewed at and
[46:26.320 --> 46:28.320]  He mentioned that it's a great
[46:28.520 --> 46:32.540]  Alarm clock and you immediately you heard my guy messaging me like well
[46:35.560 --> 46:37.560]  You'll charge it every night
[46:37.720 --> 46:41.760]  And then you'll remember at 4 in the morning to wake up put it on
[46:41.760 --> 46:48.260]  Yeah, like you have to set your iPhone alarm to remind you. There you go. And fortunately that alarm goes no matter what?
[46:48.260 --> 46:53.680]  So your iPhone alarm will go off. You'll put the watch on and then four hours later. You'll wake up
[46:55.280 --> 47:00.200]  There is some talk I forget where it came out like in the dribs and drabs of stuff that's coming out in the last few weeks
[47:01.400 --> 47:03.160]  There's something that came out of that
[47:03.160 --> 47:04.840]  It might charge very quickly
[47:04.840 --> 47:11.660]  That it won't take all night to charge that it'll charge pretty fast and that might not even be because the charging technology is all
[47:11.660 --> 47:15.440]  That fast but simply that it's such a tiny batteries got a tiny battery, right?
[47:15.440 --> 47:20.600]  Exactly. It can't have that big a battery given how given how big it is, right that maybe like an iPad
[47:21.080 --> 47:23.640]  That was charging at the same rate would take a week
[47:24.080 --> 47:27.440]  But but the watch can charge in half an hour or something like that
[47:27.840 --> 47:33.920]  And did they say anything is the bigger watch gonna have a bigger battery? It must right? I
[47:35.360 --> 47:41.880]  Mean, why wouldn't it I can't imagine that I can't imagine that they would put a smaller battery in it
[47:41.880 --> 47:43.880]  Just so that it has the same
[47:43.880 --> 47:50.120]  You know and and you know, presumably it's going to need the laws of physics would say that right going to need a bigger
[47:50.120 --> 47:52.920]  It's gonna the screens gonna use more energy because it has right
[47:52.920 --> 47:57.600]  So it's not actually the question is is will it have longer battery life, right?
[47:57.600 --> 48:02.800]  Is it like an iPhone 6 6 plus type thing where the bigger one is gonna have noticeably better battery life
[48:02.800 --> 48:07.280]  Or is it the other way around or maybe maybe the extra size of the screen?
[48:08.120 --> 48:12.360]  Eats up all the extra battery that they can fit in there. I don't know. It's a good question
[48:12.360 --> 48:18.000]  I guess we'll see in a week. Maybe yeah, I hadn't really thought about this Chris for whatever reason
[48:18.640 --> 48:24.760]  Selfishly, I had known that if I get one of these I'm gonna want 42 millimeters not the 38 millimeter
[48:24.760 --> 48:29.160]  So I haven't really thought about the 38 millimeter ones and then when it comes to cost I haven't really
[48:29.920 --> 48:35.560]  Like it the game that everybody's playing, you know the last two weeks including me. I'm not pointing figures
[48:35.560 --> 48:42.120]  But you know how much of these things gonna cost I hadn't occurred to me that the 38 millimeter one would cost less
[48:42.760 --> 48:48.040]  Right at any level aluminum steel gold gold. It makes it with the gold, right?
[48:48.320 --> 48:55.840]  Right, because even if the price isn't really based on the price of gold it it there's the illusion that it is right, right?
[48:55.840 --> 48:59.360]  Yeah, so if you if you if they were the same price then somebody's getting something for free
[48:59.920 --> 49:04.960]  Right, right. It feels like it actually feels like you're getting ripped off if they're the same price
[49:04.960 --> 49:07.560]  If you're having the bigger or the smaller one
[49:08.240 --> 49:13.800]  But anyway, we can talk about pricing in a moment. We should but with pebble, I don't know at the bottom line
[49:13.800 --> 49:16.360]  I'm very impressed by what they've showed
[49:16.360 --> 49:21.560]  I don't think I'm gonna like it and I think you're right that maybe it's not even fair because I'm an iPhone user
[49:21.560 --> 49:23.840]  But I'm rude. I'm certainly rooting for them
[49:23.840 --> 49:30.840]  Oh, I think it's I think it's certainly great to have anybody in the space doing something to compete with Apple and doing something different
[49:30.840 --> 49:38.760]  Where hopefully some ideas cross pollinate instead of you know, somebody coming directly head-on and and you're just trying to match features here
[49:38.760 --> 49:40.360]  it's something where
[49:40.360 --> 49:42.360]  pebble has some very different ideas and
[49:42.440 --> 49:47.920]  potentially it changes the way you do things on both platforms and Android where I think one of the things that to me was a
[49:47.920 --> 49:49.720]  little surprising about
[49:49.720 --> 49:56.960]  The when the Apple watch was unveiled in September was how at least at the hardware level
[49:56.960 --> 50:04.020]  It's sort of the same basic idea as Android where right like it's you know a phone type display
[50:04.020 --> 50:07.240]  You know whether it's IPS or whether it's OLED or whatever
[50:07.240 --> 50:12.440]  It sounds like apples is going to be OLED because they want the blacks to you know, they want the deeper blacks
[50:14.200 --> 50:21.100]  But it whatever the actual technology it's a you know, a light up bright color phone display with a touchscreen
[50:21.100 --> 50:27.700]  You know, it's take a take a modern smartphone and shrink it to your watch right at a fundamental level now
[50:27.700 --> 50:32.820]  I think Apple watch is clearly more ambitious than Android where in terms of having apps actually on the watch and
[50:32.860 --> 50:38.920]  Android where is a little bit more about just showing you these cards that are based on your Google now
[50:39.780 --> 50:43.020]  Profile it's more like here's all the stuff. Google knows about you
[50:43.020 --> 50:50.300]  Google knows you have a flight tomorrow because your Gmail adds the flight confirmation from the airline and so they put a card on here and
[50:50.300 --> 50:53.020]  since they know you have a flight and you're going to
[50:54.260 --> 50:59.380]  You know, I know San Francisco then they know to put a card on there that has your weather for San Francisco
[50:59.380 --> 51:03.220]  You know, it's this card based interface, but just at the hardware level, you know, it's this
[51:03.900 --> 51:05.900]  one day of battery life
[51:06.100 --> 51:11.420]  Bluetooth connection to your phone with a bright color screen and well pebble has a very different
[51:12.620 --> 51:14.140]  Take on that with the back
[51:14.140 --> 51:17.420]  I mean the pebbles obviously very different with the with the e-paper with the ink
[51:17.420 --> 51:22.660]  But what what might you have expected Apple to do any differently? I guess I don't know. I you know, I
[51:23.820 --> 51:29.340]  Guess it's not in the digital crown is sort of there. Yes wishing hardware characteristic, right?
[51:29.500 --> 51:35.140]  Absolutely, and and I know that it sounds like a trivial little thing and I pointed this out on Twitter the other day
[51:35.420 --> 51:39.060]  and a whole bunch of like Android people were like
[51:40.140 --> 51:44.100]  Dude, all the Android wear phones have a crown look and now but they don't they have buttons
[51:44.100 --> 51:48.980]  They have a it looks, you know, it's placed where it goes on a watch, you know
[51:48.980 --> 51:51.740]  It's over there in the same place where a dot, you know, a crown is on a watch
[51:51.980 --> 51:54.260]  But on all the Android wear phones that I've seen to date
[51:54.260 --> 51:59.220]  It's just a button that you press to like wake it up or dismiss things or something what I mean that Apple
[51:59.300 --> 52:06.300]  You know has done that is original is the spinning crown and that it's a big part of the interaction of using the device
[52:06.900 --> 52:11.140]  Well, I think they talked about it right that the you know the gesture on the iPad
[52:11.140 --> 52:18.300]  you know ten years ago the the spinning wheel was a big deal and then touch multi touch on the iPhone and now this is
[52:18.300 --> 52:20.300]  sort of the new gesture that
[52:20.960 --> 52:25.740]  You know is distinguishing and and potentially changes the way you're gonna use this sort of thing, right?
[52:25.740 --> 52:29.700]  I think that yeah, I think you're right though that in the video like I think Johnny I've you know
[52:30.300 --> 52:31.860]  We're not like putting words in his mouth
[52:31.860 --> 52:36.260]  That's exactly what he said like that each one of those leaps forward came with one
[52:36.260 --> 52:42.580]  New thing like the Macintosh with the mouse pointer, right? Right. You have a thing on your desk that you slide around your desk
[52:42.580 --> 52:44.580]  And it moves a pointer on your screen
[52:44.860 --> 52:47.060]  That's what the crown is to the Apple watch
[52:47.660 --> 52:48.140]  Yeah
[52:48.140 --> 52:50.900]  So so when you did the when you got to try one on
[52:51.180 --> 52:55.700]  Did what did you try one of the functional ones on or did you just have the I know they had like a demo?
[52:56.100 --> 52:56.620]  No
[52:56.620 --> 53:02.100]  Nobody that I know of got to try on only Apple employees got had the functioning ones the ones that I got to try on
[53:02.100 --> 53:07.260]  We're all running the loop, but the loop included like when?
[53:08.700 --> 53:12.180]  It included things like getting a text message. So it's like
[53:13.020 --> 53:17.180]  You know, it wasn't like a movie was playing on a watch. It's like a series of
[53:18.660 --> 53:24.620]  Events. Yeah, you know, right, but it's still not but so did you use the digital crown at all? I
[53:25.620 --> 53:28.380]  Got to spin it, but I did not get to
[53:28.380 --> 53:34.380]  Use it in a meaningful way like it like when I spun it. It didn't affect what was going on on the watch, right?
[53:34.380 --> 53:39.900]  Yeah, so that's that's sort of what I was trying to get at is that I guess almost nobody besides Apple people has any experience
[53:39.900 --> 53:45.780]  With how this interface actually works, right? Oh, and that reminds me I have a bit of
[53:47.700 --> 53:55.620]  Follow-up from last week with I had John Moltz on the show and I used the wrong word I described it. I
[53:55.620 --> 54:01.620]  Described the feel of the digital crown as I used the word lugubrious
[54:04.260 --> 54:08.220]  I knew it was a really wonderful word that started with L
[54:08.220 --> 54:12.460]  But lugubrious is a word that means looking or sounding sad and dismal
[54:14.580 --> 54:19.860]  It sounds like it means like liquid yeah, which is somehow why
[54:19.860 --> 54:26.020]  somehow why I extemporaneously speaking it came to mind the word I was looking for was
[54:26.780 --> 54:28.780]  lugubriousness
[54:29.540 --> 54:32.140]  As in lubricated yes, okay
[54:32.940 --> 54:35.300]  Lugubrious is a word that means well
[54:35.300 --> 54:42.280]  The first sense of it is not what I mean the first sense means offensively displaying or intended to arouse sexual desire
[54:43.420 --> 54:45.500]  That is not what I meant. I meant
[54:46.140 --> 54:47.380]  definition to
[54:47.380 --> 54:50.620]  smooth and slippery with oil or a similar substance
[54:51.180 --> 54:57.180]  okay, and there is it's simply the only word that I've encountered that describes the feel of
[54:57.740 --> 54:59.740]  The digital crown it has a wonderful
[55:00.940 --> 55:03.660]  Wonderful almost magical lugubriousness to it
[55:04.740 --> 55:09.000]  Alright, I'm telling you when this thing comes out and everybody gets to play with it
[55:09.000 --> 55:11.900]  I'm telling it this is all everybody is gonna say is oh my god
[55:11.900 --> 55:17.620]  I like to just sit there and spin that wheel. It just has this wonderful feel it feels amazing. It
[55:18.420 --> 55:25.620]  Does not feel like you're spinning a mechanical thing. It feels like like it's somehow suspended in the world's like
[55:26.420 --> 55:32.060]  Best oil and that it's like not even touching anything mechanical and it just spins in the oil
[55:32.820 --> 55:36.580]  And it doesn't it doesn't spin. It doesn't ever reach an endpoint, right?
[55:36.580 --> 55:43.580]  No, it spins infinitely in both directions like a like a mouse pointer or a you know mouse wheel like a scroll wheel
[55:43.580 --> 55:46.540]  Yeah, yeah, right, right. So if you were if if
[55:48.860 --> 55:52.680]  It's still and I you know people say to me like I say like even on the show last week
[55:52.680 --> 55:56.360]  I I'll emphasize I really I still have so many questions about Apple
[55:56.360 --> 55:59.520]  I mean, I'm kind of bummed that I'm not going to the event because I have so many questions, but
[56:00.520 --> 56:05.140]  You know and there's so many other events where I go and I don't really have that many questions
[56:05.140 --> 56:07.200]  You know, I mean like right when there's a new iPhone
[56:07.200 --> 56:13.480]  it's not gonna be terribly different from the old iPhone right like that or the better example would be the
[56:13.900 --> 56:17.400]  iPads last year. All right, because at least with the iPhones last year
[56:17.400 --> 56:21.060]  It's like well, am I gonna like a bigger phone how you know, the big phone was kind of a curiosity
[56:21.620 --> 56:26.940]  But with the iPads it was like same as last year, but now they have touch ID. It's like, okay
[56:26.940 --> 56:31.540]  I'm not saying I don't blame Apple. I'm not saying that was a bad event. I'm saying that's somehow that's how progress happens
[56:31.540 --> 56:33.660]  I'm just saying if I had to miss that event
[56:33.660 --> 56:37.940]  I I don't really feel like I was missing out on a chance to really learn anything
[56:37.940 --> 56:41.060]  I mean, it's pretty easy to figure out, you know remotely
[56:41.820 --> 56:47.080]  Where's the watch? I have so many questions so many questions and and I don't I don't see how anybody couldn't
[56:47.220 --> 56:52.060]  You know beefs chock full of questions because though the one thing they've shown that you use the crown for is zooming
[56:52.160 --> 56:54.080]  So when you're on the home screen
[56:54.080 --> 56:59.120]  You can turn it one with spin it one way and the apps get smaller and you'll see more of them and you spin it
[56:59.120 --> 57:01.580]  The other way and you zoom in which makes them easier to tap
[57:01.580 --> 57:08.900]  And then the photos work the same way so you can zoom out and you see, you know thousands of two or hundreds
[57:08.900 --> 57:12.340]  I guess of tiny little thumbnails and then you can zoom in and make them bigger
[57:12.540 --> 57:18.540]  But are you gonna be able to use it to scroll or when you scroll is that you know, like you use the touch screen. I
[57:19.780 --> 57:23.580]  Mean, I can't imagine that you're gonna want to read long passages of text
[57:23.740 --> 57:25.340]  but you know
[57:25.340 --> 57:30.780]  It still seems to me like that would work for scrolling too because that it would for the same reason that they said that they
[57:30.780 --> 57:35.440]  Didn't want to use touch for everything which is that your you know, your big fat finger covers everything skits in the way
[57:35.440 --> 57:37.440]  Yeah, right. I
[57:38.780 --> 57:42.300]  Should take another break for a sponsor, but I just off the top of my head another thing
[57:42.300 --> 57:45.980]  I know I've mentioned this before but it's okay because everybody forgets all sorts of stuff
[57:45.980 --> 57:48.820]  But I keep getting questions on Twitter about whether there are going to be left-handed
[57:50.060 --> 57:57.780]  Models of the watch and the answer is no you can just it's a setting it might even be right
[57:57.780 --> 58:02.020]  Yeah, you just turn it upside down and because the straps come right off. It's very easy
[58:02.020 --> 58:04.140]  you'll just take the straps off put the
[58:04.620 --> 58:09.940]  You know top strap on the bottom bottom strap on the top and then when you put it on your wrist it like knows
[58:09.940 --> 58:13.380]  That oh you're left-handed and it'll just turn the whole interface upside down
[58:13.380 --> 58:18.380]  And it is is it not even a setting that you need to adjust? I don't think so
[58:18.380 --> 58:24.700]  Although I don't know because I asked it might be the sort of thing that if if you do it
[58:24.700 --> 58:28.960]  Before you go through the first run. It'll recognize it and no, okay
[58:30.020 --> 58:36.520]  But otherwise, you know, I think it's just a quick setting, you know open up settings and you know tap a checkbox and
[58:37.300 --> 58:38.820]  It just turns upside down
[58:38.820 --> 58:44.860]  so the only difference you'll have as a left-handed user is that your crown will be underneath the button and
[58:45.380 --> 58:48.720]  So yeah that of the crown being above the button. It'll be below the button
[58:48.720 --> 58:51.620]  That's the only difference which does make it a little weird
[58:51.620 --> 58:56.100]  It still makes me you know, I'm still curious about the whole idea that it's not
[58:56.660 --> 58:59.920]  Centered that the crown isn't centered because if the crown were centered
[59:00.140 --> 59:05.380]  Which it is on a lot of watches then it would be it would be identical left-handed and right-handed. I
[59:06.220 --> 59:12.880]  Don't think it's a big difference though. And I also know I saw firsthand walking around after the event. I saw at EQ
[59:13.980 --> 59:16.780]  Wearing his and he's left-handed and he had it on his right hand
[59:17.940 --> 59:19.180]  upside down
[59:19.180 --> 59:23.300]  Well, wait, but there's only one button right? There's the crown on the button, right?
[59:23.300 --> 59:27.820]  But the button is underneath the crew when you're wearing it on your left wrist
[59:27.820 --> 59:32.080]  The crown is at the top and you have buttons underneath. So if you turn it upside down
[59:32.820 --> 59:36.660]  The crown is on the bottom and the button is at the top, right?
[59:36.660 --> 59:41.380]  But even if even if the crown were centered the button would still oh, yeah the button would still yeah, that's flipped
[59:41.380 --> 59:43.380]  Yeah, exactly. I'm in my
[59:43.380 --> 59:49.220]  You know, I wonder why they didn't do it this way world it would I guess it's sort of why didn't they put the button?
[59:49.220 --> 59:51.220]  On one side and the crown on the other
[59:51.460 --> 59:52.940]  Right having both in the center
[59:52.940 --> 59:58.660]  But if you're gonna put one above the other it would definitely not be the same left-handed and right-handed, right? Yeah
[59:59.980 --> 01:00:04.420]  Let me take a break here and thank our good friends at Casper
[01:00:05.100 --> 01:00:07.500]  Casper P E R
[01:00:07.500 --> 01:00:15.300]  Casper this is the mattress people. Right? These are the mattress people online retailer of premium mattresses
[01:00:15.860 --> 01:00:21.460]  For a fraction of the price the mattress industry has inherently forced consumers into paying
[01:00:22.300 --> 01:00:25.380]  Notoriously high markups and they confuse the hell out of you
[01:00:25.380 --> 01:00:30.420]  You know you go into one mattress store and it's like the the Sealy posturpedic
[01:00:31.620 --> 01:00:34.900]  XPC to seven you go to the next door. They don't have that one
[01:00:34.900 --> 01:00:39.940]  They because they did from one store to another they sell the same mattress with a completely different name
[01:00:40.100 --> 01:00:46.700]  So that you can't do the sort of comparison shopping that any sane person would do when when you know buying something
[01:00:46.700 --> 01:00:48.700]  You know significant like a mattress
[01:00:49.340 --> 01:00:53.540]  It's a scam. It's a cartel. Well Casper is busting it up
[01:00:55.020 --> 01:01:00.020]  Revolutionizing the mattress industry by cutting the cost of dealing with resellers and showrooms and all that crap
[01:01:00.020 --> 01:01:05.060]  They just pass the savings directly to you the consumer. Is it any good?
[01:01:05.060 --> 01:01:08.740]  Yes, a Casper mattress provides resilience and long-lasting
[01:01:09.820 --> 01:01:13.260]  Supportive comfort Casper's mattress is one of a kind
[01:01:13.260 --> 01:01:18.460]  It's a new hybrid mattress that combines premium latex foam with memory foam
[01:01:19.300 --> 01:01:23.300]  Now I've had one here. I've also been on one of those memory foam mattresses. I don't like it
[01:01:23.300 --> 01:01:26.500]  I feel like you get you get sunk in there like you're an egg carton or something like that
[01:01:26.500 --> 01:01:28.780]  I don't want to get up from bed and have like a
[01:01:28.780 --> 01:01:32.820]  Crime scene outline on my body on the bed. This isn't like that at all
