[00:00.000 --> 00:01.740]  Jason, how you doing?
[32:24.100 --> 32:26.700]  I will never, ever, not think of myself
[32:26.700 --> 32:30.100]  as a writer slash blogger, whatever you wanna call
[32:30.100 --> 32:33.480]  what I do at Daring Fireball, who podcasts on the side.
[32:33.480 --> 32:35.500]  That's how I view myself.
[32:35.500 --> 32:37.180]  It doesn't matter how long I do.
[32:37.180 --> 32:40.980]  So we were talking about those early, the mid-90s,
[32:40.980 --> 32:45.740]  and this sort of episodic, and this sort of coalescence
[32:45.740 --> 32:47.480]  around the idea of blogging.
[32:47.480 --> 32:50.740]  And I know it has nothing to do with either of us.
[32:50.740 --> 32:51.660]  We didn't contribute.
[32:51.660 --> 32:54.620]  But for people who are either too young
[32:54.620 --> 32:57.700]  or just don't remember or weren't paying attention to it,
[32:58.560 --> 33:01.860]  it's impossible, I think, to overstate
[33:01.860 --> 33:04.380]  the influence of suck.com.
[33:04.380 --> 33:05.220]  Right?
[33:06.580 --> 33:11.580]  Suck.com was the first thing that I looked at,
[33:14.020 --> 33:19.020]  and I'd look at things like the web toys
[33:19.020 --> 33:21.460]  that web toys people were making in other independent
[33:21.460 --> 33:24.380]  websites, and all I would think is that's fun,
[33:24.380 --> 33:27.620]  or I wonder how they did it in View Source,
[33:27.620 --> 33:30.940]  or oh, I'd love to learn that trick so I could do it.
[33:30.940 --> 33:32.820]  Oh, you just hover over a picture,
[33:32.820 --> 33:34.780]  and as soon as you hover, it substitutes
[33:34.780 --> 33:35.860]  a different picture.
[33:35.860 --> 33:37.900]  Think of all the things we could do with that.
[33:37.900 --> 33:38.740]  How do you do that?
[33:38.740 --> 33:39.980]  Oh, that's how you do it.
[33:39.980 --> 33:44.340]  But suck.com was the first website where I got jealous,
[33:44.340 --> 33:47.860]  and I thought, ah, shit, I wish I were doing
[33:47.860 --> 33:48.900]  something like that.
[33:50.160 --> 33:54.620]  Yeah, I mean, suck was a huge influence on me,
[33:54.620 --> 33:58.940]  and it was this thing where it was like,
[33:58.940 --> 34:03.900]  oh, this is, I don't think you could do this offline,
[34:03.900 --> 34:08.900]  what they're doing, and it was just so interesting
[34:09.300 --> 34:13.080]  and just so, not only the writing,
[34:13.080 --> 34:16.900]  but how they were writing and how it was designed,
[34:16.900 --> 34:20.300]  and just the whole package, it was just like,
[34:20.300 --> 34:23.140]  I can't believe there are people who are doing this
[34:23.140 --> 34:27.420]  just in their spare time at Wired Magazine or whatever,
[34:27.420 --> 34:28.700]  or Hot Wired, I guess it was.
[34:28.700 --> 34:31.820]  Right, for people who don't remember suck.com,
[34:31.820 --> 34:36.380]  number one, it also, to me, the name itself captured
[34:38.740 --> 34:42.740]  the gestalt of our generation, the Gen X generation
[34:44.980 --> 34:46.380]  in the 90s, right?
[34:46.380 --> 34:51.380]  It was, and it wasn't, even though suck.com
[34:54.720 --> 34:59.020]  doesn't sound like a serious effort, it was, right?
[34:59.020 --> 35:01.180]  Like the writing was top notch, right?
[35:01.180 --> 35:04.580]  Like my favorite suck.com writer was Heather Haverleski,
[35:04.580 --> 35:06.540]  who's still writing independently.
[35:06.540 --> 35:10.220]  Now she's floated around, she's written books,
[35:10.220 --> 35:14.580]  and she was at New York Magazine or one of the sub brands,
[35:14.580 --> 35:16.580]  and now she's got a subset, still going strong
[35:16.580 --> 35:17.540]  as an independent writer.
[35:17.540 --> 35:21.080]  But man, when I saw her byline at suck.com,
[35:21.080 --> 35:24.540]  I knew it was gonna be good, I just loved her style.
[35:24.540 --> 35:26.780]  But exactly what you said too,
[35:26.780 --> 35:31.700]  where she just instantly got a style and form of writing
[35:31.700 --> 35:34.980]  that had no real analog in print, right?
[35:34.980 --> 35:38.500]  Like the hyperlinks were part of the style.
[35:40.100 --> 35:41.820]  Yeah, exactly, exactly.
[35:41.820 --> 35:46.460]  There was information to be gotten
[35:46.460 --> 35:49.900]  from not only what they linked to, but how they linked to it,
[35:49.900 --> 35:53.060]  which word they decided to make the hyperlink.
[35:53.060 --> 35:55.140]  It was fascinating, it was fascinating.
[35:55.140 --> 36:00.140]  Right, imagine if you lived on an island
[36:00.860 --> 36:04.320]  where all you had were manual typewriters,
[36:04.320 --> 36:08.700]  and the only form of writing that anybody had
[36:08.700 --> 36:13.100]  was with a typewriter, and then somebody comes up
[36:13.100 --> 36:16.540]  with a way to do italics.
[36:16.540 --> 36:21.480]  Well, then you can put in, I use italics liberally,
[36:21.480 --> 36:25.100]  I've always done it in my writing as to emphasize,
[36:25.100 --> 36:30.100]  you know, inflect words that I hear in my head
[36:30.820 --> 36:33.100]  as I'm writing, if I were speaking them,
[36:33.100 --> 36:36.340]  I would raise my voice or do something with my voice
[36:36.340 --> 36:41.340]  to add inflection to that word, and I would feel hamstrung
[36:43.980 --> 36:46.740]  without italics, I would feel like my writing
[36:46.740 --> 36:48.060]  was missing something.
[36:49.220 --> 36:54.220]  Hyperlinks are like italics on steroids, on superpowers,
[36:54.540 --> 36:57.580]  because, right, but like you're saying, like mid-sentence
[36:57.580 --> 36:59.940]  and something, something suspiciously blank,
[36:59.940 --> 37:03.140]  and if you, just the word suspiciously at suck,
[37:03.140 --> 37:06.220]  they might link to something, and it would just be a link
[37:06.220 --> 37:09.540]  to, who knows, I don't know what the example is,
[37:09.540 --> 37:13.460]  but you know, some random thing, but it would add context,
[37:13.460 --> 37:16.240]  and it might not even be directly related to the subject
[37:16.240 --> 37:18.500]  that was being written about, but it would be interesting,
[37:18.500 --> 37:20.540]  and it adds context to what they meant
[37:20.540 --> 37:23.940]  by the word suspiciously, way more than just mere
[37:23.940 --> 37:28.940]  italicizing it or bolding it would, and it adds a dimension
[37:30.460 --> 37:33.980]  to writing that not only didn't exist before
[37:33.980 --> 37:36.660]  but couldn't exist in print.
[37:36.660 --> 37:38.580]  Yeah, exactly.
[37:38.580 --> 37:41.420]  And what's interesting is that like I took so much influence
[37:41.420 --> 37:45.260]  from that is that like I, when I write my posts still,
[37:45.260 --> 37:47.380]  I use like a text editor to write my posts,
[37:47.380 --> 37:50.700]  and then I paste them into my CMS, like very old school,
[37:50.700 --> 37:54.780]  and when I'm writing the posts, I insert hyperlinks
[37:54.780 --> 37:56.740]  as I go, I don't do them at the end,
[37:56.740 --> 37:59.480]  I can't do them at the end, actually.
[37:59.480 --> 38:02.740]  Like I have to do them while I'm thinking about
[38:02.740 --> 38:07.140]  how I want, you know, whatever paragraph or sentence
[38:07.140 --> 38:10.840]  or whatever to communicate, like that,
[38:10.840 --> 38:13.180]  the hyperlink is part of the communication,
[38:13.180 --> 38:17.820]  it is doing like part of the work of the writing,
[38:17.820 --> 38:20.500]  part of the work of the communication to the audience,
[38:20.500 --> 38:22.580]  and it's, I just, I have to do it.
[38:23.540 --> 38:25.840]  Yeah, I don't know what it would be like
[38:25.840 --> 38:29.920]  to read Jason Kotke without hyperlinks mid-sentence,
[38:29.920 --> 38:32.980]  you know, it's, yeah, I really don't.
[38:32.980 --> 38:35.420]  The difference, though, is that,
[38:35.420 --> 38:37.420]  or the difference between Suck and a blog
[38:37.420 --> 38:39.660]  was that it would be like, I think Suck was,
[38:39.660 --> 38:43.240]  as I recall, a three, it was like Monday, Wednesday, Friday,
[38:43.240 --> 38:45.420]  I think, it was like three times a week.
[38:45.420 --> 38:46.400]  Yeah, something like that.
[38:46.400 --> 38:49.300]  And you would just go to the homepage,
[38:49.300 --> 38:53.900]  and if it was Wednesday, it was the Wednesday issue,
[38:53.900 --> 38:58.340]  episode, just, you know, but it was like justatsuck.com,
[38:58.340 --> 39:02.380]  like you didn't really go to suck.com slash,
[39:02.380 --> 39:04.800]  I mean, maybe they had, I guess they did have archives,
[39:04.800 --> 39:07.100]  and you could go back and look at the old ones,
[39:07.100 --> 39:09.540]  but the point was really, you would just go to,
[39:09.540 --> 39:12.180]  you'd just type suck.com in your browser
[39:12.180 --> 39:13.360]  and read the homepage,
[39:13.360 --> 39:16.180]  and the homepage only had that episode, you know,
[39:16.180 --> 39:18.280]  you could click a link to get to the archive,
[39:18.280 --> 39:20.900]  but it wasn't a scrolling list of,
[39:20.900 --> 39:23.300]  oh, just keep scrolling down and you get to Monday,
[39:23.300 --> 39:25.660]  and then you scroll down and you get to last Friday
[39:25.660 --> 39:28.740]  and you scroll down, you know,
[39:28.740 --> 39:30.940]  and it was the nature of Suck,
[39:30.940 --> 39:33.540]  I can't even imagine if Suck were that way, you know,
[39:33.540 --> 39:36.540]  it had a very, like I said,
[39:36.540 --> 39:41.300]  I've always been obsessed with form in media,
[39:41.300 --> 39:44.120]  so that gave Suck a form, it was like,
[39:44.120 --> 39:45.540]  you'd go to the homepage,
[39:45.540 --> 39:48.180]  and there'd be a new article three times a week,
[39:48.180 --> 39:50.340]  and that's where you read it on the homepage,
[39:50.340 --> 39:52.380]  and then you'd close it and, you know,
[39:52.380 --> 39:54.580]  go to the next bookmark in your favorite sites
[39:54.580 --> 39:57.060]  and see what else was there until you were done
[39:57.060 --> 39:59.620]  dicking around on the web for the session, you know,
[40:01.000 --> 40:04.740]  or until somebody picked up the telephone in another room
[40:04.740 --> 40:07.060]  and kicked you offline, there you go.
[40:08.540 --> 40:13.080]  Yep, but the revolution and the coalescence
[40:13.080 --> 40:16.060]  is in blogging, and it seems so obvious now,
[40:16.060 --> 40:19.040]  it's, you know, here we are a quarter century later,
[40:19.040 --> 40:22.580]  and it's, you know, it's hard to imagine
[40:22.580 --> 40:24.740]  that it had to be invented,
[40:24.740 --> 40:29.740]  but it is like that Justin Hall, the robot wisdom style,
[40:30.880 --> 40:34.340]  new stuff at the top, old stuff at the bottom,
[40:34.340 --> 40:37.200]  and it just scrolls down.
[40:38.660 --> 40:43.660]  And I remember when it first started becoming a thing,
[40:45.080 --> 40:50.080]  kind of objecting to it because it seemed like it,
[40:50.080 --> 40:55.080]  or if not objecting to it, being confused or wondering
[40:57.400 --> 41:00.080]  whether it should go top down or bottom up, right,
[41:00.080 --> 41:02.720]  because a newspaper, which is a better example
[41:02.720 --> 41:05.740]  than a magazine, because a magazine you page,
[41:05.740 --> 41:10.740]  but a newspaper, a broadsheet is tall and goes down
[41:10.740 --> 41:12.900]  and the important articles are at the top
[41:12.900 --> 41:16.240]  and the less important articles are at the bottom,
[41:16.240 --> 41:19.800]  you know, by the editors or whoever did the layout judgment.
[41:19.800 --> 41:23.520]  And it seemed counterintuitive to me,
[41:23.520 --> 41:27.880]  like that it's just, if you're gonna go chronological,
[41:27.880 --> 41:30.400]  should it go top down or bottom up?
[41:30.400 --> 41:33.080]  And then it also seemed counterintuitive to me
[41:33.080 --> 41:35.640]  that it's always just newest at the top,
[41:35.640 --> 41:39.080]  whether it was more or less important.
[41:39.080 --> 41:42.000]  It had no, it was simply chronological.
[41:42.000 --> 41:44.080]  And it took me a long time,
[41:44.080 --> 41:46.900]  it took me a long time to accept that no,
[41:46.900 --> 41:48.460]  this fits the web.
[41:48.460 --> 41:52.300]  It just chronological fits the web.
[41:52.300 --> 41:56.340]  And I'm wondering, I'm wondering when you noticed that
[41:56.340 --> 41:59.660]  and if that's when you shifted from oscillate to,
[41:59.660 --> 42:01.560]  hey, I should make a new thing.
[42:02.780 --> 42:06.820]  Yeah, I think that mirrors a lot of what I was thinking
[42:06.820 --> 42:09.420]  at the time, because in retrospect, yeah,
[42:09.420 --> 42:11.380]  like chronologically is the way to do it
[42:11.380 --> 42:14.060]  because blogs got people in the habit
[42:14.060 --> 42:17.800]  of checking sites more frequently.
[42:17.800 --> 42:20.240]  And then of course, like RSS came along
[42:20.240 --> 42:24.200]  and it became just sort of like another kind of inbox,
[42:24.200 --> 42:26.060]  I guess, that people would check
[42:26.060 --> 42:28.020]  and you could check it dozens of times a day
[42:28.020 --> 42:31.440]  if you wanted to, just flick over to your RSS reader
[42:31.440 --> 42:33.580]  and oh, John's got something new.
[42:33.580 --> 42:38.260]  So it kind of developed and also developed its habits
[42:38.260 --> 42:40.340]  in the audience as it went along.
[42:40.340 --> 42:44.700]  So chronologically became like the natural way to do it
[42:44.700 --> 42:47.740]  because like you'd already read the important stuff
[42:47.740 --> 42:49.580]  down the page like earlier in the day
[42:49.580 --> 42:52.820]  and you just want to catch up on whatever's like the newest.
[42:52.820 --> 42:54.740]  It's not an ideal thing.
[42:54.740 --> 42:58.560]  And I think that when you see like templates on ghost
[42:58.560 --> 43:01.780]  and things like that and WordPress and things like that,
[43:01.780 --> 43:06.060]  you see less purely chronological ordering.
[43:06.060 --> 43:09.100]  You can call out featured posts and things like that.
[43:09.100 --> 43:11.860]  And it looks more like an online magazine
[43:11.860 --> 43:15.000]  or an online newspaper where, like you said earlier,
[43:15.000 --> 43:17.240]  it's like the important stuff is at the top
[43:17.240 --> 43:20.020]  and the less important stuff is further down.
[43:20.020 --> 43:22.780]  But that chronological thing was like it's,
[43:22.780 --> 43:25.340]  or the reverse crown was the thing that like really,
[43:28.140 --> 43:31.140]  really made it take off in a way because it trained
[43:33.300 --> 43:35.900]  the audience to basically come by more often.
[43:35.900 --> 43:37.900]  And I count myself in that part of the audience.
[43:37.900 --> 43:40.180]  It's not like I'm pulling any master strings here.
[43:40.180 --> 43:43.140]  It's just like, we all did it at the same time
[43:43.140 --> 43:44.780]  as we went along.
[43:44.780 --> 43:49.740]  And eventually it's like when sites like
[43:49.740 --> 43:53.580]  and Gizmodo and Gawker and Engadget came out,
[43:53.580 --> 43:57.060]  they were doing 30, 40, 50 items a day
[43:57.060 --> 44:00.920]  and people were like, okay, more, let's go.
[44:03.460 --> 44:06.420]  Well, but I'm just curious what made you think though
[44:06.420 --> 44:10.340]  to switch from doing it under Oscillate
[44:10.340 --> 44:14.420]  to striking a new brand at kotke.org?
[44:14.420 --> 44:19.100]  Right, so what became kotke.org started at Oscillate
[44:19.100 --> 44:20.060]  as an episode.
[44:20.060 --> 44:22.500]  It was like, oh, I'm gonna keep a blog and do this.
[44:22.500 --> 44:25.240]  And it wasn't until maybe a year and a half later
[44:25.240 --> 44:30.040]  where I shifted those sort of archives over to its own domain
[44:30.040 --> 44:34.620]  and I think it just, from the perspective of,
[44:34.620 --> 44:39.020]  it was just way easier to update, like making episodes,
[44:39.020 --> 44:41.740]  it was like, okay, I gotta sit down, I gotta have an idea
[44:41.740 --> 44:43.340]  and then I've got to do this whole thing.
[44:43.340 --> 44:45.860]  It was just so easy to like, oh, I'm just gonna pull up
[44:45.860 --> 44:50.040]  a new, back in the old days, it was like I had a file,
[44:50.040 --> 44:51.920]  like I had an HTML file that I would just,
[44:51.920 --> 44:54.620]  I would directly edit it on the server.
[44:54.620 --> 44:56.940]  At the end, when it was done, like I would save it
[44:56.940 --> 44:58.760]  and that was it.
[44:58.760 --> 45:00.660]  Did you edit directly on the server
[45:00.660 --> 45:04.460]  or did you edit locally, double-check and then upload?
[45:04.460 --> 45:05.300]  Jim Coodall.
[45:05.300 --> 45:08.420]  No, no, it was on the server, I think,
[45:08.420 --> 45:10.740]  for longer than it should have been.
[45:10.740 --> 45:13.380]  Jim Coodall and I have talked about this
[45:13.380 --> 45:18.380]  and we both felt that in that era, we did better writing
[45:18.380 --> 45:20.580]  when we were writing directly on the server
[45:20.580 --> 45:24.540]  because it raised your, it like straightened your back
[45:24.540 --> 45:27.340]  and squared your shoulders, right?
[45:27.340 --> 45:28.820]  Because it's- Yeah, it raises the stakes, right?
[45:28.820 --> 45:30.180]  Right, I always think about the way
[45:30.180 --> 45:33.100]  that in the entire Star Wars universe,
[45:33.100 --> 45:38.100]  all the architecture is skyscraper-y or chasm-y
[45:38.220 --> 45:41.420]  and there are walkways on every planet
[45:41.420 --> 45:45.300]  and there's never a railing, right?
[45:45.300 --> 45:46.140]  Right?
[45:46.140 --> 45:46.980]  Right?
[45:47.860 --> 45:49.180]  You know what I mean?
[45:49.180 --> 45:51.780]  And that was blogging directly from production, right?
[45:51.780 --> 45:55.220]  Exactly, it's blogging directly from production
[45:55.220 --> 45:59.720]  is walking on any of those catwalks on Bespin
[45:59.720 --> 46:04.580]  or the place where Obi-Wan and Qui-Gon Jinn
[46:04.580 --> 46:08.020]  fought the Darth Maul and the prequel, you know?
[46:08.020 --> 46:09.940]  It's just, you know, any one of those things.
[46:09.940 --> 46:13.220]  Yeah, all the TV shows, they all keep it up.
[46:13.220 --> 46:15.980]  To me, it's one of my favorite traditions in science fiction
[46:15.980 --> 46:19.180]  is anywhere where there's a walkway in Star Wars.
[46:19.180 --> 46:20.300]  No railings.
[46:20.300 --> 46:22.580]  Yeah, yeah.
[46:22.580 --> 46:23.880]  It's like, where are the regulators?
[46:23.880 --> 46:25.620]  Are there any regulators in the Star Wars universe?
[46:25.620 --> 46:27.020]  No, none, right?
[46:27.020 --> 46:32.020]  It's like, there's a fantastic essay in there
[46:32.020 --> 46:35.980]  about the libertarian nature of safety regulations
[46:35.980 --> 46:38.900]  in the Star Wars universe, but that's what it felt like
[46:38.900 --> 46:42.100]  and, you know, it keeps you careful, you know what I mean?
[46:42.100 --> 46:46.340]  You're more likely to trip and fall on a nice, safe catwalk
[46:46.340 --> 46:48.380]  with nice, safe railings than you are
[46:48.380 --> 46:49.880]  on a catwalk without railings
[46:49.880 --> 46:52.740]  and that was saving websites directly to production.
[46:52.740 --> 46:55.580]  I still edit things, some things on Daring Fireball
[46:55.580 --> 46:59.580]  directly on the website and it keeps you sharp.
[46:59.580 --> 47:00.680]  Yep.
[47:00.680 --> 47:01.520]  You know, it's interesting though
[47:01.520 --> 47:05.860]  because I still feel like, I don't know,
[47:05.860 --> 47:07.700]  I've been doing this for almost 25 years now
[47:07.700 --> 47:09.860]  and with Oscillate even before that,
[47:09.860 --> 47:11.380]  I still feel like when I publish something,
[47:11.380 --> 47:16.020]  sometimes I was like, why am I allowed to do this?
[47:16.020 --> 47:18.240]  I just push a button and it's out there
[47:18.240 --> 47:20.320]  and hundreds of people read it
[47:20.320 --> 47:22.800]  in the next three minutes or whatever
[47:22.800 --> 47:25.660]  because everyone's on RSS and it just seems insane
[47:25.660 --> 47:27.460]  to me sometimes, like when you actually,
[47:27.460 --> 47:28.460]  you know, it's one of those things
[47:28.460 --> 47:31.560]  where if you actually think about how things work
[47:31.560 --> 47:33.880]  in the world, you're like, oh my God,
[47:33.880 --> 47:35.740]  I can't believe how this works
[47:35.740 --> 47:37.060]  and this is one of those things.
[47:37.060 --> 47:39.300]  It seems insane to me that I can push a button
[47:39.300 --> 47:41.120]  and all of a sudden around the world,
[47:41.120 --> 47:42.820]  everyone can read this instantly.
[47:44.100 --> 47:45.940]  I totally agree.
[47:45.940 --> 47:47.940]  Who else was an inspiration for you?
[47:47.940 --> 47:52.940]  Dave Weiner is obvious and helped formulate
[47:53.300 --> 47:57.980]  the top-down chronological nature of blogging
[47:57.980 --> 47:59.540]  in the mid-90s.
[47:59.540 --> 48:02.740]  He's been doing scripting.com for at least,
[48:02.740 --> 48:06.860]  I think as long as, or longer than you and it's longer,
[48:06.860 --> 48:07.700]  I think, yeah.
[48:07.700 --> 48:11.740]  Yeah, and no surprise that he invented RSS,
[48:11.740 --> 48:16.220]  which is by nature, I think best suited
[48:16.220 --> 48:18.620]  to be consumed chronologically.
[48:18.620 --> 48:21.060]  I mean, you cannot, I mean, part of the beauty of RSS
[48:21.060 --> 48:23.340]  is if you wanted to, you could somehow do something
[48:23.340 --> 48:25.340]  with it that's not, but it, you know,
[48:25.340 --> 48:29.960]  RSS in a sense is just a chronological,
[48:29.960 --> 48:33.060]  it's the blogging format in a more,
[48:33.060 --> 48:34.260]  in a structured.
[48:35.200 --> 48:36.040]  Yeah, exactly.
[48:36.040 --> 48:39.360]  Non-visual data stream format.
[48:39.360 --> 48:41.820]  And so it's no surprise that he invented that.
[48:41.820 --> 48:42.940]  You mentioned robot.
[48:42.940 --> 48:44.980]  And it's interesting if you take,
[48:44.980 --> 48:46.860]  well, what were you, sorry, I was just gonna say
[48:46.860 --> 48:49.100]  like on Dave, like I'm not a regular scripting
[48:49.100 --> 48:51.020]  news reader anymore, but like I went,
[48:51.020 --> 48:54.300]  I don't know, a few weeks ago and he has still got
[48:54.300 --> 48:57.500]  like a great blogging voice.
[48:57.500 --> 48:59.060]  You know, it's kind of that combination
[48:59.060 --> 49:03.180]  between like he can write and it's also like very casual.
[49:03.180 --> 49:05.020]  You know, I mean, all writing is casual now
[49:05.020 --> 49:07.020]  or most writing is casual, you know,
[49:07.020 --> 49:08.940]  like Twitter has sort of trained everybody
[49:08.940 --> 49:10.980]  to be this sort of very casual,
[49:10.980 --> 49:14.040]  but his voice is still great.
[49:14.040 --> 49:16.840]  You can hear it, I can hear it.
[49:16.840 --> 49:18.520]  Yeah, and it's funny because he came to it,
[49:18.520 --> 49:21.320]  he used to write, what I should do is get him on the show
[49:21.320 --> 49:22.640]  and I've long been thinking about it,
[49:22.640 --> 49:26.400]  but much like Oscillate, he had written
[49:26.400 --> 49:30.220]  before scripting.com and sort of overlapping with it
[49:30.220 --> 49:33.720]  these columns called DaveNet for Hotwire.
[49:33.720 --> 49:37.200]  And they were more like traditional columns,
[49:37.200 --> 49:40.440]  like a DaveNet was like a whole article
[49:40.440 --> 49:45.440]  and it wasn't a blog, but he was full of hyperlinks
[49:46.320 --> 49:50.240]  and it was super exuberant about the open web
[49:50.240 --> 49:55.240]  and full of ideas, but it's like he went on that same path
[49:55.320 --> 49:59.640]  where it's like he intuitively knew that writing
[49:59.640 --> 50:04.640]  like a once or twice a week column wasn't for him
[50:05.000 --> 50:07.600]  and it wasn't what he was meant to do.
[50:07.600 --> 50:12.600]  But the scripting.com, also nobody else
[50:15.000 --> 50:17.400]  has ever blogged like Dave Weiner,
[50:17.400 --> 50:22.400]  except the people who've used his blogging engine tools
[50:23.240 --> 50:26.920]  or CMSs, which were always meant to publish
[50:26.920 --> 50:31.000]  a Dave Weiner-style blog, but nobody else
[50:31.000 --> 50:36.000]  has his unique sense of timing and length of items
[50:36.000 --> 50:40.880]  in a way scripting.com remains the oldest school
[50:40.880 --> 50:44.800]  of old school blogs because his entries
[50:44.800 --> 50:48.760]  are mostly still just paragraphs.
[50:48.760 --> 50:52.640]  They're not headline plus paragraph
[50:52.640 --> 50:57.120]  and he's ranted about it on and off for years
[50:57.120 --> 50:59.900]  and he's right because he invented RSS,
[50:59.900 --> 51:04.900]  but huge frustration for him are RSS readers
[51:04.900 --> 51:09.260]  that assume every entry has a title or a headline
[51:09.260 --> 51:10.740]  or whatever you wanna call it.
[51:10.740 --> 51:15.740]  And he invented RSS knowing his own style
[51:16.100 --> 51:18.140]  and knowing that whatever the element,
[51:18.140 --> 51:20.720]  I forget if it's, I think it's title,
[51:20.720 --> 51:22.860]  it's like inside the entry item,
[51:22.860 --> 51:25.140]  or maybe it's inside a thing called item
[51:25.140 --> 51:27.980]  is a thing called title, and it's marked optional
[51:27.980 --> 51:31.040]  very, very, very obviously in this spec,
[51:31.040 --> 51:33.600]  but it's a very old school style,
[51:33.600 --> 51:35.880]  which you used to have too, right?
[51:35.880 --> 51:38.080]  Like in the early days of Cutkey,
[51:38.080 --> 51:41.740]  posts were paragraphs, not headline,
[51:41.740 --> 51:44.540]  not articles or items or whatever you wanna call them.
[51:45.580 --> 51:49.020]  Yeah, the reason why I started doing headlines
[51:49.020 --> 51:50.260]  is because of RSS.
[51:50.260 --> 51:52.980]  Otherwise I don't necessarily think I would have.
[51:52.980 --> 51:56.120]  And I mean, I side with Dave on this.
[51:56.120 --> 51:58.620]  If it were better for RSS and that sort of stuff,
[51:58.620 --> 52:01.980]  like I would use a lot fewer titles.
[52:01.980 --> 52:05.980]  And with the quick links now, that's what that is again.
[52:05.980 --> 52:10.340]  It's sort of a return to these titleless posts.
[52:11.460 --> 52:13.140]  And the reason I started doing those
[52:13.140 --> 52:15.300]  is because it works well on Twitter
[52:15.300 --> 52:18.060]  and Mastodon and Facebook and stuff.
[52:18.060 --> 52:20.380]  It's a little nugget with one link
[52:20.380 --> 52:22.500]  that you can send across social media,
[52:22.500 --> 52:24.340]  sort of the same way.
[52:25.700 --> 52:28.840]  I was about to say that the odd thing about it
[52:28.840 --> 52:33.140]  in the way that like, I think it's a truism
[52:33.140 --> 52:34.620]  for all of humanity.
[52:34.620 --> 52:36.780]  I mean, not just our modern age,
[52:36.780 --> 52:40.020]  but go back as far into history as we can,
[52:40.020 --> 52:43.140]  that good ideas resurface.
[52:43.140 --> 52:48.140]  And sometimes good ideas don't strike, right?
[52:48.660 --> 52:50.900]  It's somehow the matchbook got wet
[52:50.900 --> 52:54.180]  and it could have, but something happened.
[52:54.180 --> 52:56.660]  The match just isn't gonna strike.
[52:56.660 --> 52:58.620]  It's going to resurface.
[52:58.620 --> 53:03.100]  And titleless blog posts never really stuck.
[53:03.100 --> 53:05.540]  Dave has stuck with them, but for the most part,
[53:05.540 --> 53:08.580]  almost nobody else does it anymore.
[53:08.580 --> 53:13.580]  But what are tweets other than short titleless blog posts?
[53:17.020 --> 53:19.900]  The idea resurfaced and it's become
[53:21.860 --> 53:25.440]  another one of those media or forms,
[53:25.440 --> 53:27.340]  whatever you want to call it,
[53:27.340 --> 53:29.820]  that's now so established that people forget
[53:29.820 --> 53:31.140]  it had to be invented.
[53:31.140 --> 53:32.980]  But that's all that tweets are.
[53:32.980 --> 53:36.860]  And with Mastodon and it's variable
[53:36.860 --> 53:38.360]  character length limits, right?
[53:38.360 --> 53:42.740]  Like I think the standard out of the box limit
[53:42.740 --> 53:44.860]  is 500 characters.
[53:44.860 --> 53:46.860]  It might be something else.
[53:46.860 --> 53:47.780]  Something like that.
[53:47.780 --> 53:50.020]  But because it's open source software
[53:50.020 --> 53:51.400]  and it's part of the,
[53:51.400 --> 53:56.400]  some instances of Mastodon have different character limits,
[53:57.640 --> 54:02.640]  but that's only enforced on the post from that server.
[54:04.040 --> 54:07.160]  But let's just say, but for the sake of argument
[54:07.160 --> 54:11.960]  and putting the pedantry side, 500 characters.
[54:11.960 --> 54:13.320]  No title, right?
[54:13.320 --> 54:15.920]  It's just a 500 character blob of text
[54:15.920 --> 54:18.520]  that could be and generally often is,
[54:18.520 --> 54:22.880]  I would bet the average Mastodon post is still,
[54:22.880 --> 54:24.660]  or at least the people I follow,
[54:24.660 --> 54:28.000]  is within Twitter's 280 characters, right?
[54:28.000 --> 54:30.400]  It's just a thought.
[54:30.400 --> 54:33.600]  It's like the length of one thought, no title.
[54:35.320 --> 54:37.200]  You could do a whole,
[54:37.200 --> 54:42.140]  I think you could do a whole 40 minute presentation
[54:42.140 --> 54:45.820]  at a conference on the psychology
[54:45.820 --> 54:50.040]  of not having to create a title for a post.
[54:51.040 --> 54:53.800]  Because it seems you would think at first
[54:53.800 --> 54:56.920]  and most people and maybe people who don't tweet a lot
[54:56.920 --> 55:00.480]  or aren't writers and are just readers and consumers
[55:00.480 --> 55:02.580]  would think, well, that doesn't seem difficult.
[55:02.580 --> 55:04.840]  And most of the things you read
[55:04.840 --> 55:07.600]  have maybe seemingly obvious titles
[55:07.600 --> 55:09.320]  that are just sort of descriptive
[55:09.320 --> 55:13.520]  and maybe certain written to help you understand it.
[55:13.520 --> 55:14.920]  So isn't that obvious?
[55:14.920 --> 55:18.680]  But it is like an, I don't know how to describe it,
[55:18.680 --> 55:22.320]  but it is psychologically as a someone
[55:22.320 --> 55:24.720]  who writes such things, it is a huge,
[55:24.720 --> 55:26.440]  if I had to have titles for tweets,
[55:26.440 --> 55:30.720]  I would have tweeted and I would continue Mastodon posting
[55:31.560 --> 55:34.400]  1 10th, 1 50th, I don't know.
[55:34.400 --> 55:36.720]  I don't know that I would have ever even,
[55:36.720 --> 55:38.360]  I don't know that, I don't think the thing ever
[55:38.360 --> 55:39.180]  would have taken off.
[55:39.180 --> 55:42.320]  I don't think it ever would have gotten off the ground.
[55:42.320 --> 55:45.480]  Yeah, I mean, it's interesting the titles thing,
