[00:00.000 --> 00:00.840]  What time you got?
[50:56.920 --> 51:01.240]  once the market prices it. You know, I think, and I think it, I think it matters and because the
[51:01.240 --> 51:05.880]  people you take like, uh, take Facebook versus Twitter, like Facebook basically didn't pop at
[51:05.880 --> 51:10.360]  all. And then over time, it actually went down. And, and there's a lot of people who look at it
[51:10.360 --> 51:14.840]  from a narrow perspective and say, well, Facebook did it just right. They captured every available
[51:14.840 --> 51:20.040]  sent. And, and then they'll look at Twitter and Twitter had a huge pop. And they're like,
[51:20.040 --> 51:23.800]  oh, Twitter screwed up. They left a lot of money on the table. But I think if you actually
[51:23.800 --> 51:28.760]  look at it, like Facebook was under a ton of pressure right after IPO. And I think they were
[51:28.760 --> 51:35.560]  constrained, like strategically. Like I suspect that Facebook should have bought ways, for example,
[51:35.560 --> 51:41.480]  the mapping app. But I think that one reason they didn't is they couldn't really justify
[51:41.480 --> 51:46.120]  spending over a billion dollars when they were under so much pressure from, from investors.
[51:47.080 --> 51:51.240]  Because that was the kind of the height of like Facebook is doomed mania with their stock had
[51:51.240 --> 51:56.280]  dipped to like a third of what, what did IPO would have or a half or whatever. Whereas Twitter,
[51:56.280 --> 52:01.960]  Twitter, arguably Twitter has kind of been a disaster since the IPO and almost everywhere
[52:01.960 --> 52:06.680]  earnings call has been, been worse than the last. Yet, yes, there's pressure and there's been a
[52:06.680 --> 52:11.400]  lot of talk about Costello and stuff like that this year, particular. But I don't think it's been
[52:12.360 --> 52:18.200]  nearly to the degree that Twitter probably deserves to be perfectly honest. And I think part of
[52:18.200 --> 52:22.760]  that is because the stock is still up from the IPO. Like that, it, like, and so you look at it,
[52:22.760 --> 52:27.000]  yeah, the stock's down from its high, but it's still higher than what did IPO would have. I think
[52:27.000 --> 52:33.640]  that that that that matters. And if, whereas if Twitter was down like Facebook was down and had way
[52:33.640 --> 52:39.560]  worse fundamentals than Facebook ever had, man, like the, the sky would be falling to a much
[52:39.560 --> 52:44.520]  greater degree than it is right now. Yeah. And there's also some, like the incalculable part is
[52:44.520 --> 52:54.920]  the PR value of an IPO that pops, as you say. Absolutely. Like net, net, net escape is, you know,
[52:54.920 --> 53:00.840]  maybe the canonical example? I don't know. I mean, but that it, it gave this sense that net
[53:00.840 --> 53:04.920]  escape was the future, you know, that, that, you know, however much money they left on the table
[53:04.920 --> 53:11.080]  because the IPO popped on day one was worth, I don't know. I think tens of millions of dollars in
[53:11.080 --> 53:16.760]  the perception of, you know, holy shit, there's a new tech industry tightened in town.
[53:17.560 --> 53:22.280]  Absolutely. And it matters from, why it matters for hiring, it matters for morale. And it matters
[53:22.280 --> 53:28.520]  for like, I mean, the stock market a lot of it is about perception. And, right, the popping is like,
[53:28.520 --> 53:33.400]  oh my God, everybody else thinks this company is going to kick ass. Right. And that sticks with you.
[53:33.400 --> 53:40.280]  Like, and so like, when it matters, when like, the bad news doesn't matter. The way people
[53:41.080 --> 53:46.200]  perceive the bad news is what matters. And if people come at it with the assumption that this
[53:46.200 --> 53:50.120]  is a valuable company that people are excited about, then it's like, oh, that's okay, they'll,
[53:50.120 --> 53:54.120]  they'll get over it. Whereas if it's a, this company, man, everyone's down on it and then a
[53:54.120 --> 53:58.840]  piece of bad news comes on. I was like, Oh, man, this is terrible. And like I said, I think you saw
[53:58.840 --> 54:05.800]  that with Facebook, which, uh, in retrospect, it was ridiculous. You know, I mean, the, now the,
[54:05.800 --> 54:12.520]  now the stock is, is well up from its IPO stage. But it took, it took a lot longer than it
[54:12.520 --> 54:17.320]  should have for kind of the, the perception of Facebook to change. And arguably, I think even in
[54:17.320 --> 54:25.320]  the valley, I feel like Facebook is, is still seriously underappreciated for what a force it is,
[54:25.320 --> 54:31.960]  not just, not just, uh, as, as a service in an app, but as a financial, as a, as a business.
[54:32.760 --> 54:40.440]  Yeah, I agree with them. I, and I think it's, it's funny, because it's complicated as Facebook
[54:40.440 --> 54:48.120]  itself as a product is, in my opinion, it's a pretty simple story financially. It's, you know,
[54:48.120 --> 54:54.280]  they sell a lot of ads into the feed and they make people pay to get placement. And because everybody
[54:54.280 --> 55:01.960]  uses it, uh, it's worth it. And therefore, you know, the money's growing, you know, whereas Twitter
[55:01.960 --> 55:06.680]  is a much simpler product. And any kind of argument they try to make is how they're going to make
[55:06.680 --> 55:11.800]  money is my eyes roll back in my head and I fall asleep, because I don't understand.
[55:12.520 --> 55:17.320]  Now, there, there is something to that. And I think the, the Facebook ad unit is like the best
[55:17.320 --> 55:23.640]  ad unit in, in like, in tech. I mean, it's like people are looking at that feed multiple times a day,
[55:23.640 --> 55:30.040]  every day, more and more. And of, in a Facebook ad takes over your entire screen. It might only be
[55:30.040 --> 55:34.680]  for a few seconds, but for a few seconds, like your entire screen is filled with an ad, which on the
[55:34.680 --> 55:39.000]  web was never the case, like the ads were always off to the side. They were accompanying stuff. And
[55:39.000 --> 55:44.040]  so they were easy, they were much easier to, to ignore. And now it's super compelling. And what
[55:44.040 --> 55:48.040]  the other thing is, there's those, you say, you say Twitter is simple. I almost wonder if this is a,
[55:48.040 --> 55:52.920]  like we talked about with, with, when we talk about, four stall, like, we're used to it. And it,
[55:52.920 --> 55:57.640]  it feels simple and 140 characters seem simple. But then you start trying to explain to people,
[55:57.640 --> 56:03.640]  like, oh, don't start your tooth and at mention, or, uh, some people still use RT or MT, like,
[56:03.640 --> 56:09.160]  there's all these kind of conventions that actually, Twitter, Twitter is pretty complicated. And,
[56:09.800 --> 56:14.920]  and there's a lot of stuff. Like, I think the last really smart thing Twitter did from a product
[56:14.920 --> 56:21.560]  perspective was the native retweet, because that did simplify a convention. And there's so much
[56:21.560 --> 56:26.840]  other stuff that's cruff that's risen up like these multi tweets or the tweet storms and like all
[56:26.840 --> 56:34.360]  this and attaching photos to, to an image, like that, the company I find, it's so frustrating because
[56:34.360 --> 56:37.400]  they're doing all this stuff and they're buying these things and they're, we're going to do
[56:37.400 --> 56:41.560]  developer tools and all this sort of crap when it's like, there's so much low hanging fruit just
[56:41.560 --> 56:45.560]  from a product perspective. And from an onboarding perspective, which is still a disaster.
[56:47.000 --> 56:50.760]  Yeah, I know, I mean, it's, it comes, I think it can come across, it comes across even to my
[56:50.760 --> 56:58.440]  eyes as very jargony, like computer jargony with all the RTs and MTs. And honestly, even, I think
[56:58.440 --> 57:03.080]  people get the app username. And it's certainly one of the, I think it's the most powerful asset
[57:03.080 --> 57:08.520]  Twitter has. I really do is the fact that when you turn on TV, it doesn't matter whether it's politics
[57:09.240 --> 57:16.280]  or sports, it's like the people who are on TV, they tell you their name and they tell you
[57:16.280 --> 57:24.280]  their Twitter handle and people get that. And that is super valuable. But I think and combine that
[57:24.280 --> 57:29.240]  with hashtags and to me, the whole thing, it comes across looking very jargony. I mean, I, I could
[57:29.240 --> 57:33.720]  we could do the whole rest of the show on my feelings on hashtags. But I know, I realized they've
[57:33.720 --> 57:38.680]  taken off and I realized that people somewhat get them and that regular people do use them,
[57:38.680 --> 57:45.080]  but I do feel that it contributes to a visual jargonyness when you, especially for new users,
[57:45.080 --> 57:48.680]  where you're, you know, you look at this stuff and you see all these weird punctuation characters,
[57:48.680 --> 57:53.640]  you know, and starts to look like programming code. And the weird short hands like RT and MT and
[57:53.640 --> 57:58.840]  stuff like that. Yeah. Now, I think, I think we might have titled Twitter on my very first time in
[57:58.840 --> 58:03.320]  this show, but I'm still, I'm still like they're now they're messing with the timeline. Like there's
[58:03.320 --> 58:09.240]  well, you were gone and stuff. I honestly think like the timeline is such at this point as so much
[58:09.240 --> 58:15.240]  cruft associated with it. It's fantastic for all of us who are familiar with Twitter and used to
[58:15.240 --> 58:22.440]  it, but it's pretty intimidating for a new user. And I wish they would re embrace lists and like
[58:23.160 --> 58:27.080]  have channels and the idea that you could like a new user should be able to come under in the
[58:27.080 --> 58:31.480]  World Cup and dip into the World Cup channel without having to like, you don't want to, like,
[58:31.480 --> 58:36.680]  what's, you don't want to follow people in the World Cup every day of the year. You just want
[58:36.680 --> 58:41.000]  to dip in and dip out. And there's no dip in and dip out experience for a new user on Twitter right
[58:41.000 --> 58:45.640]  now. Yeah, I think, and I think it kind of gets into some of the stuff that Evan Williams
[58:45.640 --> 58:50.040]  has was writing about and talking about in the last couple of weeks, you know, with the whole
[58:51.320 --> 58:57.880]  when Instagram passed Twitter in terms of, I forget the metric, monthly average users,
[58:57.880 --> 59:02.600]  active users, yeah, active users. And he was like, I don't give a shit how many monthly active
[59:02.600 --> 59:06.840]  users Instagram has, you know, and he has a great argument. And it's, you know, the line can be
[59:06.840 --> 59:11.240]  taken out of context and make it look like he's arrogant or whatever. And he read his, his, you know,
[59:11.240 --> 59:16.520]  essay on it on medium. And it's unsurprisingly for Evan Williams, very, very thoughtful. And
[59:16.520 --> 59:23.080]  he's right. And it's, you know, when there's, you know, Twitter has important uses that you just
[59:23.080 --> 59:29.560]  would never do on Instagram, like when there were the, the uprising in Egypt and stuff like that.
[59:29.560 --> 59:35.080]  And people use hashtags to get the news out. And it, you know, breaking news and stuff like
[59:35.080 --> 59:42.280]  that happens in a way on Twitter that there's no equivalent on any other service. The stuff in
[59:42.280 --> 59:52.760]  Ferguson's, you know, St. Louis demonstrations and stuff like that all had a part on Twitter. I mean,
[59:52.760 --> 59:58.280]  I think that it's Twitter is central to the way that the, the protesters have organized for things
[59:58.280 --> 1:00:03.800]  like that. And there's, it's just unique. But I feel like the thing that Twitter, Twitter, though,
[1:00:03.800 --> 1:00:07.480]  you know, Evan Williams doesn't run Twitter anymore. And I feel like the problem is that Twitter has
[1:00:07.480 --> 1:00:15.480]  gotten at a leadership level, gotten caught up in that sort of Facebook-esque monthly average
[1:00:15.480 --> 1:00:21.160]  users as an important metric, which has tied them up because I feel like what Twitter's natural
[1:00:21.160 --> 1:00:25.960]  place is for most people is far more about consumption than about actually tweeting.
[1:00:25.960 --> 1:00:32.440]  Right. Whereas Facebook is all about everybody sharing all of their stuff with their people,
[1:00:32.440 --> 1:00:36.120]  you know, with their friends and family and stuff like that. Whereas I think the problem is,
[1:00:36.120 --> 1:00:39.400]  well, what am I supposed to tweet? Maybe you're not supposed to tweet anything. Maybe you're just
[1:00:39.400 --> 1:00:45.240]  supposed to, you know, like you said, get on a list or follow a hashtag for the World Cup or for
[1:00:45.240 --> 1:00:53.000]  your favorite team or for some sort of news event that you're interested in and just follow along.
[1:00:53.000 --> 1:00:58.760]  And, you know, maybe it's like a hobby that you want to follow all the time or maybe it's just,
[1:00:58.760 --> 1:01:03.640]  I just want to follow the Super Bowl until next Sunday. Yep. No, I don't, you don't want to
[1:01:03.640 --> 1:01:06.680]  contribute anything. You're not tweeting. You're just following along.
[1:01:07.400 --> 1:01:11.400]  No, what I said, when that happened in the Instagram thing, like my take was like, I'm really sad
[1:01:11.400 --> 1:01:17.960]  that Twitter didn't buy Instagram mainly because if they had Instagram would make all the money
[1:01:17.960 --> 1:01:22.200]  and Twitter could just be Twitter. Yeah, because I mean, Instagram is going to make billions of
[1:01:22.200 --> 1:01:26.920]  dollars. I mean, it's, it's like Facebook, but even better. Like you're going to scroll through
[1:01:26.920 --> 1:01:30.360]  your photos. There's going to be ads in there. And you're going to do it anyway because you're
[1:01:30.360 --> 1:01:38.120]  addicted to it. And, and it's, it's, it's such, it's so, it's so obvious and Twitter surprised,
[1:01:38.120 --> 1:01:41.960]  I'm surprised we don't see more ads in Instagram. I don't know if I've ever seen one.
[1:01:41.960 --> 1:01:45.800]  And I know that they announced it and I know that they had some demo versions of it, but I've
[1:01:45.800 --> 1:01:50.760]  still, I, I check it almost every day and I can't remember seeing an ad in Instagram.
[1:01:50.760 --> 1:01:55.000]  No, it's, it's still like very limited sort of trial. As one of those things where Facebook
[1:01:55.000 --> 1:01:59.960]  doesn't need to, like Facebook is making so much money right now that they can, I mean, they can
[1:01:59.960 --> 1:02:05.080]  spend billions of dollars on whatever they want to and not, and not monetize. And it's, I almost,
[1:02:05.080 --> 1:02:09.960]  I almost think it's, it's smart, not just from a, they want to do it the right way, but it's smart
[1:02:09.960 --> 1:02:16.440]  from a, they can always turn that faucet on if they need to. Um, and, and like what's the rush,
[1:02:16.440 --> 1:02:22.200]  the stock market loves them. They're flying high. They, they have like pretty much, they're as
[1:02:22.200 --> 1:02:26.680]  independent as an independent company can be for the most part. I mean, just from a one,
[1:02:26.680 --> 1:02:32.040]  the stock market loves them in two, Zuckerberg controls everything anyway. Um, so I, from that
[1:02:32.040 --> 1:02:36.760]  perspective, you know, what's, what's the rush? Right. And then just of it, as I, you know,
[1:02:36.760 --> 1:02:40.600]  I don't know, I agree with you. I'm surprised we just haven't seen it. I'd, you know, or just,
[1:02:40.600 --> 1:02:47.160]  because I feel like the way to do it is a, you know, the old, slowly boiled frog, you know,
[1:02:47.160 --> 1:02:51.960]  start them slow and then slowly dial it up to where you want it to be. But you got to start at some
[1:02:51.960 --> 1:03:00.120]  point. Yeah. Uh, but which they have, but I think they are going slower than they need to just
[1:03:00.120 --> 1:03:09.320]  because they can. Right. Um, you see Tim quick, Tim quick tweeted, congratulations on the box.
[1:03:09.320 --> 1:03:16.920]  Yeah. That's surprising. And I take note of that, you know, in my, because Tim cooked tweets
[1:03:16.920 --> 1:03:25.000]  and I'm almost dead certain that it's actually him doing the tweeting. Um, but he doesn't tweet
[1:03:25.000 --> 1:03:30.440]  very often. Right. And so it's usually worth noting. And I know he tweeted earlier in a week,
[1:03:30.440 --> 1:03:35.080]  or I guess it's almost a week ago now, uh, uh, for Martin Luther King Day,
[1:03:35.080 --> 1:03:40.680]  the holiday here in the US. And, you know, he's repeatedly, you know, his two heroes are Martin
[1:03:40.680 --> 1:03:46.120]  Luther King and, and Robert Kennedy. So no surprise that he would tweet something like that.
[1:03:46.120 --> 1:03:51.960]  I'll, you know, a nice thing for Apple CEO to tweet, but not necessarily newsworthy,
[1:03:51.960 --> 1:03:56.200]  but him tweeting to, you know, box on an IPO is to me a little interesting.
[1:03:56.920 --> 1:04:01.080]  Totally. I mean, for what I've seen on Twitter, there's been a fair bit of speculation
[1:04:01.080 --> 1:04:07.720]  already and that speculation just like raised eyebrows. Yeah. I don't know. I kind of feel like
[1:04:07.720 --> 1:04:13.720]  it's, you know, an IP, one thing about an IPO is it certainly, it doesn't mean that box is not
[1:04:13.720 --> 1:04:19.880]  going to be acquired by somebody else, but it certainly makes it a lot less likely. And, you know,
[1:04:19.880 --> 1:04:29.480]  I think Apple is happier in a world where more companies like box IPO and stay independent satellites
[1:04:29.480 --> 1:04:36.760]  of the, you know, the mammoth titans like Microsoft and Facebook and Google, then a world where
[1:04:36.760 --> 1:04:42.040]  every company that gets to that size and stability gets acquired by somebody. Absolutely.
[1:04:42.040 --> 1:04:45.960]  I think because Apple is not going to do those acquisitions, right? Apple is never going to be the
[1:04:45.960 --> 1:04:52.200]  one that that acquires a lot of companies. And therefore, it means that most of those companies
[1:04:52.200 --> 1:04:59.960]  would be going into companies that are more like competitor's to Apple, like Google or Microsoft
[1:04:59.960 --> 1:05:06.520]  or Facebook or, you know, what have you? No, that's how I read it. That's a really great,
[1:05:06.520 --> 1:05:13.640]  I think that's exactly it. That's how I read it because I feel like Apple can, you know,
[1:05:13.640 --> 1:05:18.680]  happily and wholeheartedly partner with box on things like that, you know, the extent, you know,
[1:05:18.680 --> 1:05:27.000]  the file sharing integration and Yosemite and I was eight. And it would be a lot less likely to
[1:05:27.000 --> 1:05:32.680]  do that if they thought box was going to be acquired by Google. Even though it's an open API
[1:05:32.680 --> 1:05:37.400]  that everybody can do. So I guess who, you know, after box, you know, Dropbox would be next,
[1:05:37.400 --> 1:05:41.560]  right? Yeah, I think, I'd deal with cyber, like formerly Sammy the Waller. It's like he was
[1:05:41.560 --> 1:05:44.840]  one of those that's kind of speckling about it. And he's like, well, what would Apple do the same
[1:05:44.840 --> 1:05:50.120]  for Dropbox? And I think, for the reason you said, yeah, absolutely. And I think when they demoed
[1:05:50.120 --> 1:05:56.840]  extensions, I think they had both box and Dropbox. Yes, there. And I think that's, yeah, Apple,
[1:05:57.720 --> 1:06:03.880]  it's a good, it's the exact sort of relationship, Apple likes where they need Apple more than
[1:06:03.880 --> 1:06:12.600]  Apple needs them. Yeah. Yeah. Yeah. I don't think, you know, Apple has any desire to crush Dropbox.
[1:06:12.600 --> 1:06:15.960]  I really don't. I mean, I know some people read into it and they think, you know, that they
[1:06:15.960 --> 1:06:20.520]  would just like everybody to, you know, they want people to use iCloud drive, no doubt about it.
[1:06:20.520 --> 1:06:24.280]  I mean, they've made it so people would use it. But if people would rather use Dropbox instead,
[1:06:24.280 --> 1:06:28.120]  use Dropbox instead, you know, there's no way that they would go through the work to make things
[1:06:28.120 --> 1:06:33.640]  like Dropbox official, because, you know, up until Yosemite Dropbox was just a dirty hack to integrate
[1:06:33.640 --> 1:06:37.880]  with the finder. That's right. They actually, they did like things for Dropbox in
[1:06:37.880 --> 1:06:43.720]  in Yosemite to actually make it make it work. Yeah, it's all officially sanctioned and on the
[1:06:43.720 --> 1:06:47.320]  up and up those green check boxes that show you, you know, like in the finder view when you're
[1:06:47.320 --> 1:06:52.520]  looking at something in your Dropbox, Dropbox is the one I use. I don't use box. I don't use any of
[1:06:52.520 --> 1:06:57.080]  the other third party ones, but I use Dropbox. And now you get these official green checkmarks that
[1:06:57.080 --> 1:07:01.960]  you never got before. Like when you used to get like a little badge on your finder icon,
[1:07:01.960 --> 1:07:07.720]  that would show you that a file was sinking to Dropbox and then it would go green when it was there.
[1:07:07.720 --> 1:07:14.760]  That was all using private APIs, you know, on Dropbox's part. And, you know, to their credit,
[1:07:15.400 --> 1:07:21.800]  I've been using Dropbox from very early days. And I'm very low, always have been low to install
[1:07:22.440 --> 1:07:30.280]  third party extensions that are using private APIs on Mac OS X. But Dropbox, you know, Dropbox,
[1:07:30.280 --> 1:07:35.800]  the features were worth it. But I've always been like one foot, you know, like, hey, if I ever see
[1:07:35.800 --> 1:07:40.280]  problems, if the finder starts going wacky, you know, you're out the door. But they've never really
[1:07:40.280 --> 1:07:44.760]  been a problem. No, they've always been, they're very, very, very, excellently engineered for
[1:07:44.760 --> 1:07:51.000]  something that was using private APIs. And I also think it's interesting. I always, when they
[1:07:51.000 --> 1:07:57.560]  announced that at WWDC, I specifically thought about Dropbox, A, because I'm the most familiar
[1:07:57.560 --> 1:08:03.800]  with them and I use them and B, because they had their own thing that was working. And in my
[1:08:03.800 --> 1:08:07.880]  experience, and I think most people's experience, I've never heard of anybody say, wow, Dropbox,
[1:08:07.880 --> 1:08:11.720]  you know, crash makes my computer crash or anything like that, or corrupts my file system.
[1:08:12.760 --> 1:08:17.000]  But they had their own thing. Would they be willing to dump their own thing that they'd spend
[1:08:17.000 --> 1:08:22.120]  all that work on to use Apple's thing? And they did. They've done the right thing. And I wonder how
[1:08:22.120 --> 1:08:27.240]  much of that is, you know, that they they considered a good allocation of engineering resources to go
[1:08:27.240 --> 1:08:32.280]  with the official APIs in Yosemite and how much of it, because they still have the old stuff,
[1:08:32.280 --> 1:08:38.760]  because you can still run Dropbox on Mac OS 9. I mean, I don't think it runs at OS 9.
[1:08:38.760 --> 1:08:45.960]  Now, 10.9, 10.8, 10.7. I don't know how far back they go. So they've still got to keep their
[1:08:45.960 --> 1:08:51.000]  private API stuff going for their supportive older versions of macOS. And so a lot of times,
[1:08:51.000 --> 1:08:54.920]  I think, you know, in my experience is watching the way the industry goes a lot of times,
[1:08:54.920 --> 1:08:59.160]  and then, you know, a company isn't going to go with the new thing because they want to go with
[1:08:59.160 --> 1:09:04.120]  the backwards compatible thing, even though it's not using the public API. But Dropbox did the
[1:09:04.120 --> 1:09:08.520]  right thing, which, in my opinion, the right thing, which is to go with the official API,
[1:09:08.520 --> 1:09:13.560]  even though it sort of forks their code. And I wonder how much of that was about engineering,
[1:09:13.560 --> 1:09:19.480]  and how much of it was about politics and keeping a good relationship with Apple.
[1:09:20.040 --> 1:09:25.640]  Yeah. I mean, I wouldn't be surprised if Apple worked with them on it. There was a bit of a,
[1:09:25.640 --> 1:09:31.240]  you know, quid pro quo here, like, you know, not a quid pro quo, but a like, like, okay,
[1:09:31.240 --> 1:09:37.400]  we'll help you fix this. But you, I mean, you have to stop on day one. Yeah. And I, as a user, it was
[1:09:37.400 --> 1:09:41.880]  seamless. I didn't even notice when they switched over. I think at some point, because I, you know,
[1:09:41.880 --> 1:09:46.760]  I've been running Yosemite since the public beta is in summer. And I'm pretty sure at the time,
[1:09:46.760 --> 1:09:51.400]  originally, I'm almost certain that Dropbox didn't already support it. I didn't even notice.
[1:09:51.400 --> 1:09:56.760]  I actually didn't notice when Dropbox started supporting it until one day, I was like, Oh,
[1:09:56.760 --> 1:10:01.080]  there obviously are because I've got the, the new style check marks, not the ones that are
[1:10:01.080 --> 1:10:08.280]  superimposed on the icon. Yeah. It's interesting. Um, the other thing, the other thing too is, uh,
[1:10:09.240 --> 1:10:14.600]  I think, um, you know, Aaron Levy, I haven't, I haven't really heard you would say a bad word about
[1:10:14.600 --> 1:10:19.560]  him. I think people are, are just happy that like, it's been such a torturous journey for box
[1:10:19.560 --> 1:10:25.880]  that, um, they, they finally made it. I would be surprised there's just a bit of like, you know,
[1:10:26.920 --> 1:10:32.920]  cooks just genuinely happy for him. Yeah. Um, I'm going to take another sponsor break. But before
[1:10:32.920 --> 1:10:37.480]  I do, that's a good reminder, I have a correction to make, uh, just a minor one. But last on the last
[1:10:37.480 --> 1:10:41.960]  show with Marco, I forget what we were talking about, but I said something about me running, uh,
[1:10:43.000 --> 1:10:49.160]  iOS nine. And what I meant, I, I, I am not running. I was, I'm running iOS eight, but combine that
[1:10:49.160 --> 1:10:54.600]  with the things where like Mac rumors has like an increase in the number of hits of people running
[1:10:54.600 --> 1:11:02.120]  iOS nine, um, from Cupertino. Uh, and I got it. I don't know. It does an email from people
[1:11:02.120 --> 1:11:08.120]  asking whether I'm running iOS nine. No, I'm not running iOS nine. And if I were, I wouldn't be able
[1:11:08.120 --> 1:11:14.920]  to say anything about it anyway. It was just a stupid, uh, uh, what's the verbal typo? I don't know.
[1:11:14.920 --> 1:11:21.000]  Miss speak. Um, yeah. There's that. We better work on that. Well, whatever a verbal typo is, that's
[1:11:21.000 --> 1:11:26.200]  all it was. In the same way that I just said that Dropbox still runs on, uh, Mac OS nine. Yes.
[1:11:27.240 --> 1:11:32.680]  The nine seems to be a bit of a kryptonite number for you. Yeah. I don't know what it is. I've,
[1:11:32.680 --> 1:11:39.640]  I don't know something. And I think, uh, Mac OS going to 10 point 10 somehow set over my
[1:11:39.640 --> 1:11:47.720]  trip odometer as well. It's like, uh, I don't know. Well, I should, according to urban dictionary,
[1:11:47.720 --> 1:11:53.320]  or verbal typo is the thing. So, okay, I could just call it a verbal typo. It works for me.
[1:11:54.040 --> 1:11:57.400]  Yeah. Uh, what about maloprop? Is maloprop to the right word?
[1:11:59.320 --> 1:12:05.640]  Uh, I don't think so, but I'm not confident. A maloprop or malopropism is the term for
[1:12:05.640 --> 1:12:10.440]  misspoke in words. Yeah. There you go. Yeah. Maloprop, the mistaken use of a word in place of a
[1:12:10.440 --> 1:12:14.440]  similar sounding one often with on the tension. Well, that's not quite right. Dancing of
[1:12:14.440 --> 1:12:19.480]  dance a flamingo instead of dance a flamingo. Although I do make a lot of help. So,
[1:12:20.600 --> 1:12:26.360]  I think, I think that's a characteristic of like someone that like read a lot and like, um,
[1:12:26.360 --> 1:12:31.240]  you know, I mean, neither of us. I think go out that often and then you, so you encounter a lot of
[1:12:31.240 --> 1:12:36.680]  words. Uh, but then when it actually comes to articulating them, sometimes you, I, I, I swear to God,
[1:12:36.680 --> 1:12:41.480]  we talked about this out of previous episode about how we constantly mispronounce words. Yeah.
[1:12:41.480 --> 1:12:46.280]  Yeah. Because I've, you know, there's, there's a huge chunk of my vocabulary or things that I
[1:12:46.280 --> 1:12:51.240]  read when I was growing up and never heard anybody say. And so I just made up my own punctuation,
[1:12:51.240 --> 1:12:57.880]  our pronunciation in my, in my head, totally no idea of how it was actually supposed to be pronounced.
[1:12:57.880 --> 1:13:08.440]  Anyway, um, our second sponsor is our good friends at need and EED. Need is a refined retailer
[1:13:08.440 --> 1:13:15.720]  in lifestyle publication for men. That's their official slogan. Uh, my friend, um, Jim Ray,
[1:13:16.680 --> 1:13:24.680]  very well dressed man knows his stuff. Uh, really likes this stuff at need. Um, has described
[1:13:24.680 --> 1:13:31.160]  need as a refined retailer in lifestyle publication for men who generally don't like
[1:13:31.160 --> 1:13:36.040]  retailer in lifestyle publications for men, which is a great way to put it. So if you hear
[1:13:36.040 --> 1:13:42.680]  lifestyle publication for men and roll your eyes like, uh, not for me, maybe you should check out
[1:13:42.680 --> 1:13:48.360]  need because it's a different style and vibe. Each month, here's what need does. They source and
[1:13:48.360 --> 1:13:53.160]  curate a selection of exclusive products from brands around the world. They're presented in a
[1:13:53.160 --> 1:13:57.240]  monthly editorial. It's not just a catalog. They put them in an editorial sense. They have story
[1:13:57.240 --> 1:14:02.520]  around it. Uh, a lot like what you'd find in a men's magazine, allowing you to find the best
[1:14:02.520 --> 1:14:10.840]  products without any need for copious shopping or research or selection. Um, they just launched volume
[1:14:10.840 --> 1:14:18.840]  2.2 featuring items to help you make small meaningful changes in your life from amazing coffee
[1:14:18.840 --> 1:14:25.800]  to better shaving, uh, to the best bedside clock. Volume 2.2 is needs best collection yet. If
[1:14:25.800 --> 1:14:32.040]  that's not a good fit, they've also just launched seven brand new essentials collections featuring
[1:14:32.040 --> 1:14:38.840]  the best denim footwear and more. Um, they haven't done promotional codes yet. They're coming.
[1:14:38.840 --> 1:14:45.240]  They are coming. They're working on it. But in the meantime, talk show listeners who place an
[1:14:45.240 --> 1:14:54.360]  order with need can just send an email to hello at need edition dot com. That's our website need
[1:14:54.360 --> 1:15:03.000]  edition dot com. Um, and place an order anywhere then send an email to hello at need edition dot
[1:15:03.000 --> 1:15:10.360]  com with the subject line promo code. Just put promo code in the subject line and you will receive
[1:15:10.360 --> 1:15:20.200]  with your order a free bag of freshly roasted coffee or, um, you can get a substitute magazine
[1:15:20.200 --> 1:15:26.760]  if you're the sort of terrible person who doesn't like coffee. Uh, and you'll get 25% off
[1:15:26.760 --> 1:15:32.600]  on your next order. So just go to need addition dot com and need addition dot com slash
[1:15:32.600 --> 1:15:37.400]  essentials. Uh, other things that you might be interested in on February 4th, they're launching
[1:15:37.400 --> 1:15:42.040]  their first men's and women's collection for Valentine's Day. Uh, so that's coming up soon.
[1:15:42.040 --> 1:15:46.680]  So if you want to get gifts, if you order now, you'll get 25% off your next order when the
[1:15:46.680 --> 1:15:53.240]  Valentine's Day stuff comes out. And on January 28th, they're announcing an all new project called
[1:15:53.240 --> 1:16:00.440]  foremost sign up at foremost edition dot com and you'll get early access, which will be necessary
[1:16:00.440 --> 1:16:06.360]  in this instance because they expect to sell out. So that, uh, and that discounts any discounts you
[1:16:06.360 --> 1:16:10.920]  get from sending the email to hello at need addition dot com, they apply there as well. So sign up
[1:16:10.920 --> 1:16:18.520]  at foremost edition, F O R E M O S T, addition dot com and you'll get early access to their next
[1:16:18.520 --> 1:16:23.880]  cool project, which is sort of secret other than the name. Uh, so my thanks to them.
[1:16:25.560 --> 1:16:31.640]  It's weird. I feel I feel over the last few weeks, I've encountered a few people that, uh,
[1:16:31.640 --> 1:16:37.480]  that don't drink hot or the gave up coffee. Um, and I just, I just don't understand. I just
[1:16:37.480 --> 1:16:39.960]  understand what drives, what drives the one to do such a thing.
[1:16:41.960 --> 1:16:45.960]  They claim all, they claim all I feel great, but that just reminds me of the, uh, of the
[1:16:45.960 --> 1:16:50.840]  Frank Sinatra quote, uh, what is it? I feel sorry for people that don't drink because when they
[1:16:50.840 --> 1:16:55.400]  wake up in the morning, that's the best they're going to feel all day. Such a great line.
