[00:00.000 --> 00:04.400]  No, seriously, do you do you do you wear polarized sunglasses? I have sunglasses
[26:10.900 --> 26:14.420]  Yeah, I can't remember where they were doing it, but they had like they had bought some land
[26:15.540 --> 26:17.060]  And they were building
[26:17.060 --> 26:20.580]  A full-size millennium falcon. I wonder I wonder like what did they do?
[26:21.460 --> 26:26.500]  With like the full-size millennium the real full-size millennium falcon they built back in
[26:27.200 --> 26:28.500]  77
[26:28.500 --> 26:29.460]  uh
[26:29.460 --> 26:32.260]  I presume they kept it around for the next two movies
[26:32.260 --> 26:38.500]  and so that like the one you saw in empire was the same one and was i'm not sure was there ever really a full-size one built
[26:38.500 --> 26:39.460]  because
[26:39.460 --> 26:43.300]  Hmm, they might have just done the door and done the rest with a matte painting
[26:44.740 --> 26:51.620]  I think that like i'm not sure there's there's something pretty big in in the scene where you know, they're loading up. Um,
[26:53.140 --> 26:58.580]  Yeah, I don't think it's a matte painting. I think that I don't know if it's truly full-size and articulated from every angle
[26:58.580 --> 27:02.340]  but the but the one in most isley where you know, um,
[27:03.380 --> 27:08.100]  They're getting on the ship and all of a sudden it's like a race against time because the stormtroopers are setting up
[27:08.580 --> 27:10.580]  They come in and just set up guns
[27:12.980 --> 27:14.180]  Um
[27:14.180 --> 27:16.180]  But that's a there's clearly a pretty big
[27:16.820 --> 27:21.300]  Pretty big physical thing there, you know, yeah and like think about it like when they're in
[27:21.300 --> 27:28.500]  Uh shooting off the minox inside the dinosaur in the asteroid in the next movie and end it on hoth
[27:28.580 --> 27:32.740]  There's a pretty big, you know, like when chewy's up there fixing it. Yeah, there's a big millennium falcon
[27:33.540 --> 27:36.580]  Again, it may not be articulated on all sides. I don't know
[27:37.540 --> 27:43.700]  But visually the millennium falcon was represented by several models and external and internal sets for star wars
[27:43.780 --> 27:46.740]  A partial exterior set was constructed and the set
[27:46.740 --> 27:50.980]  Dressed as docking bay 94 and the death star hangar
[27:53.380 --> 27:58.100]  Oh, do you think did they were they not able to move that and then they they they changed
[27:58.660 --> 28:01.220]  The most isley docking bay to become the death star
[28:02.020 --> 28:05.540]  That would be cool. Oh, maybe I bet that maybe they did. Is that what that says?
[28:06.020 --> 28:09.320]  Is that what that says? It would be yeah because docking bay 94
[28:10.100 --> 28:15.540]  That was the one that was the most isley, right? Yeah, but it does say partial exterior set. Yeah
[28:15.540 --> 28:16.820]  so
[28:16.820 --> 28:19.620]  So anyway new x-wing, I think it's pretty cool. Yeah
[28:20.980 --> 28:26.580]  I'm kind of i'm kind of pro these movies. I know some people are concerned
[28:27.220 --> 28:30.340]  I think a lot of people our age have a
[28:31.300 --> 28:33.220]  Subscribed and it's a sensible
[28:34.020 --> 28:38.740]  Maxim but the fool me once shame on you fool me twice shame on me
[28:39.140 --> 28:44.180]  And so they are not going to get excited about the new trilogy until until after it comes out
[28:44.180 --> 28:46.420]  Until after it comes out no way. No, how
[28:47.380 --> 28:49.540]  I think there's no chance that it's not going to be better
[28:50.660 --> 28:52.100]  than the last three
[28:52.100 --> 28:55.940]  And the and the last three left such a bad taste in my mouth that i'm happy to have
[28:56.900 --> 28:58.500]  pretty much anything
[28:58.500 --> 29:02.740]  I'm, I I got confused by your sentence because of the two negatives, but I agree
[29:03.380 --> 29:06.420]  Right. You said there's no chance that it's not going to be better
[29:06.580 --> 29:10.580]  Which means it has your what you're trying to say has to be better has to be better. Yes
[29:10.580 --> 29:16.360]  Yes, I think that I agree. I know larry kazdins is involved on the screenplay
[29:18.660 --> 29:22.420]  Abrams is good. Yeah, you know, I think abram's worst movie is
[29:22.980 --> 29:28.900]  Better than than those. Yes. I we've said this before i've said this numerous times whenever star wars comes up on the show, though
[29:28.980 --> 29:32.260]  You have to understand though that for like our kids generation
[29:32.900 --> 29:33.940]  the
[29:33.940 --> 29:38.740]  The they're all blurred together my son jonas still has no idea which ones are the old ones and the new ones
[29:38.740 --> 29:44.340]  And I'm like, how can you not tell the difference that there are three movies that are very very different
[29:44.740 --> 29:48.020]  And that when I was your age, we thought return of the jedi was the bad one
[29:49.220 --> 29:52.020]  And now we think oh that was a great movie. Yeah, really
[29:53.940 --> 29:55.940]  Hank still has not seen the prequels
[29:56.980 --> 30:00.420]  You're hardcore. I am I yeah, I mean for the
[30:01.220 --> 30:05.220]  He's not as he he loved the clone wars tv series. Yeah
[30:05.780 --> 30:06.980]  and
[30:06.980 --> 30:08.980]  He's seen the the first three movies
[30:09.620 --> 30:14.100]  And then I was like and then I was finally I was like, okay if you want to we could watch the other movies
[30:14.100 --> 30:15.380]  He's like no
[30:15.380 --> 30:18.500]  You answered you and john syracuse are like the founders
[30:18.500 --> 30:18.660]  Yeah
[30:18.660 --> 30:23.700]  but for a while it was it was a very when he was really kind of into he was into the movies themselves for a
[30:23.700 --> 30:26.660]  While before he got into the the clone wars show
[30:27.460 --> 30:33.300]  And I think at that point he asked he it was he asked a lot of questions about the other three movies and I was like
[30:34.500 --> 30:36.260]  Like they're not any good
[30:36.260 --> 30:38.260]  Well, we don't have them
[30:41.140 --> 30:43.140]  They don't exist
[30:45.620 --> 30:48.660]  I do I worry I worry about uh
[30:49.380 --> 30:51.700]  Those movies because they came from the same guy
[30:52.500 --> 30:55.380]  and it's you know talking about getting older, you know, and there's there's um,
[30:56.580 --> 31:00.420]  I don't even know how true this is. I'm not a doctor but they say that like, you know, I for
[31:01.380 --> 31:04.180]  Within every few years every single cell in your body
[31:04.180 --> 31:07.460]  Dies and is replaced throughout the cycle of life
[31:07.780 --> 31:13.700]  So like I don't know within like 10 years every cell in your brain has died and been replaced, you know
[31:13.700 --> 31:16.740]  And I you know, I think hopefully you know that they you know
[31:16.740 --> 31:19.860]  the reason you can have any kind of memories that last longer than that is that
[31:20.820 --> 31:22.820]  I don't know the way shit gets stored is
[31:23.700 --> 31:29.940]  You know, like hey i'm i'm going out i've got a memory of uh dig dug in 1984 and then a new
[31:30.260 --> 31:32.580]  Neuron comes in and goes. All right. Got it. I got it
[31:32.580 --> 31:34.580]  right
[31:35.140 --> 31:38.340]  But I don't know there is something nice job enjoy your retirement
[31:38.500 --> 31:41.940]  there is something that happened to george lucas as he got older that is
[31:42.660 --> 31:46.260]  Just very I mean he might be it seems like a very nice man
[31:46.420 --> 31:48.980]  And you know, I think he's had a very happy life
[31:48.980 --> 31:54.100]  but as an artist the guy that the guy who made thx 1138 eventually made
[31:54.820 --> 31:55.540]  uh
[31:55.540 --> 32:02.660]  The phantom menace is just mind-boggling and that it wasn't because uh, it's like a work for hire, you know, it's like I you know
[32:02.740 --> 32:05.620]  Got to do it for the money. It's like he funded the whole thing himself
[32:06.580 --> 32:08.900]  Like he got to do it exactly as he wanted
[32:10.340 --> 32:17.220]  Like he he set everything up like and that's what was so that to me is it was why those movies were so profoundly disappointing
[32:17.300 --> 32:20.900]  Was that he it always impressed me that that
[32:20.900 --> 32:26.100]  In a very different way than like stanley kubrick that he he was a guy who wanted to do things his own way
[32:26.580 --> 32:31.700]  Outside the studio system, you know, I always thought it was cool. Everybody knew you know, he wasn't los angeles-based
[32:31.700 --> 32:37.460]  He was in northern california and nobody else was up there making movies and that he he created this
[32:37.940 --> 32:43.860]  Amazing franchise that and and set up the licensing in such a way that he got all the money from it
[32:44.100 --> 32:48.100]  So then he would never have to go to the studios for money to make a movie again
[32:48.100 --> 32:53.060]  movie again, he could just make whatever movies he wanted to and then he made they used it to make howard the duck and
[32:53.220 --> 32:55.220]  the phantom menace
[32:58.260 --> 33:00.420]  Yeah, I mean he had no one to answer to other than himself
[33:01.380 --> 33:05.940]  Jonas watched howard the duck at his grandparents house. Uh, oh my god, really?
[33:06.580 --> 33:10.420]  A couple of months. How did that happen? I don't know. I asked him it was like
[33:11.060 --> 33:13.140]  He was there he was being babysat for the you know
[33:13.140 --> 33:17.540]  Weekend being watched for the weekend while amy and I are away and I don't know like it was on netflix or something like that
[33:17.540 --> 33:19.540]  And they're like, well, let's watch that
[33:19.540 --> 33:21.540]  it's about
[33:21.860 --> 33:25.540]  And I tried to explain to him that it was from the guy who invented star wars and he wouldn't believe me
[33:29.620 --> 33:32.820]  So we're a half an hour in we should probably talk about apple eventually, yeah
[33:33.460 --> 33:36.580]  Hey financial results came out today. Yep. They sure did
[33:37.940 --> 33:42.180]  Uh, well today for us not today for the people the suckers listening to this later in the week
[33:42.180 --> 33:47.780]  Um, it's probably not going to come out till thursday or something people should listen to this live. I mean, I don't know why
[33:47.780 --> 33:51.540]  I don't why they don't yeah, should I do that? You know the atp guys have that
[33:52.180 --> 33:54.020]  um
[33:54.020 --> 33:57.940]  And it is helpful as i'm listening to atp
[33:58.740 --> 34:04.260]  And they either make a mistake or they can't think of something that they don't have to interrupt themselves and google it
[34:04.260 --> 34:07.780]  They just keep their eye on the chat and say but you know, right?
[34:07.780 --> 34:12.420]  It's kind of amazing and it sort of reminds me of like the podcast
[34:13.120 --> 34:17.860]  equivalent of like on a like on a live tv the way the anchor always has an earpiece and
[34:18.100 --> 34:21.300]  A director or somebody off stage can tell them things, you know
[34:21.300 --> 34:26.660]  So that because so that the person who's on air doesn't have to interrupt the show
[34:27.220 --> 34:29.620]  Right, like it works and I remember having it with
[34:30.740 --> 34:34.020]  The old talk show with dan benjamin for a while not a long stretch
[34:34.020 --> 34:39.140]  But for some stretch we had like an irc channel or something like that and it was occasionally helpful
[34:40.580 --> 34:45.220]  I don't think I could do it though because I think the reason it works for atp guys is that they record on a
[34:45.860 --> 34:50.420]  Very regular schedule, you know, there's like I don't know. Yeah every wednesday night at nine eastern
[34:50.420 --> 34:55.140]  They're on and right. I don't think i've ever recorded two episodes of the show at the same day and time
[34:56.980 --> 34:59.620]  Right. Yeah, I can I can vouch for that
[34:59.620 --> 35:05.940]  I can vouch for that like sometimes the ones that i've been on i'm gonna get you up at midnight because i'm a i'm
[35:06.340 --> 35:11.860]  Wide awake. It's 3 a.m. Eastern, but it's only midnight out there. Are you good to go? You're like and you're always like, yeah
[35:15.700 --> 35:22.180]  Remember do you ever I I do you remember being disappointed I was disappointed when I found out that like the tonight show wasn't live
[35:23.780 --> 35:26.340]  Yeah, although, uh, well, let's see
[35:26.340 --> 35:28.660]  Growing up. I mean growing up in new york
[35:29.460 --> 35:33.380]  Set like saturday live was live. Yes. Yes, which was great
[35:34.020 --> 35:36.020]  That was that was always
[35:36.020 --> 35:38.020]  crazy and it was always great to see them crack up and
[35:39.780 --> 35:42.340]  Stuff like that. Those are always the moments that you remembered
[35:43.620 --> 35:46.340]  But yeah, but but that was basically
[35:47.460 --> 35:51.300]  Well, I guess no they're all like that like letterman's not live, you know, nobody's live anymore. Yeah
[35:52.180 --> 35:54.180]  The tonight show used to be live
[35:54.180 --> 35:58.340]  And on the east coast and then I think at some point in the 60s
[35:59.140 --> 36:05.060]  They switched or maybe it was when they moved to california in the 70s when they moved from new york to california in the 70s
[36:05.060 --> 36:07.060]  Maybe that's when they switched. Yeah
[36:10.340 --> 36:12.340]  And it just felt like a bit of a cheat
[36:12.980 --> 36:19.700]  Right, but then I started thinking of it as more like knowing like a magician's magic trick like at first it ruins the illusion
[36:19.700 --> 36:22.660]  And then you think hey, this is pretty cool. These people they're clearly playing the game
[36:22.660 --> 36:29.540]  Pretty cool. These people they're clearly pretending they don't lie. They don't tell you it's live, but they're acting as though it's late at night somehow
[36:30.900 --> 36:32.900]  Yeah
[36:34.180 --> 36:39.300]  But that was weird going to I went to a letterman show once went back when he was on mbc
[36:39.860 --> 36:42.580]  And it's like yeah, it was like at four o'clock in the afternoon or something, right?
[36:43.300 --> 36:47.540]  Not late night at all. But yeah, but it's but they kind of I mean they they tongue in cheek
[36:47.540 --> 36:51.380]  He does he does like a tongue-in-cheek thing pretending that it's that it's a night, you know
[36:51.380 --> 36:53.380]  But he has to stay up until 11 o'clock
[36:54.020 --> 36:56.020]  right or like
[36:57.140 --> 37:02.100]  Like like on election night he'll make jokes like as though he knows who won the election. Yeah
[37:07.460 --> 37:09.380]  So, uh
[37:09.380 --> 37:11.380]  Financial results came in
[37:11.860 --> 37:14.100]  Is that where we were on? That's what we were on
[37:14.740 --> 37:19.140]  Uh, I hardly really looked at them. It seemed like they were more or less kind of sort of
[37:19.140 --> 37:23.220]  In line not chalking financially good iphone's
[37:23.940 --> 37:28.420]  Pretty good a little bit. I think iphone a little higher than expected. Yeah
[37:29.700 --> 37:35.380]  Margins are still great higher than expected and that was that's been the thing like that
[37:35.860 --> 37:41.940]  That during the rundown of the stock like the the great 2013 apple depression
[37:42.660 --> 37:45.620]  Was always about the margins that the margins are going to collapse
[37:45.620 --> 37:49.940]  They can't you know, right and and part of it was because they'd had a run
[37:50.660 --> 37:55.220]  For a couple of maybe even over a year where they had insanely high margins
[37:55.540 --> 37:59.780]  I think maybe who knows if it was how much of it was just remember when they bought all the the
[38:00.580 --> 38:04.020]  Ls led lcd screens and a bunch of ram in advance
[38:05.140 --> 38:10.900]  It was like somehow like that bet paid off huge and they had like 40 something percent margins for a while
[38:11.300 --> 38:14.740]  Yeah, and part of it was just that that was a fluke in terms of being high
[38:14.740 --> 38:19.540]  And they kept saying it was a fluke like, you know, this was all you know, we'll take the money
[38:19.540 --> 38:22.980]  But this is a surprise they're normally that they should not be this high
[38:23.620 --> 38:25.780]  And then part of it was you know, just you know
[38:26.500 --> 38:28.340]  Bad luck that it, you know went down a little bit
[38:28.340 --> 38:31.700]  but then I know there was a lot of speculation for a while that the margins were gonna
[38:33.060 --> 38:35.860]  Compress I think is what they say. Yeah
[38:36.980 --> 38:38.980]  but now
[38:39.140 --> 38:41.540]  And the only it's like the only real
[38:41.540 --> 38:46.580]  Question is the ipads are down again. Yeah ipads down euro. Well, it's two things
[38:46.580 --> 38:53.220]  I think and I think that maybe they're related. I don't know ipad is down 10 year over year or nine percent
[38:53.540 --> 38:57.060]  Oh, really? Well, all right. I think so. Well max are up
[38:57.700 --> 39:05.540]  18 percent and max being up 18 percent is even more impressive because according to most like idc and other
[39:05.860 --> 39:10.020]  You know people who track the whole industry the industry as a whole is still up
[39:10.020 --> 39:12.580]  The industry as a whole is still down two percent
[39:13.140 --> 39:14.500]  For the same quarter, right?
[39:14.500 --> 39:17.140]  so in an industry where like windows pcs or
[39:17.620 --> 39:21.780]  I guess including the mac including all mac and windows, you know, who knows?
[39:21.860 --> 39:26.820]  So windows is you know, all windows pcs must be even worse if the mac is down even further, right, right
[39:28.980 --> 39:33.860]  And I think that's kind of surprising because I feel like a couple of years ago when the ipad was, you know
[39:34.160 --> 39:38.980]  2011 2012 when the ipad was early days and and was clearly a hit
[39:38.980 --> 39:42.660]  I think that everybody was including me was sort of thinking about how
[39:43.540 --> 39:47.860]  How is this as the ipad gets more powerful and more popular and more familiar?
[39:48.420 --> 39:54.180]  How is that going to affect mac laptop sales? So it's probably going to you know be like a sort of slow decline
[39:54.900 --> 39:58.100]  And it seems like that's the other way around. I don't know
[39:59.060 --> 40:00.020]  Yeah
[40:00.020 --> 40:04.020]  Yeah, that's it's interesting. I don't know exactly. I mean, I think well, I think some of the
[40:05.140 --> 40:06.740]  negativity about windows
[40:06.740 --> 40:09.780]  Machine sales is windows 8. Yeah
[40:10.820 --> 40:16.500]  It's just not I mean often those kinds of upgrades drive sales and it's having almost you know
[40:16.500 --> 40:22.360]  it's having a negative effect this time because everybody hates it I really just don't think if you went back to like 2011
[40:22.900 --> 40:27.460]  And early days the tablets and you know mobile phones, you know growing gangbusters
[40:27.460 --> 40:32.500]  I just don't think I would have believed that come 2014. The mac would still see 18
[40:32.500 --> 40:37.140]  Yeah, I I I wouldn't have thought that either
[40:37.780 --> 40:39.140]  Does my heart
[40:39.140 --> 40:42.340]  Well, though because you know, it's great to see the mac doing well. Yeah
[40:43.460 --> 40:48.660]  I liked that ad did you like that the stickers ad? Yeah. Yeah, I liked it a lot
[40:49.300 --> 40:52.260]  yeah, and I noticed that I mean like that that little flash of the old, uh
[40:52.820 --> 40:56.980]  Icon the old logo is great. The the old logo came up twice
[40:56.980 --> 41:02.980]  So this is a new commercial that apple they call it a short film. It happens to be exactly 30 seconds long
[41:04.500 --> 41:07.060]  But I don't you know, all right, you'll see it on tv
[41:07.860 --> 41:12.760]  They're gonna pay money in between to put segments of a show in between commercials
[41:13.780 --> 41:17.700]  They're gonna pay to broadcast a 30-second short film
[41:19.940 --> 41:21.940]  About one of their products
[41:21.940 --> 41:27.140]  Uh, well if they're not going to do it then who is if you haven't seen it
[41:27.220 --> 41:32.260]  It's just 30 seconds of almost like stop motion animation almost
[41:32.340 --> 41:36.900]  It's just I don't know if they're a bunch but it's just a whole bunch of very very quick cuts
[41:37.620 --> 41:40.660]  Um, I think maybe less than a second each. Um
[41:42.100 --> 41:46.900]  Uh of macbook, I think mostly macbook airs, but then it's all mac. It's all macbook airs
[41:47.220 --> 41:49.220]  Oh, I thought at the end they switched to
[41:49.220 --> 41:52.260]  bigger really because I thought that the whole the whole
[41:52.660 --> 41:58.740]  Ad was about was about the air because okay, then it's a macbook. Everybody's favorite. Maybe it's two different sizes of macbook airs
[41:59.220 --> 42:04.260]  um, but with you know, all sorts of custom stickers decorating the
[42:04.900 --> 42:05.940]  the
[42:05.940 --> 42:10.340]  Outer apple logo case they never show the screen. It's always just the apple logo
[42:10.900 --> 42:12.020]  um
[42:12.020 --> 42:14.500]  Some of them i've seen before some of them pretty clever
[42:14.500 --> 42:22.340]  But then I noticed the one about halfway through it's it's like a a pixel art version of the old six color apple logo
[42:22.980 --> 42:29.060]  That you put over the apple logo on the macbook and then when that met when the apple logo lights up it lights up
[42:29.540 --> 42:30.420]  the
[42:30.420 --> 42:33.620]  Decal I saw that one at first and I thought oh cool
[42:33.620 --> 42:38.900]  I haven't seen you know, that's a neat way to sneak the old apple logo into an ad but then at the very end of the
[42:38.900 --> 42:40.020]  ad
[42:40.020 --> 42:45.620]  They very quickly cycle through different styles of the apple logo not on a macbook. Just the apple logo
[42:45.780 --> 42:51.060]  Including the old six color apple logo and I found that really interesting
[42:51.380 --> 42:54.500]  Yeah, I got some pushback. I wrote about it and I said something. What did I say?
[42:54.820 --> 42:57.700]  I said it pretty well, so I should probably just rip rip myself off
[43:00.420 --> 43:04.900]  I wrote people have been decorating their laptops with stickers and decals ever since they became
[43:04.900 --> 43:09.380]  Consumer products you didn't see many stickers on them when they cost five thousand dollars
[43:09.380 --> 43:13.940]  I think the first time I tried to buy a power book. It was six thousand dollars and I was like, wow, that isn't going to happen
[43:15.700 --> 43:22.420]  And I don't think we need to commission a demographic survey to state that younger people are more likely to do this than older people
[43:22.420 --> 43:26.260]  It's no coincidence that the spot is debuting in back to school season
[43:27.940 --> 43:30.740]  In the old days apple didn't have to worry about conformance
[43:30.740 --> 43:37.140]  Just owning a mac made you stand out from the crowd, but what happens now when everyone you know has a macbook and every macbook looks
[43:37.620 --> 43:40.020]  The same something like this commercial is what happens
[43:42.180 --> 43:47.780]  Some people push back on tour like everybody, you know as a macbook and it's like I'm you know, obviously you can
[43:48.180 --> 43:55.060]  Something like that doesn't literally mean everybody but I i'll bet it's the case at a lot of schools that there are you know
[43:55.060 --> 44:00.820]  Like, you know, whether it's high school or or college where it seems like everybody, you know as a macbook, right?
[44:01.380 --> 44:07.380]  I don't know. I've seen those pictures. You see those pictures of like lecture halls. Yeah. I mean that's been happening for years. Yeah
[44:07.940 --> 44:08.900]  before
[44:08.900 --> 44:14.660]  These market changes happened in the pc market where where pc started falling and apple and mac started rising
[44:15.220 --> 44:18.340]  yeah, and I think it's you know that among um,
[44:19.060 --> 44:22.980]  Like younger, you know teenagers and college students. It's even more of a
[44:22.980 --> 44:25.540]  Teenagers and college students. It's even more profound
[44:26.260 --> 44:29.620]  Um, so yeah take every word everyone with a grain of salt
[44:29.700 --> 44:34.100]  But if it seems like most of your friends all have macbooks all macbooks
[44:34.660 --> 44:38.500]  You know, especially from the back look exactly the same, you know the air the pro
[44:39.140 --> 44:43.300]  That they're all just aluminum with a white logo. I mean, I think it's a cool look but
[44:43.860 --> 44:46.100]  You know as a kid that's there's a sort of
[44:48.160 --> 44:50.160]  Resistance to that sort of
[44:50.320 --> 44:51.700]  conformance
[44:51.700 --> 44:54.100]  Yeah, i'm not a fan of the plastic
[44:54.740 --> 44:56.020]  covers
[44:56.020 --> 44:57.620]  What plastic covers every once in a while?
[44:57.620 --> 44:59.220]  I'll put a put a cover on my iphone
[44:59.220 --> 45:04.180]  But I just because I feel like i'm going to drop that but I don't on a macbook. I don't
[45:04.980 --> 45:06.980]  I don't like the plastic
[45:07.700 --> 45:10.820]  Yeah, and I don't think you need to protect it. Well, the other thing that shells shells
[45:10.980 --> 45:15.380]  Yeah, the other thing that's interesting about that commercial is it shows a bunch of them that are beaten up
[45:16.260 --> 45:18.260]  literally dented scratched
[45:18.340 --> 45:20.340]  right well used uh
[45:20.340 --> 45:25.640]  And that's pretty interesting because it's in my knowledge. I think matthew panzerino pointed this out. I don't think apple's ever advertised
[45:26.580 --> 45:29.620]  With you know, well-worn versions of their machines
[45:32.500 --> 45:38.980]  Um, but they've talked about it before like johnny i've at least has in those, you know those videos he shoots from the the
[45:40.180 --> 45:42.180]  Weird white universe he lives in
[45:44.180 --> 45:48.580]  You know, it's like where that guy who runs the matrix is yeah running the matrix sure
[45:48.580 --> 45:49.940]  You know that
[45:49.940 --> 45:55.220]  That they choose these materials for how they wear, you know, and that it should be like a pair of you know
[45:55.460 --> 46:00.420]  Good good old pair of boots or blue jeans or something like that, you know that it should look better as it ages
[46:00.900 --> 46:02.900]  But they don't show it like that
[46:03.140 --> 46:06.660]  But I do think there's a truth to it, you know, and I think that especially you know
[46:06.660 --> 46:09.940]  A phone is different because it's got glass and you know, that's the glass
[46:10.580 --> 46:14.500]  All things are off with that. I don't use a case for my phone, but I don't blame anybody who does because
[46:14.500 --> 46:18.980]  Glass, whereas, you know macbooks are in my experience extremely rugged
[46:19.940 --> 46:21.140]  Yeah
[46:21.140 --> 46:25.540]  Especially especially since they've switched to ssd's
[46:26.580 --> 46:28.020]  Yeah
[46:28.020 --> 46:32.340]  I think that you know and the aluminum, you know, I think that it's kind of neat. I think
[46:32.580 --> 46:37.540]  Johnny, i've probably liked that ad I think he'd like probably seeing seeing him beat up and worn in an ad
[46:38.420 --> 46:42.340]  Because I do think they designed for that. Yeah. Does your kid have a macbook?
[46:42.340 --> 46:49.300]  Uh, he uses a very old macbook air. Yeah. He's hank's got my old macbook pro and man. He's he's rough on that thing
[46:51.940 --> 46:54.500]  Like physically rough or like rough like
[46:55.300 --> 46:56.340]  everything
[46:56.340 --> 47:02.100]  I mean it's you know the and and and he sees like he spilled a drink on the keyboard and and now I gotta figure out
[47:02.100 --> 47:04.500]  How to get the keys off to clean because it's they're sticky now
[47:05.540 --> 47:07.540]  Like underneath they're sticky
[47:07.540 --> 47:10.500]  The clean, you know, it's easy to clean the keys off of the keyboard
[47:10.500 --> 47:14.260]  Sticky the clean, you know, it's easy to clean the top of them. But now they're like, yeah
[47:16.900 --> 47:18.900]  The touch that I would not type on that thing
[47:20.420 --> 47:22.100]  Uh
[47:22.100 --> 47:28.420]  Jonas has a bit of a passive aggressive streak to him where he's taken now to showing me some um
[47:29.280 --> 47:35.940]  Minecraft mods there's there's they're called shaders and they they totally change the way the game is rendered
[47:36.660 --> 47:37.940]  and uh
[47:37.940 --> 47:40.660]  and he says look this one is meant for uh
[47:41.380 --> 47:45.140]  Mac old macbook airs to make it look better and it's still laggy
[47:46.820 --> 47:50.660]  Wow, isn't that interesting and then you know and then he's like but this one's actually all right
[47:50.740 --> 47:53.140]  Even though it wasn't meant for an old macbook
[47:55.060 --> 47:58.980]  But this one's well and he goes well it's laggy but it's not as laggy
[48:00.660 --> 48:02.660]  And I do kind of feel bad but
[48:03.060 --> 48:04.660]  in the sense that
[48:04.660 --> 48:10.900]  Somehow i'm proud that he you know cares about frame rate and right right. No, I get that. I get that too, right?
[48:11.380 --> 48:16.180]  Like we have got a great running gag in our house where like because it's well, you're you guys are three two
[48:16.260 --> 48:18.260]  So it's there's never a tie
[48:18.580 --> 48:21.780]  somebody's always going to win and so like one of ours is
[48:21.780 --> 48:34.100]  Um standard def video on the tv. Amy doesn't really notice doesn't really seem to care jonas jonas acts as though he's been poisoned
[48:35.220 --> 48:38.340]  Like a spit take like you expect me to watch this
[48:39.780 --> 48:43.780]  I don't think kang notices the video quality that much maybe that's because he's not wearing his glasses
[48:44.900 --> 48:46.900]  but um, but he definitely like
[48:46.900 --> 48:51.860]  Frame rates or buffering drive him berserk. Oh, oh my god
[48:52.100 --> 48:55.380]  God help you if something is buffering on like netflix or something
[48:58.820 --> 49:04.340]  Or anything drops below 60 when we gotta move to another country where they have better 60 frames per second
[49:04.340 --> 49:07.060]  So when I was a kid, we had uh, eight pixels on the screen
[49:08.020 --> 49:10.020]  And a black and white tv
[49:10.020 --> 49:18.660]  Yeah, all right our atari 2600 literally had a switch you could flip that said you're playing on a black and white tv
[49:20.180 --> 49:22.420]  You remember that it was a switch it was like b and w
[49:23.140 --> 49:29.940]  And it was like I guess it somehow would you know, oh it only chooses shades. Oh, yeah, right, you know, right things that would make it
[49:31.540 --> 49:34.820]  My first video game console had a mode for black and white TVs
[49:34.820 --> 49:36.820]  So
[49:38.420 --> 49:40.260]  Anything else on the
[49:40.260 --> 49:41.860]  quarterly finances
[49:41.860 --> 49:46.740]  Uh, just that they are looking forward to having a big fall. Oh, is that what they said?
[49:46.820 --> 49:50.100]  I didn't see that see that we're recording at a time where I have not seen
[49:50.900 --> 49:52.900]  the the the
[49:53.780 --> 49:56.820]  The conference call which is usually where more information comes out
[49:56.820 --> 49:59.300]  So they've dropped a hint that they expect to have a big fall
[49:59.300 --> 50:05.700]  Yes. Oh and the other the other thing which you know, we've been hoping for and kind of expecting to
[50:06.660 --> 50:08.420]  and then the other thing I thought was interesting was that
[50:09.300 --> 50:16.820]  Tim cook said that the growth in the iphone 5c, you know, they don't give out they don't break out right how well each iphone does
[50:17.780 --> 50:25.140]  But he said the growth this quarter and the iphone 5c tier was higher than the growth in either the 4s or the 5s
[50:25.860 --> 50:27.860]  tier
[50:27.860 --> 50:29.700]  Hmm so
[50:29.700 --> 50:36.420]  All right. In other words not, you know, obviously there's no there was no previous 4c to compare against but it was that the pricing tiers
[50:37.700 --> 50:39.700]  Yes. Yeah, so it was it
[50:40.100 --> 50:45.060]  Compared to the 4s a year ago, I guess compared to the 4s a year ago. Correct, right? Yeah
[50:45.380 --> 50:46.580]  Yeah, I think that's interesting
[50:46.580 --> 50:52.740]  Especially since there are a lot of people who were sort of chalking the 5c up as a failure as somehow that it was that it was
[50:52.740 --> 50:58.340]  Right, that's the yeah, and and it's only you know, it's a in arguably a failure in that
[50:58.340 --> 51:01.860]  They I don't think they didn't sell as many as apple thought they were going to sell
[51:02.260 --> 51:07.540]  Or maybe they didn't sell them as many as they thought they would in the first quarter, but maybe yeah for the year as a whole
[51:08.100 --> 51:14.180]  Yeah, or I guess it's only been nine months or so, but and it's still like it's like the fourth or fifth best-selling phone
[51:14.740 --> 51:19.940]  I I see a lot of them. I really do i've started. Yeah, i've still you keep seeing more and more. Um
[51:19.940 --> 51:22.100]  Yeah, I think you know, I don't think apple
[51:23.060 --> 51:27.460]  I know from talking to some people at apple that they don't they don't they don't have a crystal ball
[51:27.460 --> 51:31.780]  They don't they didn't know exactly how many like talking to them last year when they first announced them
[51:32.100 --> 51:39.140]  And to me the part that stuck out right on day one was that I think it was at 199 or was it 299?
[51:39.140 --> 51:42.740]  There was one price where you could for the exact same price
[51:43.380 --> 51:48.420]  Carrier subsidized you could get either the 5s or the 5c you could get like the best 5c
[51:48.420 --> 51:55.300]  You could get like the best 5c or the worst 5s at I think okay. I don't know if it was 199 different
[51:55.460 --> 51:57.460]  Just different amounts of memory
[51:58.020 --> 51:59.540]  Or yes
