[00:00.000 --> 00:02.320]  How's your week? Oh my god
[26:16.620 --> 26:22.780]  Complicated of what somebody might want and exactly how they might want it that there is infinite potential for
[26:23.500 --> 26:27.660]  Improvement for every person no one is ever 100% satisfied with their podcast at
[26:28.700 --> 26:33.140]  Everyone's always like 60% satisfied and I'm you know, so I made one that
[26:33.140 --> 26:37.060]  Satisfies my 60% I'm very happy with it
[26:38.180 --> 26:42.780]  But it's it's never gonna appeal to everyone and it's not even close
[26:42.780 --> 26:49.180]  I think that's another it's one of the broad areas where I see it is similar to Vesper and that there's a ton of
[26:49.860 --> 26:54.460]  Notes apps and looting one that ships with the system from Apple
[26:55.980 --> 26:59.540]  That's not horrible, you know, and it is there. It's you know
[26:59.540 --> 27:05.220]  It's it's at least you know one of the things I like about it though is at least you see where Apple's coming from with it
[27:05.220 --> 27:09.620]  So you don't have to worry like it's more worrisome if Apple doesn't have an app in your category
[27:10.020 --> 27:13.260]  Right like it was then you're always wondering like either
[27:13.540 --> 27:19.740]  Why isn't there an app in my category? Just my category suck that badly or what will happen if they make one?
[27:19.740 --> 27:23.780]  Like then they'll crush us all, you know and even if it ends up not being crushing
[27:23.860 --> 27:29.300]  It's it's stressful like you must have gone through that with the reading list because you start hearing about it
[27:29.300 --> 27:33.900]  Before it comes out, then they announce it and then you have to worry well how popular is it going to be?
[27:33.900 --> 27:36.500]  It's coming out in three months when the beta is over
[27:37.060 --> 27:38.900]  and
[27:38.900 --> 27:44.020]  It's stressful. I mean, I you know, it's better to know that wow here's Apple's podcast app
[27:44.020 --> 27:50.860]  And here's all the reasons I don't like it and I know that there's a lot of other people who don't like it and they're probably not going to
[27:51.660 --> 27:54.060]  Wipe it out and start over. I don't think
[27:54.060 --> 28:00.140]  Well, and and you know there there are things about Apple's podcast app that are the way they are
[28:00.700 --> 28:06.660]  Because that's how Apple does things or because there's a strategy tax in place like there's there's a certain amount of
[28:08.460 --> 28:15.820]  Cludginess in the app that is entirely because it has to use the iTunes podcast directory right and it has to be tied so
[28:16.180 --> 28:18.180]  so firmly to that and
[28:18.180 --> 28:24.340]  so like they can't do anything that that like breaks that it has to cater to a casual
[28:24.340 --> 28:30.900]  I don't even I don't even know what a podcast is yet person in search arrays and it also it has to it has to cater to
[28:31.300 --> 28:37.220]  every territory in the world every language in the world every genre of podcasts in the world and
[28:39.060 --> 28:46.380]  It and like you know think about like whenever the podcast app team wants to get something changed or improved about the
[28:46.380 --> 28:48.100]  API to the store
[28:48.100 --> 28:50.100]  How likely is that to really happen?
[28:50.100 --> 28:54.420]  You know like inside Apple, you know that the iTunes store team has enough to do
[28:54.500 --> 28:59.540]  Do you think if the podcast team if the podcast app on iOS team makes a request?
[29:00.020 --> 29:03.580]  How how high our priority is that really to the iTunes store team?
[29:03.580 --> 29:08.980]  It's that's all this other stuff to do with you know the more high profile thing like the app store and the music store
[29:08.980 --> 29:10.820]  you know and so
[29:10.820 --> 29:15.140]  The Apple podcast app is always going to be limited by that plus it's limited by apples
[29:15.140 --> 29:18.940]  like 80% strategy. Yeah, you know, they're they're never going to do
[29:19.620 --> 29:21.620]  features that are as
[29:21.620 --> 29:28.500]  Nerdy as like my playlists like the way I do playlists. It's so crazy with all like these filters and everything and it's it's a playlist
[29:29.100 --> 29:33.900]  System for nerds and Apple's never gonna do one like that because that's not the way they do things. Yeah
[29:33.900 --> 29:36.180]  I don't think so either and in fact it might even
[29:37.540 --> 29:42.740]  Might even be problematic for them in the way that their podcast app for iOS
[29:42.740 --> 29:45.380]  is
[29:45.380 --> 29:47.380]  Has like this weird
[29:47.580 --> 29:51.740]  Relationship with iTunes on Mac and Windows, which is where you look, you know
[29:51.740 --> 29:57.820]  Apple's solution for how you listen to podcasts on your Mac or PC where playlists has a very different word
[29:58.340 --> 30:00.340]  I mean, maybe they could just add
[30:00.340 --> 30:06.740]  I guess they could maybe piggyback on playlists that include audio file, you know regular audio files from your library or whatever
[30:06.740 --> 30:09.860]  But that just turns it into more of a mess in my mind
[30:09.860 --> 30:13.500]  Right, and well, that's why like when the Apple the Apple podcast
[30:13.500 --> 30:15.620]  I've added something. I believe they call it channels
[30:15.740 --> 30:21.700]  Which is basically a smart playlist. It's you can just select like select which feeds go into this and that's your playlist
[30:22.700 --> 30:25.980]  And they add that to the podcast and I think the reason they had to call it channels
[30:25.980 --> 30:30.100]  Yeah, that's probably mean something else in the in iTunes land. I I never thought about that
[30:30.100 --> 30:32.300]  I was always confused as held by their channels
[30:32.300 --> 30:34.380]  I thought their channels were a little bit more like
[30:34.380 --> 30:41.340]  Category is in the store and and I think that's why I found it so confusing is that they're not really categories in the store
[30:41.340 --> 30:46.860]  They are probably more like it would have made more sense to me if they call them channels and then in parentheses playlists
[30:47.300 --> 30:54.620]  Yeah, smart playlist. That's what they are. They're smart playlists for podcasts. It's has there ever been anything in the history of technology
[30:55.500 --> 30:57.500]  after the television
[30:57.500 --> 31:02.860]  Where the word channels was used for something that ended up being a success. Oh, that's an excellent question
[31:02.860 --> 31:09.140]  Because it's been used in a bunch of like half-assed terrible things like the windows 98 channels bar on active desktop
[31:09.140 --> 31:13.580]  Yeah, anybody who's listening to the show actually remembers that you don't because you were a Mac person
[31:13.580 --> 31:15.580]  I never saw it now. No, it was very lucky
[31:16.900 --> 31:17.940]  Imagine
[31:17.940 --> 31:23.060]  Imagine Microsoft at its worst at a time when when PC hardware was at its worst
[31:23.900 --> 31:25.100]  where
[31:25.100 --> 31:27.420]  The software was trying to do way too much
[31:27.420 --> 31:35.380]  Web technologies were brand new and this is when Microsoft tried to integrate i.e. into the desktop so that the desktop was basically a giant web view
[31:35.740 --> 31:40.820]  On hardware that was like a penny M90 with 16 megs of RAM
[31:41.340 --> 31:43.020]  like it
[31:43.020 --> 31:48.300]  It was it was an awful time to be a PC user and and there are many awful times to be a PC user
[31:48.300 --> 31:54.540]  But I think like 1997 was a particularly awful one. That's pretty bad for being a Mac user too
[31:54.540 --> 32:01.860]  Yeah, at their point just a bad year for computers or as Steve jobs called it in the interview and the interview with crinsley a dark ages of
[32:02.260 --> 32:09.140]  Computing yeah, exactly yeah, he was not that far off about that. I was bad for everybody. You know next had like three developers
[32:10.060 --> 32:14.740]  Like a really cool system in like six apps and they were super expensive
[32:15.060 --> 32:17.300]  You know the machines that could run it
[32:18.300 --> 32:23.500]  Maybe by 97 I guess they ran on PCs. It was net next step or open step
[32:23.500 --> 32:26.180]  But like no market whatsoever
[32:27.660 --> 32:35.380]  Max were part of a company that was dying and had no no no real operating system no modern operating system and
[32:36.100 --> 32:39.100]  Then Microsoft Microsoft was so powerful
[32:39.900 --> 32:47.580]  And they just they ship windows 98 they just gave into all of their worst impulses so bad. It was so so bad
[32:47.580 --> 32:54.300]  And and the internet was you know the internet was so new in 97 that everyone was like the most used application
[32:54.300 --> 32:56.660]  New on your computer were started to become the web browser
[32:56.660 --> 33:01.140]  But web browsers were so bad and the hardware was so primitive and they had there was no RAM
[33:01.140 --> 33:02.140]  So just
[33:02.140 --> 33:08.100]  1997 just sounds like hard drives grinding as everything just swamps constantly that's that's the entire year
[33:08.100 --> 33:10.900]  Everything we just swapping for a year and waiting for dial-up
[33:11.220 --> 33:12.820]  Yeah, exactly that's who we have
[33:12.820 --> 33:14.820]  Oh
[33:16.620 --> 33:22.740]  My god things that you just could not even imagine explaining to your kids today would be the
[33:23.300 --> 33:29.940]  Dial-up dial-up. This is impossible. You can't explain slow internet, but dial-up was so much worse than being slow because I remember being
[33:31.020 --> 33:39.420]  I can't remember when I eventually I think we eventually Amy I eventually broke down and bought a second phone line got a second number just for internet
[33:39.420 --> 33:45.980]  But I remember it just you know, and I understand this stuff and I was able to set up a thing
[33:45.980 --> 33:53.060]  Oh, I'm gonna I'm gonna draw a blank on the software, but it was by a great indie Mac developer named Peter Sichol
[33:53.060 --> 33:56.140]  I don't have to take a moment here and Google this and look it up
[33:56.620 --> 34:03.660]  But he had this great Mac utility that would let you share a dial-up with multiple max on your local network
[34:03.660 --> 34:09.580]  So Amy and I could both get on the internet at the same time and she could just she didn't have the modem hooked up
[34:09.580 --> 34:11.100]  The hope modem was hooked up to my machine
[34:11.100 --> 34:15.080]  But she could just get on the internet go check email and then you know
[34:15.260 --> 34:17.380]  Wait the 90 seconds for the whole thing
[34:17.380 --> 34:22.460]  But then she'd have internet, you know with just one modem shared between us and we could both be on at the same time
[34:22.980 --> 34:27.260]  Yeah, that was unheard of back then. Oh, it was a game changer was awesome
[34:28.660 --> 34:33.580]  This is where I need I need the forum that you guys have the live audience because somebody would
[34:33.580 --> 34:35.580]  Yeah, the chat
[34:35.580 --> 34:42.780]  I don't know. This is pretty obscure even our chat. I'm not sure. Yeah, but I just feel like Peter Sichol S I C H E L sustainable softworks
[34:42.780 --> 34:44.780]  Let me see what I
[34:44.780 --> 34:48.900]  Don't remember the name of it, but it I'll give you I'll give a shout out to it
[34:48.900 --> 34:53.100]  He's still got his URL Sustworks S U S T work.com
[34:55.380 --> 34:58.540]  I used to have to I we only had one phone line on my house
[34:58.540 --> 35:03.340]  And I was I was like in seventh grade and I didn't do that 1997 so it's a little bit different
[35:03.340 --> 35:06.260]  I couldn't just buy another phone line. We only had one phone line
[35:06.260 --> 35:13.420]  And my mom had a lot of friends who would call her all the time and and so I was not allowed to disable call waiting
[35:16.060 --> 35:19.540]  I had to and it was an external modem. So anybody calls your house
[35:20.100 --> 35:21.700]  Yeah, I had I had to listen
[35:21.700 --> 35:26.660]  I had to leave the you could you could figure the modem in its string to leave the speaker on all the time
[35:26.660 --> 35:31.620]  Instead of turning off after it connects. So the whole time. I was just sitting there listening to static like
[35:32.620 --> 35:37.660]  And then you could hear beep if a call waiting came in and I had to listen for that
[35:37.660 --> 35:38.700]  And if I heard a beep
[35:38.700 --> 35:43.300]  I had to flick the modem off so it would hang up immediately and let the phone ring and pick it up and you know
[35:43.340 --> 35:46.260]  Then just not be on the internet for the next 20 minutes during this phone call
[35:47.780 --> 35:54.860]  I've got it here. It's IP net router to complete IP router and firewall solution including a built in DHCP server
[35:54.860 --> 36:00.900]  Nat with inbound port mapping and IP filtering to set up your own firewall. I think it costs like 40 bucks
[36:01.420 --> 36:08.960]  I mean, what was it here? There's a comment from so it was 89 bucks. It was a steal. It was 89 bucks and you you had
[36:09.420 --> 36:10.780]  Superpowers
[36:10.780 --> 36:12.780]  But now that's a pretty advanced
[36:12.980 --> 36:17.460]  functionality and like a pretty advanced network stack for that time. Well that was it was built on
[36:18.060 --> 36:20.220]  I'm going way out in weeds here, but
[36:20.220 --> 36:24.180]  at Macho is nine for as crazy
[36:25.140 --> 36:32.140]  convoluted, you know a terrible bag of wires. It wasn't some areas under the hood had some amazing stuff
[36:32.500 --> 36:35.540]  I think it was called open transport was the networking stack
[36:35.620 --> 36:39.980]  So he didn't necessarily write the whole networking stack all the way to the bottom
[36:39.980 --> 36:43.540]  It was built on open transport, but his stuff was almost like
[36:43.540 --> 36:51.460]  Like like the flagship of why open transport was great and why a lot of Mac developers were
[36:53.500 --> 36:58.860]  Beside themselves when Mac OS 10 went with the you know the Unix
[37:00.500 --> 37:06.940]  Networking I forget that there was a whole controversy in that you know there were all these mini there's thousands of these little mini
[37:07.940 --> 37:13.500]  Controversies between classic the which parts of the classic Mac OS would stay in which part parts
[37:13.500 --> 37:16.300]  Of next step would stay, and that was one of them
[37:17.300 --> 37:21.540]  I kind of feel very lucky that I didn't even come to the Mac until
[37:22.020 --> 37:24.020]  10 for in
[37:24.020 --> 37:27.500]  2004 I and I bought an aluminum power book
[37:27.700 --> 37:32.180]  So like I didn't come to the Mac until it was awesome. Yeah, that's actually a good point
[37:32.300 --> 37:35.340]  Because there was it's like somebody coming to the iPhone with the 5S
[37:35.340 --> 37:39.980]  Yeah, it's like you've missed this whole history of like a little bit of rough patches here and there
[37:39.980 --> 37:46.220]  Although the iPhone was way easier. I think than being a Mac going around the 90s. Yeah, there were a couple of years in there
[37:46.580 --> 37:52.620]  Where it was and it really it was the early years of during fireball exactly around 2002 2003
[37:53.340 --> 37:56.860]  That's when I started, but maybe even count 2001 where
[37:59.660 --> 38:04.700]  Mac OS 9 was half awesome and half terrible and Mac OS 10 was
[38:04.700 --> 38:11.700]  Half terrible and half awesome, and you know, maybe those percentages were 60 40 40 60 and then they got 55 and eight
[38:11.700 --> 38:17.260]  You know, they shifted over time, but it took years for Mac OS 10 to really be overwhelmingly
[38:17.260 --> 38:23.140]  Yeah, you know what I just want to use it all all the time clearly and so it was you know
[38:23.300 --> 38:26.260]  Switching I remember for a while. I had two machines at my desk. I had a
[38:28.020 --> 38:32.140]  Forget what it was running Mac OS 10. I think it was a power book running Mac OS 10 and an
[38:32.140 --> 38:40.660]  old really old power Mac running Mac OS 9 and the older machine running Mac OS 9 of course felt way faster. Oh
[38:40.660 --> 38:42.660]  Yeah, so it's doing way less right
[38:43.220 --> 38:46.900]  Yeah, I mean and Microsoft to their credit like the 90s they had a similar
[38:47.820 --> 38:50.900]  Scale of transit well not somewhat they had a much easier transition
[38:50.900 --> 38:55.420]  But it was it was still a pretty substantial transition between the Windows 95 98
[38:55.420 --> 39:00.820]  Me kernel and the NT kernel that that powered 2000 and then XP and everything after XP
[39:00.820 --> 39:05.700]  And that like I was I was using it heavily during that transition and I was like
[39:05.700 --> 39:10.960]  I would be using the the beta of Windows 2000 and it was way more stable than Windows 98
[39:11.060 --> 39:14.860]  Yeah, I remember even at even like the very first beta of it in like February
[39:15.260 --> 39:19.140]  1999 was way way more stable than Windows 98 and
[39:20.380 --> 39:27.180]  But you know it was easier back than to go through that transition because Microsoft stuff was always mediocre like it was to give the
[39:27.180 --> 39:29.180]  You know to their credit. They were consistent
[39:29.180 --> 39:34.180]  You know whereas Apple it sounded you know sounds like they would have some some amazing times and then some terrible times whereas
[39:34.660 --> 39:38.460]  Microsoft was always impressively mediocre. It was like you could count in the mediocrity
[39:38.460 --> 39:41.260]  It was the you know it was the Starbucks and McDonald's of computer
[39:41.900 --> 39:45.460]  operating systems and I would argue probably still is and
[39:46.060 --> 39:49.100]  That's actually kind of valuable for a lot of people to know what you're going to get
[39:49.100 --> 39:53.660]  You know, it's it's dependable and and the transition, you know from 98 to
[39:54.220 --> 39:55.180]  2000
[39:55.180 --> 39:56.500]  was
[39:56.500 --> 40:01.220]  Not that bad unless you had to scan or print anything and they were no drivers
[40:01.220 --> 40:04.260]  But besides that if you as long as you didn't have to scan or print
[40:04.660 --> 40:06.660]  It was actually a really easy transition
[40:06.660 --> 40:12.180]  Yeah, I think that was the basic idea why they didn't go to NT even earlier because I even I actually had to use
[40:12.460 --> 40:16.840]  Windows in some ways like in college when I had jobs and stuff where you know that's what people used
[40:17.500 --> 40:20.580]  And I remember the first time I saw Windows NT
[40:20.580 --> 40:25.020]  I don't even know what the version number was but it was before 2000, but it was probably like NT
[40:25.020 --> 40:29.940]  4 or three I think because they numbered it yeah because they numbered it to match
[40:30.460 --> 40:35.300]  Windows 3 yeah NT 4 I believe or was NT 4 2000 or was that NT 5?
[40:35.300 --> 40:39.940]  It doesn't matter and I remember asking like the the guys who knew a lot more you know
[40:39.940 --> 40:43.980]  We're into the PC side. I was like why isn't everybody using this? This is actually like, you know
[40:43.980 --> 40:48.300]  It's not five. It's still oh. Yeah. That was it. That was it NT 5 was 2000
[40:48.300 --> 40:55.940]  Yeah, NT 4 was the one that that looked like when it was 95. Yeah, it was NT 4 that I that I had seen and used
[40:55.940 --> 40:58.100]  I had some experience with and I was like this is you know
[40:58.100 --> 41:01.940]  I still think it's kind of gross design wise but technically this is so far superior
[41:01.940 --> 41:05.180]  Why isn't everybody using this and then they were like, oh, there's no drivers for it?
[41:05.180 --> 41:09.860]  I was like, well, don't you say there's an easy way to solve this shouldn't everybody just
[41:10.540 --> 41:15.980]  Switch to this and then everybody will write drivers for it. It did I mean transitions are hard
[41:15.980 --> 41:20.460]  I know it's not but it just seemed crazy to me that they were in active development for someone here's by that
[41:20.460 --> 41:24.740]  And the PC world is I mean I don't it's probably better now. I'm not I'm actually not sure
[41:24.740 --> 41:26.740]  I've been out of it too long, but
[41:26.820 --> 41:30.140]  You actually couldn't count on new drivers for almost anything like if you upgraded
[41:30.700 --> 41:36.980]  Your version of windows you would probably almost certainly you'd have to get a new scanner at least like some of your hardware
[41:36.980 --> 41:42.580]  Would just stop working reliably or at all because then because they wouldn't put out a new driver or they would put out a new
[41:42.580 --> 41:49.380]  Data driver and then go out of business or something it would and like scanners were scanners and printers were some of the worst
[41:50.260 --> 41:51.780]  And then like it like the more
[41:52.580 --> 41:58.420]  Specialized your hardware peripherals were the worst they would be so like like I had a couple of game pads
[41:58.420 --> 42:04.300]  So I wanted to like play emulators. That's why I bought these game pads and they were always the absolute worst and
[42:04.900 --> 42:09.140]  So you could almost be sure that any any hardware or any time you upgraded your windows OS
[42:09.140 --> 42:17.060]  You'd have to also spend maybe 200 bucks upgrading some of your hardware because just just because of driver issues
[42:17.060 --> 42:23.260]  You'd have to replace perfectly working hardware just because there wouldn't be drivers anymore or they wouldn't be workable drivers anymore
[42:23.260 --> 42:30.940]  Crazy dark days and that's one of the reasons why Microsoft had to jump through hoops for backwards compatibility all that crap because that was the world
[42:30.940 --> 42:33.180]  They were operating and that was like the hardware environment
[42:33.180 --> 42:36.140]  They were operating and where they they couldn't just dictate to people
[42:36.140 --> 42:39.860]  You know what? Everyone's now using this so you have to catch up. You know the way Apple does that today
[42:40.460 --> 42:44.700]  Microsoft could not do that in in the 90s and I I don't even know if they can do it today
[42:44.700 --> 42:46.700]  They probably still can't do it
[42:46.700 --> 42:51.660]  All right, let me jump in here in the early minutes of the show with our first sponsor break and
[42:52.620 --> 42:55.260]  Remind everybody about our good friends at
[42:56.340 --> 42:59.780]  Connected data makers of file transporter
[42:59.780 --> 43:05.380]  All right, I use this analogy every time I talk about these guys. It's like your own private Dropbox
[43:06.060 --> 43:09.300]  You buy a device or you buy multiple devices
[43:09.620 --> 43:13.860]  They come to your house. They have hard drives in them or you hook hard drives up to them
[43:14.020 --> 43:18.060]  You put them on your local network. They're right there in your house in your office
[43:18.900 --> 43:24.540]  Wherever you want them to be but they're in your control and then you install the software on your Mac and you get a little
[43:24.540 --> 43:31.540]  Folder on your Mac like Dropbox and it syncs and where are those files in the folder? They are stored on your
[43:31.540 --> 43:38.460]  Transporter device and you can share between multiple people you can share between multiple devices multiple places
[43:38.460 --> 43:40.460]  You can hook more than one of them up
[43:40.740 --> 43:43.140]  But the basic idea is you have
[43:44.140 --> 43:46.640]  Sink between computers through the cloud
[43:47.100 --> 43:53.940]  But not stored on servers in the cloud. They're stored on devices that you own in control
[43:53.940 --> 43:58.620]  Maybe that's just for your own piece of mind because you're interested in the privacy implications of that
[43:59.180 --> 44:03.340]  Maybe it's because you have legal reasons that you actually can't store things on
[44:03.980 --> 44:05.980]  Devices that you don't control
[44:05.980 --> 44:10.220]  For HIPAA or things like that. They have an iOS app and this is new fairly new
[44:10.900 --> 44:15.560]  iOS app for the iPhone and iPads been updated that has a pretty cool feature where it does things like
[44:16.460 --> 44:20.460]  Upload all your photos and videos from your camera roll right to a special folder on
[44:20.460 --> 44:28.380]  Transporter for safekeeping. So you want to again if that's one of your things you really want to do is have a cloud-based
[44:29.660 --> 44:31.660]  Effectively cloud-based
[44:31.660 --> 44:35.260]  Backup automatically of your photos so that if something happens to your phone
[44:35.460 --> 44:38.020]  You've know you've got them automatically somewhere else
[44:38.620 --> 44:45.260]  But you don't want that somewhere else to be a server in California or who knows where
[44:45.260 --> 44:50.660]  Controlled by some big corporation that might have the NSA tapping it or whatever
[44:51.620 --> 44:53.660]  Transporter can do that for you. Really cool
[44:54.260 --> 44:57.380]  Great stuff if any of that appeals you go check them out
[44:57.740 --> 45:01.660]  Where you go is you go to www.filetransporter
[45:02.460 --> 45:04.460]  Store.com
[45:04.700 --> 45:09.340]  File transporter store.com and they have two deals for listeners
[45:09.540 --> 45:14.740]  You want to save 10% you can save up to 35 bucks on any of the regular transporter models
[45:14.740 --> 45:21.300]  By using the code TTS 10 the talk show 10 TTS 10
[45:21.660 --> 45:28.100]  They have 500 gigabyte one terabyte two pair of terabyte capacities save 10% big bucks or
[45:28.740 --> 45:33.220]  If you want to buy the little thing the little thing. It's like the puck is the transporter sink
[45:34.060 --> 45:38.460]  Same functionality, but what you do with this one instead of having a hard drive built into it
[45:38.460 --> 45:40.140]  You just hook any
[45:40.140 --> 45:45.380]  USB drive up to it. So if you already have a big USB drive or a couple of them sitting around you can
[45:45.620 --> 45:54.220]  Get a cheaper device smaller device and just hook your own drive up to it. You can save 20 bucks on one of those by using the code
[45:54.780 --> 45:55.820]  TTS
[45:55.820 --> 45:56.820]  20
[45:56.820 --> 45:58.820]  So TTS 20
[45:58.820 --> 46:07.220]  If you want to get the little sink TTS 10 if you want to get the the big regular transporter and anybody who uses either of those codes gets free shipping
[46:07.220 --> 46:10.860]  So go check them out of file transporter store dot com
[46:12.020 --> 46:17.540]  So what are we talking about we were talking about overcast before before the detour into old windows of Mac
[46:17.540 --> 46:21.740]  Yeah, it is a horrible days of the late 90s of using computers. God. I don't know how that happened
[46:21.740 --> 46:25.440]  That was terrible. All right, that would help the entire computer industry was in middle school
[46:25.940 --> 46:29.700]  So the middle school always sucks for everybody and it sucks for the computer industry and that was it
[46:30.020 --> 46:34.860]  That's a pretty good analogy. It really was and you're the worst of your personality comes out
[46:34.860 --> 46:36.860]  Yes
[46:36.860 --> 46:39.260]  Apple Apple went pie in the sky
[46:40.100 --> 46:44.060]  You know off-smoke and pot thinking they were gonna write a universal
[46:44.060 --> 46:47.380]  I just linked that up today the Talogen thing with IBM
[46:47.700 --> 46:55.100]  Like I Apple had had was writing multiple operating systems that never actually came to exist, you know, and there was Copeland
[46:56.980 --> 47:03.060]  And they did the whole Newton thing which wasn't a failure wasn't a bus, but obviously, you know wasn't a hit and therefore didn't
[47:03.060 --> 47:08.660]  You know, they took their eyes off the ball and left the thing that was actually keeping the company around
[47:09.140 --> 47:15.460]  They let it languish and then Microsoft man. It's just it really got they got bad
[47:15.460 --> 47:21.820]  But anyway, that's enough of that. I do think it's amusing that that like the biggest Apple news this week is probably the IBM thing and
[47:22.260 --> 47:29.740]  You choose to have me on I am probably the least qualified person in the world to comment on that in any fashion whatsoever
[47:29.740 --> 47:31.740]  Well, maybe next to me
[47:31.740 --> 47:34.500]  Let's get well, let's save it. Let's go. Let's do news at the end of the week
[47:34.500 --> 47:37.860]  That was keep going on overcast. I had a couple more programming questions
[47:37.860 --> 47:41.620]  So Brent wanted me to ask this when I told him you were gonna be on the show
[47:41.620 --> 47:47.100]  He wanted to know how hard the audio programming was because he said it sounds like it would be hard
[47:47.100 --> 47:50.540]  It sounds like it would be hard for him and knowing just some of the
[47:51.100 --> 47:52.700]  trickery that you're
[47:52.860 --> 47:54.860]  Implementing that it's even harder
[47:54.860 --> 48:01.580]  So that's that's a question how hard was audio programming and you had no background in audio programming before you got into this correct
[48:01.740 --> 48:03.740]  Well, that's not entirely true
[48:03.740 --> 48:07.340]  I I did a project in college where I was I was trying to make a
[48:08.060 --> 48:12.300]  Better lossless compression algorithm like flak and you know those those kind of lossless ones
[48:13.380 --> 48:17.100]  My project in college failed because the compression of that I wrote
[48:17.100 --> 48:24.820]  Took like 10 hours to compress one file and the resulting file was actually larger than the input file
[48:24.820 --> 48:30.180]  So it was not a success my idea for for how I could lossly compress them
[48:31.060 --> 48:33.060]  Was not a good idea turns out
[48:35.340 --> 48:39.580]  When I was in college and I was taking computer science courses. This is mid 90s
[48:41.260 --> 48:43.820]  That was you know 91 to 96
[48:43.820 --> 48:49.980]  Everybody was writing ray tracers ray tracers were like maybe they're still a common thing
[48:49.980 --> 48:56.260]  But man, and I I was nowhere near good enough to even try but I remember that there are some kids
[48:56.260 --> 49:00.540]  I knew who wrote one and they they were getting like like one frame a day
[49:00.540 --> 49:07.100]  I mean this just unbelievably slow and it just had no idea how to improve it and
[49:07.740 --> 49:09.740]  just like despondent
[49:09.740 --> 49:14.140]  It was like if we it's so slow that we can't even figure out why it's slow
[49:14.860 --> 49:17.100]  Well when I was writing this thing in 2003
[49:18.940 --> 49:24.940]  About the same number of people cared then as now about lossless audio encoding, which was about five and
[49:26.300 --> 49:31.740]  Yeah, I don't even use like I'm an audio file. I love high quality audio
[49:31.740 --> 49:35.420]  I have all sorts of ridiculous equipment to listen to high quality audio
[49:35.420 --> 49:41.180]  But I don't even use lossless audio files like even if that doesn't even make sense for me to have those giant
[49:41.180 --> 49:43.180]  files sitting there where I'm like a
[49:43.180 --> 49:49.260]  256 KMP3 well encoded sounds just as good to me. I can't have the difference. Yeah. Well, so it was it was a ridiculous background. Anyway
[49:50.780 --> 49:57.500]  Compression in general though is hard whether it's lossy or lossless because you're still focused on quality
[49:57.500 --> 50:02.780]  I mean, you know even if you're writing lossy compression, you know JPG or something like that
[50:02.780 --> 50:06.540]  You still you don't it's not it's not like you can disregard quality
[50:07.580 --> 50:12.700]  Right, and it's just mathematically. It's just it's really mind-bending. I mean to me at least
[50:13.180 --> 50:17.180]  Oh, yeah, I mean like the once you get past very elementary forms of compression
[50:17.660 --> 50:19.980]  The met it's all math and it's all like very
[50:20.700 --> 50:28.220]  Complicated difficult to understand math that is far beyond my comprehension most of the time or like I might understand the general concept
[50:28.220 --> 50:34.300]  But I certainly couldn't implement it or do it myself. Right. There's like a one one level deep of compression that anybody can
[50:34.300 --> 50:40.700]  Understand and it's like well if there's like what zip does. Yeah, if there's if there's 16 ones in a row you could just
[50:41.740 --> 50:47.740]  Write it down as six you know say that there's 16 ones and that takes fewer space than this 16 actual ones. Oh, yeah
[50:47.900 --> 50:49.900]  Well, guess what that doesn't get you very far
[50:50.460 --> 50:55.820]  Yeah, exactly that's that's called RLE and that was in Windows 3.1 and you know 15 20 years ago
[50:55.820 --> 51:01.340]  All right, if there's these very obvious repeated patterns that's how gift works. Actually. Yeah, but that's
[51:01.820 --> 51:08.620]  Gift as well. That's why gift has such wonderful compression that Twitter reimplemented is the movie files
[51:09.260 --> 51:12.780]  Right before letting exactly see the cat pictures I
[51:14.540 --> 51:21.340]  Saw people because that's I don't know if anybody doesn't know that the Twitter added quote-unquote added support for animated gifts
[51:21.340 --> 51:26.860]  A couple of weeks ago, and then somebody figured out that they're not actually animated gifts. They're sending out
[51:27.900 --> 51:31.940]  It's to 64 video and then I saw people who were upset about this
[51:31.940 --> 51:39.460]  And it's like what there's a reason they did it that the the age to 64 video files are like 10 times smaller than the gifts
[51:39.460 --> 51:42.660]  Oh, yeah, I mean like I wrote the gift processor and tumblr
[51:43.140 --> 51:46.260]  It's dealing with gifts is a ridiculous pain in the ass
[51:46.260 --> 51:53.580]  It's a terrible format. It for so many reasons and you know not least of which is that it isn't very efficient
[51:53.580 --> 51:54.900]  Compression
[51:54.900 --> 51:58.300]  But it for so many other reasons like it has the fixed
[51:59.100 --> 52:06.580]  256 color palette right which is really limiting. Oh, it's so crushing. It's so like that's and those colors
[52:06.580 --> 52:12.180]  I don't think those colors can change between frames of an of an animation picture about that. Oh, I'm almost certain that
[52:12.180 --> 52:17.260]  I don't think so. I don't think between frames. Yeah, so I'd I would be very surprised if that were true
[52:17.260 --> 52:21.220]  Yeah, I remember can't change the cut anyway. Yeah. It's that terrible format. It's terrible
[52:21.460 --> 52:28.380]  Well, you know right back to the 90s, you know, but there was that whole debate when when was it unisis started trying to enforce the patent on
[52:28.380 --> 52:29.980]  gif
[52:29.980 --> 52:31.980]  It was like they had it patented and
[52:32.740 --> 52:35.460]  Didn't do anything with it and while they didn't do anything with it
[52:35.620 --> 52:39.940]  You know the world the worldwide web grew up with tons and tons of gift files
[52:39.940 --> 52:44.660]  And then all of a sudden somebody unisis was like, well, we have a patent on that. Yeah, the submarine patent
