[00:00.000 --> 00:06.720]  Ah Craig's good to hear your voice. Yeah. Likewise. It's been a while since we talked. Yeah
[27:28.560 --> 27:37.400]  sponsor can buy a hashtag and then when people tweet that hashtag, they automatically get a a
[27:38.160 --> 27:42.480]  Emoji or a little sticker an illustration behind it
[27:42.480 --> 27:46.960]  So for example right now if you tweet the hashtag rogue one
[27:47.480 --> 27:52.560]  You get a little death star image after the thing now
[27:52.560 --> 27:58.620]  I wasn't aware of this because I like anybody with any kind of cooth or taste. I use a third-party Twitter client
[27:59.680 --> 28:08.120]  On everywhere. Oh just about everywhere and these things are only visible in Twitter's own Twitter apps and this stupid-ass ugly Twitter website
[28:08.240 --> 28:13.040]  so I wasn't aware of this but apparently over the summer the Trump campaign wanted to buy one for
[28:13.600 --> 28:15.600]  hashtag crooked Hillary and
[28:16.240 --> 28:19.520]  Who even knows what the icon would have been? I think they said they wanted it to be a
[28:19.520 --> 28:22.400]  Bag of money flying away or something like that. I don't know
[28:23.360 --> 28:24.960]  and Twitter
[28:24.960 --> 28:26.960]  declined to accept the
[28:27.760 --> 28:35.120]  Sponsorship apparently Jack maybe Jack Dorsey himself put the the Knicks on it and that the Trump campaign hasn't forgotten it. I
[28:38.160 --> 28:43.440]  Don't think that's it though. I'm not sure that it I'm sure it didn't help because I think they are vindictive
[28:43.440 --> 28:48.880]  Petty people, but I don't really I think that the market cap angle was a bigger one. I think yeah
[28:49.840 --> 28:53.680]  Now that you mentioned that it's probably Peter Thiel had more
[28:54.480 --> 28:59.520]  Influence on who was at that table than then Trump. Yes. Oh, it's it really sounded
[28:59.520 --> 29:03.360]  It sounded like Trump's own remarks that it was really largely just
[29:04.160 --> 29:10.720]  You know, there was a list of finalists and Trump ran him by teal and teal said yes. Yes. No, no, no
[29:10.720 --> 29:17.520]  No, yes. Yes, or vice versa, right? Maybe teal had the way it sounded more like it sounded more like it was
[29:18.160 --> 29:23.040]  Teal who was given the yeses and no, I mean obviously if Trump had said I want I want Twitter it would have happened
[29:23.040 --> 29:29.520]  Yeah, as tech people we have a different view on all this, you know, it's like it's like this this Russian hacking thing, right?
[29:30.080 --> 29:32.080]  It's like, you know that to me is
[29:32.720 --> 29:36.960]  Totally, you know your first hint of that was like oh, yeah
[29:36.960 --> 29:40.720]  Cuz anybody who's run a server has seen, you know
[29:41.040 --> 29:44.480]  IP addresses from you know, the Eastern Bloc
[29:45.840 --> 29:50.400]  Pinging our servers, you know looking for you know, WP login pages
[29:51.040 --> 29:56.000]  PHP my admin, you know, it's just it's just like they're just they're looking for
[29:56.960 --> 30:00.880]  Ways into what you're doing and and you know that
[30:00.880 --> 30:06.080]  That did you see the effect? Did you see the presidential election is just
[30:07.200 --> 30:13.360]  You know, it's you know again back to the fairness argument, you know, how in the hell is that fair?
[30:13.920 --> 30:17.040]  did you see that uh among all of the
[30:17.680 --> 30:25.040]  Just like series of unfortunate events that all just happened to break the wrong way for the clinton campaign
[30:25.040 --> 30:31.760]  It was just one thing after another and it just all broke the wrong way. Um, but one of them was that when
[30:32.560 --> 30:34.960]  John, podesic got the phishing email
[30:35.520 --> 30:40.640]  And it was forwarded on to somebody like what's going on with this and the person on the staff who you know
[30:40.720 --> 30:44.500]  Evaluated it wanted to write back this this email is illegitimate
[30:45.520 --> 30:48.640]  Uh, john should change his passwords immediately
[30:48.640 --> 30:55.600]  Um, but instead wrote inadvertently. This email is legitimate. John should change his passwords immediately. And so apparently he
[30:56.480 --> 30:59.840]  Because it said that he used the link in the email to change his password
[31:01.280 --> 31:08.880]  All right, and that this person who wrote made this mistake and wrote legitimate where they wanted to write illegitimate, right?
[31:10.240 --> 31:14.320]  Yeah, it's it's a couple of letters on the keyboard that we've written
[31:14.320 --> 31:20.960]  Uh, yeah, it's is a couple of letters on the keyboard that we've all right made the mistake with
[31:21.840 --> 31:23.520]  right
[31:23.520 --> 31:28.800]  Is you know heartbroken and as apparently is apparently crushed well and and and
[31:29.600 --> 31:36.160]  You know that the flip side of it. Okay. Yeah, they they hacked the democrats. Well, do you think they hacked the republicans too?
[31:37.200 --> 31:43.360]  Uh, there's it's widely it's that's actually, you know, they haven't leaked but it's it's actually I mean this isn't speculation
[31:43.360 --> 31:49.760]  But it's actually yeah that that that to me is leverage and blackmail and all the other nasty shit. So
[31:50.640 --> 31:52.640]  You know this this, you know
[31:52.800 --> 31:54.800]  That this this is an issue
[31:55.120 --> 31:57.440]  It's clearly a non-partisan issue
[31:58.160 --> 31:59.200]  right
[31:59.200 --> 32:00.640]  Well, it should be
[32:00.640 --> 32:06.080]  Yes, it should be and and if you try to say that this is oh the democrats are just you know, sour grapes
[32:06.080 --> 32:08.080]  It's like oh, that's bullshit
[32:08.560 --> 32:10.640]  This is this affects everybody, right?
[32:10.640 --> 32:16.560]  This is you know, again, it goes back to the fairness, you know that our government should be a level playing field
[32:16.640 --> 32:18.640]  Yes, there are two teams
[32:18.800 --> 32:20.800]  Right and they compete against each other
[32:21.040 --> 32:23.840]  But if the if the fucking playing field isn't level
[32:24.480 --> 32:26.480]  We got a problem
[32:26.480 --> 32:29.440]  yeah, I don't want to be too histrionic about it, but uh
[32:30.000 --> 32:37.520]  It does fundamentally come down to whether the parties see themselves as two opposing parties within one nation
[32:37.520 --> 32:40.800]  or they view each other as their enemies and
[32:42.480 --> 32:50.640]  The democrats clearly still see the republicans as their opposition and the republicans see the democrats as their enemy and you and that's
[32:50.800 --> 32:52.320]  Again, I don't mean to be histrionic
[32:52.320 --> 32:56.880]  It sounds if you if you happen to be of conservative bent you think that that's just me being a liberal
[32:56.880 --> 33:02.880]  You can see it in the polls where a poll came out today of what's your net positive or negative?
[33:02.880 --> 33:08.160]  Negative on the following people and they asked a survey of republicans in the united states
[33:08.720 --> 33:10.080]  uh
[33:10.080 --> 33:13.840]  It was like barack obama was a negative 64 net negative
[33:14.480 --> 33:16.660]  Hillary clinton was a net negative 77
[33:17.600 --> 33:20.000]  And vladimir putin was negative 10
[33:21.120 --> 33:22.080]  right
[33:22.080 --> 33:24.080]  so vladimir butin is is
[33:25.180 --> 33:29.840]  54 points more popular among republicans than barack obama
[33:29.840 --> 33:33.620]  I mean, it's it's no joke or kidding or exaggeration
[33:34.720 --> 33:36.720]  that the republican party
[33:37.360 --> 33:38.960]  largely sees
[33:38.960 --> 33:42.720]  The democrats as more of their enemy than they do the russians
[33:43.520 --> 33:46.640]  Which is nuts, especially for people of our age
[33:47.600 --> 33:51.040]  Where the republicans were the ones who were the hardline realists?
[33:51.120 --> 33:55.280]  Oh jeez, I was just gonna I was just gonna say, you know, ronald reagan is rolling over in his grave
[33:55.280 --> 34:00.400]  Well as a kid and a teenager when I first, you know became politically aware and I was a news junkie
[34:00.720 --> 34:07.760]  I I viewed myself more as a republican than a democrat because I thought that the republicans were the party of
[34:09.440 --> 34:12.640]  Uh, you know to put it succinctly the party of
[34:13.520 --> 34:18.240]  The cold hard truth and that the democrats were more of a saw what they wished for
[34:18.880 --> 34:19.920]  party
[34:19.920 --> 34:21.360]  um
[34:21.360 --> 34:27.120]  You know and that the the main issue at the time wasn't something like climate change. Uh,
[34:28.960 --> 34:30.000]  Uh
[34:30.000 --> 34:31.360]  Or a few other things where it comes up
[34:31.360 --> 34:36.240]  but climate change is a perfect example today where one party is looking at facts and the other party is just
[34:36.560 --> 34:38.560]  Believing what they want to be true
[34:38.640 --> 34:45.360]  um, but at the time the pre-eminent issue was the cold war because it was you know, hey if this turns out poorly
[34:46.160 --> 34:49.520]  Every we're all dead. We're screwed. Yeah, right. We're all dead
[34:49.520 --> 34:52.000]  This is a game with no winners
[34:52.720 --> 34:54.080]  yeah, uh
[34:54.080 --> 34:59.920]  And it seemed to me like the republicans were the I I I think history has shown it to be true that the republicans were
[35:00.000 --> 35:02.480]  The ones who looked at it with it, you know
[35:03.760 --> 35:06.960]  Just cold hard facts. Yeah, right. Uh
[35:07.680 --> 35:12.240]  So it's ridiculous to me that they've now become the party that's like ah russia's good people
[35:13.120 --> 35:15.120]  well, maybe they are good people but
[35:15.120 --> 35:21.360]  The russian government leadership. Oh good people. Yeah, it's you know, it's it's kind of like, you know that
[35:22.560 --> 35:24.560]  They have to you know
[35:24.800 --> 35:27.440]  It's a win at all costs kind of situation for them
[35:27.920 --> 35:32.560]  Right and and the the the the problem I have is that those costs are going up
[35:33.280 --> 35:36.960]  In ways that hurt our society and hurt our government. I mean
[35:37.520 --> 35:42.240]  Well, i'm i'm i'm at i'm at odds with many people in my family now because of this
[35:42.240 --> 35:44.880]  Yes, i'm sure that's true for a lot of people
[35:45.600 --> 35:47.600]  And I it sucks
[35:47.840 --> 35:55.280]  But you know, they they had to vote for their republican person because you know, and and the fact that
[35:56.000 --> 35:58.000]  that
[35:58.880 --> 36:01.280]  You know the the people that are celebrating a
[36:02.560 --> 36:04.400]  the the trump
[36:04.400 --> 36:06.400]  win include the the
[36:06.400 --> 36:13.460]  The ku klux klan and in evangelical christians in the same group. I mean what is wrong there?
[36:14.420 --> 36:15.860]  All right
[36:15.860 --> 36:20.740]  Well, you start to get the feeling that maybe the evangelical christian base may maybe
[36:22.480 --> 36:24.480]  Christianity isn't there
[36:25.780 --> 36:28.020]  You just start to think maybe it's not their top priority
[36:29.940 --> 36:32.820]  Our faith that people are inherently good
[36:32.820 --> 36:35.140]  Good we're screwed
[36:36.980 --> 36:41.140]  Well, let me use that as a segue to talk about harry's razors
[36:42.020 --> 36:47.860]  This is now look this show's coming out tonight. December 16th. This is a gift that you can get you've got time
[36:48.100 --> 36:53.780]  If you're listening to this show tonight on the 16th, you can even still get ground shipping after tonight
[36:53.940 --> 37:00.100]  You're gonna have to pay for air shipping, but you can get this as a gift for the holidays still you gotta act
[37:00.100 --> 37:02.980]  I hope you're listening to this show while it's hot off the press, you know
[37:03.140 --> 37:06.180]  Press it onto the 45 record or whatever you're using to listen to this show
[37:07.380 --> 37:10.500]  But if you act quick you can do it you can
[37:11.540 --> 37:13.620]  Go to harrys.com and get an order in
[37:15.220 --> 37:18.820]  Now why why would this make a good gift? Well, one of the reasons is it's a great product
[37:18.900 --> 37:24.500]  I've said this before they make nice handles really really great nice blades. They own their own razor blade factory
[37:24.580 --> 37:29.140]  This is how they get the prices down. This is how they keep the quality up. They're not just like buying
[37:29.140 --> 37:36.340]  White label razor blades and putting harry's name on them. They own a razor blade factory over in germany that they make their own
[37:36.580 --> 37:38.580]  There's no middlemen. No distributors
[37:39.060 --> 37:44.100]  No, no markup on the way to to to retail. It's just they make them
[37:44.740 --> 37:48.660]  They package them they sell them to you. Uh, so it's a great product and they've got good
[37:49.220 --> 37:54.180]  Shaving cream and stuff like that. They've got what do they have here a limited edition set if you haven't heard of them before
[37:54.180 --> 37:59.540]  Um, you can get this set it comes with a razor handle of your choice
[38:00.580 --> 38:03.700]  shaving cream replacement blades and a nice little travel cover
[38:04.260 --> 38:10.420]  Uh, they have something called the winston set that includes an engraveable chrome handle if you want to add a personalized touch
[38:11.540 --> 38:17.060]  The other reason these things make a nice gift is that the packaging is so nice so you can wrap this up
[38:17.300 --> 38:18.420]  And when people open it
[38:18.420 --> 38:20.980]  It's not like you sound like you're giving them one of these blister pack
[38:20.980 --> 38:24.020]  Razor blades that you'd get at a drugstore where it looks you know
[38:24.260 --> 38:28.580]  This looks like you've bought them like a nice thing like you even if you don't even know what's inside
[38:28.580 --> 38:30.180]  It's just like this cool box
[38:30.180 --> 38:34.340]  It's it's not like a blister pack where you've got to go get a razor blade just to open the damn thing up
[38:34.580 --> 38:36.580]  It's a nice box with a nice lid
[38:36.820 --> 38:37.620]  uh
[38:37.620 --> 38:42.500]  I've i've said before it's the type of packaging that's so good that I feel bad throwing it out and I have to defeat my
[38:42.660 --> 38:47.460]  Sort of natural inclination to be a pack rat and keep it like why in the world would I keep an empty box?
[38:47.700 --> 38:49.460]  That had razor blades in it
[38:49.460 --> 38:56.580]  Stupid but it's so nice. It always pains me as I toss it into the the bathroom trash can it's a great great product
[38:57.940 --> 38:59.860]  So if you're listening tonight
[38:59.860 --> 39:02.340]  You can still get ground shipping. Otherwise, uh,
[39:02.900 --> 39:05.860]  You know, you gotta you gotta pay for air shipping if you want to get this as a gift
[39:05.860 --> 39:07.860]  But you can go to harrys.com
[39:07.940 --> 39:13.140]  And you can use the code talk show just plain talk show know the and you'll get five bucks off
[39:13.140 --> 39:18.420]  You're at if you use that code at checkout talk show know the at harrys.com go there
[39:18.580 --> 39:23.700]  Check it out. If you've got anybody on your list who needs a last minute gift. You can hurry up and get that in
[39:24.260 --> 39:26.260]  My thanks to them
[39:26.660 --> 39:28.660]  Great product
[39:28.660 --> 39:34.020]  All right. I'm done talking about politics. Let's have fun. Yeah. This is thank you. Trump stuff is some stuff is no fun
[39:34.100 --> 39:36.260]  Well, it's it's no fun, but we've got to deal with it
[39:37.060 --> 39:40.740]  Right got to deal with it. You can't put your head in the sand and that's the reason why I think that's the reason
[39:40.740 --> 39:44.100]  I think that's the reason I think I just put it bow on this topic
[39:44.180 --> 39:50.420]  That's the reason why I think it was right that tim cook and jeff bezos and satya nadella and whoever else went to the meeting
[39:50.740 --> 39:52.740]  Is you can't put your head in the sand. You can't just
[39:53.060 --> 39:57.220]  Put your fingers in your ears and go la la la, you know, I don't want this guy to be the president
[39:57.780 --> 40:02.980]  Uh, you got to look at it. You got to stare it right in the eyes, you know pretending that it didn't happen exactly
[40:03.060 --> 40:05.960]  Stay angry and don't let it get normalized
[40:05.960 --> 40:11.560]  Because this is not normal no matter, you know, anybody who says it's all you know, it'll it'll all play out
[40:11.560 --> 40:15.160]  Well, it's like no this is not going to play out. Well, I just hope no
[40:15.320 --> 40:18.360]  I hope we're around in four years to to have another election
[40:19.400 --> 40:25.000]  Because you know you you see this shit happening with you know, china right now. It's like oh right. Oh jesus
[40:25.080 --> 40:27.080]  This is not where we want to go
[40:27.400 --> 40:32.280]  It's like yeah, so for my parents generation that happened in cuba, right then and then
[40:32.280 --> 40:38.360]  People freaked out. Well, hey, guess what? It's this generation's chance to have that little freakout moment
[40:38.360 --> 40:42.280]  But yeah, let's not talk about the politics anymore. I've got one thing that's even less fun
[40:42.280 --> 40:48.360]  It's even less fun than trump and I have to talk about it. No fun at all. It's super mario run came out
[40:51.560 --> 40:54.680]  And my god, it's got an in-app purchase oh my god
[40:55.560 --> 40:57.800]  So super mario run came out yesterday
[40:57.800 --> 41:02.840]  Super mario run came out yesterday. Uh, here's how it works. I think it was a mystery
[41:02.840 --> 41:04.840]  I don't think it was announced how exactly
[41:05.080 --> 41:08.680]  I think the only thing we knew was that it was going to be a free download with a couple of levels to play for
[41:08.680 --> 41:10.600]  Free and then you'd have to buy it
[41:10.600 --> 41:16.360]  So the way it works is free download. You get three levels to play after that. You need to buy it and it's 10 bucks
[41:17.080 --> 41:21.800]  But the way that they're doing the in-app purchase is such that the 10 bucks is per device
[41:22.120 --> 41:26.920]  I think I don't think I think if I had an ipad, I think i'd still have to i've i've heard a complaint from
[41:26.920 --> 41:32.760]  One of my colleagues sean ebert said that he had to buy it for himself and his three kids
[41:33.400 --> 41:36.120]  he's got he's got three boys that want to play it and
[41:37.000 --> 41:40.360]  You know, it's a 40 game for him now from nintendo's perspective
[41:40.360 --> 41:46.920]  That's the way it's always worked right if you if you have a 3ds and your kids have a 3ds
[41:47.480 --> 41:49.480]  And you want to play this game
[41:49.560 --> 41:55.240]  You could you know at the same time you could you'd all have to buy your own version of it now
[41:55.240 --> 41:58.520]  It when it was cartridges you could like share the cartridge
[41:58.600 --> 42:00.920]  But then only one of you could play it at a time and there's no way
[42:01.480 --> 42:06.920]  To do that with an in-app purchase. You can't have an in-app purchase that says your whole family can use this app
[42:06.920 --> 42:10.920]  But only one of you can use it at a time. It just doesn't work that way. So from nintendo's perspective
[42:11.400 --> 42:13.560]  This isn't that unusual
[42:14.440 --> 42:17.000]  And they don't sell ten dollar games for the 3ds
[42:17.080 --> 42:19.800]  This would be like a 40 or 50 game for the 3ds
[42:20.280 --> 42:23.240]  But on the other hand before anybody even says it and writes to me don't write to me
[42:23.240 --> 42:30.840]  I understand that even with the purchase this entire game is probably less expansive than a typical 3ds game that it's smaller
[42:31.240 --> 42:33.640]  Whatever. I can't get 10 bucks is so little
[42:34.280 --> 42:40.200]  Honestly, I I do get it and that there's family sharing we use it. We we've got a lot of stuff on the family sharing here
[42:40.840 --> 42:46.600]  Um in this particular case, I I can't blame it. I I want nintendo to make money on this I do
[42:47.880 --> 42:49.400]  Yeah
[42:49.400 --> 42:54.360]  I'd love to see a lot of game developers make money. But yeah, no argument from me that ten dollars
[42:54.520 --> 42:59.480]  Is a per device is a premium price for an iphone game, but honestly i've played this game for a day now
[42:59.560 --> 43:02.200]  It's a premium game. It is a premium game. So
[43:02.760 --> 43:07.800]  yeah, and and and the the problem right now though is that there are a lot of people who have been
[43:08.500 --> 43:13.160]  Indoctrinated into the you know, well, I can earn coins to to get what I want, right?
[43:13.240 --> 43:16.920]  It shouldn't cost me anything and they're the ones that are complaining about
[43:16.920 --> 43:22.520]  You know just this game right at the I mean, we'd all love it as developers. We would all love it
[43:22.520 --> 43:24.520]  If people just paid for the thing
[43:24.920 --> 43:28.200]  Right, that's what we all want. Just just spend your money
[43:29.400 --> 43:31.400]  If you like it buy it
[43:31.960 --> 43:36.360]  And and instead we're jumping through all these hoops, you know doing you know
[43:36.520 --> 43:43.720]  Things that make people look like they're not spending money because we call them coins instead of dollars and you know, that's
[43:43.720 --> 43:49.000]  You know, it's it's all you know the deception and and so, you know
[43:49.640 --> 43:51.880]  kudos to the hindu for just saying hey
[43:52.680 --> 43:54.680]  It's going to cost you ten dollars
[43:54.840 --> 43:56.360]  Deal with it
[43:56.360 --> 44:04.120]  Yeah, and the three levels that they let you play before you are asked for a nickel. I think are indicative of the
[44:05.240 --> 44:10.360]  The gameplay and they even show you on a there's like a when you complete a level
[44:10.360 --> 44:13.400]  They show you that there's six worlds of four levels each
[44:14.200 --> 44:18.360]  And so you get through the first three levels of the first world before you have to pay to continue
[44:18.760 --> 44:20.680]  You both have a you both have a very fair
[44:21.240 --> 44:26.840]  Idea of what the game is like to play and you also have a very fair idea of how much is unlocked
[44:28.840 --> 44:34.440]  Right when you pay the 10 bucks you to me it's a very fair deal and I think
[44:34.440 --> 44:41.080]  I think it you know again, you know, and if you've got you know, somebody's out there surely has three or four kids
[44:41.240 --> 44:43.000]  You know and it's like hey, it's you know
[44:43.000 --> 44:48.520]  You're telling me it's a sixty dollar purchase for my kids and my wife and I to play this I understand that you know
[44:48.840 --> 44:50.120]  that that's
[44:50.120 --> 44:52.120]  It's pretty a lot. It's a lot of money for iphone game
[44:52.600 --> 44:54.280]  but
[44:54.280 --> 44:55.720]  You know
[44:55.720 --> 45:03.080]  I'd much rather have nintendo doing this and having it as a fair upfront price than to see nintendo succumb to the you know
[45:03.080 --> 45:09.640]  Keep putting two dollars in to buy a bag of coins to keep going, you know, or to right get past this log jam
[45:09.640 --> 45:13.320]  You know this level is for all intent and intents and purposes
[45:13.800 --> 45:19.880]  Unbeatable unless you've got a thousand coins and you can only really have a thousand coins if you pay us three bucks
[45:21.160 --> 45:24.760]  Right or go watch a bunch of ads or whatever the hell these other games make you do
[45:25.560 --> 45:30.440]  It's you know, it's not like that and I think it's you know, and then to me as somebody I you know
[45:30.440 --> 45:37.160]  I you know, i'm not a die-hard gamer. I'm probably the opposite. I actually probably spend a lot less time playing video games than the average person
[45:37.880 --> 45:38.600]  my age
[45:38.600 --> 45:44.440]  Uh, and probably for someone who's interested in technology and computers way i'm probably way at the bottom in terms of how much time
[45:44.520 --> 45:45.880]  I spend playing games
[45:45.880 --> 45:52.040]  Uh, I think I get the impression you're probably the same as me. I went through my childhood before nintendo became a thing
[45:52.280 --> 45:56.040]  All right. I I don't I don't get mario or any of the you know
[45:56.680 --> 45:58.040]  the
[45:58.040 --> 45:59.880]  that whole
[45:59.880 --> 46:03.880]  80s gaming thing because you know in the 80s I was you know, 20 years old and had
[46:04.440 --> 46:09.400]  Began an adult life. So yeah it uh, do you have an atari or were you too too old?
[46:09.400 --> 46:11.880]  Yeah, no, we would have a friend of mine had an atari but you know
[46:11.880 --> 46:18.040]  It was just the pong and all the other kind of crappy games and and you know at the same time that that that was
[46:18.920 --> 46:25.960]  Happening I was also discovering computers. So it's like I could write my own computer games. Why the hell am I sitting in front of the TV?
[46:25.960 --> 46:33.000]  Fiddling with this little dial. It's like oh man, I got I got a basic interpreter. This is way better, right?
[46:33.480 --> 46:37.240]  I understand the feeling exactly. Uh, yeah, I could be making something
[46:37.880 --> 46:42.360]  Um, and that's these days and i'm glad it happened that way it made, you know made me who I am
[46:43.400 --> 46:50.840]  Yeah, I have an on-off. I i've never been a huge nintendo fan. I never like I didn't like the nes. Uh, and then in my college years
[46:51.800 --> 46:53.800]  there was the
[46:53.800 --> 46:55.400]  Uh
[46:55.400 --> 47:01.320]  Not the n64 super nintendo super nintendo was the one of the early 90s early and mid 90s
[47:01.640 --> 47:05.320]  I had a sega genesis which was I thought the superior system
[47:05.960 --> 47:09.960]  uh, at least for the type of games I wanted to play like john madden football and the the
[47:10.680 --> 47:12.680]  nhl hockey game
[47:13.880 --> 47:17.400]  And sega's version of mario was sonic the hedgehog
[47:18.280 --> 47:20.360]  Right, which was the 2d scroller
[47:20.360 --> 47:24.120]  Uh, I did have an n64 which I liked a lot. Um
[47:24.840 --> 47:29.240]  Later on it's probably the last console. I really played a lot although I guess I had an original xbox, too
[47:29.240 --> 47:32.360]  And I played that sometimes how old were you with jonas as a kid?
[47:32.840 --> 47:36.120]  Well, when what how old were you when you're playing these games?
[47:37.000 --> 47:41.960]  Uh, sega genesis was my college years. So that was like 91 to 96, right?
[47:42.760 --> 47:47.000]  Roughly, uh, that was a 32-bit system or was it 16?
[47:47.000 --> 47:52.840]  Yeah, so you're sitting in a dorm room. It's a it's a thing to party with right? Yeah, exactly
[47:52.840 --> 47:56.200]  It was a dorm. It was a big dorm room thing. Uh
[47:56.920 --> 48:03.020]  And it's partly because they the the ea sports games. I don't even know that they had them for nintendo
[48:03.560 --> 48:09.560]  Or super nintendo and if they did they were inferior like the the sega genesis was better at the sports games
[48:10.600 --> 48:13.720]  Um, and that was what we all played each other. That was what we played non-stop
[48:13.720 --> 48:16.600]  Uh n64 was good though. There was this golden eye game
[48:17.400 --> 48:24.760]  Anybody who had it knows exactly what i'm talking about and anybody it was a 3d shooter and you'd play you could play against your roommate
[48:25.720 --> 48:29.480]  And it it was split screen. So you each got like you split the screen
[48:30.200 --> 48:36.120]  And because it was a four to three screen it was I forget if it was horizontal and you got like a real wide angle
[48:37.160 --> 48:40.600]  Thing or if it was side to side, I think it was I actually forget
[48:40.600 --> 48:44.840]  True story true story. I had a roommate my first year after college. I had a roommate, uh,
[48:45.640 --> 48:50.840]  Don and we played we had an n64 and that was when the playstation first came out
[48:51.720 --> 48:58.120]  The original playstation and what we used to do was rent video games. You could go to how to get a disc
[48:58.120 --> 49:03.560]  So you'd go to blockbuster and you could rent a game for four days for I don't know five bucks four bucks
[49:04.120 --> 49:08.040]  Way cheaper than buying 60 dollar games. So you could rent a game for four days
[49:08.040 --> 49:14.920]  Way cheaper than buying 60 games, right? We didn't have the money to buy a bunch of 60 games. The renting thing was awesome
[49:15.400 --> 49:17.080]  So we had an n64
[49:17.080 --> 49:23.560]  you basically is it's you binge on the game and you know, you've you've you've you're getting the the the the content for
[49:25.320 --> 49:27.080]  So
[49:27.080 --> 49:33.640]  We'd go to blockbuster and you'd look and like the playstation section had all of these awesome games like
[49:34.520 --> 49:37.080]  at the time realistic car racing games
[49:37.080 --> 49:38.120]  and
[49:38.120 --> 49:46.120]  Shooters and all of these awesome games and then the nintendo section had like seven titles and most of them were like for little kids
[49:48.680 --> 49:54.140]  But then golden eye came out and golden eye fixed everything in fact effectively our n64 turned into a dedicated
[49:54.680 --> 49:58.120]  Golden eyed box. It was a good one player game
[49:58.120 --> 50:05.160]  It had the a very long campaign where you played james bond going through the golden eye movie scenario really good first
[50:05.160 --> 50:10.360]  Per you know one player mode and then the two player thing was just unbelievably fun
[50:11.540 --> 50:16.280]  unbelievably fun and eventually I got just every it was one of the only games I ever got pretty good at and I
[50:16.440 --> 50:21.560]  I got ever so slightly better than don was like this is after maybe a whole year of playing
[50:22.200 --> 50:26.440]  And I was always a fraction of a section a second quicker than him
[50:26.680 --> 50:30.280]  and it got to the point where he couldn't beat, you know, we used to be like 50 50 and then it was
[50:30.280 --> 50:35.720]  I somehow gained like I leveled up a little bit and he couldn't beat me and one time he threw this controller out the window
[50:36.040 --> 50:38.040]  And we lived on the third floor
[50:39.160 --> 50:41.160]  Time to buy a new controller
[50:41.240 --> 50:47.480]  But it was the most satisfying victory ever right like what could be more satisfying than making your friend throw his controller out the window
[50:47.720 --> 50:52.120]  Yeah, but then at that point you're pretty much done with the game right because the guy knows he can never win again
[50:52.200 --> 50:54.200]  And you know, it's like okay
[50:54.520 --> 50:55.880]  Why play?
[50:55.880 --> 51:01.960]  Oh, yeah, but anyway, then my other experience with nintendo is we had the wii the one the first, you know, not the wii
[51:01.960 --> 51:06.440]  We have the wii youtube, but we never play it. Yeah. The wii was great that the one where you'd had the
[51:07.560 --> 51:11.960]  Basically the physical games were awesome, right? Right. It just got people moving around
[51:12.040 --> 51:15.160]  I thought that was right and that that was how jonas learned to play video games
[51:15.160 --> 51:17.160]  We had that when he was I don't know
[51:17.400 --> 51:20.920]  Three or four or something like that and that's another one
[51:20.920 --> 51:26.520]  That's another one where you can throw the controller but not necessarily because you're meant to right
[51:26.840 --> 51:31.240]  We have these we have this we jonas and I laugh about it because jonas is very much into video games now
[51:31.240 --> 51:33.240]  And he's almost 13
[51:33.960 --> 51:37.800]  Is that when he we first started playing there's a great great series of games
[51:38.200 --> 51:43.800]  uh these lego games where you play as a lego character from like movies and you go through and
[51:46.040 --> 51:50.120]  You know like the one that we played that was the first one was the lego star wars and you just
[51:50.120 --> 51:57.160]  Game, and it had all six of the original star wars movies meaning the first three from you know, the 80s then the prequels
[51:58.280 --> 52:02.200]  And each one was broken up into six like adventures
[52:02.200 --> 52:08.200]  so you had 36 adventures to go through from all of the star wars movies and you just play as two characters at the same
[52:08.200 --> 52:11.000]  time on screen and you go through and smash things up and
[52:11.720 --> 52:16.360]  Take the bricks and rebuild them into other things and it was very very just very fun
[52:16.360 --> 52:20.600]  Very very kid-friendly, but very fun for me as an adult to play too
[52:20.680 --> 52:25.000]  But the funny thing was that when we first started playing it, I don't know if jonas was three or four probably around four
[52:25.560 --> 52:27.560]  was that um
[52:27.720 --> 52:30.760]  And it's sort of like an iso. What's the isomorphic?
[52:31.860 --> 52:33.160]  perspective
[52:33.160 --> 52:36.280]  Isometric, right? Yeah isometric perspective the game
[52:36.920 --> 52:39.640]  And jonas just had tremendous trouble
[52:39.800 --> 52:45.400]  Like if you had to walk on it, you had to get your character to walk on a cat walk diagonally, right?
[52:45.400 --> 52:49.880]  Uh, not even like a tightrope, but you know, but like a a three character wide
[52:50.360 --> 52:55.000]  Catwalk that was at a 45 degree angle. He would just keep falling off and it's one of these games where you
[52:55.560 --> 52:59.320]  You don't probably he probably didn't have the spatial capabilities in his brain. Yeah, right, right
[52:59.320 --> 53:01.400]  That's just that right being able to say
[53:02.040 --> 53:04.040]  to project that
[53:04.040 --> 53:06.040]  Into his mind. Yeah
[53:06.360 --> 53:09.720]  And and to transfer it into a movement with his thumb, right?
[53:10.120 --> 53:14.200]  Right, and it's one of these games or one of part of the part of what made it so much fun to play with
[53:14.200 --> 53:19.080]  A little kid is that you you never you don't run out of lives and have to start the level over
[53:19.320 --> 53:24.200]  Every time you die, you just lose some of the coins you've picked up and it just shoots you back to you know
[53:24.840 --> 53:27.000]  15, you know five feet away from where you died
