[00:00.000 --> 00:03.000]  You know, I can't believe I missed the holiday party again.
[39:22.000 --> 39:34.000]  of topics. And so I've got an index of topics. So if somebody wants to see what's that episode where, where John Gruber and John Syracuse had talked about the Godfather, you can look up the Godfather and it'll be like, it's this number, right?
[39:34.000 --> 39:49.000]  But still people will email me, tweet me, post on Facebook, whatever they'll say, when was that episode about whatever. And it, there is something nice about being able to say that was number 32 and just kind of point them and be like, it's that one, that number.
[39:49.000 --> 39:52.000]  I don't know. It's like a little handle for an episode.
[39:52.000 --> 40:02.000]  Yeah. The alternative would be to just look at the dates and somehow, but that doesn't show up. That's not going to show up in the list in your podcast player.
[40:02.000 --> 40:19.000]  Well, but that's maybe a self-fulfilling prophecy, right? I mean, I think maybe podcast player UI is, is in part based on the idea that a lot of podcasts organize themselves by numbers, but like Overcast has a date field and there are dates for every episode in Overcast.
[40:19.000 --> 40:27.000]  And I would imagine most podcast players are kind of like that. And certainly if, if podcasts weren't numbered, I'm sure they would all be like that.
[40:27.000 --> 40:41.000]  Yeah. But if you, if I'd like made mine not numbered, uh, or didn't put the numbers into titles, it's not going to change it. You know what I mean? It's the collective decision that the podcast industry as a whole has made to do that.
[40:41.000 --> 40:54.000]  Yeah. It's more fun for me to say, we talked about Raiders of the Lost Ark and the incomparable number eight than it is to say October 17, 2010 episode.
[40:54.000 --> 41:08.000]  Was that the, was that the gap in my appearances on the incomparable? Because we laughed about it. I was just on recently, like you just said, to talk about the Godfather, uh, with John Sirkusa and a few other, uh, uh, I forget their names. Sorry.
[41:08.000 --> 41:10.000]  There was a bunch.
[41:10.000 --> 41:23.000]  It was great. I had a great time. Uh, I can't count the number of people who made the crack on Twitter that they can't believe that all of us long-winded podcasters made a podcast about the Godfather that was shorter than the Godfather.
[41:23.000 --> 41:25.000]  I know.
[41:25.000 --> 41:30.000]  Um, but it was at it that I hadn't been on since Raiders, which was episode eight.
[41:30.000 --> 41:42.000]  Yeah, that was six, basically six years, October 10 to October 16. Other than that day, we, you were in, I interviewed for my David Letterman episode, which was last year, but, but in terms of like being on the panel, yeah, we went from eight to three 23.
[41:42.000 --> 41:54.000]  It's fine. It's fine. I tried a couple of times to get you on and it's like, you're busy and, and I, I want to like with Merlin, I kind of want to deploy you guys tactically. I don't want to be like, I want to ask you when there's something, I got this really good.
[41:54.000 --> 42:02.000]  And it was like, I, for like a couple of years, I've been thinking we're going to do the Godfather. I'm going to get Sirkusa. I'm going to ask John Gruber where, you know, we're, we're going to make it happen. And we finally made it happen. It was great.
[42:02.000 --> 42:07.000]  I'm going to talk about Abe Vigoda, you know, any chance to talk about Abe Vigoda is worth it.
[42:07.000 --> 42:10.000]  Although we didn't make it happen until Abe Vigoda was actually dead.
[42:10.000 --> 42:16.000]  Yeah. Well, that's true. Maybe, maybe that was what I was waiting for. Just, I wanted Abe to pass on before we talked about him.
[42:16.000 --> 42:31.000]  This is so amazing. I literally at just five seconds ago, got a DM from Rich Siegel, creator of BB Edit, asking if I'd heard that Sal had left Apple.
[42:31.000 --> 42:33.000]  Yeah.
[42:33.000 --> 42:38.000]  I was spooked. I was like, is he listening? Do we have a live broadcast that I don't know about?
[42:38.000 --> 42:42.000]  I should have turned off the live stream for being comfortable.
[42:42.000 --> 42:44.000]  But then I realized we're talking about him.
[42:44.000 --> 42:49.000]  Well, then I realized that asking have I heard means he's not spooking.
[42:49.000 --> 42:56.000]  But that was kind of spooky, given that we, we spent a good chunk of the last 45 minutes talking about BB Edit and automation and Sal.
[42:56.000 --> 43:01.000]  Yeah.
[43:01.000 --> 43:02.000]  New MacBook Pros.
[43:02.000 --> 43:04.000]  Yeah.
[43:04.000 --> 43:08.000]  I read I really enjoyed your review.
[43:08.000 --> 43:13.000]  I often think when I write these reviews, I don't know if you feel the same way, but I write them.
[43:13.000 --> 43:18.000]  And sometimes I feel like I know that I've got this.
[43:18.000 --> 43:22.000]  Like I might say I don't, you know, I don't care if other people agree with me or not.
[43:22.000 --> 43:31.000]  But my I know that what I'm saying about this, I'm certain of other times I feel like I haven't had enough time or it's it's.
[43:31.000 --> 43:34.000]  A lot of times it's just that I feel like I haven't had enough time.
[43:34.000 --> 43:41.000]  But other times it's like I'm not sure that what I care about is representative of enough people.
[43:41.000 --> 43:49.000]  And I kind of had that worry with the review I wrote of these MacBook Pros.
[43:49.000 --> 43:56.000]  Because I know that there's a lot of people who are disappointed in just the basic idea of the direction Apple is taking them.
[43:56.000 --> 44:04.000]  But I read a whole bunch of the reviews from people who I really respect, like you and Joanna Stern.
[44:04.000 --> 44:08.000]  It goes on and I read a whole bunch of them after, you know, after after my review.
[44:08.000 --> 44:16.000]  And it really seemed to me like a very large consensus that these are pretty good machines.
[44:16.000 --> 44:23.000]  Yeah, I tried to I mean, because of the way it got kind of strung out, I got to write a piece
[44:23.000 --> 44:29.000]  after the Apple event with that was basically quick hands on with that 13 inch MacBook escape.
[44:29.000 --> 44:33.000]  And then I got to I got to use it for a week and travel and then write another piece about it.
[44:33.000 --> 44:39.000]  So by the time I got to the touch bar one, I felt like I kind of addressed the issues about like people's disappointment.
[44:39.000 --> 44:46.000]  I wrote, I think, a Mac world column about people's disappointment and what that meant for like why kind of Apple let everything build up.
[44:46.000 --> 44:52.000]  And people kind of this was a thing they could focus some of their disappointment and let it out.
[44:52.000 --> 44:58.000]  And so I felt like by the time I got to the touch bar review, I could it was great because I could just write about the touch bar.
[44:58.000 --> 45:04.000]  It was like I wrote a couple sections about the rest of the computer, but really, it was an essay about the touch bar and touch ID,
[45:04.000 --> 45:09.000]  because that was the thing that was was left and frankly, was the thing I found most interesting.
[45:09.000 --> 45:15.000]  And it's really why I honestly, I'm not just saying it because you're on the show and you're a pal.
[45:15.000 --> 45:29.000]  It's really why I of all the reviews, I really think I liked yours best because I spent a relatively little amount on touch bar just because I had so much else to say about sort of the bigger picture.
[45:29.000 --> 45:44.000]  And the other thing I thought was that your video, which focused almost entirely on the touch bar, was super instructive in in like a in the difference between like the way Apple would do a promotional video about the touch bar.
[45:44.000 --> 45:52.000]  In fact, did and they showed it during the event. Yours was focused on look, when you're doing real stuff like here's, you know, just stupid little things.
[45:52.000 --> 46:03.000]  You know, like the fact that you can when you adjust the brightness or the volume, you can just put your finger on it and slide without tapping on the actual thing that shows up.
[46:03.000 --> 46:08.000]  It illustrated in a way that I feel like 10,000 words wouldn't have conveyed.
[46:08.000 --> 46:17.000]  You really it's a visual. It's clearly a very visual input device. And so I feel like the video really helped. Have you done video reviews before?
[46:17.000 --> 46:20.000]  I've done a handful of them. I mean, I did some a Mac world.
[46:20.000 --> 46:24.000]  And then since I've been doing six colors, I've done a few, you know, they take time.
[46:24.000 --> 46:29.000]  And the challenge is always, am I doing this because everybody agrees that video is the future and we need to do video?
[46:29.000 --> 46:34.000]  Or am I doing it because video will be able to impart something that's worth imparting?
[46:34.000 --> 46:40.000]  And for me, it really is like I will put in the time if I feel like this is going to be the best way to communicate something.
[46:40.000 --> 46:46.000]  And with the touch bar, it was very clear. This was the way to I needed to communicate what was going on with the touch bar.
[46:46.000 --> 46:52.000]  And I had the time. I finished that review basically on Friday afternoon and the embargo was Monday morning.
[46:52.000 --> 46:57.000]  And so on the weekend, on like the Sunday morning, I basically sat down and said, all right, let's figure out if I can make a video here.
[46:57.000 --> 47:07.000]  And I ended up with like an iPhone 7 on a in a glyph attached to a like a little tripod and then a bigger tripod.
[47:07.000 --> 47:11.000]  And I tried to figure out, like, could I get an angle where I can see the touch bar and it's not blown out?
[47:11.000 --> 47:15.000]  And then I can capture the screen and kind of put them together.
[47:15.000 --> 47:22.000]  And in the end, it did work, which is good, because that's what I wanted is like I wanted people to be able to see, like, what happens on screen?
[47:22.000 --> 47:25.000]  What happens on the touch bar? Where do your fingers go? What's the result?
[47:25.000 --> 47:34.000]  Can you see the animations? Can you see how some of the apps have these totally wild like slider interfaces and others just have keys?
[47:34.000 --> 47:37.000]  Some of them color the keys. Some of them don't color the keys.
[47:37.000 --> 47:43.000]  And until, you know, there will be it's a little harder because you can't like do a screen capture of it.
[47:43.000 --> 47:46.000]  So it's harder to make those videos. And I had the advantage of having some time to shoot the video.
[47:46.000 --> 47:51.000]  And I figured out of the gate, there aren't going to be that many videos that explain this feature.
[47:51.000 --> 47:56.000]  And Apple's videos are probably not what people want to see because they're going to be really slick.
[47:56.000 --> 48:03.000]  But they're not necessarily I mean, the marketing videos, they're not going to be necessarily like slowed down enough for people to see what's going on.
[48:03.000 --> 48:08.000]  And in the end, it was about five minutes long, which, you know, I kind of feel like could be too long.
[48:08.000 --> 48:11.000]  But at the same time, I felt like I really packed it in with stuff.
[48:11.000 --> 48:16.000]  So but it was worth doing because of that, because it was it was how much how many words like you said,
[48:16.000 --> 48:21.000]  how many words would I have had to try to write to convey what I could just show in a video?
[48:21.000 --> 48:28.000]  Yeah, I honestly feel like that's the sort of thing that just can't be done verbally.
[48:28.000 --> 48:34.000]  And, you know, I even even just little things like, look, here's what it looks like in this app.
[48:34.000 --> 48:38.000]  Here's what it looks like in this app. And they're all sort of monochromatic.
[48:38.000 --> 48:42.000]  And you can go through a bunch of stuff in the touch bar apps, you know,
[48:42.000 --> 48:46.000]  switching from app to app and, you know, doing things and using the control strip.
[48:46.000 --> 48:50.000]  And it almost feels like a monochrome screen.
[48:50.000 --> 48:57.000]  And then all of a sudden you're in something like maps and it's it is all lit up like Times Square.
[48:57.000 --> 49:03.000]  And I'm not saying that's wrong yet. But it is, you know, it is such a different thing, though.
[49:03.000 --> 49:08.000]  And all of a sudden, when your keyboard like maps is probably the best example.
[49:08.000 --> 49:14.000]  But it it when your keyboard lights up with all those colors, it is a weird different thing,
[49:14.000 --> 49:22.000]  because I've been using laptops for, I don't know, a long time.
[49:22.000 --> 49:29.000]  You know, at least 15, 16, 17 years since I first bought one and had one at the school paper before that.
[49:29.000 --> 49:35.000]  So, you know, probably 20 years. My keyboards never lit up in color before.
[49:35.000 --> 49:39.000]  It was surprisingly weird to me. It really was.
[49:39.000 --> 49:44.000]  When you get the burst of color, it really was surprisingly interesting to me.
[49:44.000 --> 49:48.000]  Yeah, the calculator is the other one that struck me because there are a few of those keys are like in orange.
[49:48.000 --> 49:54.000]  They're like super bright. And they're still keys, but they're super bright that maps.
[49:54.000 --> 49:57.000]  It's it's basically putting up the same icons that are in iOS and they're very colorful.
[49:57.000 --> 50:01.000]  That is the by far the most colorful implementation of sort of standard buttons.
[50:01.000 --> 50:06.000]  But like the calculator, I thought calculator was really instructive, not only in the use of color,
[50:06.000 --> 50:09.000]  but both calculator and James Thompson's PCALC app.
[50:09.000 --> 50:17.000]  Those were both instructive to me in realizing that what I think is the right way to handle the touch bar
[50:17.000 --> 50:21.000]  is as an extension of the keyboard and not, I mean, when all the questions of like,
[50:21.000 --> 50:26.000]  why wouldn't why would you need a touch bar? Why wouldn't you just want to use the Mac interface?
[50:26.000 --> 50:31.000]  It was that idea of I don't know how to do this with the keyboard,
[50:31.000 --> 50:35.000]  which means that I'm going to get to a certain point where I have to take my hands off the keyboard,
[50:35.000 --> 50:39.000]  move down to the trackpad and click on some UI on the screen.
[50:39.000 --> 50:47.000]  And so the calculator was that moment where I realized, oh, I can put like square root and cube root and log and sine and cosine on the touch bar.
[50:47.000 --> 50:51.000]  And I can do numbers and then immediately just move my hands slightly up and go tap.
[50:51.000 --> 50:56.000]  And now I've got a result or or conversion Fahrenheit to Celsius or something.
[50:56.000 --> 50:59.000]  And my hands stay. I was already up on the number row. Right.
[50:59.000 --> 51:05.000]  And my hands just move up. And that was that moment where I thought, oh, yeah, this is why this is this is where this shines,
[51:05.000 --> 51:11.000]  is I just stay on the keyboard and the touch bar kind of just as an extension of the keyboard that.
[51:11.000 --> 51:15.000]  And is that how everybody's going to use it? I don't know. It's so early.
[51:15.000 --> 51:18.000]  We don't really know. But it felt to me like that was the moment that unlocked.
[51:18.000 --> 51:21.000]  Like, I see why you would use this.
[51:21.000 --> 51:30.000]  And when I James sent me a beta of pcalc, where when you tap the function keys, it brought up a palette of all his functions in the UI.
[51:30.000 --> 51:36.000]  And what that meant was I tapped the touch bar and then I had to take my hands off the keyboard,
[51:36.000 --> 51:40.000]  move to the trackpad and then move the cursor up and then click on which one I wanted.
[51:40.000 --> 51:43.000]  And I sent him an email back and I said, you know, I think this is wrong.
[51:43.000 --> 51:50.000]  I think what you need is to put your functions in the touch bar because because it feels like a defeat.
[51:50.000 --> 51:54.000]  If I touch the touch bar and then I have to take my hands off of it and move around with a cursor.
[51:54.000 --> 52:00.000]  And so he changed it. And now it's like your most recent functions and conversions appear in the touch bar.
[52:00.000 --> 52:06.000]  And it's like night and day because now I type in 32 and I tap conversion Fahrenheit to Celsius.
[52:06.000 --> 52:13.000]  And that and it all happens on the touch bar and I never have to sort of switch modes to mousing around.
[52:13.000 --> 52:21.000]  Yeah. And I think that calculator is the Apple's calculator is an interesting example in a couple of ways.
[52:21.000 --> 52:28.000]  I my gut feeling is that that's one of the apps that got it most right.
[52:28.000 --> 52:29.000]  Yeah, me too.
[52:29.000 --> 52:37.000]  And one thing, too, and I know Apple said this is true, but my experience testing the device is that it is clear that.
[52:37.000 --> 52:43.000]  Apple's Mac app engineering teams spent a lot of time working on touch bar support for their apps,
[52:43.000 --> 52:49.000]  because there are obviously some of the oddball apps like the ones that are in applications slash utilities.
[52:49.000 --> 52:54.000]  You know, only two of those got updated. Did you really go through everyone? I did.
[52:54.000 --> 53:03.000]  I did. You want to hear the list review, but it's like so so you activity monitor.
[53:03.000 --> 53:08.000]  That's the one that gets me activity monitor. And terminal are the two utilities that go.
[53:08.000 --> 53:13.000]  I knew about terminal. I forgot about right. I forgot the terminal was that was buried away in utilities.
[53:13.000 --> 53:18.000]  I use it. But but they also updated. And this is some of their stock and some of them are their sort of app store apps.
[53:18.000 --> 53:24.000]  But calculator, calendar, contacts, finder, Final Cut Pro, Garage Band, iMovie, iTunes, Keynote, Mail, Maps,
[53:24.000 --> 53:30.000]  Messages, Numbers, Pages, Photos, Preview, Quicktime Player, Safari, System Preferences.
[53:30.000 --> 53:36.000]  And then there are a bunch of apps that use the sort of standard text editing interface and they pick up a text editor touch bar interface.
[53:36.000 --> 53:42.000]  So like text edit and and notes get that get that text editing to.
[53:42.000 --> 53:44.000]  So there's like there's like more than a dozen. They did a lot.
[53:44.000 --> 53:50.000]  I mean, for people who say Apple doesn't care about the Mac, it's like they built this whole new bit of hardware.
[53:50.000 --> 53:55.000]  And then they updated all of these Mac apps to support it. That was a lot of work. Right.
[53:55.000 --> 54:01.000]  And there's a lot of work in. I might be missing something, actually.
[54:01.000 --> 54:11.000]  But there's there's the the hardware engineering work of actually putting an embedded iOS device into the keyboard with this every system on a chip.
[54:11.000 --> 54:22.000]  And having a a way that it can interface with the Intel side, you've got like this arm little arm computer running on your keyboard and it communicates with the Intel side.
[54:22.000 --> 54:28.000]  And the Intel side even does the because the one of the things that the iOS device on the touch bar doesn't have is a GPU.
[54:28.000 --> 54:33.000]  So the Intel side does the GPU rendering and has to go back.
[54:33.000 --> 54:37.000]  But it's all done securely. And there's a whole bunch of electrical engineering going on there.
[54:37.000 --> 54:41.000]  That's it just you'd never know it. Right.
[54:41.000 --> 54:48.000]  You know, it's 60 frames per second, just like iOS. It's instantaneous touch.
[54:48.000 --> 54:52.000]  It's just like, you know, you'd expect from any Apple iOS touch device.
[54:52.000 --> 54:58.000]  So there's the engine, the physical hardware engineering of that.
[54:58.000 --> 55:09.000]  There's the and then the second level is the Mac programming side where all of these apps were updated with whether they got it right or wrong.
[55:09.000 --> 55:13.000]  None of them seemed half assed. They all seemed like a lot of thought went into it.
[55:13.000 --> 55:19.000]  All of these apps got updated with touch bar support, which is a lot of work.
[55:19.000 --> 55:36.000]  But then in between those two, there's the Xcode side where the the people who work on the APIs and Xcode itself had to do all the work to make it so that Mac developers have APIs and, you know, a simulator.
[55:36.000 --> 55:39.000]  So they can test it on machines that don't actually have a touch bar and all of that stuff.
[55:39.000 --> 55:43.000]  So an awful lot of work went into this. And I completely agree.
[55:43.000 --> 55:52.000]  It's it's to me, example number one, that whatever else is going on with the Mac and some of the machines that have gone way too long without getting updated.
[55:52.000 --> 55:59.000]  It's clear that Apple is invested in the Mac. I really think the touch bar is is proof of it.
[55:59.000 --> 56:03.000]  Yeah. And we can debate. And I've been trying to make this distinction for the last couple of weeks.
[56:03.000 --> 56:11.000]  It's like part of what I think a lot of us do is try to understand why Apple is doing what Apple's motivation is, why Apple made the choices it made.
[56:11.000 --> 56:22.000]  And I want to separate that from the judgments about whether these are good decisions or not, because I think we could debate whether doing the touch bar is a good decision or not.
[56:22.000 --> 56:30.000]  And we can debate the price of these systems and we can debate, you know, there's so many aspects of this that we can that we can talk about.
[56:30.000 --> 56:46.000]  But I think you can't debate the fact that Apple made a major investment in the Mac platform in this in this this particular computer, because we're seeing a huge bit of hardware engineering happening here and a whole lot of software engineering happening here.
[56:46.000 --> 56:57.000]  So we can we you know, we can debate whether we think this is the right approach, whether this was a waste of time, whether having a laptop focused input device method is good or bad, if it's going to be a gimmick.
[56:57.000 --> 57:02.000]  There's all those things, but you can't debate. It was a huge investment on Apple's part to do this.
[57:02.000 --> 57:05.000]  And if they really didn't care about the Mac, why would they do it?
[57:05.000 --> 57:07.000]  Right, exactly.
[57:07.000 --> 57:12.000]  Just do another laptop with the latest Intel chips and move on, right? I mean, they could do that.
[57:12.000 --> 57:15.000]  Yeah. Here's why I think calculators is a great example.
[57:15.000 --> 57:32.000]  The Apple calculator app is a great example because the buttons so Apple it at least I don't know, ever since like iOS seven or so and then when you know the the Yosemite whenever the Mac version was that got the sort of iOS style visual refresh.
[57:32.000 --> 57:38.000]  Apple has a very consistent calculator look, and it's, you know, mostly based on the color orange.
[57:38.000 --> 57:42.000]  Yeah, they, you know, orange buttons.
[57:42.000 --> 57:48.000]  So when those buttons are on the keyboard, it makes the keyboard look calculator branded right like in.
[57:48.000 --> 57:54.000]  So if you use Apple's calculator, you know what it looks like. It's got this sort of just orange calculator.
[57:54.000 --> 58:02.000]  Look, you see these buttons that are orange and it's it to me is a very cool way of making the touch bar feel like it's part of the app.
[58:02.000 --> 58:13.000]  It's a really cool move and all of the all of the functions that are in orange on the UI are orange on the touch bar.
[58:13.000 --> 58:19.000]  And so it's like, yeah, you mean you immediately get it. You're like, oh, yeah, right. Like they of course they are. Of course, the equals button is orange.
[58:19.000 --> 58:32.000]  So I when I was at the event and I got to talk to people at Apple and they showed me the calendar and they said a couple of the people I spoke to said this is one of my favorite examples.
[58:32.000 --> 58:40.000]  I know it sounds silly, but they showed me calculator. And then at first, like in the default calculator mode, the only buttons you have up there are divide times minus plus equals.
[58:40.000 --> 58:52.000]  And they said, no, that seems silly because those buttons are there. You know, you can hit shift on the equals key to get plus. And, you know, it's it's not like you can't type that.
[58:52.000 --> 58:55.000]  But they said like it.
[58:55.000 --> 59:06.000]  In our testing with the team that was using it, we found that we loved this and surprising how many people on the Apple inside Apple who had access to this and were working on it,
[59:06.000 --> 59:23.000]  loved the calculator thing because all of a sudden, you know, it it makes your laptop keyboard feel more like having that extended keyboard that has the thing on the right side where you have number pads and dedicated buttons for those features.
[59:23.000 --> 59:29.000]  Right. There's a reason why some people who enter numbers a lot like having an extended keyboard that has that keypad over there.
[59:29.000 --> 59:43.000]  It gives you sort of the now the number layout maybe isn't quite as convenient having a horizontal row of numbers, but not having to worry about ever hitting shift or the fact that that they're not consecutive, you know, that minus is right there.
[59:43.000 --> 59:54.000]  But plus, you have to hit shift to get I mean, it's all sort of weird typing those those operators on the keyboard on a regular keyboard with you don't have a numpad with the touch bar.
[59:54.000 --> 59:57.000]  It really is natural.
[59:57.000 --> 01:00:05.000]  Yeah, I mean, you could argue that calculator is the best example and that that they really do run the gamut.
[01:00:05.000 --> 01:00:17.000]  I do think that this is going to be an interface playground where we're going to learn a lot in the next year or two where Apple and third party developers try a bunch of stuff and find out what the right approach is because it's all over the map.
[01:00:17.000 --> 01:00:34.000]  Now, like how calculator is a good example because there are there are buttons you want to press that aren't on keys like there is no I mean, there's an equals key and there's a there's a plus and minus and you know, but like multiplication is the asterisk and division is the slash and it's like no.
[01:00:34.000 --> 01:00:38.000]  No, we're just going to put the symbols on the on these virtual keys at the top.
[01:00:38.000 --> 01:01:00.000]  It's like that is the like almost purest example where there are things you want to type that you don't know what keys to press. So we're going to just draw those keys on the touch bar and you know, now, you know how to press them and you go all the way down to something like final cut, which is this incredibly intricate context based set of sometimes it's buttons.
[01:01:00.000 --> 01:01:15.000]  Sometimes it's got like sliders and scrubbers and things and you know, and then there's a bunch of stuff that's in between where some some of them you look at it and you go. I don't know if this is very useful and then others you you look at and like maps and you're like, whoa, you know, what am I what am I seeing now?
[01:01:15.000 --> 01:01:31.000]  There's a there's a I can tap the the gas station button now and it'll show me all the gas stations around me and and I think over time we'll figure out what philosophically like what's the right approach? What do people what looks good and what do people actually want to use?
[01:01:31.000 --> 01:01:49.000]  I found safaris to be useless and I have to admit I have to admit that I didn't spend a lot of time configuring the touch bar and a lot of apps just because I ran out of time and I feel like I will, you know, once I'm using a touch bar equipped MacBook Pro as my, you know, main laptop.
[01:01:49.000 --> 01:02:13.000]  I will get in to do that, but I found safaris default implementation to be useless, which is that it shows thumbnails of your tabs in your current window and I mean, maybe during fireball is identifiable because it looks like a gray button, but they just look like a bunch of almost every web page just shrunk to that size is indistinguishable.
[01:02:13.000 --> 01:02:20.000]  They're just little white with things, you know, little white with gray.
[01:02:20.000 --> 01:02:24.000]  It's just too small. I couldn't possibly use that.
[01:02:24.000 --> 01:02:50.000]  I also am a little bit baffled and I say this also. This is a larger complaint. I have is they added these these tabs Safari tabs in El Capitan and I like them and I use them, but they're not on iOS to this day and they're not in the touch bar, which also kind of baffles me like I've told you I want these, you know, these sites and they've got these nice little icons and they're important enough that I want you to keep them tabbed all the time.
[01:02:50.000 --> 01:03:03.000]  Oh, the pen tabs, you mean? Yeah, the pen tabs are not accessible either. So it's a little bit and yeah, the graphic that's a great example of like, well, we can do graphic previews of all the pages that you've got in your tabs and make it a slider.
[01:03:03.000 --> 01:03:14.000]  It's like, well, that sounds great. That's a really cool way of showing that this is a feature that has more than just buttons in it, but in practice, I don't think it makes any sense.
[01:03:14.000 --> 01:03:27.000]  I don't think it works at all. And that that's the there are a bunch of things like that. That's like, you know, I get why you did it, but I honest to God, I feel embarrassed that I didn't even look because it maybe I actually you maybe you can actually go in and configure it to do this.
[01:03:27.000 --> 01:03:36.000]  But so if it's already there, I'm going to go after we're done recording, I'm going to go set up my my review unit to do this, but I think it should be the default.
[01:03:36.000 --> 01:03:50.000]  I in my gut is I think that Safari should just default to putting next tab previous tab buttons up in the don't show me one just say next tab previous tab and make them nice and big and have them say next tab previous tab.
[01:03:50.000 --> 01:03:54.000]  Oh, yeah. No, it's got backward and forward.
[01:03:54.000 --> 01:04:07.000]  Yeah, I don't want back one forward. I want next tab previous tab because I feel that the shortcuts for that is kind of convoluted. It's it's like control tab and control shift tab, which is really a finger full.
[01:04:07.000 --> 01:04:24.000]  So you get that you get that with those visual previews. I do wonder and I suspect that there's a guideline somewhere that I haven't seen because I'm not a developer. I do wonder about the touch bar being used for informational purposes if somebody laid down an edict that like information that isn't permanent.
[01:04:24.000 --> 01:04:39.000]  That's like temporary text should not go in the touch bar because like I'm baffled why the now playing in the control strip brings up a scrubber for iTunes, which is like I'm never going to scrub for music, but it might be kind of fun to if I pop that open to see the name of the song.
[01:04:39.000 --> 01:04:49.000]  I'm listening to it's not there and it won't it'll show you in Safari. It'll show you little tiny thumbnails of part of the page of the web page that you're you've got loaded in your tabs.
[01:04:49.000 --> 01:05:06.000]  But what it won't do is put up like the name of that tab of that page, which would be more way more useful and I wonder if they've decided like no ephemeral kind of like text labels of what's in a page is not something you should do in the touch bar.
[01:05:06.000 --> 01:05:25.000]  I'm not sure I agree with that, but I it seems like there's a rule at work here that they don't want to put like a text readout. It's only for controls not for information and even then I would say but but a sliver of a horizontal sliver of a web page as a preview is useless to me too.
[01:05:25.000 --> 01:05:53.000]  I am reminded and I skimmed the user interface guidelines for the touch bar. I should get go back to that and read them read them thoroughly, but I can't help but think that no matter how well written that document is just the evidence of using all of Apple's apps is that it's still sort of a Wild West and they're feeling and now the third party developers can get in on it.
[01:05:53.000 --> 01:06:07.000]  We collectively are feeling our way to how we should use it and what I'm reminded of is how in the very early years of the original Mac. Let's say somewhere around 1984 to 89 or so.
[01:06:07.000 --> 01:06:24.000]  I would say it took four or five years. The Mac was famous for its human interface guidelines right from the beginning and that there was consistency in a toolbox that developers could use so everybody's alert will look the same but you go back and look at screenshots from like there.
[01:06:24.000 --> 01:06:40.000]  You know, almost close to the 90s. I'd say right around system six is where things got very definitively, you know, Matt. Oh, that's Mac like or this app was clearly written by a developer who does not know the Mac. You just see stupid things like somebody who spelled.
[01:06:40.000 --> 01:07:09.000]  Okay. Okay. A why in a diagonal button right like to a Mac users eyes that it just jumps right out as and that's a mistake right you do not spell. Okay. Okay. Why but if you look back at like 84 85 86 like Mac dialogues, you'd see that all the time and you are just weird layout, you know, like not having a default button in a dialogue right things that you are putting the default button not in the bottom right question.
[01:07:09.000 --> 01:07:32.000]  Not in the bottom right corner. It just things that eventually became like what's the word idiomatic right idiomatic Mac UI design. We don't have that yet. That's the what's an idiomatic design for the touch bar of an app the touch bar interface for an app. What type of features are should go in there by default. We don't have it yet.
[01:07:32.000 --> 01:08:01.000]  Yeah, and and I'm excited by the fact. I mean you could argue like maybe apples app should show a little more unification than they than they have but I'm okay with it the way it is which is everybody. It looks like with some rules and restrictions. Everybody has tried to develop the right approach for their app and their content and their users and and sort of let the chips fall where they may and I think that's great because I I mean right now.
[01:08:01.000 --> 01:08:16.000]  I think I could say with certainty that there are apps that do it wrong and that do it right and we can argue about which is which but like there is such a variation and maybe it'll turn out that something like what Final Cut does is totally the right way to do it.
[01:08:16.000 --> 01:08:44.000]  Which is you got sliders and you know, you're you're intensively using it like that like the DJ app on stage right and maybe you know, if I had to choose I would guess that maybe we're going to back off of that and say actually what we saw with DJ and Photoshop what we see with Final Cut Pro is maybe too far too intense too much of a UI instead of a set of shortcuts and you know, and maybe we'll back off of it.
[01:08:44.000 --> 01:09:00.000]  Maybe not maybe it'll turn out that that UI is what people love and it's having that surface. There is the best thing in the world, but my gut feeling is that it's like that's a big that's a big step to go and I'm not sure that it's the right approach, but I'm sure people at Apple were debating it too and it doesn't have to be one of the other.
[01:09:00.000 --> 01:09:18.000]  I mean it right now and right now it isn't in fact my biggest criticism of Final Cut is more that it's so complicated that it seems to be not customizable in any way and and that's for me the fact that they went back to this classic like from 10.0 customized toolbar interface to cut let people customize the touch bar.
[01:09:18.000 --> 01:09:34.000]  I really like that because it should be personal. You should be putting the stuff on it that you care about the most and I don't know how many people do that, but I'm glad that that's there and that it is customizable. I worried that it wasn't. I mean the next step should probably be to make the left third parties have access to the control strip.
[01:09:34.000 --> 01:10:02.000]  But one thing at a time. And I really like it just feels so Mac like in terms of the way that the customization feels exactly like customizing the toolbar in a window in a cocoa app. It's by design and it's no surprise, but it really just goes to show that the people who wrote these API's knew what they were doing and they did it the right way.
[01:10:02.000 --> 01:10:15.000]  And I you know it I always say when they show these things on stage and people ask afterward. I'm sure they do the same to you like well what what do you think a lot of it's like well look good. Let's see what the details are and when I first customize the toolbar.
[01:10:15.000 --> 01:10:35.000]  I was like oh wow OK good like they did a really good job like I had this whole worry about how do you use like you move the cursor to the bottom of the screen and it like disappears and suddenly you get a selection in a toolbar, but you in the touch bar, but you don't see your cursor anymore, but it's still sort of.
[01:10:35.000 --> 01:10:46.000]  There as a ghost and you can move it around and then if you move it back up it pops back out on the bottom of your display. I'm like that's weird. How are they going to do that? And when I used it, I was like well, it makes perfect sense like they nailed it.
