[00:00.000 --> 00:02.000]  Hello there
[33:12.100 --> 33:18.380]  At a ridiculous rate because it's getting so cheap to make something that would qualify as a smartphone, right?
[33:18.380 --> 33:21.780]  And it's really just this bizarre distinction to me. It's
[33:22.700 --> 33:29.000]  it's like just like a distinction between phones with black and white screens and color screens like
[33:29.380 --> 33:32.460]  like my you know, my first cell phone had a black and white screen and
[33:32.460 --> 33:35.740]  eventually even the cheap $15
[33:36.300 --> 33:42.780]  Candy bar phones had color screens because eventually the color screens got so cheap that you know that they could do that
[33:42.980 --> 33:46.080]  It didn't make sense to talk about somebody's share of the color
[33:46.620 --> 33:54.080]  Phone market even though for a while those phones were more expensive and thus more profitable because you know for a year or two
[33:54.340 --> 34:00.600]  They were like an exotic crazy thing. Like look the crazy little Java game. I play on my phone is in color now, right?
[34:00.600 --> 34:05.520]  What were those members of some of those games like the quicks or whatever? Oh, yeah
[34:05.520 --> 34:09.120]  I had one of those that was unlike a Sony Ericsson where it was terrible
[34:09.120 --> 34:14.920]  I had a I had a bowling game. That was like my go-to bowling game. I had a bowling game on my old Nokia
[34:16.640 --> 34:22.680]  You know in and Horace did you and others who were more analysts, you know, it's more rigorous
[34:24.440 --> 34:29.840]  Statistically than the number the number guys right have explained it, you know in painstaking detail that it's you know
[34:29.840 --> 34:35.020]  It is interesting that that the smartphone market the percentage of all phone sold
[34:35.240 --> 34:39.880]  That our smartphones is growing faster than any one company's share of that market
[34:41.520 --> 34:46.960]  But really like to me it's just we should just start calling them phones and that a phone is a thing
[34:46.960 --> 34:51.640]  That's a computer in your pocket. So my daughter when my daughter went to middle school
[34:51.980 --> 34:57.840]  We got her a phone and it's a and it's not a smartphone and and yet I think by
[34:57.840 --> 35:02.100]  The standards of maybe four or five years before that if not less
[35:02.400 --> 35:08.100]  It would have been considered like a super featured phone because it doesn't I think it doesn't have data
[35:08.240 --> 35:14.160]  But it has a full blackberry style texting keyboard. I mean, it's not just like numbers. It's got a whole
[35:14.960 --> 35:21.580]  You know QWERTY keyboard on it and it's got a color screen and it's got I think you can install
[35:21.580 --> 35:27.740]  I think it might even have some software you can set up or install and and it's not a smartphone as we consider it
[35:27.740 --> 35:30.360]  But it's not that far off and that was three years ago
[35:30.760 --> 35:35.860]  So I would imagine and she's you know, we're gonna end up putting her on our plan and giving her my old iPhone 5
[35:35.860 --> 35:42.520]  I think yeah, but but you know, so when my son starts middle school next year, I mean at what point is that phone?
[35:43.520 --> 35:47.680]  At some point very soon. It is just easier for all concerned
[35:48.000 --> 35:49.640]  If that is you know
[35:49.640 --> 35:54.980]  If the the cheap phone they offer for kids is the cheapest Android phone that they've got
[35:54.980 --> 36:01.380]  Rather than some weird just having to maintain some weird other platform of these dumb phones that is just at some point
[36:01.380 --> 36:03.940]  They'll just give up at least in the in you know
[36:03.940 --> 36:09.500]  The US and and some other of the richer countries and at that point there won't be anything that isn't a smartphone
[36:10.020 --> 36:14.660]  Yeah, and it so there's like two interesting things that fall out of that
[36:14.660 --> 36:21.100]  The first is that if you go back to 2007 and you think about the iPhone and the name iPhone that it
[36:21.100 --> 36:26.540]  under sold the device vastly because it really wasn't a phone it was a
[36:27.460 --> 36:34.660]  Computer an internet connected computer in your pants. It was amazing and it happened to also work on these
[36:35.060 --> 36:40.980]  Standard cell phone network and make in place at phone calls and let you you know
[36:40.980 --> 36:45.980]  For example, one of the key features of that first one huge part of the demo was visual voicemail
[36:45.980 --> 36:53.900]  Because it and and what did that do it let you deal with your voicemail the way modern graphical computers deal with messages
[36:53.940 --> 36:55.940]  Right, right
[36:56.260 --> 36:59.820]  And so at first calling it a phone or the phone or the iPhone
[37:00.080 --> 37:03.280]  Was really selling it short because it wasn't what we thought of as a phone
[37:03.740 --> 37:09.340]  It was it really truly was what we think of what we then thought of as a personal computer
[37:09.340 --> 37:16.520]  Whereas now lo these seven years later when we say phone we mean we don't mean a device
[37:16.520 --> 37:18.520]  that's just for phone calls we mean a
[37:19.820 --> 37:24.420]  Computer right, right if you say I like if somebody says you get you know
[37:24.420 --> 37:31.360]  You arrive at a restaurant you've a group of friends and you you took an uber and you get out and somebody says I left
[37:31.360 --> 37:34.540]  My phone in the car, you know what they left in the car. They didn't leave a cell phone
[37:34.540 --> 37:39.460]  They left like an iPhone or some an Android it whatever it was. It has apps and stuff, you know
[37:39.460 --> 37:40.260]  Yep
[37:40.260 --> 37:46.500]  Nobody when they say I left my phone in the car means they left a device that only makes phone calls and text messages
[37:46.500 --> 37:48.500]  Well and as landlines die
[37:48.580 --> 37:52.980]  the whole concept of anything else a phone could be just disappears and and and
[37:53.100 --> 37:56.500]  Phone is not perhaps the best term to use for these devices
[37:56.620 --> 37:59.960]  But I kind of feel like it's the one that it's you know
[37:59.960 --> 38:02.980]  One of those cases where the word evolves to mean something completely different
[38:02.980 --> 38:08.700]  but because it's supplanting the thing that it it it took its name from then that's what we'll call it and at some point people are
[38:08.700 --> 38:11.740]  Gonna be like this is weird. Why do we call it a phone and somebody's gonna say well, actually
[38:12.500 --> 38:17.320]  Let me tell you the story of the 20th century and the phone and that's where it came from people be like wow
[38:17.320 --> 38:20.980]  I don't even you know, why why would you do that? And the answer is well
[38:21.460 --> 38:22.500]  it was a
[38:22.500 --> 38:27.720]  series of small steps and at no point did somebody say this isn't a phone anymore because we had to explain what it was to
[38:27.720 --> 38:34.340]  people who who their entire frame of reference was the concept of a phone because I mean talking on the phone is like one of
[38:34.340 --> 38:40.380]  The least interesting things that I do on my iPhone at least common. It's the least pleasant. It's the only thing
[38:40.380 --> 38:42.860]  It's I took it out of the dock. I finally got shamed
[38:42.860 --> 38:46.580]  I think maybe even by by you it was a conversation on the on Twitter
[38:46.580 --> 38:50.820]  I think and I realized why is the phone app even in my dock on my iPhone?
[38:50.820 --> 38:56.500]  I never have it. I have it out of my dock. I took it out. My dock is messages Vesper
[38:56.500 --> 38:58.420]  There's an ad
[38:58.420 --> 39:02.460]  Safari and tweet pot. That's honest though. Vesper really is in my in my dog
[39:02.460 --> 39:07.260]  I have male Safari Twitter ethic and overcast in my dog very close
[39:07.700 --> 39:09.780]  Vesper's desperate down there, but it's not in the dog
[39:09.780 --> 39:14.260]  But but yeah, I yanked the phone out because because frankly if somebody calls me
[39:14.660 --> 39:16.660]  I don't need to launch the app and
[39:17.220 --> 39:21.560]  If I call somebody I know where I know where it is and I call people so seldomly but yeah
[39:21.560 --> 39:26.780]  So I feel like the name is going to be phone now, right? I doubt it will ever change. We'll just call them phones
[39:26.980 --> 39:33.060]  Right, but phone doesn't mean what it meant. It's the way language evolves. It evolves in ways that the
[39:35.140 --> 39:41.140]  Well computer is a terrible word too. Yeah, I think about it. Yeah true true very true
[39:41.780 --> 39:45.820]  What's the the the great divide in like dictionaries is?
[39:46.580 --> 39:48.180]  prescriptivism versus
[39:48.180 --> 39:50.180]  Descriptive is right. Whereas should a dictionary
[39:50.180 --> 39:58.480]  Prescribe here is how you should use all of the words. Yeah, because here is what they mean or should it describe?
[39:59.380 --> 40:05.380]  Here is what people mean when they use these words and in some cases, you know, maybe you know
[40:05.960 --> 40:10.800]  With italics say this is an in this is informal, you know, or this is slang
[40:11.900 --> 40:17.800]  But you're just describing the use of the words and sometimes those informal uses of the words
[40:17.800 --> 40:22.920]  Are used so much that they become a new sense of the word and I think that's where we are with phone
[40:22.920 --> 40:24.920]  We're maybe for the first couple of years
[40:25.360 --> 40:27.360]  Calling the iPhone a phone
[40:27.520 --> 40:28.880]  would
[40:28.880 --> 40:34.480]  In dictionary terms be informal, you know and people who knew what you were talking about would get it
[40:34.480 --> 40:37.500]  But I think we're at the point now where it's like time to add a new number
[40:38.000 --> 40:44.280]  To what does phone mean and you know a new integer and like meaning number four, right?
[40:44.280 --> 40:50.760]  a pocket computer that is connected to cellular networks and Wi-Fi and can
[40:51.720 --> 40:59.480]  Install apps right? Cuz it's it's it feels like the ship has sailed. We're not gonna suddenly say, okay, everybody stop on January 1st
[40:59.480 --> 41:02.360]  We're gonna stop calling them phones and we're gonna call them. I know
[41:03.280 --> 41:04.840]  Communicators, right?
[41:04.840 --> 41:11.840]  Wait, and the prescriptivists will fight it tooth and nail all the way down. Sure, but it doesn't matter. That's the language is like water
[41:11.840 --> 41:14.760]  It's like trying to stop running water with your hands. It's going to happen
[41:14.760 --> 41:15.320]  anyway
[41:15.320 --> 41:19.680]  but the point of all the point of this the whole reason this inspired it is your point about how big the
[41:20.320 --> 41:25.800]  iPhone is in the phone market is is that the phone is the end thinking of it as a phone not thinking of as a
[41:25.880 --> 41:29.080]  Smartphone but just going to phone meaning a cell phone
[41:29.280 --> 41:35.880]  Mm-hmm is the only thing I can think of on the planet where almost everybody who could have one
[41:36.960 --> 41:39.040]  Does or will yeah have one?
[41:39.040 --> 41:45.600]  Yes, every you could argue that it will be the first piece of high technology
[41:46.400 --> 41:51.000]  That will be in the possession of I don't know
[41:51.360 --> 41:56.240]  90% of the human beings on earth because you look at the way this technology is is
[41:56.800 --> 42:02.280]  Spreading in parts of the world that are not traditionally high-tech societies places that are poorer
[42:03.200 --> 42:07.280]  like Africa as a really great example where we've already seen like
[42:07.280 --> 42:13.960]  Wireless technology leap over wired technology because you don't need the infrastructure that I used to need
[42:14.480 --> 42:20.400]  And and and the internet at some point will be their experience with the internet will be in a phone screen
[42:20.680 --> 42:22.080]  Not on a computer
[42:22.080 --> 42:26.880]  But in a phone screen because that that is a device that is going to be cheap enough to reach them
[42:26.960 --> 42:33.800]  Gonna be able to attach via the wireless network that that is going to be available and and as a result will be more
[42:34.160 --> 42:35.240]  transformative
[42:35.240 --> 42:40.280]  as a whole I mean we can think about how the Internet's changed all of our lives and computers and all of that but for
[42:40.280 --> 42:42.360]  like the average human being on
[42:43.160 --> 42:49.240]  Planet Earth the phone is gonna be the thing that is transformative because it's gonna reach way more people
[42:49.600 --> 42:53.320]  Yeah, and I think it's really in or I think it was on pace for that
[42:54.200 --> 42:56.040]  before
[42:56.040 --> 42:58.040]  2007 but when it was
[42:58.320 --> 43:00.680]  Just voice and texting right then it was a phone
[43:00.680 --> 43:06.680]  I'm not a phone phone and I think it was already on pace to you know, if there's seven billion people on the planet and
[43:07.320 --> 43:09.400]  I don't know. I might be
[43:10.480 --> 43:12.480]  missing the mark on how many people are
[43:13.520 --> 43:20.800]  You know very elderly or babies right or very very very truly truly poor
[43:22.000 --> 43:25.840]  But let's say five billion of them could have a cell phone
[43:25.840 --> 43:30.240]  It's getting very close to the point where that's true, you know where there's you know
[43:30.520 --> 43:36.200]  Billions of cell phones in use and everybody's gonna have one and everybody because of the nature of the thing that you're banging it around
[43:36.200 --> 43:41.520]  In your pocket, even if you take care of it, you know every couple years you're gonna get a new one, right?
[43:41.520 --> 43:43.840]  it's not going to be like your
[43:45.480 --> 43:51.640]  You know like TV sets where people buy TV sets and use them for 15 20 years right cell phones aren't like that maybe
[43:51.640 --> 43:55.600]  Eventually, but it's their weights. Well, not now, right? Not right now
[43:56.240 --> 44:01.480]  Not in the year, you know the world we live in where every year there's a new iPhone, you know
[44:01.480 --> 44:06.560]  So the size of this market is I I truly wonder if it even really occurred to Apple
[44:07.120 --> 44:13.440]  You know in 2005 2006 and a run-up to the iPhone just how big the potential is there I?
[44:14.520 --> 44:16.320]  Don't know. I mean on one level
[44:16.320 --> 44:21.360]  I think they had the vision of how this was a big deal and this was gonna make a difference
[44:21.360 --> 44:23.480]  But it you'd have to really be
[44:24.400 --> 44:29.400]  You'd have to buy in all the way to really believe like this is the future and and and I don't know
[44:29.400 --> 44:32.440]  I kind of feel like that's that was so far away at that point that they couldn't really
[44:32.660 --> 44:36.480]  You know, you could you could maybe dream it but you couldn't really see it and now you can see it
[44:36.480 --> 44:38.480]  Yeah back then it was more like
[44:38.480 --> 44:43.160]  Imagine what would happen if we could pack all this stuff in there and then the world saw that and said oh well
[44:43.160 --> 44:46.080]  This is it and now every device in this class
[44:46.080 --> 44:52.480]  Follows their lead and now the world is is changing because that was a moment where like you said, you know
[44:52.480 --> 44:55.200]  Sure, we could have said five billion people are gonna have phones
[44:55.200 --> 45:01.040]  But what it would have meant was they can call somebody and now it's they can be on the internet with that device
[45:01.040 --> 45:03.720]  I still think it's interesting and I remember this this
[45:04.320 --> 45:07.680]  Clearly is that and in that initial keynote Steve Jobs?
[45:07.800 --> 45:12.760]  He gave goals for what they wanted and he said we would like, you know with by a year from now
[45:12.760 --> 45:18.000]  We would like to have 1% of the phone market right and it was and that's what he said
[45:18.000 --> 45:20.040]  He didn't say 1% of the smartphone market
[45:20.040 --> 45:22.800]  He said 1% of the cell phone market
[45:22.800 --> 45:30.080]  And that's one area where I truly think that Apple and Steve Jobs clearly got it because what was then called us
[45:30.400 --> 45:34.520]  Quote-unquote smartphone was not the Apple had no interest in that whatsoever
[45:34.520 --> 45:40.880]  They saw that as it was just as much garbage as the plain old non smartphones that came before it
[45:40.880 --> 45:45.460]  You know, it wasn't worth thinking about it was worth thinking about just playing phones
[45:45.920 --> 45:49.900]  Because a phone is something everybody will have and everybody only has one
[45:50.500 --> 45:53.920]  Well, and so the real question is with with the wearable stuff
[45:55.180 --> 45:57.180]  Is that what they're thinking?
[45:57.380 --> 46:03.620]  Which I think I think is the right thing to think which is not how do we get how do we address the smartwatch market?
[46:03.620 --> 46:12.340]  right, but thinking can can you think of something bigger that is more addressable than then because you know
[46:12.340 --> 46:18.300]  I I have a pebble and I actually wear it most days and I can bounce that I have seen you wearing your pebble
[46:18.300 --> 46:19.660]  Yeah, and I think it's fine
[46:19.660 --> 46:25.220]  I like the notifications on my wrist because it means I can ignore a lot of notifications that I would otherwise take out my phone
[46:25.580 --> 46:29.860]  But you know, it feels like I used to have a palm trio, right? I think you might have had one too
[46:29.860 --> 46:33.580]  It feels like that. It feels like a thing. That's cool and interesting
[46:33.580 --> 46:37.820]  But it's a kind of a hack and in hindsight is going to be seen as the thing that happened before
[46:38.460 --> 46:41.380]  the real thing I didn't have a trio I had the
[46:42.340 --> 46:48.480]  Handspring by the visor. All right, so I was before it even had like internet, right, but I was real into it
[46:48.480 --> 46:50.380]  I did I gave it like home OS. Yeah
[46:50.380 --> 46:56.760]  Yeah, I gave it like a full year where I was taking all my notes on it and sinking my stuff over. I forget how we
[46:56.760 --> 47:04.160]  See cereal. Yeah, I think it was like a cereal cable. Yeah. Yeah. So I mean that's the the pebble feels like that to me
[47:04.160 --> 47:07.600]  It feels like that reminds me of my trio where it's like it's cool at the time
[47:07.640 --> 47:13.760]  but I'm under no illusion that this is the end product of this category because
[47:13.960 --> 47:15.960]  It's not it's an early adopter
[47:16.080 --> 47:23.240]  Let's experiment and it's exactly the kind of product that Apple would never make because it's not really a product for regular people
[47:23.240 --> 47:28.640]  It's a product for people like me who want to you know, try it out and think about what this might mean
[47:28.640 --> 47:34.160]  But and like that there's it's cool new tech, but it's not it's just not good enough
[47:34.160 --> 47:37.760]  And the trio was kind of like that. It wasn't really good enough. It was a weird
[47:37.760 --> 47:43.160]  It was a PDA attached to a cell phone and yeah, it was not good enough, you know, but it was ahead of its time
[47:43.160 --> 47:47.320]  It was definitely it was right was the cutting edge. It was just to happen first
[47:47.320 --> 47:52.840]  It right, you know, somebody had to think of it first before you could get there the you know, exactly
[47:55.560 --> 47:56.680]  Well, let's take a break
[47:56.680 --> 48:01.660]  Let me take a break and we'll come back to that question of how big and where I think the wearable thing is going
[48:02.240 --> 48:07.000]  But let me tell you about our second sponsor and it's our good friends at fracture
[48:07.000 --> 48:16.840]  F R a CT you are a fracture. I feel like with my boys. Like I'm not enunciating enunciating that clearly
[48:17.240 --> 48:23.920]  Here's what fracture does their response are a while back maybe you remember them you send them your picture they print it
[48:24.680 --> 48:26.680]  super high quality on
[48:26.800 --> 48:28.200]  glass and
[48:28.200 --> 48:30.200]  Then they ship that rack to you
[48:30.200 --> 48:37.120]  It's not a picture framed in glass. It is a piece of glass with the picture printed right on it
[48:37.440 --> 48:40.040]  best way I can describe it is that difference between
[48:40.760 --> 48:44.240]  Like the old iPhones when it looked like a touch, you know
[48:44.240 --> 48:50.080]  there was this piece of glass over the screen and then when the iPhone 4 came out and it looked like the pixels were actually
[48:50.080 --> 48:55.120]  On the screen and that they you know, it wasn't two pieces laminated together. It was like one piece
[48:55.120 --> 49:01.760]  That's what they do at fracture. They actually print the photo on the glass and it's a really cool effect
[49:01.760 --> 49:06.240]  It looks so much better than a picture underneath glass. Very very cool
[49:07.120 --> 49:09.120]  They have all sorts of sizes available
[49:10.400 --> 49:14.080]  Everything from little small things for your desk to big things that you can put on the wall
[49:14.640 --> 49:16.880]  they ship them to you in a really cool thing and
[49:17.920 --> 49:22.800]  You don't even need to frame the picture itself can be hung right on the wall and it just looks cool
[49:22.800 --> 49:28.760]  It's just this piece of glass. That is a photo that you can just hang on a wall and they look great without a frame
[49:28.760 --> 49:33.160]  You don't need to put a frame around them really great the whole thing what you buy what they ship to you
[49:33.160 --> 49:36.360]  You just open the box. You can put it right in the wall and it looks great
[49:36.880 --> 49:42.160]  Great idea for gifts. I am totally gonna steal this idea from Marco Arment
[49:42.840 --> 49:44.840]  Who won last week's ATP?
[49:45.000 --> 49:50.040]  mentioned that every time he makes a new app before he sells it to somebody else he
[49:50.040 --> 49:56.840]  Celebrates by getting the apps icon on a five by five fracture and then he hangs them up on his wall
[49:57.680 --> 49:59.680]  So anybody out there who's like a developer?
[50:01.000 --> 50:05.360]  Great idea and it looks great. I have seen them on Marco's wall. They look beautiful
[50:05.360 --> 50:10.240]  So you don't couldn't you know, that's sort of an edge case, but it looks great. Even if it's not a photo
[50:11.640 --> 50:16.520]  It's just really really great. We have a bunch of them here in the house and there's some of my favorite pictures
[50:16.520 --> 50:22.960]  Where do you go to find out more easy? Their website is fracture me calm
[50:23.720 --> 50:27.920]  Fracture me calm and if you use this code the talk show
[50:28.480 --> 50:35.240]  You save 5% off any order just boom. You just save money the talk show go to fracture me
[50:36.000 --> 50:42.160]  Send a couple pictures get a couple back see what I mean. And then like by Christmas you'll be ordering everybody in your family
[50:42.160 --> 50:45.080]  Fracture pictures. It's a great service
[50:47.280 --> 50:51.640]  Back to the show. So how big is the wearable market? I don't know
[50:51.640 --> 50:58.160]  I I honestly don't because here's what I think I think I think if anything if it's big it might be
[50:58.840 --> 51:00.840]  sort of the opposite of
[51:00.920 --> 51:07.640]  The iPhone where the iPhone has been this like here's one new iPhone a year
[51:07.640 --> 51:14.560]  Here's the iPhone for the next year. If the wearable thing is big. I think it could be like
[51:15.200 --> 51:18.080]  There's 15 different wearables from Apple to choose from
[51:20.120 --> 51:23.000]  You know and maybe collectively they're pretty big and
[51:23.440 --> 51:29.240]  Have a range in prices, but that it might you know, so for example just you know, just think about the old iPods
[51:29.240 --> 51:31.640]  You know when the iPods were big and there were you know?
[51:31.640 --> 51:37.200]  The four or five of them right there was you know, a little nano sized thing a little clip-on thing
[51:37.200 --> 51:38.540]  That didn't even have a screen
[51:38.540 --> 51:42.820]  There was like the main regular one that was sort of mid-sized and then there was the big one
[51:42.920 --> 51:47.300]  The you know, and I stay still have that lineup. We just don't get excited about them anymore, right?
[51:47.640 --> 51:50.140]  But it could be that sort of thing and you know
[51:50.360 --> 51:54.840]  One or two of them or watches and one or two of them or something else's and who knows?
[51:55.680 --> 51:57.520]  yeah, I I
[51:57.520 --> 52:02.400]  Mean, I don't really know what to think about this market either other than you know the caution that it's not gonna be the size
[52:02.400 --> 52:08.480]  of the phone market because nothing is and the feeling like it's gonna be an accessory like it feels to me like this is a
[52:08.480 --> 52:11.200]  Device, you know if there is something on your wrist
[52:11.200 --> 52:15.980]  It's a device that's meant to work with the iPhone and and that that actually makes it logically part of the iPhone event
[52:16.080 --> 52:19.120]  To talk about it that the iPhone is the center the you know
[52:19.120 --> 52:22.120]  It's a little bit like the old digital hub story that Steve Jobs told back in
[52:22.120 --> 52:28.720]  2000 except the center the hub now is the iPhone the iPhones with you all the time. It's got the the high-speed connection
[52:28.720 --> 52:36.720]  And then you can have something like this whether it's one sensor that's on your wrist or whether it's a constellation of different things
[52:37.160 --> 52:39.860]  On your body and in your house and wherever else
[52:40.360 --> 52:46.480]  and they all you know talk to your iPhone and your iPhone collects the data and relays things to the internet and all of that but
[52:47.280 --> 52:49.280]  You know, it doesn't feel like
[52:49.280 --> 52:54.360]  You know again, it feels like a it's about accessories. It's about adding on
[52:55.400 --> 52:57.400]  not about a
[52:57.440 --> 53:02.320]  Category that is breaking. I don't know entirely new ground, you know
[53:02.640 --> 53:07.720]  it's hard to it's hard to even think about this because it's so intertwined its technology and its fashion and
[53:10.840 --> 53:14.380]  And I do think it's gonna rely on the iPhone to some degree
[53:14.380 --> 53:17.200]  So this is the question of like how many of these are going to be sold?
[53:17.200 --> 53:19.200]  how many
[53:19.320 --> 53:20.680]  How often is a person?
[53:20.680 --> 53:23.280]  Expected to buy one of these if you buy something and put it on your wrist
[53:23.280 --> 53:27.520]  Are you expecting to have it there for a year two years five years? I don't know
[53:28.320 --> 53:30.000]  Yeah, and you know, it's funny
[53:30.000 --> 53:36.120]  I've in the same way that I've avoided using the phrase iPhone 6 or try I've tried to you know
[53:36.120 --> 53:40.360]  Wherever practical I've avoided I've certainly avoid I think I've never used the word I watch
[53:40.600 --> 53:43.960]  Yeah, that's and I've tried to avoid calling it a watch
[53:43.960 --> 53:48.880]  I've been calling it a wearable right and I knew you know, I know for a fact that they're working on
[53:49.040 --> 53:51.280]  You know some sort of wearable stuff for a while
[53:51.440 --> 53:55.860]  But I didn't know any more than that and I didn't want to assume watch and I heard some people say
[53:55.960 --> 54:02.640]  It's a watch and I thought alright, that's a possibility and obviously there's a lot of companies in the last 12 months that have been
[54:03.480 --> 54:05.960]  active making you know smart watches
[54:07.920 --> 54:11.600]  But all that said it seems like in the run-up to this event
[54:11.600 --> 54:16.880]  There's suddenly a lot more smoke. Mm-hmm, you know in terms of you know, my by
[54:17.520 --> 54:21.360]  Triangulating these rumors. I'd I often just subscribe to you if there's enough smoke there
[54:21.360 --> 54:24.820]  There's got to be some sort of fire and there's an awful lot of smoke
[54:25.480 --> 54:30.080]  specifically that it's a watch or two watches I guess is actually we're you know, I think
[54:31.120 --> 54:34.900]  Nick Bilton, I think from the New York Times that said that or was it Brian Chen?
[54:35.000 --> 54:39.540]  Yeah, it looks like we're at the point now where it's it's um and Jessica lesson
[54:39.540 --> 54:44.820]  It's leaks and counter leaks and and that some of this is is about Apple this late in the game
[54:44.820 --> 54:47.140]  It's also about Apple trying to set expectations
[54:47.140 --> 54:52.340]  So I think I think definitely there's so much smoke here that there's no way there isn't isn't fire of some kind
[54:53.720 --> 54:58.960]  But if it really is a watch and I think that's still even right now, you know
[54:58.960 --> 55:03.600]  And like I said, there's an awful lot of people who are listening to this podcast prop possibly after the event. So
[55:04.120 --> 55:06.720]  Enjoy as you and I are speaking
[55:06.720 --> 55:13.440]  On Sunday night. Yeah, we don't know. I still think if it's a watch boy
[55:13.440 --> 55:15.440]  The word watch has so many
[55:16.360 --> 55:20.280]  Expectations like people buy a watch they do not expect to replace a watch every two years
[55:20.280 --> 55:25.360]  I mean people buy a watch and they expect that thing to last and if it's expensive
[55:26.120 --> 55:29.640]  They really expect it to last, you know, and there was a leak
[55:29.640 --> 55:31.440]  I forget who had it that you know
[55:31.440 --> 55:35.880]  Somebody said that Apple's considering a $400 price point and that makes me laugh
[55:35.880 --> 55:43.680]  In one way and it makes me think hmm in another because if it's true that it's 400 or they're thinking about 400
[55:43.680 --> 55:49.500]  Then I think it's not an accessory, right? I think 400 bucks you're in the range of something
[55:49.500 --> 55:51.500]  That's sort of got to stand on its own. I
[55:52.640 --> 55:54.560]  Don't know I don't know
[55:54.560 --> 55:58.540]  Depends on what accessory means. I mean it may just be that to get on the internet and things like that
[55:58.540 --> 56:02.800]  It really needs to talk to a phone or a Wi-Fi connection or something and not be its own little cell phone
[56:02.800 --> 56:07.440]  But but yeah, it's more than it's more than an impulse buy at 400
[56:07.440 --> 56:12.640]  You really have high expectations of what that device is going to do. The part that made me laugh though was the
[56:14.160 --> 56:19.760]  2010 Wall Street Journal story about Apple's tablet efforts that said that they're considering a
[56:20.840 --> 56:27.560]  $999 iPad that's right. That's where my thought went to which is it almost feels like an attempt to set the bar high
[56:27.560 --> 56:30.480]  So when the real price is revealed everybody is relieved
[56:30.480 --> 56:38.960]  Oh, I remember at the iPod there. I put there. I did it the iPad intro original iPad intro and
[56:39.520 --> 56:42.160]  They're like, you know the whole spiel, you know
[56:42.160 --> 56:46.680]  It's got a fit between this and this there has to be a reason for it has to be better than anything that this and it
[56:46.680 --> 56:50.120]  All made sense and it they showed it and it was like it. Wow, that looks great
[56:50.120 --> 56:54.040]  You know, I cannot wait to see this. I'm this looks super exciting
[56:54.080 --> 56:57.940]  This looks really cool and the whole time I was thinking it's got to be
[56:57.940 --> 57:04.940]  $999 look at it. It's like a Mac, you know, and it's super thin and I know that making it that thin is expensive, right?
[57:04.940 --> 57:08.480]  It's like this thing is cooler than any Mac book
[57:08.480 --> 57:13.140]  It may not be faster than it because I know it's running arm, but it's cooler than any Mac book
[57:13.140 --> 57:20.280]  It's got to be 999 and then when they you know, the starting price was 499. I remember that that room it was
[57:21.620 --> 57:27.380]  It was easily the biggest moment the most exciting moment of that event had nothing to do with the actual iPad
[57:27.380 --> 57:31.100]  Even though there was lots that was exciting about it and lots of it
[57:31.100 --> 57:36.620]  Most of it had had been completely secret. But when when they dropped that price it was
[57:37.460 --> 57:41.980]  Jaw-dry, I mean people gasped right and not just because the device was cool
[57:41.980 --> 57:49.260]  But because that 999 number had come out and the Wall Street Journal ran it. Everybody was doing those, you know beard scratching
[57:49.540 --> 57:54.620]  Yeah, you know. Well, what does it mean? It will people buy it for 999 and that was yeah
[57:54.620 --> 57:59.140]  It was all framed around that price and and that's exactly where my mind went with with
[57:59.620 --> 58:02.740]  this wearable rumor is like is that a real price or is that the
[58:03.540 --> 58:08.260]  The the price that gets out there so that when they announce that it's really 300
[58:08.500 --> 58:13.180]  Instead of saying Wow 300 is a little pricey you say oh my god. I can't believe it's only 300
[58:13.180 --> 58:19.060]  I don't know whether that's true or not, but it is that feel to it, right? Right or even you know, 199
[58:19.060 --> 58:23.200]  you know and then all of a sudden it's like wow people are gonna get in line for it because you know,
[58:23.200 --> 58:25.000]  a
[58:25.000 --> 58:30.880]  Electronics aside and the gadgetry and the all the health sensors and stuff presumably that the thing has
[58:31.600 --> 58:34.720]  But Fitbit's don't cost that much, you know, right? I mean there's none
[58:35.920 --> 58:39.780]  You you can't buy like a Rolex for $199
[58:39.780 --> 58:46.680]  But you can buy what most people would consider a pretty nice watch for a hundred ninety nine. Yes, you know, it's it's again
[58:46.680 --> 58:50.800]  It's not jewelry. It's not true luxury. It's mass-market luxury
[58:50.800 --> 58:53.840]  It's like I have a spot. I actually have a
[58:54.680 --> 58:57.640]  a watch in my Amazon shopping cart and
[58:58.000 --> 59:02.200]  Because I was thinking of replacing my old watch and it looks pretty nice and it's 30 bucks
[59:02.200 --> 59:06.240]  and then my wife actually instead bought me a watch for our anniversary and
[59:06.800 --> 59:13.480]  At like Macy's or something and it's a very nice watch but it's it's probably a hundred and fifty dollar watch
[59:13.480 --> 59:16.160]  It's not right. Yeah, you know you can go to yeah
[59:16.160 --> 59:21.600]  You can go to a store like Macy's and you know looked at me so for you know at those prices Apple could make you
[59:21.600 --> 59:22.600]  know a
[59:22.600 --> 59:24.600]  profitable device
[59:25.960 --> 59:27.960]  But it's a lot more than most people
[59:28.720 --> 59:33.860]  Have spend on watches, you know, so it's you know, so somebody who does collect, you know
[59:34.200 --> 59:41.200]  Rolex or Amiga or whatever watches might think well $1.99. That's not really a luxury watch but most people would think wow
[59:41.200 --> 59:44.540]  This is gonna be the most expensive watch I've ever bought but I can't wait to have it
