[00:00.000 --> 00:03.180]  There's a lot going on. Yeah, it's good time to be us
[35:23.640 --> 35:29.840]  Mine still feels and looks like brand-new. It is a mate. It truly their durability is not to be underestimated
[35:31.080 --> 35:35.960]  So we've got a couple of them now in the house. They all look great. I've got my original still looks brand-new
[35:35.960 --> 35:40.960]  No interest in upgrading or changing. I don't need to what why would I do that? It still looks brand-new
[35:40.960 --> 35:46.400]  I take it everywhere I go. I really love it. Here's the deal. They have for talk show listeners 20 bucks
[35:46.920 --> 35:51.800]  Save 20 bucks by going to away travel comm slash talk show 20
[35:51.800 --> 35:57.880]  And just use that same promo code talk show 20 ta lks a joe w2 zero and
[35:59.000 --> 36:04.800]  Use it during checkout. You'll save 20 bucks. That's a way travel comm slash talk show 20
[36:07.040 --> 36:09.040]  Really great product love it
[36:11.280 --> 36:13.840]  So there was a story another story at the verge
[36:14.840 --> 36:18.720]  I think it was like right after the iPhone 11 events by Sam Byford
[36:18.720 --> 36:25.760]  it was like I think literally said that that Apple needs to needed to catch up to Android this year
[36:26.520 --> 36:28.520]  on the camera and
[36:28.960 --> 36:36.240]  it's taken as a point it had been taken as a point of just fact for like the last year that the pixel 3 was a
[36:36.240 --> 36:41.360]  Better camera than the iPhone 10s. I was writing that a lot as well
[36:42.160 --> 36:43.600]  and I
[36:43.600 --> 36:50.080]  Disagree, I really do and you know, I might say, you know, neil
[36:50.080 --> 36:55.440]  I talked about this a few weeks ago on the verge crash like I feel like the differences
[36:55.760 --> 37:03.120]  were they were real and I could see why subjectively somebody would prefer the pixel 3 for still photography, but
[37:04.040 --> 37:07.560]  objectively, I think that there were plus and minuses on both sides and
[37:07.560 --> 37:15.120]  You know night sight was the one feature the pixel 3 had for a year that the iPhone 10s couldn't do but it wasn't
[37:17.040 --> 37:21.160]  You know, how often do you need it and and you know, I I don't know
[37:21.160 --> 37:26.580]  I mean it was on had portrait mode before Google did it but right didn't seem to have such big a reaction, right?
[37:27.220 --> 37:33.440]  You know, there's there's things that the iPhone still camera could do that the pixel couldn't and it for just regular photography
[37:33.440 --> 37:39.280]  I think it was debatable, but I thought this thing for me is that we went to CES and I was shooting with an iPhone
[37:39.280 --> 37:43.840]  And everyone from our Android team started off shooting with a pixel, but the camera just wouldn't launch
[37:43.840 --> 37:49.840]  they would miss the shot and the video would drop frames and by a day in they'd all switch to Samsung and Huawei phones because
[37:49.840 --> 37:53.000]  It didn't matter how good the camera was if it couldn't get the shot for them
[37:53.000 --> 37:56.080]  And I think that's one of the most underappreciated aspects of a camera
[37:56.480 --> 38:01.480]  Yeah, and that was a knock against the pixel 3 to with startup time and that you and you know
[38:01.480 --> 38:07.520]  I've we've all been in that situation and and we've all at times even I've I've even wondered whether Apple should make you know
[38:07.520 --> 38:10.520]  Should they add a dedicated phone button and I can see why they don't
[38:11.760 --> 38:18.000]  The Nokia phones back in the day had a dedicated shutter button just for the camera and launching it
[38:19.000 --> 38:21.520]  But we've all been in that situation where there's oh my god
[38:21.520 --> 38:24.040]  There's something cute or amazing or whatever going on
[38:24.040 --> 38:28.380]  I don't need to get my camera fired up as fast as possible and you really don't want that to be delayed
[38:28.380 --> 38:31.340]  But I thought that the other thing it was sort of a
[38:33.580 --> 38:35.020]  It's a
[38:35.020 --> 38:36.180]  well-known
[38:36.180 --> 38:42.820]  trope that the Macalope observes very keenly it was that the the gist of Byford's explanation of how the or
[38:43.620 --> 38:47.580]  Assertion that the iPhone needed to catch up on the phone
[38:48.300 --> 38:53.460]  Or on the camera. Well was by citing at least three different Android phones
[38:53.460 --> 38:58.500]  You know, like yeah, it didn't have night sight which the pixel did it didn't have an ultra wide lens
[38:58.500 --> 39:05.180]  Which the these Huawei and and other brand phones did and it didn't have something else that some other phone did
[39:05.380 --> 39:08.300]  But none of those three phones have the three features, you know what I mean?
[39:08.300 --> 39:13.460]  Like you could say quote-unquote Android had these three features, but you had to have three different phones to have all three features
[39:14.180 --> 39:18.740]  It's just a sort of a classic gotcha of comparing the Apple ecosystem
[39:18.740 --> 39:23.140]  to Windows back in the day to to Android in recent years I
[39:25.140 --> 39:29.740]  Thought that the extra lens thing was particularly rich if you're gonna because usually
[39:30.540 --> 39:36.940]  People held up the pixel is the best Android camera phone, you know, and I think with good reason
[39:38.340 --> 39:44.500]  But if you know on those grounds clearly it was it was the pixel that needed to catch up and now still needs to catch
[39:44.500 --> 39:49.540]  Up, it's still only has two lenses even at the highest lens at the highest at the highest version
[39:50.740 --> 39:53.460]  And again, I don't say that that proves that the iPhone is ahead
[39:53.460 --> 39:57.300]  I'm just saying I think it requires a much more nuanced nuanced discussion
[39:58.660 --> 40:06.100]  And I think that the the certainty that some pixel aficionados feel that they have the best still camera phone is
[40:06.660 --> 40:10.340]  Maybe not warranted. Yeah, it's very subjective
[40:10.340 --> 40:12.340]  Yeah, it's very subjective
[40:14.300 --> 40:17.500]  Which brings me to this discussion of okay if you're going to add
[40:18.380 --> 40:23.980]  Like the standard lens on a modern cell phone camera. It's pretty consistently
[40:25.060 --> 40:31.900]  In field of view at what in 35 millimeter terms would be around a 26 to 28
[40:31.900 --> 40:39.420]  To millimeter lens and there's a good good argument to be made
[40:40.420 --> 40:44.140]  That we should kind of get away from those terms anymore
[40:44.540 --> 40:51.060]  Yeah, and Apple certainly has Apple doesn't really describe them Apple just calls them 1x 2x and now 0.5x
[40:51.060 --> 40:57.780]  Which is a better way of thinking about it and field of view which is measured in an angle in other words. What what?
[40:57.780 --> 40:59.780]  What
[41:01.060 --> 41:02.740]  Angle
[41:02.740 --> 41:06.700]  from the from the lens pointing forward is captured in the sensor is
[41:07.700 --> 41:12.220]  Makes more sense than just using 35 millimeter sensor film terms
[41:12.500 --> 41:18.180]  Especially as we as 35 millimeter sensors become a smaller and smaller part of the camera landscape
[41:20.540 --> 41:26.340]  So what we call a 1x lens on most of these cameras is very very similar in field of view
[41:26.340 --> 41:31.620]  Just just a tiny fraction, you know, the iPhone is a little bit wider than the pixel was last year
[41:31.620 --> 41:32.820]  I don't know how they compare this year
[41:32.820 --> 41:37.860]  But like if you set a pixel 3 and an iPhone 10s up last year
[41:38.260 --> 41:42.900]  You could if you knew what to look for if they were set up at the exact same location
[41:42.900 --> 41:46.940]  You could tell instantly which one was which because the iPhones would be a little bit wider
[41:46.940 --> 41:51.420]  so you'd capture a little bit more information along this the sides of the
[41:51.420 --> 41:57.740]  The image so depending on the subject you were photographing you could just see it if there's a little bit more
[41:57.980 --> 42:01.300]  Like I think if you really wanted to do a side-by-side
[42:03.060 --> 42:10.460]  Like double-blind which one do you like part of it would have been you'd have to crop the iPhone pictures like
[42:11.040 --> 42:15.620]  One or two percent and do like a center crop just to get the same field of view
[42:15.620 --> 42:21.460]  if you're going to add a second lens, and now everybody's adding second lenses because
[42:22.340 --> 42:27.620]  It's just the physics of these devices and that you know how thin they need to be mean you
[42:28.260 --> 42:30.140]  at least
[42:30.140 --> 42:37.500]  In the near future. There's no way to make a zoom lens meaning a lens that adjusts from these different fields of view
[42:37.860 --> 42:45.180]  So if you want to get the effects of a zoom lens the advantages meaning to be able to go even wider or to zoom in
[42:45.180 --> 42:47.180]  more without
[42:47.700 --> 42:52.960]  Without resorting to digital zoom you need second and third camera lenses
[42:53.820 --> 42:55.820]  I
[42:55.860 --> 43:01.220]  Kind of feel and and did you watch the the pixel for event? Yes. I forget the guy's name
[43:01.220 --> 43:03.620]  Do you know the guy's name who's like their camera guy? Oh
[43:04.300 --> 43:06.180]  It's mark
[43:06.180 --> 43:13.100]  Blanking on his name, too. He's a guy who made all those computations with that original computational photography app. Yeah, it's a very smart guy. I
[43:13.100 --> 43:16.420]  Think he was a little salty about the ultra-wide lens
[43:17.220 --> 43:18.880]  Yeah
[43:18.880 --> 43:22.900]  Like I kind of feel like Google got caught with their
[43:24.540 --> 43:32.140]  Just caught maybe making the wrong decision on that front and that mark Lavoie mark Lavoie and I have to write this down
[43:32.140 --> 43:42.180]  And I really think that Apple made the right decision now that the non-pro
[43:44.660 --> 43:47.220]  $799 new iPhone has two lenses
[43:47.780 --> 43:53.420]  Instead of following in the footsteps of the iPhone 10 and 10s and going telephoto as the second lens
[43:53.420 --> 43:58.020]  They it only goes ultra wide. I think that's the right move for most people
[43:58.020 --> 44:03.580]  I think it's also the right move for the non-pro phone and I you know
[44:03.580 --> 44:06.840]  And I'm on the record is saying we don't have to worry so much about
[44:07.620 --> 44:12.860]  What pro means in the parlance of an iPhone Pro it really can just mean?
[44:13.580 --> 44:15.020]  iPhone premium
[44:15.020 --> 44:21.380]  Yes, whether it's professional or not, but the truth is as just a basic rule of thumb
[44:21.380 --> 44:28.020]  The wider the lens the more fun it is right and you can get you know
[44:28.640 --> 44:30.640]  some actual comical
[44:31.380 --> 44:36.140]  Effects with the ultra wide by having a subject really close and it exaggerates it
[44:36.940 --> 44:42.200]  And then the longer the lens the more serious it is. It just gives you a more serious feel
[44:42.200 --> 44:48.020]  That's why the portrait lens, you know defaults to the 2x perspective. It just is a more staid
[44:48.020 --> 44:50.020]  A
[44:51.100 --> 44:53.900]  Perspective I remember reading an interview once with
[44:55.660 --> 44:59.540]  Billy Crystal and he was talking I forget who directed the movies
[44:59.860 --> 45:05.540]  but I think it was about city slickers to remember city slickers and then I was city slickers was a smash hit and
[45:06.020 --> 45:09.500]  And was a big big hit and made Jack Parlance
[45:09.500 --> 45:12.620]  It was the crufty old cowboy became a you know
[45:12.620 --> 45:16.620]  It had been like a big star in the 50s and 60s all of a sudden he became big star again
[45:16.620 --> 45:18.740]  and then they made a sequel and
[45:20.500 --> 45:22.180]  Sequel wasn't so good
[45:22.180 --> 45:26.220]  And the story I heard was a Billy Crystal was talking to had a new director for it
[45:26.220 --> 45:27.300]  He was talking to somebody else
[45:27.300 --> 45:29.380]  I think like Rob Reiner who wasn't involved with it
[45:29.380 --> 45:34.300]  And he was just like from the set and he was just like so I could be butchering this anecdote
[45:34.300 --> 45:39.500]  But I know it was Billy Crystal. I know it was I know city slickers to may or may not have been Rob Reiner
[45:39.500 --> 45:43.620]  But anyway, he was talking to somebody who he trusted as a director of comedy and he said hey
[45:43.620 --> 45:48.220]  He always told me that wide-angle lenses are funny. And he's like, yeah. Yeah, that's real fast
[45:48.220 --> 45:49.100]  You want something to be funny?
[45:49.100 --> 45:51.260]  You got to put a wide-angle lens on the camera and he goes with it
[45:51.260 --> 45:52.540]  This guy's not putting nope
[45:52.540 --> 45:58.400]  this guy's shooting everything with a long lens and it was just like crickets on the other end phone and then Billy was like
[45:58.620 --> 46:00.620]  Yeah, I thought so
[46:02.540 --> 46:10.100]  It really is fun and I think just reading it I think I've read more people on Twitter who seem less
[46:10.100 --> 46:12.100]  If
[46:12.340 --> 46:18.420]  You know prosumery photo enthusiasts types and just more casual I just shoot photos
[46:18.860 --> 46:23.020]  They seem to be using the wide-angle lens more than then
[46:23.020 --> 46:27.220]  I saw people using the telephoto lens in the whole two years when
[46:27.620 --> 46:31.280]  When the iPhone if you had two lenses or I guess three years maybe
[46:31.580 --> 46:36.120]  Where if the iPhone had dual lenses the second lens was telephoto
[46:36.120 --> 46:38.120]  I
[46:38.560 --> 46:43.440]  Think that's really true and it's it's interesting to me because I would shoot a lot with the telephoto lens
[46:43.440 --> 46:50.040]  But mostly because I wanted the bokeh and it gets a much nicer natural bokeh than the other lens than the the ultra wide-angle lens
[46:50.040 --> 46:55.700]  But you can computationally deliver telephoto. Google did it last year with the pixel 3 and super zoom
[46:55.700 --> 46:58.920]  That's essentially what they were doing was making a computational telephoto lens
[46:59.480 --> 47:04.600]  But you can't do that with ultra wide-angle because you don't have the extra data. It just is it doesn't exist
[47:04.600 --> 47:09.880]  So putting even on an iPhone 11 not the pro you have the wide-angle and the ultra wide-angle
[47:10.760 --> 47:12.160]  You can still do a zoom
[47:12.160 --> 47:16.960]  I wish Apple would put the button on there because I think it's a better user experience to just do the the 2x button
[47:16.960 --> 47:19.200]  But you can zoom in and it's still a usable shot
[47:19.200 --> 47:24.600]  You cannot zoom out on a pixel and I think that's a loss and when I look at a lot of the Android reviewers
[47:24.880 --> 47:28.520]  Because like you mentioned not a lot of the phones used to have every option
[47:28.520 --> 47:30.520]  But now a Huawei phone a Samsung phone
[47:30.520 --> 47:36.120]  All of them have ultra wide all of them have night mode and it's pixel that stands out for not having everything. Yeah
[47:38.360 --> 47:43.560]  Ben Rubenstein, who's the developer behind the excellent halide app along with his yes
[47:44.840 --> 47:48.520]  Colleague Sebastian Dewit, who's the designer of the app?
[47:49.680 --> 47:52.360]  Did some interesting work last year on?
[47:54.520 --> 47:57.840]  Just comparing the 1x camera
[47:57.840 --> 48:01.700]  Doing a 2x digital zoom versus. Yep, Ben
[48:02.700 --> 48:05.580]  Sandovski this and what I forget how I mispronounced it. Sorry Ben
[48:07.220 --> 48:12.860]  But Ben Sandovski really smart developer really knows this stuff really found that in a lot a surprisingly well-lit
[48:14.100 --> 48:19.700]  Well lit but indoor lighting conditions a 1x camera with two with the 2x digital zoom
[48:19.700 --> 48:27.220]  Using a smart zoom algorithm. We get you a better image than using a 2x camera with a slower lens meaning slower
[48:27.220 --> 48:29.220]  Meaning works worse with less light
[48:31.500 --> 48:38.140]  You know digital the gist of it being digital zoom has gotten better than you think and in the old days when digital photography was
[48:38.140 --> 48:44.540]  New it was like don't ever resort to digital zoom, you know, unless you really really have to because it just looks like
[48:45.380 --> 48:46.580]  muddy
[48:46.580 --> 48:53.140]  Blurry pixels at every level. Whereas it's gotten better and like you said you can do it
[48:53.140 --> 49:00.220]  However, whatever the trade-offs are of doing a digital zoom it. It's still certainly getting you that frame of view
[49:00.460 --> 49:06.100]  Whereas there's absolutely no way to fake of the 0.5 X lens field of view
[49:06.100 --> 49:09.620]  I don't think most people notice because on the iPhone it will switch between
[49:09.820 --> 49:15.460]  The real telephoto and sort of a fake telephoto if it gets into lower light and I don't know if it's going to be a
[49:15.460 --> 49:20.660]  Lower light and I don't know how many people actually notice when it's doing that because when I pointed out they're super surprised
[49:20.660 --> 49:25.220]  No, and nobody nobody noticed. I mean all of us we wrote I'm not maybe somebody noticed
[49:25.220 --> 49:29.460]  I don't know but I even wrote a piece a couple weeks ago about how when you're in night
[49:29.740 --> 49:34.940]  Night mode on the iPhone 11 Pro. It always uses the 1x camera lens
[49:34.940 --> 49:39.940]  So if you're doing 2x in in night mode on a 11 Pro
[49:39.940 --> 49:43.020]  It's using the 1x sensor and doing a digital zoom
[49:43.020 --> 49:47.100]  Along with the interpolation of multiple exposures, you know
[49:48.180 --> 49:49.540]  and
[49:49.540 --> 49:55.500]  Nobody, you know, nobody really caught on to that and there was a bit of Apple not wanting to talk about how it worked
[49:55.500 --> 49:59.820]  Which was weird and should have raised a flag people because if you did get the telephoto lens
[49:59.820 --> 50:01.100]  It looked like night mode didn't work
[50:01.100 --> 50:04.580]  And then when you didn't get it, it looked like night mode worked and you couldn't figure out why sometimes
[50:04.780 --> 50:07.260]  It would work at 2x and not others and it was just confusing
[50:07.260 --> 50:08.020]  Yeah
[50:08.020 --> 50:12.700]  And you can do you can always prove this and it's just the simplest most obvious thing in the world if you're ever
[50:12.700 --> 50:17.300]  Confused as to which camera lens your iPhone is using for a quote 2x shot
[50:17.500 --> 50:22.540]  Just cover one of the lenses with your finger and you can actually see it, you know happen
[50:26.020 --> 50:33.820]  Basically I think that the confusion is that Apple in some ways presents the new the new camera zoom interface with these
[50:34.260 --> 50:37.980]  Separate buttons on the iPhone 11 you get a 0.5 and 1x
[50:37.980 --> 50:44.020]  Buttons, but no 2x button and then on the iPhone 11 Pro you get three buttons
[50:44.620 --> 50:46.620]  0.5 1 and 2x and
[50:47.100 --> 50:51.900]  At some level they want you and I think overall they've really achieved
[50:51.900 --> 50:55.860]  I think that the camera team at Apple is doing some of the best
[50:56.220 --> 51:03.260]  user experience work in the industry it is in terms of what they're doing with the user interface and
[51:04.180 --> 51:06.180]  exposing a little bit more
[51:06.180 --> 51:07.860]  complexity
[51:07.860 --> 51:09.860]  but in ways
[51:10.260 --> 51:15.300]  That don't get in the way of using the camera in the most simplistic way possible
[51:15.300 --> 51:18.540]  Which they know is what most people do is open the camera
[51:18.540 --> 51:23.540]  Make sure you're either in camera or video mode and then hit the button, right?
[51:23.700 --> 51:27.220]  That's what people do and they've really not gotten in the way of that
[51:27.220 --> 51:31.340]  But they've really exposed what you can do in a very, you know, very useful ways
[51:31.340 --> 51:38.140]  There's a little bit of conflation there though it where they really want you to treat it as one camera
[51:38.140 --> 51:44.220]  Yeah, you can zoom in and out of and you don't have to worry about the fact that there are three physical cameras on the back
[51:45.260 --> 51:52.060]  It's just one camera app and it just zooms in and out like the way a point-and-shoot camera can zoom in and out
[51:52.060 --> 51:58.380]  You know and you don't have to worry about it that it's technically three different cameras and three different sensors and three different
[51:58.380 --> 52:00.940]  maximum, you know
[52:00.940 --> 52:03.660]  Exposure speeds and stuff like that. You don't have to worry about it
[52:03.660 --> 52:08.700]  It'll just do what you needs to do to to get the best image at the perspective you're looking for
[52:09.900 --> 52:17.740]  But at the other hand they still there is some aspect of it whereby only having the 2x button on the one that has the 2x
[52:17.740 --> 52:25.580]  Lens physical lens it kind of makes you feel that hitting that button is giving you that camera that physical can't agree
[52:25.580 --> 52:33.100]  Yeah, it where's that's not the case. It's really just about the field of view and it just means
[52:33.580 --> 52:37.900]  0.5 is always going to give you the 0.5 camera because there's no other way to fake it
[52:38.540 --> 52:42.700]  1x is always going to give you the 1x camera because if it's the best camera
[52:43.660 --> 52:47.580]  Period so if you want the 1x field of view, it's never going to be better by cropping
[52:48.940 --> 52:51.660]  The other the other images
[52:51.660 --> 52:56.540]  The 2x though is the mystery where sometimes it if you're outdoors and there's lots of light
[52:56.540 --> 53:02.940]  It's going to give you the 2x camera physically, but indoors it may not and if night sight it never will
[53:03.660 --> 53:04.540]  Yeah
[53:04.540 --> 53:09.740]  But that's okay interesting thing for me is that there's there's almost like this battle inside apple because on one hand
[53:10.060 --> 53:13.660]  They exactly what you said. They just want it to be a camera you pick it up you shoot
[53:13.660 --> 53:14.780]  You don't worry about it
[53:14.780 --> 53:18.700]  But on the other hand some of the technology is so cool that it's going to give you the 2x camera
[53:18.700 --> 53:23.180]  But on the other hand some the technology is so cool. They can't resist talking about it
[53:23.340 --> 53:27.260]  So I think like in a perfect world, they wouldn't really talk about deep fusion
[53:27.340 --> 53:33.340]  It would just be the camera shoots and it gives you the best possible image based on when you're shooting and over time
[53:33.580 --> 53:39.420]  Right now we have smart hdr and we have deep fusion and we have night mode and they're distinct and it switches between them
[53:39.420 --> 53:45.360]  But over time it's probably going to do some amount of each of them depending exactly on where you are in the continuum
[53:45.360 --> 53:50.080]  Of lighting and they will be less distinct. But for right now people keep asking
[53:50.080 --> 53:54.880]  Well, when when do I see deep fusion and apple clearly doesn't want you to care because there's no deep fusion button
[53:54.880 --> 53:56.160]  There's no night
[53:56.160 --> 53:59.520]  Mode button, but at the same time they love the technology so much they talk about it
[53:59.520 --> 54:02.320]  So people think that they're these distinct modes. Yeah. Yeah
[54:03.280 --> 54:04.480]  um
[54:04.480 --> 54:09.460]  I still haven't done i'm kind of waiting, you know, I have I I went ahead and put ios 13.2
[54:09.460 --> 54:16.260]  13.2 developer betas on my my daily carry iphone just because because I thought what do I have to lose?
[54:16.980 --> 54:19.960]  I'm based on and I would I would say the 13.1.2
[54:22.260 --> 54:24.260]  Is okay, it's not
[54:24.580 --> 54:31.700]  A horror show of bugs point three is slightly better. Yeah, I think I'd already switched to the developer base before that. So
[54:31.700 --> 54:38.980]  So, but I just figured why not? I might as well just use this and get deep fusion as quickly as as possible. Um,
[54:39.700 --> 54:43.220]  But people are sweating almost like they're just showing these sweater pictures and saying can you see the difference?
[54:43.460 --> 54:47.540]  And I don't think you're meant to I don't think it's supposed to work that way. Yeah, I don't think so either. Um,
[54:49.460 --> 54:51.460]  Um
[54:52.660 --> 54:54.660]  Uh, I forget where I was going with that but
[54:55.620 --> 55:00.340]  Basically, I feel like apple did the right thing by going ultra wide on the 11. I think it's more fun
[55:00.340 --> 55:02.340]  I think it's more
[55:02.340 --> 55:04.340]  It's impossible to duplicate
[55:05.540 --> 55:06.820]  In software
[55:06.820 --> 55:13.620]  And I do I agree with you. I still kind of feel though that the regular iphone 11 non-pro should have a 2x button
[55:14.100 --> 55:15.140]  Yeah
[55:15.140 --> 55:18.020]  And and they could even style it differently like make it like
[55:18.820 --> 55:21.780]  A lighter color or light slightly less vibrant. I don't know
[55:21.780 --> 55:26.900]  There's some kind of some kind of indication to show that it would that it would be software only maybe I don't know
[55:26.900 --> 55:31.780]  But or maybe not maybe just software only portrait mode and they didn't really think they didn't know it any different way
[55:31.780 --> 55:32.900]  It was just portrait mode
[55:32.900 --> 55:38.900]  But just just as a convenient way to jump to an exact 2x digital zoom
[55:39.060 --> 55:42.980]  Which is an interesting perspective and you know it to me
[55:43.540 --> 55:48.500]  Yes, you can you can get there through the dial and the dial clicks a little bit at the 2x marker
[55:48.580 --> 55:54.180]  But it just as a nice way to jump there and to get the exact if that's what you want for a couple of shots
[55:54.180 --> 56:01.860]  To know that you're exactly at two point zero x and not two point one or one point nine that would satisfy me
[56:02.420 --> 56:08.660]  The the vaguely ocd parts of my brain that if i'm going to take a series of shots from this field of view
[56:09.140 --> 56:11.140]  I want it to be exactly 2.0
[56:11.540 --> 56:15.860]  I don't want it's faster than dialing it dialing. It is a little bit fidgety pressing that button is just immediate
[56:16.260 --> 56:19.060]  Yeah, it's very immediate very exact very satisfying
[56:19.060 --> 56:23.460]  uh, so I but I so it's sort of hard to defend not including it other than as
[56:24.500 --> 56:27.940]  What I call marketing spite that they just wanted to reserve that
[56:28.740 --> 56:33.620]  As a way to emphasize that the iphone 11 pro has a 2x
[56:34.260 --> 56:38.340]  An entire 2x camera system. Yeah, it's three modes instead of two. Yeah
[56:40.500 --> 56:45.060]  Here before we take another break i've got follow-up I need to mention from my last episode
[56:45.060 --> 56:48.660]  I was talking about ben ben thompson and I were talking about our
[56:49.620 --> 56:57.540]  Sort of conservative upgrade cycle to new versions of mac os and that neither of us were upgrading primary machines to catalina yet
[56:58.260 --> 57:00.180]  Uh, ben's ben waits like a year
[57:00.660 --> 57:06.980]  He's very he's very pessimistic on new mac os software quality. I'm going to upgrade sooner rather than later
[57:07.860 --> 57:10.260]  I usually wait a year but I did it this year just because I
[57:10.580 --> 57:13.220]  I could not finish the review without using it on my primary machine
[57:13.220 --> 57:16.820]  There was just too much new stuff. I mentioned looking forward to sidecar
[57:16.820 --> 57:24.420]  But I also mentioned looking forward to sidecar after extolling my my deep and abiding love for the 2014
[57:24.660 --> 57:27.060]  MacBook pro that is my daily driver
[57:28.100 --> 57:30.340]  Completely forgetting the fact that sidecar
[57:30.980 --> 57:36.180]  Requires like a 2016 macbook or later. Yeah, because it needs like the t2 chip and I knew that
[57:36.820 --> 57:42.020]  But I completely forgot it while I was talking about it and it doesn't really reduce my interest in
[57:42.020 --> 57:45.700]  My interest in upgrading this machine to catalina but a little bit it does
[57:45.860 --> 57:48.340]  Because i'm gonna have to use a different machine just to try
[57:49.460 --> 57:50.740]  sidecar
[57:50.740 --> 57:54.340]  but i'm curious what you think of sidecar sidecar of course is the feature that allows you to
[57:55.380 --> 57:57.860]  Use your ipad as an external display
[57:58.420 --> 58:02.020]  Including using the pencil for as input to a mac app
[58:03.140 --> 58:06.100]  That that can take a stylus type input
[58:06.100 --> 58:12.820]  And you as as somebody who illustrates and is a big pencil user. I'm curious, you know, have you given sidecar a good ride yet?
[58:13.540 --> 58:18.100]  Yeah, I mean I used it a lot through the beta but it was kind of hard to use because none of the apps
[58:18.100 --> 58:21.220]  None of the third-party apps could be updated to support it yet
[58:21.940 --> 58:26.260]  I like some of the features some of the stuff they say like, you know, you can just use it to sign documents
[58:26.260 --> 58:30.420]  I do that stuff directly on the ipad or just sketch in notes. I just do that directly on the ipad
[58:30.420 --> 58:34.100]  I don't need it. Maybe if i'm using the mac already, it's slightly more convenient, but
[58:34.100 --> 58:38.260]  I would just pick up the ipad and use those directly. I love it as a second screen though
[58:38.260 --> 58:43.780]  especially if i'm editing in final cut and I have like a meeting on google meet or I just wanted to have slack or
[58:44.260 --> 58:46.180]  I message up I have that all the time now
[58:46.180 --> 58:51.460]  I just put the ipad up and it's great because I can leave the full screen on final cut and I can do everything else
[58:51.860 --> 58:54.100]  On the ipad and slowly but surely
[58:54.820 --> 59:00.180]  photoshop was was tough but slowly but surely apps are updating now and I love that I can just pick it up
[59:00.180 --> 59:04.020]  Draw with the pencil put it back down go back to editing with the mouse
[59:04.020 --> 59:08.900]  I think over the next month or two as the more and more apps update. I'm just going to do that all the time
[59:10.340 --> 59:12.660]  And there's a happy little story here where
[59:13.940 --> 59:19.140]  Luna display which is a great little company that came out with these dongles
[59:21.620 --> 59:23.620]  That that go into
[59:23.620 --> 59:30.180]  The usb-c port of your newer mac or the thunderbolt port on a slightly older mac
[59:31.060 --> 59:38.100]  And trick the mac into thinking it's an entire display that's been plugged in where what it really does is just transmit the image
[59:38.340 --> 59:42.580]  To the luna display app on your ipad so that you can use your ipad as a second display
[59:44.500 --> 59:46.500]  And yeah sidecar
[59:47.060 --> 59:51.620]  To use our our our little rackets term for it sherlock to that feature pretty hard
[59:51.620 --> 59:53.620]  Because it's built into the system
[59:54.100 --> 59:59.220]  It's going to do things that an app using an app and a dongle just aren't as convenient for
[01:00:01.220 --> 01:00:04.260]  But the good news is the luna display team rather than just
[01:00:05.620 --> 01:00:11.620]  go and drink and be sad about getting sherlock to put their heads down and did a lot of work and
[01:00:12.340 --> 01:00:16.660]  Already have announced that they've got a mac to mac mode
[01:00:16.660 --> 01:00:24.740]  For luna display, which will let you use like for example a 5k imac as an external display
[01:00:25.300 --> 01:00:26.500]  wirelessly
[01:00:26.500 --> 01:00:28.500]  Which is really really cool
[01:00:29.860 --> 01:00:32.180]  A really interesting use case
[01:00:33.700 --> 01:00:37.380]  For like especially to me the one the device that really stands out as yeah
[01:00:37.380 --> 01:00:41.060]  that's this is a great way to keep that machine and your active use is the
[01:00:41.060 --> 01:00:48.740]  Like the five six-year-old iMac 5ks which still have by today's standards outstanding displays
[01:00:49.540 --> 01:00:55.220]  It's still hard. It is really hard to find a a 5k external display and with
[01:00:56.180 --> 01:00:59.220]  Like the price of like the selling price of like a 5k
[01:00:59.860 --> 01:01:04.900]  Imac even a new one is actually in the ballpark of what you might expect for, you know, you think like well
[01:01:04.900 --> 01:01:06.900]  What a waste of time
[01:01:06.900 --> 01:01:11.780]  Is actually in the ballpark of what you might expect for, you know, you think like well what a waste to have an entire
[01:01:12.340 --> 01:01:13.220]  uh
[01:01:13.220 --> 01:01:18.660]  Imac computer go to waste and just use it as a display. But when you look at the prices, it's actually not bad
[01:01:19.540 --> 01:01:22.740]  No, it's great and apples doesn't sell a standalone, right?
[01:01:22.820 --> 01:01:25.780]  and it gets like that as we head towards the the
[01:01:26.340 --> 01:01:29.620]  on the launch of the mac pro and you know
[01:01:30.260 --> 01:01:35.380]  it's like are we really going to have a scenario where the only the only first party apple display is
[01:01:35.380 --> 01:01:39.620]  A six thousand dollar x, you know pro display xdr for 6k
[01:01:42.100 --> 01:01:45.380]  What the hell am I going to do I don't you know people who don't really want to buy the lg
[01:01:46.180 --> 01:01:48.180]  Displays, you know
[01:01:48.260 --> 01:01:51.060]  it seems ridiculous to buy this expensive mac pro and then use a
[01:01:51.620 --> 01:01:53.140]  iMac as your
[01:01:53.140 --> 01:01:59.540]  Display, but it might be a good secondary display. I don't know it's I just see this as being very useful to a lot of people
[01:01:59.540 --> 01:02:00.820]  I'm glad
[01:02:00.820 --> 01:02:03.220]  Glad to see lunax still doing awesome work
[01:02:03.220 --> 01:02:06.660]  Yeah, absolutely probably get sherlocked in 1016 next year
