[00:00.000 --> 00:02.000]  How are you?
[39:29.620 --> 39:36.660]  But i've noticed that apple often calls them portables, you know portable mac. Um, but anyway, so i'll use the word portable
[39:36.660 --> 39:41.620]  But apple's portable mac lineup at times has had extraordinary clarity
[39:42.900 --> 39:48.260]  dating back to like the original little quadrant that steve jobs had in 1998 of
[39:48.900 --> 39:54.500]  look, we've got portables and desktops and we have consumer products and
[39:55.140 --> 39:57.540]  professional products and our
[39:57.540 --> 39:58.980]  portable
[39:58.980 --> 40:01.700]  Consumer product is the iBook and our portable
[40:02.740 --> 40:07.940]  Professional is the at the time power book and maybe there's multiple power books
[40:07.940 --> 40:13.140]  Usually there's multiple power books, but at least the basic idea of the lineup is has this sort of clarity
[40:14.900 --> 40:15.860]  And
[40:15.860 --> 40:21.140]  When there were pl you know, you know, maybe eight years later when there were those plastic macbooks
[40:21.140 --> 40:26.180]  Remember when they remember when the black macbook cost more than the white one even though it was the same price
[40:26.180 --> 40:28.180]  Even though it was the same material
[40:29.380 --> 40:32.980]  Oh, yeah, I had one of those I paid the black tax on that for sure
[40:33.220 --> 40:38.420]  I I never had one of those but I would have absolutely paid the black tax on that because
[40:39.140 --> 40:42.340]  I've always if I have the choice between a black and white I
[40:42.900 --> 40:44.900]  Don't think i've ever chosen
[40:44.900 --> 40:46.900]  white
[40:48.340 --> 40:51.860]  I always think of that when I think of the the premium that they charge on the new
[40:51.860 --> 40:56.820]  keyboard and mouse and trackpad for the iMac pro like it's
[40:58.340 --> 41:01.380]  Everybody knows they're cool. Everybody knows darker is cooler, but
[41:02.580 --> 41:04.740]  But that was a very clear lineup the plastic
[41:05.280 --> 41:06.820]  macbooks
[41:06.820 --> 41:13.620]  versus the aluminum macbook pros and then just looking at the specs and you know everything about them it the
[41:13.860 --> 41:18.260]  Why this one cost more than that one and why you might want one over the other was very clear
[41:18.260 --> 41:22.980]  And then I think that the clearest that the apple laptop line has ever been
[41:23.860 --> 41:28.820]  and and maybe like the it's it's just the high water mark was when the the
[41:30.100 --> 41:32.100]  The macbook air
[41:32.260 --> 41:38.420]  First took over the low end and and they didn't have anything. They no longer had a computer called just the macbook
[41:39.860 --> 41:44.500]  Maybe naming wise that didn't quite make as much sense. But when it was an 899
[41:44.500 --> 41:51.620]  899 11 inch macbook air a 999 starting point 13 inch macbook air
[41:52.820 --> 41:54.180]  and then
[41:54.180 --> 42:00.420]  Thicker heavier macbook pros of 13 and 15 at a higher price point that was to me
[42:01.060 --> 42:07.700]  Very clear and I don't know that the lower end models had ever or even since have ever been
[42:08.260 --> 42:09.460]  so appealing
[42:09.460 --> 42:11.460]  In terms of there were people who could afford
[42:11.460 --> 42:17.140]  a three thousand dollar macbook pro and we're happy with in a you know, slightly upgraded
[42:17.140 --> 42:20.500]  1199 macbook air because they actually preferred it in every way
[42:21.540 --> 42:26.020]  I was one of those people. I mean I have a right right near me right over my shoulder right now a
[42:27.620 --> 42:29.220]  an I
[42:29.220 --> 42:33.780]  Five seven maybe a macbook air 11 inch right like
[42:34.340 --> 42:37.140]  maxed out settings but in this little tiny macbook air so
[42:37.140 --> 42:42.260]  I always I always like those and and I think you're right there was there was some clarity that again
[42:42.260 --> 42:47.940]  I I keep coming back to like the the root of this the kind of original sin of this
[42:48.580 --> 42:56.500]  Seems to me in the retina transition on the laptops the macbook could the macbook design they they made
[42:56.500 --> 42:58.500]  To replace the macbook air
[42:59.540 --> 43:05.060]  Was more expensive than they thought it would be and although there's plenty of profit margin built in there
[43:05.060 --> 43:13.460]  You know that apple has some rules internally about what pro what every product has to throw off in terms of margin
[43:13.940 --> 43:20.260]  And for whatever reason that macbook ended up being way more expensive than I I suspect they intended because I gotta think
[43:20.500 --> 43:22.500]  that macbook was intended to be
[43:22.800 --> 43:26.520]  Eventually to rest at if not 999 then like 1099
[43:27.460 --> 43:31.220]  And they just haven't been able to do it. And so then there's this like well, wait a second
[43:31.220 --> 43:37.460]  We renamed this as the macbook and that's one of your big questions in your article is like what do you even call it?
[43:37.460 --> 43:43.060]  Let's assume that it's not actually a macbook air because I don't think it will be but that there's a new model
[43:43.460 --> 43:48.100]  A new model that's intended to be sub a thousand dollars assuming that there's no way for them to get
[43:48.340 --> 43:52.180]  The macbook to start at 999 which they might be able to do
[43:52.420 --> 43:57.380]  But it's so compromised that I I don't know whether people would rush to buy it like they did the macbook air
[43:57.620 --> 43:59.620]  But like let's just assume there's a new model
[43:59.620 --> 44:00.580]  and
[44:00.580 --> 44:03.300]  What name do they give it because they already took?
[44:03.940 --> 44:11.460]  generic plain macbook and put it in the 12 inch that we know and if they make like a 13 inch model, but it
[44:11.940 --> 44:13.860]  Isn't as nice and it costs less
[44:13.940 --> 44:17.380]  So you're paying more for a smaller laptop like they could do that
[44:17.460 --> 44:22.500]  but I wouldn't say that that provides crystal clarity to the line and so
[44:23.140 --> 44:28.260]  That I think that's at the root of us looking at this and scratching our heads is that um to a certain degree
[44:28.260 --> 44:32.740]  They're going to be doing I think a little bit of damage control because they just didn't quite
[44:33.220 --> 44:35.860]  It didn't happen the way they thought maybe it would happen originally
[44:36.180 --> 44:41.460]  Yeah, and I don't by any means think that the 12-inch macbook is a dud or a failure. I see a fair amount of them
[44:41.860 --> 44:46.900]  my daughter has one and she loves it and I I play around with it and I think it's really great and if I
[44:47.380 --> 44:53.300]  Wasn't using my ipad so much now. I would almost certainly have gotten that 12-inch macbook because it's so
[44:53.780 --> 44:57.460]  Uh light and you know, it's it's it's fun. It's not gonna
[44:57.460 --> 45:00.740]  You know, it's not a professional tool, but it is it's pretty great
[45:01.540 --> 45:08.180]  The screen is gorgeous and it's super small and light and it gets great battery life. Yeah. Yeah, my daughter loves her absolutely loves it
[45:08.980 --> 45:10.980]  I am
[45:11.220 --> 45:14.740]  98 percent sure that and again it you know
[45:14.980 --> 45:18.740]  This isn't this doesn't prove that he actually uses it on a regular basis
[45:18.740 --> 45:24.820]  I mean it might have been a choice but when when when there was that weird, uh, hey, we're gonna do a mac pro
[45:24.820 --> 45:31.400]  Mac pro thing at apple where they had me and panzerino and lance ullenoff and john patskowski
[45:32.100 --> 45:34.100]  And you know freed
[45:34.180 --> 45:38.100]  Um, I think that was everybody who was invited just the five of us and they were doing it
[45:38.260 --> 45:40.260]  She had a little powerpoint presentation
[45:40.900 --> 45:43.460]  For some of you know, just for what he wanted to talk through and it was
[45:44.260 --> 45:50.180]  On a macbook, uh 12-inch macbook and he was going through it and I I really do get the impression that that was his macbook
[45:50.180 --> 45:54.660]  You know that he made this, you know, because it wasn't a big deal. I mean, why wouldn't it be it was his macbook?
[45:55.220 --> 45:56.020]  um
[45:56.020 --> 45:59.140]  And he was talking about it at one point and he had it on the whole time
[45:59.220 --> 46:02.020]  And I don't know we were like an hour and five minutes into it and he like turned it around
[46:02.100 --> 46:06.340]  He was like look i've still got 99 battery life. I mean, it's it's really it's from it
[46:06.420 --> 46:09.940]  He's like I love this thing, but it really is a tremendous computer
[46:10.420 --> 46:15.220]  But I do think that there's an awful lot of people who look at it and think it's too small
[46:15.220 --> 46:19.940]  Like I think people look at a 13-inch laptop and think that's a normal laptop size
[46:21.060 --> 46:26.200]  And you know a 13-inch is actually, you know, at least by apple's 13-inch is 13.3
[46:27.380 --> 46:30.340]  uh and those little 0.3s, you know measure up like a third, you know,
[46:31.380 --> 46:36.580]  The the the 12-inch macbook looks you know, 12 and 13 don't sound like vastly different numbers
[46:36.820 --> 46:41.140]  But when you look at a macbook next to a 13-inch macbook pro it looks tiny
[46:41.140 --> 46:47.140]  Tiny truly tiny and I really feel like it might be too small to be their best-selling model
[46:48.020 --> 46:50.580]  Yeah, I think so. I mean as an 11-inch macbook air user
[46:50.740 --> 46:55.460]  It was definitely an outlier and most people thought that was a bridge too far to go down to 11 inches
[46:55.540 --> 46:57.460]  But the 13 worked for them
[46:57.460 --> 47:03.220]  yeah, and I was for years, you know, long-time listeners of the show know that I I I think my current
[47:03.540 --> 47:08.500]  30 personal 13-inch macbook pro is might be my longest running personally used
[47:08.500 --> 47:13.380]  Laptop, and if it's not it probably will be by the time I replace it because i've had it at least four years at this point
[47:14.180 --> 47:18.100]  uh and love it, but I had an 11-inch macbook air for a long time and
[47:18.900 --> 47:20.980]  Really liked it in a lot of ways. Um
[47:21.700 --> 47:26.180]  And especially when traveling man, that thing was just it's just um, it was just unbelievable
[47:26.180 --> 47:29.460]  I had I forget which you know, tom binh has like 30 different
[47:30.100 --> 47:35.140]  gazillion little over-the-shoulder bags, but I got one that was like meant for like an 11-inch air
[47:35.140 --> 47:37.140]  11-inch air
[47:38.260 --> 47:39.460]  And
[47:39.460 --> 47:45.860]  It honestly I could sometimes i'd be like getting on an airplane and I just couldn't believe how small this bag was with a complete
[47:46.660 --> 47:49.560]  MacBook setup in it. It just seemed impossible
[47:52.180 --> 47:53.620]  And you know come to think of it
[47:53.620 --> 47:58.980]  I never really thought about this before but the years when I was using that 11-inch macbook air as my travel computer was
[47:59.380 --> 48:01.060]  when my son was
[48:01.060 --> 48:02.500]  a lot younger
[48:02.500 --> 48:08.100]  And anybody who's traveled with even just I don't even just one young child you really
[48:09.140 --> 48:11.860]  You really wind up schlepping an awful lot of stuff
[48:12.580 --> 48:14.580]  in and out of cars cabs
[48:15.380 --> 48:17.380]  monorails, uh
[48:18.180 --> 48:26.740]  And airport, uh overhead bins, uh, so it sounds ridiculous to think that the difference between an 11 and 13-inch macbook air would really
[48:26.740 --> 48:32.100]  Make it but it it whether it really really did it made me think it did, you know
[48:32.260 --> 48:34.580]  It really felt like well at least i'm saving something here
[48:35.220 --> 48:40.900]  Oh, yeah, every time I open the thing up. I'm like, oh, it's so it's so small, right and and although my daughter's
[48:41.300 --> 48:46.580]  Computer does the same thing right that 12-inch macbook. So okay. So what is it then? What is this thing?
[48:46.820 --> 48:49.620]  I I would say that also that in the bloomberg story
[48:49.700 --> 48:53.220]  They don't actually say they kind of put it in the context of the macbook air
[48:53.220 --> 48:59.780]  But they don't say what what it's actually going to cost just that it's low cost and that it's sort of a replacement for the macbook
[48:59.860 --> 49:04.580]  Air, it's all very hazy like and again mark german great sources the facts
[49:04.580 --> 49:08.660]  He reports I believe are facts. I believe it, but then they have to build a story around it
[49:08.660 --> 49:13.620]  And then we all kind of add our own assumptions. So yes, what do you think like what is this thing?
[49:14.020 --> 49:19.220]  What what is it going to be right what I tried to point out when I first linked to this report was that I I?
[49:19.220 --> 49:25.540]  I maybe I should just stuck to saying this raises more questions than it answers and and there's this whole contingent of people who who?
[49:25.700 --> 49:28.500]  I point these things out about german reports publicly
[49:29.140 --> 49:33.460]  And then I get so much twitter feedback of why are you jealous? Why do you hate german?
[49:33.460 --> 49:35.700]  Why you know you it's a bad look john
[49:35.700 --> 49:39.940]  Why do you always every time german has one of these reports you shit all over it, you know, it's a bad look
[49:39.940 --> 49:44.500]  He's doing great work. He's better writer than you. I mean I get it all and that's it
[49:44.500 --> 49:49.780]  And that's it. It doesn't really bother me except that I feel like i'm being misunderstood and I worry that
[49:50.100 --> 49:51.860]  I don't worry that people are saying that about me
[49:51.860 --> 49:57.300]  I just worry that i've i'm failing as a writer because i've clearly failed to convey what i'm trying to say, which is that
[49:58.740 --> 50:04.740]  Basically this report let's just take it all as true and he usually is right and what he wrote here
[50:04.740 --> 50:06.740]  I wouldn't be surprised if it's word for word true
[50:07.140 --> 50:11.060]  Raises a lot more questions than it provides answers and i'm not criticizing him
[50:11.060 --> 50:14.340]  you know, he's got a scoop here that nobody else seems to have but
[50:16.420 --> 50:18.420]  You know either his source
[50:19.140 --> 50:25.700]  Doesn't know the spec knows that it's coming out and knows that it's supposed to be low cost and knows that it looks quote similar
[50:26.100 --> 50:28.100]  to the current macbook air
[50:28.420 --> 50:33.540]  And doesn't know anything else or he has a source who does know more but wasn't willing to tell him more
[50:34.260 --> 50:36.260]  Or wasn't willing to tell him more
[50:36.260 --> 50:43.300]  For publication, you know, there's all sorts of ways that that could work out where and and I feel like what some people who and
[50:45.460 --> 50:50.980]  People aren't supposed to know the inside baseball and it's like the the people who compliment me sometimes when I write things like this
[50:51.140 --> 50:55.940]  Are like colleagues, you know, and I say hey that was good when you called that out or on something something
[50:56.420 --> 50:57.540]  um
[50:57.540 --> 50:59.540]  what people you know
[51:00.260 --> 51:04.420]  Who aren't in the industry who aren't writers don't really think about is they don't think about
[51:04.420 --> 51:07.220]  Who the source is I read this story and I immediately think well
[51:07.220 --> 51:12.180]  Who's who could possibly be the source for this and why wouldn't they know more and then I immediately think oh wait
[51:12.260 --> 51:15.540]  they might know more and either didn't tell him or
[51:16.580 --> 51:17.940]  uh
[51:17.940 --> 51:21.380]  Or told him and and insisted that he couldn't publish more than what he did
[51:21.780 --> 51:25.540]  Yeah, my gut feeling with all of these and I agree with you. Um
[51:26.260 --> 51:31.700]  The always ask why somebody's giving the information out and right who who they are
[51:31.700 --> 51:37.780]  Because that's like fundamental like every time that there's like a controversial thing about a project that's been killed or something like that. It's like
[51:38.340 --> 51:40.900]  Who would be motivated to do that? So just something like this
[51:40.900 --> 51:47.540]  I imagine the way apple is is siloed that this is somebody who has heard or knows a little bit
[51:47.700 --> 51:52.260]  But doesn't know the whole story and they they're happy to give mark german tidbits, right?
[51:52.260 --> 51:55.860]  It's like literally all they know and I think german again
[51:56.580 --> 52:00.340]  I really think highly of him. I think he does a great job as a reporter
[52:00.340 --> 52:04.020]  I think in the context of bloomberg as opposed to back when he was on nine to five mac
[52:04.820 --> 52:06.820]  Bloomberg wants him to
[52:07.300 --> 52:13.140]  Write these kind of larger narratives in which his stuff is embedded and it can lead to
[52:14.020 --> 52:19.940]  Us all looking at the story and going wait a second. There's a thousand words here, but there's really like five facts
[52:20.660 --> 52:26.340]  And I I think it doesn't you know, sometimes those stories are really great when he's got a lot of extra tidbits
[52:26.340 --> 52:33.380]  But when he doesn't have a lot of extra tidbits it comes across that they're trying to create kind of a really thin gruel, right?
[52:33.380 --> 52:38.820]  They're they're trying to stretch their what they've got by putting in a lot of water or a lot of filler
[52:38.820 --> 52:42.820]  And I think this is a good example of that because we we don't know a lot
[52:42.820 --> 52:46.820]  He doesn't know a lot but he has some tidbits like he's he's basically saying and I believe i'm like
[52:47.380 --> 52:53.380]  Low-cost laptop coming into the mac line gonna happen like totally great. But um, whoever he talked to
[52:53.380 --> 53:00.340]  Whoever he talked to you're right either wouldn't say or I think more likely doesn't know because like above
[53:00.580 --> 53:06.200]  It's above their pay grade like they they're working in a part of apple where they got like a little bit of a glancing
[53:06.980 --> 53:12.660]  Blow like where they're like, I I know just enough but no more because those people are probably
[53:13.300 --> 53:15.860]  either aware that they're being surveilled or
[53:16.580 --> 53:20.260]  Are are very good employees who want to make sure that it's a secret, right?
[53:20.260 --> 53:24.660]  Um, so just to reiterate for anybody, you know, I'll go over this in my article
[53:24.660 --> 53:30.260]  but it's good to talk about but like the actual facts about this machine that he that his report lists and it is I should
[53:30.260 --> 53:34.100]  Add it is uh, co-bi-lined with debbie woo at bloomberg
[53:35.140 --> 53:40.820]  So we're making some assumptions here about the sources coming from german and who knows they could have come from debbie woo
[53:41.300 --> 53:43.140]  So it you know
[53:43.140 --> 53:48.820]  no slight intended but I don't you know, I think most people assume that the the sources are german's and maybe
[53:48.820 --> 53:54.980]  Some of the rest of the narrative comes from her but so we'll just say bloomberg. We don't know. Yeah, right. We don't know but
[53:56.260 --> 53:58.980]  Apple will release a new low-cost laptop
[54:00.340 --> 54:07.700]  And a professional focused upgrade to the mac mini desktop later this year. All right, we can get back to the this new mac mini later
[54:09.540 --> 54:11.540]  Next paragraph or you know, uh,
[54:11.540 --> 54:18.500]  According to people familiar with the plans the new laptop will look similar to the current macbook air
[54:18.820 --> 54:25.540]  But will include thinner bezels around the screen the display which will remain about 13 inches will be a higher resolution
[54:25.620 --> 54:29.220]  quote retina version that apple uses on other products that people said
[54:30.180 --> 54:31.540]  And that's it
[54:31.540 --> 54:36.420]  That is literally the entire description of this and the the thing, you know
[54:36.420 --> 54:42.180]  And the the thing, you know, like I said, I have I have these assumptions that apple wants to get back
[54:42.580 --> 54:45.860]  To a simple lineup of macbooks and macbook pros
[54:46.900 --> 54:52.260]  uh, you know one two, uh, that may be a bad assumption and i've revisited
[54:52.900 --> 54:57.940]  Um, I think there's an awful lot of people out there. I know that there's a lot of people I hear it on twitter
[54:58.020 --> 54:59.940]  I hear it see it in my email from daring fireball
[54:59.940 --> 55:05.860]  I know that there are a lot of people who for three or four years have been clamoring for one specific thing
[55:05.860 --> 55:11.380]  just take the macbook air and put a retina display on it that the one and only thing they don't like about the macbook air as
[55:11.380 --> 55:13.860]  Apple has continued to sell it is the lack of a
[55:14.820 --> 55:18.500]  Retina display. Yeah, and I even saw people I don't know at this point
[55:18.500 --> 55:24.180]  I think enough years have gone by that people sort of expect now that a retinum macbook air would would take over at
[55:24.660 --> 55:28.180]  999 and I think I think looking at the market that's reasonable
[55:28.820 --> 55:35.460]  Especially for a retina display like there's all sorts of other technologies that have cryptin to displays like higher brightness
[55:35.460 --> 55:37.460]  levels and uh
[55:38.100 --> 55:44.100]  Significantly wider color gamuts and now we even have i'm looking at one right now one with true tone
[55:45.380 --> 55:49.860]  Apple could fulfill the number one thing though that people want is is retina, you know
[55:49.940 --> 55:55.860]  So it could be a lower cost retina that doesn't have a true tone and maybe the wide color gamut or something like that
[55:56.260 --> 55:58.260]  And most people would be just fine with that
[55:58.580 --> 56:03.220]  Um, they just all they want is just take a macbook air and stick a goddamn retina screen on it
[56:03.220 --> 56:05.220]  I mean and there's a lot of people yeah
[56:05.380 --> 56:10.260]  Who've wanted that for a while who still want it and when they read this report from Mark Gurman?
[56:11.140 --> 56:17.700]  What they read was apple is going to take the macbook air and stick a retina screen in it and lower the you know
[56:17.940 --> 56:19.940]  Smalling up the bezels. Yeah
[56:20.500 --> 56:25.140]  It doesn't follow especially since the way that it's phrased like looks similar to the macbook air
[56:25.140 --> 56:29.620]  Oh, do you mean that it's gonna be an aluminum laptop? I mean come right like
[56:30.100 --> 56:32.100]  They all look like the macbook air
[56:32.100 --> 56:34.100]  right
[56:34.900 --> 56:40.340]  In some sense every computer apple makes right now looks similar to the macbook air, uh the 13th
[56:41.700 --> 56:44.180]  Maybe if we want to you could rule out the 15-inch, right?
[56:44.180 --> 56:49.700]  You could say 15-inch doesn't look like the macbook air except you could say it looks like a bigger macbook air
[56:50.420 --> 56:51.380]  Yeah, right
[56:51.380 --> 56:54.820]  So i'm not sure I kind of discount that like looks kind of like the macbook air
[56:54.980 --> 56:58.420]  Statement as being almost no information like right we can just discount that
[56:58.420 --> 57:05.540]  Um, but it is I agree. I mean, it's funny the things that people want to and don't want like
[57:06.020 --> 57:08.900]  For lots of good reasons like usba ports magsafe
[57:09.140 --> 57:16.340]  Uh sd card slot like there's so many reasons other than the retina screen and the fact that it is a a processor architecture
[57:16.420 --> 57:19.300]  that would the whole internals would have to be redone because
[57:19.620 --> 57:23.700]  They have run out of road on that processor and they want a more modern processor in there
[57:23.860 --> 57:27.540]  But I feel like what you and I know about apple is if they're going to put time into doing a new
[57:27.540 --> 57:34.100]  Piece of hardware they want to be able to ride it for a few years and uh to rebuild the internals of a macbook air
[57:34.100 --> 57:40.100]  And yet keep everything else the same. I just I can't imagine them doing that which is if I had to guess today
[57:40.100 --> 57:44.580]  I'm, just and I may I I reserve the right to go back on this immediately like while we're talking
[57:44.660 --> 57:48.820]  But if I had to guess today, what I would say is they're going to do two things
[57:49.300 --> 57:54.100]  They're going to I mean they'll update the macbook right and hopefully maybe even cut the price on it a little bit
[57:54.100 --> 57:59.540]  But I think they're going to do two other things. I think I want to predict who knows what I have no information
[57:59.540 --> 58:04.100]  I'm, just guessing that they really want to kind of push that macbook escape down
[58:05.060 --> 58:07.060]  Maybe even take the name pro off of it
[58:07.540 --> 58:08.420]  um
[58:08.420 --> 58:12.580]  And that would be a good kind of like macbook companion
[58:12.660 --> 58:18.180]  There's the macbook 12 and the macbook 13 and here they are and then there's going to be another model
[58:18.180 --> 58:23.700]  With a probably a different name that is going to cut lots of corners
[58:23.860 --> 58:31.160]  It's going to use stuff that is not up to the up to the level of the of the um hardware that's in the other laptops
[58:31.780 --> 58:32.900]  and
[58:32.900 --> 58:36.980]  That's going to allow apple to maintain margin and be under a thousand and I don't know what you call that
[58:36.980 --> 58:38.900]  I still think it's not going to be like a hunk of plastic
[58:38.900 --> 58:40.900]  It's still going to be an aluminum enclosure
[58:40.900 --> 58:45.060]  But if I had to guess based on this german report and the other reports that we've seen
[58:45.060 --> 58:48.100]  That they may have just finally at some point said, you know what?
[58:48.500 --> 58:55.620]  We just need to make a an official cheap not as good laptop to replace the air, but I still think it's going to have usbc
[58:56.340 --> 59:02.180]  And you know and charged by usbc and all of the things that are in modern mac laptops
[59:02.260 --> 59:07.140]  I don't think they're gonna just make a macbook air with a new chip inside and a retina screen, right?
[59:07.220 --> 59:09.380]  Even though I think that that's what a lot of people in fact
[59:09.380 --> 59:12.260]  Even after I wrote it and tried to make the case against that people are like well
[59:12.260 --> 59:16.180]  I hope you're wrong and they still do that and it's like well, I wish you good luck and you know
[59:16.180 --> 59:22.020]  And of course the other thing people along those exact same lines that people are very adamantly hoping
[59:22.500 --> 59:24.580]  Will not change is the keyboard
[59:25.860 --> 59:29.300]  And yeah, oh, yeah. I just don't think that's no I I get it
[59:29.380 --> 59:33.380]  I totally you and I you said in your piece like we totally get it. I wrote a piece
[59:34.260 --> 59:38.260]  Earlier this year for macworld called something like macbook air. Why won't it die and people are like
[59:38.260 --> 59:40.260]  Why are you trying to kill the macbook air and i'm like no no no
[59:40.260 --> 59:44.020]  No, the piece is basically like people won't let it die
[59:44.020 --> 59:48.900]  They keep buying it because they like it and they like magsafe and they like the keyboard and they like the sd card slot
[59:48.900 --> 59:54.100]  And they like usba like all of these things that apple thought were like selling points of the new generation of laptops
[59:54.260 --> 59:56.260]  And people are like, yeah, not really
[59:56.260 --> 01:00:00.740]  And the only things you can say are the processor could be faster and it should have a retina display
[01:00:00.740 --> 01:00:04.260]  So, you know totally get it. I just don't believe that apple
[01:00:04.260 --> 01:00:10.340]  Will would put in all that effort to just make kind of a new version of five years ago's laptop
[01:00:10.340 --> 01:00:15.140]  Which is what kind of word we're saying it would be. Yeah, and you know
[01:00:15.700 --> 01:00:18.660]  It is funny because I know that there's I think there's a dell
[01:00:19.300 --> 01:00:25.700]  Where you know like the bezels surrounding the current macbook pros, uh, these new latest ones
[01:00:26.260 --> 01:00:29.860]  Are significantly smaller than the bezels on any macbook apple's ever made
[01:00:30.820 --> 01:00:32.340]  and I
[01:00:32.340 --> 01:00:34.340]  um, and I
[01:00:34.820 --> 01:00:38.900]  Strongly suspect that if this new thing is a low cost
[01:00:39.620 --> 01:00:41.300]  um
[01:00:41.300 --> 01:00:46.900]  Computer that the bezels that's about the best you can hope for but there are other laptop makers out there
[01:00:47.060 --> 01:00:53.380]  Like I think dell in particular, um who have laptops with bezels that make even the macbook pros look small
[01:00:53.860 --> 01:01:00.420]  Um, you know, everybody's in phones tablets everywhere. Everybody's in a race to get edge to edge screens
[01:01:00.420 --> 01:01:03.220]  Um, you know and aesthetically I can see why
[01:01:03.940 --> 01:01:05.460]  um
[01:01:05.460 --> 01:01:13.060]  But even if you know and then you look at the air and the air as we know it today really does have ancient looking
[01:01:13.300 --> 01:01:15.300]  Bezels, they're not even it
[01:01:16.020 --> 01:01:22.660]  They're not even black, you know, there's like this big gray thick picture frame around the display. Yeah. I mean it is it is
[01:01:22.660 --> 01:01:29.620]  Very old display tech because they never changed that screen and there's nice things about it because it's the super thin
[01:01:29.860 --> 01:01:33.060]  Uh, I always liked it because I thought it was had much less glare
[01:01:33.620 --> 01:01:36.500]  On it than the full sheet of glass on a macbook pro
[01:01:36.500 --> 01:01:39.140]  I always liked the display on it other than the fact that it's not retina
[01:01:39.140 --> 01:01:45.300]  It's still like really nice but you the trade-off is that you get rid of that whole edge to edge sheet of glass
[01:01:45.300 --> 01:01:47.300]  But it means you got a big silver
[01:01:47.540 --> 01:01:52.340]  You know rectangle that you're looking through to see your screen and that's how I mean that's how
[01:01:52.340 --> 01:01:57.540]  I mean that is that's apple design styling of like eight years ago ten years ago. It's super old, right?
[01:01:57.620 --> 01:02:00.340]  So I can't imagine them sticking with something like that
[01:02:00.660 --> 01:02:02.980]  Um technology has also advanced a lot in 10 years
[01:02:02.980 --> 01:02:06.500]  So I think that the kind of thing that they would use may be more akin to a macbook
[01:02:06.580 --> 01:02:10.180]  But I do keep coming back to the I was thinking about the microsoft. Um
[01:02:10.740 --> 01:02:15.060]  Surface laptop, uh surface notebook. I forget what it's called, but it's the one that's a pure laptop
[01:02:15.060 --> 01:02:19.700]  It's not a not a tablet or a convertible. It's the laptop and they got that to start at 999
[01:02:19.700 --> 01:02:23.620]  Yeah, and it looks very much like a macbook air. But how did they do it? It is this
[01:02:24.020 --> 01:02:26.020]  uh to take a word from the
[01:02:26.020 --> 01:02:30.340]  The car world it's decontenting where it's just like its specs are terrible
[01:02:30.820 --> 01:02:37.460]  But it starts at 999 and I do have that question sometimes of like would apple in the tim cook era
[01:02:37.700 --> 01:02:44.100]  Do something that apple kind of has shied away from in the past which is to make an entry-level system where the specs are really not
[01:02:44.820 --> 01:02:47.860]  Very good apple tends to sort of say no no below here
[01:02:47.860 --> 01:02:50.980]  we're not going to even go because it's not a good enough experience, but
[01:02:51.460 --> 01:02:56.820]  It would be one way to get those laptops down under a thousand because that's what microsoft did and like you look at that
[01:02:57.040 --> 01:02:59.040]  999 surface laptop
[01:02:59.060 --> 01:03:02.980]  And you don't want it you like you don't want that model you want one
[01:03:03.060 --> 01:03:09.240]  That's a couple hundred dollars more, but they can say that it starts at 999 and that's important for you know, buying psychology
[01:03:09.380 --> 01:03:13.540]  But I do fear like all the schools that are like, yeah, that's great. We're gonna get that laptop
[01:03:13.540 --> 01:03:19.380]  It's like no you don't want that laptop if schools are even buying surface laptops. They probably aren't they're probably just buying chromebooks
[01:03:19.620 --> 01:03:21.620]  I think you're talking about the surface book
[01:03:22.020 --> 01:03:27.540]  Surface book. That's it. Yeah, the one it's it's not the one where it like has the weird bendy hinge
[01:03:27.940 --> 01:03:30.660]  It's the one that's just a macbook air. It's a it's just a
[01:03:31.360 --> 01:03:33.300]  microsoft macbook air
[01:03:33.300 --> 01:03:39.460]  Yeah, I think but I know what you mean and to some extent apple has clearly already been doing that by continuing to sell this
[01:03:39.460 --> 01:03:43.860]  MacBook air the macbook air when you go in and say I want the 999 macbook air
[01:03:44.020 --> 01:03:47.440]  You're not just getting a non-retina screen, which is really
[01:03:48.020 --> 01:03:52.300]  It in my opinion embarrassing in 2018, but it only has eight
[01:03:52.860 --> 01:03:56.740]  Gigabytes of RAM it you can't even build the order to get more RAM
[01:03:56.940 --> 01:04:02.040]  Literally the macbook air every macbook air gets eight gigs of RAM and you'll like it
[01:04:02.820 --> 01:04:08.160]  and the default one only has 128 gigabytes of SSD storage, which I think is I
[01:04:08.160 --> 01:04:09.940]  Mean, it's not terrible
[01:04:09.940 --> 01:04:16.380]  I know that the way that SSD doubles in these powers of two that going from 64 to
[01:04:16.740 --> 01:04:22.780]  128 got got got them over the hump of being usable for people as their main computer
[01:04:23.040 --> 01:04:25.940]  But 128 is pretty bad today like here
[01:04:25.940 --> 01:04:30.060]  But I wouldn't be surprised that I wouldn't be surprised to see night to hit that
[01:04:30.260 --> 01:04:37.060]  999 mark if the new one, you know comes out and still is at 128 for that 999 config and so real-time follow-up
[01:04:37.060 --> 01:04:38.700]  It's the surface laptop
[01:04:38.700 --> 01:04:42.840]  Okay surface laptop and it's the one that's got the kind of fabric cover on it
[01:04:42.840 --> 01:04:47.700]  Oh, yeah, it's a laptop and it looks kind of like a macbook air and it actually starts at 799
