[00:00.000 --> 00:04.640]  So where to start I say we let's just talk about Renee Ritchie. Let's talk year in review. Yes
[34:48.420 --> 34:50.800]  I was sitting there with the Nexus 4 or 5
[34:51.100 --> 34:54.500]  trying to use Gmail and just cursing out loud and Brian Klug from
[34:54.700 --> 34:56.500]  formerly of an antac came over and
[34:56.500 --> 35:02.060]  Quickly put it in developer mode and the screen went bright red and he said that's because they're redrawing every cell four or five
[35:02.060 --> 35:07.340]  Times trying to hope that it would stick and it's just and their graphics their own graphics engineers couldn't get their own
[35:07.740 --> 35:10.140]  Gmail engineers to properly code all of it
[35:10.140 --> 35:15.260]  I think that's why they've really locked things down now with material design and and all the new things
[35:15.260 --> 35:21.100]  But it took them four or five years to fix the massive architectural problems that were causing poor interaction
[35:21.100 --> 35:27.160]  Right and the difference with web OS is that web OS right from the get-go it had performance problems because of the whole
[35:27.160 --> 35:32.120]  architecture of building it on top of like a WebKit rendering engine and
[35:33.080 --> 35:35.080]  combined with the
[35:35.360 --> 35:37.920]  state of mobile hardware in
[35:38.560 --> 35:42.200]  What was it 2009 when when when the pre came out? Yeah
[35:43.760 --> 35:48.960]  But I you know in terms of an an elegant software interface
[35:48.960 --> 35:51.960]  I mean, I mean you could still it to this day
[35:51.960 --> 35:58.560]  I think you could argue that the way that web OS handled notifications is the best design anybody's come up with absolutely
[35:58.560 --> 36:00.560]  There's synergies. I mean it was almost
[36:00.960 --> 36:06.680]  the fringe universe version of the iPhone if if John Rubenstein had won the keyboard argument or
[36:07.200 --> 36:07.960]  What's his name?
[36:07.960 --> 36:13.520]  It won the the Linux argument or if the people who wanted to use WebKit as the interface instead of creating UI kit had
[36:13.520 --> 36:16.440]  Won that argument that could have been an Apple product, right?
[36:16.440 --> 36:22.440]  Tony said Tony Fidel. Yeah, but instead they all ended up at palm making except for Fidel Rubenstein and and the web
[36:22.440 --> 36:26.640]  What the WebKit engineers ended up at palm making their version of the iPhone? Yeah, absolutely
[36:26.800 --> 36:33.200]  I I if you would have shown if you would have taken a palm pre back in time to
[36:34.200 --> 36:35.520]  You know
[36:35.520 --> 36:36.760]  1998
[36:36.760 --> 36:41.720]  1997 and shown it to my then self and said what come you know, this is a product from 2009
[36:41.720 --> 36:46.720]  What company made it, you know scrub the logos off? I would have guessed Apple. Yeah without question
[36:46.720 --> 36:53.000]  Especially if you just showed me the software and not the hardware the hardware was a lot less appley
[36:53.000 --> 36:57.880]  But the software was extremely appley in my opinion everything from the font choice
[36:58.520 --> 37:06.360]  To you know the roundness, you know, the rounded corners of the screen the rounded corners of the cards on the screen
[37:07.080 --> 37:08.360]  I
[37:08.360 --> 37:13.400]  Think it was a very Apple DNA product software-wise. I've never seen the p1 phone
[37:13.400 --> 37:15.400]  this Fidel's group was working on but in
[37:15.680 --> 37:20.440]  I've always suspected that if that had been the phone that had got the gone ahead of some reason p2 hadn't worked out and
[37:20.960 --> 37:25.800]  Forestalls group hadn't been able to make the iPhone that could have ended up being very similar to what the palm pre was
[37:25.800 --> 37:26.280]  Yeah
[37:26.280 --> 37:33.460]  And so it's interesting to think hypothetically what would have happened if Google had purchased that somehow obtained web OS instead of Android
[37:33.460 --> 37:39.120]  And pushed for it because in some sense the problems that web OS had were I think
[37:39.600 --> 37:46.320]  Not solvable by throwing money at them, but more easily solved by throwing money at that than Android
[37:46.520 --> 37:53.640]  Because with the Android it was to me fundamentally the fact that it was designed at the outset as a sort of blackberry
[37:54.440 --> 38:01.420]  Style, you know that it was gonna you know, a blackberry style mobile interface keyboard up down left right select
[38:01.420 --> 38:03.420]  and
[38:03.460 --> 38:05.220]  Therefore had no
[38:05.220 --> 38:13.500]  No, no at a foundation level aspect of a rich graphical interface with playful animations and high frame
[38:13.500 --> 38:18.820]  Rates and stuff like that. I've told the story before but when I reviewed the g1 the very first Android phone that came out
[38:18.820 --> 38:22.300]  I turned on the snake game and it said press up to start and I tried, you know
[38:22.300 --> 38:24.740]  Swiping up on the screen then I tried pressing the up arrow key
[38:24.740 --> 38:29.220]  Then I tried pressing the up joypad and then I tried pressing up on whatever the other thing was on the other side
[38:29.220 --> 38:32.060]  I tried eight different ways of signaling up and I couldn't get it to work
[38:32.060 --> 38:37.180]  But there were eight different ways of signaling up right and that to me to find the very early years of Android
[38:37.180 --> 38:42.460]  You know, I remember too that it was the only way to select text was to use the up down left, right?
[38:42.460 --> 38:46.220]  There was no way to touch on the screen to select text you had to
[38:46.960 --> 38:48.960]  You know more or less use like arrow keys
[38:49.260 --> 38:54.780]  And the original one you'd close the keyboard and there'd be the juke the Google search box just blinking at you wanting you to put
[38:54.780 --> 38:59.220]  Text, but there was no virtual keyboard so you couldn't input text. I remember that too
[39:00.860 --> 39:06.700]  And that's one of the problems they were facing and and palm was a tiny team and they coded circles around Google when it came
[39:06.700 --> 39:08.700]  to phones in 2009
[39:09.900 --> 39:14.740]  So anyway, that's an interesting what-if it's and to me it's of the last
[39:15.660 --> 39:17.660]  of the of the
[39:17.860 --> 39:23.620]  Post PC era, you know from tooth mid 2007 on the great tragedy of the whole thing
[39:23.620 --> 39:29.340]  Is is that web OS never, you know didn't get a long enough time to try to gain a foothold agreed
[39:29.900 --> 39:35.860]  you know, I mean I I think it was a more elegant design than Windows Phone and
[39:36.380 --> 39:41.640]  So just imagine if they had had somebody with the wherewithal that Microsoft has shown with
[39:42.220 --> 39:47.380]  Windows Phone to stick behind web OS, you know and you know
[39:47.380 --> 39:51.180]  Push the software forward break some of the bottle performance bottlenecks
[39:51.180 --> 39:55.140]  But also just let Moore's law help you out
[39:55.660 --> 40:00.420]  Year after year, you know, two three years later web OS I think would have been a lot more
[40:02.100 --> 40:06.100]  It without even any software optimizations would have been a lot more tenable
[40:06.700 --> 40:13.740]  Performance wise absolutely. They had no secondary source of income Apple had Mac money originally Google had search money even Samsung had appliance money
[40:14.220 --> 40:17.140]  Palm and now blackberry they have no additional sources of income
[40:17.140 --> 40:22.180]  And so everything becomes everything becomes bet the company every phone you put out becomes bet the company. Yeah
[40:22.740 --> 40:29.060]  Alright, let me take a break and thank our first sponsor this week and it is our very good friends at back blaze
[40:29.980 --> 40:35.740]  You guys know back blaze unlimited un-throttled backup for Mac. They have over
[40:36.300 --> 40:39.260]  100 petabytes of total data backed up
[40:39.620 --> 40:43.180]  They just crossed the 6 billion files restored mark
[40:43.180 --> 40:50.380]  That means users of back blaze have used them to restore or download or get on another device over 6
[40:50.780 --> 40:52.780]  billion files
[40:53.380 --> 40:56.940]  They have an iPhone app that lets you access and share any of your files
[40:57.220 --> 41:01.140]  So when your Mac backed up to back place, you're out and about all you have with you is your phone
[41:01.980 --> 41:07.300]  And you want to get a file from your Mac just log into just open the back blaze app and there's all your files
[41:07.340 --> 41:09.680]  Get it. You can email it to someone right from there
[41:09.680 --> 41:12.480]  No need to do anything more complicated than that couldn't be easier
[41:13.440 --> 41:17.320]  You can restore one file or all your files easily
[41:18.560 --> 41:26.080]  with their web restore 25% of all back blaze restores are for just one file so it's not just for
[41:26.080 --> 41:32.880]  Computer disasters, but if you do have a computer disaster, somebody steals your Mac. Somebody breaks in your house takes takes your
[41:33.840 --> 41:35.520]  Takes your Mac takes your backup drive
[41:35.520 --> 41:42.160]  Takes your backup drive your roof leaks water leaks all over your computer ruins your hard drive ruins your time machine
[41:44.240 --> 41:50.160]  You need to you know true total disaster you can just you don't have to wait and download all of your stuff from back blaze
[41:51.120 --> 41:56.640]  Over the internet you could just go there say put it all on a USB hard drive and boom
[41:56.640 --> 41:59.360]  They'll fed exit to you and you know, like a day or two later
[41:59.360 --> 42:05.600]  There's a USB hard drive with all of your files on it ready for you to restore to a new computer
[42:06.400 --> 42:09.880]  software's written by the company's founded by Apple X
[42:10.680 --> 42:11.880]  engineers
[42:11.880 --> 42:14.560]  The software runs totally native on your Mac
[42:15.600 --> 42:18.200]  Runs great on Yosemite runs great on Mavericks
[42:18.960 --> 42:24.080]  Couldn't be installed more easily couldn't be more invisible in the background while it's running
[42:24.080 --> 42:30.720]  Just great great service for an amazing price five bucks a month per Mac
[42:31.280 --> 42:37.760]  unlimited no limits on how much data you can upload five bucks a month so you can get a risk-free
[42:38.320 --> 42:42.800]  No credit card required trial by going here back blaze.com
[42:43.760 --> 42:45.760]  slash daring fireball
[42:45.760 --> 42:49.200]  It you're nuts if you haven't done it and if you're listening to this over the holidays
[42:49.200 --> 42:54.080]  Sign sign your parents up for it. Just go to when you're at your parents house or for Christmas or whatever
[42:54.400 --> 42:58.480]  Just sign them up for back blaze and and give it to them. It's a great little gift
[42:59.200 --> 43:03.040]  They won't thank you for it until they need it. But then when they need it, they'll think you're a superhero
[43:03.040 --> 43:05.200]  So put all your all your relatives on back place
[43:06.240 --> 43:11.360]  My thanks to them. So the first big Apple news of the year 2014 really didn't come to
[43:12.000 --> 43:16.640]  WWDC. Yeah, but what an event? Yeah, I think it was it's certainly
[43:16.640 --> 43:18.640]  it still seems like
[43:19.280 --> 43:22.320]  It doesn't seem like as long ago as it doesn't feel like six months ago
[43:23.360 --> 43:28.100]  No, it was amazing because I was sitting with you and uh, Jason Snell and John Siracusa
[43:28.960 --> 43:34.960]  And different people were just lighting up at different parts of that event. It was just a palpable reaction for them
[43:36.640 --> 43:41.920]  Siracusa and Swift, right? Well, he turned to Snell he goes am I dreaming because if I'm you should tell me because I might be in
[43:41.920 --> 43:43.920]  A fugue state. I don't know if this is real or not
[43:43.920 --> 43:46.640]  Please tell me that I'm actually listening to what I'm listening to
[43:48.080 --> 43:54.560]  That was certainly big news, you know, I was eight and Yosemite it was the first time we got a look at Yosemite
[43:57.760 --> 43:59.760]  And I think you know
[44:01.680 --> 44:03.680]  Certain
[44:03.680 --> 44:05.680]  How should we say it?
[44:06.080 --> 44:10.160]  Not like a specific, you know, like here's three lines of code
[44:10.160 --> 44:16.980]  Copy these exactly. This is how you do x the recommended way but more in terms of like broad strokes philosophy
[44:17.760 --> 44:22.720]  I think apple started pushing a couple of new things not necessarily for the first time but
[44:23.360 --> 44:29.200]  Two examples I can think of was the heavy focus on dynamic user interface layout. Yeah
[44:30.560 --> 44:33.760]  Clearly pre-shadowing, you know pre, you know
[44:33.760 --> 44:40.080]  In in the run-up to the iPhone 6 and 6 plus
[44:42.080 --> 44:44.400]  But I think in the long run more
[44:45.440 --> 44:51.840]  Envisioning a world of iOS devices where there's a continuum of screen sizes, you know
[44:51.840 --> 44:55.280]  And who knows maybe eventually something smaller than four inches
[44:57.680 --> 44:58.640]  And
[44:58.640 --> 45:02.960]  You know by all accounts maybe one of the things you know that we'll be hearing about in 2020
[45:02.960 --> 45:09.040]  Early parts of 2015 would be a bigger screen some kind of ipad that's bigger than 9.7 inches
[45:09.680 --> 45:13.120]  and not having to you know code a
[45:14.400 --> 45:18.720]  Custom user interface for each size in that continuum. It's a definite
[45:18.720 --> 45:23.520]  it's a huge change from the way iOS development was until recently and it's you know,
[45:24.320 --> 45:27.520]  It wasn't just about supporting the iPhone 6 and 6 plus
[45:28.480 --> 45:29.440]  The way I look at it
[45:29.440 --> 45:33.040]  The way I look at it, there's there was the introduction the sorry the integration theme
[45:33.040 --> 45:37.360]  Which we'll probably get to but the other big theme was this transition from push from pull to push
[45:37.760 --> 45:42.400]  where previously the interface was locked to the device and then slowly but surely with things like
[45:42.780 --> 45:47.600]  Airplay and carplay and now watch kit the interface is actually decoupled
[45:47.600 --> 45:50.800]  So you have the logic on one device and the interface going somewhere else
[45:51.120 --> 45:55.040]  Or you have the logic for the app of the interface being able to be flexible between you know
[45:55.040 --> 46:00.160]  The four inch screen size 4.76 inch now that you have split view controllers on the iPhone 6 plus
[46:00.240 --> 46:01.760]  It's sort of like a mini ipad
[46:01.760 --> 46:08.000]  So like you said it can scale across those things but it's it's all sort of one central part of logic
[46:08.320 --> 46:12.880]  And then you add extensibility to it where previously you had to hunt around your iphone for anything
[46:12.880 --> 46:17.520]  You had to go between six different photo apps just to just to get the effects you wanted you had to
[46:17.840 --> 46:21.680]  Leave to to reply to a message you had to leave if you wanted to share to tumblr
[46:21.680 --> 46:24.160]  You couldn't do that from where you were you had to go to the tumblr app and do it
[46:24.160 --> 46:28.720]  And now all of that functionality has come to one place all of that is now independent
[46:28.720 --> 46:34.560]  You have these remote views and to me that's made that that sort of severing of that one unit into these more modular parts
[46:34.800 --> 46:37.280]  Has really made a huge difference not just in my workflow
[46:37.280 --> 46:42.160]  But where I think apple could take all these I think it's the first big hint of much larger plans
[46:42.240 --> 46:44.240]  They have moving forward with these devices
[46:44.240 --> 46:51.600]  Right and you mentioned both carplay which is that's how carplay works where carplay is a dumb terminal effectively
[46:51.600 --> 46:58.640]  and you know take your iphone out of bluetooth range and the only thing the screen is going to show you in your car is
[46:58.640 --> 47:05.920]  The the stuff from the manufacturer you're not going to get any of the apple play stuff or carplay stuff. No ios at all
[47:08.560 --> 47:16.000]  It's only a it's really just effectively a projector your iphone is doing all of the computation your iphone is all of the storage
[47:16.000 --> 47:23.360]  Your iphone is doing the networking for anything that's coming over cellular and the only thing that the screen in your car
[47:23.360 --> 47:31.200]  Does is show you what the iphone is showing and report back to the phone where you're stabbing your fingers at it. Yeah
[47:32.880 --> 47:36.000]  And the watch, you know as we now know and as you know
[47:36.720 --> 47:41.520]  Countless people have have you know the the initial watch kit sdk shows
[47:41.520 --> 47:47.600]  For the first round of third-party apps pretty much works the same way. You don't get to run any code
[47:47.600 --> 47:53.520]  There's no part of watch this initial watch kit where your your app runs code on the watch
[47:53.840 --> 48:00.160]  It's just a projected display of what your phone app your iphone app is showing it
[48:00.720 --> 48:03.040]  And then the watch just reports back what you tapped on
[48:04.800 --> 48:08.400]  I would like that everywhere. I mean, I like the idea of carplay. I bought the the
[48:08.400 --> 48:13.360]  toyota car before they had any integration at all and my only option is to buy a new car if I want anything
[48:13.600 --> 48:18.240]  But with carplay every time I upgrade ios or upgrade my phone I get a better experience
[48:18.240 --> 48:22.880]  I'd like that on my camera. I'd like camera play so that my canon interface is replaced with ios
[48:22.880 --> 48:27.200]  I don't want to have android appliances at home. I want to have them running ios just anytime there's a screen
[48:27.200 --> 48:30.800]  I would eventually like to be able to just put ios like project ios right onto it
[48:32.000 --> 48:36.480]  Doing that with a camera like a canon or you know, like a serious camera
[48:36.480 --> 48:39.520]  like a canon or you know, like a serious serious camera would be
[48:40.300 --> 48:45.760]  Fascinating. I mean there is a move afoot in in the camera world to build in wi-fi
[48:46.560 --> 48:50.880]  But it's I don't and I don't have a camera that does it yet, you know my my fuji
[48:51.840 --> 48:58.080]  Uh x100s is a year off like the brand new x100t which just came out a few weeks ago
[48:58.080 --> 49:04.480]  And I linked to a review of it a couple days ago now has wi-fi but it's clunky like the only way to get it to work
[49:04.480 --> 49:09.920]  I haven't seen it but it's like you have to get a fuji app from the app store and then open the fuji app on
[49:09.920 --> 49:11.280]  your phone
[49:11.280 --> 49:14.560]  and then you can do something between your phone and the
[49:16.080 --> 49:17.600]  Camera whereas
[49:17.600 --> 49:20.080]  Having it be like carplay man. That would be fantastic
[49:20.480 --> 49:23.680]  And it's great for apple because they're never going to get into never is a long time
[49:23.680 --> 49:25.200]  But they're not going to get into making appliances
[49:25.200 --> 49:30.160]  They're not going to become a giant manufacturing conglomerate like samsung and they're not going to license ios the way that you know
[49:30.160 --> 49:34.640]  Android is he was easily able to be put on any device, but just projecting the interface
[49:34.640 --> 49:35.840]  It means they can still control it
[49:35.840 --> 49:40.480]  They in essence just take it over and the customer will have a great experience and they don't have to relinquish
[49:40.480 --> 49:42.480]  Any of the control that they need for products?
[49:42.480 --> 49:49.120]  Yeah, it almost to me takes cameras back to where they were pre-digital right where when you load it had a 35 millimeter film camera
[49:50.000 --> 49:54.240]  The only things you the camera did was let you take pictures, right?
[49:54.240 --> 49:59.120]  You would look through a viewfinder and see and the camera would have things like a light set, you know
[49:59.120 --> 50:02.880]  You know in the latter years, obviously in the early years you had to set all that stuff manually
[50:02.880 --> 50:06.880]  But by that, you know by the latter years of the tail end of the film world
[50:07.520 --> 50:09.520]  You know, it would do the exposure
[50:09.920 --> 50:13.760]  if you set things to auto it would you know set the aperture set the
[50:14.800 --> 50:16.800]  exposure time
[50:18.240 --> 50:24.160]  And then but it was all just about letting you take the next photo then you'd push the button and the photo would be taken
[50:24.240 --> 50:25.760]  It would be stored
[50:25.760 --> 50:27.760]  On the film and that was it
[50:27.760 --> 50:34.080]  Right. I would like a digital camera that worked like that do whatever you can to help me get a perfect exposure and focus
[50:35.040 --> 50:38.160]  You know set the focus distance. Give me a recommended aperture
[50:38.240 --> 50:44.480]  give me a recommended exposure time or let me set any of those variables manually if I choose to and then when I hit
[50:45.440 --> 50:49.520]  Click it to just store the photo and then let me do everything else
[50:50.320 --> 50:54.000]  Over a wireless connection to my iphone. I I would love that
[50:54.000 --> 50:59.360]  Uh for a couple reasons one if you don't have an iphone you would just get whatever the qnix carplay system is
[50:59.440 --> 51:01.760]  You know for the whatever the standard software is on the phone
[51:01.920 --> 51:05.940]  But if you do have it you get a better experience and that becomes the same reason you want to get carplay
[51:06.160 --> 51:10.960]  You know you this stuff all works better if you happen to have an iphone. Yeah, boy, that would be great. Yeah
[51:12.160 --> 51:15.700]  But I do totally think that you know the wwdc 2014
[51:16.640 --> 51:19.120]  heralded that sort of you know future
[51:19.120 --> 51:23.600]  I I think so too and I think we also see for example continuity is going to work on the watch because there's going to
[51:23.600 --> 51:26.720]  Be things on the watch the watch to me is total convenience play
[51:26.720 --> 51:32.880]  It's for all those thousands of tiny interactions that you have with your phone every day that aren't that don't take a lot of time
[51:32.880 --> 51:33.680]  But are super important yet
[51:33.680 --> 51:38.160]  You still have to go to your bag or go to your purse or go to your pocket and I can sort of shift
[51:38.160 --> 51:43.600]  Those to my watch, but if something ends up being more important than I thought it was being able to just send that right back
[51:44.000 --> 51:46.640]  To my phone and continue on my phone sync is great
[51:46.640 --> 51:51.760]  But with sync I still have to unlock the phone go find the app go to the same place what I was scroll through or try
[51:51.760 --> 51:57.600]  To find it but with continuity I can be looking at something press a button and that exact same thing is just there waiting for me
[51:57.600 --> 52:01.200]  Again, I think that's gonna be much much more interesting when the watch is in play
[52:02.320 --> 52:05.440]  Yeah, I do and I think a lot of these things are sort of breaking
[52:06.080 --> 52:10.800]  It goes back to what I said earlier about apple pay where it's at a
[52:10.800 --> 52:19.280]  It's at a from a user's perspective. It's outside the app centric world of using the phone itself. It's
[52:20.080 --> 52:23.120]  It's much more about the real physical world
[52:23.760 --> 52:26.900]  Where your phone is just within the bluetooth?
[52:27.600 --> 52:31.360]  And or wi-fi, you know wireless range of whatever
[52:32.080 --> 52:36.960]  Terminal you're dealing with whether the terminal is your watch whether it's your dashboard in your car
[52:36.960 --> 52:40.400]  And you just tap on the watch and things get started
[52:40.400 --> 52:45.440]  You don't have to wake up your phone you don't and you definitely don't have to find any particular app
[52:46.240 --> 52:49.200]  Like a fuji app to get you know to get this to work
[52:49.280 --> 52:51.920]  You're just on your camera and hit a button on your camera
[52:52.560 --> 52:57.760]  And you know the phone interface just wakes up and starts, you know can read those photos that are right on your phone
[52:57.760 --> 53:07.200]  Yeah, the phone becomes like the star destroyer and the watch becomes the shuttlecraft that moves you in between the big objects
[53:07.200 --> 53:09.200]  That's pretty good I like that
[53:09.600 --> 53:11.440]  um
[53:11.440 --> 53:14.640]  What else from wwdc I guess yosemite we could yeah
[53:15.360 --> 53:21.760]  You know and in the summer there wasn't really any news per se it was just you know betas of ios and yosemite
[53:22.160 --> 53:24.160]  Not a bad way to just roll into
[53:24.160 --> 53:27.520]  If we're going to talk 2014 in hindsight, I mean have to talk yosemite
[53:28.480 --> 53:34.720]  Yeah, I mean, uh, dave wiskers did an article on macworld right beforehand where you're sort of speculating of what yosemite would end up
[53:34.720 --> 53:40.560]  Looking like and I think he was really really close. It's like apple didn't just clone ios 7 which was a long-running joke
[53:41.520 --> 53:43.360]  They they sort of took the cues from it
[53:43.760 --> 53:48.480]  The translucency and and the other effects and they made something that was very matte and you know
[53:48.480 --> 53:52.320]  They kept the shadows for example. Yeah our example when dave and I were
[53:52.320 --> 53:55.920]  Noodling ideas for vesper mac before we saw yosemite
[53:56.720 --> 54:01.200]  And we thought well what if they do totally just go all in ios 7 look and feel
[54:01.600 --> 54:07.200]  And we the only thing we could come up with was the the iCloud web apps. Yeah, which are
[54:07.920 --> 54:14.320]  You know you you use them with a mouse pointer and you know, I think typically I don't even think they run on an ipad
[54:15.120 --> 54:17.120]  So I mean you're using it on a mac
[54:17.120 --> 54:22.880]  So I mean you're using it on a mac and they have some things like dialogue boxes that you know
[54:23.360 --> 54:28.400]  You know, it's like a you know, how would you do an ios 7 dialogue box with a mouse pointer?
[54:29.040 --> 54:30.720]  um
[54:30.720 --> 54:34.080]  But overall boy we looked at that and we're like boy, I hope that's not it. Yeah
[54:35.840 --> 54:40.160]  No, and it wasn't it had to be enough because they did that back to the mac event and they
[54:40.480 --> 54:43.440]  Changed the names of the apps and they they brought over the same look and feel
[54:43.440 --> 54:47.040]  And they really made an effort to get all the people who had ios devices
[54:47.600 --> 54:52.020]  Not not to make the mac the same but to make them comfortable to make an easy sort of a halo effect transition
[54:52.400 --> 54:56.480]  And when you look at yosemite and you look at continuity, it's just about adding value again
[54:56.560 --> 54:59.920]  If you have an iphone or ipad, you'll have a much better experience with a mac
[55:01.280 --> 55:06.080]  Yeah, absolutely. I do think too and it shows and part of it is you know
[55:06.080 --> 55:13.600]  our perspective where we get to go to these press events and talk to some of the people at apple like in the product marketing group, um
[55:14.240 --> 55:18.800]  And there's a palpable sense. I mean you could there's some things that they just it just never come up
[55:18.800 --> 55:20.800]  I mean nobody really spends a long time
[55:21.280 --> 55:23.280]  talking about the
[55:23.360 --> 55:28.480]  We don't even call them that anymore but like the iworks apps. Yeah, right like pages and numbers and keynote
[55:29.040 --> 55:34.480]  They they you know, there's hasn't been a lot of enthusiasm about those apps in in recent years
[55:34.480 --> 55:36.480]  I'm not saying there's none. I'm just saying
[55:36.720 --> 55:38.320]  that it's
[55:38.320 --> 55:42.880]  You know, I I think it shows in the real world and you know in this current state of those apps
[55:43.280 --> 55:46.960]  And I think it shows in the enthusiasm when you talk to people at apple privately
[55:47.120 --> 55:53.440]  But whereas like the mac overall and yosemite overall like there were people there's people at apple who just still love the mac
[55:53.600 --> 55:59.520]  Like as a whole it is not like the you know, forgotten first child
[56:00.240 --> 56:01.360]  you know
[56:01.360 --> 56:07.360]  You know brushed aside in favor of the beloved, you know, ios, you know
[56:08.400 --> 56:13.600]  And I wonder if that has anything to do with the mac like the yosemite being very firmly in federighi's org
[56:13.600 --> 56:17.840]  But things like iwork and itunes all being projects that are run by in cues org, you know
[56:17.840 --> 56:21.120]  It's almost like a totally secondary software development system
[56:21.680 --> 56:25.520]  I do wonder about that and I don't know if it's because
[56:26.880 --> 56:28.720]  it's any way to
[56:28.720 --> 56:35.680]  To slag at eq, but almost that he's got so much on his plate that how could it get any more of his attention?
[56:35.840 --> 56:37.920]  You know with how much that he's got on his plate
[56:39.200 --> 56:40.640]  And you don't have the federica, you know
[56:40.640 --> 56:44.640]  Like the one guy who's in charge of software engineering isn't in charge of those bits of software engineering
[56:44.720 --> 56:48.000]  but as a whole I I you know this year I i've
[56:48.960 --> 56:54.800]  I think that the people i've spoken to at apple were more excited about yosemite and what's new on the mac than ios 8
[56:54.800 --> 56:59.680]  And you know and a lot of it is hard to separate because so much of what's new about both ios 8 and yosemite
[56:59.840 --> 57:03.200]  Is the continuity stuff which ties them together and there is no
[57:03.920 --> 57:10.160]  One without the other that was one of the most impressive things to me because famously ios and os 10 used to be run separately
[57:10.720 --> 57:14.400]  And there was a big rework but not only that it's it's it filtered down
[57:14.400 --> 57:19.840]  so instead of having someone in charge of yosemite and someone in charge of ios the person who was in charge of
[57:19.840 --> 57:26.160]  Extensibility or the at least the engineering product manager program manager was in charge of extensibility for ios and os 10
[57:26.320 --> 57:29.040]  Was in charge of continuity for ios and ios 10
[57:29.280 --> 57:32.720]  And even when it would have been easier to do them separately or do them in different ways
[57:32.960 --> 57:34.640]  They made sure that they were done in the same way
[57:34.640 --> 57:39.040]  So developers had just one way to target them on both systems and that might be a subtle change
[57:39.040 --> 57:42.000]  But I think that's a really profound change based on how apple used to be run
[57:43.040 --> 57:48.480]  Yeah, and I I have you know, it's a recurring theme, you know, since he left the company
[57:48.480 --> 57:56.080]  But you know with forestall and again, I overall i'm a big fan of forestall and I think you know for scott forestall
[57:56.720 --> 57:58.720]  Is a huge reason
[57:58.720 --> 58:05.760]  That the iphone was a hit product and was as good as it was. I think he's a huge reason that the app store
[58:06.380 --> 58:12.080]  Exists and that it's as popular as it is problems aside and we can get into that because there's been a lot of recent
[58:12.240 --> 58:15.360]  you know problems with the app store, but on the whole, you know, it's
[58:16.160 --> 58:18.160]  uh
[58:18.160 --> 58:21.200]  You know a success and you know at a time when in
[58:21.900 --> 58:24.480]  2007 when the first iphone came out and there wasn't any
[58:25.040 --> 58:27.040]  Third-party software at all
[58:27.360 --> 58:31.360]  And there were questions about whether there ever would be and then even when it was announced
[58:31.440 --> 58:33.600]  Well, how how strict are they going to keep this?
[58:33.680 --> 58:38.080]  How much is it going to be a handful of apps that apple vets and how much is it going to be?
[58:38.640 --> 58:41.760]  You know, are they going to allow tens of thousands hundreds thousands of apps?
[58:42.320 --> 58:43.440]  um
[58:43.440 --> 58:48.400]  I think all of that is thanks to forestall or at least at least partly thanks to forestall. Absolutely
[58:48.560 --> 58:51.200]  But on the other hand, I don't think continuity happens
[58:52.160 --> 58:59.920]  All in one fell swoop in 2014 if forestall is still running ios as his own fiefdom because the way he ran it was
[59:00.700 --> 59:02.240]  secretly
[59:02.240 --> 59:06.400]  Even when it wasn't new, you know, even you know, it you know, 20
[59:07.260 --> 59:09.260]  2012 I guess when he
[59:09.840 --> 59:11.840]  Got pushed out
[59:11.840 --> 59:17.920]  You know, yeah, I think he was a phenomenal partner for steve jobs when you hear stories about when he was at apple
[59:18.400 --> 59:22.400]  Uh, he he knew which of the three studded leather textures
[59:22.880 --> 59:27.280]  Steve would pick and when he wasn't there the designers just kept hearing no and no and no over and over again
[59:27.360 --> 59:29.840]  And he was just so good at working with steve jobs
[59:29.840 --> 59:30.400]  But then you know
[59:30.400 --> 59:35.280]  He faced an apple without steve jobs and it's possible that he was the best person in the world to birth
[59:35.600 --> 59:38.720]  The iphone but not the best person to get it through the awkward teenage years
[59:38.720 --> 59:42.320]  And we'll see that with the watch now because kevin lynch runs watch software at apple
[59:42.320 --> 59:44.240]  It's not in craig federighi's org
[59:44.240 --> 59:48.640]  But that's sort of what you have to do when you're creating something new you have to give it that sort of independent space
[59:48.960 --> 59:52.080]  To come alive and then you integrate it back again over time, right?
[59:52.240 --> 59:58.400]  But even with lynch and and you know, that's a good open question as in terms of like what to look look for in 2015
[59:59.280 --> 01:00:02.240]  You know is how good is their initial watch software going to be?
[01:00:03.920 --> 01:00:05.040]  And you know
[01:00:05.040 --> 01:00:06.880]  Whether it's fair or not
[01:00:06.880 --> 01:00:13.140]  You know how good the initial like when we get our first apple watch 1.0 in quote early 2015
[01:00:14.960 --> 01:00:22.080]  We're gonna we're all going to form pretty firm opinions of kevin lynch as an apple product manager
[01:00:22.480 --> 01:00:24.480]  Well right off the bat
[01:00:25.280 --> 01:00:27.360]  But lynch was hired into an apple
[01:00:28.080 --> 01:00:30.080]  Where you know, he could be told
[01:00:30.480 --> 01:00:34.400]  Point blank and i'm sure was this is how we work now. We collaborate, you know
[01:00:34.400 --> 01:00:39.840]  And I think that's why you see, you know that you know shiller's already wearing an apple watch eddie q's wearing an apple watch
[01:00:41.360 --> 01:00:44.880]  Federighi is wearing an apple watch, you know that they're not locked out of that
[01:00:45.440 --> 01:00:49.440]  In the way that I think a lot of people were with the iphone before it came out
