[00:00.000 --> 00:02.000]  Do you watch football?
[27:14.960 --> 27:19.180]  Which product is right for you go check them out. It's very obvious. They steer you right through it
[27:19.880 --> 27:21.880]  And remember you get a free
[27:23.440 --> 27:27.360]  Trial just by going to Squarespace.com
[27:29.400 --> 27:31.400]  If you go to Squarespace.com
[27:31.400 --> 27:36.640]  Slash the talk show don't know you came from from here from this podcast
[27:37.680 --> 27:40.080]  But the important thing to remember is that
[27:40.600 --> 27:45.080]  The offer code Gruber for 10% off your first order now you got to remember that here's the deal
[27:45.080 --> 27:49.360]  I'm asking a little bit of a favor for any of you out there who are gonna do it because you can start this free
[27:49.360 --> 27:51.120]  Trial you don't have to pay for anything
[27:51.120 --> 27:55.360]  It's 30 days later when the free trials up and you're hooked and you're like this is it for me
[27:55.360 --> 27:59.880]  That's when you go to pay use that offer code Gruber. Just remember my last name
[27:59.880 --> 28:04.800]  They don't change it up much because I think they realize that there's you know hell by the time your free trial is over
[28:04.800 --> 28:08.720]  They might even sponsor another episode of the show so anyway my thanks to Squarespace
[28:09.640 --> 28:13.120]  All right, that's a good segue to talking about Twitter, right?
[28:13.520 --> 28:18.000]  Yes, so we went from the Super Bowl to Tim this could be a very seamless show this
[28:18.600 --> 28:22.040]  Could be a bunch of good segues. Let's see we can keep it going Super Bowl
[28:22.440 --> 28:26.040]  Tim Cook at the Super Bowl in his tweet that he that he deleted
[28:26.040 --> 28:31.960]  Also by the way the second one he posted the photo was beautiful. It was a really good photo
[28:32.880 --> 28:34.880]  now let's talk about Twitter and
[28:35.760 --> 28:40.560]  You you had a good piece. I think it just went up yesterday as we record
[28:41.680 --> 28:44.840]  Yes, it's been up for about 24 hours or so
[28:45.400 --> 28:47.360]  I don't want to paraphrase too much
[28:47.360 --> 28:52.760]  But just of it being you quoted the thing that I wrote that and I've said this before I've said this many times that the
[28:52.760 --> 28:56.620]  Thing that really is unfair to Twitter and hurts Twitter. Is that they're compared to Facebook
[28:58.560 --> 29:01.300]  Maybe mostly by like that sort of Wall Street perspective
[29:02.040 --> 29:04.040]  and
[29:04.280 --> 29:11.300]  They measure they come up short and as time goes on they're coming up shorter and shorter because Facebook is killing it and Twitter is
[29:11.300 --> 29:13.300]  Sort of spinning its wheels
[29:13.400 --> 29:19.880]  And it it's unfair to Twitter because Twitter has an amazing thing it just happens to be this amazing thing that
[29:20.400 --> 29:21.700]  seemingly
[29:21.700 --> 29:26.400]  Naturally is way smaller in Facebook and your argument is be that as it may they're screwed
[29:27.440 --> 29:34.180]  Yeah, well the the the real problem with for them and and for it for any company is you know that they're they're
[29:34.540 --> 29:38.240]  The the business model I mean Twitter made a choice
[29:39.640 --> 29:44.740]  To be a ad supported business and that choice has
[29:46.160 --> 29:48.160]  Certain you know certain implications to it
[29:48.160 --> 29:53.360]  What basically you if you're an ad support business you either have to have these
[29:54.160 --> 29:59.240]  extremely high-performing ads that convert like Google or you need to have a
[29:59.620 --> 30:02.840]  Massive audience that you're very good at targeting
[30:03.880 --> 30:06.400]  you know more like a Facebook sort of thing and
[30:07.280 --> 30:12.960]  Twitter doesn't doesn't really have either and and so the big problem is that yes from a user perspective
[30:12.960 --> 30:20.480]  to use Facebook and to use Twitter are different experiences, but they're competing for the same
[30:21.200 --> 30:26.180]  customer or by customer, I mean the same advertiser and the same advertising dollars and and
[30:27.520 --> 30:32.600]  That's that that's a problem because what if you're an advertiser and you have limited not just money
[30:32.600 --> 30:38.520]  But limited time like there's there's a time component to Twitter wants their custom ad campaigns Facebook wants their custom ad campaigns
[30:38.520 --> 30:41.560]  Google wants your custom ad campaigns Pinterest wants their custom ad campaigns
[30:41.560 --> 30:47.040]  You know snapchat all these sorts of things and yes, there is a shift in money from you know
[30:47.040 --> 30:51.680]  Other forms of media to digital, but where are you going to spend your time?
[30:53.040 --> 30:55.120]  particularly when
[30:55.120 --> 30:56.760]  You can get
[30:56.760 --> 31:04.600]  Pretty much the same audience with better data better targeting better tracking and they have enough inventory to satisfy your needs on Facebook
[31:04.600 --> 31:08.800]  what what's the point even spending money on on Twitter and so
[31:08.800 --> 31:13.920]  The that's just that's just a problem and it's a problem from a long-term
[31:14.920 --> 31:20.400]  Sustainability perspective and it's a problem from a absolutely from a stock perspective. I mean there's Twitter's stock is
[31:20.960 --> 31:22.960]  down massively
[31:23.480 --> 31:29.440]  from its highs and even from from its IPO price in part because you you know that
[31:31.040 --> 31:32.680]  Investors are
[31:32.680 --> 31:34.680]  rightly in my estimation losing
[31:34.680 --> 31:38.880]  Faith that there's any sort of real growth story for Twitter
[31:38.880 --> 31:42.720]  I mean a company that is more than 10 years old and has yet to turn a profit, right?
[31:45.280 --> 31:49.020]  And it's a bummer it's a bummer it's like the thing with Twitter is
[31:50.440 --> 31:54.720]  There I think I mean back back when Twitter made this decision
[31:54.720 --> 32:00.080]  there was still kind of the sense that you know at of course all consumer services will be ad supported and
[32:00.080 --> 32:06.120]  And and I actually think that's in it's increasingly questionable the egregious that's gonna be the point
[32:06.120 --> 32:08.440]  I mean face because Facebook and Google are so dominant and
[32:08.960 --> 32:15.320]  The big difference is you know, they have so much inventory like they can soak up, you know, so much so much of the spend
[32:15.920 --> 32:19.680]  So you have a better product and all the inventory there. Why are you getting anywhere else?
[32:20.560 --> 32:22.560]  Twitter like Twitter's
[32:23.240 --> 32:26.760]  do the format of Twitter is isn't as as
[32:26.760 --> 32:32.360]  Great for advertising. What is Twitter good at Twitter is good at data Twitter has
[32:33.080 --> 32:37.400]  Real-time data and the idea was the data they have about users
[32:38.240 --> 32:39.680]  who are
[32:39.680 --> 32:41.840]  building an interest graph as opposed to a
[32:42.640 --> 32:48.600]  Social graph that would make the potential for targeting, you know much more interesting and attractive
[32:48.600 --> 32:49.160]  You know
[32:49.160 --> 32:54.080]  The flip side is the way you get a good interest graph is by going through the hard work of building of Twitter feed
[32:54.080 --> 32:56.760]  Which is really difficult and is a big problem. They didn't get new users
[32:58.040 --> 32:59.560]  but
[32:59.560 --> 33:02.080]  That data the data that happens on Twitter
[33:02.080 --> 33:04.000]  the fact that Twitter is so
[33:04.000 --> 33:10.720]  central to things like the Super Bowl and things that are going on and you can get real-time understanding of what's happening and what's what's
[33:11.160 --> 33:13.160]  Pulsing and what's trending?
[33:13.760 --> 33:20.280]  It's it's too bad. They didn't explore business model built around exploiting that. Yeah, same thing for me last night as a
[33:20.280 --> 33:28.280]  As a political junkie us national political junkie at least watching last night as we record. It's the day after the New Hampshire primary
[33:29.240 --> 33:30.720]  Which wasn't all that exciting?
[33:30.720 --> 33:35.360]  I mean it was kind of this is that was one that came out sort of as the the polls got it exactly, right?
[33:35.480 --> 33:39.840]  But as a political junkie, I'm still watching, you know, I'm watching MSNBC
[33:39.840 --> 33:42.800]  I'm I'm you know, I'm that second screen guy
[33:42.800 --> 33:44.480]  It's a it's a you know
[33:44.480 --> 33:50.120]  and I'm at the point now where I can't even remember watching as a political junkie watching something like
[33:51.480 --> 33:55.160]  The returns on an election or a primary election without Twitter
[33:55.480 --> 33:58.880]  because one of the things that always made it frustrating to me as a news junkie is
[33:59.360 --> 34:02.880]  That the news on an election night doesn't come in fast enough
[34:03.080 --> 34:06.640]  The news doesn't come in and so they just fill it with the punditry
[34:06.880 --> 34:13.620]  But because there's not much news coming in they're just going to multiple people to sort of say the same thing
[34:13.620 --> 34:17.740]  right, and it doesn't go fast enough to satisfy my
[34:18.900 --> 34:20.580]  attention-addled brain
[34:20.580 --> 34:24.340]  Okay, and so Twitter fills that in because all of a sudden that's where you know
[34:24.340 --> 34:31.500]  Somebody will come up with something that's actually an interesting observation or a funny joke or something the snark we referred to earlier
[34:31.500 --> 34:35.620]  Yeah, well, I think Twitter in Twitter, it's funny. You mentioned within the context of politics
[34:35.620 --> 34:38.940]  I think the problem for Twitter and the challenge for Twitter is actually
[34:38.940 --> 34:43.620]  Kind of similar to the problem faced by news in general
[34:43.620 --> 34:50.340]  I mean news is very valuable and it's also worthless because it's fish wrap literally
[34:50.340 --> 34:56.340]  I mean, that's it's it's an old joke if you ever worked in a newspaper industry, but today's news is tomorrow's fish wrap
[34:56.540 --> 34:59.740]  That's exactly it and but the problem now is today's tweet it like
[35:00.700 --> 35:05.080]  Twitter is so valuable because someone can break a story with a tweet, right?
[35:05.080 --> 35:12.040]  But like I'll ever the the tweet is then worthless or and and or the the news in the tweet is then worthless, right?
[35:12.040 --> 35:16.760]  It's like you it's out there like there's there's no there's no value
[35:17.760 --> 35:22.080]  It's uh, it's a public good now. It can't it can't be kept it can't be captured
[35:22.720 --> 35:25.640]  And that's kind of the case for Twitter. I mean Twitter
[35:25.640 --> 35:32.380]  I mean, it's almost impossible to read a news story about lots of things without there being an embedded tweet, for example, right?
[35:32.380 --> 35:38.020]  uh, but but that doesn't make it worth something at least from a
[35:38.380 --> 35:43.540]  Traditional sort of advertising perspective where Twitter has to keep all the eyeballs and then that sort of thing going on like yes
[35:43.660 --> 35:47.460]  you you can recognize that Twitter is essential and
[35:48.060 --> 35:51.420]  Appreciate the fact that Twitter can be essential for you know
[35:51.420 --> 35:54.540]  Someone who doesn't use Twitter because they're gonna find out about what happened on Twitter
[35:55.180 --> 35:59.100]  Immediately anyways, you know through through through some other channel or through through a web page
[35:59.100 --> 36:05.140]  they read and and now you almost have to think like the model that might have worked for Twitter and
[36:06.060 --> 36:12.860]  It would you know, what's the most successful news company arguably? It's something like Bloomberg right where they they actually
[36:13.560 --> 36:17.660]  The news is a means to sell a physical product
[36:18.220 --> 36:22.140]  And the physical product is in part about utility. It's in part about status
[36:22.140 --> 36:29.020]  It's in part about the the internal social network that Bloomberg terminals have and in that all Wall Street uses to talk to each other
[36:29.020 --> 36:30.780]  and
[36:30.780 --> 36:36.720]  That is something that like that sort of model a a platform model
[36:36.720 --> 36:41.700]  But a different kind of platform model not an advertising platform model is something that might have made sense for Twitter
[36:41.700 --> 36:45.200]  But this is where you get back to the fact that Twitter didn't even start
[36:45.620 --> 36:52.100]  Twitter spent so long so many years at the beginning not developing the product not developing monetization
[36:52.540 --> 36:54.540]  But basically trying to kill each other
[36:54.540 --> 36:58.980]  and I mean, you know metaphorically speaking I
[37:00.100 --> 37:03.380]  still feel like institutionally there is a
[37:06.900 --> 37:08.900]  Uncertainty as to what the hell Twitter is
[37:09.420 --> 37:14.540]  Right. Yeah, and I and it hasn't they had it when they came out when they came out in
[37:14.980 --> 37:19.740]  2006 or I don't know if there was something in 2005 but 2006 is when I signed up
[37:19.740 --> 37:26.380]  There was a clear idea of what it was or what it was supposed to be and it obviously evolved over the years
[37:26.380 --> 37:28.760]  Like what they're I'm not saying they should go back to the original idea
[37:28.760 --> 37:30.760]  I mean they didn't even have things like at replies
[37:30.860 --> 37:33.240]  There was all this stuff that came out of user behavior
[37:33.240 --> 37:39.860]  The whole the original idea was tell people what you're up to it was I think in an elevator pitch
[37:39.860 --> 37:42.380]  it was your AOL status at a
[37:44.340 --> 37:46.340]  Combined with the old Unix
[37:46.340 --> 37:49.260]  a finger, you know, right
[37:50.300 --> 37:51.900]  status
[37:51.900 --> 37:53.900]  right
[37:54.100 --> 37:57.780]  Do you remember that? I mean I better explain that for anybody who doesn't know
[37:58.580 --> 38:02.420]  Because you would people would with this was and this is an advantage. Um
[38:03.060 --> 38:04.380]  This was something okay
[38:04.380 --> 38:09.140]  There's a there's a some anecdote around messaging services about why some one and some din
[38:09.140 --> 38:12.940]  But yeah, people would would set their their and this is back
[38:12.940 --> 38:16.100]  We're in college. We're in college like set their their AOL status
[38:18.100 --> 38:22.460]  That's our college when I was college when I was in college you set your finger status
[38:22.660 --> 38:26.100]  So when I was in college, well, I mean, I don't know when this fell apart
[38:26.100 --> 38:31.900]  But you'd get like an account on a Unix, you know machine and that's where you'd go to check your email and stuff like that
[38:31.900 --> 38:38.580]  But if you created an account in your home folder with the name dot finger now the dot made it like a secret invisible file
[38:38.580 --> 38:39.820]  So you wouldn't see it all the time
[38:39.820 --> 38:45.380]  You would just put like where you are like if you were home for winter break and you weren't around you could put it in
[38:45.380 --> 38:47.900]  There and then if you wanted to check the status of somebody
[38:49.340 --> 38:52.580]  You know, you would just say finger Ben at
[38:53.380 --> 38:57.620]  Whatever school Ben goes to dot edu and then it would read back your key fan
[38:57.620 --> 39:03.780]  I know who's the idiot who named the command finger? I I don't I don't know. Maybe they knew exactly what they were doing
[39:03.780 --> 39:11.700]  And there's there's actually a lot of stuff like this in like old tech sort of stuff. That's just really questionable in retrospect
[39:13.340 --> 39:16.260]  Right here is Navy conventions and like right?
[39:16.740 --> 39:19.140]  Yeah, the idea was that you're like poking a finger out
[39:19.140 --> 39:22.580]  I'm like, what's he up to and then you could just you would just update your finger, you know
[39:22.580 --> 39:26.420]  And that's what Twitter was Twitter was like, what are you up to? What are you doing? And you would say I'm eating a sandwich
[39:26.420 --> 39:28.820]  I'm you know getting my first
[39:29.540 --> 39:31.540]  you know coffee of the day and
[39:31.540 --> 39:34.620]  And then what it and evolved from there
[39:35.700 --> 39:42.540]  The thing the thing the way that I always thought about it is I mean the thing is Twitter evolved really quickly like oh and
[39:42.940 --> 39:50.220]  Actually, most of the core conventions of Twitter like the at reply and the retweet and all sort of stuff were in the product
[39:50.220 --> 39:55.140]  Within like a year to a year and a half and it basically the product has not evolved since then
[39:55.140 --> 40:00.460]  I think the one the one real big addition was the was the real retweet like where you could with it
[40:00.460 --> 40:02.460]  Not the manual retreat right where you actually did it
[40:02.660 --> 40:05.540]  I think that was 2009 or something like that
[40:05.660 --> 40:12.180]  But other than that like the product would the product figured it out pretty quickly and the way the way I always characterized it
[40:12.180 --> 40:16.780]  I wrote a piece about this like over a year ago was this was actually a big problem for Twitter
[40:16.780 --> 40:19.660]  And the reason it was a problem was you know
[40:19.660 --> 40:24.580]  They'd have like product market fit for companies right a company has to like they have the idea for product and it's not quite
[40:24.580 --> 40:26.860]  Right, but they figure out who their core customer is then they get it
[40:26.860 --> 40:31.420]  Right, and then like once you get that right you get your product and your mark and you know your market
[40:31.420 --> 40:32.540]  You're the right product for it
[40:32.540 --> 40:37.740]  that's when you pour on the money you and you scale and you get a bunch of customers that sort of thing but you have
[40:37.740 --> 40:39.740]  to get product market fit first and
[40:40.620 --> 40:47.180]  Almost the challenge for Twitter was the they the initial product was so it was so powerful
[40:47.180 --> 40:48.060]  It was so good
[40:48.060 --> 40:53.020]  Like they never had to go through that sort of struggle to figure out what it is
[40:53.020 --> 40:57.180]  It just took off and date and so they never had to go through that internal
[40:57.340 --> 41:02.660]  process of figuring out what their product is who their customer is like what it does it just happened and
[41:02.900 --> 41:04.900]  So the problem was it didn't happen
[41:05.620 --> 41:10.500]  Perfectly enough to reach everyone like it would the utility was so good
[41:10.500 --> 41:13.300]  The Twitter's always been hard to use like to get started
[41:13.300 --> 41:18.900]  I mean to get started from but the utility was so good that all us geeks were more than happy to jump through all the
[41:18.900 --> 41:22.500]  Hoops to figure out how to use it because the utility was so massive
[41:22.500 --> 41:26.660]  But you get down to like what I call a marginal user right where is it?
[41:26.660 --> 41:31.340]  What is the utility that I might get from Twitter worth the cost it's gonna take me to get up to it
[41:31.340 --> 41:35.580]  and they hit that marginal user after a few hundred million and they just
[41:36.100 --> 41:40.380]  round to a halt right and don't you think that it's the case that it's just
[41:40.900 --> 41:45.820]  Too hard to guess and when you're inside and like you work at Twitter
[41:45.820 --> 41:50.700]  And you're therefore have a reason to be optimistic and you get it because you actually work there
[41:50.700 --> 41:55.100]  It's easy to maybe even lie to yourself a little bit that during that growth spades
[41:56.020 --> 42:01.500]  Space early on while the product is still evolving and there's clearly enthusiasm
[42:01.500 --> 42:05.980]  You know you've got something electric on your hands that it's very unclear
[42:05.980 --> 42:11.100]  What how you know while the growth is going on how much growth there is ahead of you?
[42:11.100 --> 42:16.540]  It's right and and I think that Twitter guessed wrong. I think a lot of investors guessed wrong
[42:16.540 --> 42:19.180]  In terms of it being too optimistic
[42:19.180 --> 42:25.180]  Well the thing too is I don't think I I would say two things one Twitter's growth really
[42:25.180 --> 42:28.620]  It happened in 2009 where the growth just suddenly stopped
[42:28.620 --> 42:33.820]  That was also the time where Twitter was having massive technical problems like the site could not stay up
[42:34.700 --> 42:38.300]  Yeah, you know people don't forget the fail whale actually I have a fail whale clock
[42:40.620 --> 42:45.020]  But um like so they they had their hands full
[42:45.020 --> 42:51.820]  Basically rebuilding the service on the fly it used to you could count on it like clockwork that it would fail during an Apple event
[42:52.460 --> 42:58.220]  Oh, well, it used to fail almost every day. I mean that was an improvement when it only failed during big events
[42:58.220 --> 43:01.500]  Well there was a time where it was on the verge of complete collapse
[43:02.700 --> 43:05.500]  Then there was a time where on a daily basis they were up
[43:05.500 --> 43:10.540]  But something like an Apple event could make a collapse which is totally but which is and again for
[43:10.540 --> 43:14.060]  Me and you and the folks who listen to the talk show yeah, that's a big deal
[43:14.060 --> 43:18.940]  But compared to the Super Bowl or the Academy Awards or an election night
[43:18.940 --> 43:24.380]  There's nothing like however much attention Apple gets compared to any other technical company
[43:24.380 --> 43:32.140]  They don't get that much for a Tuesday morning at noon Eastern press event and yet right Twitter would just be
[43:33.180 --> 43:38.460]  And that was that was a big reason why Dorsey got forced out the first time and so they have they have management
[43:38.460 --> 43:41.500]  They have the site barely staying up. They have to rebuild the whole thing from scratch
[43:41.500 --> 43:47.020]  I mean Twitter started out like being like a Ruby on Rails application right which is yeah, which is which is all well and good
[43:47.020 --> 43:53.420]  But it's not it's not the framework you would choose to to to handle you know hundreds of millions of tweets a second or whatever
[43:54.940 --> 44:02.940]  Then and so and that happened at the exact same moment they hit this marginal user and so it was it was it was bad luck
[44:02.940 --> 44:05.980]  From that perspective in that in that it happened at that time
[44:05.980 --> 44:09.500]  and then I had another point here where it was but but
[44:09.500 --> 44:19.020]  They oh the other thing too is I don't think at that time if you were to tell someone in 2008-2009 that a set a user base of 300 million users
[44:19.020 --> 44:26.220]  You know I question how how many of those are actual people using it, but even you say it's 100 million 150 million you
[44:27.740 --> 44:32.700]  It would be hard to tell someone back then that that would not be a big enough user base to have a
[44:32.700 --> 44:39.500]  An ad-supported service yes, that's a very good point now before I forget because if I forget this point
[44:39.500 --> 44:44.860]  I'm gonna shoot myself and want to rerecord the whole episode because I thought one of the most interesting things I read in your piece
[44:44.860 --> 44:48.380]  And I knew this I've known this before I've read this before
[44:48.940 --> 44:51.740]  But it's one of those facts that goes in one ear and out the other for me
[44:51.740 --> 44:57.180]  And I think for a lot of other people, but I almost feel like the situation this whole situation
[44:57.180 --> 45:06.460]  We're talking about with Twitter struggling LinkedIn having some tough times and only Facebook and Google really thriving in this
[45:07.020 --> 45:15.500]  Market where people previously foresaw wow lots and lots of companies could have this free with ad-supported business and succeed is the fact that
[45:16.060 --> 45:21.740]  Very very consistently over I I'm not even sure you could tell me the time frame, but decades at least
[45:21.740 --> 45:29.500]  About one point two percent of GDP get spent on advertising. Yep. It's it's it's it's amazingly consistent like so
[45:29.500 --> 45:34.060]  There's a everything was on a recession. It goes down to it goes on his GP goes down
[45:34.060 --> 45:38.860]  It's it's amazing how consistent it is right advertising is and I you know
[45:38.860 --> 45:45.500]  I'm not gonna say I'm a big shot on advertising, but I do run a business. That's fundamentally based on advertising I
[45:45.500 --> 45:53.980]  Think that the nature of it knock on wood like even like 2008, you know during fireball actually did pretty well through the recession
[45:55.340 --> 45:58.700]  Maybe because I'm a boutique, you know publisher
[45:59.740 --> 46:03.580]  But there's absolutely no question that the adage that
[46:04.140 --> 46:07.660]  Advertised in any kind of recession advertising is the first thing to dry up
[46:07.660 --> 46:14.780]  It is the first thing always because it's the first thing any kind of advertising is the first thing to dry up
[46:14.780 --> 46:18.780]  First thing any company when they say we might need to tighten our spending
[46:19.420 --> 46:23.180]  It's advertising is always the first thing to go right and then when times are flush
[46:23.260 --> 46:25.260]  It is one of the first things to come rushing back
[46:25.980 --> 46:28.140]  Where they're like, wow, we've got a little money to spend
[46:28.700 --> 46:34.060]  Let's fuck let's dump it in some ads and and really accelerate what you know, we've got something good going on right now
[46:34.060 --> 46:36.220]  Let's spend some advertising to make it go even better
[46:36.540 --> 46:43.020]  But it's amazing that it's very very consistent that it's like just a little over one percent of GDP which means
[46:43.020 --> 46:49.980]  That it's not necessarily that the pie can't grow but the pie can only grow as the overall economy grows
[46:50.620 --> 46:55.020]  Right, and it's there's no way to make that go and I feel like a lot of the stories
[46:55.900 --> 47:02.300]  I i'm not even saying that i'm that i'm not wrong about it that I didn't think i i'm a little surprised at this situation
[47:02.300 --> 47:08.300]  Right now where the only big companies that really seem to be thriving financially and growing are facebook and google the only ones
[47:08.620 --> 47:11.980]  I don't think I would have foreseen that but I think it makes some sense
[47:11.980 --> 47:17.100]  Some sense when you think of the fact that the ad spends is sort of a fixed amount of money
[47:17.900 --> 47:20.620]  and facebook and google are clearly growing
[47:21.500 --> 47:22.780]  and
[47:22.780 --> 47:29.260]  And they have they frankly have superior products. I mean they they have the best targeting especially facebook. I mean, um,
[47:29.580 --> 47:35.020]  You know facebook is growing much faster than google is uh, particularly particularly on mobile and all their growth is on mobile
[47:35.020 --> 47:42.860]  Uh, they have superior targeting they have a superior ad placement like of people don't appreciate like a facebook ad
[47:43.260 --> 47:45.660]  Literally takes over the entire screen of your phone
[47:46.300 --> 47:52.780]  Like maybe only for a split second or whatever, but like it's the most immersive ad we've come up with in tech
[47:53.820 --> 47:59.180]  I mean beyond like the pre-roll on a video, but that pre-roll video is kind of annoying right that's getting in our way
[47:59.420 --> 48:03.260]  whereas we're willingly, you know, not you since you're on facebook, but um,
[48:03.260 --> 48:05.980]  We're really immersing ourselves in this feed
[48:06.780 --> 48:11.740]  And just scrolling through it and the feed is so clear like that's why it works so well for during fireball, right?
[48:11.740 --> 48:15.660]  I mean you I I always give you credit for actually being a real pioneer when it comes to
[48:16.220 --> 48:22.140]  This sort of native native advertising feed-based advertising is is the advertising that works on mobile
[48:22.620 --> 48:25.260]  I came up with it before native advertising was a word
[48:25.660 --> 48:31.820]  I know you did and and it's like it is the ad format that works like every every time there's a new
[48:31.820 --> 48:36.700]  A new sort of medium, uh, it takes time to figure out the ads that work, right?
[48:36.700 --> 48:43.820]  The initial like tv ads where people reading radio scripts, right? They had to figure out no you should actually tv is for scripted drama
[48:43.820 --> 48:49.980]  So, how about we do a 30-second scripted drama exactly right and make a little 30 the best ads are always little 30-second shows
[48:50.620 --> 48:55.500]  Right, exactly. And so when we started out it is you see when we started out with web pages
[48:55.500 --> 48:59.820]  We're just like plastering on these banner ads because that's kind of what we do with newspapers, right?
[48:59.820 --> 49:06.140]  And who better who better to be the protagonist of your little story than a a bow
[49:07.660 --> 49:09.660]  We are this is a very this is a very tightly
[49:10.380 --> 49:12.640]  We're pretty pretty a real bow an anthropomorphic
[49:13.580 --> 49:15.760]  human bowel infected with diarrhea
[49:18.060 --> 49:24.540]  There's a lovable character no, but you're right you've got to find and sometimes it's natural and sometimes it's not and they always try to
[49:24.620 --> 49:26.620]  Cram the last one onto the new
[49:26.620 --> 49:33.260]  uh, I mean that's a banner ads banner ads were basically lifting newspaper type advertising and putting on the web and it was dumb it
[49:33.260 --> 49:36.460]  Made no sense. Well, especially in no sense because if you think about it
[49:36.460 --> 49:39.500]  I would say it's a little bit more like magazines than newspapers first thing
[49:39.500 --> 49:45.980]  Just because the shape of the rectangle is a little bit the rectangle of a web page is a little bit more like a magazine
[49:45.980 --> 49:50.220]  Especially in the 90s when the format was invented and screens were smaller
[49:50.860 --> 49:56.540]  It was a little bit more like a magazine it's but magazines and newspapers are kind of two sides of the same coin when it comes to
[49:56.540 --> 49:58.460]  advertising
[49:58.460 --> 49:59.340]  formats, right
[49:59.340 --> 50:04.140]  There's a whole page ads but the banner ads were like the ads in the back of the magazine
[50:04.460 --> 50:11.900]  Right, right the you know little shapes of rectangles with content flowing around them the in in in magazines and newspapers
[50:12.060 --> 50:13.500]  I mean they
[50:13.500 --> 50:17.020]  The the ones that made all the money were the full page ads right the back page
[50:17.340 --> 50:23.260]  Right, it was more if you think of a magazine in particular and you think of like the classic examples like fashion magazine
[50:23.260 --> 50:27.340]  That sort of thing if it actually is more like a feed if you think about it, right?
[50:27.660 --> 50:35.180]  Because you're you're you're not jumping around like you flip through those, right? Yeah, it's exactly it's very analogous to like an instagram feed
[50:36.300 --> 50:39.340]  Exactly. This is why this is why I i've always been
[50:39.820 --> 50:40.780]  um a
[50:40.780 --> 50:47.180]  I think native advertising got a really bad rap because of some really egregious examples of people like, you know
[50:48.540 --> 50:52.300]  Being you know abusing it and doing dumb stuff advertorials, right?
[50:52.300 --> 50:57.500]  right things that were things that were written to sort of conflate what was actually the content of
[50:57.900 --> 50:59.900]  uh the publication and the
[51:00.220 --> 51:05.580]  This thing that was written by a sponsor. I mean famously those have always been terrible right on all formats, right?
[51:05.580 --> 51:11.740]  But that doesn't mean the idea of having an ad that is a similar of a similar type
[51:12.380 --> 51:15.500]  To the content that is around it is a bad thing
[51:15.580 --> 51:18.380]  That's that's how effective advertising has always been I mean
[51:18.380 --> 51:25.340]  I mean no one's up in arms because you flip through a fashion magazine and on one page there's there's editorial on the next page
[51:25.420 --> 51:27.740]  there's uh, you know an ad like
[51:28.460 --> 51:32.940]  That that's a good thing. Same same with tv. I mean, yes, you may be annoyed by it
[51:33.020 --> 51:41.020]  but no one is like up in ethical arms because uh, oh my gosh, they also scripted this television commercial I mean like that's
[51:41.580 --> 51:47.360]  That's just the way that's just the way it is and the feed is is really the key to digital advertising
[51:47.360 --> 51:49.360]  You immerse yourself in it you go through it
[51:49.520 --> 51:53.920]  The problem is how this is why it works for during fireball people go to during fireball, right?
[51:54.240 --> 51:57.040]  Your percentage of people who go straight to the home page
[51:57.120 --> 51:57.760]  I don't know what it is
[51:57.760 --> 52:05.200]  But i'm sure it's much higher than the vast majority of websites who are getting their traffic through social or or other through other feeds
[52:05.260 --> 52:10.740]  Basically, and I think that's the real key to making advertising work is you have to own a destination
[52:11.040 --> 52:14.080]  That people go to and willingly immerse themselves in that feed
[52:14.080 --> 52:19.600]  They scroll through they read your your your advertisements just like they read your other pieces
[52:19.920 --> 52:27.600]  So they're actually consuming them and they're habituated to click on the link and follow through and uh, and that's the advertising that works
[52:27.680 --> 52:29.440]  the problem is
[52:29.440 --> 52:31.440]  particularly on mobile, uh
[52:32.080 --> 52:33.760]  People where do people start?
[52:33.760 --> 52:37.360]  Wait, they they they start on twitter and this is why twitter still has potential
[52:37.840 --> 52:43.840]  Uh, but the vast majority of people the vast vast vast majority people start on facebook that that's that's the app
[52:43.840 --> 52:49.600]  They open when they're doing nothing. The other thing too is is advertising works best when you're not doing something
[52:50.080 --> 52:56.800]  Right if i'm sitting down to do a job or to accomplish something i'm focused and I don't want to be distracted
[52:56.880 --> 53:00.400]  That's why I think uh, the priest the pre-roll ads on videos
[53:00.560 --> 53:04.480]  I think is is going to turn out to be less effective of format than people
[53:05.520 --> 53:10.240]  Had hoped they would be I mean it's video so it's going to be effective but it's an interruption which no no
[53:10.240 --> 53:14.640]  You it puts you in a bad mood. It does it always does and it often I often
[53:15.280 --> 53:16.320]  stop
[53:16.320 --> 53:20.880]  And yeah, you just close the tab and especially and I know
[53:22.160 --> 53:24.640]  My tolerance word has grown slightly
[53:25.440 --> 53:30.320]  Like but the ones when they make you say you have to watch the whole 30 then it's instant close
[53:30.320 --> 53:34.800]  I don't care what it is. I don't know that I maybe like once or twice a month
[53:34.960 --> 53:39.040]  I'll wait through the whole 30 because it really seems like something I have to see but
[53:39.040 --> 53:41.120]  it it doesn't and
[53:43.040 --> 53:46.480]  When I can stick skip it after three seconds I skip it every time
[53:47.200 --> 53:53.520]  I can maybe remember once in this like the last two or three months where there was something that was so compelling
[53:53.680 --> 53:55.680]  There was I don't remember i'll never remember this bit
