[00:00.000 --> 00:01.720]  Mg
[26:24.420 --> 26:27.380]  So, you know those ones that kids can like wave around and they make like a funny noise
[26:27.460 --> 26:30.100]  It's like that type of tube and it's just there on the floor
[26:30.580 --> 26:34.260]  And that's that's where your air conditioning comes from it's really they did it to them
[26:34.260 --> 26:37.780]  So and so that used to be the situation too with cabs in san francisco for sure
[26:37.780 --> 26:40.660]  They were disgusting like they're ridiculous cars. Um,
[26:41.220 --> 26:44.740]  I've noticed the only time they ever take a cab anymore in san francisco
[26:44.740 --> 26:46.900]  I've taken a few coming back from the airport
[26:47.140 --> 26:47.620]  um
[26:47.620 --> 26:50.420]  Just because obviously a lot of cities as i'm sure you know
[26:50.500 --> 26:55.380]  To have these weird rules around like where an uber lift can pick you up and like, you know
[26:55.540 --> 26:59.060]  Sort of the it takes sometimes longer to wait because of that as a result
[26:59.380 --> 27:00.180]  So if i'm in a hurry
[27:00.180 --> 27:04.900]  i'll just hop in a cab and um, so i've been in a few recently coming back from places and
[27:05.620 --> 27:09.860]  Uh, the cabs are like night and day better than they were those eight years ago
[27:09.940 --> 27:17.380]  I mean, it's it's the case of just the existence of uber lift and everything else has has caused them to has forced them to
[27:17.940 --> 27:22.580]  Uh to up their game, which means no longer accordion tubes of heat
[27:23.060 --> 27:28.900]  Uh, and of course they all now have you know, sort of at first none of them would take credit card in san francisco
[27:28.900 --> 27:34.500]  It drove me insane now. They all seem to um as a result of this but um,
[27:35.140 --> 27:38.580]  Yeah, things like that and you can summon a few from apps now
[27:38.660 --> 27:45.540]  It seems like and and whatnot. So it has uh risen all risen the tide has risen for all boats, but uh still
[27:45.780 --> 27:48.500]  Yeah, took him took that case for it to happen
[27:49.620 --> 27:54.980]  All right, let's hold that thought because i'll come back to it. Um, I don't want to talk about apple and
[27:54.980 --> 27:59.620]  Where the rise of the self-driving cars might play into apple's car ambitions, but i'm going to take a break
[28:00.260 --> 28:06.100]  And thank our first sponsor. It is wealthfront wealthfront is an automated investment service
[28:06.660 --> 28:10.820]  That holds over three billion dollars in client assets in plain english
[28:11.460 --> 28:15.960]  Wealthfront makes it easy for anyone to get a sophisticated access to a sophisticated
[28:16.960 --> 28:23.140]  diversified long-term investment portfolio without high fees in fact with very low fees and
[28:23.140 --> 28:24.580]  with uh
[28:24.580 --> 28:27.620]  Minimal account minimums. You don't you don't have to put a lot of money in
[28:28.500 --> 28:35.140]  You just give it your money to wealthfront you invest it there and then they take care of all the complex stuff of where to
[28:35.140 --> 28:37.140]  Actually invest it
[28:38.020 --> 28:43.860]  Investors with small accounts love wealthfront because they're low account minimum. It's just 500 bucks
[28:44.420 --> 28:50.260]  So you don't have to put a lot of money into this if you want to get started with our wealth front and in fact
[28:50.260 --> 28:57.540]  Even their clients who have larger investments large investments typically start with a small amount
[28:58.180 --> 29:02.580]  Just to see what it's like just to double check don't take my word for it as a guy reading a podcast ad
[29:02.820 --> 29:07.940]  Just you know put 500 or a thousand dollars in see how it works. See how easy the website is, etc
[29:08.420 --> 29:14.260]  And then put your quote-unquote real money in but you can start with just 500 bucks and up to
[29:14.260 --> 29:20.580]  $10,000 is managed for free. Totally free
[29:20.580 --> 29:24.260]  But if you follow the URL I have for you, which is wealthfront.com
[29:25.060 --> 29:29.300]  The talk show you get up to fifteen thousand dollars managed for free
[29:30.740 --> 29:35.780]  Investors with larger accounts over fifteen thousand dollars love wealthfront because
[29:36.740 --> 29:40.020]  They have incredibly valuable investment services
[29:40.020 --> 29:44.820]  They do things like something called tax loss harvesting long story short
[29:44.820 --> 29:49.060]  It just minimizes the amount of taxes. You have to pay strategically on your investment
[29:50.580 --> 29:57.860]  And the fees are incredibly low their client fee is just one quarter of one percent and that's only
[29:58.420 --> 30:02.980]  On the money you put in the account over ten thousand dollars, but it's over fifteen thousand dollars
[30:03.460 --> 30:05.460]  If you follow my URL
[30:05.460 --> 30:09.140]  So if you're looking for a smarter way to invest for the long term
[30:09.940 --> 30:16.980]  Go check them out. They have so much information on our website and so many different account types. They have corporate accounts. They have
[30:17.780 --> 30:20.420]  Anything you can want way more detail than I can tell you
[30:21.620 --> 30:23.620]  Go to wealthfront.com
[30:24.820 --> 30:29.300]  The talk show wealthfront.com the talk show. It's a great place to invest your money
[30:30.420 --> 30:32.420]  So I would say this is one of the most
[30:32.420 --> 30:38.820]  Frequent emails I get on a weekly basis from readers of of daring fireball or listeners of this show
[30:39.380 --> 30:42.420]  Is just readers just saying hey, hey, john
[30:43.860 --> 30:45.860]  Idea
[30:45.860 --> 30:52.100]  What if apple's car project isn't about a car that they're going to sell what if it's uh, like a self-driving car service?
[30:53.300 --> 30:57.540]  And I I can't tell you I I mean literally I get two or three emails like that a week
[30:57.540 --> 31:03.140]  And my answer is if I if I answer the email I a lot of times I don't have time to answer emails
[31:03.140 --> 31:05.140]  I'm, sorry about that. But my answer is
[31:05.780 --> 31:07.780]  Maybe I I don't know
[31:08.340 --> 31:15.860]  It's it's possible. I mean my only thing about that though. Is that apple traditionally is a company that at its core makes
[31:16.720 --> 31:18.720]  objects
[31:18.740 --> 31:24.260]  That are beautiful that are well designed that have like a a a sexiness to them
[31:24.260 --> 31:30.340]  And then they sell them to people who want nice things at a premium price. That's just what apple does. So
[31:31.380 --> 31:37.460]  Common sense would tell me that it just by history that if apple's making a car they're making a car that they plan to sell at
[31:37.460 --> 31:40.740]  A uh at a high profit. Yeah, I mean so
[31:41.380 --> 31:48.260]  That's been a thing that that's been bandied about I guess since since the whole rumors of apple car started
[31:48.740 --> 31:50.740]  first and foremost it was
[31:50.740 --> 31:54.180]  uh
[31:54.180 --> 31:58.660]  Was it going to be an electric car and it seems like I mean that's a that seems like a for sure thing, right?
[31:58.660 --> 32:03.860]  There's no chance that apple makes a uh, you know an old gas guzzler type car
[32:04.580 --> 32:09.460]  I I would say of yeah, I would say of all the maybes and who the hell knows what they're planning with cars
[32:09.460 --> 32:12.180]  That's the one thing I would I would say is 100 a lot
[32:12.180 --> 32:19.140]  Yeah, because it's it's so off their brand at this point right where they're so committed with environments and everything, right?
[32:19.140 --> 32:25.700]  Like right. Yeah, they're so committed to the environment. I mean here in I bet it's the same everywhere but here in philly
[32:26.740 --> 32:33.460]  Uh, the front of the store right now says, uh, this store is runs on 100% renewable. I saw that exact same thing the other day
[32:33.540 --> 32:36.660]  Yep, there's there's no way
[32:37.860 --> 32:40.820]  You could sell a device that runs on gasoline
[32:41.460 --> 32:47.220]  Inside a store that says the store runs on 100% renewable energy. You just can't it's off the brand
[32:47.220 --> 32:52.020]  It's off their brand. So I just clearly they're not I don't even think they're they're looking at maybe yeah
[32:52.020 --> 32:54.500]  maybe in like 10 years they'll have the campaign like, you know, we
[32:55.220 --> 33:01.220]  You know, we really are upset that global warming has slowed to the level. Um, you know of sustainability
[33:01.220 --> 33:06.660]  So we're really amping it up. We want to want to get get that back on track. Uh, the world is becoming too cold
[33:07.220 --> 33:08.020]  um
[33:08.020 --> 33:10.020]  and so yeah, uh
[33:10.020 --> 33:16.100]  So that I do wonder like I and I also think I mean I would I would guess that that also rules out a hybrid
[33:16.100 --> 33:20.500]  Um, you know, they could do something like that, I guess but I would imagine that they just we're in this
[33:20.660 --> 33:24.500]  We're at the place now with with where tesla is at or it would make no sense
[33:24.500 --> 33:27.540]  I think to even do a hybrid approach. It has to be all electric, right?
[33:28.820 --> 33:33.460]  I think so. I I think even and I just think they can't get they just can't get near I think
[33:34.980 --> 33:41.940]  I think branding wise is why i'm certain that they just can't get near gasoline, but I think just putting on my you know
[33:41.940 --> 33:48.420]  Predicting the future hat. Uh, I I just think that's on the way out. I think that hybrids were obviously a stop grab
[33:48.740 --> 33:51.780]  And you know, maybe a necessary one. I'm not even saying that they weren't, you know
[33:52.420 --> 33:55.140]  That the hybrids are on a road aren't doing a good job
[33:55.140 --> 33:58.420]  But it clearly doesn't seem like that's where the puck is going
[33:58.580 --> 34:05.380]  So the other point of would apple just do this as sort of a service type thing is an interesting question
[34:05.380 --> 34:08.420]  um, I mean i'm with you that I
[34:08.420 --> 34:13.700]  It just doesn't seem like it's it's what they do that they would they would do something like that
[34:13.700 --> 34:16.260]  It is interesting to think about if they're you know
[34:16.260 --> 34:21.620]  If they're sort of looking at the big level picture of what everyone else is looking at like with with regards to the quote-unquote
[34:21.620 --> 34:27.300]  Doom of apple, you know that they can't find they can't find a business. That's um, that's more interesting than the iphone
[34:28.180 --> 34:33.940]  Do they start to really think outside the box and as they they start to go down the path more of services? I mean
[34:33.940 --> 34:40.900]  Maybe there's a chance that uh, you know, they realize that this beyond just selling a car themselves
[34:40.900 --> 34:46.820]  Maybe it's more interesting to have a service that's you know, potentially a more stable source of of
[34:47.460 --> 34:48.900]  ongoing revenue
[34:48.900 --> 34:54.180]  Uh, maybe but I don't I mean, I don't think that that's the case, but that's the only like argument I could make
[34:54.820 --> 34:57.300]  As to why they would do something like that. Um
[34:58.180 --> 35:01.380]  I do think the self-driving question itself is interesting
[35:01.380 --> 35:09.940]  It also would seem to me that that's what uh, they would likely be going after versus having it just be full-on electric
[35:09.940 --> 35:11.220]  But I don't know about that
[35:11.220 --> 35:17.860]  It's possible that they're doing like a a two-pronged approach one an electric car that you can drive yourself like tesla
[35:18.340 --> 35:22.260]  To the fully self-driving one or some sort of hybrid as you know
[35:22.260 --> 35:25.540]  Like sort of a lot of the teslas now are rolling out these like software updates to do
[35:25.940 --> 35:29.860]  Like autonomous driving in some capacity like when it's on the freeway and then like
[35:29.860 --> 35:34.180]  capacity like when it's on the freeway and whatnot. So, um, it could end up being something like that
[35:35.940 --> 35:38.420]  I I I just feel like the timeline
[35:38.980 --> 35:40.580]  Doesn't add up
[35:40.580 --> 35:46.980]  To bank on self-driving my my best guess and it just sounds so like like i'm trying to have it every way
[35:47.060 --> 35:50.260]  I'm not you know, i'm not making a firm prediction, but my guess is
[35:51.140 --> 35:57.320]  That apple is working on electric cars that they are absolutely working on self-driving technologies
[35:57.320 --> 36:00.920]  And what you know, let's say the early I think the earliest they could possibly
[36:01.640 --> 36:09.640]  Actually unveil an apple-branded car is like 20 20. So even even if there's some kind of apple
[36:10.520 --> 36:15.880]  Magic that that throwing their resources at that that that proves me wrong
[36:16.440 --> 36:20.120]  2019 I mean that just seems crazy to go from not having a car
[36:21.320 --> 36:25.720]  Other than as a secret project to actually having them on the road that you can buy 2019 seems like
[36:25.720 --> 36:27.720]  Fantasyland
[36:27.720 --> 36:32.760]  By 2020 will self-driving cars be there that you could do like the
[36:34.600 --> 36:37.880]  Not even have your hands on no, you know not even be paying attention to the road
[36:37.880 --> 36:44.520]  I just don't see that as possible and even just legally right even if the technology I think the technology is going to get there before
[36:45.320 --> 36:51.960]  The laws yeah, I mean that's that's a hundred percent for sure. Um, I mean I guess
[36:51.960 --> 36:58.680]  They could it maybe you could look at it sort of like the way, you know, like the iPhone rolled out right like there were
[37:00.440 --> 37:02.120]  Faster
[37:02.120 --> 37:08.840]  3g services at the time right, but they rolled out without 3g and so like maybe it is still the case even if there was
[37:09.400 --> 37:16.120]  Self-driving cars out on the road and like or you know, say 75 self-driving. It's like it could be self-driving beyond like a few
[37:17.240 --> 37:19.240]  You know areas where it's not
[37:19.240 --> 37:22.840]  It's possible that Apple would just roll out. It is not, you know, not
[37:23.400 --> 37:28.520]  Advertised or whatever as as self-driving because they don't feel like it's a good enough experience yet
[37:28.520 --> 37:31.560]  and that's that I could see that, you know that world where it's like
[37:32.360 --> 37:39.720]  You know, maybe maybe Google is something out there. Maybe you were maybe Tesla and they're they're billing them more as self-driving
[37:39.720 --> 37:46.920]  But Apple is a bit more sort of cautious on that front and and and really waiting for it to be like a fully self-driving thing
[37:46.920 --> 37:49.480]  Before they they go down that road
[37:49.480 --> 37:56.200]  Yeah, that's exactly what I think is that they're they're planning for that full steam ahead, but that they are also planning
[37:56.760 --> 37:59.000]  I'm guessing to ship a car before that's ready
[37:59.000 --> 38:07.400]  Yeah, and that exactly, you know the analogy to 3g and LTE but 3g is the perfect example because they're 3g was actually there were 3g phones
[38:07.800 --> 38:13.560]  It's actually one of the you know, if you go back and look at the claim chowder of the people who who panned the original iPhone
[38:13.560 --> 38:20.200]  They'd be like, it's not even 3g, you know, it's right. I think it's that sort of thing where they're like look for practical purposes
[38:20.200 --> 38:25.160]  We're gonna go with edge for this one and you know, we'll pick up 3g in a year
[38:25.160 --> 38:31.240]  But do you think that they would do sort of like what Tesla has done so they roll out one high-end
[38:31.240 --> 38:36.120]  You know Tesla started with the Roadster which is like a super high-end super fancy sports car, right?
[38:36.120 --> 38:56.120]  And then and Elon Musk in that in that great blog post many years ago laid out exactly what they were gonna do and what they're now pulling off, right, that they would then roll out a cheaper version and then sort of a SUV type version and then like the cheapest version, you know, sort of the mass market version
[38:56.120 --> 39:10.360]  Do you think Apple would take that approach something akin to that where they do sort of one at a time versus rolling out like say two models, you know, like a high-end version and then more like the sedan for for regular folks or something
[39:10.360 --> 39:16.840]  Prior to Apple watch I would have said one for sure because that's how Apple always do things, right? There's one iPhone
[39:16.840 --> 39:33.720]  There's one iPad here it is. This is the iPad and only years down the road. Are there things like iPad pros and iPad minis and you know low-end models with two-year-old systems on a chip and high-end models with the latest and greatest only years down the road
[39:33.720 --> 39:55.720]  But without after Apple watch, I think I don't know. I don't I don't know that, you know, maybe Apple why I keep thinking that maybe Apple watch is not that it was that not that the only reason they did it was as a test for the car but that it it lays out the formula for the car where they might do three right Apple car sport, right?
[39:55.720 --> 40:07.720]  $20,000 $25,000 or something like that $30,000 Apple car $50,000 and the Apple car addition, you know for $100,000
[40:07.720 --> 40:17.720]  And I'm laughing but part of the reason I say that is that I know that there's enough, you know executives at Apple. I've been to the Apple parking lot
[40:17.720 --> 40:29.720]  There are a lot of really nice cars in in the infinite loop parking lot people who work at Apple have nice cars. It's it's almost like I've and we know like Johnny I've and and
[40:29.720 --> 40:52.720]  Phil Schiller and who else? Eddie Q. Right. He's on the board of Lamborghini, I think. Yeah. Yeah. So they're obviously car guys. They're they like their fancy car. Right? Yeah. So, you know, you know, how do you know, if they're already car guys who like exotic cars, how does Apple get into it without making an exotic car?
[40:52.720 --> 41:10.720]  Well, and to tie it back to what we were talking about earlier, you know, we were talking about in the context of Uber, like not needing to own a car anymore. Like, if we're talking about let's say it's it's 2020. So it's, you know, a little less than four years to say it's four years from now, four or five years from now.
[41:10.720 --> 41:39.720]  And more people are in the space of what, you know, sort of you and your wife were debating and me and my wife now live in, in, let's just say in urban areas, at least in city areas, that they feel like they don't need to own a car. Like, is it weird for Apple to be making a car that they would potentially be selling for whatever $50,000 in a world where decreasing number of people are buying cars?
[41:39.720 --> 41:58.720]  That's a great question. That's part of why I find this whole topic fascinating because there's so many trends that are moving, right? There's the, we've talked about them, but there's the, you know, gas to electric, there's the self driving is coming.
[41:58.720 --> 42:15.720]  There's and then like, there's this whole shared, you know, ride sharing thing where people just don't own cars period. I think, my guess is that, okay, fewer and fewer people are buying cars, but Apple can enter. And if you're going to buy a car, they're going to, they're going to have a compelling
[42:15.720 --> 42:44.720]  car. You know, that it's easy to say, sure, fewer people are buying cars, but it's, you know, people also said fewer people are buying watches. Fewer people wear a watch than ever before. That's true. That's a good point. Because I was going to, I was going to say like PCs, fewer people are buying PCs, right? But then Mac is still doing well, relatively speaking, but would they enter that world now, you know, knowing it's an overall shrinking world. And that's not to say they wouldn't, but it's, it's a calculation you have to make.
[42:44.720 --> 43:07.720]  Yeah, I totally, I think so. But I just think that the market for cars is so big, that so many, you know, there are so many car companies and so many, you know, it's just so much money in the industry overall, that even if it shrinks, you know, significantly, that Apple can take a sizable chunk of the profitable end of that market, and it still is huge.
[43:07.720 --> 43:36.720]  Right. And it's a potential, you know, talking, going back to the, what is the next iPhone? It's one of the potential things that could actually match the iPhone. Like, I think we're all, I think everyone, I would assume you're in agreement now, like, and always have been, but like, that even at the, the best case scenario for Apple Watch, it cannot match what the iPhone did just because of the whole subsidy model, you know, and the way that the world just worked back then.
[43:36.720 --> 43:46.720]  And the watch has nothing like that. Even if Apple sells more of them overall, they're not going to make as much money off of it because it's just a different business.
[43:46.720 --> 44:02.720]  Right. There's no way, even no matter how popular Apple Watch becomes, it's not going to sell in the quantity that iPhone does. And each one they do sell is going to sell for at least half the price, if not even less than half the price of the iPhone today.
[44:02.720 --> 44:03.720]  Right.
[44:03.720 --> 44:05.720]  Because almost everybody gets the sport model.
[44:05.720 --> 44:06.720]  Right.
[44:06.720 --> 44:07.720]  Which is a mistake I made.
[44:07.720 --> 44:11.720]  So it's a lower price product. It's a lower price. What, you did buy a sport?
[44:11.720 --> 44:24.720]  No, I should have bought a sport. I bought the regular Apple Watch, not the edition. I bought the regular one and I'm just like, I don't know why I did that. I did that because I thought it would be slightly different or whatever, but it definitely should have gotten the sport. Anyway, that's an aside.
[44:24.720 --> 44:43.720]  Yeah. Well, I've mentioned, I'm actually wearing it today. I have the regular one with the space black and I do like a link style bracelet and it is a wonderful bracelet and it's very comfortable. But I really think that the sport models are superior just because the Taptic engine works better.
[44:43.720 --> 44:50.720]  Yeah. And wasn't it supposed to have a slightly better screen? I remember like something slightly better maybe?
[44:50.720 --> 44:58.720]  The display isn't any better, but the surface of the display on the regular Apple Watch is sapphire.
[44:58.720 --> 44:59.720]  That's right.
[44:59.720 --> 45:04.720]  And the other one is whatever, ion-coated glass. So it does pick up fine scratches.
[45:04.720 --> 45:05.720]  Yeah, got it.
[45:05.720 --> 45:17.720]  But I've looked at my sons. My son has had an Apple Watch from I guess around a year and wears it a lot. He's a 12-year-old kid and it's not like he's taking good care of it.
[45:17.720 --> 45:25.720]  I've looked at the screen and it does have fine scratches, but it's no different than any other non-sapphire coated watch that I've worn.
[45:25.720 --> 45:37.720]  And when you're actually looking at the display head on the scratches, you can't see them. You have to do the thing where you turn the display off and kind of find a glaring light source to sort of spot the scratches.
[45:37.720 --> 45:57.720]  So yeah, most people are buying the cheaper version. High-end cars are one of the few things that could produce the types of revenues that would match iPhone potentially at a massive scale.
[45:57.720 --> 46:12.720]  Or at least be like the same class of planet. So maybe the iPhone is still Jupiter, but the car potentially is another gas giant. Could be like Neptune or something like that.
[46:12.720 --> 46:17.720]  As opposed to the Apple Watch, which is really just like another Venus or Earth or Mars or something.
[46:17.720 --> 46:18.720]  Yes.
[46:18.720 --> 46:38.720]  It's a planet. It's not Pluto. It's a real planet. Come on, you can't compare it to Jupiter. But the car could be just because the car could easily sell for $30,000. Quite frankly, it's Apple, so it's probably more.
[46:38.720 --> 46:53.720]  So I know you want to talk about the Peter Thiel thing, too, as well. And we can get to that. But while we're still on the topic of Apple, the one thing that I've been thinking about a lot recently is the whole Alexa and the rumors now.
[46:53.720 --> 47:05.720]  I think the information had the report the other day that Apple would be working on a potential Echo competitor. And of course, Google announced their home thing at IO, which is the Echo competitor.
[47:05.720 --> 47:17.720]  I'm interested in your take on that. I think at a high level, we went back and forth on Twitter a little bit one night. And I think you know my perspective on it, which is that the...
[47:17.720 --> 47:29.720]  Well, hold your thought. Because that was already in my list of topics I want to talk to you about. And we could do a whole segment on it. So let me take a break and thank another sponsor. Thank our good friends at Audible.
[47:29.720 --> 47:48.720]  Audible.com has more than 250,000 audiobooks and spoken word audio products. You can get a 30-day free trial at audible.com slash talk show. Just go to audible.com slash talk show. 30 days. You don't pay anything. You can listen to all this stuff.
[47:48.720 --> 48:02.720]  It's absolutely amazing the size of the library that they have. You can listen to these audiobooks from virtually any genre. And you can do it anytime, anywhere. And you can play them on your phone, play them on your tablet, play it on your computer.
[48:02.720 --> 48:19.720]  If you have Kindle Fire or one of the modern Kindles like that, you can play it on that. You can even play it on your good old-fashioned iPod, which is really where Audible got started sponsoring podcasts, was you download the stuff and just stick them on your iPod and listen to them.
[48:19.720 --> 48:36.720]  Audiobooks are great for flights, road trips, your daily commute. Really, I think the reason Audible keeps coming back to sponsor this show and other podcasts is that if you're listening to me read this sponsored blurb, that means you like listening to spoken audio content.
[48:36.720 --> 48:59.720]  And if you find yourself craving more, audible.com, nobody has a commute long enough to listen to all the stuff that Audible has. So go there and check it out. 30-day free trial, audible.com slash talk show. My thanks to Audible for their continued sponsorship of this show.
[48:59.720 --> 49:13.720]  Quickly, before we go into Alexa and whatnot, you brought up Bill Simmons' podcast earlier. I was always curious if you ever thought about doing what he does when he does his sponsor reads and plays, I think he plays a Tupac song or whatever in the background.
[49:13.720 --> 49:22.720]  But do you think about a way to sort of, I don't know, personate it differently than the rest of the show?
[49:22.720 --> 49:37.720]  I have, it's funny, it's very funny that you would bring that up because two reasons that I have thought about that is A, Bill Simmons' podcast, which now with this whole ringer thing, there's more of them and I've been listening to them and I've noticed that.
[49:37.720 --> 49:55.720]  And I like it. I really like his reads too. I think he does a great job at it. It makes me want to up my game on making sure that the reads are engaging. That's really one of the things I feel like when I do this show, I'm just having fun talking to people who I like talking to.
[49:55.720 --> 50:07.720]  And my job is doing the sponsor reads in a way that makes people not want to skip them. And how can I do that? What would it take for me if I were listening to the talk show to not want to skip this ad?
[50:07.720 --> 50:29.720]  And I never skip Bill Simmons', so I really, and it inspires me, but I've noticed that he plays the music behind it. And then the gang on Accidental Tech Podcast has started, it's almost like an in-joke, where they haven't been playing music behind the reads, but they've added little sounds to start it and close them.
[50:29.720 --> 50:37.720]  Okay, so to give people an indication of like, this is now the sponsored break.
[50:37.720 --> 50:58.720]  Ding, ding, ding. And then it's the sponsoring and then when it's over, it's like dun, dun, dun. And then it's like you're back. And I have to mention, because Marco Arment on ATP said that his inspiration for starting to do that when he edits the show is the absolutely great podcast, which I've mentioned before, Hello, Internet, with CGP Grace.
[50:58.720 --> 51:03.720]  CGP Grace and the other guy.
[51:03.720 --> 51:22.720]  When, so I've listened to Simmons' podcast for a long time, you know, dating back well to like the earlier, probably near when he started it at ESPN. And I think, because originally they would play, I think they would play like canned ads, and they still do this on many ESPN podcasts.
[51:22.720 --> 51:40.720]  And so he slowly evolved into more of the reads that you hear now and certainly what you do. And one of the reasons why I think like you like him and I like him too, is because he was so bad at it at first, like, it's almost like when someone told him that, you know,
[51:40.720 --> 51:53.720]  well, you got to do, you got to like actually talk about it. That's what resonates with sort of podcast listeners. And so, you know, if you're just like, you know, having a conversation, then all of a sudden dive into a spiel about, you know, whatever the advertiser is doing.
[51:53.720 --> 52:09.720]  It comes across much better than sort of a canned recording of whatever the advertiser is saying. And so, at first he was so bad at it. And I think he's evolved over time and almost like plays on like being bad at it, because it's not so bad anymore.
[52:09.720 --> 52:22.720]  But it's like, it's just natural, right? It's like the way that he would talk about it. And I think you, honestly, I think you do a good job of it as well. But the only thing is his just feels like more raw. That's, that's what it is.
[52:22.720 --> 52:49.720]  Yeah. Yeah. I have to add, it's Brady Haran is the other co host of Hello, Internet. But they do, they do the same thing with the bumper sounds. I don't know, I have to think about it. I'm not setting my ways on this. Okay, so Siri, so that so the information had a scoop the other day that Apple is planning both a Siri API for developers to extend Siri.
[52:49.720 --> 52:58.720]  And an Echo like standalone device, which is like the also competitive with the upcoming Google Home.
[52:58.720 --> 53:01.720]  Right.
[53:01.720 --> 53:14.720]  So I have had a Amazon Echo, I always get confused whether I should call it Alexa or Echo. Alexa is the persona, obviously.
[53:14.720 --> 53:21.720]  But it's also how you address it. You say, right, it's a weird branding issue.
[53:21.720 --> 53:34.720]  I think they should just call it Alexa, honestly. But anyway, so I've had one for several months now, about a quarter. And you definitely use it daily when I'm home, unless I'm on the road, of course.
[53:34.720 --> 53:45.720]  And I'm slowly but surely finding new use cases for it. You know, it started as sort of novelty, of course, just you know, what's the weather and whatever.
[53:45.720 --> 54:03.720]  Now I use it almost daily to to sort of read me the latest news, which is sort of another obvious one. But it's sort of a nice way just to when you when you get up in the morning, just like Alexa, what's latest news and it'll just start doing it like there's no there's no phone to unlock there's no button to push.
[54:03.720 --> 54:20.720]  You just speak out loud. That's what you want. My wife uses it all the time when she's cooking to say and it's like a constant thing. It's almost like a like a an orchestrated event of her cooking and with the Alexa in the kitchen saying like Alexa set a timer for two minutes.
[54:20.720 --> 54:33.720]  Then two minutes goes by it goes off Alexa off Alexa set a timer for five minutes. And it's like this whole thing that just goes on every night that she's cooking and it's it's really a good device.
[54:33.720 --> 54:49.720]  And I was skeptical of it when I first heard about it because it seemed ridiculous, right? It's a standalone expensive thing that does a lot of what you can already do with Siri and Cortana and you know what Google Now and some of the other things.
[54:49.720 --> 54:54.720]  But in using it, it's useful.
[54:54.720 --> 55:09.720]  Yeah, and there's a certain like the the kitchen scenario that cooking and cooking in the kitchen scenario is almost ideal for I have one too. I just got it like three weeks ago and and I'm not using it that much.
[55:09.720 --> 55:13.720]  But I think one of the reasons do you have any of the smart home stuff?
[55:13.720 --> 55:23.720]  Like bulbs and stuff like that. I don't have anything like that. Yeah, not that I think we do have like one light bulb thing, but not that we use and we don't have like a nest or anything like that currently installed.
[55:23.720 --> 55:38.720]  Right, but, but for the cooking stuff, so I know people, you know, people definitely use their phones for stuff like that. And I know, definitely people use like a smartwatch like your Apple Watch or whatever the smartwatch to do that stuff too.
[55:38.720 --> 56:00.720]  But the thing with echo is it's completely hands free, so you don't have to push a button on the watch or fish your phone out of the pocket or on, you know, I know your phone I guess if you know if you have a new iPhone you could if you have it plugged in, you can try the hey, you know, the name of I try to avoid it so we don't have to beep it but
[56:00.720 --> 56:12.720]  Siri. But you know it works even if not plugged in like this is a big thing that people. Oh yeah, it does now that's that's the thing that you have to have a new one for now that right that's a new feature right if you have like the iPhone success.
[56:12.720 --> 56:32.720]  It just seems though that echo is more reliable like you can really count on it. Yeah, it's to get to make sure that you that it, it's giving you the timer that you just told, I still want I go back and forth on this but told her to set right right.
[56:32.720 --> 56:42.720]  I struggle I really struggle with the pronoun for these things I tend to use her with Siri, and it's even weirder because I know that in some countries it defaults to a male voice. That's right, yeah.
[56:42.720 --> 57:02.720]  So do you should use it, and the whole. It's a very strange dynamic that I think will never be fully sorted out. But yeah, so you bring up like the, I don't, I even hesitate hesitate to call it accuracy because I'm not 100% sure that like Alexa is more
[57:02.720 --> 57:20.720]  accurate than say Siri. It seems that way, but it's just more reliable right like, and I think it's because it's a combination of things but one of the things is that, you know, when you set up Siri, you have to set it up by like saying, hey, I also don't want to set off all my devices.
[57:20.720 --> 57:37.720]  You know the word. Hey, she who shall not be named. And so you have to do that a few times right and so it's like Apple, obviously thought that that's like a good way to make it sort of personalized to you and so someone else can't necessarily set it off.
[57:37.720 --> 57:54.720]  But that is also a limiting factor it seems like and makes it less reliable. And so, Amazon just deciding not to do it that way and just leaving it open so anyone can trigger it, you know, ends up being I think a smarter implementation at least for now of how to do that.
[57:54.720 --> 58:13.720]  Yeah, and anecdotally, I've read this, and I've had since I've started talking about this, and you know, heard from people on Twitter and email sending me that a lot of guys heard it numerous times that people with young kids, their kids can use the echo really reliably
[58:13.720 --> 58:31.720]  and they have no luck at all with Siri Siri really doesn't series speech recognition really isn't good with kids and it's it's funny because it's like you know it you know that kids don't speak as I don't even know what the word is are they're not as articulate
[58:31.720 --> 58:45.720]  they don't enunciate as crisply as adults. It's like but you don't you tend to think of it as well that's just how kids talk, but it's it's seemingly from a speech recognition standpoint it's they're just harder to understand, whereas humans are so good that
[58:45.720 --> 58:59.720]  we don't really think of kids as being harder to understand we just think of them as sounding as kids, because our natural linguistic abilities are so good that we, we just blow right through the way that they mispronounce words.
[58:59.720 --> 59:06.720]  And so the kids thing is interesting also because before I got a echo everyone.
[59:06.720 --> 59:16.720]  One of the main themes that kept coming up is like kids love it, and I don't have kids, you have a son like just your son use it like, you know, not really he's, he's, but he.
[59:16.720 --> 59:23.720]  He kind of thinks it's pointless, because, but there's nothing he really wants to know from it that we have hooked up.
[59:23.720 --> 59:37.720]  We did have fun as the family the one, one or two nights playing music and calling out you know and then it's, it's funny because it's like if there's a song on and any one of the three of us doesn't like it, you can tell Alexa to stop and play something else.
