[00:00.000 --> 00:04.440]  It's been too long since you've been on the show Joanna. It really has been way too long
[26:18.180 --> 26:22.020]  I'm like, I've watched that clip a couple times now or multiple times now and I should remember
[26:22.020 --> 26:25.620]  And I was like, I I need to test that in like a real way
[26:25.620 --> 26:32.340]  And so it took I mean the behind the scenes production of that piece where I got these stunt doubles was weeks in the making
[26:32.340 --> 26:35.620]  Like it was it was especially working in a place like the Wall Street Journal
[26:35.620 --> 26:38.820]  There was a lot of legal things I had to do to make that piece happen
[26:38.820 --> 26:42.020]  And people were just like why did you do these things this year? And I was like frankly
[26:42.020 --> 26:45.460]  I think I was getting a little bit bored of the same thing every year
[26:46.340 --> 26:50.900]  And like, you know, look that goes to actually just the same thing that's probably happening in the smartphone market
[26:50.900 --> 26:52.900]  And in some ways or shape or form like
[26:53.780 --> 27:00.660]  Phones or phones and reviewing them as becoming harder and harder for us to do because a lot of it's not changed
[27:02.180 --> 27:04.740]  But yeah this year this year I pushed myself and
[27:05.380 --> 27:10.020]  There was a couple of weeks where I just was like, I think I'm gonna collapse from exhaustion
[27:10.020 --> 27:13.620]  But in a good way cuz I had so much fun doing all of those pieces
[27:13.620 --> 27:22.680]  Doing all of those pieces literally collapse my fall detection would have gone off if I had collapsed
[27:24.980 --> 27:29.060]  I have heard anecdotally from a few readers who've you know, who've who've
[27:29.620 --> 27:34.020]  You know fallen down a step or two or you know, something like that it it seems to work
[27:34.560 --> 27:40.820]  Remarkably well like with very few false positives and when they've fallen it's actually, you know been helpful
[27:40.820 --> 27:43.700]  You know or accurate at least like hey, are you okay?
[27:44.820 --> 27:48.740]  Yeah, so far so good. Everybody who's told me about this has actually been okay. So
[27:49.780 --> 27:52.660]  yeah, I mean that was like the crazy thing about taking the
[27:53.940 --> 27:59.300]  The leap to do that video was I had to get all these things set up with getting these stunt doubles who are really gonna
[27:59.300 --> 28:01.140]  fall who are really gonna like
[28:01.140 --> 28:02.740]  Take these tumbles
[28:02.740 --> 28:07.940]  And I didn't really know it was gonna work because I had kept trying to test it on my own with fake falls
[28:07.940 --> 28:11.700]  And it wasn't working. Yeah, so it was like I'm putting a pretty
[28:12.340 --> 28:14.420]  expensive bet on this working
[28:15.060 --> 28:19.460]  I mean, I thought like the way I pitched it to my boss was like even if it doesn't work
[28:19.540 --> 28:21.540]  We're still gonna do the story
[28:21.540 --> 28:25.300]  like we'll have these people falling and it doesn't detect it and then we'll have
[28:25.700 --> 28:32.180]  Apple's comment about why it doesn't but as you see in the video it detected it pretty much every time, right?
[28:32.180 --> 28:40.500]  Right and like we like recreated I tried to recreate each of the different trips and falls and slips that they did on stage
[28:41.860 --> 28:43.220]  so
[28:43.220 --> 28:46.420]  I remember talking about it that it was it was interesting because
[28:46.900 --> 28:51.940]  They like as a marketing thing for apple, like it's obviously an interesting feature
[28:52.660 --> 28:55.140]  But how do you show it without showing?
[28:55.700 --> 28:57.360]  things that are
[28:57.360 --> 28:59.780]  Unseemly, right? It's like and you know
[28:59.780 --> 29:05.380]  It everybody has said this every everybody I know immediately after the keynote was thinking about like if you've got
[29:06.180 --> 29:09.140]  Older parents or you know, anybody, you know who's older
[29:09.300 --> 29:15.540]  I mean that's it's a fall that somebody needs medical help for is more likely to happen to somebody who is older
[29:17.460 --> 29:21.220]  But apple didn't show that right it because it's you know
[29:21.860 --> 29:24.820]  Yeah, they don't want to seem to be marketing it that way, right?
[29:24.980 --> 29:28.180]  they want to seem to be like we're marketing at this towards a certain age or
[29:28.180 --> 29:31.460]  Right. And so they showed somebody like on a mountain, you know active
[29:32.020 --> 29:35.300]  Young man on a mountain bike taking a fall or something like that
[29:35.780 --> 29:42.340]  Yeah, they showed they've because I have watched it a number of times. They showed you a foot on a on a stool on a step stool
[29:44.100 --> 29:48.660]  Yeah, I mean but like the crazy thing is like I after testing it so much
[29:48.660 --> 29:55.540]  I was like, I think everyone of all ages should have this thing turned on. Yeah, like it can happen, you know, yeah
[29:55.540 --> 29:57.220]  You know, yeah
[29:57.220 --> 29:59.940]  No, and the other thing too is to demonstrate the different types of falls
[30:00.020 --> 30:05.780]  They switched to like pictograms instead of showing people falling they showed like little cartoon outlines of people
[30:06.580 --> 30:11.060]  Yeah, a little like circular things with people in the center, right? Because yeah
[30:12.260 --> 30:17.460]  It'd be kind of funny if they showed it and it was like a jackass, you know, like the old TV show jackass
[30:17.460 --> 30:24.260]  Is people taking terrible actual they should have done. What I did was get real stunt doubles. I would have solved all the problems
[30:29.220 --> 30:31.220]  Yeah, no, it's
[30:31.460 --> 30:34.340]  No regrets about doing that whole video. It was totally worth it
[30:35.540 --> 30:40.980]  All right. What else do we have to talk about? What were you saying you wanted to talk about after the sponsor break?
[30:40.980 --> 30:47.940]  Well the 10r. Oh, okay. Let's talk about the iphone 10r. So you just got one. I just bought one. Yeah. Yeah
[30:48.660 --> 30:49.620]  Yeah
[30:49.620 --> 30:50.500]  Yeah
[30:50.500 --> 30:55.300]  But I wrote a piece last week or two weeks ago after um, well two things happened one
[30:55.860 --> 30:59.220]  apple revised its its outlook and there was a lot of
[30:59.940 --> 31:04.340]  coverage of that and then the journal had a story right on the heels of that that the
[31:04.340 --> 31:11.460]  10r we didn't use the word flop, but that apple has cut back production and in a big way
[31:12.340 --> 31:15.300]  Apple has missed the mark according to themselves, right?
[31:15.300 --> 31:21.860]  Apple thought that they were going to sell many much more of these phones and they haven't and they and especially in china
[31:21.860 --> 31:28.900]  They thought they would and the the journal scoop was about how they they basically, you know, have cut back production and
[31:28.900 --> 31:35.860]  are disappointed in the sales, especially in china and I read that and like, you know said to my editor
[31:35.860 --> 31:40.580]  Can I write something on this because well one of the editors said do you want to write something on this and I was?
[31:40.900 --> 31:46.180]  Sort of feeling that like I want to write something on this because I think this is the best phone apples made in a really long
[31:46.500 --> 31:51.940]  time and the the narrative about it right now is that it's a flop and I think it's like
[31:52.580 --> 31:55.140]  I bought this phone. I recommend this phone to everyone
[31:55.140 --> 32:01.460]  I gave it a glowing review. Like I want to have a voice in this about why why do I think this is happening?
[32:02.820 --> 32:09.700]  And also like it was around I had gotten like a couple days earlier the marketing email from apple saying you can buy this phone for
[32:10.400 --> 32:14.900]  $450 right and then you read it and you're like, oh, okay because I have to trade in a phone and then it turns out
[32:14.900 --> 32:18.100]  Actually, I can only buy this phone like get $200 off my other phone
[32:19.940 --> 32:21.540]  So, yeah, I like
[32:21.540 --> 32:27.300]  I just I love I love the phone. I do. I want to say I mean, I don't use it. I use the 10s
[32:29.140 --> 32:32.580]  For two reasons I I actually do use the the
[32:32.880 --> 32:38.820]  telephoto camera lens a lot and it was the one thing that in like the two week week or two I spent using the 10r for
[32:38.820 --> 32:44.340]  The review full-time the one thing I missed was i'd see something like out in the street or something
[32:44.340 --> 32:48.500]  I want to take a photo of and i'd go to switch to 2x and it's like oh not there
[32:48.500 --> 32:54.100]  like I just forget I just I but like the main thing is after having after having used the 10s for
[32:54.660 --> 32:57.380]  over a well over a month the 10r didn't feel
[32:58.340 --> 33:04.340]  it it didn't feel like I I I kept thinking the 2x camera was there because
[33:05.540 --> 33:11.300]  It just felt so much like an iphone 10 actually it's you know at that point i'd been using an iphone 10 or 10s for
[33:11.540 --> 33:15.940]  You know over a year. Yeah. Yeah, the 10r completely feels like an iphone 10
[33:15.940 --> 33:23.540]  Um, right. I do use that 2x camera. I think most people don't I anecdotally, you know talking to friends and family like
[33:23.540 --> 33:28.580]  You know, I who have it to iphone 10. I some of them don't even know it has a 2x camera
[33:28.580 --> 33:32.580]  They just you know, they turn on the camera. They point it they shoot and that's it
[33:33.620 --> 33:38.900]  No, look, it's the one thing I miss and that that's where like i'd been using the review unit and I just finally came down
[33:38.900 --> 33:40.900]  and said I need to buy a new phone and
[33:40.900 --> 33:46.180]  The battery life is you know, really the best the best thing about the phone
[33:46.180 --> 33:50.180]  I think the biggest leap apple's made in in battery life in years. Yeah
[33:50.820 --> 33:55.140]  And I was like, I you know, this is what I need like I for me I can go
[33:56.740 --> 33:58.900]  Well, let's see what am I at right now i'm at
[33:59.940 --> 34:01.380]  73
[34:01.380 --> 34:04.180]  I probably actually haven't talked I talk on the phone a lot. So
[34:04.180 --> 34:10.500]  Usually like i'm at like 60 by midday on this thing. I don't think i've talked that much on the phone today
[34:12.660 --> 34:16.500]  But like i'm gonna make every day I make it and have at least
[34:17.220 --> 34:23.060]  15 battery life before i'm going to bed. I mean one thing i'm sure you'll agree on is and i'm like a very heavy user like
[34:23.380 --> 34:26.580]  On twitter. I might on email like all the time
[34:26.580 --> 34:31.140]  Especially if i'm in meetings during the day and I don't want to be the one that's going to be the one that's going to be
[34:31.140 --> 34:35.700]  All the time, especially if i'm in meetings during the day and I don't want to be the person on my laptop, you know, so
[34:36.660 --> 34:40.980]  um, so even on a regular day you're a heavy phone user, but I think you'll agree that while
[34:41.380 --> 34:45.780]  You're writing a review of a phone you use that heck out of it, right?
[34:45.860 --> 34:52.740]  Because you're you know, you're trying to get all of this stuff in you know, there's you know an embargo date that's lifting on monday
[34:53.060 --> 34:57.540]  So you're trying to test the camera you're trying to test this you're you know, you you use the heck out of it
[34:57.540 --> 35:03.940]  You you you're shooting video which is a real battery killer because you want to get video footage to test it and stuff like that
[35:04.340 --> 35:07.940]  When I was testing the 10r it was like I was using it, you know
[35:07.940 --> 35:13.060]  and i'd get to like, you know five o'clock or something like that and then i'd like look at the battery and it would be like
[35:13.620 --> 35:18.500]  70 I was like this is insane. Like I cannot believe this because i've been using this all day like
[35:19.300 --> 35:21.300]  and I do think that
[35:21.300 --> 35:27.300]  that it it's like the battery life is so good on the 10r that it actually I think has
[35:28.020 --> 35:33.300]  Put apple in a marketing quandary where they're actually seem to be saying it more and more
[35:33.620 --> 35:38.420]  In there like as they tweak the 10r message like i've seen yeah
[35:38.420 --> 35:44.260]  I think them I think the marketing around the phone has been horrible. I feel like it's like they don't
[35:45.380 --> 35:47.780]  like it's it's most obvious on the
[35:47.780 --> 35:53.940]  The uh, very excellent in terms of like the idea and helping you make your decision
[35:53.940 --> 36:00.020]  But when you say you go to their compare page for iphones and at the top there's a nice drop down and you can pick
[36:00.740 --> 36:03.720]  Any three iphones that are currently available?
[36:04.340 --> 36:10.820]  You know everything from the 10s max down to the iphone 7 or whatever the you know, the the last one that they're still selling is
[36:11.460 --> 36:12.340]  um
[36:12.340 --> 36:18.900]  And compare them the seven and it gets really weird when you compare the 10s 10s max and 10r
[36:19.060 --> 36:25.860]  The three new ones on battery life because they don't really come out and tell you. Hey the 10r kills on battery life
[36:26.340 --> 36:31.540]  It's like instead of it says like one hour more. I mean I can pull it up. I think it's one hour more on like
[36:32.160 --> 36:34.420]  wireless web and then it's like
[36:35.060 --> 36:38.900]  Or maybe let me just pull it up. It's like there's like a very small delta between
[36:38.900 --> 36:43.540]  No, but they don't even compare them. They stay the same. They don't even compare them to the same things
[36:43.700 --> 36:48.740]  It's like they pull it up and see but it's like as I recall they compare the 10r to like the iphone
[36:49.540 --> 36:54.980]  8 plus and say how much better it is than an iphone 8 plus but the 10s and 10s max
[36:55.060 --> 36:57.060]  They only compare to the iphone 10
[36:58.420 --> 37:04.260]  So they're not even comparing against the same phone the 10s and 10s max get compared against last year's iphone 10
[37:04.660 --> 37:07.860]  And the iphone 10r gets compared against the 8 plus
[37:07.860 --> 37:10.980]  So that they're not even comparing the same thing
[37:11.940 --> 37:13.940]  well, you can do it in the manual like
[37:14.500 --> 37:16.500]  compare drop downs
[37:16.980 --> 37:20.980]  Yeah, but the i'm telling but that's such a weird formulation that they compare, you know
[37:21.060 --> 37:24.100]  You're looking at all three and two of them. You're right. You're totally right
[37:24.180 --> 37:28.660]  It says lasts up to one and a half hours longer than the iphone 8 plus
[37:29.060 --> 37:32.980]  Lasts up to one out one and a half hours longer than the iphone 10
[37:32.980 --> 37:38.260]  But then if you go down and you scroll down it says talk time. Yeah up to 25 hours
[37:38.660 --> 37:42.500]  Up to 25 hours up to 20 hours on the iphone 10s
[37:43.140 --> 37:48.980]  Then it says internet use for the iphone 10r up to 15 hours internet use on the 10s max
[37:49.140 --> 37:54.420]  13 hours internet use on the 10s 12 hours. Yeah, so they do some you know
[37:54.980 --> 37:59.220]  Yeah, but I I think in in practical use it in practical use
[37:59.220 --> 38:06.020]  It's in practical use. It's it these numbers aren't even like ranking, right? I I I really do think that in practice
[38:06.020 --> 38:13.140]  So what's here? Let me just do the math real quickly 15 divided by 13 is 101. So 15 more on
[38:13.780 --> 38:19.700]  On quote in on the internet. I'm telling you anecdotally you get way more than 15 battery life on the 10r
[38:20.420 --> 38:23.380]  It's way. Yeah, I mean that's compared to the max. But yeah, I mean
[38:24.500 --> 38:26.020]  I look I
[38:26.020 --> 38:29.620]  They just and I feel like they don't want to hammer that point home
[38:29.940 --> 38:35.240]  Because they don't want to make the 10s and 10s max which costs so much more look bad in comparison
[38:35.700 --> 38:37.140]  you know that that
[38:37.140 --> 38:43.860]  This the 10r really should be emphasized as the by far the best battery life apple has ever put in an iphone
[38:43.940 --> 38:45.460]  But they don't really want to hammer
[38:45.460 --> 38:50.840]  I feel like they can't bring themselves to hammer that point home because it makes the 10s and 10s max look bad in comparison
[38:51.380 --> 38:54.420]  Yeah, so when I was writing this piece about why I don't think the 10r is done as well
[38:54.420 --> 38:56.980]  I mean one of the reasons I think is that the 10r
[38:57.860 --> 39:01.380]  As I said the piece the 10s and the 10x max, you know that to me
[39:02.020 --> 39:07.540]  The higher end people who early adopters people have the money they bought those right? They're like, oh, this is the best iphone
[39:07.540 --> 39:10.660]  I can get right that's where I actually like will argue
[39:10.660 --> 39:14.660]  I don't think it's the best iphone you can get I think the 10r is the best iphone you can get but apple like
[39:14.660 --> 39:20.900]  It makes sense. That's a more expensive phone better screen better, you know, slightly better camera with the extra lens, whatever
[39:20.900 --> 39:27.540]  the 10r like then has they have to make the argument that the 10r is this like middle better middle case scenario that
[39:28.100 --> 39:34.340]  You know is less expensive than the higher end but not as expensive or not as cheap not as
[39:34.900 --> 39:39.780]  Affordable or cheap as the iphone 7 and iphone 8 so it's like this weird middle child
[39:40.260 --> 39:45.060]  And it doesn't they don't do a great job of marketing why you'd want that one like the best
[39:45.380 --> 39:50.020]  The best thing they seem to have come up with is colors and it's like that's not the answer, right?
[39:50.020 --> 39:52.980]  The answer right the the marketing is that it's more fun
[39:53.300 --> 39:53.700]  Yeah
[39:53.700 --> 39:59.700]  Like the like the video the the ad where all the people are running around in the streets with the with the suits on and it's like
[40:00.180 --> 40:02.180]  What like no this is
[40:02.660 --> 40:06.020]  To me, like i've said it a couple of times like this is the best iphone i've used in years
[40:06.420 --> 40:12.660]  And to me that's that's not only because of the battery life. It's just the blend of everything right like the battery life the form factor
[40:13.380 --> 40:19.300]  Yes, I do miss the zoom sometimes but not enough like and you still can zoom you still it's just not optical
[40:19.300 --> 40:21.300]  You know, you're just getting digital soon
[40:21.460 --> 40:27.940]  Well, this was like what I harped on in in my review of the 10r which you know, I forgot about uh, frankly
[40:27.940 --> 40:32.020]  Because I I now have a real child a human child and not just my dog
[40:32.580 --> 40:38.580]  Um was like when they told me in the briefing no portrait mode for animals. I freaked out. I was like what?
[40:39.300 --> 40:41.860]  Why not? What is it so much harder to do animals?
[40:42.100 --> 40:47.300]  Like like, you know, what did I they they shared some things on the record off the record about you know
[40:47.300 --> 40:51.860]  The the algorithms and how they're using it to identify faces and all of that
[40:52.500 --> 40:54.580]  But you know, I thought that was going to be the biggest thing to me
[40:54.740 --> 40:58.260]  like am I going to miss portrait mode on on browser and
[40:58.820 --> 41:01.300]  Turns out I didn't and that's why I went for the 10r. Yeah
[41:02.260 --> 41:03.940]  um
[41:03.940 --> 41:07.300]  yeah, and the other thing too is that
[41:08.260 --> 41:09.780]  the
[41:09.780 --> 41:11.780]  the biggest
[41:12.020 --> 41:14.020]  Other than the camera the other big reason
[41:14.020 --> 41:17.620]  That the other big difference is that the 10r has an lcd
[41:18.260 --> 41:19.220]  led
[41:19.220 --> 41:20.740]  lcd screen
[41:20.740 --> 41:25.220]  Not oled right, uh, and it's 2x retina instead of 3x retina
[41:26.020 --> 41:27.860]  um
[41:27.860 --> 41:33.140]  But it turns out I mean I actually asked I was like is that the reason it gets better battery life and I was told
[41:33.140 --> 41:35.220]  Yes, that yes that the led
[41:36.100 --> 41:40.100]  Both both because led is led and because it has fewer pixels
[41:40.100 --> 41:47.620]  Right the lower resolution. Yeah lower resolution means the gpu has to control fewer pixels on screen and it actually is more efficient
[41:47.620 --> 41:54.580]  It's it's that's the reason the 10r gets better battery life than the bigger 10s max and way better
[41:55.220 --> 41:57.380]  Battery life than the slightly smaller 10s
[41:58.900 --> 42:03.860]  And you say well, okay, so it's more efficient but it's a cheaper screen and it's only 2x
[42:03.940 --> 42:06.740]  It's like not even 10 quote unquote 1080p
[42:06.740 --> 42:12.420]  Um, I like the led screen. I do see the difference in in blacks, right?
[42:12.420 --> 42:16.260]  Like the oh, I definitely see the difference when I go back to using yeah
[42:16.260 --> 42:24.260]  But to me side by side the only place where I really prefer the oled is like when when having really deep blacks matter
[42:24.260 --> 42:30.180]  Like watching if you're watching video or something and it's a dark scary thing or black or whatever
[42:30.180 --> 42:36.820]  But I don't watch tons of video on my phone and the type of videos I do watch on my phone are just like you know
[42:36.820 --> 42:43.220]  Like youtube reviews, you know, and so the the depth and my videos. Yeah. Yeah, exactly
[42:43.220 --> 42:48.500]  That's what I meant like, you know product. That's what you meant. Yeah, Joanna's videos. No, I that actually is true though
[42:48.500 --> 42:50.500]  I probably do watch most of your videos
[42:50.500 --> 42:57.220]  I'm gonna put more black scenes in my in my videos for you. I don't do much where where I don't do much
[42:57.220 --> 43:01.060]  I don't do much where we're having the true black of oled
[43:01.780 --> 43:08.580]  Matters if anything I would rather have an oled ipad because I do watch stuff like netflix on my ipad
[43:09.220 --> 43:15.940]  Where you know, i'd rather have an oled ipad and an led phone than the other way around I I understand
[43:15.940 --> 43:19.780]  Why the ipad hasn't gone oled yet for technical and cost reasons
[43:19.780 --> 43:23.300]  But but that's where I watch videos in my day-to-day life on the phone
[43:23.300 --> 43:28.100]  In my day-to-day life on the phone. I don't most of everything I look at is, you know white background
[43:28.340 --> 43:31.940]  And I actually like the led. I feel like it it it
[43:32.500 --> 43:34.660]  Has better if anything better
[43:37.380 --> 43:40.660]  Angles, you know, like you can look at it from any angle and it and it
[43:41.220 --> 43:45.700]  And it looks great and the 2x 3x retina thing I think is a total
[43:46.640 --> 43:50.020]  checklist looking at the specs nonsense because
[43:50.020 --> 43:57.620]  Sure in theory 3x is better than 2x, but the way that oled works where it actually
[43:59.140 --> 44:06.020]  You know, there's there's a different count of the sub pixels. It's on led. It's simple every single pixel is red green blue
[44:06.740 --> 44:08.740]  on oled
[44:09.300 --> 44:13.860]  I don't I'm sorry for those of you who care but I forget which one it is
[44:13.860 --> 44:17.060]  But it's like there's like a green pixel for every pixel
[44:17.060 --> 44:21.460]  For every pixel, but only every other one gets a red and only every other one gets a blue
[44:21.460 --> 44:27.540]  It's like when you look at it under a microscope. It's not a simple RGB layout and this is a neil patel conversation
[44:27.540 --> 44:34.580]  Yeah, it's not for this. Yeah, I think we did talk about it when it was on but basically though if you count sub pixels
[44:35.060 --> 44:38.260]  The actual basically saying I didn't listen to that whole thing now, you know
[44:39.540 --> 44:41.540]  it's actually uh
[44:41.540 --> 44:47.380]  if you count sub pixels the actual red green and blue diodes under the screen a
[44:48.340 --> 44:54.340]  Three or 2x led has a is very close in resolution to a 3x oled
[44:54.340 --> 45:00.420]  Like the reason oled is 3x is because at 2x it would look terrible. It would look it would look worse than it
[45:01.140 --> 45:06.100]  And so it's it's not even that much better, you know, and I don't see the difference
[45:06.100 --> 45:10.260]  I don't look and I know you know, I'm I'm getting older and I don't have the vision I used to but
[45:10.260 --> 45:12.260]  I don't look at the 2x
[45:12.740 --> 45:17.380]  X10r and think oh those pixels are too big. I can see the pixels. It's it's a great display
[45:18.100 --> 45:22.020]  It's a great display. And I mean going back to taking photos with it
[45:22.580 --> 45:27.940]  I you know for me that's always the biggest kind of test with the oled is like I when I'm taking photos with it
[45:27.940 --> 45:31.780]  Is it look as as good as the shot? I'm gonna take right, right?
[45:32.740 --> 45:37.940]  And I like I don't have that with the 10r or just like take I like taking photos with it
[45:37.940 --> 45:40.420]  I like taking photos with it. I think my photos look great on it
[45:41.060 --> 45:43.780]  again, just wish I could have portrait mode of browser, but
[45:44.740 --> 45:45.860]  You know
[45:45.860 --> 45:52.660]  Yeah, it's you know, I think it'll come someday. I think apple's gonna be working on portrait mode for browser on on the 10r for me
[45:52.900 --> 45:54.900]  Well, I think that the technical reason
[45:55.460 --> 45:59.780]  It's browser mode. It's what they're gonna they're calling it internally. I heard I it's because
[46:00.260 --> 46:06.180]  Portrait mode with the the cameras with two lenses use both lenses right at the same time
[46:06.180 --> 46:08.180]  to get the depth
[46:08.500 --> 46:10.500]  Mask or whatever they call it
[46:10.660 --> 46:13.380]  Whereas with only one camera lens, they've got to
[46:14.180 --> 46:19.140]  Figure out the depth thing software right and the software it's like the machine learning thing. They have it's
[46:20.260 --> 46:22.420]  specifically trained on human faces, you know
[46:23.700 --> 46:29.540]  Well, that's for the video. I went I hit this other crazy idea for the video that I wanted to find like animals that look like
[46:29.540 --> 46:31.540]  humans
[46:31.540 --> 46:38.660]  Um, but I ended up going to a farm to shoot it. Yeah and tried it with like every animal I could goats cows
[46:39.460 --> 46:45.060]  Uh, we had a duck in there and you know, I couldn't I couldn't get it to work. I did get it to work
[46:46.020 --> 46:48.820]  If you've watched the video with the front-facing camera
[46:49.380 --> 46:53.140]  So if you hold the front-facing camera because there's two cameras there
[46:53.940 --> 46:59.620]  and you do a selfie with an animal or you hold the camera around the other side you flip the other side and you're
[46:59.620 --> 47:02.020]  Shooting with that you can use portrait mode
[47:02.820 --> 47:07.460]  To get animal photos. I tried it with mannequins. This is this is oh, yeah. Yeah
[47:08.660 --> 47:09.860]  and
[47:09.860 --> 47:13.220]  it it works great if it's sort of a
[47:14.660 --> 47:18.100]  It works exactly as you'd think with a mannequin that is pretty much
[47:19.860 --> 47:22.500]  Human realistic but most stores
[47:23.700 --> 47:27.540]  These days use sort of iconic mannequins, you know
[47:27.540 --> 47:31.140]  Like they don't really have eyes. They're just sort of like blank faces. You know what I mean?
[47:31.860 --> 47:35.940]  And so that's a weirder idea that then testing with the farm animals
[47:35.940 --> 47:40.100]  I have to say it makes a lot of sense that a realistic it really does a realistic mannequin
[47:40.100 --> 47:45.540]  It works great and with the sort of unrealistic would you just never give me an idea? Yeah
[47:45.540 --> 47:49.620]  It's I ended up not publishing those because I didn't I felt like I didn't take enough of them
[47:49.620 --> 47:55.540]  Like I took a couple have enough comparison. Yeah, and it's like when I first found the one that was there's like a
[47:55.540 --> 48:02.340]  Sort of like a second-hand shop nearby that often puts they have like a it's creepy little girl mannequin
[48:02.340 --> 48:08.740]  But it's really, you know human realistic, you know painted eyes, you know, it actually it's not just a blank, you know
[48:08.740 --> 48:10.740]  It has the coloration, you know
[48:11.940 --> 48:13.220]  And so out of the corner of your eye
[48:13.220 --> 48:18.420]  It looks like a little creepy little girl just standing perfectly still outside their store and you know
[48:18.420 --> 48:24.260]  The 10r portrait mode just it got her it worked perfectly every time when I was shooting pictures of it
[48:24.260 --> 48:29.540]  And that like and I'd already taken a few of other mannequins that have like blank faces
[48:30.340 --> 48:35.540]  And it never it didn't work with any of them and then the manager of the store called the police on exactly like what?
[48:36.900 --> 48:41.140]  So this guy taking pictures guys taking pictures of a child mannequin
[48:42.980 --> 48:46.020]  From multiple angles from multiple angles
[48:47.300 --> 48:51.700]  And then he keeps taking out different phones and taking them. Yeah, that was true
[48:51.700 --> 48:53.700]  Yeah, that was true
[48:54.740 --> 48:58.100]  Absolutely true totally normal guy, right?
[49:00.100 --> 49:05.300]  It is funny because I think I think one of my favorite portrait mode photos i've ever taken with an iphone 10 was
[49:05.780 --> 49:11.620]  Of a dog last year. I don't even know whose dog it was. I was at some beer garden place, uh outdoors
[49:12.180 --> 49:15.620]  And their neighboring table had this adorable like a black lab
[49:16.260 --> 49:16.980]  uh
[49:16.980 --> 49:19.780]  very friendly and he just was looking right at me like
[49:19.780 --> 49:24.180]  Just like like he wanted his picture taken and I said do you mind and I asked I said do you mind if I take?
[49:24.180 --> 49:27.780]  A picture of your dog nice because I wanted to see how portrait mode worked and they're like sure go ahead
[49:27.780 --> 49:29.700]  You know and I took a picture and it was just
[49:30.340 --> 49:34.980]  And it just one of those portrait mode shots that you it comes out and it's like I cannot believe I just now sure with
[49:34.980 --> 49:37.940]  I cannot believe this came off a cell phone, you know, yeah
[49:38.660 --> 49:40.660]  No, that's I have a couple I mean
[49:40.820 --> 49:48.420]  Having a real child. I I now appreciate those moments so much more too because I like not that I don't love my dog as much
[49:48.420 --> 49:53.300]  If not more than my real child, yeah, but I love them equally
[49:53.860 --> 49:57.060]  You love all your children equally one of the other cool things. You only have one child
[49:57.060 --> 49:59.780]  But do you have it you have a pet? No, we don't have pets
[50:00.500 --> 50:05.140]  Yeah, we travel too much. That's what I tell them. Yeah, they're all they're constantly on me about it
[50:06.660 --> 50:08.660]  Everybody wants pets but but me
[50:09.620 --> 50:12.820]  Yeah, but then you have another feeling of your head of your son
[50:14.020 --> 50:16.020]  You know bonding with your dog. Yeah
[50:16.020 --> 50:17.620]  I don't know
[50:17.620 --> 50:19.620]  It just seems like a lot of work
[50:19.620 --> 50:21.620]  It is a lot of work and now
[50:22.340 --> 50:24.340]  Yeah, it's a lot of work
[50:24.340 --> 50:26.340]  and now january
[50:26.580 --> 50:28.580]  Yes, exactly
[50:28.740 --> 50:34.340]  I see people walking the dogs outside and i'm like not me and I know that if we had a dog it would be me
[50:34.340 --> 50:38.020]  It would be me out there walking the dog. It's me every night and every morning
[50:39.620 --> 50:41.220]  Yeah
[50:41.220 --> 50:44.100]  You know and it's just easier to say no before you're in love with a dog
[50:44.100 --> 50:46.100]  I had a dog growing up and I loved him
[50:47.300 --> 50:52.580]  Tremendously, so I know exactly what it's like and if I had you know, if he came back I would I would you know
[50:52.580 --> 50:57.620]  I would I would of course do everything I could to make him as happy as I could but it's easy to say no before you
[50:57.620 --> 50:59.620]  Fall in love with the dog
[50:59.620 --> 51:04.340]  Yeah, and before you see your child fall in love with the dog. Yeah. Yeah. Yeah
[51:04.580 --> 51:08.740]  Yeah, because I was I was the closest to our dog growing up because I was the kid, you know
[51:10.020 --> 51:11.140]  Yeah
[51:11.140 --> 51:15.940]  Mm-hmm. Yeah, I mean our dog currently hates our kid. But yeah
[51:16.820 --> 51:20.900]  I mean, he loves him when he's dropping. He loves him when he's dropping food. It's it's wonderful for him
[51:20.980 --> 51:23.620]  he's like this is a full-on buffet and then
[51:24.420 --> 51:26.580]  The kid is like pulling his tail and you know
[51:27.220 --> 51:30.260]  tugging at his ears and trying to give him a hug and he's just like
[51:30.580 --> 51:32.580]  I don't like hugs and I don't like to be touched by you
[51:33.780 --> 51:37.380]  But he just sits there and takes it. Yeah, he really does. He's such a good dog
[51:37.380 --> 51:39.380]  Oh
[51:41.140 --> 51:48.500]  So but speaking of battery life have you gotten these the new battery cases to test I got mine this morning, yeah
[51:49.140 --> 51:51.860]  Um, I haven't gotten the 10r one. Hmm
[51:52.820 --> 51:58.740]  Do you have the 10r one? No, I only I only got the one for the 10s because yeah, that's what you have
[51:58.820 --> 52:01.460]  I've still like like you I still have my 10r review unit
[52:01.460 --> 52:06.660]  But the only one the only phone I used right now is my daily carry personally owned 10s
[52:06.660 --> 52:11.780]  So I got I just asked for the 10s battery pack. Well, yeah, I mean I that's the same like I just
[52:12.740 --> 52:17.300]  I bought the the red 10r a couple of weeks ago and i've been just using it
[52:17.300 --> 52:19.940]  And so i'm like when I get the battery case on here
