[00:00.000 --> 00:02.000]  He says he joined.
[30:49.880 --> 30:50.880]  Yeah.
[30:50.880 --> 30:53.200]  They didn't even bother painting his shoes a different color.
[30:53.200 --> 30:54.760]  Do you remember touching that cape?
[30:54.760 --> 30:57.640]  His paint color just goes straight down to- I don't know if you guys ever touched that
[30:57.640 --> 30:58.640]  cape, but it's plastic.
[30:58.640 --> 30:59.640]  Oh, yeah.
[30:59.640 --> 31:00.640]  They're all plastic.
[31:00.640 --> 31:01.640]  Yeah.
[31:01.640 --> 31:02.640]  Yeah.
[31:02.640 --> 31:03.640]  All the kind of things had plastic capes.
[31:03.640 --> 31:10.440]  Anyway, so John, I cut you off to make fun of flaccid Luke, so sorry, Mark Hamill.
[31:10.440 --> 31:18.960]  So we are here to talk today about the Ewok adventure, the 1984 TV movie that I've forgotten
[31:18.960 --> 31:19.960]  even exists.
[31:19.960 --> 31:24.520]  Now, I want to talk about The Mandalorian, because I feel like we could cover that in
[31:24.520 --> 31:26.440]  a reasonable length of time.
[31:26.440 --> 31:29.840]  We can kind of tie it in.
[31:29.840 --> 31:30.840]  Yeah, it's adorable.
[31:30.840 --> 31:31.840]  Yeah.
[31:31.840 --> 31:32.840]  All right.
[31:32.840 --> 31:38.200]  It's 2020, so- Let me take a break before we even get started,
[31:38.200 --> 31:40.560]  and I will thank our first sponsor.
[31:40.560 --> 31:42.080]  It's our good friends at Squarespace.
[31:42.080 --> 31:43.080]  Squarespace.
[31:43.080 --> 31:44.560]  You guys know Squarespace.
[31:44.560 --> 31:46.440]  My God.
[31:46.440 --> 31:51.240]  It's the all-in-one site where you go to make a website.
[31:51.240 --> 31:56.920]  You just go there, and it has everything built in from registering domain names to picking
[31:56.920 --> 32:03.880]  a template from a whole wide range of templates to configuring it right there in the browser
[32:03.880 --> 32:09.520]  yourself, as you make your website, and if you want a catalog where you want to sell
[32:09.520 --> 32:14.680]  stuff and do all the commerce right there on your site, you do that, set it up in Squarespace.
[32:14.680 --> 32:16.720]  You don't have to leave Squarespace to do it.
[32:16.720 --> 32:23.680]  You want to set up a blog or a podcast, and you post the episodes right there through
[32:23.680 --> 32:25.080]  the Squarespace interface.
[32:25.080 --> 32:29.520]  It's all right there, analytics, so you can see where people are coming from.
[32:29.520 --> 32:32.240]  All of it is right there in Squarespace.
[32:32.240 --> 32:38.120]  Could not be easier to use as a totally non-technical person, but if you are technical, you can
[32:38.120 --> 32:39.120]  dig in.
[32:39.120 --> 32:43.440]  You can configure the HTML, the CSS, the JavaScript, whatever you need.
[32:43.440 --> 32:48.680]  Fantastic both if you're technically oriented and if you're not, and as I always like to
[32:48.680 --> 32:52.160]  say, if you're listening to this show, there's a good chance you're on the technical end
[32:52.160 --> 32:56.640]  of the spectrum, but people come to you when they need help with a website.
[32:56.640 --> 32:57.760]  Send them to Squarespace.
[32:57.760 --> 32:59.260]  Get them out of your hair.
[32:59.260 --> 33:00.260]  Could not be easier.
[33:00.260 --> 33:02.400]  Could not be a better solution.
[33:02.400 --> 33:03.480]  Where do you go to find out more?
[33:03.480 --> 33:07.600]  Go to squarespace.com slash talk show.
[33:07.600 --> 33:09.320]  They get a 30-day free trial.
[33:09.320 --> 33:13.160]  Everybody gets that whether they come from the talk show or not, but then if you start
[33:13.160 --> 33:19.440]  at squarespace.com slash talk show, they know it's me, this show that they came from, and
[33:19.440 --> 33:22.880]  you can use the offer code talk show, T-A-L-K-S-H-O-W.
[33:22.880 --> 33:27.440]  You get 10% off your first purchase when you do sign up, so go to squarespace.com slash
[33:27.440 --> 33:28.740]  talk show.
[33:28.740 --> 33:29.740]  Big New Year's thing.
[33:29.740 --> 33:34.240]  I'm sure that'll be a push next year, but you can get started on your New Year's resolutions.
[33:34.240 --> 33:36.240]  Build a new website.
[33:36.240 --> 33:40.600]  John, does Marco ever make you listen to the reads right there during the show, or is he?
[33:40.600 --> 33:43.800]  It always sounds to me like he pops them in after the fact.
[33:43.800 --> 33:46.680]  John Wallis, Ph.D. He'll never reveal the secrets of our program.
[33:46.680 --> 33:50.560]  Well, don't you let people just listen to it?
[33:50.560 --> 33:53.040]  Yeah, but if you don't listen live, you don't know what's happening.
[33:53.040 --> 33:56.240]  Yeah, I love that Goober is just saying you don't listen live.
[33:56.240 --> 33:59.240]  No, I stick to Canon.
[33:59.240 --> 34:00.240]  Wow.
[34:00.240 --> 34:06.240]  You're getting better at this, because that's a good segue.
[34:06.240 --> 34:09.920]  There's multiple Canon versions now, because you've got the member version.
[34:09.920 --> 34:11.400]  No, that's not Canon.
[34:11.400 --> 34:12.400]  It's very complicated.
[34:12.400 --> 34:13.400]  No, that's fancy.
[34:13.400 --> 34:16.320]  But as you know, John, no one pays for podcasts, so don't worry about it.
[34:16.320 --> 34:17.320]  Actually, wait.
[34:17.320 --> 34:20.680]  So what is the Canon version of ATP?
[34:20.680 --> 34:21.680]  They're all Canon.
[34:21.680 --> 34:22.680]  No, they're not.
[34:22.680 --> 34:23.680]  God, that's unlikely.
[34:23.680 --> 34:35.760]  Every week, we put out three Canon episodes every single week.
[34:35.760 --> 34:42.760]  Over the break, at some point in the last 10 days, we introduced Jonas to the Star Wars
[34:42.760 --> 34:43.760]  holiday special.
[34:43.760 --> 34:47.280]  This is what I wanted to ask you, John, with this birthday of yours.
[34:47.280 --> 34:51.840]  What is it like to have a birthday so close to Life Day?
[34:51.840 --> 34:53.080]  That's never come up.
[34:53.080 --> 34:57.960]  I thankfully avoided ever seeing the Star Wars holiday special, despite knowing about
[34:57.960 --> 34:59.240]  it, despite knowing about its infamy.
[34:59.240 --> 35:05.360]  I avoided it for almost my entire life until we did it on the incomparable a year or two
[35:05.360 --> 35:06.360]  ago.
[35:06.360 --> 35:08.840]  And that was the first time I'd ever seen it, and it was terrible.
[35:08.840 --> 35:13.400]  And then somehow, I erased that from my memory, and I got sucked back into doing a commentary
[35:13.400 --> 35:15.040]  track on it this year.
[35:15.040 --> 35:18.560]  So I've seen it two times, both times in the form of a podcast.
[35:18.560 --> 35:20.280]  The first time, it really, really bothered me.
[35:20.280 --> 35:22.240]  The second time, I think I was mostly numb to it.
[35:22.240 --> 35:23.240]  But it's no good.
[35:23.240 --> 35:26.480]  I was really shocked, because we're on the same slack about that.
[35:26.480 --> 35:32.360]  And when it came up the first time, I'm like, I don't want anything to do with it.
[35:32.360 --> 35:36.920]  And I think I texted you, John, and you were like, don't watch it.
[35:36.920 --> 35:38.800]  I took a bullet for you.
[35:38.800 --> 35:44.440]  And then not like a year later, you were like, ah, doing a live commentary track, and I'm
[35:44.440 --> 35:45.440]  like, what are you doing?
[35:45.440 --> 35:46.440]  I thought it was a meeting.
[35:46.440 --> 35:47.440]  It was like a COVID vaccine.
[35:47.440 --> 35:48.760]  I need two doses to truly be immune.
[35:48.760 --> 35:51.040]  Yeah, I think so.
[35:51.040 --> 35:52.040]  I think so.
[35:52.040 --> 35:54.040]  Jonas is usually pretty keyed in on this.
[35:54.040 --> 36:01.080]  He's on YouTube all the time, and he knows the Star Wars.
[36:01.080 --> 36:06.280]  And he honestly, he had sort of vaguely heard about it and wasn't even sure it was real.
[36:06.280 --> 36:08.380]  Had never seen a moment of it.
[36:08.380 --> 36:17.500]  We dialed up somebody's copy of a copy of a VHS tape, best version available on YouTube.
[36:17.500 --> 36:19.520]  Did you get the one with commercials in it?
[36:19.520 --> 36:20.800]  Yes, I believe so.
[36:20.800 --> 36:23.240]  That's the only good part.
[36:23.240 --> 36:24.620]  I had some commercials.
[36:24.620 --> 36:27.440]  We started watching it, and he couldn't believe it.
[36:27.440 --> 36:30.120]  And I remember when it came out.
[36:30.120 --> 36:31.280]  I was so excited.
[36:31.280 --> 36:33.040]  I could not believe it.
[36:33.040 --> 36:37.320]  You know, it would be a chance for more Star Wars, and it was going to be free right on
[36:37.320 --> 36:38.320]  TV.
[36:38.320 --> 36:42.000]  And then the moment it started, I realized I knew exactly what was going on.
[36:42.000 --> 36:43.000]  This is horrible.
[36:43.000 --> 36:48.600]  And it just seemed to me, the thing that was the most confusing to me, though, and it gets
[36:48.600 --> 36:53.320]  to my problem with the articulation of some of the toys, is I could have accepted more
[36:53.320 --> 36:58.360]  readily if they had also recast all of the parts.
[36:58.360 --> 37:04.480]  And there was just some other young kid playing, quote unquote, Luke Skywalker.
[37:04.480 --> 37:09.720]  And there was a man in a gorilla suit playing, quote, Chewbacca.
[37:09.720 --> 37:15.240]  But they got the actors, and Chewbacca did look like Chewbacca.
[37:15.240 --> 37:18.200]  And it was like there was the real R2-D2.
[37:18.200 --> 37:23.000]  And I couldn't understand how these people could play any part in something that was
[37:23.000 --> 37:26.000]  obviously a complete and utter fraud.
[37:26.000 --> 37:32.160]  And I don't remember really watching it to completion, but it scarred me.
[37:32.160 --> 37:38.200]  It scarred me in a way that, because it seemed incomprehensible that there could be any affiliation
[37:38.200 --> 37:41.760]  with the actual Star Wars, but there clearly was.
[37:41.760 --> 37:47.360]  And yet this was a complete horrible shot on videotape fraud.
[37:47.360 --> 37:50.480]  So wait, let's save that.
[37:50.480 --> 37:52.760]  What year did that come out?
[37:52.760 --> 37:53.760]  1980?
[37:53.760 --> 37:54.760]  No?
[37:54.760 --> 37:56.240]  No, it was before Empire.
[37:56.240 --> 37:57.240]  It was, yeah.
[37:57.240 --> 37:58.240]  It'd be like…
[37:58.240 --> 37:59.240]  79.
[37:59.240 --> 38:00.240]  79, I think.
[38:00.240 --> 38:02.240]  79, yeah.
[38:02.240 --> 38:10.720]  Man, somebody do that math, because I think this goes towards the thesis statement that
[38:10.720 --> 38:11.720]  you sent me earlier, John.
[38:11.720 --> 38:12.720]  Yeah, well, okay.
[38:12.720 --> 38:13.720]  1978, Star Wars.
[38:13.720 --> 38:14.720]  1978, right.
[38:14.720 --> 38:22.560]  So what did Star Wars mean at that time, right?
[38:22.560 --> 38:30.200]  We'd had the one movie where basically a crazy old guy takes a kid and forces him to
[38:30.200 --> 38:40.120]  engage in something way beyond his pay grade, and ultimately it works out because of magic?
[38:40.120 --> 38:41.680]  It's a weird story, right?
[38:41.680 --> 38:47.040]  So is Earth Day that far off Star Wars?
[38:47.040 --> 38:51.920]  Yes, I agree, I definitely agree with you.
[38:51.920 --> 38:53.840]  They made a 70s variety show.
[38:53.840 --> 38:57.800]  Like if you're alive in the 70s, you know what they were doing, and they just shoved
[38:57.800 --> 38:59.880]  Star Wars into it, and it was bad.
[38:59.880 --> 39:08.360]  And they literally opened up the CBS Rolodex and just contacted the CBS rotary of… who
[39:08.360 --> 39:09.360]  do we call?
[39:09.360 --> 39:12.120]  Well, CBS always calls B. Arthur when there's…
[39:12.120 --> 39:13.640]  You got Maude there, right?
[39:13.640 --> 39:14.640]  Yeah, and if it had been…
[39:14.640 --> 39:15.640]  Why wouldn't you?
[39:15.640 --> 39:16.640]  I would call B. Arthur.
[39:16.640 --> 39:19.480]  If I was going to throw in a party, B. Arthur's coming.
[39:19.480 --> 39:20.480]  Right.
[39:20.480 --> 39:25.100]  And if it had been on ABC instead of CBS, it would have been a completely different
[39:25.100 --> 39:26.100]  set of stars.
[39:26.100 --> 39:32.040]  It would have been like John Ritter from Free's Company would have been instead of B. Arthur,
[39:32.040 --> 39:33.040]  you know.
[39:33.040 --> 39:34.040]  And Harvey Korman.
[39:34.040 --> 39:35.040]  And Harvey Korman, you know.
[39:35.040 --> 39:36.040]  Art Carney.
[39:36.040 --> 39:37.040]  Right?
[39:37.040 --> 39:38.040]  That, you know what?
[39:38.040 --> 39:42.040]  That would have been a great show.
[39:42.040 --> 39:43.040]  Right.
[39:43.040 --> 39:47.320]  And if it would have been NBC, they would have got Bob Hope instead of Art Carney, you
[39:47.320 --> 39:48.320]  know.
[39:48.320 --> 39:52.440]  And, you know, all of a sudden Bob Hope is in for 30 seconds.
[39:52.440 --> 39:54.440]  Bob Hope doing Yoda would have been good.
[39:54.440 --> 39:55.440]  Yeah, but no matter what…
[39:55.440 --> 39:56.440]  No, he didn't exist.
[39:56.440 --> 39:57.440]  It was on Jefferson Starship.
[39:57.440 --> 39:58.440]  Put him in there.
[39:58.440 --> 40:00.740]  Just for the name.
[40:00.740 --> 40:01.740]  It broke my heart.
[40:01.740 --> 40:03.680]  Anyway, here's my thesis statement.
[40:03.680 --> 40:04.680]  My premise for the show.
[40:04.680 --> 40:05.680]  I ran it by a guy.
[40:05.680 --> 40:10.200]  I didn't have to run it by John because I feel like you'll grok it immediately.
[40:10.200 --> 40:11.200]  Hey.
[40:11.200 --> 40:13.920]  Well, I just wanted to…
[40:13.920 --> 40:14.920]  Once you said it was on…
[40:14.920 --> 40:15.920]  I'm joking.
[40:15.920 --> 40:16.920]  I'm joking.
[40:16.920 --> 40:17.920]  Just go.
[40:17.920 --> 40:18.920]  I forget.
[40:18.920 --> 40:19.920]  Actually, I forget.
[40:19.920 --> 40:20.920]  I didn't write it down, so tell me if I'm getting it right.
[40:20.920 --> 40:21.920]  But basically…
[40:21.920 --> 40:22.920]  You did.
[40:22.920 --> 40:25.800]  You wrote it down to me.
[40:25.800 --> 40:31.320]  Star Wars used to be, and the Star Wars that infused my vision of what it means was this
[40:31.320 --> 40:34.680]  thing that was extremely rare, extremely special.
[40:34.680 --> 40:40.640]  And they were these blockbuster, spectacular, two-hour, big-budget movies with the greatest
[40:40.640 --> 40:46.080]  special effects that blew away the second-place movies with special effects for this sort
[40:46.080 --> 40:51.800]  of thing were so far in second place, it wasn't even worth talking about them.
[40:51.800 --> 40:53.920]  And that they were like the Olympics.
[40:53.920 --> 40:55.840]  They only came out every few years.
[40:55.840 --> 41:00.360]  But at least with the Olympics, you knew there'd be one every four years.
[41:00.360 --> 41:04.840]  And then when Return of the Jedi was over, there was a question as to whether there would…
[41:04.840 --> 41:09.920]  A serious, serious question as to whether there would ever be any Star Wars again.
[41:09.920 --> 41:16.920]  And in fact, there wasn't for 16 years, except for special editions.
[41:16.920 --> 41:19.540]  And it was that special.
[41:19.540 --> 41:23.120]  And then when George Lucas said, we're going to make a new trilogy, the one that was long
[41:23.120 --> 41:25.400]  rumored is going to be a prequel trilogy.
[41:25.400 --> 41:29.280]  That's why these movies were episodes four, five, and six.
[41:29.280 --> 41:31.640]  And it was like, this is going to be so great.
[41:31.640 --> 41:33.480]  This is special.
[41:33.480 --> 41:41.120]  And now we've got news announcements that there are seven different Star Wars shows.
[41:41.120 --> 41:44.720]  They make movies that they can't make movies fast.
[41:44.720 --> 41:47.260]  They can't make Star Wars movies fast enough.
[41:47.260 --> 41:54.280]  And my thesis statement is that it was good the old way when we grew up, when they were
[41:54.280 --> 41:57.040]  extremely special and extremely rare.
[41:57.040 --> 42:01.520]  But if you're going to go in a different direction and start squeezing them out more
[42:01.520 --> 42:05.360]  and into an expanded, you know, what do you call it, like the Marvel expanded universe
[42:05.360 --> 42:09.460]  and there's the Star Wars expanded universe, and you're going to just keep making stuff,
[42:09.460 --> 42:13.000]  it's better to do it like this.
[42:13.000 --> 42:17.920]  And that's why I, I, I, I'm not that big a fan of the last trilogy of movies.
[42:17.920 --> 42:23.520]  I really, this, the seven, eight, and nine, and the longer I go from them, the, the less
[42:23.520 --> 42:25.040]  of a fan I am.
[42:25.040 --> 42:29.820]  And I feel like doing these TV shows is a better way to do it under Disney stewardship.
[42:29.820 --> 42:30.820]  That's my thesis statement.
[42:30.820 --> 42:35.800]  Well, I have to say that the, the, the part that you described of when Star Wars was rare
[42:35.800 --> 42:39.360]  and everything, that's true, but I didn't super enjoy it.
[42:39.360 --> 42:41.440]  It was a lot of, a lot of tension.
[42:41.440 --> 42:45.040]  I could have done with more Star Wars, like our childhood defined, or at least mine anyways,
[42:45.040 --> 42:48.000]  defined by, by wishing that there was more Star Wars.
[42:48.000 --> 42:53.080]  We saw, you know, the, you know, A New Hope, Empire, and Return of the Jedi.
[42:53.080 --> 42:56.440]  And all we did was talk on the playground about the nine movies and the lava pit for
[42:56.440 --> 42:58.360]  like the rest of our adolescence.
[42:58.360 --> 43:02.080]  And there wasn't any more movies, and it seemed like we were waiting forever.
[43:02.080 --> 43:05.120]  And then of course we had the prequels, which were disappointing, and then we had to wait
[43:05.120 --> 43:06.120]  again, right?
[43:06.120 --> 43:12.160]  So I, I have great affection for The Force Awakens, because I felt like that was the
[43:12.160 --> 43:16.640]  payoff to a long, painful journey with Star Wars, where I felt like I wasn't getting more
[43:16.640 --> 43:19.620]  of what I wanted for a very, very long time.
[43:19.620 --> 43:24.560]  And The Force Awakens was, I think, a very good Star Wars movie that said, yes, you can,
[43:24.560 --> 43:29.520]  there will exist a new Star Wars thing that you will really like.
[43:29.520 --> 43:32.760]  And I thought The Last Jedi was okay, not as good as the other one.
[43:32.760 --> 43:35.340]  And then Rise of Skywalker we didn't talk about, and they kind of dropped the ball.
[43:35.340 --> 43:40.840]  So I agree that the, the second trilogy doesn't hold a candle to the first, obviously, and,
[43:40.840 --> 43:42.020]  but it's better than the prequels.
[43:42.020 --> 43:46.480]  But the whole about like rarity versus, you know, having more stuff, I didn't really like
[43:46.480 --> 43:47.480]  the rarity part.
[43:47.480 --> 43:48.480]  It's what we got.
[43:48.480 --> 43:51.160]  It made, you know, absence makes the heart grow fonder, right?
[43:51.160 --> 43:52.160]  All that and everything.
[43:52.160 --> 43:53.220]  That's true.
[43:53.220 --> 43:58.400]  But I would have preferred a childhood where Star Wars ended up like the MCU, right?
[43:58.400 --> 44:01.600]  And the other thing to remember about MCU, speaking of that thing, is like, the MCU,
[44:01.600 --> 44:02.600]  that's not the source material.
[44:02.600 --> 44:04.480]  The comics are the source material.
[44:04.480 --> 44:09.700]  This is derivative, the MCU, the Marvel Cinematic Universe is derivative material based on properties
[44:09.700 --> 44:12.080]  developed in comic books.
[44:12.080 --> 44:13.080]  Star Wars is not like that.
[44:13.080 --> 44:15.360]  It wasn't developed as a comic book first or whatever.
[44:15.360 --> 44:18.320]  Like it was, it was born as a movie.
[44:18.320 --> 44:20.000]  It is a movie franchise.
[44:20.000 --> 44:24.340]  So I think it's a little bit different in that you don't have, you know, 60 years worth
[44:24.340 --> 44:28.980]  of dozens of characters from which to pull and, you know, let somebody else give their
[44:28.980 --> 44:30.920]  take on Guardians of the Galaxy or whatever.
[44:30.920 --> 44:31.920]  That doesn't exist in Star Wars.
[44:31.920 --> 44:34.560]  Now, granted, there was the EU and it kind of spun out from there.
[44:34.560 --> 44:36.240]  And now they can do more picking and choosing.
[44:36.240 --> 44:41.320]  But it's just so different that I'm not sure adopting one of the formulas of the existing,
[44:41.320 --> 44:44.040]  especially things like Cinematic Universe is the right formula.
[44:44.040 --> 44:48.320]  I guess I'm agreeing with you that like, what are the, you know, Marvel on TV, I don't know
[44:48.320 --> 44:49.460]  if there's an acronym for that.
[44:49.460 --> 44:55.940]  But Star Wars on TV seems like a perfectly natural fit for me, because now we do have
[44:55.940 --> 44:58.320]  some canon to pull from.
[44:58.320 --> 45:01.620]  And the television format allows you to get what I didn't have when I was a kid, which
[45:01.620 --> 45:02.620]  is, hey, guess what?
[45:02.620 --> 45:03.620]  More Star Wars.
[45:03.620 --> 45:06.080]  And when it's a TV show, the stakes are lower.
[45:06.080 --> 45:09.400]  You make a good TV show, you make a bad TV show, whatever, there'll be another TV show,
[45:09.400 --> 45:10.400]  it's not a big deal.
[45:10.400 --> 45:14.040]  Whereas if you have, you know, one trilogy of movies every few decades, the pressure
[45:14.040 --> 45:15.040]  is on.
[45:15.040 --> 45:19.800]  And if you end up with a trilogy like the prequels, where it just kind of fizzles, and
[45:19.800 --> 45:23.280]  we end up not liking it, it's like, well, I guess I'll see you guys again in another
[45:23.280 --> 45:24.280]  decade or two.
[45:24.280 --> 45:26.480]  And that's that's not fun.
[45:26.480 --> 45:33.840]  So there were three thoughts there a, the thought that we didn't get enough is when
[45:33.840 --> 45:38.760]  we were young, and we always wanted more.
[45:38.760 --> 45:46.700]  And ending up on the thought that the MCU is a place to start the television is a place
[45:46.700 --> 45:48.120]  that we can flesh that out.
[45:48.120 --> 45:54.840]  And in the middle, there is the notion that Marvel succeeded because it had a lot of room
[45:54.840 --> 46:01.560]  to play with this stuff, and these characters in what has become a safe space, right?
[46:01.560 --> 46:08.600]  Like you can write comics, and Spider-Man can turn into a living spider and do all kinds
[46:08.600 --> 46:11.280]  of horrible, weird and insane stuff.
[46:11.280 --> 46:15.200]  And you can even get a stinker movie, you get like a Thor 2 or something, it's not a
[46:15.200 --> 46:16.200]  big deal, right?
[46:16.200 --> 46:19.560]  You just, you know, because there were so many more of them.
[46:19.560 --> 46:31.760]  And in that way, it is the finite expression of Star Wars that sort of makes a difference.
[46:31.760 --> 46:36.160]  I wanted more Star Wars when I was young.
[46:36.160 --> 46:44.160]  And I'm not sure that giving people what they want is always the best notion of making the
[46:44.160 --> 46:48.360]  most creative thing.
[46:48.360 --> 46:53.360]  And I sort of feared that this notion that like, you know, when I was young, if they
[46:53.360 --> 46:56.920]  just kept pumping out Star Wars, I'd feel awesome.
[46:56.920 --> 46:58.480]  Would you, would it mean the same?
[46:58.480 --> 47:03.560]  I mean, that's like I said, you know, it obviously looms large in our memory because there was
[47:03.560 --> 47:04.560]  so little of it.
[47:04.560 --> 47:06.120]  And because what we had was so good.
[47:06.120 --> 47:08.200]  Because we made that up, right?
[47:08.200 --> 47:12.960]  Like, I don't know about you, but I remember having arguments about like, could yoga beat
[47:12.960 --> 47:14.680]  yoga?
[47:14.680 --> 47:18.000]  Could Yoda beat the Emperor?
[47:18.000 --> 47:22.720]  And my whole notion was like, Yoda would never fight the Emperor, it wouldn't happen.
[47:22.720 --> 47:24.100]  He's beyond.
[47:24.100 --> 47:26.200]  He's just, he doesn't fight.
[47:26.200 --> 47:30.880]  He certainly doesn't light up a lightsaber and pinball all over the place.
[47:30.880 --> 47:31.880]  Like that's beneath him.
[47:31.880 --> 47:33.240]  He just doesn't do that.
[47:33.240 --> 47:37.360]  But part of the reason that prequels are so painful is it was this giant gap and the weight
[47:37.360 --> 47:38.520]  that was put on them.
[47:38.520 --> 47:41.900]  And instead, I mean, I was never into the EU.
[47:41.900 --> 47:45.840]  But during that whole time, the expanded universe was a thing and people were writing novels
[47:45.840 --> 47:48.920]  and like there was this whole world spinning out after Return of the Jedi.
[47:48.920 --> 47:51.480]  It's just that it wasn't a world that I participated in.
[47:51.480 --> 47:56.080]  So Star Wars did have its moment to like, go in a million different directions and like,
[47:56.080 --> 48:01.000]  and the reason I say I wanted more Star Wars, and I mostly mean on, you know, the movie
[48:01.000 --> 48:06.520]  screen or on television screen, as opposed to books, is because Star Wars as a universe
[48:06.520 --> 48:12.000]  as a world can support, you know, so many different stories, like so clearly, it's not
[48:12.000 --> 48:15.220]  like we were going to burn it out in the same way that superheroes is such an open ended
[48:15.220 --> 48:18.320]  thing that you can support tons and tons of heroes.
[48:18.320 --> 48:23.240]  It didn't need to be weighted so heavily with like this expectation of just there's one
[48:23.240 --> 48:26.700]  story we can tell like this, you know, there were so many stories you could tell in the
[48:26.700 --> 48:30.840]  Star Wars universe and the expanded universe told a lot of them.
[48:30.840 --> 48:33.640]  But we didn't get to see any of them in movies or on television.
[48:33.640 --> 48:36.640]  That's that's what I would like more of even if some of it was kind of stinky.
[48:36.640 --> 48:39.920]  I mean, we got we got the Ewok adventure, we got the Hollywood special, we got that
[48:39.920 --> 48:43.480]  other Ewok movie and just wasn't enough.
[48:43.480 --> 48:48.520]  Yeah, and even the books were like, so I read the Thrawn trilogy, and then a few others
[48:48.520 --> 48:53.960]  and I'm like, this is just not, it's just not, it's just not.
[48:53.960 --> 48:57.000]  I read the first one and it was like, and I did finish it.
[48:57.000 --> 48:59.360]  And it was like, man, this is this bad.
[48:59.360 --> 49:00.360]  Right.
[49:00.360 --> 49:01.360]  Put it aside.
[49:01.360 --> 49:03.920]  I mean, if you wanted more Star Wars, this is the only places you were getting it, right?
[49:03.920 --> 49:04.920]  I know.
[49:04.920 --> 49:08.880]  But do I want Star Wars at the cost of it being bad?
[49:08.880 --> 49:12.200]  And not that those books about Ken Anderson?
[49:12.200 --> 49:17.460]  And now the EU was kicked out of Canon and now it's being mined for properties to put
[49:17.460 --> 49:18.920]  back into Canon.
[49:18.920 --> 49:20.600]  Yeah, I know.
[49:20.600 --> 49:24.720]  But the providence of where good ideas from is less interesting than like, do I want to
[49:24.720 --> 49:25.720]  sit through this?
[49:25.720 --> 49:30.840]  I feel like I feel like the universe like the Star Trek universe, like these are worlds
[49:30.840 --> 49:35.200]  that can support so many different stories like you literally got a whole galaxy.
[49:35.200 --> 49:36.520]  Like I do 100%.
[49:36.520 --> 49:41.240]  This is a conversation I had with Matt Drance and Rene Richard.
[49:41.240 --> 49:42.680]  I forget who else was it.
[49:42.680 --> 49:43.680]  Maybe Melton.
[49:43.680 --> 49:44.680]  I don't know.
[49:44.680 --> 49:46.680]  Never heard of him.
[49:46.680 --> 49:47.680]  Never heard of him.
[49:47.680 --> 49:49.680]  Years ago.
[49:49.680 --> 49:57.040]  When Disney bought the rights to Star Wars, Drance was making the point, they're like,
[49:57.040 --> 49:58.960]  you know what, Star Wars is a big world.
[49:58.960 --> 50:06.120]  And my initial reaction was like, you know what, Star Wars exists to tell the story of
[50:06.120 --> 50:08.960]  Luke Skywalker in those three movies.
[50:08.960 --> 50:12.560]  It's got a beginning and an arc and an end and we should leave it at that.
[50:12.560 --> 50:21.080]  I believe, I completely agree that the universe is an exciting and an enticing premise.
[50:21.080 --> 50:23.120]  And there's a lot there.
[50:23.120 --> 50:29.720]  But it exists to tell the stories and it can't be a coherent whole without those stories
[50:29.720 --> 50:32.840]  holding it together.
[50:32.840 --> 50:33.840]  I would compare it to-
[50:33.840 --> 50:37.640]  Given that, where do we feel, given the way the Mandalorian has gone?
[50:37.640 --> 50:43.440]  Well, here's my comparison is to George Lucas's good personal friend, Francis Ford Coppola
[50:43.440 --> 50:46.120]  with the Godfather movies.
[50:46.120 --> 50:50.360]  And obviously, I mean, let's just face it, I think I bring it up every time we do one
[50:50.360 --> 50:52.200]  of these Star Wars spectaculars.
[50:52.200 --> 50:54.480]  These are kids movies.
[50:54.480 --> 51:00.520]  And a lot of this grown men arguing about Star Wars stuff, often you can pop a bubble
[51:00.520 --> 51:02.920]  by just saying, remember, these are for kids.
[51:02.920 --> 51:06.280]  And there's a reason we do this around Christmas and they come out around Christmas.
[51:06.280 --> 51:10.280]  It is a Christmas present to all of us.
[51:10.280 --> 51:14.920]  The original trilogy was for everybody, as Wave would say of Pixar movies.
[51:14.920 --> 51:15.920]  They're not for kids.
[51:15.920 --> 51:16.920]  They're for everybody.
[51:16.920 --> 51:17.920]  Sure.
[51:17.920 --> 51:18.920]  Hey, Wave.
[51:18.920 --> 51:23.160]  But that's part of what made the original Star Wars movie.
[51:23.160 --> 51:29.520]  So honestly, I don't know how else to say it other than a sort of religious experience
[51:29.520 --> 51:32.400]  for me and my friends growing up.
[51:32.400 --> 51:37.640]  And we talked about it the way that people of generations past would talk about their
[51:37.640 --> 51:39.480]  actual religion.
[51:39.480 --> 51:46.440]  But the thing that made it so fantastic to me was that it was obviously made so seriously.
[51:46.440 --> 51:48.300]  The story wasn't serious.
[51:48.300 --> 51:55.400]  The dialogue famously, as Harrison Ford said to George Lucas, George, you can't say this
[51:55.400 --> 51:56.400]  shit.
[51:56.400 --> 51:57.400]  I love that guy.
[51:57.400 --> 52:01.400]  I'd be so close, old man.
[52:01.400 --> 52:02.880]  But the production value.
[52:02.880 --> 52:03.880]  You can't write this shit.
[52:03.880 --> 52:04.880]  You can't say it.
[52:04.880 --> 52:05.880]  You can write it.
[52:05.880 --> 52:06.880]  Getting closer, getting warmer.
[52:06.880 --> 52:07.880]  What was it?
[52:07.880 --> 52:08.880]  All right.
[52:08.880 --> 52:09.880]  Correct.
[52:09.880 --> 52:10.880]  George, you can write this shit, but you can't say it.
