[00:00.000 --> 00:09.000]  I haven't washed my hands. I haven't washed my hands in 20 years.
[34:11.000 --> 34:25.000]  There's so many napkins everywhere, right? And, you know, I'm not doing it justice so people should watch it, but he's just talking, he's like, America's just, the airspace over America is just Amazon Prime boxes bumping into one another, right?
[34:25.000 --> 34:42.000]  And he talks about the speed of shipping on Amazon and how people have gradually acclimated and they're like, you know, Amazon Prime now, you know, I want it now, I don't want it in two weeks.
[34:42.000 --> 34:59.000]  Oh, you know, like two days, God, I want it right now, like today, tonight, put it in my hand, you know what I mean? And it just, it is a very interesting thing, you know, how big of a deal everybody finds it, which is, it's normal.
[34:59.000 --> 35:16.000]  I'm not singling anybody out that notices this stuff and feels it because it becomes a fabric of a reality so quickly, but it's just wild how quickly we are like, oh, wow, Amazon can't deliver it for two weeks. And it's like used to be to order something, you know, like, oh, it's gonna be shipped next month. Awesome.
[35:16.000 --> 35:31.000]  Now we expect it tomorrow, you know, and things going back to what would even be considered regularly very quick shipping times is like, what is happening? You know, it's just wild how quickly we get used to it.
[35:31.000 --> 35:54.000]  I ordered something, you know, back, back in the old days. I forget what it was just some random thing. And I thought of it like really late at night. I mean, like 1130 at night, like while I was ready to like, put all my devices away and just tune out and watch some TV and I was like, I'll order this.
[35:54.000 --> 36:12.000]  And then like, the doorbell rang and it was like dropped off at like nine in the morning. It's like, wow, is that even possible? Right, right. How is that wild? That is it's too now, you know, well, those were the old days. Yeah, I didn't know Netflix was down today.
[36:12.000 --> 36:34.000]  Yeah, apparently, they had some large outage. I don't know if it's been rectified as of this recording or not. My team's on it. But I got a lot of things going on. So I wasn't tracking that individual thing. I did see it went down, which, obviously, at the on a given any given day, that's news. But right now, sort of everybody's lifeline to me, you know, let me watch something to take my mind off things. So we're paying attention.
[36:34.000 --> 36:50.000]  Yeah, we I can't help but think that it was related to the increased demand we watched. I think we've got the that the comedy special you're talking about. I think that's actually on my my whatever Netflix calls it watch list or whatever.
[36:50.000 --> 37:06.000]  Yeah. Because the comedy specials I like watching movies, Amy thinks movies are too long late at night lately. And so usually I wait for her to fall asleep. Yeah, yeah, well, yeah, you get 20 minutes to do it. They're asleep. And you're like, well, I've already seen this 10 times.
[37:06.000 --> 37:32.000]  But but with all of the talk shows on hiatus, like we're big Seth Meyers fans. We like the Colbert Show, too. But Seth Meyers is like our jam. But even like John Oliver's probably off now. And it you know, Bill Maher, I guess is off. I don't know. He was, you know, I don't know how, you know, unless they're going to do it without an audience. I don't know what they're going to do.
[37:32.000 --> 37:48.000]  So Netflix comedy specials have been our like mutual, you know, like the overlap of the Venn diagram of what do we want to watch tonight on the couch. So we were watching the Leslie Jones Netflix special.
[37:48.000 --> 38:07.000]  So number one, I know the strategy of it. If we want to go meta, I know the strategy of Netflix throwing tons of money at comedy specials because it there's so much even even if it's a lot of money from the comedian's perspective.
[38:07.000 --> 38:30.000]  It's so little money compared to original dramas. You know, in terms of what Netflix pays out of pocket, you know, like just putting a totally aces crew into a theater to record a standup special is so much less expensive than shooting 10 episodes of a top tier drama.
[38:30.000 --> 38:42.000]  And they're evergreen, right? That these comedy specials, you know, people watch comedy specials five years from now, six years, 10 years from now. You know, if it's funny, it's funny.
[38:42.000 --> 39:00.000]  And so it's great, great content. You know, I mean, HBO obviously originated this back in the day, but HBO back in the day would have like, you know, like four comedy specials a year. Now it's like Netflix. It's like you can't even keep up even to housebound. It's hard to keep up with all the comedy specials.
[39:00.000 --> 39:12.000]  But anyway, we're watching the Leslie Jones one, which was really good and kind of needed. It's one that I would recommend giving it more than five minutes because you kind of have to warm up to.
[39:12.000 --> 39:28.000]  I did, at least I had to kind of warm up to it and kind of get into the vibe that she was kind of creating. It's a little very different, very different in a lot of ways, very autobiographical and very honest and a little bit less jokey.
[39:28.000 --> 39:44.000]  But anyway, it was crapping out all the time. We were getting like a weird error that never happens with Netflix. And then there were whole stretches of it where we were getting what was either only 480p or whatever the digital equivalent of 480p was.
[39:44.000 --> 40:03.000]  I mean, really, really pixely. And I could even hear the audio was not as good. Amy was, you know, but it's a comedy special. So it's sort of like, you know, I mean, people used to listen to comedy records, you know, so if there's anything where the video degrading is still a-okay to just keep watching, a comedy special is it.
[40:03.000 --> 40:25.000]  Right. Yeah. You just kind of let it ride. Right. And they were doing that on purpose. They were throttling and YouTube as well. And a lot of other video, major video platforms have been intentionally throttling in order to stay up, you know, and ease the load on broadband backbones.
[40:25.000 --> 40:35.000]  Yeah, I was really curious. And I know that Westworld is not Game of Thrones. Who knows what the hell would happen if Game of Thrones was still on. But I'm a Westworld fan.
[40:35.000 --> 40:45.000]  And when I watched Sunday night, I was like, don't crash, don't crash. And I know that they've got great tech because they've got the BAM media from the baseball.
[40:45.000 --> 40:57.000]  Yeah. The back, you know, they used to be garbage. I mean, back when they first started trying to digitally stream Game of Thrones, it was just like their server just went up in a puff of smoke.
[40:57.000 --> 41:10.000]  And then they like partnered with the BAM media that was originated with Major League Baseball. And then Disney, you know, smartly was like, you guys seem to know what the hell you're doing. We're going to buy you.
[41:10.000 --> 41:27.000]  No, we'll be partners. And then they're like, this is working great. We'll just buy you. And I think I mentioned it was now, but that's why Disney Plus has had such a smooth launch is that they've got either the best or the second best technology in the game next to Netflix.
[41:27.000 --> 41:42.000]  But I mean, oh, man, that was talk about it. So I can't remember the last time Netflix had any hiccups for me. And no surprise. You know, again, again, you know, I'm not complaining. It's just like with the, you know, four month delivery for a USB adapter.
[41:42.000 --> 41:49.000]  I'm not delivering. It's magic. I mean, imagine if this fiasco had happened 15 years ago. What the hell would we be doing?
[41:49.000 --> 42:07.000]  Right. You know, in a lot of ways, it's as bad as this is and as tragic as it is. I mean, people are dying. So, you know, I laugh and we're cracking jokes about stuff, but there's, you know, it's a genuine worldwide tragedy.
[42:07.000 --> 42:26.000]  In some ways, though, man, oh, man, if it were going to happen, if there's going to be a global pandemic, it's better to have come now than before we had a lot of this infrastructure powered by the internet, both for entertainment and for the deliveries. And, you know, it is better now.
[42:26.000 --> 42:51.000]  And I think there's, I remember too that, and I think there is one of the writers on our site who's very thoughtful about this stuff, Josh Kunstein wrote a piece about social media and how much less performative it is at the moment. You know, A, people can't go anywhere. So they can't stand in front of, you know, Niagara Falls or in the Bahamas and take pictures of themselves in a bikini, right? Like they can't do that.
[42:51.000 --> 43:05.000]  So it's a lot less performative at the moment. And it turns out that there is still a backbone of that, that is about people communicating, that is about people, you know, with all the caveats of the platforms themselves, you know, having been irresponsible in many ways.
[43:05.000 --> 43:17.000]  It's just right now social media is actually pretty good, I guess, for lack of a better term, you know, the people in it and the content and the communication aspects of it, the kind of societal interaction.
[43:17.000 --> 43:35.000]  And I also, I mean, that is, I think, a lot of the interpersonal interactions like that are happening on networks like Facebook or are happening in groups on WhatsApp or heck even iMessage, you know, groups where people are sort of bolstering one another and talking and sharing about what they're going through and all that.
[43:35.000 --> 43:48.000]  Both family and, you know, family close friend groups. I think Twitter is an interesting case because it's not so much that you're going to go on there and commiserate with your brother, aunts, uncles or close friends.
[43:48.000 --> 44:11.000]  But it does offer a sort of, you know, it's, I've argued for years and years, I think I wrote my first piece about this in like 2000, like 10 or 11 or sometime back then, but it was basically that once we had a real time channel of constant continuous information that was available to us, we could never do without it again.
[44:11.000 --> 44:27.000]  So even if Twitter, the company went under, or even if they screwed up so bad that somebody had to just step in and do something very similar in a different way, whatever, that particular fire hose would need to exist. It's like an API for life, right?
[44:27.000 --> 44:43.000]  Like that's what Twitter is. It's an enormous amount of information, much of it total crap, you know, much of it inflammatory or unhelpful, but also a lot of it useful, informative or neutral, right?
[44:43.000 --> 45:02.000]  Neutral for now, but vital to one person or another. And that kind of stream of information, just like an API that delivers you a bunch of information, then you filter out, you know, the particular chunks of it you want, you know, that utility of Twitter is kind of showing itself off right now.
[45:02.000 --> 45:25.000]  Because we are unable to rely, I'm speaking of the United States in this instance, because I do believe it's important to acknowledge globally, the situations vary widely, right? But again, the United States right now, we're unable to rely on a lot of the information that's coming from our leadership about the spread, containment, mitigation, and treatment of the virus, right?
[45:25.000 --> 45:53.000]  And the disease that results. And Twitter offers an immediate and virulent counter to misinformation or false information. Of course, there's plenty of misinformation hosted there, too. But think about it in the days when you all you had was the news networks. And hopefully you had a Cronkite or somebody who would tell you the truth, or do the reporting and be in your face about what was really going on.
[45:53.000 --> 46:08.000]  And then you had the official word, and that was it, right? Like maybe you'd have people locally who knew a guy who knew a guy, or you'd have an intrepid news reporter in the media who did their job and cracked the case and showed you what was really going on.
[46:08.000 --> 46:23.000]  But you did not have this constant stream of, say, 10 epidemiologists in a big thread going, hey, here's why all of the government's information on this is BS, or here's how they're twisting the information to make it look a way that's advantageous to them.
[46:23.000 --> 46:34.000]  And that sort of immediate real time checks and balances situation, while it can have its caveats, and it can be dangerous at times, I think is very vital at the current moment in our lives.
[46:34.000 --> 46:50.000]  Yeah, it's complicated, right? I mean, that's basically, it's the story of our times. And maybe it's pretentious to pretend that things are complicated now, and they weren't back in the 60s and 70s.
[46:50.000 --> 47:09.000]  I don't want to be glib about it, but at least in terms of knowing what to trust, it is complicated now, because you didn't have choices back then, right? I'm not saying that there weren't problems with the fact that you got Cronkite at six o'clock, and you got your newspaper in the morning or the afternoon.
[47:09.000 --> 47:23.000]  And that was it. And maybe if you were really a news junkie, you got Time magazine delivered every Friday. I'm not saying that there weren't problems with that. There were, but you didn't have a choice. There wasn't anything, what are you going to do?
[47:23.000 --> 47:42.000]  What, call the Associated Press and get an AP terminal, put it in your home? There wasn't much you could do, whereas now you have to be a critical reader, and it's obviously a problem for a lot of people.
[47:42.000 --> 47:55.000]  I mean, and it is bizarre to have a president of the United States giving out completely false information.
[47:55.000 --> 48:07.000]  And this, again, not to get super political about it, but it's undeniable, even if you love the guy, even if you think, well, he made some mistakes, but he's still better than we would have been otherwise.
[48:07.000 --> 48:19.000]  I still stand supported. I don't know what's wrong with you if you think that. But even then, you have to acknowledge that the guy was completely wrong when, like, March 3rd, he was like, we'll be down to zero cases soon.
[48:19.000 --> 48:37.000]  It's like, that was wrong. I mean, there's no other way to put it. If you took him at his word, you had the completely wrong idea of what's going on, and now he's peddling these malaria drugs that maybe, possibly, would be great.
[48:37.000 --> 48:51.000]  Again, if he is right, Jesus Christ, you're never going to hear the end from him. But the president of the United States should not be encouraging people to take drugs that haven't been approved, or even...
[48:51.000 --> 49:08.000]  One of the drugs he's describing is incredibly toxic if taken in the wrong way. And the other one is Z-Pak, which is a pretty standard medicine that's used to treat infections.
[49:08.000 --> 49:21.000]  So it's like a mixture of really obvious stuff that any doctor would be like, yeah, of course we're going to give you a Z-Pak, you know what I mean? And stuff that's potentially incredibly dangerous. It's a toxic blend.
[49:21.000 --> 49:38.000]  Yeah. I mean, I saw there was some couple in the 60s where they saw him yapping about it on Fox News. The guy died, and his wife was in critical condition because he ordered up a bunch of it, and they, I don't know, drank a cupful of it, and, you know, wrong dose.
[49:38.000 --> 49:39.000]  Yeah.
[49:39.000 --> 49:43.000]  I mean, I laugh, but this should not be coming from the president.
[49:43.000 --> 49:48.000]  It's a macabre sort of laughter, you know what I mean? It's just, man, it's just something.
[49:48.000 --> 50:02.000]  But on the other hand, just a small thing, but it's like a friend of the show, friend of everybody, Ben Thompson, has been on this where Ben over in Taiwan was, you know, A, he had his eye on this thing very, very early.
[50:02.000 --> 50:10.000]  Got to give him credit for that. Has no trust in the Chinese government's word on this. Didn't believe a word they were saying. Turns out, you know, that attitude was right.
[50:10.000 --> 50:19.000]  Taiwan is really under control. You know, the restaurants are open, I think schools are open, but people go out. You know what people wear? They wear masks.
[50:19.000 --> 50:28.000]  And Ben was on the thing, you know, was on team, hey, don't be using masks unless you're sick. Masks are really only for you.
[50:28.000 --> 50:38.000]  If you think you have it to keep you from spreading it, don't wear a mask just to keep from getting it because now, you know, the medical professionals can't get their hands on it.
[50:38.000 --> 50:47.000]  And that was the expert line, but it turns out that's actually not really right. The mask, wearing a mask even when you don't have it actually does help keep you get it.
[50:47.000 --> 50:52.000]  And you can get it through your mouth in ways that they were saying originally you couldn't.
[50:52.000 --> 50:58.000]  And again, I don't have any masks in the house. I'm not wearing masks when I go out. I'm not encouraging it.
[50:58.000 --> 51:15.000]  But the truth is there is something to it, you know, and that's the sort of thing that I feel like critical reading of stuff on Twitter and among other places, but Twitter is certainly the one that I'm thinking of.
[51:15.000 --> 51:21.000]  You can pick up on stuff like that that you might not get just by reading the front page of The New York Times.
[51:21.000 --> 51:34.000]  Right. Yeah. You're going to get the counter narrative that says, hey, I actually live in this space or I live in a region that has been masking forever, which, of course, you know, many regions in Asia do.
[51:34.000 --> 51:44.000]  Masks have become a part of life. And contrary to popular belief, are not always or not primarily even worn by sick people.
[51:44.000 --> 51:53.000]  They're worn by people who go out in public who are healthy. But in fact, there are other subtleties attached to it that only people in the region would understand.
[51:53.000 --> 52:00.000]  Like masking is actually seen as a sign of respect and care for others. Right.
[52:00.000 --> 52:09.000]  You know, it's one of the reasons Japan was able to flatten its curve so harshly is in addition to a strong culture of like, hey, you know, the government says this is important to us.
[52:09.000 --> 52:19.000]  OK, let's play along and let's obey. But then they also have a strong culture of service to others.
[52:19.000 --> 52:29.000]  So where they care, it's a communal care culture where if somebody is inconveniencing somebody else, they would treat that as unfathomable.
[52:29.000 --> 52:33.000]  They do their best to avoid it. Right.
[52:33.000 --> 52:41.000]  And of course, the biggest thing you could do to inconvenience or harm another individual, of course, is like transmitted disease and potentially kill them.
[52:41.000 --> 52:48.000]  And so that that particular aspect of it was built into the culture. It's not so much built in here.
[52:48.000 --> 53:04.000]  It's, you know, there is a self-deterministic attitude to the U.S. that I think has that definitely slows any response to these things when it involves personal sacrifice, you know, as simple as staying in and not going out and doing your normal routine.
[53:04.000 --> 53:16.000]  We saw this sort of like the spring breakers and all of that stuff, but certainly with older folks as well who are reluctant to acknowledge that the distancing and self-quarantining might help.
[53:16.000 --> 53:21.000]  So it's just a different, you know, you see the you see the curves, you see the charts, you see the numbers.
[53:21.000 --> 53:37.000]  But then Twitter and other platforms like that give you access to people who are living in, you know, in these regions or in a particular area of expertise that can give you more depth and understanding, which then helps you, you know, in some ways, just the knowledge is better.
[53:37.000 --> 53:43.000]  You know, it makes it easier to do these things. A lot of mental health stuff going on and just knowledge helps a lot of times.
[53:43.000 --> 53:57.000]  Hey, speaking of masks, you just sent this to me breaking news while we're recording. Tim Cook has tweeted, proud to share we've been able to source 10 million masks for the U.S. and millions more for the hardest hit regions in Europe.
[53:57.000 --> 54:03.000]  Our ops teams are helping to find and purchase masks from our supply chain in coordination with governments around the world.
[54:03.000 --> 54:06.000]  Good for Apple.
[54:06.000 --> 54:14.000]  And again, you know, not to get too political about it, but it's of all the things to be short of, man, that just seems like something.
[54:14.000 --> 54:31.000]  And again, it doesn't seem like we should keep a stockpile ready for a global pandemic, but it seems like we should have switches ready to flip with a week or two notice to get, you know, it just doesn't seem like we should be struggling to have masks.
[54:31.000 --> 54:37.000]  The U.S. in particular should not be struggling for goddamn tests.
[54:37.000 --> 54:43.000]  You know, good for Apple, good for other companies that are contributing.
[54:43.000 --> 54:53.000]  But again, I just don't, it's not right that we're relying on Apple, a computer company, to get 10 million masks to the U.S.
[54:53.000 --> 54:55.000]  The federal government ought to be able to do it.
[54:55.000 --> 55:06.000]  Something has really gone off the rails, and once we're out of this mess, hopefully, you know, it's going to snap us collectively out of the complacency we've obviously developed.
[55:06.000 --> 55:18.000]  I mean, one thing, it's like you could say we were lucky that we didn't have, we in the U.S. weren't hit hard by SARS and a couple of other similar type viruses over the last 20 years.
[55:18.000 --> 55:24.000]  But the countries that were developed, you know, they were ready for this in ways that we weren't.
[55:24.000 --> 55:42.000]  Like the one thing I read was that a whole bunch of countries in Asia, after the SARS epidemic, set up their hospitals with actual, you know, buildings right next door ready for a virus outbreak connected to the hospital,
[55:42.000 --> 55:52.000]  but with entirely different entrances, entirely different HVAC systems, so that the next time something like this would happen.
[55:52.000 --> 56:01.000]  And knowing, you know, whether it was five years away or 10 years away or 20 years away, it was inevitable that they were ready for it.
[56:01.000 --> 56:10.000]  And, you know, in a way that U.S. hospitals clearly are not in terms of, and my heart just, we're just not ready for it.
[56:10.000 --> 56:24.000]  There's somebody, right now, there are people out there in the U.S., especially just New York, you know, the Bay Area's obviously, you know, hit pretty bad, Los Angeles, Southern California.
[56:24.000 --> 56:30.000]  Boston's hit pretty bad. Philly is really coming, Philly is very low right now, knock on wood.
[56:30.000 --> 56:46.000]  But, you know, we're so close to New York, it's kind of amazing to me the discrepancy, given how close we are and how many people I know on a daily basis go between New York and Philly, that that hasn't been more of an issue by this point.
[56:46.000 --> 57:01.000]  But, my God, just going into the regular emergency room in ordinary times is unpleasant, but, my God, if you're going in with symptoms for this, it's like, it's complicated in so many ways.
[57:01.000 --> 57:11.000]  Because, you know, just as a human being, you know that you've got it or you think you've got it because you've got all the symptoms, but you don't want to go in there and get other people sick.
[57:11.000 --> 57:21.000]  You know, somebody who just cut their hand or something like that, you know, just quote unquote normal reasons to go to the emergency room.
[57:21.000 --> 57:30.000]  And yet, you know, countries in Asia are set up for this so that if you, you know, you have it or you think you have it, you can get a test, you can get results, you can go to a special.
[57:30.000 --> 57:38.000]  You don't go in with the regular people who, you know, somebody who dropped something on their foot and thinks they broke a bone in their foot or something like that.
[57:38.000 --> 57:42.000]  You're not sitting there right next to somebody who's got COVID-19.
[57:42.000 --> 57:53.000]  Right. And, you know, at the moment, even if you look at it from the healthcare provider's perspective, I mean, there are already shortages of masks for healthcare workers.
[57:53.000 --> 57:56.000]  You know, if you get those healthcare workers sick, we're all screwed.
[57:56.000 --> 58:11.000]  Right. And it's just crazy. I mean, and you see the pictures, and again, social media really does help bring it to bear, right? And it's like, I saw a picture the other day where, I don't even know where it was, doesn't matter.
[58:11.000 --> 58:27.000]  I'm sure it's a situation echoed coast to coast, but like, because they're so short of masks, the hospital staff, like the nurses, when they're done, they take off their mask and put it in a paper bag with their name on it.
[58:27.000 --> 58:28.000]  Yeah.
[58:28.000 --> 58:44.000]  So that the next, you know, when their next shift starts or the break is over or whatever, they can go take it out of the bag, put the same mask back on, you know, like just really just, you just don't think of that as something that we would encounter in the modern first world, you know?
[58:44.000 --> 58:51.000]  Right. Well, yeah. I mean, there is anything that makes you question your first world status. It's our response to this situation.
[58:51.000 --> 58:52.000]  Yeah.
[58:52.000 --> 58:53.000]  Which sucks.
[58:53.000 --> 58:54.000]  Yeah.
[58:54.000 --> 59:06.000]  Totally. And, you know, not to get, again, not to get political about it, but there is something to be said for manufacturing, you know, that there are certain things that shouldn't be entirely outsourced out of the country.
[59:06.000 --> 59:15.000]  You know, that obviously like mask and ventilator production ought to be something that every country should be able to ramp up production on their own.
[59:15.000 --> 59:27.000]  Just because it's, you know, you can't rely, you know, in an emergency, you can't rely on getting stuff sent over from China or Taiwan or wherever else.
[59:27.000 --> 59:30.000]  Yep. Pretty wild.
[59:30.000 --> 59:49.000]  Let's take a break. And our next sponsor, good friends at Eero. E-E-R-O. I love Eero. Maybe you're at home now and you haven't really worried about your Wi-Fi that much. It was good enough or reached the places you need, but now you're working in a weird corner in your house or something like that.
[59:49.000 --> 59:56.000]  Well, if it's in the back of your mind, maybe you should upgrade your Wi-Fi. Eero is a terrific way to go.
[59:56.000 --> 01:00:07.000]  It is a mesh network. In other words, you set up multiple devices, you connect the main one to where your cable modem or whatever other wherever your Internet comes in, hook that up.
[01:00:07.000 --> 01:00:21.000]  Then throughout your house, strategically place a few other units and Eero will help you based on the square footage, how many floors you have, help you plot out how many you need to really saturate your home with one solid network.
[01:00:21.000 --> 01:00:33.000]  So you might have three devices to go through your house, but from your phone's perspective or your MacBook's perspective, it just looks like one network, one network name, one password.
[01:00:33.000 --> 01:00:42.000]  And as you move around the house, it just silently hands off and you wind up with a really, really good Wi-Fi connection all through your house.
[01:00:42.000 --> 01:00:49.000]  Right now, I'm talking to Matthew over an Eero network. Couldn't be happier. It's really great.
[01:00:49.000 --> 01:00:59.000]  We used to never get a signal. This is my old house. We've had Eero ever since we moved here, but in my old house, we couldn't get a signal in the basement or not the basement, really, the garage.
[01:00:59.000 --> 01:01:07.000]  And it always sucked when you're leaving. You're in the car, you're ready to go. It's like, oh, I wanted to download a podcast. Nope, no signal. Well, no problem anymore.
[01:01:07.000 --> 01:01:14.000]  Whole house, top to bottom, solid signal. It's the Wi-Fi your home deserves.
[01:01:14.000 --> 01:01:23.000]  They have an all new Eero that starts at just 99 bucks and it sets up in minutes. You just plug it in your modem.
[01:01:23.000 --> 01:01:33.000]  You plug the other ones around your house and they have a beautiful app that they just updated to an all new rewritten version a couple months ago, about two months ago.
[01:01:33.000 --> 01:01:39.000]  Always was a great app. Now it's even better, even looks better, but it's really, really easy.
[01:01:39.000 --> 01:01:49.000]  I mean, within five minutes, you could have this whole thing set up and running. And most of that five minutes is actually just sort of walking up the stairs to go from the bottom to the top.
[01:01:49.000 --> 01:01:56.000]  It's hard to exaggerate how easy it is to set up an Eero network in your house.
[01:01:56.000 --> 01:02:04.000]  And it really is. It might be for a long time. Never been more important to have really solid, dependable Wi-Fi in your house.
[01:02:04.000 --> 01:02:11.000]  You can get yours fixed as soon as tomorrow, maybe by going to Eero dot com slash the talk show.
[01:02:11.000 --> 01:02:16.000]  That's the the U.R.L. Eero dot com slash the talk show.
[01:02:16.000 --> 01:02:22.000]  And remember that code, the talk show at checkout and you get free overnight shipping with your order.
[01:02:22.000 --> 01:02:30.000]  That's Eero dot com slash the talk show with the code, the talk show to get your system delivered free with overnight shipping.
[01:02:30.000 --> 01:02:39.000]  But you've got to use that U.R.L. to get the offer. Eero dot com slash the talk show. My thanks to them for continuing to support the show.
[01:02:39.000 --> 01:02:50.000]  Oh, I guess we should go on to actual stuff. We got two products last week. Boy, does that feel that was a week ago, a week ago when we found out about the new Apple products.
[01:02:50.000 --> 01:03:02.000]  And I know it's the oldest. Everybody keeps saying, my God, days feel like weeks and weeks feel like months, but I cannot believe it was seven days ago when we got these the briefings on these new Apple products.
[01:03:02.000 --> 01:03:14.000]  The new MacBook Air, primarily new MacBook Air, new iPad pros and a sneak peek tease at the magic keyboard.
[01:03:14.000 --> 01:03:21.000]  Magical floating iPad over a keyboard that is coming in May. I know the terms.
[01:03:21.000 --> 01:03:34.000]  I know I don't want to I didn't sign anything, but as a verbal agreement, you know, we in the media were we're not supposed to talk about the actual briefings which were delivered.
[01:03:34.000 --> 01:03:42.000]  We are allowed to say that they were by video. And so I don't want to you know, I don't want to violate any spirit of the agreement.
[01:03:42.000 --> 01:03:59.000]  But, you know, suffice it to say, Apple recorded effectively a little 30 minute what might have been maybe not an event, but maybe would have been like little small gathering things like in New York or Cupertino in normal times.
[01:03:59.000 --> 01:04:08.000]  You know, with slides and present, you know, here's the highlights. You know, this is sort of a typical Apple keynote. And but instead of seeing it in person, we saw it on video.
[01:04:08.000 --> 01:04:11.000]  Right.
[01:04:11.000 --> 01:04:19.000]  I reviewed both you, your colleague Brian reviewed the MacBook Air. Have you seen the MacBook Air or did you just do?
[01:04:19.000 --> 01:04:30.000]  Yeah, they did. Yeah, they did send me one as well. I'm gonna play with it, but I haven't really done much beyond open it up and and tinkle the keys of it.
[01:04:30.000 --> 01:04:38.000]  That's about it. I'm gonna play with it more, but I haven't had a chance. I've been busy with this. Our newsrooms pretty crazy right now, as you can imagine.
[01:04:38.000 --> 01:04:45.000]  And so I kind of focused on the iPad, but I did look at the air and of course the keyboard.
[01:04:45.000 --> 01:04:56.000]  Keyboard feels great. I mean, my my I'm a huge air fan, right? Like I, I love the air. I do like the thin factor, the thin form factor, nothing in my line of work.
[01:04:56.000 --> 01:05:10.000]  I mean, it used to be in the old days, I would do like a lot of on laptop video editing or photo editing, especially when I was in a much smaller newsroom and kind of very ad hoc where everybody's kind of doing their own stuff.
[01:05:10.000 --> 01:05:15.000]  But we have a video team and they're fantastic. And so I really don't do a lot of that on my laptop.
[01:05:15.000 --> 01:05:28.000]  So the 13 inch MacBook Pro, which is standard issue for, well, what is now Verizon Media, but the standard issue at TechCrunch. That is honestly overkill for me.
[01:05:28.000 --> 01:05:39.000]  You know, I like it. You know, I like the power. It's really nice to have it when you need it. You know, somebody sends me some weird 3D thing or something I need to crunch or unpack or slice or render in some way.
[01:05:39.000 --> 01:05:57.000]  Great. It's cool. It can do it, but it's not necessary for the most part. And so I've actually been a really big fan of the air for a lot of years now because anything that's slimmer or smaller, that makes my bag lighter, that still gets the job done, which is largely web based these days because I use a lot of web tools, web editing tools, all that stuff.
[01:05:57.000 --> 01:06:10.000]  I'm all for. And so I've loved the air for a very long time. I'm really a big fan. I do love the updates to the look and feel and everything that they've done over the years. It's gotten better.
[01:06:10.000 --> 01:06:23.000]  And the retina certainly was a huge watershed moment. But the keyboard on the air, and I know people like to wax rhapsodic about old Apple keyboards and say how much better life used to be before the chiclet and blah, blah, blah, blah, blah.
[01:06:23.000 --> 01:06:30.000]  But the old air keyboard was mushy as hell. I don't care who you are. If you're telling me the old air keyboard was great, you're an idiot.
[01:06:30.000 --> 01:06:33.000]  You mean from the pre-retina era?
[01:06:33.000 --> 01:06:43.000]  Yeah, yeah, yeah. Exactly. The pre-retina. I'm not talking about the chiclet version. I'm talking about the old, old version. It was just super. The keys were very unstable. The mushiness came from a couple of things.
[01:06:43.000 --> 01:06:58.000]  One being the keys had a lot of lateral travel. So you could put your finger on it and move it side to side and it would be like ch-ch-ch. And then they were very unstable. So depending on what corner of the key you hit, it would shift in a different direction, which just led to this overall mushiness to it.
[01:06:58.000 --> 01:07:10.000]  Now, it was still better than the chiclet keyboard. It was still better than the one we had on the MacBooks and stuff like that for a while, but certainly was not the best.
[01:07:10.000 --> 01:07:29.000]  So for me, getting a MacBook Air with this new keyboard, it's actually very exciting for me as far as the laptop use goes. I think that's a really great combo. Retina on an Air form factor with a keyboard that's stable and firm, but has that full one millimeter of travel. I'm all for it. I think that's a great package for everybody.
[01:07:29.000 --> 01:07:50.000]  It's hard not to just spend all the time talking about the keyboard because it is the most significant change. Well, it's not the most significant change because Intel has finally gotten their act together with chipsets that fit in that reduced lower thermal form factor.
[01:07:50.000 --> 01:08:13.000]  So there's this very serious performance update with the new MacBook Airs that shipped last week, too. And that's good. That is actually good. And it's especially good because you just know it, I know it. I'm recording this podcast right now on a 2015 13-inch MacBook Pro.
[01:08:13.000 --> 01:08:33.000]  No, 2014. I actually undersold it. It is still a phenomenal machine. What I did in September of 2014 is bought the fastest 13-inch MacBook Pro I could get. I got the biggest SSD, which was, I think it was one terabyte. I actually don't even remember.
[01:08:33.000 --> 01:08:54.000]  16 gigs of RAM and the 3 gigahertz Core i7 fastest CPU update. Here I am five and a half years later, and it is still a very credible machine. I threw the Geekbench numbers in with my review. It's a little below the air, like on single core.
[01:08:54.000 --> 01:09:16.000]  But it's, you know, it's in the ballpark, which, you know, and again, Geekbench is not, you know, it's an arbitrary thing. But the ballpark numbers from Geekbench always, that's why I like including them in my reviews, is they, however much they might not exactly measure, say, Adobe Photoshop in particular, or some use case.
[01:09:16.000 --> 01:09:32.000]  As a ballpark number, they always jibe with my feel. You know, this 2014 machine is still there. Whereas the first round of retina MacBook Airs was just really not that fast.
[01:09:32.000 --> 01:09:48.000]  And fast enough for now, but it wasn't like the worry is, hey, what if you want to use it for five or six years? And I think that's a totally credible thing to do. I'm a pro, and I buy a new iPhone every freaking year because I'm an idiot.
[01:09:48.000 --> 01:09:58.000]  But I like to get my Macs up and running, get it, max them out, get them set up just the way I want, and then use them until they feel slow. And the longer it goes, the better.
[01:09:58.000 --> 01:10:15.000]  And I think that's, you know, for the amount of money that these things cost. You know, upgrade a little bit here and there, and a MacBook Air is $1,300, which in today's market for laptops is premium.
