[00:00.000 --> 00:03.000]  Where do we even start, Ben?
[41:05.000 --> 41:22.000]  I think it's the time in the end, exactly what he said, the next place is the watch. The problem is that the press that that's not how the press write stories, the press doesn't write about like the big picture contextual place in technology for this advice, like that's why I have a job because that's what I write about.
[41:22.000 --> 41:46.000]  But I write to a limited, you know, niche audience that what press wants, they want the hero and they want the the the the open and shut story in case and that's why you had Steve Jobs with the iPhone being like, we all hated our phone. So we made a better one. Like that's that you can latch on to that. And that's not here. And it's it's it hasn't it's consistently hasn't been here. You think you first saw the iPad? Well, I know you're seeing it now.
[41:46.000 --> 42:10.000]  I think one of the most interesting things that's come out of this barrage of behind this, you know, access and quotes from Apple's leaders, design leaders, I thought one of the most interesting was the I've quote in the Financial Times article, which overall wasn't a great article wasn't really, you know, but this line was great, which isn't surprising, but more, you know, I've said exactly what you're saying.
[42:10.000 --> 42:34.000]  But it was great to hear from, we approached the phone with from this perspective that we all hated the phones that we had hated them. And we're approaching the watch as that we love watches. We love the traditional world of mechanical watches. And we're approaching the watch with reverence for what's come before us. And that is a totally different approach. And it's informed everything we did.
[42:34.000 --> 42:42.000]  And it's fascinating to hear that, right? Nothing, no kind of trash talk at all about the traditional world of watches.
[42:42.000 --> 43:11.000]  Yeah, it is interesting. But then this article doesn't go into that at all. It just says, you know, Johnny Ive took a deep dive into horology. And I think that was even a mistake. Because from what I understand, it wasn't just that Johnny Ive went and had like a, I'm gonna go become a huge watch expert. Everybody who worked on the watch, like they brought in horological experts. And it wasn't just Johnny Ive, who studied up on it. It was everybody who was involved, like the whole team.
[43:11.000 --> 43:23.000]  More or less became world class experts in in the history and, you know, everything you'd want to know to be a serious, you know, watch expert.
[43:23.000 --> 43:28.000]  Yeah, and I don't think that comes across in the story.
[43:28.000 --> 43:43.000]  I do think I do think in terms of it being outside Apple's control, I can't help but think that Katie Cotton is, you know, wherever she is this morning, is like enjoying her morning cup of tea or coffee or whatever she drinks. And it's just shaking her head.
[43:43.000 --> 43:50.000]  I was under the impression she started out with scotch first thing, but I don't think so.
[43:50.000 --> 43:58.000]  No, yeah, I yeah, no, I think I agree. And like there and the people got people.
[43:58.000 --> 44:10.000]  People, obviously, especially journalists, you know, very much disliked that era of Apple from a PR perspective and disliked Katie Cotton by and large.
[44:10.000 --> 44:17.000]  But the fact the matter is, Apple didn't. Apple's message always got across.
[44:17.000 --> 44:24.000]  Apple wasn't out to me because there was there was nothing else to write about, like the only thing they let out was exactly what they wanted to let out.
[44:24.000 --> 44:31.000]  And again, like I said, like it's almost like the problem here, the problem with this article and with all these articles is they're too honest.
[44:31.000 --> 44:36.000]  And and I appreciate that and you appreciate that.
[44:36.000 --> 44:59.000]  But honest kind of unfiltered honesty. And this is this is maybe we can lead into your bozo remark here, like unfiltered honesty without doesn't it doesn't it's not a soundbite like and it doesn't it doesn't spread in in or it leaves itself open to all kinds of interpretations.
[44:59.000 --> 45:10.000]  And that's you kind of see that happening in the hands of someone like like Ian Parker, who who remember took seventeen thousand words to do it.
[45:10.000 --> 45:15.000]  Like what was it about the link that matter to it was all the context that was put around it. Right.
[45:15.000 --> 45:24.000]  When you put context around honesty, then it's so fulfilling and it's like you read that article is like eating a steak dinner or something.
[45:24.000 --> 45:36.000]  Right. But when you when you have honesty, but without deep understanding or context, it leaves itself open to interpretation, which I think happened here.
[45:36.000 --> 45:43.000]  And so you had Pierce's interpretation on top of it. And to you get kind of unintended sound bites.
[45:43.000 --> 45:48.000]  And I think that's exactly what happened to the sound bite is Apple didn't have a plan for the watch.
[45:48.000 --> 45:54.000]  When again, I think you look at big picture, a watch is the natural thing to do next. And it does tell time.
[45:54.000 --> 46:15.000]  And I honestly think that that's the better way to approach it is, OK, let's approach it with an empty mind and anything and everything goes as opposed to I'm telling you, the worst way to design anything is to have the whole thing in your head and then go make the thing in your head without constant iteration and revisiting and feeling it as it becomes realer and realer and realer.
[46:15.000 --> 46:20.000]  It's it's to me, one of the secrets of Apple's success in the last.
[46:20.000 --> 46:30.000]  Geez, what are we even up to now? 20, 20 years. 15 years. What the hell? How long has it been? Well, the the iPod was 18 years, 14 years.
[46:30.000 --> 46:33.000]  I'm going to say 18 years since 97.
[46:33.000 --> 46:35.000]  That's fair.
[46:35.000 --> 46:49.000]  Is is that they don't. You know, it's not like somebody goes off with a notebook, sketches the thing and draws it all up and then somebody goes and makes it, which is, I think, how a lot of technology gets may have has been made ever since the outset of technology.
[46:49.000 --> 47:05.000]  Totally. I mean, I think people I mean, people have this idea that Apple has this grand vision. I mean, like one thing that I when I I got a chance to really dig deep into when I when I was at Apple was was looking at the how iTunes came about.
[47:05.000 --> 47:19.000]  And basically and what people forget about this, I think I might tell the story I don't feel to you before, but you remember in 2000, Apple had a big event where they're like, you know, the you know, what made the Mac the first time around?
[47:19.000 --> 47:25.000]  It was desktop publishing. Well, we think we know what's next and it's going to be movies and movie.
[47:25.000 --> 47:32.000]  And it was the iMac. And it was like we we are going to like you can make home movies and this is what we're going to be all about.
[47:32.000 --> 47:43.000]  And then like nine months or nine months later or somewhat absurdly short amount of time, Steve Jobs is on stage and gives a completely different vision like could not be more different.
[47:43.000 --> 47:47.000]  And that was the digital hub speech. We think the Mac is going to be a digital hub for all these devices.
[47:47.000 --> 48:03.000]  Yeah. And I think he almost admitted that it was a mistake. Right. Because it also coincided with with making CD our drive standard because part of the problem with the the prior Max was that you couldn't make music discs.
[48:03.000 --> 48:12.000]  Right. No, no. I mean, they implicitly admitted it was a problem. I mean, Steve Jobs never want to stand up and say we we we we screw this up.
[48:12.000 --> 48:14.000]  But I mean, it was.
[48:14.000 --> 48:28.000]  Yeah, he had a good way of doing it. He had a good way of doing it without saying, you know, he was I would say one of his greatest gifts was his way of backtracking even publicly and somehow making it not look like an admission of error.
[48:28.000 --> 48:33.000]  Right. No, exactly. And you hear this, but you hear this is what Cook always praise about jobs is how you change his mind all the time.
[48:33.000 --> 48:44.000]  Like, I mean, to think that Apple has a master plan and just executes it is is not just to misunderstand Apple, but it's to misunderstand how progress happens.
[48:44.000 --> 48:52.000]  Yeah. I mean, again, this is back to my kind of big meta thesis. Like you figure out what's next. You don't make what's next.
[48:52.000 --> 49:13.000]  Yeah. And I'm sorry. Well, and you have to look at what people are doing. And that era you're talking about it. It was a it was a dividing point between Mac and PC users, not just in terms of any kind of political affiliation or tribal affiliation, whatever you want to call it, but just in terms of what real people were really doing.
[49:13.000 --> 49:24.000]  And on the PC side, what people were doing was downloading a lot of music from Napster and and then burning CDs, you know, 10, 11, 12, 13 songs, whatever you could fit.
[49:24.000 --> 49:39.000]  Or I guess you could fit more. I guess with MP3s, you could if you had an MP3 player that could read them off CD. But anyway, people were burning CDs with music, whether it was to play them as regular CDs or to play them in MP3 players that could read MP3s off CDs.
[49:39.000 --> 49:49.000]  People were doing it and Mac users weren't because they didn't have CD drives. Yeah. My favorite actually one of my favorite jobs quotes comes around this time.
[49:49.000 --> 49:59.000]  It's it's actually really hard to find. I think you have to get there at archive. I'll try to find it in a bit. But basically, he says, like, I thought we missed it. Like, I thought I screwed up.
[49:59.000 --> 50:09.000]  Like it was like the most like stark admission of like jobs thing, like admitting that he thought that he totally blew it. He's they thought they were too late. They thought they were too late to music.
[50:09.000 --> 50:20.000]  They made the wrong focus. They made the wrong bet by focusing on movies. And and what was amazing is, I mean, the company internally in that in that year or nine months, how long it was completely transformed.
[50:20.000 --> 50:29.000]  Like the movie guys were like top of the heap. Right. Within like a matter of like weeks, like completely reorganized, completely deprioritized like iTunes was going to be.
[50:29.000 --> 50:37.000]  They went out and bought sound jam and and turned around. And you think about Apple's reputation. Oh, they do stuff for years and stuff like that.
[50:37.000 --> 50:50.000]  And I do believe they do that today. But they delivered iTunes and these new Macs in something like nine months. And then they hadn't even conceived of the really the iPod yet.
[50:50.000 --> 50:59.000]  A month later was when Rubenstein went to Japan and visit Toshiba. He was like, oh, we have this little hard drive. We don't know what to do with it. He's like, oh, I know what we could do with that.
[50:59.000 --> 51:08.000]  And that was in February. And they watched the they watched the iPod in September. So the iPod was conceived, designed all that in six months.
[51:08.000 --> 51:18.000]  And in 2001. Right. In 2001. And and like that's that's not likes.
[51:18.000 --> 51:34.000]  Starting with the starting with a breakthrough from Toshiba. Right. It is a crazy story. No, the basic idea there was that standard laptop hard drives were 2.5 inches, and Toshiba came up with a 1.8 inch hard drive, and none of the PC makers wanted it because
[51:34.000 --> 51:48.000]  well, and it the 2.5 inch size was fine, because the the laptops, even the smallest one had to at least the minimum size for the laptop with the keyboard and with a reasonable screen.
[51:48.000 --> 52:00.000]  That inch didn't matter. There was nothing to do with the space saving the space saving made no difference to the design of laptops and laptops were the only devices these other companies had that needed smaller drives.
[52:00.000 --> 52:12.000]  Right. You had to go to something as radically smaller as like the first iPods to make to say, here's where you need something that here's where 2.5 inches is too too big.
[52:12.000 --> 52:17.000]  You needed it. And nobody else had a device in mind that that needed that.
[52:17.000 --> 52:34.000]  No, it's a it's a wonderful example of how, you know, particularly technology like and this is why this is this is why technology companies generally even though like, you know, you you want people that have a wide range of experiences and, and, and liberal arts
[52:34.000 --> 52:45.000]  sort of stuff like but that's why the technological background is valued because at the end of the day like what is possible and what isn't is is governed by the technology.
[52:45.000 --> 52:57.000]  And, and that's a big part of like why the iPhone succeeded, whereas something like the Newton didn't like the technology just wasn't there, whereas the iPhone like the iPhone was on the edge of possible like the the processor was just barely fast enough.
[52:57.000 --> 53:06.000]  They did do all kinds of tricks to, you know, to make to make it responsive like they did, you know, the touchscreen technology was was just getting cheap enough.
[53:06.000 --> 53:22.000]  And, and that's like it's it's understanding that intersection and having the patience to watch something when it's ready. And quite frankly, if you want to if you want to criticize the watch for anything and first of all, it's just waiting till it actually comes out and you can use it.
[53:22.000 --> 53:26.000]  But to that never stopped.
[53:26.000 --> 53:33.000]  But to like if I think if you look at the arc of personal technology, of course, the next thing is going to be the risk.
[53:33.000 --> 53:41.000]  That's my that's my opinion, but I think it's pretty clear. The question is, when is the right time? And the right time will be governed by the available technology.
[53:41.000 --> 53:52.000]  Yeah. And, and, and so the criticism of the watch, if it ends up deserving criticism is not that it shouldn't exist. It's that should it exist now? Or should it exist later?
[53:52.000 --> 54:08.000]  Yeah. And I would say a great example of that is the Newton. And, you know, the Newton was a great product. I really, really appreciated the OS, I thought it was a great design.
[54:08.000 --> 54:23.000]  I think you could quibble about some of the details. I think that the way that they made some of the apps, blessed, you know, the way that at the bottom of the screen, there were certain apps that had a permanent location there and you couldn't change them was questionable, but it was also fixable.
[54:23.000 --> 54:44.000]  They could go forward in a new way. But to me, though, I have talked I talked about this a long time ago, but to me, the fundamental failure of the Newton was that it came too soon in so far as there was no wireless networking at the time, and any device of that basic just form factor needed wireless networking.
[54:44.000 --> 55:01.000]  And I know palm had some success with palm pilots in that era. And there wasn't Wi Fi or cellular networking at the time. But I think if you look at palm success with the palm pilot, and how many they sold, it was it was a hit among us, right? I had one I had a hand.
[55:01.000 --> 55:26.000]  I carried around for years and loved it. But there was no way like, my parents were going to get one or my sister, my sister was would never get one. It's, you know, normal people weren't going to get one, right. And it's because it didn't have wireless and because it didn't have wireless, it couldn't communicate. And you know what people do they communicate. That's the fundamental gist of why the internet got popular in the 90s was people communicated with each other.
[55:26.000 --> 55:47.000]  Until people could communicate with each other, they had no interest in in, you know, PCs, the mass market, it was only for us nerds. Yeah, and same thing with handhelds. And, you know, that's what doomed the Newton. The Newton needed anything that's that you carried around held in your hand, it needs wireless networking, because it needs to be a communications device.
[55:47.000 --> 56:13.000]  No, I think that that it is it is the perfect example. And, and this is, you know, this gets to why why Apple has focused on the communication aspect of the watch. And, you know, the drawing and the harpy on sort of stuff. I mean, obviously, again, we'll have to wait and see how it actually works out in real life. But that's why it's a tentpole feature, because that's that's what matters to normal people.
[56:13.000 --> 56:34.000]  I want to talk about the headline for this article. I it drives me crazy. This This is the the wired article, the headline is iPhone killer, colon, the secret history of the Apple Watch.
[56:34.000 --> 57:00.000]  None of that is true. It is not an iPhone killer. Right? It's never one that's the worst. And to me, a bad headline is like a bad first impression. Everything has to recover from that, because the first so you're at the article, the headline sets up such a false impression. Right? It's
[57:00.000 --> 57:21.000]  the the watch is useless without your iPhone, literally, well, not literally, I guess there's are certain functionality still works outside the range of your phone. But it is fundamentally designed to work as a is a companion, it is supposed to make your life with your phone better.
[57:21.000 --> 57:42.000]  That's the gist of it. It's not a killer. And maybe someday it will be right, maybe someday there will be. It certainly seems possible with the march of technology that that within a few years, whether that's three years, four years, five years, six years, that you know, the watch will have its own Wi Fi first probably watch could have its own cellular
[57:42.000 --> 57:52.000]  and be the main device and then you would buy something like an iPod touch just to be your four inch five inch screen that connects to the watch.
[57:52.000 --> 58:14.000]  Right. It must have Wi Fi because of the whole it works in your house even Yeah, but it doesn't use but like you can't set it up. Let's say it's a like you never log into your home Wi Fi. It's that whole Wi Fi back channel thing. Right? You don't you don't type a password into your watch so that when your phone isn't there, it's on the internet and getting notification. Right, right.
[58:14.000 --> 58:30.000]  It's only that that back channel, I forget what the technical term for it is. But it's that way that Wi Fi can now have Wi Fi direct, I think, yeah, something like that. I'm saying that in the future, it clearly it's a natural progression that the watch would have its own Wi Fi, and then you could leave house without your phone.
[58:30.000 --> 58:46.000]  And if it knows the Starbucks network, it can, when you get there, it'll get notifications and email and stuff like that right there. And then you can send text messages or iMessage, at least not SMS, but you could send messages and emails right from your watch without your phone present.
[58:46.000 --> 58:51.000]  That's coming in the future, surely, unless the product is so unpopular that they stopped making.
[58:51.000 --> 59:01.000]  Right? Well, I mean, LG just just just launched a watch with LTE. I mean, so it's like it's in the realm of pasta. Yeah, I think Samsung had.
[59:01.000 --> 59:14.000]  Watch the watch last year. Yeah, clearly it's possible. It's just a question of when it'll be ready for an Apple caliber product. Right? Um, I that headline is so bad is not an iPhone killer. Absolutely not. And then the secret history of the Apple Watch.
[59:14.000 --> 59:31.000]  Boy, that is really overstating the access that he got. Right? I mean, how much this? This is not the secret history of the Apple Watch. Right? Like, if there's a problem with the article, it's that it's so incomplete about the creation story of the Apple Watch.
[59:31.000 --> 59:40.000]  There are very few details about what what paths they went down and backtracked on in the three years that they were working on it.
[59:40.000 --> 59:54.000]  Yeah, no, even the one that was in here that was kind of interesting about the timeline wasn't really wasn't really fleshed out. No, it wasn't fleshed out in any in any degree. So, you know, who has on the to me click baby headline from wired?
[59:54.000 --> 01:00:10.000]  Compare that to the New Yorker, which the headline is the shape of things to come. How an industrial designer became Apple's greatest product. And then their their title tag for the article, which is a little different, is Jonathan Ive in the future of Apple.
[01:00:10.000 --> 01:00:18.000]  Totally fair, not click baby at all. And the article got tons of attention. It got all the attention it deserves.
[01:00:18.000 --> 01:00:30.000]  Well, welcome. Welcome. Welcome to the reality of today's World Wide Web. Yeah. Let's take a break. And the last thing we can do on the article was talk about the quote they have for me.
[01:00:30.000 --> 01:00:38.000]  There's another another area where I'll complain. We'll get to the real area while you're grumpy. Yeah.
[01:00:38.000 --> 01:00:41.000]  Let me tell you about a new sponsor.
[01:00:41.000 --> 01:00:43.000]  Dash.
[01:00:43.000 --> 01:00:53.000]  Dash is really cool. It's a Web site that lets you quickly create real time dashboards like a like a status display.
[01:00:53.000 --> 01:01:02.000]  You create a dashboard. It's on the Web. You can put it anywhere you can put a Web site so you can hook like a computer up to a big TV set or something like that.
[01:01:02.000 --> 01:01:13.000]  Hang it on your office for your team. And there are dozens of pre-built widgets for services like Google Analytics, GitHub, Twitter.
[01:01:13.000 --> 01:01:21.000]  So you can get stuff from Twitter for your company's Twitter account, display it on a big dashboard on a TV or something like that for your team to see.
[01:01:21.000 --> 01:01:33.000]  I also hook up with app figures. App figures is a really cool company that does app analytics so you can see things like how many reviews your app got.
[01:01:33.000 --> 01:01:37.000]  How many sales you had yesterday or this week or a month to date and stuff like that.
[01:01:37.000 --> 01:01:47.000]  So if you just want to put up a dashboard that graphs things like, you know, your app sales for the last month or last week or whatever,
[01:01:47.000 --> 01:01:51.000]  dash and you use app figures already or number one, if you don't use app figures, you should look into it.
[01:01:51.000 --> 01:01:57.000]  But then if you use dash, you can hook up to app figures and get that graphed in a really, really cool way.
[01:01:57.000 --> 01:02:05.000]  And you're not limited to their pre-built widgets. They have an API so you can do custom data.
[01:02:05.000 --> 01:02:15.000]  The API you can use to push real time data or pull it from sources like Google Drive, Dropbox or pretty much anywhere on the Web.
[01:02:15.000 --> 01:02:23.000]  So if you can build something that can put data into Dropbox, which is pretty easy, it's pretty much just like writing a file,
[01:02:23.000 --> 01:02:30.000]  you can then set up a custom dash widget that'll just log in your Dropbox account and pull the data from there.
[01:02:30.000 --> 01:02:41.000]  The pricing model is fairly simple. Free accounts get unlimited public dashboards so that people can share live data with the world, with the community.
[01:02:41.000 --> 01:02:51.000]  If you upgrade to pro, you can get unlimited private dashboards and you can get themes and access to the real time push API.
[01:02:51.000 --> 01:02:56.000]  The real time push API is only for pro accounts. Ten bucks a month. That's it.
[01:02:56.000 --> 01:03:00.000]  Just ten bucks a month and you can get a pro account. Really cool.
[01:03:00.000 --> 01:03:06.000]  So the free account, you can use it just to see how cool it is. Use the free account, see how cool it is.
[01:03:06.000 --> 01:03:12.000]  But they're also running a limited time promotion. If you sign up for a free account today at their website.
[01:03:12.000 --> 01:03:17.000]  Now, their website is the dash dot com, the dash dot com.
[01:03:17.000 --> 01:03:24.000]  You'll get one private dashboard in addition to your free accounts on limited public dashboards.
[01:03:24.000 --> 01:03:31.000]  So you can even try the private dashboards for free with the limited time promotion just to see how cool it is.
[01:03:31.000 --> 01:03:38.000]  No credit card required and they will keep your private dashboard. You'll keep it forever.
[01:03:38.000 --> 01:03:43.000]  So it's not like during the limited time promotion, once it's over, your private dashboard disappears.
[01:03:43.000 --> 01:03:51.000]  You get to keep it. Really cool stuff. So go check them out at the dash dot com.
[01:03:51.000 --> 01:04:03.000]  Thanks to them. Do you want to read the part of the first paragraph? It's the first paragraph of David Pierce's story.
[01:04:03.000 --> 01:04:08.000]  Sorry about that. I stepped out for a second. Oh, that's all right.
[01:04:08.000 --> 01:04:17.000]  I found the quote, by the way. OK. Fortunately, Isaacson, which the thing with the essence books, like half of it was just like rewriting other people's stuff.
[01:04:17.000 --> 01:04:24.000]  But he told Fortune and Isaacson has it in here. I felt like a dope, he told Fortune. I thought we had missed it.
[01:04:24.000 --> 01:04:32.000]  We had to work hard to catch up. Speaking about music and the fact that they kind of rejiggered everything.
[01:04:32.000 --> 01:04:37.000]  And the other thing, this is like this is I know you share my frustration with this,
[01:04:37.000 --> 01:04:45.000]  like the whole mythology about Apple creating these new products like Apple doesn't create Apple really hasn't created new products.
[01:04:45.000 --> 01:04:54.000]  They've created new user interfaces. But, you know, I mean, the the the Mac with the idea of a WIMP interface was famously,
[01:04:54.000 --> 01:04:59.000]  you know, initially came up at Xerox. You know, the idea of an MP3 player wasn't new.
[01:04:59.000 --> 01:05:02.000]  The idea of a smartphone wasn't new. The idea of a tablet wasn't really new.
[01:05:02.000 --> 01:05:09.000]  I mean, and what they do, though, is they do it really well.
[01:05:09.000 --> 01:05:14.000]  And part of doing it really well is they do it at the right time with the right technology.
[01:05:14.000 --> 01:05:22.000]  And it's just like, again, it goes back to this kind of fundamental like myth making nature of of the press.
[01:05:22.000 --> 01:05:25.000]  And I know this is the case in all arenas, the case in politics, the case in sports.
[01:05:25.000 --> 01:05:30.000]  Everything is about like, you know, more and more with sports. I'm a huge sports fan.
[01:05:30.000 --> 01:05:37.000]  There's more and more writing about kind of like the intricacies of the game and game planning and how people run plays like that, which I love.
[01:05:37.000 --> 01:05:41.000]  I dig into. But it was sports writing that we had for years.
[01:05:41.000 --> 01:05:49.000]  And what you still get places like ESPN and stuff like that is in the front page is the mythological great man or great woman,
[01:05:49.000 --> 01:05:56.000]  you know, overcoming adversity to to to win the day when that's actually that's a story.
[01:05:56.000 --> 01:06:07.000]  And and it's not how products are made. But again, like I said, it's on Apple to create the myth and it's the myth making that that is gone.
[01:06:07.000 --> 01:06:15.000]  Yeah. Do you want to read the first paragraph of this iPhone killer story or at least the I guess it's the second paragraph.
[01:06:15.000 --> 01:06:19.000]  There is a paragraph marker. No, it's no it's the first. Oh, yeah, you're right.
[01:06:19.000 --> 01:06:25.000]  Oh, because this terrible layout. Yeah. Yeah. Kevin Lynch. I'll skip around a bit.
[01:06:25.000 --> 01:06:31.000]  I'll read the parts. Kevin Lynch accepted in early 2013. Kevin Lynch accepted a job offer from Apple.
[01:06:31.000 --> 01:06:34.000]  Funny thing about the offer didn't say what he would be doing.
[01:06:34.000 --> 01:06:40.000]  It was odd that Apple even offered him a job during his eight years at Adobe, most recently as chief technology officer.
[01:06:40.000 --> 01:06:45.000]  He was best known as the only person dumb enough to publicly fight Steve Jobs with the iPhones lack of support for flash videos,
[01:06:45.000 --> 01:06:50.000]  which, of course, he wasn't the only one. But whatever. When Lynch announced his move, the reaction was immediate.
[01:06:50.000 --> 01:06:58.000]  They want this guy. Apple blogger John Gruber called Lynch, quote, a bozo comma, a bad hire, period, unquote.
[01:06:58.000 --> 01:07:08.000]  New paragraph. I didn't, though. And I know it's nuance and it's harsh. But when he was hired, this was actually exactly two years ago.
[01:07:08.000 --> 01:07:16.000]  Tuesday, 19th of March, 2013. This is all in the headline. I'll put this in the show notes.
[01:07:16.000 --> 01:07:29.000]  Don't forget. Exhibit A in the case that newly hired Apple VP of technology Kevin Lynch is a bozo, a bad hire.
[01:07:29.000 --> 01:07:34.000]  The nuance there is I didn't say he is a bozo, a bad hire.
[01:07:34.000 --> 01:07:43.000]  I said there is a case to be made that he is. And the case to me was, you know, not that it was good or that it was convincing.
[01:07:43.000 --> 01:07:51.000]  But, you know, and I quote from a blog post that he had written at Adobe three years ago talking about Flash Player.
[01:07:51.000 --> 01:07:59.000]  And so here's these are words from Kevin Lynch. So three years before 2010.
[01:07:59.000 --> 01:08:05.000]  We are now on the verge of delivering Flash Player 10.1 for smartphones with all but one of the top manufacturers.
[01:08:05.000 --> 01:08:13.000]  This includes Google's Android, Rims Blackberry, Nokia, Palm Pre and many others across form factors,
[01:08:13.000 --> 01:08:18.000]  including not only smartphones, but also tablets, netbooks and Internet connected TVs.
[01:08:18.000 --> 01:08:26.000]  Flash in the browser provides a competitive advantage to these devices because it will enable their customers to browse the whole Web.
[01:08:26.000 --> 01:08:33.000]  So those are Lynch's words, right? That's you know, he wrote that or at least he put his name on it.
[01:08:33.000 --> 01:08:38.000]  And I wrote, well, how'd that work out? Those companies and platforms are now either.
[01:08:38.000 --> 01:08:44.000]  This is and this was two years ago. A, out of business. B, on the verge of going out of business.
[01:08:44.000 --> 01:08:47.000]  Or C, have abandoned Flash Player entirely.
[01:08:47.000 --> 01:08:52.000]  And even include D, that the Web is kind of on Death Watch as it is.
[01:08:52.000 --> 01:08:59.000]  Yeah, well, at least on mobile and the watch. Right.
[01:08:59.000 --> 01:09:04.000]  So I stand by it. I'm not you know, I. But I didn't say he was.
[01:09:04.000 --> 01:09:13.000]  I said there was a case to be made that he was. And I know that I'm asking for nuance that the press typically doesn't give.
[01:09:13.000 --> 01:09:21.000]  But to me, it's important. Like it's, you know, clearly we're going to judge Kevin Lynch on the quality of Apple Watch software.
[01:09:21.000 --> 01:09:28.000]  And, you know, he might prove himself that, you know, OK, you know, he was dealt a bad hand at Adobe.
[01:09:28.000 --> 01:09:34.000]  And the argument would be then that he was the loyal company man and that he knew he knew damn well when he wrote it,
[01:09:34.000 --> 01:09:41.000]  that it was a bad hand and he was loyal to the company. But I just I don't like that.
[01:09:41.000 --> 01:09:45.000]  I don't like having it quoted that I said he was a bozo because I didn't say that.
[01:09:45.000 --> 01:09:50.000]  And I wouldn't have because I don't feel like, you know, to me, the nuance is important.
[01:09:50.000 --> 01:09:55.000]  It could be that he he knew damn well that it was a pile of shit and that he was just,
[01:09:55.000 --> 01:10:01.000]  you know, being the right, you know, doing it, doing right by the company as he saw fit.
[01:10:01.000 --> 01:10:05.000]  I don't know if I've ever to be. Yes.
[01:10:05.000 --> 01:10:11.000]  Reading it. I have to I have to be honest reading it. Yes. You clearly said it is a case.
[01:10:11.000 --> 01:10:19.000]  You didn't say he was a bozo. I will say that I very much remembered your post about Kevin Lynch.
[01:10:19.000 --> 01:10:25.000]  And when I saw the quote in the article, A, I knew you'd be annoyed, but B, I thought it was totally fair.
[01:10:25.000 --> 01:10:31.000]  That's what I remembered you saying. So it's not unfair. I wouldn't say unfair, but I feel like it misses the nuance.
[01:10:31.000 --> 01:10:34.000]  And then there's another line from what he wrote.
[01:10:34.000 --> 01:10:42.000]  He wrote, for example, the recent Nexus one from Google will rock with a great experience in the browser with Flash Player 10.1.
[01:10:42.000 --> 01:10:50.000]  And then I said, yeah, it rocked so hard. Google dropped Flash Player support from Android last year
[01:10:50.000 --> 01:10:54.000]  with a link to where Google dropped Flash Player support from Android.
[01:10:54.000 --> 01:10:59.000]  Now, the one thing, though, like there's no I completely share your skepticism.
[01:10:59.000 --> 01:11:07.000]  I mean, when I was I was and remain very critical of the of the initial watch unveiling again for the exact same reason,
[01:11:07.000 --> 01:11:11.000]  because I just felt the messaging was so poor.
[01:11:11.000 --> 01:11:17.000]  And I called out the fact that, boy, the Kevin Lynch part really bothered me. I was bothered when he was hired.
[01:11:17.000 --> 01:11:21.000]  Other people were bothered, was hired. And I linked to this post, by the way.
[01:11:21.000 --> 01:11:28.000]  And then I said, for me, at least his seeming inability to focus or prioritize his software demo confirmed many of those misgivings.
[01:11:28.000 --> 01:11:32.000]  So, no, I mean, there's no question that he he had a ton of skepticism.
[01:11:32.000 --> 01:11:38.000]  I will say I thought he I thought he crushed the the watch event.
[01:11:38.000 --> 01:11:42.000]  Like I thought his was by far the strongest part of the second watch event.
[01:11:42.000 --> 01:11:48.000]  I thought he captured the way the watch can rest from your life.
[01:11:48.000 --> 01:11:59.000]  My my my case for the watch has always been, again, I take more less of a watch and watching the Apple Watch in particular and more of a like where is technology going view.
[01:11:59.000 --> 01:12:01.000]  And one, I think that's the national next place.
[01:12:01.000 --> 01:12:10.000]  And two, I think what's interesting is, is the phone gave us the the ability to to interact with anyone, anything anywhere in the world.
[01:12:10.000 --> 01:12:14.000]  But what the watch will give us is the chance to interact with everything in our physical environment.
[01:12:14.000 --> 01:12:22.000]  And that's what winched winch demoed. And that's more of a longer range vision because a lot of this stuff for that isn't in place yet.
[01:12:22.000 --> 01:12:25.000]  But but that's that's what he did.
[01:12:25.000 --> 01:12:31.000]  And that's why I'm bullish, because I think that the watch makes sense, like a watch makes sense.
[01:12:31.000 --> 01:12:35.000]  One and two, Apple has deserves the benefit of the doubt.
[01:12:35.000 --> 01:12:42.000]  They've they're three for three right now. And if anyone's going to nail it, like until they prove otherwise, I'll presume they will.
[01:12:42.000 --> 01:12:51.000]  And that's at the core. That's why I'm bullish. And I think Apple and Lynch in particular demonstrated that at the last event.
[01:12:51.000 --> 01:12:54.000]  But that's not coming across in these articles.
[01:12:54.000 --> 01:12:59.000]  One thing I heard when I wrote that and I don't know if I I don't think I wrote about it.
[01:12:59.000 --> 01:13:05.000]  I don't know if I don't remember if I said it on the show, but after I wrote that this was back when he was first hired.
[01:13:05.000 --> 01:13:12.000]  One thing I heard from, let's say, a well-placed birdie in Cupertino.
[01:13:12.000 --> 01:13:23.000]  Who would know somebody birdie with a position who would know if it were true, said to me that, in fact, Steve Jobs had personally recruited.
[01:13:23.000 --> 01:13:31.000]  Now, obviously, he was hired and if he was hired in 2013, 13, two years ago, Steve Jobs was already dead.
[01:13:31.000 --> 01:13:38.000]  But what I heard from one source who would know was that Jobs tried to recruit him years prior.
[01:13:38.000 --> 01:13:44.000]  I don't know exactly when. Probably 2010 or 2011.
[01:13:44.000 --> 01:13:56.000]  Well, probably 2010, thinking about it. And he turned him down specifically because he thought it he owed it to Adobe to stick with them and that it would.
