[00:00.000 --> 00:02.000]  Uh, here we are. We're recording on
[36:09.140 --> 36:11.980]  That they run into each other. That's a good point. I don't even think of that
[36:12.620 --> 36:17.820]  Yeah, yeah, I want to move it on the iPad too because on the iPad you swipe up for it
[36:17.820 --> 36:19.820]  What if they move it to the side on that as well?
[36:21.060 --> 36:23.200]  hmm, I don't think so I
[36:24.620 --> 36:28.500]  Know I don't think so because I think the iPad follows the iPhone
[36:28.500 --> 36:33.620]  You're on the phone, you know, it really needs to come up from the bottom down from the side. Sure
[36:33.620 --> 36:38.140]  Sure, like I feel like with the iPad if the iPad lived in its own universe
[36:38.300 --> 36:42.100]  It wouldn't make much difference whether it was a thing from the side or a thing from the bottom
[36:42.100 --> 36:47.740]  But because it's like it's really just a big iPhone. It's got to come up from the bottom. Mmm. Yeah, I
[36:48.380 --> 36:55.160]  Think the only things that Apple likes up there is the status stuff the right time time the battery
[36:55.160 --> 37:01.280]  And you know the spotlight and what do you call it? What's the
[37:02.160 --> 37:10.520]  Notification Center. Yeah, you know the spotlight icon being there is interesting because when they came out with spotlight with tiger up through
[37:11.300 --> 37:16.020]  Whatever was before Yosemite a Mavericks you would have a little pop out in the top right corner
[37:16.200 --> 37:19.760]  But now you're clicking this magnifying glass in the top right corner
[37:20.400 --> 37:24.240]  But the text field pops up in the middle of the screen so that doesn't make much sense
[37:24.240 --> 37:26.600]  Yeah, you're actually right now that I think about it
[37:26.680 --> 37:31.760]  So maybe they'll get rid of that entirely and just tell people to do the the command spacebar
[37:32.200 --> 37:34.440]  right, and if you're the sort of person who's
[37:35.100 --> 37:41.440]  Doesn't think about using a command line thing then spotlights not for you. Anyway, maybe maybe it moves to the dock
[37:42.800 --> 37:46.320]  Yeah, you know they have the icon for spotlight in the file system
[37:46.320 --> 37:52.380]  Anyways, they always have so right maybe or a quick mouse at the corner hot shortcut or something
[37:52.380 --> 37:54.900]  Yeah, I don't know. That's a good point
[37:57.780 --> 38:01.820]  Yeah, I haven't heard anything else about OS 10 I think that
[38:02.980 --> 38:06.260]  There probably has got to be a few things, you know, I I do
[38:07.140 --> 38:12.340]  Expect I just think that there's got to be a few things but I do think that it's a lot more like a snow leopard
[38:12.340 --> 38:13.900]  Style release. Yeah, absolutely
[38:13.900 --> 38:18.540]  I mean I heard there's a big focus on security with this new feature called rootless
[38:18.540 --> 38:23.900]  Which sort of blocks the file system from being as accessible as it is now
[38:24.260 --> 38:28.120]  The finder won't go away people will still be able to get into the file system
[38:28.120 --> 38:31.320]  But like the root directories and such will be will be hidden
[38:32.100 --> 38:37.700]  Yeah, that's a good. It's an interesting feature and that's in to my knowledge. It's entirely a
[38:39.200 --> 38:42.220]  German scoop and you know everything I've ever seen about it
[38:42.220 --> 38:48.980]  It ultimately it's somewhere at the bottom of the article says as first reported by marker on a nine-to-five mark
[38:49.140 --> 38:49.660]  Yeah
[38:49.660 --> 38:53.620]  It might be more of an iOS thing because it was designed initially to sort of break
[38:54.020 --> 38:58.500]  Jailbreaks in the future from people people being able to tap deep into the system
[38:58.780 --> 39:05.100]  But there's some ways to apply it to the Mac as well. Hmm. Yeah, I can see it and I think it ties into
[39:07.060 --> 39:10.300]  You know, obviously it's you first think of it as a security feature
[39:10.300 --> 39:14.380]  but I think Apple more and more sees
[39:15.300 --> 39:21.220]  security and privacy is being intertwined and then it's it's it's the sort of
[39:22.460 --> 39:26.620]  doubling down on features like this has as much to do with their
[39:27.060 --> 39:34.380]  Their stance on privacy as it does on any sort of just the the general principle that you want your OS to be secure
[39:34.380 --> 39:41.380]  Right, and it also goes back to the big picture stuff of a bigger quality stability focus not loading people tap
[39:41.660 --> 39:46.020]  Into the core parts of the system will likely keep the OS stabler overall
[39:46.460 --> 39:52.940]  Yeah, the privacy thing is a good point because there was all that there's been a lot of talk about a Siri API
[39:53.740 --> 39:57.300]  Mmm, and I know and I'm sure you heard this as well that at some point
[39:57.300 --> 40:00.660]  They were considering a full-fledged way for developers to tap into Siri
[40:00.660 --> 40:07.700]  Yes, but from what I understand they keep holding back on that because they're concerned about the privacy implications
[40:07.700 --> 40:11.740]  So let's say you give a command to Siri and you're trying to tap into Yelp
[40:12.340 --> 40:16.380]  but what if Siri misinterprets what you said and sends your data to
[40:17.780 --> 40:19.780]  another app a Google app or
[40:20.100 --> 40:21.660]  Shazam or something like that
[40:21.660 --> 40:28.340]  So they're concerned that Siri might send data the wrong place because it misinterprets what you said. So, hmm. Yeah, I could see that
[40:28.340 --> 40:35.500]  It's an interesting thing or I I just off the top of my head that if they opened it up to third parties
[40:38.780 --> 40:45.040]  Even if they made it and I suspect that they would I suspect that I'm a Mac
[40:47.020 --> 40:49.540]  Well, I on iOS it would definitely
[40:50.700 --> 40:52.700]  You know, everything goes through the App Store
[40:52.700 --> 40:56.460]  But even if they did it on the Mac, which doesn't really have proper Siri at anyway
[40:56.460 --> 41:02.180]  but if they if they did I would see them as doing it only for Mac App Store apps because
[41:02.620 --> 41:07.340]  I think they would want to approve the apps because they wouldn't want it used in any
[41:07.580 --> 41:14.520]  Context where what you might be saying to Siri is stuff that Apple does not want going to their servers for whatever reason
[41:14.520 --> 41:16.520]  I'm not you know, no, that makes a lot of sense
[41:17.380 --> 41:20.940]  Read into that what you will but I don't think that they want you saying, you know
[41:20.940 --> 41:26.260]  They don't want you even something I'm not even you know, there's you know porno or you know
[41:26.260 --> 41:31.700]  pirating movies or something like that any sorts of stuff that they might not want to be involved with but even something like that that
[41:31.820 --> 41:36.620]  On the surface is on the up-and-up like a medical records app. They're not gonna want you
[41:37.380 --> 41:42.580]  But on the other hand, I guess they still allow it for dictation and that stuff still round trips to the server
[41:42.580 --> 41:45.820]  So, I don't know right? I don't know. All I know is that
[41:47.100 --> 41:49.100]  the the privacy thing is
[41:49.540 --> 41:51.540]  from everything I've heard is
[41:51.540 --> 41:53.540]  super super super
[41:53.540 --> 42:00.980]  Top priority across the company. It's legit. It's not like a marketing thing. It's no it's what they really actually focus on
[42:01.400 --> 42:07.020]  You can't say that for everything they do but this is this is a real this is a real concern for them
[42:07.020 --> 42:10.820]  I do think they will do something not a full-fledged your API
[42:10.820 --> 42:17.560]  But that deep linking app indexing feature that Google announced a couple weeks ago. I think that's gonna
[42:17.560 --> 42:23.620]  Be an iOS 9. It's under the codename breadcrumbs, which kind of is like leading a trail of your app to be able to be
[42:24.220 --> 42:28.580]  Indexed by Siri and spotlight and so something a little smaller scale. Hmm
[42:29.300 --> 42:33.900]  Yeah, I could see that and it sure would be good if you could
[42:35.300 --> 42:36.660]  You know
[42:36.660 --> 42:38.660]  like if you use
[42:39.060 --> 42:44.500]  Things, you know and that you could say hey Siri tell things to add
[42:44.500 --> 42:48.420]  Blah-blah-blah to my next up list
[42:48.980 --> 42:55.580]  right have that parse correctly and I know things maybe is a bad example because I know things like a bunch of to-do apps
[42:55.900 --> 43:02.820]  Can integrate with your system-wide reminders list just to get stuff into your inbox, but there's no way to do like a custom
[43:03.460 --> 43:07.780]  Just it only makes sense in the context of this app Siri input, right?
[43:07.780 --> 43:10.740]  And they kind of hacked it like I know and I use things in their settings
[43:10.740 --> 43:18.020]  They they talk about like reminders plus Siri and integrating that with things so they recognize that I think a few other apps as well
[43:18.020 --> 43:20.180]  Have right and you know
[43:20.180 --> 43:27.260]  There's just all sorts of apps where Siri specific input like if Siri could be as smart about a third-party app as it is about
[43:27.580 --> 43:30.220]  Some of the built-in stuff. It would be great, right?
[43:32.820 --> 43:37.140]  Well, hold on and then let's talk about what's coming that's the up next remind me
[43:37.140 --> 43:41.980]  We'll talk about what what we think is coming up or what, you know is coming up next in iOS 9
[43:41.980 --> 43:44.500]  But let me take a second break here and thank
[43:45.140 --> 43:51.260]  Our next sponsor these guys were here last week. They're back again our good friend at mail route ma
[43:51.660 --> 43:54.660]  Il ro you te
[43:55.660 --> 44:02.060]  Here's their pitch, you know who should be handling your email email nerds who do nothing but email
[44:02.060 --> 44:08.260]  These guys and mail route, that's all they do. They created the first cloud-based email filtering solution
[44:08.260 --> 44:12.340]  And then they sold it to Microsoft now, they're back with mail route. They've been there for a couple of years
[44:13.340 --> 44:15.340]  And it's such a simple
[44:16.660 --> 44:23.580]  Beautiful pitch it's just super effective spam and virus filtering for your own
[44:24.300 --> 44:26.300]  Email that you host yourself
[44:26.780 --> 44:27.780]  so
[44:27.780 --> 44:34.780]  So imagine a world with no spam. No viruses. No bounce mail. That's what it's like with mail route. They don't host your email
[44:35.460 --> 44:38.780]  You have your own domain you run your own mail server or you have you know
[44:38.780 --> 44:43.780]  You go to somebody like fast mail or something like that where you have email that's under your own control
[44:45.140 --> 44:46.780]  What you do, but you have your own domain name
[44:46.780 --> 44:53.980]  What you do is you point your MX records at mail route and then your mail goes through their filters first and then whatever
[44:53.980 --> 44:58.980]  Passes through their filters goes on to your mail server. Just a little front end
[44:58.980 --> 45:06.980]  Just like think of it as like a screen in the window in between the outside world and your mail server and it can make a tremendous
[45:07.980 --> 45:15.980]  Tremendous difference in the amount of spam that gets they're super accurate on both sides super low for false positives super low false negatives
[45:15.980 --> 45:20.980]  I don't even know how they do it. I don't know how their their spam filtering is as accurate as it is
[45:20.980 --> 45:27.980]  They have a great feature. So everybody every every email account in under your control can get a
[45:28.980 --> 45:32.980]  Quarantine report on a regular basis and what that means is you get an email
[45:32.980 --> 45:39.980]  from mail route in your inbox that would just say here's the emails that we were sort of like maybe on and
[45:40.980 --> 45:43.980]  You can look through that list and instead of looking through like
[45:43.980 --> 45:49.980]  5,000 I've got I've got an email address over here. I swear to God and it's not on a in front of mail route
[45:49.980 --> 45:54.980]  Although I should I just don't use this domain that much anymore has over 5,000 spams in the inbox right now
[45:54.980 --> 45:56.980]  I know that they're all almost all spam
[45:56.980 --> 46:00.980]  It's an address that I've used like just for ordering stuff online in the past
[46:01.980 --> 46:03.980]  Mail route can filter all that crap out
[46:03.980 --> 46:08.980]  but then you can get a report this quarantine report and it'll say here's seven that we were like a
[46:08.980 --> 46:14.980]  Maybe on like these aren't we're not really sure I ball that list if you see one that actually wasn't spam
[46:14.980 --> 46:18.980]  You're like two clicks away from whitelisting that and then it'll never get flagged again
[46:18.980 --> 46:25.980]  But that way you don't have to go through all five thousand emails that they did flag a spam and look for the false positives
[46:25.980 --> 46:30.980]  They give you this quarantine list. That is great. It just it just gives you the ones that they were like maybe on
[46:31.980 --> 46:33.980]  And there's very few of those
[46:33.980 --> 46:39.980]  Super easy to set up super reliable and because you're just pointing you're just redirecting your MX record to go to mail route
[46:39.980 --> 46:44.980]  First then onto your server. It's so easy to try and if you don't like it
[46:44.980 --> 46:49.980]  Although I can't imagine why that would be I've never heard of anybody who's tried it and not stuck with it because it's so accurate
[46:49.980 --> 46:53.980]  But if if that's the case, all you have to do is change your MX record back
[46:53.980 --> 46:59.980]  You don't have to change your email settings on your phone and on your laptop and on your thing
[46:59.980 --> 47:06.980]  You don't have to copy your mail from you know, these big huge gigabyte archives of your old mail from one server to another
[47:06.980 --> 47:09.980]  You're just changing your MX record. So it's super super easy
[47:10.980 --> 47:17.980]  If you're an IT pro, they've got all sorts of API's and tools, you know that anything you'd want to do if you're like an email admin
[47:17.980 --> 47:22.980]  Super super advanced, but if you just want to hook it up and have it filter out all the junk it's so easy to do
[47:22.980 --> 47:28.980]  They've got all sorts of other stuff LDAP and Active Directory TLS mail bagging. I don't even know what that is
[47:28.980 --> 47:35.980]  Outbound relay anything you want from people handling your mail mail route handles it. They've got great customer support really really great
[47:35.980 --> 47:40.980]  So here's what you do. Go to mail route dot net mail route dot net slash
[47:40.980 --> 47:47.980]  TTS TTS for the talk show and you'll get a free trial and then when you sign up for the talk show
[47:47.980 --> 47:55.980]  And you'll get a free trial and then when you sign up to pay you get 10% off for the lifetime of your account
[47:55.980 --> 47:59.980]  Mail route dot net slash TTS. My thanks to mail route
[47:59.980 --> 48:07.980]  Great service to get spam me all the time. Probably like a hundred of them a day
[48:07.980 --> 48:14.980]  I sometimes I think about email. It's like can you even imagine anybody sitting up a new service today?
[48:14.980 --> 48:20.980]  Where it was like you have a public address and anybody else on the entire internet can just send stuff to you
[48:20.980 --> 48:25.980]  It's crazy. I mean, I hardly read email seriously anymore
[48:25.980 --> 48:33.980]  I go through every morning when I wake up on my phone and I'm basically selecting all most of the time looking out for names
[48:33.980 --> 48:40.980]  I recognize or important domains and such but otherwise it's spam. Yeah, it's it's so crazy
[48:40.980 --> 48:47.980]  John Cercuso and Merlin Mann have a new podcast and they were talking about Cercuso was talking about being in college in the 90s
[48:47.980 --> 48:49.980]  He was a little bit younger than me
[48:49.980 --> 48:53.980]  But at his college to get on the internet before they had it and even like, you know
[48:53.980 --> 48:58.980]  Like Ethernet connections in the dorm rooms, he'd go to the lab and there are these VT 100 terminals
[48:58.980 --> 49:02.980]  So do you ever see those that really it was just you know, what you think of the terminal app?
[49:02.980 --> 49:06.980]  It was a computer that that's all it was was a term. Yeah, sure, but they didn't have email
[49:06.980 --> 49:13.980]  Well, you'd log in now and then you'd get your email you'd get your mail on, you know using like elm or pine or one of those apps
[49:13.980 --> 49:20.980]  But the the fact was like that I remember this it was the same way at Drexel where I went where the terminals themselves were
[49:20.980 --> 49:27.980]  World writable. So if you knew the terminal name next to you, you could just write characters to the screen of that terminal
[49:27.980 --> 49:29.980]  Oh, wow, and you know
[49:29.980 --> 49:37.980]  so it was a great way to prank people in the lab because the assumption was it's like the entire early internet was sort of like
[49:37.980 --> 49:42.980]  Built on academic rules. Like why would anybody do that? This is you know, we're all in this together
[49:42.980 --> 49:48.980]  Sort of thinking. Yeah, it's kind of like iCloud but vintage, right?
[49:48.980 --> 49:56.980]  It's sort of like, you know, it's just was crazy and email is like this bizarre holdover from that that system
[49:56.980 --> 50:03.980]  Yeah, it's amazing to me that Apple isn't playing in that email space. You see Dropbox trying it
[50:03.980 --> 50:12.980]  Facebook with their messaging and all that and iCloud email in the mail apps on iOS and OS 10
[50:12.980 --> 50:16.980]  It's basically just like how email was handled five ten years ago
[50:16.980 --> 50:22.980]  I really think that if anyone would to you know, come in here and innovate in some way in the email space
[50:22.980 --> 50:28.980]  It could be Apple but here they are doing nothing at least publicly. Yeah, that's interesting. I never really thought about that but
[50:28.980 --> 50:37.980]  Presumably in the same way that anybody who can I message each other if they came out with their own Apple specific
[50:37.980 --> 50:42.980]  Apple to Apple email 2.0 type thing, you know
[50:42.980 --> 50:47.980]  Just as many people who can get blue bubbles with each other and I message could send you know
[50:47.980 --> 50:52.980]  Some kind of new email type thing to each other or maybe they'll just you know
[50:52.980 --> 50:58.980]  Beef up I message and try to make email go away. Yeah, I almost feel like that would be the way that they would go
[50:58.980 --> 51:04.980]  Yeah, probably because they just it would be easier for them to put it all in one or maybe not easier
[51:04.980 --> 51:12.980]  That seems like the more Apple way. Yeah, like males legacy and I messages is the new thing. Yeah, I wonder how much
[51:12.980 --> 51:18.980]  I wonder how much of their communication takes place on I message internally now because I know it used to be they you know
[51:18.980 --> 51:23.980]  Probably still are but I know they used to be an incredibly email reliant
[51:23.980 --> 51:28.980]  Company that they didn't really have any kind of complex
[51:28.980 --> 51:36.980]  I don't know what you would call it intranet style messaging type thing that you know most communication within the company took place by email
[51:36.980 --> 51:43.980]  Yeah, they probably use slack these days like everyone else. Well, they definitely have some teams on slack because remember when there was that
[51:43.980 --> 51:59.980]  There was a thing where you could type in a domain name and and see how many people you know, how many slack teams were registered for that domain
[51:59.980 --> 52:07.980]  Ah, yeah, and and it was the idea was slack added the feature to make it easy for you to connect
[52:07.980 --> 52:14.980]  you know, like if I think it was like you would type in like at nine to five Mac calm and then it would like
[52:14.980 --> 52:19.980]  Help, you know trying to help you it would be like, ah, here's the teams for your organization
[52:19.980 --> 52:24.980]  Which one do you want to join but that meant though that you could just take a guess and type in at microsoft.com
[52:24.980 --> 52:30.980]  And it would like tell you here's all the teams from your company that are in slack. Oh, wow. I wish I knew that
[52:30.980 --> 52:36.980]  Probably could have figured out they had a car team. Yeah, I want no I don't think I don't think there was anything
[52:36.980 --> 52:39.980]  I don't recall anything. Yeah, I don't think there was anything that
[52:39.980 --> 52:43.980]  Was telling I think they were kind of smart about it, but it was yeah, I'm just kidding
[52:43.980 --> 52:48.980]  But I'll try to look it up for the show notes. That's a big I can't believe slack even thought that would be a even half
[52:48.980 --> 52:53.980]  Good idea to launch something like that public. Well, you know what though it's exactly like
[52:53.980 --> 52:59.980]  It's that it is you're right and I'm sure that they were slapping themselves on the forehead over it
[52:59.980 --> 53:04.980]  But it's like when you are a good person and you're just trying to help somebody it is right
[53:04.980 --> 53:08.980]  It's so easy to overlook the you know
[53:09.980 --> 53:16.980]  What if you're a jerk? Right, right that somebody wrote an article a while ago that everybody needs like a
[53:16.980 --> 53:23.980]  Like a chief jerk officer who looks at everything and just says okay, but what if I'm a jerk?
[53:23.980 --> 53:25.980]  Right, right. That's a good point. Yeah
[53:28.980 --> 53:34.980]  So iOS 9 yeah, here's where there's a lot more action going on
[53:34.980 --> 53:38.980]  Right. So what do we know? We know San Francisco, right?
[53:38.980 --> 53:43.980]  We know that user interface wise besides the font. It's gonna look pretty much the same
[53:43.980 --> 53:49.980]  I heard some new splash of colors color changes on some icons some user interface elements
[53:49.980 --> 53:56.980]  But if you didn't know the difference between Helvetica and San Francisco, you'd think would be iOS 8
[53:56.980 --> 53:59.980]  I know
[53:59.980 --> 54:06.980]  We know about maps maps is getting a big upgrade so transit finally
[54:06.980 --> 54:12.980]  They wanted that out the door last year and I guess they're ready now, but it's only going to be in a handful of cities
[54:12.980 --> 54:17.980]  So San Francisco, New York, Toronto, London
[54:18.980 --> 54:24.980]  Berlin Paris and they want Boston and Tokyo by the end of the year
[54:24.980 --> 54:29.980]  Also, they're gonna have China launch sort of a small-scale rollout. Yeah, but
[54:30.980 --> 54:35.980]  Starting the funny thing though about hitting those cities is that yes
[54:35.980 --> 54:38.980]  It sounds like a short list of cities and it's you know
[54:38.980 --> 54:43.980]  Clearly they are behind Google on this regard because Google has transit information all over the world
[54:43.980 --> 54:47.980]  but if you can get like the top 10 cities you you
[54:47.980 --> 54:53.980]  Hit an enormous number of the people who need the transit information because they're so population dense
[54:53.980 --> 54:59.980]  Right, and I think they're gonna move quickly on this because I know that this new version is gonna have a notification system
[54:59.980 --> 55:04.980]  That you can be alerted when transit arrives in your city
[55:04.980 --> 55:09.980]  So they're planning on updating this frequently over the year and they have a whole roadmap of where they want to hit
[55:09.980 --> 55:13.980]  At what times in the future right like the big thing is having transit
[55:13.980 --> 55:20.980]  Is it the architecture for transit in general right OS and then after that they can do over-the-air updates, you know?
[55:21.980 --> 55:28.980]  iOS 9.1 or even 9.02 or something like that and it adds, you know new cities around right or even
[55:28.980 --> 55:33.980]  Over the air without a software update just through the backend infrastructure, right? Maybe yeah
[55:33.980 --> 55:35.980]  Yeah, I wouldn't be surprised if that's the case, right?
[55:35.980 --> 55:41.980]  But I mean if you were to say three cities in North America that if you can only hit three, I think they got those three
[55:42.980 --> 55:44.980]  Which ones would you say New York?
[55:45.980 --> 55:49.980]  Or maybe Chicago. Yeah, but you're thinking it Los Angeles. What were you thinking?
[55:49.980 --> 55:54.980]  You know Los Angeles because when I asked whoever I was talking to their Los Angeles is actually
[55:55.980 --> 56:02.980]  Extremely and surprisingly low on the on the list over they want to hit but Los Angeles is a driving city anyway
[56:02.980 --> 56:08.980]  Right, that's exactly why it wasn't why I put Chicago above it. Yeah, I didn't think of Chicago, but they got Toronto, San Francisco
[56:08.980 --> 56:14.980]  New York. Yeah, maybe Chicago later. We'll see. Yeah, and I know Boston has a great
[56:15.980 --> 56:22.980]  Infrastructure for it like Philadelphia is weird city for it. I don't I know that there's some information of our public transportation
[56:22.980 --> 56:24.980]  Organization is called SEPTA
[56:24.980 --> 56:26.980]  Southeast Pennsylvania
[56:26.980 --> 56:28.980]  transportation authority
[56:28.980 --> 56:30.980]  but I think that there's
[56:30.980 --> 56:37.620]  Really behind a lot of the other cities like the when I was visiting friends in Boston last year like you you could it says
[56:37.620 --> 56:42.200]  Like hey your bus is coming in 45 seconds and like your bus is coming in 45 seconds
[56:43.340 --> 56:49.860]  Maybe that's why Boston is not ready because they want to integrate that functionality. Yeah, I don't know. I don't know why boss
[56:49.860 --> 56:54.220]  Maybe I think maybe it's still that goes by population though. I mean, I don't know
[56:54.220 --> 56:59.040]  I know they really wanted Boston. It just wasn't ready. Yeah. No, I don't know and you know
[56:59.040 --> 57:02.820]  I think all these API's are different, you know and all the different or you know
[57:02.820 --> 57:08.420]  I I've from what I've read about it that there's no like unifying standard and that one of the reasons that
[57:10.540 --> 57:14.340]  Google has had a years-long lead at this is that Google it
[57:14.340 --> 57:18.860]  This is the sort of thing Google is good at and if every single city reports this transportation
[57:19.460 --> 57:23.900]  Information in a different way Google's really good at saying that's okay. We'll make sense of it
[57:23.900 --> 57:31.420]  Yeah, even if it's not like uniform, I would guess that Apple could take if they only did two cities San Francisco in New York
[57:31.420 --> 57:38.680]  It would it would hit an awful lot of the usage and the entirety of China. So right, that's a big one there
[57:39.300 --> 57:41.300]  Yeah, yeah
[57:42.500 --> 57:45.740]  Yeah, I guess China it might even be more important
[57:45.740 --> 57:49.700]  I think China that the number of people who take public transportation has got to be insane
[57:49.700 --> 57:54.500]  Yeah, but the interesting thing about China is that there's some legal government
[57:55.300 --> 58:02.660]  Monopoly on Alibaba who owns Auto Navi. So Apple is not allowed to do their own transit data collection in China
[58:02.660 --> 58:09.100]  So they've actually, you know struck a deal with Alibaba to get the the data from them for China
[58:09.300 --> 58:11.300]  Hmm. I wonder what the difference will be
[58:12.260 --> 58:14.980]  Yeah, I don't know probably reliability. Yeah
[58:14.980 --> 58:16.980]  Anything
[58:18.300 --> 58:19.820]  Else for maps
[58:19.820 --> 58:24.680]  Yeah, so those vans that they've been driving around are for a few things one
[58:24.680 --> 58:31.200]  They're redoing their entire base map the geography fundamentals of the map app, but and they're wanting to launch that by
[58:32.000 --> 58:39.340]  2017 or 18 so the trucks are doing verification on that data, but they're also taking pictures of
[58:39.340 --> 58:45.340]  Storefront so a lot of people thought these were a street view cameras like what Google does and they do collect data like that
[58:45.980 --> 58:47.940]  For 3d stuff that they're gonna do in the future
[58:47.940 --> 58:52.700]  but the more short-term thing is taking pictures of like a Chipotle or
[58:53.780 --> 58:59.460]  Storefront for an office to replace Yelp. So right now when you go into a place in the maps app
[58:59.840 --> 59:01.500]  Let's say you go to a restaurant
[59:01.500 --> 59:06.980]  It'll show you a picture of a menu item at the top taken by someone who uploaded it to Yelp
[59:06.980 --> 59:09.780]  And a lot of times those pictures are very poor quality
[59:10.340 --> 59:13.580]  So Apple stepping back and saying hey, we want to do this ourselves
[59:13.700 --> 59:19.600]  So they're taking stills of storefronts and the plan was to start rolling that out with iOS 9
[59:20.020 --> 59:26.740]  But it's more of a long-term initiative. So it might not be ready yet. Hmm, and there's also a browse around me feature
[59:27.140 --> 59:35.100]  So let's say you're standing on a street and you want to see a curated list of great places to go around you
[59:35.100 --> 59:40.980]  So it's kind of like the app around me and I'll show you like a list of the best cafes the best
[59:41.980 --> 59:44.340]  Whatever around you best cell phone store
[59:45.100 --> 59:51.200]  And they've also been testing that with an augmented reality view so you can wave your phone around and see
[59:51.820 --> 59:57.060]  Through the phone's camera lens the stuff around you kind of like Yelp tested a feature like this a few years ago
[59:57.060 --> 59:59.060]  And Google had something like this
[59:59.660 --> 01:00:04.140]  Not sure if that's ready, but those are some things they've been testing. Hmm. Very interesting
[01:00:04.140 --> 01:00:06.940]  I do think with some of the mapping stuff
[01:00:08.100 --> 01:00:10.500]  It's understandable that they're still behind
[01:00:11.100 --> 01:00:16.100]  Google just because Google had a lead and I write I do think that they've sort of
[01:00:16.320 --> 01:00:19.640]  That they're roughly keeping pace. Like I don't think they're I
[01:00:20.260 --> 01:00:25.980]  My gut feeling is that they're closer than they were. I mean when when Apple Maps debuted it infamously
[01:00:25.980 --> 01:00:27.980]  It was you know, one of the worst
[01:00:28.020 --> 01:00:31.660]  Received product rollouts in recent memory from Apple
[01:00:31.660 --> 01:00:33.660]  I
[01:00:34.660 --> 01:00:39.300]  Think since then even if you don't count that first version even if you fast forward a year
[01:00:39.300 --> 01:00:44.220]  I still think that in the time since then they've caught up more to Google than Google has
[01:00:44.620 --> 01:00:48.800]  Pulled further ahead and I think that's just the way it is when you're behind. That's fair. Yeah
[01:00:49.060 --> 01:00:55.660]  But here's my problem with that. My problem is that only now they're starting their own data collection to release
[01:00:56.340 --> 01:00:58.180]  more reliable version
[01:00:58.180 --> 01:01:05.420]  3-4 years from now instead of going to TomTom and those other data sources back whenever they started this project in 2010
[01:01:05.860 --> 01:01:13.560]  2011 before the fall 2012 launch instead of going to them. Why didn't Apple start their own data collection, you know process at the very beginning
[01:01:14.220 --> 01:01:15.420]  That's what I don't get
[01:01:15.420 --> 01:01:20.460]  Yeah, and I would broaden it a little bit and just say that and again, I do think that they've gotten better
[01:01:20.460 --> 01:01:23.580]  I use Apple Maps and I know with Topolsky on his show
[01:01:23.580 --> 01:01:26.460]  He's he was like laughed at me and said nobody uses Apple Maps
[01:01:26.460 --> 01:01:31.260]  But that's not true. If you look at the stats like iPhone users overwhelmingly use Apple Maps
[01:01:31.260 --> 01:01:33.100]  It's yeah, you know they use it
[01:01:33.100 --> 01:01:36.980]  They use it way more than Google Maps and I've had some really good experiences with it
[01:01:37.180 --> 01:01:40.460]  But the thing that gets me is it seems like some of the stuff that they've done
[01:01:40.540 --> 01:01:43.180]  It could be expressed is that they've cheaped out
[01:01:43.980 --> 01:01:45.860]  Like why not just like you you know
[01:01:45.860 --> 01:01:51.660]  Like you said why not start collecting the money like some of this is just sort of a manpower issue like Google
[01:01:51.660 --> 01:01:58.180]  Street View is a pretty cool feature but among many things that Google does it to me is like
[01:01:58.380 --> 01:02:01.100]  It's not the most technically impressive to me
[01:02:01.100 --> 01:02:07.380]  It's like manpower impressive that they've sent so many cars out with so many teams
[01:02:07.620 --> 01:02:09.620]  To take so many pictures
[01:02:10.260 --> 01:02:12.740]  All around the world. It's just like
[01:02:13.460 --> 01:02:16.300]  It's like how many companies have the resources to do that?
[01:02:16.300 --> 01:02:18.320]  Well, guess what Apple is a company that has you know
[01:02:18.320 --> 01:02:22.220]  It's it to me seems like a problem that you can solve by throwing money at it. Absolutely
[01:02:22.220 --> 01:02:25.540]  And who has more money than Apple? They should have started throwing money at this. Oh
[01:02:26.060 --> 01:02:28.540]  a bit longer ago and the
[01:02:29.780 --> 01:02:32.580]  And again, I whenever this comes up on the show
[01:02:32.580 --> 01:02:36.780]  I always preface it by saying it is so much easier to spend somebody else's money than your own
[01:02:36.780 --> 01:02:40.180]  So every time I advocate Apple spending money. Yes, I understand
[01:02:40.860 --> 01:02:47.540]  And that the way that you build a massive war chest of money like they have is by not spending money frivolously
[01:02:47.540 --> 01:02:55.700]  But yeah, that's it. Why not buy every map being company with decent, you know
[01:02:55.700 --> 01:03:00.020]  Why not buy as many of them as they can or at least more than they have why not buy Tom Tom?
[01:03:00.180 --> 01:03:04.540]  Whatever it costs because surely whatever it would cost would be affordable to Apple
[01:03:05.340 --> 01:03:10.660]  Right. I mean, I know they looked at more than they that they bought they looked at Foursquare for sure
[01:03:10.740 --> 01:03:14.580]  Yeah, they looked at they looked at Yelp or a deeper partnership with Yelp
[01:03:14.580 --> 01:03:18.420]  But I guess they felt they could do it better than their own better on their own
[01:03:18.700 --> 01:03:23.220]  And what's the point of buying Tom Tom if you can have a cheaper partnership with them anyways, I?
[01:03:24.620 --> 01:03:29.940]  Guess but on the other I don't know it just in the back of my head. It just seems to me like that they
[01:03:30.660 --> 01:03:32.400]  Yes, there's engineering problems
[01:03:32.400 --> 01:03:38.260]  but that some of the stuff with maps could have been accelerated by throwing money at it and
