[00:00.000 --> 00:01.840]  Are you recording?
[23:08.440 --> 23:09.440]  money willy nilly.
[23:09.440 --> 23:15.760]  I mean, that doesn't, I, it just doesn't make sense to me, like, like without a very, very
[23:15.760 --> 23:19.160]  concrete idea of how it's going to help Apple.
[23:19.160 --> 23:22.260]  I just don't see it though.
[23:22.260 --> 23:25.640]  It's interesting that when they acquired next, I mean, next was only like 400 million or
[23:25.640 --> 23:26.640]  something like that.
[23:26.640 --> 23:33.440]  400 and some, and there's some inflation adjustment that you have to do, right, right.
[23:33.440 --> 23:38.080]  But there's also, I mean, and I think there's just a, apart from the value of the dollar,
[23:38.080 --> 23:43.560]  there's, there's an acquisition inflation that's gone on since then.
[23:43.560 --> 23:46.360]  I mean, some of these acquisitions that have happened have just driven up.
[23:46.360 --> 23:52.320]  It's like every time somebody wants to get acquired, they're like, well, you know, the
[23:52.320 --> 23:56.000]  Facebook bought Instagram for,
[23:56.000 --> 23:57.000]  well look at it this way.
[23:57.000 --> 24:04.360]  The Apple, the Apple and the Apple next acquisition was, I forget when it was officially completed.
[24:04.360 --> 24:11.980]  I think it was like at least a handshake around Christmas, 1996, but, but made official in
[24:11.980 --> 24:14.180]  January 97.
[24:14.180 --> 24:19.520]  So whether you want to call it 96 or 97, probably 97 is a little bit better because it's, you
[24:19.520 --> 24:25.880]  know, you know, Christmas week or new year's week, 96 is effectively 97 anyway.
[24:25.880 --> 24:32.120]  But even so, the, the.com bubble was still in the early days, you know, it's, it had
[24:32.120 --> 24:34.460]  gotten started, but it was still early days.
[24:34.460 --> 24:43.560]  And so I think at that point, acquisitions were still largely done on traditional metrics
[24:43.560 --> 24:46.360]  of revenue, revenue and profit.
[24:46.360 --> 24:52.280]  Like the idea that you would value an acquisition on anything.
[24:52.280 --> 25:00.360]  Well, it's sad in a lot of cases, but in others, maybe not so, you know, like a good example
[25:00.360 --> 25:06.840]  might be Facebook buying Instagram where Instagram hadn't tried to make a nickel, right?
[25:06.840 --> 25:11.960]  They'd never sold the app they'd, they'd never done was clearly worth a lot, right?
[25:11.960 --> 25:16.640]  Because they had growth and they had, you know, all of these images they had even at
[25:16.640 --> 25:17.900]  good technology.
[25:17.900 --> 25:23.140]  Like one thing that to me often goes on unsaid about Instagram because it's when things work,
[25:23.140 --> 25:25.720]  we just don't notice it and we take it for granted.
[25:25.720 --> 25:33.280]  But Twitter, which was all just text, you know, had so many problems with scaling with
[25:33.280 --> 25:37.460]  the fail whale, etc.
[25:37.460 --> 25:41.840]  Instagram was doing something, you know, where I'm guessing the average Instagram post is
[25:41.840 --> 25:47.000]  at least I don't know, I could be, there's gotta be at least 1000 times bigger than a
[25:47.000 --> 25:54.120]  tweet though, because it's an image, not a, not just 140 characters, right?
[25:54.120 --> 25:55.120]  I don't know.
[25:55.120 --> 25:57.120]  I might, but it could be 10,000 times more.
[25:57.120 --> 25:58.120]  I don't even know.
[25:58.120 --> 26:04.040]  I don't even know how big an Instagram image, but it's gotta be at least 1000 times more
[26:04.040 --> 26:06.040]  and never really had scaling problems.
[26:06.040 --> 26:07.040]  Right.
[26:07.040 --> 26:14.480]  And the previous darling of social photo sharing flicker now that we have to go way back in
[26:14.480 --> 26:20.600]  the day for the early days of flicker before Yahoo bought them also had, you know, terrible
[26:20.600 --> 26:25.040]  scaling problems and it was far smaller than Instagram was.
[26:25.040 --> 26:26.040]  They did a great job.
[26:26.040 --> 26:28.720]  So there's some value there, but billions or what was it?
[26:28.720 --> 26:31.520]  1 billion that Facebook bought them for?
[26:31.520 --> 26:32.680]  I think so.
[26:32.680 --> 26:36.160]  For a company that never even tried to make a nickel.
[26:36.160 --> 26:37.160]  It's crazy.
[26:37.160 --> 26:42.760]  Well, not crazy, but it's, it's, it would certainly be crazy if they had a lot of users,
[26:42.760 --> 26:45.520]  which is a pretty important metric for, for that kind of thing.
[26:45.520 --> 26:48.440]  And the potential to make money is there.
[26:48.440 --> 26:51.600]  Yeah, right.
[26:51.600 --> 26:56.240]  I think the biggest thing, if you're going to compare something like Apple buying beats
[26:56.240 --> 27:05.600]  for 3 billion today to Apple's next acquisition in 97 isn't about the, the inflationary difference
[27:05.600 --> 27:09.560]  between 400 and some million then and 3 billion now.
[27:09.560 --> 27:16.120]  It's really more, how much is the cost compared to how much the Apple had on hand at the time?
[27:16.120 --> 27:23.840]  Whereas now Apple has what, like 160 billion in cash, much of it off sea overseas.
[27:23.840 --> 27:29.000]  But even so, even if you, even if they decided to pay the entire price in cash using overseas
[27:29.000 --> 27:36.600]  cash and pay, you know, 30 or 40% income tax on the thing, it's, it's a drop in the bucket,
[27:36.600 --> 27:37.600]  right?
[27:37.600 --> 27:45.520]  It's 5 billion on beats, and it's only 1 35th of their entire cash on hand, you know, right.
[27:45.520 --> 27:53.520]  It's a, you know, whereas the 400 and some million acquisition of next in 1997 was, people
[27:53.520 --> 27:58.080]  say this all the time, that it's a bet the company move that that is one case where it's
[27:58.080 --> 28:02.500]  not the least bit hyperbolic, where it was enough, you know, Apple was near bankruptcy,
[28:02.500 --> 28:06.960]  they didn't have, they couldn't afford to lose to not have it work out.
[28:06.960 --> 28:07.960]  Right.
[28:07.960 --> 28:09.400]  If you're with us, basically.
[28:09.400 --> 28:14.400]  So yeah, so Microsoft's investment was Microsoft 150 million, right?
[28:14.400 --> 28:15.400]  150 million.
[28:15.400 --> 28:16.400]  Yeah.
[28:16.400 --> 28:18.400]  So it was three times a third.
[28:18.400 --> 28:19.400]  Yeah.
[28:19.400 --> 28:20.400]  I'm assuming.
[28:20.400 --> 28:23.400]  So Microsoft basically paid for a third of that.
[28:23.400 --> 28:27.420]  I've said this before, Microsoft's people often look back at that and say that Microsoft
[28:27.420 --> 28:32.760]  helped save Apple by giving them 150 million, the 150 million they gave Apple didn't really
[28:32.760 --> 28:36.400]  make much of a difference compared, you know, in terms of keeping the company afloat, like
[28:36.400 --> 28:37.400]  right.
[28:37.400 --> 28:38.400]  They needed office.
[28:38.400 --> 28:43.080]  Yeah, they still needed billions of revenue per quarter, just to stay in the black.
[28:43.080 --> 28:45.440]  So 150 million investment from Microsoft.
[28:45.440 --> 28:49.920]  I mean, it was enough at the time that it certainly didn't hurt, but it didn't really
[28:49.920 --> 28:50.920]  make a big difference.
[28:50.920 --> 28:55.280]  I mean, they needed billions in revenue, and to keep costs down to stay in the black quarter
[28:55.280 --> 28:56.280]  to quarter.
[28:56.280 --> 29:02.480]  It was the, like you said, yeah, the commitment to keep doing office and the political value
[29:02.480 --> 29:05.240]  of the $150 million investment.
[29:05.240 --> 29:06.240]  Yeah.
[29:06.240 --> 29:13.920]  And the fact that it's Apple's revenue last quarter was 45.6 billion.
[29:13.920 --> 29:18.320]  So you know, considering that they take in that about that, and that's no, it wasn't
[29:18.320 --> 29:22.520]  even a record quarter.
[29:22.520 --> 29:26.740]  Three million does not, three billion does not seem like very much, right?
[29:26.740 --> 29:30.000]  I think that the concern, and I have this concern.
[29:30.000 --> 29:31.000]  I do.
[29:31.000 --> 29:32.600]  I mean, I, you know, I want to see how it turns out.
[29:32.600 --> 29:39.640]  I mean, but as a company watcher, I'm certainly concerned about it where it's not the money.
[29:39.640 --> 29:46.240]  It's to me the potential that it could signify a lack of focus.
[29:46.240 --> 29:52.440]  You know, that focus has always been the key to Apple's success.
[29:52.440 --> 29:59.640]  That they have all of this talent in the company, and so many good executives, and the whole
[29:59.640 --> 30:04.360]  operation is working on such a relatively few number of products.
[30:04.360 --> 30:09.960]  You know, Tim Cook has said, he's used the analogy several times, but that like, you
[30:09.960 --> 30:16.200]  know, that he could put all of the company's products on one table in an Apple store.
[30:16.200 --> 30:21.920]  The entire lineup of hardware that Apple sells could be arranged neatly on one table, and
[30:21.920 --> 30:27.880]  that that sort of focus is what lets the company do such good work on those products.
[30:27.880 --> 30:36.000]  Yeah, and I guess that that kind of colors how you think this deal is the value of this
[30:36.000 --> 30:39.220]  deal, depending on whether you think that they're going to sort of subsume that brand
[30:39.220 --> 30:42.160]  into their own or keep it separate.
[30:42.160 --> 30:43.160]  Yeah, totally.
[30:43.160 --> 30:46.160]  I mean, Montero and I talked about this last week.
[30:46.160 --> 30:47.160]  I just don't know.
[30:47.160 --> 30:52.080]  To me, that's the one of the single biggest questions about this potential acquisition
[30:52.080 --> 31:00.920]  is, and it's fascinating to me, because on the one hand, I can't see Apple having, owning
[31:00.920 --> 31:08.800]  a sub brand, and on the other hand, I can't see spending $3 billion for Beats and not
[31:08.800 --> 31:13.960]  keeping the brand, because to me, it seems to me like most of the value in Beats is in
[31:13.960 --> 31:14.960]  the brand.
[31:14.960 --> 31:20.960]  Yeah, I would guess so, like, again, again, we're just right.
[31:20.960 --> 31:26.400]  I have heard from some people, I mean, clearly among audio files, you know, like your Marco
[31:26.400 --> 31:34.080]  Arments, people who really know what they have seemingly have fully operational ears
[31:34.080 --> 31:37.800]  and really can tell the difference between different headphones.
[31:37.800 --> 31:42.640]  Beats is like a non entity and almost treated with disdain.
[31:42.640 --> 31:47.040]  But I've seen other people say, well, so audio files will keep buying their audio file headphones,
[31:47.040 --> 31:51.320]  you know, from Sennheiser and whoever else.
[31:51.320 --> 31:56.280]  But normal people love the way Beats headphones sound.
[31:56.280 --> 32:01.960]  And that it's not about like, fidelity and reproducing music, you know, in some sort
[32:01.960 --> 32:07.520]  of way that you measure fidelity, but effectively making it sound as though you have a nightclub
[32:07.520 --> 32:10.560]  in your head.
[32:10.560 --> 32:12.400]  And that they do a really good job of that.
[32:12.400 --> 32:16.720]  I don't know, though, that that means that it would be hard for a competitor to do the
[32:16.720 --> 32:20.280]  same thing, though, that they, you know, that they have technology that is it that they
[32:20.280 --> 32:25.520]  have technology that's hard to reproduce or, you know, I don't think that's like that.
[32:25.520 --> 32:29.240]  No, it doesn't seem like it's in particularly since their stuff was made by monster before.
[32:29.240 --> 32:30.240]  Right.
[32:30.240 --> 32:35.920]  I mean, they've only been making their own stuff for a little while six, six months or
[32:35.920 --> 32:36.920]  something.
[32:36.920 --> 32:38.240]  Yeah, maybe a little longer than that.
[32:38.240 --> 32:41.320]  But I've also seen other people and this is on Twitter.
[32:41.320 --> 32:46.240]  And you know, it's all you know, this has been the knock against Apple for as long as
[32:46.240 --> 32:47.240]  Apple has existed.
[32:47.240 --> 32:52.280]  I mean, probably from like 1980 onwards.
[32:52.280 --> 32:55.720]  People who are clearly not a fan of Apple products in general saying it's a perfect
[32:55.720 --> 33:02.600]  acquisition for Apple overpriced technology sold based on marketing alone.
[33:02.600 --> 33:06.640]  So it's a you know, I don't think it's a problem for Apple that from among some people,
[33:06.640 --> 33:11.140]  the idea that Apple buys beats reinforces that notion of the company because I feel
[33:11.140 --> 33:14.520]  like those people there's nothing Apple could ever do in a million years to turn them
[33:14.520 --> 33:15.520]  around.
[33:15.520 --> 33:23.080]  You know, and if your goal is to get 100% of all consumers to view your brand favorably,
[33:23.080 --> 33:24.080]  you're doomed.
[33:24.080 --> 33:28.480]  You're never you're going to end up, you know, you're going to end up failing.
[33:28.480 --> 33:31.880]  Yeah, there's no brand in any market that works like that.
[33:31.880 --> 33:36.120]  So what other what other acquisitions Well, let's take a break.
[33:36.120 --> 33:37.760]  Okay.
[33:37.760 --> 33:43.100]  And let me tell you about our first sponsor, our good friends, all three sponsors today,
[33:43.100 --> 33:44.100]  longtime friends of the show.
[33:44.100 --> 33:50.040]  Glad to have them on board with the transition to the new daring fireball version of the
[33:50.040 --> 33:52.040]  talk show.
[33:52.040 --> 33:55.000]  Our first is our good friends at igloo.
[33:55.000 --> 34:00.880]  That's the intranet you'll actually like igloo.
[34:00.880 --> 34:06.880]  And they want me to tell you a little bit about their comparison to SharePoint.
[34:06.880 --> 34:11.240]  Now SharePoint is an intranet product from a little company in my Washington state of
[34:11.240 --> 34:13.080]  Washington up by you, Microsoft.
[34:13.080 --> 34:14.480]  That's correct.
[34:14.480 --> 34:15.480]  Just up the road.
[34:15.480 --> 34:22.640]  If you go to the URL, I'm going to tell you in a minute, which is igloo software.com slash
[34:22.640 --> 34:27.960]  the talk show, you will go to a special page they've set up just for listeners of the show
[34:27.960 --> 34:34.400]  where they show the results of a white paper that they commissioned from a company called
[34:34.400 --> 34:35.400]  Osterman research.
[34:35.400 --> 34:38.760]  They said, Hey, you guys go out there, we're paying you but go out there and do an honest
[34:38.760 --> 34:41.520]  version where you compare our product to SharePoint.
[34:41.520 --> 34:46.000]  And then we're going to share the information with people.
[34:46.000 --> 34:49.600]  And they came out ahead and just about every way you could imagine.
[34:49.600 --> 34:50.920]  SharePoint is too expensive.
[34:50.920 --> 34:54.400]  You can save a ton of money by going with igloo.
[34:54.400 --> 34:57.780]  SharePoint requires too many resources, you have to host it yourself, you have to pay
[34:57.780 --> 35:03.080]  for these windows servers, igloo is fully hosted, you don't have to worry about it.
[35:03.080 --> 35:05.860]  People actually this is the big one, people actually use it.
[35:05.860 --> 35:09.920]  What they found is that companies that use SharePoint based intranets, what the employees
[35:09.920 --> 35:15.920]  actually do is spend all their time going around it and using email and avoiding it.
[35:15.920 --> 35:21.120]  Whereas companies that use igloo, people actually will use it and they like it.
[35:21.120 --> 35:24.520]  And I'm laughing because I used to work someplace they use SharePoint.
[35:24.520 --> 35:29.720]  And that is exactly what what we found, right, you install it, and then people find ways
[35:29.720 --> 35:32.400]  to get it get away from it.
[35:32.400 --> 35:34.400]  SharePoint doesn't play well with mobile.
[35:34.400 --> 35:36.680]  That's a huge thing going forward.
[35:36.680 --> 35:40.480]  You know, igloo, everything they do, it has responsive layout, so it's all works great
[35:40.480 --> 35:45.240]  from your phone, whether you're on Android, whether you're on iOS.
[35:45.240 --> 35:50.200]  So they have a thing you can download, just go to igloosoftware.com slash the talk show,
[35:50.200 --> 35:54.100]  they have an evaluation kit you can download.
[35:54.100 --> 35:56.240]  They also have some new templates they've set up.
[35:56.240 --> 35:59.480]  These are pretty recent, these came out like last month.
[35:59.480 --> 36:03.800]  But templates you can use in igloo to set up igloo in different ways, depending on what
[36:03.800 --> 36:10.000]  you need, like if you need a customer community site, or a corporate intranet, just for your
[36:10.000 --> 36:13.660]  team to share two very different use cases, whether you're, you know, setting up something
[36:13.660 --> 36:17.680]  for a community of your users, people who are outside the company or something internal
[36:17.680 --> 36:19.640]  only.
[36:19.640 --> 36:26.800]  They have an app based social network, a couple of new templates, all of them, you can start
[36:26.800 --> 36:32.360]  using for free with up to 10 people just to try it out.
[36:32.360 --> 36:36.940]  This is fantastic, because then you you just set it up free, start using it for you get
[36:36.940 --> 36:41.000]  10 people on board, you don't have to pay anything and make sure that it works just
[36:41.000 --> 36:45.440]  the way you want that it actually is all these things I've just been telling you are true.
[36:45.440 --> 36:48.460]  Only then do you need to sign up when you add more than 10 people.
[36:48.460 --> 36:52.300]  And after that, the price is really, really competitive.
[36:52.300 --> 36:53.300]  So my thanks to them.
[36:53.300 --> 36:59.980]  And again, just go to igloo software.com slash the talk show.
[36:59.980 --> 37:01.320]  What we're talking about acquisitions.
[37:01.320 --> 37:07.960]  So what I positions there's Oh, this is good.
[37:07.960 --> 37:09.460]  This is why I thought about having you on the show.
[37:09.460 --> 37:16.200]  So it's again rumored not completed as we record but YouTube is supposedly buying Twitch
[37:16.200 --> 37:19.540]  Twitch for a billion dollars.
[37:19.540 --> 37:22.100]  So there's two interesting things about that.
[37:22.100 --> 37:27.340]  One Twitch is is effectively I saw I just posted a thing before I did we started recording
[37:27.340 --> 37:32.260]  that it's it's like the ESPN of video games that they stream, right?
[37:32.260 --> 37:35.820]  They treat video games the way ESPN treats sports and you go to Twitch and you use Twitch
[37:35.820 --> 37:40.540]  and you can watch you know, top players play video games.
[37:40.540 --> 37:44.780]  And you and I have talked about this because our sons are 10 years old are really into
[37:44.780 --> 37:49.340]  watching videos of people playing video games.
[37:49.340 --> 37:52.980]  And you know, I didn't come up with this last time we talked about it but you know, I've
[37:52.980 --> 37:59.900]  already watched this season probably the Yankees have played 42 games so far.
[37:59.900 --> 38:02.180]  I've probably watched about 30 of them.
[38:02.180 --> 38:09.180]  So I'm probably up close to 100 hours of baseball that I've watched so far this year.
[38:09.180 --> 38:13.860]  And yet I'm the one who was thinking just just like a month ago, how crazy it is that
[38:13.860 --> 38:18.380]  my son watches people playing game video of people playing games rather than playing them
[38:18.380 --> 38:24.300]  himself whereas I haven't played baseball for 15 years and watch hundreds of hours over
[38:24.300 --> 38:25.300]  the year.
[38:25.300 --> 38:28.300]  And it just hit me like a ton of bricks like, duh, it's the same thing.
[38:28.300 --> 38:29.580]  You know, I'm into baseball.
[38:29.580 --> 38:32.860]  So I love watching my favorite baseball team play.
[38:32.860 --> 38:33.860]  He's into video games.
[38:33.860 --> 38:37.520]  And so he loves watching people play video games.
[38:37.520 --> 38:41.300]  And I would rather watch people play video games because I have a better chance than
[38:41.300 --> 38:49.980]  with my local sports team, I have a better chance seeing somebody actually win.
[38:49.980 --> 38:57.840]  So I think that maybe not if you're if you're YouTube, Google, YouTube, that makes a lot
[38:57.840 --> 38:58.840]  of sense.
[38:58.840 --> 39:03.660]  I also think it's interesting that it's being dealt with as a YouTube acquisition, not a
[39:03.660 --> 39:04.660]  Google acquisition.
[39:04.660 --> 39:05.660]  That was interesting, too.
[39:05.660 --> 39:06.660]  Yeah.
[39:06.660 --> 39:07.660]  And I didn't even notice this.
[39:07.660 --> 39:10.860]  But like the head of YouTube is her title is CEO.
[39:10.860 --> 39:12.500]  Like their YouTube.
[39:12.500 --> 39:13.500]  I didn't know that.
[39:13.500 --> 39:16.580]  I just thought because they were trying to get the same unified sign in everywhere.
[39:16.580 --> 39:21.220]  I didn't realize that YouTube is, you know, as independent as it seems to be.
[39:21.220 --> 39:23.060]  That's interesting.
[39:23.060 --> 39:26.860]  But it totally makes sense to be, you know, for it to, you know, it does make sense that
[39:26.860 --> 39:31.660]  it's YouTube in particular, not Google in general that might be making this acquisition.
[39:31.660 --> 39:35.860]  Yeah, somebody and I apologize because I don't remember it was a retweet of someone who I
[39:35.860 --> 39:42.300]  don't follow, but said that a while ago, Vimeo had noticed that that people were posting
[39:42.300 --> 39:49.140]  a lot of sort of the sort of let's play videos and and responded by banning them.
[39:49.140 --> 39:57.020]  Which, I mean, I guess, you know, if that's what you want for your platform and want that
[39:57.020 --> 40:00.980]  kind of thing on your I mean, they're they're a little more artsy, I guess.
[40:00.980 --> 40:01.980]  Yeah.
[40:01.980 --> 40:05.900]  I mean, you know, they've yeah, they've always sort of differentiated themselves from YouTube
[40:05.900 --> 40:12.100]  or YouTube has sort of been like anything that you can legally post as video.
[40:12.100 --> 40:19.020]  You can post to YouTube where, you know, I mean, you know, the copyright stuff in particular
[40:19.020 --> 40:23.340]  and I'm sure that there's some kind of content based stuff that that would get rejected from
[40:23.340 --> 40:24.380]  YouTube.
[40:24.380 --> 40:26.900]  But if it's legal, you can post it and they don't care what it is.
[40:26.900 --> 40:27.900]  Right.
[40:27.900 --> 40:31.580]  I mean, you can just you know, it's Yeah, I'm sure they actually are often I mean, and
[40:31.580 --> 40:34.500]  they basically usually it seems like they usually wait for someone to ask to have it
[40:34.500 --> 40:35.500]  taken down.
[40:35.500 --> 40:36.500]  Right.
[40:36.500 --> 40:38.540]  Whereas Vimeo is always sort of Yeah, exactly.
[40:38.540 --> 40:42.260]  They sort of want a sort of artistic style.
[40:42.260 --> 40:43.260]  I don't know.
[40:43.260 --> 40:47.460]  And they also have restrictions about commercials type stuff, you know, where you can't.
[40:47.460 --> 40:52.700]  So I didn't I didn't think about that the licensing aspect of it, which maybe maybe
[40:52.700 --> 40:57.180]  that is more of what it is rather than sort of the artsy aspect of it.
[40:57.180 --> 40:58.180]  Yeah.
[40:58.180 --> 41:06.700]  I thought it was more like, we don't we don't want let's play videos on our site.
[41:06.700 --> 41:10.340]  I did see somebody tweeted that one of the things people who are fans of Twitter concerned
[41:10.340 --> 41:14.340]  about with the YouTube acquisition is that a lot of these videos get posted with music
[41:14.340 --> 41:16.740]  playing in the background.
[41:16.740 --> 41:22.700]  You know, and YouTube has gotten very, very good at flagging such things identifying right
[41:22.700 --> 41:23.740]  copyright music.
[41:23.740 --> 41:29.180]  But to me, that's sort of a, you know, and, you know, I'm not a big fan of Google, I
[41:29.180 --> 41:32.980]  think it's fair to say, but I have to say that if you're putting copyright music in
[41:32.980 --> 41:39.740]  your videos and uploading them to a commercial website, and it gets flagged, it's on you.
[41:39.740 --> 41:43.740]  Yeah, there's sort of, you know, the world's tiniest violin playing a sad song here for
[41:43.740 --> 41:44.740]  you.
[41:44.740 --> 41:47.980]  It's like, you know, I understand that it's it in if, you know, it's one of those things
[41:47.980 --> 41:55.100]  like comics ology going to Amazon, where you know, it is making it worse for you as a user.
[41:55.100 --> 42:00.420]  But, you know, come on, you know, copyright stuff is still copying others can't using
[42:00.420 --> 42:04.860]  music for free is still, you have to admit it's a gray area, right?
[42:04.860 --> 42:09.300]  Like you had to, you know, you had to think eventually that that bubble was going to burst
[42:09.300 --> 42:10.740]  one way or the other.
[42:10.740 --> 42:11.740]  Yeah.
[42:11.740 --> 42:16.740]  And I do I think we're on the cusp of this sort of video people.
[42:16.740 --> 42:24.060]  People spend, you know, note and observe observing noting and then monetizing the fact that millions
[42:24.060 --> 42:28.980]  of people are watching hundreds and hundreds of hours of people play video games.
[42:28.980 --> 42:30.180]  That's going to become a thing.
[42:30.180 --> 42:34.500]  It's going to quickly it's not going to take long before idiots like me who think, wow,
[42:34.500 --> 42:39.260]  these crazy kids today, you know, no longer see it as as odd or unusual.
[42:39.260 --> 42:44.320]  Yeah, I think maybe you mentioned this before, but I feel like that's this is kind of my
[42:44.320 --> 42:49.460]  first moment of having something like that come up.
[42:49.460 --> 42:55.220]  I mean, and from kids so young, I mean, kids from, you know, our kids are 10 and seeing
[42:55.220 --> 43:00.740]  what they do and kind of in the beginning going, oh, you know, that's so lowbrow,
[43:00.740 --> 43:02.380]  but then realizing, well, maybe not.
[43:02.380 --> 43:04.860]  Maybe it's maybe I need to give it another chance.
[43:04.860 --> 43:05.860]  Yeah.
[43:05.860 --> 43:08.300]  And I'm sure it's just like any I mean, you know, I feel like I'm almost proud of
[43:08.300 --> 43:15.460]  myself for being as uncommudgeonly as to recognize that this is normal, that this there's not
[43:15.460 --> 43:18.060]  that I shouldn't be seen, that I was wrong, that I shouldn't be seen.
[43:18.060 --> 43:19.060]  This is weird.
[43:19.060 --> 43:22.900]  Yeah, I'm kind of proud of myself.
[43:22.900 --> 43:27.220]  And it wasn't until he started watching that stuff that I even realized that this was such
[43:27.220 --> 43:28.620]  a huge industry.
[43:28.620 --> 43:29.620]  Yeah.
[43:29.620 --> 43:34.220]  Well, you wrote that I wrote that article about the guys are doing Minecraft stuff and
[43:34.220 --> 43:37.220]  they're making ridiculous amounts of money, right?
[43:37.220 --> 43:38.340]  And good for them, right?
[43:38.340 --> 43:39.340]  Yeah.
[43:39.340 --> 43:40.340]  No, it's great.
[43:40.340 --> 43:41.340]  It's great.
[43:41.340 --> 43:43.960]  I mean, because it all comes down to the bottom line is attention.
[43:43.960 --> 43:46.420]  You know, this is not a new observation.
[43:46.420 --> 43:47.420]  It's obvious.
[43:47.420 --> 43:51.900]  But, you know, that's the one thing that we have collectively in the aggregate that's
[43:51.900 --> 43:53.460]  a limited resource.
[43:53.460 --> 43:57.480]  Every person only has 24 hours in the day and we need to spend a certain number of hours
[43:57.480 --> 44:01.480]  of that sleeping and eating and working or going to school or something.
[44:01.480 --> 44:08.980]  So, you know, if you're capturing in the aggregate millions of hours of attention, there's tremendous
[44:08.980 --> 44:09.980]  value there.
[44:09.980 --> 44:10.980]  Yeah.
[44:10.980 --> 44:17.060]  And Stampy Longnose, that guy that are the main guy that I wrote about that article recently
[44:17.060 --> 44:21.220]  tweeted that he's, you know, it was a picture of Jack Black.
[44:21.220 --> 44:24.280]  You know, he was visiting with Jack Black and the two of them are going to be working
[44:24.280 --> 44:25.280]  on something together.
[44:25.280 --> 44:26.280]  That's awesome.
[44:26.280 --> 44:27.280]  Yeah.
[44:27.280 --> 44:29.700]  That's so great.
[44:29.700 --> 44:34.260]  Which is a really, which is a good fit for starters, but also just, I mean, the fact
[44:34.260 --> 44:42.300]  that this guy who was working in a pub two years ago and is now a gigantic mogul of YouTube
[44:42.300 --> 44:43.300]  Minecraft videos.
[44:43.300 --> 44:44.840]  That's so awesome.
[44:44.840 --> 44:49.300]  But that it's all just, you know, of a piece that you're doing this, you know, you're doing
[44:49.300 --> 44:51.500]  this thing that people watch for this reason.
[44:51.500 --> 44:53.420]  I do these things that people watch for another reason.
[44:53.420 --> 44:57.480]  We should do something together, right?
[44:57.480 --> 45:07.100]  What else acquisition news AT&T is buying direct TV for $45 billion.
[45:07.100 --> 45:11.780]  You can just feel the increase in competition, can't you?
[45:11.780 --> 45:13.640]  I was just talking to somebody yesterday.
[45:13.640 --> 45:18.740]  We got together with friends yesterday, out of town friends.
[45:18.740 --> 45:21.160]  And we were talking about that.
[45:21.160 --> 45:27.240]  That's the thing that really greats about Comcast, Time Warner merger, which is really
[45:27.240 --> 45:34.260]  Comcast buying Time Warner, which is for almost the same amount of money, like $46 billion.
[45:34.260 --> 45:39.180]  It would be one thing if Comcast argument was, okay, don't worry, this is still going
[45:39.180 --> 45:41.100]  to be okay for consumers.
[45:41.100 --> 45:43.380]  Here's why that's in.
[45:43.380 --> 45:45.820]  And there's some kind of argument they could make there.
[45:45.820 --> 45:47.060]  And maybe it makes some kind of sense.
[45:47.060 --> 45:52.440]  But the fact that they're actually saying that it will increase competition, it would
[45:52.440 --> 46:01.740]  increase competition for us to consume our largest competitor makes no sense.
[46:01.740 --> 46:07.500]  If the Yankees and Red Sox merged, you could say, well, this would be good for baseball
[46:07.500 --> 46:09.880]  for this reason or the other.
[46:09.880 --> 46:18.660]  But you can't say it would increase competition because it's two arch rivals with big budgets.
[46:18.660 --> 46:22.700]  Direct TV and AT&T merging cannot increase competition.
[46:22.700 --> 46:27.940]  Yeah, it's classic lobbyist talk.
[46:27.940 --> 46:28.940]  Yeah.
[46:28.940 --> 46:35.140]  I also saw that the Direct TV in particular was part of Comcast.
[46:35.140 --> 46:36.540]  I think it's driven.
[46:36.540 --> 46:40.100]  It could be the sort of thing where maybe AT&T wouldn't have done this if they didn't
[46:40.100 --> 46:45.060]  have the nagging feeling that this Comcast Time Warner thing is going to go through.
[46:45.060 --> 46:50.220]  And that they kind of need to get bigger in the same way.
[46:50.220 --> 46:56.620]  But part of Comcast's argument that this is not anti-competitive or bad for consumers
[46:56.620 --> 47:05.560]  in a competitive way is that the average U.S. citizen has at least three options as an alternative
[47:05.560 --> 47:07.580]  to Comcast and Time Warner.
[47:07.580 --> 47:14.360]  But it's not about cable service to your home or any kind of wired thing.
[47:14.360 --> 47:21.100]  It's Direct TV that they're counting as competition, something of an entirely different sort.
[47:21.100 --> 47:23.100]  Just the whole thing.
[47:23.100 --> 47:24.100]  I'd mentioned this before.
[47:24.100 --> 47:30.980]  I'm just glad that here in Tacoma, we have a city provided broadband.
[47:30.980 --> 47:32.900]  Very few cities have done that.
[47:32.900 --> 47:33.900]  Forget who else.
[47:33.900 --> 47:37.380]  I just saw somebody was, was it San Diego?
[47:37.380 --> 47:38.380]  I forget.
[47:38.380 --> 47:44.300]  They're somewhere in Southern California where they have municipal Wi-Fi and that it works
[47:44.300 --> 47:45.300]  well.
[47:45.300 --> 47:46.300]  It's really good.
[47:46.300 --> 47:49.540]  If it's not San Diego, it's somewhere else in Southern California.
[47:49.540 --> 47:55.200]  But you're downtown and you can just walk around and get on the Wi-Fi and you have superior
[47:55.200 --> 48:01.140]  to LTE, wireless internet everywhere.
[48:01.140 --> 48:05.340]  But those pockets are very few and far between.
[48:05.340 --> 48:06.340]  So what do you guys have?
[48:06.340 --> 48:08.340]  You guys have wired broadband?
