[00:00.000 --> 00:03.480]  Is this the show are we on the show is this the show could be
[39:13.020 --> 39:19.020]  This this looks like what Jim ray would do. Yeah, it's it but I love Jim's description
[39:19.020 --> 39:22.740]  It's the lifestyle magazine for men who don't like lifestyle magazines for men
[39:22.740 --> 39:26.620]  and it is a source and curate a
[39:27.060 --> 39:33.500]  Selection of exclusive products from brands around the world things like shirts slacks pants shoes watches
[39:35.900 --> 39:37.420]  Anything like that
[39:37.420 --> 39:39.100]  and
[39:39.100 --> 39:40.620]  it's
[39:40.620 --> 39:45.180]  Curated meaning there's you don't go there and have to pick between 40 different styles of pants
[39:45.180 --> 39:49.940]  they go they have like three like a pair of jeans a pair of khakis and
[39:49.940 --> 39:52.700]  Something else and that's it
[39:52.700 --> 39:57.140]  if you like one of those three you pick your size and you buy it and if you don't wait till the next edition and
[39:57.860 --> 40:01.220]  Maybe they'll have something else that you like but that way you're not sitting there making choices
[40:01.220 --> 40:05.180]  They've made these choices for you and you see something you like you get it
[40:06.500 --> 40:11.060]  They just launched their holiday collection. This is volume 2.1 just came out
[40:12.420 --> 40:17.860]  Perfect timing for this episode of the show. They're offering some exclusive products which are great gift ideas
[40:17.860 --> 40:20.900]  from brands like Grenton happy socks
[40:22.260 --> 40:24.260]  men in cities and more
[40:24.940 --> 40:33.020]  They're launching an exclusive stocking stuffers collection on Monday. So that's probably I'm guessing that's yeah Monday, December 8th
[40:33.020 --> 40:37.940]  So yeah right in the middle of this episode. So it's you know, you might be listening. It's already out
[40:38.660 --> 40:43.780]  And they have an ongoing essentials collection. That's at their website need
[40:43.780 --> 40:49.060]  Need edition comm slash essential and that features items mostly under 50 bucks
[40:49.860 --> 40:54.460]  From studio neat. Those are the cool guys who make the glyph and a bunch of other cool products
[40:54.460 --> 40:59.380]  I love get like the ice thing now, too. Yeah, they've got the nice ice. Isn't that nice ice that they call it?
[40:59.380 --> 41:00.860]  I forget what they call it
[41:00.860 --> 41:06.460]  It's it's the thing where you get like the the nice clear ice cube, right? You got to break it in half
[41:06.460 --> 41:07.480]  It's kind of a weird setup
[41:07.480 --> 41:12.280]  But if you if you're if you're as hardcore about your ice as I know some people are this is the way to go
[41:12.280 --> 41:13.320]  a
[41:13.320 --> 41:15.640]  foot cardigan the manual and more
[41:17.480 --> 41:18.440]  Really great stuff
[41:18.440 --> 41:23.440]  So if you're interested in getting some sharper clothes for yourself or just stuff that you might be interested in
[41:23.440 --> 41:25.440]  They've got other stuff besides clothes
[41:25.640 --> 41:31.120]  And they commissioned they've got articles and they they've got great photography and they do that
[41:31.120 --> 41:33.920]  They hire independent photographers to shoot all their photos
[41:33.920 --> 41:41.560]  So they're putting good good photographers to work on original work really great. It's just a cool website to check out
[41:43.480 --> 41:50.320]  Again the website is need edition not a edition like math like edition like the the Apple watch
[41:50.560 --> 41:53.520]  Need edition comm go there and check them out
[41:53.520 --> 41:55.840]  They don't have any kind of URL slug or anything like that
[41:55.840 --> 42:00.680]  but they have a special deal for talk show listeners place an order buy anything you want and
[42:00.680 --> 42:09.760]  then shoot an email over to hello at need addition comm just send an email and put in the subject line old-fashioned and
[42:10.680 --> 42:14.680]  Anyone who does that anyone who buys anything from them and then emails?
[42:14.880 --> 42:21.840]  Hello at need addition comm with the subject line old-fashioned. We'll get a bunch of extras in their order
[42:21.840 --> 42:25.720]  You know magazines coffee accessories anything they have laying around. That's really cool
[42:26.280 --> 42:29.680]  And the first ten orders that do it will get a free
[42:29.680 --> 42:31.680]  Dopp kit
[42:32.640 --> 42:34.640]  What's a Dopp kit? Do you know what one is?
[42:35.040 --> 42:37.680]  I've no idea what a Dopp kit is. Well, you're gonna get one
[42:38.360 --> 42:43.520]  And it's worth 90 bucks. So the first ten orders that do it will get it. So that's great
[42:43.520 --> 42:47.360]  You'll get 90 bucks worth of stuff and you'll find out what a Dopp kit is
[42:48.000 --> 42:54.400]  So that's pretty cool. And also know before us wait, I'm looking it up. I gotta look up what a Dopp kit is. D O P P K I T
[42:54.400 --> 42:56.400]  Oh, oh, it's a it's like a
[42:56.960 --> 42:58.840]  travel toiletry bag, ah
[42:58.840 --> 43:03.880]  Well, that's awesome. And that but see now you've spoiled it for everybody. Well, anyway first ten people to do it
[43:03.880 --> 43:10.400]  It's it pays to use overcast and have the talk show show up automatically first ten people who do it
[43:11.080 --> 43:14.600]  Get 90 bucks worth of freeze a 90 buck Dopp kit. I
[43:15.320 --> 43:19.920]  Should probably get that I needed a toiletries kit. I just carry my stuff around and like a ziplock bag
[43:21.200 --> 43:24.840]  Savage no, I don't I have something a little better in the ziplock, but it's pretty shitty
[43:24.840 --> 43:28.840]  Anyway, anybody who emails them after ordering will receive
[43:29.600 --> 43:35.280]  25% off for the next three months of stuff that they order. So my that's nuts. My thanks to need
[43:36.520 --> 43:42.240]  Addition.com great great sponsor. It's like what a great way if you want to if you care about looking good
[43:42.240 --> 43:44.960]  But you want to put zero effort or thought into it. This is a great way to go
[43:44.960 --> 43:46.960]  I don't even mean that a bad way. I mean that very
[43:46.960 --> 43:54.480]  Complimentary to the service that you that we could just go to a website and click on something
[43:54.480 --> 43:56.400]  All you have to know is your size
[43:56.400 --> 43:58.120]  And you can look good. I'm credible
[43:58.120 --> 44:04.440]  I've always thought I've said this before in many different contexts, but it is a general rule of thumb. You seldom go wrong by
[44:05.400 --> 44:11.120]  Thinking that the most interesting of anything is at the extremes the very biggest the very smallest
[44:11.120 --> 44:16.840]  The most complicated the most simple, right
[44:16.960 --> 44:23.400]  Those are the areas were to me anything whether it's something you're buying a device or whatever. It's just the most interesting
[44:24.520 --> 44:30.160]  And I would say like need is almost like the antithesis of Amazon you go to Amazon and it's like that
[44:30.160 --> 44:35.880]  They even call it the everything store, right? It's it's and it's not only does Amazon sell everything
[44:35.880 --> 44:41.360]  They have these partnerships with all these other things. So you search for something and you get results from other stores. Ah,
[44:41.880 --> 44:44.840]  You go to need and they've got like one pair of jeans right now
[44:45.640 --> 44:51.680]  That's like here's your jeans this month right done, right? Do these look good? Yes. All right, give us your size
[44:51.680 --> 44:55.620]  We'll send them to you. No, I haven't done the pricing yet, but I'm tempted
[44:55.620 --> 45:00.060]  I wonder how much it would be to just every month you just buy everything they offer
[45:00.400 --> 45:04.800]  Yeah, I bet it wouldn't be that much money. Just have like a standing, you know, have your size have your size
[45:04.800 --> 45:09.520]  You know your shirt size and your pants. I it's just done standing order. Yeah, let me subscribe to that
[45:09.520 --> 45:13.160]  Like let me just get like here's my size. Here's my money charge my card every month
[45:13.160 --> 45:15.880]  Whatever it's gonna cost and just send me the new stuff. Yeah a
[45:16.600 --> 45:18.600]  clothing of the month Club
[45:20.160 --> 45:22.800]  All right Star Wars trailer should we dissect it
[45:22.800 --> 45:27.440]  I say I'm gonna save everything else about Star Wars for a future episode, but we could dissect the trailer
[45:27.520 --> 45:31.240]  We can dissect the trailer. I think who do you think the narrator is? I
[45:31.240 --> 45:36.480]  I know the actor the okay. It's Andy Serkis, right? Right
[45:37.240 --> 45:41.640]  there's some speculation that it was Benedict Cumberbatch, which was uh, I can hear it but
[45:42.960 --> 45:47.280]  Be a be weird choice. Yeah, unless Khan shows up in this movie, too. I am
[45:47.960 --> 45:51.440]  presuming it feels to me cinematically like the narrator of
[45:51.920 --> 45:58.360]  The film or of the teaser is the Sith or Sith light guy we see with the red lightsaber
[45:58.360 --> 46:00.360]  That that's him. I
[46:01.560 --> 46:03.560]  read it as
[46:04.000 --> 46:09.720]  Like some sage like character, but I guess there isn't there's like an air of darkness or villainy to the voice
[46:09.720 --> 46:13.280]  Yeah, he sounds a little Sith like sounds a little bit like Darth Maul actually
[46:13.840 --> 46:19.800]  Hmm Jonas thinks though Jonas watched it with me. He thinks that the character with the red lightsaber is a woman
[46:19.800 --> 46:21.800]  He thinks it's like a witch. I
[46:22.280 --> 46:27.720]  That would be interesting. I think he's thrown off though by the sort of kilt like
[46:27.720 --> 46:32.440]  Thing that the guy is wearing now because that's pretty tip. I mean even
[46:33.000 --> 46:37.800]  Darth Vader kind of wears us. Yeah, but Jonas, but he but his cape usually hides it
[46:38.480 --> 46:40.880]  Yeah, well see I don't I don't read it as a woman
[46:40.880 --> 46:45.480]  But I think it's it's interesting because the the way the figure the posture of the figure
[46:46.080 --> 46:48.080]  sort of masks gender
[46:48.480 --> 46:51.740]  Like if they were just standing up straight you could you kind of read it
[46:51.740 --> 46:57.200]  Yeah, I you know it it could just be it honestly after he said that to me. I rewatched it
[46:57.200 --> 46:59.320]  I've watched it. I get the dozen times
[46:59.320 --> 47:04.600]  I did rewatch it and after he at first I thought no way and then I rewatched it and it does seem possible at least
[47:04.600 --> 47:08.960]  and it did it makes me realize that even as open-minded as I try to be I have a
[47:10.480 --> 47:14.140]  Older, you know, I'm the old dad who just assumes if you have a red lightsaber
[47:14.360 --> 47:20.160]  You're a man, even though I've seen that, you know, the Clone Wars thing with Asajj Ventress and you know
[47:20.480 --> 47:22.960]  But Jonas as you know as a much more
[47:22.960 --> 47:27.280]  I think you know, he was much more open to the idea that that character could be a man or woman
[47:27.560 --> 47:29.640]  Well, it's nice to see the Sith being more inclusive
[47:31.480 --> 47:36.780]  Do you think in this do you think that the lightsaber might have something to do with that?
[47:36.780 --> 47:41.560]  I mean if that's the case, I don't mean the the weird cross guard thing, but like the weird kind of
[47:42.560 --> 47:48.520]  Almost flame looking blade rather than just a solid. Yeah, there's a John there's an article put it in the show notes
[47:48.520 --> 47:55.840]  I already have it written down John Brownlee in Fast Company Fast Company's design blog has a thing in defense of the new Star Wars
[47:56.040 --> 47:57.040]  lightsaber
[47:57.040 --> 47:58.240]  and
[47:58.240 --> 48:04.720]  His argument is that each Jedi's at least the major characters, you know
[48:04.720 --> 48:09.280]  Like some of the scenes in the prequel trilogy where they had like a hundred Jedi running around, you know
[48:09.280 --> 48:14.280]  And you know, they were just all copy and paste jobs, you know, you get blue you get green you get blue
[48:14.280 --> 48:19.320]  You get green, but they only had a year and a half to make this move that but the major characters all had a lightsaber
[48:19.320 --> 48:23.560]  That said something about their character and I think that's true, you know
[48:23.560 --> 48:28.600]  And you know like OB like he says like obi-wan's lightsaber is just plain and he's you know
[48:28.600 --> 48:33.200]  And it's simple and it's elegant. It is exactly what he says. It's the elegant weapon from a more civilized time
[48:36.240 --> 48:41.380]  Even in the original Darth Vader's lightsaber had a black, you know more black than chrome on the handle
[48:41.380 --> 48:44.920]  Just looked a little bit more into the time. Here's the only one who had a red lightsaber
[48:45.560 --> 48:51.480]  Right, which looks it just at least to my eyes, you know, and maybe it's just I'm trained it
[48:51.480 --> 48:56.920]  But it just seems more natural that the bad guys would have read right reds the color of yeah
[48:56.920 --> 49:02.480]  We didn't see green until return of the Jedi and then I guess the only reason we saw green is because it showed up
[49:02.480 --> 49:05.500]  Better against the the blue sky. Yeah on Tatooine. Yeah
[49:06.080 --> 49:07.500]  No, that was actually yeah
[49:07.500 --> 49:13.380]  That's the exact story is that they were they they had they just they at the time they had just thought blues
[49:13.380 --> 49:19.880]  Good guys are blue bad guys are red and then they went to do it and they'd never done one outside before and they
[49:19.880 --> 49:21.880]  Were like wow, this doesn't look good
[49:23.360 --> 49:25.360]  So they said we'll make it green
[49:25.380 --> 49:31.920]  Yeah, it works and then even episode one. We still only see red green blue wasn't until episode two
[49:31.920 --> 49:37.680]  That we start to see other colors and I think the the first non red green blue we saw was mace windows
[49:37.680 --> 49:39.680]  Right the purple, right?
[49:39.860 --> 49:44.900]  The story goes that Samuel L Jackson specifically requested purple. Yeah, I've heard that story
[49:44.900 --> 49:50.260]  I heard that then that Lucas said no, no, no, and then like a day later Lucas came back
[49:50.260 --> 49:52.260]  He's you know what? I thought about it. Sure
[49:53.060 --> 49:55.060]  What do you think is going through Lucas's head?
[49:55.580 --> 49:59.700]  What do you what do you think his thought process is like is there like some canonical?
[49:59.700 --> 50:06.680]  Here's how the gems inside the thing work or or is he just like trying to hold steadfast to some
[50:07.620 --> 50:10.580]  Ideology he has about not well. No, he's totally a kiss changing
[50:10.580 --> 50:12.900]  I don't know somehow it worked though for me
[50:12.900 --> 50:16.980]  like it's one of the things little things that worked for me in the prequel trilogy where is it's
[50:17.860 --> 50:22.380]  somehow in a world where we went from an original trilogy where there were only
[50:23.900 --> 50:26.040]  Three Jedi four if you count Vader
[50:26.040 --> 50:31.480]  Right. Oh, I bet that was I bet it was the the scene at the the end of clones where you've got
[50:31.480 --> 50:34.200]  You know a thousand Jedi on the screen at the same time, right?
[50:34.200 --> 50:39.360]  How do you how do you more visually establish that mace Windu is above all of these guys that he's you know?
[50:39.360 --> 50:46.660]  He's you know in a you know in a trilogy filled with at some points in some scenes hundreds of Jedi
[50:47.040 --> 50:51.780]  How do you have how do you establish that? This guy is a cut above or two cuts above?
[50:51.940 --> 50:54.400]  Well, not just that but the if I'm Lucas
[50:54.400 --> 50:57.080]  I go home and I think to myself well
[50:57.080 --> 51:00.680]  I've got to do this scene with a thousand Jedi on the screen at once and if all you see is
[51:01.120 --> 51:05.160]  Being in blue. Oh, you can see where you could see where mace Windu was in the movie
[51:05.260 --> 51:10.720]  Yeah, it's like well not just that but you could realize well if I'm gonna give people like yellow and pink and all this other
[51:10.720 --> 51:13.880]  Shit, I should just give him the purple lightsaber. So
[51:14.440 --> 51:18.560]  This guy fast company Brownlee. He his theory is that
[51:19.280 --> 51:22.720]  Because at the end of Return of the Jedi the only two Sith left
[51:22.720 --> 51:30.480]  The Emperor and Vader are killed that anybody whoever this guy is if it is a Sith to restart the Sith
[51:30.480 --> 51:33.160]  He didn't have a master to teach him how to make a lightsaber, right?
[51:33.160 --> 51:39.560]  And so he had to do it on his own and that's why it crackles and sizzles and seems a little bit less a little bit
[51:39.760 --> 51:42.020]  You know a little bit less technically well put together
[51:43.000 --> 51:45.080]  another assumption of the male pronoun
[51:46.000 --> 51:48.000]  Yeah, well, I
[51:48.640 --> 51:52.240]  Don't know he she I don't know what to say there. But yeah this character. No
[51:52.240 --> 51:56.320]  Oh, I'm not not to you but more to just like the idea that even this guy
[51:56.560 --> 51:59.440]  All right. No, I I think that that would be a really
[52:00.240 --> 52:02.240]  interesting switch
[52:02.560 --> 52:04.760]  To it would it would play against our expectations
[52:04.760 --> 52:09.600]  but in my mind story wise I would have assumed that whoever the new Sith is would have been like a
[52:09.840 --> 52:16.080]  Student of Luke's or something that has gone to the dark side rather than somebody who just like woke up one day
[52:16.680 --> 52:18.680]  although, you know if if
[52:18.680 --> 52:26.400]  The good guys can show up as ghosts and help guide other good guys like like obi-wan and Yoda did with Luke
[52:26.920 --> 52:33.000]  Maybe there's something to the Emperor was able to do the same thing to restart shit. Well, and the other thing too that
[52:33.880 --> 52:36.480]  The that the whole thing with there's only two at a time
[52:37.520 --> 52:41.080]  That's a dumb rule. That's a dumb rule and it was clearly already broken
[52:41.080 --> 52:44.960]  They just didn't call them Sith. Like yeah, there were already, you know, there was the video game
[52:44.960 --> 52:47.880]  I mean again, what's canon and what's not anymore is up to for date
[52:47.880 --> 52:52.680]  But there was the one I think it was actually called that wasn't it called like the secret apprentice where Vader had a secret apprentice
[52:53.120 --> 52:56.080]  You probably the force unleashed, right?
[52:56.080 --> 53:00.800]  so he had a secret apprentice and the you know, even if you'd say well a video game is in Canon
[53:00.800 --> 53:02.800]  I think the Clone Wars show is and
[53:04.200 --> 53:09.520]  You know, there was Asajj Ventress who was like a secret apprentice to Dooku so there were
[53:10.560 --> 53:12.560]  you know, there's there's a
[53:13.600 --> 53:15.160]  Established
[53:15.160 --> 53:17.920]  Idea that there are Sith like force
[53:18.560 --> 53:21.960]  users who are trained by the Sith who just aren't called Sith and
[53:22.920 --> 53:25.960]  Use red lightsabers and you know, it could just be one of them
[53:25.960 --> 53:31.800]  I I would say that because what we get the the always to thing it's from that line of dialogue from Yoda
[53:32.120 --> 53:34.880]  Nice is always to there are and I think that that
[53:35.840 --> 53:37.840]  the more I
[53:37.920 --> 53:44.720]  Don't know forgiving reading of that line would be that what he meant was there's always gonna be more if we see one
[53:44.720 --> 53:47.400]  There's got to be another one right always a master and apprentice
[53:47.400 --> 53:53.320]  Not that there are only two exactly two, but there are always at least two. They're always coming pairs, right?
[53:53.320 --> 53:56.600]  Right, like we've we've seen this one dude. There's gonna be another dude
[53:56.600 --> 54:00.480]  We don't know if this is the master or the apprentice, but there's gonna be and somewhere out there. There's another dude
[54:02.000 --> 54:07.880]  It just seems it's like you said it's such a stupid rule that if they if they're if their goal was to overthrow the Jedi
[54:07.880 --> 54:12.600]  Order over there's hundreds of them. All right, we're gonna overthrow these guys and we're only gonna have two of us
[54:12.600 --> 54:16.180]  Do you think like somewhere along the way as they're passing down the stories?
[54:17.080 --> 54:19.480]  Like one of the guys when he's training his new apprentice
[54:19.480 --> 54:24.160]  Maybe just leave out the part where everybody before you including you has killed their master
[54:24.760 --> 54:28.600]  You just leave that out of the history so that you don't plant that idea in your friend is his head
[54:30.160 --> 54:35.040]  Because to me I'd be like, you know what fuck it. I'm not training an apprentice. I'm just I'll be the last one
[54:35.040 --> 54:36.400]  I'll live forever. It's gonna be great
[54:36.400 --> 54:39.960]  I think it's cuz I think the idea there was that they always you know
[54:39.960 --> 54:44.320]  That each one of them is so arrogant and so confident in their you know
[54:44.440 --> 54:48.480]  Dominance over their apprentice that they're they're not they always think that this can't happen to me
[54:48.680 --> 54:53.840]  But when you're like the 301 and you know, you know from history that that's always gone the other direction
[54:54.080 --> 54:56.080]  That's not a reasonable thing to think anymore
[54:57.080 --> 55:03.160]  Right. It's like I know you and I trust you, but if I knew that if I knew that the last 30 people
[55:03.880 --> 55:06.120]  who who hired a
[55:06.120 --> 55:10.640]  You you you I designer that's to work with them got killed by them
[55:11.080 --> 55:16.580]  Like it really I'm pretty sure that you're I I trust you you seem like a non psychopath. You seem like a friend
[55:17.440 --> 55:20.840]  But I probably wouldn't I probably decided not to hire a UI designer
[55:21.400 --> 55:23.680]  Right, it would be a good choice
[55:25.680 --> 55:27.680]  They are to go wrong
[55:28.120 --> 55:32.360]  Like do you think in like Sith orientation? This is they're like, okay
[55:32.360 --> 55:37.540]  Well, here's here's the story of how literally everyone before you has killed their master including me
[55:38.320 --> 55:40.320]  But don't do that
[55:40.920 --> 55:42.920]  Please
[55:47.240 --> 55:49.840]  What else happens in the trailer we see some stormtroopers
[55:50.600 --> 55:54.520]  X-wings. Yeah, the the new stormtroopers and that's I think notable
[55:54.960 --> 56:00.900]  That says a lot about the movie and the the time period and the attitude of the movie that we see stormtroopers
[56:00.900 --> 56:02.100]  where
[56:02.100 --> 56:09.420]  At some point in the last 30 years in a galaxy far far away. Not only is the Empire still going
[56:10.180 --> 56:17.840]  They've hired some industrial designers to come in and redo some shit. Yeah, it seems like a slightly tweaked stormtroopers
[56:18.820 --> 56:20.540]  Yeah, it's not it's not a huge departure
[56:20.540 --> 56:25.960]  Like they feel like stormtroopers right in the same way that the clone troopers kind of feel like stormtroopers, but more
[56:25.960 --> 56:31.560]  Just on the other side of it like there hasn't been even though it's been a longer period of time
[56:32.080 --> 56:37.600]  It seems like there's been less advancement, which is what you would expect from an empire. That's just lost their Emperor
[56:37.600 --> 56:42.920]  All right, but there's still you know, there's still designers working out costume details and and maybe there's some new ships and stuff
[56:42.920 --> 56:48.680]  But notably the TIE fighters we see look like and yeah, they look like TIE fighters. Yeah, they look like TIE fighters
[56:48.880 --> 56:54.600]  the x-wings we see look pretty much like x-wings but with a little bit of advancement and so in the same way that
[56:54.600 --> 57:01.480]  The original trilogy the universe felt lived in like everything had carbons going on. Everything was a little broken a little bit shitty
[57:02.280 --> 57:05.920]  It kind of seems like we're on an upswing like the economy is getting better
[57:07.280 --> 57:13.480]  But it hasn't turned around so much like there's been a long period where things still kind of sucked and there wasn't a lot of
[57:13.640 --> 57:17.120]  Technological advancement which is what I would expect to have happened there and it feels authentic
[57:17.120 --> 57:20.960]  yeah, my my read just based on the teaser is that
[57:20.960 --> 57:23.960]  the the the
[57:25.400 --> 57:31.600]  Tremendous victory of both blowing up a second Death Star and killing the Emperor and Vader and
[57:32.240 --> 57:39.440]  Leave leaving the entire, you know, which presumably the entire, you know, leadership structure of the Empire was you know
[57:40.080 --> 57:43.920]  Based on the Emperor's extraordinary, you know abilities
[57:45.880 --> 57:47.080]  Has
[57:47.080 --> 57:51.440]  Crippled the Empire but like didn't defeat them. They were still in it, you know
[57:51.440 --> 57:56.060]  The entire vast Imperial Army their military remained loyal to the cause of the Empire
[57:57.400 --> 58:00.440]  And that the rebel is the rebellion is still thus
[58:00.840 --> 58:04.400]  Still like the scrappy upstart planets that are fighting against them
[58:04.400 --> 58:11.460]  So like it maybe like knock them knocked it down said that they were on even terms and it's been like a 30-year war of attrition
[58:11.460 --> 58:19.220]  Oh, that's interesting. That's my read from the from the teaser. Yeah. Yeah, I could get that and maybe like not
[58:19.220 --> 58:22.700]  not necessarily that the Empire's got their back up against a wall, but more that
[58:23.300 --> 58:30.320]  They had to decentralize leadership or something or maybe somebody stepped in and there's a and lost so many resources that they're no longer
[58:30.500 --> 58:32.380]  They're no longer
[58:32.380 --> 58:38.180]  Advancing at the extreme pace that they were when we last saw them right like when we last saw them
[58:38.180 --> 58:43.900]  they went in just 20 years from the prequel trilogy to the
[58:45.780 --> 58:50.300]  To the original trilogy they went from those Republic starships
[58:50.300 --> 58:55.180]  We saw in the Clone Wars to the Star Destroyers and TIE fighters, you know that we see, you know
[58:55.940 --> 58:58.980]  lots of technical advancement in their starship design and
[58:59.500 --> 59:01.180]  armored design in 20 years
[59:01.180 --> 59:04.540]  but now in 30 years they've made very little progress at all and
[59:04.540 --> 59:08.380]  The rebellion hasn't really either because they're still you know up against it
[59:09.420 --> 59:13.100]  That's my room, but they still had time to redesign the stormtrooper outfits
[59:13.700 --> 59:19.500]  Not really redesign. I would say it was more like like a dot one like a like a point release
[59:19.500 --> 59:19.740]  Yeah
[59:19.740 --> 59:25.500]  Like a 1.1 releases of the armor and there could have been like some kind of necessity there
[59:25.500 --> 59:27.860]  Like maybe they just ran out of that armor
[59:27.860 --> 59:32.620]  I'm a little surprised that the TIE fighters look exactly the same though because I I always thought as a kid
[59:32.620 --> 59:38.460]  based on Return of the Jedi like when the TIE interceptors came out which were much more like
[59:39.540 --> 59:41.580]  like Vader's prototype from
[59:42.540 --> 59:45.620]  1977 with like the tie advance. Yeah. Yeah with the
[59:47.020 --> 59:50.020]  You know the curved wings like the the three panel
[59:51.180 --> 59:55.560]  Almost like octagonal. We have the the bombers had that too
[59:55.560 --> 59:58.900]  I thought that the tie interceptors were like the new models that were coming in
[59:58.900 --> 01:00:05.020]  But who knows what the explanation maybe there are more like maybe I'm just thinking the the economics of video games where?
[01:00:05.740 --> 01:00:07.860]  in the games any of like the
[01:00:08.700 --> 01:00:14.940]  like the the x-wing TIE fighter games the the TIE fighter has no shields and
[01:00:15.820 --> 01:00:19.180]  just kind of sucks, but the TIE interceptor has shields and
[01:00:19.700 --> 01:00:24.740]  I said that one or the advance one of them it can it can even go to light speed and
[01:00:24.740 --> 01:00:30.640]  It just seemed to me that we'll just stop using the TIE fighters. They they have no shields
[01:00:31.100 --> 01:00:37.140]  Like you're just sending people to their death with those things. Yeah, they well they went for a quantity over quality approach
[01:00:37.580 --> 01:00:42.380]  We'd rather have a hundred TIE fighters than ten, you know x-wings
[01:00:42.480 --> 01:00:47.620]  Well, it's clearly the mark of a military that doesn't feel like it has much in the way of opposition
[01:00:47.980 --> 01:00:52.340]  the TIE fighters were there to show off how many they had it to like just be a
[01:00:52.340 --> 01:00:56.240]  An imposing presence right and that they were not designed for real bad, right?
[01:00:56.240 --> 01:00:58.700]  And they didn't really even value the lives of their own troops
[01:00:59.340 --> 01:01:03.620]  Yeah, because everybody was the Empire so we'll just replace you maybe even at the time
[01:01:03.620 --> 01:01:05.740]  Maybe they were still using clones for this some of this stuff
[01:01:05.740 --> 01:01:08.980]  I thought the other one of the other interesting things in the teaser is that
[01:01:09.620 --> 01:01:12.960]  None of the shots of the ships are in space
[01:01:13.700 --> 01:01:20.520]  That when you see the x-wings, they're flying really low like almost right out right around a few feet above the wall surface
[01:01:20.520 --> 01:01:25.520]  of some body of water and when we see the Falcon and the TIE fighters coming at it, it's right above the
[01:01:26.220 --> 01:01:29.220]  Surface of the planet it just now occurs me. You're right
[01:01:29.340 --> 01:01:34.100]  So we've got a teaser for a movie called Star Wars that doesn't show a single star, right?
[01:01:34.100 --> 01:01:37.700]  I don't think it did well, maybe there's at the end when the crew and the credit comes up
[01:01:37.700 --> 01:01:42.380]  It shows a star field when the logo comes up, but we don't see any footage of space
[01:01:42.900 --> 01:01:47.220]  Yeah, right. We don't see and we don't see any big space cruisers
[01:01:47.220 --> 01:01:52.740]  We don't see any you know Star Destroyers or whatever the Republic has. Wow. Well, I hope nothing happened to space
[01:01:53.340 --> 01:01:57.420]  Pretty cool. What do you think about the idea that they didn't show any of the that the only face?
[01:01:57.420 --> 01:02:03.220]  They show is the the new character the the black guy in the stormtrooper outfit. What's it? The actor's name?
[01:02:03.220 --> 01:02:07.680]  Oh, I forget. He's somebody that I hadn't heard of before. Yeah, British, dude
[01:02:08.700 --> 01:02:10.700]  I think it's it's I
[01:02:10.700 --> 01:02:18.620]  I want to believe I sincerely want to believe that everything about this teaser was a well-thought-out decision
[01:02:20.100 --> 01:02:21.700]  John Boyega
[01:02:21.700 --> 01:02:26.260]  Yeah, yeah, that's right. I want to believe that everything we were shown we were shown for a reason
[01:02:26.260 --> 01:02:29.080]  Yeah, I want to believe that not only were we not shown
[01:02:30.020 --> 01:02:37.520]  Well, no, the the other face we see is the the girl riding on the oh, right. Okay, right. Yeah, who just looking at her
[01:02:37.620 --> 01:02:39.620]  She's got like a real
[01:02:39.620 --> 01:02:44.580]  The Natalie Portman Carrie Fisher kind of look. Yeah, and so it wouldn't be a big jump
[01:02:44.580 --> 01:02:47.540]  I think most people are assuming that she must be like Han and Leia's kid
[01:02:48.820 --> 01:02:52.600]  but the the characters we see the faces we do see the
[01:02:53.120 --> 01:02:56.100]  They're new characters. These are people we have no idea who they are
[01:02:57.020 --> 01:03:00.180]  This isn't Harrison Ford. This isn't Mark Hamill
[01:03:00.700 --> 01:03:05.920]  It says to me that they they want our expectation going in to be
[01:03:05.920 --> 01:03:09.840]  that we're going to be exposed to new things not just
[01:03:10.840 --> 01:03:16.880]  Fan service rehashing of old stuff. Yeah that said it ends with a shot of the Millennium Falcon
[01:03:17.080 --> 01:03:21.840]  right as we hear the the John Williams score fanfare swell up, so
[01:03:23.360 --> 01:03:27.160]  Again, it feels literally show us the show us the things that are gonna get us
[01:03:28.200 --> 01:03:31.120]  Interested and give us a sense of what we should expect from the movie
[01:03:31.120 --> 01:03:34.480]  Which I think is gonna be this is a familiar world, but we're gonna be meeting new people
[01:03:34.480 --> 01:03:39.440]  We're going to be taking things beyond what you what you've seen before and then ending it on a note of
[01:03:39.720 --> 01:03:44.580]  Literally on a note of here's what here's what we mean. We know you came in hoping to say
[01:03:45.920 --> 01:03:49.000]  My favorite you remember this. I don't know if you remember this it was
[01:03:50.920 --> 01:03:56.620]  When when were the original that when did the special editions come out it was like
[01:03:56.620 --> 01:04:04.020]  97 97 I remember something, you know when the trailer for that care teaser came out for that
[01:04:04.580 --> 01:04:10.500]  It was really good teaser. It was in the theater and it was like it showed a TV and
[01:04:11.060 --> 01:04:17.020]  It was like for you know for a generation kids, you know, people have only seen yeah Star Wars trilogy on on the
[01:04:18.020 --> 01:04:20.420]  You know TV set and then an x-wing
[01:04:20.420 --> 01:04:26.820]  Blew up the TV set it like ends up the TV set was an outer space and an x-wing flew by and like blew it up
[01:04:27.180 --> 01:04:30.820]  Which sounds really cheesy when you describe it now, but it was powerful
[01:04:30.820 --> 01:04:36.300]  No, but like somebody at like, you know, ILM did it right like it looked right it didn't let me just conceptually
