[00:00.000 --> 00:03.920]  My favorite story of the last few weeks was from your colleagues at the Wall Street Journal
[25:57.100 --> 26:01.500]  The thing about summer is like you said back to school and which is a big time to buy
[26:02.180 --> 26:04.180]  notebooks
[26:05.180 --> 26:09.420]  Just how weird that would it if it feels so much older now
[26:09.420 --> 26:13.560]  Like I know it's only like six weeks after WWDC right now as we speak
[26:13.560 --> 26:20.720]  But it feels like it's it it crossed a border from being a little old to being like ridiculously old
[26:20.960 --> 26:24.080]  Yeah, yeah, I mean and when you look at what?
[26:24.760 --> 26:29.840]  What Apple's done like on the rest with the rest of the line? It's not there yet
[26:29.840 --> 26:33.480]  You know, it's there's there's stuff that needs to be flushed out. So I
[26:34.440 --> 26:40.460]  Don't I don't know. I mean look I I want to think it's gonna be in during the September event
[26:40.460 --> 26:44.860]  But I think there's a lot to cover in the September event. I don't know
[26:46.060 --> 26:49.260]  Well, when do when do we when do we expect I?
[26:50.700 --> 26:57.660]  Think the September event but only because or mainly because it's just it has to when else would it be they're not gonna have two
[26:57.660 --> 27:01.660]  events and you know, I in theory they could have like a
[27:03.140 --> 27:09.300]  Like a boring update to the MacBook Pro that just adds, you know, an updated CPU and GPU or something like that
[27:09.300 --> 27:13.580]  But if they do that it then it just seems ridiculous that they that it took them so long
[27:13.580 --> 27:17.340]  Like I don't think that's happened. I think there's something else I do too
[27:17.340 --> 27:22.260]  I mean also it's there with Sierra right? Like there's some hints in Sierra about
[27:22.820 --> 27:25.940]  Things that should be improved in the hardware. Yeah
[27:27.100 --> 27:33.220]  So I maybe then that's the you know, the timing I don't know in Sierra. What do we did the fall right? They just say fall
[27:33.220 --> 27:38.740]  Yeah, maybe I don't know I don't have any sources or any insight to
[27:39.420 --> 27:42.380]  The Mac line right now. Yeah the last two years
[27:42.380 --> 27:46.200]  I think the schedule has roughly been a early September event
[27:46.300 --> 27:50.260]  with the iPhone new iPhone coming out like the next week and
[27:50.360 --> 27:55.300]  the new iOS coming out at the same time or like a day or two before right the phones and
[27:56.060 --> 28:01.180]  Then the new version of Mac OS comes out like and they'll tell you in September
[28:01.180 --> 28:03.960]  But it would that it'll be out at the end of October or something like that
[28:04.620 --> 28:06.620]  All right, so maybe there's something in October
[28:07.060 --> 28:12.380]  Yeah, the question is do they do iPads at this first event, you know the iPhone event?
[28:13.740 --> 28:16.740]  And there's been some rumors of new Pro a new Pro
[28:16.740 --> 28:21.580]  I mean, I don't understand how that's really gonna be updated in a big way. But um, I
[28:22.340 --> 28:24.340]  Think there's been some leaks of that
[28:24.420 --> 28:29.620]  Well one thing I've when I've been I've speculated about this on Twitter and other places people have said no
[28:29.620 --> 28:33.360]  There's no way they're going to you know, they don't want to share the stage with the iPhone
[28:33.360 --> 28:38.460]  But the truth is the last few years. They've actually always shared the stage with the iPhone
[28:38.460 --> 28:42.180]  They use the fact that the world's attention is on them for this announcement
[28:42.260 --> 28:48.360]  Everybody's iPhone iPhone iPhone iPhone new iPhone and they use it but spend most of the event on other things like two years ago
[28:48.420 --> 28:52.620]  It was here was like everything. Yeah last year was Apple TV and the
[28:52.620 --> 29:00.680]  And the Pro right and the pencil and all that all the third-party apps that already, you know, they'd given pre-release access to the pencil for
[29:01.620 --> 29:03.820]  Yeah, they had the three, you know at the end of the event
[29:03.820 --> 29:09.560]  They had the three big demo rooms, which was like honestly like the iPhone was the smallest part of the thing to see
[29:09.560 --> 29:13.100]  Yeah, I remember but like oh crap. I got to go see the iPhone
[29:14.100 --> 29:19.940]  And yeah, there was that whole big room for the Apple TV the whole big room for the Pro and then iPhone
[29:19.940 --> 29:23.780]  Yeah, and I always take notes on the time like it, you know how much you know
[29:23.780 --> 29:30.300]  When when new products come out on stage and I remember I don't think the iPhone took more than 20 or 25 minutes
[29:30.300 --> 29:32.740]  It was you know, it was like hey hello
[29:32.740 --> 29:39.820]  here's Phil Schiller and 20 minutes of here's the new iPhone success and success plus and then the rest of the show was Apple TV and
[29:40.860 --> 29:46.540]  iPad Pro. Yeah, I think I think if you look at the heart, I think if I think there's there's hardware
[29:46.540 --> 29:53.940]  To come in three places in the fall. I think it's iPhone. It's Mac and I think it's watch
[29:54.980 --> 29:57.140]  and I think iPad
[29:58.540 --> 30:03.980]  The reason I say that is because of the software like what we saw at WWC there were clear hints about
[30:04.740 --> 30:09.620]  Hardware improvements that would be that would optimize for the software or vice versa
[30:10.220 --> 30:13.660]  I don't feel that way about iPad, but
[30:13.660 --> 30:15.660]  You know, I don't know
[30:16.700 --> 30:21.940]  and you know like with iPad there's so many software things that I feel like need to be fixed and
[30:23.100 --> 30:27.500]  Or with you know as it moves to the Pro and I feel like we didn't give a sense of that in iOS 10
[30:28.380 --> 30:33.060]  Yeah, and and there have been rumors Federico to teach you who's you know?
[30:33.060 --> 30:39.340]  The guy by far and away go to guy the guy at Mac stories the go-to guy for iPad productivity
[30:39.340 --> 30:44.540]  I mean this guy's been like living his life with all these crazy workflows and stuff like that on the iPad
[30:44.940 --> 30:46.940]  He does all of his work on the iPad
[30:47.460 --> 30:51.820]  What he heard was that it's I don't know what they're gonna number it
[30:51.820 --> 30:57.820]  but that it's more or less that the major improvements to iOS with a focus on the iPad Pro and and
[30:57.980 --> 31:03.420]  Pro users is sort of like an iOS 10.1 type thing that might be like January or February
[31:04.140 --> 31:06.140]  That's a great. That's a great
[31:06.140 --> 31:09.860]  Report a rumor. Does that mean that that would make more sense?
[31:09.860 --> 31:14.740]  I don't know how much that those wishful thinking like yeah, right. We all want them to write like
[31:15.660 --> 31:17.660]  So true. I'm like
[31:17.860 --> 31:24.460]  Whose podcast was I on where I was like, I feel like many times Apple rumors are just what people want
[31:25.340 --> 31:29.660]  like the Android for I'm I message for Android rumor like and
[31:30.140 --> 31:31.760]  We should talk about that because that you know
[31:31.760 --> 31:35.420]  I think both of us sort of were hoping for something like that at WWC
[31:35.420 --> 31:42.060]  But you know and it was pretty unreliable sourcing on that, you know, but it's like everyone wanted it
[31:42.060 --> 31:48.580]  So everyone said yeah, this is a rumor that you know, the people wrote it and I mean, I'm not saying it's it's unreliable
[31:48.580 --> 31:54.400]  Maybe somebody really did have good sourcing on that. But that felt like one which was like, oh, yes, that's what I want
[31:55.100 --> 31:57.100]  It was Mac
[31:57.140 --> 32:04.940]  Daily news which is a weird website that has been around for ever. I'm almost certain it predates during fireball
[32:04.940 --> 32:08.020]  I think it's been around since like the late 90s and it's
[32:09.020 --> 32:13.540]  I don't know if he's secret and I don't even know if it's really he I don't know
[32:13.540 --> 32:17.240]  I'd say but the whoever it is who writes it doesn't never puts a byline on it
[32:17.240 --> 32:23.940]  So like when I linked to that rumor and he doesn't usually have news. It's usually more like he points to things elsewhere
[32:24.460 --> 32:29.420]  Yeah, he writes he'll usually link to my stuff. I didn't realize that's where it started. Yeah, he
[32:29.420 --> 32:35.660]  He he said, you know, it was his original thing that he heard from a reliable source that Apple's working on
[32:36.780 --> 32:40.620]  iMessage for Android and that it's going to come out at WWDC and so when I linked to it
[32:40.620 --> 32:46.140]  I was like because I always like to put the name of whoever wrote it like the reporter, you know
[32:46.140 --> 32:50.420]  I don't like to just say the Wall Street Journal says I like to say, you know
[32:50.660 --> 32:53.260]  Here's the reporter writing for the Wall Street Journal, right?
[32:53.260 --> 32:59.540]  Because I think that's important. And so for his I wrote whoever the hell it is who writes Mac, Mac Daily News
[33:00.580 --> 33:03.900]  I have heard I can say I
[33:04.540 --> 33:05.580]  Haven't seen it personally
[33:05.580 --> 33:11.620]  But I have spoken to people at Apple who have seen the mock-ups of iMessage for Android
[33:11.660 --> 33:17.500]  So I don't know that it exists like that. They have like an app that's been made but there is absolutely been
[33:18.500 --> 33:21.660]  consideration of it. Yeah, but the guy and I think it makes sense and
[33:21.660 --> 33:25.900]  and Cook has said and I forget there was two interviews where he said
[33:26.780 --> 33:32.540]  We we are making it a priority to bring service our services to other platforms
[33:33.780 --> 33:37.900]  I think it was around the music launch or something around then
[33:40.620 --> 33:46.220]  What I heard and this makes total sense and sounds very happily was that it was a series of 10 mock-ups of
[33:46.220 --> 33:53.700]  What I mess complete mock-ups of what I message for Android would look like ranging from like on one would be
[33:55.180 --> 34:01.660]  Just looks exactly like the iOS version and 10 is looks as much like pure
[34:03.060 --> 34:05.060]  What what's the Google UI?
[34:05.860 --> 34:10.140]  theme called material design as as
[34:10.140 --> 34:17.020]  Pure material design as possible with like two through nine being a continuum of how much it looks like that
[34:18.020 --> 34:23.120]  Which is also to me an interesting thing in terms of the difference between Google and Apple where Google stuff on
[34:23.340 --> 34:30.060]  iOS is very popular and but yet really looks a lot like material design and Apple music on Android
[34:30.060 --> 34:36.740]  I think is actually pretty you know on that scale of one to ten. I think is sort of like a seven or an eight
[34:36.740 --> 34:40.020]  It's it's much more Android like than iOS like to my eyes
[34:40.740 --> 34:47.540]  Yeah, I actually can't say I've ever used it. So well, I've I've installed it on my little I've seen the screenshots
[34:48.780 --> 34:52.660]  Called it and poked around just to see like what the sharing sheet looks like and stuff like that
[34:52.660 --> 34:53.860]  but anyway
[34:53.860 --> 34:57.460]  I and here's my argument for my argument for putting some credibility on it is
[34:57.780 --> 35:03.500]  Like some when that rumor leaked a lot of people wrote to me and said no way would Apple do this because they sell
[35:03.500 --> 35:07.620]  Hardware, they you know, it behooves them to keep iMessage proprietary
[35:07.620 --> 35:10.580]  But my answer to them is nobody buys an iPhone to get iMessage
[35:10.700 --> 35:16.000]  It's it's a nice thing to have once you have an iPhone and you're in the Apple ecosystem, but nobody buys it
[35:16.100 --> 35:19.340]  That's not a selling point. It's just a nice thing you get afterwards
[35:19.540 --> 35:24.620]  I think where Apple could make some money on this is if they if they add payments to iMessage
[35:24.740 --> 35:28.260]  Yeah, if I can send you money by Apple pay over iMessage
[35:28.260 --> 35:32.060]  Then I think it makes all the sense in the world for there to be an Android version, right?
[35:32.060 --> 35:36.700]  I do question nobody buys an iPhone because of iMessage
[35:36.700 --> 35:44.380]  I think it is one of the lock-in apps that sort of like I wouldn't consider going to an Android phone
[35:45.140 --> 35:49.740]  Mostly because of iMessage like there's a fit. I have a family conversation
[35:49.740 --> 35:54.180]  I have a friend conversation all of you know, these groups in my life and they're on iMessage
[35:54.260 --> 35:58.420]  that's a good point and I don't think I can get them all to pick up and go to
[35:58.420 --> 36:03.660]  Whatsapp or or Facebook Messenger, but I don't look I don't think
[36:04.100 --> 36:05.420]  I don't know
[36:05.420 --> 36:10.740]  I don't know enough about the market of how big that market is for people who feel like iMessage is the reason
[36:11.660 --> 36:17.500]  You know, there's there's plenty of other great things about an iPhone. That is probably what that is a good point
[36:17.500 --> 36:21.860]  I actually I'm gonna I'm gonna say that you changed my mind. I changed your mind. Yeah
[36:22.900 --> 36:26.500]  because you know what I was I was too focused on the upfront idea of
[36:26.500 --> 36:31.100]  Buying an iPhone whereas once you have an iPhone and you're used to iMessage
[36:31.100 --> 36:34.300]  It absolutely is a reason that you'd be a little reluctant to switch
[36:35.020 --> 36:38.900]  Right. So it is it's the lock-in angle that it more than the upfront angle
[36:38.900 --> 36:40.900]  Like once you have it, you don't want to lose it
[36:41.140 --> 36:45.300]  I just couldn't like even when I'm reviewing an Android phone. I
[36:46.300 --> 36:50.220]  Try, you know, I'll put my sim in but I'll still keep my iPhone on
[36:50.220 --> 36:58.820]  Wi-Fi or whatever because I got it. I gotta get my iMessages and I hear about my syncing with my Mac, but you know, I
[36:59.860 --> 37:05.780]  Think that like many times I think Apple it's not like Apple doesn't enjoy lock-in features
[37:05.780 --> 37:11.780]  But I don't think that they prioritize them over other things and I don't think that I think whatever lock-in advantages
[37:11.780 --> 37:14.680]  They see with iMessage being iOS only for mobile
[37:15.740 --> 37:18.340]  could easily be overruled by the
[37:18.340 --> 37:22.800]  the the money they could make by having Apple pay as a
[37:23.980 --> 37:25.980]  device to device payment method
[37:26.100 --> 37:27.580]  Mm-hmm
[37:27.580 --> 37:31.300]  But there is a trade-off there. There's definitely a trade-off. I mean, I'm going through right now
[37:31.300 --> 37:35.940]  It's just like I wish that I mean and maybe it will be with the new iMessage in iOS 10
[37:35.940 --> 37:38.900]  like Venmo will be easily integrated into the
[37:39.820 --> 37:41.820]  What are they called message apps? Mm-hmm
[37:42.700 --> 37:46.820]  But I don't see why Apple doesn't just do it itself. Hmm. You know what I mean?
[37:46.820 --> 37:49.740]  Like why doesn't it just power through Apple pay?
[37:49.740 --> 37:55.060]  I you know say I want to send $15 to to Gruber and I you know
[37:55.580 --> 38:00.580]  Inside an iMessage window. I hit my I hit touch ID and it goes through. Mm-hmm
[38:00.980 --> 38:07.140]  Yeah, I think it definitely should right it should just happen. I don't know. I'm writing my column for next week is all about
[38:07.660 --> 38:13.180]  The chip card disaster and so I'm very very into payments right now. I
[38:13.180 --> 38:17.820]  I love payments. I love I'm Apple paying everywhere
[38:19.140 --> 38:21.140]  Yeah, it's just great. I
[38:21.260 --> 38:25.340]  Was just talking about this last week on my show with Glenn Fleishman that
[38:25.980 --> 38:32.380]  it somehow I don't know if it if if it just is coincidence, but a whole bunch of places here in Philadelphia have just
[38:33.020 --> 38:35.180]  upgraded their their terminals
[38:35.700 --> 38:38.560]  And put in the chip readers. Yeah, and they
[38:39.080 --> 38:41.960]  They all have handwritten stickers. Yeah. Yeah
[38:41.960 --> 38:47.020]  No chip chip networking chip doesn't work yet. No chip yet. Don't chip here
[38:48.220 --> 38:51.660]  Yeah, I'm like, I've spent a lot of time reporting this story
[38:52.940 --> 38:58.860]  I'm excited about it because it's been such a disaster in New York too. It's been a national disaster. It's a headache. It's just a
[38:59.740 --> 39:03.460]  But um, I actually think I'm not gonna spoil my column here. Yeah
[39:05.140 --> 39:08.500]  Basically, I think that this will push us all to use our phones
[39:08.500 --> 39:15.500]  It's actually the best thing that could have ever happened to Apple pay and to Android pay because all of the terminals that are being installed
[39:16.100 --> 39:21.420]  Have NFC in them. And so it's basically a software upgrade on the point of sale
[39:22.660 --> 39:24.300]  people
[39:24.300 --> 39:28.220]  Companies have spoken to to enable that for that for the retailers
[39:28.220 --> 39:33.620]  Yeah, and the thing that's interesting to me is that you don't need to see the Apple pay logo for Apple pay to work
[39:33.620 --> 39:40.140]  It's just like the one that just looks like a little almost looks like a Wi-Fi symbol and it right it always it always works
[39:40.140 --> 39:44.100]  There was work. Yeah, there was one time last week where it didn't work for me at Starbucks
[39:44.100 --> 39:46.500]  It gave me it like I don't know I got in some kind of circle
[39:46.500 --> 39:49.700]  But then the next day I went back and and it worked again
[39:50.340 --> 39:53.140]  With no Apple pay logo on the Starbucks one, right?
[39:53.140 --> 39:53.380]  Yeah
[39:53.380 --> 39:59.300]  It's weird because Starbucks does support Apple pay and they never have signs that say we have this there and that's one of the things
[39:59.300 --> 40:04.180]  I'm writing in this piece is that you know set up your phone for Apple pay and just try it first
[40:04.180 --> 40:07.260]  I mean, yeah, you're already gonna lose a lot of time out yet with the chip
[40:07.260 --> 40:09.180]  I get it, but you know
[40:09.180 --> 40:14.320]  It's kind of like the same amount of time to just try it. It doesn't work. You have your credit card. I
[40:15.420 --> 40:19.860]  And it's so funny because Apple pay what was it two years ago where it first came out?
[40:20.580 --> 40:25.500]  Yeah, and it's and and Whole Foods had it and I'd use it there and I'd get the Wow
[40:25.500 --> 40:30.020]  What was that? You know, like holy heck that you know, what are you doing there? And now all of a sudden that it's working
[40:30.020 --> 40:33.920]  At all these other places. I'm getting it all over again. Like people who've never seen Apple pin
[40:33.920 --> 40:36.160]  You're like, what did you just do and I'm like, oh it's called Apple pay
[40:36.220 --> 40:39.820]  You'd like just take a picture of your credit card, you know, go to the wallet app
[40:39.820 --> 40:41.620]  Take a picture your credit card
[40:41.620 --> 40:45.940]  And then you can just go up to places and just put your finger on the thing and they're like that is the coolest thing
[40:45.940 --> 40:49.580]  I've ever seen. Yeah, I think a lot of people don't even know that it's there and
[40:50.460 --> 40:55.060]  Especially also now that it you know, it's it's gonna probably work more on more and more phones
[40:55.060 --> 41:01.260]  It's it's I think it's a the chip thing has been a disaster, but I think there's a silver lining in it
[41:01.260 --> 41:04.440]  I noticed it was a very interesting to me as a
[41:05.740 --> 41:12.740]  user experience critic I bought some shorts at J crew and they had the chip thing and
[41:13.700 --> 41:17.220]  Your shorts did know how the the terminal. Uh-huh, and
[41:18.740 --> 41:24.220]  I put my I put my credit card in for the chip and then went through the chip process and
[41:24.220 --> 41:31.380]  When it was done, it was like authorizing you wait a second. And then when it was done, it made this terrible noise like
[41:34.580 --> 41:40.000]  And on the little terminal it says remove card now remove right now in all capital letters
[41:40.000 --> 41:47.300]  And so somebody decided that to make sure nobody forgets their credit card. Yeah, right better make a scary sound. Yeah
[41:47.900 --> 41:53.100]  It's the complete opposite of Apple pay where when Apple pay is confirmed you get this beautiful
[41:53.100 --> 41:57.980]  I sometimes I sometimes I'm going through the video right now and I'm trying to collect these sounds
[41:58.940 --> 42:03.460]  So like we're at we're gonna like we actually have to hold the mic up at the at the register
[42:03.460 --> 42:07.380]  You know to get the the sounds but you're totally right. I know exactly what you're talking about
[42:07.380 --> 42:13.020]  So with Apple pay you get this beautiful ding and it just feels like hey, you just did something cool
[42:13.020 --> 42:17.980]  You're living in the future and with the chip you get like this. Yeah, it sounds like the Star Trek
[42:17.980 --> 42:21.940]  You know red alert when the Klingons are attacking like you're about to die, right?
[42:21.940 --> 42:28.580]  No, the whole the whole situation is just like who yeah, I mean it does feel like taking 15 steps back
[42:29.300 --> 42:31.860]  With the whole payment system is like I get it secure
[42:31.860 --> 42:38.460]  but like I'm having this hugely awkward 10 seconds where I don't really know what to do and you know
[42:39.620 --> 42:46.860]  Yeah, I've also like I mean New York City store clerks are sort of fed up with me because I've been going into stores and doing
[42:46.860 --> 42:53.060]  Six methods of payment. So like I collect all this stuff and I like I'm like, I'm gonna actually need to put this on six separate
[42:53.580 --> 42:55.580]  cards
[42:56.300 --> 43:02.260]  Did it at Trader Joe's which is like typically the longest lines in New York City and the woman was like just dying
[43:02.260 --> 43:04.740]  She's like this is so cool. Who's gonna win next?
[43:07.300 --> 43:11.740]  Yeah, so I'm payment obsessed but uh, I look forward to it
[43:11.740 --> 43:16.100]  I think that it's it's just so interesting to me that it seems like
[43:16.100 --> 43:18.100]  Apple pay was
[43:18.740 --> 43:22.580]  Ahead of its time because it's already here and ready to capitalize on this
[43:23.820 --> 43:28.060]  Seemingly mass turnover and point-of-sale terminals that that's happening right now
[43:28.460 --> 43:32.200]  Yeah, and it's actually it's I've been thinking back on this because you know now
[43:32.780 --> 43:39.260]  Being in the industry for almost a decade you sort of get to to really see those moments when a company does
[43:39.740 --> 43:45.180]  You know as it usually typically is Apple takes what has been going on and makes it
[43:45.180 --> 43:50.060]  Really really seamless and you know, I was thinking back to Google Wallet, you know
[43:50.060 --> 43:54.980]  I was one of the people who wrote about the first impressions of Google Wallet and you know
[43:54.980 --> 44:00.500]  It was like this hugely clunky thing where you had to hold the phone up to the right thing you had to launch the app
[44:01.140 --> 44:04.180]  You know, it only worked on the Nexus. What was it the Nexus?
[44:04.860 --> 44:06.380]  Might have been just the Nexus
[44:06.380 --> 44:12.340]  Samsung Nexus, you know and it only worked at like one retailer in the country and it just didn't work, right?
[44:12.340 --> 44:16.100]  And then so, you know, you had a couple of iterations of that and then you know
[44:16.100 --> 44:22.900]  Then Apple pay comes out of whatever. It's actually probably like four years later Apple pay, you know requires the fingerprint
[44:22.900 --> 44:23.820]  It works really well
[44:23.820 --> 44:28.460]  It launches the thing and that we have Samsung pay that basically does the same thing
[44:28.740 --> 44:33.580]  Even better because it works at more places and we have an Android pay that also does the same thing
[44:33.580 --> 44:38.300]  So, you know, there's took it a little bit of time for us to get here
[44:38.300 --> 44:43.700]  And there's certainly a uphill battle as you know, a lot more retailers have to try and support this
[44:43.860 --> 44:50.340]  But it really does feel like there was this turning point with Apple pay. Yeah, I really want to see this NFC stuff
[44:50.780 --> 44:54.540]  go elsewhere to like I really want to see the
[44:55.900 --> 44:58.820]  airports switch from those infrared scanners to
[44:59.460 --> 45:05.820]  To NFC. I hate I just hate putting my phone down like when they want you to like let go of your phone and put
[45:05.820 --> 45:09.380]  It on the glass. I don't like to let go of my phone. You know what I mean? Right? Yeah
[45:09.660 --> 45:11.460]  Just let me put it in here
[45:11.460 --> 45:15.420]  And I so badly wanted in a minute the subways and metro cards
[45:15.420 --> 45:20.940]  It's just I'm constantly not sure how much money is on my card and you lose the card
[45:22.340 --> 45:24.260]  Yes, absolutely
[45:24.260 --> 45:28.820]  Yeah, there's so much more potential and I mean I really do think at some point, you know
[45:28.820 --> 45:36.260]  The phone is obviously the wallet but there's just you know in terms of identification as well. All right
[45:36.260 --> 45:40.580]  Let me take another break here and thank our next sponsor. It is our good friends at igloo
[45:41.500 --> 45:43.580]  igloosoftware.com slash
[45:43.980 --> 45:46.500]  TTS the talk show TTS
[45:47.580 --> 45:49.780]  Anybody who's worked in a corporate environment knows how painful
[45:50.420 --> 45:52.420]  Intranets can be the content is stale
[45:52.420 --> 45:57.720]  The interface is ugly and it doesn't work on your phone and because of all those things nobody updates it
[45:57.720 --> 46:04.440]  Igloo is a modern internet that you will actually like because it is designed for the user
[46:04.440 --> 46:09.720]  It is not designed for like a bunch of IT guys. It is designed to be like nice
[46:10.120 --> 46:12.200]  It gives you the flexibility to get your work done
[46:12.600 --> 46:17.880]  How you want to where you want to and on whatever device you want it scales right down to your phone
[46:17.880 --> 46:20.220]  It looks great on your giant 5k iMac
[46:20.840 --> 46:23.660]  it is truly a modern product for
[46:23.660 --> 46:28.740]  2016 not for 1997 and it is easy to configure too
[46:28.740 --> 46:33.580]  So if you're the point person on your small team and you're the one who's going to set up the igloo internet
[46:33.580 --> 46:40.220]  It is easy to do. It's all drag-and-drop. It's visual. It is logical. It is sensible. It's humane
[46:40.220 --> 46:45.740]  It is not like you have to get in there and enter but you know config files or something like that. Nothing like that
[46:46.440 --> 46:51.080]  Totally modern easy for a non tech person or designer type person to just set up on your own
[46:51.080 --> 46:57.660]  You can share news you can organize files coordinate calendars manage products projects all in one place
[46:57.660 --> 47:03.380]  And everything can be social with comments and like buttons. So it's like you can have your own internal private team
[47:04.640 --> 47:08.860]  Internet where you post a little micro post like Twitter. You can collect likes you get comments
[47:09.580 --> 47:11.100]  and
[47:11.100 --> 47:14.720]  Just really really easy drag-and-drop for all the configuration
[47:14.720 --> 47:20.240]  Go to if you've got a small team go to igloo software comm slash
[47:20.760 --> 47:27.280]  TTS you'll get a free trial. They will know you came from this show and you'll get started in like five minutes
[47:27.680 --> 47:29.680]  my thanks to igloo a
[47:31.040 --> 47:37.420]  Couple other things and you've been writing about him you wrote I thought a really interesting column on the $50
[47:38.000 --> 47:39.200]  I
[47:39.200 --> 47:44.680]  Forget what it's called. The blue are one HD, which is kind of a mouthful. That's this is the phone that
[47:44.920 --> 47:50.440]  It's made by a company called blue and the Amazon selling it for 50 bucks. And how much is the one with more storage?
[47:51.600 --> 47:53.600]  60 bucks
[47:55.520 --> 48:01.140]  It's just so funny like with Apple it goes up $100 to get more right? Yeah. Yeah, it goes up $10. I
[48:02.160 --> 48:04.160]  Know it's yeah
[48:04.600 --> 48:06.600]  100 $60
[48:06.600 --> 48:13.920]  A pretty decent Android phone and the biggest catch is that when you're the lock screen is full of Amazon's
[48:14.440 --> 48:15.920]  special offers
[48:15.920 --> 48:18.600]  Yeah, it is the catch a big one. I
[48:21.840 --> 48:25.120]  Think that Amazon could have some serious success with this
[48:25.120 --> 48:26.040]  I I don't know
[48:26.040 --> 48:29.920]  I don't want to bet on it because I feel like Amazon's never really been able to sell phones
[48:30.080 --> 48:32.720]  But I feel like if anything's gonna work, it's this
[48:33.800 --> 48:35.800]  Yeah. Yeah. Well, I mean
[48:35.800 --> 48:42.640]  I think I think if they had some higher-end phones with this model, it could be really interesting
[48:42.640 --> 48:46.520]  I think in these in these lower-end cases, I think certainly there's certain good
[48:48.160 --> 48:50.640]  Substitution or burner phones in a way like, you know
[48:50.640 --> 48:56.640]  If you're you've broken this is actually the the CEO blue told me this that one of their biggest markets is people who break
[48:56.840 --> 49:02.080]  iPhones or Galaxy phones and don't have the money right away to go buy a new one, you know
[49:02.080 --> 49:05.920]  Especially now that people are buying phones outright and might not have insurance, etc
[49:06.320 --> 49:09.480]  So they buy these phones and sort of hold on to it for a couple months
[49:10.240 --> 49:17.000]  Or you know, it's used for travel or it's used for kids. So there's sort of like lower-end phones in that sense
[49:18.200 --> 49:20.200]  But yeah, I think for for Amazon
[49:20.200 --> 49:26.240]  This is sort of makes the most sense and even I think they're I think even even without the ads
[49:26.240 --> 49:29.000]  I spoke to an analyst even without the ads
[49:29.000 --> 49:34.800]  They could probably stand to take to bring down the price and take a hit if they're really loading up with some of their services
[49:34.800 --> 49:41.560]  Right because when you get the phone you log in to Amazon and it sort of logs you into all the Amazon apps
[49:41.920 --> 49:47.720]  So, you know music and Alexa and Kindle shopping and Kindle exactly. Yeah, exactly
[49:49.320 --> 49:55.400]  You know, it's a pretty good experience for for if you're really all-in on Amazon and it's
[49:55.400 --> 50:01.880]  It seems so much better than the fire phone that they tried like two years ago
[50:01.880 --> 50:05.480]  Which really was I mean hats off to them for trying something new
[50:05.480 --> 50:11.040]  but it just seems like that whole project went way off in the rails once they started going in the direction of
[50:11.720 --> 50:16.120]  having the the user interface that tilts in 3d as you move the phone, it's like
[50:17.040 --> 50:19.040]  you know cool demo but like
[50:19.040 --> 50:25.800]  Terrible idea for actual usability and they got they were too close to it to recognize that and actually brought it to market
[50:25.800 --> 50:28.680]  You know, yeah, and they also were cutting off Google services
[50:28.680 --> 50:35.800]  Which is just like what are you you know, you're you know, in many ways Amazon's a perfect complement to Google on the phone
[50:37.120 --> 50:39.120]  But it's not a replacement, right?
[50:39.640 --> 50:46.760]  Amazon doesn't offer email, right? Yeah. Yeah or any what Maps do with what Amazon offer, you know
[50:46.760 --> 50:50.640]  a calendar right it's like with with the
[50:52.160 --> 50:57.360]  Alexa what's in my device called when I talk to my Alexa X echo. Yeah my echo. Yeah
[50:57.360 --> 50:59.800]  I just want to call it my act my Alexa
[51:00.360 --> 51:02.560]  If you want to get your calendar on there you you know
[51:02.560 --> 51:08.280]  The best really the only integrated calendar is Google Calendar because Amazon doesn't have a calendar product
[51:08.560 --> 51:13.720]  right and you know in terms of Amazon's bottom line and trying to get you to buy things like
[51:13.720 --> 51:20.120]  a Google doesn't try us to really get us to buy things other than it's sort of the ads it wants us to get to
[51:20.120 --> 51:21.320]  I mean
[51:21.320 --> 51:27.640]  You know with with Amazon that it's sort of integrated experience of books and movies and music
[51:27.640 --> 51:32.400]  I mean, yes, obviously Google also has their solution there, but that's it's not the first thing that comes to mind when I think about
[51:32.400 --> 51:34.400]  Google
[51:34.680 --> 51:38.920]  Yeah, so I mean it's it's a pretty good experience for for an Amazon user, you know
[51:38.920 --> 51:44.840]  I I wasn't crazy about the ads on the lock screen. I just think it's a pretty personal thing and it's I mean
[51:44.840 --> 51:48.700]  It's funny you kind of like, you know, you want to keep looking to see what the next one's gonna be
[51:49.160 --> 51:51.160]  But I feel like that would get a little old
[51:51.200 --> 51:54.200]  You've gotta have you've you've got your dog on your lock screen, right?
[51:54.200 --> 51:56.120]  I have my dog at my lock screen, of course
[51:56.120 --> 52:02.480]  and so when you're trying the blue phone and instead of seeing your your dog you see an ad for
[52:02.480 --> 52:10.160]  No, I saw I was seeing I was seeing photos of other dogs that are not as cute because I was getting ads for for
[52:10.160 --> 52:11.840]  Dog food. Oh
[52:11.840 --> 52:16.880]  So yeah, that's a little that's a little too on the nose. I know
[52:17.560 --> 52:19.560]  We're not cute dogs
[52:19.880 --> 52:22.200]  So, you know, it's yeah
[52:22.200 --> 52:26.560]  I mean there but there are other ones too, which I was like I got one for a few like a dietary supplement
