[00:00.000 --> 00:04.000]  Glenn Fleischman, it is so good to have you back on the show.
[46:03.000 --> 46:09.000]  And really, there's like seven or eight systems out there. Some are from startups, some are from third or existing companies.
[46:09.000 --> 46:16.000]  And the deal is people are just sick, sick to death of dead areas and configuring things.
[46:16.000 --> 46:25.000]  And, you know, I wrote for Harry McCracken, the first article I wrote for PCWorld, I want to say it was 10, 12 years ago when Harry was the editor-in-chief.
[46:25.000 --> 46:29.000]  They had gotten this thing back from the survey. They used to do customer surveys at PCWorld. It was great.
[46:29.000 --> 46:32.000]  They'd go out to read those surveys and get huge amounts of information.
[46:32.000 --> 46:37.000]  And they had found the return rate on Wi-Fi equipment was like 30% to retail.
[46:37.000 --> 46:44.000]  And I would not be surprised if for conventional Wi-Fi stuff, like just the base station router stuff that you get,
[46:44.000 --> 46:50.000]  not the mesh things, if the rate wasn't still 30%, just based on people's frustration with setting it up.
[46:50.000 --> 46:57.000]  I just can't say enough good things about the way that Eero works. I know that AdRead is officially over, but I don't care.
[46:57.000 --> 46:58.000]  It's a part of the show.
[46:58.000 --> 47:01.000]  I never find the thing. Everybody's talking about it.
[47:01.000 --> 47:08.000]  You know how you get like, I had to do it with the stupid cable modem I got from Comcast when I moved,
[47:08.000 --> 47:14.000]  where you end up going to a web page in there, like go to this web page and you configure things there.
[47:14.000 --> 47:15.000]  Yeah.
[47:15.000 --> 47:23.000]  It always feels janky configuring something from a web app or a web forum and you're typing in IP numbers and you're seeing IP numbers and stuff like that.
[47:23.000 --> 47:24.000]  Setting up an Eero is nothing like that.
[47:24.000 --> 47:33.000]  It's one of those things, too, where you do it on your phone, not on your computer, and it feels right that you're doing it on your phone.
[47:33.000 --> 47:38.000]  It actually, because the experience is so just tap this, tap that, you know, okay this.
[47:38.000 --> 47:47.000]  That doing it on the phone doesn't feel like you're trying to, like if you're, a lot of times when you do something on the phone instead of on a computer,
[47:47.000 --> 47:51.000]  it feels like you're drawing, getting water from a very, very narrow straw.
[47:51.000 --> 47:55.000]  And it's like, oh my God, if I was on my Mac, I could just drink it as fast as I want.
[47:55.000 --> 47:56.000]  That's how I feel.
[47:56.000 --> 47:57.000]  Exactly.
[47:57.000 --> 48:05.000]  But with the Eero set up, doing it on the phone is actually ideal because it really is just a big fat tap this, tap that type of process.
[48:05.000 --> 48:10.000]  Also, the build quality on their equipment is amazing.
[48:10.000 --> 48:11.000]  Absolutely amazing.
[48:11.000 --> 48:13.000]  It feels like Apple quality.
[48:13.000 --> 48:16.000]  I really, they can't say that, I guess, but that's what I would say.
[48:16.000 --> 48:25.000]  This is really, it's a Sonos strategy, right, Sonos was ex-Apple people, but Sonos made a thing that the people liked as much as they like Apple products,
[48:25.000 --> 48:26.000]  which is really hard to do.
[48:26.000 --> 48:30.000]  It had the build quality, the features, they charged a premium price because they did a premium thing.
[48:30.000 --> 48:33.000]  I'll trash a company, I'll name it, I'll say Linksys.
[48:33.000 --> 48:40.000]  You ever have Linksys equipment, and I've had it, but just, don't even talk about the experience of it, but just the type of plastic that they use.
[48:40.000 --> 48:46.000]  They use the cheapest shit plastic that you could ever do, and if you squeeze the device, it creaks.
[48:46.000 --> 48:51.000]  As a brand new device, it creaks in a way that you know what I'm talking about, like a cheap plastic gadget.
[48:51.000 --> 48:55.000]  Eero stuff is so solid, it is amazing.
[48:55.000 --> 48:58.000]  What did they say here? There's something in their talking points about it.
[48:58.000 --> 49:00.000]  Does it give off a pleasant scent also?
[49:00.000 --> 49:04.000]  No, but it has no scent whatsoever, and it doesn't have that cheap scent, you know what I mean?
[49:04.000 --> 49:06.000]  Here, this is from their talking points.
[49:06.000 --> 49:13.000]  Our manufacturing process rejects any performance flaw or cosmetic defense larger than the tip of a needle.
[49:13.000 --> 49:16.000]  And I believe it. They look like museum objects. Anyway.
[49:16.000 --> 49:18.000]  That's good, though. That's part of the thing.
[49:18.000 --> 49:28.000]  It's Wi-Fi, still painful enough people are inventing more solutions to solve it, like 15 years, 16 years into Wi-Fi being a widespread thing.
[49:28.000 --> 49:37.000]  So speaking of that, it rolls right out of the Eero topic, or Eero read, is the XKCD comic I linked to this week.
[49:37.000 --> 49:38.000]  Oh my God, that was great.
[49:38.000 --> 49:43.000]  Where, what's his name, Randall, whatever his name is, the comic is...
[49:43.000 --> 49:45.000]  Monroe, yeah.
[49:45.000 --> 49:59.000]  Over time with phone, like starting in 2007, you know, because that's, you know, like the AD1 of the iPhone era, there was this sense of, you know, you'd be doing things,
[49:59.000 --> 50:09.000]  and if you're trying to do it on a cell network on your phone, you'd say, ah, this isn't, this is flaking out, this won't load, or it's not fast enough, or whatever, I got to do this on Wi-Fi.
[50:09.000 --> 50:20.000]  And at some point, a handful of years ago, around 2011 or so, the reliability of the cellular network surpassed this reliability of Wi-Fi networks.
[50:20.000 --> 50:31.000]  And more often than the other way around, when you're doing something on Wi-Fi, you wind up turning off Wi-Fi and turning on cellular to get it to load.
[50:31.000 --> 50:42.000]  And I find, personally, for me, that is absolutely true, and I will even say, not here at home with my Ero setup, and I really am saying that, I mean this sincerely,
[50:42.000 --> 50:56.000]  I'm not saying this because they were the sponsor, but Wi-Fi in general, like Wi-Fi at just like my mother-in-law's house, or my parents' house, or anywhere else where I might have Wi-Fi, or like at a hotel or something like that.
[50:56.000 --> 51:03.000]  I never get the Wi-Fi, the hotel Wi-Fi anymore, I just use my phone, unless it's like video.
[51:03.000 --> 51:12.000]  Yeah, it's a funny, I totally, I was laughing my head off when you linked to this, because I was just thought, oh my God, I'm thinking of the number of times when I'm,
[51:12.000 --> 51:20.000]  so I have, like I said, I have a hilarious router setup in my house, and it all works, so I haven't changed it out yet, because I have good performance everywhere, and I paid the money,
[51:20.000 --> 51:30.000]  and so at some point I will just swap it all out for mesh, because this is ridiculous what I'm doing. I have wires running, I'm a Wi-Fi guy, I've got ethernet running all over the house, ridiculous, makes me mad.
[51:30.000 --> 51:42.000]  It's terrible. But so, I'm thinking the number of times I am out of my house somewhere, and it has a Wi-Fi network, and I have to, I'm like, oh God, and I go and I swipe up control center, and I turn off Wi-Fi.
[51:42.000 --> 51:56.000]  How many times are you doing that? I mean, I, we get by, my wife and I get by with a three gigabyte a month pooled plan with AT&T, we are very low, we don't spend that much time away from Wi-Fi networks or the house or whatever,
[51:56.000 --> 52:06.000]  and we're starting to exceed it, because the networks are so bad, and we're like, oh, we're going to have to spend another like $200 a year to upgrade to the next mark, because we're burning through it, because we need it elsewhere.
[52:06.000 --> 52:26.000]  But it's true. Judging by the reaction I got from people, I got a whole bunch of, yes, that's amazing, I never really thought about it, and I have to admit, until I saw that comic, I just never really thought about it, because my first impression, and I think this is true in so many ways psychologically,
[52:26.000 --> 52:42.000]  and it's, for example, just one that everybody who listens to this show is familiar with, Apple, it took Apple 15 years after it should have been the conventional wisdom that this is a thriving company.
[52:42.000 --> 52:57.000]  I would say it was at least 15 years after the consensus of the business world is that this is a very successful company that has a bright future ahead, to 15 years of Apple as a company that's on the verge of collapse, because they were on the verge of collapse,
[52:57.000 --> 53:15.000]  in 1997, and they were on really shaky ground, and people who formed their opinion of Apple as a business in that time, it stuck long after it shouldn't have, because that was the first impression, and it was true at the time.
[53:15.000 --> 53:35.000]  And I think that the fact that cell networks are flaky, and can't be depended on, and Wi-Fi is definitely a better, more sturdy technology than cellular, was absolutely the truth, worldwide, everywhere, and the fact that that's different now, I never really reconsidered that.
[53:35.000 --> 53:46.000]  Even though it was subconsciously, without thinking about it, I was raising the window shade, and turning off the, whatever you call the thing, the control center, and turning off Wi-Fi.
[53:46.000 --> 54:02.000]  No, I had the same reaction for a long time. I was a big fan of LTE when it started rolling out, and we got it here in Seattle reasonably early, feels like, and the first time I was testing it, I was like, wow, I'm actually getting, I forget what the first thing I tested was, like 20 megabits per second, or 10.
[54:02.000 --> 54:13.000]  It was something outrageous compared to 3G, even HSDPA Plus, or whatever it was at the time that was the big thing. It was like, all right, this is really great, and we're at the bottom of LTE.
[54:13.000 --> 54:24.000]  We're still, in the US, we're still, it's not that other countries are that far ahead, but the general LTE flavor that's being deployed, or that's deployed everywhere, is really still the bottom.
[54:24.000 --> 54:32.000]  Like, we're gonna, just like with Wi-Fi, where we started at like, you know, 11 megabits per second, but it was much lower, and then we went up to 54, and higher and higher.
[54:32.000 --> 54:43.000]  Now we have 802.11ac, and there's different models. You can push, if you're lucky, you can push a gigabit per second or more across two different frequencies with your one base station now, right?
[54:43.000 --> 54:58.000]  It's amazing when it works correctly, but LTE, yeah, and there's a more advanced, these Wave 2 AC units that are coming out that are gonna be, that are much better for throughput and range and everything else, because they do beamforming, so they focus energy in the right place.
[54:58.000 --> 55:12.000]  But the LTE still has, there's so much headroom in LTE, and 5G is still a long way away, but like 4G LTE, we will have networks eventually that are hundreds of megabits per second that are just gonna be generally available, and then you have to deal with what the bandwidth cost will be when you're, that kind of thing.
[55:12.000 --> 55:26.000]  But here's the thing, John, this is, I think, the big thing, is that we forget sometimes, I have gigabit internet at my home, which I am delighted with, and I'm paying too much for it, like 100, well, I think I'm paying 156 bucks a month, and it includes a phone line.
[55:26.000 --> 55:31.000]  If I didn't get the phone line, it would cost $40 a month more, because that's how bundling works.
[55:31.000 --> 55:44.000]  Do you actually get, what speed do you actually get? I get like 600 up and 300 down a lot of the time. Wow, that's fantastic, that is, wow. And sometimes more, but it's like, you know, it's awesome.
[55:44.000 --> 55:56.000]  My friend, you know, your friend of mine, Jeff Carlson, is gonna come over, we're going to lunch someplace in a few weeks, and he's gonna come over in the morning and just, you know, do his back please, backup, he's got like 700 gigabytes to go, and he's like, can I plug you in for a few hours?
[55:56.000 --> 56:13.000]  Yeah, come on over, use some of my uncapped bandwidth. But most people in the country, so I think the average bandwidth, I just found a number from last year, but it's like 50 megabit per second downstream is now the average, that's because there is more gigabit and 100 megabit per second internet being pushed out.
[56:13.000 --> 56:33.000]  But the, let's see where we're at now, I think it's the, oh here it is, 18 megabits per second is the 10 fastest average speeds right now, so it's still, I think most people in the US have home broadband that's much slower than LTE in the same area they're at.
[56:33.000 --> 57:01.000]  Yeah, at my new house we have much, my internet used to be a running joke about how bad the internet was at my old house, it really was, and it really did, I know Merlin, I still don't know if Merlin believes me, but we've had a couple of, we had that one, one of my favorite episodes of this show ever was with Merlin, and we were talking about Comcast and the stupid web page they had with the giant orange cone that was, if it was in proportion to the van, it's like a 20 foot,
[57:01.000 --> 57:11.000]  there's a dog chasing a cat, anyway, but it really did, in my old house, it really did, the internet service suffered tremendously when it rained.
[57:11.000 --> 57:13.000]  I swear to God.
[57:13.000 --> 57:14.000]  Oh my God.
[57:14.000 --> 57:20.000]  So like if I was set to record the show and I knew, and it was a rainy day, I knew that we were in for trouble.
[57:20.000 --> 57:27.000]  That's because there's old rotted cables, the rain infiltrates and it disrupts the, there are just holes in your coax.
[57:27.000 --> 57:34.000]  I forget how long ago it was, there's an episode, I'm pretty sure I'm not making this up, there was an episode of the talk show a couple hundred episodes ago,
[57:34.000 --> 57:42.000]  might have even been back in the Dan Benjamin era, but it was so many Skype drops because it was a rainy day that we literally edited the show and just put the,
[57:42.000 --> 57:50.000]  just kept the Skype drops in, instead of editing around them seamlessly, we just played the Skype connection sound over and over again.
[57:50.000 --> 58:04.000]  What do I get? I get, so here's what I get, I get, it depends, but I can get, I have some speed tests here where I'm getting 220, 230, 238 down,
[58:04.000 --> 58:13.000]  and that's over Wi-Fi, that's Wi-Fi, but up is on the same, those same tests, 12, 12, 12.
[58:13.000 --> 58:15.000]  Yeah, it's super consistent.
[58:15.000 --> 58:16.000]  12 megabits per second?
[58:16.000 --> 58:17.000]  Yeah.
[58:17.000 --> 58:18.000]  12 megabits per second, what the?
[58:18.000 --> 58:24.000]  Yeah, see, that's what I love is, so CenturyLink is one of the old baby bells, or no, I'm sorry, it's not one of the old baby bells exactly,
[58:24.000 --> 58:32.000]  it was like, there were different smaller companies, like rural telephone companies, and it all kind of merged, they took over, it was US West and then Quest,
[58:32.000 --> 58:41.000]  and CenturyLink was like Century something else and whatever, so they have like the worst portfolio, they have like all wired phone lines,
[58:41.000 --> 58:45.000]  and they're kind of like a junk, I mean, I'm being too harsh because I don't know all the business model issues,
[58:45.000 --> 58:51.000]  but you know, like Verizon spun off all of its wired phone lines, like Verizon doesn't own any POTS anymore,
[58:51.000 --> 58:59.000]  and Sprint I think got rid of there, so like, excuse me, there's still millions and millions of wired phone lines in the country,
[58:59.000 --> 59:04.000]  even as they decline super rapidly, it's like, you know, how many modems are in use, we're in that title of modems.
[59:04.000 --> 59:09.000]  Oh my God, wait, sidebar, I'm starting to watch Futurama from the beginning with my other son who is 10.
[59:09.000 --> 59:13.000]  We got to an episode in season two, which is a joke about logging, good news everyone,
[59:13.000 --> 59:19.000]  I started, I tried to log on starting weeks ago, we finally got through to AOL, and you know,
[59:19.000 --> 59:22.000]  and it sees they're putting on virtual reality to go this whole thing, and I'm like, oh my God, we pause,
[59:22.000 --> 59:28.000]  my wife and I are explaining for like 10 minutes to my 10 year old, okay, so there was a phone and you dial,
[59:28.000 --> 59:33.000]  and he's like, I'm like, so there was a time when the internet wasn't always on, it wasn't always available,
[59:33.000 --> 59:38.000]  he's like, really, he's just like, looking at me like an anthropologist, like, how did that work?
[59:38.000 --> 59:43.000]  Because we dialed up and it made noises, and it was 1000 times slower than our current connection.
[59:43.000 --> 59:46.000]  Maybe more, it might be more than 1000 times slower.
[59:46.000 --> 59:50.000]  What is 56k divided by gigabit? I got a math program here.
[59:50.000 --> 59:51.000]  Yeah.
[59:51.000 --> 59:54.000]  But so that was hilarious, but so, I interrupted myself.
[59:54.000 --> 59:56.000]  Do the math, can you do the math?
[59:56.000 --> 01:00:00.000]  I have, yeah, I use Solver, which lets you pipe an arbitrary, S-O-U-L-V-R.
[01:00:00.000 --> 01:00:01.000]  I love that.
[01:00:01.000 --> 01:00:08.000]  I can type in, I can type 56 kilobits per second divided by one gigabit per second, and it tells me, wait, I got the units wrong.
[01:00:08.000 --> 01:00:10.000]  It's in percentage.
[01:00:10.000 --> 01:00:12.000]  I'm going to put a link in the show notes to Solver.
[01:00:12.000 --> 01:00:18.000]  I'm doing it wrong, wait, one gigabit per second divided by 56, I did it the wrong way around.
[01:00:18.000 --> 01:00:27.000]  56 kilobits per second, it, oops, if I can type right in real time, it is, oh, it's, so I have a connection that is 2200 times as fast now.
[01:00:27.000 --> 01:00:29.000]  I was correct that it was more.
[01:00:29.000 --> 01:00:31.000]  You're right, more than a thousand.
[01:00:31.000 --> 01:00:38.000]  So mine at 200 megabits would be, what, divide by five, so like 500 times faster, 600 times faster?
[01:00:38.000 --> 01:00:41.000]  Yeah, it's like 400, 446 times faster.
[01:00:41.000 --> 01:00:45.000]  Yeah, so and the scale of things, right, like, you know, I mean, it's one thing when you say I have.
[01:00:45.000 --> 01:00:50.000]  Did you explain to your son that if somebody picked up one of the phones while you were connected that it would.
[01:00:50.000 --> 01:00:58.000]  Oh, yeah, my wife was like, Flynn was saying, so you know, so understand, honey, that if you use the phone to connect to the internet, you couldn't use it for something else.
[01:00:58.000 --> 01:01:01.000]  He's like, huh, he wasn't incredulous, he was sort of like.
[01:01:01.000 --> 01:01:08.000]  And if somebody picked up the phone, it would instantly disconnect you, and if they quick hung up, it didn't put you back on, you had to start all over again.
[01:01:08.000 --> 01:01:17.000]  That's right, that's right, there was that call waiting feature that was added in some version of, I don't know, V.something, so that was hilarious.
[01:01:17.000 --> 01:01:25.000]  Yeah, you could even have your connection drop just because a call came in, and you didn't even, even if you don't answer.
[01:01:25.000 --> 01:01:34.000]  Oh, I know what everybody, so CenturyLink, so this is the thing, the reason we have Gigabit Internet in Seattle by our phone company is that they are desperately trying to,
[01:01:34.000 --> 01:01:41.000]  they're putting in fiber as fast as they can possibly string it up in order to replace the income that they're losing much more rapidly.
[01:01:41.000 --> 01:01:47.000]  So, what I'm hoping, I assume, and this is probably rude of me because, I don't know, it's a company, I assume at one point, at some point,
[01:01:47.000 --> 01:01:56.000]  CenturyLink will be unable to sustain their business model, and I will have to switch to Comcast, which now has something comparable that's cheaper but has its limits.
[01:01:56.000 --> 01:02:05.000]  So, I have uncapped internet. When I switched over to Backblaze, gosh, a while ago now, I switched over and I had like, I don't know, 1.2 terabytes to upload.
[01:02:05.000 --> 01:02:09.000]  I think it uploaded in like a day or something, like a day and a half, it was ridiculous.
[01:02:09.000 --> 01:02:17.000]  I sent it to 10 concurrent threads, it's like, you're uploading at 500 megabits per second, I'm like, right on, and I had my whole, you know, life back up there.
[01:02:17.000 --> 01:02:26.000]  So, I know, and so I'm paying through the nose for it, but as a home worker and as what I need, I could have saved money and got 100 megabits per second connection.
[01:02:26.000 --> 01:02:33.000]  I would spend it if I could. As far as I know, what I have is the fastest internet that I could possibly get in Philadelphia, because we're –
[01:02:33.000 --> 01:02:37.000]  It'll keep changing though, yeah, home of former Adelphia, Comcast headquarters.
[01:02:37.000 --> 01:02:41.000]  Well, no, they're still there. They have the big, they're building a new tower one block over.
[01:02:41.000 --> 01:02:42.000]  Yeah, so you got a –
[01:02:42.000 --> 01:02:45.000]  Two biggest skyscrapers in town. Welcome to cable town.
[01:02:45.000 --> 01:02:47.000]  Oh my God.
[01:02:47.000 --> 01:02:51.000]  But that's why we don't have fiber. There is no fiber in Philadelphia, because Comcast keeps it up.
[01:02:51.000 --> 01:03:06.000]  But DOCSIS, DOCSIS 3, this requires, and they have to keep rejiggering channels because they give up certain things, but people, they don't need as much, and eventually you will be able to get it, but it'll be subject to the one terabyte, not cap, but I guess non-overage fee thing that they do.
[01:03:06.000 --> 01:03:17.000]  But it'll come. I mean, I think it's fascinating. I thought actually the rollout of much higher speed internet would take a lot longer than it has, because I thought the incentives were in keeping it scarce and charging through the nose.
[01:03:17.000 --> 01:03:33.000]  But I think we're seeing just small enough competition, and I think the cellular pricing on some networks, especially with like T-Mobile with its unlimited thing, even though you can't tether, like the migration to mobile services away from desktop computers and conventional television watching, especially through tablets,
[01:03:33.000 --> 01:03:43.000]  I think is forcing the wireline fiber cable DSL firms, I think they've had to up what they do faster than they wanted to.
[01:03:43.000 --> 01:03:51.000]  I've been sitting here looking, I wanted to see how much internet I've been using, and I couldn't find the app on my phone, and I swear to you, I'm telling you the truth.
[01:03:51.000 --> 01:04:00.000]  So you know how Comcast rebranded their home services as Xfinity, right? Because the Comcast name is so sullied that they have to call it something new.
[01:04:00.000 --> 01:04:02.000]  Something you can't spell, right?
[01:04:02.000 --> 01:04:16.000]  But their app that you use to like see your account and stuff, the icon for the app, the icon has some kind of little logo, and then it says on the icon Xfinity.
[01:04:16.000 --> 01:04:26.000]  But the name of the app, this is for the iPhone, so I can't rename the app, the name of the app is called My Account.
[01:04:26.000 --> 01:04:32.000]  I swear to God, go to the app store and look for it. I swear to God.
[01:04:32.000 --> 01:04:33.000]  That's great.
[01:04:33.000 --> 01:04:40.000]  Like they literally don't even know how you name apps. I mean, that they put the name on the icon.
[01:04:40.000 --> 01:04:50.000]  So anyway, my whole problem was that you can't just go to whatever that, what's the search feature called?
[01:04:50.000 --> 01:04:54.000]  You know, when you pull down on the iPhone and you can search for your apps, whatever you call it.
[01:04:54.000 --> 01:04:56.000]  Oh, the spotlight thing or whatever spotlight?
[01:04:56.000 --> 01:04:59.000]  So you can't search for Xfinity or Comcast, you have to search for them.
[01:04:59.000 --> 01:05:01.000]  Oh, because it's not named that.
[01:05:01.000 --> 01:05:05.000]  It's called My Account.
[01:05:05.000 --> 01:05:07.000]  It's great spotlight work.
[01:05:07.000 --> 01:05:12.000]  Oh my God, you can't make this stuff up.
[01:05:12.000 --> 01:05:18.000]  Let me see here. How much, how much internet did I use here? I don't know. I can't find it in the app.
[01:05:18.000 --> 01:05:25.000]  I don't know. We use, we use a shocking amount. I thought it was a mistake. I really did. I thought that that was like, well, that can't, we can't possibly use that much per month.
[01:05:25.000 --> 01:05:30.000]  But I think having it's over a terabyte, I think so. Yeah.
[01:05:30.000 --> 01:05:35.000]  Yeah, I think it's pretty easy. If you stream video and you have backups, do you do internet based backups?
[01:05:35.000 --> 01:05:36.000]  Right. You got backblaze or something.
[01:05:36.000 --> 01:05:37.000]  Yeah, I do.
[01:05:37.000 --> 01:05:54.000]  Yeah, it's, I mean, I'm sure that I am sending several hundred gigabytes a month with backblaze because I take, if you take photos and you use iCloud photo library and you do anything else, you're, you're just, I mean, I'll go out, you know, my wife was like, why is my phone full?
[01:05:54.000 --> 01:06:10.000]  And I'm like, oh my God, you have like, you know, 15 gigabytes of images on there and she had a sync issue and whatever, but you don't feel like you're creating that much. And it just adds up so fast cause the, and I'm shooting raw sometimes and on my cameras cause I like shooting raw and editing later.
[01:06:10.000 --> 01:06:18.000]  So yeah, it's easy to add up. I think Jason sells out himself, but I think he easily crosses a terabyte a month too with his service. So then you have to pay the overage fee.
[01:06:18.000 --> 01:06:28.000]  I don't know if I get, I don't know. I don't even look at my bill, so I don't know. I don't know if they're hitting me with overage fees or not. I just have auto pay on and just pay it.
[01:06:28.000 --> 01:06:30.000]  They're charging you for a modem you didn't rent 15 years ago probably.
[01:06:30.000 --> 01:06:36.000]  No, I finally, you know what, it was great. That was one of the good things about moving is that we finally got rid of it.
[01:06:36.000 --> 01:06:51.000]  Yeah, well we like canceled the old account and so any kind of thing that went back in my head that was like a nagging, like am I paying for like some goofy, you know, like you said, like a modem 10 years ago or whatever, like I know that I'm not.
[01:06:51.000 --> 01:06:59.000]  So like I have a good, whatever you want to call it, a clean, I was going to say conscience.
[01:06:59.000 --> 01:07:15.000]  Yeah, they charged me, they were, I had business service for obscure reasons because I moved, they wanted to charge me. They have a 75% cancellation fee for your entire contract if you move a business, if you cancel business service within the term, which should be illegal and somehow is not because, so it's ridiculous.
[01:07:15.000 --> 01:07:22.000]  So I moved from a business location to my home and I kept the business service and they absorbed all the costs, which was nice and eventually, you know, I switched to what I have now.
[01:07:22.000 --> 01:07:30.000]  They started, they'd started charging $5 a month for a modem because they didn't have, you couldn't get like an over the counter one that worked with their business flavor, which was fine.
[01:07:30.000 --> 01:07:38.000]  Then at some point they upped the rate to like $13 a month and the modems were like 50 bucks. So I finally realized this and canceled it.
[01:07:38.000 --> 01:07:42.000]  Then they just kept keep charging me and every month I'd be like, you charged me again. They're like, oh, we should be able to take that off.
[01:07:42.000 --> 01:07:49.000]  And then like at some point I got somebody who's like, oh, this is ridiculous. I mean, I got someone actually at Comcast who thought it was ridiculous that I had to be working that hard to get it off.
[01:07:49.000 --> 01:07:57.000]  Like somebody must've been new and they like even think they gave me a credit even like they pulled it off and it never got charged again and I got like $20 credit cause it's such a hassle.
[01:07:57.000 --> 01:08:03.000]  But you know, that's the business model and that person didn't know they weren't trained yet.
[01:08:03.000 --> 01:08:07.000]  I was flashing back on the Ryan Block call with Comcast.
[01:08:07.000 --> 01:08:10.000]  I can't find my usage. I have no idea.
[01:08:10.000 --> 01:08:13.000]  It's the perfect Comcast infinity experience.
[01:08:13.000 --> 01:08:20.000]  Oh, here it is. Data usage. Here we go. Data. Data usage overview. 95 gigabytes used this month.
[01:08:20.000 --> 01:08:24.000]  And that's OK. That's August.
[01:08:24.000 --> 01:08:27.000]  We're days in as we record this two and a half days.
[01:08:27.000 --> 01:08:32.000]  Right. So that's good. That's all right. That's what it's there for to use it.
[01:08:32.000 --> 01:08:37.000]  I am getting I am getting it. So what they promised me is 200 megabits down and 10 megabits up.
[01:08:37.000 --> 01:08:43.000]  So the 12 megabits up that I'm that I'm seeing over Wi-Fi is actually more than they promised. But.
[01:08:43.000 --> 01:08:47.000]  Oh, my God. It's cable town. Wait till you get better. Someday.
[01:08:47.000 --> 01:08:51.000]  All right. Let's take a break. I think our next sponsor is our good friends at Fracture.
[01:08:51.000 --> 01:08:53.000]  Oh, do I love this company. You know, Fracture.
[01:08:53.000 --> 01:08:58.000]  Fracture is the photo decor company that is out to rescue your favorite images from the digital ether.
[01:08:58.000 --> 01:09:09.000]  You shoot photos, you pick the ones you like, and then every couple of months go to Fracture, take your favorites, go through your your your photo favorites and get a couple of them printed.
[01:09:09.000 --> 01:09:14.000]  And what they do is they print them directly on glass and they add a laser cut rigid backing.
[01:09:14.000 --> 01:09:19.000]  So what they ship you, you open the box and it's ready to display right out right out of the box.
[01:09:19.000 --> 01:09:26.000]  They even include the wall anchor if you want to hang it on the wall. And what you get is absolutely amazing because it's edge to edge.
[01:09:26.000 --> 01:09:34.000]  There's no frame around it. It's just an edge to edge piece of glass with with your photo on it print.
[01:09:34.000 --> 01:09:42.000]  And it looks like it's printed directly on glass. It's not like they take a piece of paper where the where the photo is printed on and glue it to a piece of glass.
[01:09:42.000 --> 01:09:47.000]  I don't know how they do it. I don't know anybody else who does anything like it. And the effect is simply amazing.
[01:09:47.000 --> 01:09:54.000]  It's like the platonic ideal of how to hang a photograph because there's nothing else to distract from it.
[01:09:54.000 --> 01:10:04.000]  It's just the photo on a piece of glass. It's almost like the ideal of where like phones are going, like as the rumors come of the bezels on the iPhone getting smaller and smaller and smaller.
[01:10:04.000 --> 01:10:09.000]  Well, there is no bezel on the on a fracture print. It's literally nothing. It's just edge to edge photo.
[01:10:09.000 --> 01:10:19.000]  It is so great. Fantastic gift idea. It is a gift idea for family that you will never, ever, ever get anything but the highest compliments on.
[01:10:19.000 --> 01:10:27.000]  And each fracture is handmade in Gainesville, Florida, from U.S. source material in their carbon neutral factory.
[01:10:27.000 --> 01:10:34.000]  So for more information and 10 percent off your first order, go to fracture me dot com slash podcast.
[01:10:34.000 --> 01:10:39.000]  And then don't forget to mention the talk show in their one question survey.
[01:10:39.000 --> 01:10:44.000]  Guess what the question is? Where did you hear about fracture? That's literally all they do.
[01:10:44.000 --> 01:10:49.000]  So it helps support the show when you remember that you came from here. So go check them out.
[01:10:49.000 --> 01:10:57.000]  Really, really. This is just another it's another sponsor that it's just a pleasure to do the read for because I'm such a big fan of their product.
[01:10:57.000 --> 01:11:03.000]  It really is a great company and a great product. All right, moving on.
[01:11:03.000 --> 01:11:09.000]  What else do we have on the agenda as we knock China out? You want to do the Apple Park?
[01:11:09.000 --> 01:11:16.000]  Yeah, let's talk about that. So let's talk about that sometime in the interim between the last episode of the show and this one.
[01:11:16.000 --> 01:11:25.000]  There was a really, really fascinating and well-written and beautifully photographed profile of Johnny Ive and Apple's new campus,
[01:11:25.000 --> 01:11:31.000]  Apple Park in the Wall Street Journal's like Weekend magazine.
[01:11:31.000 --> 01:11:37.000]  Lots of interesting details. I guess I should put a link to the article in the show notes.
[01:11:37.000 --> 01:11:53.000]  But the part that stuck out, and at least in our community, were the pictures of the workspaces for like, you know, the whatever you want to call them, the enlisted men, you know, the rank and file Apple employees.
[01:11:53.000 --> 01:12:03.000]  Yes, it's largely open floor plans, which is not the way infinite loop is set up infinite loop.
[01:12:03.000 --> 01:12:07.000]  Now, Apple's existing campus and, you know, whatever, they have more than a campus there.
[01:12:07.000 --> 01:12:17.000]  It's funny because when I was out there back in April for that little Mac roundtable that a handful of press people got invited to,
[01:12:17.000 --> 01:12:25.000]  we got to walk around and we went to the new cafeteria, which is, according to this article,
[01:12:25.000 --> 01:12:31.000]  I guess I kind of guess somebody said that to me when we were at lunch before we had the meeting.
[01:12:31.000 --> 01:12:35.000]  But it was built as sort of a prototype of the cafeteria in Apple Park.
[01:12:35.000 --> 01:12:43.000]  There's a new Cafe Max and it's huge and it's spacious and it is it must be three stories tall.
[01:12:43.000 --> 01:12:51.000]  And the fit and finish is just phenomenal in a way that everything lines up like the floor tiles where they meet.
[01:12:51.000 --> 01:12:59.000]  If you look, meet perfectly where the beams are that are supporting the weight and then you look at the ceiling and there's tiles in the ceiling.
[01:12:59.000 --> 01:13:05.000]  And they're not just beautiful, but where the seams are perfectly align their center with something else.
[01:13:05.000 --> 01:13:11.000]  It's there's there's nothing that you could say, oh, if you had thought of it, you'd have that centered between these two things.
